[94479] ['(4-4i)', '(6+5i)', '(7-3i)', '(7+2i)'] -> (((4-4i) + (6+5i)) + ((7-3i) + (7+2i)))
[62524] ['(3-9i)', '(4+9i)', '(8-4i)', '(9+4i)'] -> (((3-9i) + (4+9i)) + ((8-4i) + (9+4i)))
[62531] ['(3-9i)', '(4+9i)', '(8-3i)', '(9+3i)'] -> (((3-9i) + (4+9i)) + ((8-3i) + (9+3i)))
[62543] ['(3-9i)', '(4+9i)', '(8-2i)', '(9+2i)'] -> (((5-3i) + (7+3i)) * ((9+4i) - (7+4i)))
[62549] ['(3-9i)', '(4+9i)', '(8-i)', '(9+i)'] -> (((3-9i) + (4+9i)) + ((8-i) + (9+i)))
[62560] ['(3-9i)', '(4+9i)', '8', '9'] -> (((3-9i) + (4+9i)) + (8 + 9))
[62569] ['(3-9i)', '(4+9i)', '(8+i)', '(9-i)'] -> (((7+5i) * ((1-5i) + (1+3i))) - -4i)
[62579] ['(3-9i)', '(4+9i)', '(8+2i)', '(9-2i)'] -> (((3-9i) + (4+9i)) + ((8+2i) + (9-2i)))
[62584] ['(3-9i)', '(4+9i)', '(8+3i)', '(9-3i)'] -> (((3-9i) + (4+9i)) + ((8+3i) + (9-3i)))
[62591] ['(3-9i)', '(4+9i)', '(8+4i)', '(9-4i)'] -> (((3-9i) + (4+9i)) + ((8+4i) + (9-4i)))
[62597] ['(3-9i)', '(4+9i)', '(8+5i)', '(9-5i)'] -> (((3-9i) + (4+9i)) + ((8+5i) + (9-5i)))
[62601] ['(3-9i)', '(4+9i)', '(8+6i)', '(9-6i)'] -> ((9+8i) - ((4-i) * ((5+9i) - (9+8i))))
[62607] ['(3-9i)', '(4+9i)', '(8+7i)', '(8+8i)'] -> (((3-9i) * (8+8i)) / ((8+7i) - (4+9i)))
[62609] ['(3-9i)', '(4+9i)', '(8+7i)', '(9-7i)'] -> (((3-9i) + (4+9i)) + ((8+7i) + (9-7i)))
[62610] ['(3-9i)', '(4+9i)', '(8+8i)', '(9-8i)'] -> (((3-9i) + (4+9i)) + ((8+8i) + (9-8i)))
[62675] ['(3-9i)', '(5-9i)', '(5-9i)', '(7+9i)'] -> (((5-9i) - (3-9i)) * ((5-9i) + (7+9i)))
[62697] ['(3-9i)', '(5-9i)', '(5-8i)', '(7+8i)'] -> (((6-9i) * 8) / ((6-4i) - (4-i)))
[62738] ['(3-9i)', '(5-9i)', '(5-7i)', '(7+7i)'] -> (((5-9i) - (3-9i)) * ((5-7i) + (7+7i)))
[62764] ['(3-9i)', '(5-9i)', '(5-6i)', '(7+6i)'] -> (((5-9i) - (3-9i)) * ((5-6i) + (7+6i)))
[62779] ['(3-9i)', '(5-9i)', '(5-5i)', '(7+5i)'] -> (((5-9i) - (3-9i)) * ((5-5i) + (7+5i)))
[62798] ['(3-9i)', '(5-9i)', '(5-4i)', '(7+4i)'] -> (((5-9i) - (3-9i)) * ((5-4i) + (7+4i)))
[62814] ['(3-9i)', '(5-9i)', '(5-3i)', '(7+3i)'] -> (((5-9i) - (3-9i)) * ((5-3i) + (7+3i)))
[62829] ['(3-9i)', '(5-9i)', '(5-2i)', '(7+2i)'] -> ((4-4i) * ((6-7i) - ((1-4i) + (2-6i))))
[62838] ['(3-9i)', '(5-9i)', '(5-i)', '(5+i)'] -> (((3-9i) - (5-9i)) + ((5-i) * (5+i)))
[62843] ['(3-9i)', '(5-9i)', '(5-i)', '(7+i)'] -> (((5-9i) - (3-9i)) * ((5-i) + (7+i)))
[62860] ['(3-9i)', '(5-9i)', '5', '7'] -> (((5-9i) - (3-9i)) * (5 + 7))
[62863] ['(3-9i)', '(5-9i)', '5', '8'] -> (8 * (5 + ((3-9i) - (5-9i))))
[62872] ['(3-9i)', '(5-9i)', '5', '(9+3i)'] -> ((6+4i) - ((1-4i) * ((2-6i) - (4-2i))))
[62886] ['(3-9i)', '(5-9i)', '(5+i)', '(7-i)'] -> (((5-9i) - (3-9i)) * ((5+i) + (7-i)))
[62904] ['(3-9i)', '(5-9i)', '(5+2i)', '(6+3i)'] -> ((-5i + (3+2i)) * ((4-3i) - -7i))
[62910] ['(3-9i)', '(5-9i)', '(5+2i)', '(7-2i)'] -> (((5-9i) - (3-9i)) * ((5+2i) + (7-2i)))
[62927] ['(3-9i)', '(5-9i)', '(5+3i)', '(7-3i)'] -> (((5-9i) - (3-9i)) * ((5+3i) + (7-3i)))
[62941] ['(3-9i)', '(5-9i)', '(5+4i)', '(7-4i)'] -> (((5-9i) - (3-9i)) * ((5+4i) + (7-4i)))
[62965] ['(3-9i)', '(5-9i)', '(5+5i)', '(7-5i)'] -> (((5-9i) - (3-9i)) * ((5+5i) + (7-5i)))
[62990] ['(3-9i)', '(5-9i)', '(5+6i)', '(7-6i)'] -> (((4-7i) * ((5-i) - (4-5i))) - (8+9i))
[63006] ['(3-9i)', '(5-9i)', '(5+7i)', '(6+2i)'] -> (((3-9i) / (6+2i)) * ((5+7i) - (5-9i)))
[63011] ['(3-9i)', '(5-9i)', '(5+7i)', '(7-7i)'] -> (((5-9i) - (3-9i)) * ((5+7i) + (7-7i)))
[63031] ['(3-9i)', '(5-9i)', '(5+8i)', '(7-8i)'] -> (((5-9i) - (3-9i)) * ((5+8i) + (7-8i)))
[63050] ['(3-9i)', '(5-9i)', '(5+9i)', '(7-9i)'] -> (((5-9i) - (3-9i)) * ((5+9i) + (7-9i)))
[63053] ['(3-9i)', '(5-9i)', '(5+9i)', '(8-9i)'] -> (((3-9i) + (5+9i)) * ((8-9i) - (5-9i)))
[63068] ['(3-9i)', '(5-9i)', '(6-9i)', '(6+9i)'] -> (((5-9i) - (3-9i)) * ((6-9i) + (6+9i)))
[63079] ['(3-9i)', '(5-9i)', '(6-9i)', '(9-6i)'] -> (((3-9i) * (9-6i)) - ((5-9i) * (6-9i)))
[63095] ['(3-9i)', '(5-9i)', '(6-8i)', '(6+8i)'] -> (((5-9i) - (3-9i)) * ((6-8i) + (6+8i)))
[63112] ['(3-9i)', '(5-9i)', '(6-8i)', '(9-3i)'] -> (((3-9i) + (9-3i)) * ((6-8i) - (5-9i)))
[63118] ['(3-9i)', '(5-9i)', '(6-7i)', '(6+7i)'] -> (((2-2i) * (8 - (1-5i))) - -4i)
[63134] ['(3-9i)', '(5-9i)', '(6-6i)', '6'] -> (((3-9i) * ((6-6i) - (5-9i))) - 6)
[63135] ['(3-9i)', '(5-9i)', '(6-6i)', '(6+6i)'] -> (((5-9i) - (3-9i)) * ((6-6i) + (6+6i)))
[63148] ['(3-9i)', '(5-9i)', '(6-5i)', '(6+5i)'] -> (((5-9i) - (3-9i)) * ((6-5i) + (6+5i)))
[63162] ['(3-9i)', '(5-9i)', '(6-4i)', '(6+4i)'] -> (((5-9i) - (3-9i)) * ((6-4i) + (6+4i)))
[63176] ['(3-9i)', '(5-9i)', '(6-3i)', '(6+3i)'] -> (((5-9i) - (3-9i)) * ((6-3i) + (6+3i)))
[63181] ['(3-9i)', '(5-9i)', '(6-2i)', '(6+2i)'] -> (((5-9i) - (3-9i)) * ((6-2i) + (6+2i)))
[63194] ['(3-9i)', '(5-9i)', '(6-i)', '(6+i)'] -> (((5-9i) - (3-9i)) * ((6-i) + (6+i)))
[63222] ['(3-9i)', '(5-9i)', '6', '8'] -> ((6 * 8) / ((5-9i) - (3-9i)))
[63340] ['(3-9i)', '(5-9i)', '(7-9i)', '(9+9i)'] -> (((3-i) * (7+3i)) + ((8+3i) - (8+5i)))
[63352] ['(3-9i)', '(5-9i)', '(7-8i)', '(9-9i)'] -> (((9-9i) * ((7-8i) - (5-9i))) - (3-9i))
[63365] ['(3-9i)', '(5-9i)', '(7-6i)', '(9-9i)'] -> (((3-9i) * ((7-6i) - (5-9i))) - (9-9i))
[63374] ['(3-9i)', '(5-9i)', '(7-5i)', '(8-8i)'] -> (((3-9i) * (8-8i)) / ((5-9i) - (7-5i)))
[63518] ['(3-9i)', '(5-9i)', '(8-9i)', '(9-3i)'] -> (((9-3i) * ((8-9i) - (5-9i))) - (3-9i))
[63653] ['(3-9i)', '(5-9i)', '(8+9i)', '(8+9i)'] -> (((3-9i) + (5-9i)) + ((8+9i) + (8+9i)))
[63691] ['(3-9i)', '(5-9i)', '(9-i)', '(9+9i)'] -> (((3-9i) * (5-9i)) + ((9-i) * (9+9i)))
[63825] ['(3-9i)', '(5-8i)', '(5-i)', '6'] -> (((2-5i) + (4-9i)) + ((9+7i) + (9+7i)))
[63857] ['(3-9i)', '(5-8i)', '5', '(9+4i)'] -> (((3-9i) / 5) * ((9+4i) - (5-8i)))
[63871] ['(3-9i)', '(5-8i)', '(5+i)', '8'] -> ((4-4i) * (((5-7i) + (7+8i)) - (9-2i)))
[63989] ['(3-9i)', '(5-8i)', '(5+8i)', '(6+2i)'] -> (((3-9i) / (6+2i)) * ((5+8i) - (5-8i)))
[64008] ['(3-9i)', '(5-8i)', '(5+9i)', '(8-8i)'] -> (((3-9i) + (5+9i)) * ((8-8i) - (5-8i)))
[64060] ['(3-9i)', '(5-8i)', '(6-7i)', '(9-3i)'] -> (((3-9i) + (9-3i)) * ((6-7i) - (5-8i)))
[64073] ['(3-9i)', '(5-8i)', '(6-6i)', '(8-2i)'] -> (((3-9i) * (8-2i)) - ((5-8i) * (6-6i)))
[64082] ['(3-9i)', '(5-8i)', '(6-5i)', '6'] -> (((3-9i) * ((6-5i) - (5-8i))) - 6)
[64137] ['(3-9i)', '(5-8i)', '(6-2i)', '(6+6i)'] -> (((6-2i) * (6+6i)) / ((5-8i) - (3-9i)))
[64158] ['(3-9i)', '(5-8i)', '6', '(6+i)'] -> (6 * ((6+i) + ((3-9i) - (5-8i))))
[64175] ['(3-9i)', '(5-8i)', '6', '(8+4i)'] -> ((6 * (8+4i)) / ((5-8i) - (3-9i)))
[64221] ['(3-9i)', '(5-8i)', '(6+3i)', '8'] -> (((6+3i) * 8) / ((5-8i) - (3-9i)))
[64344] ['(3-9i)', '(5-8i)', '(7-8i)', '(9+9i)'] -> (((3-9i) + (9+9i)) * ((7-8i) - (5-8i)))
[64355] ['(3-9i)', '(5-8i)', '(7-7i)', '(9-9i)'] -> (((9-9i) * ((7-7i) - (5-8i))) - (3-9i))
[64376] ['(3-9i)', '(5-8i)', '(7-5i)', '(9-9i)'] -> (((3-9i) * ((7-5i) - (5-8i))) - (9-9i))
[64390] ['(3-9i)', '(5-8i)', '(7-4i)', '(8-8i)'] -> (((3-9i) * (8-8i)) / ((5-8i) - (7-4i)))
[64518] ['(3-9i)', '(5-8i)', '(7+8i)', '(9+9i)'] -> (((3-9i) + (5-8i)) + ((7+8i) + (9+9i)))
[64525] ['(3-9i)', '(5-8i)', '(7+9i)', '(9+8i)'] -> (((3-9i) + (5-8i)) + ((7+9i) + (9+8i)))
[64535] ['(3-9i)', '(5-8i)', '(8-9i)', '9'] -> ((9 * ((8-9i) - (5-8i))) - (3-9i))
[64546] ['(3-9i)', '(5-8i)', '(8-8i)', '(9-3i)'] -> (((9-3i) * ((8-8i) - (5-8i))) - (3-9i))
[64690] ['(3-9i)', '(5-8i)', '(8+8i)', '(8+9i)'] -> (((3-9i) + (5-8i)) + ((8+8i) + (8+9i)))
[64813] ['(3-9i)', '(5-7i)', '(5-6i)', '(7+i)'] -> (((5-7i) * ((5-6i) - (3-9i))) - (7+i))
[64864] ['(3-9i)', '(5-7i)', '(5-5i)', '(9+3i)'] -> (((3-3i) * 8) / ((2-5i) - (1-4i)))
[64998] ['(3-9i)', '(5-7i)', '5', '(9+5i)'] -> (((3-9i) / 5) * ((9+5i) - (5-7i)))
[65045] ['(3-9i)', '(5-7i)', '(5+2i)', '8'] -> (8 * ((5+2i) + ((3-9i) - (5-7i))))
[65203] ['(3-9i)', '(5-7i)', '(5+9i)', '(6+2i)'] -> (((3-9i) / (6+2i)) * ((5+9i) - (5-7i)))
[65209] ['(3-9i)', '(5-7i)', '(5+9i)', '(8-7i)'] -> (((3-9i) + (5+9i)) * ((8-7i) - (5-7i)))
[65212] ['(3-9i)', '(5-7i)', '(5+9i)', '(9-3i)'] -> (((3-9i) * (5-7i)) + ((5+9i) * (9-3i)))
[65215] ['(3-9i)', '(5-7i)', '(6-9i)', '(6-6i)'] -> (((6-9i) * ((5-7i) - (3-9i))) - (6-6i))
[65232] ['(3-9i)', '(5-7i)', '(6-9i)', '(9+9i)'] -> (((9+9i) * ((6-9i) - (5-7i))) - (3-9i))
[65239] ['(3-9i)', '(5-7i)', '(6-8i)', '(8-5i)'] -> (((8-5i) * ((6-8i) - (3-9i))) - (5-7i))
[65264] ['(3-9i)', '(5-7i)', '(6-6i)', '(6-6i)'] -> (((5-7i) * (6-6i)) - ((3-9i) * (6-6i)))
[65276] ['(3-9i)', '(5-7i)', '(6-6i)', '(9-3i)'] -> (-4i * (((8+6i) / (7-i)) - (1-5i)))
[65294] ['(3-9i)', '(5-7i)', '(6-4i)', '6'] -> (((3-9i) * ((6-4i) - (5-7i))) - 6)
[65324] ['(3-9i)', '(5-7i)', '(6-2i)', '(6+6i)'] -> (((3-9i) + (5-7i)) / ((6-2i) / (6+6i)))
[65327] ['(3-9i)', '(5-7i)', '(6-2i)', '(7-8i)'] -> ((4+4i) * ((4-3i) - ((1-9i) / (1-9i))))
[65360] ['(3-9i)', '(5-7i)', '6', '(6+2i)'] -> (-4i * ((8+8i) - ((1-5i) + (7+7i))))
[65362] ['(3-9i)', '(5-7i)', '6', '(6+4i)'] -> (((3-9i) * (6+4i)) - ((5-7i) * 6))
[65373] ['(3-9i)', '(5-7i)', '6', '(8+8i)'] -> ((6 * (8+8i)) / ((5-7i) - (3-9i)))
[65408] ['(3-9i)', '(5-7i)', '(6+2i)', '(8-7i)'] -> (((8-7i) * ((5-7i) - (3-9i))) - (6+2i))
[65483] ['(3-9i)', '(5-7i)', '(6+6i)', '8'] -> ((4-8i) - ((2-5i) * ((9-7i) - (9-3i))))
[65486] ['(3-9i)', '(5-7i)', '(6+6i)', '(9-6i)'] -> (((9-6i) * ((5-7i) - (3-9i))) - (6+6i))
[65529] ['(3-9i)', '(5-7i)', '(6+9i)', '(8-i)'] -> (((1-5i) * (8+8i)) - (-4i * (8+6i)))
[65535] ['(3-9i)', '(5-7i)', '(6+9i)', '(8+8i)'] -> (4 * ((3-5i) + ((8+2i) / (1-i))))
[65545] ['(3-9i)', '(5-7i)', '(7-9i)', '(8-4i)'] -> (((7-9i) * ((5-7i) - (3-9i))) - (8-4i))
[65581] ['(3-9i)', '(5-7i)', '(7-7i)', '(9+9i)'] -> (((3-9i) + (9+9i)) * ((7-7i) - (5-7i)))
[65588] ['(3-9i)', '(5-7i)', '(7-6i)', '(9-9i)'] -> (((9-9i) * ((7-6i) - (5-7i))) - (3-9i))
[65607] ['(3-9i)', '(5-7i)', '(7-4i)', '(9-9i)'] -> (((3-9i) * ((7-4i) - (5-7i))) - (9-9i))
[65614] ['(3-9i)', '(5-7i)', '(7-4i)', '(9+6i)'] -> (((3-9i) + (5-7i)) / ((7-4i) / (9+6i)))
[65618] ['(3-9i)', '(5-7i)', '(7-3i)', '(8-8i)'] -> ((9+3i) - ((6-9i) * ((8+5i) - (9+6i))))
[65672] ['(3-9i)', '(5-7i)', '7', '9'] -> (((5-7i) * 9) - ((3-9i) * 7))
[65776] ['(3-9i)', '(5-7i)', '(7+7i)', '(9+9i)'] -> (((3-9i) + (5-7i)) + ((7+7i) + (9+9i)))
[65785] ['(3-9i)', '(5-7i)', '(7+8i)', '(9+8i)'] -> ((-7i + -4i) + ((1+4i) * (4-5i)))
[65795] ['(3-9i)', '(5-7i)', '(7+9i)', '(9+7i)'] -> ((((1-4i) * (8+4i)) - -4i) / (1-i))
[65807] ['(3-9i)', '(5-7i)', '(8-8i)', '8'] -> ((-4i * (1+4i)) - (-7i - (8-3i)))
[65813] ['(3-9i)', '(5-7i)', '(8-8i)', '9'] -> ((9 * ((8-8i) - (5-7i))) - (3-9i))
[65821] ['(3-9i)', '(5-7i)', '(8-7i)', '(9-3i)'] -> (((9-3i) * ((8-7i) - (5-7i))) - (3-9i))
[65898] ['(3-9i)', '(5-7i)', '(8+4i)', '(9-7i)'] -> (((9-7i) * ((5-7i) - (3-9i))) - (8+4i))
[65913] ['(3-9i)', '(5-7i)', '(8+7i)', '(8+9i)'] -> (((3-9i) + (5-7i)) + ((8+7i) + (8+9i)))
[65919] ['(3-9i)', '(5-7i)', '(8+8i)', '(8+8i)'] -> (((3-9i) + (5-7i)) + ((8+8i) + (8+8i)))
[65920] ['(3-9i)', '(5-7i)', '(8+8i)', '(9-9i)'] -> (((3-9i) * (8+8i)) / ((9-9i) - (5-7i)))
[65945] ['(3-9i)', '(5-7i)', '(9-3i)', '(9+9i)'] -> (((3-9i) + (5-7i)) / ((9-3i) / (9+9i)))
[66115] ['(3-9i)', '(5-6i)', '5', '(9+6i)'] -> (((4-i) + (6-4i)) + ((6+4i) + (8+i)))
[66199] ['(3-9i)', '(5-6i)', '(5+3i)', '8'] -> (((1-7i) + (7-5i)) / ((2-3i) / 6))
[66283] ['(3-9i)', '(5-6i)', '(5+9i)', '(8-6i)'] -> (((3-9i) + (5+9i)) * ((8-6i) - (5-6i)))
[66297] ['(3-9i)', '(5-6i)', '(6-9i)', '8'] -> (((3-9i) * 8) / ((6-9i) - (5-6i)))
[66324] ['(3-9i)', '(5-6i)', '(6-8i)', '(9+9i)'] -> (((9+9i) * ((6-8i) - (5-6i))) - (3-9i))
[66334] ['(3-9i)', '(5-6i)', '(6-7i)', '(9+4i)'] -> (((6-7i) * ((5-6i) - (3-9i))) - (9+4i))
[66336] ['(3-9i)', '(5-6i)', '(6-6i)', '(6+6i)'] -> (((6-6i) * ((5-6i) - (3-9i))) - (6+6i))
[66345] ['(3-9i)', '(5-6i)', '(6-6i)', '(9-3i)'] -> (((5-6i) * ((6-6i) - (3-9i))) - (9-3i))
[66356] ['(3-9i)', '(5-6i)', '(6-5i)', '(9-3i)'] -> (((3-9i) + (9-3i)) * ((6-5i) - (5-6i)))
[66372] ['(3-9i)', '(5-6i)', '(6-3i)', '6'] -> (((3-9i) * ((6-3i) - (5-6i))) - 6)
[66423] ['(3-9i)', '(5-6i)', '6', '(6+3i)'] -> (6 * ((6+3i) + ((3-9i) - (5-6i))))
[66473] ['(3-9i)', '(5-6i)', '(6+3i)', '(8-9i)'] -> (((6+3i) * ((8-9i) - (5-6i))) - (3-9i))
[66567] ['(3-9i)', '(5-6i)', '(6+9i)', '8'] -> (((6+9i) * 8) / ((5-6i) - (3-9i)))
[66649] ['(3-9i)', '(5-6i)', '(7-6i)', '(8+9i)'] -> (((7-6i) * ((5-6i) - (3-9i))) - (8+9i))
[66653] ['(3-9i)', '(5-6i)', '(7-6i)', '(9+9i)'] -> (((4-i) + (6-3i)) + ((6+i) + (8+3i)))
[66664] ['(3-9i)', '(5-6i)', '(7-5i)', '(9-9i)'] -> (((9-9i) * ((7-5i) - (5-6i))) - (3-9i))
[66699] ['(3-9i)', '(5-6i)', '(7-3i)', '(9-9i)'] -> (((3-9i) * ((7-3i) - (5-6i))) - (9-9i))
[66704] ['(3-9i)', '(5-6i)', '(7-2i)', '(8-8i)'] -> (((3-9i) * (8-8i)) / ((5-6i) - (7-2i)))
[66711] ['(3-9i)', '(5-6i)', '(7-2i)', '(9-3i)'] -> (((5-6i) * (9-3i)) - ((3-9i) * (7-2i)))
[66735] ['(3-9i)', '(5-6i)', '7', '(9+9i)'] -> (((3-9i) * (5-6i)) + (7 * (9+9i)))
[66828] ['(3-9i)', '(5-6i)', '(7+6i)', '(9+9i)'] -> (((3-9i) + (5-6i)) + ((7+6i) + (9+9i)))
[66837] ['(3-9i)', '(5-6i)', '(7+7i)', '9'] -> (((3-9i) * (5-6i)) + ((7+7i) * 9))
[66841] ['(3-9i)', '(5-6i)', '(7+7i)', '(9+8i)'] -> (((3-9i) + (5-6i)) + ((7+7i) + (9+8i)))
[66853] ['(3-9i)', '(5-6i)', '(7+8i)', '(9+7i)'] -> (((3-9i) + (5-6i)) + ((7+8i) + (9+7i)))
[66860] ['(3-9i)', '(5-6i)', '(7+9i)', '(9+6i)'] -> (((3-9i) + (5-6i)) + ((7+9i) + (9+6i)))
[66888] ['(3-9i)', '(5-6i)', '(8-7i)', '9'] -> ((9 * ((8-7i) - (5-6i))) - (3-9i))
[66898] ['(3-9i)', '(5-6i)', '(8-6i)', '(9-3i)'] -> (((9-3i) * ((8-6i) - (5-6i))) - (3-9i))
[67005] ['(3-9i)', '(5-6i)', '(8+6i)', '(8+9i)'] -> (((3-9i) + (5-6i)) + ((8+6i) + (8+9i)))
[67011] ['(3-9i)', '(5-6i)', '(8+7i)', '(8+8i)'] -> (((5-2i) + (5-2i)) + ((7-i) + (7+5i)))
[67023] ['(3-9i)', '(5-6i)', '(8+8i)', '(9-8i)'] -> ((-7i - -4i) + (3 * (8+i)))
[67274] ['(3-9i)', '(5-5i)', '5', '(9+7i)'] -> (((3-9i) / 5) * ((9+7i) - (5-5i)))
[67319] ['(3-9i)', '(5-5i)', '(5+2i)', '(8-6i)'] -> (((5-5i) * (5+2i)) - ((3-9i) + (8-6i)))
[67376] ['(3-9i)', '(5-5i)', '(5+4i)', '8'] -> (8 * ((5+4i) + ((3-9i) - (5-5i))))
[67528] ['(3-9i)', '(5-5i)', '(5+9i)', '(8-5i)'] -> (((4-i) + (6-2i)) + ((6+6i) + (8-3i)))
[67569] ['(3-9i)', '(5-5i)', '(6-8i)', '8'] -> (((3-9i) * 8) / ((6-8i) - (5-5i)))
[67599] ['(3-9i)', '(5-5i)', '(6-7i)', '(9+9i)'] -> (((9+9i) * ((6-7i) - (5-5i))) - (3-9i))
[67600] ['(3-9i)', '(5-5i)', '(6-6i)', '6'] -> (((5-5i) * ((6-6i) - (3-9i))) - 6)
[67674] ['(3-9i)', '(5-5i)', '(6-4i)', '(9-3i)'] -> (((4-2i) * (8+i)) - ((4-7i) + (6-5i)))
[67697] ['(3-9i)', '(5-5i)', '(6-2i)', '6'] -> (((3-9i) * ((6-2i) - (5-5i))) - 6)
[67720] ['(3-9i)', '(5-5i)', '6', '(6+4i)'] -> (6 * ((6+4i) + ((3-9i) - (5-5i))))
[67793] ['(3-9i)', '(5-5i)', '(6+3i)', '(8-8i)'] -> (((6+3i) * ((8-8i) - (5-5i))) - (3-9i))
[68010] ['(3-9i)', '(5-5i)', '(7-5i)', '(9+9i)'] -> (((3-9i) + (9+9i)) * ((7-5i) - (5-5i)))
[68017] ['(3-9i)', '(5-5i)', '(7-4i)', '(9-9i)'] -> (((9-9i) * ((7-4i) - (5-5i))) - (3-9i))
[68047] ['(3-9i)', '(5-5i)', '(7-2i)', '(9-9i)'] -> (((2-5i) * (5 - (4-6i))) - (8+7i))
[68058] ['(3-9i)', '(5-5i)', '(7-i)', '(8-8i)'] -> (((3-9i) * (8-8i)) / ((5-5i) - (7-i)))
[68069] ['(3-9i)', '(5-5i)', '(7-i)', '(9+9i)'] -> ((4-4i) * (((5-3i) + (6+5i)) - (8-i)))
[68090] ['(3-9i)', '(5-5i)', '7', '(9+8i)'] -> (((3-9i) / (5-5i)) * (7 + (9+8i)))
[68105] ['(3-9i)', '(5-5i)', '(7+i)', '(9+7i)'] -> ((6 * 8) / ((6-i) - (4-i)))
[68118] ['(3-9i)', '(5-5i)', '(7+2i)', '(9+6i)'] -> (((3-9i) / (5-5i)) * ((7+2i) + (9+6i)))
[68135] ['(3-9i)', '(5-5i)', '(7+3i)', '(9+5i)'] -> ((-4i + (4+4i)) * ((7-4i) - (1-4i)))
[68149] ['(3-9i)', '(5-5i)', '(7+4i)', '(9+4i)'] -> (((3-9i) / (5-5i)) * ((7+4i) + (9+4i)))
[68160] ['(3-9i)', '(5-5i)', '(7+5i)', '(9+3i)'] -> (((4-4i) + (5-3i)) + ((6+9i) + (9-2i)))
[68163] ['(3-9i)', '(5-5i)', '(7+5i)', '(9+9i)'] -> ((-i + (4-3i)) / (-i / (3-3i)))
[68179] ['(3-9i)', '(5-5i)', '(7+6i)', '(9+2i)'] -> ((8+2i) - ((7-9i) * ((4-4i) - (5-3i))))
[68181] ['(3-9i)', '(5-5i)', '(7+6i)', '(9+8i)'] -> (((3-9i) + (5-5i)) + ((7+6i) + (9+8i)))
[68189] ['(3-9i)', '(5-5i)', '(7+7i)', '(9+i)'] -> (((3-9i) / (5-5i)) * ((7+7i) + (9+i)))
[68191] ['(3-9i)', '(5-5i)', '(7+7i)', '(9+7i)'] -> (((3-9i) + (5-5i)) + ((7+7i) + (9+7i)))
[68199] ['(3-9i)', '(5-5i)', '(7+8i)', '9'] -> (((3-9i) / (5-5i)) * ((7+8i) + 9))
[68202] ['(3-9i)', '(5-5i)', '(7+8i)', '(9+6i)'] -> (((3-9i) + (5-5i)) + ((7+8i) + (9+6i)))
[68213] ['(3-9i)', '(5-5i)', '(7+9i)', '(9-i)'] -> (((3-9i) / (5-5i)) * ((7+9i) + (9-i)))
[68214] ['(3-9i)', '(5-5i)', '(7+9i)', '(9+5i)'] -> ((8-7i) - ((5+6i) * ((2-5i) - (4-6i))))
[68243] ['(3-9i)', '(5-5i)', '(8-6i)', '9'] -> ((9 * ((8-6i) - (5-5i))) - (3-9i))
[68249] ['(3-9i)', '(5-5i)', '(8-5i)', '(9-3i)'] -> (((9-3i) * ((8-5i) - (5-5i))) - (3-9i))
[68274] ['(3-9i)', '(5-5i)', '(8-i)', '(8+9i)'] -> (((5-i) - (9-i)) - (-7i * -4i))
[68283] ['(3-9i)', '(5-5i)', '8', '(8+8i)'] -> (((3-9i) / (5-5i)) * (8 + (8+8i)))
[68292] ['(3-9i)', '(5-5i)', '(8+i)', '(8+7i)'] -> (((3-9i) / (5-5i)) * ((8+i) + (8+7i)))
[68299] ['(3-9i)', '(5-5i)', '(8+2i)', '(8+6i)'] -> (((3-9i) / (5-5i)) * ((8+2i) + (8+6i)))
[68314] ['(3-9i)', '(5-5i)', '(8+3i)', '(8+5i)'] -> ((-7i - -4i) * ((5+9i) - (5+i)))
[68323] ['(3-9i)', '(5-5i)', '(8+4i)', '(8+4i)'] -> (-4i * ((6-6i) - ((1-4i) + (5-8i))))
[68336] ['(3-9i)', '(5-5i)', '(8+5i)', '(8+9i)'] -> (((4-4i) + (5-3i)) + ((7+2i) + (8+5i)))
[68343] ['(3-9i)', '(5-5i)', '(8+6i)', '(8+8i)'] -> (((3-9i) + (5-5i)) + ((8+6i) + (8+8i)))
[68354] ['(3-9i)', '(5-5i)', '(8+7i)', '(8+7i)'] -> (((3-9i) + (5-5i)) + ((8+7i) + (8+7i)))
[68372] ['(3-9i)', '(5-5i)', '(8+8i)', '(9-7i)'] -> (((3-9i) * (8+8i)) / ((9-7i) - (5-5i)))
[68375] ['(3-9i)', '(5-5i)', '(8+8i)', '(9+3i)'] -> (((8+8i) * (9+3i)) / ((5-5i) - (3-9i)))
[68379] ['(3-9i)', '(5-5i)', '(8+9i)', '(9-6i)'] -> ((9-6i) + ((8+9i) * ((3-9i) / (5-5i))))
[68413] ['(3-9i)', '(5-5i)', '(9-3i)', '(9+7i)'] -> ((9-3i) + ((9+7i) * ((3-9i) / (5-5i))))
[68556] ['(3-9i)', '(5-4i)', '5', '(9+8i)'] -> ((8-8i) - ((8+4i) * ((4-i) - (6-i))))
[68588] ['(3-9i)', '(5-4i)', '(5+2i)', '(6-i)'] -> (((5-4i) * (5+2i)) - ((3-9i) + (6-i)))
[68665] ['(3-9i)', '(5-4i)', '(5+5i)', '8'] -> (8 * ((5+5i) + ((3-9i) - (5-4i))))
[68750] ['(3-9i)', '(5-4i)', '(5+9i)', '(8-4i)'] -> (((3-9i) + (5+9i)) * ((8-4i) - (5-4i)))
