[168436] ['2/5', '4/7', '5/8', '9/8', '6'] -> 6 / 4/7 / (5/8 / 2/5 - 9/8)
[169377] ['5/9', '8/3', '3', '7/2', '7/2'] -> 8/3 / (5/9 * (3 + 7/2) - 7/2)
[169378] ['1/4', '1/2', '4/7', '5/8', '7'] -> (1/2 + 4/7 * 5/8) / (1/4 / 7)
[169379] ['3/7', '3/7', '9/8', '2', '7/3'] -> 3/7 / 3/7 / (7/3 / 2 - 9/8)
[169380] ['2/3', '8/9', '6/5', '7/4', '9'] -> (2/3 + 8/9 * 7/4) * 6/5 * 9
[169381] ['1/7', '2/7', '4/5', '4/3', '7'] -> 2/7 / (4/3 / 7 - 1/7 / 4/5)
[169382] ['7/9', '7/6', '7/6', '5/4', '4'] -> 7/6 * 4 / (7/6 - 7/9 * 5/4)
[169383] ['5/9', '8/9', '6/5', '7/3', '8'] -> 8/9 / 5/9 + 8 * 6/5 * 7/3
[169384] ['3/7', '3/7', '9/8', '2', '5/2'] -> 3/7 / (5/2 - (2 + 3/7 * 9/8))
[169385] ['5/8', '7/8', '8/7', '2', '9/2'] -> 2 * 9/2 / (7/8 * 8/7 - 5/8)
[169386] ['2/5', '1', '9/8', '8/5', '9/2'] -> 9/2 / ((8/5 - 9/8) / 2/5 - 1)
[169387] ['2/3', '8/9', '6/5', '7/3', '9'] -> 9 * (8/9 + 7/3 - 2/3 / 6/5)
[169388] ['1/9', '1/6', '8/9', '6/5', '9'] -> 8/9 / 6/5 * 9 / (1/9 + 1/6)
[169389] ['1/4', '1/2', '4/7', '4/5', '7'] -> (1/2 + 4/7) * 7 / (1/4 / 4/5)
[169390] ['4/7', '5/8', '3/4', '8/9', '6'] -> 6 / (5/8 / 4/7 - 3/4 / 8/9)
[169391] ['2/5', '4/7', '9/8', '7/4', '6'] -> 6 / (7/4 / 4/7 - 9/8 / 2/5)
[169392] ['3/4', '3/4', '3/4', '8/3', '5'] -> 5 / (3/4 - 3/4 * 3/4) - 8/3
[169393] ['1/9', '1/6', '8/9', '5/4', '9'] -> 9 / (1/6 * (5/4 + 1/9 + 8/9))
[169394] ['5/6', '5/3', '5/3', '9/4', '3'] -> 5/3 * 3 / (5/6 * 9/4 - 5/3)
[169395] ['1/7', '2/7', '4/5', '5/3', '7'] -> (7 + 1/7 / 5/3) / 2/7 - 4/5
[169396] ['3/7', '3/7', '9/8', '2', '7/2'] -> 3/7 / (2 - 3/7 * (9/8 + 7/2))
[169397] ['4/7', '4/7', '4/7', '5/8', '3'] -> 3 / (5/8 - 4/7 / (4/7 + 4/7))
[169398] ['7/9', '7/6', '7/6', '5/3', '4'] -> 4 / (7/9 / 7/6 + 7/6 - 5/3)
[169399] ['1/4', '1/2', '4/7', '8/9', '7'] -> 7 / (8/9 * (4/7 - 1/4)) - 1/2
[169400] ['5/6', '5/3', '5/3', '7/3', '3'] -> (5/3 + 7/3) * 3 / (5/6 / 5/3)
[169401] ['2/5', '4/7', '9/8', '9/5', '6'] -> 9/8 + (6 + 9/5 / 4/7) / 2/5
[169402] ['1/9', '1/6', '8/9', '9/7', '9'] -> 9 / (9/7 * (1/6 + 1/9 / 8/9))
[169403] ['4/7', '4/7', '4/7', '2/3', '3'] -> (4/7 + 4/7 * 3) / (2/3 - 4/7)
[169404] ['4/7', '5/8', '3/4', '5/4', '6'] -> 6 / ((5/4 - 3/4) / 4/7 - 5/8)
[169405] ['2/3', '8/9', '6/5', '9/2', '9'] -> 9 * (9/2 * 8/9 / 6/5 - 2/3)
[169406] ['5/9', '8/9', '5/4', '7/5', '8'] -> 8 / (8/9 * 5/4 - 5/9 * 7/5)
[169407] ['2/5', '1', '9/8', '5/3', '7/3'] -> (7/3 + 2/5 * 5/3) / (9/8 - 1)
[169408] ['4/7', '4/7', '4/7', '5/7', '3'] -> 3 * (4/7 + 4/7) / (5/7 - 4/7)
[169409] ['2/7', '3/4', '9/2', '9/2', '6'] -> (6 + 9/2 / (3/4 + 9/2)) / 2/7
[169410] ['1/4', '1/2', '4/7', '6/5', '7'] -> 4/7 * 7 / (1/2 / 6/5 - 1/4)
[169411] ['5/8', '7/8', '7/6', '8/5', '2'] -> 5/8 * 8/5 / (7/8 + 7/6 - 2)
[169412] ['7/9', '7/6', '7/6', '9/4', '4'] -> (7/6 + 7/6 / 7/9) * 9/4 * 4
[169413] ['3/4', '3/4', '7/9', '4/5', '5'] -> 4/5 * 5 / (3/4 - 3/4 * 7/9)
[169414] ['3/8', '2/3', '5/6', '5/4', '7'] -> (7 / 2/3 - 5/4 / 5/6) / 3/8
[169415] ['2/5', '1', '9/8', '5/3', '5/2'] -> 1 / (5/3 * (2/5 + 9/8) - 5/2)
[169416] ['4/7', '5/8', '3/4', '7/5', '6'] -> 6 / (3/4 - 7/5 * 4/7 * 5/8)
[169417] ['5/9', '8/9', '5/4', '9/5', '8'] -> (5/9 + 8/9 * 5/4) * 9/5 * 8
[169418] ['3/7', '3/7', '8/7', '5/4', '2'] -> 2 / (8/7 / (3/7 + 3/7) - 5/4)
[169419] ['1/9', '1/6', '8/9', '7/4', '9'] -> (8/9 - 1/9) * 9 / (1/6 * 7/4)
[169420] ['3/8', '2/3', '5/6', '9/7', '7'] -> (5/6 + 7 / (2/3 * 9/7)) / 3/8
[169421] ['2/5', '4/7', '9/8', '5/2', '6'] -> 6 / (2/5 / 4/7 - 9/8 / 5/2)
[169422] ['1/7', '2/7', '4/5', '8/3', '7'] -> 2/7 + 8/3 * (1/7 + 7 / 4/5)
[169423] ['5/9', '8/9', '5/4', '7/3', '8'] -> 8 / (7/3 - 5/4 / (5/9 / 8/9))
[169424] ['3/7', '3/7', '8/7', '9/7', '2'] -> 8/7 * 2 / (3/7 - 3/7 / 9/7)
[169425] ['1/9', '1/6', '8/9', '9/5', '9'] -> (9 / 9/5 - (1/9 + 8/9)) / 1/6
[169426] ['1/4', '1/2', '4/7', '8/5', '7'] -> (1/2 + 4/7 / 8/5) / (1/4 / 7)
[169427] ['2/5', '1', '9/8', '5/3', '7/2'] -> 7/2 / (9/8 / 2/5 - (1 + 5/3))
[169428] ['4/7', '5/8', '3/4', '7/4', '6'] -> (4/7 + 6 / 3/4) / (5/8 / 7/4)
[169429] ['5/6', '5/3', '7/4', '3', '7/2'] -> (5/6 + 7/2 / 3) / (7/4 - 5/3)
[169430] ['7/9', '7/6', '6/5', '6/5', '4'] -> 7/9 * 6/5 / (6/5 - 7/6) - 4
[169431] ['3/7', '3/7', '8/7', '4/3', '2'] -> 8/7 / (4/3 - (3/7 + 3/7 * 2))
[169432] ['1/7', '2/7', '4/5', '7/2', '7'] -> 7/2 * 7 - (1/7 + 2/7 / 4/5)
[169433] ['2/3', '8/9', '5/4', '9/5', '9'] -> 9 * (2/3 + 9/5 * 8/9 * 5/4)
[169434] ['1/9', '1/6', '9/8', '9/8', '9'] -> 9 / (9/8 - 9/8 * 1/9 / 1/6)
[169435] ['1/4', '1/2', '4/7', '5/3', '7'] -> 1/2 * 4/7 / (1/4 - 5/3 / 7)
[169436] ['2/5', '1', '9/8', '5/3', '9/2'] -> 9/2 * 2/5 * 5/3 / (9/8 - 1)
[169437] ['5/8', '7/8', '7/6', '2', '8/3'] -> 8/3 * (5/8 + 2) / (7/6 - 7/8)
[169438] ['4/7', '4/7', '4/7', '7/8', '3'] -> 4/7 * 3 / (4/7 - 4/7 * 7/8)
[169439] ['3/4', '3/4', '7/9', '9/8', '5'] -> 5 / (3/4 * 7/9 + 3/4 - 9/8)
[169440] ['7/9', '7/6', '6/5', '9/7', '4'] -> 4 / (7/9 + 7/6) / (9/7 - 6/5)
[169441] ['4/7', '5/8', '3/4', '7/3', '6'] -> (6 + 4/7 * 3/4) / (5/8 / 7/3)
[169442] ['2/5', '4/7', '9/8', '9/2', '6'] -> 9/8 + 9/2 / 4/7 + 6 / 2/5
[169443] ['2/7', '7/9', '7/9', '6/5', '6'] -> 6/5 * (6 / 2/7 - 7/9 / 7/9)
[169444] ['5/6', '5/3', '9/4', '7/3', '3'] -> 9/4 / (5/6 / 5/3) * (7/3 + 3)
[169445] ['3/8', '2/3', '5/6', '9/2', '7'] -> 7 / (9/2 * 3/8 * 2/3 - 5/6)
[169446] ['4/7', '4/7', '4/7', '8/9', '3'] -> 4/7 * 3 / (4/7 / 8/9 - 4/7)
[169447] ['1/9', '1/6', '9/8', '7/6', '9'] -> 9 / 9/8 / (1/6 / 1/9 - 7/6)
[169448] ['2/3', '8/9', '9/7', '9/7', '9'] -> 8/9 * 9 / (9/7 / 9/7 - 2/3)
[169449] ['2/7', '7/9', '7/9', '5/4', '6'] -> 6 / (5/4 - (7/9 + 2/7 * 7/9))
[169450] ['2/5', '4/7', '8/7', '8/7', '6'] -> 8/7 * 6 / (4/7 / 2/5 - 8/7)
[169451] ['5/6', '5/3', '9/4', '8/3', '3'] -> 3 * (5/3 / 5/6 + 9/4 * 8/3)
[169452] ['4/7', '4/7', '4/7', '9/8', '3'] -> 4/7 * 3 / (4/7 * 9/8 - 4/7)
[169453] ['2/3', '8/9', '9/7', '4/3', '9'] -> 9/7 * 4/3 * 9 * (2/3 + 8/9)
[169454] ['1/4', '1/2', '3/5', '5/7', '7'] -> 3/5 * 5/7 * 7 / (1/4 * 1/2)
[169455] ['3/7', '3/7', '8/7', '5/3', '2'] -> 8/7 / (2 * (3/7 + 3/7) - 5/3)
[169456] ['1/9', '1/6', '9/8', '5/4', '9'] -> 1/9 * 9 / (1/6 + 9/8 - 5/4)
[169457] ['4/7', '4/7', '4/7', '8/7', '3'] -> 4/7 * 3 / (4/7 - 4/7 / 8/7)
[169458] ['5/8', '7/8', '6/5', '9/7', '2'] -> 6/5 / 7/8 / (9/7 / 5/8 - 2)
[169459] ['2/5', '4/7', '8/7', '7/6', '6'] -> (4/7 + 8/7 / 2/5) * 7/6 * 6
[169460] ['5/8', '7/8', '6/5', '4/3', '2'] -> 2 / (4/3 - (5/8 + 7/8) / 6/5)
[169461] ['4/7', '4/7', '4/7', '7/6', '3'] -> 4/7 / (4/7 + 7/6 - 4/7 * 3)
[169462] ['2/7', '7/9', '7/9', '4/3', '6'] -> (6 + 4/3 / (7/9 + 7/9)) / 2/7
[169463] ['1/7', '2/7', '5/6', '9/7', '7'] -> 9/7 * (7 / 2/7 - 5/6 / 1/7)
[169464] ['3/8', '2/3', '6/7', '6/5', '7'] -> (7 / 6/7 - 2/3) / (3/8 / 6/5)
[169465] ['3/7', '3/7', '8/7', '9/5', '2'] -> 8/7 / (2 * 3/7 / 9/5 - 3/7)
[169466] ['2/3', '8/9', '9/7', '3/2', '9'] -> (9/7 + 9) * 3/2 * (2/3 + 8/9)
[169467] ['5/9', '8/9', '9/7', '5/3', '8'] -> 9/7 * (8/9 + 8 * (5/9 + 5/3))
[169468] ['5/8', '7/8', '6/5', '7/5', '2'] -> 6/5 * 2 / (5/8 + 7/8 - 7/5)
[169469] ['5/6', '5/3', '8/3', '8/3', '3'] -> 3 * (8/3 + 8/3 / (5/6 / 5/3))
[169470] ['1/7', '2/7', '5/6', '4/3', '7'] -> 2/7 / (5/6 / 7 - 1/7 / 4/3)
[169471] ['3/7', '3/7', '8/7', '2', '7/3'] -> 3/7 / 3/7 / (7/3 / 8/7 - 2)
[169472] ['1/4', '1/2', '3/5', '6/7', '7'] -> 7 * (1/2 / 1/4 + 6/7 / 3/5)
[169473] ['5/8', '7/8', '6/5', '8/5', '2'] -> 6/5 * 2 / (8/5 - (5/8 + 7/8))
[169474] ['7/9', '7/6', '6/5', '9/5', '4'] -> 9/5 * 4 / (7/6 / 7/9 - 6/5)
[169475] ['1/4', '1/2', '3/5', '7/8', '7'] -> 7 / (1/4 + 7/8 - 1/2 / 3/5)
[169476] ['5/9', '8/9', '9/7', '9/5', '8'] -> 8 * (8/9 / 5/9 + 9/5 / 9/7)
[169477] ['5/6', '7/4', '7/4', '9/5', '3'] -> 5/6 * 9/5 / (7/4 * 7/4 - 3)
[169478] ['1/7', '2/7', '5/6', '3/2', '7'] -> (7 + 1/7 / 3/2) / 2/7 - 5/6
[169479] ['3/4', '3/4', '7/9', '5/3', '5'] -> 3/4 / (7/9 - 3/4) - 5 / 5/3
[169480] ['4/7', '5/8', '7/9', '6/7', '6'] -> (6/7 + 6 / 7/9) / (4/7 * 5/8)
[169481] ['1/9', '1/6', '9/8', '7/4', '9'] -> 9 / (7/4 / 1/6 - 9/8 / 1/9)
[169482] ['2/7', '7/9', '7/9', '5/3', '6'] -> (5/3 - 7/9) * 6 / (2/7 * 7/9)
[169483] ['2/5', '4/7', '8/7', '7/3', '6'] -> 7/3 * (6 + (4/7 + 8/7) / 2/5)
[169484] ['2/3', '8/9', '9/7', '9/4', '9'] -> 9/7 * (2/3 + 9 * 8/9 * 9/4)
[169485] ['5/8', '7/8', '6/5', '7/4', '2'] -> 6/5 / ((2 - 7/8) / 5/8 - 7/4)
[169486] ['1/7', '2/7', '5/6', '8/5', '7'] -> 7 / (1/7 + 2/7 * 5/6 / 8/5)
[169487] ['1/4', '1/2', '3/5', '9/8', '7'] -> 7 / (9/8 - 1/4 / 1/2 / 3/5)
[169488] ['3/7', '3/7', '8/7', '2', '9/2'] -> 8/7 * 9/2 / (3/7 - 3/7 / 2)
[169489] ['2/3', '8/9', '9/7', '7/3', '9'] -> 7/3 / (2/3 / 8/9) * (9 - 9/7)
[169490] ['2/5', '1', '9/8', '9/5', '5/2'] -> 1 / ((5/2 - 2/5) / 9/5 - 9/8)
[169491] ['5/9', '8/9', '9/7', '5/2', '8'] -> (8 / 9/7 - 8/9) / (5/9 / 5/2)
[169492] ['7/9', '7/6', '6/5', '5/2', '4'] -> 4 / (5/2 - 6/5 * (7/9 + 7/6))
[169493] ['1/9', '1/6', '9/8', '9/5', '9'] -> 1/6 / (1/9 - 9/8 / (9/5 + 9))
[169494] ['3/7', '3/7', '7/6', '7/6', '2'] -> 2 / 7/6 / (3/7 * 7/6 - 3/7)
[169495] ['4/7', '4/7', '4/7', '5/3', '3'] -> (4/7 + 4/7) / (4/7 * 3 - 5/3)
[169496] ['3/7', '3/7', '7/6', '6/5', '2'] -> 2 / (7/6 * (3/7 - 3/7 / 6/5))
[169497] ['5/9', '8/9', '9/7', '7/2', '8'] -> (8/9 + 5/9 * 8) * 9/7 * 7/2
[169498] ['5/8', '7/8', '6/5', '2', '5/2'] -> 6/5 * 2 * 5/2 / (7/8 - 5/8)
[169499] ['2/3', '8/9', '9/7', '7/2', '9'] -> 9/7 * 7/2 * 9 * 2/3 * 8/9
[169500] ['3/7', '3/7', '7/6', '9/7', '2'] -> (2 + 3/7 + 3/7) / (9/7 - 7/6)
[169501] ['3/4', '3/4', '7/9', '5/2', '5'] -> 5/2 / (3/4 * 5) / (7/9 - 3/4)
[169502] ['1/9', '1/6', '8/7', '8/7', '9'] -> (8/7 + 8/7) * (9 + 1/6 / 1/9)
[169503] ['3/8', '2/3', '6/7', '8/3', '7'] -> (8/3 + 7) / (2/3 / 6/7 - 3/8)
[169504] ['5/6', '7/4', '9/5', '5/2', '3'] -> 3 / (9/5 * 5/6 * 7/4 - 5/2)
[169505] ['1/7', '2/7', '5/6', '9/4', '7'] -> 7 / (9/4 * 1/7 / 2/7 - 5/6)
[169506] ['2/5', '4/7', '7/6', '5/4', '6'] -> 6 / (4/7 - 2/5) / (7/6 * 5/4)
[169507] ['3/7', '3/7', '7/6', '4/3', '2'] -> 3/7 / (7/6 / 4/3 - 3/7 * 2)
[169508] ['2/7', '7/9', '7/9', '8/3', '6'] -> 8/3 * (2/7 + (7/9 + 6) / 7/9)
[169509] ['4/7', '5/8', '7/9', '5/4', '6'] -> 5/4 / (7/9 * (5/8 - 4/7)) - 6
[169510] ['3/4', '3/4', '7/9', '7/2', '5'] -> 3/4 + 3/4 + 5 / (7/9 / 7/2)
[169511] ['1/9', '1/6', '8/7', '7/6', '9'] -> 8/7 * (9 + (1/6 + 7/6) / 1/9)
[169512] ['1/7', '2/7', '5/6', '5/2', '7'] -> 7 * (1/7 + 2/7 + 5/2 / 5/6)
[169513] ['5/9', '8/9', '4/3', '5/3', '8'] -> 8 / (8/9 / 4/3 - 5/9 / 5/3)
[169514] ['7/9', '7/6', '5/4', '4/3', '4'] -> 4 / (5/4 * 4/3 - 7/6 / 7/9)
[169515] ['2/5', '1', '9/8', '9/4', '5/2'] -> 5/2 / (9/8 / 9/4 - 2/5) - 1
[169516] ['1/7', '2/7', '5/6', '7/2', '7'] -> (7/2 - 5/6) * (7 + 2/7 / 1/7)
[169517] ['4/7', '4/7', '4/7', '8/3', '3'] -> 4/7 / (4/7 / 8/3 - 4/7 / 3)
[169518] ['1/9', '1/6', '8/7', '6/5', '9'] -> 9 / (1/6 / 1/9 - 8/7) - 6/5
[169519] ['2/3', '8/9', '7/5', '7/5', '9'] -> 8/9 * 9 / (7/5 / 7/5 - 2/3)
[169520] ['3/8', '2/3', '7/8', '7/5', '7'] -> 7 / 7/5 / (2/3 * 7/8 - 3/8)
[169521] ['4/7', '4/7', '4/7', '3', '7/2'] -> 4/7 / (7/2 / 3 - (4/7 + 4/7))
[169522] ['5/6', '7/4', '9/4', '9/4', '3'] -> 3 / (9/4 * (5/6 - 7/4 / 9/4))
[169523] ['1/4', '1/2', '5/8', '7/9', '7'] -> 7 / (7/9 * (5/8 + 1/4 - 1/2))
[169524] ['3/4', '3/4', '4/5', '7/8', '5'] -> 5 * 3/4 * 4/5 / (7/8 - 3/4)
[169525] ['2/5', '4/7', '7/6', '7/4', '6'] -> (7/4 + 6 / (2/5 * 4/7)) / 7/6
[169526] ['2/7', '7/9', '4/5', '6/7', '6'] -> (6/7 + 6 / 7/9) / (2/7 / 4/5)
[169527] ['5/8', '7/8', '5/4', '8/5', '2'] -> (8/5 + 2) / (7/8 / 5/8 - 5/4)
[169528] ['5/9', '8/9', '7/5', '9/4', '8'] -> 8 / 5/9 / (8/9 * 9/4 - 7/5)
[169529] ['3/8', '2/3', '7/8', '9/5', '7'] -> 9/5 * (7 / (7/8 - 3/8) - 2/3)
[169530] ['2/5', '4/7', '7/6', '9/5', '6'] -> (6 - 4/7 * 7/6) / (2/5 / 9/5)
[169531] ['5/6', '7/4', '7/3', '7/3', '3'] -> 7/3 / 7/4 / (5/6 - 7/3 / 3)
[169532] ['1/4', '1/2', '5/8', '9/7', '7'] -> 9/7 * 7 / (5/8 + 1/4 - 1/2)
[169533] ['1/7', '2/7', '6/7', '8/5', '7'] -> 8/5 * (7 + (2/7 + 6/7) / 1/7)
[169534] ['5/9', '8/9', '7/5', '8/3', '8'] -> 8 / (8/9 / 5/9 + 7/5 - 8/3)
[169535] ['3/8', '2/3', '7/8', '9/4', '7'] -> (9/4 / 2/3 - 3/8) / (7/8 / 7)
[169536] ['7/9', '7/6', '5/4', '7/3', '4'] -> 7/6 / (7/9 - 5/4 * 7/3 / 4)
[169537] ['2/5', '4/7', '7/6', '9/4', '6'] -> 6 / (4/7 - 2/5 / 7/6) - 9/4
[169538] ['5/8', '7/8', '5/4', '9/5', '2'] -> 9/5 * 2 / (7/8 / 5/8 - 5/4)
[169539] ['5/6', '7/4', '7/3', '5/2', '3'] -> 3 / (7/4 * (7/3 - 5/6) - 5/2)
[169540] ['4/7', '4/7', '3/5', '2/3', '3'] -> 3 * (4/7 / (2/3 - 3/5) - 4/7)
[169541] ['2/5', '1', '9/8', '7/3', '8/3'] -> 8/3 / (7/3 - 1 / (2/5 * 9/8))
[169542] ['3/4', '3/4', '4/5', '7/6', '5'] -> 4/5 * 5 / (7/6 - 3/4 / 3/4)
[169543] ['7/9', '7/6', '5/4', '5/2', '4'] -> 4 / (7/9 / 7/6 - 5/4 / 5/2)
[169544] ['3/7', '3/7', '7/6', '2', '8/3'] -> 3/7 / 2 / (7/6 / 8/3 - 3/7)
[169545] ['2/5', '4/7', '7/6', '5/2', '6'] -> 5/2 * (2/5 + 6) / (4/7 * 7/6)
[169546] ['5/6', '7/4', '7/3', '8/3', '3'] -> 7/3 / 7/4 / (8/3 / 3 - 5/6)
[169547] ['7/9', '7/6', '5/4', '8/3', '4'] -> 8/3 / (7/9 / 4 + 7/6 - 5/4)
[169548] ['1/9', '1/6', '8/7', '7/4', '9'] -> 9 * (1/9 / 1/6 + 8/7 * 7/4)
[169549] ['2/5', '1', '9/8', '7/3', '9/2'] -> 9/2 / 9/8 / (1 / 2/5 - 7/3)
[169550] ['2/5', '4/7', '7/6', '8/3', '6'] -> 6 / (2/5 * (8/3 - 7/6 / 4/7))
[169551] ['3/4', '3/4', '4/5', '9/7', '5'] -> 4/5 * 5 / (3/4 - 3/4 / 9/7)
[169552] ['3/7', '3/7', '7/6', '2', '9/2'] -> 7/6 * (9/2 / (3/7 / 2) - 3/7)
[169553] ['5/6', '7/4', '7/3', '3', '9/2'] -> 7/4 + 9/2 * (3 + 5/6 * 7/3)
[169554] ['3/8', '2/3', '8/9', '7/6', '7'] -> (7 / 2/3 - 7/6) / 3/8 - 8/9
[169555] ['3/4', '3/4', '4/5', '4/3', '5'] -> 4/5 * 5 / (3/4 + 3/4 - 4/3)
[169556] ['5/8', '7/8', '5/4', '2', '7/2'] -> (7/2 + 5/4 * 2) / (7/8 - 5/8)
[169557] ['4/7', '4/7', '3/5', '5/6', '3'] -> 4/7 * 3 / (4/7 - 3/5 * 5/6)
[169558] ['5/6', '7/4', '5/2', '5/2', '3'] -> 5/2 * (7/4 / 5/6 + 5/2 * 3)
[169559] ['5/9', '8/9', '8/5', '9/2', '8'] -> 9/2 * (8 / 8/5 - (5/9 - 8/9))
[169560] ['7/9', '7/6', '9/7', '7/5', '4'] -> 4 / (7/9 * 9/7 - 7/6 / 7/5)
[169561] ['2/5', '1', '9/8', '5/2', '7/2'] -> 1 + 9/8 + 7/2 / (2/5 / 5/2)
[169562] ['1/4', '1/2', '2/3', '7/5', '7'] -> 7 / (1/2 * 7/5) / (2/3 - 1/4)
[169563] ['3/8', '2/3', '8/9', '6/5', '7'] -> 6/5 * (8/9 / 2/3 + 7 / 3/8)
[169564] ['4/7', '5/8', '7/9', '7/2', '6'] -> (7/2 / 7/9 + 6 / 4/7) / 5/8
[169565] ['2/5', '4/7', '7/6', '9/2', '6'] -> 7/6 * 9/2 * (6 - 4/7 / 2/5)
[169566] ['2/5', '1', '9/8', '5/2', '9/2'] -> 5/2 * 9/2 / (2/5 * 9/8) - 1
[169567] ['5/6', '7/4', '5/2', '3', '7/2'] -> (5/2 + 7/2) / (5/6 - 7/4 / 3)
[169568] ['1/7', '2/7', '7/8', '4/3', '7'] -> (7 + 1/7 / 4/3) / 2/7 - 7/8
[169569] ['5/8', '7/8', '9/7', '4/3', '2'] -> 4/3 / (2 / 9/7 - (5/8 + 7/8))
[169570] ['1/9', '1/6', '8/7', '9/2', '9'] -> (9/2 - 1/9 * 9) / (1/6 / 8/7)
[169571] ['5/9', '8/9', '5/3', '9/2', '8'] -> 9/2 * (8 - 5/3 / (5/9 / 8/9))
[169572] ['2/3', '8/9', '8/5', '9/4', '9'] -> 8/5 / (2/3 / 8/9) * (9/4 + 9)
[169573] ['1/9', '1/6', '7/6', '7/6', '9'] -> (9 - (7/6 + 7/6)) / (1/9 + 1/6)
[169574] ['1/4', '1/2', '5/7', '7/9', '7'] -> (5/7 + 7) * 7/9 / (1/2 - 1/4)
[169575] ['4/7', '5/8', '4/5', '4/5', '6'] -> 6 * (4/5 / (4/5 - 5/8) - 4/7)
[169576] ['5/6', '7/4', '3', '7/2', '7/2'] -> 7/2 / (7/4 * (3 - 5/6 * 7/2))
[169577] ['2/3', '8/9', '8/5', '7/2', '9'] -> 9 * (7/2 - 8/9 / (2/3 * 8/5))
[169578] ['7/9', '7/6', '9/7', '7/4', '4'] -> 4 / 7/9 / (7/4 / 7/6 - 9/7)
[169579] ['2/5', '1', '9/8', '7/2', '9/2'] -> (7/2 + 1 / 2/5) / (9/8 / 9/2)
[169580] ['3/4', '3/4', '4/5', '5/2', '5'] -> 5 * (3/4 + 3/4 + 4/5 + 5/2)
[169581] ['1/4', '1/2', '5/7', '4/5', '7'] -> (7 / (5/7 * 4/5) - 1/4) / 1/2
[169582] ['1/7', '2/7', '7/8', '7/4', '7'] -> 7 / (7/8 / (1/7 + 2/7) - 7/4)
[169583] ['2/3', '8/9', '8/5', '9/2', '9'] -> 8/5 * (9 + 9/2 / (2/3 / 8/9))
[169584] ['4/7', '5/8', '4/5', '7/8', '6'] -> 6 / (4/7 * 5/8) / (4/5 * 7/8)
[169585] ['3/4', '3/4', '4/5', '7/2', '5'] -> (7/2 - 4/5) * 5 / (3/4 * 3/4)
[169586] ['3/8', '2/3', '8/9', '9/5', '7'] -> 9/5 * (8/9 + 7 / (3/8 / 2/3))
[169587] ['1/4', '1/2', '5/7', '5/6', '7'] -> 5/7 / 5/6 * 7 / (1/2 - 1/4)
[169588] ['5/9', '8/9', '9/5', '9/4', '8'] -> 8 * (5/9 * 9/5 + 8/9 * 9/4)
[169589] ['1/9', '1/6', '7/6', '9/7', '9'] -> 9 + (1/6 + 7/6 * 9/7) / 1/9
[169590] ['2/5', '4/7', '6/5', '5/2', '6'] -> (6 / 4/7 - 5/2) / (2/5 / 6/5)
[169591] ['2/7', '7/9', '4/5', '7/4', '6'] -> 6 / (2/7 * 4/5) - 7/4 / 7/9
[169592] ['4/7', '4/7', '3/5', '6/5', '3'] -> 4/7 * 3 / (4/7 - 3/5 / 6/5)
[169593] ['1/7', '2/7', '7/8', '9/4', '7'] -> (7 / 7/8 - 2/7) / (1/7 * 9/4)
[169594] ['7/9', '7/6', '9/7', '5/2', '4'] -> 4 * (9/7 + (7/6 + 5/2) / 7/9)
[169595] ['2/5', '4/7', '6/5', '8/3', '6'] -> 6 / (2/5 / 4/7 - 6/5 / 8/3)
[169596] ['5/9', '8/9', '9/5', '7/2', '8'] -> 8/9 * (7/2 * 8 - 5/9 * 9/5)
[169597] ['3/8', '2/3', '8/9', '9/4', '7'] -> 9/4 + (2/3 + 7 / 3/8) / 8/9
[169598] ['2/5', '1', '8/7', '8/7', '7/6'] -> (8/7 + 8/7 / 2/5) / (7/6 - 1)
[169599] ['4/7', '5/8', '4/5', '9/8', '6'] -> 6 / (9/8 - 4/5 / (4/7 / 5/8))
[169600] ['5/8', '7/8', '9/7', '2', '9/4'] -> 9/7 / (5/8 + 2 - 9/4 / 7/8)
[169601] ['1/7', '2/7', '7/8', '5/2', '7'] -> (5/2 + 1/7 / 2/7) / (7/8 / 7)
[169602] ['2/3', '8/9', '7/4', '7/4', '9'] -> 8/9 * 9 / (7/4 / 7/4 - 2/3)
[169603] ['2/5', '1', '8/7', '8/7', '6/5'] -> 6/5 / (2/5 / 8/7) / (8/7 - 1)
[169604] ['4/7', '4/7', '3/5', '9/7', '3'] -> 4/7 * (9/7 / (3/5 - 4/7) - 3)
[169605] ['4/7', '5/8', '4/5', '7/6', '6'] -> 6 / (5/8 / (7/6 - 4/7) - 4/5)
[169606] ['1/7', '2/7', '7/8', '8/3', '7'] -> (7/8 + 8/3) * (7 - 1/7) - 2/7
[169607] ['7/9', '7/6', '4/3', '7/5', '4'] -> 4 / (7/9 * (7/6 - 4/3 / 7/5))
[169608] ['3/4', '3/4', '5/6', '7/6', '5'] -> 5 / (3/4 * 5/6 + 3/4 - 7/6)
[169609] ['2/3', '8/9', '7/4', '7/2', '9'] -> 9 / (2/3 / 8/9) / (7/4 / 7/2)
[169610] ['2/7', '7/9', '4/5', '5/2', '6'] -> 5/2 * (6 + 4/5 / (2/7 * 7/9))
[169611] ['4/7', '5/8', '4/5', '6/5', '6'] -> 6 / (6/5 / (4/7 + 4/5) - 5/8)
[169612] ['7/9', '7/6', '4/3', '3/2', '4'] -> 4/3 / (4 * (7/6 - 7/9) - 3/2)
