[310276] ['1/3', '3/5', '2/3', '5/7', '9'] -> (9 / 5/7 - 3/5) / (1/3 / 2/3)
[311052] ['5/6', '9/7', '9/5', '9/5', '7'] -> 5/6 * 7 * (9/5 + 9/7 * 9/5)
[311053] ['1/5', '3/8', '5/9', '3', '7/2'] -> 3 / (7/2 - 3/8 / (1/5 * 5/9))
[311054] ['1/8', '1/6', '6/7', '7/4', '8'] -> (7/4 / (1/8 / 6/7) - 8) / 1/6
[311055] ['4/9', '5/9', '8/5', '7/4', '9'] -> 7/4 + (9 + 5/9 * 8/5) / 4/9
[311056] ['3/7', '5/6', '8/5', '5/2', '5'] -> 8/5 * (5/6 + 5/2 + 5 / 3/7)
[311057] ['3/4', '7/8', '1', '9/8', '8/5'] -> 8/5 * (3/4 + 9/8) / (1 - 7/8)
[311058] ['5/6', '9/7', '9/5', '9/4', '7'] -> 7 / (5/6 / 9/7) / (9/4 - 9/5)
[311059] ['1/7', '7/9', '9/8', '7/4', '8'] -> 8 / (1/7 * (7/9 + 7/4 / 9/8))
[311060] ['1/5', '3/8', '4/7', '4/7', '3'] -> 3 / 1/5 / (4/7 / 4/7 - 3/8)
[311061] ['2/7', '1', '7/5', '8/5', '9/2'] -> (7/5 + 8/5) * (9/2 + 1 / 2/7)
[311062] ['5/6', '9/7', '9/5', '7/3', '7'] -> 5/6 * (9/7 + 9/5) * (7/3 + 7)
[311063] ['2/7', '8/9', '7/6', '5/3', '5'] -> (7/6 + 5 / 2/7) / (5/3 - 8/9)
[311064] ['1/8', '1/6', '6/7', '9/4', '8'] -> 9/4 * (1/6 / 1/8 + 8 / 6/7)
[311065] ['5/9', '4/5', '7/5', '2', '9/2'] -> 4/5 / (7/5 / 9/2 - 5/9 / 2)
[311066] ['5/9', '8/7', '8/7', '7/6', '7'] -> (7 - 7/6) / (5/9 / (8/7 + 8/7))
[311067] ['5/6', '9/7', '9/5', '7/2', '7'] -> 9/5 * (5/6 + 7/2 + 9/7 * 7)
[311068] ['3/4', '7/8', '1', '9/8', '5/2'] -> (9/8 + 3/4 * 5/2) / (1 - 7/8)
[311069] ['3/7', '5/6', '8/5', '9/2', '5'] -> 5/6 + 9/2 + 5 / (3/7 / 8/5)
[311070] ['2/7', '8/9', '7/6', '9/5', '5'] -> 5 / (2/7 / 8/9) / (7/6 / 9/5)
[311071] ['3/7', '5/6', '5/3', '5/3', '5'] -> (5/3 + 5) / (5/6 / 3/7 - 5/3)
[311072] ['5/9', '4/5', '3/2', '7/4', '2'] -> 2 / (3/2 - 5/9 * (4/5 + 7/4))
[311073] ['1/7', '7/9', '9/8', '5/2', '8'] -> 8 * (1/7 + 5/2 / (7/9 * 9/8))
[311074] ['5/6', '9/7', '9/4', '5/2', '7'] -> 9/4 * (9/7 * 7 - (5/6 - 5/2))
[311075] ['5/9', '8/7', '8/7', '9/7', '7'] -> 8/7 * 7 / (8/7 / 9/7 - 5/9)
[311076] ['1/9', '1', '5/3', '7/3', '7/2'] -> (1 + 5/3 / 1/9) / (7/3 / 7/2)
[311077] ['3/7', '5/6', '5/3', '7/4', '5'] -> 5 / (7/4 * (5/6 - 3/7 * 5/3))
[311078] ['1/3', '5/8', '5/8', '5/8', '9'] -> (5/8 * 9 - 5/8) / (1/3 * 5/8)
[311079] ['1/8', '1/6', '7/8', '9/7', '8'] -> 1/8 / 7/8 / (1/6 - 9/7 / 8)
[311080] ['1/7', '3/5', '5/7', '2', '9/2'] -> (9/2 + 3/5 / 2) / (1/7 / 5/7)
[311081] ['1/7', '7/9', '9/8', '9/2', '8'] -> 7/9 * 8 * (9/2 / 9/8 - 1/7)
[311082] ['1/9', '1', '5/3', '5/2', '8/3'] -> 5/2 * (5/3 + 1 / 1/9) - 8/3
[311083] ['1/5', '3/8', '4/7', '5/6', '3'] -> (3 / 4/7 - 3/8 / 5/6) / 1/5
[311084] ['5/6', '9/7', '9/4', '9/2', '7'] -> 5/6 * 9/2 + 7 * 9/7 * 9/4
[311085] ['4/9', '5/9', '7/4', '9/4', '9'] -> 9 * (4/9 + 5/9 * (7/4 + 9/4))
[311086] ['5/9', '8/7', '8/7', '3/2', '7'] -> (8/7 + 8/7 / 3/2) / (5/9 / 7)
[311087] ['1/5', '3/8', '4/7', '6/7', '3'] -> 3 / ((4/7 - 3/8) / 1/5 - 6/7)
[311088] ['1/3', '5/8', '5/8', '7/9', '9'] -> (5/8 / 5/8 + 7/9 * 9) / 1/3
[311089] ['2/7', '8/9', '7/6', '7/2', '5'] -> (5 + (7/6 + 7/2) / 2/7) / 8/9
[311090] ['5/9', '4/5', '3/2', '2', '8/3'] -> 8/3 / (3/2 - 2 * 5/9 / 4/5)
[311091] ['3/4', '7/8', '1', '8/7', '7/5'] -> (1 + 8/7) * 7/5 / (7/8 - 3/4)
[311092] ['5/6', '9/7', '7/3', '8/3', '7'] -> 7 / (9/7 * 7/3 / 8/3 - 5/6)
[311093] ['5/9', '8/7', '8/7', '8/5', '7'] -> 8/5 + 7 * (8/7 + 8/7 / 5/9)
[311094] ['3/7', '5/6', '5/3', '8/3', '5'] -> 5/3 / (5/6 / 3/7 - 5 / 8/3)
[311095] ['5/9', '4/5', '3/2', '2', '9/2'] -> (3/2 + 9/2 / 5/9) / (4/5 / 2)
[311096] ['2/7', '8/9', '6/5', '6/5', '5'] -> 8/9 * 5 * (6/5 + 6/5 / 2/7)
[311097] ['5/6', '9/7', '7/3', '7/2', '7'] -> 9/7 * (7 * (5/6 + 7/3) - 7/2)
[311098] ['5/9', '8/7', '8/7', '5/3', '7'] -> (7 + 8/7 / 8/7) / (5/9 / 5/3)
[311099] ['1/9', '1', '7/4', '7/4', '9/4'] -> (9/4 + 7/4 / 1/9) / (7/4 - 1)
[311100] ['5/6', '9/7', '5/2', '5/2', '7'] -> (7 * 9/7 * 5/2 - 5/2) / 5/6
[311101] ['1/3', '5/8', '5/8', '9/7', '9'] -> (5/8 / 5/8 + 9 / 9/7) / 1/3
[311102] ['4/9', '5/9', '7/4', '7/2', '9'] -> (4/9 + 5/9 / 7/4) * 7/2 * 9
[311103] ['1/7', '3/5', '3/4', '7/8', '2'] -> (2 + 3/4 / (3/5 * 7/8)) / 1/7
[311104] ['1/9', '1', '7/4', '7/4', '7/3'] -> (1 + 7/4) / 1/9 - 7/4 / 7/3
[311105] ['2/7', '8/9', '6/5', '9/7', '5'] -> 6/5 * 9/7 * 5 / (2/7 / 8/9)
[311106] ['1/7', '7/9', '8/7', '3/2', '8'] -> 8 / (3/2 * (8/7 - (1/7 + 7/9)))
[311107] ['3/4', '7/8', '1', '8/7', '5/3'] -> 8/7 / ((5/3 - 3/4) / 7/8 - 1)
[311108] ['1/7', '3/5', '3/4', '8/9', '2'] -> 3/4 * 8/9 + 2 / (1/7 * 3/5)
[311109] ['1/9', '1', '7/4', '7/4', '5/2'] -> 7/4 - 5/2 + (1 + 7/4) / 1/9
[311110] ['1/3', '5/8', '5/8', '3/2', '9'] -> 3/2 + 9 * (5/8 + 5/8 / 1/3)
[311111] ['1/5', '3/8', '4/7', '6/5', '3'] -> (3 / 4/7 - 3/8 * 6/5) / 1/5
[311112] ['5/9', '4/5', '8/5', '2', '9/4'] -> 2 / 5/9 / (4/5 + 8/5 - 9/4)
[311113] ['2/7', '8/9', '6/5', '7/5', '5'] -> (7/5 + 5) / (2/7 * 8/9) - 6/5
[311114] ['1/9', '1', '7/4', '7/4', '7/2'] -> 7/2 / (1/9 * 7/4) / (7/4 - 1)
[311115] ['3/7', '5/6', '7/4', '7/3', '5'] -> 5 / (3/7 * 5/6) / (7/3 - 7/4)
[311116] ['2/7', '1', '7/5', '7/4', '5/2'] -> 5/2 / (2/7 * (7/4 - 7/5)) - 1
[311117] ['1/7', '3/5', '3/4', '8/7', '2'] -> (2 + 8/7 / (3/5 / 3/4)) / 1/7
[311118] ['1/8', '1/6', '8/9', '8/5', '8'] -> 8 / (1/8 + 1/6 / 8/9) - 8/5
[311119] ['1/7', '7/9', '8/7', '7/4', '8'] -> 7/9 * (8 / (1/7 * 7/4) - 8/7)
[311120] ['1/5', '3/8', '4/7', '5/4', '3'] -> 3 / (3/8 - 1/5) / (4/7 * 5/4)
[311121] ['5/6', '9/7', '7/2', '7/2', '7'] -> (7/2 * 7 - 9/7 * 7/2) / 5/6
[311122] ['5/9', '4/5', '8/5', '2', '7/3'] -> 8/5 * 7/3 / (5/9 - 4/5 / 2)
[311123] ['3/7', '5/6', '7/4', '8/3', '5'] -> (8/3 + 5/6 + 7/4) * (5 - 3/7)
[311124] ['4/9', '5/9', '9/5', '5/2', '9'] -> 9 * (5/2 * (9/5 - 5/9) - 4/9)
[311125] ['1/3', '5/8', '5/8', '9/2', '9'] -> 9/2 * (1/3 - 5/8 + 5/8 * 9)
[311126] ['3/4', '7/8', '1', '8/7', '8/3'] -> 1 / 8/3 / (7/8 / 8/7 - 3/4)
[311127] ['1/8', '1/6', '8/9', '7/4', '8'] -> (8 - 1/8) / (7/4 * 1/6 / 8/9)
[311128] ['3/7', '5/6', '7/4', '7/2', '5'] -> 5 / (5/6 * (7/4 - 3/7 * 7/2))
[311129] ['1/7', '3/5', '3/4', '6/5', '2'] -> (3/5 + 6/5 / 1/7) / (3/4 / 2)
[311130] ['1/5', '3/8', '4/7', '7/5', '3'] -> 3 / (3/8 - 1/5 / 4/7 / 7/5)
[311131] ['5/6', '4/3', '4/3', '3/2', '7'] -> 4/3 * 7 / (3/2 - 5/6 * 4/3)
[311132] ['1/8', '1/6', '8/9', '9/5', '8'] -> 9/5 * (8/9 / (1/6 - 1/8) - 8)
[311133] ['1/3', '5/8', '2/3', '6/7', '9'] -> 2/3 / 6/7 * 9 / (5/8 - 1/3)
[311134] ['5/9', '4/5', '8/5', '2', '7/2'] -> (4/5 + 8/5) / (2 / 5/9 - 7/2)
[311135] ['1/7', '7/9', '8/7', '7/2', '8'] -> 7/9 * 8 * (8/7 * 7/2 - 1/7)
[311136] ['5/6', '4/3', '4/3', '8/5', '7'] -> 8/5 + (4/3 + 4/3) / (5/6 / 7)
[311137] ['5/9', '4/5', '8/5', '2', '9/2'] -> 8/5 / ((4/5 + 2) / 9/2 - 5/9)
[311138] ['1/3', '5/8', '2/3', '9/7', '9'] -> 9 / 9/7 / (1/3 + 5/8 - 2/3)
[311139] ['1/5', '3/8', '4/7', '8/5', '3'] -> (1/5 + 8/5 / 4/7) / (3/8 / 3)
[311140] ['4/9', '5/9', '9/4', '9/2', '9'] -> 5/9 * (9/4 + 9/2) + 9 / 4/9
[311141] ['5/6', '4/3', '4/3', '7/3', '7'] -> (7/3 * 7 - 4/3) / (5/6 / 4/3)
[311142] ['1/8', '1/6', '9/8', '8/7', '8'] -> 1/8 / (1/6 / 8/7 - 9/8 / 8)
[311143] ['1/7', '7/9', '7/6', '6/5', '8'] -> 8 / (1/7 * 6/5) / (7/9 + 7/6)
[311144] ['3/4', '7/8', '1', '7/6', '4/3'] -> 1 / (3/4 - 7/8 - (7/6 - 4/3))
[311145] ['3/7', '5/6', '9/5', '7/3', '5'] -> (9/5 * 5 - 3/7) / (5/6 / 7/3)
[311146] ['1/5', '3/8', '4/7', '5/3', '3'] -> 3 / (1/5 / 4/7 - 3/8 / 5/3)
[311147] ['1/8', '1/6', '9/8', '6/5', '8'] -> 8 / (6/5 * (1/6 + 1/8 / 9/8))
[311148] ['1/7', '3/5', '3/4', '8/5', '2'] -> 2 * (3/5 / 3/4 + 8/5 / 1/7)
[311149] ['2/7', '1', '7/5', '9/5', '8/3'] -> 8/3 / (1 / 7/5 / 9/5 - 2/7)
[311150] ['1/3', '5/8', '2/3', '7/2', '9'] -> 9 / ((5/8 + 2/3) / 1/3 - 7/2)
[311151] ['5/9', '8/7', '7/6', '4/3', '7'] -> 4/3 / (5/9 / 7 + 8/7 - 7/6)
[311152] ['1/5', '3/8', '4/7', '7/4', '3'] -> 3 / 1/5 / (4/7 * 7/4 - 3/8)
[311153] ['5/9', '4/5', '5/3', '2', '9/4'] -> 2 / (4/5 * 5/3 - 5/9 * 9/4)
[311154] ['3/7', '5/6', '9/5', '8/3', '5'] -> (9/5 - 3/7) * 5 * (5/6 + 8/3)
[311155] ['1/8', '1/6', '9/8', '9/7', '8'] -> 9/8 / 9/7 * 8 / (1/8 + 1/6)
[311156] ['1/9', '1', '7/4', '9/4', '7/2'] -> (1 + 9/4) / 1/9 - (7/4 + 7/2)
[311157] ['4/9', '5/9', '5/2', '8/3', '9'] -> 4/9 / ((5/2 + 8/3) / 9 - 5/9)
[311158] ['5/6', '4/3', '7/5', '7/5', '7'] -> 7 / (5/6 * (7/5 - 7/5 / 4/3))
[311159] ['2/7', '8/9', '6/5', '8/3', '5'] -> 8/3 / 8/9 + 5 / (2/7 / 6/5)
[311160] ['1/5', '3/8', '4/7', '9/5', '3'] -> 9/5 / 3 / (3/8 - 1/5 / 4/7)
[311161] ['1/3', '5/8', '5/7', '5/7', '9'] -> 9 * 1/3 * 5/7 / (5/7 - 5/8)
[311162] ['5/9', '4/5', '5/3', '2', '7/3'] -> 2 / (5/3 / 5/9 - 7/3 / 4/5)
[311163] ['5/6', '4/3', '7/5', '3/2', '7'] -> 7 * (5/6 / 7/5 + 4/3 + 3/2)
[311164] ['4/9', '5/9', '7/2', '7/2', '9'] -> 7/2 + 7/2 + (4/9 + 9) / 5/9
[311165] ['1/3', '5/8', '5/7', '3/4', '9'] -> 1/3 * 9 / (5/8 / 5/7 - 3/4)
[311166] ['1/9', '1', '7/4', '7/3', '8/3'] -> (1 + 7/3 / 1/9) / (8/3 - 7/4)
[311167] ['3/7', '5/6', '9/4', '7/3', '5'] -> (7/3 + 5) / (9/4 - 5/6 / 3/7)
[311168] ['1/3', '5/8', '5/7', '5/6', '9'] -> 9 / (1/3 - 5/6 + 5/8 / 5/7)
[311169] ['5/9', '4/5', '5/3', '2', '7/2'] -> 4/5 * 5/3 / (2 - 5/9 * 7/2)
[311170] ['1/8', '1/6', '8/7', '6/5', '8'] -> 8/7 + 8 / (6/5 * (1/8 + 1/6))
[311171] ['5/9', '8/7', '7/6', '9/5', '7'] -> 7 / (7/6 - 9/5 * 5/9 / 8/7)
[311172] ['1/7', '3/5', '3/4', '2', '7/3'] -> 2 / (3/4 / 7/3 - 1/7 / 3/5)
[311173] ['3/4', '7/8', '1', '7/6', '5/2'] -> (1 + 5/2) / (7/6 * (7/8 - 3/4))
[311174] ['5/9', '4/5', '5/3', '2', '9/2'] -> (5/3 + 2 * 9/2) / (5/9 * 4/5)
[311175] ['3/7', '5/6', '9/4', '5/2', '5'] -> (9/4 + 5/2 / 5/6) * (5 - 3/7)
[311176] ['3/4', '7/8', '1', '7/6', '8/3'] -> 1 / (7/8 + 7/6 - 3/4 * 8/3)
[311177] ['2/7', '8/9', '5/4', '4/3', '5'] -> 5/4 + (5 + 4/3 / 8/9) / 2/7
[311178] ['2/7', '1', '7/5', '9/4', '7/2'] -> (1 + 7/5) * (7/2 / 2/7 - 9/4)
[311179] ['5/9', '8/7', '7/6', '7/3', '7'] -> 7/3 * 7 / (7/6 - 5/9 / 8/7)
[311180] ['5/6', '4/3', '7/5', '7/3', '7'] -> 7 / 5/6 / (7/3 / 4/3 - 7/5)
[311181] ['1/8', '1/6', '8/7', '7/5', '8'] -> 8/7 / 8 / (1/8 - 1/6 / 7/5)
[311182] ['1/7', '7/9', '7/6', '7/3', '8'] -> 8 / (7/9 / 7/6 - 1/7 * 7/3)
[311183] ['1/7', '3/5', '3/4', '2', '7/2'] -> 2 / (7/2 * 1/7 / 3/5 - 3/4)
[311184] ['5/9', '4/5', '7/4', '2', '9/4'] -> 2 / (7/4 / 9/4 - 5/9 / 4/5)
[311185] ['1/3', '5/8', '5/7', '6/5', '9'] -> (6/5 + 1/3 / 5/7) / (5/8 / 9)
[311186] ['1/9', '1', '7/4', '5/2', '7/2'] -> 1 + 7/4 / 7/2 + 5/2 / 1/9
[311187] ['1/8', '1/6', '8/7', '8/5', '8'] -> (8/7 + 8/5) * (8 + 1/8 / 1/6)
[311188] ['1/7', '7/9', '7/6', '9/2', '8'] -> 8 / 1/7 / (7/9 * 9/2 - 7/6)
[311189] ['5/9', '8/7', '7/6', '8/3', '7'] -> 8/3 * 7 / (8/7 * 7/6 - 5/9)
[311190] ['4/9', '4/7', '4/7', '6/7', '9'] -> 6/7 + (4/7 + 4/7) / (4/9 / 9)
[311191] ['1/7', '3/5', '7/9', '4/5', '2'] -> 2 / (1/7 * 3/5) / (7/9 / 4/5)
[311192] ['1/3', '5/8', '5/7', '5/4', '9'] -> 9 / 1/3 / (5/4 / 5/7 - 5/8)
[311193] ['5/6', '4/3', '3/2', '3/2', '7'] -> (3/2 + 3/2 * 7) / (4/3 - 5/6)
[311194] ['1/8', '1/6', '8/7', '5/3', '8'] -> (5/3 / 1/6 - 8 / 8/7) / 1/8
[311195] ['5/9', '4/5', '7/4', '2', '8/3'] -> 8/3 / (5/9 * 4/5) / (2 - 7/4)
[311196] ['1/7', '7/9', '6/5', '6/5', '8'] -> 6/5 / (6/5 / (7/9 * 8) - 1/7)
[311197] ['5/9', '8/7', '6/5', '6/5', '7'] -> 6/5 + 7 * (6/5 + 8/7 / 5/9)
[311198] ['2/7', '8/9', '5/4', '5/3', '5'] -> 5/3 / (8/9 * 5 - 5/4 / 2/7)
[311199] ['3/7', '5/6', '7/3', '9/2', '5'] -> 5/6 + 7/3 * (5 + 3/7 + 9/2)
[311200] ['4/9', '4/7', '4/7', '8/9', '9'] -> 9 * (8/9 + (4/9 + 4/7) / 4/7)
[311201] ['1/8', '1/6', '8/7', '7/4', '8'] -> 8 / 7/4 / (1/6 / 1/8 - 8/7)
[311202] ['1/3', '5/8', '5/7', '7/5', '9'] -> 9 * 1/3 / 7/5 / (5/7 - 5/8)
[311203] ['5/6', '4/3', '3/2', '9/5', '7'] -> 9/5 * (5/6 + 3/2 * (4/3 + 7))
[311204] ['3/7', '5/6', '5/2', '5/2', '5'] -> (5/2 + (5/2 + 5) / 3/7) / 5/6
[311205] ['4/9', '4/7', '4/7', '8/7', '9'] -> (9 * (4/9 + 8/7) - 4/7) / 4/7
[311206] ['1/3', '5/8', '5/7', '3/2', '9'] -> 9 / (5/8 / 5/7 - 1/3 * 3/2)
[311207] ['3/7', '5/6', '5/2', '8/3', '5'] -> 8/3 * 5 / (5/2 - 5/6 / 3/7)
[311208] ['1/7', '7/9', '6/5', '4/3', '8'] -> 6/5 * (8 + 4/3 / (1/7 * 7/9))
[311209] ['3/4', '7/8', '1', '5/4', '5/4'] -> 5/4 / (3/4 - 7/8 / 5/4) - 1
[311210] ['1/8', '1/6', '8/7', '9/2', '8'] -> (9/2 - 1/8 * 8) / (1/6 / 8/7)
[311211] ['3/7', '5/6', '5/2', '7/2', '5'] -> (5/2 + 3/7 * 7/2) / (5/6 / 5)
[311212] ['1/7', '7/9', '6/5', '7/5', '8'] -> 8 / (1/7 * (7/5 + 7/9 * 6/5))
[311213] ['5/6', '4/3', '8/5', '7/4', '7'] -> (8/5 + 7 / 5/6) / (7/4 - 4/3)
[311214] ['3/4', '7/8', '1', '5/4', '7/5'] -> (1 + 7/5) * 5/4 / (7/8 - 3/4)
[311215] ['1/9', '1', '9/5', '9/5', '9/4'] -> (9/5 + 1 / 1/9) / (9/4 - 9/5)
[311216] ['1/7', '3/5', '7/9', '7/6', '2'] -> 7/9 / 7/6 + 2 / (1/7 * 3/5)
[311217] ['3/7', '5/6', '8/3', '8/3', '5'] -> 5 * (8/3 / (3/7 * 5/6) - 8/3)
[311218] ['1/8', '1/6', '7/6', '7/5', '8'] -> (8 - 7/6 / (1/6 * 7/5)) / 1/8
[311219] ['1/3', '5/8', '5/7', '9/5', '9'] -> 9 / (5/8 - 1/3) / (5/7 * 9/5)
[311220] ['5/6', '4/3', '8/5', '7/3', '7'] -> 4/3 * (7 / (5/6 / 7/3) - 8/5)
[311221] ['1/7', '3/5', '7/9', '5/4', '2'] -> 2 / (1/7 * 3/5) / (7/9 * 5/4)
[311222] ['1/8', '1/6', '7/6', '9/5', '8'] -> 7/6 / (1/8 / 9/5 - 1/6 / 8)
[311223] ['3/7', '5/6', '7/2', '7/2', '5'] -> 7/2 * (5 + 3/7 * (5/6 + 7/2))
[311224] ['1/3', '5/8', '5/7', '7/3', '9'] -> 1/3 + 7/3 * (9 + 5/7 / 5/8)
[311225] ['5/9', '8/7', '6/5', '7/4', '7'] -> 7/4 * 7 / (5/9 / 8/7) - 6/5
[311226] ['3/4', '7/8', '1', '9/7', '9/7'] -> (9/7 + 9/7 / 3/4) / (1 - 7/8)
[311227] ['1/7', '7/9', '6/5', '9/5', '8'] -> 8 / (1/7 * 7/9) / (6/5 + 9/5)
[311228] ['1/8', '1/6', '6/5', '5/4', '8'] -> (5/4 / (1/8 / 6/5) - 8) / 1/6
[311229] ['1/7', '3/5', '7/9', '9/7', '2'] -> 3/5 / (9/7 / (7/9 - 1/7) - 2)
[311230] ['2/7', '8/9', '9/7', '9/7', '5'] -> (9/7 + 9/7 * 5) / (2/7 / 8/9)
[311231] ['5/9', '8/7', '6/5', '9/5', '7'] -> 7 / (5/9 / 8/7) / (9/5 - 6/5)
[311232] ['5/6', '4/3', '8/5', '9/2', '7'] -> 9/2 * (7 - (5/6 + 4/3 / 8/5))
[311233] ['3/4', '7/8', '1', '9/7', '7/5'] -> 1 / (7/8 / 7/5 - 3/4 / 9/7)
[311234] ['4/9', '4/7', '4/7', '5/2', '9'] -> 4/7 / (5/2 / 9 - 4/9 * 4/7)
[311235] ['1/5', '3/8', '5/8', '4/3', '3'] -> (3 + 3/8 / 5/8) / (1/5 / 4/3)
[311236] ['5/9', '8/7', '6/5', '9/4', '7'] -> 7 * (9/4 / (5/9 / 8/7) - 6/5)
[311237] ['3/4', '7/8', '1', '9/7', '3/2'] -> 1 / (3/2 - (7/8 + 3/4 / 9/7))
[311238] ['3/7', '6/7', '6/7', '7/8', '5'] -> 5 / (7/8 - 6/7 / (3/7 + 6/7))
[311239] ['1/7', '3/5', '7/9', '7/5', '2'] -> 2 * (7/5 / (1/7 * 7/9) - 3/5)
[311240] ['1/3', '5/8', '5/7', '9/2', '9'] -> 5/8 * 9/2 * (9 - 1/3 / 5/7)
[311241] ['2/7', '8/9', '9/7', '3/2', '5'] -> 3/2 / (9/7 / (2/7 * 8/9) - 5)
[311242] ['3/7', '6/7', '6/7', '9/8', '5'] -> 5 * (3/7 + 6/7) / (9/8 - 6/7)
[311243] ['4/9', '4/7', '4/7', '9/2', '9'] -> (9/2 + 9) / (4/7 / (4/9 + 4/7))
[311244] ['1/3', '5/8', '3/4', '4/5', '9'] -> (4/5 + 9 / 3/4) / (1/3 / 5/8)
[311245] ['1/7', '7/9', '6/5', '7/2', '8'] -> 8 / (6/5 * (7/9 - 1/7 * 7/2))
[311246] ['2/7', '8/9', '9/7', '8/5', '5'] -> (8/5 * 5 - 8/9 * 9/7) / 2/7
[311247] ['5/6', '4/3', '5/3', '7/3', '7'] -> (7/3 + 5/6 + 4/3) * (7 - 5/3)
[311248] ['1/8', '1/6', '6/5', '9/4', '8'] -> 8 / (1/6 * (1/8 + 9/4 / 6/5))
[311249] ['1/5', '3/8', '5/8', '3', '7/2'] -> 3/8 + 3 + (5/8 + 7/2) / 1/5
[311250] ['4/9', '4/7', '3/5', '3/5', '9'] -> (9 / 4/7 - 3/5 / 4/9) / 3/5
[311251] ['5/9', '8/7', '6/5', '9/2', '7'] -> 6/5 * 9/2 * 7 * 5/9 * 8/7
[311252] ['5/6', '4/3', '7/4', '7/4', '7'] -> 5/6 - 4/3 + 7 * (7/4 + 7/4)
[311253] ['1/7', '7/9', '5/4', '5/4', '8'] -> 8 * (1/7 + 5/4 + 5/4 / 7/9)
[311254] ['1/7', '3/5', '7/9', '7/4', '2'] -> 2 / (1/7 * 3/5) / (7/4 - 7/9)
[311255] ['2/7', '8/9', '9/7', '9/5', '5'] -> (9/5 * 5 - 9/7) / (2/7 / 8/9)
[311256] ['1/5', '3/8', '2/3', '2/3', '3'] -> 3 / 1/5 / (2/3 / 2/3 - 3/8)
[311257] ['3/7', '6/7', '6/7', '5/4', '5'] -> 6/7 / (3/7 * 5 - (6/7 + 5/4))
[311258] ['1/9', '1', '9/5', '7/3', '7/2'] -> (7/2 - 7/3 / (1 + 9/5)) / 1/9
[311259] ['1/8', '1/6', '5/4', '9/7', '8'] -> 8 * (5/4 / (1/8 + 1/6) - 9/7)
[311260] ['5/6', '4/3', '7/4', '9/5', '7'] -> 7 / 7/4 / (5/6 * 9/5 - 4/3)
[311261] ['2/7', '8/9', '9/7', '9/4', '5'] -> 8/9 * 9/4 + (9/7 + 5) / 2/7
[311262] ['3/4', '7/8', '1', '9/7', '9/2'] -> 9/2 / (3/4 * 7/8) / (9/7 - 1)
[311263] ['1/5', '3/8', '2/3', '5/7', '3'] -> 3 / (3/8 * 5/7) / (2/3 - 1/5)
[311264] ['5/9', '8/7', '5/4', '4/3', '7'] -> 5/4 * 4/3 * 7 / (5/9 / 8/7)
[311265] ['3/7', '6/7', '6/7', '7/5', '5'] -> (6/7 + 6/7 * 7/5) / (3/7 / 5)
[311266] ['2/7', '8/9', '9/7', '7/2', '5'] -> 8/9 * 9/7 * (7/2 + 5 / 2/7)
[311267] ['1/3', '5/8', '7/9', '7/9', '9'] -> 9 / (5/8 / 7/9 - 1/3 / 7/9)
[311268] ['3/4', '7/8', '1', '4/3', '7/5'] -> 1 / (3/4 - 4/3 + 7/8 / 7/5)
[311269] ['1/9', '1', '9/5', '5/2', '8/3'] -> 8/3 / (1 / 9/5 / 5/2 - 1/9)
[311270] ['1/5', '3/8', '2/3', '3/4', '3'] -> 3/8 + (3/4 + 3 / 1/5) / 2/3
[311271] ['5/6', '4/3', '9/5', '9/5', '7'] -> (9/5 + 7) / (5/6 + 4/3 - 9/5)
[311272] ['2/7', '8/9', '4/3', '4/3', '5'] -> 8/9 / 4/3 + 5 / (2/7 / 4/3)
[311273] ['5/6', '4/3', '9/5', '9/4', '7'] -> 7 / (4/3 - 9/4 * 5/6 / 9/5)
[311274] ['3/4', '7/8', '1', '4/3', '8/5'] -> 3/4 / (7/8 / 4/3 - 1 / 8/5)
[311275] ['2/7', '1', '3/2', '8/5', '5/3'] -> 8/5 / (1 - 5/3 / (2/7 + 3/2))
[311276] ['5/6', '4/3', '9/5', '7/3', '7'] -> (7/3 + 7) / (5/6 * (9/5 - 4/3))
[311277] ['5/9', '4/5', '2', '8/3', '7/2'] -> 4/5 / ((7/2 - 2) / 5/9 - 8/3)
[311278] ['3/4', '7/8', '1', '4/3', '9/5'] -> 1 / (4/3 - (7/8 + 3/4 / 9/5))
[311279] ['1/9', '1', '9/5', '8/3', '9/2'] -> 9/5 * 8/3 * 9/2 * (1/9 + 1)
[311280] ['1/7', '7/9', '5/4', '7/4', '8'] -> 8 / (1/7 * 7/9) / (5/4 + 7/4)
[311281] ['1/5', '3/8', '2/3', '8/9', '3'] -> 3 * (2/3 / (1/5 * 3/8) - 8/9)
[311282] ['2/7', '8/9', '4/3', '8/5', '5'] -> (8/5 / 2/7 - 4/3) / (8/9 / 5)
[311283] ['5/9', '4/5', '2', '8/3', '9/2'] -> 8/3 * (9/2 + 2 / (5/9 * 4/5))
[311284] ['3/4', '7/8', '1', '4/3', '5/2'] -> 1 / (7/8 - (3/4 + 4/3) / 5/2)
[311285] ['1/3', '5/8', '7/9', '6/5', '9'] -> 9 / 5/8 / (7/9 * 6/5 - 1/3)
[311286] ['1/5', '3/8', '2/3', '8/7', '3'] -> (3 / (3/8 - 1/5) - 8/7) / 2/3
[311287] ['3/7', '6/7', '6/7', '9/4', '5'] -> 9/4 * (5 / 3/7 - 6/7 / 6/7)
