[334884] ['4/7', '7/5', '2', '5/2', '8/3'] -> 7/5 * 5/2 * 8/3 * (4/7 + 2)
[338042] ['3/5', '5/6', '9/8', '7/2', '7'] -> (7/2 + 7) / (5/6 * (9/8 - 3/5))
[338043] ['3/8', '3/8', '4/3', '7/4', '5'] -> 4/3 * (7/4 / 3/8 + 5 / 3/8)
[338044] ['1/8', '5/8', '8/9', '1', '9/8'] -> 1 / (1/8 * (8/9 - 5/8 / 9/8))
[338045] ['3/5', '5/6', '9/8', '9/2', '7'] -> 7 / (5/6 * (3/5 - 9/8 / 9/2))
[338046] ['2/9', '2/7', '2/3', '7/4', '3'] -> (3 / (2/7 * 7/4) - 2/3) / 2/9
[338047] ['1/6', '3/4', '6/7', '7/5', '8'] -> (6/7 + 8) / (3/4 / 7/5 - 1/6)
[338048] ['3/5', '2/3', '2/3', '2', '8/3'] -> 8/3 / (2/3 - 2/3 / (3/5 * 2))
[338049] ['3/5', '5/6', '8/7', '8/7', '7'] -> 7 * (8/7 + 8/7 / (3/5 * 5/6))
[338050] ['1/6', '3/7', '9/8', '7/5', '2'] -> (3/7 + 7/5) * (9/8 + 2 / 1/6)
[338051] ['3/8', '3/8', '4/3', '7/3', '5'] -> 7/3 / 3/8 + 5 * 4/3 / 3/8
[338052] ['1/6', '3/7', '9/8', '3/2', '2'] -> (3/2 / ((1/6 * 3/7) * 2) - 9/8))
[338053] ['1/6', '3/4', '6/7', '5/3', '8'] -> 5/3 * 8 / (3/4 - 1/6 / 6/7)
[338054] ['1/8', '5/8', '8/9', '1', '6/5'] -> (6/5 + 1 / (5/8 * 8/9)) / 1/8
[338055] ['3/8', '3/8', '4/3', '5/2', '5'] -> (5 * 5/2 / 4/3 - 3/8) / 3/8
[338056] ['4/9', '9/7', '3/2', '7/4', '5'] -> 3/2 / (7/4 * 9/7 / 4/9 - 5)
[338057] ['3/5', '5/6', '8/7', '6/5', '7'] -> 8/7 * 7 / (5/6 - 3/5 / 6/5)
[338058] ['1/8', '5/8', '8/9', '1', '5/4'] -> (5/8 + 5/4 + 1 / 8/9) / 1/8
[338059] ['1/8', '5/4', '9/7', '5/3', '8'] -> 9/7 * (8 + 5/3 / (1/8 * 5/4))
[338060] ['1/6', '3/7', '9/8', '5/3', '2'] -> 9/8 * (5/3 / (1/6 * 3/7) - 2)
[338061] ['2/9', '2/7', '5/7', '5/6', '3'] -> (3 + 5/7 / (2/9 * 5/6)) / 2/7
[338062] ['1/6', '3/7', '9/8', '7/4', '2'] -> 2 / (9/8 - 7/4 * (1/6 + 3/7))
[338063] ['1/8', '5/4', '9/7', '9/5', '8'] -> 5/4 * (8 + 9/5 / (1/8 * 9/7))
[338064] ['1/6', '3/4', '6/7', '8/3', '8'] -> 6/7 * 8/3 * (8 / 3/4 - 1/6)
[338065] ['6/7', '6/7', '1', '8/3', '7/2'] -> 6/7 / (6/7 / 8/3 - 1 / 7/2)
[338066] ['2/9', '2/7', '5/7', '7/8', '3'] -> 3 * 2/7 / 2/9 / (7/8 - 5/7)
[338067] ['9/7', '7/5', '7/3', '7/2', '7'] -> 9/7 * 7/2 * (7 - 7/3 / 7/5)
[338068] ['2/9', '2/7', '5/7', '8/9', '3'] -> 2/7 / (2/9 / 8/9 - 5/7 / 3)
[338069] ['1/8', '5/8', '8/9', '1', '3/2'] -> (3/2 / (1/8 * (1 / 8/9)) - 5/8))
[338070] ['6/7', '6/7', '1', '7/2', '9/2'] -> 6/7 * (9/2 / (1 - 6/7) - 7/2)
[338071] ['3/5', '5/6', '8/7', '7/5', '7'] -> (7 + 3/5 / 7/5) / (8/7 - 5/6)
[338072] ['1/6', '3/4', '7/8', '7/6', '8'] -> 8 / (7/8 / (3/4 - 1/6) - 7/6)
[338073] ['1/6', '3/7', '9/8', '2', '7/3'] -> (2 / 1/6 - 3/7) * 7/3 / 9/8
[338074] ['1/8', '5/4', '9/7', '8/3', '8'] -> 9/7 * (8/3 * 5/4 / 1/8 - 8)
[338075] ['2/9', '2/7', '5/7', '9/8', '3'] -> 2/7 / (2/9 * 9/8 - 5/7 / 3)
[338076] ['9/7', '7/5', '5/2', '5/2', '7'] -> 5/2 + 7 * (9/7 + 5/2 / 7/5)
[338077] ['3/5', '5/6', '8/7', '3/2', '7'] -> 8/7 * 3/2 * 7 / (3/5 * 5/6)
[338078] ['1/8', '5/8', '8/9', '1', '7/4'] -> (7/4 + 5/8 + 1) * 8/9 / 1/8
[338079] ['4/9', '9/7', '3/2', '7/2', '5'] -> 7/2 * ((5 - 9/7) / 4/9 - 3/2)
[338080] ['1/6', '3/7', '9/8', '2', '5/2'] -> (5/2 / (1/6 * (9/8 / 3/7)) - 2))
[338081] ['2/9', '2/7', '5/7', '6/5', '3'] -> (3 + 6/5 * 5/7 / 2/9) / 2/7
[338082] ['4/9', '9/7', '3/2', '9/2', '5'] -> (3/2 / 9/7 + 9/2 + 5) / 4/9
[338083] ['1/8', '5/8', '8/9', '1', '9/4'] -> (9/4 * 8/9 / 1/8 - 1) / 5/8
[338084] ['1/6', '3/4', '7/8', '7/5', '8'] -> 8 * (7/8 / (1/6 * 7/5) - 3/4)
[338085] ['3/5', '5/6', '8/7', '9/5', '7'] -> (7 * (8/7 + 9/5) - 3/5) / 5/6
[338086] ['3/8', '3/8', '3/2', '8/5', '5'] -> (3/2 - 3/8) * 5 * 8/5 / 3/8
[338087] ['1/8', '5/4', '4/3', '5/3', '8'] -> 8 / (1/8 * (4/3 + 5/3 / 5/4))
[338088] ['1/8', '5/8', '8/9', '1', '5/2'] -> (1 / 8/9 - (5/8 - 5/2)) / 1/8
[338089] ['3/5', '2/3', '5/7', '3/2', '2'] -> (2 / (5/7 - 3/5) - 3/2) / 2/3
[338090] ['3/5', '5/6', '8/7', '9/4', '7'] -> 7 / (8/7 * (5/6 - 3/5)) - 9/4
[338091] ['3/8', '3/8', '3/2', '9/4', '5'] -> (5 + 9/4 / (3/8 * 3/2)) / 3/8
[338092] ['1/8', '5/8', '8/9', '1', '7/2'] -> (5/8 + 7/2 - 1 / 8/9) / 1/8
[338093] ['9/7', '7/5', '8/3', '9/2', '7'] -> 9/2 * (7/5 * (7 - 9/7) - 8/3)
[338094] ['3/5', '5/6', '8/7', '7/3', '7'] -> 8/7 * 7/3 * (3/5 + 7 / 5/6)
[338095] ['1/6', '3/4', '8/9', '8/9', '8'] -> 8/9 / (1/6 + 3/4 - 8/9) - 8
[338096] ['3/8', '3/8', '3/2', '7/3', '5'] -> 5 / (7/3 * 3/8 / 3/2 - 3/8)
[338097] ['1/8', '5/8', '8/9', '1', '9/2'] -> 8/9 * 9/2 * (1 + 5/8 / 1/8)
[338098] ['3/5', '5/6', '8/7', '5/2', '7'] -> 8/7 * 7 * (5/2 + 3/5 * 5/6)
[338099] ['2/9', '2/7', '5/7', '7/4', '3'] -> 7/4 * (5/7 / 2/9 + 3 / 2/7)
[338100] ['1/8', '5/4', '7/5', '5/3', '8'] -> (8 / 5/4 - 7/5) / (1/8 * 5/3)
[338101] ['3/5', '2/3', '5/7', '2', '9/4'] -> 2 / (2/3 * (5/7 - 3/5)) - 9/4
[338102] ['1/8', '5/8', '1', '9/8', '8/7'] -> (1 + 8/7 * (5/8 + 9/8)) / 1/8
[338103] ['3/8', '3/8', '8/5', '7/4', '5'] -> 3/8 * 8/5 / (3/8 - 7/4 / 5)
[338104] ['4/9', '9/7', '8/5', '7/3', '5'] -> 8/5 / (9/7 / 5 - 4/9 / 7/3)
[338105] ['1/6', '3/4', '8/9', '5/4', '8'] -> 3/4 / (1/6 / 8/9 - 5/4 / 8)
[338106] ['9/7', '3/2', '3/2', '3/2', '7'] -> (9/7 + 3/2 / 3/2) * 3/2 * 7
[338107] ['6/7', '7/8', '7/8', '1', '5/3'] -> 1 / (5/3 - (7/8 + 6/7 * 7/8))
[338108] ['3/8', '3/8', '8/5', '9/5', '5'] -> 5 / (9/5 - 8/5) - 3/8 / 3/8
[338109] ['1/6', '3/7', '8/7', '9/5', '2'] -> 8/7 / (1/6 - 3/7 / 9/5 *
)[338110] ['1/8', '5/8', '1', '9/8', '9/7'] -> (1 + 9/8 / 9/7) / (1/8 * 5/8)
[338111] ['1/6', '3/4', '8/9', '9/7', '8'] -> (8 / 9/7 - 8/9) * 3/4 / 1/6
[338112] ['3/5', '5/6', '7/6', '9/7', '7'] -> 5/6 + 7 * (7/6 + 9/7 / 3/5)
[338113] ['6/7', '7/8', '7/8', '1', '7/4'] -> (7/8 / (7/4 * (7/8 / 6/7)) - 1))
[338114] ['3/8', '3/8', '8/5', '7/3', '5'] -> (3/8 + 8/5) * 5 / 3/8 - 7/3
[338115] ['9/7', '3/2', '3/2', '9/5', '7'] -> (3/2 + 3/2 * 9/5) * (7 - 9/7)
[338116] ['9/7', '3/2', '3/2', '9/2', '7'] -> 7 * (9/2 - 9/7 / 3/2) - 3/2
[338117] ['1/6', '3/7', '7/6', '7/6', '2'] -> (7/6 + 7/6 * (3/7 + 2)) / 1/6
[338118] ['2/9', '2/7', '3/4', '3/4', '3'] -> 3/4 / (2/9 / 2/7 - 3/4) - 3
[338119] ['3/8', '3/8', '5/3', '5/3', '5'] -> (5/3 + 5 / 3/8) / (3/8 * 5/3)
[338120] ['1/6', '3/4', '8/9', '8/5', '8'] -> 8 / (8/9 / 8/5 - 1/6 / 3/4)
[338121] ['4/9', '9/7', '8/5', '7/2', '5'] -> 5 * (4/9 + 7/2 * 8/5 / 9/7)
[338122] ['3/5', '2/3', '5/7', '2', '9/2'] -> 9/2 * (2/3 + 2 / (3/5 * 5/7))
[338123] ['6/7', '7/8', '7/8', '1', '5/2'] -> (1 + 5/2) / (7/8 / 6/7 - 7/8)
[338124] ['3/8', '3/8', '5/3', '9/5', '5'] -> (5/3 + 3/8 / 3/8) * 9/5 * 5
[338125] ['3/5', '5/6', '7/6', '3/2', '7'] -> (7/6 + 3/2) * (3/5 + 7 / 5/6)
[338126] ['6/7', '7/8', '7/8', '1', '8/3'] -> (1 / ((7/8 - 6/7) * 7/8) * 8/3))
[338127] ['1/8', '5/4', '8/5', '7/3', '8'] -> 8 / (1/8 - 5/4 + 7/3 / 8/5)
[338128] ['1/6', '3/4', '9/8', '9/8', '8'] -> (3/4 / 1/6 - 9/8) * 8 / 9/8
[338129] ['1/6', '3/7', '7/6', '4/3', '2'] -> (4/3 / (7/6 * (3/7 / 2)) - 1/6))
[338130] ['3/5', '5/6', '7/6', '9/4', '7'] -> 7 / (3/5 + 5/6 - 7/6) - 9/4
[338131] ['9/7', '3/2', '8/5', '5/2', '7'] -> 8/5 * 5/2 * 7 * 9/7 / 3/2
[338132] ['4/9', '9/7', '5/3', '7/4', '5'] -> 7/4 * ((5/3 + 5) / 4/9 - 9/7)
[338133] ['1/8', '5/4', '5/3', '9/5', '8'] -> 5/4 * (9/5 / 1/8 + 8 / 5/3)
[338134] ['3/5', '5/6', '7/6', '7/3', '7'] -> 7 * (7/6 + 7/3) - 3/5 * 5/6
[338135] ['3/8', '3/8', '7/4', '7/4', '5'] -> (7/4 + 5) / (3/8 * 7/4 - 3/8)
[338136] ['3/5', '2/3', '3/4', '8/9', '2'] -> 2 / (8/9 / 2/3 - 3/4 / 3/5)
[338137] ['2/9', '2/7', '3/4', '7/6', '3'] -> 3 + (3/4 + 7/6 / 2/9) / 2/7
[338138] ['1/8', '5/8', '1', '8/7', '3/2'] -> (5/8 + 3/2 + 1 / 8/7) / 1/8
[338139] ['1/6', '3/7', '7/6', '8/5', '2'] -> (2 + 3/7 * 7/6) * 8/5 / 1/6
[338140] ['3/5', '5/6', '7/6', '8/3', '7'] -> 8/3 * (3/5 + 7 + 7/6 / 5/6)
[338141] ['4/9', '9/7', '5/3', '9/5', '5'] -> (5 + 9/5 / 9/7) * 5/3 / 4/9
[338142] ['1/8', '5/4', '5/3', '5/2', '8'] -> (5/2 / (5/4 * (5/3 / 8)) - 1/8))
[338143] ['2/9', '2/7', '3/4', '6/5', '3'] -> 3 / (2/7 - 2/9 * 3/4) - 6/5
[338144] ['3/5', '2/3', '3/4', '9/8', '2'] -> (2 / (2/3 * (3/4 / 3/5)) - 9/8))
[338145] ['3/5', '5/6', '7/6', '7/2', '7'] -> (7/2 + 3/5 * 5/6) * 7 / 7/6
[338146] ['1/6', '3/7', '7/6', '5/3', '2'] -> (2 + 5/3 / 1/6) / (3/7 * 7/6)
[338147] ['9/7', '3/2', '5/3', '5/3', '7'] -> 3/2 * 7 * (9/7 + 5/3 / 5/3)
[338148] ['6/7', '7/8', '8/9', '1', '5/4'] -> 6/7 / (1 / (7/8 * 8/9) - 5/4)
[338149] ['1/8', '5/4', '5/3', '7/2', '8'] -> 5/3 * (7/2 / (1/8 * 5/4) - 8)
[338150] ['3/8', '3/8', '7/4', '5/2', '5'] -> (7/4 * 5/2 - (3/8 - 5)) / 3/8
[338151] ['9/7', '3/2', '5/3', '7/4', '7'] -> 3/2 * 7/4 * (7 + 9/7 * 5/3)
[338152] ['4/9', '9/7', '5/3', '7/3', '5'] -> (9/7 + 5) * 5/3 * 7/3 - 4/9
[338153] ['1/6', '3/7', '7/6', '9/5', '2'] -> (2 / (7/6 * (3/7 / 9/5)) - 1/6))
[338154] ['3/5', '2/3', '3/4', '7/6', '2'] -> 2 / ((7/6 - 2/3) / 3/5 - 3/4)
[338155] ['1/8', '5/8', '1', '8/7', '9/4'] -> (9/4 - (5/8 - 1)) * 8/7 / 1/8
[338156] ['9/7', '3/2', '5/3', '9/5', '7'] -> 7 * (9/7 + 9/5) * 5/3 / 3/2
[338157] ['3/8', '3/8', '7/4', '9/2', '5'] -> 5 / (3/8 + 9/2 - 7/4 / 3/8)
[338158] ['3/5', '2/3', '3/4', '5/4', '2'] -> 2 / (2/3 / 5/4 - 3/5 * 3/4)
[338159] ['9/7', '3/2', '5/3', '8/3', '7'] -> 3/2 * 7 * (8/3 + 9/7 - 5/3)
[338160] ['3/8', '3/8', '9/5', '9/2', '5'] -> 5 * (3/8 * 9/5 - (3/8 - 9/2))
[338161] ['1/6', '3/7', '6/5', '9/7', '2'] -> 6/5 * (2 + 9/7 / (1/6 * 3/7))
[338162] ['4/9', '9/7', '5/3', '9/2', '5'] -> 9/2 * (9/7 * (4/9 + 5) - 5/3)
[338163] ['1/8', '5/4', '9/5', '8/3', '8'] -> 5/4 * (8/3 * (8 - 1/8) - 9/5)
[338164] ['1/6', '3/4', '8/7', '7/5', '8'] -> 7/5 * (8 + 8/7 / (1/6 * 3/4))
[338165] ['2/9', '2/7', '3/4', '8/3', '3'] -> (8/3 / 2/7 - 3 / 3/4) / 2/9
[338166] ['1/6', '3/7', '6/5', '4/3', '2'] -> (2 / 3/7 - 4/3) * 6/5 / 1/6
[338167] ['2/9', '2/7', '3/4', '3', '7/2'] -> (3 + 2/7 * 7/2) / (2/9 * 3/4)
[338168] ['9/7', '3/2', '7/4', '7/2', '7'] -> (3/2 + 9/7 * 7/2) * 7 / 7/4
[338169] ['3/5', '2/3', '3/4', '2', '5/2'] -> 2 / (3/5 * 5/2 - (2/3 + 3/4))
[338170] ['2/9', '2/7', '3/4', '3', '9/2'] -> (3 / (9/2 * (2/9 / 2/7)) - 3/4))
[338171] ['3/8', '3/8', '5/2', '5/2', '5'] -> 5 * (5/2 + 5/2) - 3/8 / 3/8
[338172] ['1/8', '5/4', '9/4', '9/4', '8'] -> (8 / 9/4 - 5/4 / 9/4) / 1/8
[338173] ['6/7', '7/8', '8/9', '1', '5/2'] -> 5/2 / (1 / 8/9 - 7/8 / 6/7)
[338174] ['1/6', '3/4', '8/7', '8/5', '8'] -> (8/5 - 8/7) * (3/4 + 8) / 1/6
[338175] ['1/6', '3/7', '6/5', '8/5', '2'] -> (2 * 6/5 / 3/7 - 8/5) / 1/6
[338176] ['3/5', '5/6', '5/4', '8/5', '7'] -> 7 / (5/6 / 5/4 - 3/5 / 8/5)
[338177] ['4/9', '9/7', '7/4', '7/3', '5'] -> 5 * 7/3 / 4/9 - 9/7 * 7/4
[338178] ['1/8', '5/8', '1', '7/6', '5/3'] -> 5/3 + (7/6 + 5/8 + 1) / 1/8
[338179] ['3/5', '2/3', '3/4', '2', '7/2'] -> 3/5 * (7/2 / (3/4 - 2/3) - 2)
[338180] ['6/7', '7/8', '8/9', '1', '7/2'] -> (1 / ((6/7 * 7/2) * 8/9) - 7/8))
[338181] ['3/8', '3/8', '8/3', '9/2', '5'] -> 8/3 / (5 / 9/2 - 3/8 / 3/8)
[338182] ['1/6', '3/4', '8/7', '8/3', '8'] -> 8/7 * 8/3 * (8 - 1/6 * 3/4)
[338183] ['9/7', '3/2', '9/4', '8/3', '7'] -> 7 * (3/2 * 8/3 - 9/7 / 9/4)
[338184] ['3/5', '5/6', '5/4', '7/3', '7'] -> (5/6 + 5/4 * 7/3) * (7 - 3/5)
[338185] ['4/9', '9/7', '7/4', '8/3', '5'] -> 8/3 * (5 / 4/9 - 9/7 * 7/4)
[338186] ['1/6', '3/7', '6/5', '9/5', '2'] -> (2 / 3/7 - 6/5 / 9/5) / 1/6
[338187] ['2/9', '2/7', '7/9', '8/9', '3'] -> (8/9 / 2/7 - (7/9 - 3)) / 2/9
[338188] ['3/5', '5/6', '5/4', '8/3', '7'] -> (7 / (5/6 * (3/5 * 8/3)) - 5/4))
[338189] ['1/8', '5/4', '8/3', '7/2', '8'] -> (1/8 + 5/4 * 7/2) * (8 - 8/3)
[338190] ['3/8', '2/5', '2/5', '3/7', '5'] -> (2/5 / (3/7 - 2/5) - 5) / 3/8
[338191] ['1/8', '5/8', '1', '6/5', '6/5'] -> (6/5 / (1/8 * (1 / 5/8)) - 6/5))
[338192] ['9/7', '3/2', '8/3', '8/3', '7'] -> 3/2 * 7 * (9/7 + 8/3 / 8/3)
[338193] ['2/9', '2/7', '7/9', '7/6', '3'] -> (3 + 7/9 / (2/7 * 7/6)) / 2/9
[338194] ['3/5', '5/6', '9/7', '9/7', '7'] -> 7 * (3/5 + 9/7 + 9/7 / 5/6)
[338195] ['1/8', '5/4', '8/3', '9/2', '8'] -> 8/3 * 9/2 * (5/4 / 1/8 - 8)
[338196] ['6/7', '7/8', '1', '9/8', '4/3'] -> 6/7 / (1 - 9/8 / (7/8 * 4/3))
[338197] ['9/7', '8/5', '8/5', '8/5', '7'] -> 7 * (8/5 + 9/7 * 8/5) - 8/5
[338198] ['3/5', '5/6', '9/7', '4/3', '7'] -> 9/7 * 4/3 * 7 / (3/5 * 5/6)
[338199] ['3/8', '2/5', '2/5', '3/5', '5'] -> (2/5 + 5) / (3/8 / 3/5 - 2/5)
[338200] ['1/6', '3/4', '7/6', '8/5', '8'] -> (8/5 + 8) * (7/6 - 3/4) / 1/6
[338201] ['1/8', '9/7', '9/7', '9/7', '8'] -> 8 + (9/7 + 9/7) / (1/8 * 9/7)
[338202] ['9/7', '8/5', '8/5', '5/3', '7'] -> 9/7 * 7 * (5/3 + 8/5 / 8/5)
[338203] ['2/9', '2/7', '7/9', '5/4', '3'] -> 5/4 + (3 + 7/9 / 2/9) / 2/7
[338204] ['1/8', '5/8', '1', '6/5', '3/2'] -> (1 + 3/2 / (5/8 * 6/5)) / 1/8
[338205] ['4/9', '9/7', '9/5', '7/3', '5'] -> (9/7 + 9/5) * (5 + 4/9 + 7/3)
[338206] ['6/7', '7/8', '1', '9/8', '3/2'] -> (1 + 3/2) / (9/8 - 7/8 / 6/7)
[338207] ['3/5', '5/6', '9/7', '3/2', '7'] -> 3/5 + (9/7 + 3/2) * 7 / 5/6
[338208] ['3/8', '2/5', '2/5', '3/4', '5'] -> (5 * 3/4 / 3/8 - 2/5) / 2/5
[338209] ['3/5', '2/3', '7/9', '4/3', '2'] -> 4/3 / (2 - 7/9 / (3/5 * 2/3))
[338210] ['1/8', '5/8', '1', '6/5', '9/5'] -> 6/5 / (9/5 - (1 + 1/8 + 5/8))
[338211] ['3/5', '5/6', '9/7', '8/5', '7'] -> (3/5 + 9/7 / 5/6) * 8/5 * 7
[338212] ['4/9', '9/7', '9/5', '8/3', '5'] -> (4/9 + 8/3) * (9/5 * 5 - 9/7)
[338213] ['1/8', '9/7', '9/7', '5/3', '8'] -> 8 / (1/8 * (5/3 + 9/7 / 9/7))
[338214] ['1/6', '3/4', '6/5', '4/3', '8'] -> (8 / 6/5 - 4/3) * 3/4 / 1/6
[338215] ['1/8', '5/8', '1', '6/5', '7/3'] -> 1 / 5/8 + 7/3 * 6/5 / 1/8
[338216] ['3/5', '2/3', '7/9', '7/5', '2'] -> 2 * (7/5 / (7/9 - 2/3) - 3/5)
[338217] ['6/7', '7/8', '1', '9/8', '7/4'] -> 1 / (7/4 / 6/7 - (7/8 + 9/8))
[338218] ['3/5', '5/6', '9/7', '5/3', '7'] -> (5/6 + 5/3) * (3/5 + 9/7 * 7)
[338219] ['4/9', '9/7', '9/5', '7/2', '5'] -> (9/7 + 9/5) * 5 * 4/9 * 7/2
[338220] ['1/8', '9/7', '9/7', '7/4', '8'] -> 8 * (7/4 + 1/8 + 9/7) - 9/7
[338221] ['9/7', '8/5', '8/5', '7/3', '7'] -> 9/7 * 7/3 * (7 + 8/5 / 8/5)
[338222] ['1/8', '5/8', '1', '6/5', '5/2'] -> 5/2 / ((1 - 1/8) / 6/5 - 5/8)
[338223] ['1/8', '9/7', '9/7', '9/5', '8'] -> 8 + (9/7 + 9/7 / 9/5) / 1/8
[338224] ['2/9', '2/7', '7/9', '7/4', '3'] -> (3 + 7/9 / 2/7) / 2/9 - 7/4
[338225] ['6/7', '7/8', '1', '9/8', '7/3'] -> 6/7 / ((1 + 9/8) / 7/3 - 7/8)
[338226] ['1/8', '9/7', '9/7', '9/4', '8'] -> 9/7 / (1/8 - 9/7 / 9/4 *
)[338227] ['3/8', '2/5', '2/5', '7/6', '5'] -> 5 / (3/8 - 7/6 + 2/5 / 2/5)
[338228] ['4/9', '9/7', '9/4', '7/3', '5'] -> 7/3 * (9/7 - 9/4 + 5 / 4/9)
[338229] ['3/5', '2/3', '7/9', '9/5', '2'] -> (2/3 + 9/5 * 2) / (7/9 - 3/5)
[338230] ['1/6', '3/4', '5/4', '9/7', '8'] -> 5/4 * 8 / (3/4 / 9/7 - 1/6)
[338231] ['2/9', '2/7', '7/9', '5/2', '3'] -> 3 + (5/2 + 7/9 / 2/9) / 2/7
[338232] ['1/6', '3/7', '5/4', '2', '7/3'] -> 2 / (5/4 - (1/6 + 3/7 * 7/3))
[338233] ['6/7', '7/8', '1', '8/7', '7/6'] -> 1 / (7/6 - (8/7 + 6/7 - 7/8))
[338234] ['3/8', '2/5', '2/5', '4/3', '5'] -> (5 / (3/8 * 4/3) - 2/5) / 2/5
[338235] ['6/7', '7/8', '1', '8/7', '6/5'] -> (6/7 + 1) / (8/7 / 6/5 - 7/8)
[338236] ['3/5', '2/3', '7/9', '2', '5/2'] -> 2/3 / (7/9 - 5/2 * 3/5 / 2)
[338237] ['1/8', '9/7', '4/3', '4/3', '8'] -> (4/3 + 9/7 * 4/3) * (8 - 1/8)
[338238] ['1/8', '5/8', '1', '5/4', '7/3'] -> (1 / (1/8 * 7/3) - (5/4 / 5/8)))
[338239] ['3/5', '5/6', '4/3', '8/5', '7'] -> (4/3 + 7 * 8/5 / 3/5) / 5/6
[338240] ['2/9', '2/7', '7/9', '3', '7/2'] -> (7/9 + 2/7 * 7/2) * 3 / 2/9
[338241] ['1/6', '3/7', '5/4', '2', '8/3'] -> 2 / (5/4 / 3/7 - (1/6 + 8/3))
[338242] ['3/5', '5/6', '4/3', '5/3', '7'] -> 4/3 / 5/3 * 7 / (5/6 - 3/5)
[338243] ['1/8', '9/7', '4/3', '7/5', '8'] -> (8 / (4/3 * 7/5) - 9/7) / 1/8
[338244] ['4/9', '9/7', '7/3', '7/3', '5'] -> 5 + (9/7 + 7/3) * 7/3 / 4/9
[338245] ['1/6', '3/4', '9/7', '7/5', '8'] -> (8 / 7/5 - 9/7 / 3/4) / 1/6
[338246] ['6/7', '7/8', '1', '8/7', '3/2'] -> 3/2 * (6/7 + 8/7) / (1 - 7/8)
[338247] ['9/7', '8/5', '5/3', '7/2', '7'] -> 5/3 * 7/2 * (7 - (9/7 + 8/5))
[338248] ['2/9', '2/7', '4/5', '5/6', '3'] -> (3 + 5/6 * 4/5 / 2/7) / 2/9
[338249] ['1/6', '3/7', '9/7', '7/5', '2'] -> (2 - (3/7 - 9/7)) * 7/5 / 1/6
[338250] ['3/8', '2/5', '2/5', '5/2', '5'] -> ((5 - 2/5) / 2/5 - 5/2) / 3/8
[338251] ['1/6', '3/4', '9/7', '3/2', '8'] -> 8 / (3/4 / 9/7 - 1/6 * 3/2)
[338252] ['1/8', '9/7', '4/3', '8/5', '8'] -> 9/7 * 8/5 * 8 * (1/8 + 4/3)
[338253] ['6/7', '7/8', '1', '8/7', '8/5'] -> 1 / (7/8 - 8/7 / (6/7 * 8/5))
[338254] ['4/9', '9/7', '7/3', '8/3', '5'] -> (9/7 * 7/3 + 8/3 + 5) / 4/9
[338255] ['1/6', '3/4', '9/7', '5/3', '8'] -> (8 / 9/7 - 5/3 / 3/4) / 1/6
[338256] ['3/5', '2/3', '4/5', '9/7', '2'] -> 2 / (2/3 - 3/5 / (4/5 * /7)
)[338257] ['1/6', '3/7', '9/7', '9/5', '2'] -> (9/7 / 1/6 - 2) * 9/5 / 3/7
[338258] ['4/9', '9/7', '7/3', '7/2', '5'] -> (7/2 * (5 - 9/7) - 7/3) / 4/9
[338259] ['1/6', '3/4', '9/7', '9/5', '8'] -> (9/7 + 9/5) * (8 - 1/6 / 3/4)
[338260] ['3/5', '5/6', '7/5', '3/2', '7'] -> (7/5 + 7) / (3/2 * (5/6 - 3/5))
[338261] ['9/7', '8/5', '7/4', '5/2', '7'] -> 7 * 9/7 / 5/2 / (7/4 - 8/5)
[338262] ['1/8', '5/8', '1', '9/7', '7/4'] -> 1 + (5/8 + 9/7 * 7/4) / 1/8
[338263] ['9/7', '8/5', '7/4', '8/3', '7'] -> 9/7 * 8/5 * (7 + 7/4 * 8/3)
[338264] ['1/6', '3/4', '9/7', '5/2', '8'] -> 8 * (5/2 / (3/4 - 1/6) - 9/7)
[338265] ['6/7', '7/8', '1', '7/6', '7/6'] -> (1 / ((7/8 - 6/7) * 7/6) + 7/6))
[338266] ['1/8', '9/7', '4/3', '9/2', '8'] -> 9/2 / 1/8 - 9/7 * (4/3 + 8)
[338267] ['3/5', '5/6', '7/5', '9/5', '7'] -> (7/5 + 9/5) * (7 + 3/5 * 5/6)
[338268] ['3/5', '2/3', '5/6', '6/7', '2'] -> 2 / (2/3 - 3/5 * 5/6 / 6/7)
[338269] ['1/8', '5/8', '1', '9/7', '9/5'] -> (1 / 5/8 + 9/5 / 9/7) / 1/8
[338270] ['9/7', '8/5', '7/4', '7/2', '7'] -> 7 + (9/7 + 7/4) * 8/5 * 7/2
[338271] ['3/5', '5/6', '7/5', '9/4', '7'] -> 7 / (9/4 / (3/5 + 7/5) - 5/6)
[338272] ['3/8', '2/5', '3/7', '5/8', '5'] -> 5 / (5/8 * 2/5 / 3/7 - 3/8)
[338273] ['6/7', '7/8', '1', '7/6', '5/4'] -> (6/7 + 1 / 7/8) / (5/4 - 7/6)
[338274] ['4/9', '9/7', '5/2', '9/2', '5'] -> 9/2 * 5 - (4/9 - 5/2 / 9/7)
[338275] ['3/5', '2/3', '5/6', '7/8', '2'] -> 2 / (2/3 * 7/8 - 3/5 * 5/6)
[338276] ['1/8', '5/8', '1', '9/7', '9/4'] -> (1 + 9/4 / (1/8 * 9/7)) / 5/8
[338277] ['1/6', '3/7', '4/3', '3/2', '2'] -> (4/3 + 2 / 3/7) / (1/6 * 3/2)
[338278] ['1/8', '9/7', '7/5', '3/2', '8'] -> 3/2 * (9/7 / 1/8 + 8 / 7/5)
