[98496] ['4/7', '3/4', '4/3', '9/4', '5'] -> ((4/3 * 9/4) * ((5 / 4/7) - 3/4))
[99874] ['1/8', '2/7', '2/7', '7/3', '6'] -> ((6 + (2/7 / 2/7)) / (1/8 * 7/3))
[99875] ['1/2', '9/4', '9/4', '9/2', '9'] -> ((9 + ((9/4 + 9/2) / 9/4)) / 1/2)
[99876] ['1/5', '5/8', '5/6', '5/3', '7'] -> (7 / (1/5 * (5/3 + (5/8 - 5/6))))
[99877] ['1/5', '4/9', '9/8', '8/3', '9'] -> (9 / ((8/3 / 4/9) - (9/8 / 1/5)))
[99878] ['5/8', '7/9', '3/2', '3', '7/2'] -> ((3/2 + ((7/2 * 3) / 7/9)) / 5/8)
[99879] ['2/9', '5/7', '7/2', '4', '9/2'] -> ((5/7 + (2/9 * 9/2)) * (7/2 * 4))
[99880] ['4/7', '7/9', '4/3', '8/5', '5'] -> ((4/3 * 8/5) * (5 / (4/7 * 7/9)))
[99881] ['3/7', '9/8', '7/4', '8/3', '3'] -> (3 / (7/4 - (3/7 * (9/8 + 8/3))))
[99882] ['1/8', '3/4', '3/4', '6/7', '4'] -> (((3/4 / (6/7 - 3/4)) - 4) / 1/8)
[99883] ['1/2', '9/4', '7/3', '7/3', '9'] -> ((7/3 + 7/3) * (9 / (9/4 - 1/2)))
[99884] ['1/5', '4/9', '8/7', '8/7', '9'] -> (8/7 + (((8/7 * 9) * 4/9) / 1/5))
[99885] ['1/5', '4/9', '8/7', '7/6', '9'] -> (9 + ((8/7 * 7/6) / (1/5 * 4/9)))
[99886] ['4/7', '7/4', '7/3', '7/3', '4'] -> (7/3 + ((4/7 + 7/4) * (7/3 * 4)))
[99887] ['2/9', '3/4', '3/4', '4/5', '4'] -> ((3/4 + 3/4) + (4 / (2/9 * 4/5)))
[99888] ['3/7', '9/8', '9/5', '9/5', '3'] -> (9/5 / ((9/5 / 3/7) - (9/8 + 3)))
[99889] ['1/9', '7/8', '9/7', '7/4', '7'] -> ((7/8 + 7/4) * (9/7 * (1/9 + 7)))
[99890] ['2/7', '2/5', '2/3', '7/4', '7'] -> ((2/7 * 7) / (7/4 - (2/3 / 2/5)))
[99891] ['1/8', '3/4', '3/4', '7/6', '4'] -> ((4 + (3/4 / 1/8)) / (7/6 - 3/4))
[99892] ['1/2', '9/4', '9/2', '9/2', '9'] -> (((9/2 + 9) * (9/2 - 1/2)) / 9/4)
[99893] ['4/7', '7/9', '4/3', '9/5', '5'] -> (5 * (9/5 + (4/3 / (4/7 * 7/9))))
[99894] ['2/9', '1/4', '5/7', '8/7', '8'] -> (((8 - 5/7) / 1/4) - (8/7 / 2/9))
[99895] ['1/3', '6/7', '8/7', '9/5', '2'] -> (2 / ((6/7 / (8/7 * /5)) - 1/3))
[99896] ['2/9', '3/4', '3/4', '5/6', '4'] -> (((3/4 + (5/6 / 2/9)) * 4) / 3/4)
[99897] ['2/7', '2/5', '2/3', '9/5', '7'] -> (((9/5 - (2/7 / 2/3)) * 7) / 2/5)
[99898] ['1/5', '5/8', '5/6', '8/3', '7'] -> ((7 + (8/3 / 5/6)) / (5/8 - 1/5))
[99899] ['1/8', '2/7', '1/3', '4/9', '6'] -> (6 / (2/7 * (1/8 + (1/3 / 4/9))))
[99900] ['1/9', '7/8', '9/7', '9/5', '7'] -> ((9/7 * 7) / ((7/8 / 9/5) - 1/9))
[99901] ['1/2', '7/3', '7/3', '7/3', '9'] -> (((7/3 - (7/3 / 7/3)) * 9) / 1/2)
[99902] ['1/8', '3/4', '3/4', '9/7', '4'] -> (4 / (1/8 * (3/4 + (3/4 / 9/7))))
[99903] ['2/9', '1/4', '5/7', '7/6', '8'] -> (8 * ((5/7 / 2/9) - (1/4 / 7/6)))
[99904] ['5/8', '7/9', '8/5', '9/5', '3'] -> (3 / (5/8 * (8/5 - (7/9 * 9/5))))
[99905] ['1/5', '4/9', '8/7', '9/7', '9'] -> (8/7 + (((9/7 + 9) * 4/9) / 1/5))
[99906] ['1/9', '7/8', '9/7', '5/2', '7'] -> (((7 * 9/7) / 1/9) / (7/8 + 5/2))
[99907] ['5/8', '5/7', '7/8', '1', '7/2'] -> ((7/2 * (5/7 + 1)) / (7/8 - 5/8))
[99908] ['1/8', '3/4', '3/4', '8/5', '4'] -> (3/4 / ((1/8 * 4) - (3/4 / 8/5)))
[99909] ['2/7', '2/5', '2/3', '7/2', '7'] -> ((7/2 - 2/7) * (7 * (2/5 + 2/3)))
[99910] ['2/9', '3/4', '3/4', '7/6', '4'] -> ((((7/6 / 2/9) - 3/4) * 4) / 3/4)
[99911] ['1/8', '3/4', '3/4', '9/5', '4'] -> (((4 + (3/4 / 1/8)) * 9/5) / 3/4)
[99912] ['1/3', '6/7', '7/6', '4/3', '2'] -> ((1/3 * 2) / ((7/6 / 6/7) - 4/3))
[99913] ['2/9', '1/4', '5/7', '5/4', '8'] -> (8 / (2/9 * (5/4 / 5/7)) - 1/4))
[99914] ['3/7', '9/8', '9/5', '3', '9/2'] -> (3 / ((9/8 / 3/7) - (9/2 / 9/5)))
[99915] ['2/9', '3/4', '3/4', '5/4', '4'] -> ((3/4 + 3/4) + ((4 * 5/4) / 2/9))
[99916] ['1/5', '4/9', '8/7', '5/3', '9'] -> (((9 + (1/5 * 5/3)) * 8/7) / 4/9)
[99917] ['5/8', '7/9', '8/5', '3', '7/2'] -> (7/2 * ((8/5 / 7/9) + (3 / 5/8)))
[99918] ['3/7', '9/8', '9/4', '7/3', '3'] -> (3 / (9/4 - (9/8 + (3/7 * 7/3))))
[99919] ['1/5', '5/8', '6/7', '6/5', '7'] -> ((5/8 * 7) * (6/5 + (6/7 / 1/5)))
[99920] ['4/7', '7/9', '7/5', '5/3', '5'] -> ((7/5 + 5) * (5/3 / (4/7 * 7/9)))
[99921] ['5/9', '5/9', '5/9', '2/3', '9'] -> (9 * (2/3 + ((5/9 + 5/9) / 5/9)))
[99922] ['2/7', '2/5', '5/7', '7/9', '7'] -> (((5/7 + (7 / 7/9)) / 2/5) - 2/7)
[99923] ['3/7', '9/8', '9/4', '5/2', '3'] -> (3 / (((9/4 - 9/8) / 3/7) - 5/2))
[99924] ['1/3', '6/7', '7/6', '5/3', '2'] -> (2 / (((1/3 + 7/6) / 6/7) - 5/3))
[99925] ['1/3', '6/7', '7/6', '7/4', '2'] -> (6/7 / ((1/3 / 7/6) + (7/4 - 2)))
[99926] ['4/7', '9/5', '9/4', '7/3', '4'] -> (9/5 * (9/4 + ((7/3 + 4) / 4/7)))
[99927] ['1/5', '4/9', '8/7', '9/4', '9'] -> ((4/9 * 8/7) * (9/4 + (9 / 1/5)))
[99928] ['5/8', '5/7', '8/9', '1', '9/7'] -> ((1 + (8/9 * 9/7)) / (5/7 - 5/8))
[99929] ['1/3', '6/7', '7/6', '9/5', '2'] -> (9/5 / ((7/6 / (6/7 + 2)) - 1/3))
[99930] ['3/7', '9/8', '7/3', '3', '9/2'] -> ((3 - 3/7) * ((9/2 * 7/3) / 9/8))
[99931] ['2/9', '1/4', '5/7', '7/4', '8'] -> (8 / (2/9 * (1/4 + (5/7 * 7/4))))
[99932] ['1/3', '6/7', '7/6', '2', '9/4'] -> (6/7 / ((1/3 / 7/6) + (2 - 9/4)))
[99933] ['1/8', '8/9', '9/5', '9/4', '3'] -> ((8/9 * 9/5) * ((9/4 / 1/8) - 3))
[99934] ['2/9', '3/4', '7/9', '5/6', '4'] -> (((7/9 / (5/6 - 3/4)) - 4) / 2/9)
[99935] ['5/8', '7/9', '5/3', '3', '9/2'] -> (5/3 / (5/8 * 7/9) - (3 / 9/2)))
[99936] ['5/9', '5/9', '5/9', '7/8', '9'] -> (9 / (7/8 - (5/9 / (5/9 + 5/9))))
[99937] ['1/5', '5/8', '6/7', '8/5', '7'] -> (6/7 / ((1/5 / 8/5) - (5/8 / 7)))
[99938] ['1/3', '6/7', '7/6', '2', '7/3'] -> ((7/6 + 7/3) * (6/7 + (2 / 1/3)))
[99939] ['4/7', '7/9', '7/5', '8/3', '5'] -> (8/3 / (5 * (4/7 * 7/5)) - 7/9))
[99940] ['5/8', '7/9', '7/4', '7/4', '3'] -> (3 / ((5/8 + 7/4) - (7/4 / 7/9)))
[99941] ['5/9', '5/9', '5/9', '9/8', '9'] -> (9 / ((5/9 / 5/9) - (5/9 * 9/8)))
[99942] ['1/5', '4/9', '8/7', '8/3', '9'] -> (8/7 * ((8/3 / (1/5 * 4/9)) - 9))
[99943] ['2/9', '1/4', '5/7', '7/3', '8'] -> (8 / (5/7 - (2/9 / (1/4 * /3)))
)[99944] ['1/8', '8/9', '9/5', '8/3', '3'] -> ((9/5 * 3) * ((8/9 / 1/8) - 8/3))
[99945] ['2/7', '2/5', '5/7', '8/7', '7'] -> ((7 / 2/5) + ((5/7 + 8/7) / 2/7))
[99946] ['1/3', '6/7', '7/6', '2', '5/2'] -> (2 / (7/6 * (6/7 / 1/3)) - 5/2))
[99947] ['1/9', '7/8', '7/5', '9/5', '7'] -> (9/5 / (1/9 * (7/8 - (7/5 / 7))))
[99948] ['2/9', '1/4', '5/7', '5/2', '8'] -> ((1/4 + 8) + (5/2 / (2/9 * 5/7)))
[99949] ['3/7', '9/8', '8/3', '8/3', '3'] -> (9/8 * (8/3 + ((3 * 8/3) / 3/7)))
[99950] ['4/7', '7/9', '3/2', '3/2', '5'] -> (5 / (3/2 * (3/2 - (7/9 / 4/7))))
[99951] ['2/7', '2/5', '5/7', '5/4', '7'] -> (((7 / 2/5) - (2/7 * 5/4)) / 5/7)
[99952] ['4/7', '9/5', '7/3', '8/3', '4'] -> (9/5 * (8/3 + (7/3 * (4/7 + 4))))
[99953] ['1/8', '2/7', '3/8', '4/9', '6'] -> ((3/8 / (1/8 * 2/7)) + (6 / 4/9))
[99954] ['1/8', '3/4', '7/9', '8/3', '4'] -> (8/3 / (7/9 - (4 * (1/8 / 3/4))))
[99955] ['2/9', '3/4', '7/9', '5/3', '4'] -> (((7/9 * 4) + (5/3 / 3/4)) / 2/9)
[99956] ['4/7', '9/5', '7/3', '7/2', '4'] -> ((7/3 + 7/2) * (4 * (4/7 * 9/5)))
[99957] ['1/9', '7/8', '7/5', '5/2', '7'] -> (7 / (1/9 * (7/5 * 5/2)) - 7/8))
[99958] ['1/3', '6/7', '6/5', '9/7', '2'] -> (((6/7 / (9/7 - 6/5)) - 2) / 1/3)
[99959] ['1/8', '8/9', '9/4', '3', '7/2'] -> (8/9 + ((3 + 7/2) / (1/8 * 9/4)))
[99960] ['5/8', '5/7', '8/9', '1', '7/3'] -> (((7/3 * 5/7) / 5/8) / (1 - 8/9))
[99961] ['1/5', '4/9', '7/6', '9/7', '9'] -> ((4/9 * 7/6) * (9/7 + (9 / 1/5)))
[99962] ['2/9', '3/4', '7/9', '9/5', '4'] -> (((4 - (7/9 / 3/4)) * 9/5) / 2/9)
[99963] ['2/9', '1/4', '3/4', '4/5', '8'] -> (8 / (4/5 * (1/4 + (2/9 * 3/4))))
[99964] ['5/8', '5/7', '8/9', '1', '5/2'] -> (8/9 * ((5/2 / (5/7 - 5/8)) - 1))
[99965] ['5/8', '7/9', '7/4', '3', '9/2'] -> (3 / (5/8 - (7/4 / (7/9 * 9/2))))
[99966] ['1/5', '5/8', '6/7', '7/2', '7'] -> ((6/7 / (1/5 * 5/8)) * (7 - 7/2))
[99967] ['1/9', '7/8', '7/5', '7/2', '7'] -> ((1/9 + 7) * (7/8 + (7/2 / 7/5)))
[99968] ['1/8', '3/4', '4/5', '8/9', '4'] -> ((((4 / 8/9) - 3/4) * 4/5) / 1/8)
[99969] ['4/7', '9/5', '5/2', '5/2', '4'] -> ((5/2 + (9/5 * 5/2)) * (4 - 4/7))
[99970] ['5/8', '5/7', '8/9', '1', '8/3'] -> (8/3 / (8/9 * (1 - (5/8 / 5/7))))
[99971] ['4/7', '9/5', '5/2', '8/3', '4'] -> (4 / ((8/3 / 4/7) - (9/5 * 5/2)))
[99972] ['1/5', '5/8', '7/8', '7/8', '7'] -> ((((7 * 5/8) / 1/5) - 7/8) / 7/8)
[99973] ['2/9', '1/4', '3/4', '8/7', '8'] -> (8 / (3/4 * (1/4 + (2/9 / 8/7))))
[99974] ['1/9', '7/8', '3/2', '3/2', '7'] -> (7 / ((1/9 * 7/8) * 3/2) + 3/2))
[99975] ['1/5', '4/9', '7/6', '5/3', '9'] -> ((9 + (5/3 / 1/5)) / (7/6 - 4/9))
[99976] ['2/7', '2/5', '5/7', '9/5', '7'] -> (((9/5 + (2/7 - 5/7)) * 7) / 2/5)
[99977] ['5/8', '7/9', '9/5', '9/4', '3'] -> (3 / (((9/4 - 5/8) / 9/5) - 7/9))
[99978] ['5/9', '5/9', '5/9', '9/4', '9'] -> (9/4 * ((5/9 + 5/9) + (5/9 + 9)))
[99979] ['1/3', '6/7', '6/5', '8/5', '2'] -> (((6/5 + 8/5) * (6/7 + 2)) / 1/3)
[99980] ['3/7', '8/7', '8/7', '8/5', '3'] -> (3/7 / (((3 - 8/7) / 8/5) - 8/7))
[99981] ['5/8', '5/7', '1', '9/8', '8/7'] -> (((5/8 * 5/7) / (8/7 - 9/8)) - 1)
[99982] ['2/9', '1/4', '3/4', '9/7', '8'] -> (8 / (3/4 - (2/9 + (1/4 / 9/7))))
[99983] ['1/5', '5/8', '7/8', '9/8', '7'] -> (9/8 / (5/8 * (1/5 - (7/8 / 7))))
[99984] ['4/7', '7/9', '3/2', '9/2', '5'] -> ((3/2 + ((9/2 + 5) / 7/9)) / 4/7)
[99985] ['1/9', '7/8', '3/2', '7/4', '7'] -> (((7 / 3/2) - (7/4 / 7/8)) / 1/9)
[99986] ['1/8', '2/7', '3/8', '8/9', '6'] -> (((1/8 / 3/8) + (6 / 2/7)) / 8/9)
[99987] ['4/7', '9/5', '8/3', '8/3', '4'] -> (9/5 * (4 + ((8/3 + 8/3) / 4/7)))
[99988] ['5/8', '7/9', '9/5', '8/3', '3'] -> (8/3 / (5/8 * (7/9 - (9/5 / 3))))
[99989] ['2/9', '3/4', '4/5', '7/6', '4'] -> (7/6 / ((3/4 / 4/5) - (2/9 * 4)))
[99990] ['5/8', '5/7', '1', '9/8', '6/5'] -> (6/5 / ((5/8 + 1) - (9/8 / 5/7)))
[99991] ['4/7', '7/9', '8/5', '5/3', '5'] -> ((8/5 / (4/7 * 7/9)) * (5/3 + 5))
[99992] ['3/7', '8/7', '8/7', '9/4', '3'] -> (((8/7 + (8/7 * 3)) * 9/4) / 3/7)
[99993] ['1/8', '3/4', '4/5', '7/3', '4'] -> (4 / ((1/8 / (4/5 - 3/4)) - 7/3))
[99994] ['2/7', '2/5', '5/7', '8/3', '7'] -> (8/3 * (((7 - 2/7) / 5/7) - 2/5))
[99995] ['1/8', '2/7', '3/8', '6/5', '6'] -> ((6/5 + (3/8 / 1/8)) * (6 - 2/7))
[99996] ['5/8', '7/9', '9/5', '3', '7/2'] -> (3 / ((5/8 / 9/5) - (7/9 / 7/2)))
[99997] ['1/9', '7/8', '3/2', '9/4', '7'] -> (7 + ((3/2 + (7/8 / 9/4)) / 1/9))
[99998] ['5/8', '5/7', '1', '9/8', '5/4'] -> (1 / ((5/8 / (5/4 - 5/7)) - 9/8))
[99999] ['1/5', '4/9', '7/6', '9/2', '9'] -> (9 / (1/5 * (9/2 - (7/6 / 4/9))))
[100000] ['1/8', '2/7', '3/8', '4/3', '6'] -> (4/3 * ((6 / 2/7) - (3/8 / 1/8)))
[100001] ['1/9', '7/8', '3/2', '5/2', '7'] -> ((5/2 + (3/2 / 1/9)) + (7 / 7/8))
[100002] ['1/8', '3/4', '4/5', '4', '9/2'] -> ((3/4 * 4/5) * (4 + (9/2 / 1/8)))
[100003] ['1/5', '5/8', '7/8', '8/5', '7'] -> (5/8 * ((7 / (1/5 * 7/8)) - 8/5))
[100004] ['2/9', '3/4', '4/5', '7/5', '4'] -> ((2/9 / (4/5 - 3/4)) * (7/5 + 4))
[100005] ['4/7', '9/5', '4', '9/2', '9/2'] -> ((4 - 4/7) * (9/2 + (9/2 / 9/5)))
[100006] ['5/8', '5/7', '1', '9/8', '4/3'] -> (1 / ((4/3 * (5/8 / 5/7)) - 9/8))
[100007] ['1/5', '4/9', '6/5', '6/5', '9'] -> (((9 / 6/5) - (6/5 / 4/9)) / 1/5)
[100008] ['2/9', '1/4', '7/9', '6/5', '8'] -> (6/5 * ((7/9 / (1/4 - 2/9)) - 8))
[100009] ['3/7', '8/7', '7/6', '6/5', '3'] -> (8/7 / (6/5 * 3/7) - (7/6 / 3)))
[100010] ['5/8', '7/9', '9/4', '8/3', '3'] -> (8/3 / ((5/8 * (7/9 + 3)) - 9/4))
[100011] ['1/9', '7/8', '8/5', '8/5', '7'] -> ((8/5 + (8/5 / 1/9)) + (7 / 7/8))
[100012] ['4/7', '9/4', '9/4', '5/2', '4'] -> ((5/2 + (9/4 + 9/4)) * (4 - 4/7))
[100013] ['2/7', '2/5', '3/4', '4/5', '7'] -> ((7 / 2/7) - (4/5 - (2/5 * 3/4)))
[100014] ['5/8', '7/9', '9/4', '3', '7/2'] -> (3 / (5/8 - ((7/9 * 9/4) / 7/2)))
[100015] ['1/5', '4/9', '6/5', '7/5', '9'] -> ((1/5 + (7/5 * 9)) / (4/9 * 6/5))
[100016] ['1/8', '2/7', '3/8', '7/3', '6'] -> (6 / ((1/8 + 2/7) - (3/8 / 7/3)))
[100017] ['1/3', '6/7', '5/4', '7/5', '2'] -> (2 / (7/5 * (5/4 - (1/3 + 6/7))))
[100018] ['5/8', '5/7', '1', '9/8', '8/5'] -> ((5/8 / (8/5 - (9/8 / 5/7))) - 1)
[100019] ['1/5', '5/8', '7/8', '8/3', '7'] -> (7 / ((1/5 * 5/8) * 7/8) * 8/3))
[100020] ['4/7', '7/9', '8/5', '8/3', '5'] -> ((8/3 + (8/5 * 5)) / (4/7 * 7/9))
[100021] ['2/9', '1/4', '4/5', '4/5', '8'] -> (4/5 / (2/9 * 1/4) - (4/5 / 8)))
[100022] ['2/7', '2/5', '3/4', '6/7', '7'] -> (((7 + (6/7 / 2/5)) * 3/4) / 2/7)
[100023] ['5/8', '7/9', '9/4', '3', '9/2'] -> (((3 - 7/9) * (9/4 + 9/2)) / 5/8)
[100024] ['1/5', '5/8', '7/8', '9/2', '7'] -> ((9/2 * 7) - ((5/8 + 7/8) / 1/5))
[100025] ['1/9', '7/8', '8/5', '9/5', '7'] -> (7 / (((8/5 - 7/8) / 9/5) - 1/9))
[100026] ['4/7', '7/9', '8/5', '7/2', '5'] -> ((7/9 * 5) * (4/7 + (8/5 * 7/2)))
[100027] ['2/9', '3/4', '4/5', '5/2', '4'] -> (4/5 * (3/4 + ((5/2 + 4) / 2/9)))
[100028] ['1/5', '4/9', '5/4', '5/4', '9'] -> (5/4 * ((1/5 - 5/4) + (9 / 4/9)))
[100029] ['3/7', '8/7', '7/6', '8/5', '3'] -> (8/5 * ((3/7 / (7/6 - 8/7)) - 3))
[100030] ['5/8', '7/9', '5/2', '5/2', '3'] -> (5/2 / (5/8 * 5/2) - (7/9 * 3)))
[100031] ['1/5', '5/8', '8/9', '8/9', '7'] -> (((8/9 * 7) - (8/9 / 5/8)) / 1/5)
[100032] ['1/9', '7/8', '8/5', '9/4', '7'] -> ((8/5 * ((9/4 / 1/9) - 7/8)) - 7)
[100033] ['5/9', '5/9', '4/7', '7/8', '9'] -> (9 / (7/8 * (5/9 / 5/9)) - 4/7))
[100034] ['1/8', '2/7', '2/5', '1/2', '6'] -> ((2/7 + (1/2 / 1/8)) * (6 - 2/5))
[100035] ['5/8', '7/9', '5/2', '3', '7/2'] -> ((5/2 + (7/2 / 3)) / (7/9 - 5/8))
[100036] ['5/9', '5/9', '4/7', '8/9', '9'] -> (9 * ((5/9 + 5/9) + (8/9 / 4/7)))
[100037] ['4/7', '9/4', '5/2', '5/2', '4'] -> ((4 * (9/4 + (5/2 / 4/7))) - 5/2)
[100038] ['5/8', '5/7', '1', '9/8', '7/3'] -> (1 / (7/3 * (5/7 / 5/8)) - 9/8))
[100039] ['1/9', '7/8', '8/5', '7/3', '7'] -> (((7 / (7/8 * 8/5)) - 7/3) / 1/9)
[100040] ['1/5', '5/8', '8/9', '9/8', '7'] -> (((7 / 9/8) - (8/9 / 5/8)) / 1/5)
[100041] ['2/9', '3/4', '5/6', '6/7', '4'] -> (((5/6 + (4 / 6/7)) / 2/9) - 3/4)
[100042] ['1/8', '9/8', '7/6', '9/7', '3'] -> (3 + ((9/8 + (7/6 * 9/7)) / 1/8))
[100043] ['1/3', '6/7', '5/4', '2', '9/4'] -> ((5/4 + 9/4) * (6/7 + (2 / 1/3)))
[100044] ['2/7', '2/5', '3/4', '7/6', '7'] -> (7 / ((7/6 / 2/5) - (3/4 / 2/7)))
[100045] ['5/8', '5/7', '1', '9/8', '5/2'] -> (((5/2 / (5/7 - 5/8)) - 1) / 9/8)
[100046] ['5/8', '7/9', '8/3', '3', '7/2'] -> ((3 + ((7/2 * 8/3) / 7/9)) / 5/8)
[100047] ['4/7', '9/4', '5/2', '8/3', '4'] -> ((5/2 / ((8/3 / 4) - 4/7)) - 9/4)
[100048] ['1/5', '4/9', '5/4', '8/5', '9'] -> ((8/5 + (9 * (4/9 / 5/4))) / 1/5)
[100049] ['5/9', '5/9', '4/7', '8/7', '9'] -> ((8/7 * 9) / ((5/9 / 5/9) - 4/7))
[100050] ['5/8', '5/7', '1', '9/8', '8/3'] -> ((9/8 * 8/3) / (1 - (5/8 / 5/7)))
[100051] ['1/3', '6/7', '5/4', '2', '5/2'] -> (5/2 / ((5/4 / (6/7 + 2)) - 1/3))
[100052] ['2/9', '1/4', '4/5', '5/4', '8'] -> (8 / ((1/4 / (5/4 - 4/5)) - 2/9))
[100053] ['2/7', '2/5', '3/4', '5/4', '7'] -> (((3/4 + 7) / 2/7) - (5/4 / 2/5))
[100054] ['2/9', '3/4', '5/6', '8/7', '4'] -> (8/7 * (((5/6 + 4) / 2/9) - 3/4))
[100055] ['1/5', '4/9', '5/4', '9/5', '9'] -> ((4/9 * 5/4) * ((9 / 1/5) - 9/5))
[100056] ['4/7', '9/4', '5/2', '4', '9/2'] -> (4 * (5/2 + (9/2 / (4/7 * 9/4))))
[100057] ['4/7', '7/9', '5/3', '8/3', '5'] -> (8/3 / ((4/7 * 7/9) - (5/3 / 5)))
[100058] ['1/8', '9/8', '7/6', '8/5', '3'] -> (1/8 / (((3 - 9/8) / 8/5) - 7/6))
[100059] ['2/7', '2/5', '3/4', '9/7', '7'] -> (7 * ((2/7 * 3/4) + (9/7 / 2/5)))
[100060] ['4/7', '9/4', '8/3', '8/3', '4'] -> ((((8/3 * 8/3) * 9/4) / 4/7) - 4)
[100061] ['5/8', '7/9', '3', '9/2', '9/2'] -> ((9/2 + (9/2 * (7/9 * 3))) / 5/8)
[100062] ['2/9', '1/4', '4/5', '9/7', '8'] -> (8 / (4/5 * (2/9 + (1/4 / 9/7))))
[100063] ['1/5', '4/9', '5/4', '5/2', '9'] -> ((9 / 4/9) - (5/2 - (5/4 / 1/5)))
[100064] ['1/8', '9/8', '7/6', '5/3', '3'] -> ((3 + (9/8 / 1/8)) / (5/3 - 7/6))
[100065] ['4/7', '7/9', '5/3', '9/2', '5'] -> (9/2 * ((4/7 - 5/3) + (5 / 7/9)))
[100066] ['3/7', '8/7', '6/5', '7/5', '3'] -> (8/7 / ((3/7 * 6/5) - (7/5 / 3)))
[100067] ['5/8', '5/7', '1', '8/7', '5/4'] -> ((1 + 8/7) / ((5/8 + 5/7) - 5/4))
[100068] ['1/5', '4/9', '5/4', '7/2', '9'] -> ((7/2 + (1/5 * 5/4)) + (9 / 4/9))
[100069] ['1/8', '9/8', '7/6', '7/3', '3'] -> (((3 + (9/8 / 1/8)) * 7/3) / 7/6)
[100070] ['5/8', '4/5', '4/5', '7/8', '3'] -> (3 / ((5/8 * (4/5 + 4/5)) - 7/8))
[100071] ['1/5', '5/8', '8/9', '7/5', '7'] -> ((7 - (5/8 + (7/5 / 8/9))) / 1/5)
[100072] ['2/7', '2/5', '3/4', '3/2', '7'] -> (((3/2 + 7) / (3/4 - 2/5)) - 2/7)
[100073] ['1/8', '3/4', '6/7', '7/3', '4'] -> (((4 - 3/4) / 1/8) - (6/7 * 7/3))
[100074] ['1/3', '6/7', '9/7', '8/5', '2'] -> (2 / ((6/7 / (9/7 * /5)) - 1/3))
[100075] ['1/5', '4/9', '5/4', '9/2', '9'] -> ((9/2 + 9) / (5/4 * (1/5 / 4/9)))
[100076] ['1/8', '9/8', '7/6', '5/2', '3'] -> (3 * (((7/6 * 9/8) / 1/8) - 5/2))
[100077] ['1/9', '7/8', '5/3', '9/2', '7'] -> (7 / (5/3 - (7/8 + (1/9 * 9/2))))
[100078] ['2/7', '2/5', '3/4', '8/5', '7'] -> ((7 / 2/7) - (3/4 - (2/5 / 8/5)))
[100079] ['2/9', '1/4', '4/5', '9/4', '8'] -> (((8 - (2/9 * 9/4)) * 4/5) / 1/4)
[100080] ['4/7', '7/3', '5/2', '7/2', '4'] -> (4 / (7/2 - (5/2 * (4/7 * 7/3))))
[100081] ['5/8', '4/5', '4/5', '9/8', '3'] -> (3 / (9/8 - (5/8 * (4/5 + 4/5))))
[100082] ['4/7', '7/9', '7/4', '7/3', '5'] -> ((((5 * 7/3) / 4/7) - 7/4) / 7/9)
[100083] ['1/5', '4/9', '9/7', '4/3', '9'] -> (9/7 * (((9 * 4/9) / 1/5) - 4/3))
[100084] ['3/7', '8/7', '6/5', '9/4', '3'] -> (3/7 / ((8/7 - 3) + (9/4 / 6/5)))
[100085] ['2/7', '2/5', '3/4', '7/4', '7'] -> (((2/7 * 7/4) + (7 / 2/5)) / 3/4)
[100086] ['1/9', '7/8', '7/4', '9/5', '7'] -> (7 / ((7/8 / 9/5) - (1/9 * 7/4)))
[100087] ['1/3', '6/7', '9/7', '2', '7/3'] -> (((6/7 + (9/7 * 2)) * 7/3) / 1/3)
[100088] ['1/8', '9/8', '6/5', '5/4', '3'] -> (3 + ((9/8 + (6/5 * 5/4)) / 1/8))
[100089] ['2/9', '1/4', '4/5', '7/3', '8'] -> (((1/4 + 8) - (7/3 / 4/5)) / 2/9)
[100090] ['2/9', '3/4', '6/7', '7/8', '4'] -> ((3/4 / (7/8 - 6/7)) - (4 / 2/9))
[100091] ['1/8', '2/7', '2/5', '9/8', '6'] -> ((9/8 / ((1/8 / 2/7) - 2/5)) - 6)
[100092] ['1/9', '7/8', '7/4', '9/4', '7'] -> ((7 - 7/4) / (9/4 * (1/9 * 7/8)))
[100093] ['1/5', '5/8', '8/9', '9/4', '7'] -> ((7 / (9/4 * (1/5 * 5/8))) - 8/9)
[100094] ['1/3', '6/7', '4/3', '4/3', '2'] -> (4/3 / (2 - ((1/3 + 4/3) / 6/7)))
[100095] ['1/5', '4/9', '9/7', '8/5', '9'] -> ((8/5 * 9) / (4/9 + (1/5 / 9/7)))
[100096] ['2/7', '2/5', '3/4', '9/4', '7'] -> ((9/4 / 2/5) + ((7 * 3/4) / 2/7))
[100097] ['5/8', '5/7', '1', '8/7', '9/5'] -> ((5/7 / ((8/7 / 5/8) - 9/5)) - 1)
[100098] ['2/9', '3/4', '6/7', '9/8', '4'] -> (((3/4 / 9/8) + (4 / 6/7)) / 2/9)
[100099] ['5/8', '4/5', '4/5', '5/4', '3'] -> (3 / (5/8 * (4/5 * 5/4)) - 4/5))
[100100] ['3/7', '8/7', '6/5', '8/3', '3'] -> (8/3 / (3/7 - (8/7 / (6/5 * )))
)[100101] ['1/5', '5/8', '8/9', '7/3', '7'] -> (((7 / (1/5 + 8/9)) * 7/3) / 5/8)
[100102] ['5/9', '5/9', '4/7', '9/4', '9'] -> (9 * ((5/9 / 4/7) - (5/9 - 9/4)))
