[319141] ['4/9', '7/9', '4/3', '7/5', '9'] -> (4/3 + 4/9 / 7/9) * 7/5 * 9
[321276] ['1/8', '2/9', '2/3', '1', '7/6'] -> (7/6 + (2/9 + 1) / 2/3) / 1/8
[321277] ['7/9', '1', '9/8', '7/6', '7/5'] -> 1 / (7/9 * 9/8 - 7/6 / 7/5)
[321278] ['1/5', '4/7', '3/4', '7/6', '3'] -> 7/6 * (4/7 + 3 / (1/5 * 3/4))
[321279] ['3/8', '2/5', '6/7', '9/7', '9'] -> 6/7 / (2/5 - 3/8) - (9/7 + 9)
[321280] ['1/3', '1/2', '5/8', '5/7', '1'] -> 1 / (5/8 / 5/7 - (1/3 + 1/2))
[321282] ['4/7', '5/7', '4/5', '8/5', '7'] -> 7 * (5/7 + (4/7 + 8/5) / 4/5)
[321281] ['1/7', '7/8', '4/3', '2', '9/4'] -> (2 + 9/4 / 7/8) / (1/7 * 4/3)
[321283] ['7/8', '9/7', '4/3', '7/2', '7'] -> 9/7 * 7 * (7/2 / 7/8 - 4/3)
[321284] ['1/8', '3/8', '7/9', '4/5', '8'] -> 8 / (4/5 * (1/8 + 3/8 * 7/9))
[321285] ['4/7', '3/5', '5/7', '2', '7/3'] -> 4/7 / (5/7 / 3/5 - 7/3 / 2)
[321286] ['1/3', '3/7', '3/5', '7/2', '5'] -> 7/2 * 5 * (3/5 / 1/3 - 3/7)
[321287] ['1/8', '2/9', '2/3', '1', '5/4'] -> 2/3 / 2/9 / (5/4 - (1/8 + 1))
[321288] ['1/7', '7/8', '4/3', '2', '5/2'] -> 4/3 * (5/2 / (1/7 * 7/8) - 2)
[321289] ['1/5', '4/7', '3/4', '6/5', '3'] -> (3/4 - 6/5 + 3 / 4/7) / 1/5
[321290] ['7/8', '9/7', '4/3', '9/2', '7'] -> 7 * (9/2 / 7/8 - 9/7 * 4/3)
[321291] ['4/7', '5/7', '4/5', '5/3', '7'] -> (5/7 + 5/3 * (4/5 + 7)) / 4/7
[321292] ['1/6', '1/5', '2/5', '9/4', '8'] -> (2/5 + 8 * 1/5 * 9/4) / 1/6
[321293] ['1/8', '3/8', '7/9', '8/7', '8'] -> 7/9 * (8 / (3/8 - 1/8) - 8/7)
[321294] ['1/3', '3/7', '3/5', '9/2', '5'] -> 9/2 * 5 * (3/5 / 3/7 - 1/3)
[321295] ['4/9', '6/7', '4/3', '3/2', '9'] -> (9 / 6/7 - (4/3 - 3/2)) / 4/9
[321296] ['1/8', '2/9', '2/3', '1', '7/5'] -> (2/3 + 1) * 7/5 / (2/9 - 1/8)
[321297] ['1/5', '4/7', '3/4', '9/7', '3'] -> 3 * (9/7 / (1/5 * 3/4) - 4/7)
[321298] ['7/9', '1', '9/8', '7/6', '9/5'] -> 1 / (7/9 / 7/6 - 9/8 / 9/5)
[321299] ['7/8', '9/7', '7/5', '7/5', '7'] -> 7 * 9/7 * 7/5 / (7/5 - 7/8)
[321300] ['1/7', '7/8', '4/3', '2', '7/2'] -> 4/3 * (2 / 1/7 + 7/2 / 7/8)
[321301] ['1/3', '1/2', '5/8', '1', '8/7'] -> 1 / (5/8 - 1/3 / 1/2 / 8/7)
[321302] ['4/9', '1/2', '9/8', '6/5', '5'] -> 5 / (4/9 * 1/2) / (9/8 / 6/5)
[321303] ['1/3', '1/2', '5/8', '1', '7/6'] -> 1 / (5/8 / (1/2 + 7/6) - 1/3)
[321304] ['1/8', '3/8', '7/9', '7/5', '8'] -> 8 / (1/8 + 3/8 * 7/9 / 7/5)
[321305] ['7/9', '1', '9/8', '7/6', '7/3'] -> (7/3 + 7/9 / 7/6) / (9/8 - 1)
[321306] ['4/7', '3/5', '5/7', '2', '9/2'] -> 4/7 / ((5/7 + 2) / 3/5 - 9/2)
[321307] ['1/8', '2/9', '5/7', '5/7', '1'] -> 5/7 / (1/8 * 2/9) - (5/7 + 1)
[321308] ['7/8', '9/7', '7/5', '5/3', '7'] -> 7/5 * 5/3 * 7 / (7/8 / 9/7)
[321309] ['1/7', '7/8', '7/5', '5/3', '2'] -> (2 / 1/7 - 7/5) / (7/8 / 5/3)
[321310] ['7/9', '1', '9/8', '7/6', '5/2'] -> 5/2 / (9/8 * (1 - 7/9 * 7/6))
[321311] ['1/3', '1/2', '5/8', '1', '7/5'] -> 1 / (5/8 * 7/5 - (1/3 + 1/2))
[321312] ['1/6', '1/5', '3/7', '1/2', '8'] -> 8 / (1/2 / 3/7 - 1/6 / 1/5)
[321313] ['4/7', '5/7', '4/5', '5/2', '7'] -> (7 - (5/7 + 4/5)) / (4/7 / 5/2)
[321314] ['7/8', '9/7', '7/5', '7/4', '7'] -> 9/7 * 7 / (7/4 / 7/5 - 7/8)
[321315] ['1/3', '3/7', '5/8', '7/9', '5'] -> 5 / (3/7 * (7/9 + 1/3 - 5/8))
[321316] ['4/9', '6/7', '4/3', '7/3', '9'] -> 6/7 * 7/3 * (9 + 4/3 / 4/9)
[321317] ['1/5', '4/7', '3/4', '5/3', '3'] -> (3 / 4/7 - 3/4 / 5/3) / 1/5
[321318] ['4/7', '3/5', '3/4', '7/9', '2'] -> 2 / (3/5 * 7/9) / (3/4 - 4/7)
[321319] ['1/8', '2/9', '5/7', '7/9', '1'] -> 1 / 1/8 / (5/7 * 7/9 - 2/9)
[321320] ['7/9', '1', '9/8', '6/5', '6/5'] -> 6/5 / (6/5 * 7/9 * 9/8 - 1)
[321321] ['4/9', '1/2', '9/8', '5/3', '5'] -> (5/3 + 5) / (4/9 * (9/8 - 1/2))
[321322] ['1/6', '1/5', '3/7', '4/7', '8'] -> (4/7 + 8) / (3/7 * 1/6 / 1/5)
[321323] ['1/3', '3/7', '5/8', '4/5', '5'] -> (1/3 + 5 / 3/7) / (5/8 * 4/5)
[321324] ['1/8', '3/8', '7/9', '9/5', '8'] -> 8 / (7/9 - (3/8 + 1/8 / 9/5))
[321325] ['4/9', '6/7', '4/3', '9/2', '9'] -> 9/2 / (4/9 / 4/3) + 9 / 6/7
[321326] ['7/9', '1', '9/8', '6/5', '5/4'] -> 1 / (5/4 * 7/9 * 6/5 - 9/8)
[321327] ['1/5', '4/7', '3/4', '9/5', '3'] -> 3 + 9/5 / (3/4 * 1/5 * 4/7)
[321328] ['1/6', '1/5', '3/7', '3/5', '8'] -> 1/5 / (3/5 / (3/7 * 8) - 1/6)
[321329] ['4/7', '5/7', '5/6', '5/6', '7'] -> 7 / (5/6 / 4/7 - 5/6 / 5/7)
[321330] ['4/7', '3/5', '3/4', '7/8', '2'] -> 2 / (7/8 * 4/7 / 3/5 - 3/4)
[321331] ['1/8', '2/9', '5/7', '6/7', '1'] -> 6/7 / 2/9 / (1 - (1/8 + 5/7))
[321332] ['1/8', '3/8', '7/9', '5/2', '8'] -> 8 * ((1/8 + 5/2) / 7/9 - 3/8)
[321333] ['1/3', '1/2', '2/3', '6/7', '1'] -> 2/3 / (1 - (1/3 + 1/2) / 6/7)
[321334] ['4/9', '1/2', '9/8', '9/4', '5'] -> (9/4 + 5 / 4/9) / (1/2 * 9/8)
[321335] ['1/7', '7/8', '7/5', '2', '8/3'] -> 2 / (1/7 * (7/5 - 7/8)) - 8/3
[321336] ['4/7', '3/5', '3/4', '8/9', '2'] -> 3/4 / (3/5 - 4/7) - 2 / 8/9
[321337] ['7/9', '1', '9/8', '6/5', '3/2'] -> 3/2 / 9/8 / (1 / 6/5 - 7/9)
[321338] ['1/5', '4/7', '3/4', '5/2', '3'] -> 3 / (5/2 * 1/5 / 4/7 - 3/4)
[321339] ['4/9', '6/7', '7/5', '8/5', '9'] -> 6/7 + 8/5 * 9 / (4/9 * 7/5)
[321340] ['4/7', '3/5', '3/4', '9/8', '2'] -> 3/4 / (3/5 - 4/7) - 9/8 * 2
[321341] ['1/3', '1/2', '2/3', '1', '6/5'] -> (1/3 + 1) / (2/3 / 6/5 - 1/2)
[321342] ['3/8', '2/5', '6/7', '9/2', '9'] -> 3/8 + (9 + 9/2 / 2/5) / 6/7
[321343] ['1/6', '1/5', '3/7', '5/7', '8'] -> (8 - (3/7 + 5/7 / 1/5)) / 1/6
[321344] ['4/9', '1/2', '8/7', '7/6', '5'] -> 5 / (8/7 * 7/6 - 1/2 / 4/9)
[321345] ['7/9', '1', '9/8', '6/5', '7/4'] -> 1 / (6/5 * (7/4 - 7/9) - 9/8)
[321346] ['1/3', '3/7', '5/8', '5/4', '5'] -> (1/3 + 5 / 3/7) / (5/8 / 5/4)
[321347] ['4/9', '1/2', '8/7', '6/5', '5'] -> 5 / (8/7 - (4/9 + 1/2)) - 6/5
[321348] ['4/7', '3/5', '3/4', '6/5', '2'] -> 6/5 / (4/7 * (2 - 3/5) - 3/4)
[321349] ['4/9', '6/7', '7/5', '9/4', '9'] -> 7/5 * (9 / 4/9 - (6/7 + 9/4))
[321350] ['1/3', '3/7', '5/8', '7/5', '5'] -> (5 - 5/8) / (1/3 / (3/7 + 7/5))
[321351] ['7/8', '9/7', '3/2', '7/4', '7'] -> 7 / (7/8 - 7/4 + 3/2 / 9/7)
[321352] ['7/9', '1', '9/8', '6/5', '7/3'] -> 1 / (7/3 / 6/5 - (7/9 + 9/8))
[321353] ['4/9', '1/2', '8/7', '4/3', '5'] -> 5 / (1/2 - 4/9 / 8/7 / 4/3)
[321354] ['1/8', '3/8', '4/5', '9/7', '8'] -> 8 / (4/5 * (1/8 + 3/8 / 9/7))
[321355] ['4/7', '5/7', '5/6', '8/5', '7'] -> 7 / (5/6 * (8/5 - 5/7 / 4/7))
[321356] ['7/8', '9/7', '3/2', '9/5', '7'] -> 7 / (7/8 * 9/7 - 3/2 / 9/5)
[321357] ['3/8', '2/5', '7/8', '7/6', '9'] -> (9 + 7/8 / 7/6) / 2/5 - 3/8
[321358] ['7/9', '1', '9/8', '6/5', '5/2'] -> 6/5 * 5/2 / (1 - 7/9 * 9/8)
[321359] ['1/7', '7/8', '3/2', '2', '9/2'] -> (3/2 + 9/2) / (2 * 1/7 * 7/8)
[321360] ['1/8', '2/9', '5/7', '1', '9/7'] -> 1 / 1/8 / (5/7 / 9/7 - 2/9)
[321361] ['4/9', '1/2', '8/7', '3/2', '5'] -> 8/7 * (5 / (4/9 * 1/2) - 3/2)
[321362] ['1/7', '7/8', '8/5', '5/3', '2'] -> 5/3 * (2 / (1/7 * 7/8) - 8/5)
[321363] ['7/9', '1', '9/8', '6/5', '8/3'] -> (7/9 + 8/3 / 6/5) / (9/8 - 1)
[321364] ['1/3', '1/2', '5/7', '5/7', '1'] -> (5/7 + 1) / (1/3 * (5/7 - 1/2))
[321365] ['1/5', '4/7', '7/9', '8/9', '3'] -> (3 / 1/5 - 7/9) / 4/7 - 8/9
[321366] ['1/3', '3/7', '5/8', '5/3', '5'] -> 5 / (3/7 * 5/3) / (5/8 - 1/3)
[321367] ['4/7', '5/7', '5/6', '9/5', '7'] -> 5/7 / (5/6 - 4/7) * (9/5 + 7)
[321368] ['1/8', '2/9', '5/7', '1', '4/3'] -> 5/7 / (1/8 - 2/9 / (1 + 4/3))
[321369] ['1/7', '7/8', '8/5', '7/4', '2'] -> (7/4 + 2 / 8/5) / (1/7 * 7/8)
[321370] ['4/7', '5/7', '5/6', '7/3', '7'] -> 7 / (7/3 - 5/6 / (4/7 * 5/7))
[321371] ['1/6', '1/5', '3/7', '7/6', '8'] -> 8 / (1/6 / 1/5 - 3/7 * 7/6)
[321372] ['4/9', '6/7', '3/2', '8/5', '9'] -> 6/7 * 8/5 * 9 * (4/9 + 3/2)
[321373] ['3/8', '2/5', '7/8', '8/3', '9'] -> 8/3 / (2/5 * (3/8 - 7/8 / 9))
[321374] ['1/6', '1/5', '3/7', '6/5', '8'] -> 3/7 * 8 * (6/5 / 1/6 - 1/5)
[321375] ['4/9', '6/7', '3/2', '7/4', '9'] -> (6/7 + 4/9 * 3/2) * 7/4 * 9
[321376] ['7/8', '9/7', '8/5', '9/5', '7'] -> (8/5 + 9/5 / 9/7) / (7/8 / 7)
[321377] ['1/3', '1/2', '5/7', '1', '9/8'] -> 1 / ((1/3 + 1/2) / 5/7 - 9/8)
[321378] ['1/7', '7/8', '8/5', '2', '7/3'] -> 2 / 1/7 / (7/3 / 8/5 - 7/8)
[321379] ['4/7', '5/7', '6/7', '7/8', '7'] -> 5/7 * 7 / (7/8 - 4/7 / 6/7)
[321380] ['4/7', '3/5', '3/4', '2', '9/4'] -> 2 * (9/4 / (3/4 - 4/7) - 3/5)
[321381] ['1/6', '1/5', '3/7', '5/4', '8'] -> 8 / (1/5 / 3/7 - 1/6 / 5/4)
[321382] ['1/3', '1/2', '5/7', '1', '7/6'] -> 7/6 / (1/3 + 5/7 - 1) - 1/2
[321383] ['4/7', '3/5', '3/4', '2', '7/3'] -> 2 / (4/7 * 7/3 - 3/4 / 3/5)
[321384] ['7/9', '1', '9/8', '5/4', '3/2'] -> 1 / (7/9 * 9/8 - 5/4 / 3/2)
[321385] ['4/7', '5/7', '6/7', '8/9', '7'] -> 8/9 * (5/7 + 7) / (6/7 - 4/7)
[321386] ['1/8', '3/8', '5/6', '9/8', '8'] -> (8 + (3/8 + 9/8) / 1/8) / 5/6
[321387] ['1/6', '1/5', '3/7', '4/3', '8'] -> (4/3 + 8 / 3/7) / (1/6 / 1/5)
[321388] ['1/5', '4/7', '7/9', '4/3', '3'] -> 3 * (4/3 / (1/5 * 7/9) - 4/7)
[321389] ['1/3', '1/2', '5/7', '1', '5/4'] -> 1 / 5/4 / (1/2 - 1/3 / 5/7)
[321390] ['7/9', '1', '9/8', '5/4', '8/5'] -> 8/5 / (7/9 - 1 / 9/8 / 5/4)
[321391] ['4/7', '5/7', '6/7', '9/8', '7'] -> (5/7 + 7) / (9/8 * (6/7 - 4/7))
[321392] ['7/8', '9/7', '8/5', '5/2', '7'] -> 7/8 + 7 * (5/2 + 9/7 / 8/5)
[321393] ['1/8', '2/9', '5/7', '1', '5/2'] -> 5/2 / (2/9 - 1/8) - (5/7 + 1)
[321394] ['1/8', '3/8', '5/6', '7/5', '8'] -> 8 / 5/6 / (3/8 * 7/5 - 1/8)
[321395] ['7/9', '1', '9/8', '5/4', '7/4'] -> (5/4 + 7/4) / (1 - 7/9 * 9/8)
[321396] ['4/9', '6/7', '8/5', '9/5', '9'] -> 9 * (4/9 * 9/5 + 8/5 / 6/7)
[321397] ['4/7', '5/7', '6/7', '5/4', '7'] -> 6/7 / (4/7 - 5/7 + 5/4 / 7)
[321398] ['4/9', '1/2', '7/6', '6/5', '5'] -> (7/6 + 5 / 6/5) / (4/9 * 1/2)
[321399] ['1/6', '1/5', '3/7', '5/3', '8'] -> 8 * (1/5 + 5/3 / (1/6 + 3/7))
[321400] ['7/9', '1', '9/8', '5/4', '9/5'] -> 9/5 / (7/9 * 9/8 - 1 / 5/4)
[321401] ['1/8', '3/8', '5/6', '9/2', '8'] -> 8 + (5/6 + 9/2) / (1/8 / 3/8)
[321402] ['4/7', '5/7', '6/7', '9/7', '7'] -> 7 * (4/7 + 5/7 + 6/7 + 9/7)
[321403] ['1/5', '4/7', '7/9', '8/5', '3'] -> 8/5 / (1/5 / 7/9 - 4/7 / 3)
[321404] ['3/8', '2/5', '8/9', '4/3', '9'] -> (9 + 4/3 / 2/5) / (8/9 - 3/8)
[321405] ['1/3', '1/2', '5/7', '1', '8/5'] -> 8/5 / (1 - 1/3 / 1/2 / 5/7)
[321406] ['1/7', '7/8', '5/3', '9/5', '2'] -> (9/5 + 2 / 5/3) / (1/7 * 7/8)
[321407] ['1/3', '3/7', '2/3', '6/5', '5'] -> 5 * (2/3 / 1/3 + 6/5 / 3/7)
[321408] ['1/8', '3/8', '6/7', '8/9', '8'] -> 8 / (6/7 * (8/9 - (1/8 + 3/8)))
[321409] ['4/9', '1/2', '7/6', '9/7', '5'] -> 7/6 * 9/7 + 5 / (4/9 * 1/2)
[321410] ['1/8', '2/9', '3/4', '4/5', '1'] -> (1 / 2/9 - 3/4) / (1/8 / 4/5)
[321411] ['1/5', '4/7', '7/9', '5/3', '3'] -> (3 + 5/3 / (1/5 * 7/9)) / 4/7
[321412] ['7/9', '1', '9/8', '5/4', '8/3'] -> (1 + 8/3) / (9/8 - 7/9 * 5/4)
[321413] ['1/8', '2/9', '3/4', '6/7', '1'] -> 6/7 * (1 + 3/4 / (1/8 * 2/9))
[321414] ['1/7', '7/8', '5/3', '2', '5/2'] -> 5/2 / (1/7 * 7/8) / (5/3 / 2)
[321415] ['4/7', '3/5', '7/9', '6/7', '2'] -> 2 * 4/7 / 3/5 / (6/7 - 7/9)
[321416] ['1/5', '4/7', '7/9', '7/4', '3'] -> 3 / (1/5 * 4/7) - 7/4 / 7/9
[321417] ['4/9', '1/2', '7/6', '8/5', '5'] -> (5 + 1/2 + 7/6) / (4/9 / 8/5)
[321418] ['4/7', '5/7', '6/7', '3/2', '7'] -> 6/7 * 7 / (3/2 - 5/7 / 4/7)
[321419] ['1/8', '3/8', '6/7', '6/5', '8'] -> 8 / (3/8 / 6/7 - 1/8 / 6/5)
[321420] ['1/3', '3/7', '2/3', '7/5', '5'] -> (5 / (3/7 / 7/5) - 1/3) / 2/3
[321421] ['1/3', '1/2', '5/7', '1', '5/2'] -> (1 + 5/2 / (1/2 * 5/7)) / 1/3
[321422] ['7/8', '9/7', '5/3', '9/2', '7'] -> 5/3 / (7 / 9/7 - (7/8 + 9/2))
[321423] ['4/9', '1/2', '7/6', '9/5', '5'] -> (1/2 + 7/6 + 9/5 * 5) / 4/9
[321424] ['3/8', '2/5', '8/9', '7/4', '9'] -> (7/4 + 8/9 * 9) / 2/5 - 3/8
[321425] ['1/6', '1/5', '3/7', '7/3', '8'] -> (8 / (7/3 - 3/7) - 1/5) / 1/6
[321426] ['4/7', '5/7', '6/7', '5/3', '7'] -> (6/7 + 5/3 * (5/7 + 7)) / 4/7
[321427] ['7/8', '9/7', '7/4', '7/4', '7'] -> 7 / ((7/8 + 7/4) / 9/7 - 7/4)
[321428] ['1/8', '2/9', '3/4', '1', '6/5'] -> (1 / (2/9 * 6/5) - 3/4) / 1/8
[321429] ['4/9', '1/2', '7/6', '7/2', '5'] -> (5 + 7/6 / 7/2) / (4/9 * 1/2)
[321430] ['7/8', '9/7', '7/4', '9/5', '7'] -> 7 / (7/4 / 9/5 - 7/8 / 9/7)
[321431] ['1/3', '3/7', '2/3', '9/5', '5'] -> 5 * (2/3 + 9/5 / 3/7) - 1/3
[321432] ['4/9', '6/7', '8/5', '9/2', '9'] -> 8/5 * (9 / 4/9 - 9/2 / 6/7)
[321433] ['3/8', '2/5', '8/9', '9/4', '9'] -> (3/8 + 9 / 8/9) / 2/5 - 9/4
[321434] ['1/6', '1/5', '3/7', '7/2', '8'] -> 8 / (1/5 * (1/6 + 3/7 * 7/2))
[321435] ['4/9', '1/2', '6/5', '6/5', '5'] -> (6/5 + 5 / 1/2) / 4/9 - 6/5
[321436] ['1/5', '4/7', '7/9', '8/3', '3'] -> 8/3 / 7/9 / (3 - 4/7 / 1/5)
[321437] ['1/3', '3/7', '2/3', '7/2', '5'] -> 3/7 * 7/2 + 5 / (1/3 * 2/3)
[321438] ['3/8', '2/5', '8/9', '9/2', '9'] -> 9/2 * 3/8 * 8/9 + 9 / 2/5
[321439] ['1/6', '1/5', '3/7', '9/2', '8'] -> 9/2 + 1/6 / 1/5 + 8 / 3/7
[321440] ['4/7', '5/7', '6/7', '8/3', '7'] -> 8/3 * (7 + (4/7 + 6/7) / 5/7)
[321441] ['1/7', '7/8', '9/5', '2', '9/4'] -> (2 + 9/4 / (7/8 * 9/5)) / 1/7
[321442] ['1/8', '3/8', '6/7', '9/2', '8'] -> (9/2 + 8) / (3/8 + 1/8 / 6/7)
[321443] ['4/9', '1/2', '6/5', '9/7', '5'] -> 5 / (1/2 * 9/7 - 4/9) - 6/5
[321444] ['1/3', '3/7', '5/7', '5/7', '5'] -> (3/7 + 5/7) * 5 / (1/3 * 5/7)
[321445] ['3/8', '2/5', '9/8', '8/7', '9'] -> 8/7 * (9 / 2/5 - (3/8 + 9/8))
[321446] ['4/7', '5/7', '6/7', '7/2', '7'] -> 7/2 * 7 - 5/7 / (4/7 + 6/7)
[321447] ['7/8', '9/7', '9/5', '9/4', '7'] -> 9/7 * 7 / (9/4 / 9/5 - 7/8)
[321448] ['4/9', '1/2', '6/5', '7/5', '5'] -> (7/5 + 5) / (6/5 * 4/9 * 1/2)
[321449] ['1/7', '7/8', '9/5', '2', '7/3'] -> (2 / 1/7 - 7/3) / (7/8 / 9/5)
[321450] ['1/3', '1/2', '3/4', '1', '7/5'] -> 1/2 / (1/3 - 3/4 / (1 + 7/5))
[321451] ['1/3', '3/7', '5/7', '5/6', '5'] -> (5 + 5/7 / 3/7) / (1/3 * 5/6)
[321452] ['7/8', '9/7', '9/5', '7/3', '7'] -> (7/8 + 7) * (7/3 + 9/7 / 9/5)
[321453] ['4/7', '5/7', '7/8', '8/9', '7'] -> 4/7 * 7 / (7/8 - 5/7) - 8/9
[321454] ['1/5', '4/7', '4/5', '5/6', '3'] -> 4/5 / (5/6 / (4/7 + 3) - 1/5)
[321455] ['1/6', '1/5', '4/9', '5/8', '8'] -> 8 * 1/6 / 1/5 / (4/9 * 5/8)
[321456] ['4/9', '6/7', '5/3', '7/2', '9'] -> 6/7 * 7/2 * (9 - 4/9) - 5/3
[321457] ['1/3', '1/2', '3/4', '1', '8/5'] -> 1 / (3/4 - (1/2 + 1/3 / 8/5))
[321458] ['7/8', '9/7', '9/5', '5/2', '7'] -> (7 + 9/5 / 9/7) / (7/8 / 5/2)
[321459] ['1/8', '3/8', '7/8', '7/5', '8'] -> (3/8 + 7/8) * (8 + 7/5 / 1/8)
[321460] ['1/7', '7/8', '9/5', '2', '8/3'] -> 9/5 * (2 / (1/7 * 7/8) - 8/3)
[321461] ['1/3', '3/7', '5/7', '7/6', '5'] -> 7/6 * (5 / (1/3 * 5/7) - 3/7)
[321462] ['4/7', '3/5', '7/9', '3/2', '2'] -> 2 / (3/5 * (3/2 - 7/9 / 4/7))
[321463] ['1/6', '1/5', '4/9', '5/7', '8'] -> 8 / (4/9 * 5/7) - 1/5 / 1/6
[321464] ['1/3', '1/2', '3/4', '1', '7/2'] -> (7/2 / 1/2 - 1) / (1/3 * 3/4)
[321465] ['4/7', '5/7', '7/8', '9/7', '7'] -> 9/7 * 7 / (5/7 / 4/7 - 7/8)
[321466] ['1/8', '2/9', '7/9', '7/8', '1'] -> (7/9 / (2/9 * 7/8) - 1) / 1/8
[321467] ['7/9', '1', '9/8', '4/3', '4/3'] -> (4/3 + 4/3) / (1 / 9/8 - 7/9)
[321468] ['1/6', '1/5', '4/9', '6/7', '8'] -> 8 / 6/7 / (1/6 / 1/5 - 4/9)
[321469] ['1/3', '1/2', '7/9', '4/5', '1'] -> 1/3 / 1/2 / (1 - 7/9 / 4/5)
[321470] ['1/7', '7/8', '2', '9/4', '5/2'] -> ((9/4 + 5/2) / 7/8 - 2) / 1/7
[321471] ['1/3', '3/7', '5/7', '7/4', '5'] -> (5/7 + 5) / (3/7 - 1/3 / 7/4)
[321472] ['7/8', '9/7', '9/4', '5/2', '7'] -> 7 * (9/7 / 9/4 + 5/2 / 7/8)
[321473] ['1/5', '4/7', '4/5', '5/4', '3'] -> (4/5 - 5/4 + 3 / 4/7) / 1/5
[321474] ['4/7', '5/7', '7/8', '7/4', '7'] -> (7/4 + 5/7 / 4/7) / (7/8 / 7)
[321475] ['1/3', '3/7', '5/7', '9/4', '5'] -> 5 / (3/7 - 1/3 * 5/7) - 9/4
[321476] ['7/9', '1', '9/8', '4/3', '8/5'] -> 1 / (7/9 * 9/8 - 4/3 / 8/5)
[321477] ['4/9', '6/7', '7/4', '9/2', '9'] -> 4/9 * 9 * (9/2 + 6/7 * 7/4)
[321478] ['7/8', '9/7', '9/4', '9/2', '7'] -> 9/7 * 7 / (7/8 - 9/4 / 9/2)
[321479] ['1/5', '4/7', '4/5', '7/5', '3'] -> (4/5 + 4/7 * 7/5) / (1/5 / 3)
[321480] ['1/3', '3/7', '5/7', '5/2', '5'] -> (5/7 + 5) / (5/2 * (3/7 - 1/3))
[321481] ['1/6', '1/5', '4/9', '5/4', '8'] -> 5/4 * (1/5 / 1/6 + 8 / 4/9)
[321482] ['1/8', '2/9', '7/9', '1', '8/5'] -> 1 / (2/9 / 8/5 - 1/8 * 7/9)
[321483] ['1/3', '3/7', '5/7', '7/2', '5'] -> 7/2 * (5 / 5/7 - 1/3 * 3/7)
[321484] ['7/8', '9/7', '7/3', '5/2', '7'] -> 7 / ((7/8 + 5/2) / 9/7 - 7/3)
[321485] ['1/5', '4/7', '4/5', '8/5', '3'] -> 3 + (4/5 + 8/5) / (1/5 * 4/7)
[321486] ['1/6', '1/5', '4/9', '9/7', '8'] -> (8 / 9/7 - 4/9 / 1/5) / 1/6
[321487] ['4/9', '1/2', '5/4', '8/5', '5'] -> 5 / (4/9 / 8/5) / (5/4 - 1/2)
[321488] ['1/8', '2/9', '7/9', '1', '7/4'] -> (1 + 7/9 / (2/9 * 7/4)) / 1/8
[321489] ['7/9', '1', '9/8', '4/3', '5/2'] -> (5/2 / (9/8 - 1) - 4/3) / 7/9
[321490] ['1/3', '3/7', '3/4', '3/4', '5'] -> (5 / (3/7 / 3/4) - 3/4) / 1/3
[321491] ['1/8', '3/8', '8/9', '5/2', '8'] -> 3/8 + (1/8 + 5/2) / (8/9 / 8)
[321492] ['1/3', '1/2', '7/9', '1', '7/5'] -> (1/3 + 1) / (7/9 / 7/5 - 1/2)
[321493] ['1/7', '7/8', '2', '5/2', '9/2'] -> (2 / 1/7 + 5/2 + 9/2) / 7/8
[321494] ['1/6', '1/5', '4/9', '3/2', '8'] -> 8 / (1/5 * 3/2) - 4/9 / 1/6
[321495] ['1/3', '3/7', '3/4', '7/9', '5'] -> (5 / 7/9 - 3/7) / (1/3 * 3/4)
[321496] ['7/9', '1', '9/8', '4/3', '8/3'] -> 8/3 / (7/9 - 1 / 9/8 / 4/3)
[321497] ['4/7', '5/7', '8/9', '8/9', '7'] -> (8/9 + 8/9) / (4/7 / (5/7 + 7))
[321498] ['1/5', '4/7', '4/5', '9/5', '3'] -> 3 / (1/5 * 4/7) - 9/5 / 4/5
[321499] ['7/8', '9/7', '5/2', '7/2', '7'] -> (5/2 + 7/2 * 7) / (7/8 * 9/7)
[321500] ['1/6', '1/5', '4/9', '5/3', '8'] -> 8 * (1/5 * 5/3 + 4/9 / 1/6)
[321501] ['1/8', '3/8', '9/8', '8/7', '8'] -> 3/8 / (1/8 * 8 - 9/8 / 8/7)
[321502] ['1/3', '3/7', '3/4', '4/5', '5'] -> (3/4 / 3/7 + 5 / 4/5) / 1/3
[321503] ['1/7', '7/8', '2', '8/3', '9/2'] -> (8/3 - 2) * 9/2 / (1/7 * 7/8)
[321504] ['1/5', '4/7', '4/5', '9/4', '3'] -> (4/7 + 4/5 / 1/5) * (9/4 + 3)
[321505] ['4/9', '6/7', '9/5', '7/2', '9'] -> (9 + 7/2 * 6/7 / 9/5) / 4/9
[321506] ['7/8', '9/7', '5/2', '9/2', '7'] -> (5/2 * 7 + 9/2 / 9/7) / 7/8
[321507] ['1/3', '1/2', '7/9', '1', '7/2'] -> (7/2 / (1/2 * 7/9) - 1) / 1/3
[321508] ['4/9', '1/2', '5/4', '5/2', '5'] -> 5 / (1/2 - 4/9) / (5/4 + 5/2)
[321509] ['1/7', '8/9', '8/9', '8/9', '2'] -> (8/9 + 8/9) / (1/7 / 2) - 8/9
[321510] ['1/5', '4/7', '4/5', '5/2', '3'] -> (4/7 + 4/5) * (5/2 + 3 / 1/5)
[321511] ['7/9', '1', '9/8', '7/5', '3/2'] -> 1 / 7/9 / (9/8 - 3/2 / 7/5)
