[216690] ['1/6', '1/6', '2/7', '3/8', '7'] -> (2/7 + 1/6 / 1/6) * 7 / 3/8
[219744] ['5/6', '5/4', '5/4', '9/7', '8'] -> 5/6 * 8 / (5/4 - 5/4 / 9/7)
[219745] ['3/8', '6/7', '7/5', '3/2', '6'] -> 7/5 * 6/7 / 3/8 * (3/2 + 6)
[219746] ['2/3', '9/8', '8/5', '5/2', '8'] -> 8/5 * 5/2 * 8 * 2/3 * 9/8
[219747] ['1/8', '1/5', '4/7', '4/7', '9'] -> 9 / (4/7 / 4/7 - 1/8 / 1/5)
[219748] ['1/5', '2/9', '3/8', '7/6', '2'] -> 7/6 / (2/9 * 3/8) + 2 / 1/5
[219749] ['6/7', '8/5', '7/3', '7/2', '9'] -> 6/7 * 8/5 * (7/3 * 9 - 7/2)
[219750] ['1/6', '1/5', '4/9', '8/9', '7'] -> (8/9 * 7 - 4/9 / 1/5) / 1/6
[219751] ['3/7', '5/9', '8/7', '7/5', '7'] -> 8/7 / 7/5 * 7 / (3/7 * 5/9)
[219752] ['2/3', '9/8', '8/5', '7/2', '8'] -> 8 / (7/2 * 2/3 / 8/5 - 9/8)
[219753] ['7/8', '9/7', '9/7', '7/3', '5'] -> (5 / (7/8 * (9/7 + 9/7)) - 7/3))
[219754] ['4/9', '3/4', '4/5', '4/5', '6'] -> 6 / (4/5 / 4/9 - (3/4 + 4/5))
[219755] ['5/6', '5/4', '5/4', '9/2', '8'] -> (9/2 + 8) / (5/4 * (5/4 - 5/6))
[219756] ['1/6', '1/5', '4/9', '9/8', '7'] -> (7 / 9/8 - 4/9 / 1/5) / 1/6
[219757] ['2/3', '9/8', '5/3', '5/3', '8'] -> 9/8 * 8 * (5/3 - (2/3 - 5/3))
[219758] ['6/7', '8/5', '5/2', '5/2', '9'] -> 5/2 * (8/5 - 5/2 + 9 / 6/7)
[219759] ['1', '5/4', '9/5', '9/4', '8/3'] -> (1 + 9/5) / (9/4 - 8/3 / 5/4)
[219760] ['5/6', '5/4', '9/7', '9/7', '8'] -> 8 / (9/7 / 9/7 - 5/6 / 5/4)
[219761] ['3/8', '6/7', '7/5', '7/4', '6'] -> (6/7 + 6 / 7/5) * 7/4 / 3/8
[219762] ['1/4', '3/8', '8/9', '6/5', '3'] -> 3 / (3/8 * 8/9 - 1/4 / 6/5)
[219763] ['7/8', '9/7', '9/7', '7/2', '5'] -> (5 + 9/7 / 9/7) * 7/2 / 7/8
[219764] ['6/7', '8/5', '5/2', '7/2', '9'] -> 8/5 * 5/2 * (9 - 6/7 * 7/2)
[219765] ['3/7', '5/9', '8/7', '7/4', '7'] -> (8/7 + 7/4) * (7 + 5/9 / 3/7)
[219766] ['1/4', '3/8', '8/9', '9/7', '3'] -> 3 / (9/7 * 1/4 * 3/8) - 8/9
[219767] ['5/7', '5/7', '8/9', '9/4', '6'] -> (6 / (9/4 * (5/7 / 5/7)) - 8/9))
[219768] ['3/7', '5/9', '8/7', '9/5', '7'] -> 7 * (8/7 / 5/9 - (3/7 - 9/5))
[219769] ['1/8', '1/5', '4/7', '4/5', '9'] -> 9 / (1/5 + 4/5 * 1/8 / 4/7)
[219770] ['1', '5/4', '9/5', '7/3', '5/2'] -> (1 + 7/3) / (5/2 / 9/5 - 5/4)
[219771] ['1/5', '2/9', '3/8', '7/4', '2'] -> (2 / 1/5 - 7/4 / 3/8) / 2/9
[219772] ['5/7', '5/7', '8/9', '5/2', '6'] -> (5/7 + 5/2) * 6 * 8/9 / 5/7
[219773] ['1/4', '3/8', '8/9', '8/5', '3'] -> (3/8 + 3 / 8/9) * 8/5 / 1/4
[219774] ['5/6', '5/4', '9/7', '5/3', '8'] -> 9/7 * 8 * (5/3 + 5/6 / 5/4)
[219775] ['1', '5/4', '9/5', '7/3', '8/3'] -> 9/5 / (7/3 / 8/3 - 1 / 5/4)
[219776] ['3/7', '5/9', '8/7', '7/3', '7'] -> (7/3 + 7 * (3/7 + 8/7)) / 5/9
[219777] ['2/3', '9/8', '9/5', '9/4', '8'] -> 8 * (9/8 + 9/4 / (2/3 * 9/5))
[219778] ['5/7', '5/7', '8/9', '8/3', '6'] -> 6 * (5/7 / 5/7 + 8/3 / 8/9)
[219779] ['7/8', '9/7', '4/3', '3/2', '5'] -> 5 / (4/3 / 3/2 - 7/8 / 9/7)
[219780] ['1/8', '1/5', '4/7', '6/7', '9'] -> 9 / (4/7 - 1/5 * (1/8 + 6/7))
[219781] ['4/9', '3/4', '4/5', '9/7', '6'] -> 6 / (9/7 * (3/4 - 4/9 / 4/5))
[219782] ['3/8', '6/7', '7/5', '5/2', '6'] -> (6 + 5/2 * 6/7 * 7/5) / 3/8
[219783] ['1/4', '3/8', '8/9', '9/5', '3'] -> (3 + 3/8 * 8/9) * 9/5 / 1/4
[219784] ['6/7', '8/5', '7/2', '7/2', '9'] -> 8/5 * (9 + 6/7 * (7/2 + 7/2))
[219785] ['5/7', '5/7', '8/9', '7/2', '6'] -> 8/9 * 6 * (7/2 + 5/7 / 5/7)
[219786] ['1/5', '2/9', '3/8', '2', '5/2'] -> 2 / (2/9 - 3/8 / (1/5 + 5/2))
[219787] ['1/4', '3/8', '8/9', '5/2', '3'] -> 5/2 / (1/4 * 3/8) - 8/9 * 3
[219788] ['4/9', '3/4', '4/5', '7/5', '6'] -> (4/5 + (7/5 + 6) / 3/4) / 4/9
[219789] ['7/9', '5/4', '5/4', '4/3', '2'] -> 4/3 / (2 - 7/9 * (5/4 + 5/4))
[219790] ['2/3', '9/8', '9/5', '5/2', '8'] -> (8 - 9/5 / 9/8) * 5/2 / 2/3
[219791] ['6/7', '8/5', '7/2', '9/2', '9'] -> 9/2 * 7/2 / 6/7 + 9 / 8/5
[219792] ['1/6', '1/5', '4/9', '9/5', '7'] -> (7 + 1/5 + 9/5) * 4/9 / 1/6
[219793] ['5/7', '5/7', '9/8', '8/7', '6'] -> 6 / (9/8 - 5/7 / (5/7 * /7)
)[219794] ['3/7', '5/9', '7/6', '7/6', '7'] -> (7/6 - (3/7 - 7/6)) * 7 / 5/9
[219795] ['7/8', '9/7', '4/3', '9/4', '5'] -> 5 / (7/8 * 9/7 + 4/3 - 9/4)
[219796] ['1/5', '2/9', '2/5', '2/5', '2'] -> (1/5 + 2/5 + 2 / 2/9) / 2/5
[219797] ['1', '5/4', '9/5', '5/2', '8/3'] -> 8/3 / (5/2 / (5/4 * 9/5) - 1)
[219798] ['1/7', '4/9', '1', '9/7', '9/2'] -> 1 + (9/7 + 4/9 * 9/2) / 1/7
[219799] ['3/7', '5/9', '7/6', '6/5', '7'] -> 7 / (7/6 * 3/7 * 5/9) - 6/5
[219800] ['5/7', '5/7', '9/8', '6/5', '6'] -> 6 / (6/5 * 5/7 * 9/8 - 5/7)
[219801] ['1/5', '2/9', '2/5', '3/7', '2'] -> (2 - 2/5 / 3/7) / (1/5 * 2/9)
[219802] ['7/8', '9/7', '4/3', '7/3', '5'] -> (5 / (7/3 * (9/7 / 4/3)) - 7/8))
[219803] ['1/8', '1/5', '4/7', '8/7', '9'] -> (9 / (1/5 * (8/7 / 4/7)) - 1/8))
[219804] ['6/7', '5/3', '5/3', '9/5', '9'] -> 6/7 * 5/3 * (9/5 + 5/3 * 9)
[219805] ['5/7', '5/7', '9/8', '5/4', '6'] -> 6 / (9/8 - 5/4 / (5/7 + 5/7))
[219806] ['4/9', '3/4', '4/5', '5/2', '6'] -> (6 + 4/5 * 5/2) / (4/9 * 3/4)
[219807] ['7/8', '9/7', '4/3', '5/2', '5'] -> 5 / (5/2 - 7/8 * (9/7 + 4/3))
[219808] ['1', '5/4', '9/5', '5/2', '9/2'] -> 5/4 + 5/2 * (1 + 9/5 * 9/2)
[219809] ['3/8', '6/7', '3/2', '5/2', '6'] -> 6 * (5/2 * 3/2 / 6/7 - 3/8)
[219810] ['1/8', '1/5', '4/7', '7/6', '9'] -> 9 * (1/8 / 1/5 + 7/6 / 4/7)
[219811] ['1/4', '3/8', '8/7', '7/6', '3'] -> (3 / ((1/4 * 3/8) * 8/7) * 7/6))
[219812] ['5/7', '5/7', '9/8', '9/7', '6'] -> (9/7 + 6) / (5/7 + 5/7 - 9/8)
[219813] ['1/6', '1/5', '4/9', '7/2', '7'] -> (1/6 - 7 + 7/2 / 1/5) / 4/9
[219814] ['5/6', '5/4', '7/5', '7/5', '8'] -> 8 / (7/5 / 7/5 - 5/6 / 5/4)
[219815] ['2/3', '9/8', '5/2', '5/2', '8'] -> 2/3 + (5/2 + 8) * 5/2 / 9/8
[219816] ['4/9', '3/4', '4/5', '8/3', '6'] -> 6 * (8/3 / (3/4 * 4/5) - 4/9)
[219817] ['7/8', '9/7', '4/3', '8/3', '5'] -> 5 / (8/3 - (4/3 + 7/8 * 9/7))
[219818] ['6/7', '5/3', '5/3', '5/2', '9'] -> (5/2 + 5/3 / 6/7) * 9 / 5/3
[219819] ['1/8', '1/5', '4/7', '6/5', '9'] -> 9 / (4/7 * 1/8 / 1/5) - 6/5
[219820] ['1/6', '1/5', '4/9', '9/2', '7'] -> (9/2 + 7 - 1/6 / 1/5) / 4/9
[219821] ['3/7', '5/9', '7/6', '7/5', '7'] -> (7 / (3/7 * 5/9) - 7/5) / 7/6
[219822] ['1/5', '2/9', '2/5', '5/8', '2'] -> (2 / ((1/5 + 2/5) * 2/9) * 5/8))
[219823] ['1', '5/4', '9/5', '8/3', '9/2'] -> (1 / (5/4 * 9/2) - (9/5 + 8/3)))
[219824] ['5/7', '5/7', '9/8', '3/2', '6'] -> 6 / (5/7 / 5/7 - 9/8 / 3/2)
[219825] ['6/7', '5/3', '5/3', '7/2', '9'] -> 6/7 * 7/2 * (9 - 5/3 / 5/3)
[219826] ['1/8', '1/5', '4/7', '5/4', '9'] -> 9 / (1/5 + 1/8 / (4/7 * /4)
)[219827] ['1/6', '1/5', '1/2', '5/9', '7'] -> 7 / (1/2 * 5/9) - 1/5 / 1/6
[219828] ['3/7', '5/9', '7/6', '3/2', '7'] -> (7 - 3/2 / 7/6) / (3/7 * 5/9)
[219829] ['3/8', '6/7', '8/5', '5/3', '6'] -> (6 / 6/7 - 8/5) * 5/3 / 3/8
[219830] ['6/7', '5/3', '5/3', '9/2', '9'] -> 6/7 * 9/2 * (9 - 5/3 * 5/3)
[219831] ['2/3', '9/8', '7/2', '7/2', '8'] -> (9/8 * 8 + 7/2 + 7/2) / 2/3
[219832] ['7/8', '9/7', '7/5', '3/2', '5'] -> 7/5 * 5 / (3/2 / 9/7 - 7/8)
[219833] ['7/9', '5/4', '5/4', '2', '8/3'] -> 2 * 8/3 / (5/4 / 5/4 - 7/9)
[219834] ['1', '5/4', '9/5', '7/2', '9/2'] -> (7/2 + 9/2 / 9/5) / (5/4 - 1)
[219835] ['4/9', '3/4', '5/6', '6/7', '6'] -> (6 / ((3/4 * 6/7) * 5/6) - 4/9))
[219836] ['1/4', '3/8', '8/7', '3/2', '3'] -> (3 / (1/4 * 8/7) - 3/2) / 3/8
[219837] ['1/5', '2/9', '2/5', '6/7', '2'] -> (2 / 6/7 - 1/5) / (2/9 * 2/5)
[219838] ['1', '5/4', '9/5', '9/2', '9/2'] -> 5/4 + 9/2 * (9/2 + 1 / 9/5)
[219839] ['1/8', '1/5', '4/7', '7/5', '9'] -> 9 / (1/8 + 1/5 / (4/7 * /5)
)[219840] ['1/4', '3/8', '8/7', '8/5', '3'] -> (3 / (8/5 * (3/8 / 8/7)) - 1/4))
[219841] ['1/7', '4/9', '1', '4/3', '5/2'] -> 4/3 / (1/7 * (1 + 5/2) - 4/9)
[219842] ['5/6', '5/4', '3/2', '9/5', '8'] -> (5/6 + 5/4 / 3/2) * 9/5 * 8
[219843] ['1/8', '1/5', '4/7', '3/2', '9'] -> 9 / 1/5 - 3/2 / (1/8 * 4/7)
[219844] ['1', '5/4', '9/4', '9/4', '8/3'] -> 8/3 / (5/4 / 9/4 - 1 / 9/4)
[219845] ['3/7', '5/9', '7/6', '9/4', '7'] -> (7 / (9/4 * (5/9 / 3/7)) - 7/6))
[219846] ['2/3', '8/7', '8/7', '7/4', '8'] -> 8/7 / (7/4 - 8/7 / 2/3) - 8
[219847] ['1/6', '1/5', '1/2', '8/9', '7'] -> (7 - 1/2 / 1/5) * 8/9 / 1/6
[219848] ['6/7', '5/3', '9/5', '9/4', '9'] -> 9 / (5/3 * 9/5 - 9/4 / 6/7)
[219849] ['7/9', '5/4', '9/7', '7/5', '2'] -> 2 / (7/9 - 5/4 / (9/7 * /5)
)[219850] ['5/7', '5/7', '9/8', '5/2', '6'] -> (5/7 + 5/2) * 6 / (5/7 * 9/8)
[219851] ['1/5', '2/9', '2/5', '7/6', '2'] -> (7/6 * 2 - 1/5) / (2/9 * 2/5)
[219852] ['1/8', '1/5', '4/7', '8/5', '9'] -> 9 / (1/8 * (1/5 + 8/5 / 4/7))
[219853] ['1/7', '4/9', '1', '4/3', '9/2'] -> 4/3 / (1/7 * (9/2 - 1) - 4/9)
[219854] ['5/7', '5/7', '9/8', '8/3', '6'] -> 6 * (5/7 / 5/7 + 9/8 * 8/3)
[219855] ['6/7', '5/3', '9/5', '5/2', '9'] -> 5/3 * 9/5 * (9 / 6/7 - 5/2)
[219856] ['7/8', '9/7', '7/5', '7/3', '5'] -> 7/5 * 7/3 * 5 * 9/7 / 7/8
[219857] ['1/5', '7/9', '1', '4/3', '3/2'] -> (4/3 / (1/5 * (7/9 + 1)) - 3/2))
[219858] ['1/8', '1/5', '4/7', '5/3', '9'] -> (9 / (5/3 * (1/5 / 4/7)) - 1/8))
[219859] ['5/7', '5/7', '9/8', '7/2', '6'] -> (7/2 + 5/7 / 5/7) * 6 / 9/8
[219860] ['1/5', '7/9', '1', '4/3', '8/5'] -> (1 + 4/3) * 8/5 / (1/5 * 7/9)
[219861] ['7/9', '5/4', '9/7', '5/3', '2'] -> 2 / (7/9 - 5/3 + 5/4 / 9/7)
[219862] ['5/6', '5/4', '7/4', '7/4', '8'] -> 8 / (7/4 / 7/4 - 5/6 / 5/4)
[219863] ['1/8', '1/5', '4/7', '7/4', '9'] -> 9 / (4/7 * 7/4 - 1/8 / 1/5)
[219864] ['2/3', '8/7', '8/7', '5/2', '8'] -> (5/2 * (8 - 8/7) - 8/7) / 2/3
[219865] ['5/7', '5/7', '8/7', '8/7', '6'] -> 8/7 * 6 / (5/7 + 5/7 - 8/7)
[219866] ['1', '5/4', '9/4', '7/3', '8/3'] -> 9/4 / (5/4 * 7/3 / 8/3 - 1)
[219867] ['3/8', '6/7', '8/5', '9/2', '6'] -> (9/2 / 6/7 + 6 / 8/5) / 3/8
[219868] ['7/8', '9/7', '7/5', '8/3', '5'] -> 9/7 * 5 * (7/5 + 7/8 * 8/3)
[219869] ['1/5', '7/9', '1', '4/3', '5/3'] -> (1 + 5/3) / (1/5 * (4/3 - 7/9))
[219870] ['2/3', '8/7', '7/6', '7/6', '8'] -> (8 - 8/7) * (7/6 + 7/6) / 2/3
[219871] ['6/7', '5/3', '9/4', '7/3', '9'] -> 7/3 * (5/3 + 9 - 6/7 / 9/4)
[219872] ['1/5', '2/9', '2/5', '2', '9/4'] -> (2/5 + 2) / (9/4 * 1/5 * 2/9)
[219873] ['5/6', '5/4', '7/3', '7/3', '8'] -> 8 / (7/3 / 7/3 - 5/6 / 5/4)
[219874] ['3/8', '6/7', '5/3', '7/4', '6'] -> (6 / (6/7 * (3/8 + 5/3)) - 7/4))
[219875] ['4/9', '3/4', '6/7', '7/8', '6'] -> (6 / ((4/9 * 3/4) * 6/7) * 7/8))
[219876] ['1/5', '2/9', '2/5', '2', '5/2'] -> 5/2 * (1/5 + 2/5 + 2 / 2/9)
[219877] ['1/6', '1/5', '1/2', '7/2', '7'] -> 7 / 1/6 - (1/2 + 7/2 / 1/5)
[219878] ['2/3', '8/7', '7/6', '5/4', '8'] -> 8 * (2/3 / 8/7 + 7/6 + 5/4)
[219879] ['5/7', '5/7', '8/7', '5/4', '6'] -> (6 / (5/7 * (8/7 / 5/7)) - 5/4))
[219880] ['3/7', '5/9', '6/5', '4/3', '7'] -> 6/5 * (5/9 + (4/3 + 7) / 3/7)
[219881] ['7/8', '9/7', '7/5', '9/2', '5'] -> 9/7 / (9/2 - 7/8 - 5 / 7/5)
[219882] ['1', '5/4', '9/4', '7/2', '7/2'] -> 5/4 + (1 + 9/4) * (7/2 + 7/2)
[219883] ['7/9', '5/4', '9/7', '2', '5/2'] -> 2 / (7/9 + 5/4 - 5/2 / 9/7)
[219884] ['4/9', '3/4', '6/7', '8/9', '6'] -> 4/9 * 6 / (6/7 - 3/4) - 8/9
[219885] ['5/7', '5/7', '8/7', '9/7', '6'] -> 8/7 * 6 / (9/7 - 5/7 / 5/7)
[219886] ['5/6', '5/4', '9/2', '9/2', '8'] -> 8 / (9/2 / 9/2 - 5/6 / 5/4)
[219887] ['3/8', '6/7', '5/3', '7/3', '6'] -> 6 / (6/7 * (7/3 - (3/8 + 5/3)))
[219888] ['1/5', '7/9', '1', '4/3', '5/2'] -> (4/3 / (5/2 * 1) - (1/5 + 7/9)))
[219889] ['5/7', '5/7', '8/7', '8/5', '6'] -> 6 / (8/7 - (5/7 + 5/7) / 8/5)
[219890] ['4/9', '3/4', '6/7', '7/6', '6'] -> (6/7 + 6) * 7/6 / (4/9 * 3/4)
[219891] ['1/7', '4/9', '1', '7/5', '7/3'] -> (7/3 / (1/7 * 7/5) - 1) / 4/9
[219892] ['7/8', '9/7', '3/2', '8/5', '5'] -> (9/7 + 3/2 / 7/8) * 8/5 * 5
[219893] ['1/6', '1/5', '5/9', '3/5', '7'] -> (1/5 + 7) / (3/5 - 1/6 / 5/9)
[219894] ['2/3', '8/7', '7/6', '9/5', '8'] -> 9/5 * (8/7 * 7/6 + 8 / 2/3)
[219895] ['3/8', '6/7', '5/3', '5/2', '6'] -> (6 / (6/7 * (5/3 / 5/2)) - 3/8))
[219896] ['5/7', '5/7', '8/7', '5/3', '6'] -> 8/7 * 6 / (5/7 - 5/7 / 5/3)
[219897] ['3/7', '5/9', '6/5', '8/5', '7'] -> 8/5 / (3/7 * 5/9 - 6/5 / 7)
[219898] ['1/8', '1/5', '4/7', '7/2', '9'] -> (9 / (1/5 * (4/7 * 7/2)) - 1/8))
[219899] ['5/6', '9/7', '9/7', '5/3', '8'] -> 8 * (9/7 / 9/7 + 5/3 / 5/6)
[219900] ['2/3', '8/7', '7/6', '9/4', '8'] -> 9/4 * (8 / 2/3 - 8/7 * 7/6)
[219901] ['1/5', '7/9', '1', '4/3', '9/2'] -> 4/3 / (1/5 * (7/9 + 9/2) - 1)
[219902] ['3/8', '6/7', '5/3', '8/3', '6'] -> (6 * 5/3 / 6/7 - 8/3) / 3/8
[219903] ['7/8', '9/7', '3/2', '7/4', '5'] -> 5 / (7/8 - 3/2 / (9/7 * 7/4))
[219904] ['1/6', '1/5', '5/9', '2/3', '7'] -> 5/9 + 2/3 * (1/6 + 7 / 1/5)
[219905] ['5/6', '9/7', '9/7', '7/4', '8'] -> (9/7 + 8) / (5/6 * (7/4 - 9/7))
[219906] ['7/9', '5/4', '4/3', '3/2', '2'] -> 2 / (7/9 * 5/4 - 4/3 / 3/2)
[219907] ['4/9', '3/4', '6/7', '9/7', '6'] -> 6/7 + 9/7 * 6 / (4/9 * 3/4)
[219908] ['1/8', '1/5', '3/5', '5/7', '9'] -> 9 / (5/7 * (3/5 + 1/8 - 1/5))
[219909] ['6/7', '5/3', '8/3', '8/3', '9'] -> (5/3 + 9) / (8/3 / 6/7 - 8/3)
[219910] ['5/7', '5/7', '8/7', '9/2', '6'] -> 8/7 * 6 * (9/2 - 5/7 / 5/7)
[219911] ['2/3', '8/7', '6/5', '6/5', '8'] -> (6/5 + 8) / (6/5 / 8/7 - 2/3)
[219912] ['3/7', '5/9', '6/5', '7/4', '7'] -> 6/5 + 7/4 * (3/7 + 7 / 5/9)
[219913] ['5/6', '9/7', '9/7', '9/4', '8'] -> 8 * (9/7 + 5/6 * 9/4) - 9/7
[219914] ['3/8', '6/7', '5/3', '9/2', '6'] -> 5/3 * 6 + 9/2 / (3/8 * 6/7)
[219915] ['7/9', '5/4', '4/3', '8/5', '2'] -> (4/3 / (5/4 * 8/5) - (7/9 * 2)))
[219916] ['1/5', '7/9', '1', '7/5', '3/2'] -> (7/5 / (1 - 7/9) - 3/2) / 1/5
[219917] ['7/8', '9/7', '3/2', '9/4', '5'] -> 5 / (9/4 - (7/8 + 3/2 / 9/7))
[219918] ['4/9', '3/4', '6/7', '7/5', '6'] -> 7/5 * (6 / (4/9 * 3/4) - 6/7)
[219919] ['6/7', '5/3', '8/3', '7/2', '9'] -> 6/7 * 7/2 * (9 + 5/3 - 8/3)
[219920] ['1/4', '3/8', '6/5', '8/3', '3'] -> 3 / (6/5 * 1/4 * 3/8) - 8/3
[219921] ['1/6', '1/5', '5/9', '3/4', '7'] -> (7 - 5/9) * 3/4 / 1/5 - 1/6
[219922] ['5/7', '5/7', '7/6', '6/5', '6'] -> ((5/7 / (5/7 * 6/5) - 7/6)) - 6)
[219923] ['7/9', '5/4', '4/3', '9/5', '2'] -> (2 / (5/4 * (7/9 * 9/5)) - 4/3))
[219924] ['1/8', '1/5', '3/5', '6/7', '9'] -> 9 / (3/5 / 6/7 - (1/8 + 1/5))
[219925] ['1', '5/4', '7/3', '5/2', '8/3'] -> 1 / (5/2 * (7/3 - 5/4) - 8/3)
[219926] ['1/4', '3/8', '5/4', '9/7', '3'] -> 9/7 / (1/4 * 3/8) * (3 - 5/4)
[219927] ['1/5', '7/9', '1', '7/5', '7/4'] -> (1/5 + 1) / (7/5 / 7/9 - 7/4)
[219928] ['5/6', '9/7', '9/7', '9/2', '8'] -> (9/2 - 9/7) * 8 / (5/6 * 9/7)
[219929] ['4/9', '3/4', '6/7', '8/5', '6'] -> 8/5 * (6 / (4/9 * 6/7) - 3/4)
[219930] ['7/9', '5/4', '4/3', '2', '5/2'] -> 2 / (7/9 / 4/3 - 5/4 / 5/2)
[219931] ['7/8', '9/7', '3/2', '8/3', '5'] -> 5 / (7/8 * (3/2 - 9/7)) - 8/3
[219932] ['3/7', '5/9', '6/5', '5/2', '7'] -> (7 / 3/7 - 6/5 * 5/2) / 5/9
[219933] ['1/5', '2/9', '3/7', '3/4', '2'] -> (2 / ((1/5 * 3/7) * 2/9) + 3/4))
[219934] ['3/8', '6/7', '7/4', '5/2', '6'] -> 7/4 * (6 / 3/8 - 6/7) - 5/2
[219935] ['2/3', '8/7', '6/5', '5/3', '8'] -> (8 / (5/3 - 6/5) - 8/7) / 2/3
[219936] ['1/6', '1/5', '5/9', '5/6', '7'] -> 7 / (5/6 - 5/9) - 1/5 / 1/6
[219937] ['1/4', '3/8', '9/7', '4/3', '3'] -> (4/3 + 3) / (3/8 - 1/4 / 9/7)
[219938] ['7/8', '9/7', '3/2', '7/2', '5'] -> (5 * 9/7 * 7/2 - 3/2) / 7/8
[219939] ['7/9', '5/4', '4/3', '2', '7/2'] -> 4/3 / (5/4 / (7/2 - 2) - 7/9)
[219940] ['2/3', '8/7', '6/5', '7/4', '8'] -> (2/3 + 6/5) * (7/4 * 8 - 8/7)
[219941] ['1/5', '2/9', '3/7', '7/9', '2'] -> (2/9 / 7/9 + 2 / 1/5) / 3/7
[219942] ['5/6', '9/7', '4/3', '8/5', '8'] -> 8/5 / (4/3 - 9/7) - 8 / 5/6
[219943] ['3/7', '5/9', '6/5', '7/2', '7'] -> 7 * (6/5 * 7/2 - 3/7 / 5/9)
[219944] ['1/4', '3/8', '9/7', '3/2', '3'] -> 3 / (3/8 / 9/7 - 1/4 / 3/2)
[219945] ['5/7', '5/7', '7/6', '3/2', '6'] -> 6 / (3/2 * (7/6 - 5/7 / 5/7))
[219946] ['2/3', '8/7', '6/5', '9/5', '8'] -> 8 / (8/7 * (2/3 + 6/5) - 9/5)
[219947] ['1/7', '4/9', '1', '3/2', '7/3'] -> 4/9 * 3/2 + (1 + 7/3) / 1/7
[219948] ['7/9', '5/4', '4/3', '2', '9/2'] -> 4/3 / (7/9 - (5/4 + 2) / 9/2)
[219949] ['7/8', '9/7', '8/5', '8/5', '5'] -> (8/5 + 5) / (7/8 * (8/5 - 9/7))
[219950] ['4/9', '3/4', '6/7', '9/4', '6'] -> (9/4 + 6 / (4/9 * 6/7)) / 3/4
[219951] ['1', '5/4', '5/2', '5/2', '8/3'] -> (5/4 + 5/2) * 5/2 * 8/3 - 1
[219952] ['5/7', '5/7', '7/6', '8/5', '6'] -> 5/7 / (7/6 - 5/7 * 8/5) - 6
[219953] ['2/3', '8/7', '6/5', '9/4', '8'] -> 6/5 * (2/3 + 9/4) * (8 - 8/7)
[219954] ['1/7', '4/9', '1', '3/2', '8/3'] -> 1 / 8/3 + 3/2 / (1/7 * 4/9)
[219955] ['7/9', '5/4', '7/5', '7/5', '2'] -> 2 * 7/5 / 7/9 / (7/5 - 5/4)
[219956] ['1/6', '1/5', '5/9', '8/9', '7'] -> 7 / (1/6 + 1/5 * 5/9 / 8/9)
[219957] ['4/9', '3/4', '6/7', '7/3', '6'] -> (6 + 6/7 * 7/3) / (4/9 * 3/4)
[219958] ['5/7', '5/7', '7/6', '5/3', '6'] -> 5/7 / (5/7 * 5/3 - 7/6) - 6
[219959] ['6/7', '7/4', '9/5', '9/4', '9'] -> 9 / (9/5 * (9/4 - 7/4 / 6/7))
[219960] ['3/7', '5/9', '5/4', '9/7', '7'] -> 5/4 * 7 * (3/7 + 9/7 / 5/9)
[219961] ['1/5', '7/9', '1', '3/2', '8/5'] -> (8/5 / ((1/5 * 3/2) * 1) - 7/9))
[219962] ['1/5', '2/9', '3/7', '6/7', '2'] -> (6/7 / 1/5 - 2) / (2/9 * 3/7)
[219963] ['1', '5/4', '5/2', '5/2', '9/2'] -> 5/2 * (5/2 * 9/2 - 5/4) - 1
[219964] ['7/8', '9/7', '8/5', '9/5', '5'] -> 5 / (8/5 / 9/5 - 7/8 / 9/7)
[219965] ['1/6', '1/5', '5/9', '9/8', '7'] -> 7 / (1/6 + 9/8 * 1/5 * 5/9)
[219966] ['4/9', '3/4', '6/7', '5/2', '6'] -> (3/4 + (5/2 + 6) / 6/7) / 4/9
[219967] ['1/4', '3/8', '9/7', '9/4', '3'] -> (1/4 + 9/4 * 3) * 9/7 / 3/8
[219968] ['7/9', '5/4', '7/5', '8/5', '2'] -> 2 / (7/9 * (5/4 - 8/5 / 7/5))
[219969] ['4/9', '3/4', '6/7', '8/3', '6'] -> (3/4 + 6) * (4/9 + 8/3 / 6/7)
[219970] ['7/8', '9/7', '8/5', '7/3', '5'] -> 9/7 * 5 * (7/3 + 7/8 * 8/5)
[219971] ['1/8', '1/5', '5/8', '6/7', '9'] -> 6/7 * (9 * 5/8 / 1/5 - 1/8)
[219972] ['5/6', '9/7', '7/5', '3/2', '8'] -> 8 * (3/2 + 7/5 * 5/6 * 9/7)
[219973] ['1/5', '7/9', '1', '3/2', '9/5'] -> (7/9 + 1) * 9/5 * 3/2 / 1/5
[219974] ['1', '5/4', '8/3', '8/3', '7/2'] -> 8/3 * 8/3 * (5/4 * 7/2 - 1)
[219975] ['5/7', '5/7', '7/6', '7/3', '6'] -> 6 * (7/3 + 7/6 * (5/7 + 5/7))
[219976] ['1/4', '3/8', '9/7', '8/3', '3'] -> 9/7 * (8/3 / 1/4 + 3 / 3/8)
[219977] ['5/6', '9/7', '7/5', '8/5', '8'] -> 8 / (9/7 - 8/5 * 5/6 / 7/5)
[219978] ['3/8', '6/7', '7/3', '7/3', '6'] -> 6/7 * 7/3 / (7/3 - 3/8 * 6)
[219979] ['6/7', '7/4', '7/3', '7/3', '9'] -> 7/3 * 7/3 * 9 * 6/7 / 7/4
[219980] ['1/8', '1/5', '5/8', '8/9', '9'] -> 8/9 * 9 * (5/8 / 1/5 - 1/8)
