[283681] ['1/3', '2/5', '5/9', '5/4', '3'] -> (1/3 + 3) / (5/9 / 2/5 - 5/4)
[284611] ['1/6', '1/2', '7/8', '6/5', '3'] -> (3 / 1/6 - 1/2) / (7/8 / 6/5)
[284612] ['1/9', '3/7', '6/5', '7/3', '8'] -> (7/3 - 1/9) * (8 + 6/5 / 3/7)
[284613] ['1/4', '1/2', '5/7', '9/2', '6'] -> 9/2 / (1/2 - 1/4 / 5/7) - 6
[284614] ['3/4', '8/7', '9/7', '7/5', '7'] -> (8/7 + 9/7 / 3/4) * (7/5 + 7)
[284615] ['2/3', '3/4', '1', '9/5', '9/4'] -> 2/3 / (1 / 9/4 - 3/4 / 9/5)
[284616] ['1/7', '1/5', '1/5', '1/5', '2'] -> (2 + (1/5 + 1/5) / 1/7) / 1/5
[284617] ['2/7', '3/7', '5/6', '1', '9/4'] -> 2/7 / (3/7 + 5/6 + 1 - 9/4)
[284618] ['1/3', '2/5', '8/7', '7/4', '3'] -> (3 + 7/4 / (2/5 / 8/7)) / 1/3
[284619] ['1/9', '3/8', '6/7', '1', '5/3'] -> 5/3 / (1/9 + 3/8) / (1 - 6/7)
[284620] ['2/9', '3/5', '8/7', '8/5', '2'] -> (2 + 8/5 / 3/5) / (2/9 / 8/7)
[284621] ['3/4', '8/7', '9/7', '3/2', '7'] -> 7 * (8/7 * 3/2 + 9/7 / 3/4)
[284622] ['1/6', '1/2', '7/8', '9/7', '3'] -> 3 / ((7/8 - 1/2) / 9/7 - 1/6)
[284623] ['2/3', '3/4', '1', '9/5', '7/3'] -> 2/3 / (1 - 7/3 * 3/4 / 9/5)
[284624] ['1/2', '4/7', '9/7', '8/5', '2'] -> 9/7 / (2 * 1/2 / 8/5 - 4/7)
[284625] ['1/9', '3/8', '6/7', '1', '7/4'] -> (7/4 / 6/7 - (3/8 - 1)) / 1/9
[284626] ['3/4', '8/7', '9/7', '8/5', '7'] -> (9/7 + 3/4 * 8/7) * 8/5 * 7
[284627] ['1/6', '1/2', '7/8', '7/5', '3'] -> 7/5 / (1/6 * 7/8) * (3 - 1/2)
[284628] ['2/7', '5/9', '9/4', '7/3', '9'] -> 2/7 / (9/4 / 9 - 5/9 / 7/3)
[284629] ['2/5', '9/7', '8/5', '9/4', '9'] -> 2/5 * 9 / (9/4 / 9/7 - 8/5)
[284630] ['2/3', '3/4', '1', '9/5', '8/3'] -> 9/5 * (2/3 + 8/3) / (1 - 3/4)
[284631] ['1/4', '1/2', '3/4', '9/5', '6'] -> (3/4 + 9/5 * (1/4 + 6)) / 1/2
[284632] ['2/3', '3/4', '1', '9/5', '7/2'] -> 9/5 * (7/2 / (1 - 3/4) - 2/3)
[284633] ['1/9', '3/8', '6/7', '1', '7/3'] -> (6/7 * 7/3 - 1) / (1/9 * 3/8)
[284634] ['2/5', '7/8', '7/8', '3/2', '5'] -> 7/8 + 5 * (7/8 + 3/2 / 2/5)
[284635] ['2/7', '5/9', '9/4', '8/3', '9'] -> (8/3 / 2/7 + 9 / 9/4) / 5/9
[284636] ['2/5', '9/7', '8/5', '7/2', '9'] -> 7/2 * (9 - (2/5 + 9/7)) - 8/5
[284637] ['1/2', '4/7', '9/7', '2', '9/4'] -> 9/7 / (9/4 / 2 - (1/2 + 4/7))
[284638] ['4/9', '4/7', '7/5', '5/3', '8'] -> 7/5 * 5/3 * 8 / (4/9 / 4/7)
[284639] ['2/5', '7/8', '7/8', '8/5', '5'] -> (5 + 7/8 / 7/8) / (2/5 / 8/5)
[284640] ['3/4', '8/7', '9/7', '9/4', '7'] -> 8/7 * (3/4 + 7 * 9/7 * 9/4)
[284641] ['1/8', '1/5', '1/4', '6/7', '2'] -> 2 / (1/5 * (1/8 + 1/4 / 6/7))
[284642] ['2/3', '3/4', '1', '9/4', '9/4'] -> (1 + 9/4 / 9/4) / (3/4 - 2/3)
[284643] ['1/7', '1/5', '1/5', '4/7', '2'] -> (2 + 4/7 / (1/5 + 1/5)) / 1/7
[284644] ['2/5', '9/7', '5/3', '5/3', '9'] -> (9/7 + 9) * (5/3 + 2/5 * 5/3)
[284645] ['2/5', '7/8', '7/8', '5/3', '5'] -> 2/5 * 5 / (7/8 + 7/8 - 5/3)
[284646] ['2/7', '5/9', '9/4', '9/2', '9'] -> (9/2 + 9) / (2/7 / 5/9) - 9/4
[284647] ['1/2', '4/7', '9/7', '2', '7/3'] -> 4/7 / ((7/3 - 9/7) / 2 - 1/2)
[284648] ['2/7', '3/7', '6/7', '1', '9/7'] -> (1 + 9/7) / (3/7 - 2/7 / 6/7)
[284649] ['1/9', '3/7', '5/4', '4/3', '8'] -> 8 * (1/9 / 4/3 + 5/4 / 3/7)
[284650] ['2/9', '3/5', '8/7', '2', '5/2'] -> 8/7 * 5/2 * (2 / 2/9 - 3/5)
[284651] ['2/3', '3/4', '1', '9/4', '7/2'] -> (1 + 7/2) / (9/4 * (3/4 - 2/3))
[284652] ['3/4', '8/7', '9/7', '5/2', '7'] -> 7 * (9/7 + 5/2 * 3/4 * 8/7)
[284653] ['2/7', '5/9', '7/3', '7/3', '9'] -> (7/3 - 5/9) * 9 / (2/7 * 7/3)
[284654] ['2/5', '7/8', '7/8', '7/4', '5'] -> (5 / (2/5 / 7/4) - 7/8) / 7/8
[284655] ['1/2', '4/7', '9/7', '2', '5/2'] -> 9/7 / (5/2 * 1/2 / 2 - 4/7)
[284656] ['1/7', '1/5', '1/5', '2/3', '2'] -> 2 / (2/3 - 1/5 / (1/7 + 1/5))
[284657] ['2/7', '5/9', '7/3', '5/2', '9'] -> 7/3 * (9 + 5/2 * 2/7 / 5/9)
[284658] ['2/9', '3/5', '8/7', '2', '8/3'] -> (2 - 3/5) / (2/9 / (8/7 + 8/3))
[284659] ['1/9', '3/8', '7/8', '1', '6/5'] -> 6/5 * (7/8 / (1/9 * 3/8) - 1)
[284660] ['1/7', '2/9', '1/4', '7/4', '8'] -> 1/4 - 7/4 / 1/7 + 8 / 2/9
[284661] ['1/9', '3/7', '5/4', '3/2', '8'] -> 8 / (3/7 - 1/9) - 3/2 / 5/4
[284662] ['1/8', '1/5', '1/4', '8/7', '2'] -> (1/4 / 1/5 + 2 / 8/7) / 1/8
[284663] ['2/3', '3/4', '1', '7/3', '9/2'] -> (7/3 + 2/3 + 1) / (3/4 / 9/2)
[284664] ['2/7', '5/9', '7/3', '8/3', '9'] -> 9 / (2/7 + 5/9 / 7/3 / 8/3)
[284665] ['3/4', '8/7', '4/3', '7/5', '7'] -> (4/3 + 8/7 / 3/4) * (7/5 + 7)
[284666] ['1/6', '1/2', '8/9', '8/5', '3'] -> 3 / (1/2 / 8/5 - 1/6 / 8/9)
[284667] ['1/7', '2/9', '1/4', '9/5', '8'] -> (2/9 / 1/7 + 8 / 9/5) / 1/4
[284668] ['1/8', '1/5', '1/4', '7/6', '2'] -> 2 / (1/5 * (1/8 + 1/4 * 7/6))
[284669] ['2/7', '5/9', '7/3', '7/2', '9'] -> 9 * (7/2 - 5/9 / (2/7 * 7/3))
[284670] ['1/9', '3/7', '5/4', '5/3', '8'] -> 8 * (5/3 / (3/7 * 5/4) - 1/9)
[284671] ['1/7', '2/9', '1/4', '9/4', '8'] -> 8 / (1/7 * 9/4) - 2/9 / 1/4
[284672] ['3/4', '8/7', '4/3', '8/5', '7'] -> (8/7 + 3/4 * 4/3) * 8/5 * 7
[284673] ['1/2', '4/7', '4/3', '7/4', '2'] -> 2 / (4/3 / 4/7 - (1/2 + 7/4))
[284674] ['2/5', '9/7', '5/3', '7/2', '9'] -> (9/7 + 9) * 7/2 * 2/5 * 5/3
[284675] ['2/9', '3/5', '7/6', '6/5', '2'] -> (3/5 + 2 * (7/6 + 6/5)) / 2/9
[284676] ['1/8', '1/5', '1/4', '4/3', '2'] -> 2 / (1/5 * (1/4 + 1/8 * 4/3))
[284677] ['4/9', '4/7', '7/5', '9/2', '8'] -> (4/7 + 8) * 9/2 * 4/9 * 7/5
[284678] ['1/6', '1/2', '9/8', '6/5', '3'] -> 3 / (1/6 * 6/5) / (9/8 - 1/2)
[284679] ['2/7', '3/7', '6/7', '1', '7/3'] -> 6/7 / (3/7 / (7/3 - 1) - 2/7)
[284680] ['2/5', '7/8', '7/8', '9/2', '5'] -> 5 * (9/2 - (2/5 - 7/8)) - 7/8
[284681] ['1/7', '2/9', '1/4', '8/3', '8'] -> 8 / (2/9 / (1/7 * 8/3) - 1/4)
[284682] ['2/7', '5/9', '5/2', '7/2', '9'] -> (2/7 + 5/9) * 7/2 * 9 - 5/2
[284683] ['1/9', '3/8', '7/8', '1', '9/4'] -> ((9/4 - 7/8) / 3/8 - 1) / 1/9
[284684] ['1/6', '1/2', '9/8', '9/7', '3'] -> (1/2 + 3) * 9/7 / (1/6 * 9/8)
[284685] ['1/2', '4/7', '4/3', '2', '7/2'] -> (4/7 + 2) * 7/2 / (1/2 / 4/3)
[284686] ['2/9', '3/5', '7/6', '4/3', '2'] -> (7/6 + 4/3) * (3/5 + 2 / 2/9)
[284687] ['4/9', '4/7', '3/2', '9/5', '8'] -> 9/5 * (8 / 4/7 - 4/9 * 3/2)
[284688] ['3/4', '8/7', '4/3', '7/3', '7'] -> (8/7 + 7) / (3/4 / 7/3) - 4/3
[284689] ['1/4', '1/2', '4/5', '8/3', '6'] -> 1/4 + (1/2 + 8/3) / (4/5 / 6)
[284690] ['2/9', '3/5', '7/6', '7/5', '2'] -> (2 + 7/5 / 7/6) / (2/9 * 3/5)
[284691] ['1/8', '1/5', '2/7', '2/7', '2'] -> (2/7 / (1/5 * 2/7) - 2) / 1/8
[284692] ['1/7', '1/5', '1/5', '6/5', '2'] -> 1/5 + (2 + 1/5 + 6/5) / 1/7
[284693] ['4/9', '4/7', '3/2', '9/4', '8'] -> 4/7 * (3/2 + 8 / (4/9 / 9/4))
[284694] ['1/8', '1/5', '2/7', '1/3', '2'] -> 2 / 2/7 / (1/8 / 1/5 - 1/3)
[284695] ['1/9', '3/7', '5/4', '7/2', '8'] -> 8 * (3/7 + 7/2 / (1/9 + 5/4))
[284696] ['2/7', '3/7', '6/7', '1', '9/2'] -> 9/2 * (6/7 / 2/7 + 1 / 3/7)
[284697] ['1/7', '2/9', '2/7', '2/5', '8'] -> (2/7 + 2/5 / 1/7) * (8 - 2/9)
[284698] ['2/3', '7/9', '7/9', '1', '5/4'] -> 2/3 / 7/9 / (1 / 7/9 - 5/4)
[284699] ['2/7', '3/7', '7/8', '7/8', '1'] -> 3/7 / (2/7 + 7/8 - 1 / 7/8)
[284700] ['2/9', '3/5', '7/6', '8/5', '2'] -> 7/6 * 8/5 / (3/5 / 2 - 2/9)
[284701] ['2/5', '9/7', '7/4', '8/3', '9'] -> 9 + 7/4 * 8/3 / (2/5 / 9/7)
[284702] ['1/2', '4/7', '7/5', '5/3', '2'] -> 4/7 / (1/2 / 7/5 + 5/3 - 2)
[284703] ['4/9', '4/7', '3/2', '8/3', '8'] -> (8 / 4/7 - 8/3) / 4/9 - 3/2
[284704] ['1/7', '1/5', '1/5', '3/2', '2'] -> 1/5 + (1/5 + 3/2) / (1/7 / 2)
[284705] ['1/9', '3/8', '8/9', '1', '5/4'] -> (5/4 / (1/9 / 8/9) - 1) / 3/8
[284706] ['1/7', '2/9', '2/7', '5/7', '8'] -> 2/7 / 2/9 / (1/7 - 5/7 / 8)
[284707] ['3/4', '8/7', '7/5', '8/5', '7'] -> 7/5 * (8/7 + 8/5) * (7 - 3/4)
[284708] ['2/3', '7/9', '7/9', '1', '3/2'] -> (7/9 + 1) * 3/2 / (7/9 - 2/3)
[284709] ['1/7', '1/5', '1/5', '5/3', '2'] -> 5/3 * (1/5 + 1/5 + 2 / 1/7)
[284710] ['1/9', '3/8', '8/9', '1', '9/7'] -> (8/9 / 1/9 - 1) / (3/8 / 9/7)
[284711] ['1/9', '3/7', '9/7', '8/5', '8'] -> 8/5 * (3/7 * 8 + 9/7 / 1/9)
[284712] ['2/7', '3/7', '7/8', '1', '7/5'] -> 1 / (2/7 / 3/7 - 7/8 / 7/5)
[284713] ['2/9', '3/5', '7/6', '2', '9/4'] -> 2 / (9/4 - (2/9 + 7/6 / 3/5))
[284714] ['1/8', '1/5', '2/7', '3/5', '2'] -> 1/5 + (2 + 3/5 / 1/8) / 2/7
[284715] ['3/4', '8/7', '7/5', '5/3', '7'] -> 7 / (5/3 / (8/7 * 7/5) - 3/4)
[284716] ['1/9', '3/7', '9/7', '7/4', '8'] -> 8 / (1/9 * 7/4) / (3/7 + 9/7)
[284717] ['1/9', '3/8', '8/9', '1', '7/5'] -> 1/9 / (3/8 - 8/9 / (1 + 7/5))
[284718] ['4/9', '4/7', '8/5', '9/5', '8'] -> 8 * (8/5 + 9/5 * 4/9 / 4/7)
[284719] ['3/4', '8/7', '7/5', '9/5', '7'] -> 7 / (7/5 / 3/4 - 9/5 / 8/7)
[284720] ['2/7', '4/7', '4/7', '3/4', '9'] -> 4/7 / 3/4 * 9 / (4/7 - 2/7)
[284721] ['2/9', '3/5', '7/6', '2', '8/3'] -> 8/3 / (2/9 * 3/5) / (2 - 7/6)
[284722] ['2/7', '3/7', '7/8', '1', '7/4'] -> 3/7 / (7/8 - 2/7 - 1 / 7/4)
[284723] ['4/9', '4/7', '8/5', '9/4', '8'] -> 8/5 * (4/9 * 9/4 + 8 / 4/7)
[284724] ['2/3', '7/9', '7/9', '1', '9/4'] -> 2/3 / (7/9 + 1 - 7/9 * 9/4)
[284725] ['3/4', '8/7', '7/5', '9/4', '7'] -> 8/7 * 7/5 * (9/4 * 7 - 3/4)
[284726] ['1/6', '1/2', '7/6', '7/5', '3'] -> (1/2 + 7/6 / 7/5) / (1/6 / 3)
[284727] ['1/7', '1/5', '1/5', '2', '8/3'] -> 8/3 * (2 + 1/5 / (1/7 * 1/5))
[284728] ['1/7', '2/9', '2/7', '5/4', '8'] -> (8 - 5/4) / (1/7 / (2/9 + 2/7))
[284729] ['4/9', '4/7', '8/5', '7/3', '8'] -> (8 - 4/7 * 7/3) / (4/9 / 8/5)
[284730] ['2/7', '4/7', '4/7', '4/5', '9'] -> 4/7 * 9 / (4/7 - 2/7 / 4/5)
[284731] ['1/9', '3/7', '9/7', '5/2', '8'] -> ((8 - 9/7) / 1/9 - 3/7) / 5/2
[284732] ['2/9', '3/5', '6/5', '6/5', '2'] -> (6/5 + 2) / (2/9 * (6/5 - 3/5))
[284733] ['1/6', '1/2', '7/6', '9/5', '3'] -> (7/6 / 1/2 + 3 / 9/5) / 1/6
[284734] ['2/9', '3/5', '6/5', '5/4', '2'] -> 2 / (2/9 * 3/5 + 6/5 - 5/4)
[284735] ['1/8', '1/5', '2/7', '5/6', '2'] -> 2 / (2/7 * (1/8 + 1/5 * 5/6))
[284736] ['4/9', '4/7', '8/5', '8/3', '8'] -> (8/3 - 4/9) * (8 + 8/5 / 4/7)
[284737] ['1/7', '2/9', '2/7', '7/4', '8'] -> (8 - 1/7 / 2/9) / 2/7 - 7/4
[284738] ['2/7', '4/7', '4/7', '6/5', '9'] -> (4/7 + 4/7 * 9) / (2/7 / 6/5)
[284739] ['1/9', '3/7', '4/3', '7/5', '8'] -> 4/3 / 7/5 * 8 / (3/7 - 1/9)
[284740] ['1/2', '4/7', '3/2', '2', '7/3'] -> 2 / (1/2 * (3/2 - 4/7 * 7/3))
[284741] ['1/8', '1/5', '2/7', '6/7', '2'] -> (6/7 / 1/8 - 2) / 1/5 - 2/7
[284742] ['1/6', '1/2', '6/5', '9/7', '3'] -> 6/5 / (1/6 - 1/2 / (9/7 + 3))
[284743] ['1/9', '3/7', '4/3', '8/5', '8'] -> 8 / (3/7 - 1/9) - 8/5 / 4/3
[284744] ['2/7', '3/7', '8/9', '1', '9/8'] -> 3/7 / (8/9 * (2/7 + 1) - 9/8)
[284745] ['1/9', '3/8', '1', '9/8', '9/7'] -> (1 + 9/7) * (3/8 + 9/8 / 1/9)
[284746] ['3/4', '8/7', '3/2', '8/5', '7'] -> (7 / (3/2 - 8/7) - 8/5) / 3/4
[284747] ['1/2', '4/7', '3/2', '2', '5/2'] -> 2 / (4/7 - 1/2) - (3/2 + 5/2)
[284748] ['1/8', '1/5', '2/7', '7/8', '2'] -> (2 + 2/7 / 1/5) / (1/8 / 7/8)
[284749] ['2/5', '7/8', '8/9', '9/2', '5'] -> 2/5 / (7/8 / 9/2 - 8/9 / 5)
[284750] ['1/7', '2/9', '2/7', '7/3', '8'] -> 8 / (1/7 + 2/7 - 2/9 / 7/3)
[284751] ['2/3', '7/9', '4/5', '1', '9/8'] -> 1 / (7/9 * 9/8 - 2/3 / 4/5)
[284752] ['2/5', '9/7', '9/4', '7/2', '9'] -> (7/2 + 9 / 9/7) / 2/5 - 9/4
[284753] ['4/9', '4/7', '5/3', '5/3', '8'] -> (8 / 4/7 - (5/3 + 5/3)) / 4/9
[284754] ['3/4', '8/7', '3/2', '5/3', '7'] -> 8/7 * 7 / (3/2 / 3/4 - 5/3)
[284755] ['2/7', '3/7', '8/9', '1', '7/6'] -> (7/6 + 3/7 / 2/7) / (1 - 8/9)
[284756] ['1/2', '4/7', '3/2', '2', '7/2'] -> 3/2 * 7/2 * (4/7 + 2 / 1/2)
[284757] ['1/7', '2/9', '2/7', '5/2', '8'] -> 1/7 / 2/9 / (5/2 / 8 - 2/7)
[284758] ['2/9', '3/5', '6/5', '7/4', '2'] -> (3/5 + 6/5 / 2/9) / (2 - 7/4)
[284759] ['2/7', '4/7', '4/7', '8/5', '9'] -> 8/5 * (9 / 4/7 - 4/7) - 2/7
[284760] ['1/7', '1/5', '2/9', '3/7', '2'] -> 3/7 / (1/7 * 1/5) + 2 / 2/9
[284761] ['2/5', '9/7', '9/4', '9/2', '9'] -> (9/2 + 9) / (2/5 * 9/7) - 9/4
[284762] ['1/9', '3/8', '1', '9/8', '5/3'] -> (3/8 + 9/8) * (1 + 5/3 / 1/9)
[284763] ['1/7', '1/5', '2/9', '1/2', '2'] -> (2 / (1/7 + 1/5) - 1/2) / 2/9
[284764] ['2/5', '9/7', '7/3', '7/3', '9'] -> 9 + (7/3 + 7/3) / (2/5 / 9/7)
[284765] ['2/5', '7/8', '9/8', '7/6', '5'] -> 2/5 / (9/8 - 7/8 - 7/6 / 5)
[284766] ['4/9', '4/7', '5/3', '9/4', '8'] -> 8 / (4/7 - 4/9 / 5/3) - 9/4
[284767] ['2/7', '4/7', '4/7', '7/4', '9'] -> (9 / 4/7 - (2/7 + 7/4)) / 4/7
[284768] ['2/3', '7/9', '4/5', '1', '9/7'] -> 2/3 / 7/9 / (9/7 - 1 / 4/5)
[284769] ['1/7', '1/5', '2/9', '5/9', '2'] -> (2 + 2/9 / (1/7 * 5/9)) / 1/5
[284770] ['2/7', '3/7', '8/9', '1', '9/7'] -> (1 + 9/7) / (3/7 * 8/9 - 2/7)
[284771] ['2/9', '3/5', '6/5', '2', '7/2'] -> (2 * 7/2 - 3/5) / (2/9 * 6/5)
[284772] ['1/7', '2/9', '1/3', '3/8', '8'] -> (1/3 / 1/7 + 3/8 * 8) / 2/9
[284773] ['1/9', '3/8', '1', '9/8', '9/5'] -> (1 + 9/8 / (3/8 * 9/5)) / 1/9
[284774] ['3/4', '8/7', '8/5', '8/5', '7'] -> (8/7 + 8/5) / (3/4 / 7) - 8/5
[284775] ['1/8', '1/5', '2/7', '5/4', '2'] -> 1/8 + 2 + 5/4 / (1/5 * 2/7)
[284776] ['2/3', '7/9', '4/5', '1', '7/5'] -> 2/3 / (7/9 + 1 - 7/5 / 4/5)
[284777] ['2/7', '3/7', '8/9', '1', '4/3'] -> 2/7 / (1 - (3/7 + 8/9) / 4/3)
[284778] ['1/6', '1/2', '5/4', '5/3', '3'] -> 3 / (1/2 * (5/3 - (1/6 + 5/4)))
[284779] ['3/4', '8/7', '8/5', '5/3', '7'] -> (8/7 + 8/5) * 7 * 3/4 * 5/3
[284780] ['1/8', '1/5', '2/7', '4/3', '2'] -> 2 / (1/8 + 4/3) / (1/5 * 2/7)
[284781] ['2/7', '4/7', '4/7', '5/2', '9'] -> 5/2 * 9 + (2/7 + 4/7) / 4/7
[284782] ['1/7', '1/5', '2/9', '3/5', '2'] -> (2 / 2/9 - 3/5 / 1/7) / 1/5
[284783] ['4/9', '4/7', '5/3', '9/2', '8'] -> 8 / (4/9 * 4/7) - 5/3 * 9/2
[284784] ['2/5', '7/8', '9/8', '4/3', '5'] -> 2/5 / (7/8 - 9/8 + 4/3 / 5)
[284785] ['2/3', '7/9', '4/5', '1', '5/3'] -> 2/3 / (7/9 - 1 / (4/5 * 5/3))
[284786] ['1/9', '3/7', '7/5', '5/3', '8'] -> (8 + 7/5 * 5/3) / 3/7 - 1/9
[284787] ['2/7', '4/7', '4/7', '7/2', '9'] -> (9 - (4/7 + 4/7)) / 2/7 - 7/2
[284788] ['4/9', '4/7', '7/4', '7/4', '8'] -> 8 / (4/9 * (7/4 - 4/7 * 7/4))
[284789] ['1/8', '1/5', '2/7', '7/5', '2'] -> (7/5 * (2/7 + 2) - 1/5) / 1/8
[284790] ['1/9', '3/8', '1', '8/7', '5/4'] -> (5/4 / 3/8 - 1) / (1/9 / 8/7)
[284791] ['2/7', '4/7', '4/7', '9/2', '9'] -> 2/7 + 4/7 + 9 * 4/7 * 9/2
[284792] ['2/9', '3/5', '5/4', '3/2', '2'] -> (2 + 3/2 / 5/4) / (2/9 * 3/5)
[284793] ['1/2', '4/7', '8/5', '2', '9/2'] -> (1/2 + 9/2) * (2 + 8/5 / 4/7)
[284794] ['1/7', '1/5', '2/9', '2/3', '2'] -> (2 / 1/5 - 2/3 / 1/7) / 2/9
[284795] ['1/9', '3/7', '7/5', '9/5', '8'] -> 7/5 / 9/5 * 8 / (1/9 / 3/7)
[284796] ['3/4', '8/7', '8/5', '7/2', '7'] -> (8/7 + 8/5) * (7/2 + 3/4 * 7)
[284797] ['4/9', '4/7', '7/4', '9/4', '8'] -> 8 / (7/4 * (4/9 - 4/7 / 9/4))
[284798] ['2/5', '9/7', '5/2', '9/2', '9'] -> 9 + (5/2 + 9/2 / 9/7) / 2/5
[284799] ['2/9', '3/5', '5/4', '5/3', '2'] -> (2 + 3/5 + 5/3) / (2/9 / 5/4)
[284800] ['1/9', '3/8', '1', '8/7', '4/3'] -> 4/3 / 1/9 / (1 / 8/7 - 3/8)
[284801] ['1/2', '4/7', '5/3', '9/5', '2'] -> 9/5 / (4/7 - 1/2) - 2 / 5/3
[284802] ['3/4', '8/7', '5/3', '7/4', '7'] -> 8/7 * 7 * (7/4 + 3/4 * 5/3)
[284803] ['2/3', '7/9', '4/5', '1', '9/2'] -> (9/2 + 2/3 / 4/5) / (1 - 7/9)
[284804] ['1/7', '1/5', '2/9', '7/9', '2'] -> (2 + 2/9 / (1/5 * 7/9)) / 1/7
[284805] ['2/7', '4/7', '3/5', '7/8', '9'] -> (4/7 + 9) / (7/8 - 2/7 / 3/5)
[284806] ['1/8', '1/5', '2/7', '9/5', '2'] -> 9/5 / (2/7 * (1/5 + 1/8 / 2))
[284807] ['1/2', '4/7', '5/3', '2', '5/2'] -> 2 / (1/2 + 5/2 - 5/3 / 4/7)
[284808] ['2/3', '7/9', '5/6', '6/7', '1'] -> 6/7 / (1 / 7/9 - 5/6 / 2/3)
[284809] ['2/7', '3/7', '8/9', '1', '8/3'] -> 8/3 / (2/7 * (8/9 + 1) - 3/7)
[284810] ['1/9', '3/8', '1', '8/7', '5/3'] -> 5/3 / (1/9 + 3/8) / (8/7 - 1)
[284811] ['2/7', '4/7', '3/5', '9/8', '9'] -> 9 / (3/5 * (9/8 - 2/7 / 4/7))
[284812] ['2/9', '3/5', '5/4', '2', '7/3'] -> 7/3 / 5/4 / (3/5 / 2 - 2/9)
[284813] ['4/9', '4/7', '7/4', '9/2', '8'] -> 8 * (4/9 * 9/2 + 4/7 * 7/4)
[284814] ['3/4', '8/7', '5/3', '9/4', '7'] -> 8/7 * 7 * (5/3 * 9/4 - 3/4)
[284815] ['1/9', '3/7', '7/5', '8/3', '8'] -> (8/3 + 8) / (7/5 * (3/7 - 1/9))
[284816] ['1/6', '1/2', '4/3', '9/5', '3'] -> (9/5 + 3) / (1/6 / (4/3 - 1/2))
[284817] ['2/3', '7/9', '5/6', '7/8', '1'] -> (5/6 + 1 / 2/3) / (7/8 - 7/9)
[284818] ['1/2', '4/7', '5/3', '2', '7/2'] -> 2 / (7/2 - (1/2 + 5/3 / 4/7))
[284819] ['1/4', '1/2', '8/7', '7/3', '6'] -> (6 / (8/7 / 7/3) - 1/4) / 1/2
[284820] ['2/7', '4/7', '3/5', '8/7', '9'] -> (3/5 + 9) / (4/7 / (2/7 + 8/7))
[284821] ['1/7', '2/9', '1/3', '6/5', '8'] -> 8 * (1/3 / (2/9 - 1/7) - 6/5)
[284822] ['2/9', '3/5', '5/4', '2', '8/3'] -> (8/3 + 2 / (3/5 * 5/4)) / 2/9
[284823] ['1/6', '1/2', '7/5', '7/5', '3'] -> (3 - 7/5 / 7/5) / (1/6 * 1/2)
[284824] ['2/7', '3/7', '1', '9/8', '9/8'] -> 3/7 / ((2/7 + 1) / 9/8 - 9/8)
[284825] ['2/5', '7/8', '9/8', '9/2', '5'] -> (9/2 + 5) / 2/5 - (7/8 - 9/8)
[284826] ['3/4', '8/7', '5/3', '5/2', '7'] -> 7 / (5/2 - (3/4 + 5/3 / 8/7))
[284827] ['4/9', '4/7', '9/5', '9/4', '8'] -> (4/7 + 8) * (9/5 + 4/9 * 9/4)
[284828] ['2/5', '4/3', '4/3', '4/3', '9'] -> 4/3 * 9 * (4/3 / 2/5 - 4/3)
[284829] ['2/3', '7/9', '5/6', '1', '8/7'] -> 8/7 / 2/3 / (5/6 / 7/9 - 1)
[284830] ['2/9', '3/5', '5/4', '2', '9/2'] -> 3/5 + (2 + 9/2) / (2/9 * 5/4)
[284831] ['1/8', '1/5', '2/7', '2', '7/2'] -> (7/2 / (1/5 / 2/7) - 2) / 1/8
[284832] ['1/6', '1/2', '7/5', '3/2', '3'] -> (3/2 + (1/2 + 3) / 7/5) / 1/6
[284833] ['1/9', '3/8', '1', '8/7', '7/3'] -> (7/3 / 8/7 - (3/8 - 1)) / 1/9
[284834] ['2/7', '4/7', '3/5', '4/3', '9'] -> (4/3 * 9 - 4/7) / (2/7 / 3/5)
[284835] ['1/8', '1/5', '2/7', '2', '9/2'] -> 9/2 / (1/8 / 1/5 / 2/7 - 2)
[284836] ['1/2', '4/7', '7/4', '2', '9/4'] -> 2 / (4/7 - 1/2) - (7/4 + 9/4)
[284837] ['2/7', '3/7', '1', '9/8', '7/6'] -> 3/7 / (2/7 - 9/8 + 1 / 7/6)
[284838] ['2/5', '4/3', '4/3', '7/4', '9'] -> (4/3 + 4/3 / 2/5) / (7/4 / 9)
[284839] ['2/3', '7/9', '5/6', '1', '6/5'] -> 5/6 / (6/5 - 7/9 / 2/3) - 1
[284840] ['1/9', '3/7', '3/2', '8/5', '8'] -> (3/2 - 3/7) * (8 + 8/5 / 1/9)
[284841] ['3/4', '8/7', '7/4', '9/5', '7'] -> (7/4 + 7) * 9/5 / (3/4 / 8/7)
[284842] ['2/7', '3/7', '1', '9/8', '6/5'] -> 3/7 / 2/7 / (1 - 9/8 / 6/5)
[284843] ['1/7', '2/9', '1/3', '8/5', '8'] -> 8/5 / 2/9 + 8 / (1/7 + 1/3)
[284844] ['2/5', '4/3', '4/3', '9/4', '9'] -> 9 + (4/3 + 4/3) / (2/5 / 9/4)
[284845] ['1/8', '1/5', '1/3', '3/7', '2'] -> (2 / 3/7 - 1/3 / 1/5) / 1/8
[284846] ['2/9', '3/5', '9/7', '7/5', '2'] -> (9/7 + 2 / 2/9) / (3/5 / 7/5)
[284847] ['4/9', '4/7', '9/5', '8/3', '8'] -> 9/5 * (8 / 4/9 - 8/3 / 4/7)
