[19700] ['2', '7/3', '5/2', '5/2', '8/3'] -> (7/3 + (5/2 * (2 + (5/2 * 8/3))))
[23518] ['1/3', '7/8', '7/8', '4/3', '4'] -> (4 / (4/3 - (7/8 + (1/3 * 7/8))))
[23519] ['2/7', '4/7', '5/8', '7/5', '8'] -> ((5/8 * 7/5) * ((8 / 2/7) - 4/7))
[23520] ['8/7', '6/5', '5/3', '4', '9/2'] -> ((4 - 6/5) * (9/2 * (8/7 * 5/3)))
[23521] ['1/6', '4/5', '8/9', '9/4', '4'] -> (9/4 * (4 + (8/9 / (1/6 * 4/5))))
[23522] ['3/7', '7/4', '8/3', '8/3', '4'] -> ((7/4 * 8/3) * (4 + (3/7 * 8/3)))
[23523] ['3/8', '2/5', '2/5', '7/5', '3'] -> ((2/5 + 7/5) / (3 * (2/5 - 3/8)))
[23524] ['1/6', '1/4', '4/7', '5/6', '6'] -> (1/6 / (1/4 - (5/6 / (4/7 * 6))))
[23525] ['1/6', '2/5', '9/4', '8/3', '5'] -> (((9/4 * 8/3) - (2/5 * 5)) / 1/6)
[23526] ['1/3', '7/8', '7/8', '8/5', '4'] -> (((4 + (7/8 / 7/8)) * 8/5) / 1/3)
[23527] ['9/7', '7/5', '7/3', '7/3', '3'] -> ((9/7 + 3) * (7/3 + (7/5 * 7/3)))
[23528] ['2/9', '4/7', '5/6', '5/3', '5'] -> (5/3 / ((5/6 / (4/7 * 5)) - 2/9))
[23529] ['3/7', '7/4', '8/3', '4', '9/2'] -> (7/4 * ((3/7 * 4) + (8/3 * 9/2)))
[23530] ['1/8', '2/5', '3/5', '6/7', '5'] -> (((5 - (3/5 / 2/5)) * 6/7) / 1/8)
[23531] ['9/7', '7/5', '7/3', '5/2', '3'] -> ((7/3 + 3) * (5/2 * (9/7 * 7/5)))
[23532] ['1/3', '7/8', '7/8', '5/3', '4'] -> (4 * ((7/8 / 7/8) + (5/3 / 1/3)))
[23533] ['1/6', '1/4', '4/7', '6/5', '6'] -> ((6 / (4/7 * (1/6 + 1/4))) - 6/5)
[23534] ['1/6', '2/5', '7/3', '7/3', '5'] -> (((5 + (7/3 + 7/3)) / 2/5) - 1/6)
[23535] ['6/7', '5/4', '7/5', '5/3', '6'] -> (6 / (7/5 * (6/7 * 5/3)) - 5/4))
[23536] ['1/2', '5/8', '1', '5/2', '5/2'] -> (((1 + (5/2 / 1/2)) * 5/2) / 5/8)
[23537] ['8/7', '6/5', '7/4', '5/2', '4'] -> ((7/4 * 5/2) * (4 * (8/7 * 6/5)))
[23538] ['3/8', '2/5', '2/5', '3', '7/2'] -> (3 / ((7/2 * (3/8 * 2/5)) - 2/5))
[23539] ['1/6', '4/5', '8/9', '7/2', '4'] -> ((4 / (8/9 - 4/5)) - (7/2 / 1/6))
[23540] ['2/9', '4/7', '5/6', '9/5', '5'] -> ((4/7 * 9/5) * (5/6 + (5 / 2/9)))
[23541] ['1/8', '2/5', '3/5', '8/9', '5'] -> (5 / ((3/5 * (1/8 + 8/9)) - 2/5))
[23542] ['2/7', '4/7', '5/8', '9/2', '8'] -> (9/2 + ((4/7 + (5/8 * 8)) / 2/7))
[23543] ['1/4', '5/9', '7/5', '2', '8/3'] -> ((2 + 8/3) / (7/5 * (1/4 * 5/9)))
[23544] ['6/7', '5/4', '7/5', '9/4', '6'] -> (6 * ((6/7 + 9/4) + (5/4 / 7/5)))
[23545] ['3/7', '9/5', '9/5', '9/4', '4'] -> ((4 * (9/4 + (9/5 / 3/7))) - 9/5)
[23546] ['9/7', '7/5', '5/2', '8/3', '3'] -> (8/3 / ((3 / 5/2) - (7/5 / 9/7)))
[23547] ['1/6', '2/5', '7/3', '7/2', '5'] -> (7/3 + ((5 + (1/6 + 7/2)) / 2/5))
[23548] ['1/4', '5/9', '7/5', '2', '7/2'] -> (2 / (5/9 * (7/5 / 7/2)) - 1/4))
[23549] ['2/9', '4/7', '5/6', '7/3', '5'] -> ((4/7 * 7/3) / (2/9 - (5/6 / 5)))
[23550] ['1/7', '2/5', '9/8', '8/3', '9'] -> (2/5 * ((9 / 1/7) - (9/8 * 8/3)))
[23551] ['9/7', '7/5', '8/3', '8/3', '3'] -> ((7/5 * 8/3) * (3 + (9/7 * 8/3)))
[23552] ['1/9', '1/8', '2/5', '7/3', '3'] -> (7/3 / ((1/8 * 3) - (1/9 / 2/5)))
[23553] ['6/7', '5/4', '7/5', '9/2', '6'] -> (7/5 * (9/2 + (6 * (6/7 + 5/4))))
[23554] ['8/7', '6/5', '9/5', '7/3', '4'] -> (4 * (6/5 + (7/3 * (8/7 * 9/5))))
[23555] ['3/8', '2/5', '3/7', '5/9', '3'] -> (3 / ((3/8 + 3/7) * 5/9) - 2/5))
[23556] ['9/7', '7/5', '8/3', '3', '7/2'] -> ((8/3 * (9/7 + 3)) * (7/2 - 7/5))
[23557] ['6/7', '5/4', '3/2', '3/2', '6'] -> ((6/7 + 6) * (5/4 + (3/2 * 3/2)))
[23558] ['1/8', '2/5', '3/5', '9/7', '5'] -> (9/7 / (1/8 - (2/5 / (3/5 + 5))))
[23559] ['2/9', '4/7', '5/6', '5/2', '5'] -> (((5/2 / 2/9) + (5 / 4/7)) / 5/6)
[23560] ['2/7', '4/7', '5/7', '7/9', '8'] -> (8 / (7/9 * (5/7 + (2/7 - 4/7))))
[23561] ['8/7', '6/5', '9/5', '5/2', '4'] -> ((8/7 * 5/2) * (6/5 + (9/5 * 4)))
[23562] ['3/8', '2/5', '3/7', '4/7', '3'] -> (3 / ((3/7 / 2/5) - (3/8 + 4/7)))
[23563] ['1/7', '2/5', '9/8', '9/2', '9'] -> ((2/5 / 9/8) * (9/2 + (9 / 1/7)))
[23564] ['6/7', '5/4', '3/2', '5/3', '6'] -> (6 * (3/2 + (6/7 * (5/4 + 5/3))))
[23565] ['1/9', '1/8', '2/5', '3', '9/2'] -> (9/2 / (3 - (1/8 / (1/9 * 2/5))))
[23566] ['3/7', '9/5', '9/4', '7/2', '4'] -> ((9/5 * 7/2) * (4 - (3/7 / 9/4)))
[23567] ['1/6', '3/7', '3/7', '3/7', '5'] -> (((3/7 * 5) - 3/7) / (1/6 * 3/7))
[23568] ['2/7', '4/7', '5/7', '8/9', '8'] -> ((8 - (8/9 * (4/7 + 5/7))) / 2/7)
[23569] ['1/7', '2/5', '8/7', '8/7', '9'] -> (8/7 * (((9 - 1/7) / 2/5) - 8/7))
[23570] ['1/6', '1/4', '4/7', '9/4', '6'] -> (9/4 / (1/6 - (1/4 / (4/7 * )))
)[23571] ['1/4', '5/9', '3/2', '2', '9/4'] -> (3/2 / (9/4 * (5/9 / 2)) - 1/4))
[23572] ['6/7', '5/4', '3/2', '9/5', '6'] -> (6 * ((5/4 * 9/5) + (3/2 / 6/7)))
[23573] ['3/7', '9/5', '9/4', '4', '9/2'] -> ((9/5 + 9/2) * (4 - (3/7 / 9/4)))
[23574] ['1/2', '2/3', '2/3', '1', '8/7'] -> (1 / (1/2 * (2/3 - (2/3 / 8/7))))
[23575] ['1/7', '2/5', '8/7', '5/4', '9'] -> (9 / ((2/5 * 5/4) - (1/7 / 8/7)))
[23576] ['2/7', '4/7', '5/7', '9/8', '8'] -> ((8 - ((4/7 + 5/7) / 9/8)) / 2/7)
[23577] ['8/7', '6/5', '9/4', '7/3', '4'] -> (4 / ((7/3 / 8/7) - (9/4 / 6/5)))
[23578] ['1/6', '1/4', '4/7', '9/2', '6'] -> (4/7 * (9/2 + ((1/4 + 6) / 1/6)))
[23579] ['3/7', '9/5', '7/3', '5/2', '4'] -> (4 / ((5/2 / (9/5 * 7/3)) - 3/7))
[23580] ['1/2', '2/3', '2/3', '1', '5/4'] -> (1 / (1/2 * (2/3 + 2/3)) - 5/4))
[23581] ['1/8', '2/5', '5/8', '4/5', '5'] -> ((4/5 / (1/8 * 2/5)) + (5 / 5/8))
[23582] ['1/2', '2/3', '2/3', '1', '9/7'] -> (2/3 / ((1 / 9/7) - (1/2 / 2/3)))
[23583] ['3/8', '2/5', '3/7', '4/5', '3'] -> (((4/5 / 2/5) + (3 / 3/7)) / 3/8)
[23584] ['2/7', '4/7', '5/7', '7/5', '8'] -> (8 * ((4/7 / 2/7) + (5/7 * 7/5)))
[23585] ['3/7', '9/5', '7/3', '8/3', '4'] -> ((9/5 * 8/3) * (4 + (3/7 * 7/3)))
[23586] ['2/9', '4/7', '6/7', '6/5', '5'] -> (((6/5 * 5) - (4/7 / 6/7)) / 2/9)
[23587] ['1/6', '3/7', '3/7', '4/7', '5'] -> (4/7 / ((3/7 + 3/7) - (1/6 * 5)))
[23588] ['8/7', '6/5', '9/4', '7/2', '4'] -> ((9/4 * 7/2) * (4 - (8/7 / 6/5)))
[23589] ['1/6', '1/4', '3/5', '7/9', '6'] -> (6 / (7/9 - (1/4 + (1/6 / 3/5))))
[23590] ['1/9', '1/8', '3/7', '5/8', '3'] -> (((1/8 / 3/7) - (5/8 - 3)) / 1/9)
[23591] ['1/4', '5/9', '8/5', '5/3', '2'] -> (5/3 / ((1/4 / (2 - 8/5)) - 5/9))
[23592] ['2/9', '4/7', '6/7', '9/7', '5'] -> ((5 / (2/9 * 6/7)) - (9/7 / 4/7))
[23593] ['1/6', '3/7', '3/7', '2/3', '5'] -> (((5 + (3/7 / 3/7)) * 2/3) / 1/6)
[23594] ['1/8', '2/5', '5/8', '8/7', '5'] -> (((5/8 + (2/5 * 5)) * 8/7) / 1/8)
[23595] ['1/7', '2/5', '8/7', '9/5', '9'] -> (((9 - (8/7 - 9/5)) / 2/5) - 1/7)
[23596] ['1/6', '1/4', '3/5', '7/8', '6'] -> (1/6 / (1/4 - (7/8 / (3/5 * 6))))
[23597] ['1/2', '2/3', '2/3', '1', '5/3'] -> ((1 + 5/3) / (2/3 * (2/3 - 1/2)))
[23598] ['9/7', '3/2', '3/2', '8/3', '3'] -> ((8/3 * 3) / (3/2 - (3/2 / 9/7)))
[23599] ['1/9', '1/8', '3/7', '3/4', '3'] -> ((1/8 + 3/4) * (3/7 + (3 / 1/9)))
[23600] ['1/7', '2/5', '8/7', '9/4', '9'] -> ((8/7 / (1/7 * 2/5)) + (9 / 9/4))
[23601] ['3/8', '2/5', '3/7', '7/8', '3'] -> ((3/7 + (3 / (2/5 * 7/8))) / 3/8)
[23602] ['2/9', '4/7', '6/7', '3/2', '5'] -> (((5 + (4/7 / 6/7)) / 2/9) - 3/2)
[23603] ['3/7', '9/5', '5/2', '5/2', '4'] -> ((9/5 * 4) * ((5/2 / 3/7) - 5/2))
[23604] ['1/6', '3/7', '3/7', '7/9', '5'] -> (7/9 * ((3/7 + 3/7) + (5 / 1/6)))
[23605] ['1/2', '2/3', '2/3', '1', '9/5'] -> ((2/3 + 2/3) / ((1 / 9/5) - 1/2))
[23606] ['1/7', '2/5', '8/7', '7/3', '9'] -> ((1/7 + (8/7 / 2/5)) + (7/3 * 9))
[23607] ['6/7', '5/4', '8/5', '9/2', '6'] -> ((8/5 + (6/7 / 5/4)) * (9/2 + 6))
[23608] ['9/7', '3/2', '8/5', '5/3', '3'] -> (3 / ((3/2 / 9/7) - (5/3 / 8/5)))
[23609] ['2/7', '4/7', '3/4', '6/5', '8'] -> (8 / (3/4 - (2/7 / (4/7 * /5)))
)[23610] ['3/7', '9/5', '5/2', '8/3', '4'] -> ((((5/2 * 8/3) * 9/5) / 3/7) - 4)
[23611] ['1/2', '2/3', '2/3', '1', '9/4'] -> ((2/3 + 2/3) / (1/2 - (1 / 9/4)))
[23612] ['1/7', '2/5', '8/7', '8/3', '9'] -> (((9 - (8/7 / 8/3)) * 2/5) / 1/7)
[23613] ['2/9', '4/7', '6/7', '9/4', '5'] -> ((9/4 * (4/7 / 6/7)) + (5 / 2/9))
[23614] ['1/2', '2/3', '2/3', '1', '7/2'] -> (((2/3 + 7/2) / (2/3 - 1/2)) - 1)
[23615] ['1/8', '2/5', '5/8', '9/4', '5'] -> (((2/5 * 5/8) - (9/4 - 5)) / 1/8)
[23616] ['1/6', '3/7', '3/7', '8/9', '5'] -> (8/9 * (((5 - 3/7) / 1/6) - 3/7))
[23617] ['8/7', '6/5', '5/2', '7/2', '4'] -> ((6/5 * 5/2) * (4 + (8/7 * 7/2)))
[23618] ['3/7', '9/5', '8/3', '7/2', '4'] -> (((7/2 * 8/3) / 3/7) + (4 / 9/5))
[23619] ['2/7', '4/7', '7/9', '7/9', '8'] -> (8 * ((4/7 / 2/7) + (7/9 / 7/9)))
[23620] ['6/7', '5/4', '5/3', '9/4', '6'] -> (6 / ((6/7 * (5/4 + 5/3)) - 9/4))
[23621] ['9/7', '3/2', '8/5', '7/3', '3'] -> ((3/2 * 8/5) * (7/3 * (9/7 + 3)))
[23622] ['1/4', '5/9', '8/5', '2', '7/2'] -> ((2 / 5/9) + ((8/5 + 7/2) / 1/4))
[23623] ['2/9', '4/7', '6/7', '5/2', '5'] -> (((4/7 - 5/2) + (5 / 2/9)) / 6/7)
[23624] ['1/2', '2/3', '5/7', '3/4', '1'] -> (1 / ((1/2 + 2/3) * 3/4) - 5/7))
[23625] ['1/6', '1/4', '3/5', '7/4', '6'] -> ((7/4 / (1/6 * (3/5 - 1/4))) - 6)
[23626] ['1/6', '3/7', '3/7', '9/8', '5'] -> ((((5 - 3/7) / 1/6) - 3/7) / 9/8)
[23627] ['6/7', '5/4', '5/3', '7/3', '6'] -> (6 / (7/3 * (6/7 - (5/4 / 5/3))))
[23628] ['9/7', '3/2', '8/5', '5/2', '3'] -> ((9/7 + 3) * (5/2 + (3/2 + 8/5)))
[23629] ['8/7', '6/5', '8/3', '8/3', '4'] -> ((6/5 * 4) * (8/3 + (8/3 / 8/7)))
[23630] ['3/8', '2/5', '3/7', '9/7', '3'] -> (9/7 / ((3/8 * 3) - (3/7 / 2/5)))
[23631] ['2/7', '4/7', '7/9', '5/6', '8'] -> ((5/6 * 8) / (7/9 - (2/7 / 4/7)))
[23632] ['6/7', '5/4', '5/3', '5/2', '6'] -> (6 * (5/3 + (5/2 / (6/7 * 5/4))))
[23633] ['3/7', '9/5', '7/2', '7/2', '4'] -> ((9/5 - 3/7) * (7/2 + (7/2 * 4)))
[23634] ['1/7', '2/5', '7/6', '5/4', '9'] -> (9 / ((2/5 - 1/7) * 7/6) * 5/4))
[23635] ['9/7', '3/2', '8/5', '8/3', '3'] -> ((9/7 + 3) * (8/5 + (3/2 * 8/3)))
[23636] ['1/2', '2/3', '5/7', '5/6', '1'] -> ((5/6 / ((1/2 / 5/7) - 2/3)) - 1)
[23637] ['1/4', '5/9', '5/3', '9/5', '2'] -> ((2 + (9/5 * (5/9 + 5/3))) / 1/4)
[23638] ['1/2', '2/3', '5/7', '7/8', '1'] -> (1 / (7/8 - (5/7 * (1/2 + 2/3))))
[23639] ['9/7', '3/2', '8/5', '3', '7/2'] -> (8/5 * (3/2 + (7/2 * (9/7 * 3))))
[23640] ['1/6', '4/5', '8/7', '7/3', '4'] -> (4 + ((8/7 * 7/3) / (1/6 * 4/5)))
[23641] ['1/6', '1/4', '5/8', '5/7', '6'] -> (((6 - (1/4 / 5/8)) * 5/7) / 1/6)
[23642] ['3/7', '9/5', '7/2', '4', '9/2'] -> ((9/5 * (7/2 + 4)) + (9/2 / 3/7))
[23643] ['1/4', '5/9', '5/3', '2', '9/4'] -> (2 * ((5/3 / 5/9) + (9/4 / 1/4)))
[23644] ['1/7', '2/5', '7/6', '7/5', '9'] -> (((9 * 2/5) / 1/7) - (7/5 / 7/6))
[23645] ['9/7', '3/2', '8/5', '3', '9/2'] -> ((8/5 * 3) * (3/2 + (9/2 / 9/7)))
[23646] ['1/8', '2/5', '2/3', '9/8', '5'] -> (((2/3 + (2/5 * 5)) * 9/8) / 1/8)
[23647] ['1/6', '3/7', '3/7', '8/5', '5'] -> ((3/7 + (3/7 / 1/6)) * (8/5 * 5))
[23648] ['2/7', '4/7', '7/9', '6/5', '8'] -> (8 / (6/5 * (7/9 - (2/7 / 4/7))))
[23649] ['3/7', '9/4', '9/4', '9/4', '4'] -> (((9/4 + (9/4 * 4)) / 3/7) - 9/4)
[23650] ['1/6', '1/4', '5/8', '6/7', '6'] -> ((6/7 + 6) * ((5/8 / 1/6) - 1/4))
[23651] ['1/7', '2/5', '7/6', '3/2', '9'] -> ((2/5 * 9) * ((7/6 / 1/7) - 3/2))
[23652] ['1/2', '2/3', '5/7', '1', '6/5'] -> (6/5 / ((1/2 / (2/3 * /7)) - 1))
[23653] ['2/9', '4/7', '7/8', '7/6', '5'] -> (((7/6 * 5) - (4/7 * 7/8)) / 2/9)
[23654] ['9/7', '3/2', '5/3', '5/3', '3'] -> ((5/3 + (3 / 9/7)) / (5/3 - 3/2))
[23655] ['1/6', '4/5', '8/7', '8/3', '4'] -> (8/7 * ((8/3 / 1/6) + (4 / 4/5)))
[23656] ['2/7', '4/7', '7/9', '5/4', '8'] -> (8 / (7/9 * (4/7 * 5/4)) - 2/7))
[23657] ['1/2', '2/3', '5/7', '1', '5/4'] -> (1 / (5/4 * (1/2 / 5/7)) - 2/3))
[23658] ['8/7', '5/4', '5/4', '4/3', '4'] -> (4 / ((4/3 / 8/7) - (5/4 / 5/4)))
[23659] ['3/7', '9/4', '9/4', '5/2', '4'] -> (4 / (5/2 - (9/4 / (3/7 * 9/4))))
[23660] ['9/7', '3/2', '5/3', '7/4', '3'] -> ((9/7 * (5/3 + 3)) / (7/4 - 3/2))
[23661] ['2/9', '4/7', '7/8', '6/5', '5'] -> ((4/7 + (5 / (7/8 * 6/5))) / 2/9)
[23662] ['1/2', '2/3', '5/7', '1', '9/7'] -> ((1/2 / (5/7 - 2/3)) * (1 + 9/7))
[23663] ['1/3', '7/8', '8/7', '8/5', '4'] -> (((4 + (7/8 * 8/7)) * 8/5) / 1/3)
[23664] ['3/8', '2/5', '3/7', '5/2', '3'] -> (3 / ((2/5 * 5/2) - (3/8 / 3/7)))
[23665] ['1/7', '2/5', '7/6', '9/4', '9'] -> (9 * (9/4 + (7/6 * (1/7 / 2/5))))
[23666] ['1/6', '3/7', '3/7', '9/2', '5'] -> ((((9/2 + 5) * 3/7) / 1/6) - 3/7)
[23667] ['1/4', '5/9', '7/4', '2', '9/4'] -> (((7/4 + (5/9 * 9/4)) * 2) / 1/4)
[23668] ['3/7', '9/4', '9/4', '7/2', '4'] -> (4 * ((3/7 * 7/2) + (9/4 + 9/4)))
[23669] ['2/7', '4/7', '7/9', '3/2', '8'] -> (8 / ((4/7 - 2/7) * 7/9) * 3/2))
[23670] ['1/9', '1/8', '4/9', '4/7', '3'] -> (3 / (4/9 - (1/8 + (1/9 / 4/7))))
[23671] ['1/6', '1/4', '5/8', '9/7', '6'] -> ((((6 / 9/7) - 5/8) / 1/6) - 1/4)
[23672] ['1/7', '2/5', '7/6', '7/3', '9'] -> ((7/6 + (1/7 * 7/3)) + (9 / 2/5))
[23673] ['2/9', '4/7', '7/8', '9/7', '5'] -> (5 / (7/8 - (2/9 + (4/7 / 9/7))))
[23674] ['8/7', '5/4', '5/4', '7/4', '4'] -> (((5/4 + 7/4) / (5/4 - 8/7)) - 4)
[23675] ['1/7', '2/5', '7/6', '5/2', '9'] -> ((2/5 + (9 / 5/2)) / (1/7 * 7/6))
[23676] ['3/8', '2/5', '3/7', '3', '7/2'] -> (((3/7 * 7/2) + (3 / 2/5)) / 3/8)
[23677] ['2/7', '4/7', '7/9', '5/3', '8'] -> (8 * ((2/7 + 4/7) + (5/3 / 7/9)))
[23678] ['1/2', '2/3', '5/7', '1', '8/5'] -> (8/5 / ((1 / 5/7) - (2/3 / 1/2)))
[23679] ['9/7', '3/2', '7/4', '9/4', '3'] -> (3/2 / (((9/4 * 7/4) / 9/7) - 3))
[23680] ['6/7', '5/4', '9/4', '9/4', '6'] -> (6 * (((9/4 + 9/4) / 6/7) - 5/4))
[23681] ['1/6', '1/4', '5/8', '9/5', '6'] -> (1/4 + ((5/8 + (6 / 9/5)) / 1/6))
[23682] ['2/7', '4/7', '7/9', '7/4', '8'] -> ((7/4 + (7/9 / 4/7)) * (8 - 2/7))
[23683] ['1/8', '2/5', '5/7', '7/9', '5'] -> ((2/5 + 5) * ((7/9 * 5/7) / 1/8))
[23684] ['1/6', '4/5', '7/6', '5/3', '4'] -> (4/5 / ((7/6 / 5/3) - (1/6 * 4)))
[23685] ['9/7', '3/2', '7/4', '8/3', '3'] -> (8/3 * (3/2 + (7/4 * (9/7 + 3))))
[23686] ['1/6', '3/7', '4/9', '5/8', '5'] -> (5 / ((1/6 / 3/7) + (4/9 - 5/8)))
[23687] ['8/7', '5/4', '5/4', '7/3', '4'] -> (4 / ((8/7 * 7/3) - (5/4 + 5/4)))
[23688] ['2/7', '4/7', '7/9', '9/5', '8'] -> (8 / ((4/7 / (2/7 * 9/5)) - 7/9))
[23689] ['9/7', '3/2', '7/4', '3', '9/2'] -> (7/4 * ((3 * 9/2) - (9/7 - 3/2)))
[23690] ['2/9', '4/7', '7/8', '7/4', '5'] -> ((4/7 * (7/8 + 7/4)) + (5 / 2/9))
[23691] ['6/7', '5/4', '7/3', '7/3', '6'] -> (6/7 / ((6 / (7/3 + 7/3)) - 5/4))
[23692] ['1/6', '3/7', '4/9', '2/3', '5'] -> (5 / ((1/6 / (3/7 * /9)) - 2/3))
[23693] ['3/7', '9/4', '8/3', '7/2', '4'] -> (7/2 * ((3/7 / 9/4) + (8/3 + 4)))
[23694] ['3/8', '2/5', '4/9', '5/9', '3'] -> (3 / ((5/9 * (2/5 / 4/9)) - 3/8))
[23695] ['1/2', '2/3', '5/7', '1', '8/3'] -> (8/3 / (1/2 - (2/3 / (5/7 + 1))))
[23696] ['1/7', '2/5', '6/5', '3/2', '9'] -> (((6/5 + (2/5 / 1/7)) * 9) / 3/2)
[23697] ['8/7', '5/4', '5/4', '8/3', '4'] -> (4 / ((5/4 + 5/4) - (8/3 / 8/7)))
[23698] ['1/6', '3/7', '4/9', '5/7', '5'] -> ((5 + (5/7 / 3/7)) / (4/9 - 1/6))
[23699] ['1/4', '5/9', '9/5', '2', '7/2'] -> (((2 * 7/2) - (5/9 * 9/5)) / 1/4)
[23700] ['3/7', '9/4', '8/3', '4', '9/2'] -> (((8/3 + (4 / 3/7)) * 9/2) / 9/4)
[23701] ['1/8', '2/5', '5/7', '7/8', '5'] -> ((5/7 + (5 * (2/5 / 7/8))) / 1/8)
[23702] ['2/7', '4/7', '4/5', '6/7', '8'] -> ((8 - (4/5 * (4/7 + 6/7))) / 2/7)
[23703] ['8/7', '5/4', '5/4', '7/2', '4'] -> (7/2 * (4 + (8/7 * (5/4 + 5/4))))
[23704] ['1/7', '2/5', '6/5', '5/3', '9'] -> ((5/3 * 9) * ((2/5 / 1/7) - 6/5))
[23705] ['1/2', '2/3', '3/4', '4/5', '1'] -> (1 / (1/2 * (2/3 / 4/5)) - 3/4))
[23706] ['1/3', '7/8', '7/6', '9/5', '4'] -> (9/5 * ((7/6 / 7/8) + (4 / 1/3)))
[23707] ['2/7', '4/7', '4/5', '7/8', '8'] -> ((((8 / 7/8) - 4/7) * 4/5) / 2/7)
[23708] ['1/9', '1/8', '4/9', '7/4', '3'] -> (3 / (4/9 - (1/8 + (1/9 * 7/4))))
[23709] ['9/7', '3/2', '9/5', '3', '7/2'] -> (9/5 * ((7/2 / (3/2 - 9/7)) - 3))
[23710] ['1/6', '3/7', '4/9', '4/5', '5'] -> (4/5 / (3/7 * (1/6 - (4/9 / 5))))
[23711] ['1/8', '2/5', '5/7', '7/6', '5'] -> (5 / ((7/6 * (2/5 * 5/7)) - 1/8))
[23712] ['1/2', '2/3', '3/4', '1', '9/8'] -> (1 / (9/8 - (3/4 + (1/2 * 2/3))))
[23713] ['3/8', '2/5', '4/9', '5/7', '3'] -> (3/8 + (3 / (5/7 * (2/5 * 4/9))))
[23714] ['6/7', '5/4', '8/3', '7/2', '6'] -> (5/4 + ((7/2 + (8/3 * 6)) / 6/7))
[23715] ['1/6', '1/4', '5/7', '7/9', '6'] -> (6 / (5/7 - (1/4 + (1/6 / 7/9))))
[23716] ['1/4', '5/9', '2', '9/4', '7/2'] -> ((7/2 + (9/4 * (5/9 * 2))) / 1/4)
[23717] ['9/7', '3/2', '9/5', '3', '9/2'] -> ((9/5 + 3) * (3/2 + (9/2 / 9/7)))
[23718] ['1/6', '3/7', '4/9', '5/6', '5'] -> (((5 / 3/7) - (1/6 + 5/6)) / 4/9)
[23719] ['1/8', '2/5', '5/7', '6/5', '5'] -> (((5 + (2/5 - 6/5)) * 5/7) / 1/8)
[23720] ['2/9', '4/7', '8/9', '9/8', '5'] -> (5 / ((8/9 / 4/7) - (2/9 + 9/8)))
[23721] ['1/9', '1/8', '1/2', '4/7', '3'] -> (3 * (1/8 + (1/2 / (1/9 * 4/7))))
[23722] ['3/7', '5/2', '5/2', '5/2', '4'] -> (4 / (5/2 - (5/2 / (3/7 * 5/2))))
[23723] ['3/8', '2/5', '4/9', '3/4', '3'] -> ((3/4 / (2/5 * (4/9 - 3/8))) - 3)
[23724] ['1/2', '2/3', '3/4', '1', '7/6'] -> (2/3 / ((7/6 / (1/2 + 1)) - 3/4))
[23725] ['9/7', '3/2', '9/4', '7/3', '3'] -> (3/2 + ((9/7 + 3) * (9/4 * 7/3)))
[23726] ['1/6', '3/7', '4/9', '6/7', '5'] -> ((6/7 / (4/9 - 3/7)) - (5 / 1/6))
[23727] ['3/7', '5/2', '5/2', '8/3', '4'] -> (4 * ((5/2 / 3/7) - (5/2 - 8/3)))
[23728] ['1/4', '5/9', '2', '7/3', '7/2'] -> (7/3 / (7/2 * (5/9 / 2)) - 1/4))
[23729] ['8/7', '5/4', '9/7', '7/4', '4'] -> (8/7 / ((4 / (5/4 + 7/4)) - 9/7))
[23730] ['1/6', '4/5', '6/5', '9/4', '4'] -> (4/5 / (1/6 - (6/5 / (9/4 * )))
)[23731] ['2/9', '4/7', '8/9', '7/6', '5'] -> (7/6 * (4/7 + ((5 * 8/9) / 2/9)))
[23732] ['3/7', '5/2', '8/3', '8/3', '4'] -> (4 / (5/2 - (8/3 / (3/7 * 8/3))))
[23733] ['1/7', '2/5', '5/4', '7/5', '9'] -> (5/4 * ((2/5 + 9) + (7/5 / 1/7)))
[23734] ['9/7', '3/2', '5/2', '5/2', '3'] -> ((3/2 + 5/2) / (5/2 - (3 / 9/7)))
[23735] ['6/7', '9/7', '9/7', '7/4', '6'] -> (6 / (7/4 * (9/7 / 9/7)) - 6/7))
[23736] ['1/2', '2/3', '3/4', '1', '8/5'] -> (1 / ((2/3 / 8/5) - (1/2 * 3/4)))
[23737] ['8/7', '5/4', '9/7', '9/4', '4'] -> ((9/4 + (9/7 / 4)) / (5/4 - 8/7))
[23738] ['3/8', '2/5', '4/9', '7/8', '3'] -> (((7/8 / (4/9 - 3/8)) - 3) / 2/5)
[23739] ['1/7', '2/5', '5/4', '3/2', '9'] -> (((9 * 2/5) / 1/7) - (3/2 / 5/4))
[23740] ['3/7', '5/2', '8/3', '7/2', '4'] -> (7/2 * (4 + (8/3 * (3/7 * 5/2))))
[23741] ['3/8', '2/5', '4/9', '8/9', '3'] -> (8/9 / (3 - (4/9 / (3/8 * 2/5))))
[23742] ['1/9', '1/8', '1/2', '8/7', '3'] -> ((3 / (1/9 * 8/7)) - (1/8 - 1/2))
[23743] ['2/7', '4/7', '4/5', '9/4', '8'] -> (2/7 + (8 * (9/4 + (4/7 / 4/5))))
[23744] ['3/7', '5/2', '7/2', '7/2', '4'] -> (4 / (5/2 - (7/2 / (3/7 * 7/2))))
[23745] ['1/2', '2/3', '3/4', '1', '9/5'] -> (2/3 / ((1/2 / 9/5) + (3/4 - 1)))
[23746] ['1/8', '2/5', '5/7', '7/4', '5'] -> (((7/4 * 2/5) / 1/8) * (5 - 5/7))
