[275787] ['1/8', '8/9', '3/2', '2', '7/2'] -> (((3/2 * 7/2) - (2 / 8/9)) / 1/8)
[276768] ['1/6', '1/3', '3/5', '7/8', '3'] -> (1/3 / ((7/8 / 3) - (1/6 / 3/5)))
[276769] ['3/7', '7/6', '3/2', '9/5', '8'] -> (8 / ((3/2 / 9/5) - (3/7 * 7/6)))
[276770] ['1/2', '6/7', '7/5', '7/3', '7'] -> ((6/7 * (1/2 + 7)) * (7/5 + 7/3))
[276771] ['1/9', '1/4', '2/5', '8/9', '1'] -> ((8/9 / (1/9 * 2/5)) + (1 / 1/4))
[276772] ['1/8', '8/7', '5/3', '2', '9/4'] -> ((2 / (1/8 * 8/7)) / (9/4 - 5/3))
[276773] ['2/7', '8/7', '5/3', '3', '7/2'] -> (8/7 * (7/2 + (3 / (2/7 / 5/3))))
[276774] ['1/9', '2/7', '6/5', '5/4', '8'] -> (((5/4 * 8) / (1/9 + 2/7)) - 6/5)
[276775] ['1/2', '6/7', '7/5', '8/3', '7'] -> ((6/7 * 7/5) * (8/3 * (1/2 + 7)))
[276776] ['1/9', '5/9', '5/8', '9/8', '6'] -> (6 / (1/9 * (9/8 + (5/8 / 5/9))))
[276777] ['2/7', '2/5', '7/6', '5/4', '9'] -> (((9 / 5/4) - (2/5 / 7/6)) / 2/7)
[276778] ['2/9', '4/9', '5/8', '7/5', '2'] -> (2 / (5/8 * (4/9 - (2/9 * 7/5))))
[276779] ['1/9', '7/5', '2', '7/3', '9/2'] -> ((2 * 9/2) + (7/3 / (1/9 * 7/5)))
[276780] ['1/6', '1/3', '3/5', '9/7', '3'] -> ((9/7 + 3) / (1/6 / (1/3 + 3/5)))
[276781] ['2/7', '1/3', '5/8', '1', '9/5'] -> (1 / ((1/3 / 2/7) - (5/8 * 9/5)))
[276782] ['3/7', '7/6', '8/5', '9/5', '8'] -> (8 / ((8/5 / (7/6 * 9/5)) - 3/7))
[276783] ['1/9', '2/7', '6/5', '4/3', '8'] -> (((8 - (4/3 / 6/5)) / 2/7) - 1/9)
[276784] ['1/8', '8/7', '5/3', '2', '7/2'] -> (2 / (1/8 * (8/7 - (5/3 / 7/2))))
[276785] ['2/7', '1/3', '5/8', '1', '9/4'] -> ((9/4 / (2/7 * 1/3)) - (5/8 - 1))
[276786] ['1/2', '6/7', '3/2', '9/5', '7'] -> (((7 / 6/7) - 3/2) / (1/2 / 9/5))
[276787] ['2/9', '4/9', '5/8', '7/4', '2'] -> (2 / ((2/9 * (5/8 + 7/4)) - 4/9))
[276788] ['1/4', '2/7', '5/8', '5/6', '6'] -> ((5/8 / (1/4 * 5/6)) + (6 / 2/7))
[276789] ['1/6', '1/3', '3/5', '7/4', '3'] -> ((1/3 / 1/6) / (3 - (7/4 / 3/5)))
[276790] ['1/9', '1/4', '2/5', '1', '5/4'] -> ((1/4 + 5/4) + (1 / (1/9 * 2/5)))
[276791] ['3/7', '7/6', '8/5', '9/4', '8'] -> (8/5 * ((8 / (7/6 / 9/4)) - 3/7))
[276792] ['1/9', '2/7', '6/5', '7/5', '8'] -> ((8 / (1/9 / 2/7)) / (6/5 / 7/5))
[276793] ['5/8', '8/9', '1', '7/4', '5/2'] -> (1 / ((8/9 * (5/2 - 7/4)) - 5/8))
[276794] ['1/6', '1/3', '3/5', '9/4', '3'] -> (3 / (9/4 * (1/3 - (1/6 / 3/5))))
[276795] ['1/4', '2/7', '5/8', '6/7', '6'] -> ((6 + (6/7 / 2/7)) / (5/8 - 1/4))
[276796] ['2/7', '1/3', '5/8', '1', '5/2'] -> ((5/2 / 5/8) / ((1/3 / 2/7) - 1))
[276797] ['1/9', '5/9', '5/8', '4/3', '6'] -> ((4/3 - (5/9 / 5/8)) / (1/9 / 6))
[276798] ['1/9', '2/7', '6/5', '3/2', '8'] -> ((8 / ((2/7 * 3/2) - 1/9)) - 6/5)
[276799] ['3/7', '7/6', '8/5', '7/3', '8'] -> ((8/5 * 7/3) * ((8 / 7/6) - 3/7))
[276800] ['2/5', '5/7', '7/4', '7/2', '9'] -> (9 / (7/2 - (7/4 / (2/5 / 5/7))))
[276801] ['1/9', '2/7', '6/5', '8/5', '8'] -> ((8 + (8/5 / 6/5)) / (1/9 / 2/7))
[276802] ['1/4', '2/7', '5/8', '8/9', '6'] -> ((6 / (2/7 * 8/9)) - (1/4 - 5/8))
[276803] ['2/7', '1/3', '5/8', '1', '9/2'] -> ((9/2 + (1 / (2/7 * 1/3))) / 5/8)
[276804] ['1/6', '1/3', '5/8', '5/7', '3'] -> (3 / (((1/3 * 5/8) / 5/7) - 1/6))
[276805] ['1/9', '2/7', '6/5', '5/3', '8'] -> (8 * ((5/3 / (1/9 + 2/7)) - 6/5))
[276806] ['1/2', '6/7', '8/5', '7/4', '7'] -> ((8/5 / (1/2 / 6/7)) * (7/4 + 7))
[276807] ['1/8', '8/7', '9/5', '9/5', '2'] -> (9/5 / ((1/8 - 9/5) + (2 / 8/7)))
[276808] ['2/7', '2/5', '7/6', '5/2', '9'] -> ((9 - (2/5 * 5/2)) / (2/7 * 7/6))
[276809] ['1/6', '1/3', '5/8', '6/7', '3'] -> (1/3 / ((5/8 / 3) - (1/6 / 6/7)))
[276810] ['4/9', '8/7', '7/4', '2', '7/3'] -> ((7/3 / (4/9 / 8/7)) / (2 - 7/4))
[276811] ['1/8', '8/7', '9/5', '2', '9/4'] -> (((2 / 8/7) + (9/4 / 9/5)) / 1/8)
[276812] ['3/7', '7/6', '5/3', '5/3', '8'] -> (((5/3 + (7/6 * 8)) / 3/7) - 5/3)
[276813] ['2/7', '8/7', '9/5', '3', '7/2'] -> ((9/5 + 3) * (7/2 * (2/7 + 8/7)))
[276814] ['1/2', '6/7', '8/5', '9/4', '7'] -> ((9/4 - (6/7 / 8/5)) / (1/2 / 7))
[276815] ['1/9', '3/2', '3/2', '8/5', '2'] -> (8/5 * ((2 / 1/9) - (3/2 + 3/2)))
[276816] ['2/7', '2/5', '7/6', '9/2', '9'] -> ((9/2 * (2/7 * 7/6)) + (9 / 2/5))
[276817] ['2/9', '4/9', '2/3', '6/7', '2'] -> (2 / (2/3 - ((2/9 / 4/9) / 6/7)))
[276818] ['1/8', '8/7', '9/5', '2', '7/3'] -> (9/5 * ((2 / 1/8) - (8/7 * 7/3)))
[276819] ['1/2', '6/7', '8/5', '7/3', '7'] -> ((6/7 * 8/5) * (7/3 * (1/2 + 7)))
[276820] ['2/7', '1/3', '2/3', '6/7', '1'] -> ((1 + (6/7 / 2/3)) / (2/7 * 1/3))
[276821] ['4/9', '8/7', '7/4', '2', '7/2'] -> ((7/4 + 7/2) * (2 + (8/7 / 4/9)))
[276822] ['1/4', '2/7', '5/8', '4/3', '6'] -> ((6 * ((4/3 / 2/7) - 5/8)) - 1/4)
[276823] ['2/7', '2/5', '6/5', '6/5', '9'] -> (((6/5 - 2/5) / (2/7 / 9)) - 6/5)
[276824] ['1/6', '1/3', '5/8', '6/5', '3'] -> ((3 / (1/3 - 1/6)) / (5/8 * 6/5))
[276825] ['5/8', '8/9', '1', '9/5', '8/3'] -> ((8/3 / 8/9) / ((5/8 * 9/5) - 1))
[276826] ['1/2', '6/7', '8/5', '5/2', '7'] -> ((8/5 * 7) * (5/2 + (1/2 - 6/7)))
[276827] ['1/9', '2/7', '6/5', '5/2', '8'] -> ((1/9 + (6/5 * 5/2)) * (8 - 2/7))
[276828] ['2/7', '1/3', '2/3', '8/9', '1'] -> ((1/3 + (2/3 / 2/7)) / (1 - 8/9))
[276829] ['1/9', '1/4', '3/7', '4/9', '1'] -> (((1/9 / (4/9 - 3/7)) - 1) / 1/4)
[276830] ['1/6', '1/3', '5/8', '9/7', '3'] -> (1/3 / ((1/6 * 3) - (5/8 / 9/7)))
[276831] ['2/7', '8/7', '9/4', '8/3', '3'] -> ((8/3 + (8/7 / 3)) / (2/7 / 9/4))
[276832] ['1/9', '5/9', '2/3', '9/7', '6'] -> (2/3 + (6 / (9/7 * (1/9 / 5/9))))
[276833] ['1/9', '3/2', '8/5', '5/3', '2'] -> (((5/3 / (2 - 8/5)) - 3/2) / 1/9)
[276834] ['1/4', '2/7', '5/8', '8/5', '6'] -> (8/5 + ((6 + (1/4 / 5/8)) / 2/7))
[276835] ['2/7', '1/3', '2/3', '1', '9/8'] -> (1 / (((2/3 - 1/3) / 2/7) - 9/8))
[276836] ['1/9', '1/4', '3/7', '1/2', '1'] -> ((1 / (1/4 * 3/7)) / (1/2 - 1/9))
[276837] ['3/7', '7/6', '7/4', '7/3', '8'] -> (8 / ((3/7 * 7/3) - (7/6 / 7/4)))
[276838] ['1/9', '5/9', '2/3', '7/5', '6'] -> ((2/3 + 6) * ((5/9 / 1/9) - 7/5))
[276839] ['1/9', '2/7', '6/5', '7/2', '8'] -> ((8 / (2/7 + (1/9 / 7/2))) - 6/5)
[276840] ['2/7', '8/7', '9/4', '3', '7/2'] -> ((3 * 7/2) * ((8/7 * 9/4) - 2/7))
[276841] ['1/9', '1/4', '3/7', '5/9', '1'] -> ((3/7 / (1/9 * 1/4)) * (5/9 + 1))
[276842] ['2/5', '5/7', '9/4', '7/3', '9'] -> (9/4 * ((2/5 - 7/3) + (9 / 5/7)))
[276843] ['1/2', '6/7', '5/3', '7/4', '7'] -> (7 * (1/2 + (6/7 * (5/3 + 7/4))))
[276844] ['1/9', '3/2', '8/5', '7/4', '2'] -> (8/5 * ((7/4 / 1/9) - (3/2 / 2)))
[276845] ['2/7', '1/3', '2/3', '1', '6/5'] -> (2/3 / (1 - (1/3 / (2/7 * 6/5))))
[276846] ['2/7', '2/5', '6/5', '5/3', '9'] -> (((6/5 / 2/7) + (9 / 5/3)) / 2/5)
[276847] ['3/7', '7/6', '7/4', '7/2', '8'] -> (8 * ((3/7 * 7/2) + (7/4 / 7/6)))
[276848] ['5/8', '8/9', '1', '9/4', '7/2'] -> (1 / ((7/2 / 9/4) - (5/8 + 8/9)))
[276849] ['4/9', '8/7', '9/5', '2', '8/3'] -> ((8/7 + 8/3) * (9/5 + (2 / 4/9)))
[276850] ['2/7', '8/7', '7/3', '5/2', '3'] -> (8/7 / ((2/7 * 5/2) + (7/3 - 3)))
[276851] ['1/4', '2/7', '5/8', '9/4', '6'] -> ((1/4 * 6) / (9/4 - (5/8 / 2/7)))
[276852] ['1/9', '3/2', '8/5', '2', '7/3'] -> ((2 / (1/9 / 8/5)) * (7/3 - 3/2))
[276853] ['1/2', '6/7', '5/3', '5/2', '7'] -> (7 * ((6/7 * 5/3) - (1/2 - 5/2)))
[276854] ['3/7', '7/6', '9/5', '9/5', '8'] -> ((7/6 * 8) * (9/5 + (3/7 * 9/5)))
[276855] ['5/8', '8/9', '1', '9/4', '9/2'] -> ((9/2 * (8/9 * 9/4)) / (1 - 5/8))
[276856] ['1/9', '1/4', '3/7', '5/8', '1'] -> ((1 / (1/9 * 3/7)) / (1/4 + 5/8))
[276857] ['1/8', '8/7', '2', '9/4', '9/2'] -> (((9/2 / (2 - 8/7)) - 9/4) / 1/8)
[276858] ['1/4', '2/7', '5/8', '8/3', '6'] -> ((5/8 + (1/4 / 2/7)) * (8/3 * 6))
[276859] ['1/6', '1/3', '2/3', '7/5', '3'] -> (((7/5 * (1/3 + 3)) - 2/3) / 1/6)
[276860] ['2/7', '2/5', '6/5', '5/2', '9'] -> ((9 / 2/7) - (5/2 / (2/5 / 6/5)))
[276861] ['5/8', '8/9', '1', '7/3', '8/3'] -> (1 / ((8/3 / 8/9) - (5/8 + 7/3)))
[276862] ['2/5', '5/7', '7/3', '7/3', '9'] -> (7/3 + (7/3 * (9 + (2/5 * 5/7))))
[276863] ['1/9', '1/4', '3/7', '4/5', '1'] -> (((1 / (3/7 * 4/5)) - 1/4) / 1/9)
[276864] ['1/2', '6/7', '7/4', '9/5', '7'] -> ((7/4 + 7) * ((9/5 / 1/2) - 6/7))
[276865] ['2/9', '4/9', '5/7', '7/8', '2'] -> ((2 / 7/8) / ((4/9 * 5/7) - 2/9))
[276866] ['1/9', '2/7', '5/4', '5/3', '8'] -> ((8 + (5/3 / 5/4)) / (1/9 / 2/7))
[276867] ['1/8', '8/7', '2', '7/3', '9/2'] -> (((8/7 * 7/3) - 2) / (1/8 / 9/2))
[276868] ['1/9', '1/4', '3/7', '5/6', '1'] -> ((1 / 3/7) / ((1/4 * 5/6) - 1/9))
[276869] ['1/6', '1/3', '5/7', '5/6', '3'] -> (3 + (5/6 / (5/7 * (1/6 * 1/3))))
[276870] ['2/7', '2/5', '6/5', '7/2', '9'] -> ((9 - (2/7 * 7/2)) / (2/5 / 6/5))
[276871] ['1/9', '3/2', '7/4', '9/5', '2'] -> (((7/4 * 2) - (3/2 / 9/5)) / 1/9)
[276872] ['1/9', '2/7', '5/4', '7/4', '8'] -> ((7/4 + (1/9 + 5/4)) * (8 - 2/7))
[276873] ['2/5', '5/7', '7/3', '7/2', '9'] -> ((5/7 * 9) * (7/3 + (2/5 * 7/2)))
[276874] ['1/8', '8/7', '2', '5/2', '5/2'] -> (8/7 * ((2 / 1/8) + (5/2 + 5/2)))
[276875] ['2/7', '2/5', '5/4', '5/4', '9'] -> (((9 - 5/4) / 2/7) - (5/4 / 2/5))
[276876] ['2/7', '7/6', '7/6', '4/3', '3'] -> (4/3 / ((7/6 / 3) - (2/7 * 7/6)))
[276877] ['1/2', '6/7', '9/5', '7/3', '7'] -> ((9/5 * 7) * (7/3 - (1/2 * 6/7)))
[276878] ['4/9', '8/7', '2', '7/3', '8/3'] -> ((8/3 + (8/7 * 7/3)) / (4/9 / 2))
[276879] ['1/9', '1/4', '3/7', '1', '8/7'] -> (((3/7 / 1/9) + (1 + 8/7)) / 1/4)
[276880] ['2/9', '4/9', '5/7', '7/6', '2'] -> (((5/7 * 7/6) + (2 / 4/9)) / 2/9)
[276881] ['3/7', '6/5', '6/5', '6/5', '8'] -> (((6/5 + (6/5 * 8)) / 3/7) - 6/5)
[276882] ['2/7', '2/5', '5/4', '4/3', '9'] -> (((2/5 * 5/4) + (9 / 2/7)) / 4/3)
[276883] ['1/6', '1/3', '5/7', '6/5', '3'] -> ((3 / (5/7 * (1/3 - 1/6))) - 6/5)
[276884] ['2/7', '7/6', '7/6', '3/2', '3'] -> ((7/6 + 3/2) * (3 / (2/7 * 7/6)))
[276885] ['1/9', '1/4', '3/7', '1', '7/6'] -> ((1 - 3/7) * (7/6 / (1/9 * 1/4)))
[276886] ['4/9', '8/7', '2', '7/3', '7/2'] -> ((7/3 + (2 * 7/2)) / (4/9 / 8/7))
[276887] ['2/9', '4/9', '5/7', '6/5', '2'] -> ((6/5 + 2) / (4/9 - (2/9 / 5/7)))
[276888] ['1/9', '3/2', '9/5', '2', '7/3'] -> (((2 / 9/5) + (7/3 / 3/2)) / 1/9)
[276889] ['1/8', '8/7', '2', '8/3', '7/2'] -> ((2 / 8/3) * (7/2 / (1/8 / 8/7)))
[276890] ['2/7', '7/6', '7/6', '8/5', '3'] -> (3 / (2/7 * (7/6 - (7/6 / 8/5))))
[276891] ['4/9', '8/7', '2', '7/3', '9/2'] -> ((8/7 * 7/3) * (9/2 + (2 / 4/9)))
[276892] ['5/8', '8/9', '1', '8/3', '7/2'] -> (((8/3 * 7/2) / (1 - 5/8)) - 8/9)
[276893] ['1/9', '1/4', '3/7', '1', '6/5'] -> ((1 / 3/7) / ((1/4 / 6/5) - 1/9))
[276894] ['1/6', '1/3', '5/7', '5/4', '3'] -> (3 / (5/4 * (1/3 - (1/6 / 5/7))))
[276895] ['1/2', '6/7', '9/5', '9/2', '7'] -> (1/2 + (7 * (6/7 + (9/2 / 9/5))))
[276896] ['4/9', '8/7', '2', '5/2', '8/3'] -> (8/3 / (5/2 - (2 + (4/9 / 8/7))))
[276897] ['1/9', '1/4', '3/7', '1', '7/5'] -> (((1 / (1/9 * 7/5)) - 3/7) / 1/4)
[276898] ['1/9', '2/7', '5/4', '9/2', '8'] -> (8 * (5/4 + (9/2 * (1/9 / 2/7))))
[276899] ['1/8', '7/6', '7/6', '7/6', '2'] -> ((7/6 + (7/6 * 2)) / (1/8 * 7/6))
[276900] ['1/2', '6/7', '9/4', '5/2', '7'] -> ((6/7 * 7) / ((1/2 + 9/4) - 5/2))
[276901] ['5/8', '8/9', '1', '9/2', '9/2'] -> (9/2 / ((9/2 * (8/9 - 5/8)) - 1))
[276902] ['1/9', '5/9', '5/7', '8/5', '6'] -> ((8/5 * 6) / (5/9 - (1/9 / 5/7)))
[276903] ['1/6', '1/3', '5/7', '9/5', '3'] -> ((9/5 - (1/3 / 5/7)) / (1/6 / 3))
[276904] ['2/5', '3/4', '3/4', '3/4', '9'] -> (9 / ((3/4 / 2/5) - (3/4 + 3/4)))
[276905] ['1/8', '7/6', '7/6', '6/5', '2'] -> (2 / ((6/5 * (7/6 - 1/8)) - 7/6))
[276906] ['2/9', '4/9', '5/7', '8/5', '2'] -> ((8/5 * 2) / (4/9 - (2/9 / 5/7)))
[276907] ['4/9', '8/7', '2', '8/3', '8/3'] -> (8/3 / ((4/9 + 2) - (8/3 / 8/7)))
[276908] ['3/7', '6/5', '6/5', '9/4', '8'] -> (6/5 / (((6/5 + 9/4) / 3/7) - 8))
[276909] ['1/9', '5/9', '5/7', '5/3', '6'] -> (((5/3 / 5/7) - 1/9) / (5/9 / 6))
[276910] ['2/7', '7/6', '7/6', '7/3', '3'] -> ((7/6 + (7/3 / 2/7)) / (7/6 / 3))
[276911] ['1/8', '7/6', '7/6', '5/4', '2'] -> (((7/6 + 5/4) + (7/6 / 2)) / 1/8)
[276912] ['1/9', '8/5', '8/5', '8/5', '2'] -> ((2 * ((8/5 / 1/9) - 8/5)) - 8/5)
[276913] ['1/4', '2/7', '5/7', '8/9', '6'] -> ((6 + (8/9 * (1/4 + 5/7))) / 2/7)
[276914] ['1/9', '1/4', '3/7', '1', '7/4'] -> ((1 + (1/4 / 7/4)) / (1/9 * 3/7))
[276915] ['2/7', '1/3', '5/7', '1', '5/4'] -> (2/7 / (5/4 - (1 + (1/3 * 5/7))))
[276916] ['1/9', '5/9', '5/7', '7/4', '6'] -> ((6 / (1/9 / 5/9)) / (5/7 * 7/4))
[276917] ['1/6', '1/3', '5/7', '8/3', '3'] -> (((8/3 / (5/7 - 1/3)) - 3) / 1/6)
[276918] ['4/9', '8/7', '2', '8/3', '9/2'] -> ((8/7 * 2) * (9/2 + (8/3 / 4/9)))
[276919] ['2/9', '4/9', '5/7', '7/4', '2'] -> (2 / (7/4 * (5/7 - (2/9 + 4/9))))
[276920] ['1/4', '2/7', '5/7', '9/8', '6'] -> ((6 + ((1/4 + 5/7) / 9/8)) / 2/7)
[276921] ['1/2', '6/7', '8/3', '8/3', '7'] -> ((6/7 * 7) * (8/3 + (1/2 * 8/3)))
[276922] ['1/9', '8/5', '8/5', '9/5', '2'] -> ((8/5 + (8/5 * 2)) / (1/9 * 9/5))
[276923] ['1/8', '7/6', '7/6', '7/5', '2'] -> (((7/6 / (7/5 - 7/6)) - 2) / 1/8)
[276924] ['1/9', '5/9', '5/7', '9/5', '6'] -> ((5/7 + (5/9 / 1/9)) * (6 - 9/5))
[276925] ['4/9', '8/7', '2', '7/2', '7/2'] -> (7/2 * ((2 / 4/9) - (8/7 - 7/2)))
[276926] ['2/5', '3/4', '3/4', '8/7', '9'] -> (8/7 * ((9 / 2/5) - (3/4 + 3/4)))
[276927] ['1/2', '7/8', '7/8', '7/8', '7'] -> ((7/8 + 7) / (7/8 * (7/8 - 1/2)))
[276928] ['2/7', '2/5', '9/7', '7/5', '9'] -> (((9 - (2/7 - 7/5)) / 2/5) - 9/7)
[276929] ['1/9', '1/4', '3/7', '1', '8/3'] -> ((1/9 - 1) + (8/3 / (1/4 * 3/7)))
[276930] ['1/2', '7/8', '7/8', '8/9', '7'] -> ((7 / (7/8 - 1/2)) / (7/8 * 8/9))
[276931] ['1/9', '2/7', '4/3', '7/5', '8'] -> ((7/5 / (1/9 / 2/7)) * (8 - 4/3))
[276932] ['2/7', '1/3', '5/7', '1', '9/5'] -> ((1 + (5/7 * 9/5)) / (2/7 * 1/3))
[276933] ['1/8', '7/6', '7/6', '2', '9/4'] -> (((9/4 + (7/6 / 7/6)) / 1/8) - 2)
[276934] ['2/5', '3/4', '3/4', '9/7', '9'] -> ((9 / (3/4 - 2/5)) - (9/7 / 3/4))
[276935] ['1/9', '1/4', '3/7', '1', '7/2'] -> ((1 / (1/9 * 1/4)) / (3/7 * 7/2))
[276936] ['2/7', '7/6', '6/5', '4/3', '3'] -> ((3 / ((2/7 + 7/6) - 4/3)) - 6/5)
[276937] ['1/4', '2/7', '5/7', '9/4', '6'] -> ((9/4 / 1/4) + (6 / (2/7 / 5/7)))
[276938] ['3/7', '6/5', '5/4', '7/5', '8'] -> ((6/5 / 3/7) + (8 * (5/4 + 7/5)))
[276939] ['1/6', '1/3', '3/4', '8/5', '3'] -> ((1/3 + 3) * (8/5 / (1/6 / 3/4)))
[276940] ['1/9', '8/5', '8/5', '2', '9/2'] -> (8/5 / (((8/5 / 2) / 9/2) - 1/9))
[276941] ['2/7', '1/3', '5/7', '1', '9/4'] -> (2/7 / (1 - (1/3 * (5/7 + 9/4))))
[276942] ['5/8', '1', '9/8', '9/8', '7/3'] -> (1 / ((7/3 * (9/8 - 5/8)) - 9/8))
[276943] ['1/9', '1/4', '3/7', '1', '9/2'] -> ((1 / 9/2) / ((1/9 / 3/7) - 1/4))
[276944] ['1/2', '7/8', '7/8', '9/7', '7'] -> ((7 / (9/7 - (7/8 / 7/8))) - 1/2)
[276945] ['5/8', '1', '9/8', '9/8', '8/3'] -> (9/8 / ((5/8 - 1) + (9/8 / 8/3)))
[276946] ['2/7', '2/5', '9/7', '9/5', '9'] -> (((9 + (9/7 / 9/5)) / 2/5) - 2/7)
[276947] ['2/7', '1/3', '5/7', '1', '7/3'] -> ((5/7 + (1 / 7/3)) / (1/3 - 2/7))
[276948] ['2/7', '2/5', '9/7', '9/4', '9'] -> (9 / (9/4 - (9/7 / (2/7 + 2/5))))
[276949] ['2/7', '7/6', '6/5', '8/5', '3'] -> (8/5 / ((6/5 / 3) - (2/7 * 7/6)))
[276950] ['4/9', '7/6', '7/6', '4/3', '2'] -> (4/3 / (((7/6 / 7/6) / 2) - 4/9))
[276951] ['3/7', '6/5', '5/4', '5/3', '8'] -> (6/5 * ((5/3 / 5/4) + (8 / 3/7)))
[276952] ['2/9', '4/9', '3/4', '4/5', '2'] -> (2 / (((2/9 + 4/9) / 4/5) - 3/4))
[276953] ['2/7', '2/5', '9/7', '7/3', '9'] -> ((9 / 2/7) - (7/3 / (2/5 / 9/7)))
[276954] ['1/9', '2/7', '4/3', '5/2', '8'] -> ((5/2 - 4/3) * (8 / (1/9 / 2/7)))
[276955] ['1/6', '1/3', '7/9', '7/8', '3'] -> (3 / (((7/8 - 7/9) / 1/3) - 1/6))
[276956] ['2/9', '4/9', '3/4', '5/6', '2'] -> (2/9 / (3/4 - (2 * (4/9 * 5/6))))
[276957] ['1/9', '5/9', '3/4', '7/6', '6'] -> (6 / ((1/9 + 5/9) + (3/4 - 7/6)))
[276958] ['1/9', '1/4', '4/9', '4/5', '1'] -> ((1 + (4/9 / (1/9 * 4/5))) / 1/4)
[276959] ['1/8', '7/6', '6/5', '5/3', '2'] -> ((2 - (7/6 - 5/3)) / (1/8 / 6/5))
[276960] ['3/7', '6/5', '5/4', '9/5', '8'] -> ((6/5 / 9/5) + (8 / (3/7 / 5/4)))
[276961] ['1/4', '2/7', '3/4', '8/5', '6'] -> (8/5 * ((3/4 / (2/7 - 1/4)) - 6))
[276962] ['1/6', '1/3', '7/9', '9/8', '3'] -> (3 / ((9/8 * (1/3 * 7/9)) - 1/6))
[276963] ['1/9', '8/5', '7/4', '9/5', '2'] -> ((2 + (8/5 * 7/4)) / (1/9 * 9/5))
[276964] ['1/9', '5/9', '3/4', '6/5', '6'] -> (6 / (6/5 - (3/4 + (1/9 / 5/9))))
[276965] ['2/5', '3/4', '7/9', '6/7', '9'] -> (7/9 * (6/7 + (9 / (2/5 * 3/4))))
[276966] ['1/9', '1/4', '4/9', '7/8', '1'] -> (1 / ((7/8 * (4/9 - 1/9)) - 1/4))
[276967] ['2/9', '4/9', '3/4', '8/7', '2'] -> (8/7 * (3/4 + (2 / (2/9 * 4/9))))
[276968] ['1/9', '8/5', '7/4', '2', '9/4'] -> ((7/4 + 2) / (9/4 * (1/9 / 8/5)))
[276969] ['2/7', '2/5', '4/3', '4/3', '9'] -> (9 + ((4/3 + (4/3 / 2/7)) / 2/5))
[276970] ['1/9', '5/9', '3/4', '5/4', '6'] -> ((6 / 3/4) / ((5/9 / 5/4) - 1/9))
[276971] ['1/2', '7/8', '8/9', '9/8', '7'] -> ((9/8 + (7 / 8/9)) / (7/8 - 1/2))
[276972] ['1/6', '1/3', '7/9', '8/7', '3'] -> (((1/3 + (3 / 7/9)) / 1/6) - 8/7)
[276973] ['5/8', '1', '9/8', '8/7', '7/5'] -> (((5/8 / 7/5) / (8/7 - 9/8)) - 1)
[276974] ['2/5', '3/4', '7/9', '7/8', '9'] -> ((7/8 / (3/4 * 7/9)) + (9 / 2/5))
[276975] ['1/9', '1/4', '4/9', '1', '9/8'] -> (((4/9 / 1/4) + (1 / 9/8)) / 1/9)
[276976] ['1/9', '2/7', '7/5', '8/5', '8'] -> ((8/5 + (1/9 + 7/5)) * (8 - 2/7))
[276977] ['2/9', '4/9', '3/4', '6/5', '2'] -> (2/9 / (3/4 - (2 * (4/9 / 6/5))))
[276978] ['1/9', '5/9', '3/4', '9/7', '6'] -> ((1/9 * 6) / ((3/4 / 9/7) - 5/9))
[276979] ['1/9', '8/5', '7/4', '2', '7/3'] -> ((7/4 + (2 / 8/5)) + (7/3 / 1/9))
[276980] ['3/7', '6/5', '5/4', '8/3', '8'] -> ((6/5 * 5/4) * ((8 / 3/7) - 8/3))
[276981] ['1/4', '2/7', '3/4', '8/3', '6'] -> ((8/3 + (1/4 / 3/4)) + (6 / 2/7))
[276982] ['1/2', '7/8', '8/9', '8/7', '7'] -> ((7 / (7/8 - 1/2)) / (8/9 / 8/7))
[276983] ['4/9', '7/6', '7/6', '2', '7/3'] -> (2 / (7/3 - (7/6 / (4/9 * 7/6))))
[276984] ['1/9', '1/4', '4/9', '1', '8/7'] -> (1 / (((4/9 - 1/9) / 8/7) - 1/4))
[276985] ['2/7', '2/5', '4/3', '5/3', '9'] -> ((9 / 2/7) - ((4/3 + 5/3) / 2/5))
[276986] ['1/2', '7/8', '8/9', '6/5', '7'] -> ((7 / ((7/8 * 8/9) - 1/2)) - 6/5)
[276987] ['1/9', '2/7', '7/5', '9/5', '8'] -> (8 / (1/9 + ((2/7 * 7/5) / 9/5)))
[276988] ['5/8', '1', '9/8', '8/7', '7/4'] -> ((9/8 * 8/7) / (5/8 - (1 / 7/4)))
[276989] ['1/9', '8/5', '7/4', '2', '8/3'] -> (8/5 * ((7/4 / 1/9) - (2 / 8/3)))
[276990] ['4/9', '7/6', '7/6', '2', '7/2'] -> (7/2 / ((7/6 / (4/9 * 2)) - 7/6))
[276991] ['1/9', '1/4', '4/9', '1', '9/7'] -> (((1 / (1/4 * 9/7)) - 4/9) / 1/9)
[276992] ['1/8', '7/6', '5/4', '7/5', '2'] -> ((5/4 * 7/5) * (2 / (1/8 * 7/6)))
[276993] ['3/7', '6/5', '9/7', '3/2', '8'] -> (8 * ((3/7 + 3/2) + (9/7 / 6/5)))
[276994] ['2/7', '1/3', '3/4', '1', '5/4'] -> ((1 + ((3/4 + 5/4) / 2/7)) / 1/3)
[276995] ['2/9', '4/9', '3/4', '7/4', '2'] -> (2 / ((2/9 * 7/4) + (4/9 - 3/4)))
[276996] ['2/5', '3/4', '7/9', '7/6', '9'] -> (9 / ((3/4 / 2/5) - (7/6 / 7/9)))
