[212761] ['4/5', '8/9', '6/5', '9/7', '8'] -> 8 / (4/5 * (9/7 - 8/9)) - 6/5
[215039] ['4/5', '9/7', '5/3', '7/4', '8'] -> 5/3 * 7/4 * 8 * 4/5 * 9/7
[215040] ['1/4', '1/4', '8/7', '5/2', '3'] -> (3 - (1/4 - 5/2)) / (1/4 / 8/7)
[215041] ['1/8', '1/7', '2/3', '5/6', '9'] -> 9 / (5/6 / 2/3 - 1/8 / 1/7)
[215042] ['1/7', '2/5', '1', '4/3', '3/2'] -> 1 / 3/2 + 4/3 / (1/7 * 2/5)
[215043] ['6/7', '7/8', '9/8', '7/5', '9'] -> 7/5 * (9 * (7/8 + 9/8) - 6/7)
[215044] ['4/9', '5/8', '2/3', '1', '7/2'] -> 2/3 / (1 - 7/2 * 4/9 * 5/8)
[215045] ['1/7', '2/5', '1', '4/3', '5/3'] -> 4/3 / (1/7 * 2/5) - (1 - 5/3)
[215046] ['3/7', '4/9', '5/7', '9/2', '7'] -> 9/2 + (7 + 5/7 / 3/7) / 4/9
[215047] ['1/8', '1/7', '2/3', '8/9', '9'] -> 2/3 / (1/8 - 8/9 / (1/7 + 9))
[215048] ['2/3', '6/7', '6/7', '7/4', '6'] -> 6 / (7/4 - 6/7 / (2/3 * 6/7))
[215049] ['4/5', '9/7', '5/3', '5/2', '8'] -> 9/7 * (5/2 * 8 - 4/5 * 5/3)
[215050] ['1/7', '4/3', '8/5', '7/4', '7'] -> (7/4 - 1/7) * 7 * 4/3 * 8/5
[215051] ['6/7', '7/8', '9/8', '8/5', '9'] -> 9 / (7/8 * 8/5) / (9/8 - 6/7)
[215052] ['2/3', '5/7', '7/8', '6/5', '8'] -> 8 / (5/7 * 7/8) / (6/5 - 2/3)
[215053] ['4/9', '3/5', '6/5', '5/2', '6'] -> 6/5 * (6 / (4/9 * 3/5) - 5/2)
[215054] ['3/8', '5/7', '8/9', '9/5', '6'] -> 8/9 * 9/5 + 6 / (3/8 * 5/7)
[215055] ['1/7', '4/3', '8/5', '9/4', '7'] -> 8/5 * 7 * (9/4 - 1/7 / 4/3)
[215056] ['2/3', '5/7', '7/8', '5/4', '8'] -> 8 / (2/3 * 5/7) / (7/8 / 5/4)
[215057] ['3/7', '4/9', '3/4', '7/9', '7'] -> (7 + 3/7 * 7/9) / (3/4 - 4/9)
[215058] ['1/4', '1/4', '7/6', '8/5', '3'] -> (1/4 + 7/6 * 3) / (1/4 / 8/5)
[215059] ['1/5', '2/3', '7/9', '1', '7/2'] -> 1 / 2/3 + 7/2 / (1/5 * 7/9)
[215060] ['1/6', '5/4', '9/5', '2', '9/4'] -> (5/4 / (2 - 9/5) - 9/4) / 1/6
[215061] ['1/8', '1/7', '2/3', '5/4', '9'] -> 5/4 / (1/8 - 2/3 / (1/7 + 9))
[215062] ['2/3', '5/7', '7/8', '3/2', '8'] -> 8 / (3/2 / 7/8 - (2/3 + 5/7))
[215063] ['1/7', '4/3', '8/5', '7/2', '7'] -> 7 / (4/3 / 7/2 - 1/7 / 8/5)
[215064] ['2/3', '6/7', '7/8', '9/8', '6'] -> 6 / (2/3 * (9/8 - 6/7 * 7/8))
[215065] ['3/8', '5/7', '8/9', '5/2', '6'] -> 3/8 + 5/2 * 6 / (5/7 * 8/9)
[215066] ['6/7', '7/8', '8/7', '8/7', '9'] -> 9 * (8/7 + 8/7 / (6/7 * 7/8))
[215067] ['7/9', '6/7', '3/2', '9/5', '2'] -> 2 / (6/7 - 7/9) - 9/5 / 3/2
[215068] ['2/3', '5/7', '7/8', '8/5', '8'] -> 8 / (8/5 * 5/7 * 7/8 - 2/3)
[215069] ['4/9', '3/5', '5/4', '9/7', '6'] -> 6 / (3/5 - 4/9) / (5/4 * 9/7)
[215070] ['1/8', '1/7', '2/3', '7/5', '9'] -> (2/3 / 7/5 - 1/7) / (1/8 / 9)
[215071] ['1/6', '5/4', '9/5', '2', '8/3'] -> (8/3 * 5/4 * 9/5 - 2) / 1/6
[215072] ['2/3', '5/7', '7/8', '5/3', '8'] -> 8 / (2/3 / 7/8 - 5/7 / 5/3)
[215073] ['1/4', '1/4', '6/5', '4/3', '3'] -> 3 / (1/4 * 4/3 - 1/4 / 6/5)
[215074] ['6/7', '9/5', '9/5', '7/2', '5'] -> 7/2 * (6/7 + 5 + 9/5 / 9/5)
[215075] ['1/8', '1/7', '2/3', '3/2', '9'] -> (9 / 2/3 - 3/2 / 1/7) / 1/8
[215076] ['1/5', '2/3', '4/5', '1', '9/7'] -> 4/5 / (1/5 / (9/7 - 1) - 2/3)
[215077] ['2/3', '6/7', '7/8', '7/5', '6'] -> 6 / (6/7 * 7/5) / (7/8 - 2/3)
[215078] ['1/4', '1/4', '6/5', '7/5', '3'] -> (6/5 / 3 + 7/5 / 1/4) / 1/4
[215079] ['4/9', '3/5', '5/4', '5/3', '6'] -> 6 / ((5/3 - 5/4) / 3/5 - 4/9)
[215080] ['1/8', '1/7', '2/3', '8/5', '9'] -> 8/5 + 2/3 * 9 / (1/8 + 1/7)
[215081] ['3/7', '4/9', '3/4', '7/6', '7'] -> 7/6 * (7 / (4/9 * 3/4) - 3/7)
[215082] ['6/7', '7/8', '8/7', '8/5', '9'] -> 9 / ((6/7 + 8/7) / 8/5 - 7/8)
[215083] ['4/5', '9/7', '7/4', '7/3', '8'] -> 8 / (7/3 * (7/4 - 9/7 / 4/5))
[215084] ['1/5', '2/3', '4/5', '1', '7/5'] -> (7/5 + 4/5 + 1) / (1/5 * 2/3)
[215085] ['1/7', '2/5', '1', '7/5', '3/2'] -> 1 - 3/2 + 7/5 / (1/7 * 2/5)
[215086] ['6/7', '7/8', '8/7', '5/3', '9'] -> 9 / (5/3 * 6/7 / 8/7 - 7/8)
[215087] ['6/7', '9/5', '9/4', '5/2', '5'] -> 5/2 * 5 / (6/7 / 9/5) - 9/4
[215088] ['1/7', '4/3', '5/3', '9/2', '7'] -> (7 - 1/7) / (5/3 / (4/3 + 9/2))
[215089] ['2/3', '6/7', '7/8', '5/3', '6'] -> 6 / (5/3 - (2/3 + 6/7 * 7/8))
[215090] ['4/9', '3/5', '5/4', '9/4', '6'] -> 6 / (4/9 * 9/4 - 3/5 * 5/4)
[215091] ['2/3', '5/7', '7/8', '7/3', '8'] -> (2/3 + 7/3 * (5/7 + 8)) / 7/8
[215092] ['7/9', '6/7', '8/5', '8/5', '2'] -> 6/7 * 8/5 / (8/5 / 7/9 - 2)
[215093] ['4/5', '9/7', '7/4', '8/3', '8'] -> 8 / (4/5 * (8/3 - 9/7 * 7/4))
[215094] ['3/7', '4/9', '3/4', '5/4', '7'] -> (3/4 + 7 + 5/4 / 3/7) / 4/9
[215095] ['1/8', '1/7', '2/3', '9/5', '9'] -> 9 / 9/5 / (1/8 / 1/7 - 2/3)
[215096] ['3/8', '5/7', '9/8', '6/5', '6'] -> 9/8 * 6 / (3/8 * 5/7) - 6/5
[215097] ['1/4', '1/4', '6/5', '3', '7/2'] -> 3 / (1/4 * 6/5) + 7/2 / 1/4
[215098] ['2/3', '6/7', '7/8', '9/5', '6'] -> 6 / (2/3 - 6/7 * 7/8 / 9/5)
[215099] ['1/7', '2/5', '1', '7/5', '7/4'] -> (1 + 7/5) / (7/4 * 1/7 * 2/5)
[215100] ['4/9', '3/5', '5/4', '7/3', '6'] -> 7/3 / (4/9 - 5/4 / (3/5 * 6))
[215101] ['2/3', '5/7', '7/8', '5/2', '8'] -> 8 / (7/8 * (2/3 - 5/7 / 5/2))
[215102] ['1/5', '2/3', '4/5', '1', '7/3'] -> (2/3 + 4/5 + 1 + 7/3) / 1/5
[215103] ['4/9', '5/8', '5/7', '1', '6/5'] -> 1 / (4/9 * (5/7 - 5/8)) - 6/5
[215104] ['3/8', '5/7', '9/8', '5/4', '6'] -> 6 / (5/4 / 5/7 - (3/8 + 9/8))
[215105] ['4/9', '3/5', '5/4', '5/2', '6'] -> 6 / 5/2 / (3/5 / 4/9 - 5/4)
[215106] ['1/7', '4/3', '7/4', '9/4', '7'] -> 9/4 * (7/4 * (7 - 1/7) - 4/3)
[215107] ['1/6', '9/7', '9/7', '7/5', '2'] -> (9/7 + 9/7 + 2 / 7/5) / 1/6
[215108] ['4/5', '9/7', '9/5', '9/5', '8'] -> 9/5 * 8 / (9/5 / 9/7 - 4/5)
[215109] ['1/8', '1/7', '2/3', '8/3', '9'] -> 1/8 + (2/3 + 9 / 1/7) / 8/3
[215110] ['2/3', '6/7', '8/9', '8/7', '6'] -> (8/7 + 6) / (6/7 / 8/9 - 2/3)
[215111] ['4/9', '3/5', '5/4', '9/2', '6'] -> (9/2 + 6 / 4/9) / (3/5 * 5/4)
[215112] ['6/7', '7/8', '7/6', '6/5', '9'] -> 9 / (6/7 * (7/6 - 7/8 / 6/5))
[215113] ['1/7', '4/3', '7/4', '9/2', '7'] -> 9/2 * (4/3 / 1/7 - 7 / 7/4)
[215114] ['4/9', '5/8', '5/7', '1', '4/3'] -> 4/3 / (4/9 * (1 - 5/8 / 5/7))
[215115] ['6/7', '9/5', '7/3', '9/2', '5'] -> 7/3 * 5 * (6/7 * 9/2 - 9/5)
[215116] ['4/5', '9/7', '9/5', '5/2', '8'] -> (9/5 - (4/5 - 9/7)) * (5/2 + 8)
[215117] ['1/7', '2/5', '1', '7/5', '8/3'] -> (1 + 2/5 / 7/5) / (1/7 / 8/3)
[215118] ['2/3', '5/7', '8/9', '6/5', '8'] -> 8 * 2/3 / 5/7 / (6/5 - 8/9)
[215119] ['1/6', '9/7', '9/7', '7/4', '2'] -> 9/7 / (1/6 * 9/7) / (2 - 7/4)
[215120] ['3/8', '5/7', '9/8', '5/3', '6'] -> 6 / (9/8 - 5/3 * 3/8 / 5/7)
[215121] ['6/7', '7/8', '7/6', '7/5', '9'] -> 9 / (6/7 * 7/6 - 7/8 / 7/5)
[215122] ['4/5', '9/7', '9/5', '8/3', '8'] -> 9/7 * 8/3 * (8 + 4/5 - 9/5)
[215123] ['1/7', '2/5', '1', '7/5', '7/2'] -> (1 + 7/5) / (1/7 * 7/2 - 2/5)
[215124] ['6/7', '9/5', '5/2', '5/2', '5'] -> 5/2 * (9/5 / 6/7 + 5/2 + 5)
[215125] ['3/8', '5/7', '9/8', '9/5', '6'] -> 9/5 / 9/8 + 6 / (3/8 * 5/7)
[215126] ['2/3', '6/7', '8/9', '4/3', '6'] -> 2/3 * (4/3 / (8/9 - 6/7) - 6)
[215127] ['1/8', '1/7', '5/7', '4/5', '9'] -> 9 / (1/8 + 1/7 / 5/7 / 4/5)
[215128] ['1/6', '9/7', '9/7', '2', '5/2'] -> (2 * 5/2 - 9/7 / 9/7) / 1/6
[215129] ['3/7', '4/9', '3/4', '7/3', '7'] -> (7 + 3/7 * 7/3) / (4/9 * 3/4)
[215130] ['6/7', '7/8', '7/6', '5/3', '9'] -> 9 / (6/7 * 7/8) / (5/3 - 7/6)
[215131] ['1/5', '2/3', '5/6', '1', '4/3'] -> 4/3 / (1/5 * 5/6) / (1 - 2/3)
[215132] ['1/7', '2/5', '1', '3/2', '3/2'] -> 3/2 * (1 / (1/7 * 2/5) - 3/2)
[215133] ['1/4', '1/4', '9/7', '7/3', '3'] -> 7/3 / (1/4 / 9/7) + 3 / 1/4
[215134] ['6/7', '9/5', '5/2', '9/2', '5'] -> 6/7 * 5 * (9/5 * 9/2 - 5/2)
[215135] ['2/3', '5/7', '8/9', '7/5', '8'] -> 8 / (8/9 / 2/3 - 5/7 * 7/5)
[215136] ['4/5', '9/7', '9/5', '9/2', '8'] -> 8 * (9/2 - 9/5 / 9/7) - 4/5
[215137] ['1/8', '1/7', '5/7', '5/6', '9'] -> (9 - 5/7 / (1/7 * 5/6)) / 1/8
[215138] ['1/7', '4/3', '9/5', '5/2', '7'] -> 4/3 / (5/2 / (9/5 * 7) - 1/7)
[215139] ['3/8', '5/7', '9/8', '7/3', '6'] -> 6 / (9/8 - (5/7 + 3/8 / 7/3))
[215140] ['4/9', '3/5', '9/7', '8/5', '6'] -> 9/7 * 6 * (4/9 + 8/5 / 3/5)
[215141] ['1/7', '2/5', '1', '3/2', '8/5'] -> (8/5 / 1/7 - 1) / 2/5 - 3/2
[215142] ['6/7', '7/8', '7/6', '9/5', '9'] -> (7/6 + 9 / 6/7) / (7/8 / 9/5)
[215143] ['1/4', '1/4', '9/7', '8/3', '3'] -> 8/3 / (1/4 / 9/7 - 1/4 / 3)
[215144] ['1/7', '4/3', '9/5', '8/3', '7'] -> 8/3 / (4/3 / 7 - 1/7 / 9/5)
[215145] ['7/9', '6/7', '5/3', '7/4', '2'] -> 5/3 / 7/4 * 2 / (6/7 - 7/9)
[215146] ['2/3', '6/7', '8/9', '8/5', '6'] -> 8/5 * (2/3 / (8/9 - 6/7) - 6)
[215147] ['1/5', '2/3', '5/6', '1', '8/5'] -> 1 / (5/6 - (2/3 + 1/5 / 8/5))
[215148] ['1/8', '1/7', '5/7', '8/9', '9'] -> (8/9 * 9 - 5/7 / 1/7) / 1/8
[215149] ['4/9', '5/8', '5/7', '1', '9/5'] -> 1 / (5/8 / 5/7 / 9/5 - 4/9)
[215150] ['1/5', '2/3', '5/6', '1', '5/3'] -> (1 + 5/3) / (5/6 * 1/5 * 2/3)
[215151] ['1/7', '4/3', '9/5', '7/2', '7'] -> 4/3 / 1/7 / (7 / 9/5 - 7/2)
[215152] ['3/7', '4/9', '7/9', '5/6', '7'] -> 7 * 3/7 * 4/9 / (5/6 - 7/9)
[215153] ['1/4', '1/4', '4/3', '4/3', '3'] -> 4/3 / (1/4 + 1/4 - 4/3 / 3)
[215154] ['3/8', '5/7', '9/8', '9/2', '6'] -> (9/2 + 6) * (9/8 / 3/8 - 5/7)
[215155] ['7/9', '6/7', '5/3', '2', '9/4'] -> 2 / (7/9 * 6/7 + 5/3 - 9/4)
[215156] ['2/3', '5/7', '8/9', '9/5', '8'] -> 8 / (5/7 * (9/5 - 8/9 / 2/3))
[215157] ['6/7', '7/8', '7/6', '9/2', '9'] -> 9/2 / (7/8 - 6/7) / (7/6 * 9)
[215158] ['4/9', '3/5', '9/7', '9/5', '6'] -> 6 / (4/9 - 3/5 / (9/7 + 9/5))
[215159] ['3/8', '5/7', '8/7', '7/6', '6'] -> (8/7 + 7/6 * 6) / (5/7 - 3/8)
[215160] ['4/9', '5/8', '5/7', '1', '7/3'] -> 5/7 * 7/3 / (4/9 + 5/8 - 1)
[215161] ['1/6', '9/7', '4/3', '2', '9/4'] -> 9/4 * (4/3 + 2 / (1/6 * 9/7))
[215162] ['2/3', '5/7', '8/9', '9/4', '8'] -> 9/4 * (8/9 / (5/7 - 2/3) - 8)
[215163] ['4/5', '9/7', '9/4', '7/2', '8'] -> 4/5 * 7/2 * (8 + 9/7 / 9/4)
[215164] ['6/7', '9/4', '9/4', '9/4', '5'] -> (9/4 + 9/4) / (6/7 / 5) - 9/4
[215165] ['1/5', '2/3', '5/6', '1', '7/3'] -> (7/3 + 2/3 + 1) / (1/5 * 5/6)
[215166] ['3/7', '4/9', '7/9', '8/9', '7'] -> 8/9 * 7 / (4/9 / 3/7 - 7/9)
[215167] ['6/7', '7/8', '6/5', '9/7', '9'] -> 9 / (9/7 / (6/7 * 6/5) - 7/8)
[215168] ['1/4', '1/4', '7/5', '5/3', '3'] -> 5/3 * (7/5 + (1/4 + 3) / 1/4)
[215169] ['2/3', '6/7', '8/9', '8/3', '6'] -> 6 * (8/3 + 6/7 * (2/3 + 8/9))
[215170] ['7/9', '6/7', '5/3', '2', '8/3'] -> 8/3 / (7/9 + 5/3 - 2 / 6/7)
[215171] ['1/8', '1/7', '5/7', '8/5', '9'] -> 9 / (8/5 - 1/8 / 1/7 / 5/7)
[215172] ['3/7', '4/9', '7/9', '9/8', '7'] -> 7 / 9/8 / (4/9 / 3/7 - 7/9)
[215173] ['1/4', '1/4', '7/5', '7/4', '3'] -> 3 / (7/4 * (1/4 - 1/4 / 7/5))
[215174] ['1/7', '4/3', '9/4', '7/2', '7'] -> 4/3 / 1/7 / (7/2 - 7 / 9/4)
[215175] ['1/6', '9/7', '4/3', '2', '7/2'] -> (7/2 * 9/7 * 4/3 - 2) / 1/6
[215176] ['6/7', '7/8', '6/5', '4/3', '9'] -> 9 / (6/5 * (4/3 - 7/8 / 6/7))
[215177] ['1/8', '1/7', '5/7', '5/3', '9'] -> 9 / (1/8 / 1/7) / (5/7 / 5/3)
[215178] ['2/3', '6/7', '9/8', '9/8', '6'] -> 6 / (9/8 - 9/8 * 2/3 / 6/7)
[215179] ['2/3', '5/7', '8/9', '7/2', '8'] -> 8 / (5/7 - 8/9 / (2/3 * 7/2))
[215180] ['4/5', '9/7', '7/3', '7/3', '8'] -> 7/3 * (9/7 + 8 / 4/5) - 7/3
[215181] ['3/7', '4/9', '7/9', '8/7', '7'] -> (8/7 + 7) / (7/9 - 4/9) - 3/7
[215182] ['3/8', '5/7', '8/7', '7/4', '6'] -> 8/7 / (5/7 - 3/8 - 7/4 / 6)
[215183] ['6/7', '9/4', '9/4', '9/2', '5'] -> 9/4 / 6/7 + 9/4 * (9/2 + 5)
[215184] ['1/7', '4/3', '9/4', '9/2', '7'] -> 9/2 / 1/7 - (9/4 + 7 / 4/3)
[215185] ['6/7', '7/8', '6/5', '8/5', '9'] -> 9 / (8/5 - 6/5 / (6/7 / 7/8))
[215186] ['3/7', '4/9', '7/9', '7/6', '7'] -> 7/6 * (7 / (7/9 - 4/9) - 3/7)
[215187] ['1/6', '9/7', '7/5', '3/2', '2'] -> (2 + 9/7 / 3/2) / (1/6 / 7/5)
[215188] ['4/5', '9/7', '7/3', '8/3', '8'] -> 8 / (8/3 / 4/5 - 9/7 * 7/3)
[215189] ['4/9', '5/8', '3/4', '4/5', '1'] -> 1 / 3/4 / (5/8 * 4/5 - 4/9)
[215190] ['6/7', '7/8', '6/5', '5/3', '9'] -> 6/5 * 5/3 * 9 / (6/7 * 7/8)
[215191] ['1/7', '2/5', '1', '8/5', '7/4'] -> (8/5 / 2/5 - 1 / 7/4) / 1/7
[215192] ['4/9', '5/8', '3/4', '5/6', '1'] -> 1 / (5/6 / 3/4 - (4/9 + 5/8))
[215193] ['1/8', '1/7', '3/4', '3/4', '9'] -> (9 - (3/4 + 3/4 / 1/7)) / 1/8
[215194] ['2/3', '6/7', '9/8', '4/3', '6'] -> 6 / (9/8 - 4/3 / (2/3 + 6/7))
[215195] ['1/6', '9/7', '7/5', '8/5', '2'] -> 7/5 * 8/5 * (2 / 1/6 - 9/7)
[215196] ['1/7', '2/5', '1', '8/5', '9/5'] -> 8/5 + (9/5 + 2/5 + 1) / 1/7
[215197] ['1/5', '2/3', '6/7', '1', '6/5'] -> 6/5 / (1/5 / (6/7 - 2/3) - 1)
[215198] ['1/7', '4/3', '5/2', '8/3', '7'] -> 5/2 / 1/7 + 7 - 4/3 / 8/3
[215199] ['1/8', '1/7', '3/4', '4/5', '9'] -> (9 - 3/4 / 1/7) / (1/8 / 4/5)
[215200] ['2/3', '6/7', '9/8', '7/5', '6'] -> 6 / (2/3 * 7/5) / (9/8 - 6/7)
[215201] ['7/9', '6/7', '7/4', '2', '8/3'] -> 6/7 / (7/4 - 8/3 / (7/9 * 2))
[215202] ['4/5', '9/7', '7/3', '9/2', '8'] -> 7/3 * (9/7 / 9/2 + 8 / 4/5)
[215203] ['4/9', '3/5', '4/3', '7/4', '6'] -> 6 / ((7/4 - 4/3) / 3/5 - 4/9)
[215204] ['1/4', '1/4', '3/2', '9/5', '3'] -> (9/5 + 3) / (1/4 / (3/2 - 1/4))
[215205] ['3/7', '4/9', '7/9', '3/2', '7'] -> 3/2 * (4/9 - 7/9 + 7 / 3/7)
[215206] ['1/7', '2/5', '1', '8/5', '8/3'] -> 8/3 * (2/5 + 8/5 + 1 / 1/7)
[215207] ['4/5', '9/7', '5/2', '8/3', '8'] -> 9/7 * (8/3 + 8 * 4/5 * 5/2)
[215208] ['1/6', '9/7', '7/5', '9/5', '2'] -> (9/7 + (9/5 + 2) / 7/5) / 1/6
[215209] ['3/7', '4/9', '7/9', '5/3', '7'] -> 5/3 + (4/9 + 7) / (3/7 * 7/9)
[215210] ['4/9', '3/5', '4/3', '7/3', '6'] -> 4/9 * 6 / (7/3 - 4/3 / 3/5)
[215211] ['1/4', '1/4', '8/5', '5/3', '3'] -> 8/5 / (1/4 / 5/3 - 1/4 / 3)
[215212] ['1/7', '4/3', '7/2', '7/2', '7'] -> 7 + (1/7 + 7/2) * 4/3 * 7/2
[215213] ['1/8', '1/7', '3/4', '7/6', '9'] -> 9 / (3/4 / 7/6 - (1/8 + 1/7))
[215214] ['3/7', '4/9', '7/9', '7/4', '7'] -> (7/9 / (4/9 - 3/7) - 7) / 7/4
[215215] ['4/5', '9/7', '5/2', '7/2', '8'] -> 4/5 * (7/2 * (9/7 + 8) - 5/2)
[215216] ['1/4', '1/4', '8/5', '7/4', '3'] -> 7/4 / (1/4 / 8/5 - 1/4 / 3)
[215217] ['4/9', '5/8', '3/4', '1', '9/7'] -> 1 / 9/7 / (5/8 - 4/9 / 3/4)
[215218] ['1/7', '2/5', '1', '5/3', '5/3'] -> (5/3 / 1/7 - 5/3) / 2/5 - 1
[215219] ['1/8', '1/7', '3/4', '6/5', '9'] -> 3/4 * 9 / (1/8 + 1/7) - 6/5
[215220] ['3/8', '5/7', '7/6', '7/4', '6'] -> 5/7 / (3/8 / 7/6 - 7/4 / 6)
[215221] ['3/7', '4/9', '7/9', '9/5', '7'] -> (9/5 - 3/7) / (4/9 / (7/9 + 7))
[215222] ['6/7', '9/4', '7/2', '7/2', '5'] -> 5 + 7/2 * (7/2 + 6/7 * 9/4)
[215223] ['2/3', '5/7', '9/8', '5/3', '8'] -> (5/3 / (5/7 - 2/3) - 8) / 9/8
[215224] ['2/3', '6/7', '8/7', '8/7', '6'] -> (8/7 + 8/7) * 6 / (2/3 * 6/7)
[215225] ['1/7', '7/5', '7/5', '8/5', '7'] -> (7/5 + 7) * (8/5 - (1/7 - 7/5))
[215226] ['3/7', '4/9', '7/9', '9/4', '7'] -> (7 + 4/9 * 9/4) / (3/7 * 7/9)
[215227] ['6/7', '7/8', '5/4', '8/5', '9'] -> 5/4 * 8/5 * 9 / (6/7 * 7/8)
[215228] ['6/7', '7/3', '7/3', '7/3', '5'] -> 7/3 + 5 * (7/3 + 6/7 * 7/3)
[215229] ['1/8', '1/7', '3/4', '8/5', '9'] -> 3/4 * (9 / (1/8 + 1/7) - 8/5)
[215230] ['1/6', '9/7', '7/5', '2', '7/2'] -> (7/2 - 9/7 / 2) / (1/6 / 7/5)
[215231] ['1/5', '2/3', '6/7', '1', '9/4'] -> 1 / (1/5 * (6/7 - 2/3)) - 9/4
[215232] ['3/8', '5/7', '7/6', '7/3', '6'] -> (7/3 - 5/7 * 7/6) / (3/8 / 6)
[215233] ['1/8', '1/7', '3/4', '5/3', '9'] -> 9 / (3/4 * 5/3 - 1/8 / 1/7)
[215234] ['4/9', '3/5', '3/2', '3/2', '6'] -> 3/2 * (3/2 / 3/5 + 6 / 4/9)
[215235] ['4/9', '5/8', '3/4', '1', '9/5'] -> 1 / (4/9 - 3/4 + 5/8 / 9/5)
[215236] ['6/7', '7/3', '7/3', '8/3', '5'] -> 8/3 * (5 + 6/7 * (7/3 + 7/3))
[215237] ['1/4', '1/4', '5/3', '9/5', '3'] -> 9/5 / (1/4 / 5/3) + 3 / 1/4
[215238] ['3/8', '5/7', '7/6', '7/2', '6'] -> (7/2 + 6) / (7/6 * (5/7 - 3/8))
[215239] ['6/7', '7/8', '5/4', '9/5', '9'] -> 6/7 + 9/5 * 9 / (7/8 / 5/4)
[215240] ['1/7', '7/5', '7/5', '7/3', '7'] -> (7 + 7/5 / 7/5) / (1/7 * 7/3)
[215241] ['4/9', '5/8', '3/4', '1', '5/2'] -> (1 + 5/2 / 3/4) / (5/8 - 4/9)
[215242] ['1/7', '2/5', '1', '5/3', '8/3'] -> (5/3 / 1/7 - 1) / 2/5 - 8/3
[215243] ['7/9', '6/7', '2', '9/4', '8/3'] -> 2 / (8/3 / 6/7 - (7/9 + 9/4))
[215244] ['4/9', '3/5', '3/2', '9/5', '6'] -> (9/5 + 6 / 4/9) / 3/5 - 3/2
[215245] ['2/3', '6/7', '7/6', '5/4', '6'] -> 6 / (7/6 / (2/3 / 6/7) - 5/4)
[215246] ['1/7', '7/5', '3/2', '3/2', '7'] -> (7/5 + 7) * (3/2 - (1/7 - 3/2))
[215247] ['3/8', '5/7', '6/5', '5/4', '6'] -> (6 / 5/7 - 6/5) / (3/8 / 5/4)
[215248] ['6/7', '7/3', '5/2', '7/2', '5'] -> 7/3 * (6/7 * 5 + 5/2 + 7/2)
[215249] ['1/5', '2/3', '7/8', '8/9', '1'] -> 1/5 * (2/3 + 1) / (8/9 - 7/8)
[215250] ['4/9', '5/8', '3/4', '1', '9/2'] -> (1 + 4/9 * 9/2) / (3/4 - 5/8)
[215251] ['2/3', '6/7', '7/6', '4/3', '6'] -> 4/3 * 6 / (6/7 * 7/6 - 2/3)
[215252] ['6/7', '7/3', '8/3', '8/3', '5'] -> 6/7 * 7/3 * 8/3 * 5 - 8/3
[215253] ['6/7', '7/8', '9/7', '9/7', '9'] -> 9 / (9/7 / 6/7 - 7/8 * 9/7)
[215254] ['4/9', '5/8', '7/9', '7/9', '1'] -> 1 / (7/9 * (5/8 - 4/9 / 7/9))
[215255] ['1/7', '7/5', '3/2', '5/3', '7'] -> 5/3 * 7/5 * 3/2 * (7 - 1/7)
[215256] ['1/4', '1/4', '9/5', '3', '7/2'] -> (1/4 + 7/2) / (1/4 / 9/5) - 3
[215257] ['1/4', '1/4', '9/5', '3', '9/2'] -> (9/5 + 3) * (9/2 + 1/4 + 1/4)
[215258] ['1/5', '2/3', '7/8', '1', '8/7'] -> 8/7 / (1/5 * (1 - 2/3 / 7/8))
[215259] ['1/7', '7/5', '3/2', '7/4', '7'] -> 3/2 + (1/7 + 7) * (7/5 + 7/4)
[215260] ['6/7', '7/8', '9/7', '7/5', '9'] -> 9 / 7/5 / (7/8 * 9/7 - 6/7)
[215261] ['1/8', '1/7', '7/9', '5/6', '9'] -> 1/7 / (1/8 - 5/6 / (7/9 * 9))
[215262] ['2/3', '6/7', '7/6', '3/2', '6'] -> 6 / (7/6 * (3/2 - 6/7 / 2/3))
[215263] ['1/4', '1/4', '7/3', '7/3', '3'] -> 3 * ((1/4 + 7/3) / 1/4 - 7/3)
[215264] ['1/7', '2/5', '1', '7/4', '9/4'] -> (7/4 / 1/7 - 9/4) / 2/5 - 1
[215265] ['7/9', '6/7', '2', '7/3', '7/2'] -> 7/2 * (6/7 + 7/3 / (7/9 / 2))
[215266] ['4/9', '3/5', '8/5', '7/2', '6'] -> 7/2 * 6 - (3/5 - 8/5 / 4/9)
[215267] ['4/9', '5/8', '7/9', '6/7', '1'] -> 1 / (4/9 / 7/9 / 6/7 - 5/8)
[215268] ['6/7', '5/2', '5/2', '7/2', '5'] -> 7/2 * (6/7 + 5 + 5/2 / 5/2)
[215269] ['3/7', '4/9', '4/5', '6/5', '7'] -> 7 * (3/7 + 6/5 + 4/5 / 4/9)
[215270] ['1/8', '1/7', '7/9', '6/7', '9'] -> 7/9 * 9 / (1/8 + 1/7 / 6/7)
[215271] ['1/6', '9/7', '8/5', '2', '7/3'] -> 8/5 * (9/7 * 7/3 + 2 / 1/6)
[215272] ['1/7', '2/5', '1', '7/4', '5/2'] -> 5/2 / (7/4 * 1/7 * 2/5) - 1
[215273] ['3/8', '5/7', '6/5', '8/5', '6'] -> (6/5 + 6 / 5/7) / 3/8 - 8/5
[215274] ['6/7', '5/2', '5/2', '9/2', '5'] -> 5/2 * (5/2 + 5) + 9/2 / 6/7
