[295486] ['4/9', '8/7', '3/2', '9/5', '8'] -> 9/5 * (4/9 + 3/2) * (8 - 8/7)
[297381] ['4/9', '7/5', '5/3', '5/3', '8'] -> 7/5 / (4/9 / 5/3 - 5/3 / 8)
[297382] ['4/5', '4/5', '6/7', '5/2', '7'] -> 6/7 * 5/2 * 7 * (4/5 + 4/5)
[297383] ['1/9', '3/5', '7/9', '1', '9/2'] -> 9/2 * (7/9 / 1/9 - 1 / 3/5)
[297384] ['2/7', '9/8', '9/7', '9/2', '9'] -> 2/7 / (9/7 - 9/8) * (9/2 + 9)
[297385] ['3/7', '5/9', '5/7', '7/2', '5'] -> 7/2 * (3/7 + 5 * 5/7 / 5/9)
[297386] ['4/9', '7/5', '5/3', '7/4', '8'] -> 5/3 / 7/4 * 8 * 7/5 / 4/9
[297387] ['2/7', '5/8', '1', '7/4', '7/2'] -> (1 + 7/4 + 7/2 / 2/7) / 5/8
[297388] ['3/7', '5/7', '3/4', '5/3', '9'] -> 3/7 + 9 * (5/3 + 5/7 / 3/4)
[297389] ['1/9', '3/5', '4/5', '5/6', '1'] -> (4/5 / (3/5 * 1) - (1/9 + 5/6)))
[297390] ['3/7', '5/9', '5/7', '9/2', '5'] -> 9/2 * (5 + 3/7 * 5/9 / 5/7)
[297391] ['2/7', '2/7', '4/9', '7/4', '6'] -> 6 * (7/4 + 2/7 / (2/7 * /9)
)[297392] ['1/6', '8/7', '7/6', '9/4', '3'] -> 7/6 * (8/7 * 9/4 + 3 / 1/6)
[297393] ['1/2', '9/7', '2', '7/3', '7/3'] -> 2 * 9/7 / 1/2 * (7/3 + 7/3)
[297394] ['1/7', '3/8', '1/2', '7/5', '2'] -> 7/5 * (1/7 + 2) / (1/2 - 3/8)
[297395] ['4/9', '7/5', '5/3', '9/4', '8'] -> 8 * (5/3 * 7/5 / 4/9 - 9/4)
[297396] ['1/7', '3/7', '3/5', '7/3', '8'] -> 8 * (1/7 / 3/5 + 3/7 + 7/3)
[297397] ['1/8', '2/5', '5/4', '5/3', '2'] -> 2 + (2/5 + 5/4) * 5/3 / 1/8
[297398] ['2/7', '9/8', '4/3', '7/5', '9'] -> 9/8 * 4/3 + 9 / (2/7 * 7/5)
[297399] ['2/7', '2/7', '4/9', '9/5', '6'] -> (6 / 9/5 - 2/7) / (2/7 * 4/9)
[297400] ['1/7', '3/7', '3/5', '8/3', '8'] -> 8 / (3/7 / 3/5 - 1/7 * 8/3)
[297401] ['2/7', '9/8', '4/3', '3/2', '9'] -> 9 / (2/7 * 4/3) - (9/8 - 3/2)
[297402] ['1/2', '9/7', '2', '7/3', '8/3'] -> 7/3 / (8/3 - 9/7 * 2) - 1/2
[297403] ['1/9', '3/5', '4/5', '1', '8/7'] -> (1 + 4/5 / 3/5) * 8/7 / 1/9
[297404] ['1/6', '8/7', '7/6', '3', '9/2'] -> 3 / 1/6 + 9/2 * 8/7 * 7/6
[297405] ['5/7', '4/5', '8/9', '1', '8/3'] -> 8/3 / (1 - 5/7 / 4/5) - 8/9
[297406] ['3/7', '5/7', '7/9', '7/9', '9'] -> 9 * (5/7 / 3/7 + 7/9 / 7/9)
[297407] ['1/8', '2/5', '5/4', '2', '7/3'] -> (2/5 / (1/8 * 2) - (7/3 / 5/4)))
[297408] ['1/7', '3/7', '3/5', '7/2', '8'] -> (1/7 + 3/7 / 3/5) * 7/2 * 8
[297409] ['4/9', '7/5', '5/3', '8/3', '8'] -> 8 / (5/3 - 7/5) - 8/3 / 4/9
[297410] ['5/9', '3/5', '3/5', '5/8', '7'] -> (7 / (3/5 * (5/8 / 3/5)) - 5/9))
[297411] ['1/6', '8/7', '6/5', '6/5', '3'] -> (6/5 + 3) / (6/5 * 1/6 / 8/7)
[297412] ['2/7', '2/7', '4/9', '5/2', '6'] -> 6 / (5/2 - 2/7 / (2/7 * /9)
)[297413] ['3/7', '5/9', '3/4', '7/8', '5'] -> 5 / (5/9 * (3/4 - 3/7 * 7/8))
[297414] ['1/2', '9/7', '2', '5/2', '7/2'] -> 2 + 7/2 * (9/7 + 5/2 / 1/2)
[297415] ['1/7', '3/7', '5/8', '3/4', '8'] -> (5/8 * 8 - 3/7) * 3/4 / 1/7
[297416] ['1/6', '8/7', '6/5', '5/4', '3'] -> 8/7 * 5/4 * (3 / 1/6 - 6/5)
[297417] ['2/7', '5/8', '1', '9/5', '8/3'] -> (8/3 / 2/7 - 1) * 9/5 / 5/8
[297418] ['4/5', '4/5', '7/8', '9/7', '7'] -> (4/5 + 7) / (7/8 * 9/7 - 4/5)
[297419] ['4/9', '7/5', '5/3', '9/2', '8'] -> 8 / (7/5 * 5/3 - 4/9 * 9/2)
[297420] ['1/2', '9/7', '2', '5/2', '9/2'] -> (5/2 + 9/2 / 9/7) * 2 / 1/2
[297421] ['2/7', '2/7', '1/2', '3/5', '6'] -> 3/5 / (2/7 * 1/2) * (6 - 2/7)
[297422] ['4/5', '4/5', '7/8', '4/3', '7'] -> 7 / (7/8 * (4/3 - 4/5 / 4/5))
[297423] ['1/7', '3/8', '1/2', '2', '7/2'] -> (1/2 / 1/7 + 2 + 7/2) / 3/8
[297424] ['1/9', '4/5', '5/6', '5/4', '8'] -> (5/4 - 5/6) * 8 * 4/5 / 1/9
[297425] ['1/9', '3/5', '4/5', '1', '5/3'] -> (5/3 + 1 / 3/5) * 4/5 / 1/9
[297426] ['1/6', '8/7', '6/5', '9/7', '3'] -> (6/5 * (9/7 + 3) - 8/7) / 1/6
[297427] ['5/9', '3/5', '3/5', '7/9', '7'] -> (3/5 + 7/9) / (3/5 - 5/9) - 7
[297428] ['1/7', '3/7', '5/8', '4/5', '8'] -> (8 + 1/7 / 5/8) / (3/7 * 4/5)
[297429] ['4/5', '4/5', '7/8', '7/5', '7'] -> (7/5 + 4/5 + 4/5) * 7 / 7/8
[297430] ['3/7', '5/7', '7/9', '8/7', '9'] -> 9 / (5/7 / (7/9 * /7) - 3/7)
[297431] ['1/7', '3/8', '5/9', '5/9', '2'] -> (2 + 5/9 / (1/7 * 5/9)) / 3/8
[297432] ['1/9', '3/5', '4/5', '1', '7/4'] -> (1 + 7/4) / 1/9 - 3/5 / 4/5
[297433] ['3/7', '5/7', '7/9', '7/6', '9'] -> 9 * (3/7 + 7/9) / (7/6 - 5/7)
[297434] ['1/2', '9/7', '2', '9/2', '9/2'] -> 2 + 9/2 * (9/2 + 1/2 / 9/7)
[297435] ['2/7', '2/7', '1/2', '4/5', '6'] -> (2/7 / 4/5 + 1/2 + 6) / 2/7
[297436] ['1/9', '3/5', '4/5', '1', '9/4'] -> 3/5 + (1 + 9/4) * 4/5 / 1/9
[297437] ['2/7', '5/8', '1', '9/4', '7/3'] -> (1 / (7/3 * (2/7 * 9/4)) - 5/8))
[297438] ['2/7', '9/8', '7/5', '3/2', '9'] -> 9 / (9/8 / 7/5 - 2/7 * 3/2)
[297439] ['1/6', '8/7', '6/5', '8/5', '3'] -> 8/5 * 3 / (1/6 * 8/7) - 6/5
[297440] ['1/9', '4/5', '5/6', '3/2', '8'] -> 8 / (4/5 * 5/6 / 3/2 - 1/9)
[297441] ['2/7', '2/7', '1/2', '8/9', '6'] -> 6 / (2/7 / 1/2 - 2/7 / 8/9)
[297442] ['2/7', '9/8', '7/5', '5/3', '9'] -> 7/5 * (2/7 + 9) / (5/3 - 9/8)
[297443] ['1/8', '2/5', '9/7', '9/5', '2'] -> (9/5 / 9/7 - (2/5 - 2)) / 1/8
[297444] ['1/9', '4/5', '5/6', '7/4', '8'] -> 4/5 / 1/9 + 8 * 7/4 / 5/6
[297445] ['5/7', '4/5', '1', '9/8', '7/5'] -> 1 / (4/5 / (7/5 - 5/7) - 9/8)
[297446] ['4/5', '4/5', '7/8', '7/3', '7'] -> (7 / (7/3 * (4/5 / 4/5)) - 7/8))
[297447] ['2/7', '2/7', '1/2', '6/5', '6'] -> (2/7 + 6) / (1/2 - 2/7 / 6/5)
[297448] ['1/6', '8/7', '6/5', '7/4', '3'] -> 6/5 * (8/7 * 7/4 + 3 / 1/6)
[297449] ['4/9', '7/5', '7/4', '8/3', '8'] -> (8 - 8/3 / 7/5) * 7/4 / 4/9
[297450] ['1/7', '3/7', '5/8', '4/3', '8'] -> (5/8 * 8 - 3/7) / (1/7 * 4/3)
[297451] ['5/9', '3/5', '3/5', '5/4', '7'] -> 5/4 / (5/9 * 3/5) * (7 - 3/5)
[297452] ['2/7', '5/8', '1', '9/4', '9/2'] -> (9/4 + 9/2) / 2/7 - (5/8 - 1)
[297453] ['1/7', '3/8', '5/9', '2/3', '2'] -> (2/3 / (1/7 * (3/8 * 2)) - 5/9))
[297454] ['5/7', '4/5', '1', '9/8', '3/2'] -> (4/5 + 1) / (9/8 / 5/7 - 3/2)
[297455] ['3/7', '5/7', '7/9', '3/2', '9'] -> 9 * (3/7 + 3/2 * (5/7 + 7/9))
[297456] ['2/7', '2/7', '1/2', '7/5', '6'] -> 2/7 * 6 / (1/2 / 7/5 - 2/7)
[297457] ['1/2', '4/3', '4/3', '9/5', '2'] -> 4/3 / ((1/2 + 2) / 9/5 - 4/3)
[297458] ['2/7', '5/8', '1', '7/3', '7/3'] -> (1 / (7/3 * 2/7) - (5/8 / 7/3)))
[297459] ['4/9', '7/5', '7/4', '7/2', '8'] -> (8 / (4/9 * (7/2 / 7/5)) - 7/4))
[297460] ['3/7', '5/9', '3/4', '5/3', '5'] -> (5 / 3/7 - 5/3) / (5/9 * 3/4)
[297461] ['4/5', '4/5', '7/8', '9/2', '7'] -> 7 * ((9/2 - 4/5) / 7/8 - 4/5)
[297462] ['2/7', '9/8', '7/5', '5/2', '9'] -> 9 / (5/2 / 7/5 - (2/7 + 9/8))
[297463] ['3/7', '5/7', '7/9', '7/4', '9'] -> (9 + 5/7 / 3/7) * 7/4 / 7/9
[297464] ['1/7', '3/8', '5/9', '7/9', '2'] -> (2 - 5/9 / 7/9) / (1/7 * 3/8)
[297465] ['1/8', '2/5', '9/7', '2', '8/3'] -> (2 / 2/5 - 8/3) * 9/7 / 1/8
[297466] ['1/7', '3/7', '5/8', '5/2', '8'] -> 8 / (3/7 - 1/7) - 5/2 / 5/8
[297467] ['5/9', '3/5', '3/5', '7/5', '7'] -> (3/5 + 7/5) * (7 / 5/9 - 3/5)
[297468] ['2/7', '9/8', '7/5', '8/3', '9'] -> (9 - 8/3 * 9/8 / 7/5) / 2/7
[297469] ['1/2', '4/3', '7/5', '5/3', '2'] -> 5/3 / (7/5 - 4/3) - 1/2 * 2
[297470] ['4/9', '7/5', '9/5', '9/4', '8'] -> (9/4 + 7/5 / 4/9) * 8 / 9/5
[297471] ['5/9', '3/5', '3/5', '8/5', '7'] -> (7 - (3/5 - 8/5)) / (5/9 * 3/5)
[297472] ['2/7', '5/8', '1', '5/2', '5/2'] -> (5/2 + 1 / 2/7) * 5/2 / 5/8
[297473] ['1/7', '3/7', '5/8', '7/2', '8'] -> 3/7 / (1/7 * (8 - 7/2) - 5/8)
[297474] ['3/7', '5/7', '7/9', '9/4', '9'] -> 9/4 * (9 / 7/9 - 5/7) - 3/7
[297475] ['2/7', '9/8', '7/5', '9/2', '9'] -> (9/2 + 9 / (2/7 * 7/5)) / 9/8
[297476] ['4/9', '7/5', '9/5', '5/2', '8'] -> 8 / (4/9 * 5/2 - 7/5 / 9/5)
[297477] ['5/9', '3/5', '3/5', '7/4', '7'] -> (3/5 + 7/4 / 5/9) * (7 - 3/5)
[297478] ['1/7', '3/7', '5/8', '9/2', '8'] -> 9/2 * (1/7 / 3/7 + 5/8 * 8)
[297479] ['5/7', '4/5', '1', '9/8', '7/3'] -> 1 / (4/5 - 7/3 + 9/8 / 5/7)
[297480] ['2/7', '2/7', '5/9', '2/3', '6'] -> 2/3 / (2/7 * 5/9) * (6 - 2/7)
[297481] ['1/2', '4/3', '7/5', '2', '7/3'] -> 7/3 / (2 / 7/5 - 4/3) - 1/2
[297482] ['5/9', '3/5', '3/5', '9/5', '7'] -> 9/5 / 3/5 + 7 / (5/9 * 3/5)
[297483] ['1/6', '8/7', '5/4', '7/5', '3'] -> (8/7 * 7/5 + 3 / 5/4) / 1/6
[297484] ['1/7', '3/7', '2/3', '3/4', '8'] -> 3/7 / (1/7 * 8 - 3/4 / 2/3)
[297485] ['1/2', '4/3', '7/5', '2', '5/2'] -> (2 / ((1/2 * 5/2) * 7/5) - 4/3))
[297486] ['3/7', '5/7', '7/9', '7/2', '9'] -> 7/2 * (9 - 5/7 / (3/7 * 7/9))
[297487] ['5/9', '3/5', '3/5', '9/4', '7'] -> 7 / (3/5 - 5/9 * 3/5) - 9/4
[297488] ['1/9', '3/5', '5/6', '1', '5/3'] -> (5/6 + 5/3) * (3/5 + 1 / 1/9)
[297489] ['1/7', '3/7', '2/3', '8/9', '8'] -> 8 / ((2/3 - 1/7) / 3/7 - 8/9)
[297490] ['1/2', '4/3', '7/5', '2', '7/2'] -> 2 / (4/3 - 7/2 * 1/2 / 7/5)
[297491] ['3/7', '5/9', '7/9', '7/9', '5'] -> (5 + 3/7 * 7/9) / (7/9 - 5/9)
[297492] ['4/9', '7/5', '9/4', '7/3', '8'] -> 9/4 + (8 + 7/3 / 7/5) / 4/9
[297493] ['2/7', '2/7', '5/9', '4/5', '6'] -> (6 - 2/7 / 5/9) / (2/7 * 4/5)
[297494] ['2/7', '5/8', '1', '8/3', '9/2'] -> (1 / (2/7 * (5/8 * 9/2)) - 8/3))
[297495] ['3/7', '5/7', '4/5', '9/8', '9'] -> 9 / (9/8 - 3/7 / (5/7 * /5)
)[297496] ['1/7', '3/7', '2/3', '7/5', '8'] -> 1/7 * 8 / (2/3 / 7/5 - 3/7)
[297497] ['2/7', '5/8', '1', '7/2', '9/2'] -> 9/2 / (7/2 * (5/8 - 2/7) - 1)
[297498] ['1/2', '4/3', '3/2', '2', '7/2'] -> 2 / (7/2 * (3/2 - 4/3) - 1/2)
[297499] ['1/7', '3/7', '2/3', '8/5', '8'] -> 8/5 * (3/7 / 1/7 + 8 / 2/3)
[297500] ['5/7', '4/5', '1', '8/7', '9/7'] -> (9/7 / (5/7 * (1 / 8/7)) - 4/5))
[297501] ['1/8', '2/5', '3/2', '3/2', '2'] -> (3/2 / 2/5 - 3/2 / 2) / 1/8
[297502] ['5/9', '3/5', '5/8', '2/3', '7'] -> 7 / (5/9 * 3/5 + 5/8 - 2/3)
[297503] ['1/6', '8/7', '5/4', '5/2', '3'] -> (3 + 5/4 / 5/2) * 8/7 / 1/6
[297504] ['3/7', '5/9', '7/9', '9/8', '5'] -> (5 / ((3/7 * 5/9) * 7/9) * 9/8))
[297505] ['5/9', '3/5', '5/8', '5/7', '7'] -> 7 / (5/9 * 3/5) * 5/7 / 5/8
[297506] ['4/9', '7/5', '7/3', '7/3', '8'] -> 7/5 * 8 * (7/3 - 4/9 / 7/3)
[297507] ['1/7', '3/7', '5/7', '7/9', '8'] -> 8 / (7/9 * (5/7 + 1/7 - 3/7))
[297508] ['5/7', '4/5', '1', '8/7', '7/5'] -> 5/7 / (8/7 / 4/5 - 7/5) - 1
[297509] ['3/7', '5/7', '4/5', '4/3', '9'] -> 9 * (4/3 + 4/5 * 5/7 / 3/7)
[297510] ['2/7', '9/8', '8/5', '9/4', '9'] -> (9 + 9/4 / 2/7) * 8/5 / 9/8
[297511] ['5/7', '4/5', '1', '8/7', '3/2'] -> (5/7 + 1) / (3/2 - 8/7 / 4/5)
[297512] ['4/9', '7/5', '7/3', '5/2', '8'] -> (8 - (7/5 + 7/3)) * 5/2 / 4/9
[297513] ['1/2', '4/3', '8/5', '2', '7/3'] -> 8/5 / (2 / (4/3 - 1/2) - 7/3)
[297514] ['1/9', '4/5', '6/7', '9/5', '8'] -> 4/5 / 1/9 + 8 * 9/5 / 6/7
[297515] ['5/9', '3/5', '5/8', '3/4', '7'] -> (7 / (3/5 * 3/4) - 5/9) / 5/8
[297516] ['1/6', '8/7', '5/4', '3', '7/2'] -> 8/7 / (1/6 - 5/4 / (3 * /2)
)[297517] ['3/7', '5/7', '4/5', '7/5', '9'] -> (5/7 + 9 + 4/5 / 7/5) / 3/7
[297518] ['2/7', '2/7', '5/9', '6/5', '6'] -> 6/5 + (6 + 2/7 / 5/9) / 2/7
[297519] ['1/7', '3/8', '5/9', '5/3', '2'] -> 5/3 / (3/8 / 1/7 - (5/9 + 2))
[297520] ['4/5', '4/5', '8/9', '5/2', '7'] -> 4/5 / 8/9 + 7 * (4/5 + 5/2)
[297521] ['5/9', '3/5', '5/8', '7/9', '7'] -> 7 / (5/9 + 7/9 - 5/8 / 3/5)
[297522] ['4/9', '7/5', '7/3', '8/3', '8'] -> (8 * 7/3 / 7/5 - 8/3) / 4/9
[297523] ['2/7', '9/8', '8/5', '5/2', '9'] -> 9 / (2/7 * 9/8) - 8/5 * 5/2
[297524] ['1/2', '4/3', '8/5', '2', '7/2'] -> 8/5 / (7/2 / (1/2 + 2) - 4/3)
[297525] ['3/7', '5/7', '4/5', '3/2', '9'] -> 4/5 * (9 / (5/7 - 3/7) - 3/2)
[297526] ['5/7', '4/5', '1', '8/7', '5/3'] -> 8/7 / (1 - 5/3 * 5/7 * 4/5)
[297527] ['1/6', '8/7', '9/7', '9/7', '3'] -> (9/7 * 3 - (8/7 - 9/7)) / 1/6
[297528] ['4/5', '4/5', '8/9', '8/3', '7'] -> (7 + 4/5 / 4/5) * 8/3 / 8/9
[297529] ['1/9', '4/5', '6/7', '7/3', '8'] -> 4/5 * (8 / (1/9 * 7/3) - 6/7)
[297530] ['1/9', '3/5', '6/7', '1', '8/7'] -> (8/7 / (1/9 * (6/7 / 3/5)) - 1))
[297531] ['5/9', '3/5', '5/8', '6/7', '7'] -> (3/5 + 6/7 / 5/9) * 7 / 5/8
[297532] ['4/9', '7/5', '7/3', '9/2', '8'] -> 8 / (4/9 * 9/2 - 7/3 / 7/5)
[297533] ['1/6', '8/7', '9/7', '7/5', '3'] -> (3 + 8/7 - 9/7) * 7/5 / 1/6
[297534] ['1/9', '4/5', '6/7', '5/2', '8'] -> 6/7 * (8 / (1/9 * 5/2) - 4/5)
[297535] ['5/7', '4/5', '1', '8/7', '9/4'] -> 8/7 * 9/4 / (1 - 5/7 / 4/5)
[297536] ['1/2', '4/3', '5/3', '2', '5/2'] -> (2 / (1/2 * (5/2 / 5/3)) - 4/3))
[297537] ['2/7', '2/3', '2/3', '7/8', '1'] -> (2/3 + 2/3 / 2/7) / (1 - 7/8)
[297538] ['5/9', '3/5', '5/8', '7/8', '7'] -> (3/5 + 7 / (5/9 * 7/8)) / 5/8
[297539] ['4/9', '7/5', '5/2', '5/2', '8'] -> 5/2 + 7/5 * 5/2 + 8 / 4/9
[297540] ['3/7', '5/9', '7/9', '8/5', '5'] -> 8/5 + (7/9 + 5 / 3/7) / 5/9
[297541] ['2/7', '2/7', '5/9', '3/2', '6'] -> (6 - 2/7) / (3/2 * 2/7 * 5/9)
[297542] ['1/2', '4/3', '7/4', '2', '7/2'] -> 2 / (1/2 + 4/3 + 7/4 - 7/2)
[297543] ['4/9', '7/5', '5/2', '8/3', '8'] -> (8 - 7/5 * 8/3) * 5/2 / 4/9
[297544] ['1/7', '3/7', '3/4', '5/6', '8'] -> 8 / (5/6 * 3/7 / 3/4 - 1/7)
[297545] ['2/7', '2/3', '2/3', '1', '9/8'] -> (2/3 + 2/3 / 2/7) / (9/8 - 1)
[297546] ['5/9', '3/5', '5/8', '8/7', '7'] -> (3/5 + 7 * 8/7 / 5/9) / 5/8
[297547] ['2/7', '2/3', '2/3', '1', '8/7'] -> 8/7 / (2/3 - 1 - (2/7 - 2/3))
[297548] ['2/7', '9/8', '5/3', '7/3', '9'] -> 9 / (2/7 * 9/8) - (5/3 + 7/3)
[297549] ['1/9', '3/5', '6/7', '1', '9/7'] -> 9/7 + (6/7 + 1 / 3/5) / 1/9
[297550] ['4/5', '4/5', '9/8', '6/5', '7'] -> 7 / (9/8 - 4/5 / (4/5 * /5)
)[297551] ['1/7', '3/7', '3/4', '7/6', '8'] -> (3/7 / (3/4 * 7/6) - (1/7 * 8)))
[297552] ['3/7', '5/7', '5/6', '5/6', '9'] -> 9 * (5/7 / 3/7 + 5/6 / 5/6)
[297553] ['3/7', '5/9', '7/9', '5/2', '5'] -> (5 + 3/7 * 7/9) * 5/2 / 5/9
[297554] ['1/8', '2/5', '7/4', '2', '9/4'] -> (7/4 + 2 / 2/5) / (1/8 * 9/4)
[297555] ['1/7', '3/7', '3/4', '6/5', '8'] -> 8 / (3/7 / (3/4 * /5) - 1/7)
[297556] ['4/9', '7/5', '8/3', '7/2', '8'] -> (8 / 7/5 - 8/3) * 7/2 / 4/9
[297557] ['1/7', '3/8', '4/7', '4/7', '2'] -> (2 + 4/7 / (1/7 * 4/7)) / 3/8
[297558] ['3/7', '5/7', '5/6', '8/9', '9'] -> 9 / (5/7 / 5/6 - 3/7 / 8/9)
[297559] ['1/9', '3/5', '6/7', '1', '7/5'] -> 3/5 + (6/7 + 1) * 7/5 / 1/9
[297560] ['5/7', '4/5', '1', '7/6', '6/5'] -> (6/5 + 1 / 7/6) / (4/5 - 5/7)
[297561] ['1/2', '4/3', '2', '7/3', '5/2'] -> 2 / (7/3 - (1/2 + 5/2) / 4/3)
[297562] ['1/6', '8/7', '4/3', '4/3', '3'] -> (4/3 / (4/3 - 8/7) - 3) / 1/6
[297563] ['1/7', '3/7', '3/4', '7/5', '8'] -> 8 / (7/5 * (3/7 - 1/7 / 3/4))
[297564] ['4/5', '4/5', '9/8', '4/3', '7'] -> 7 / (9/8 - 4/3 / (4/5 + 4/5))
[297565] ['3/7', '5/7', '5/6', '9/8', '9'] -> 9 / (5/7 / 5/6 - 3/7 * 9/8)
[297566] ['5/7', '4/5', '1', '7/6', '9/7'] -> (5/7 + 9/7) / (1 / 4/5 - 7/6)
[297567] ['4/9', '7/5', '7/2', '7/2', '8'] -> 7/2 + 7/2 / 7/5 + 8 / 4/9
[297568] ['5/9', '3/5', '5/8', '7/5', '7'] -> (7 / ((5/9 * 3/5) * 5/8) * 7/5))
[297569] ['2/7', '2/7', '5/9', '9/2', '6'] -> 9/2 * (2/7 + 6 * (2/7 + 5/9))
[297570] ['1/7', '3/8', '4/7', '4/5', '2'] -> (2 - 4/7 / 4/5) / (1/7 * 3/8)
[297571] ['2/7', '9/8', '7/4', '7/4', '9'] -> 7/4 * (9 * 7/4 / 9/8 - 2/7)
[297572] ['3/7', '5/7', '5/6', '5/4', '9'] -> (3/7 + 9) / (5/4 - 5/7 / 5/6)
[297573] ['3/7', '5/9', '4/5', '4/5', '5'] -> (4/5 + 4/5 / 3/7) * 5 / 5/9
[297574] ['1/9', '4/5', '7/8', '7/6', '8'] -> 7/8 + (8 + 7/6 / 1/9) / 4/5
[297575] ['5/9', '3/5', '5/8', '3/2', '7'] -> (7 / ((5/9 * 3/5) * 3/2) - 5/8))
[297576] ['1/6', '8/7', '4/3', '7/4', '3'] -> (4/3 + 3) / 1/6 - 8/7 * 7/4
[297577] ['1/2', '7/5', '7/5', '8/5', '2'] -> (2 + 7/5 / 1/2) / (8/5 - 7/5)
[297578] ['5/9', '3/5', '5/8', '8/5', '7'] -> (7 + 5/8 * 8/5) / (5/9 * 3/5)
[297579] ['3/7', '5/9', '4/5', '5/6', '5'] -> (5 / (3/7 * (5/6 / 4/5)) - 5/9))
[297580] ['2/7', '2/7', '4/7', '7/9', '6'] -> (6 / 7/9 - (2/7 + 4/7)) / 2/7
[297581] ['3/7', '5/7', '5/6', '7/5', '9'] -> (9 / 3/7 - 5/7 * 7/5) / 5/6
[297582] ['2/7', '9/8', '7/4', '7/3', '9'] -> 9 * (7/4 / 2/7 - (9/8 + 7/3))
[297583] ['4/5', '4/5', '9/8', '9/4', '7'] -> (4/5 + 7) / (9/4 - (4/5 + 9/8))
[297584] ['1/6', '8/7', '4/3', '3', '7/2'] -> (1/6 + 4/3) / (7/2 / 8/7 - 3)
[297585] ['5/9', '3/5', '5/8', '7/4', '7'] -> 7 / (5/9 * (7/4 - (3/5 + 5/8)))
[297586] ['3/7', '5/7', '5/6', '8/5', '9'] -> 5/6 * 8/5 + (5/7 + 9) / 3/7
[297587] ['4/5', '4/5', '9/8', '7/3', '7'] -> 7 / (7/3 * (9/8 - 4/5 / 4/5))
[297588] ['2/7', '9/8', '7/4', '8/3', '9'] -> (9 + 9/8 * 8/3) / (2/7 * 7/4)
[297589] ['1/7', '3/7', '7/9', '7/8', '8'] -> 3/7 / (1/7 * 8 - 7/8 / 7/9)
[297590] ['2/7', '2/7', '4/7', '7/8', '6'] -> 6 / (2/7 / 4/7 - 2/7 * 7/8)
[297591] ['4/9', '3/2', '8/5', '5/3', '8'] -> (8/5 + 8) * 5/3 / (4/9 * 3/2)
[297592] ['1/7', '3/8', '4/7', '5/4', '2'] -> (2 - 4/7 * 5/4) / (1/7 * 3/8)
[297593] ['2/7', '9/8', '7/4', '9/2', '9'] -> (9/2 + 9) / (7/4 * 2/7 * 9/8)
[297594] ['1/7', '3/7', '7/9', '9/8', '8'] -> (8 + 1/7 / 3/7) / (9/8 - 7/9)
[297595] ['1/9', '3/5', '6/7', '1', '5/2'] -> (3/5 * 5/2 + 1 / 6/7) / 1/9
[297596] ['4/5', '4/5', '9/8', '8/3', '7'] -> 9/8 * 8/3 * (7 + 4/5 / 4/5)
[297597] ['5/7', '4/5', '1', '7/6', '5/2'] -> 5/2 / (7/6 * (4/5 - 5/7)) - 1
[297598] ['1/8', '2/5', '2', '7/3', '5/2'] -> 5/2 * 2/5 / 1/8 / (7/3 - 2)
[297599] ['1/2', '7/5', '7/5', '2', '5/2'] -> (2 + 7/5 + 7/5) * 5/2 / 1/2
[297600] ['1/9', '4/5', '7/8', '3/2', '8'] -> 3/2 / (1/9 * 4/5) - (7/8 - 8)
[297601] ['1/6', '8/7', '7/5', '7/4', '3'] -> (8/7 + 3 / 7/4) * 7/5 / 1/6
[297602] ['5/7', '4/5', '1', '7/6', '8/3'] -> 4/5 / (8/3 - (1 + 7/6 / 5/7))
[297603] ['1/9', '4/5', '7/8', '8/5', '8'] -> (8/5 / ((1/9 * 8) * 7/8) - 4/5))
[297604] ['1/2', '7/5', '7/5', '2', '9/2'] -> (1/2 + 9/2) * (2 + 7/5 + 7/5)
[297605] ['5/9', '3/5', '2/3', '2/3', '7'] -> (7 + 2/3 / 2/3) / (5/9 * 3/5)
[297606] ['1/6', '8/7', '7/5', '7/3', '3'] -> 8/7 + (7/3 + 3) / (1/6 * 7/5)
[297607] ['4/5', '4/5', '8/7', '6/5', '7'] -> 7 * (4/5 + 6/5 + 8/7 / 4/5)
[297608] ['2/7', '9/8', '9/5', '5/2', '9'] -> (9 / 2/7 - 9/5 * 5/2) / 9/8
[297609] ['3/7', '5/9', '4/5', '5/4', '5'] -> (5 / (3/7 * 4/5) - 5/4) / 5/9
[297610] ['5/7', '4/5', '1', '6/5', '6/5'] -> 4/5 / (6/5 - 1 / (5/7 * 6/5))
[297611] ['4/9', '3/2', '7/4', '7/4', '8'] -> 8 / (7/4 / 7/4 - 4/9 * 3/2)
[297612] ['2/7', '2/7', '3/5', '3/5', '6'] -> (6 - 2/7) * (3/5 + 3/5) / 2/7
[297613] ['1/8', '2/5', '2', '5/2', '8/3'] -> (2 / (1/8 * (8/3 / 5/2)) - 2/5))
[297614] ['1/2', '7/5', '3/2', '5/3', '2'] -> (2 / ((1/2 * 5/3) * 3/2) - 7/5))
[297615] ['4/5', '4/5', '8/7', '4/3', '7'] -> 8/7 * 7 / (4/3 - 4/5 / 4/5)
[297616] ['4/9', '3/2', '7/4', '9/5', '8'] -> 9/5 * (7/4 * 8 - 4/9 * 3/2)
[297617] ['1/6', '8/7', '7/5', '5/2', '3'] -> 3 / 7/5 + (8/7 + 5/2) / 1/6
