[177301] ['4/7', '5/6', '5/3', '5/2', '6'] -> (5/2 + 6 / (4/7 / 5/3)) / 5/6
[178279] ['1/6', '8/9', '1', '7/6', '9/2'] -> 8/9 * 9/2 * (7/6 / 1/6 - 1)
[178280] ['3/8', '8/7', '9/4', '7/3', '7'] -> 8/7 * (7 + 7/3 / (3/8 / 9/4))
[178281] ['4/7', '3/4', '3/2', '5/3', '3'] -> 3/2 / 3/4 / (3 - 5/3 / 4/7)
[178282] ['1/4', '3/4', '7/6', '9/7', '7'] -> 7 / (3/4 / 9/7 - 1/4 * 7/6)
[178283] ['4/7', '7/8', '7/6', '7/5', '6'] -> 6 / 7/5 / (7/8 / 7/6 - 4/7)
[178284] ['4/5', '7/6', '9/7', '5/3', '4'] -> 4 / (7/6 * 9/7 - 4/5 * 5/3)
[178285] ['3/8', '8/7', '9/4', '9/2', '7'] -> 8/7 * (9/2 * (7 - 9/4) - 3/8)
[178286] ['3/4', '9/7', '9/7', '7/3', '5'] -> (9/7 + 9/7 * 5) / (3/4 / 7/3)
[178287] ['4/7', '2/3', '6/7', '7/8', '8'] -> 8 / 7/8 / (4/7 + 2/3 - 6/7)
[178288] ['2/5', '6/7', '3/2', '3/2', '6'] -> 3/2 * (6 / (2/5 * 6/7) - 3/2)
[178289] ['5/7', '6/7', '9/8', '4/3', '9'] -> 9 / (5/7 / (4/3 - 6/7) - 9/8)
[178290] ['3/8', '8/7', '7/3', '5/2', '7'] -> 7/3 * (7 + 8/7 * (3/8 + 5/2))
[178291] ['4/7', '7/8', '7/6', '9/5', '6'] -> (7/6 + 6 / 4/7) / (7/8 / 9/5)
[178292] ['2/7', '9/5', '8/3', '8/3', '6'] -> 8/3 * (6 / (2/7 * 9/5) - 8/3)
[178293] ['2/3', '3/4', '6/5', '2', '9/4'] -> 2/3 / (9/4 - 2 / (3/4 * 6/5))
[178294] ['1/4', '3/4', '7/6', '9/4', '7'] -> 9/4 * (3/4 + 7 * (1/4 + 7/6))
[178295] ['3/4', '9/7', '9/7', '7/2', '5'] -> (9/7 * 5 - 9/7) / (3/4 / 7/2)
[178296] ['3/7', '4/9', '1', '4/3', '5/2'] -> 4/3 / (4/9 - 3/7) / (1 + 5/2)
[178297] ['3/8', '8/7', '7/3', '7/2', '7'] -> 7/2 * (7 / (3/8 * 7/3) - 8/7)
[178298] ['3/7', '4/7', '3/2', '2', '5/2'] -> (3/2 + 5/2) / (3/7 / (4/7 + 2))
[178299] ['4/7', '2/3', '6/7', '7/5', '8'] -> 8 * (4/7 + 6/7) / (2/3 / 7/5)
[178300] ['2/3', '3/4', '6/5', '2', '7/3'] -> 2 * 7/3 / (3/4 - 2/3 / 6/5)
[178301] ['2/7', '9/5', '8/3', '7/2', '6'] -> 9/5 * 8/3 * (6 - 2/7 * 7/2)
[178302] ['2/5', '6/7', '3/2', '9/4', '6'] -> 3/2 * 6 / (2/5 * 6/7) - 9/4
[178303] ['4/7', '3/4', '8/5', '7/4', '3'] -> 3 / (3/4 - 7/4 * 4/7 / 8/5)
[178304] ['1/9', '2/7', '3/5', '8/7', '9'] -> 8/7 / (3/5 * (1/9 - 2/7 / 9))
[178305] ['7/8', '8/9', '9/4', '3', '7/2'] -> 9/4 * 3 * 7/2 / (7/8 / 8/9)
[178306] ['3/8', '8/7', '5/2', '5/2', '7'] -> (8/7 * 7 + 5/2 / 5/2) / 3/8
[178307] ['3/7', '4/7', '3/2', '2', '9/2'] -> 4/7 / 3/2 / (2 / 9/2 - 3/7)
[178308] ['4/7', '7/8', '7/6', '9/2', '6'] -> 9/2 * (4/7 * 7/8 - (7/6 - 6))
[178309] ['7/8', '8/9', '9/4', '3', '9/2'] -> (9/4 + 3) * 9/2 / (7/8 / 8/9)
[178310] ['4/7', '3/4', '8/5', '9/5', '3'] -> 8/5 * (3 / (3/4 - 4/7) - 9/5)
[178311] ['4/5', '7/6', '9/7', '8/3', '4'] -> 8/3 / (4/5 * (9/7 - 7/6)) - 4
[178312] ['1/4', '3/4', '6/5', '5/3', '7'] -> (6/5 + 7 / (1/4 * 5/3)) / 3/4
[178313] ['3/8', '8/7', '5/2', '9/2', '7'] -> 7 * (9/2 - 5/2 * 3/8 * 8/7)
[178314] ['2/3', '3/4', '6/5', '2', '9/2'] -> (6/5 + 2) * (3/4 + 9/2 / 2/3)
[178315] ['7/8', '8/9', '7/3', '5/2', '3'] -> 7/3 / (7/8 - 3 + 8/9 * 5/2)
[178316] ['4/5', '7/6', '9/7', '4', '9/2'] -> 7/6 * 9/7 + 9/2 / (4/5 / 4)
[178317] ['3/8', '8/7', '8/3', '9/2', '7'] -> 9/2 / (3/8 / 8/3) - 8/7 * 7
[178318] ['5/7', '6/7', '8/7', '8/7', '9'] -> 8/7 * 9 / (5/7 + 6/7 - 8/7)
[178319] ['4/7', '2/3', '7/8', '9/8', '8'] -> (7/8 + 9/8 + 8 / 4/7) / 2/3
[178320] ['4/5', '7/6', '4/3', '4/3', '4'] -> 4 / 4/3 / (7/6 / 4/5 - 4/3)
[178321] ['3/7', '4/7', '8/5', '9/5', '2'] -> 3/7 / (4/7 * 2 - 9/5 / 8/5)
[178322] ['2/5', '6/7', '8/5', '5/3', '6'] -> 6 * (5/3 + (2/5 + 8/5) / 6/7)
[178323] ['3/7', '4/9', '1', '7/5', '5/3'] -> (1 + 5/3) / (3/7 - 4/9 / 7/5)
[178324] ['2/7', '9/4', '9/4', '9/4', '6'] -> 9/4 + 6 + (9/4 + 9/4) / 2/7
[178325] ['7/8', '8/9', '5/2', '5/2', '3'] -> 5/2 / 5/2 / (3 * (8/9 - 7/8))
[178326] ['4/7', '3/4', '8/5', '5/2', '3'] -> 8/5 * 5/2 * (3/4 + 3 / 4/7)
[178327] ['5/7', '6/7', '8/7', '7/6', '9'] -> 9 / (6/7 * 7/6 - 5/7 / 8/7)
[178328] ['1/4', '3/4', '6/5', '7/3', '7'] -> (3/4 + 7 / 6/5) / 1/4 - 7/3
[178329] ['4/5', '7/6', '4/3', '7/4', '4'] -> 4 / (4/3 / 4/5 - 7/4 / 7/6)
[178330] ['2/5', '6/7', '8/5', '9/4', '6'] -> 9/4 * (6 + 8/5 / (2/5 * 6/7))
[178331] ['5/7', '6/7', '8/7', '6/5', '9'] -> (6/7 + 8/7) / (5/7 / 9) - 6/5
[178332] ['3/4', '9/7', '4/3', '9/5', '5'] -> 9/7 * 5 * (4/3 + 9/5 / 3/4)
[178333] ['7/8', '9/8', '9/8', '9/8', '3'] -> 9/8 * 3 / (9/8 - 7/8 * 9/8)
[178334] ['3/7', '4/7', '8/5', '2', '5/2'] -> (4/7 + 2) * 5/2 / (3/7 / 8/5)
[178335] ['2/7', '9/4', '9/4', '8/3', '6'] -> (6 - 8/3) / (2/7 / 9/4) - 9/4
[178336] ['4/7', '2/3', '7/8', '9/7', '8'] -> 4/7 / (7/8 - 2/3 * 9/7) - 8
[178337] ['1/9', '2/7', '3/5', '8/5', '9'] -> 8/5 + (1/9 + 3/5) / (2/7 / 9)
[178338] ['1/6', '8/9', '1', '5/4', '5/4'] -> (5/4 + 1/6 + 5/4) / (1 - 8/9)
[178339] ['3/8', '7/6', '7/6', '4/3', '7'] -> (7/6 + 4/3 * 7) / (3/8 * 7/6)
[178340] ['3/4', '9/7', '4/3', '7/3', '5'] -> 9/7 * 7/3 * (4/3 + 5 / 3/4)
[178341] ['7/8', '9/8', '9/8', '5/4', '3'] -> 3 / (9/8 - 5/4 - (7/8 - 9/8))
[178342] ['3/7', '4/7', '8/5', '2', '7/2'] -> (2 * 7/2 - 4/7) / (3/7 / 8/5)
[178343] ['5/7', '6/7', '8/7', '8/5', '9'] -> (8/7 + 5/7 * 8/5) / (6/7 / 9)
[178344] ['2/5', '6/7', '5/3', '7/4', '6'] -> (6 - 6/7 / 5/3) / (2/5 / 7/4)
[178345] ['3/7', '4/9', '1', '7/5', '5/2'] -> (1 + 7/5 / 3/7) / (4/9 / 5/2)
[178346] ['2/7', '9/4', '5/2', '5/2', '6'] -> 6 * (5/2 / 2/7 - (9/4 + 5/2))
[178347] ['3/7', '4/7', '5/3', '5/3', '2'] -> (5/3 + 2) / (4/7 - 3/7) - 5/3
[178348] ['5/7', '6/7', '8/7', '9/4', '9'] -> 8/7 * (9/4 * (5/7 + 9) - 6/7)
[178349] ['3/8', '7/6', '7/6', '9/5', '7'] -> 9/5 / (3/8 * 7/6) * (7 - 7/6)
[178350] ['7/8', '9/8', '9/8', '3/2', '3'] -> 3 / (7/8 - 9/8 - (9/8 - 3/2))
[178351] ['3/4', '9/7', '4/3', '7/2', '5'] -> 9/7 * 7/2 * (5 / 3/4 - 4/3)
[178352] ['4/7', '3/4', '5/3', '7/3', '3'] -> (5/3 + 7/3) * (3/4 + 3 / 4/7)
[178353] ['1/9', '2/7', '3/5', '9/4', '9'] -> (1/9 + 3/5) * (9/4 + 9 / 2/7)
[178354] ['3/8', '7/6', '7/6', '9/4', '7'] -> 7 / (3/8 - 7/6 - (7/6 - 9/4))
[178355] ['1/4', '3/4', '9/7', '8/5', '7'] -> (9/7 - 3/4) * 7 / (1/4 / 8/5)
[178356] ['7/8', '9/8', '9/8', '5/3', '3'] -> 3 / (7/8 + 9/8 - 9/8 * 5/3)
[178357] ['4/7', '2/3', '7/8', '5/2', '8'] -> (5/2 - 4/7 * 7/8) / (2/3 / 8)
[178358] ['4/5', '7/6', '7/5', '9/4', '4'] -> 4 / (4/5 * 9/4 - 7/6 * 7/5)
[178359] ['1/6', '8/9', '1', '5/4', '5/3'] -> 5/3 / 5/4 / (1/6 + 8/9 - 1)
[178360] ['3/8', '7/6', '7/6', '5/2', '7'] -> 5/2 * 7 / (7/6 - 3/8 * 7/6)
[178361] ['2/5', '6/7', '5/3', '5/2', '6'] -> 5/3 * (6/7 + 6) * (5/2 - 2/5)
[178362] ['3/4', '9/7', '7/5', '7/5', '5'] -> (7/5 + 7/5) * 5 / (3/4 / 9/7)
[178363] ['2/3', '3/4', '9/7', '2', '7/3'] -> 2/3 / (7/3 - (3/4 + 2 / 9/7))
[178364] ['2/7', '9/4', '8/3', '7/2', '6'] -> 9/4 * 7/2 * (6 - (2/7 + 8/3))
[178365] ['4/7', '7/8', '6/5', '9/2', '6'] -> (9/2 + 4/7 * 7/8) * (6 - 6/5)
[178366] ['3/7', '4/7', '5/3', '2', '7/2'] -> 4/7 * 2 / (5/3 / 7/2 - 3/7)
[178367] ['3/8', '7/6', '7/6', '9/2', '7'] -> (9/2 + 7 / 7/6) / (3/8 * 7/6)
[178368] ['1/4', '3/4', '4/3', '7/5', '7'] -> (3/4 * 4/3 + 7 / 7/5) / 1/4
[178369] ['4/7', '3/4', '5/3', '3', '9/2'] -> 9/2 * (3 / (4/7 * 3/4) - 5/3)
[178370] ['4/5', '7/6', '7/5', '8/3', '4'] -> 4 / ((8/3 - 4/5) / 7/5 - 7/6)
[178371] ['2/5', '6/7', '5/3', '7/2', '6'] -> (6 / 5/3 - 6/7) / (2/5 / 7/2)
[178372] ['3/8', '7/6', '6/5', '6/5', '7'] -> (6/5 + 7) / (3/8 + 7/6 - 6/5)
[178373] ['7/8', '9/8', '9/8', '7/3', '3'] -> 9/8 / (9/8 - 7/8) * (7/3 + 3)
[178374] ['2/7', '7/3', '7/3', '7/3', '6'] -> 6 * (7/3 + 7/3 - 2/7 * 7/3)
[178375] ['1/6', '8/9', '1', '5/4', '5/2'] -> (1/6 + 5/2) / (8/9 * 5/4 - 1)
[178376] ['5/7', '6/7', '7/6', '7/5', '9'] -> 5/7 / (7/6 - 6/7) * (7/5 + 9)
[178377] ['1/4', '3/4', '4/3', '9/5', '7'] -> 4/3 * 9/5 * (7 + 3/4 / 1/4)
[178378] ['2/3', '3/4', '9/7', '2', '7/2'] -> 2/3 / (3/4 + 2 - 7/2 / 9/7)
[178379] ['4/5', '7/6', '3/2', '3/2', '4'] -> 4 / (7/6 / (3/2 - 4/5) - 3/2)
[178380] ['4/7', '3/4', '7/4', '9/5', '3'] -> 3 * (7/4 / (3/4 - 4/7) - 9/5)
[178381] ['2/5', '6/7', '7/4', '7/4', '6'] -> 6/7 * (7/4 + 6 / (2/5 / 7/4))
[178382] ['4/7', '2/3', '8/9', '6/5', '8'] -> 8 / 6/5 / (2/3 / 4/7 - 8/9)
[178383] ['2/7', '7/3', '5/2', '5/2', '6'] -> 6 * (7/3 * (2/7 + 5/2) - 5/2)
[178384] ['4/7', '7/8', '5/4', '8/5', '6'] -> 5/4 * 8/5 * 6 / (4/7 * 7/8)
[178385] ['3/8', '7/6', '6/5', '7/5', '7'] -> 7/5 * 7 / (6/5 + 3/8 - 7/6)
[178386] ['3/4', '9/7', '7/5', '9/5', '5'] -> (9/5 + 9/7 * 7/5) / (3/4 / 5)
[178387] ['2/5', '6/7', '7/4', '9/5', '6'] -> 6 * (9/5 + 7/4 * (2/5 + 6/7))
[178388] ['7/8', '9/8', '8/7', '7/6', '3'] -> 8/7 / (7/6 - 9/8) - 3 / 7/8
[178389] ['4/5', '7/6', '3/2', '7/4', '4'] -> 4 / (7/6 * 7/4 - 3/2 / 4/5)
[178390] ['1/6', '8/9', '1', '9/7', '9/7'] -> 9/7 / (1/6 / 8/9) / (9/7 - 1)
[178391] ['3/7', '4/7', '7/4', '2', '5/2'] -> (2 + 5/2 / 7/4) / (4/7 - 3/7)
[178392] ['2/7', '7/3', '8/3', '8/3', '6'] -> 8/3 - (7/3 - 8/3) + 6 / 2/7
[178393] ['3/8', '7/6', '6/5', '5/3', '7'] -> (7 - (7/6 - 5/3)) / (3/8 / 6/5)
[178394] ['2/5', '6/7', '7/4', '9/4', '6'] -> (2/5 + 6) * (9/4 + 6/7 * 7/4)
[178395] ['4/7', '3/4', '7/4', '5/2', '3'] -> 3 / (3/4 - 4/7) / (7/4 / 5/2)
[178396] ['1/6', '8/9', '1', '9/7', '4/3'] -> 4/3 / (1/6 - 8/9 + 1 / 9/7)
[178397] ['3/4', '9/7', '7/5', '7/3', '5'] -> (3/4 + 9/7 * 7/3) * (7/5 + 5)
[178398] ['1/9', '2/7', '5/8', '5/7', '9'] -> (2/7 + 5/7) / (1/9 - 5/8 / 9)
[178399] ['5/7', '6/7', '7/6', '9/5', '9'] -> 9 * (7/6 + 9/5 * 5/7 / 6/7)
[178400] ['2/3', '3/4', '4/3', '9/5', '2'] -> 2 / (2/3 / 4/3 - 3/4 / 9/5)
[178401] ['1/4', '3/4', '7/5', '7/4', '7'] -> (7 / 7/5 - (3/4 - 7/4)) / 1/4
[178402] ['2/5', '6/7', '7/4', '7/3', '6'] -> (2/5 + 6) * (7/4 + 6/7 * 7/3)
[178403] ['4/7', '2/3', '8/9', '8/5', '8'] -> (8 / 4/7 - 2/3) / (8/9 / 8/5)
[178404] ['3/7', '4/7', '7/4', '2', '9/2'] -> 9/2 / (3/7 / 4/7) / (2 - 7/4)
[178405] ['4/7', '7/8', '5/4', '7/3', '6'] -> (5/4 + 7/3) / (7/8 / 6) - 4/7
[178406] ['4/5', '7/6', '3/2', '7/3', '4'] -> (4/5 + 4) * (7/3 + 7/6 + 3/2)
[178407] ['2/7', '5/2', '5/2', '8/3', '6'] -> 8/3 * (5/2 + 5/2 / 2/7) - 6
[178408] ['2/5', '6/7', '7/4', '8/3', '6'] -> 6 / (2/5 * (8/3 - 7/4 / 6/7))
[178409] ['1/6', '8/9', '1', '9/7', '3/2'] -> 8/9 / ((3/2 - 1/6) / 9/7 - 1)
[178410] ['4/7', '2/3', '8/9', '5/3', '8'] -> 5/3 + (8/9 + 8 / 4/7) / 2/3
[178411] ['3/7', '4/9', '1', '8/5', '8/5'] -> 8/5 / 3/7 / (8/5 - (4/9 + 1))
[178412] ['4/5', '7/6', '3/2', '7/2', '4'] -> 4 / (7/2 - (7/6 + 3/2) / 4/5)
[178413] ['5/7', '6/7', '7/6', '9/2', '9'] -> 9 * (9/2 - 7/6 * (5/7 + 6/7))
[178414] ['2/7', '5/2', '5/2', '7/2', '6'] -> 6 * (5/2 + 5/2 - 2/7 * 7/2)
[178415] ['3/7', '4/7', '9/5', '2', '9/4'] -> 2 / (4/7 / 3/7 - 9/4 / 9/5)
[178416] ['2/5', '6/7', '7/4', '7/2', '6'] -> 6 / (7/4 / (2/5 / 6/7) - 7/2)
[178417] ['1/4', '3/4', '7/5', '9/2', '7'] -> 9/2 * (1/4 / 3/4 + 7 / 7/5)
[178418] ['3/8', '7/6', '6/5', '7/2', '7'] -> 7/2 / (3/8 / 6/5 - 7/6 / 7)
[178419] ['4/7', '3/4', '9/5', '9/4', '3'] -> 3/4 / (9/5 / 3 - 4/7) - 9/4
[178420] ['2/3', '3/4', '7/5', '7/4', '2'] -> 2 / (7/4 * 2/3 / 7/5 - 3/4)
[178421] ['4/5', '7/6', '8/5', '8/5', '4'] -> 4/5 / (8/5 - 7/6 - 8/5 / 4)
[178422] ['3/7', '4/9', '1', '8/5', '5/3'] -> 8/5 / 3/7 / (1 / 5/3 - 4/9)
[178423] ['5/7', '6/7', '6/5', '6/5', '9'] -> (6/7 + 6/5 * 9) / (6/5 - 5/7)
[178424] ['3/8', '7/6', '6/5', '9/2', '7'] -> 7 * (9/2 / 6/5 - 3/8 / 7/6)
[178425] ['4/7', '2/3', '8/9', '9/4', '8'] -> (8/9 * 9/4 + 8 / 4/7) / 2/3
[178426] ['7/8', '9/8', '8/7', '5/3', '3'] -> 8/7 / (3 - (5/3 + 9/8 / 7/8))
[178427] ['2/5', '6/7', '7/4', '9/2', '6'] -> 6/7 * (7/4 + (9/2 + 6) / 2/5)
[178428] ['2/7', '5/2', '8/3', '8/3', '6'] -> 5/2 * (8/3 + 8/3 / 2/7) - 6
[178429] ['4/7', '2/3', '8/9', '7/3', '8'] -> 8/9 + (4/7 + 2/3) * 7/3 * 8
[178430] ['5/7', '6/7', '6/5', '5/4', '9'] -> 9 / (6/7 * 5/4 - 5/7) - 6/5
[178431] ['4/5', '7/6', '8/5', '9/4', '4'] -> (4/5 + 7/6 * 8/5) * 9/4 * 4
[178432] ['3/8', '7/6', '5/4', '5/4', '7'] -> 7/6 + (7 + 5/4 * 5/4) / 3/8
[178433] ['3/7', '4/7', '9/5', '2', '8/3'] -> 8/3 / (2 / 9/5 - (3/7 + 4/7))
[178434] ['1/4', '3/4', '8/5', '9/4', '7'] -> 8/5 * 9/4 * (7 - 1/4 / 3/4)
[178435] ['3/7', '4/9', '1', '8/5', '9/5'] -> 8/5 / 9/5 / (4/9 / 3/7 - 1)
[178436] ['4/7', '2/3', '8/9', '5/2', '8'] -> (5/2 - 4/7) * 8 * (2/3 + 8/9)
[178437] ['5/7', '6/7', '6/5', '9/7', '9'] -> 6/5 * (5/7 + 9 * (6/7 + 9/7))
[178438] ['2/5', '6/7', '9/5', '9/4', '6'] -> 6 / (2/5 - 9/4 + 9/5 / 6/7)
[178439] ['3/7', '4/7', '9/5', '2', '7/2'] -> 4/7 / 3/7 / (2 - 7/2 / 9/5)
[178440] ['7/8', '9/8', '8/7', '5/2', '3'] -> 9/8 / (3 - (7/8 + 5/2) / 8/7)
[178441] ['4/7', '2/3', '8/9', '7/2', '8'] -> (2/3 + 4/7 * 7/2) / (8/9 / 8)
[178442] ['2/7', '5/2', '7/2', '9/2', '6'] -> 7/2 * (2/7 + 6) - (5/2 - 9/2)
[178443] ['1/9', '2/7', '5/8', '8/7', '9'] -> 9 / 1/9 / (8/7 / 2/7 - 5/8)
[178444] ['1/6', '8/9', '1', '9/7', '7/3'] -> (8/9 + 7/3 + 1 / 9/7) / 1/6
[178445] ['2/5', '6/7', '9/5', '9/2', '6'] -> 6/7 * 9/2 * (6 + 2/5 / 9/5)
[178446] ['4/5', '7/6', '5/3', '7/4', '4'] -> 4 / (7/4 / 7/6 - 4/5 * 5/3)
[178447] ['3/8', '7/6', '5/4', '8/5', '7'] -> 7 / (8/5 - (3/8 + 7/6 / 5/4))
[178448] ['2/3', '3/4', '3/2', '8/5', '2'] -> 2 / (3/4 / 3/2 - 2/3 / 8/5)
[178449] ['4/7', '3/4', '9/4', '7/3', '3'] -> 9/4 * 7/3 * (4/7 + 3 / 3/4)
[178450] ['3/4', '9/7', '3/2', '5/2', '5'] -> (3/2 + 5/2 * 5) / (3/4 / 9/7)
[178451] ['4/5', '7/6', '5/3', '9/5', '4'] -> 9/5 * 4 / (4/5 + 7/6 - 5/3)
[178452] ['3/7', '4/9', '1', '8/5', '8/3'] -> 8/5 * (1 + 8/3 / (3/7 * 4/9))
[178453] ['2/3', '3/4', '3/2', '9/5', '2'] -> 2/3 / ((3/4 + 2) / 9/5 - 3/2)
[178454] ['3/7', '4/7', '2', '9/4', '7/2'] -> 2 / (4/7 / 3/7 + 9/4 - 7/2)
[178455] ['1/9', '2/7', '5/8', '6/5', '9'] -> 9 / (5/8 / (1/9 + 2/7) - 6/5)
[178456] ['3/8', '7/6', '5/4', '9/5', '7'] -> 7 / (3/8 / 9/5 - (7/6 - 5/4))
[178457] ['2/5', '6/7', '9/4', '7/3', '6'] -> 6 / (7/3 * (9/4 - 6/7 / 2/5))
[178458] ['1/4', '3/4', '7/4', '9/5', '7'] -> 7 / 7/4 / (3/4 / 9/5 - 1/4)
[178459] ['1/6', '8/9', '1', '4/3', '7/5'] -> 4/3 / (8/9 - (1/6 + 1) / 7/5)
[178460] ['3/4', '9/7', '3/2', '8/3', '5'] -> 9/7 * 8/3 * (5 + 3/2 / 3/4)
[178461] ['4/7', '3/4', '9/4', '8/3', '3'] -> 9/4 * (3/4 + (8/3 + 3) / 4/7)
[178462] ['4/5', '7/6', '5/3', '7/3', '4'] -> 4 / (4/5 * 5/3 + 7/6 - 7/3)
[178463] ['2/3', '3/4', '3/2', '2', '7/3'] -> 2/3 / (7/3 / (3/2 * 2) - 3/4)
[178464] ['4/7', '7/8', '4/3', '4/3', '6'] -> 6 * (4/3 + 4/3 / (4/7 * 7/8))
[178465] ['3/8', '7/6', '5/4', '8/3', '7'] -> 7 / (7/6 * (5/4 - 3/8 * 8/3))
[178466] ['1/6', '8/9', '1', '4/3', '8/5'] -> (1 + 4/3 / 8/9) / (1/6 / 8/5)
[178467] ['2/7', '7/2', '7/2', '9/2', '6'] -> 9/2 / 7/2 + 6 * (2/7 + 7/2)
[178468] ['1/9', '2/7', '5/8', '4/3', '9'] -> 9 / 2/7 - 4/3 / (1/9 / 5/8)
[178469] ['5/7', '6/7', '6/5', '9/2', '9'] -> 9/2 / (6/7 - 5/7) - 9 / 6/5
[178470] ['4/5', '7/6', '5/3', '5/2', '4'] -> 5/2 * (4/5 + 4) / (5/3 - 7/6)
[178471] ['2/3', '3/4', '3/2', '2', '7/2'] -> 2 / (2/3 * 7/2 - (3/4 + 3/2))
[178472] ['3/4', '9/7', '8/5', '8/5', '5'] -> 9/7 * 5 * (8/5 + 8/5 / 3/4)
[178473] ['7/8', '9/8', '7/6', '9/5', '3'] -> 3 / (7/8 / 7/6 - 9/8 / 9/5)
[178474] ['2/5', '6/7', '9/4', '7/2', '6'] -> (7/2 + 6 / 6/7) / 2/5 - 9/4
[178475] ['1/4', '3/4', '9/5', '5/2', '7'] -> 5/2 * (9/5 * 7 - 3/4 / 1/4)
[178476] ['2/3', '3/4', '8/5', '5/3', '2'] -> 2 / (3/4 / 2/3 - 5/3 / 8/5)
[178477] ['3/7', '4/7', '2', '7/3', '8/3'] -> 4/7 / (7/3 / 2 - 3/7 * 8/3)
[178478] ['4/7', '7/8', '4/3', '3/2', '6'] -> 4/3 * 3/2 * 6 / (4/7 * 7/8)
[178479] ['4/5', '7/6', '7/4', '7/4', '4'] -> 7/4 * 4 / (7/4 - 7/6 / 4/5)
[178480] ['4/7', '2/3', '9/8', '8/5', '8'] -> 9/8 * 8/5 * (8 / 4/7 - 2/3)
[178481] ['1/9', '2/7', '5/8', '3/2', '9'] -> 9 / (5/8 / 1/9 - 3/2 / 2/7)
[178482] ['1/3', '1/3', '1/3', '4/9', '6'] -> 6 / (1/3 / 1/3 - 1/3 / 4/9)
[178483] ['4/7', '3/4', '5/2', '5/2', '3'] -> 3 * ((5/2 + 5/2) / 4/7 - 3/4)
[178484] ['2/5', '6/7', '7/3', '7/3', '6'] -> (6/7 + 6) * (7/3 / 2/5 - 7/3)
[178485] ['2/3', '3/4', '8/5', '2', '9/4'] -> 2 / (2/3 / 8/5 - 3/4 / 9/4)
[178486] ['4/5', '7/6', '7/4', '9/4', '4'] -> 4 / (4/5 * (9/4 - 7/6 * 7/4))
[178487] ['7/8', '9/8', '6/5', '5/4', '3'] -> 3 / (7/8 - 9/8 / 6/5 / 5/4)
[178488] ['5/7', '6/7', '5/4', '3/2', '9'] -> 9 / (5/4 * (3/2 - 6/7 / 5/7))
[178489] ['3/4', '9/7', '8/5', '9/4', '5'] -> 9/7 * 5 * (8/5 + 9/4) - 3/4
[178490] ['2/5', '6/7', '7/3', '5/2', '6'] -> 5/2 * 6 * (6/7 * 7/3 - 2/5)
[178491] ['3/7', '4/7', '2', '5/2', '8/3'] -> (5/2 - 4/7) * 8/3 / (3/7 / 2)
[178492] ['4/7', '3/4', '5/2', '8/3', '3'] -> 3 * (5/2 / 3/4 + 8/3 / 4/7)
[178493] ['4/7', '7/8', '4/3', '9/5', '6'] -> 9/5 * (4/3 + 6 / (4/7 * 7/8))
[178494] ['3/8', '7/6', '9/7', '7/4', '7'] -> 7 / (7/4 - (7/6 + 3/8 / 9/7))
[178495] ['4/5', '7/6', '7/4', '5/2', '4'] -> 4 / (5/2 - 4/5 * (7/6 + 7/4))
[178496] ['1/4', '7/9', '7/9', '7/9', '7'] -> (7/9 * 7 - 7/9) / (1/4 * 7/9)
[178497] ['5/7', '6/7', '5/4', '8/5', '9'] -> (9 * 5/4 * 8/5 - 6/7) / 5/7
[178498] ['3/7', '4/7', '2', '7/2', '7/2'] -> 7/2 * (3/7 - 4/7 + 2 * 7/2)
[178499] ['3/7', '4/9', '1', '5/3', '9/2'] -> 9/2 * (4/9 + 1 + 5/3 / 3/7)
[178500] ['1/3', '1/3', '1/3', '5/6', '6'] -> (6 + 1/3 + 1/3) / (1/3 * 5/6)
[178501] ['4/7', '3/4', '8/3', '8/3', '3'] -> (8/3 + 8/3) * (3 / 4/7 - 3/4)
[178502] ['3/8', '7/6', '9/7', '9/5', '7'] -> (7 + 9/7 / 9/5) / (3/8 / 7/6)
[178503] ['4/7', '7/8', '4/3', '7/3', '6'] -> 6 * (7/3 + 7/8 * (4/7 + 4/3))
[178504] ['4/7', '2/3', '9/8', '9/4', '8'] -> (9/4 / 9/8 + 8 / 4/7) / 2/3
[178505] ['1/3', '1/3', '1/3', '6/7', '6'] -> (1/3 / 1/3 + 6 / 6/7) / 1/3
[178506] ['4/7', '3/4', '8/3', '3', '7/2'] -> 8/3 * 7/2 * (3 - 4/7 * 3/4)
[178507] ['2/5', '6/7', '7/3', '9/2', '6'] -> 9/2 * 6/7 * 7/3 + 6 / 2/5
[178508] ['4/5', '7/6', '7/4', '4', '9/2'] -> 7/4 / 7/6 + 9/2 / (4/5 / 4)
[178509] ['2/3', '3/4', '5/3', '9/5', '2'] -> 9/5 / (2 / 5/3 - 3/4 / 2/3)
[178510] ['4/7', '7/8', '4/3', '5/2', '6'] -> 4/3 * 6 * (5/2 + 4/7 * 7/8)
[178511] ['1/3', '1/3', '1/3', '7/6', '6'] -> (1/3 / 1/3 + 7/6 * 6) / 1/3
[178512] ['3/4', '9/7', '8/5', '8/3', '5'] -> 5 * (8/5 / 9/7 + 8/3 / 3/4)
[178513] ['5/7', '6/7', '5/4', '9/4', '9'] -> 9 * (5/4 + 9/4 - 5/7 / 6/7)
[178514] ['3/7', '3/5', '3/5', '2/3', '2'] -> 2 / (2/3 - 3/5 / (3/7 + 3/5))
