[256088] ['2/5', '7/6', '5/4', '9/7', '8'] -> ((((8 * 7/6) / 2/5) * 9/7) / 5/4)
[257943] ['1/9', '1/6', '5/9', '9/8', '6'] -> (1/6 / (1/9 - ((5/9 * 9/8) / 6)))
[257944] ['1/5', '8/7', '8/7', '3/2', '2'] -> ((8/7 + (8/7 / 1/5)) * (3/2 + 2))
[257945] ['1/9', '1/7', '3/5', '7/9', '9'] -> (3/5 * ((7/9 / (1/9 * 1/7)) - 9))
[257946] ['1/6', '3/8', '3/8', '1', '9/7'] -> (9/7 / (3/8 - (3/8 / (1/6 + 1))))
[257947] ['8/9', '7/5', '2', '7/3', '8/3'] -> (8/3 / ((8/9 * 2) - (7/3 / 7/5)))
[257948] ['4/9', '1/2', '3/4', '7/8', '2'] -> (2 / (3/4 * (1/2 - (4/9 * 7/8))))
[257949] ['4/9', '5/6', '5/6', '8/3', '7'] -> (((5/6 / 5/6) + (8/3 + 7)) / 4/9)
[257950] ['1/9', '1/6', '5/9', '8/7', '6'] -> ((5/9 - 1/6) * ((6 * 8/7) / 1/9))
[257951] ['2/9', '3/5', '1', '6/5', '7/5'] -> ((1 + ((6/5 + 7/5) / 3/5)) / 2/9)
[257952] ['4/9', '1/2', '3/4', '8/7', '2'] -> (2 / (3/4 * (1/2 - (4/9 / 8/7))))
[257953] ['4/9', '5/6', '5/6', '7/2', '7'] -> ((7/2 + (5/6 * 7)) / (5/6 - 4/9))
[257954] ['1/4', '4/7', '4/5', '7/8', '9'] -> (9 / ((7/8 * (4/7 / 4/5)) - 1/4))
[257955] ['1/9', '1/7', '3/5', '5/6', '9'] -> (5/6 * ((3/5 / (1/9 * 1/7)) - 9))
[257956] ['1/5', '8/7', '8/7', '9/5', '2'] -> (((8/7 / 8/7) + (9/5 + 2)) / 1/5)
[257957] ['2/9', '1/2', '6/7', '5/2', '6'] -> ((2/9 + 6) * (5/2 + (1/2 + 6/7)))
[257958] ['2/9', '3/5', '1', '6/5', '3/2'] -> ((3/5 + 1) / (2/9 * (3/2 - 6/5)))
[257959] ['2/7', '1/2', '3/4', '6/5', '3'] -> ((3 / (1/2 - (2/7 / 3/4))) - 6/5)
[257960] ['3/7', '3/7', '4/7', '4/5', '8'] -> ((((4/7 + 8) / 4/5) - 3/7) / 3/7)
[257961] ['4/9', '1/2', '3/4', '9/7', '2'] -> (2 / ((4/9 - 3/4) + (1/2 / 9/7)))
[257962] ['2/9', '3/5', '1', '6/5', '8/5'] -> (8/5 / (6/5 - (1 + (2/9 * 3/5))))
[257963] ['1/9', '1/6', '5/9', '8/5', '6'] -> (6 / (((1/9 + 5/9) / 8/5) - 1/6))
[257964] ['1/5', '8/7', '8/7', '2', '7/3'] -> (7/3 * (((2 * 8/7) / 1/5) - 8/7))
[257965] ['1/6', '3/8', '3/8', '1', '9/5'] -> (9/5 / ((3/8 / (1 - 1/6)) - 3/8))
[257966] ['2/9', '1/2', '6/7', '8/3', '6'] -> ((8/3 + 6) / ((1/2 / 6/7) - 2/9))
[257967] ['1/9', '4/9', '5/8', '8/7', '2'] -> (2 / (5/8 - (4/9 + (1/9 / 8/7))))
[257968] ['4/9', '5/6', '6/7', '7/8', '7'] -> (7 / ((5/6 - 4/9) * 6/7) * 7/8))
[257969] ['3/7', '3/7', '4/7', '5/6', '8'] -> (((4/7 / 3/7) + (8 / 3/7)) / 5/6)
[257970] ['3/8', '5/6', '6/7', '8/9', '9'] -> ((6/7 * 9) * (8/9 + (5/6 / 3/8)))
[257971] ['1/5', '8/7', '8/7', '2', '8/3'] -> (8/3 * ((2 / 1/5) - (8/7 / 8/7)))
[257972] ['1/4', '4/7', '4/5', '8/7', '9'] -> (9 / ((4/7 / (4/5 * /7)) - 1/4))
[257973] ['1/9', '4/9', '5/8', '7/6', '2'] -> (((7/6 / 1/9) + (2 / 4/9)) / 5/8)
[257974] ['1/6', '3/8', '3/8', '1', '5/2'] -> (((5/2 / 3/8) - (1 / 3/8)) / 1/6)
[257975] ['2/7', '1/2', '3/4', '8/5', '3'] -> (3 / (2/7 * (3/4 - (1/2 / 8/5))))
[257976] ['4/9', '5/6', '6/7', '9/8', '7'] -> (7 / ((4/9 - 9/8) + (5/6 / 6/7)))
[257977] ['3/7', '3/7', '4/7', '9/8', '8'] -> (3/7 / ((8 * (4/7 - 3/7)) - 9/8))
[257978] ['3/8', '5/6', '6/7', '9/8', '9'] -> (9 * ((9/8 / (3/8 * 6/7)) - 5/6))
[257979] ['1/5', '2/9', '2/9', '6/5', '7'] -> ((7 - (6/5 + (2/9 / 2/9))) / 1/5)
[257980] ['2/9', '3/5', '1', '6/5', '9/4'] -> (((1 + (6/5 / 2/9)) * 9/4) / 3/5)
[257981] ['2/7', '1/2', '3/4', '5/3', '3'] -> ((1/2 + ((3 * 5/3) / 2/7)) / 3/4)
[257982] ['1/6', '3/8', '3/8', '1', '7/2'] -> (7/2 / (3/8 - (1/6 * (3/8 + 1))))
[257983] ['4/9', '5/6', '6/7', '8/7', '7'] -> (((7 / (5/6 - 4/9)) * 8/7) / 6/7)
[257984] ['3/7', '3/7', '4/7', '6/5', '8'] -> (6/5 * ((4/7 / 3/7) + (8 / 3/7)))
[257985] ['1/6', '3/8', '3/8', '1', '9/2'] -> ((1 + (9/2 / 3/8)) / (1/6 + 3/8))
[257986] ['2/9', '1/2', '7/8', '9/7', '6'] -> (6 / (1/2 - (9/7 * (2/9 * 7/8))))
[257987] ['1/9', '1/6', '4/7', '5/7', '6'] -> (6 / ((1/6 / 1/9) - (5/7 / 4/7)))
[257988] ['2/7', '1/2', '3/4', '9/5', '3'] -> ((((3 / 2/7) - 1/2) * 9/5) / 3/4)
[257989] ['4/9', '5/6', '6/7', '6/5', '7'] -> ((6/7 * 7) / ((5/6 / 6/5) - 4/9))
[257990] ['1/5', '8/7', '7/6', '6/5', '2'] -> (2 / ((1/5 - 7/6) + (6/5 / 8/7)))
[257991] ['1/9', '1/6', '4/7', '7/9', '6'] -> (7/9 * ((6 / 1/6) - (4/7 / 1/9)))
[257992] ['1/4', '4/7', '1', '9/8', '7/3'] -> (1 / ((1/4 + 9/8) - (4/7 * 7/3)))
[257993] ['4/9', '1/2', '7/9', '7/8', '2'] -> (2 / (((7/8 - 4/9) / 1/2) - 7/9))
[257994] ['2/9', '1/2', '7/8', '7/5', '6'] -> (6 / (2/9 * (1/2 + (7/8 / 7/5))))
[257995] ['1/6', '3/8', '2/5', '4/9', '1'] -> (1 / ((3/8 * 2/5) * 4/9) - 1/6))
[257996] ['1/4', '4/7', '4/5', '4/3', '9'] -> (9 * ((4/3 / (4/7 * 4/5)) - 1/4))
[257997] ['2/9', '3/5', '1', '6/5', '9/2'] -> ((9/2 + ((1 + 6/5) / 2/9)) / 3/5)
[257998] ['1/5', '2/9', '2/9', '4/3', '7'] -> (((2/9 + (4/3 / 1/5)) / 2/9) - 7)
[257999] ['3/7', '3/7', '4/7', '8/5', '8'] -> (8/5 * ((3/7 / 3/7) + (8 / 4/7)))
[258000] ['4/9', '1/2', '7/9', '8/9', '2'] -> (2 / ((7/9 / (4/9 + 8/9)) - 1/2))
[258001] ['1/9', '1/7', '3/5', '9/7', '9'] -> (((9 / 3/5) - (9/7 / 1/9)) / 1/7)
[258002] ['1/9', '1/6', '4/7', '4/5', '6'] -> (((4/5 * 4/7) / 1/9) * (6 - 1/6))
[258003] ['1/5', '8/7', '7/6', '9/7', '2'] -> (8/7 / ((1/5 * 2) * 9/7) - 7/6))
[258004] ['1/9', '4/9', '5/8', '2', '9/4'] -> (((9/4 - 4/9) / (1/9 * 5/8)) - 2)
[258005] ['3/7', '3/7', '4/7', '7/4', '8'] -> (8 / ((4/7 / (3/7 * 7/4)) - 3/7))
[258006] ['1/4', '4/7', '1', '9/8', '8/3'] -> (1 / ((8/3 * (1/4 / 4/7)) - 9/8))
[258007] ['4/9', '5/6', '6/7', '7/5', '7'] -> (7/5 * ((7 / (5/6 - 4/9)) - 6/7))
[258008] ['1/9', '1/6', '4/7', '5/6', '6'] -> ((5/6 / ((1/9 / 4/7) - 1/6)) - 6)
[258009] ['3/7', '3/7', '4/7', '9/4', '8'] -> (8 / ((3/7 / 9/4) - (3/7 - 4/7)))
[258010] ['1/9', '1/7', '3/5', '7/5', '9'] -> (((9 + (1/7 / 1/9)) * 7/5) / 3/5)
[258011] ['1/4', '4/7', '1', '9/8', '7/2'] -> (((1 - 9/8) + (7/2 / 4/7)) / 1/4)
[258012] ['4/9', '5/6', '6/7', '3/2', '7'] -> (((3/2 - (5/6 - 6/7)) * 7) / 4/9)
[258013] ['2/9', '3/5', '1', '5/4', '4/3'] -> (4/3 / (2/9 * (1 - (3/5 * 5/4))))
[258014] ['8/9', '3/2', '3/2', '7/4', '2'] -> (2 / (3/2 * (8/9 * 7/4)) - 3/2))
[258015] ['1/6', '3/8', '2/5', '4/7', '1'] -> (((1 / (2/5 * 4/7)) - 3/8) / 1/6)
[258016] ['2/7', '1/2', '7/9', '6/7', '3'] -> (((3 / (1/2 * 7/9)) - 6/7) / 2/7)
[258017] ['1/9', '1/6', '4/7', '7/8', '6'] -> ((4/7 / (1/9 * 1/6)) - (6 / 7/8))
[258018] ['1/9', '4/9', '5/8', '2', '7/3'] -> ((((7/3 - 4/9) / 1/9) - 2) / 5/8)
[258019] ['4/9', '1/2', '7/9', '6/5', '2'] -> (2 / ((4/9 - 7/9) + (1/2 / 6/5)))
[258020] ['3/7', '3/7', '4/7', '5/2', '8'] -> ((4/7 + (5/2 * 8)) / (3/7 + 3/7))
[258021] ['1/5', '8/7', '7/6', '3/2', '2'] -> (2 / ((1/5 * 7/6) * 3/2) - 8/7))
[258022] ['1/5', '2/9', '2/9', '9/4', '7'] -> ((7 / (2/9 + (1/5 * 2/9))) - 9/4)
[258023] ['8/9', '3/2', '3/2', '9/5', '2'] -> (2 / (3/2 * (8/9 - (3/2 / 9/5))))
[258024] ['1/4', '4/7', '1', '8/7', '8/7'] -> ((8/7 + (4/7 / 1/4)) / (8/7 - 1))
[258025] ['3/7', '3/7', '4/7', '7/2', '8'] -> (8 * ((3/7 / 3/7) + (4/7 * 7/2)))
[258026] ['1/6', '3/8', '2/5', '5/7', '1'] -> (1 / ((1/6 + 2/5) - (3/8 / 5/7)))
[258027] ['1/9', '1/6', '4/7', '9/8', '6'] -> (1/6 / ((1/9 / 4/7) - (9/8 / 6)))
[258028] ['1/4', '4/7', '4/5', '9/4', '9'] -> ((9 / (1/4 * (4/7 + 4/5))) - 9/4)
[258029] ['1/5', '8/7', '7/6', '8/5', '2'] -> (((7/6 * 8/7) / 1/5) * (8/5 + 2))
[258030] ['8/9', '3/2', '3/2', '2', '9/4'] -> ((2 * 9/4) / ((3/2 / 8/9) - 3/2))
[258031] ['1/5', '2/9', '2/9', '7/3', '7'] -> ((1/5 + 7) * (7/3 + (2/9 / 2/9)))
[258032] ['3/7', '3/7', '3/5', '3/5', '8'] -> (8 * (3/5 + ((3/7 + 3/5) / 3/7)))
[258033] ['2/7', '1/2', '7/9', '9/8', '3'] -> (3 / ((2/7 * 1/2) * 7/9) * 9/8))
[258034] ['8/9', '3/2', '3/2', '2', '7/3'] -> (2 / (3/2 * (8/9 + 3/2)) - 7/3))
[258035] ['1/5', '2/9', '2/9', '5/2', '7'] -> (((7 - (2/9 / 1/5)) / 2/9) - 5/2)
[258036] ['1/6', '3/8', '2/5', '7/9', '1'] -> (1/6 / (((7/9 - 3/8) / 2/5) - 1))
[258037] ['1/4', '4/7', '4/5', '7/3', '9'] -> (7/3 * (((9 - 4/7) / 4/5) - 1/4))
[258038] ['3/7', '3/7', '3/5', '2/3', '8'] -> ((8 * (3/7 / 3/5)) / (2/3 - 3/7))
[258039] ['1/9', '1/7', '3/5', '7/4', '9'] -> (7/4 * ((9 / 3/5) - (1/7 / 1/9)))
[258040] ['4/9', '5/6', '6/7', '9/5', '7'] -> (7 * ((5/6 * 9/5) + (6/7 / 4/9)))
[258041] ['1/9', '1/6', '4/7', '5/4', '6'] -> ((6 - 1/6) / (5/4 * (1/9 / 4/7)))
[258042] ['8/9', '3/2', '3/2', '2', '5/2'] -> ((2 + 5/2) / ((3/2 / 8/9) - 3/2))
[258043] ['1/5', '8/7', '7/6', '7/4', '2'] -> (2 / (1/5 * (7/4 - (8/7 * 7/6))))
[258044] ['4/9', '1/2', '7/9', '8/5', '2'] -> ((1/2 * 2) / ((7/9 / 8/5) - 4/9))
[258045] ['3/7', '3/7', '3/5', '5/7', '8'] -> (8 / ((5/7 / 3/5) - (3/7 + 3/7)))
[258046] ['1/4', '4/7', '4/5', '5/2', '9'] -> (5/2 * (9 + (4/7 * (1/4 + 4/5))))
[258047] ['1/9', '1/7', '3/5', '9/5', '9'] -> ((9 - (3/5 / 1/7)) / (1/9 * 9/5))
[258048] ['1/5', '8/7', '7/6', '9/5', '2'] -> ((7/6 * 9/5) * ((2 * 8/7) / 1/5))
[258049] ['1/9', '1/6', '4/7', '9/7', '6'] -> (((6 / 1/6) - (4/7 / 1/9)) / 9/7)
[258050] ['3/7', '3/7', '3/5', '3/4', '8'] -> (8 / (3/4 - (3/7 / (3/7 + 3/5))))
[258051] ['1/6', '3/8', '2/5', '7/8', '1'] -> (1 / ((2/5 * (1/6 + 7/8)) - 3/8))
[258052] ['8/9', '3/2', '8/5', '8/5', '2'] -> (8/5 / ((3/2 * (2 - 8/9)) - 8/5))
[258053] ['2/7', '1/2', '7/9', '9/7', '3'] -> ((9/7 + (3 / 7/9)) / (1/2 - 2/7))
[258054] ['2/9', '1/2', '9/8', '8/7', '6'] -> (6 / ((1/2 / 9/8) - (2/9 / 8/7)))
[258055] ['1/6', '3/8', '2/5', '8/9', '1'] -> ((1/6 + 1) / ((3/8 / 2/5) - 8/9))
[258056] ['2/9', '3/5', '1', '5/4', '9/4'] -> (((1 + 9/4) + (5/4 / 3/5)) / 2/9)
[258057] ['1/4', '4/7', '1', '8/7', '5/3'] -> (8/7 / (((1 - 4/7) / 1/4) - 5/3))
[258058] ['4/9', '5/6', '6/7', '5/2', '7'] -> (((7 * (5/2 - 6/7)) - 5/6) / 4/9)
[258059] ['1/5', '8/7', '7/6', '2', '7/3'] -> ((8/7 * 2) * ((7/3 / 1/5) - 7/6))
[258060] ['3/8', '5/6', '7/8', '9/7', '9'] -> (9 * (9/7 + ((3/8 + 5/6) / 7/8)))
[258061] ['1/6', '3/8', '2/5', '1', '9/8'] -> (((3/8 + 9/8) + (1 / 2/5)) / 1/6)
[258062] ['3/7', '3/7', '3/5', '8/9', '8'] -> (8 / ((3/7 / 3/5) - (3/7 * 8/9)))
[258063] ['4/9', '5/6', '6/7', '9/2', '7'] -> (((6/7 + (4/9 * 9/2)) * 7) / 5/6)
[258064] ['1/9', '1/7', '3/5', '7/2', '9'] -> (7/2 * (9 - (1/7 / (1/9 * 3/5))))
[258065] ['3/8', '5/6', '7/8', '7/5', '9'] -> (9 / ((7/8 / (5/6 * 7/5)) - 3/8))
[258066] ['1/5', '8/7', '7/6', '2', '7/2'] -> (((7/2 * 8/7) / 1/5) / (2 - 7/6))
[258067] ['3/7', '3/7', '3/5', '9/8', '8'] -> (8 / ((3/7 / 3/5) - (3/7 / 9/8)))
[258068] ['1/5', '2/9', '1/4', '2/5', '7'] -> (((7 - (1/5 / 2/9)) / 1/4) - 2/5)
[258069] ['2/9', '3/5', '1', '5/4', '7/2'] -> ((7/2 / (2/9 * 3/5)) - (1 + 5/4))
[258070] ['3/7', '3/7', '3/5', '7/6', '8'] -> (8 / (7/6 * (3/7 / 3/5)) - 3/7))
[258071] ['1/4', '4/7', '5/6', '8/9', '9'] -> (((9 * 8/9) / 4/7) / (5/6 - 1/4))
[258072] ['1/9', '1/7', '5/8', '2/3', '9'] -> (9 / ((1/9 + 2/3) * 5/8) - 1/7))
[258073] ['3/7', '3/7', '3/5', '5/4', '8'] -> (((8 * (3/7 + 3/5)) * 5/4) / 3/7)
[258074] ['4/9', '1/2', '4/5', '4/5', '2'] -> (4/5 / ((4/9 * (2 - 4/5)) - 1/2))
[258075] ['1/5', '8/7', '6/5', '5/4', '2'] -> ((2 + (8/7 * (6/5 + 5/4))) / 1/5)
[258076] ['4/9', '5/6', '7/8', '6/5', '7'] -> ((6/5 + 7) / (7/8 - (4/9 / 5/6)))
[258077] ['1/4', '4/7', '5/6', '8/7', '9'] -> (((8/7 - (4/7 * 5/6)) * 9) / 1/4)
[258078] ['3/7', '3/7', '3/5', '9/7', '8'] -> (8 * ((3/7 + 3/7) + (9/7 / 3/5)))
[258079] ['1/6', '3/8', '2/5', '1', '4/3'] -> ((1/6 + 4/3) / (1 - (3/8 / 2/5)))
[258080] ['8/9', '3/2', '8/5', '2', '7/2'] -> (3/2 / ((2 / 8/9) - (7/2 / 8/5)))
[258081] ['2/9', '3/5', '1', '9/7', '7/5'] -> ((1 + 9/7) * (7/5 / (2/9 * 3/5)))
[258082] ['1/4', '4/7', '1', '7/6', '5/4'] -> ((1/4 + (1 / 4/7)) / (5/4 - 7/6))
[258083] ['4/9', '5/6', '7/8', '5/4', '7'] -> ((7/8 + (5/4 * (5/6 + 7))) / 4/9)
[258084] ['1/9', '1/6', '3/5', '5/7', '6'] -> ((3/5 / (1/9 * 1/6)) - (6 / 5/7))
[258085] ['1/4', '4/7', '5/6', '6/5', '9'] -> (4/7 * ((9 / (1/4 * 5/6)) - 6/5))
[258086] ['8/9', '3/2', '5/3', '5/3', '2'] -> ((5/3 + 5/3) / (8/9 - (3/2 / 2)))
[258087] ['1/9', '4/9', '5/7', '6/7', '2'] -> (2 / (1/9 * (5/7 / 4/9)) - 6/7))
[258088] ['1/9', '1/7', '5/8', '3/4', '9'] -> (9 / ((5/8 / 1/9) - (3/4 / 1/7)))
[258089] ['1/5', '8/7', '6/5', '8/5', '2'] -> (6/5 / ((1/5 + 8/5) - (2 / 8/7)))
[258090] ['1/5', '2/9', '1/4', '3/5', '7'] -> ((7 - 1/5) / (3/5 * (2/9 + 1/4)))
[258091] ['1/9', '1/6', '3/5', '3/4', '6'] -> (6 / ((1/6 / 1/9) - (3/4 / 3/5)))
[258092] ['3/8', '5/6', '8/9', '8/7', '9'] -> ((((9 - 5/6) * 8/7) / 3/8) - 8/9)
[258093] ['1/4', '4/7', '1', '7/6', '4/3'] -> (1 / (((4/3 - 7/6) / 4/7) - 1/4))
[258094] ['1/9', '4/9', '5/7', '7/8', '2'] -> (2 / ((7/8 * (5/7 - 1/9)) - 4/9))
[258095] ['2/9', '1/2', '8/7', '5/4', '6'] -> ((8/7 * 6) * (5/4 + (1/2 / 2/9)))
[258096] ['4/9', '5/6', '7/8', '8/5', '7'] -> ((((7 * 5/6) / 4/9) * 8/5) / 7/8)
[258097] ['1/5', '8/7', '6/5', '5/3', '2'] -> (2 / (((5/3 - 1/5) / 8/7) - 6/5))
[258098] ['2/7', '1/2', '4/5', '6/7', '3'] -> (3 / (((2/7 + 1/2) / 4/5) - 6/7))
[258099] ['2/9', '1/2', '8/7', '9/7', '6'] -> (6 / (1/2 - (9/7 * (2/9 / 8/7))))
[258100] ['1/5', '8/7', '6/5', '9/5', '2'] -> (((9/5 + (6/5 * 2)) * 8/7) / 1/5)
[258101] ['1/5', '2/9', '1/4', '2/3', '7'] -> ((2/9 + (2/3 / 1/5)) * (7 - 1/4))
[258102] ['3/7', '3/7', '3/5', '7/3', '8'] -> ((((8 - 3/7) / 3/5) - 7/3) / 3/7)
[258103] ['8/9', '3/2', '5/3', '2', '7/2'] -> (3/2 / (((7/2 - 5/3) / 8/9) - 2))
[258104] ['3/8', '5/6', '8/9', '9/7', '9'] -> ((8/9 + (5/6 / 3/8)) * (9 - 9/7))
[258105] ['2/7', '1/2', '4/5', '7/8', '3'] -> (3 / (7/8 * (1/2 - (2/7 / 4/5))))
[258106] ['1/5', '8/7', '6/5', '2', '9/4'] -> (((9/4 + (2 / 8/7)) * 6/5) / 1/5)
[258107] ['1/4', '4/7', '5/6', '5/3', '9'] -> (9 + ((5/6 + (5/3 / 4/7)) / 1/4))
[258108] ['2/9', '1/2', '8/7', '7/5', '6'] -> (7/5 * ((8/7 / 2/9) + (6 / 1/2)))
[258109] ['3/7', '3/7', '3/5', '7/2', '8'] -> (7/2 * (8 - (3/7 + (3/7 / 3/5))))
[258110] ['1/9', '1/6', '3/5', '8/7', '6'] -> (8/7 * ((6 / (1/9 + 1/6)) - 3/5))
[258111] ['1/5', '2/9', '1/4', '7/9', '7'] -> ((1/5 + 7) * (2/9 + (7/9 / 1/4)))
[258112] ['1/6', '3/8', '3/7', '3/5', '1'] -> (1 / (3/7 * (3/8 - (1/6 / 3/5))))
[258113] ['4/9', '1/2', '4/5', '4/3', '2'] -> (2 / (1/2 - (4/9 / (4/5 * /3)))
)[258114] ['2/7', '1/2', '4/5', '9/8', '3'] -> (((3 / (2/7 * 4/5)) - 9/8) / 1/2)
[258115] ['8/9', '3/2', '7/4', '9/5', '2'] -> (9/5 / ((7/4 / (2 - 8/9)) - 3/2))
[258116] ['1/4', '4/7', '5/6', '9/4', '9'] -> (9 * (((9/4 - 1/4) / 4/7) - 5/6))
[258117] ['4/9', '5/6', '7/8', '5/2', '7'] -> ((7 + (5/6 + 5/2)) / (7/8 - 4/9))
[258118] ['1/5', '8/7', '6/5', '2', '8/3'] -> ((2 + ((8/3 * 6/5) / 8/7)) / 1/5)
[258119] ['3/8', '5/6', '8/9', '5/3', '9'] -> ((9 * (5/6 + (5/3 / 8/9))) - 3/8)
[258120] ['2/7', '1/2', '4/5', '8/7', '3'] -> ((8/7 * 3) / (1/2 - (2/7 / 4/5)))
[258121] ['1/4', '4/7', '1', '7/6', '5/2'] -> (1 / ((4/7 * 7/6) - (1/4 * 5/2)))
[258122] ['1/6', '3/8', '3/7', '3/4', '1'] -> (1 / ((1/6 + 3/4) - (3/8 / 3/7)))
[258123] ['4/9', '1/2', '4/5', '5/3', '2'] -> (4/5 / ((2 * (4/9 / 5/3)) - 1/2))
[258124] ['1/4', '4/7', '5/6', '5/2', '9'] -> (9 * (((5/2 - 5/6) / 4/7) - 1/4))
[258125] ['1/5', '8/7', '6/5', '2', '9/2'] -> ((8/7 * 2) * (9/2 + (6/5 / 1/5)))
[258126] ['1/4', '4/7', '1', '7/6', '8/3'] -> (1 / (7/6 * 1/4) - (4/7 / 8/3)))
[258127] ['1/6', '3/8', '3/7', '7/9', '1'] -> (1 / (1/6 - (7/9 * (3/8 * 3/7))))
[258128] ['3/7', '3/7', '5/8', '5/7', '8'] -> (((8 * (5/8 + 5/7)) - 3/7) / 3/7)
[258129] ['3/8', '5/6', '8/9', '9/4', '9'] -> ((9 + (8/9 * 9/4)) / (5/6 - 3/8))
[258130] ['1/4', '4/7', '5/6', '8/3', '9'] -> (4/7 * (8/3 + ((5/6 + 9) / 1/4)))
[258131] ['2/9', '1/2', '8/7', '5/2', '6'] -> ((2/9 + 6) * ((5/2 / 1/2) - 8/7))
[258132] ['4/9', '1/2', '4/5', '9/5', '2'] -> (9/5 / (2 - (4/5 + (1/2 / 4/9))))
[258133] ['1/9', '4/9', '5/7', '8/5', '2'] -> (8/5 / ((4/9 / 2) - (1/9 / 5/7)))
[258134] ['2/7', '1/2', '4/5', '9/7', '3'] -> ((4/5 / (2/7 * 1/2)) * (9/7 + 3))
[258135] ['1/4', '4/7', '5/6', '7/2', '9'] -> ((7/2 * ((5/6 * 9) - 4/7)) - 1/4)
[258136] ['3/8', '5/6', '8/9', '8/3', '9'] -> ((8/3 / (8/9 - 5/6)) - (9 / 3/8))
[258137] ['1/6', '3/8', '3/7', '5/6', '1'] -> (((1 / 3/7) - 5/6) / (1/6 * 3/8))
[258138] ['2/9', '3/5', '1', '4/3', '3/2'] -> (4/3 / ((2/9 + 3/2) - (1 / 3/5)))
[258139] ['8/9', '3/2', '9/5', '2', '7/3'] -> (8/9 / ((2 / 3/2) - (7/3 / 9/5)))
[258140] ['4/9', '5/6', '8/9', '6/5', '7'] -> ((6/5 + ((8/9 + 7) / 5/6)) / 4/9)
[258141] ['1/4', '4/7', '1', '6/5', '9/7'] -> (9/7 / (((1 - 1/4) / 6/5) - 4/7))
[258142] ['4/9', '1/2', '4/5', '2', '7/3'] -> ((2 + 7/3) / ((1/2 / 4/5) - 4/9))
[258143] ['3/7', '3/7', '5/8', '6/7', '8'] -> (((6/7 * 8) - 3/7) / (3/7 * 5/8))
[258144] ['1/5', '8/7', '5/4', '7/5', '2'] -> (((2 + (8/7 * 5/4)) * 7/5) / 1/5)
[258145] ['4/9', '5/6', '8/9', '5/4', '7'] -> (7 / ((4/9 + 8/9) - (5/6 * 5/4)))
[258146] ['1/6', '3/8', '3/7', '7/8', '1'] -> ((((7/8 + 1) / 3/7) - 3/8) / 1/6)
[258147] ['8/9', '3/2', '9/5', '2', '5/2'] -> (3/2 / (5/2 * (9/5 / 8/9)) - 2))
[258148] ['3/8', '5/6', '9/8', '8/7', '9'] -> ((9/8 + (3/8 + 5/6)) * (8/7 * 9))
[258149] ['2/7', '1/2', '4/5', '3/2', '3'] -> (3 / ((3/2 / 4/5) - (1/2 / 2/7)))
[258150] ['1/5', '2/9', '1/4', '6/5', '7'] -> ((((1/5 / 2/9) * 7) / 1/4) - 6/5)
[258151] ['8/9', '3/2', '9/5', '2', '7/2'] -> ((8/9 * 3/2) / (2 - (7/2 / 9/5)))
[258152] ['3/8', '5/6', '9/8', '9/7', '9'] -> ((9/8 + (3/8 + 5/6)) * (9/7 + 9))
[258153] ['3/7', '3/7', '5/8', '7/6', '8'] -> (((8 / 7/6) - 3/7) / (3/7 * 5/8))
[258154] ['1/9', '1/7', '5/8', '7/4', '9'] -> (1/7 / ((5/8 / 9) - (1/9 / 7/4)))
[258155] ['3/8', '5/6', '9/8', '7/5', '9'] -> (9 * ((3/8 + 9/8) + (5/6 * 7/5)))
[258156] ['1/5', '2/9', '1/4', '5/4', '7'] -> ((7 / 2/9) - ((1/4 + 5/4) / 1/5))
[258157] ['3/7', '3/7', '5/8', '6/5', '8'] -> (((3/7 / 5/8) + (6/5 * 8)) / 3/7)
[258158] ['1/5', '8/7', '5/4', '7/4', '2'] -> (((8/7 + (2 / 5/4)) * 7/4) / 1/5)
[258159] ['3/7', '3/7', '5/8', '5/4', '8'] -> (8 * ((3/7 / 3/7) + (5/4 / 5/8)))
[258160] ['1/4', '4/7', '7/8', '8/9', '9'] -> ((9 / (1/4 * (4/7 + 7/8))) - 8/9)
[258161] ['1/9', '1/6', '5/8', '6/5', '6'] -> (6 / (1/6 + (6/5 * (1/9 * 5/8))))
[258162] ['2/9', '1/2', '6/5', '9/7', '6'] -> (6 / (9/7 * (1/2 / 6/5)) - 2/9))
[258163] ['1/5', '8/7', '5/4', '9/5', '2'] -> (((5/4 + 9/5) + (2 / 8/7)) / 1/5)
[258164] ['2/9', '3/5', '1', '4/3', '9/2'] -> ((9/2 + (4/3 / (3/5 + 1))) / 2/9)
[258165] ['1/6', '3/8', '3/7', '1', '3/2'] -> (3/2 / ((1/6 + 1) * 3/7) - 3/8))
[258166] ['3/7', '3/7', '5/8', '4/3', '8'] -> ((3/7 + (8 / 4/3)) / (3/7 * 5/8))
[258167] ['1/5', '2/9', '1/4', '3/2', '7'] -> ((1/5 / 1/4) * ((7 / 2/9) - 3/2))
[258168] ['8/9', '3/2', '2', '9/4', '7/2'] -> (2 / ((8/9 * 3/2) + (9/4 - 7/2)))
[258169] ['1/4', '4/7', '7/8', '6/5', '9'] -> ((9 / (4/7 * (7/8 - 1/4))) - 6/5)
[258170] ['3/7', '3/7', '5/8', '7/5', '8'] -> (8 * (7/5 + (3/7 / (3/7 * /8)))
)[258171] ['1/9', '4/9', '3/4', '3/4', '2'] -> ((2 + (4/9 * (3/4 + 3/4))) / 1/9)
