[195031] ['3/4', '7/9', '8/7', '4/3', '8'] -> 8 / (3/4 * (4/3 - 7/9 * 8/7))
[197038] ['3/4', '6/7', '6/5', '3/2', '8'] -> 6/5 * 8 * (3/4 + 3/2 / 6/7)
[197039] ['1/5', '3/8', '4/5', '6/7', '1'] -> 1/5 / (3/8 + 4/5 - 1 / 6/7)
[197040] ['3/7', '4/3', '8/5', '2', '5/2'] -> 8/5 * 5/2 * (4/3 + 2 / 3/7)
[197041] ['3/7', '3/4', '3/4', '7/6', '6'] -> 3/7 * 6 / (3/4 - 3/4 / 7/6)
[197042] ['3/5', '7/5', '7/5', '7/5', '6'] -> (7/5 + 7/5 / 7/5) / (3/5 / 6)
[197043] ['5/7', '8/7', '3/2', '2', '8/3'] -> 8/7 / (8/3 / (3/2 + 2) - 5/7)
[197044] ['1/9', '5/8', '7/8', '9/7', '9'] -> 5/8 / (1/9 - 7/8 / (9/7 + 9))
[197045] ['2/5', '2/3', '2/3', '9/5', '7'] -> (2/3 + 2/3 * 7) / (2/5 / 9/5)
[197046] ['1/5', '3/8', '4/5', '7/8', '1'] -> 3/8 / 1/5 / (7/8 - 4/5) - 1
[197047] ['1/7', '1/5', '4/9', '7/9', '1'] -> (7/9 / 1/7 - 4/9) / 1/5 - 1
[197048] ['1/3', '8/9', '9/8', '9/7', '6'] -> (8/9 + 6 / 9/8) / (1/3 / 9/7)
[197049] ['2/9', '3/5', '5/7', '6/7', '3'] -> ((5/7 + 3) / 3/5 - 6/7) / 2/9
[197050] ['7/9', '8/9', '7/4', '5/2', '9'] -> 9 * (7/9 / 7/4 + 8/9 * 5/2)
[197051] ['3/7', '4/3', '8/5', '2', '7/2'] -> 8/5 * (7/2 / (3/7 / 2) - 4/3)
[197052] ['2/5', '2/3', '2/3', '9/4', '7'] -> (7 / 2/5 - 2/3 * 9/4) / 2/3
[197053] ['4/5', '8/7', '4/3', '7/2', '5'] -> (8/7 + 4/5 * 5) * 4/3 * 7/2
[197054] ['7/9', '8/9', '7/4', '9/2', '9'] -> 9 / (9/2 * (7/4 - (7/9 + 8/9)))
[197055] ['3/7', '4/3', '8/5', '2', '9/2'] -> 8/5 * 9/2 * (2 / 3/7 - 4/3)
[197056] ['3/7', '3/4', '3/4', '7/5', '6'] -> 6 / (7/5 * (3/4 - 3/7 / 3/4))
[197057] ['2/5', '2/3', '2/3', '5/2', '7'] -> (7 - 2/5 / 2/3) / (2/3 / 5/2)
[197058] ['1/5', '3/8', '4/5', '1', '6/5'] -> ((4/5 + 6/5) / 1/5 - 1) / 3/8
[197059] ['7/9', '8/9', '9/5', '9/4', '9'] -> 9 / (9/4 / 9/5 - 7/9 / 8/9)
[197060] ['3/5', '7/5', '7/5', '9/2', '6'] -> (6 - (7/5 + 7/5)) / (3/5 / 9/2)
[197061] ['2/5', '2/3', '2/3', '8/3', '7'] -> (2/5 + 7) * (2/3 + 8/3) - 2/3
[197062] ['5/7', '8/7', '8/5', '9/5', '2'] -> 8/7 * 9/5 / (8/5 / 2 - 5/7)
[197063] ['1/9', '5/8', '7/8', '7/4', '9'] -> 9 * (7/4 + 1/9 + 7/8) - 5/8
[197064] ['1/7', '5/9', '8/5', '5/3', '7'] -> 5/3 / (7 * 1/7 / 8/5 - 5/9)
[197065] ['1/3', '8/9', '8/7', '8/7', '6'] -> 8/7 + 6 * (8/7 + 8/9 / 1/3)
[197066] ['7/9', '8/9', '9/5', '5/2', '9'] -> 5/2 * (9 - (8/9 - 9/5)) - 7/9
[197067] ['3/4', '6/7', '6/5', '8/3', '8'] -> 6/7 * 6/5 * 8/3 * (3/4 + 8)
[197068] ['2/5', '2/3', '2/3', '7/2', '7'] -> 2/3 + (7 + 2/3 * 7/2) / 2/5
[197069] ['1/9', '5/8', '7/8', '9/5', '9'] -> 9/5 * (5/8 + 7/8) * (9 - 1/9)
[197070] ['3/7', '3/4', '3/4', '7/3', '6'] -> 6 / (3/7 / 3/4 - 3/4 / 7/3)
[197071] ['1/3', '8/9', '8/7', '7/6', '6'] -> 6 * (8/9 / 1/3 + 8/7 * 7/6)
[197072] ['3/5', '7/5', '8/5', '7/3', '6'] -> 8/5 * 7/3 * (6 + 3/5 / 7/5)
[197073] ['3/7', '6/7', '1', '9/7', '8/3'] -> 9/7 / (6/7 - 3/7 - 1 / 8/3)
[197074] ['4/5', '8/7', '7/5', '7/4', '5'] -> 5 * (7/5 + 7/4 * (4/5 + 8/7))
[197075] ['7/9', '8/9', '9/4', '7/3', '9'] -> 8/9 * 9/4 * (9 + 7/3 / 7/9)
[197076] ['3/7', '4/3', '5/3', '2', '7/3'] -> (5/3 + 7/3) * (4/3 + 2 / 3/7)
[197077] ['3/7', '3/4', '3/4', '8/3', '6'] -> 6 / (3/4 * 8/3 - 3/4 / 3/7)
[197078] ['1/9', '5/8', '7/8', '9/2', '9'] -> 9 / (5/8 / (1/9 * 9/2) - 7/8)
[197079] ['3/7', '6/7', '1', '9/7', '9/2'] -> (1 + 9/7) * 9/2 / (6/7 - 3/7)
[197080] ['7/9', '8/9', '9/4', '5/2', '9'] -> 8/9 * 9 / (5/2 / 9/4 - 7/9)
[197081] ['3/7', '3/4', '3/4', '9/2', '6'] -> 6 / (3/7 * (3/4 - 3/4 / 9/2))
[197082] ['1/3', '8/9', '8/7', '4/3', '6'] -> 6 / (8/9 / 8/7 / 4/3 - 1/3)
[197083] ['4/5', '8/7', '7/5', '7/3', '5'] -> (7/5 + 7/3) * (5 + 8/7 / 4/5)
[197084] ['3/4', '6/7', '5/4', '7/5', '8'] -> 8 / (5/4 / (3/4 * 7/5) - 6/7)
[197085] ['3/7', '4/3', '5/3', '2', '9/2'] -> 4/3 + 5/3 + 9/2 / (3/7 / 2)
[197086] ['3/7', '6/7', '1', '4/3', '4/3'] -> 4/3 / ((4/3 - 3/7) / 6/7 - 1)
[197087] ['3/7', '3/4', '7/9', '7/9', '6'] -> 6 / (3/4 * 7/9 - 3/7 * 7/9)
[197088] ['1/3', '8/9', '8/7', '7/5', '6'] -> 7/5 * (8/7 + 6 / (1/3 / 8/9))
[197089] ['1/7', '5/9', '8/5', '8/3', '7'] -> 8/3 / (1/7 * 7 - 5/9 * 8/5)
[197090] ['7/9', '8/9', '7/3', '7/2', '9'] -> 8/9 / (7/3 / 9 - 7/9 / 7/2)
[197091] ['1/9', '5/8', '8/9', '8/7', '9'] -> 9 / (5/8 * 8/9 / 8/7 - 1/9)
[197092] ['4/5', '8/7', '7/5', '5/2', '5'] -> 5 * (4/5 + 5/2 * 8/7 * 7/5)
[197093] ['1/5', '3/8', '5/6', '1', '9/8'] -> (1 + 9/8 / 3/8) / (1/5 * 5/6)
[197094] ['5/7', '8/7', '5/3', '2', '7/3'] -> 8/7 / (2 * 5/7 * 5/3 - 7/3)
[197095] ['2/9', '3/5', '5/7', '5/3', '3'] -> (3 / (3/5 * 5/7) - 5/3) / 2/9
[197096] ['4/5', '8/7', '7/5', '8/3', '5'] -> 7/5 * 8/3 * (5 + 8/7 / 4/5)
[197097] ['3/5', '7/5', '7/3', '7/3', '6'] -> (7/5 + 7/3 / 7/3) / (3/5 / 6)
[197098] ['1/9', '5/8', '8/9', '6/5', '9'] -> 6/5 / (1/9 / 8/9) + 9 / 5/8
[197099] ['3/4', '6/7', '5/4', '9/5', '8'] -> 8 / (5/4 / (9/5 - 3/4) - 6/7)
[197100] ['1/7', '1/5', '4/9', '1', '7/5'] -> (1 + 7/5 / 1/7) / (1/5 / 4/9)
[197101] ['1/5', '3/8', '5/6', '1', '7/6'] -> ((5/6 + 7/6) / 1/5 - 1) / 3/8
[197102] ['3/7', '4/3', '7/4', '2', '9/4'] -> (7/4 + 9/4) * (4/3 + 2 / 3/7)
[197103] ['3/5', '6/7', '8/7', '7/4', '8'] -> 8 * (7/4 + 6/7 / (3/5 * 8/7))
[197104] ['3/7', '6/7', '1', '4/3', '9/5'] -> 4/3 / (1 / 9/5 - 3/7 / 6/7)
[197105] ['1/7', '1/5', '4/9', '1', '3/2'] -> 3/2 / (1/5 - 1/7) - 1 / 4/9
[197106] ['3/4', '6/7', '5/4', '5/2', '8'] -> 3/4 / 6/7 + 5/2 * (5/4 + 8)
[197107] ['1/7', '5/9', '5/3', '7/4', '7'] -> (7/4 + 7) / (5/9 / (5/3 - 1/7))
[197108] ['3/7', '3/4', '7/9', '8/7', '6'] -> 6 / (3/7 - 8/7 + 3/4 / 7/9)
[197109] ['1/5', '3/8', '5/6', '1', '5/4'] -> 1 / (1/5 * (5/6 + 5/4) - 3/8)
[197110] ['1/9', '5/8', '8/9', '7/5', '9'] -> 8/9 * (7/5 / 1/9 + 9 / 5/8)
[197111] ['1/7', '1/5', '4/9', '1', '8/5'] -> 8/5 / (1/7 * 4/9) - (1/5 + 1)
[197112] ['3/5', '6/7', '8/7', '9/4', '8'] -> 8 * (9/4 / 3/5 - 6/7 / 8/7)
[197113] ['1/7', '5/9', '5/3', '9/5', '7'] -> 5/3 * 7 * (9/5 + 1/7 / 5/9)
[197114] ['3/4', '6/7', '9/7', '9/7', '8'] -> 9/7 / (3/4 - 6/7 + 9/7 / 8)
[197115] ['3/7', '6/7', '1', '4/3', '5/2'] -> 3/7 / (5/2 / 4/3 - (6/7 + 1))
[197116] ['3/7', '4/3', '7/4', '2', '8/3'] -> 2 / (7/4 / 3/7 - (4/3 + 8/3))
[197117] ['3/5', '6/7', '8/7', '5/2', '8'] -> (6/7 + 8/7) * 8 * 3/5 * 5/2
[197118] ['3/7', '3/4', '7/9', '5/4', '6'] -> (6 + 3/4 + 5/4) / (3/7 * 7/9)
[197119] ['1/3', '8/9', '8/7', '7/3', '6'] -> (8/9 * 6 + 8/7 * 7/3) / 1/3
[197120] ['3/7', '6/7', '1', '4/3', '7/2'] -> 6/7 / (3/7 / 4/3 - 1 / 7/2)
[197121] ['7/9', '9/8', '9/8', '5/4', '9'] -> 9 / 9/8 / (5/4 / 9/8 - 7/9)
[197122] ['3/7', '4/3', '7/4', '2', '7/2'] -> 2 / (7/4 * (3/7 - 4/3 / 7/2))
[197123] ['1/5', '3/8', '5/6', '1', '8/5'] -> (8/5 + 1 / (3/8 * 5/6)) / 1/5
[197124] ['1/9', '5/8', '8/9', '9/5', '9'] -> 9/5 * ((9 - 1/9) / 5/8 - 8/9)
[197125] ['3/7', '6/7', '1', '4/3', '9/2'] -> 1 + (6/7 + 4/3) / (3/7 / 9/2)
[197126] ['7/9', '9/8', '9/8', '4/3', '9'] -> (9/8 + 7/9 * 9/8) * 4/3 * 9
[197127] ['1/7', '5/9', '5/3', '7/2', '7'] -> (7 + 7/2 * (1/7 + 5/3)) / 5/9
[197128] ['3/5', '3/2', '7/4', '7/3', '6'] -> 6 / (3/2 - 7/4 / (3/5 * 7/3))
[197129] ['2/9', '3/5', '3/4', '3/4', '3'] -> 3/4 + 3/4 + 3 / (2/9 * 3/5)
[197130] ['2/5', '2/3', '5/7', '4/3', '7'] -> 7 / (2/5 * 5/7) - 2/3 / 4/3
[197131] ['1/9', '5/8', '8/9', '9/4', '9'] -> 9 * (1/9 + 8/9 * (5/8 + 9/4))
[197132] ['3/4', '6/7', '4/3', '7/5', '8'] -> 4/3 * 7/5 * 8 * (3/4 + 6/7)
[197133] ['1/3', '8/9', '8/7', '7/2', '6'] -> (6 + 1/3 / 7/2) / (8/7 - 8/9)
[197134] ['3/5', '3/2', '7/4', '8/3', '6'] -> 6 * (7/4 + 8/3) - 3/2 / 3/5
[197135] ['4/5', '8/7', '3/2', '7/3', '5'] -> 5 * (4/5 + 7/3 * 8/7 * 3/2)
[197136] ['1/3', '8/9', '8/7', '9/2', '6'] -> 1/3 / 8/9 + 6 / (8/7 / 9/2)
[197137] ['4/5', '8/7', '3/2', '5/2', '5'] -> 3/2 * 5 * (5/2 + 4/5 / 8/7)
[197138] ['7/9', '9/8', '9/8', '5/3', '9'] -> 9/8 + 9 * (5/3 + 7/9 * 9/8)
[197139] ['2/9', '3/5', '3/4', '5/6', '3'] -> (3/4 / 5/6 + 3 / 2/9) / 3/5
[197140] ['1/7', '5/9', '7/4', '9/5', '7'] -> (7 - 5/9 * 9/5) / (1/7 * 7/4)
[197141] ['3/7', '6/7', '1', '7/5', '5/3'] -> 3/7 / (6/7 - 7/5 / 5/3) - 1
[197142] ['1/9', '5/8', '8/9', '9/2', '9'] -> 9 / 1/9 / (8/9 * 9/2 - 5/8)
[197143] ['4/5', '8/7', '3/2', '8/3', '5'] -> 3/2 * (8/7 + 8/3) * (5 - 4/5)
[197144] ['7/9', '9/8', '9/8', '7/4', '9'] -> 9 / (7/9 * (9/8 - 9/8 / 7/4))
[197145] ['3/7', '6/7', '1', '7/5', '7/4'] -> 6/7 / (3/7 * 7/4 - 1 / 7/5)
[197146] ['5/7', '8/7', '9/5', '2', '5/2'] -> 8/7 * 9/5 / (2 / 5/2 - 5/7)
[197147] ['3/5', '6/7', '7/6', '3/2', '8'] -> 8 * (6/7 + 3/2 / (3/5 * 7/6))
[197148] ['4/5', '8/7', '3/2', '9/2', '5'] -> 3/2 / (4/5 * 5 - 9/2 / 8/7)
[197149] ['1/9', '5/8', '9/8', '8/7', '9'] -> 9 / (5/8 / 9/8 / 8/7 - 1/9)
[197150] ['2/5', '2/3', '5/7', '9/5', '7'] -> 7 * (9/5 / 2/5 - 5/7 / 2/3)
[197151] ['3/4', '6/7', '7/5', '7/5', '8'] -> 8 * (7/5 + 7/5 / (3/4 / 6/7))
[197152] ['7/9', '9/8', '9/8', '9/4', '9'] -> 9 / (7/9 * 9/8 - 9/8 / 9/4)
[197153] ['2/9', '3/5', '3/4', '9/8', '3'] -> 9/8 / 3/4 + 3 / (2/9 * 3/5)
[197154] ['1/7', '1/5', '1/2', '1/2', '1'] -> (1 + 1/2 / 1/5) / 1/7 - 1/2
[197155] ['3/5', '3/2', '7/2', '7/2', '6'] -> 3/5 * (3/2 + 7/2) + 7/2 * 6
[197156] ['5/7', '8/7', '9/5', '2', '9/2'] -> 8/7 / (2 / 9/2 - 5/7 / 9/5)
[197157] ['7/9', '9/8', '9/8', '5/2', '9'] -> (7/9 + 5/2 / 9/8) / (9/8 / 9)
[197158] ['1/5', '3/8', '6/7', '1', '8/7'] -> ((6/7 + 8/7) / 1/5 - 1) / 3/8
[197159] ['2/5', '2/3', '5/7', '7/3', '7'] -> (7/3 / 5/7 - (2/3 - 7)) / 2/5
[197160] ['4/5', '8/7', '8/5', '7/4', '5'] -> 8/7 * 7/4 * 5 * (4/5 + 8/5)
[197161] ['1/7', '1/5', '1/2', '4/7', '1'] -> (1 + 1/7 / 1/5) / (4/7 - 1/2)
[197162] ['1/9', '5/8', '9/8', '7/5', '9'] -> (7/5 / 1/9 + 9 / 5/8) / 9/8
[197163] ['2/5', '2/3', '5/7', '5/2', '7'] -> (5/7 + 5/2) * 7 * (2/5 + 2/3)
[197164] ['3/7', '4/3', '2', '9/4', '5/2'] -> (4/3 + 2 / 3/7) / (5/2 - 9/4)
[197165] ['3/5', '6/7', '7/6', '7/3', '8'] -> 8 / (6/7 * (7/3 - 7/6 / 3/5))
[197166] ['7/9', '9/8', '9/8', '9/2', '9'] -> (7/9 + 9/8 / 9/8) * (9/2 + 9)
[197167] ['3/7', '4/3', '2', '9/4', '8/3'] -> 8/3 * (2 + 9/4 / (3/7 / 4/3))
[197168] ['4/5', '8/7', '8/5', '7/3', '5'] -> 8/5 * 7/3 * (5 + 8/7 / 4/5)
[197169] ['3/4', '6/7', '7/5', '8/3', '8'] -> 7/5 * (3/4 + 6/7) * (8/3 + 8)
[197170] ['2/5', '2/3', '5/7', '7/2', '7'] -> (7/2 + 7 / (2/5 / 5/7)) / 2/3
[197171] ['3/5', '6/7', '7/6', '5/2', '8'] -> 5/2 * (3/5 + 8 + 6/7 * 7/6)
[197172] ['3/5', '8/5', '8/5', '7/2', '6'] -> 8/5 * 6 * (7/2 + 3/5 - 8/5)
[197173] ['1/7', '5/9', '9/5', '7/3', '7'] -> (7 + 5/9 * 9/5) / (1/7 * 7/3)
[197174] ['2/9', '3/5', '3/4', '7/5', '3'] -> (3/5 + 7/5) / (3/4 - 2/9 * 3)
[197175] ['1/9', '5/8', '9/8', '5/3', '9'] -> (5/3 + 9) / (5/8 / 9/8 - 1/9)
[197176] ['3/7', '3/4', '4/5', '7/6', '6'] -> 6 / (7/6 * (3/4 - 3/7 / 4/5))
[197177] ['3/7', '4/3', '2', '9/4', '7/2'] -> (3/7 + 4/3 * 9/4) * 2 * 7/2
[197178] ['3/4', '6/7', '7/5', '7/2', '8'] -> 7/2 * (6/7 / 3/4 + 8 / 7/5)
[197179] ['3/5', '8/5', '8/5', '9/2', '6'] -> 8/5 * 9/2 * (6 - 8/5 / 3/5)
[197180] ['3/5', '6/7', '7/6', '8/3', '8'] -> 8 / (7/6 * (6/7 - 3/5)) - 8/3
[197181] ['2/5', '2/3', '5/7', '9/2', '7'] -> 5/7 * 9/2 * 7 * (2/5 + 2/3)
[197182] ['1/7', '5/9', '9/5', '8/3', '7'] -> 7 / (1/7 * 9/5) - (5/9 + 8/3)
[197183] ['3/7', '6/7', '1', '3/2', '8/5'] -> 3/7 / (3/2 - (6/7 + 1 / 8/5))
[197184] ['1/9', '5/8', '9/8', '7/4', '9'] -> (1/9 + 7/4 / 9/8) / (5/8 / 9)
[197185] ['1/7', '1/5', '1/2', '4/5', '1'] -> (1/5 + 1 / 1/7) / (4/5 - 1/2)
[197186] ['3/4', '6/7', '7/5', '9/2', '8'] -> 8 * (9/2 / (6/7 * 7/5) - 3/4)
[197187] ['5/7', '8/7', '2', '7/3', '5/2'] -> 8/7 / (7/3 - (2 + 5/7 / 5/2))
[197188] ['3/5', '8/5', '7/4', '7/4', '6'] -> 8/5 * 6 / (7/4 / 7/4 - 3/5)
[197189] ['2/9', '3/5', '3/4', '9/5', '3'] -> (9/5 + (3/5 + 3) / 2/9) / 3/4
[197190] ['3/5', '6/7', '6/5', '6/5', '8'] -> 3/5 * 8 / (6/5 / 6/7 - 6/5)
[197191] ['1/9', '5/8', '9/8', '9/4', '9'] -> 9 * (1/9 + (5/8 + 9/4) / 9/8)
[197192] ['5/7', '8/7', '2', '7/3', '7/2'] -> 7/3 * (7/2 * (8/7 + 2) - 5/7)
[197193] ['7/9', '9/8', '8/7', '7/5', '9'] -> 9 / (7/5 * (8/7 - 7/9 * 9/8))
[197194] ['1/3', '8/9', '6/5', '9/4', '6'] -> 6/5 * (8/9 * 9/4 + 6 / 1/3)
[197195] ['3/4', '6/7', '3/2', '9/4', '8'] -> 3/4 * 8 * (9/4 + 3/2 / 6/7)
[197196] ['4/5', '8/7', '5/3', '9/4', '5'] -> 5 / (4/5 * 5/3 - 8/7) - 9/4
[197197] ['3/5', '6/7', '6/5', '7/5', '8'] -> 8 * (3/5 + 6/5 + 6/7 * 7/5)
[197198] ['3/7', '6/7', '1', '3/2', '8/3'] -> 6/7 * 3/2 / (3/7 - 1 / 8/3)
[197199] ['4/5', '8/7', '5/3', '7/3', '5'] -> 8/7 / (5 * 4/5 / 7/3 - 5/3)
[197200] ['5/7', '8/7', '2', '5/2', '7/2'] -> 7/2 * (5/7 + 8/7 + 2 * 5/2)
[197201] ['1/3', '8/9', '6/5', '7/2', '6'] -> 6 / (7/2 / 6/5 - 8/9 / 1/3)
[197202] ['3/7', '4/3', '2', '5/2', '8/3'] -> 2 * 8/3 * (5/2 / 3/7 - 4/3)
[197203] ['1/7', '5/9', '7/3', '7/3', '7'] -> (7/3 / 1/7 - 7 / 7/3) / 5/9
[197204] ['3/4', '6/7', '8/5', '5/3', '8'] -> (3/4 + 6/7) * (8/5 + 5/3 * 8)
[197205] ['1/9', '5/8', '8/7', '8/7', '9'] -> 8/7 / 8/7 / (1/9 - 5/8 / 9)
[197206] ['3/5', '6/7', '6/5', '9/5', '8'] -> 6/5 * 8 * (9/5 + 3/5 / 6/7)
[197207] ['3/7', '3/4', '4/5', '9/5', '6'] -> 6 * (3/4 / 3/7 + 9/5 / 4/5)
[197208] ['3/7', '4/3', '2', '5/2', '7/2'] -> 2 * (4/3 + 5/2 + 7/2 / 3/7)
[197209] ['3/5', '5/3', '5/3', '5/3', '6'] -> (5/3 + 5/3 * 5/3) * (6 - 3/5)
[197210] ['3/7', '6/7', '1', '8/5', '8/5'] -> 8/5 / ((3/7 + 1) / 6/7 - 8/5)
[197211] ['7/9', '9/8', '8/7', '7/4', '9'] -> 8/7 * 9 * (7/9 + 7/4 / 9/8)
[197212] ['2/5', '2/3', '3/4', '5/3', '7'] -> 5/3 * (2/5 + 7 / (2/3 * 3/4))
[197213] ['4/5', '8/7', '5/3', '8/3', '5'] -> 5 * (4/5 + 5/3 + 8/3 / 8/7)
[197214] ['3/5', '6/7', '6/5', '9/4', '8'] -> (9/4 * 8 - 6/5) / (3/5 / 6/7)
[197215] ['3/7', '3/4', '4/5', '9/4', '6'] -> 6 / (4/5 - 3/7 / 3/4) - 9/4
[197216] ['3/4', '6/7', '8/5', '9/5', '8'] -> 8/5 + 9/5 * 8 / (3/4 * 6/7)
[197217] ['1/5', '3/8', '6/7', '1', '7/3'] -> (7/3 / (1/5 / 6/7) - 1) / 3/8
[197218] ['1/9', '5/8', '8/7', '7/6', '9'] -> 9 / 8/7 + (5/8 + 7/6) / 1/9
[197219] ['1/7', '5/9', '7/3', '9/2', '7'] -> 9/2 * (7 - 5/9 / (1/7 * 7/3))
[197220] ['1/7', '1/5', '1/2', '1', '6/5'] -> 1/5 + (1 + 6/5 / 1/2) / 1/7
[197221] ['3/7', '4/3', '2', '8/3', '8/3'] -> 2 * (8/3 + (4/3 + 8/3) / 3/7)
[197222] ['2/5', '2/3', '3/4', '7/4', '7'] -> 2/3 + (7 + 7/4 / 3/4) / 2/5
[197223] ['3/5', '6/7', '6/5', '5/2', '8'] -> 8 * (6/5 + 5/2 - 3/5 / 6/7)
[197224] ['3/4', '6/7', '8/5', '5/2', '8'] -> 5/2 + (3/4 + 8) * (6/7 + 8/5)
[197225] ['3/5', '5/3', '5/3', '9/2', '6'] -> 9/2 * (3/5 * 5/3 - (5/3 - 6))
[197226] ['3/7', '3/4', '4/5', '8/3', '6'] -> (3/7 + 6) * (8/3 + 4/5 / 3/4)
[197227] ['3/5', '6/7', '6/5', '9/2', '8'] -> 3/5 / 6/7 * 9/2 * 8 - 6/5
[197228] ['1/7', '5/9', '5/2', '8/3', '7'] -> 8/3 / (1/7 - 5/9 / 5/2 / 7)
[197229] ['4/5', '8/7', '7/4', '7/4', '5'] -> 5 * (4/5 + 8/7 * (7/4 + 7/4))
[197230] ['1/5', '3/8', '6/7', '1', '7/2'] -> 7/2 / (1/5 / 6/7) / (1 - 3/8)
[197231] ['3/7', '6/7', '1', '8/5', '9/4'] -> 6/7 / (8/5 * (3/7 + 1) - 9/4)
[197232] ['1/3', '8/9', '9/7', '9/7', '6'] -> (9/7 + 9/7 * 6) / (1/3 / 8/9)
[197233] ['1/7', '1/5', '1/2', '1', '8/5'] -> (8/5 / 1/7 - (1/5 - 1)) / 1/2
[197234] ['3/4', '6/7', '8/5', '7/2', '8'] -> (3/4 + 6/7 * 7/2) * (8 - 8/5)
[197235] ['3/7', '3/4', '4/5', '9/2', '6'] -> (9/2 / 3/7 + 6 / 4/5) / 3/4
[197236] ['2/9', '3/5', '7/9', '9/8', '3'] -> 3 / (2/9 / (7/9 - 3/5) - 9/8)
[197237] ['7/9', '9/8', '8/7', '7/2', '9'] -> 8/7 * 9 * (7/2 / 9/8 - 7/9)
[197238] ['3/5', '5/3', '7/4', '9/2', '6'] -> 5/3 * (7/4 * 6 - (3/5 - 9/2))
[197239] ['1/3', '8/9', '9/7', '7/5', '6'] -> 8/9 * 7/5 * (9/7 + 6 / 1/3)
[197240] ['1/7', '1/5', '1/2', '1', '5/3'] -> (1/5 + 1 / 1/7) / (1/2 / 5/3)
[197241] ['4/5', '8/7', '7/4', '7/3', '5'] -> 8/7 / (7/3 - 5 * 4/5 / 7/4)
[197242] ['7/9', '9/8', '8/7', '9/2', '9'] -> 7/9 * 9/2 * (9 / 9/8 - 8/7)
[197243] ['1/7', '5/9', '8/3', '8/3', '7'] -> (8/3 + 8/3) / (1/7 + 5/9 / 7)
[197244] ['2/5', '2/3', '7/9', '7/9', '7'] -> (7/9 / 2/3 + 7 / 2/5) / 7/9
[197245] ['3/5', '5/3', '9/5', '5/2', '6'] -> 5/2 * (3/5 + 6 + 5/3 * 9/5)
[197246] ['2/9', '3/5', '7/9', '7/6', '3'] -> 7/6 / 7/9 + 3 / (2/9 * 3/5)
[197247] ['3/7', '7/5', '7/5', '8/5', '2'] -> 3/7 * 8/5 / (2 / 7/5 - 7/5)
[197248] ['4/5', '8/7', '7/4', '5/2', '5'] -> 5/2 / (7/4 / (8/7 - 4/5) - 5)
[197249] ['1/7', '5/9', '8/3', '9/2', '7'] -> 8/3 / (1/7 / 9/2 + 5/9 / 7)
[197250] ['2/5', '2/3', '7/9', '4/5', '7'] -> (2/3 + 4/5 / 2/5) / (7/9 / 7)
[197251] ['1/7', '1/5', '1/2', '1', '9/5'] -> 9/5 / (1/7 * 1/2) - (1/5 + 1)
[197252] ['2/9', '3/5', '7/9', '5/4', '3'] -> 2/9 * 3 / (7/9 - 3/5 * 5/4)
[197253] ['5/7', '7/6', '7/6', '3/2', '2'] -> 2 / (3/2 * 5/7 * 7/6 - 7/6)
[197254] ['3/5', '6/7', '5/4', '3/2', '8'] -> 8 / (5/4 / 3/5 - 3/2 / 6/7)
[197255] ['3/5', '5/3', '7/3', '7/3', '6'] -> 6 / (3/5 / 7/3) - (5/3 - 7/3)
[197256] ['7/9', '9/8', '7/6', '5/4', '9'] -> 9 / (9/8 / 7/9 - 5/4 / 7/6)
[197257] ['4/5', '8/7', '7/4', '8/3', '5'] -> (8/7 + 4/5 * 5) * 7/4 * 8/3
[197258] ['1/7', '1/5', '1/2', '1', '9/4'] -> (1/2 + 1) / (1/5 - 1/7) - 9/4
[197259] ['3/7', '3/4', '5/6', '6/5', '6'] -> (6/5 + 6 / (3/7 * 5/6)) / 3/4
[197260] ['1/3', '8/9', '9/7', '7/4', '6'] -> (6 + 7/4 * 8/9 * 9/7) / 1/3
[197261] ['3/7', '7/5', '7/5', '9/5', '2'] -> 7/5 / (2 / (9/5 - 3/7) - 7/5)
[197262] ['7/9', '9/8', '7/6', '7/5', '9'] -> 7/9 * 9 / (9/8 - 7/6 / 7/5)
[197263] ['1/7', '1/5', '1/2', '1', '7/3'] -> (1/7 + 1 / 1/5) / (1/2 / 7/3)
[197264] ['3/7', '3/4', '5/6', '5/4', '6'] -> 6 / (3/4 / 3/7 - 5/4 / 5/6)
[197265] ['5/7', '7/6', '7/6', '7/4', '2'] -> 2 / (7/4 - 5/7 * (7/6 + 7/6))
[197266] ['3/7', '7/5', '7/5', '2', '9/4'] -> 2 / (7/5 / (3/7 * 7/5) - 9/4)
[197267] ['1/7', '4/7', '4/7', '4/7', '7'] -> (7 - 4/7 / 4/7) / (1/7 / 4/7)
[197268] ['1/9', '5/8', '8/7', '9/4', '9'] -> 9 / (1/9 / 8/7 + 5/8 / 9/4)
[197269] ['3/5', '6/7', '5/4', '7/4', '8'] -> 8 / (5/4 / (3/5 * 7/4) - 6/7)
[197270] ['3/4', '6/7', '5/3', '7/2', '8'] -> (7/2 - 3/4) / (6/7 / 8) - 5/3
[197271] ['3/7', '6/7', '1', '5/3', '9/5'] -> (3/7 + 5/3 * 9/5) / (1 - 6/7)
[197272] ['1/7', '1/5', '1/2', '1', '5/2'] -> 5/2 / (1/7 * (1/5 + 1/2)) - 1
[197273] ['3/7', '3/4', '5/6', '7/5', '6'] -> 6 / (3/4 - 7/5 * 3/7 * 5/6)
