[106381] ['2/9', '9/8', '7/4', '7/2', '4'] -> (4 + 7/2 / 7/4) / (2/9 * 9/8)
[108340] ['4/7', '6/5', '8/3', '8/3', '5'] -> 8/3 / 4/7 + 5 * (6/5 + 8/3)
[108341] ['1/5', '2/3', '6/7', '9/4', '9'] -> 2/3 + 9 / (9/4 * 1/5 * 6/7)
[108342] ['3/5', '4/5', '6/7', '4/3', '4'] -> 4 / (3/5 / 6/7 + 4/5 - 4/3)
[108343] ['1/7', '1/5', '1/3', '3/4', '3'] -> (3 / (1/7 + 1/5) - 3/4) / 1/3
[108344] ['1/3', '1', '6/5', '3/2', '8/5'] -> 8/5 / (1/3 * (1 - 6/5 / 3/2))
[108345] ['5/9', '5/7', '5/6', '5/2', '9'] -> (5/6 + 9 + 5/2 / 5/7) / 5/9
[108346] ['1/8', '3/7', '4/3', '3/2', '6'] -> 3/2 / (1/8 / 3/7) * (6 - 4/3)
[108347] ['1/5', '2/3', '6/7', '5/2', '9'] -> 5/2 * ((9 - 1/5) / 6/7 - 2/3)
[108348] ['5/8', '9/5', '9/5', '5/2', '3'] -> 9/5 / (3 / 5/2 - 5/8 * 9/5)
[108349] ['2/7', '5/9', '3/4', '7/4', '7'] -> 7 / (7/4 - 3/4 / (2/7 / 5/9))
[108350] ['4/7', '6/5', '7/2', '7/2', '5'] -> (7/2 + 7/2) * 5 * 4/7 * 6/5
[108351] ['1/5', '6/7', '4/3', '8/3', '7'] -> 6/7 * 7 * (4/3 / 1/5 - 8/3)
[108352] ['1/8', '1/8', '5/3', '5/2', '7'] -> 7 / (5/3 * (1/8 + 1/8 / 5/2))
[108353] ['4/9', '5/9', '5/6', '5/4', '3'] -> 5/9 / 5/6 / (4/9 - 5/4 / 3)
[108354] ['3/5', '4/5', '6/7', '9/5', '4'] -> 4 / (9/5 - (3/5 + 4/5) / 6/7)
[108355] ['1/7', '1/5', '1/3', '5/6', '3'] -> 1/5 + (3 + 1/3 / 5/6) / 1/7
[108356] ['1/3', '1', '6/5', '3/2', '9/4'] -> 1 / (9/4 / 6/5 - (1/3 + 3/2))
[108357] ['1/5', '6/7', '4/3', '7/2', '7'] -> (7 / 1/5 - 6/7 * 7/2) / 4/3
[108358] ['2/9', '2/5', '4/5', '9/7', '8'] -> (8 / 9/7 - 4/5) / 2/9 - 2/5
[108359] ['2/9', '9/7', '9/7', '8/5', '4'] -> (9/7 + 4 / 2/9) / (9/7 / 8/5)
[108360] ['1/7', '1/7', '1/5', '3/8', '4'] -> (4 + 1/7 / 1/7 / 1/5) / 3/8
[108361] ['1/8', '3/7', '4/3', '9/5', '6'] -> (9/5 - 4/3) / (1/8 / (3/7 + 6))
[108362] ['2/9', '2/5', '4/5', '7/5', '8'] -> 8 / (2/9 / 2/5) / (7/5 - 4/5)
[108363] ['1/8', '1/8', '7/4', '8/3', '7'] -> 8/3 * (1/8 + 1/8 + 7/4 + 7)
[108364] ['5/9', '5/7', '6/7', '8/7', '9'] -> 8/7 * 9 / (5/7 / 5/9 - 6/7)
[108365] ['1/3', '1', '6/5', '3/2', '5/2'] -> 5/2 / (1/3 * (3/2 - 6/5)) - 1
[108366] ['4/9', '5/9', '5/6', '7/4', '3'] -> 3 / (7/4 * (5/6 - 4/9) - 5/9)
[108367] ['5/8', '9/5', '9/4', '3', '7/2'] -> 3 / (7/2 - (9/4 + 5/8 * 9/5))
[108368] ['2/9', '9/7', '9/7', '5/3', '4'] -> 9/7 * (5/3 + 4 / 2/9) - 9/7
[108369] ['1/8', '3/7', '4/3', '9/4', '6'] -> (9/4 / 1/8 + 6 / 3/7) / 4/3
[108370] ['2/7', '5/9', '3/4', '8/3', '7'] -> (8/3 + 2/7 * 7) / (3/4 - 5/9)
[108371] ['1/8', '1/8', '9/5', '9/5', '7'] -> (7 - 9/5 / 9/5) / (1/8 + 1/8)
[108372] ['3/5', '4/5', '6/7', '7/2', '4'] -> (4/5 + 4) * 7/2 / (3/5 / 6/7)
[108373] ['4/7', '5/4', '5/4', '3/2', '5'] -> 5 / (5/4 / (4/7 * 3/2) - 5/4)
[108374] ['3/8', '2/5', '1/2', '6/7', '2'] -> 2 / 2/5 / (1/2 / 6/7 - 3/8)
[108375] ['1/5', '2/3', '7/8', '9/8', '9'] -> 9 + (7/8 + 9/8) / (1/5 * 2/3)
[108376] ['1/5', '6/7', '7/5', '9/5', '7'] -> (7/5 + 7) * (9/5 + 1/5 + 6/7)
[108377] ['2/9', '9/7', '9/7', '7/4', '4'] -> 4 / (2/9 * (7/4 - 9/7 / 9/7))
[108378] ['1/8', '1/8', '9/5', '9/4', '7'] -> (9/4 / (1/8 * 9/5) - 7) / 1/8
[108379] ['5/8', '9/5', '7/3', '7/3', '3'] -> 3 / (5/8 * 9/5 - 7/3 / 7/3)
[108380] ['2/9', '2/5', '4/5', '7/3', '8'] -> 4/5 * 7/3 * 8 / (2/9 + 2/5)
[108381] ['1/8', '3/7', '4/3', '8/3', '6'] -> 3/7 * ((4/3 + 6) / 1/8 - 8/3)
[108382] ['5/8', '9/5', '7/3', '5/2', '3'] -> 3 / (7/3 * 5/8 * 9/5 - 5/2)
[108383] ['1/8', '1/8', '9/5', '7/3', '7'] -> (7 - 7/3) / (1/8 + 1/8 / 9/5)
[108384] ['4/9', '5/9', '5/6', '7/3', '3'] -> (7/3 + 3) / (5/9 / 5/6 - 4/9)
[108385] ['4/7', '5/4', '5/4', '5/3', '5'] -> (5/4 + 5 / 4/7) / (5/3 - 5/4)
[108386] ['1/8', '3/7', '4/3', '9/2', '6'] -> 3/7 * 4/3 * (6 + 9/2 / 1/8)
[108387] ['3/8', '2/5', '1/2', '9/8', '2'] -> 2 / 2/5 / (1/2 / 3/8 - 9/8)
[108388] ['1/7', '1/7', '1/5', '2/3', '4'] -> 2/3 + 4 / (1/7 + 1/7 * 1/5)
[108389] ['1/5', '6/7', '7/5', '8/3', '7'] -> 7 / (7/5 / 8/3 - 1/5 / 6/7)
[108390] ['2/9', '2/5', '5/6', '6/7', '8'] -> (2/9 / 5/6 + 8 / 6/7) / 2/5
[108391] ['1/3', '1', '6/5', '8/5', '7/3'] -> 8/5 / (1 - 7/3 * 1/3 * 6/5)
[108392] ['4/9', '5/9', '6/7', '7/8', '3'] -> 3 / 7/8 / (4/9 + 5/9 - 6/7)
[108393] ['2/7', '5/9', '7/9', '4/5', '7'] -> 2/7 * 7 / (7/9 - 5/9 / 4/5)
[108394] ['1/5', '6/7', '7/5', '7/2', '7'] -> 7/2 * (1/5 + 7) - 6/7 * 7/5
[108395] ['1/8', '1/8', '9/5', '8/3', '7'] -> 9/5 * ((8/3 - 1/8) / 1/8 - 7)
[108396] ['1/7', '1/5', '1/3', '3/2', '3'] -> (3 / (1/7 + 1/3) - 3/2) / 1/5
[108397] ['5/8', '9/5', '8/3', '3', '7/2'] -> 8/3 / (7/2 / (5/8 * 9/5) - 3)
[108398] ['1/5', '6/7', '7/5', '9/2', '7'] -> 6/7 + (1/5 + 7) / (7/5 / 9/2)
[108399] ['5/9', '5/7', '6/7', '8/5', '9'] -> 8/5 * (9 / 5/9 - 6/7 / 5/7)
[108400] ['2/7', '5/9', '7/9', '5/6', '7'] -> 5/6 - (5/9 + 7/9) + 7 / 2/7
[108401] ['1/3', '1', '6/5', '8/5', '7/2'] -> 8/5 / (1/3 - 6/5 / (1 + 7/2))
[108402] ['3/8', '2/5', '1/2', '9/7', '2'] -> 2 / (2/5 * (1/2 - 3/8 / 9/7))
[108403] ['5/8', '9/5', '3', '7/2', '7/2'] -> 3 / (5/8 * 9/5 - 7/2 / 7/2)
[108404] ['5/9', '5/7', '6/7', '7/4', '9'] -> 6/7 / (5/9 - 5/7 + 7/4 / 9)
[108405] ['1/8', '3/7', '7/5', '7/3', '6'] -> (6 / 7/3 - 3/7) / (1/8 / 7/5)
[108406] ['2/9', '9/7', '4/3', '7/5', '4'] -> (9/7 * 4 - 4/3) / (2/9 / 7/5)
[108407] ['1/8', '1/8', '9/4', '9/4', '7'] -> (7 - 9/4 / 9/4) / (1/8 + 1/8)
[108408] ['2/7', '5/9', '7/9', '8/9', '7'] -> (7 + 5/9 / 7/9) / (2/7 / 8/9)
[108409] ['5/8', '9/4', '9/4', '9/4', '3'] -> 3 / (5/8 - 9/4 / (9/4 + 9/4))
[108410] ['1/5', '6/7', '3/2', '8/5', '7'] -> ((7 - 8/5) / 6/7 - 3/2) / 1/5
[108411] ['1/3', '1', '6/5', '5/3', '7/4'] -> 6/5 / (1 / (1/3 * 5/3) - 7/4)
[108412] ['1/8', '3/7', '7/5', '5/2', '6'] -> (3/7 * 7/5 + 6 / 5/2) / 1/8
[108413] ['1/7', '1/7', '1/5', '7/6', '4'] -> 7/6 * ((1/7 + 4) / 1/5 - 1/7)
[108414] ['1/7', '1/5', '1/3', '9/4', '3'] -> 3 / (1/3 * (1/7 + 1/5)) - 9/4
[108415] ['5/8', '9/4', '9/4', '7/3', '3'] -> 9/4 / 9/4 / (3 - (5/8 + 7/3))
[108416] ['5/9', '5/7', '6/7', '9/4', '9'] -> 6/7 + 9/4 * (9 + 5/7 / 5/9)
[108417] ['1/8', '1/8', '9/4', '7/3', '7'] -> 9/4 * ((7/3 - 1/8) / 1/8 - 7)
[108418] ['2/7', '5/9', '7/9', '9/8', '7'] -> (7 + 5/9 / 7/9) / (2/7 * 9/8)
[108419] ['1/8', '3/7', '7/5', '8/3', '6'] -> 6 / (1/8 / 7/5 + 3/7 / 8/3)
[108420] ['4/9', '5/9', '6/7', '4/3', '3'] -> 3 / (5/9 / (4/9 * 6/7) - 4/3)
[108421] ['1/5', '6/7', '3/2', '9/5', '7'] -> (6/7 * 7 - 9/5 / 3/2) / 1/5
[108422] ['4/7', '5/4', '5/4', '9/2', '5'] -> 9/2 * 5 / (5/4 / 4/7 - 5/4)
[108423] ['5/9', '5/7', '6/7', '5/2', '9'] -> 5/7 / (5/9 * 6/7) + 5/2 * 9
[108424] ['1/8', '3/7', '7/5', '7/2', '6'] -> (3/7 + 6 / 7/2) / (1/8 / 7/5)
[108425] ['2/9', '2/5', '5/6', '8/5', '8'] -> (2/5 * 5/6 + 8 / 8/5) / 2/9
[108426] ['1/5', '2/3', '7/8', '9/2', '9'] -> 2/3 / 7/8 * (9 + 9/2 / 1/5)
[108427] ['1/7', '1/5', '1/3', '8/3', '3'] -> (3 + 1/3 / 1/7) / 1/5 - 8/3
[108428] ['1/5', '6/7', '3/2', '9/4', '7'] -> (7 - 3/2 / 6/7) / 1/5 - 9/4
[108429] ['1/7', '1/7', '1/5', '5/3', '4'] -> (4 - 5/3 * (1/7 + 1/5)) / 1/7
[108430] ['3/5', '4/5', '8/9', '8/9', '4'] -> 4 * 3/5 * 8/9 / (8/9 - 4/5)
[108431] ['2/9', '9/7', '4/3', '9/5', '4'] -> (4 - 4/3 / 9/7) / (2/9 / 9/5)
[108432] ['1/7', '1/5', '1/3', '3', '7/2'] -> (3 - 1/7 / 1/5) / (1/3 / 7/2)
[108433] ['1/3', '1', '6/5', '5/3', '7/2'] -> (1 + 7/2 * 6/5 * 5/3) / 1/3
[108434] ['5/8', '9/4', '7/3', '8/3', '3'] -> 3 / (9/4 * (8/3 - 7/3) - 5/8)
[108435] ['5/9', '5/7', '6/7', '9/2', '9'] -> 9 * (6/7 * (9/2 - 5/9) - 5/7)
[108436] ['2/7', '5/9', '7/9', '9/7', '7'] -> 7 * ((7/9 + 9/7) / 5/9 - 2/7)
[108437] ['3/5', '4/5', '8/9', '9/8', '4'] -> 4 * 3/5 / 9/8 / (8/9 - 4/5)
[108438] ['1/5', '6/7', '3/2', '5/2', '7'] -> 6/7 / 5/2 / (3/2 / 7 - 1/5)
[108439] ['3/8', '2/5', '5/9', '5/8', '2'] -> 2 / 5/9 / (3/8 + 2/5 - 5/8)
[108440] ['1/7', '1/7', '1/5', '9/5', '4'] -> (9/5 + 4 - 1/7 / 1/7) / 1/5
[108441] ['1/3', '1', '6/5', '7/4', '7/4'] -> 1 / (1/3 - 7/4 + 7/4 / 6/5)
[108442] ['3/5', '4/5', '8/9', '8/7', '4'] -> 4 / (4/5 / 8/7 - 3/5 * 8/9)
[108443] ['1/8', '1/8', '8/3', '9/2', '7'] -> 9/2 * (1/8 / 1/8 - (8/3 - 7))
[108444] ['2/9', '9/7', '4/3', '7/3', '4'] -> (4 - 9/7 * 4/3) / (2/9 / 7/3)
[108445] ['4/7', '5/4', '9/7', '3/2', '5'] -> (9/7 + 5) / (5/4 / 3/2 - 4/7)
[108446] ['1/3', '1', '6/5', '7/4', '9/5'] -> 6/5 / (9/5 * 1/3 * 7/4 - 1)
[108447] ['3/5', '4/5', '8/9', '7/6', '4'] -> 4 / (3/5 * 8/9 + 4/5 - 7/6)
[108448] ['5/9', '5/7', '7/8', '8/9', '9'] -> 9 / (8/9 / 5/9 - 7/8 / 5/7)
[108449] ['1/8', '1/7', '1/7', '1/7', '7'] -> (1/7 + 1/7 + 1/7) / (1/8 / 7)
[108450] ['4/7', '5/4', '9/7', '7/4', '5'] -> (5 * (5/4 + 7/4) - 9/7) / 4/7
[108451] ['1/5', '2/3', '8/9', '5/4', '9'] -> 8/9 * 9 / (2/3 / 5/4 - 1/5)
[108452] ['1/7', '1/7', '1/5', '7/3', '4'] -> 4 / (1/7 / (1/5 - 1/7) - 7/3)
[108453] ['3/8', '2/5', '5/9', '3/4', '2'] -> 2 / (2/5 * 5/9) / (3/4 - 3/8)
[108454] ['2/9', '9/7', '4/3', '8/3', '4'] -> 4 / (4/3 / (9/7 * 8/3) - 2/9)
[108455] ['1/7', '1/5', '3/8', '3/7', '3'] -> 3 / ((3/7 - 3/8) / 1/5 - 1/7)
[108456] ['1/5', '6/7', '8/5', '8/5', '7'] -> 8/5 / (8/5 / (6/7 * 7) - 1/5)
[108457] ['1/7', '1/7', '1/5', '5/2', '4'] -> 4 * (1/7 + 1/5) / (1/7 / 5/2)
[108458] ['1/8', '1/7', '1/7', '1/5', '7'] -> 7 / (1/7 / (1/7 + 1/5) - 1/8)
[108459] ['1/5', '2/3', '8/9', '9/7', '9'] -> (2/3 + 8/9) * (9 + 9/7 / 1/5)
[108460] ['1/8', '3/7', '8/5', '8/5', '6'] -> (6 + 8/5 / 8/5) / (1/8 / 3/7)
[108461] ['3/8', '2/5', '5/9', '4/5', '2'] -> 2 / (3/8 * 5/9) / (4/5 - 2/5)
[108462] ['2/9', '2/5', '6/7', '8/9', '8'] -> 8 / (2/5 * 6/7) - (2/9 - 8/9)
[108463] ['4/7', '5/4', '9/7', '9/4', '5'] -> (5/4 + 9/4) * (5 + 4/7 + 9/7)
[108464] ['5/9', '5/7', '7/8', '7/6', '9'] -> 9 * 5/9 / 5/7 / (7/6 - 7/8)
[108465] ['1/5', '6/7', '8/5', '7/4', '7'] -> (8/5 + 7 / 7/4) / (1/5 / 6/7)
[108466] ['5/8', '7/3', '7/3', '8/3', '3'] -> 7/3 * 3 / (5/8 + 7/3 - 8/3)
[108467] ['1/5', '2/3', '8/9', '7/5', '9'] -> 8/9 * 7/5 * 9 / (2/3 - 1/5)
[108468] ['1/7', '1/5', '3/8', '1/2', '3'] -> 3 / (3/8 / 1/7 - 1/2 / 1/5)
[108469] ['3/5', '4/5', '8/9', '7/5', '4'] -> 8/9 / (4/5 - 3/5) * (7/5 + 4)
[108470] ['2/7', '5/9', '7/9', '7/4', '7'] -> 7/4 * ((7/9 + 7) / 5/9 - 2/7)
[108471] ['1/7', '1/7', '2/9', '2/9', '4'] -> (2/9 / 2/9 - 1/7) / (1/7 / 4)
[108472] ['4/9', '5/9', '6/7', '8/3', '3'] -> 8/3 / 3 / (5/9 - 4/9 / 6/7)
[108473] ['5/9', '5/7', '7/8', '6/5', '9'] -> (9 / 5/9 - 6/5) / (5/7 * 7/8)
[108474] ['3/5', '4/5', '8/9', '8/5', '4'] -> 8/5 * 4 / (4/5 - 3/5 * 8/9)
[108475] ['1/8', '3/7', '8/5', '9/4', '6'] -> 6 / (3/7 - 1/8 * 8/5) - 9/4
[108476] ['1/3', '1', '6/5', '7/4', '9/2'] -> 1 / (1/3 * 9/2 - 7/4 / 6/5)
[108477] ['4/7', '5/4', '9/7', '5/2', '5'] -> 9/7 / (5/4 * 5/2 / 5 - 4/7)
[108478] ['1/7', '1/5', '3/8', '5/9', '3'] -> 3 / (1/7 * (1/5 + 3/8 / 5/9))
[108479] ['1/8', '1/7', '1/7', '2/5', '7'] -> (1/7 + 2/5 * (1/7 + 7)) / 1/8
[108480] ['2/9', '9/7', '7/5', '5/3', '4'] -> (9/7 + (5/3 + 4) / 7/5) / 2/9
[108481] ['4/9', '5/9', '6/7', '3', '9/2'] -> 4/9 / (3 / 9/2 - 5/9 / 6/7)
[108482] ['2/7', '5/9', '7/9', '7/3', '7'] -> 7 * ((5/9 + 7/3) / 7/9 - 2/7)
[108483] ['2/9', '2/5', '6/7', '6/5', '8'] -> (2/9 * 6/5 + 8 / 6/7) / 2/5
[108484] ['5/8', '7/3', '3', '9/2', '9/2'] -> 9/2 / 9/2 / (3 - (5/8 + 7/3))
[108485] ['3/5', '4/5', '8/9', '9/5', '4'] -> 9/5 * 4 / (4/5 / 8/9 - 3/5)
[108486] ['1/3', '1', '6/5', '9/5', '5/2'] -> 5/2 * (6/5 + (1 + 9/5) / 1/3)
[108487] ['1/7', '1/5', '3/8', '2/3', '3'] -> 2/3 + 3 / (3/8 * (1/7 + 1/5))
[108488] ['3/8', '2/5', '5/9', '7/6', '2'] -> 2 / 3/8 / (5/9 / 2/5 - 7/6)
[108489] ['4/9', '5/9', '7/8', '9/8', '3'] -> 9/8 / (5/9 * 7/8 - 4/9) - 3
[108490] ['1/5', '6/7', '5/3', '5/3', '7'] -> 7 * (5/3 + 5/3 * (1/5 + 6/7))
[108491] ['1/7', '1/7', '2/9', '3/7', '4'] -> 3/7 / (1/7 / 2/9 / 4 - 1/7)
[108492] ['1/8', '1/7', '1/7', '5/9', '7'] -> 7 / (1/7 + 5/9 * (1/8 + 1/7))
[108493] ['2/7', '5/9', '7/9', '5/2', '7'] -> (5/9 + 7) / (7/9 / 5/2) - 2/7
[108494] ['3/5', '4/5', '8/9', '9/4', '4'] -> 4/5 / 8/9 / (3/5 - 9/4 / 4)
[108495] ['3/8', '2/5', '5/9', '5/4', '2'] -> (2 + 5/4 / 3/8) / (2/5 * 5/9)
[108496] ['1/5', '2/3', '8/9', '9/2', '9'] -> 2/3 * 8/9 * (9 / 1/5 - 9/2)
[108497] ['1/3', '1', '6/5', '9/5', '9/2'] -> (1 + 9/5 / 1/3) / (6/5 / 9/2)
[108498] ['5/8', '5/2', '8/3', '3', '7/2'] -> 7/2 * 8/3 * 3 - 5/2 / 5/8
[108499] ['4/7', '5/4', '4/3', '8/5', '5'] -> 5 / (4/3 / (4/7 * 8/5) - 5/4)
[108500] ['2/9', '2/5', '6/7', '4/3', '8'] -> 8 * (6/7 + 4/3 / (2/9 + 2/5))
[108501] ['5/9', '5/7', '7/8', '3/2', '9'] -> 9 / (3/2 - 7/8 / (5/9 / 5/7))
[108502] ['1/5', '6/7', '5/3', '9/5', '7'] -> 7 * (1/5 + 9/5 + 6/7 * 5/3)
[108503] ['1/5', '2/3', '9/8', '9/8', '9'] -> 9 / (1/5 * (9/8 + 2/3 * 9/8))
[108504] ['1/7', '1/5', '3/8', '4/5', '3'] -> 3 / (1/7 * (4/5 + 1/5 * 3/8))
[108505] ['1/8', '3/7', '5/3', '5/3', '6'] -> (6 + 5/3 / 5/3) / (1/8 / 3/7)
[108506] ['1/7', '1/7', '2/9', '4/7', '4'] -> 4/7 / (2/9 * (1/7 - 1/7 / 4))
[108507] ['1/3', '1', '6/5', '9/4', '9/4'] -> 1 / (9/4 - 1/3 - 9/4 / 6/5)
[108508] ['2/9', '2/5', '6/7', '7/5', '8'] -> 8 * (2/5 / 2/9 + 6/7 * 7/5)
[108509] ['3/8', '2/5', '5/9', '4/3', '2'] -> 2/5 / (2 * 3/8 / 5/9 - 4/3)
[108510] ['3/5', '4/5', '9/8', '8/7', '4'] -> 4 / (4/5 / 8/7 - 3/5 / 9/8)
[108511] ['2/9', '9/7', '7/5', '8/3', '4'] -> 7/5 * (9/7 * 4 + 8/3 / 2/9)
[108512] ['4/7', '5/4', '4/3', '7/4', '5'] -> (5/4 + 5 / 4/7) / (7/4 - 4/3)
[108513] ['1/7', '1/5', '3/8', '7/8', '3'] -> 3 * (3/8 / 1/5 + 7/8 / 1/7)
[108514] ['5/8', '3', '7/2', '7/2', '7/2'] -> 3 / (5/8 - 7/2 / (7/2 + 7/2))
[108515] ['3/5', '4/5', '9/8', '6/5', '4'] -> 3/5 / (9/8 - 4/5 - 6/5 / 4)
[108516] ['4/9', '5/9', '7/8', '9/5', '3'] -> 3 / (9/5 - (7/8 + 4/9 / 5/9))
[108517] ['1/3', '1', '6/5', '9/4', '7/2'] -> 7/2 / (1/3 + 1 - 6/5) - 9/4
[108518] ['2/9', '2/5', '6/7', '5/3', '8'] -> 8 / (2/5 / 6/7 - 2/9 / 5/3)
[108519] ['1/7', '1/7', '2/9', '5/7', '4'] -> 4 / 2/9 + (1/7 + 5/7) / 1/7
[108520] ['4/7', '5/4', '4/3', '9/5', '5'] -> 4/3 * 9/5 * (5/4 + 5 / 4/7)
[108521] ['5/9', '5/7', '7/8', '9/5', '9'] -> 9 / (5/9 * 9/5 - 5/7 * 7/8)
[108522] ['1/8', '1/7', '1/7', '8/9', '7'] -> (7 - 1/7) / (1/8 + 1/7 / 8/9)
[108523] ['2/9', '2/5', '6/7', '7/4', '8'] -> 7/4 * (6/7 + 8 / (2/9 + 2/5))
[108524] ['1/7', '1/5', '3/8', '8/7', '3'] -> 3 / (1/5 * (8/7 - (1/7 + 3/8)))
[108525] ['2/7', '5/9', '4/5', '8/9', '7'] -> 7 / 2/7 - 5/9 * 4/5 / 8/9
[108526] ['1/5', '2/3', '9/8', '4/3', '9'] -> 9 / ((4/3 - 9/8) / 1/5 - 2/3)
[108527] ['2/3', '2/3', '2/3', '7/9', '3'] -> (2/3 + 2/3 * 3) / (7/9 - 2/3)
[108528] ['2/9', '2/5', '6/7', '9/5', '8'] -> 6/7 + 9/5 * 8 / (2/9 + 2/5)
[108529] ['3/5', '4/5', '9/8', '8/5', '4'] -> 8/5 * 4 / (4/5 - 3/5 / 9/8)
[108530] ['2/9', '9/7', '3/2', '8/5', '4'] -> (8/5 + 4) * (9/7 / 2/9 - 3/2)
[108531] ['5/9', '5/7', '7/8', '7/3', '9'] -> (5/7 + 7/3 + 9 / 7/8) / 5/9
[108532] ['1/3', '1', '6/5', '7/3', '8/3'] -> 7/3 / (1 / 8/3 - 1/3 / 6/5)
[108533] ['4/7', '5/4', '4/3', '7/3', '5'] -> 5/4 + (4/3 + 7/3 * 5) / 4/7
[108534] ['1/5', '2/3', '9/8', '7/5', '9'] -> 9 / (2/3 - 1/5) / (9/8 / 7/5)
[108535] ['2/7', '5/9', '4/5', '9/8', '7'] -> 7 / 2/7 - 9/8 * 5/9 * 4/5
[108536] ['2/9', '9/7', '3/2', '5/3', '4'] -> 5/3 / (3/2 / (9/7 * 4) - 2/9)
[108537] ['1/7', '1/7', '2/9', '9/8', '4'] -> (4 - 1/7 / 2/9 / 9/8) / 1/7
[108538] ['2/3', '2/3', '2/3', '7/8', '3'] -> 2/3 * 3 / (2/3 - 2/3 * 7/8)
[108539] ['4/7', '5/4', '4/3', '5/2', '5'] -> 5 / (5/4 * (5/2 - 4/3 / 4/7))
[108540] ['1/3', '1', '6/5', '7/3', '7/2'] -> (1 + 6/5 * (7/3 + 7/2)) / 1/3
[108541] ['4/9', '5/9', '8/9', '9/7', '3'] -> 8/9 / 3 / (4/9 - 5/9 / 9/7)
[108542] ['2/3', '2/3', '2/3', '8/9', '3'] -> 2/3 * 3 / (2/3 / 8/9 - 2/3)
[108543] ['4/7', '5/4', '4/3', '8/3', '5'] -> (4/3 + 8/3 / 4/7) / (5/4 / 5)
[108544] ['2/3', '2/3', '2/3', '9/8', '3'] -> 2/3 * 3 / (2/3 * 9/8 - 2/3)
[108545] ['1/8', '1/7', '1/7', '3/2', '7'] -> (1/7 + 1/7) * 7 / (1/8 / 3/2)
[108546] ['3/8', '2/5', '5/9', '2', '9/2'] -> 2/5 + 2 + 9/2 / (3/8 * 5/9)
[108547] ['2/9', '2/5', '6/7', '8/3', '8'] -> (2/5 + 8) * (8/3 + 2/9 * 6/7)
[108548] ['4/9', '5/9', '8/9', '7/5', '3'] -> 8/9 / 5/9 / (7/5 - 4/9 * 3)
[108549] ['2/9', '9/7', '3/2', '9/4', '4'] -> 9/7 * (3/2 / 9/4 + 4 / 2/9)
[108550] ['2/3', '2/3', '2/3', '8/7', '3'] -> 2/3 * 3 / (2/3 - 2/3 / 8/7)
[108551] ['1/3', '1', '6/5', '5/2', '5/2'] -> (5/2 + 5/2 * (1 + 6/5)) / 1/3
[108552] ['1/5', '2/3', '9/8', '7/2', '9'] -> 9 / (9/8 / 1/5 - 7/2 / 2/3)
[108553] ['4/7', '5/4', '4/3', '7/2', '5'] -> (4/7 + 5 / 7/2) / (4/3 - 5/4)
[108554] ['1/8', '3/7', '9/5', '9/4', '6'] -> 9/4 / (1/8 * 9/5) + 6 / 3/7
[108555] ['3/8', '2/5', '4/7', '3/5', '2'] -> 3/5 / (3/8 - 2/5 / 4/7 / 2)
[108556] ['2/9', '9/7', '3/2', '7/3', '4'] -> 4 / (2/9 / 3/2) - 9/7 * 7/3
[108557] ['1/7', '1/7', '2/9', '5/4', '4'] -> 4 / (2/9 * (1/7 + 5/4) - 1/7)
[108558] ['5/9', '5/7', '8/9', '8/7', '9'] -> 5/7 + 9 * (8/7 + 5/9 + 8/9)
[108559] ['2/9', '2/5', '6/7', '9/2', '8'] -> (6/7 - 2/9) * 9/2 * (2/5 + 8)
[108560] ['1/8', '1/7', '1/7', '7/4', '7'] -> (7 / 7/4 - 1/7 / 1/7) / 1/8
[108561] ['4/9', '5/9', '8/9', '7/4', '3'] -> 8/9 / 4/9 / (7/4 - 5/9 * 3)
[108562] ['3/8', '2/5', '4/7', '2/3', '2'] -> 2/3 + 2 / (4/7 * 3/8 * 2/5)
[108563] ['1/7', '1/5', '3/8', '7/4', '3'] -> 3 / (1/5 * (3/8 + 1/7 * 7/4))
[108564] ['1/5', '2/3', '8/7', '6/5', '9'] -> (1/5 + 9) / (6/5 / 8/7 - 2/3)
[108565] ['1/8', '1/7', '1/7', '9/5', '7'] -> 7 / (1/7 + (1/8 + 1/7) / 9/5)
[108566] ['1/3', '1', '6/5', '8/3', '7/2'] -> 8/3 / (1/3 / 6/5) * (7/2 - 1)
[108567] ['3/8', '2/5', '4/7', '5/7', '2'] -> (4/7 + 2) / (5/7 * 3/8 * 2/5)
[108568] ['2/9', '9/7', '8/5', '8/5', '4'] -> 8/5 + 8/5 * 4 / (2/9 * 9/7)
[108569] ['1/5', '6/7', '9/4', '5/2', '7'] -> (7 - 5/2) / (1/5 * 6/7) - 9/4
[108570] ['5/9', '5/7', '8/9', '5/4', '9'] -> 9 / (5/4 - 5/9 / 5/7 / 8/9)
[108571] ['2/9', '9/7', '8/5', '5/3', '4'] -> 9/7 * 5/3 * (4 + 8/5 / 2/9)
[108572] ['2/9', '2/5', '7/8', '9/8', '8'] -> 7/8 + (2/9 + 8) / (2/5 / 9/8)
[108573] ['1/7', '1/7', '2/9', '7/4', '4'] -> 4 / (2/9 * (7/4 - 1/7 / 1/7))
[108574] ['1/3', '1', '6/5', '7/2', '7/2'] -> 6/5 * ((7/2 + 7/2) / 1/3 - 1)
[108575] ['4/9', '5/9', '8/9', '3', '9/2'] -> (4/9 + 8/9 * 9/2) / (5/9 / 3)
