[257086] ['4/9', '4/5', '7/8', '8/3', '7'] -> (7 + 8/3 / 4/5) / (7/8 - 4/9)
[259726] ['1/9', '1/2', '7/9', '2', '8/3'] -> 8/3 / (1/2 * 2 - (1/9 + 7/9))
[259727] ['4/9', '6/7', '5/3', '9/2', '7'] -> 7 * (4/9 * 9/2 + 6/7 * 5/3)
[259728] ['1/5', '2/9', '5/7', '9/2', '7'] -> 7 / (1/5 / 5/7) - 2/9 * 9/2
[259729] ['1/9', '1/6', '1/6', '7/6', '9'] -> (9 + 7/6 / 1/6) / (1/9 / 1/6)
[259730] ['1/4', '3/5', '4/3', '3/2', '9'] -> 4/3 / (1/4 / 3/5) * (9 - 3/2)
[259731] ['4/9', '6/7', '7/4', '7/4', '7'] -> 7 * (7/4 + 6/7 / 4/9) - 7/4
[259732] ['2/7', '5/9', '7/9', '8/9', '3'] -> 8/9 / (2/7 * 7/9 - 5/9 / 3)
[259733] ['1/6', '2/5', '3/7', '3/7', '1'] -> (3/7 + (3/7 + 1) / 2/5) / 1/6
[259734] ['2/9', '4/7', '4/7', '5/4', '6'] -> 5/4 / 2/9 + 6 / (4/7 * 4/7)
[259735] ['3/7', '4/9', '5/8', '8/7', '8'] -> ((8 - 8/7) / 4/9 - 3/7) / 5/8
[259736] ['1/5', '2/9', '3/4', '3/4', '7'] -> 7 / 2/9 - (3/4 + 3/4) / 1/5
[259737] ['1/9', '1/2', '4/5', '4/5', '2'] -> 1/2 + (4/5 + 2 / 1/9) / 4/5
[259738] ['9/8', '8/7', '5/4', '4/3', '2'] -> 2 / 8/7 / (9/8 * 5/4 - 4/3)
[259739] ['2/7', '5/9', '7/9', '9/8', '3'] -> 3 / (9/8 - (2/7 + 5/9 / 7/9))
[259740] ['1/9', '1/6', '1/6', '9/7', '9'] -> (1/6 + 1/6 / 9/7) / (1/9 / 9)
[259741] ['4/9', '5/9', '4/5', '7/5', '2'] -> 4/5 * 2 / (4/9 * 7/5 - 5/9)
[259742] ['1/9', '1/6', '1/6', '9/5', '9'] -> 9/5 * (9 / (1/9 / 1/6) - 1/6)
[259743] ['1/9', '1/5', '3/7', '9/7', '6'] -> 3/7 / (1/9 * 1/5) - (9/7 - 6)
[259744] ['4/9', '5/9', '4/5', '8/5', '2'] -> 8/5 / ((4/9 + 4/5) / 2 - 5/9)
[259745] ['2/9', '4/7', '4/7', '8/5', '6'] -> (6 + 4/7 / 2/9) / (4/7 / 8/5)
[259746] ['1/9', '1/2', '4/5', '7/8', '2'] -> 7/8 + (1/2 + 2 / 1/9) / 4/5
[259747] ['1/6', '2/5', '3/7', '3/5', '1'] -> (2/5 + 1 / (1/6 * 3/7)) / 3/5
[259748] ['1/5', '9/7', '3/2', '2', '9/2'] -> (9/2 / (2 - 9/7) - 3/2) / 1/5
[259749] ['1/4', '3/5', '1', '7/6', '9/4'] -> (1/4 + 9/4 / 3/5) / (7/6 - 1)
[259750] ['2/9', '4/7', '4/7', '5/3', '6'] -> (4/7 / 4/7 - (5/3 - 6)) / 2/9
[259751] ['1/9', '1/5', '3/7', '7/5', '6'] -> 6 * (1/5 / 7/5 + 3/7 / 1/9)
[259752] ['1/9', '1/2', '4/5', '9/8', '2'] -> (1/2 + 2 / 4/5) / (1/9 * 9/8)
[259753] ['1/9', '1/6', '1/5', '1/4', '9'] -> (9 - 1/9) / (1/6 / (1/5 + 1/4))
[259754] ['3/7', '4/9', '5/8', '9/7', '8'] -> (8 / 4/9 - 9/7 / 3/7) / 5/8
[259755] ['4/9', '6/7', '7/4', '8/3', '7'] -> (6/7 * 7 + 7/4 * 8/3) / 4/9
[259756] ['2/9', '4/7', '4/7', '7/4', '6'] -> 6 / (4/7 / 2/9 - (4/7 + 7/4))
[259757] ['1/9', '1/6', '1/5', '2/7', '9'] -> 9 / 2/7 - 1/6 / (1/9 * 1/5)
[259758] ['1/5', '9/7', '8/5', '5/3', '2'] -> 9/7 * 8/5 * (5/3 + 2 / 1/5)
[259759] ['3/7', '4/9', '5/8', '4/3', '8'] -> (8 + 4/3 / (3/7 * 4/9)) / 5/8
[259760] ['9/8', '8/7', '5/4', '2', '7/3'] -> 2 / 7/3 / (9/8 * 8/7 - 5/4)
[259761] ['1/9', '1/5', '3/7', '8/5', '6'] -> (8/5 + 6) / (1/9 + 1/5) - 3/7
[259762] ['2/9', '4/7', '4/7', '9/5', '6'] -> (4/7 + 4/7 / 9/5) / (2/9 / 6)
[259763] ['2/7', '5/9', '7/9', '3/2', '3'] -> (5/9 + 3) * 3/2 / (2/7 * 7/9)
[259764] ['1/9', '1/6', '1/5', '2/5', '9'] -> 9 * (1/9 / 1/6 + 2/5 / 1/5)
[259765] ['1/9', '1/2', '4/5', '5/4', '2'] -> 1/2 + 5/4 * (4/5 + 2 / 1/9)
[259766] ['4/9', '5/9', '4/5', '2', '7/3'] -> 7/3 / (4/9 - 5/9 / 4/5 / 2)
[259767] ['9/8', '8/7', '5/4', '2', '5/2'] -> 9/8 * (5/2 / (5/4 - 8/7) - 2)
[259768] ['2/7', '5/9', '7/9', '8/5', '3'] -> 3 / (5/9 / 8/5 - 2/7 * 7/9)
[259769] ['1/5', '2/9', '3/4', '6/5', '7'] -> 7 / (3/4 * (2/9 + 1/5 / 6/5))
[259770] ['1/9', '1/5', '3/7', '5/3', '6'] -> (1/5 + 6) / (3/7 / 5/3) - 1/9
[259771] ['1/6', '2/5', '3/7', '4/5', '1'] -> 4/5 / (1/6 + 1) / (3/7 - 2/5)
[259772] ['2/9', '4/7', '4/7', '7/3', '6'] -> (4/7 + 4/7 * (7/3 + 6)) / 2/9
[259773] ['2/9', '5/8', '1', '3/2', '3/2'] -> 1 / (2/9 * (3/2 + 3/2) - 5/8)
[259774] ['1/5', '2/9', '3/4', '5/4', '7'] -> (7 / 5/4 - 1/5 / 3/4) / 2/9
[259775] ['3/8', '8/9', '9/7', '9/2', '9'] -> 8/9 * 9/7 * (9 + 9/2 / 3/8)
[259776] ['1/5', '9/7', '8/5', '2', '9/4'] -> (2 + 9/4 / (9/7 / 8/5)) / 1/5
[259777] ['3/7', '4/9', '5/8', '8/5', '8'] -> (8 / 3/7 - 8/5) / (4/9 / 5/8)
[259778] ['4/9', '5/9', '4/5', '2', '8/3'] -> 8/3 / (5/9 * (2 - 4/5 / 4/9))
[259779] ['2/9', '4/7', '4/7', '5/2', '6'] -> 6 * (4/7 / 2/9 + 4/7 * 5/2)
[259780] ['1/4', '3/5', '1', '6/5', '9/7'] -> (3/5 / (9/7 - 6/5) - 1) / 1/4
[259781] ['1/9', '1/6', '1/5', '5/8', '9'] -> 1/9 * 9 / (1/6 - 1/5 * 5/8)
[259782] ['1/9', '1/2', '4/5', '7/4', '2'] -> 1/2 / 1/9 / (7/4 / 4/5 - 2)
[259783] ['1/4', '3/5', '5/3', '9/2', '9'] -> 3/5 + 9/2 / 1/4 + 9 / 5/3
[259784] ['2/9', '5/8', '1', '3/2', '9/5'] -> 1 / (2/9 * 5/8) / (9/5 - 3/2)
[259785] ['4/9', '6/7', '9/5', '8/3', '7'] -> (8/3 - 4/9) * 7 * 6/7 * 9/5
[259786] ['1/6', '2/5', '3/7', '7/8', '1'] -> 1 / (1/6 / 2/5 - 3/7 * 7/8)
[259787] ['3/8', '8/9', '4/3', '8/5', '9'] -> (4/3 + 3/8 * 8/9) * 8/5 * 9
[259788] ['9/8', '8/7', '9/7', '4/3', '2'] -> 8/7 / (2 / (9/8 * 4/3) - 9/7)
[259789] ['2/9', '4/7', '4/7', '7/2', '6'] -> 6 + (4/7 + 4/7) / (2/9 / 7/2)
[259790] ['1/4', '3/5', '7/4', '7/4', '9'] -> (9 + 7/4 / 7/4) / (1/4 / 3/5)
[259791] ['2/7', '5/9', '7/9', '7/3', '3'] -> (7/3 - 5/9) * 3 / (2/7 * 7/9)
[259792] ['9/8', '8/7', '9/7', '7/5', '2'] -> 9/7 / (2 - (8/7 + 9/8 / 7/5))
[259793] ['2/9', '5/8', '1', '3/2', '9/4'] -> (9/4 + 3/2 / 2/9) / (1 - 5/8)
[259794] ['1/9', '1/5', '3/7', '7/3', '6'] -> (6 - 1/9) / 1/5 - 7/3 / 3/7
[259795] ['4/9', '5/9', '5/6', '5/6', '2'] -> 5/9 / 5/6 / (4/9 - 5/6 / 2)
[259796] ['1/5', '2/9', '3/4', '8/5', '7'] -> 7 / (1/5 / 8/5 + 2/9 * 3/4)
[259797] ['1/4', '3/5', '1', '6/5', '8/5'] -> 6/5 / (1/4 * (1 + 8/5) - 3/5)
[259798] ['3/7', '4/9', '5/8', '9/4', '8'] -> 5/8 * 8 / (3/7 * 4/9) - 9/4
[259799] ['1/9', '1/2', '4/5', '2', '7/2'] -> 4/5 * (1/2 - 2 + 7/2 / 1/9)
[259800] ['1/6', '2/5', '3/7', '1', '8/7'] -> 1 / (1/6 / 2/5 - 3/7 / 8/7)
[259801] ['1/9', '1/6', '1/5', '7/8', '9'] -> 1/9 * 9 / (7/8 - 1/6 / 1/5)
[259802] ['1/5', '9/7', '5/3', '5/3', '2'] -> 9/7 * (2 + (5/3 + 5/3) / 1/5)
[259803] ['9/8', '8/7', '9/7', '9/5', '2'] -> 9/7 / (9/8 / 9/5 - 8/7 / 2)
[259804] ['3/7', '4/9', '5/8', '7/3', '8'] -> (5/8 * 8 - 3/7) / (4/9 / 7/3)
[259805] ['2/9', '4/7', '3/5', '2/3', '6'] -> (6 / 3/5 - 2/3) / (2/9 / 4/7)
[259806] ['2/7', '5/9', '7/9', '3', '9/2'] -> 3 + (5/9 + 7/9) / (2/7 / 9/2)
[259807] ['1/9', '1/6', '1/5', '8/9', '9'] -> (9 - (1/9 + 8/9) / 1/5) / 1/6
[259808] ['1/4', '3/5', '1', '6/5', '9/4'] -> 1 + (6/5 + 9/4) / (1/4 * 3/5)
[259809] ['1/9', '1/2', '5/6', '6/7', '2'] -> (2 / 6/7 - (1/2 - 5/6)) / 1/9
[259810] ['1/5', '2/9', '3/4', '8/3', '7'] -> (1/5 + 7) * (8/3 / 3/4 - 2/9)
[259811] ['4/9', '5/9', '5/6', '5/4', '2'] -> (2 + 5/6 / 5/4) / (5/9 - 4/9)
[259812] ['2/9', '5/8', '1', '8/5', '5/3'] -> (8/5 + 1 / 5/8) / (2/9 / 5/3)
[259813] ['4/9', '6/7', '9/4', '9/2', '7'] -> 6/7 * 7 / (9/4 - 4/9 * 9/2)
[259814] ['1/4', '3/5', '1', '6/5', '8/3'] -> 8/3 * (1 + 6/5 / (1/4 * 3/5))
[259815] ['1/5', '2/9', '3/4', '7/2', '7'] -> (1/5 + 7) * (7/2 - 2/9 * 3/4)
[259816] ['3/7', '4/9', '5/8', '7/2', '8'] -> 7/2 * (8 - 3/7 / 4/9) - 5/8
[259817] ['1/4', '3/5', '7/3', '7/3', '9'] -> (9 + 7/3 / 7/3) / (1/4 / 3/5)
[259818] ['1/5', '9/7', '5/3', '2', '9/4'] -> 2 / (1/5 * (5/3 - 9/7)) - 9/4
[259819] ['1/9', '1/5', '4/9', '4/7', '6'] -> 6 * (1/9 + 4/9 / (1/5 * 4/7))
[259820] ['4/9', '5/9', '5/6', '7/5', '2'] -> 2 / (5/9 / 4/9 - 5/6 * 7/5)
[259821] ['3/8', '8/9', '7/5', '7/3', '9'] -> (9 - 7/3) / (3/8 / 7/5) - 8/9
[259822] ['1/9', '1/5', '4/9', '5/8', '6'] -> 6 / (4/9 - 5/8 * (1/9 + 1/5))
[259823] ['3/7', '4/9', '2/3', '2/3', '8'] -> (4/9 + 2/3 / 3/7) / (2/3 / 8)
[259824] ['1/9', '1/6', '1/5', '7/5', '9'] -> (9 + 7/5 / 1/5) / (1/9 / 1/6)
[259825] ['1/6', '2/5', '3/7', '1', '5/3'] -> 5/3 * (2/5 + 1 / (1/6 * 3/7))
[259826] ['2/9', '4/7', '3/5', '6/7', '6'] -> 6 * (4/7 / 2/9 + 6/7 / 3/5)
[259827] ['9/8', '8/7', '4/3', '3/2', '2'] -> 4/3 / (2 / (9/8 * 8/7) - 3/2)
[259828] ['1/9', '1/2', '6/7', '8/9', '2'] -> (2 / 1/2 - 8/9) / (1/9 / 6/7)
[259829] ['3/8', '8/9', '7/5', '7/2', '9'] -> 7/2 * (9 / (8/9 * 7/5) - 3/8)
[259830] ['1/9', '1/6', '1/5', '8/5', '9'] -> 1/9 * 9 / (1/6 - 1/5 / 8/5)
[259831] ['2/9', '5/8', '1', '8/5', '8/3'] -> (1 + 5/8 * 8/5) / (2/9 / 8/3)
[259832] ['4/9', '5/9', '5/6', '2', '9/4'] -> (9/4 + 5/6 / 2) / (5/9 - 4/9)
[259833] ['2/7', '5/9', '4/5', '8/7', '3'] -> 3 * (4/5 + 8/7 / (2/7 * 5/9))
[259834] ['1/4', '3/5', '5/2', '8/3', '9'] -> 9 / 1/4 / (5/2 / 3/5 - 8/3)
[259835] ['1/5', '2/9', '7/9', '6/7', '7'] -> 6/7 * (7/9 / (2/9 - 1/5) - 7)
[259836] ['3/7', '4/9', '2/3', '4/5', '8'] -> 4/9 / 2/3 + 8 / (3/7 * 4/5)
[259837] ['1/9', '1/6', '1/5', '5/3', '9'] -> (1/9 + 1/5 * 5/3) / (1/6 / 9)
[259838] ['1/4', '3/5', '8/3', '8/3', '9'] -> (9 + 8/3 / 8/3) / (1/4 / 3/5)
[259839] ['3/7', '4/9', '2/3', '5/6', '8'] -> (4/9 + 8 / (3/7 / 5/6)) / 2/3
[259840] ['1/5', '2/9', '7/9', '7/8', '7'] -> 7 / 7/8 / (2/9 / 1/5 - 7/9)
[259841] ['3/8', '8/9', '3/2', '8/5', '9'] -> 8/9 * 8/5 * 9 * (3/8 + 3/2)
[259842] ['1/4', '3/5', '1', '5/4', '7/4'] -> (1 + (5/4 + 7/4) / 3/5) / 1/4
[259843] ['1/5', '2/9', '7/9', '8/9', '7'] -> 8/9 * (7 / (1/5 / 7/9) - 2/9)
[259844] ['4/9', '6/7', '7/2', '7/2', '7'] -> 6/7 * (7/2 * 7/2 + 7 / 4/9)
[259845] ['1/9', '1/2', '6/7', '5/4', '2'] -> (5/4 + 2 - 1/2 / 6/7) / 1/9
[259846] ['1/9', '1/5', '4/9', '8/9', '6'] -> 8/9 / (1/5 * (1/9 + 4/9 / 6))
[259847] ['2/9', '4/7', '3/5', '8/7', '6'] -> (4/7 * 6 + 8/7 / 3/5) / 2/9
[259848] ['1/6', '2/5', '3/7', '1', '5/2'] -> 5/2 / (3/7 * (2/5 - 1/6)) - 1
[259849] ['1/4', '3/5', '8/3', '9/2', '9'] -> (8/3 + 9 / (3/5 * 9/2)) / 1/4
[259850] ['2/9', '5/8', '1', '5/3', '9/5'] -> 1 / (9/5 * 2/9 * 5/3 - 5/8)
[259851] ['4/9', '6/7', '7/2', '9/2', '7'] -> 6/7 * 7 + (7/2 + 9/2) / 4/9
[259852] ['1/9', '1/2', '6/7', '7/5', '2'] -> (2 / (1/9 * 7/5) - 6/7) / 1/2
[259853] ['1/5', '2/9', '7/9', '8/7', '7'] -> 8/7 * 7 / (2/9 / 1/5 - 7/9)
[259854] ['3/7', '4/9', '2/3', '7/6', '8'] -> 2/3 / 7/6 * 8 / (3/7 * 4/9)
[259855] ['1/4', '5/8', '5/8', '5/7', '9'] -> 9 / (1/4 * (5/8 + 5/8 / 5/7))
[259856] ['1/9', '1/6', '2/9', '3/8', '9'] -> 1/9 / (3/8 / 9 - 1/6 * 2/9)
[259857] ['1/4', '3/5', '1', '5/4', '7/2'] -> (1 + 7/2) / (5/4 * 1/4 * 3/5)
[259858] ['1/5', '2/9', '7/9', '5/4', '7'] -> (7 - (2/9 + 7/9)) / (1/5 * 5/4)
[259859] ['1/4', '5/8', '5/8', '3/4', '9'] -> (9 - 5/8 / 5/8) / (1/4 / 3/4)
[259860] ['1/9', '1/2', '6/7', '8/5', '2'] -> 6/7 * 8/5 * (2 / 1/9 - 1/2)
[259861] ['1/6', '2/5', '4/9', '4/9', '1'] -> 4/9 / 1/6 / (4/9 / 2/5 - 1)
[259862] ['1/9', '1/5', '4/9', '7/6', '6'] -> 4/9 / 1/9 / (6 - 7/6 / 1/5)
[259863] ['1/5', '9/7', '7/4', '2', '8/3'] -> 2 / 1/5 / (8/3 - 9/7 * 7/4)
[259864] ['9/8', '8/7', '4/3', '2', '7/2'] -> 2 / (8/7 - 9/8) / (4/3 * 7/2)
[259865] ['3/8', '8/9', '8/5', '9/4', '9'] -> (9/4 - 3/8) * 9 * 8/9 * 8/5
[259866] ['1/4', '5/8', '5/8', '7/9', '9'] -> (7/9 * 9 - 5/8 / 5/8) / 1/4
[259867] ['3/7', '4/9', '2/3', '7/5', '8'] -> 8 / 7/5 / (4/9 / 2/3 - 3/7)
[259868] ['4/9', '7/8', '7/8', '9/8', '7'] -> 7 / 7/8 / (7/8 / 9/8 - 4/9)
[259869] ['9/8', '8/7', '4/3', '2', '9/2'] -> 9/2 / (2 / (8/7 * 4/3) - 9/8)
[259870] ['2/9', '5/8', '1', '7/4', '9/5'] -> 1 / (2/9 * 7/4 - 5/8 / 9/5)
[259871] ['1/6', '2/5', '4/9', '5/9', '1'] -> (1/6 + 1 / 2/5) / (5/9 - 4/9)
[259872] ['1/9', '1/5', '4/9', '4/3', '6'] -> 4/9 * (4/3 / (1/9 * 1/5) - 6)
[259873] ['1/9', '1/2', '6/7', '2', '9/4'] -> (1/2 + 2) / (1/9 * 6/7) - 9/4
[259874] ['2/9', '4/7', '3/5', '8/5', '6'] -> (6 - 8/5 / 4/7) / (2/9 * 3/5)
[259875] ['1/9', '1/6', '2/9', '6/7', '9'] -> 2/9 * 9 / (1/6 / 6/7 - 1/9)
[259876] ['1/5', '9/7', '9/5', '9/5', '2'] -> (2 + (9/5 + 9/5) / 9/7) / 1/5
[259877] ['2/9', '5/8', '1', '7/4', '7/3'] -> 7/3 / (2/9 + 5/8 + 1 - 7/4)
[259878] ['1/4', '5/8', '5/8', '8/7', '9'] -> 9 / (8/7 * (1/4 + 5/8) - 5/8)
[259879] ['3/7', '4/9', '2/3', '5/3', '8'] -> 8 / (4/9 - 5/3 + 2/3 / 3/7)
[259880] ['4/9', '5/9', '6/7', '8/5', '2'] -> 2 / (6/7 * (4/9 - 5/9 / 8/5))
[259881] ['1/4', '3/5', '1', '9/7', '8/5'] -> 1 / (3/5 / 9/7 / 8/5 - 1/4)
[259882] ['1/9', '1/5', '4/9', '7/4', '6'] -> 6 * (1/9 + 7/4 / (1/5 / 4/9))
[259883] ['1/5', '2/9', '7/9', '9/5', '7'] -> (7/9 * 7 - 1/5 / 9/5) / 2/9
[259884] ['1/4', '5/8', '5/8', '7/6', '9'] -> 9 * (1/4 + 5/8 + 5/8 + 7/6)
[259885] ['4/9', '7/8', '7/8', '9/7', '7'] -> 7 / (7/8 / 9/7 - 4/9 * 7/8)
[259886] ['3/7', '4/9', '2/3', '9/5', '8'] -> 2/3 + 8 / (9/5 * 3/7 * 4/9)
[259887] ['2/9', '5/8', '1', '7/4', '8/3'] -> (8/3 * (5/8 + 7/4) - 1) / 2/9
[259888] ['9/8', '8/7', '7/5', '5/3', '2'] -> 2 / (9/8 - 5/3 / (8/7 * 7/5))
[259889] ['4/9', '5/9', '6/7', '5/3', '2'] -> 4/9 / ((2 - 5/9) / 6/7 - 5/3)
[259890] ['1/4', '5/8', '5/8', '9/7', '9'] -> (9 / 9/7 - 5/8 / 5/8) / 1/4
[259891] ['1/5', '2/9', '7/9', '9/4', '7'] -> 9/4 * (7/9 / 1/5 - (2/9 - 7))
[259892] ['4/9', '7/8', '7/8', '3/2', '7'] -> 7 / (7/8 - 3/2 * 4/9 * 7/8)
[259893] ['3/7', '4/9', '2/3', '5/2', '8'] -> 5/2 + (8 + 2/3 / 3/7) / 4/9
[259894] ['1/4', '3/5', '1', '9/7', '9/5'] -> (1 + 9/5) * 9/7 / (1/4 * 3/5)
[259895] ['2/9', '4/7', '3/5', '7/3', '6'] -> 7/3 * (6 + 4/7 / (2/9 * 3/5))
[259896] ['1/4', '5/8', '5/8', '7/4', '9'] -> (9 - (7/4 + 5/8 + 5/8)) / 1/4
[259897] ['1/6', '2/5', '4/9', '5/6', '1'] -> 1 / (1/6 / 4/9 - 2/5 * 5/6)
[259898] ['1/5', '2/9', '7/9', '8/3', '7'] -> (7/9 + 8/3) / 1/5 - (2/9 - 7)
[259899] ['1/9', '1/6', '2/9', '8/5', '9'] -> 9 / (1/6 + (1/9 + 2/9) / 8/5)
[259900] ['9/8', '8/7', '7/5', '9/5', '2'] -> 9/5 / (7/5 * (2 - 8/7) - 9/8)
[259901] ['4/9', '5/9', '6/7', '2', '9/4'] -> 2 / 9/4 / (5/9 - 4/9 / 6/7)
[259902] ['1/6', '2/5', '4/9', '6/7', '1'] -> 1 / (1/6 / 2/5 / 6/7 - 4/9)
[259903] ['1/4', '5/8', '5/8', '9/5', '9'] -> (5/8 / 5/8 + 9 / 9/5) / 1/4
[259904] ['2/9', '5/8', '1', '9/5', '7/3'] -> 7/3 / (2/9 + 1 - 5/8 * 9/5)
[259905] ['1/4', '3/5', '1', '9/7', '7/3'] -> (1 + 7/3 / (3/5 / 9/7)) / 1/4
[259906] ['1/9', '1/6', '2/9', '9/5', '9'] -> 1/6 / 1/9 + 9 / (2/9 * 9/5)
[259907] ['1/9', '1/2', '7/8', '6/5', '2'] -> (2 / 1/9 - 1/2) / (7/8 / 6/5)
[259908] ['3/7', '4/9', '5/7', '4/5', '8'] -> 5/7 * 4/5 * 8 / (3/7 * 4/9)
[259909] ['3/8', '8/9', '7/4', '7/3', '9'] -> 9 * (7/3 / (3/8 * 7/4) - 8/9)
[259910] ['4/9', '5/9', '6/7', '2', '8/3'] -> 4/9 / (8/3 - (2 + 5/9 / 6/7))
[259911] ['3/7', '4/9', '5/7', '5/6', '8'] -> 8 / ((3/7 + 4/9) / 5/6 - 5/7)
[259912] ['4/9', '5/9', '6/7', '2', '7/2'] -> 4/9 * 6/7 / (2 / 7/2 - 5/9)
[259913] ['3/8', '8/9', '7/4', '5/2', '9'] -> 5/2 * (7/4 + 8/9 * 9) - 3/8
[259914] ['1/6', '2/5', '4/9', '1', '7/6'] -> 1 / (7/6 * 1/6 / 2/5 - 4/9)
[259915] ['2/7', '5/9', '5/6', '7/8', '3'] -> 5/6 / 5/9 / (7/8 / 2/7 - 3)
[259916] ['3/8', '8/9', '7/4', '8/3', '9'] -> (8/3 + 9) / (7/4 - (3/8 + 8/9))
[259917] ['4/9', '7/8', '7/8', '7/2', '7'] -> 7 / (4/9 * (7/2 - 7/8) - 7/8)
[259918] ['1/6', '2/5', '4/9', '1', '6/5'] -> 1 / (1/6 / 4/9 - 2/5 / 6/5)
[259919] ['1/4', '5/8', '2/3', '8/7', '9'] -> 8/7 / (5/8 * 2/3) * (9 - 1/4)
[259920] ['3/7', '4/9', '5/7', '6/5', '8'] -> 8 / (6/5 * (3/7 + 4/9) - 5/7)
[259921] ['1/9', '1/2', '7/8', '7/4', '2'] -> (7/4 / (7/8 - 1/2) - 2) / 1/9
[259922] ['3/8', '8/9', '7/4', '9/2', '9'] -> (9 + 3/8 * 8/9) / (7/4 / 9/2)
[259923] ['3/7', '4/9', '5/7', '5/4', '8'] -> 5/7 / 5/4 * 8 / (3/7 * 4/9)
[259924] ['2/9', '4/7', '5/8', '3/4', '6'] -> 4/7 / 5/8 * (6 / 2/9 - 3/4)
[259925] ['2/9', '5/8', '1', '9/4', '9/2'] -> 9/2 / (2/9 * 9/4) / (1 - 5/8)
[259926] ['9/8', '8/7', '3/2', '5/3', '2'] -> 8/7 / (3/2 / (2 - 9/8) - 5/3)
[259927] ['1/4', '3/5', '1', '4/3', '5/3'] -> (1 + (4/3 + 5/3) / 3/5) / 1/4
[259928] ['3/7', '4/9', '5/7', '7/5', '8'] -> 8 / (3/7 * (7/5 - 4/9 / 5/7))
[259929] ['4/9', '7/8', '8/9', '7/6', '7'] -> 7 / (7/8 - 7/6 * 4/9 / 8/9)
[259930] ['9/8', '8/7', '3/2', '7/4', '2'] -> 3/2 / 7/4 / (2 * (8/7 - 9/8))
[259931] ['1/6', '2/5', '4/9', '1', '7/4'] -> 7/4 / (1/6 * 2/5) - 1 / 4/9
[259932] ['1/4', '5/8', '5/7', '3/4', '9'] -> 9 / (1/4 - 3/4 + 5/8 / 5/7)
[259933] ['3/8', '8/9', '9/5', '5/2', '9'] -> 5/2 * (9 + 9/5 * 3/8 * 8/9)
[259934] ['3/7', '4/9', '5/7', '3/2', '8'] -> 5/7 * 8 / (4/9 * 3/2 - 3/7)
[259935] ['4/9', '7/8', '8/9', '6/5', '7'] -> (8/9 + 7 / 7/8) / (4/9 / 6/5)
[259936] ['1/9', '1/5', '1/2', '5/4', '6'] -> 6 + 1/2 / 5/4 / (1/9 * 1/5)
[259937] ['2/9', '4/7', '5/8', '6/7', '6'] -> 4/7 / (6/7 - 6 * 2/9 * 5/8)
[259938] ['2/9', '5/8', '1', '7/3', '8/3'] -> 1 / (2/9 / (8/3 - 7/3) - 5/8)
[259939] ['1/5', '2/9', '4/5', '9/4', '7'] -> (1/5 + 7) / (4/5 - 2/9 * 9/4)
[259940] ['1/6', '2/5', '4/9', '1', '9/4'] -> (1/6 + 1) / (4/9 - 2/5) - 9/4
[259941] ['1/4', '3/5', '1', '4/3', '9/4'] -> (1 + 9/4 / (3/5 / 4/3)) / 1/4
[259942] ['3/7', '4/9', '5/7', '5/3', '8'] -> 8 / (3/7 / 5/7 - 4/9 / 5/3)
[259943] ['3/8', '8/9', '9/5', '8/3', '9'] -> 3/8 + (8/3 + 9) / (8/9 / 9/5)
[259944] ['4/9', '7/8', '8/9', '9/7', '7'] -> 9/7 * 7 / (7/8 - 4/9 / 8/9)
[259945] ['1/5', '9/7', '2', '5/2', '7/2'] -> 5/2 / 1/5 + 7/2 * (9/7 + 2)
[259946] ['1/9', '1/6', '1/4', '9/7', '9'] -> (1/9 + 9) / (1/4 + 1/6 / 9/7)
[259947] ['1/6', '2/5', '4/9', '1', '7/3'] -> 7/3 + (4/9 + 1) / (1/6 * 2/5)
[259948] ['2/9', '4/7', '5/8', '7/8', '6'] -> 6 / (2/9 * (5/8 + 4/7 * 7/8))
[259949] ['3/7', '4/9', '5/7', '7/4', '8'] -> 3/7 * 8 / (7/4 - 5/7 / 4/9)
[259950] ['1/5', '2/9', '4/5', '5/2', '7'] -> 1/5 / 2/9 + 7 * (4/5 + 5/2)
[259951] ['1/4', '5/8', '5/7', '5/6', '9'] -> 9 * (5/8 / (1/4 * 5/7) - 5/6)
[259952] ['2/9', '5/8', '1', '7/3', '7/2'] -> (1 + 7/2 + 7/3 / 2/9) / 5/8
[259953] ['1/4', '3/5', '1', '4/3', '5/2'] -> 1 / 1/4 / (3/5 * 5/2 - 4/3)
[259954] ['2/9', '4/7', '5/8', '8/9', '6'] -> 2/9 * 6 / (5/8 - 4/7) - 8/9
[259955] ['9/8', '8/7', '3/2', '2', '7/2'] -> 3/2 / (9/8 + 2 - 7/2 / 8/7)
[259956] ['1/5', '9/7', '2', '8/3', '8/3'] -> 9/7 * (2 * 8/3 + 8/3 / 1/5)
[259957] ['1/5', '2/9', '4/5', '7/2', '7'] -> 7 / 2/9 - (7/2 + 4/5 / 1/5)
[259958] ['4/9', '5/9', '7/8', '3/2', '2'] -> 3/2 * 2 / (4/9 + 5/9 - 7/8)
[259959] ['4/9', '7/8', '8/9', '8/5', '7'] -> 7 / (4/9 / 8/5 - (7/8 - 8/9))
[259960] ['1/9', '1/6', '1/4', '9/5', '9'] -> 9/5 / (1/6 / 1/4) * (9 - 1/9)
[259961] ['3/7', '4/9', '5/7', '9/5', '8'] -> (3/7 + 8 / 4/9) / 5/7 - 9/5
