[141841] ['3/4', '9/7', '7/5', '8/5', '3'] -> 8/5 / (7/5 / (3 - 9/7) - 3/4)
[143328] ['2/3', '2/3', '5/6', '6/5', '5'] -> 5 * 2/3 * 6/5 / (5/6 - 2/3)
[143329] ['1/4', '1/2', '7/5', '7/3', '8'] -> 8 / (1/2 / 1/4 - 7/3 / 7/5)
[143330] ['1/3', '5/8', '7/5', '5/2', '7'] -> 7 / 7/5 / (1/3 * 5/2 - 5/8)
[143331] ['2/9', '2/3', '7/5', '9/4', '7'] -> 2/3 * 9/4 + 7 / (2/9 * 7/5)
[143332] ['1/7', '6/7', '6/5', '8/3', '3'] -> 3 / (6/7 / 6/5 / 8/3 - 1/7)
[143333] ['1/7', '1/3', '5/8', '7/6', '6'] -> (6 / 7/6 - 1/7) / (1/3 * 5/8)
[143334] ['1/8', '3/4', '8/7', '9/7', '7'] -> (9/7 - 3/4 * 8/7) / (1/8 / 7)
[143335] ['2/9', '3/5', '7/8', '8/5', '9'] -> (9 + 8/5 / (2/9 * 3/5)) / 7/8
[143336] ['5/7', '7/9', '6/7', '8/9', '4'] -> 6/7 * 4 / (7/9 - 5/7 * 8/9)
[143337] ['7/9', '7/9', '4/5', '3/2', '3'] -> 3 / ((3/2 - 7/9) / 4/5 - 7/9)
[143338] ['1/3', '5/8', '7/5', '7/2', '7'] -> 7 / (1/3 * 7/2 - 5/8 * 7/5)
[143339] ['1/8', '3/4', '8/7', '4/3', '7'] -> 7 / (4/3 / 8/7 - (1/8 + 3/4))
[143340] ['1/7', '6/7', '6/5', '3', '7/2'] -> 6/7 / ((1/7 + 7/2) / 6/5 - 3)
[143341] ['2/7', '3/8', '4/5', '9/7', '4'] -> 4 * (3/8 + 9/7 / (2/7 * 4/5))
[143342] ['1/7', '3/4', '5/6', '8/5', '4'] -> 3/4 * (4 / (1/7 * 5/6) - 8/5)
[143343] ['7/9', '7/9', '4/5', '8/5', '3'] -> 8/5 * 3 / (7/9 / 7/9 - 4/5)
[143344] ['5/7', '7/9', '6/7', '9/8', '4'] -> 6/7 * 4 / (7/9 - 5/7 / 9/8)
[143345] ['1/7', '1/3', '5/8', '6/5', '6'] -> 5/8 * (6 / 1/7 - 6/5 / 1/3)
[143346] ['1/2', '8/9', '9/8', '7/6', '3'] -> 7/6 / (1/2 * (3 - 9/8) - 8/9)
[143347] ['1/7', '3/4', '5/6', '7/4', '4'] -> 4 / (1/7 * 7/4 + 3/4 - 5/6)
[143348] ['1/7', '6/7', '5/4', '5/4', '3'] -> (3 + 5/4 / 5/4) / (1/7 / 6/7)
[143349] ['2/7', '3/8', '4/5', '7/5', '4'] -> 3/8 + (7/5 + 4) / (2/7 * 4/5)
[143350] ['2/5', '2/5', '6/7', '1', '6/5'] -> (2/5 + 2/5) / (6/5 - 1 / 6/7)
[143351] ['2/9', '2/3', '7/5', '7/2', '7'] -> (7 - 7/2 * 2/3 / 7/5) / 2/9
[143352] ['1/7', '1/3', '5/8', '4/3', '6'] -> (4/3 / 1/7 - (1/3 - 6)) / 5/8
[143353] ['1/3', '5/8', '3/2', '9/5', '7'] -> (9/5 + 7) / 1/3 - 3/2 / 5/8
[143354] ['1/8', '3/4', '8/7', '5/3', '7'] -> 5/3 / 1/8 + 7 / (3/4 / 8/7)
[143355] ['1/2', '8/9', '9/8', '5/4', '3'] -> 3 / (1/2 * (5/4 - 8/9 * 9/8))
[143356] ['1/7', '6/7', '5/4', '7/5', '3'] -> 6/7 * 5/4 * (7/5 + 3 / 1/7)
[143357] ['1/4', '1/2', '8/5', '8/3', '8'] -> 8 / (1/2 / 1/4 - 8/3 / 8/5)
[143358] ['1/7', '3/4', '5/6', '9/4', '4'] -> 4 / (1/7 * (5/6 + 3/4 / 9/4))
[143359] ['2/5', '2/5', '6/7', '1', '9/7'] -> 6/7 / (9/7 - 1 / (2/5 + 2/5))
[143360] ['1/7', '6/7', '5/4', '5/3', '3'] -> 3 / (1/7 / 6/7) / (5/4 / 5/3)
[143361] ['1/8', '3/4', '8/7', '7/4', '7'] -> (3/4 / 7 + 8/7 + 7/4) / 1/8
[143362] ['3/5', '3/4', '8/3', '7/2', '9'] -> 9 / (3/5 * 3/4) / (7/2 - 8/3)
[143363] ['2/5', '4/9', '5/6', '7/8', '2'] -> 2/5 * 5/6 / (4/9 * 2 - 7/8)
[143364] ['5/7', '7/9', '6/7', '9/7', '4'] -> 4 / (7/9 * 9/7 - 5/7 / 6/7)
[143365] ['1/4', '1/2', '7/4', '9/5', '8'] -> 8 / ((7/4 - 1/4) / 9/5 - 1/2)
[143366] ['1/7', '1/3', '5/8', '3/2', '6'] -> 3/2 / (1/7 * (1/3 + 5/8 / 6))
[143367] ['2/9', '2/3', '3/2', '7/4', '7'] -> (7 * 3/2 / 7/4 - 2/3) / 2/9
[143368] ['1/7', '3/4', '5/6', '8/3', '4'] -> 4 / 1/7 / (3/4 * 8/3 - 5/6)
[143369] ['1/7', '6/7', '5/4', '9/5', '3'] -> (3 + 6/7 / 5/4) / 1/7 - 9/5
[143370] ['2/9', '2/3', '3/2', '9/5', '7'] -> (7 / (2/9 * 9/5) - 3/2) / 2/3
[143371] ['1/8', '3/4', '8/7', '7/3', '7'] -> 8/7 * (7 + 7/3 / (1/8 / 3/4))
[143372] ['1/2', '8/9', '9/8', '8/5', '3'] -> 3 / (8/9 * 9/8 / 8/5 - 1/2)
[143373] ['3/5', '7/9', '7/9', '7/9', '9'] -> (7/9 + 7/9 / 3/5) / (7/9 / 9)
[143374] ['2/5', '2/5', '6/7', '1', '5/3'] -> 5/3 / (2/5 / 6/7 - 2/5) - 1
[143375] ['2/9', '3/5', '8/9', '9/8', '9'] -> (8/9 + 9 / 9/8) / (2/9 / 3/5)
[143376] ['1/7', '3/4', '6/7', '6/5', '4'] -> (4 - 6/7 / 3/4) / (1/7 / 6/5)
[143377] ['2/7', '3/8', '4/5', '7/3', '4'] -> 4 / (3/8 - 2/7) / (4/5 * 7/3)
[143378] ['1/2', '8/9', '9/8', '7/4', '3'] -> 3 / (8/9 * 9/8 - 1/2 * 7/4)
[143379] ['1/3', '5/8', '5/3', '7/4', '7'] -> 7 / (1/3 * 5/8 - (5/3 - 7/4))
[143380] ['2/3', '2/3', '6/7', '4/3', '5'] -> 5 / (4/3 / (2/3 + 6/7) - 2/3)
[143381] ['1/7', '1/3', '5/8', '9/5', '6'] -> (6 + 1/3 / 1/7) / (5/8 / 9/5)
[143382] ['2/9', '2/3', '8/5', '7/4', '7'] -> (7 / 7/4 - 2/3) / (2/9 / 8/5)
[143383] ['1/7', '6/7', '9/7', '8/5', '3'] -> 3 / ((9/7 - 6/7) / 8/5 - 1/7)
[143384] ['1/7', '3/4', '6/7', '7/5', '4'] -> 6/7 / (1/7 * 4 - 3/4 / 7/5)
[143385] ['2/9', '2/3', '8/5', '9/4', '7'] -> 8/5 * 9/4 * (7 - 2/9 / 2/3)
[143386] ['1/2', '8/9', '9/8', '7/3', '3'] -> 7/3 / (3 - (9/8 + 8/9 / 1/2))
[143387] ['1/3', '5/8', '5/3', '7/2', '7'] -> 7 / (5/3 - 1/3 * (5/8 + 7/2))
[143388] ['2/5', '4/9', '5/6', '8/5', '2'] -> 8/5 * 2 / (4/9 / 5/6 - 2/5)
[143389] ['7/9', '7/9', '5/6', '7/6', '3'] -> 7/6 / (7/9 * (5/6 - 7/9)) - 3
[143390] ['5/7', '7/9', '6/7', '7/3', '4'] -> 6/7 / (7/3 / (7/9 * 4) - 5/7)
[143391] ['1/4', '5/9', '5/9', '2/3', '8'] -> (8 + 5/9 / 5/9) / (1/4 / 2/3)
[143392] ['1/8', '3/4', '7/6', '9/7', '7'] -> 9/7 * (7/6 / 1/8 + 7 / 3/4)
[143393] ['1/7', '3/4', '6/7', '9/5', '4'] -> (4 + 6/7 / 1/7) / (3/4 / 9/5)
[143394] ['1/3', '5/8', '5/3', '9/2', '7'] -> 1/3 + 5/3 * (7 + 9/2 / 5/8)
[143395] ['1/7', '1/3', '5/8', '7/2', '6'] -> 6 / (1/7 / 1/3 - 5/8 / 7/2)
[143396] ['3/5', '7/9', '7/9', '8/9', '9'] -> (7/9 + 9) / (7/9 / 3/5 - 8/9)
[143397] ['2/9', '2/3', '8/5', '8/3', '7'] -> 8/5 * (7 + 8/3 / (2/9 / 2/3))
[143398] ['2/9', '3/5', '8/9', '4/3', '9'] -> 8/9 / 2/9 + 9 / (3/5 / 4/3)
[143399] ['1/7', '3/4', '6/7', '5/2', '4'] -> 4 + 6/7 * 5/2 / (1/7 * 3/4)
[143400] ['1/3', '5/8', '7/4', '9/4', '7'] -> 7 / (9/4 - (7/4 + 1/3 * 5/8))
[143401] ['1/4', '5/9', '5/9', '4/5', '8'] -> 8 / (4/5 * (5/9 - 1/4 * 5/9))
[143402] ['2/5', '4/9', '5/6', '2', '7/3'] -> 7/3 / (4/9 - 5/6 / (2/5 + 2))
[143403] ['2/9', '2/3', '8/5', '9/2', '7'] -> 2/3 / 2/9 / (9/2 - 7 / 8/5)
[143404] ['5/7', '7/9', '6/7', '4', '9/2'] -> 6/7 / (7/9 / 4 - 5/7 / 9/2)
[143405] ['7/9', '7/9', '5/6', '4/3', '3'] -> 4/3 * 3 / (7/9 / 7/9 - 5/6)
[143406] ['1/7', '3/4', '7/8', '7/8', '4'] -> 4 * (3/4 - 7/8 + 7/8 / 1/7)
[143407] ['3/5', '7/9', '7/9', '7/6', '9'] -> (7/9 + 7/6) / (7/9 / (3/5 + 9))
[143408] ['2/9', '3/5', '8/9', '7/4', '9'] -> 9 * (7/4 / 3/5 - 2/9 / 8/9)
[143409] ['1/7', '1/3', '2/3', '4/5', '6'] -> (1/3 + 2/3 / 1/7) * 4/5 * 6
[143410] ['5/7', '7/9', '7/8', '7/8', '4'] -> 4 / (7/8 - 5/7) - 7/9 / 7/8
[143411] ['2/3', '2/3', '6/7', '8/3', '5'] -> 2/3 + 8/3 * 5 / (2/3 * 6/7)
[143412] ['1/7', '6/7', '4/3', '8/5', '3'] -> 1/7 / ((3 - 6/7) / 8/5 - 4/3)
[143413] ['2/5', '4/9', '5/6', '2', '7/2'] -> (7/2 + 2 / 4/9) / (2/5 * 5/6)
[143414] ['1/2', '8/9', '8/7', '9/7', '3'] -> 8/7 / (3 * 1/2 * 8/9 - 9/7)
[143415] ['1/4', '5/9', '5/9', '9/8', '8'] -> (8 / 9/8 - (5/9 + 5/9)) / 1/4
[143416] ['2/7', '3/8', '5/6', '6/5', '4'] -> (6/5 / 2/7 + 4 / 5/6) / 3/8
[143417] ['2/3', '2/3', '6/7', '7/2', '5'] -> 7/2 * (2/3 / 2/3 + 6/7 + 5)
[143418] ['2/9', '3/5', '8/9', '5/2', '9'] -> 8/9 / 5/2 * 9 / (2/9 * 3/5)
[143419] ['1/7', '3/4', '7/8', '9/8', '4'] -> (4 + (7/8 + 9/8) / 1/7) / 3/4
[143420] ['1/4', '5/9', '5/9', '8/7', '8'] -> (8 / 8/7 - 5/9 / 5/9) / 1/4
[143421] ['7/9', '7/9', '5/6', '7/4', '3'] -> 3 * 7/9 / 7/4 / (5/6 - 7/9)
[143422] ['3/5', '7/9', '7/9', '9/7', '9'] -> (7/9 + 7/9 / 3/5) * 9/7 * 9
[143423] ['2/7', '3/8', '5/6', '9/7', '4'] -> (4 + 9/7 / (3/8 / 5/6)) / 2/7
[143424] ['5/7', '7/9', '7/8', '8/7', '4'] -> 4 / (7/8 - 5/7) - 7/9 * 8/7
[143425] ['2/9', '3/5', '8/9', '8/3', '9'] -> 8/9 * (8/3 / 2/9 + 9 / 3/5)
[143426] ['1/8', '3/4', '6/5', '4/3', '7'] -> 6/5 * (4/3 / 1/8 + 7 / 3/4)
[143427] ['2/3', '2/3', '7/8', '9/8', '5'] -> (5 + 2/3 / 2/3) / (9/8 - 7/8)
[143428] ['1/7', '1/3', '2/3', '3/2', '6'] -> 6 / (1/7 / 2/3) / (3/2 - 1/3)
[143429] ['2/5', '4/9', '6/7', '8/9', '2'] -> 2 / (4/9 / (6/7 - 2/5) - 8/9)
[143430] ['1/3', '5/8', '9/5', '9/2', '7'] -> 1/3 / (5/8 - 9/2 + 7 / 9/5)
[143431] ['1/7', '3/4', '7/8', '4/3', '4'] -> (4 - 3/4 * 4/3) / (1/7 * 7/8)
[143432] ['2/9', '2/3', '7/4', '5/2', '7'] -> (5/2 / 7/4 - 2/3) / (2/9 / 7)
[143433] ['3/5', '7/9', '7/9', '7/5', '9'] -> (3/5 + 9) / (7/5 - 7/9 / 7/9)
[143434] ['1/4', '5/9', '5/9', '3/2', '8'] -> (8 + 5/9 / 5/9) / (1/4 * 3/2)
[143435] ['2/7', '3/8', '5/6', '7/5', '4'] -> 4 / (2/7 / 3/8 - 5/6 / 7/5)
[143436] ['2/5', '2/5', '7/8', '1', '3/2'] -> 2/5 / (1 - (2/5 + 7/8 / 3/2))
[143437] ['2/3', '2/3', '7/8', '7/6', '5'] -> 5 / (7/6 / 2/3 - (2/3 + 7/8))
[143438] ['2/9', '2/3', '7/4', '9/2', '7'] -> 2/3 / (2/9 - 7/4 + 7 / 9/2)
[143439] ['1/3', '5/8', '9/4', '8/3', '7'] -> (7 / 1/3 - 9/4 * 8/3) / 5/8
[143440] ['2/5', '4/9', '6/7', '8/7', '2'] -> 8/7 / (4/9 - 2/5) - 6/7 * 2
[143441] ['1/7', '3/4', '7/8', '7/5', '4'] -> (1/7 + 4 / 7/5) / (7/8 - 3/4)
[143442] ['1/7', '6/7', '7/5', '9/4', '3'] -> 6/7 / (1/7 - 9/4 + 3 / 7/5)
[143443] ['2/7', '3/8', '5/6', '3/2', '4'] -> 4 / (2/7 * (5/6 - 3/8 / 3/2))
[143444] ['1/7', '1/3', '2/3', '9/4', '6'] -> 6 / (1/7 * (9/4 - 1/3 / 2/3))
[143445] ['1/8', '3/4', '6/5', '9/4', '7'] -> 9/4 * 7 / (3/4 - 1/8) - 6/5
[143446] ['1/3', '5/8', '9/4', '7/2', '7'] -> 7 / (7/2 - (9/4 + 1/3 + 5/8))
[143447] ['1/4', '5/9', '5/9', '7/2', '8'] -> 7/2 * 8 - 5/9 / (1/4 * 5/9)
[143448] ['2/5', '2/5', '7/8', '1', '5/3'] -> 2/5 / (2/5 * (7/8 + 5/3) - 1)
[143449] ['3/5', '7/9', '7/9', '9/4', '9'] -> 9/4 * (9 + 7/9 / (3/5 * 7/9))
[143450] ['7/9', '7/9', '5/6', '3', '9/2'] -> 9/2 / (7/9 / 7/9 - 5/6) - 3
[143451] ['5/7', '7/9', '7/8', '4/3', '4'] -> 4 / (7/9 * 4/3) / (7/8 - 5/7)
[143452] ['2/5', '4/9', '6/7', '6/5', '2'] -> 2/5 / (4/9 - 6/7 / 2) - 6/5
[143453] ['1/7', '6/7', '7/5', '8/3', '3'] -> (3 / 7/5 - 6/7) / (1/7 / 8/3)
[143454] ['2/3', '2/3', '7/8', '9/7', '5'] -> 5 / (2/3 + 2/3 - 7/8 * 9/7)
[143455] ['1/3', '5/8', '7/3', '5/2', '7'] -> (7/3 + 7) / 1/3 - 5/2 / 5/8
[143456] ['1/7', '3/4', '7/8', '5/3', '4'] -> (4 / 3/4 - 5/3 / 7/8) / 1/7
[143457] ['1/8', '3/4', '6/5', '7/2', '7'] -> 1/8 - 3/4 / 6/5 + 7/2 * 7
[143458] ['1/7', '1/3', '5/7', '7/9', '6'] -> 1/7 + 5/7 + 6 / (1/3 * 7/9)
[143459] ['2/7', '3/8', '5/6', '7/4', '4'] -> 7/4 * (2/7 + 4) / (3/8 * 5/6)
[143460] ['7/9', '7/9', '6/7', '9/8', '3'] -> 3 / (9/8 * (7/9 - 7/9 * 6/7))
[143461] ['3/5', '7/9', '7/9', '7/2', '9'] -> (3/5 + 9) * (7/2 - 7/9 / 7/9)
[143462] ['1/7', '1/3', '5/7', '4/5', '6'] -> 6 / 1/3 / (5/7 / 4/5 - 1/7)
[143463] ['1/3', '5/8', '5/2', '9/2', '7'] -> (7 + 5/2 - 9/2) / (1/3 * 5/8)
[143464] ['7/9', '7/9', '6/7', '8/7', '3'] -> 8/7 * 3 / (7/9 / 7/9 - 6/7)
[143465] ['1/7', '6/7', '7/5', '3', '9/2'] -> 7/5 * (3 / 1/7 - 6/7 * 9/2)
[143466] ['1/4', '5/9', '4/7', '5/8', '8'] -> 8 / (4/7 - 1/4) - 5/9 / 5/8
[143467] ['2/5', '2/5', '7/8', '1', '7/2'] -> 7/2 / (7/8 * 2/5 * 2/5) - 1
[143468] ['2/7', '3/8', '5/6', '9/4', '4'] -> (9/4 / 3/8 + 4 / 2/7) / 5/6
[143469] ['2/5', '4/9', '6/7', '4/3', '2'] -> 6/7 * (4/3 / (4/9 - 2/5) - 2)
[143470] ['1/7', '3/4', '7/8', '9/4', '4'] -> 4 / 7/8 / (3/4 / 9/4 - 1/7)
[143471] ['1/7', '1/3', '5/7', '8/9', '6'] -> (6 - 5/7 / 1/3) / (1/7 / 8/9)
[143472] ['1/7', '6/7', '3/2', '8/5', '3'] -> 3 / (8/5 - 3/2) - 6/7 / 1/7
[143473] ['1/3', '2/3', '2/3', '5/7', '7'] -> (2/3 + 2/3 * 5/7) / (1/3 / 7)
[143474] ['1/4', '5/9', '4/7', '2/3', '8'] -> 8 / 4/7 / (5/9 / 2/3 - 1/4)
[143475] ['2/7', '3/8', '5/6', '7/3', '4'] -> 4 / (7/3 * (5/6 - 2/7 / 3/8))
[143476] ['1/2', '8/9', '7/6', '7/6', '3'] -> (1/2 + 3) / (7/6 / 8/9 - 7/6)
[143477] ['2/3', '2/3', '7/8', '9/4', '5'] -> (5 / (2/3 / 9/4) - 7/8) / 2/3
[143478] ['1/7', '1/3', '5/7', '9/8', '6'] -> (6 - 5/7 / 1/3) / (1/7 * 9/8)
[143479] ['1/7', '3/4', '7/8', '8/3', '4'] -> (4 / (3/4 * 7/8) - 8/3) / 1/7
[143480] ['2/7', '3/8', '5/6', '5/2', '4'] -> 5/2 / (5/6 * 2/7 * 3/8) - 4
[143481] ['3/5', '7/9', '4/5', '8/9', '9'] -> 8/9 * 9 / (4/5 - 3/5 * 7/9)
[143482] ['1/2', '8/9', '7/6', '5/4', '3'] -> 1/2 * 3 / (7/6 / 8/9 - 5/4)
[143483] ['2/9', '5/7', '5/7', '3/4', '7'] -> (7 - (5/7 + 5/7 / 3/4)) / 2/9
[143484] ['5/7', '7/9', '7/8', '9/4', '4'] -> 4 / (5/7 * 7/9 - 7/8 / 9/4)
[143485] ['2/3', '2/3', '7/8', '8/3', '5'] -> (2/3 + 8/3 * 5) / (2/3 * 7/8)
[143486] ['1/3', '2/3', '2/3', '6/5', '7'] -> 6/5 * (7 / 1/3 - 2/3 / 2/3)
[143487] ['2/5', '2/5', '8/9', '1', '5/4'] -> 5/4 / (2/5 / 8/9 - 2/5) - 1
[143488] ['1/4', '5/9', '4/7', '3/4', '8'] -> (8 / 4/7 - 1/4) / 5/9 - 3/4
[143489] ['1/3', '2/3', '2/3', '5/4', '7'] -> 7 / (1/3 / 2/3) / (5/4 - 2/3)
[143490] ['1/7', '6/7', '8/5', '5/3', '3'] -> 8/5 * 5/3 * (3 + 6/7 / 1/7)
[143491] ['3/5', '7/9', '4/5', '6/5', '9'] -> 4/5 + 9 * (6/5 + 3/5 + 7/9)
[143492] ['1/8', '3/4', '9/7', '8/5', '7'] -> 8/5 * (3/4 / 1/8 + 9/7 * 7)
[143493] ['2/7', '3/8', '6/7', '6/7', '4'] -> (6/7 * 4 - 6/7) / (2/7 * 3/8)
[143494] ['1/4', '5/9', '4/7', '7/9', '8'] -> 8 * (5/9 / 7/9 + 4/7 / 1/4)
[143495] ['1/7', '3/4', '8/9', '8/7', '4'] -> 8/9 / (1/7 / 3/4) * (8/7 + 4)
[143496] ['2/9', '3/5', '9/8', '5/2', '9'] -> 9 / (2/9 * 3/5) / (9/8 * 5/2)
[143497] ['2/3', '2/3', '8/9', '8/9', '5'] -> 2/3 * 5 / (8/9 - 2/3 / 8/9)
[143498] ['1/3', '2/3', '2/3', '7/5', '7'] -> (2/3 + 2/3 / 7/5) / (1/3 / 7)
[143499] ['1/2', '8/9', '7/6', '7/4', '3'] -> 3 / ((1/2 + 7/6) / 8/9 - 7/4)
[143500] ['1/4', '5/9', '4/7', '4/5', '8'] -> 8 / (1/4 + 4/5) / (5/9 * 4/7)
[143501] ['7/9', '7/9', '6/7', '5/3', '3'] -> 5/3 / (7/9 * (6/7 - 7/9)) - 3
[143502] ['1/7', '6/7', '8/5', '7/4', '3'] -> 6/7 / ((3 - 1/7) / 8/5 - 7/4)
[143503] ['2/9', '5/7', '5/7', '6/7', '7'] -> (7 - (5/7 + 5/7) / 6/7) / 2/9
[143504] ['5/7', '7/9', '8/9', '9/8', '4'] -> 4 / (7/9 * 9/8 - 5/7) - 8/9
[143505] ['1/7', '3/4', '8/9', '7/6', '4'] -> (4 - 3/4 * 8/9 / 7/6) / 1/7
[143506] ['1/3', '2/3', '2/3', '9/5', '7'] -> 9/5 * (7 / (1/3 / 2/3) - 2/3)
[143507] ['3/5', '7/9', '4/5', '9/7', '9'] -> (9/7 + 9) / (4/5 / 7/9 - 3/5)
[143508] ['2/9', '3/5', '9/8', '8/3', '9'] -> (8/3 / 2/9 + 9 / 3/5) / 9/8
[143509] ['2/3', '2/3', '8/9', '5/4', '5'] -> 2/3 / (2/3 - 8/9 + 5/4 / 5)
[143510] ['1/7', '3/4', '8/9', '6/5', '4'] -> 3/4 * 8/9 + 4 / (1/7 * 6/5)
[143511] ['1/2', '8/9', '7/6', '7/3', '3'] -> (7/3 + 3) / (1/2 + 8/9 - 7/6)
[143512] ['5/7', '7/9', '8/9', '7/6', '4'] -> 4 / (7/6 * (7/9 - 5/7 * 8/9))
[143513] ['2/9', '5/7', '5/7', '8/9', '7'] -> (7 - 5/7 / 5/7) / (2/9 / 8/9)
[143514] ['1/7', '6/7', '8/5', '7/3', '3'] -> (6/7 + 3 / 7/3) / (1/7 / 8/5)
[143515] ['7/9', '7/9', '6/7', '9/5', '3'] -> 3 * (7/9 / (6/7 - 7/9) - 9/5)
[143516] ['1/7', '1/3', '3/4', '9/8', '6'] -> (3/4 / 6 + 9/8 / 1/7) / 1/3
[143517] ['1/8', '3/4', '4/3', '4/3', '7'] -> 7 / (1/8 * (4/3 + 3/4 * 4/3))
[143518] ['3/5', '7/9', '4/5', '8/5', '9'] -> (4/5 + 8/5 / 7/9) * (9 - 3/5)
[143519] ['2/9', '3/5', '9/8', '9/2', '9'] -> 3/5 / 9/8 * (9/2 + 9 / 2/9)
[143520] ['2/3', '2/3', '8/9', '4/3', '5'] -> 5 / (4/3 - 2/3 / 2/3 / 8/9)
[143521] ['5/7', '7/9', '8/9', '6/5', '4'] -> 6/5 * 4 / (7/9 / 5/7 - 8/9)
[143522] ['2/9', '5/7', '5/7', '9/8', '7'] -> (7 - 5/7 / 5/7) / (2/9 * 9/8)
[143523] ['1/7', '6/7', '8/5', '5/2', '3'] -> 8/5 * 3 / (6/7 / 5/2 - 1/7)
[143524] ['1/7', '3/4', '8/9', '9/7', '4'] -> 8/9 * 9/7 * 4 / (1/7 / 3/4)
[143525] ['1/2', '8/9', '6/5', '6/5', '3'] -> 6/5 / (1/2 - 6/5 / (8/9 * 3))
[143526] ['3/5', '7/9', '4/5', '5/3', '9'] -> (5/3 + 3/5 * 7/9) / (4/5 / 9)
[143527] ['1/8', '3/4', '4/3', '8/5', '7'] -> 8/5 * (7 + 4/3 / (1/8 / 3/4))
[143528] ['1/4', '5/9', '4/7', '8/7', '8'] -> 8 * (8/7 / (4/7 - 1/4) - 5/9)
[143529] ['2/7', '3/8', '6/7', '9/5', '4'] -> 9/5 * (2/7 + 4) / (3/8 * 6/7)
[143530] ['2/3', '2/3', '8/9', '3/2', '5'] -> (2/3 + 5) / (8/9 - 2/3) - 3/2
[143531] ['2/9', '5/7', '5/7', '7/6', '7'] -> (7 - 7/6 * (5/7 + 5/7)) / 2/9
[143532] ['3/5', '7/9', '4/5', '7/4', '9'] -> (9 / 7/9 - 3/5) / (4/5 / 7/4)
[143533] ['7/9', '7/9', '6/7', '3', '7/2'] -> 7/2 / (7/9 / 6/7 - 7/9) - 3
[143534] ['1/7', '6/7', '8/5', '3', '7/2'] -> 6/7 * 8/5 * (3 / 1/7 - 7/2)
[143535] ['2/7', '3/8', '6/7', '9/4', '4'] -> 4 / (2/7 / 6/7 - 3/8 / 9/4)
[143536] ['2/3', '2/3', '8/9', '8/5', '5'] -> 5 * 2/3 * 8/5 / (8/9 - 2/3)
[143537] ['1/3', '2/3', '5/7', '8/9', '7'] -> (1/3 + 5/7 * 7) / (8/9 - 2/3)
[143538] ['2/5', '2/5', '8/9', '1', '9/2'] -> 8/9 * 9/2 / (2/5 * 2/5) - 1
[143539] ['1/7', '1/3', '3/4', '8/5', '6'] -> 6 / (1/7 * 8/5) - 3/4 / 1/3
[143540] ['3/5', '7/9', '4/5', '9/4', '9'] -> (9 - 3/5 * 7/9) / (4/5 / 9/4)
[143541] ['2/5', '4/9', '7/8', '8/9', '2'] -> 2 / (7/8 / (2/5 / 4/9) - 8/9)
[143542] ['1/8', '3/4', '7/5', '7/5', '7'] -> (7 - 7/5) / (7/5 * 1/8 / 3/4)
[143543] ['1/7', '6/7', '5/3', '5/3', '3'] -> (3 + 5/3 / 5/3) / (1/7 / 6/7)
[143544] ['1/2', '8/9', '6/5', '7/5', '3'] -> 3 / (1/2 + 6/5 - 7/5 / 8/9)
[143545] ['1/4', '5/9', '4/7', '9/7', '8'] -> 8 * (5/9 * 9/7 + 4/7 / 1/4)
[143546] ['7/9', '7/9', '7/8', '9/8', '3'] -> 3 / 9/8 / (7/9 / 7/8 - 7/9)
[143547] ['2/9', '3/5', '8/7', '9/7', '9'] -> 8/7 / 3/5 / (2/9 - 9/7 / 9)
[143548] ['1/8', '3/4', '7/5', '3/2', '7'] -> (7 / 7/5 - 3/2 / 3/4) / 1/8
[143549] ['1/7', '1/3', '3/4', '9/5', '6'] -> (1/3 + 9/5) * (6 + 3/4 / 1/7)
[143550] ['2/9', '5/7', '5/7', '4/3', '7'] -> (7 - (5/7 + 5/7 * 4/3)) / 2/9
[143551] ['1/7', '6/7', '5/3', '9/4', '3'] -> 9/4 * (6/7 / 1/7 + 5/3 + 3)
[143552] ['2/3', '2/3', '8/9', '5/2', '5'] -> 5 / 5/2 / (2/3 / 8/9 - 2/3)
[143553] ['1/2', '8/9', '6/5', '8/5', '3'] -> 3 / (1/2 * (8/5 - 6/5 / 8/9))
[143554] ['1/3', '2/3', '5/7', '6/5', '7'] -> (7 / 5/7 - 6/5 / 2/3) / 1/3
[143555] ['1/8', '3/4', '7/5', '5/3', '7'] -> 5/3 * (3/4 / 1/8 + 7/5 + 7)
[143556] ['2/7', '3/8', '7/8', '6/5', '4'] -> 4 / (3/8 - 2/7 * 7/8 / 6/5)
[143557] ['1/7', '1/3', '3/4', '7/2', '6'] -> 6 / (1/7 * 7/2 - 1/3 * 3/4)
[143558] ['2/3', '2/3', '8/9', '8/3', '5'] -> (8/9 + 8/3 * (2/3 + 5)) / 2/3
[143559] ['2/9', '3/5', '8/7', '4/3', '9'] -> 8/7 * (4/3 / 2/9 + 9 / 3/5)
[143560] ['3/5', '7/9', '4/5', '9/2', '9'] -> 4/5 / (9/2 / 9 - 3/5 * 7/9)
[143561] ['1/7', '6/7', '5/3', '5/2', '3'] -> (6/7 + 3 / 5/2) / (1/7 / 5/3)
[143562] ['7/9', '7/9', '7/8', '5/4', '3'] -> 7/9 * 3 / (7/9 * 5/4 - 7/8)
[143563] ['1/2', '8/9', '6/5', '5/3', '3'] -> 8/9 / (1/2 - 5/3 / (6/5 * 3))
