[157593] ['2/7', '5/8', '4/5', '3/2', '4'] -> (((3/2 + (4 / 2/7)) / 5/8) - 4/5)
[158682] ['2/9', '7/2', '9/2', '9/2', '9'] -> ((2/9 * (7/2 + 9/2)) * (9/2 + 9))
[158683] ['2/5', '2/3', '5/6', '1', '3/2'] -> ((3/2 + (1 / 2/5)) / (5/6 - 2/3))
[158684] ['5/9', '5/6', '9/7', '5/2', '6'] -> (((5/9 + (5/2 * 6)) * 9/7) / 5/6)
[158685] ['5/9', '4/7', '7/5', '7/3', '8'] -> ((4/7 + 8) * ((7/3 / 5/9) - 7/5))
[158686] ['3/5', '4/3', '2', '9/4', '5/2'] -> (2 / ((4/3 + 5/2) - (9/4 / 3/5)))
[158687] ['2/7', '5/8', '7/3', '8/3', '4'] -> (((7/3 + 8/3) / (2/7 * 5/8)) - 4)
[158688] ['5/7', '7/9', '3/2', '5/2', '5'] -> (3/2 + ((5/2 * 5) / (5/7 * 7/9)))
[158689] ['5/8', '7/8', '8/9', '9/8', '9'] -> (((8/9 + (7/8 / 9/8)) * 9) / 5/8)
[158690] ['1/7', '1/6', '8/5', '7/2', '7'] -> (((7/2 - (1/7 * 7)) * 8/5) / 1/6)
[158691] ['1/4', '1/4', '1/4', '1/4', '9'] -> (9 / (1/4 + (1/4 * (1/4 + 1/4))))
[158692] ['2/5', '2/3', '5/6', '1', '5/3'] -> ((5/3 / (2/5 * (5/6 - 2/3))) - 1)
[158693] ['2/7', '5/8', '7/3', '7/2', '4'] -> ((2/7 * 7/2) / (5/8 - (7/3 / 4)))
[158694] ['3/5', '4/3', '2', '9/4', '7/2'] -> ((7/2 / (4/3 - (3/5 * 2))) - 9/4)
[158695] ['3/4', '8/9', '8/7', '8/5', '4'] -> (8/5 * ((4 / (8/7 - 8/9)) - 3/4))
[158696] ['1/4', '1/4', '1/4', '2/7', '9'] -> (9 / ((1/4 / 2/7) - (1/4 + 1/4)))
[158697] ['5/9', '5/6', '4/3', '7/5', '6'] -> (6 / (5/6 - (7/5 * (5/9 / 4/3))))
[158698] ['2/5', '2/3', '5/6', '1', '7/4'] -> ((5/6 / ((2/5 * 7/4) - 2/3)) - 1)
[158699] ['5/9', '7/9', '7/8', '3', '9/2'] -> (3 / ((9/2 * (7/9 - 5/9)) - 7/8))
[158700] ['4/5', '9/8', '6/5', '6/5', '3'] -> (3 / ((6/5 / (4/5 * 6/5)) - 9/8))
[158701] ['2/7', '5/8', '7/3', '4', '9/2'] -> (((4 - (2/7 * 7/3)) * 9/2) / 5/8)
[158702] ['5/9', '4/7', '7/5', '7/2', '8'] -> ((8 / 5/9) / ((4/7 * 7/2) - 7/5))
[158703] ['5/8', '7/8', '8/9', '7/6', '9'] -> ((8/9 * 9) / ((5/8 + 7/8) - 7/6))
[158704] ['3/5', '4/3', '2', '9/4', '9/2'] -> (9/2 / (3/5 * (2 - (9/4 / 4/3))))
[158705] ['1/7', '1/6', '5/3', '5/3', '7'] -> ((5/3 + (1/6 + 5/3)) * (7 - 1/7))
[158706] ['3/8', '3/7', '4/5', '8/7', '7'] -> (((7 / (8/7 - 3/7)) - 4/5) / 3/8)
[158707] ['4/5', '9/8', '6/5', '5/4', '3'] -> ((4/5 * 3) / ((9/8 * 6/5) - 5/4))
[158708] ['5/8', '7/8', '8/9', '6/5', '9'] -> (9 / ((7/8 / (5/8 * 8/9)) - 6/5))
[158709] ['5/9', '7/9', '8/9', '9/8', '3'] -> (5/9 / ((7/9 / 3) + (8/9 - 9/8)))
[158710] ['5/9', '5/6', '4/3', '8/3', '6'] -> ((8/3 * 6) / (4/3 - (5/9 / 5/6)))
[158711] ['1/4', '1/4', '1/4', '4/9', '9'] -> (((9 * (1/4 + 4/9)) - 1/4) / 1/4)
[158712] ['1/4', '2/7', '3/7', '3/5', '7'] -> ((7 - (2/7 + (3/7 / 3/5))) / 1/4)
[158713] ['5/8', '7/8', '8/9', '5/4', '9'] -> ((9 * (5/4 + (5/8 + 8/9))) - 7/8)
[158714] ['1/4', '1/4', '1/4', '5/9', '9'] -> (((1/4 / 1/4) + (5/9 * 9)) / 1/4)
[158715] ['1/7', '1/6', '5/3', '9/5', '7'] -> (((1/7 * 7) + (5/3 * 9/5)) / 1/6)
[158716] ['2/5', '4/5', '6/7', '5/4', '2'] -> (2 / ((2/5 - 5/4) + (4/5 / 6/7)))
[158717] ['2/5', '2/3', '5/6', '1', '5/2'] -> (5/2 / ((1 / (2/5 + 2/3)) - 5/6))
[158718] ['4/5', '9/8', '6/5', '7/4', '3'] -> ((6/5 + 3) / ((4/5 + 9/8) - 7/4))
[158719] ['1/4', '1/4', '1/4', '4/7', '9'] -> (9 / ((1/4 / 4/7) - (1/4 * 1/4)))
[158720] ['2/5', '4/5', '6/7', '9/7', '2'] -> (4/5 / (2 - ((2/5 + 9/7) / 6/7)))
[158721] ['5/8', '7/8', '8/9', '9/7', '9'] -> (9 / ((9/7 * (7/8 * 8/9)) - 5/8))
[158722] ['5/9', '5/6', '7/5', '3/2', '6'] -> (6 * ((3/2 / (5/6 - 5/9)) - 7/5))
[158723] ['5/9', '7/9', '8/9', '7/6', '3'] -> ((8/9 * 3) / ((7/9 / 7/6) - 5/9))
[158724] ['5/9', '4/7', '3/2', '5/3', '8'] -> ((5/3 / 5/9) + ((8 * 3/2) / 4/7))
[158725] ['2/7', '4/9', '4/3', '8/5', '6'] -> ((4/3 / (8/5 - (4/9 / 2/7))) - 6)
[158726] ['1/7', '1/6', '5/3', '9/2', '7'] -> (((1/6 + 9/2) / 1/7) - (5/3 + 7))
[158727] ['5/9', '5/6', '7/5', '8/5', '6'] -> ((8/5 / 6) / (7/5 - (5/9 + 5/6)))
[158728] ['5/8', '7/8', '8/9', '7/5', '9'] -> ((((7/8 + 8/9) * 9) / 5/8) - 7/5)
[158729] ['1/4', '1/4', '1/4', '5/7', '9'] -> (((5/7 * (9 - 1/4)) - 1/4) / 1/4)
[158730] ['5/9', '4/7', '3/2', '7/4', '8'] -> (((8 - (4/7 / 3/2)) * 7/4) / 5/9)
[158731] ['5/9', '7/9', '8/9', '6/5', '3'] -> ((8/9 * 3) / (7/9 - (5/9 * 6/5)))
[158732] ['1/4', '1/4', '1/4', '7/9', '9'] -> (((7/9 * 9) - (1/4 / 1/4)) / 1/4)
[158733] ['1/4', '2/7', '3/7', '9/8', '7'] -> (((7 - (1/4 - 3/7)) / 2/7) - 9/8)
[158734] ['2/5', '4/5', '6/7', '3/2', '2'] -> (4/5 / (2 - (3/2 + (2/5 / 6/7))))
[158735] ['2/7', '5/8', '7/2', '4', '9/2'] -> (((4 / 2/7) - (7/2 - 9/2)) / 5/8)
[158736] ['5/9', '4/7', '3/2', '9/5', '8'] -> ((8 / (5/9 * 4/7)) - (9/5 / 3/2))
[158737] ['4/5', '9/8', '6/5', '3', '7/2'] -> ((6/5 / (9/8 - 4/5)) * (3 + 7/2))
[158738] ['3/4', '8/9', '8/7', '7/2', '4'] -> ((8/7 * 7/2) * (4 / (3/4 * 8/9)))
[158739] ['5/8', '7/8', '8/9', '8/5', '9'] -> ((8/9 * 9) * (8/5 + (7/8 / 5/8)))
[158740] ['3/5', '4/3', '2', '5/2', '8/3'] -> (4/3 / ((2 + 5/2) - (8/3 / 3/5)))
[158741] ['2/7', '4/9', '4/3', '7/3', '6'] -> (((4/3 - (4/9 / 7/3)) * 6) / 2/7)
[158742] ['5/8', '7/8', '8/9', '5/3', '9'] -> (9 / ((5/3 / 8/9) - (5/8 + 7/8)))
[158743] ['3/8', '3/7', '4/5', '5/3', '7'] -> (((7 / (3/7 * 5/3)) - 4/5) / 3/8)
[158744] ['4/5', '9/8', '5/4', '9/7', '3'] -> (3 / ((4/5 * 5/4) - (9/8 / 9/7)))
[158745] ['5/9', '7/9', '8/9', '9/7', '3'] -> (3 / (((7/9 / 8/9) / 9/7) - 5/9))
[158746] ['5/9', '4/7', '3/2', '9/4', '8'] -> (((8 / 4/7) - (3/2 / 9/4)) / 5/9)
[158747] ['5/7', '7/9', '8/5', '8/3', '5'] -> ((7/9 * 8/3) * (5 * (5/7 + 8/5)))
[158748] ['2/7', '5/8', '4', '9/2', '9/2'] -> (((4 / 2/7) + (9/2 / 9/2)) / 5/8)
[158749] ['2/5', '4/5', '6/7', '5/3', '2'] -> (2 / ((4/5 / (6/7 - 2/5)) - 5/3))
[158750] ['5/8', '7/8', '8/9', '7/4', '9'] -> ((9 * (8/9 + 7/4)) - (5/8 - 7/8))
[158751] ['1/7', '1/6', '7/4', '7/2', '7'] -> ((7 / 7/2) / ((1/7 * 7/4) - 1/6))
[158752] ['1/4', '1/4', '1/4', '7/6', '9'] -> (((7/6 - (1/4 + 1/4)) * 9) / 1/4)
[158753] ['4/5', '9/8', '5/4', '7/5', '3'] -> (3 / (((4/5 + 9/8) / 7/5) - 5/4))
[158754] ['3/4', '8/9', '7/6', '5/4', '4'] -> (((4 * 5/4) / 3/4) / (7/6 - 8/9))
[158755] ['2/5', '4/5', '6/7', '7/4', '2'] -> ((2/5 + 2) / (7/4 * (6/7 - 4/5)))
[158756] ['1/4', '1/4', '1/4', '6/5', '9'] -> (9 / (6/5 * (1/4 + (1/4 * 1/4))))
[158757] ['3/8', '3/7', '4/5', '9/5', '7'] -> ((3/7 * 7) / (4/5 - (3/8 * 9/5)))
[158758] ['1/7', '1/6', '9/5', '9/5', '7'] -> (((7 / 1/7) - 9/5) / (1/6 + 9/5))
[158759] ['2/7', '2/3', '2/3', '2/3', '4'] -> (2/3 + ((2/3 + (4 / 2/3)) / 2/7))
[158760] ['5/7', '7/9', '8/5', '9/2', '5'] -> ((9/2 * (7/9 * 8/5)) * (5 - 5/7))
[158761] ['3/4', '8/9', '7/6', '9/7', '4'] -> ((3/4 / ((7/6 / 8/9) - 9/7)) - 4)
[158762] ['1/4', '1/4', '1/4', '9/7', '9'] -> (((9 / 9/7) - (1/4 / 1/4)) / 1/4)
[158763] ['5/9', '5/6', '7/5', '7/2', '6'] -> (6 * ((5/6 / 5/9) + (7/2 / 7/5)))
[158764] ['4/5', '9/8', '5/4', '3/2', '3'] -> (3 / ((9/8 * 3/2) - (5/4 / 4/5)))
[158765] ['1/4', '2/7', '3/7', '7/3', '7'] -> (7 / (7/3 - ((1/4 / 2/7) / 3/7)))
[158766] ['5/9', '7/9', '8/9', '7/4', '3'] -> ((8/9 * 3) / (5/9 - (7/9 / 7/4)))
[158767] ['5/9', '4/7', '3/2', '7/2', '8'] -> (8 / (4/7 - ((5/9 * 3/2) / 7/2)))
[158768] ['5/9', '5/6', '7/5', '9/2', '6'] -> (6 / (9/2 * (5/6 - (5/9 * 7/5))))
[158769] ['2/7', '4/9', '7/5', '5/3', '6'] -> (((6 + (2/7 * 7/5)) * 5/3) / 4/9)
[158770] ['3/4', '8/9', '7/6', '3/2', '4'] -> (4 / (7/6 - (3/2 * (3/4 * 8/9))))
[158771] ['2/5', '4/5', '6/7', '2', '7/3'] -> (2/5 / ((7/3 / (6/7 + 2)) - 4/5))
[158772] ['1/4', '1/4', '1/4', '7/5', '9'] -> ((((9 - 1/4) / 7/5) - 1/4) / 1/4)
[158773] ['5/8', '7/8', '9/8', '9/8', '9'] -> (9 / (9/8 - (9/8 / (5/8 + 7/8))))
[158774] ['3/5', '4/3', '2', '7/2', '9/2'] -> (2 * (((7/2 + 9/2) / 3/5) - 4/3))
[158775] ['2/7', '2/3', '2/3', '7/8', '4'] -> (4 / ((7/8 * (2/7 + 2/3)) - 2/3))
[158776] ['1/4', '1/4', '1/4', '9/5', '9'] -> (((1/4 / 1/4) + (9 / 9/5)) / 1/4)
[158777] ['5/7', '7/9', '5/3', '9/5', '5'] -> (5 * (9/5 + (5/3 / (5/7 * 7/9))))
[158778] ['5/9', '5/6', '3/2', '7/4', '6'] -> (6 * (7/4 + ((3/2 * 5/6) / 5/9)))
[158779] ['3/5', '4/3', '2', '9/2', '9/2'] -> ((4/3 + 2) * (9/2 + (3/5 * 9/2)))
[158780] ['3/8', '3/7', '4/5', '5/2', '7'] -> (3/8 + ((7 + (5/2 / 4/5)) / 3/7))
[158781] ['5/9', '4/7', '8/5', '5/3', '8'] -> ((5/9 + 5/3) * (8 + (8/5 / 4/7)))
[158782] ['5/7', '7/9', '5/3', '9/4', '5'] -> (9/4 * (5/3 + (5 / (5/7 * 7/9))))
[158783] ['5/9', '7/9', '8/9', '3', '7/2'] -> (8/9 / ((7/9 / 7/2) - (5/9 / 3)))
[158784] ['5/7', '7/9', '5/3', '7/3', '5'] -> ((5/3 + (7/3 * 5)) / (5/7 * 7/9))
[158785] ['5/8', '7/8', '9/8', '8/5', '9'] -> (((8/5 + (7/8 / 5/8)) * 9) / 9/8)
[158786] ['1/4', '1/4', '2/7', '1/3', '9'] -> (9 / (1/3 * (1/4 + (1/4 / 2/7))))
[158787] ['3/4', '8/9', '7/6', '7/3', '4'] -> (4 / ((3/4 * 8/9) - (7/6 / 7/3)))
[158788] ['5/9', '4/7', '8/5', '7/4', '8'] -> (8 / (5/9 * (8/5 - (4/7 * 7/4))))
[158789] ['5/8', '7/8', '9/8', '7/4', '9'] -> (9 / ((5/8 - 7/8) - (9/8 - 7/4)))
[158790] ['3/5', '7/5', '7/5', '8/5', '2'] -> ((3/5 * 8/5) / (2 - (7/5 * 7/5)))
[158791] ['2/7', '4/9', '7/5', '7/3', '6'] -> (((2/7 + (6 / 7/5)) * 7/3) / 4/9)
[158792] ['4/5', '9/8', '5/4', '3', '9/2'] -> (3 * ((9/8 + 5/4) + (9/2 / 4/5)))
[158793] ['5/9', '4/7', '8/5', '9/5', '8'] -> (8/5 * ((5/9 * 9/5) + (8 / 4/7)))
[158794] ['5/8', '7/8', '9/8', '9/5', '9'] -> (9 / ((5/8 - 7/8) + (9/8 / 9/5)))
[158795] ['3/5', '7/5', '7/5', '5/3', '2'] -> (2 / ((7/5 / (7/5 - 3/5)) - 5/3))
[158796] ['5/9', '5/6', '8/5', '7/3', '6'] -> ((5/9 + (5/6 * 7/3)) * (8/5 * 6))
[158797] ['1/7', '1/6', '9/4', '7/3', '7'] -> (7 / (((9/4 * 1/6) / 1/7) - 7/3))
[158798] ['4/5', '9/8', '9/7', '9/7', '3'] -> (3 / ((9/7 / (4/5 * 9/7)) - 9/8))
[158799] ['5/9', '7/9', '9/8', '7/6', '3'] -> ((3 / 9/8) / ((7/9 / 7/6) - 5/9))
[158800] ['3/4', '8/9', '6/5', '6/5', '4'] -> (4 / ((8/9 * 6/5) - (3/4 * 6/5)))
[158801] ['5/7', '7/9', '5/3', '9/2', '5'] -> (9/2 * (5 + ((5/7 * 7/9) / 5/3)))
[158802] ['5/8', '7/8', '9/8', '5/2', '9'] -> (9 / ((5/2 * (9/8 - 5/8)) - 7/8))
[158803] ['2/7', '4/9', '7/5', '7/2', '6'] -> ((7/5 * 6) * (7/2 - (2/7 / 4/9)))
[158804] ['1/7', '1/6', '9/4', '8/3', '7'] -> (1/7 / ((8/3 / 7) - (1/6 * 9/4)))
[158805] ['5/9', '7/9', '9/8', '6/5', '3'] -> (3 / (9/8 * (7/9 - (5/9 * 6/5))))
[158806] ['5/9', '4/7', '8/5', '7/3', '8'] -> (((8 / 5/9) - (8/5 / 7/3)) / 4/7)
[158807] ['5/8', '7/8', '9/8', '7/2', '9'] -> (9 / (7/8 - ((5/8 + 9/8) / 7/2)))
[158808] ['4/5', '9/8', '9/7', '7/5', '3'] -> (3 / ((4/5 + 9/8) - (9/7 * 7/5)))
[158809] ['2/7', '2/3', '2/3', '8/5', '4'] -> (8/5 * ((2/3 / 2/3) + (4 / 2/7)))
[158810] ['1/4', '1/4', '2/7', '3/5', '9'] -> ((9 / 3/5) / ((1/4 / 2/7) - 1/4))
[158811] ['1/7', '1/6', '9/4', '7/2', '7'] -> (7 / (1/6 * (9/4 - (1/7 * 7/2))))
[158812] ['5/9', '5/6', '8/5', '7/2', '6'] -> (8/5 * ((7/2 / 5/6) + (6 / 5/9)))
[158813] ['3/8', '3/7', '5/6', '8/9', '7'] -> (7 / (5/6 - (3/7 * (3/8 + 8/9))))
[158814] ['1/4', '1/4', '2/7', '5/8', '9'] -> (9 / (1/4 * (5/8 + (1/4 / 2/7))))
[158815] ['5/8', '7/8', '8/7', '7/6', '9'] -> ((5/8 + 9) / (7/6 - (7/8 / 8/7)))
[158816] ['3/4', '8/9', '6/5', '4/3', '4'] -> ((4 / 3/4) / ((4/3 / 6/5) - 8/9))
[158817] ['2/7', '4/9', '3/2', '3/2', '6'] -> ((6 / 4/9) + ((3/2 + 3/2) / 2/7))
[158818] ['1/4', '2/7', '4/9', '6/7', '7'] -> (7 * (6/7 + (2/7 / (1/4 * 4/9))))
[158819] ['1/7', '1/6', '7/3', '7/3', '7'] -> (((7/3 / 1/7) - 7) / (1/6 * 7/3))
[158820] ['5/9', '7/9', '9/8', '9/7', '3'] -> (3 / (((7/9 * 9/8) / 9/7) - 5/9))
[158821] ['2/5', '4/5', '7/8', '8/5', '2'] -> ((8/5 + (2/5 / 2)) / (7/8 - 4/5))
[158822] ['5/8', '7/8', '8/7', '6/5', '9'] -> ((9 / ((5/8 + 7/8) - 8/7)) - 6/5)
[158823] ['5/7', '7/9', '7/4', '9/4', '5'] -> (7/4 * (5/7 + (9/4 * (7/9 + 5))))
[158824] ['5/9', '4/7', '8/5', '8/3', '8'] -> (8/5 + ((8 + (8/3 / 5/9)) / 4/7))
[158825] ['3/4', '8/9', '6/5', '3/2', '4'] -> ((4 / 6/5) / ((3/4 + 8/9) - 3/2))
[158826] ['1/4', '2/7', '4/9', '7/8', '7'] -> ((7 / 2/7) - (4/9 * (1/4 + 7/8)))
[158827] ['1/4', '1/4', '2/7', '7/9', '9'] -> (((9 * 7/9) / 2/7) - (1/4 + 1/4))
[158828] ['1/7', '1/6', '7/3', '9/2', '7'] -> (((9/2 - (1/6 / 7/3)) / 1/7) - 7)
[158829] ['3/8', '3/7', '5/6', '8/7', '7'] -> ((7 * (3/7 + 8/7)) / (5/6 - 3/8))
[158830] ['4/5', '9/8', '9/7', '5/3', '3'] -> ((3 / 5/3) / ((9/8 / 9/7) - 4/5))
[158831] ['5/8', '7/8', '8/7', '5/4', '9'] -> (9 / ((5/8 - 5/4) + (7/8 * 8/7)))
[158832] ['2/7', '2/3', '2/3', '8/3', '4'] -> (((4 / 2/7) - (2/3 - 8/3)) / 2/3)
[158833] ['3/5', '7/5', '7/5', '2', '9/2'] -> (2 * ((9/2 * (7/5 + 7/5)) - 3/5))
[158834] ['1/4', '2/7', '4/9', '9/8', '7'] -> ((7 / 2/7) - ((1/4 / 4/9) / 9/8))
[158835] ['5/9', '5/6', '7/4', '9/4', '6'] -> (6 / (7/4 - (9/4 * (5/9 / 5/6))))
[158836] ['2/7', '4/9', '3/2', '9/5', '6'] -> (((6 / (4/9 - 2/7)) - 9/5) / 3/2)
[158837] ['5/9', '7/9', '9/8', '8/5', '3'] -> ((3 / 9/8) / ((5/9 * 8/5) - 7/9))
[158838] ['1/7', '1/6', '5/2', '5/2', '7'] -> (((5/2 + 5/2) - (1/7 * 7)) / 1/6)
[158839] ['2/5', '2/3', '7/8', '8/9', '1'] -> (1 / (7/8 - (8/9 / (2/5 + 2/3))))
[158840] ['3/4', '8/9', '6/5', '5/3', '4'] -> ((6/5 + 4) / (3/4 - (8/9 / 5/3)))
[158841] ['1/4', '1/4', '2/7', '5/6', '9'] -> (9 * (((1/4 / 1/4) / 2/7) - 5/6))
[158842] ['2/7', '2/3', '2/3', '7/2', '4'] -> (2/3 + (4 * (7/2 + (2/3 / 2/7))))
[158843] ['5/8', '7/8', '8/7', '3/2', '9'] -> (((9 + (7/8 * 8/7)) * 3/2) / 5/8)
[158844] ['5/9', '5/6', '7/4', '7/3', '6'] -> ((5/6 / (7/3 - (5/9 + 7/4))) - 6)
[158845] ['4/5', '9/8', '9/7', '9/5', '3'] -> (3 / (9/5 - (4/5 + (9/8 / 9/7))))
[158846] ['5/9', '7/9', '9/8', '9/5', '3'] -> (3 / ((5/9 * 9/5) - (7/9 * 9/8)))
[158847] ['2/5', '4/5', '7/8', '2', '7/2'] -> (((4/5 + (7/2 / 7/8)) * 2) / 2/5)
[158848] ['1/7', '1/6', '5/2', '9/2', '7'] -> ((9/2 - (1/7 + (5/2 / 7))) / 1/6)
[158849] ['5/9', '5/6', '9/5', '9/5', '6'] -> ((9/5 + 9/5) * (6 + (5/9 / 5/6)))
[158850] ['3/8', '3/7', '5/6', '3/2', '7'] -> ((3/2 - 3/7) * (7 / (3/8 * 5/6)))
[158851] ['2/5', '4/5', '8/9', '8/9', '2'] -> ((8/9 * (2/5 + 2)) / (8/9 - 4/5))
[158852] ['5/9', '7/9', '9/8', '7/3', '3'] -> (3 / ((5/9 + 7/9) + (9/8 - 7/3)))
[158853] ['3/4', '8/9', '6/5', '7/3', '4'] -> ((7/3 + 4) / (8/9 - (3/4 / 6/5)))
[158854] ['1/7', '1/6', '8/3', '9/2', '7'] -> ((7 * (1/7 + 8/3)) - (1/6 - 9/2))
[158855] ['5/9', '4/7', '5/3', '7/3', '8'] -> (((5/3 - 7/3) + (8 / 4/7)) / 5/9)
[158856] ['2/5', '4/5', '8/9', '9/8', '2'] -> ((2/5 + 2) / (9/8 * (8/9 - 4/5)))
[158857] ['5/8', '7/8', '8/7', '5/2', '9'] -> (8/7 * ((5/2 * 9) - (5/8 + 7/8)))
[158858] ['5/9', '7/9', '9/8', '5/2', '3'] -> (3 / (9/8 - (7/9 + (5/9 / 5/2))))
[158859] ['1/7', '1/5', '1/5', '1/5', '7'] -> (((7 * (1/7 / 1/5)) - 1/5) / 1/5)
[158860] ['3/8', '3/7', '5/6', '7/4', '7'] -> (7 / ((3/8 - 5/6) + (3/7 * 7/4)))
[158861] ['1/4', '1/4', '2/7', '5/4', '9'] -> (9 / (2/7 * (5/4 + (1/4 * 1/4))))
[158862] ['3/5', '7/5', '8/5', '2', '9/4'] -> (3/5 / (8/5 - (9/4 * (7/5 / 2))))
[158863] ['2/5', '2/3', '7/8', '1', '4/3'] -> ((4/3 + (2/3 / 2/5)) / (1 - 7/8))
[158864] ['4/5', '9/8', '9/7', '3', '7/2'] -> (9/7 / (9/8 - (3 / (4/5 * 7/2))))
[158865] ['1/4', '1/4', '2/7', '4/3', '9'] -> (((1/4 + 1/4) + (9 / 2/7)) / 4/3)
[158866] ['3/8', '3/7', '5/6', '9/5', '7'] -> (((9/5 - (3/7 / 5/6)) * 7) / 3/8)
[158867] ['3/5', '7/5', '8/5', '2', '5/2'] -> (8/5 / (7/5 - (2 / (3/5 * 5/2))))
[158868] ['1/7', '1/5', '1/5', '1/3', '7'] -> (((1/7 + (1/5 / 1/5)) * 7) / 1/3)
[158869] ['5/9', '7/9', '8/7', '8/7', '3'] -> ((8/7 * 3) / (7/9 - (5/9 * 8/7)))
[158870] ['1/4', '2/7', '4/9', '5/3', '7'] -> ((7 * ((5/3 / 4/9) - 2/7)) - 1/4)
[158871] ['2/5', '2/3', '7/8', '1', '5/3'] -> (2/5 / ((1 / 5/3) - (2/3 * 7/8)))
[158872] ['3/8', '3/7', '5/6', '9/4', '7'] -> (7 / ((3/7 * (3/8 + 9/4)) - 5/6))
[158873] ['3/5', '7/5', '8/5', '2', '8/3'] -> (8/5 / (8/3 - (7/5 + (3/5 * 2))))
[158874] ['1/4', '1/4', '2/7', '8/5', '9'] -> ((8/5 + (2/7 / 1/4)) * (9 - 1/4))
[158875] ['2/7', '2/3', '5/7', '9/5', '4'] -> ((2/3 * 4) / ((5/7 / 9/5) - 2/7))
[158876] ['1/7', '1/5', '1/5', '2/5', '7'] -> ((((7 * 1/5) / 1/7) - 1/5) / 2/5)
[158877] ['1/4', '1/4', '2/7', '5/3', '9'] -> ((5/3 * 9) / ((1/4 / 2/7) - 1/4))
[158878] ['2/5', '4/5', '8/9', '3/2', '2'] -> (2 / ((4/5 / 3/2) - (2/5 / 8/9)))
[158879] ['3/8', '3/7', '5/6', '5/2', '7'] -> ((((7 * 3/7) / 3/8) * 5/2) / 5/6)
[158880] ['2/7', '4/9', '8/5', '7/3', '6'] -> (((6 + (2/7 * 7/3)) * 8/5) / 4/9)
[158881] ['4/5', '9/8', '4/3', '9/5', '3'] -> ((4/3 + 3) * (9/5 / (9/8 - 4/5)))
[158882] ['3/5', '7/5', '8/5', '2', '9/2'] -> ((9/2 + (3/5 / 2)) / (8/5 - 7/5))
[158883] ['1/4', '1/4', '2/7', '9/5', '9'] -> ((9/5 / 1/4) + (9 / (1/4 + 2/7)))
[158884] ['2/7', '2/3', '3/4', '3/4', '4'] -> (((4 / (2/7 * 3/4)) - 2/3) / 3/4)
[158885] ['3/8', '3/7', '5/6', '8/3', '7'] -> (8/3 / (3/7 - (5/6 / (3/8 * 7))))
[158886] ['3/4', '8/9', '5/4', '7/4', '4'] -> (4 / ((3/4 * 8/9) + (5/4 - 7/4)))
[158887] ['5/8', '7/8', '7/6', '9/5', '9'] -> (9 / ((5/8 * 9/5) - (7/8 / 7/6)))
[158888] ['5/9', '4/7', '7/4', '7/3', '8'] -> ((7/3 * 8) / (7/4 - (5/9 / 4/7)))
[158889] ['3/8', '3/7', '5/6', '9/2', '7'] -> ((9/2 + (3/7 * 7)) / (3/8 * 5/6))
[158890] ['2/7', '2/3', '3/4', '7/9', '4'] -> ((4 / 7/9) / ((2/3 * 3/4) - 2/7))
[158891] ['1/4', '1/4', '2/7', '7/3', '9'] -> (7/3 * ((1/4 / 1/4) + (2/7 + 9)))
[158892] ['4/5', '9/8', '4/3', '7/3', '3'] -> (3 / (((7/3 - 4/3) / 4/5) - 9/8))
[158893] ['2/5', '2/3', '7/8', '1', '7/2'] -> (1 / (2/3 - (7/8 / (2/5 * 7/2))))
[158894] ['2/7', '2/3', '3/4', '4/5', '4'] -> (2/3 + (4 / (4/5 * (2/7 * 3/4))))
[158895] ['1/4', '1/4', '2/7', '5/2', '9'] -> ((1/4 / 2/7) + (5/2 * (1/4 + 9)))
[158896] ['5/8', '7/8', '6/5', '6/5', '9'] -> ((6/5 + 9) / ((7/8 * 6/5) - 5/8))
[158897] ['4/5', '9/8', '4/3', '5/2', '3'] -> ((3 + (4/5 * 5/2)) / (4/3 - 9/8))
[158898] ['5/8', '7/8', '6/5', '9/7', '9'] -> (9 / ((7/8 * 9/7) - (5/8 * 6/5)))
[158899] ['2/7', '4/9', '5/3', '5/3', '6'] -> ((((5/3 - 4/9) * 6) / 2/7) - 5/3)
[158900] ['5/9', '4/7', '7/4', '9/2', '8'] -> (8 / (5/9 - ((4/7 * 7/4) / 9/2)))
[158901] ['4/5', '9/8', '7/5', '3/2', '3'] -> (3 / (3/2 - ((4/5 + 9/8) / 7/5)))
[158902] ['2/7', '4/9', '5/3', '7/4', '6'] -> ((5/3 / ((2/7 * 7/4) - 4/9)) - 6)
[158903] ['1/4', '2/7', '1/2', '3/5', '7'] -> ((2/7 * 7) / (1/2 - (1/4 / 3/5)))
[158904] ['3/8', '3/7', '6/7', '7/5', '7'] -> (((3/7 + (6/7 * 7)) * 7/5) / 3/8)
[158905] ['5/9', '6/7', '6/7', '9/7', '6'] -> (6/7 + (((6/7 + 9/7) * 6) / 5/9))
[158906] ['5/9', '4/7', '9/5', '9/5', '8'] -> ((4/7 + 8) * (9/5 + (5/9 * 9/5)))
[158907] ['5/7', '7/9', '7/3', '7/3', '5'] -> ((7/3 + ((5 * 7/3) / 5/7)) / 7/9)
[158908] ['4/5', '9/8', '7/5', '8/5', '3'] -> (3 / ((7/5 - 8/5) - (4/5 - 9/8)))
[158909] ['2/7', '4/9', '5/3', '9/5', '6'] -> (((9/5 * 5/3) / 2/7) + (6 / 4/9))
[158910] ['1/4', '2/7', '1/2', '7/9', '7'] -> ((7 / 7/9) / ((1/4 / 2/7) - 1/2))
