[196991] ['2/9', '3/5', '2/3', '7/5', '3'] -> (((3 * (3/5 + 7/5)) - 2/3) / 2/9)
[202450] ['3/8', '2/5', '5/7', '7/8', '6'] -> ((3/8 + (7/8 / 5/7)) / (2/5 / 6))
[202451] ['3/7', '7/8', '9/7', '5/3', '6'] -> (6 / ((3/7 / (5/3 - 9/7)) - 7/8))
[202452] ['1/9', '7/9', '7/2', '7/2', '9'] -> ((9 + (7/2 + 7/2)) / (7/9 - 1/9))
[202453] ['3/7', '1', '9/7', '4/3', '4/3'] -> (9/7 / (3/7 - (1 / (4/3 + 4/3))))
[202454] ['4/5', '5/6', '7/8', '8/7', '9'] -> ((8/7 / (5/6 - 4/5)) - (9 / 7/8))
[202455] ['1/5', '3/7', '1', '8/7', '9/4'] -> (8/7 / (1 - (3/7 / (1/5 * 9/4))))
[202456] ['5/8', '7/9', '9/8', '3/2', '6'] -> (6 * (5/8 + ((9/8 + 3/2) / 7/9)))
[202457] ['2/9', '5/7', '3/2', '7/3', '3'] -> (3/2 + ((7/3 * 3) / (2/9 / 5/7)))
[202458] ['4/5', '5/6', '7/8', '7/6', '9'] -> (9 / ((4/5 * 5/6) + (7/8 - 7/6)))
[202459] ['3/4', '7/9', '6/7', '7/5', '2'] -> ((2 / (3/4 * 7/5)) / (6/7 - 7/9))
[202460] ['3/7', '1', '9/7', '4/3', '7/5'] -> ((3/7 + (1 / 7/5)) / (4/3 - 9/7))
[202461] ['5/8', '5/8', '3/4', '5/6', '8'] -> (8 / ((3/4 + 5/6) - (5/8 + 5/8)))
[202462] ['5/8', '7/9', '9/8', '8/5', '6'] -> ((6 / 9/8) / ((5/8 * 8/5) - 7/9))
[202463] ['3/7', '7/8', '9/7', '9/5', '6'] -> ((6 / 7/8) / ((9/7 / 9/5) - 3/7))
[202464] ['2/9', '5/7', '3/2', '5/2', '3'] -> ((3 + (5/2 / (5/7 * 3/2))) / 2/9)
[202465] ['5/6', '7/8', '7/5', '7/5', '5'] -> ((7/5 * 5) / ((5/6 * 7/5) - 7/8))
[202466] ['7/9', '4/5', '5/4', '3/2', '8'] -> ((8 / 3/2) / ((4/5 * 5/4) - 7/9))
[202467] ['3/4', '7/9', '6/7', '8/5', '2'] -> ((2 / (6/7 - 7/9)) - (3/4 * 8/5))
[202468] ['1/5', '3/7', '1', '8/7', '8/3'] -> (((1 / 1/5) - 8/7) / (3/7 / 8/3))
[202469] ['3/7', '1', '9/7', '4/3', '8/5'] -> (9/7 / ((1 / 8/5) - (3/7 * 4/3)))
[202470] ['5/6', '7/8', '7/5', '3/2', '5'] -> ((5 / 7/8) / ((3/2 / 7/5) - 5/6))
[202471] ['5/8', '5/8', '3/4', '8/9', '8'] -> (8 / ((5/8 / 5/8) - (3/4 * 8/9)))
[202472] ['3/8', '2/5', '5/7', '6/5', '6'] -> ((2/5 + 6/5) + (6 / (3/8 * 5/7)))
[202473] ['5/8', '7/9', '9/8', '9/4', '6'] -> (6 / ((7/9 * (9/4 - 9/8)) - 5/8))
[202474] ['1/5', '3/7', '1', '8/7', '7/2'] -> (7/2 * (((3/7 + 8/7) / 1/5) - 1))
[202475] ['7/9', '4/5', '5/4', '5/3', '8'] -> ((5/4 + 5/3) * (8 / (7/9 / 4/5)))
[202476] ['3/4', '7/9', '6/7', '7/4', '2'] -> (2 / ((6/7 * (7/4 - 7/9)) - 3/4))
[202477] ['4/5', '5/6', '7/8', '4/3', '9'] -> (9 / (7/8 - ((4/5 * 5/6) / 4/3)))
[202478] ['1/6', '4/7', '9/5', '2', '7/3'] -> (9/5 * ((4/7 * 7/3) + (2 / 1/6)))
[202479] ['1/9', '4/5', '4/5', '8/7', '9'] -> (4/5 / (1/9 - ((4/5 / 8/7) / 9)))
[202480] ['5/8', '7/9', '9/8', '7/2', '6'] -> (6 * ((5/8 - 9/8) + (7/2 / 7/9)))
[202481] ['3/8', '2/5', '5/7', '4/3', '6'] -> ((6 / (3/8 * 5/7)) / (4/3 - 2/5))
[202482] ['7/9', '4/5', '5/4', '9/5', '8'] -> (8 * (5/4 + (9/5 * (7/9 / 4/5))))
[202483] ['1/6', '4/7', '9/5', '2', '5/2'] -> ((2 - 4/7) * (9/5 + (5/2 / 1/6)))
[202484] ['1/5', '3/7', '1', '7/6', '6/5'] -> ((6/5 + (1 / 7/6)) / (1/5 * 3/7))
[202485] ['3/7', '1', '9/7', '4/3', '5/2'] -> ((9/7 * 4/3) / ((3/7 * 5/2) - 1))
[202486] ['1/7', '2/3', '5/7', '9/8', '7'] -> (5/7 / (9/8 - (1/7 * (2/3 + 7))))
[202487] ['4/5', '5/6', '7/8', '3/2', '9'] -> ((9 / 3/2) / ((7/8 / 5/6) - 4/5))
[202488] ['2/5', '7/9', '9/4', '8/3', '7'] -> ((8/3 / (2/5 / 9/4)) + (7 / 7/9))
[202489] ['7/9', '4/5', '5/4', '9/4', '8'] -> (8 / (7/9 - ((4/5 * 5/4) / 9/4)))
[202490] ['5/6', '7/8', '7/5', '5/2', '5'] -> ((7/5 * 5/2) * (5 / (5/6 * 7/8)))
[202491] ['3/8', '2/5', '5/7', '3/2', '6'] -> (((2/5 * 3/2) + (6 / 5/7)) / 3/8)
[202492] ['5/8', '5/8', '3/4', '7/4', '8'] -> ((7/4 - (5/8 - 3/4)) / (5/8 / 8))
[202493] ['3/4', '7/9', '6/7', '2', '7/3'] -> (6/7 / (((7/3 - 3/4) / 7/9) - 2))
[202494] ['5/6', '7/8', '7/5', '8/3', '5'] -> (5 * ((7/5 / 7/8) + (8/3 / 5/6)))
[202495] ['5/8', '5/8', '7/9', '7/9', '8'] -> (8 / ((5/8 * 7/9) + (5/8 - 7/9)))
[202496] ['1/9', '4/5', '4/5', '9/7', '9'] -> (4/5 / (1/9 - (4/5 / (9/7 + 9))))
[202497] ['5/8', '7/9', '8/7', '6/5', '6'] -> ((6 / 5/8) / ((6/5 / 7/9) - 8/7))
[202498] ['3/7', '7/8', '4/3', '7/3', '6'] -> ((7/3 + (6 / (3/7 / 4/3))) / 7/8)
[202499] ['2/5', '7/9', '9/4', '9/2', '7'] -> (((7 + (7/9 * 9/2)) / 2/5) - 9/4)
[202500] ['1/5', '3/7', '1', '7/6', '7/5'] -> ((1 + 7/5) / (7/6 * (1/5 * 3/7)))
[202501] ['3/7', '1', '9/7', '7/5', '3/2'] -> ((3/7 + 9/7) / ((3/2 / 7/5) - 1))
[202502] ['3/7', '7/8', '4/3', '5/2', '6'] -> (4/3 + ((5/2 + 6) / (3/7 * 7/8)))
[202503] ['2/9', '5/7', '8/5', '5/2', '3'] -> (8/5 + ((5/2 + (3 / 2/9)) / 5/7))
[202504] ['5/8', '5/8', '7/9', '5/6', '8'] -> ((5/8 + 5/6) * (8 / (5/8 * 7/9)))
[202505] ['1/7', '2/3', '5/7', '7/5', '7'] -> ((2/3 * 5/7) * (7/5 + (7 / 1/7)))
[202506] ['5/8', '7/9', '8/7', '9/7', '6'] -> (6 / ((9/7 * (7/9 / 8/7)) - 5/8))
[202507] ['5/6', '7/8', '7/5', '9/2', '5'] -> ((7/5 / 7/8) / ((9/2 / 5) - 5/6))
[202508] ['2/9', '5/7', '8/5', '3', '7/2'] -> ((8/5 + 7/2) + (3 / (2/9 * 5/7)))
[202509] ['3/4', '7/9', '7/8', '7/8', '2'] -> ((2 / (3/4 / 7/8)) / (7/8 - 7/9))
[202510] ['5/8', '5/8', '7/9', '6/7', '8'] -> (8 / ((5/8 / 5/8) - (7/9 * 6/7)))
[202511] ['3/8', '2/5', '5/7', '7/3', '6'] -> ((6 / (3/8 * 2/5)) / (5/7 * 7/3))
[202512] ['2/9', '5/7', '8/5', '3', '9/2'] -> ((8/5 / 2/9) / (9/2 - (3 / 5/7)))
[202513] ['5/6', '7/8', '3/2', '8/5', '5'] -> (5 / ((3/2 / 8/5) - (5/6 * 7/8)))
[202514] ['3/7', '7/8', '7/5', '5/3', '6'] -> (((6 / 3/7) - 7/5) / (7/8 / 5/3))
[202515] ['3/8', '2/5', '5/7', '5/2', '6'] -> ((5/2 - 2/5) * (6 / (3/8 / 5/7)))
[202516] ['1/7', '2/3', '5/7', '9/5', '7'] -> ((7 + (9/5 / (1/7 / 5/7))) / 2/3)
[202517] ['1/9', '4/5', '4/5', '9/4', '9'] -> (((9/4 * (9 - 1/9)) - 4/5) / 4/5)
[202518] ['5/6', '7/8', '3/2', '7/4', '5'] -> (5 / ((5/6 - 7/8) - (3/2 - 7/4)))
[202519] ['5/8', '5/8', '7/9', '9/8', '8'] -> (8 / (((5/8 + 5/8) / 9/8) - 7/9))
[202520] ['3/4', '7/9', '7/8', '8/7', '2'] -> ((2 / (3/4 * 8/7)) / (7/8 - 7/9))
[202521] ['1/6', '4/7', '2', '5/2', '5/2'] -> ((5/2 + (2 + 5/2)) / (1/6 / 4/7))
[202522] ['2/5', '7/9', '5/2', '7/2', '7'] -> ((7 / 7/9) + ((5/2 + 7/2) / 2/5))
[202523] ['2/9', '5/7', '5/3', '7/4', '3'] -> (7/4 * (3 + ((5/7 + 5/3) / 2/9)))
[202524] ['1/7', '2/9', '1', '8/5', '8/3'] -> (((1 / 1/7) - (8/3 / 8/5)) / 2/9)
[202525] ['7/9', '4/5', '9/7', '7/4', '8'] -> (8 * (7/4 + (9/7 * (7/9 / 4/5))))
[202526] ['1/7', '2/3', '3/4', '3/4', '7'] -> (2/3 * ((7 / (1/7 / 3/4)) - 3/4))
[202527] ['3/8', '2/5', '5/7', '7/2', '6'] -> (6 / (2/5 - ((3/8 / 5/7) / 7/2)))
[202528] ['1/9', '4/5', '4/5', '7/2', '9'] -> ((9 / (1/9 / 4/5)) / (7/2 - 4/5))
[202529] ['1/6', '4/7', '2', '5/2', '8/3'] -> (4/7 * (2 + (8/3 / (1/6 / 5/2))))
[202530] ['4/5', '5/6', '8/9', '5/4', '9'] -> ((9 / (4/5 / 8/9)) / (5/4 - 5/6))
[202531] ['5/8', '5/8', '7/9', '7/6', '8'] -> (8 / ((5/8 / 5/8) - (7/9 / 7/6)))
[202532] ['2/5', '7/9', '8/3', '8/3', '7'] -> ((8/3 / (2/5 / 8/3)) - (7/9 - 7))
[202533] ['7/9', '4/5', '9/7', '9/5', '8'] -> ((9/7 + 9/5) * (8 * (7/9 / 4/5)))
[202534] ['1/5', '3/7', '1', '7/6', '5/2'] -> ((5/2 / (7/6 * (1/5 * 3/7))) - 1)
[202535] ['1/6', '4/7', '2', '5/2', '9/2'] -> ((5/2 / (1/6 * 4/7)) - (9/2 / 2))
[202536] ['1/9', '4/5', '5/6', '5/6', '9'] -> ((5/6 / (5/6 - 4/5)) - (1/9 * 9))
[202537] ['5/8', '7/9', '8/7', '5/3', '6'] -> ((5/3 / ((7/9 / 8/7) - 5/8)) - 6)
[202538] ['5/6', '7/8', '8/5', '7/4', '5'] -> ((8/5 * 5) / (5/6 - (7/8 / 7/4)))
[202539] ['1/7', '2/9', '1', '5/3', '5/3'] -> ((1 + 5/3) / (5/3 - (2/9 / 1/7)))
[202540] ['7/9', '4/5', '9/7', '9/4', '8'] -> ((7/9 * 8) * (9/4 + (9/7 / 4/5)))
[202541] ['2/5', '7/9', '8/3', '7/2', '7'] -> ((8/3 / 2/5) / (7/9 - (7/2 / 7)))
[202542] ['3/4', '7/9', '7/8', '9/7', '2'] -> ((2 + (7/9 * 9/7)) / (7/8 - 3/4))
[202543] ['2/9', '5/7', '5/3', '7/3', '3'] -> (3 + ((7/3 + (5/3 / 5/7)) / 2/9))
[202544] ['3/7', '7/8', '3/2', '3/2', '6'] -> ((6 + (3/2 + 3/2)) / (3/7 * 7/8))
[202545] ['1/7', '2/3', '3/4', '6/7', '7'] -> (6/7 / (3/4 * (1/7 - (2/3 / 7))))
[202546] ['7/9', '4/5', '9/7', '7/3', '8'] -> ((7/3 + (7/9 * 9/7)) * (8 - 4/5))
[202547] ['2/9', '5/7', '5/3', '5/2', '3'] -> (3 * ((5/3 / (2/9 * 5/7)) - 5/2))
[202548] ['5/6', '7/8', '8/5', '9/4', '5'] -> ((9/4 * (5/6 + 5)) / (7/8 / 8/5))
[202549] ['5/8', '5/8', '7/9', '9/7', '8'] -> (8 / ((5/8 - 7/9) + (5/8 / 9/7)))
[202550] ['3/8', '2/5', '3/4', '6/7', '6'] -> ((6 - 2/5) / (3/8 / (3/4 + 6/7)))
[202551] ['1/6', '4/7', '2', '7/2', '7/2'] -> ((4/7 + (2 / 7/2)) / (1/6 / 7/2))
[202552] ['1/7', '2/9', '1', '5/3', '7/3'] -> ((1 + 5/3) / ((1/7 * 7/3) - 2/9))
[202553] ['5/6', '7/8', '8/5', '7/3', '5'] -> (5 * (8/5 + (7/3 / (5/6 * 7/8))))
[202554] ['1/9', '4/5', '5/6', '8/9', '9'] -> (8/9 / (1/9 - ((4/5 * 5/6) / 9)))
[202555] ['3/7', '7/8', '3/2', '5/3', '6'] -> ((3/2 * 6) / ((7/8 / 3/7) - 5/3))
[202556] ['4/5', '5/6', '8/9', '7/4', '9'] -> (9 * (4/5 + (7/4 / (5/6 / 8/9))))
[202557] ['3/7', '1', '9/7', '3/2', '5/3'] -> ((1 + (9/7 / 3/7)) / (5/3 - 3/2))
[202558] ['2/9', '5/7', '5/3', '3', '7/2'] -> (((7/2 * (5/7 + 5/3)) - 3) / 2/9)
[202559] ['5/8', '5/8', '7/9', '3/2', '8'] -> ((8 / 3/2) / ((5/8 / 5/8) - 7/9))
[202560] ['1/7', '2/3', '3/4', '7/6', '7'] -> ((1/7 * 7) / (7/6 - (3/4 / 2/3)))
[202561] ['5/6', '7/8', '8/5', '7/2', '5'] -> ((7/2 + 5) / (7/8 - (5/6 / 8/5)))
[202562] ['1/6', '3/5', '3/5', '5/8', '2'] -> ((((3/5 + 2) / 1/6) - 3/5) / 5/8)
[202563] ['4/5', '5/6', '8/9', '9/4', '9'] -> (9 * ((4/5 * 5/6) + (8/9 * 9/4)))
[202564] ['7/9', '4/5', '4/3', '3/2', '8'] -> (8 / ((4/3 / (4/5 * 3/2)) - 7/9))
[202565] ['3/4', '7/9', '7/8', '2', '9/4'] -> ((2 + (3/4 / 9/4)) / (7/8 - 7/9))
[202566] ['5/8', '5/8', '7/9', '5/3', '8'] -> (8 / (5/8 - ((5/8 * 7/9) / 5/3)))
[202567] ['2/5', '4/5', '4/5', '5/6', '7'] -> ((7 + (4/5 / 4/5)) / (2/5 * 5/6))
[202568] ['1/7', '2/3', '3/4', '6/5', '7'] -> ((1/7 * 7) / (2/3 - (3/4 / 6/5)))
[202569] ['5/6', '7/8', '8/5', '9/2', '5'] -> ((5/6 * 9/2) * (5 + (7/8 * 8/5)))
[202570] ['1/6', '3/5', '3/5', '5/7', '2'] -> (((3/5 + 3/5) + (2 / 5/7)) / 1/6)
[202571] ['3/7', '1', '9/7', '3/2', '9/4'] -> ((9/7 / 3/2) / (1 - (3/7 * 9/4)))
[202572] ['3/7', '7/8', '3/2', '8/3', '6'] -> (8/3 * (3/7 + ((3/2 + 6) / 7/8)))
[202573] ['2/5', '4/5', '4/5', '6/7', '7'] -> ((4/5 + 4/5) * (7 / (2/5 / 6/7)))
[202574] ['5/6', '7/8', '5/3', '5/3', '5'] -> (5 / (7/8 - (5/3 / (5/6 + 5/3))))
[202575] ['1/5', '3/7', '1', '6/5', '8/5'] -> (8/5 * (1 + (6/5 / (1/5 * 3/7))))
[202576] ['5/8', '7/9', '8/7', '9/2', '6'] -> ((6 / 9/2) / ((7/9 / 8/7) - 5/8))
[202577] ['4/5', '5/6', '8/9', '7/2', '9'] -> (5/6 * (4/5 + (9 * (8/9 * 7/2))))
[202578] ['1/7', '2/3', '3/4', '4/3', '7'] -> (2/3 * ((7 / (1/7 * 4/3)) - 3/4))
[202579] ['5/6', '7/8', '5/3', '7/4', '5'] -> (5 * (7/4 + ((7/8 + 5/3) / 5/6)))
[202580] ['1/6', '3/5', '3/5', '5/6', '2'] -> ((2 + (3/5 / 1/6)) / (5/6 - 3/5))
[202581] ['3/7', '1', '9/7', '3/2', '5/2'] -> (1 / (3/2 - (5/2 / (3/7 + 9/7))))
[202582] ['3/4', '7/9', '8/9', '9/8', '2'] -> ((2 + (3/4 / 9/8)) / (8/9 - 7/9))
[202583] ['1/9', '4/5', '5/6', '4/3', '9'] -> (4/3 * ((4/5 / 1/9) + (9 / 5/6)))
[202584] ['3/8', '2/5', '3/4', '7/3', '6'] -> (6 * ((7/3 / (2/5 / 3/4)) - 3/8))
[202585] ['4/5', '5/6', '9/8', '9/8', '9'] -> (9 / (9/8 - (9/8 * (4/5 * 5/6))))
[202586] ['2/5', '4/5', '4/5', '9/8', '7'] -> (9/8 + ((4/5 + (7 / 2/5)) / 4/5))
[202587] ['3/7', '1', '9/7', '3/2', '8/3'] -> (3/7 / (3/2 - (1 + (9/7 / 8/3))))
[202588] ['2/9', '5/7', '7/4', '8/3', '3'] -> (8/3 / ((5/7 / 3) - (2/9 / 7/4)))
[202589] ['5/6', '7/8', '5/3', '9/4', '5'] -> (5 * ((7/8 / 5/6) + (5/3 * 9/4)))
[202590] ['5/8', '7/9', '7/6', '5/4', '6'] -> ((5/4 / ((7/9 / 7/6) - 5/8)) - 6)
[202591] ['1/9', '4/5', '5/6', '7/5', '9'] -> (5/6 * (9 + ((4/5 + 7/5) / 1/9)))
[202592] ['1/5', '3/7', '1', '6/5', '7/3'] -> ((1 + (7/3 * (3/7 + 6/5))) / 1/5)
[202593] ['3/8', '2/5', '3/4', '8/3', '6'] -> ((8/3 * 6) * ((3/4 / 2/5) - 3/8))
[202594] ['2/5', '4/5', '4/5', '7/6', '7'] -> ((4/5 + 4/5) * (7 / (2/5 * 7/6)))
[202595] ['3/7', '7/8', '8/5', '9/4', '6'] -> (8/5 * ((6 / (7/8 / 9/4)) - 3/7))
[202596] ['7/9', '4/5', '4/3', '7/2', '8'] -> ((7/2 / (7/9 / 4/5)) * (8 - 4/3))
[202597] ['2/9', '5/7', '7/4', '3', '7/2'] -> (7/4 * ((5/7 / 2/9) + (3 * 7/2)))
[202598] ['4/5', '5/6', '9/8', '7/6', '9'] -> (9 * (5/6 + (4/5 * (9/8 + 7/6))))
[202599] ['2/5', '4/5', '4/5', '6/5', '7'] -> ((7 + (4/5 / 4/5)) / (2/5 / 6/5))
[202600] ['1/7', '2/3', '3/4', '5/3', '7'] -> (((5/3 / 1/7) - (2/3 - 7)) / 3/4)
[202601] ['3/7', '7/8', '8/5', '5/2', '6'] -> (6 * ((5/2 / (7/8 - 3/7)) - 8/5))
[202602] ['7/9', '4/5', '4/3', '9/2', '8'] -> ((4/3 / (4/5 - 7/9)) - (9/2 * 8))
[202603] ['1/5', '3/7', '1', '6/5', '8/3'] -> (((6/5 / 3/7) - 1) / (1/5 / 8/3))
[202604] ['5/6', '7/8', '5/3', '7/2', '5'] -> ((5 / (7/8 / 7/2)) / (5/3 - 5/6))
[202605] ['3/7', '1', '9/7', '8/5', '5/3'] -> (9/7 / (3/7 - ((1 / 8/5) / 5/3)))
[202606] ['5/8', '7/9', '7/6', '3/2', '6'] -> (6 / ((7/9 / 7/6) - (5/8 / 3/2)))
[202607] ['2/9', '5/7', '7/4', '3', '9/2'] -> ((3 * (5/7 * 7/4)) + (9/2 / 2/9))
[202608] ['1/6', '3/5', '3/5', '8/7', '2'] -> ((3/5 + (2 / 1/6)) / (3/5 / 8/7))
[202609] ['3/8', '2/5', '7/9', '7/9', '6'] -> ((6 / 2/5) / ((7/9 / 7/9) - 3/8))
[202610] ['5/6', '7/8', '5/3', '9/2', '5'] -> ((9/2 * 5) / (5/3 - (5/6 * 7/8)))
[202611] ['3/7', '7/8', '8/5', '7/2', '6'] -> ((7/8 + (3/7 / 8/5)) * (7/2 * 6))
[202612] ['7/9', '4/5', '7/5', '7/5', '8'] -> ((8 / (7/9 / 7/5)) / (7/5 - 4/5))
[202613] ['5/8', '7/9', '7/6', '8/5', '6'] -> (6 * (8/5 + (7/6 / (5/8 * 7/9))))
[202614] ['1/7', '2/3', '3/4', '9/5', '7'] -> (2/3 / ((3/4 / 7) - (1/7 / 9/5)))
[202615] ['3/8', '2/5', '7/9', '4/5', '6'] -> ((6 - 2/5) / (4/5 * (3/8 * 7/9)))
[202616] ['5/8', '7/9', '7/6', '5/3', '6'] -> ((7/6 * 5/3) * (6 / (5/8 * 7/9)))
[202617] ['1/5', '3/7', '1', '6/5', '9/2'] -> (9/2 * (1/5 + ((1 + 6/5) / 3/7)))
[202618] ['2/5', '4/5', '4/5', '4/3', '7'] -> (((4/3 * (4/5 + 7)) - 4/5) / 2/5)
[202619] ['1/7', '2/3', '3/4', '9/4', '7'] -> (((7 * (1/7 + 9/4)) - 3/4) / 2/3)
[202620] ['4/5', '5/6', '9/8', '3/2', '9'] -> (9/8 + (9 * (3/2 + (5/6 / 4/5))))
[202621] ['5/8', '7/9', '7/6', '7/4', '6'] -> ((7/6 + (7/4 * 6)) / (5/8 * 7/9))
[202622] ['1/7', '2/9', '1', '9/5', '8/3'] -> (8/3 / (1/7 * (2/9 + (1 / 9/5))))
[202623] ['2/5', '4/5', '4/5', '7/5', '7'] -> ((4/5 + (4/5 / 7/5)) / (2/5 / 7))
[202624] ['3/7', '7/8', '5/3', '7/4', '6'] -> (7/4 + (6 * (5/3 + (7/8 / 3/7))))
[202625] ['1/6', '3/5', '3/5', '7/5', '2'] -> (((3/5 + 3/5) + (7/5 * 2)) / 1/6)
[202626] ['5/6', '7/8', '7/4', '7/3', '5'] -> (5 * ((7/4 / 7/8) + (7/3 / 5/6)))
[202627] ['2/5', '4/5', '4/5', '3/2', '7'] -> ((4/5 + (4/5 * 7)) / (2/5 / 3/2))
[202628] ['4/5', '5/6', '9/8', '5/3', '9'] -> (9 / (((5/6 + 9/8) / 5/3) - 4/5))
[202629] ['3/7', '7/8', '5/3', '9/5', '6'] -> ((6 + (5/3 * 9/5)) / (3/7 * 7/8))
[202630] ['5/8', '5/8', '4/5', '5/4', '8'] -> (((8 / 5/8) - 4/5) / (5/8 / 5/4))
[202631] ['3/7', '1', '9/7', '8/5', '5/2'] -> (8/5 / ((1 / 5/2) - (3/7 / 9/7)))
[202632] ['2/9', '5/7', '9/5', '8/3', '3'] -> ((3 + (9/5 + 8/3)) / (2/9 / 5/7))
[202633] ['1/7', '2/3', '7/9', '7/9', '7'] -> ((7 + (7/9 / 1/7)) / (2/3 * 7/9))
[202634] ['3/7', '7/8', '5/3', '9/4', '6'] -> ((6 + (9/4 / (7/8 / 5/3))) / 3/7)
[202635] ['1/7', '2/3', '7/9', '4/5', '7'] -> (2/3 / ((1/7 * 7) - (7/9 / 4/5)))
[202636] ['4/5', '5/6', '9/8', '7/3', '9'] -> ((7/3 + (4/5 * 5/6)) / (9/8 / 9))
[202637] ['3/7', '7/8', '5/3', '5/2', '6'] -> ((6 / (3/7 * 7/8)) / (5/3 / 5/2))
[202638] ['1/9', '4/5', '6/7', '8/7', '9'] -> (9 + (8/7 / (6/7 * (1/9 * 4/5))))
[202639] ['2/5', '4/5', '4/5', '9/5', '7'] -> ((7 + (4/5 + 9/5)) / (4/5 - 2/5))
[202640] ['5/6', '7/8', '9/5', '9/5', '5'] -> ((9/5 + 9/5) / (7/8 / (5/6 + 5)))
[202641] ['1/7', '2/9', '1', '9/4', '5/2'] -> (((1 + 5/2) / 1/7) - (2/9 * 9/4))
[202642] ['1/6', '3/5', '5/8', '5/8', '2'] -> (2 / (5/8 - (1/6 + (3/5 * 5/8))))
[202643] ['7/9', '4/5', '7/5', '7/2', '8'] -> ((8 * ((7/2 / 7/9) - 7/5)) - 4/5)
[202644] ['2/5', '4/5', '4/5', '9/4', '7'] -> (((4/5 * 9/4) + (4/5 + 7)) / 2/5)
[202645] ['5/6', '7/8', '9/5', '9/4', '5'] -> (5 / (7/8 - ((5/6 * 9/5) / 9/4)))
[202646] ['3/4', '7/9', '9/8', '9/7', '2'] -> (9/7 / ((3/4 * 2) - (9/8 / 7/9)))
[202647] ['7/9', '4/5', '7/5', '9/2', '8'] -> (8 / ((7/5 / 9/2) - (7/9 - 4/5)))
[202648] ['1/6', '3/5', '5/8', '2/3', '2'] -> (2 / ((2/3 * (3/5 * 5/8)) - 1/6))
[202649] ['5/8', '7/9', '6/5', '9/7', '6'] -> (6 / ((7/9 * 9/7) - (5/8 * 6/5)))
[202650] ['4/5', '5/6', '8/7', '8/7', '9'] -> ((8/7 / (5/6 - 4/5)) - (8/7 * 9))
[202651] ['1/7', '2/3', '7/9', '9/8', '7'] -> ((1/7 * 7) / ((7/9 / 2/3) - 9/8))
[202652] ['1/9', '4/5', '6/7', '9/7', '9'] -> (6/7 / (9/7 - (9 * (1/9 / 4/5))))
[202653] ['1/5', '3/7', '1', '5/4', '7/4'] -> (5/4 + ((1 + (7/4 / 1/5)) / 3/7))
[202654] ['3/8', '2/5', '7/9', '5/4', '6'] -> ((5/4 / (3/8 * 7/9)) * (6 - 2/5))
[202655] ['1/7', '2/9', '1', '9/4', '9/2'] -> (((9/2 - 1) / 1/7) - (2/9 * 9/4))
[202656] ['5/8', '5/8', '4/5', '9/2', '8'] -> ((((9/2 + 8) / 4/5) - 5/8) / 5/8)
[202657] ['5/6', '7/8', '9/5', '5/2', '5'] -> (((5/2 * 5) - 5/6) / (7/8 / 9/5))
[202658] ['5/8', '7/9', '6/5', '7/5', '6'] -> ((7/5 + 6) / ((7/9 * 6/5) - 5/8))
[202659] ['1/7', '2/9', '1', '7/3', '5/2'] -> (((1 / 2/9) - (5/2 / 7/3)) / 1/7)
[202660] ['1/7', '2/3', '7/9', '7/6', '7'] -> (((7/6 / 1/7) + (7 / 2/3)) / 7/9)
[202661] ['3/7', '7/8', '7/4', '5/2', '6'] -> (6 * ((7/4 * 5/2) - (3/7 * 7/8)))
[202662] ['3/8', '2/5', '7/9', '9/7', '6'] -> ((6 / 2/5) / ((7/9 * 9/7) - 3/8))
[202663] ['2/5', '4/5', '5/6', '8/9', '7'] -> (7 / (5/6 * (4/5 - (2/5 / 8/9))))
[202664] ['7/9', '4/5', '3/2', '5/3', '8'] -> (((3/2 * 8) - 4/5) / (7/9 / 5/3))
[202665] ['5/8', '5/8', '5/6', '6/7', '8'] -> (8 / (((5/8 / 5/8) / 6/7) - 5/6))
[202666] ['2/5', '4/5', '5/6', '9/8', '7'] -> (7 / (5/6 * (4/5 - (2/5 * 9/8))))
[202667] ['3/7', '7/8', '7/4', '8/3', '6'] -> ((6 / 3/7) / ((7/8 * 8/3) - 7/4))
[202668] ['2/9', '5/7', '7/3', '5/2', '3'] -> (7/3 * ((3 / 2/9) - (5/7 + 5/2)))
[202669] ['5/6', '7/8', '9/5', '7/2', '5'] -> (9/5 / ((7/8 - 5) + (7/2 / 5/6)))
[202670] ['4/5', '5/6', '8/7', '9/7', '9'] -> ((8/7 / (5/6 - 4/5)) - (9/7 + 9))
[202671] ['5/8', '5/8', '5/6', '7/8', '8'] -> ((8 * (5/8 / 5/6)) / (7/8 - 5/8))
[202672] ['1/7', '2/3', '7/9', '9/7', '7'] -> ((7 + (7/9 / 1/7)) / (2/3 / 9/7))
[202673] ['5/6', '7/8', '9/5', '9/2', '5'] -> (((9/2 * 5) - (5/6 * 9/5)) / 7/8)
[202674] ['1/7', '2/9', '1', '5/2', '8/3'] -> ((8/3 / (1/7 * 2/9)) / (1 + 5/2))
[202675] ['2/9', '5/7', '7/3', '3', '7/2'] -> (3 * ((7/3 / 2/9) - (5/7 * 7/2)))
[202676] ['1/6', '3/5', '5/8', '9/8', '2'] -> (2 / ((1/6 - 9/8) + (5/8 / 3/5)))
[202677] ['3/4', '7/9', '9/8', '2', '7/3'] -> (7/3 / (7/9 * (2 - (3/4 + 9/8))))
[202678] ['2/5', '4/5', '5/6', '7/6', '7'] -> ((2/5 + (7 / 5/6)) / (7/6 - 4/5))
