[39399] ['8/7', '6/5', '4/3', '9/4', '6'] -> ((6 / (6/5 * (4/3 - 8/7))) - 9/4)
[44184] ['1/3', '3/7', '6/5', '7/3', '8'] -> (6/5 * (1/3 + (7/3 * (3/7 + 8))))
[44185] ['3/8', '7/8', '7/4', '9/5', '3'] -> (((3 + (7/4 / 7/8)) * 9/5) / 3/8)
[44186] ['1/4', '2/7', '3/8', '5/3', '5'] -> ((1/4 / 3/8) + ((5/3 + 5) / 2/7))
[44187] ['1/5', '3/7', '3/5', '8/9', '4'] -> (((4 + (3/5 / 3/7)) * 8/9) / 1/5)
[44188] ['2/7', '1/3', '9/8', '9/8', '2'] -> (((9/8 / 9/8) + (2 / 2/7)) / 1/3)
[44189] ['1/5', '3/7', '3/5', '9/8', '4'] -> ((4 + (3/5 / 3/7)) / (1/5 * 9/8))
[44190] ['2/7', '1/3', '9/8', '8/7', '2'] -> (2/7 / (1/3 * 2) * (8/7 - 9/8)))
[44191] ['1/6', '4/5', '5/4', '7/4', '6'] -> ((6 + (4/5 * 5/4)) / (1/6 * 7/4))
[44192] ['4/9', '8/7', '7/5', '7/3', '4'] -> (((4 - 8/7) * (7/5 + 7/3)) / 4/9)
[44193] ['1/4', '2/7', '3/8', '9/5', '5'] -> (5 * ((9/5 / 2/7) - (3/8 / 1/4)))
[44194] ['3/8', '5/7', '7/8', '8/7', '4'] -> ((8/7 + 4) / ((3/8 + 5/7) - 7/8))
[44195] ['3/8', '7/8', '9/5', '9/5', '3'] -> ((9/5 + 3) / (7/8 - (3/8 * 9/5)))
[44196] ['2/7', '1/3', '9/8', '7/6', '2'] -> (2 / (2/7 * (1/3 + 9/8)) - 7/6))
[44197] ['5/9', '2/3', '7/8', '7/8', '1'] -> (2/3 / (1 - (5/9 * (7/8 + 7/8))))
[44198] ['6/5', '7/5', '3/2', '8/3', '6'] -> (6 / (8/3 - ((7/5 + 3/2) / 6/5)))
[44199] ['1/5', '3/7', '3/5', '5/4', '4'] -> (4 / (5/4 * (3/5 - (1/5 / 3/7))))
[44200] ['3/8', '5/7', '7/8', '6/5', '4'] -> (4 / ((5/7 / 6/5) - (3/8 / 7/8)))
[44201] ['2/7', '1/3', '9/8', '6/5', '2'] -> ((2 / (1/3 - (2/7 / 9/8))) - 6/5)
[44202] ['1/6', '7/5', '7/4', '7/4', '5'] -> (7/5 / ((7/4 / 5) - (1/6 * 7/4)))
[44203] ['1/6', '4/5', '9/7', '9/7', '6'] -> (((6 - (9/7 / 9/7)) * 4/5) / 1/6)
[44204] ['5/9', '2/3', '7/8', '1', '9/8'] -> (1 / ((5/9 * 9/8) - (2/3 * 7/8)))
[44205] ['1/4', '2/7', '3/8', '8/3', '5'] -> ((8/3 / (1/4 * 2/7)) - (5 / 3/8))
[44206] ['1/7', '7/8', '5/4', '7/2', '9'] -> (9 / ((7/8 - 1/7) - (5/4 / 7/2)))
[44207] ['3/8', '7/8', '9/5', '8/3', '3'] -> ((9/5 + 3) * (8/3 + (7/8 / 3/8)))
[44208] ['1/5', '3/7', '3/5', '7/5', '4'] -> (((3/5 + (3/7 * 7/5)) * 4) / 1/5)
[44209] ['1/9', '2/5', '6/7', '5/2', '3'] -> (6/7 * ((2/5 * 5/2) + (3 / 1/9)))
[44210] ['5/9', '2/3', '7/8', '1', '8/7'] -> (8/7 / (1 - (5/9 / (2/3 * /8)))
)[44211] ['1/4', '2/7', '3/8', '7/2', '5'] -> ((5 + ((7/2 * 2/7) / 1/4)) / 3/8)
[44212] ['6/5', '7/5', '8/5', '5/2', '6'] -> (5/2 * (6 + (6/5 * (7/5 + 8/5))))
[44213] ['2/7', '1/3', '9/8', '7/5', '2'] -> (2 / ((2/7 * 9/8) - (1/3 / 7/5)))
[44214] ['3/8', '5/7', '7/8', '4/3', '4'] -> (4 / ((7/8 * (4/3 - 5/7)) - 3/8))
[44215] ['3/8', '7/8', '9/5', '3', '9/2'] -> ((9/5 + 3) * (9/2 - (3/8 - 7/8)))
[44216] ['1/6', '4/5', '9/7', '7/5', '6'] -> (((6 + (9/7 / 1/6)) * 7/5) / 4/5)
[44217] ['1/6', '7/5', '7/4', '5/2', '5'] -> (5 / (1/6 * (5/2 - (7/4 / 7/5))))
[44218] ['4/9', '8/7', '3/2', '5/3', '4'] -> ((8/7 * 4) * (3/2 + (5/3 / 4/9)))
[44219] ['6/5', '7/5', '8/5', '9/2', '6'] -> (6 * (9/2 - (7/5 / (6/5 + 8/5))))
[44220] ['1/5', '3/7', '3/5', '8/5', '4'] -> ((8/5 / ((3/7 * 3/5) - 1/5)) - 4)
[44221] ['2/7', '1/3', '9/8', '3/2', '2'] -> (2/7 / (1/3 - (9/8 / (3/2 + 2))))
[44222] ['4/9', '8/7', '3/2', '7/4', '4'] -> (4 * (3/2 + ((7/4 * 8/7) / 4/9)))
[44223] ['1/8', '8/9', '8/7', '7/2', '5'] -> (8/9 * (((7/2 * 8/7) / 1/8) - 5))
[44224] ['5/9', '2/3', '7/8', '1', '7/5'] -> ((2/3 + 1) / ((7/8 / 7/5) - 5/9))
[44225] ['6/5', '7/5', '5/3', '5/3', '6'] -> ((5/3 + 5/3) * ((7/5 * 6) - 6/5))
[44226] ['1/6', '4/5', '9/7', '8/5', '6'] -> (8/5 + (6 / (9/7 * (1/6 / 4/5))))
[44227] ['1/3', '3/7', '5/4', '7/3', '8'] -> ((7/3 * (3/7 + (5/4 * 8))) - 1/3)
[44228] ['1/6', '7/5', '7/4', '7/2', '5'] -> (((5 * 7/5) / 1/6) / (7/2 - 7/4))
[44229] ['1/5', '3/7', '3/5', '9/5', '4'] -> (((3/5 + 9/5) / (1/5 * 3/7)) - 4)
[44230] ['1/6', '7/5', '7/4', '9/2', '5'] -> ((9/2 / 7/4) + (5 / (1/6 * 7/5)))
[44231] ['5/9', '2/3', '7/8', '1', '9/4'] -> (1 / (7/8 - (9/4 * (5/9 * 2/3))))
[44232] ['1/9', '1/7', '2/5', '5/3', '5'] -> ((((5/3 / 1/7) - 5) * 2/5) / 1/9)
[44233] ['1/9', '1/4', '1/3', '9/5', '4'] -> (((4 + (1/9 / 1/4)) * 9/5) / 1/3)
[44234] ['1/7', '7/8', '9/7', '7/4', '9'] -> (9 / (((7/4 - 1/7) / 9/7) - 7/8))
[44235] ['3/8', '5/7', '7/8', '7/4', '4'] -> (7/4 * (5/7 + ((7/8 + 4) / 3/8)))
[44236] ['4/9', '8/7', '3/2', '7/3', '4'] -> (4 / (3/2 - (8/7 + (4/9 / 7/3))))
[44237] ['2/7', '1/3', '9/8', '9/5', '2'] -> (2 / (2/7 * (9/8 / 9/5)) - 1/3))
[44238] ['1/6', '7/5', '9/5', '9/4', '5'] -> ((9/5 * (7/5 + 5)) * (9/4 - 1/6))
[44239] ['3/8', '8/9', '8/9', '9/8', '3'] -> (8/9 / ((3/8 / 9/8) - (8/9 / 3)))
[44240] ['1/7', '7/8', '9/7', '9/5', '9'] -> (9 / ((7/8 / 9/5) - (1/7 / 9/7)))
[44241] ['5/9', '2/3', '7/8', '1', '7/2'] -> (7/2 / (7/8 * (1 - (5/9 / 2/3))))
[44242] ['1/4', '2/7', '2/5', '2/3', '5'] -> (2/3 + (5 / (2/5 * (1/4 + 2/7))))
[44243] ['4/9', '8/7', '3/2', '5/2', '4'] -> (8/7 * (((4 * 5/2) / 4/9) - 3/2))
[44244] ['1/9', '1/4', '3/8', '2/5', '4'] -> (4 * (3/8 + (1/4 / (1/9 * 2/5))))
[44245] ['1/6', '7/5', '9/5', '7/3', '5'] -> ((7/5 + 9/5) * (5 + (1/6 + 7/3)))
[44246] ['6/5', '7/5', '9/5', '7/3', '6'] -> (6 * ((6/5 - 7/5) + (9/5 * 7/3)))
[44247] ['1/9', '1/7', '2/5', '9/5', '5'] -> ((9/5 / 1/9) + (5 + (2/5 / 1/7)))
[44248] ['4/9', '8/7', '3/2', '8/3', '4'] -> ((8/7 + 4) * (3/2 * (4/9 + 8/3)))
[44249] ['5/9', '2/3', '7/8', '1', '9/2'] -> (5/9 / ((2/3 / 9/2) + (7/8 - 1)))
[44250] ['3/8', '5/7', '7/8', '7/3', '4'] -> ((((4 / 7/8) - 5/7) * 7/3) / 3/8)
[44251] ['1/5', '3/7', '5/8', '5/8', '4'] -> (4 / (1/5 * (5/8 / 3/7)) - 5/8))
[44252] ['2/7', '1/3', '9/8', '2', '8/3'] -> ((9/8 * 8/3) + (2 / (2/7 * 1/3)))
[44253] ['4/9', '8/7', '3/2', '4', '9/2'] -> ((8/7 * 9/2) * (4 + (4/9 * 3/2)))
[44254] ['6/5', '7/5', '9/4', '9/4', '6'] -> (6 * ((6/5 * (9/4 + 9/4)) - 7/5))
[44255] ['3/8', '8/9', '8/9', '9/7', '3'] -> (8/9 / ((8/9 / 3/8) - (3 / 9/7)))
[44256] ['5/9', '2/3', '8/9', '1', '8/7'] -> (1 / ((5/9 / 8/9) - (2/3 / 8/7)))
[44257] ['1/3', '3/7', '9/7', '7/5', '8'] -> ((7/5 * ((8 / 3/7) - 9/7)) - 1/3)
[44258] ['1/4', '2/7', '2/5', '4/5', '5'] -> (5 * ((2/5 / (1/4 * 2/7)) - 4/5))
[44259] ['3/8', '5/7', '7/8', '8/3', '4'] -> (((4 - (5/7 * 7/8)) * 8/3) / 3/8)
[44260] ['1/8', '8/9', '7/6', '7/4', '5'] -> ((5 + ((7/4 * 7/6) / 1/8)) / 8/9)
[44261] ['4/9', '8/7', '8/5', '5/3', '4'] -> ((8/5 + 4) * ((5/3 * 8/7) / 4/9))
[44262] ['3/8', '5/7', '7/8', '7/2', '4'] -> (4 / ((5/7 * 7/2) - (7/8 / 3/8)))
[44263] ['5/9', '2/3', '8/9', '1', '6/5'] -> (8/9 / ((5/9 * (2/3 + 6/5)) - 1))
[44264] ['3/8', '8/9', '8/9', '3/2', '3'] -> (3 / (3/2 - (3/8 + (8/9 / 8/9))))
[44265] ['1/7', '7/8', '4/3', '8/5', '9'] -> ((1/7 + (4/3 / 7/8)) * (8/5 * 9))
[44266] ['2/7', '1/3', '8/7', '6/5', '2'] -> ((8/7 * 2) / (1/3 - (2/7 / 6/5)))
[44267] ['1/8', '8/9', '7/6', '7/3', '5'] -> ((((5 - 7/3) * 7/6) / 1/8) - 8/9)
[44268] ['5/9', '2/3', '8/9', '1', '5/4'] -> (1 / ((5/9 / 8/9) + (2/3 - 5/4)))
[44269] ['1/9', '2/5', '7/8', '7/5', '3'] -> (7/5 / (7/8 * (2/5 - (1/9 * 3))))
[44270] ['1/5', '3/7', '5/8', '7/9', '4'] -> (3/7 / ((5/8 / (1/5 * 7/9)) - 4))
[44271] ['1/6', '4/5', '9/7', '9/2', '6'] -> (((6 / 4/5) - (9/2 / 9/7)) / 1/6)
[44272] ['1/6', '7/5', '7/3', '7/3', '5'] -> ((7/3 + (7/5 * 5)) / (1/6 * 7/3))
[44273] ['6/5', '7/5', '7/3', '8/3', '6'] -> (((7/5 * 6) / (8/3 - 7/3)) - 6/5)
[44274] ['3/8', '5/7', '7/8', '4', '9/2'] -> ((((4 + 9/2) / 7/8) - 5/7) / 3/8)
[44275] ['3/8', '8/9', '8/9', '8/5', '3'] -> (3 / (3/8 * (8/9 - (8/9 / 8/5))))
[44276] ['5/9', '2/3', '8/9', '1', '7/5'] -> (8/9 / (5/9 * 1) - (2/3 * 7/5)))
[44277] ['1/9', '2/5', '7/8', '3/2', '3'] -> (((3/2 / 1/9) + (3 / 2/5)) / 7/8)
[44278] ['1/6', '7/5', '7/3', '5/2', '5'] -> (7/5 * ((5/2 / 1/6) + (5 / 7/3)))
[44279] ['1/8', '8/9', '7/6', '7/2', '5'] -> ((5 + (7/6 - 7/2)) / (1/8 * 8/9))
[44280] ['6/5', '7/5', '8/3', '7/2', '6'] -> (8/3 * (6 + (7/2 * (6/5 / 7/5))))
[44281] ['1/9', '2/5', '7/8', '5/3', '3'] -> ((3 - (2/5 * 5/3)) / (1/9 * 7/8))
[44282] ['1/8', '8/9', '7/6', '9/2', '5'] -> (7/6 / (1/8 * (8/9 + 9/2)) - 5))
[44283] ['1/6', '4/5', '4/3', '9/4', '6'] -> (((4/3 * 4/5) / 1/6) * (6 - 9/4))
[44284] ['5/9', '2/3', '8/9', '1', '9/5'] -> (9/5 / ((2/3 / 5/9) - (1 / 8/9)))
[44285] ['3/8', '5/7', '8/9', '8/7', '4'] -> ((4 / (3/8 * (8/7 - 5/7))) - 8/9)
[44286] ['3/8', '8/9', '8/9', '9/4', '3'] -> (((3 + (8/9 / 8/9)) * 9/4) / 3/8)
[44287] ['6/5', '3/2', '3/2', '7/4', '6'] -> ((3/2 / ((6/5 * 3/2) - 7/4)) - 6)
[44288] ['1/9', '1/7', '3/7', '7/9', '5'] -> ((5 - ((7/9 * 3/7) / 1/7)) / 1/9)
[44289] ['1/9', '2/5', '7/8', '9/5', '3'] -> (3 / ((2/5 / 9/5) - (1/9 * 7/8)))
[44290] ['1/9', '1/7', '3/7', '4/5', '5'] -> (5 * ((1/7 + 4/5) + (3/7 / 1/9)))
[44291] ['2/7', '1/3', '7/6', '7/6', '2'] -> (((7/6 / 7/6) + (2 / 2/7)) / 1/3)
[44292] ['5/9', '2/3', '8/9', '1', '9/2'] -> ((8/9 * 9/2) / (1 - (5/9 / 2/3)))
[44293] ['1/7', '7/8', '7/5', '7/4', '9'] -> (9 / ((7/8 / 7/5) - (1/7 * 7/4)))
[44294] ['1/4', '2/7', '2/5', '3/2', '5'] -> ((5 * ((3/2 / 2/7) - 2/5)) - 1/4)
[44295] ['3/8', '5/7', '8/9', '5/4', '4'] -> ((4 / (5/4 - (3/8 + 5/7))) - 8/9)
[44296] ['4/9', '8/7', '5/3', '7/4', '4'] -> ((5/3 + (7/4 * (8/7 + 4))) / 4/9)
[44297] ['3/8', '8/9', '8/9', '3', '9/2'] -> (((3 - (8/9 / 8/9)) * 9/2) / 3/8)
[44298] ['5/9', '2/3', '1', '9/8', '9/8'] -> (1 / (9/8 * (2/3 / 9/8)) - 5/9))
[44299] ['1/9', '1/7', '3/7', '5/6', '5'] -> (((1/7 + (3/7 / 1/9)) * 5) / 5/6)
[44300] ['1/6', '4/5', '7/5', '8/3', '6'] -> (((7/5 / 4/5) + (6 / 8/3)) / 1/6)
[44301] ['1/8', '8/9', '6/5', '4/3', '5'] -> ((5 - (8/9 + (4/3 / 6/5))) / 1/8)
[44302] ['3/8', '5/7', '8/9', '9/7', '4'] -> ((5/7 + 9/7) * (4 / (3/8 * 8/9)))
[44303] ['1/9', '2/5', '7/8', '5/2', '3'] -> (2/5 / ((7/8 / 5/2) - (1/9 * 3)))
[44304] ['1/6', '3/2', '8/5', '7/4', '5'] -> (8/5 / ((7/4 / (3/2 * 5)) - 1/6))
[44305] ['1/6', '4/5', '7/5', '7/2', '6'] -> ((6 - (7/2 * (4/5 / 7/5))) / 1/6)
[44306] ['1/4', '2/7', '2/5', '7/4', '5'] -> ((2/7 + 2/5) * ((5 * 7/4) / 1/4))
[44307] ['1/5', '3/7', '5/8', '5/4', '4'] -> (4 / ((5/8 / (5/4 - 1/5)) - 3/7))
[44308] ['1/8', '8/9', '6/5', '7/5', '5'] -> (5 / (7/5 - (1/8 + (8/9 * 6/5))))
[44309] ['1/9', '1/7', '3/7', '7/8', '5'] -> (3/7 / (1/9 * 7/8) - (1/7 * 5)))
[44310] ['3/8', '5/7', '8/9', '4/3', '4'] -> ((4 / ((5/7 / 4/3) - 3/8)) - 8/9)
[44311] ['6/5', '3/2', '7/4', '8/3', '6'] -> (8/3 * ((3/2 / 6/5) + (7/4 + 6)))
[44312] ['1/8', '8/9', '6/5', '3/2', '5'] -> (((5 / 6/5) - 3/2) / (1/8 * 8/9))
[44313] ['1/6', '4/5', '3/2', '7/4', '6'] -> (6 / ((7/4 / (1/6 + 3/2)) - 4/5))
[44314] ['1/9', '1/7', '3/7', '7/6', '5'] -> (((1/7 + (3/7 * 5)) * 7/6) / 1/9)
[44315] ['6/5', '3/2', '9/5', '9/5', '6'] -> (6 / ((3/2 / 6/5) - (9/5 / 9/5)))
[44316] ['1/8', '8/9', '6/5', '8/5', '5'] -> ((((8/5 / 8/9) - 6/5) * 5) / 1/8)
[44317] ['5/9', '2/3', '1', '9/8', '8/5'] -> (8/5 / ((2/3 / (5/9 * 9/8)) - 1))
[44318] ['1/5', '3/7', '5/8', '3/2', '4'] -> ((3/2 / (5/8 * (1/5 * 3/7))) - 4)
[44319] ['1/4', '2/7', '2/5', '9/4', '5'] -> ((9/4 / 2/5) + ((1/4 + 5) / 2/7))
[44320] ['1/9', '1/7', '3/7', '6/5', '5'] -> ((1/7 + (3/7 / 1/9)) * (6/5 * 5))
[44321] ['1/9', '1/4', '2/5', '4/5', '4'] -> (4 / ((1/4 - 1/9) * 2/5) + 4/5))
[44322] ['2/7', '1/3', '7/6', '2', '9/4'] -> (2 / ((1/3 / 2/7) + (7/6 - 9/4)))
[44323] ['1/4', '2/7', '2/5', '7/3', '5'] -> ((2/5 / 7/3) * (5 / (2/7 - 1/4)))
[44324] ['3/8', '8/9', '9/8', '5/3', '3'] -> (((9/8 + (5/3 / 8/9)) * 3) / 3/8)
[44325] ['3/8', '5/7', '8/9', '5/3', '4'] -> (((5/3 * 4) / (3/8 * 5/7)) - 8/9)
[44326] ['1/3', '3/7', '3/2', '7/4', '8'] -> (8 * (3/7 + (3/2 / (1/3 * 7/4))))
[44327] ['5/9', '2/3', '1', '9/8', '5/2'] -> (((5/2 * 2/3) / 5/9) / (9/8 - 1))
[44328] ['2/7', '1/3', '7/6', '2', '8/3'] -> (8/3 / ((1/3 - 2/7) * 7/6) * 2))
[44329] ['6/5', '3/2', '7/2', '7/2', '6'] -> (6 / ((3/2 / 6/5) - (7/2 / 7/2)))
[44330] ['1/8', '8/9', '6/5', '9/4', '5'] -> ((6/5 / 9/4) * (5 / (1/8 * 8/9)))
[44331] ['1/5', '3/7', '5/8', '7/4', '4'] -> ((((4 * 3/7) / 1/5) * 7/4) / 5/8)
[44332] ['3/8', '8/9', '9/8', '7/4', '3'] -> (3/8 / ((9/8 / 8/9) + (7/4 - 3)))
[44333] ['1/4', '2/7', '2/5', '8/3', '5'] -> ((5 / (2/5 - 1/4)) - (8/3 / 2/7))
[44334] ['1/9', '1/4', '2/5', '7/8', '4'] -> (4 / (1/9 * (7/8 + (1/4 / 2/5))))
[44335] ['1/7', '7/8', '3/2', '5/2', '9'] -> ((9 - 3/2) / (5/2 * (1/7 * 7/8)))
[44336] ['1/6', '4/5', '5/3', '9/2', '6'] -> (((6 - (4/5 * 9/2)) * 5/3) / 1/6)
[44337] ['1/5', '3/7', '5/8', '9/5', '4'] -> (9/5 / (3/7 * (1/5 * 4)) - 5/8))
[44338] ['1/6', '8/5', '8/5', '8/5', '5'] -> (((8/5 * 5) - 8/5) / (1/6 * 8/5))
[44339] ['1/9', '1/7', '3/7', '8/5', '5'] -> ((((5 * 1/7) / 1/9) * 8/5) / 3/7)
[44340] ['5/9', '2/3', '1', '8/7', '8/7'] -> (8/7 / (1 - (8/7 * (5/9 / 2/3))))
[44341] ['4/9', '8/7', '7/4', '5/2', '4'] -> (5/2 / (4/9 - (7/4 / (8/7 + 4))))
[44342] ['1/8', '8/9', '6/5', '8/3', '5'] -> (((6/5 * 5) - (8/3 / 8/9)) / 1/8)
[44343] ['1/4', '2/7', '3/7', '4/9', '5'] -> ((2/7 * 5) / (1/4 - (3/7 * 4/9)))
[44344] ['3/8', '5/7', '8/9', '7/3', '4'] -> ((4 / ((3/8 * 7/3) - 5/7)) - 8/9)
[44345] ['1/5', '3/7', '5/8', '7/3', '4'] -> ((4 - (3/7 * 7/3)) / (1/5 * 5/8))
[44346] ['1/9', '1/4', '2/5', '8/7', '4'] -> (((4 - 1/9) * (2/5 + 8/7)) / 1/4)
[44347] ['1/6', '4/5', '7/4', '7/3', '6'] -> (6 / ((4/5 * (1/6 + 7/3)) - 7/4))
[44348] ['2/7', '1/3', '6/5', '4/3', '2'] -> (((2 + (4/3 / 2/7)) * 6/5) / 1/3)
[44349] ['1/4', '2/7', '3/7', '5/9', '5'] -> (((5 * 2/7) / 1/4) / (3/7 * 5/9))
[44350] ['1/5', '3/7', '5/8', '5/2', '4'] -> (((4 / (3/7 - 1/5)) - 5/2) / 5/8)
[44351] ['1/9', '2/5', '8/9', '5/3', '3'] -> (8/9 / (5/3 * (2/5 / 3)) - 1/9))
[44352] ['1/6', '4/5', '7/4', '5/2', '6'] -> (6 / (1/6 * (4/5 + (7/4 / 5/2))))
[44353] ['1/9', '1/7', '3/7', '7/2', '5'] -> (7/2 * (3/7 + ((5 * 1/7) / 1/9)))
[44354] ['3/8', '5/7', '8/9', '8/3', '4'] -> (((8/3 + 4) / (3/8 * 5/7)) - 8/9)
[44355] ['2/7', '1/3', '6/5', '3/2', '2'] -> (2 / ((3/2 / 6/5) - (1/3 / 2/7)))
[44356] ['1/7', '7/8', '8/5', '7/4', '9'] -> ((9 / 8/5) + ((7/8 + 7/4) / 1/7))
[44357] ['1/6', '4/5', '7/4', '8/3', '6'] -> (6 / ((4/5 * (8/3 - 1/6)) - 7/4))
[44358] ['1/3', '3/7', '8/5', '8/3', '8'] -> (8/5 * (8 + ((1/3 + 8/3) / 3/7)))
[44359] ['1/8', '8/9', '5/4', '4/3', '5'] -> (((5 / 5/4) - 4/3) / (1/8 * 8/9))
[44360] ['1/5', '3/7', '5/8', '4', '9/2'] -> (((4 + (9/2 / 5/8)) * 3/7) / 1/5)
[44361] ['2/7', '1/3', '6/5', '7/4', '2'] -> (2 / ((7/4 * (2/7 / 6/5)) - 1/3))
[44362] ['6/5', '8/5', '7/3', '5/2', '6'] -> (5/2 * ((7/3 * (6 - 6/5)) - 8/5))
[44363] ['1/4', '2/7', '3/7', '8/9', '5'] -> ((3/7 / 2/7) + (5 / (1/4 * 8/9)))
[44364] ['1/3', '3/7', '8/5', '9/2', '8'] -> (8/5 * (9/2 + (8 / (1/3 + 3/7))))
[44365] ['1/9', '1/7', '4/9', '3/5', '5'] -> (((4/9 + (3/5 * 5)) / 1/7) - 1/9)
[44366] ['1/8', '8/9', '5/4', '5/3', '5'] -> ((5 - 5/3) / (5/4 * (1/8 * 8/9)))
[44367] ['6/5', '8/5', '7/2', '7/2', '6'] -> (6 / ((7/2 / 7/2) - (6/5 / 8/5)))
[44368] ['1/9', '2/5', '8/9', '3', '7/2'] -> (((3 + (8/9 / 1/9)) / 2/5) - 7/2)
[44369] ['1/9', '1/4', '2/5', '7/3', '4'] -> ((2/5 / (1/9 * 1/4)) * (4 - 7/3))
[44370] ['1/6', '4/5', '7/3', '7/3', '6'] -> (((6 - (7/3 / 7/3)) * 4/5) / 1/6)
[44371] ['4/9', '8/7', '9/5', '8/3', '4'] -> ((8/7 * 9/5) * (8/3 + (4 / 4/9)))
[44372] ['6/5', '5/3', '5/3', '5/3', '6'] -> ((5/3 + (5/3 + 5/3)) * (6 - 6/5))
[44373] ['5/9', '2/3', '1', '8/7', '7/2'] -> ((8/7 * 7/2) / (1 - (5/9 / 2/3)))
[44374] ['2/7', '1/3', '6/5', '2', '7/2'] -> ((6/5 * 7/2) * ((2 / 1/3) - 2/7))
[44375] ['1/9', '1/4', '2/5', '7/2', '4'] -> (4 / ((1/9 * 2/5) * 1/4) + 7/2))
[44376] ['1/5', '3/7', '2/3', '8/9', '4'] -> (4 * ((2/3 / 3/7) + (8/9 / 1/5)))
[44377] ['1/6', '4/5', '7/3', '7/2', '6'] -> (((6 - 7/3) / (1/6 * 4/5)) - 7/2)
[44378] ['1/6', '8/5', '7/4', '9/2', '5'] -> (8/5 * (((5 - 7/4) / 1/6) - 9/2))
[44379] ['6/5', '5/3', '5/3', '9/4', '6'] -> (6 / (5/3 * (9/4 / 5/3)) - 6/5))
[44380] ['1/7', '7/8', '5/3', '5/3', '9'] -> ((5/3 + 9) + (5/3 / (1/7 * 7/8)))
[44381] ['1/9', '1/4', '3/7', '3/7', '4'] -> ((((1/4 + 3/7) * 4) / 1/9) - 3/7)
[44382] ['1/6', '4/5', '8/3', '9/2', '6'] -> ((8/3 - 1/6) * (6 + (4/5 * 9/2)))
[44383] ['1/6', '8/5', '9/5', '9/4', '5'] -> (((8/5 - (9/5 / 9/4)) * 5) / 1/6)
[44384] ['2/7', '1/3', '5/4', '5/4', '2'] -> (((5/4 / 5/4) + (2 / 2/7)) / 1/3)
[44385] ['5/9', '2/3', '1', '7/6', '5/4'] -> (1 / (5/4 * (2/3 / 5/9)) - 7/6))
[44386] ['1/9', '2/5', '9/8', '5/4', '3'] -> ((5/4 / (1/9 * 2/5)) - (9/8 + 3))
[44387] ['1/8', '8/9', '9/7', '4/3', '5'] -> ((8/9 + (5 / (1/8 * 9/7))) / 4/3)
[44388] ['6/5', '5/3', '5/3', '7/2', '6'] -> (6/5 * ((7/2 * 6) - (5/3 / 5/3)))
[44389] ['1/9', '1/7', '4/9', '7/8', '5'] -> (5 / (4/9 - (1/9 + (1/7 * 7/8))))
[44390] ['1/6', '8/5', '9/5', '5/2', '5'] -> (((5 - (8/5 + 9/5)) * 5/2) / 1/6)
[44391] ['5/9', '2/3', '1', '7/6', '9/7'] -> ((1 + 9/7) * (7/6 / (2/3 - 5/9)))
[44392] ['1/4', '2/7', '4/9', '5/9', '5'] -> (((4/9 / 2/7) - (5/9 - 5)) / 1/4)
[44393] ['6/5', '5/3', '5/3', '9/2', '6'] -> (6 + ((6/5 * 9/2) * (5/3 + 5/3)))
[44394] ['1/9', '2/5', '9/8', '4/3', '3'] -> (((4/3 / (1/9 * 2/5)) - 3) / 9/8)
[44395] ['1/3', '3/7', '7/4', '9/2', '8'] -> (9/2 * ((1/3 + 3/7) + (8 / 7/4)))
[44396] ['3/8', '8/9', '8/7', '3', '7/2'] -> ((8/9 + 8/7) * (7/2 * (3/8 + 3)))
[44397] ['1/6', '5/6', '5/6', '7/6', '6'] -> (6 / ((5/6 / (5/6 + 7/6)) - 1/6))
[44398] ['6/5', '5/3', '7/4', '7/4', '6'] -> (6 * ((6/5 + 7/4) + (7/4 / 5/3)))
[44399] ['1/9', '1/4', '3/7', '2/3', '4'] -> (((4 / 3/7) - 2/3) / (1/9 + 1/4))
[44400] ['1/4', '2/7', '4/9', '4/7', '5'] -> (((4/7 / 4/9) - (2/7 - 5)) / 1/4)
[44401] ['1/5', '3/7', '2/3', '8/5', '4'] -> ((8/5 / (2/3 * (1/5 * 3/7))) - 4)
[44402] ['4/9', '8/7', '9/4', '7/2', '4'] -> (7/2 * ((9/4 * (4 - 4/9)) - 8/7))
[44403] ['1/7', '7/8', '5/3', '8/3', '9'] -> (((5/3 + (8/3 / 7/8)) / 1/7) - 9)
[44404] ['2/7', '1/3', '5/4', '9/5', '2'] -> (5/4 * ((2 / (2/7 * 1/3)) - 9/5))
[44405] ['1/9', '1/7', '4/9', '7/6', '5'] -> ((1/7 + 5) * ((7/6 * 4/9) / 1/9))
[44406] ['1/6', '8/5', '9/4', '8/3', '5'] -> (8/3 + (5 / (9/4 * (1/6 / 8/5))))
[44407] ['1/9', '1/4', '3/7', '7/9', '4'] -> ((4 - ((7/9 * 3/7) / 1/4)) / 1/9)
[44408] ['3/8', '5/7', '9/8', '7/3', '4'] -> (4 / ((5/7 * 7/3) - (3/8 + 9/8)))
[44409] ['5/9', '2/3', '1', '7/6', '9/4'] -> (1 / (9/4 * 2/3) - (5/9 * 7/6)))
[44410] ['4/9', '8/7', '7/3', '7/3', '4'] -> ((7/3 * (8/7 + (7/3 * 4))) - 4/9)
[44411] ['1/9', '1/4', '3/7', '4/5', '4'] -> (4 / (3/7 * (1/4 + (1/9 / 4/5))))
[44412] ['3/8', '8/9', '7/6', '9/7', '3'] -> (3 / (9/7 * (3/8 + 8/9)) - 7/6))
