[239356] ['1/6', '5/9', '8/9', '3/2', '7'] -> 8/9 * 3/2 * 7 / (5/9 - 1/6)
[239972] ['7/9', '7/9', '8/7', '8/3', '6'] -> (7/9 + 8/3 / 8/7) / (7/9 / 6)
[239973] ['8/7', '9/7', '7/5', '9/2', '8'] -> (8/7 + 8 / 7/5) / (9/7 / 9/2)
[239974] ['6/7', '6/7', '3/2', '2', '5/2'] -> 6/7 / (6/7 * 3/2 - 5/2 / 2)
[239975] ['1/5', '1/2', '5/6', '5/6', '2'] -> 2 / (1/5 * (5/6 - 1/2 * 5/6))
[239976] ['1/7', '8/9', '1', '6/5', '8/3'] -> 6/5 * (8/3 / (1/7 * 8/9) - 1)
[239977] ['7/9', '7/9', '8/7', '9/2', '6'] -> 8/7 * 6 * (9/2 - 7/9 / 7/9)
[239978] ['6/7', '6/7', '3/2', '2', '8/3'] -> 2 / ((6/7 + 3/2) / 6/7 - 8/3)
[239979] ['1/6', '5/9', '9/4', '5/2', '7'] -> (7 - 9/4) / 1/6 - 5/2 / 5/9
[239980] ['1/4', '7/8', '9/5', '9/4', '3'] -> 3 / (9/4 / 9/5 - (1/4 + 7/8))
[239981] ['6/5', '5/4', '7/4', '7/4', '5'] -> 6/5 * 5 / (5/4 - 7/4 / 7/4)
[239982] ['3/7', '5/2', '5/2', '8/3', '7'] -> 8/3 + 5/2 + 5/2 + 7 / 3/7
[239983] ['2/9', '1/3', '7/9', '1', '7/5'] -> 2/9 / (1/3 - 7/9 / (1 + 7/5))
[239984] ['1/8', '4/7', '4/7', '9/4', '9'] -> (9 / 9/4 - 4/7 / 4/7) / 1/8
[239985] ['7/9', '7/9', '7/6', '7/6', '6'] -> (7/6 + 7/9 + 7/6) / (7/9 / 6)
[239986] ['1/2', '6/7', '6/7', '9/5', '6'] -> 6/7 + 9/5 * (6/7 + 6 / 1/2)
[239987] ['2/9', '1/3', '7/9', '1', '3/2'] -> (7/9 + 1) * 3/2 / (1/3 - 2/9)
[239988] ['1/6', '5/9', '9/4', '7/2', '7'] -> 9/4 * ((7/2 - 5/9) / 1/6 - 7)
[239989] ['6/5', '5/4', '7/4', '9/4', '5'] -> 6/5 / (7/4 - 5/4 - 9/4 / 5)
[239990] ['1/5', '8/7', '8/3', '7/2', '6'] -> 8/7 + 6 / (7/2 * 1/5 / 8/3)
[239991] ['1/8', '4/7', '4/7', '7/3', '9'] -> 7/3 * 9 / (4/7 / 4/7 - 1/8)
[239992] ['7/9', '7/9', '7/6', '5/4', '6'] -> 7/9 * 6 / (7/6 - 7/9 * 5/4)
[239993] ['1/2', '6/7', '6/7', '7/3', '6'] -> 7/3 * (6 / 1/2 - (6/7 + 6/7))
[239994] ['3/7', '5/2', '5/2', '9/2', '7'] -> 5/2 * 7 * (9/2 / 5/2 - 3/7)
[239995] ['1/4', '7/8', '9/5', '8/3', '3'] -> (8/3 + 3) / (7/8 / 9/5 - 1/4)
[239996] ['8/7', '9/7', '8/5', '7/4', '8'] -> 7/4 * (8/5 * (9/7 + 8) - 8/7)
[239997] ['6/7', '6/7', '8/5', '8/5', '2'] -> 6/7 * 8/5 / (6/7 - 8/5 / 2)
[239998] ['2/9', '1/3', '7/9', '1', '5/3'] -> (1 + 5/3) / (7/9 - 2/9 / 1/3)
[239999] ['1/6', '5/9', '9/4', '9/2', '7'] -> 9/2 * 7 - 9/4 / (1/6 / 5/9)
[240000] ['1/9', '1/5', '2/7', '6/7', '2'] -> 2 * (2/7 / (1/9 * 1/5) - 6/7)
[240001] ['1/8', '4/7', '4/7', '5/2', '9'] -> 1/8 * 4/7 + 5/2 * (4/7 + 9)
[240002] ['6/5', '5/4', '7/4', '7/3', '5'] -> 5/4 + 5 * (7/4 + 6/5 * 7/3)
[240003] ['8/7', '9/7', '8/5', '9/5', '8'] -> 8 / ((8/7 + 8/5) / 9/7 - 9/5)
[240004] ['1/4', '7/8', '9/5', '3', '7/2'] -> 9/5 / (7/8 - 3 / (1/4 + 7/2))
[240005] ['6/5', '7/5', '8/3', '9/2', '9'] -> 8/3 / (6/5 / 9/2 - 7/5 / 9)
[240006] ['2/9', '1/3', '7/9', '1', '7/4'] -> 2/9 / 1/3 / (7/9 + 1 - 7/4)
[240007] ['1/6', '5/9', '7/3', '7/3', '7'] -> (7/3 + 7 * 5/9 / 7/3) / 1/6
[240008] ['6/7', '6/7', '8/5', '5/3', '2'] -> 2 * (6/7 / (5/3 - 8/5) - 6/7)
[240009] ['6/7', '6/7', '8/5', '7/4', '2'] -> 6/7 / ((6/7 + 2) / 8/5 - 7/4)
[240010] ['6/5', '5/4', '9/5', '7/3', '5'] -> 5 / ((5/4 + 9/5) / 6/5 - 7/3)
[240011] ['1/8', '4/7', '4/7', '9/2', '9'] -> (4/7 / 4/7 + 9 / 9/2) / 1/8
[240012] ['1/5', '7/6', '7/6', '7/6', '6'] -> (7/6 / 1/5 - 7/6) / (7/6 / 6)
[240013] ['7/9', '7/9', '7/6', '5/2', '6'] -> (7/6 + 7/9 * 5/2) / (7/9 / 6)
[240014] ['1/8', '4/7', '3/5', '5/8', '9'] -> 5/8 / (1/8 / 4/7) * (9 - 3/5)
[240015] ['1/6', '5/9', '5/2', '8/3', '7'] -> 8/3 / ((5/2 - 5/9) / 7 - 1/6)
[240016] ['2/9', '1/3', '7/9', '1', '7/2'] -> (7/9 / 2/9 + 1 + 7/2) / 1/3
[240017] ['6/5', '5/4', '7/3', '7/3', '5'] -> 6/5 * 5 / (5/4 - 7/3 / 7/3)
[240018] ['1/5', '1/2', '5/6', '7/5', '2'] -> 2 / (1/2 * (7/5 - 5/6) - 1/5)
[240019] ['2/5', '4/9', '7/8', '5/2', '8'] -> 8 / (4/9 * (2/5 + 7/8 / 5/2))
[240020] ['1/7', '8/9', '1', '5/4', '5/3'] -> (5/3 + 1 / 1/7) / (5/4 - 8/9)
[240021] ['4/9', '4/9', '4/9', '3/5', '7'] -> (7 / 3/5 - 4/9 / 4/9) / 4/9
[240022] ['1/2', '6/7', '7/8', '5/3', '6'] -> 6 / (6/7 * (5/3 - (1/2 + 7/8)))
[240023] ['1/5', '7/6', '7/6', '7/4', '6'] -> (7/6 + 7/6 / 1/5) / (7/4 / 6)
[240024] ['1/9', '1/5', '2/7', '9/7', '2'] -> (2 + 2/7 / 1/5) / (1/9 * 9/7)
[240025] ['6/7', '6/7', '8/5', '2', '7/2'] -> 6/7 / (2 / 7/2 - 6/7 / 8/5)
[240026] ['7/9', '7/9', '6/5', '7/5', '6'] -> 6 * (6/5 + (7/9 + 7/5) / 7/9)
[240027] ['6/5', '5/4', '5/2', '8/3', '5'] -> 8/3 * (6/5 * 5/4 + 5/2 + 5)
[240028] ['1/9', '1/5', '2/7', '4/3', '2'] -> 4/3 / (2 - 1/9 / 1/5 / 2/7)
[240029] ['6/7', '6/7', '8/5', '2', '9/2'] -> (6/7 + 2) * 9/2 / (6/7 / 8/5)
[240030] ['1/4', '8/9', '8/9', '6/5', '3'] -> 8/9 / (3 - 8/9 / (1/4 * 6/5))
[240031] ['7/9', '7/9', '6/5', '3/2', '6'] -> 6 / (3/2 / 6/5 - 7/9 / 7/9)
[240032] ['1/6', '5/9', '7/2', '9/2', '7'] -> 9/2 * (5/9 / 1/6 + 7 / 7/2)
[240033] ['1/5', '7/6', '7/6', '7/3', '6'] -> (6 / 1/5 - 7/3 / 7/6) / 7/6
[240034] ['1/5', '1/2', '6/7', '6/7', '2'] -> 2 / (1/5 / 6/7) / (6/7 - 1/2)
[240035] ['2/9', '1/3', '4/5', '8/9', '1'] -> 8/9 / (2/9 - 1/3 / (4/5 + 1))
[240036] ['6/5', '3/2', '7/4', '8/3', '9'] -> (6/5 + 3/2 / 7/4) * (8/3 + 9)
[240037] ['7/9', '7/9', '6/5', '8/5', '6'] -> 6 / (7/9 / 7/9 - 6/5 / 8/5)
[240038] ['6/5', '5/4', '7/2', '7/2', '5'] -> 6/5 * 5 / (5/4 - 7/2 / 7/2)
[240039] ['1/9', '1/5', '2/7', '3/2', '2'] -> 3/2 + 2 / (2/7 * (1/9 + 1/5))
[240040] ['4/9', '4/9', '4/9', '3/4', '7'] -> (7 + 4/9 / 4/9) / (4/9 * 3/4)
[240041] ['4/9', '4/9', '4/9', '7/9', '7'] -> (7 + 4/9 / 4/9) / (7/9 - 4/9)
[240042] ['2/5', '4/9', '8/9', '8/7', '8'] -> 8 / (4/9 / 2/5 - 8/9 / 8/7)
[240043] ['1/4', '8/9', '8/9', '8/5', '3'] -> (8/9 + 3) / (1/4 / 8/5) - 8/9
[240044] ['1/8', '4/7', '3/5', '7/8', '9'] -> 9 / (3/5 * (1/8 + 4/7 * 7/8))
[240045] ['6/5', '9/7', '9/7', '4/3', '5'] -> (9/7 + 5) / (4/3 - 9/7 / 6/5)
[240046] ['1/7', '8/9', '1', '5/4', '8/3'] -> 8/3 / (5/4 - (1/7 + 1)) - 8/9
[240047] ['8/7', '9/7', '9/5', '7/3', '8'] -> 9/5 * 7/3 * (8 / 8/7 - 9/7)
[240048] ['1/5', '7/6', '7/6', '9/2', '6'] -> (1/5 + 7/6 * 6) * (9/2 - 7/6)
[240049] ['1/4', '8/9', '8/9', '5/3', '3'] -> (8/9 / 8/9 + 5/3 * 3) / 1/4
[240050] ['1/6', '4/7', '4/7', '5/7', '7'] -> (5/7 * 7 - 4/7 / 4/7) / 1/6
[240051] ['6/5', '3/2', '7/3', '7/3', '9'] -> 7/3 * 9 / (7/3 - 3/2) - 6/5
[240052] ['7/9', '7/9', '6/5', '5/2', '6'] -> 6 * (7/9 / 7/9 + 6/5 * 5/2)
[240053] ['2/5', '4/9', '8/9', '9/7', '8'] -> 9/7 * (8 / 2/5 - (4/9 + 8/9))
[240054] ['1/5', '1/2', '6/7', '7/6', '2'] -> 2 / (1/5 * 7/6) / (6/7 - 1/2)
[240055] ['6/5', '9/7', '9/7', '3/2', '5'] -> 5 * (9/7 / (3/2 - 9/7) - 6/5)
[240056] ['8/7', '9/7', '9/5', '8/3', '8'] -> 9/5 * (8/7 * 8/3 + 9/7 * 8)
[240057] ['1/6', '4/7', '4/7', '3/4', '7'] -> 7 / (1/6 * (3/4 + 4/7 / 4/7))
[240058] ['1/4', '8/9', '8/9', '9/5', '3'] -> (8/9 + 8/9 / 1/4) * 9/5 * 3
[240059] ['7/9', '7/9', '6/5', '7/2', '6'] -> 6/5 * (7/2 * 6 - 7/9 / 7/9)
[240060] ['6/5', '9/7', '9/7', '8/5', '5'] -> 6/5 * (9/7 + 5) / (8/5 - 9/7)
[240061] ['1/7', '8/9', '1', '9/7', '9/7'] -> (8/9 * 9/7 + 1 + 9/7) / 1/7
[240062] ['6/7', '6/7', '5/3', '2', '9/2'] -> (5/3 + 6/7 / 6/7) * 2 * 9/2
[240063] ['1/4', '8/9', '8/9', '9/4', '3'] -> 3 * (9/4 / 1/4 - 8/9 / 8/9)
[240064] ['7/9', '7/9', '6/5', '9/2', '6'] -> 6/5 * 9/2 * (6 - (7/9 + 7/9))
[240065] ['6/5', '3/2', '8/3', '7/2', '9'] -> 9 / 3/2 / (7/2 / 6/5 - 8/3)
[240066] ['1/8', '4/7', '3/5', '6/5', '9'] -> 4/7 * (9 / (1/8 / 3/5) - 6/5)
[240067] ['6/7', '6/7', '7/4', '7/4', '2'] -> 6/7 / (2 * (7/4 - 6/7) - 7/4)
[240068] ['6/5', '3/2', '8/3', '9/2', '9'] -> 9 + 8/3 * 9/2 / (6/5 / 3/2)
[240069] ['6/5', '9/7', '9/7', '7/4', '5'] -> 7/4 * (9/7 + 5 * (6/5 + 9/7))
[240070] ['1/4', '8/9', '8/9', '5/2', '3'] -> 3 * (5/2 / (1/4 / 8/9) - 8/9)
[240071] ['4/9', '4/9', '4/9', '8/7', '7'] -> (7 * (4/9 + 8/7) - 4/9) / 4/9
[240072] ['1/8', '4/7', '3/5', '5/4', '9'] -> 4/7 / (5/4 / (9 - 3/5) - 1/8)
[240073] ['1/7', '8/9', '1', '9/7', '8/5'] -> (1 + 8/9 * 9/7) / (1/7 / 8/5)
[240074] ['8/7', '9/7', '7/3', '5/2', '8'] -> 8/7 / (8 * (5/2 - 7/3) - 9/7)
[240075] ['1/4', '8/9', '8/9', '3', '9/2'] -> 3 / (1/4 * 9/2 - 8/9 / 8/9)
[240076] ['1/5', '1/2', '6/7', '8/5', '2'] -> (8/5 + 2 / 1/2) / (1/5 / 6/7)
[240077] ['1/5', '7/6', '5/4', '9/7', '6'] -> (6 - 9/7 * 7/6 / 5/4) / 1/5
[240078] ['6/5', '3/2', '9/2', '9/2', '9'] -> 9/2 / 6/5 + 3/2 * (9/2 + 9)
[240079] ['6/5', '9/7', '9/7', '5/2', '5'] -> 9/7 + 6/5 * 5 * (9/7 + 5/2)
[240080] ['2/9', '1/3', '4/5', '1', '8/3'] -> 8/3 / (2/9 + 1/3) / (1 - 4/5)
[240081] ['8/7', '9/7', '7/3', '9/2', '8'] -> 8/7 / (7/3 - 8 * 9/7 / 9/2)
[240082] ['7/9', '7/9', '5/4', '8/5', '6'] -> 6 / (5/4 * (8/5 - 7/9) - 7/9)
[240083] ['1/9', '1/5', '1/3', '1/3', '2'] -> (1/3 / 1/5 - 1/3) / (1/9 / 2)
[240084] ['1/6', '4/7', '4/7', '9/7', '7'] -> 4/7 / (9/7 - 1/6 * (4/7 + 7))
[240085] ['6/5', '9/7', '9/7', '8/3', '5'] -> 8/3 * (9/7 + 5 * 6/5 * 9/7)
[240086] ['7/9', '7/9', '5/4', '5/3', '6'] -> 6 / (7/9 / 7/9 - 5/4 / 5/3)
[240087] ['6/7', '6/7', '7/4', '2', '8/3'] -> 2 / (6/7 / 6/7 + 7/4 - 8/3)
[240088] ['6/5', '8/5', '8/5', '5/3', '9'] -> 8/5 / (6/5 / 9 + 8/5 - 5/3)
[240089] ['1/8', '4/7', '3/5', '3/2', '9'] -> (3/5 + 9) * (3/2 / 4/7 - 1/8)
[240090] ['6/5', '9/7', '9/7', '7/2', '5'] -> (9/7 - (6/5 - 9/7)) * 7/2 * 5
[240091] ['1/2', '6/7', '8/9', '7/3', '6'] -> (7/3 + 6 / 6/7) / (8/9 - 1/2)
[240092] ['1/7', '8/9', '1', '9/7', '9/4'] -> 1 + (9/7 + 8/9 * 9/4) / 1/7
[240093] ['4/9', '4/9', '4/9', '4/3', '7'] -> (7 + 4/9 / 4/9) / (4/9 / 4/3)
[240094] ['7/9', '7/9', '5/4', '7/4', '6'] -> 6 * (7/9 / 7/9 + 5/4 + 7/4)
[240095] ['1/5', '7/6', '5/4', '7/4', '6'] -> (6 - 7/4 / (7/6 * 5/4)) / 1/5
[240096] ['6/7', '6/7', '7/4', '2', '9/2'] -> 7/4 * (6/7 + 9/2 * (6/7 + 2))
[240097] ['1/5', '1/2', '6/7', '9/5', '2'] -> (2 + 9/5 / 1/2) / (1/5 / 6/7)
[240098] ['2/9', '1/3', '5/6', '6/7', '1'] -> 2/9 / 1/3 / (1 - 5/6 / 6/7)
[240099] ['1/9', '1/5', '1/3', '3/7', '2'] -> (1/3 + 2 / 1/5) / 3/7 - 1/9
[240100] ['1/8', '4/7', '3/5', '8/5', '9'] -> (9 - 3/5) / (8/5 * 1/8 / 4/7)
[240101] ['7/9', '7/9', '5/4', '9/5', '6'] -> 6 * (7/9 + 5/4 * (7/9 + 9/5))
[240102] ['6/5', '8/5', '8/5', '7/3', '9'] -> 6/5 * (7/3 * 9 - 8/5 / 8/5)
[240103] ['1/5', '7/6', '5/4', '9/5', '6'] -> 9/5 * (7/6 / 1/5 + 5/4 * 6)
[240104] ['7/9', '7/9', '5/4', '9/4', '6'] -> 6 * (7/9 * 5/4 + 7/9 + 9/4)
[240105] ['1/5', '7/6', '5/4', '9/4', '6'] -> 9/4 * (6 + 7/6 / (1/5 * 5/4))
[240106] ['8/7', '4/3', '4/3', '5/3', '8'] -> 4/3 + 8 * (5/3 + 4/3 / 8/7)
[240107] ['1/2', '6/7', '8/9', '7/2', '6'] -> 8/9 * 7/2 * (6 + 6/7 / 1/2)
[240108] ['2/9', '1/3', '5/6', '1', '9/8'] -> 1/3 / 2/9 / (1 - 5/6 * 9/8)
[240109] ['2/5', '4/9', '9/8', '3/2', '8'] -> 3/2 / 2/5 + 8 / (4/9 / 9/8)
[240110] ['7/9', '7/9', '5/4', '7/3', '6'] -> 6 / (7/3 / (7/9 + 7/9) - 5/4)
[240111] ['6/5', '8/5', '5/3', '5/3', '9'] -> 5/3 * (8/5 + 6/5 * (5/3 + 9))
[240112] ['4/9', '4/9', '4/9', '5/3', '7'] -> (5/3 * 7 - 4/9 / 4/9) / 4/9
[240113] ['1/5', '7/6', '5/4', '7/3', '6'] -> 6 / (7/6 / 7/3 - 1/5 * 5/4)
[240114] ['1/5', '1/2', '6/7', '2', '8/3'] -> 6/7 * 8/3 * (1/2 + 2 / 1/5)
[240115] ['7/9', '7/9', '5/4', '5/2', '6'] -> 6 / (5/2 - (5/4 + 7/9 / 7/9))
[240116] ['6/5', '9/7', '4/3', '8/5', '5'] -> 9/7 * 4/3 * 5 * (6/5 + 8/5)
[240117] ['2/5', '4/9', '9/8', '5/3', '8'] -> 8 / (2/5 * 4/9) / (9/8 * 5/3)
[240118] ['1/8', '4/7', '3/5', '9/4', '9'] -> (9 - 9/4 / 3/5) / (1/8 / 4/7)
[240119] ['1/5', '7/6', '5/4', '5/2', '6'] -> (6 / 1/5 - 5/2 / 5/4) / 7/6
[240120] ['6/7', '6/7', '9/5', '2', '8/3'] -> 8/3 / (2 / 9/5 - 6/7 / 6/7)
[240121] ['1/5', '1/2', '6/7', '2', '7/2'] -> 6/7 * (1/2 + (2 + 7/2) / 1/5)
[240122] ['2/5', '4/9', '9/8', '7/4', '8'] -> 8 * (7/4 + 9/8 / (2/5 / 4/9))
[240123] ['7/9', '7/9', '9/7', '9/7', '6'] -> (9/7 + 9/7) * 6 * (7/9 + 7/9)
[240124] ['1/7', '8/9', '1', '4/3', '7/5'] -> (8/9 + 4/3) * (1 + 7/5 / 1/7)
[240125] ['8/7', '4/3', '7/5', '3/2', '8'] -> 7/5 * (8/7 + 8 * 4/3 * 3/2)
[240126] ['1/4', '8/9', '9/8', '7/4', '3'] -> 3 * (8/9 * 9/8 + 7/4 / 1/4)
[240127] ['1/8', '4/7', '3/5', '7/3', '9'] -> 9 / (3/5 * (4/7 + 1/8 / 7/3))
[240128] ['6/5', '8/5', '7/4', '7/3', '9'] -> 9 * (8/5 / 6/5 + 7/3 / 7/4)
[240129] ['1/7', '8/9', '1', '4/3', '3/2'] -> 4/3 / 1/7 / (8/9 + 1 - 3/2)
[240130] ['1/6', '4/7', '4/7', '9/2', '7'] -> 4/7 - 7 + (4/7 + 9/2) / 1/6
[240131] ['1/4', '8/9', '9/8', '9/5', '3'] -> 3 / (8/9 - (1/4 + 9/8) / 9/5)
[240132] ['2/5', '4/9', '9/8', '9/5', '8'] -> (9/5 + 8) / 2/5 - 4/9 * 9/8
[240133] ['1/5', '7/6', '9/7', '9/7', '6'] -> (9/7 / (9/7 - 7/6) - 6) / 1/5
[240134] ['6/7', '6/7', '9/5', '2', '9/2'] -> 6/7 + (6/7 + 2) * 9/5 * 9/2
[240135] ['6/5', '8/5', '7/4', '5/2', '9'] -> 9 / (7/4 * (5/2 - 8/5) - 6/5)
[240136] ['1/2', '6/7', '9/8', '4/3', '6'] -> 6 / 6/7 / (1/2 + 9/8 - 4/3)
[240137] ['4/9', '4/9', '4/9', '7/2', '7'] -> 7/2 * 7 - 4/9 / (4/9 + 4/9)
[240138] ['1/8', '4/7', '3/5', '7/2', '9'] -> 3/5 * (7/2 / (1/8 * 4/7) - 9)
[240139] ['1/7', '8/9', '1', '4/3', '7/4'] -> 4/3 / 7/4 / (1/7 + 8/9 - 1)
[240140] ['1/9', '1/5', '1/3', '9/8', '2'] -> 1/3 / (9/8 - 2 * 1/9 / 1/5)
[240141] ['2/5', '4/9', '9/8', '9/4', '8'] -> 4/9 * 8 * (9/8 + 9/4 / 2/5)
[240142] ['2/9', '1/3', '5/6', '1', '7/4'] -> 1 / (1/3 / 2/9 - 5/6 * 7/4)
[240143] ['1/5', '1/2', '7/8', '8/7', '2'] -> 8/7 + 2 / (7/8 * 1/5 * 1/2)
[240144] ['6/5', '8/5', '9/4', '7/2', '9'] -> 9 / (7/2 * 6/5 / 8/5 - 9/4)
[240145] ['6/5', '9/7', '4/3', '7/3', '5'] -> 4/3 * 7/3 * 5 * 6/5 * 9/7
[240146] ['2/9', '1/3', '5/6', '1', '9/5'] -> (1 + 9/5 / 1/3) / (2/9 / 5/6)
[240147] ['1/7', '8/9', '1', '4/3', '9/5'] -> 8/9 / 1/7 / (1 - 4/3 / 9/5)
[240148] ['1/4', '8/9', '8/7', '7/6', '3'] -> 8/7 / (8/9 / (1/4 * 7/6) - 3)
[240149] ['1/5', '1/2', '7/8', '7/6', '2'] -> 2 / (7/8 / (1/5 + 1/2) - 7/6)
[240150] ['1/8', '4/7', '3/5', '9/2', '9'] -> 4/7 * (3/5 + 9) * (9/2 - 1/8)
[240151] ['6/7', '6/7', '2', '9/4', '8/3'] -> 8/3 / (6/7 / 6/7 - 2 / 9/4)
[240152] ['1/8', '4/7', '5/8', '5/8', '9'] -> (9 / 4/7 - (1/8 + 5/8)) / 5/8
[240153] ['4/9', '4/9', '1/2', '4/7', '7'] -> 4/9 * 7 / (4/7 - 4/9) - 1/2
[240154] ['1/7', '8/9', '1', '4/3', '9/4'] -> 1 + 9/4 * (8/9 + 4/3 / 1/7)
[240155] ['8/7', '4/3', '3/2', '5/2', '8'] -> 3/2 * 8/7 * 4/3 * (5/2 + 8)
[240156] ['6/7', '6/7', '2', '9/4', '7/2'] -> 7/2 * (6/7 + 6/7) / (9/4 - 2)
[240157] ['1/9', '1/5', '1/3', '3/2', '2'] -> 3/2 + 2 / (1/5 * (1/9 + 1/3))
[240158] ['6/5', '9/7', '4/3', '8/3', '5'] -> 4/3 * 5 * (8/3 + 6/5 / 9/7)
[240159] ['1/5', '7/6', '9/7', '7/4', '6'] -> 7/6 / 7/4 + 6 / (1/5 * 9/7)
[240160] ['1/2', '6/7', '9/8', '5/3', '6'] -> 6 / (6/7 * (9/8 - 1/2 * 5/3))
[240161] ['7/9', '7/9', '9/7', '5/2', '6'] -> (7/9 + 5/2) / (7/9 / 6) - 9/7
[240162] ['6/5', '9/7', '4/3', '7/2', '5'] -> 5 * (7/2 * 9/7 * 4/3 - 6/5)
[240163] ['8/7', '4/3', '8/5', '8/5', '8'] -> (8/7 + 8/5) * (4/3 + 8) - 8/5
[240164] ['2/5', '4/9', '9/8', '7/2', '8'] -> 7/2 + 4/9 * 9/8 + 8 / 2/5
[240165] ['1/2', '6/7', '9/8', '7/4', '6'] -> 6 / (9/8 / (6/7 * 7/4) - 1/2)
[240166] ['1/9', '1/5', '1/3', '7/4', '2'] -> 2 / (7/4 - 1/9 / 1/5 / 1/3)
[240167] ['1/8', '4/7', '5/8', '7/9', '9'] -> 9 / (7/9 * (1/8 + 4/7 * 5/8))
[240168] ['1/5', '1/2', '7/8', '7/5', '2'] -> (2 + 7/5 / 1/5) / (7/8 - 1/2)
[240169] ['2/5', '4/9', '9/8', '9/2', '8'] -> 9/2 - 4/9 * 9/8 + 8 / 2/5
[240170] ['7/9', '7/9', '9/7', '9/2', '6'] -> (9/7 + 7/9 / 7/9) * (9/2 + 6)
[240171] ['2/9', '1/3', '6/7', '1', '9/8'] -> 1 / (1/3 - 9/8 * 2/9 / 6/7)
[240172] ['1/5', '7/6', '9/7', '7/3', '6'] -> 9/7 * (7/6 * 6 + 7/3 / 1/5)
[240173] ['1/6', '4/7', '3/5', '8/9', '7'] -> 4/7 / 3/5 / (1/6 - 8/9 / 7)
[240174] ['8/7', '4/3', '8/5', '7/4', '8'] -> (8/5 + 8/7 * 7/4) * (8 - 4/3)
[240175] ['1/4', '8/9', '8/7', '7/5', '3'] -> (3 + 8/7 / 8/9) / (1/4 / 7/5)
[240176] ['6/5', '9/7', '7/5', '7/5', '5'] -> 5 * (6/5 + 9/7 * (7/5 + 7/5))
[240177] ['1/8', '4/7', '5/8', '4/5', '9'] -> 9 / 4/7 / (5/8 / 4/5 - 1/8)
[240178] ['2/9', '1/3', '6/7', '1', '8/7'] -> ((6/7 + 8/7) / 2/9 - 1) / 1/3
[240179] ['6/5', '5/3', '5/3', '7/4', '9'] -> (5/3 + 9) * (6/5 + 7/4 / 5/3)
[240180] ['1/9', '1/5', '1/3', '2', '7/2'] -> (7/2 - 1/3 / (1/5 * 2)) / 1/9
[240181] ['1/2', '6/7', '9/8', '7/3', '6'] -> 6 / (9/8 / 1/2 - 6/7 * 7/3)
[240182] ['7/9', '7/9', '4/3', '8/5', '6'] -> 4/3 / (8/5 - (7/9 + 7/9)) - 6
[240183] ['6/5', '5/3', '5/3', '9/4', '9'] -> (5/3 - (6/5 - 5/3)) * (9/4 + 9)
[240184] ['1/9', '1/5', '3/8', '3/8', '2'] -> 2 / (1/5 * (3/8 + 1/9 * 3/8))
[240185] ['6/5', '9/7', '7/5', '8/5', '5'] -> (6/5 + 9/7 * 7/5) * 8/5 * 5
[240186] ['1/4', '8/9', '8/7', '8/5', '3'] -> (8/9 + 3) * (8/5 + 8/7 / 1/4)
[240187] ['1/6', '4/7', '3/5', '8/7', '7'] -> 3/5 * (7 / 1/6 - 8/7 / 4/7)
[240188] ['6/7', '6/7', '2', '5/2', '7/2'] -> 2 / (6/7 * 7/2 - 5/2 / 6/7)
[240189] ['1/5', '7/6', '4/3', '4/3', '6'] -> 4/3 / (7/6 - 4/3 / (1/5 * 6))
[240190] ['1/8', '4/7', '5/8', '6/7', '9'] -> 9 / (6/7 - (1/8 + 4/7 * 5/8))
[240191] ['8/7', '4/3', '8/5', '8/3', '8'] -> (8/3 + 4/3 / 8/5) * (8 - 8/7)
[240192] ['1/7', '8/9', '1', '7/5', '8/5'] -> 8/9 / (8/5 / (1/7 + 7/5) - 1)
[240193] ['1/4', '8/9', '8/7', '5/3', '3'] -> 8/7 / (1/4 * 8/9) * (5/3 + 3)
[240194] ['6/7', '6/7', '2', '5/2', '9/2'] -> 2 * (6/7 + 6/7) * (5/2 + 9/2)
[240195] ['1/5', '1/2', '7/8', '2', '9/4'] -> 9/4 + (7/8 + 2 / 1/5) / 1/2
[240196] ['1/5', '7/6', '4/3', '7/5', '6'] -> (7/6 + 4/3) * 6 * (1/5 + 7/5)
[240197] ['1/2', '6/7', '9/8', '7/2', '6'] -> (6 + 6/7 / 1/2) / (9/8 / 7/2)
[240198] ['2/5', '4/9', '8/7', '9/7', '8'] -> 9/7 * (8 / 2/5 - 4/9) - 8/7
[240199] ['2/9', '1/3', '6/7', '1', '5/4'] -> 1 / (1/3 / 2/9 - 5/4 / 6/7)
[240200] ['7/9', '7/9', '4/3', '5/2', '6'] -> 7/9 / 7/9 + 6 * (4/3 + 5/2)
[240201] ['8/7', '4/3', '8/5', '7/2', '8'] -> 8 / (8/7 / 8/5 - 4/3 / 7/2)
[240202] ['6/5', '5/3', '7/4', '7/3', '9'] -> 9 * 6/5 * 5/3 / (7/4 / 7/3)
[240203] ['6/5', '9/7', '7/5', '9/5', '5'] -> 5 * (6/5 + 9/5 + 9/7 * 7/5)
[240204] ['4/9', '4/9', '1/2', '6/5', '7'] -> 4/9 * 7 / (1/2 - 4/9 / 6/5)
[240205] ['6/7', '6/7', '2', '8/3', '8/3'] -> 8/3 / ((8/3 - 6/7) / 6/7 - 2)
[240206] ['1/9', '1/5', '3/8', '4/9', '2'] -> ((2 - 1/9) / 1/5 - 4/9) / 3/8
[240207] ['7/9', '7/9', '4/3', '9/2', '6'] -> 4/3 / (7/9 + 7/9 + 9/2 - 6)
