[276714] ['(2-i)', '(3-6i)', '3', '(4+9i)'] -> ((2-i) + ((4+9i) * ((3-6i) / 3)))
[312723] ['(2-i)', '(4+5i)', '(5-5i)', '(6+3i)'] -> (((2-i) * (6+3i)) + ((4+5i) + (5-5i)))
[312726] ['(2-i)', '(4+5i)', '(5-5i)', '(6+9i)'] -> ((6+9i) + ((2-i) * ((4+5i) + (5-5i))))
[312731] ['(2-i)', '(4+5i)', '(5-5i)', '(8-i)'] -> (((4+5i) * ((5-5i) - (2-i))) - (8-i))
[312738] ['(2-i)', '(4+5i)', '(5-4i)', '(5+7i)'] -> ((5+7i) + ((2-i) * ((4+5i) + (5-4i))))
[312740] ['(2-i)', '(4+5i)', '(5-4i)', '(6-2i)'] -> (((2-i) * (4+5i)) + ((5-4i) + (6-2i)))
[312752] ['(2-i)', '(4+5i)', '(5-3i)', '(6-3i)'] -> (((2-i) * (4+5i)) + ((5-3i) + (6-3i)))
[312762] ['(2-i)', '(4+5i)', '(5-2i)', '(6-4i)'] -> ((4-4i) * ((6+3i) + ((1-6i) - (4-6i))))
[312774] ['(2-i)', '(4+5i)', '(5-2i)', '8'] -> (((2-i) * ((4+5i) + 8)) - (5-2i))
[312779] ['(2-i)', '(4+5i)', '(5-i)', '(6-5i)'] -> ((4+4i) * ((9-8i) + ((1-3i) - (7-8i))))
[312788] ['(2-i)', '(4+5i)', '(5-i)', '(8+7i)'] -> (((2-i) * (8+7i)) - ((4+5i) - (5-i)))
[312793] ['(2-i)', '(4+5i)', '5', '(6-6i)'] -> (((2-i) * (4+5i)) + (5 + (6-6i)))
[312796] ['(2-i)', '(4+5i)', '5', '(7-6i)'] -> ((4+5i) + ((7-6i) / ((2-i) / 5)))
[312797] ['(2-i)', '(4+5i)', '5', '(7+i)'] -> (((2-i) * (7+i)) + ((4+5i) + 5))
[312802] ['(2-i)', '(4+5i)', '(5+i)', '(6-7i)'] -> (((2-i) * (4+5i)) + ((5+i) + (6-7i)))
[312813] ['(2-i)', '(4+5i)', '(5+i)', '(9-2i)'] -> (((2-i) * (5+i)) + ((4+5i) + (9-2i)))
[312814] ['(2-i)', '(4+5i)', '(5+2i)', '(6-8i)'] -> (((2-i) * (4+5i)) + ((5+2i) + (6-8i)))
[312822] ['(2-i)', '(4+5i)', '(5+2i)', '(8-4i)'] -> (((2-i) * (5+2i)) + ((4+5i) + (8-4i)))
[312829] ['(2-i)', '(4+5i)', '(5+3i)', '(6-9i)'] -> (((2-i) * (4+5i)) + ((5+3i) + (6-9i)))
[312835] ['(2-i)', '(4+5i)', '(5+3i)', '(7-6i)'] -> (((2-i) * (5+3i)) + ((4+5i) + (7-6i)))
[312837] ['(2-i)', '(4+5i)', '(5+3i)', '(7+2i)'] -> ((-3i * (1+4i)) + ((4-4i) + (8+7i)))
[312849] ['(2-i)', '(4+5i)', '(5+4i)', '(6-8i)'] -> (((2-i) * (5+4i)) + ((4+5i) + (6-8i)))
[312861] ['(2-i)', '(4+5i)', '(5+4i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((4+5i) - (5+4i)))
[312869] ['(2-i)', '(4+5i)', '(5+5i)', '(8-i)'] -> (((2-i) * (8-i)) + ((4+5i) + (5+5i)))
[312873] ['(2-i)', '(4+5i)', '(5+6i)', '(6-3i)'] -> ((6-3i) * ((4+5i) - ((5+6i) / (2-i))))
[312877] ['(2-i)', '(4+5i)', '(5+6i)', '8'] -> (8 * ((5+6i) + ((2-i) - (4+5i))))
[312897] ['(2-i)', '(4+5i)', '(5+8i)', '(6+4i)'] -> (((2-i) * ((4+5i) + (6+4i))) - (5+8i))
[312919] ['(2-i)', '(4+5i)', '(5+9i)', '(9-8i)'] -> (((2-i) * (5+9i)) - ((4+5i) - (9-8i)))
[312959] ['(2-i)', '(4+5i)', '(6-6i)', '(7+4i)'] -> (((2-3i) + (5-6i)) + ((8+6i) + (9+3i)))
[312964] ['(2-i)', '(4+5i)', '(6-6i)', '(8+6i)'] -> ((6-6i) * ((8+6i) - ((2-i) + (4+5i))))
[312974] ['(2-i)', '(4+5i)', '(6-5i)', '(8+9i)'] -> (((4+5i) * (6-5i)) - ((2-i) * (8+9i)))
[312975] ['(2-i)', '(4+5i)', '(6-5i)', '(9-i)'] -> (((2-i) * ((4+5i) + (9-i))) - (6-5i))
[312989] ['(2-i)', '(4+5i)', '(6-3i)', '(6+2i)'] -> (((2-i) * (6+2i)) + ((4+5i) + (6-3i)))
[313006] ['(2-i)', '(4+5i)', '(6-i)', '(6+6i)'] -> ((8+8i) - ((1-3i) * ((4+4i) - (8+8i))))
[313014] ['(2-i)', '(4+5i)', '(6-i)', '(9+3i)'] -> (((2-i) * (6-i)) + ((4+5i) + (9+3i)))
[313017] ['(2-i)', '(4+5i)', '6', '(6+6i)'] -> (6 * ((6+6i) + ((2-i) - (4+5i))))
[313027] ['(2-i)', '(4+5i)', '6', '(9+6i)'] -> (6 * (((2-i) * (4+5i)) - (9+6i)))
[313031] ['(2-i)', '(4+5i)', '(6+i)', '(7-i)'] -> ((-9i - (6-9i)) * ((4+8i) - (8+8i)))
[313032] ['(2-i)', '(4+5i)', '(6+i)', '(7+5i)'] -> (-6i * ((8+i) - (-5i + (8+2i))))
[313036] ['(2-i)', '(4+5i)', '(6+i)', '(8+6i)'] -> (((2-7i) + (6-9i)) + ((7+7i) + (9+9i)))
[313044] ['(2-i)', '(4+5i)', '(6+2i)', '7'] -> (((2-i) * 7) + ((4+5i) + (6+2i)))
[313075] ['(2-i)', '(4+5i)', '(6+5i)', '(7+3i)'] -> (((2-i) * ((4+5i) + (7+3i))) - (6+5i))
[313093] ['(2-i)', '(4+5i)', '(6+6i)', '(8+2i)'] -> ((6+6i) * ((8+2i) - ((2-i) + (4+5i))))
[313099] ['(2-i)', '(4+5i)', '(6+6i)', '(9+4i)'] -> (((2-i) * (9+4i)) - ((4+5i) - (6+6i)))
[313109] ['(2-i)', '(4+5i)', '(6+7i)', '(8-2i)'] -> (-6i * ((9+7i) - (-5i + (9+8i))))
[313115] ['(2-i)', '(4+5i)', '(6+7i)', '(9-3i)'] -> ((-3i + (1+4i)) * ((5-7i) + (7-5i)))
[313120] ['(2-i)', '(4+5i)', '(6+8i)', '(8-5i)'] -> (((2-i) * (6+8i)) - ((4+5i) - (8-5i)))
[313126] ['(2-i)', '(4+5i)', '(6+9i)', '(7-7i)'] -> (((2-i) * (6+9i)) - ((4+5i) - (7-7i)))
[313191] ['(2-i)', '(4+5i)', '(7-3i)', '9'] -> (-6i - ((2-8i) * (-4i - -i)))
[313192] ['(2-i)', '(4+5i)', '(7-3i)', '(9+8i)'] -> (((2-i) * (7-3i)) + ((4+5i) + (9+8i)))
[313193] ['(2-i)', '(4+5i)', '(7-2i)', '(7+7i)'] -> (((2-i) * (7+7i)) - ((4+5i) - (7-2i)))
[313197] ['(2-i)', '(4+5i)', '(7-2i)', '(8+6i)'] -> (((2-i) * (7-2i)) + ((4+5i) + (8+6i)))
[313202] ['(2-i)', '(4+5i)', '(7-i)', '(7+4i)'] -> (((2-i) * (7-i)) + ((4+5i) + (7+4i)))
[313220] ['(2-i)', '(4+5i)', '(7+2i)', '(8+2i)'] -> (((2-i) * ((4+5i) + (8+2i))) - (7+2i))
[313229] ['(2-i)', '(4+5i)', '(7+3i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((4+5i) - (7+3i)))
[313231] ['(2-i)', '(4+5i)', '(7+4i)', '(7+7i)'] -> ((-4i * (1+6i)) - (-6i + 2i))
[313241] ['(2-i)', '(4+5i)', '(7+5i)', '(8+9i)'] -> (((2-i) * ((4+5i) + (7+5i))) - (8+9i))
[313245] ['(2-i)', '(4+5i)', '(7+5i)', '(9+2i)'] -> (((2-i) * (7+5i)) - ((4+5i) - (9+2i)))
[313247] ['(2-i)', '(4+5i)', '(7+6i)', '(8-4i)'] -> ((8-4i) * ((4+5i) - ((7+6i) / (2-i))))
[313249] ['(2-i)', '(4+5i)', '(7+6i)', '8'] -> (((2-i) * (7+6i)) - ((4+5i) - 8))
[313269] ['(2-i)', '(4+5i)', '(7+8i)', '(9+3i)'] -> (((2-i) * (9+3i)) - ((4+5i) - (7+8i)))
[313270] ['(2-i)', '(4+5i)', '(7+9i)', '(8-3i)'] -> (((2-i) * (8-3i)) + ((4+5i) + (7+9i)))
[313271] ['(2-i)', '(4+5i)', '(7+9i)', '8'] -> (8 * ((4+5i) - ((7+9i) / (2-i))))
[313309] ['(2-i)', '(4+5i)', '(8-i)', '(9+i)'] -> (((2-i) * ((4+5i) + (9+i))) - (8-i))
[313314] ['(2-i)', '(4+5i)', '8', '(9+4i)'] -> (8 * ((9+4i) - ((2-i) + (4+5i))))
[313315] ['(2-i)', '(4+5i)', '(8+i)', '(9+3i)'] -> (((2-3i) - (6+i)) * ((5-5i) - (8-8i)))
[313323] ['(2-i)', '(4+5i)', '(8+3i)', '(8+4i)'] -> (((2-i) * ((4+5i) + (8+3i))) - (8+4i))
[313327] ['(2-i)', '(4+5i)', '(8+3i)', '(9+7i)'] -> (((2-i) * (8+3i)) - ((4+5i) - (9+7i)))
[313328] ['(2-i)', '(4+5i)', '(8+4i)', '(8+5i)'] -> (((2-i) * (8+4i)) - ((4+5i) - (8+5i)))
[313330] ['(2-i)', '(4+5i)', '(8+4i)', '(9+6i)'] -> (((2-i) * ((4+5i) + (8+4i))) - (9+6i))
[313349] ['(2-i)', '(4+5i)', '(8+8i)', '(9+i)'] -> ((8+8i) * ((2-i) - ((4+5i) / (9+i))))
[313354] ['(2-i)', '(4+5i)', '(9-9i)', '(9+5i)'] -> (((2-i) + (4+5i)) + ((9-9i) + (9+5i)))
[313358] ['(2-i)', '(4+5i)', '(9-8i)', '(9+4i)'] -> (((2-i) + (4+5i)) + ((9-8i) + (9+4i)))
[313363] ['(2-i)', '(4+5i)', '(9-7i)', '(9+3i)'] -> (((2-i) + (4+5i)) + ((9-7i) + (9+3i)))
[313365] ['(2-i)', '(4+5i)', '(9-6i)', '(9+2i)'] -> (((2-i) + (4+5i)) + ((9-6i) + (9+2i)))
[313368] ['(2-i)', '(4+5i)', '(9-5i)', '(9+i)'] -> (((2-i) + (4+5i)) + ((9-5i) + (9+i)))
[313371] ['(2-i)', '(4+5i)', '(9-4i)', '9'] -> (((2-i) + (4+5i)) + ((9-4i) + 9))
[313374] ['(2-i)', '(4+5i)', '(9-3i)', '(9-i)'] -> (6 * (7 + ((1-6i) - (4-6i))))
[313376] ['(2-i)', '(4+5i)', '(9-2i)', '(9-2i)'] -> (((2-i) + (4+5i)) + ((9-2i) + (9-2i)))
[313384] ['(2-i)', '(4+5i)', '(9+i)', '(9+2i)'] -> (((2-i) * ((4+5i) + (9+2i))) - (9+i))
[313386] ['(2-i)', '(4+5i)', '(9+i)', '(9+5i)'] -> (((2-i) * (9+5i)) + ((9+i) / (4+5i)))
[313388] ['(2-i)', '(4+5i)', '(9+2i)', '(9+2i)'] -> (((1-8i) + (1+8i)) * ((6-5i) + (6+5i)))
[313397] ['(2-i)', '(4+6i)', '(4+6i)', '(6+2i)'] -> (((2-i) * ((4+6i) + (6+2i))) - (4+6i))
[313404] ['(2-i)', '(4+6i)', '(4+7i)', '(6+i)'] -> (((2-i) * ((4+7i) + (6+i))) - (4+6i))
[313405] ['(2-i)', '(4+6i)', '(4+7i)', '(6+4i)'] -> (((2-i) + (4+7i)) * ((6+4i) - (4+6i)))
[313406] ['(2-i)', '(4+6i)', '(4+7i)', '(6+6i)'] -> ((6+6i) * (((2-i) + (4+6i)) - (4+7i)))
[313415] ['(2-i)', '(4+6i)', '(4+7i)', '(9-2i)'] -> (((2-i) * (9-2i)) + ((4+6i) + (4+7i)))
[313422] ['(2-i)', '(4+6i)', '(4+8i)', '6'] -> (((2-i) * ((4+8i) + 6)) - (4+6i))
[313426] ['(2-i)', '(4+6i)', '(4+9i)', '(6-6i)'] -> ((6-6i) * ((4+9i) + ((2-i) - (4+6i))))
[313427] ['(2-i)', '(4+6i)', '(4+9i)', '(6-i)'] -> (((2-i) * ((4+9i) + (6-i))) - (4+6i))
[313433] ['(2-i)', '(4+6i)', '(4+9i)', '(9+6i)'] -> (((2-i) * (9+6i)) + ((4+6i) - (4+9i)))
[313434] ['(2-i)', '(4+6i)', '(5-9i)', '(5+i)'] -> (((2-i) * (4+6i)) + ((5-9i) + (5+i)))
[313442] ['(2-i)', '(4+6i)', '(5-8i)', '5'] -> (((2-i) * (4+6i)) + ((5-8i) + 5))
[313449] ['(2-i)', '(4+6i)', '(5-7i)', '(5-i)'] -> (((2-i) * (4+6i)) + ((5-7i) + (5-i)))
[313456] ['(2-i)', '(4+6i)', '(5-7i)', '(9-3i)'] -> (((2-i) * ((4+6i) + (9-3i))) - (5-7i))
[313460] ['(2-i)', '(4+6i)', '(5-6i)', '(5-2i)'] -> (((1-6i) - (9-6i)) * ((4-6i) - (7-6i)))
[313468] ['(2-i)', '(4+6i)', '(5-6i)', '(6+3i)'] -> (((2-i) * (6+3i)) + ((4+6i) + (5-6i)))
[313469] ['(2-i)', '(4+6i)', '(5-6i)', '(6+9i)'] -> ((6+9i) + ((2-i) * ((4+6i) + (5-6i))))
[313479] ['(2-i)', '(4+6i)', '(5-5i)', '(5-3i)'] -> (((7+6i) * ((5-5i) - (2-3i))) - (9+4i))
[313482] ['(2-i)', '(4+6i)', '(5-5i)', '(5+7i)'] -> ((5+7i) + ((2-i) * ((4+6i) + (5-5i))))
[313488] ['(2-i)', '(4+6i)', '(5-5i)', '(7+9i)'] -> (((2-i) * (7+9i)) - ((4+6i) - (5-5i)))
[313490] ['(2-i)', '(4+6i)', '(5-4i)', '(5-4i)'] -> (((2-i) * (4+6i)) + ((5-4i) + (5-4i)))
[313492] ['(2-i)', '(4+6i)', '(5-4i)', '(6+6i)'] -> (((4+6i) * ((5-4i) - (2-i))) - (6+6i))
[313504] ['(2-i)', '(4+6i)', '(5-2i)', '(6+4i)'] -> (-4i * ((3+3i) - (-6i / (1-i))))
[313513] ['(2-i)', '(4+6i)', '(5-2i)', '(8-i)'] -> (((2-i) * ((4+6i) + (8-i))) - (5-2i))
[313518] ['(2-i)', '(4+6i)', '(5-i)', '(5+9i)'] -> (((2-i) * ((5-i) + (5+9i))) - (4+6i))
[313521] ['(2-i)', '(4+6i)', '(5-i)', '(7+i)'] -> (((2-i) * (7+i)) + ((4+6i) + (5-i)))
[313522] ['(2-i)', '(4+6i)', '(5-i)', '(7+3i)'] -> (((5-i) * (7+3i)) - ((2-i) * (4+6i)))
[313525] ['(2-i)', '(4+6i)', '5', '(5+8i)'] -> (((2-i) * (5 + (5+8i))) - (4+6i))
[313527] ['(2-i)', '(4+6i)', '5', '(6+i)'] -> ((5 * (6+i)) - ((2-i) + (4+6i)))
[313532] ['(2-i)', '(4+6i)', '5', '(8+7i)'] -> (((2-i) * (8+7i)) - ((4+6i) - 5))
[313534] ['(2-i)', '(4+6i)', '5', '(9-i)'] -> (((9-i) * (5 - (2-i))) - (4+6i))
[313537] ['(2-i)', '(4+6i)', '(5+i)', '(5+7i)'] -> (((2-i) * ((5+i) + (5+7i))) - (4+6i))
[313544] ['(2-i)', '(4+6i)', '(5+i)', '8'] -> (8 * ((2-i) + ((4+6i) / (5+i))))
[313547] ['(2-i)', '(4+6i)', '(5+i)', '(9-3i)'] -> (((1+i) - (1+i)) - (-6i * -4i))
[313549] ['(2-i)', '(4+6i)', '(5+2i)', '(5+6i)'] -> (((2-i) * ((5+2i) + (5+6i))) - (4+6i))
[313558] ['(2-i)', '(4+6i)', '(5+2i)', '(8-5i)'] -> (((2-i) * (5+2i)) + ((4+6i) + (8-5i)))
[313566] ['(2-i)', '(4+6i)', '(5+3i)', '(5+5i)'] -> (((2-i) * ((5+3i) + (5+5i))) - (4+6i))
[313569] ['(2-i)', '(4+6i)', '(5+3i)', '(7-7i)'] -> (((2-i) * (5+3i)) + ((4+6i) + (7-7i)))
[313571] ['(2-i)', '(4+6i)', '(5+3i)', '(7+i)'] -> (((2-i) * ((4+6i) + (7+i))) - (5+3i))
[313576] ['(2-i)', '(4+6i)', '(5+4i)', '(5+4i)'] -> (((2-i) * ((5+4i) + (5+4i))) - (4+6i))
[313577] ['(2-i)', '(4+6i)', '(5+4i)', '(6-9i)'] -> (((1+2i) - (1+2i)) - (-6i * -4i))
[313578] ['(2-i)', '(4+6i)', '(5+4i)', '(6-8i)'] -> (((6-8i) / ((2-i) / (5+4i))) - (4+6i))
[313579] ['(2-i)', '(4+6i)', '(5+4i)', '(6-3i)'] -> (((5+4i) * ((6-3i) - (2-i))) - (4+6i))
[313582] ['(2-i)', '(4+6i)', '(5+4i)', '(8-i)'] -> (((2-i) * (8-i)) + ((4+6i) + (5+4i)))
[313590] ['(2-i)', '(4+6i)', '(5+5i)', '(9+5i)'] -> (((2-i) * (9+5i)) - ((4+6i) - (5+5i)))
[313605] ['(2-i)', '(4+6i)', '(5+7i)', '8'] -> (8 * ((5+7i) + ((2-i) - (4+6i))))
[313610] ['(2-i)', '(4+6i)', '(5+8i)', '(6+3i)'] -> (((2-i) * ((4+6i) + (6+3i))) - (5+8i))
[313623] ['(2-i)', '(4+6i)', '(5+9i)', '(9-7i)'] -> (((2-i) * (5+9i)) - ((4+6i) - (9-7i)))
[313625] ['(2-i)', '(4+6i)', '(5+9i)', '(9-3i)'] -> (((2-i) * (9-3i)) + ((4+6i) + (5+9i)))
[313661] ['(2-i)', '(4+6i)', '(6-6i)', '(8+6i)'] -> ((6-6i) * ((4+6i) - ((8+6i) / (2-i))))
[313662] ['(2-i)', '(4+6i)', '(6-6i)', '(8+7i)'] -> ((6-6i) * ((8+7i) - ((2-i) + (4+6i))))
[313664] ['(2-i)', '(4+6i)', '(6-5i)', '(9-2i)'] -> (((2-i) * ((4+6i) + (9-2i))) - (6-5i))
[313671] ['(2-i)', '(4+6i)', '(6-4i)', '(6+2i)'] -> (((2-i) * (6+2i)) + ((4+6i) + (6-4i)))
[313681] ['(2-i)', '(4+6i)', '(6-3i)', '(6+8i)'] -> ((6-3i) * ((4+6i) - ((6+8i) / (2-i))))
[313685] ['(2-i)', '(4+6i)', '(6-3i)', '(7+8i)'] -> (((2-i) * (7+8i)) - ((4+6i) - (6-3i)))
[313697] ['(2-i)', '(4+6i)', '(6-i)', '(9+2i)'] -> (((2-i) * (6-i)) + ((4+6i) + (9+2i)))
[313699] ['(2-i)', '(4+6i)', '6', '(6+6i)'] -> ((6 - (4+6i)) / ((2-i) / (6+6i)))
[313700] ['(2-i)', '(4+6i)', '6', '(6+7i)'] -> (6 * ((6+7i) + ((2-i) - (4+6i))))
[313713] ['(2-i)', '(4+6i)', '6', '9'] -> (9 * ((2-i) + ((4+6i) / 6)))
[313717] ['(2-i)', '(4+6i)', '(6+i)', '(7-2i)'] -> ((2+2i) * ((7-7i) + ((1-8i) - (2-9i))))
[313719] ['(2-i)', '(4+6i)', '(6+i)', '7'] -> (((2-i) * 7) + ((4+6i) + (6+i)))
[313720] ['(2-i)', '(4+6i)', '(6+i)', '(7+6i)'] -> (((2-i) + (6+i)) * ((7+6i) - (4+6i)))
[313731] ['(2-i)', '(4+6i)', '(6+2i)', '(8+6i)'] -> (((2-i) * (8+6i)) - ((4+6i) - (6+2i)))
[313744] ['(2-i)', '(4+6i)', '(6+5i)', '(7+2i)'] -> (((2-i) * ((4+6i) + (7+2i))) - (6+5i))
[313754] ['(2-i)', '(4+6i)', '(6+6i)', '(8-2i)'] -> ((-6i - (4+2i)) - (-4i * (2-7i)))
[313756] ['(2-i)', '(4+6i)', '(6+6i)', '(8+3i)'] -> ((6+6i) * ((8+3i) - ((2-i) + (4+6i))))
[313766] ['(2-i)', '(4+6i)', '(6+7i)', '(9-2i)'] -> (((2-i) * (6+7i)) - ((4+6i) - (9-2i)))
[313767] ['(2-i)', '(4+6i)', '(6+7i)', '(9+4i)'] -> (((2-i) * (9+4i)) - ((4+6i) - (6+7i)))
[313772] ['(2-i)', '(4+6i)', '(6+8i)', '(8-4i)'] -> (((2-i) * (6+8i)) - ((4+6i) - (8-4i)))
[313777] ['(2-i)', '(4+6i)', '(6+9i)', '(7-6i)'] -> (((2-i) * (6+9i)) - ((4+6i) - (7-6i)))
[313837] ['(2-i)', '(4+6i)', '(7-3i)', '(9-i)'] -> (((2-i) * ((4+6i) + (9-i))) - (7-3i))
[313839] ['(2-i)', '(4+6i)', '(7-3i)', '(9+7i)'] -> (((2-i) * (7-3i)) + ((4+6i) + (9+7i)))
[313843] ['(2-i)', '(4+6i)', '(7-2i)', '(8+5i)'] -> (((2-i) * (7-2i)) + ((4+6i) + (8+5i)))
[313846] ['(2-i)', '(4+6i)', '(7-i)', '(7+3i)'] -> (((2-i) * (7-i)) + ((4+6i) + (7+3i)))
[313849] ['(2-i)', '(4+6i)', '(7-i)', '(7+7i)'] -> (((2-i) * (7+7i)) - ((4+6i) - (7-i)))
[313855] ['(2-i)', '(4+6i)', '(7-i)', '(9-i)'] -> (((9-i) / ((2-i) / (7-i))) - (4+6i))
[313885] ['(2-i)', '(4+6i)', '(7+2i)', '(8+i)'] -> (((2-i) * ((4+6i) + (8+i))) - (7+2i))
[313895] ['(2-i)', '(4+6i)', '(7+3i)', '(7+7i)'] -> (((2-i) * ((4+6i) + (7+3i))) - (7+7i))
[313909] ['(2-i)', '(4+6i)', '(7+4i)', '(8+5i)'] -> (((2-i) * (8+5i)) - ((4+6i) - (7+4i)))
[313910] ['(2-i)', '(4+6i)', '(7+4i)', '(8+9i)'] -> (((2-i) * ((4+6i) + (7+4i))) - (8+9i))
[313915] ['(2-i)', '(4+6i)', '(7+5i)', '(9+3i)'] -> (((2-i) * (7+5i)) - ((4+6i) - (9+3i)))
[313920] ['(2-i)', '(4+6i)', '(7+6i)', '(8+i)'] -> (((2-i) * (7+6i)) - ((4+6i) - (8+i)))
[313931] ['(2-i)', '(4+6i)', '(7+8i)', '(8-3i)'] -> (((2-i) * (8-3i)) + ((4+6i) + (7+8i)))
[313943] ['(2-i)', '(4+6i)', '(7+9i)', '(9+3i)'] -> (((2-i) * (9+3i)) - ((4+6i) - (7+9i)))
[313975] ['(2-i)', '(4+6i)', '(8-4i)', '(8+8i)'] -> ((8-4i) * ((4+6i) - ((8+8i) / (2-i))))
[313995] ['(2-i)', '(4+6i)', '(8-i)', '9'] -> (((2-i) * ((4+6i) + 9)) - (8-i))
[314003] ['(2-i)', '(4+6i)', '8', '(9+5i)'] -> (-3i * (((1+5i) * 2) - (2+2i)))
[314014] ['(2-i)', '(4+6i)', '(8+2i)', '(8+4i)'] -> (((2-i) * ((4+6i) + (8+2i))) - (8+4i))
[314019] ['(2-i)', '(4+6i)', '(8+2i)', '(9+3i)'] -> (((8+2i) - (4+6i)) / ((2-i) / (9+3i)))
[314025] ['(2-i)', '(4+6i)', '(8+3i)', '(9+6i)'] -> (((2-i) * ((4+6i) + (8+3i))) - (9+6i))
[314027] ['(2-i)', '(4+6i)', '(8+3i)', '(9+8i)'] -> ((-3i * (1+5i)) + (2 + (7+3i)))
[314030] ['(2-i)', '(4+6i)', '(8+4i)', '(8+6i)'] -> (((2-i) * (8+4i)) - ((4+6i) - (8+6i)))
[314059] ['(2-i)', '(4+6i)', '(9-9i)', '(9+4i)'] -> (((2-i) + (4+6i)) + ((9-9i) + (9+4i)))
[314061] ['(2-i)', '(4+6i)', '(9-8i)', '(9+3i)'] -> (((2-i) + (4+6i)) + ((9-8i) + (9+3i)))
[314065] ['(2-i)', '(4+6i)', '(9-7i)', '(9+2i)'] -> (((2-i) + (4+6i)) + ((9-7i) + (9+2i)))
[314070] ['(2-i)', '(4+6i)', '(9-6i)', '(9+i)'] -> (((2-i) + (4+6i)) + ((9-6i) + (9+i)))
[314073] ['(2-i)', '(4+6i)', '(9-5i)', '9'] -> (((2-i) + (4+6i)) + ((9-5i) + 9))
[314075] ['(2-i)', '(4+6i)', '(9-4i)', '(9-i)'] -> ((2+2i) * ((5-8i) + (-3i + (1+5i))))
[314077] ['(2-i)', '(4+6i)', '(9-3i)', '(9-2i)'] -> (((2-i) + (4+6i)) + ((9-3i) + (9-2i)))
[314084] ['(2-i)', '(4+6i)', '(9+i)', '(9+i)'] -> (((2-i) * ((4+6i) + (9+i))) - (9+i))
[314100] ['(2-i)', '(4+7i)', '(4+7i)', '(6+5i)'] -> (((2+3i) * (-3i + (5-2i))) - (1+5i))
[314118] ['(2-i)', '(4+7i)', '(4+8i)', '5'] -> ((4+8i) * ((2-i) - ((4+7i) / 5)))
[314133] ['(2-i)', '(4+7i)', '(4+9i)', '(6+7i)'] -> (((2-i) + (4+7i)) * ((6+7i) - (4+9i)))
[314180] ['(2-i)', '(4+7i)', '(5-7i)', '(6+3i)'] -> (((2-3i) + (5-4i)) + ((8+3i) + (9+4i)))
[314182] ['(2-i)', '(4+7i)', '(5-7i)', '(6+9i)'] -> ((6+9i) + ((2-i) * ((4+7i) + (5-7i))))
[314183] ['(2-i)', '(4+7i)', '(5-7i)', '(7-9i)'] -> (((2-i) + (4+7i)) * ((7-9i) - (5-7i)))
[314195] ['(2-i)', '(4+7i)', '(5-7i)', '(9-4i)'] -> (((2-i) * ((4+7i) + (9-4i))) - (5-7i))
[314199] ['(2-i)', '(4+7i)', '(5-6i)', '(5+7i)'] -> ((5+7i) + ((2-i) * ((4+7i) + (5-6i))))
[314206] ['(2-i)', '(4+7i)', '(5-6i)', '(6+5i)'] -> ((6-6i) * ((7+6i) + ((2-7i) - (7-3i))))
[314208] ['(2-i)', '(4+7i)', '(5-6i)', '(7-8i)'] -> (((2-i) + (4+7i)) * ((7-8i) - (5-6i)))
[314222] ['(2-i)', '(4+7i)', '(5-5i)', '(7-7i)'] -> (((2-i) + (4+7i)) * ((7-7i) - (5-5i)))
[314233] ['(2-i)', '(4+7i)', '(5-4i)', '(7-6i)'] -> (8 * ((7+i) + ((2-7i) - (6-6i))))
[314236] ['(2-i)', '(4+7i)', '(5-4i)', '(7+9i)'] -> (((1-8i) + (3+8i)) * ((2-9i) + (4+9i)))
[314238] ['(2-i)', '(4+7i)', '(5-4i)', '(8+3i)'] -> ((((5-4i) * (8+3i)) - (4+7i)) / (2-i))
[314240] ['(2-i)', '(4+7i)', '(5-4i)', '(9+9i)'] -> (((4+7i) * ((5-4i) - (2-i))) - (9+9i))
[314244] ['(2-i)', '(4+7i)', '(5-3i)', '(7-5i)'] -> (((6-3i) * (8+8i)) / ((4-5i) - (1-6i)))
[314255] ['(2-i)', '(4+7i)', '(5-2i)', '(7-4i)'] -> (((2-i) + (4+7i)) * ((7-4i) - (5-2i)))
[314256] ['(2-i)', '(4+7i)', '(5-2i)', '(7+i)'] -> (((2-i) * (7+i)) + ((4+7i) + (5-2i)))
[314258] ['(2-i)', '(4+7i)', '(5-2i)', '(8-2i)'] -> (((2-i) * ((4+7i) + (8-2i))) - (5-2i))
[314272] ['(2-i)', '(4+7i)', '(5-i)', '(7-3i)'] -> (((2-i) + (4+7i)) * ((7-3i) - (5-i)))
[314284] ['(2-i)', '(4+7i)', '5', '(7-2i)'] -> (((2-i) + (4+7i)) * ((7-2i) - 5))
[314299] ['(2-i)', '(4+7i)', '(5+i)', '6'] -> (((5+i) * 6) - ((2-i) + (4+7i)))
[314303] ['(2-i)', '(4+7i)', '(5+i)', '(7-i)'] -> (((2-i) + (4+7i)) * ((7-i) - (5+i)))
[314312] ['(2-i)', '(4+7i)', '(5+i)', '(8+7i)'] -> (((2-i) * (8+7i)) - ((4+7i) - (5+i)))
[314314] ['(2-i)', '(4+7i)', '(5+i)', '(9-4i)'] -> (((2-i) * (5+i)) + ((4+7i) + (9-4i)))
[314326] ['(2-i)', '(4+7i)', '(5+2i)', '7'] -> (((2-i) + (4+7i)) * (7 - (5+2i)))
