[1] ['1/9', '1/9', '1/6', '3'] -> ((1/9 / 1/9) + 3) / 1/6
[811] ['2/7', '1/2', '9/4', '7'] -> ((1/2 + 7) / 2/7) - 9/4
[812] ['2/7', '1/2', '9/4', '8'] -> ((8 - 1/2) / 2/7) - 9/4
[813] ['2/7', '1/2', '7/3', '4'] -> 4 / ((2/7 * 7/3) - 1/2)
[814] ['2/7', '1/2', '7/3', '5'] -> ((5 / 1/2) + 2/7) * 7/3
[815] ['2/7', '5/9', '2/3', '4'] -> ((4 / 2/7) - 2/3) / 5/9
[816] ['2/7', '5/9', '7/9', '8'] -> 8 / (5/9 - (2/7 * 7/9))
[817] ['1/9', '5/9', '7/2', '4'] -> 4 / (5/9 - (1/9 * 7/2))
[818] ['2/7', '4/9', '8/3', '8'] -> (4/9 + 8/3) * (8 - 2/7)
[819] ['2/7', '1/2', '4/7', '8'] -> (8 - (4/7 / 1/2)) / 2/7
[820] ['2/7', '1/2', '5/7', '6'] -> ((5/7 + 6) / 2/7) + 1/2
[821] ['2/7', '1/2', '5/7', '8'] -> ((5/7 / 2/7) + 1/2) * 8
[822] ['2/7', '4/9', '8/9', '7'] -> (7 / 2/7) - (4/9 / 8/9)
[823] ['2/7', '4/9', '8/9', '9'] -> ((8/9 / 2/7) - 4/9) * 9
[824] ['2/7', '4/9', '9/8', '7'] -> (7 / 2/7) - (4/9 * 9/8)
[825] ['2/7', '4/9', '6/5', '4'] -> (4 / (4/9 - 2/7)) - 6/5
[826] ['2/7', '1/2', '3/4', '5'] -> ((5 / 2/7) + 1/2) / 3/4
[827] ['2/7', '1/2', '3/4', '9'] -> ((9 / 2/7) + 1/2) * 3/4
[828] ['2/7', '1/2', '6/7', '2'] -> 6/7 / (2/7 - (1/2 / 2))
[829] ['2/7', '1/2', '6/7', '3'] -> ((3 / 1/2) + 6/7) / 2/7
[830] ['2/7', '1/2', '6/7', '9'] -> ((6/7 / 2/7) + 9) / 1/2
[831] ['2/7', '1/2', '7/8', '6'] -> 6 / (1/2 - (2/7 * 7/8))
[832] ['2/7', '1/2', '8/7', '6'] -> 6 / (1/2 - (2/7 / 8/7))
[833] ['2/7', '1/2', '5/4', '6'] -> ((1/2 + 6) / 2/7) + 5/4
[834] ['2/7', '1/2', '5/4', '8'] -> ((1/2 / 2/7) + 5/4) * 8
[835] ['2/7', '1/2', '9/7', '6'] -> ((9/7 / 2/7) - 1/2) * 6
[836] ['2/7', '1/2', '4/3', '5'] -> ((5 / 2/7) + 1/2) * 4/3
[837] ['2/7', '1/2', '4/3', '9'] -> ((9 / 2/7) + 1/2) / 4/3
[838] ['2/7', '1/2', '3/2', '3'] -> ((3 / 2/7) + 3/2) / 1/2
[839] ['2/7', '1/2', '5/3', '2'] -> 2 / ((1/2 / 2/7) - 5/3)
[840] ['2/7', '4/7', '7/6', '4'] -> 4/7 / (7/6 - (2/7 * 4))
[841] ['2/7', '4/7', '6/5', '8'] -> 8 / (4/7 - (2/7 / 6/5))
[842] ['2/7', '4/7', '3/2', '6'] -> ((3/2 * 4/7) + 6) / 2/7
[843] ['2/7', '4/7', '5/3', '8'] -> 8 / ((4/7 / 2/7) - 5/3)
[844] ['2/7', '4/7', '7/4', '3'] -> 2/7 / ((7/4 / 3) - 4/7)
[845] ['2/7', '4/7', '7/4', '6'] -> 6 / ((4/7 / 2/7) - 7/4)
[846] ['2/7', '4/7', '9/4', '6'] -> 6 / (9/4 - (4/7 / 2/7))
[847] ['2/7', '4/7', '7/3', '4'] -> 2/7 / ((7/3 / 4) - 4/7)
[848] ['2/7', '4/7', '7/3', '6'] -> ((6 * 7/3) - 2/7) / 4/7
[849] ['2/7', '4/7', '7/3', '8'] -> 8 / (7/3 - (4/7 / 2/7))
[850] ['2/7', '4/7', '5/2', '7'] -> ((4/7 + 7) / 2/7) - 5/2
[851] ['2/7', '4/7', '5/2', '8'] -> ((2/7 / 4/7) + 5/2) * 8
[852] ['2/7', '4/7', '8/3', '7'] -> ((4/7 / 2/7) + 7) * 8/3
[853] ['2/7', '4/7', '7/2', '4'] -> ((4 * 7/2) - 2/7) / 4/7
[854] ['2/7', '4/7', '7/2', '7'] -> (7 * 7/2) - (2/7 / 4/7)
[855] ['2/7', '4/7', '9/2', '5'] -> ((4/7 + 5) / 2/7) + 9/2
[856] ['2/7', '4/7', '9/2', '6'] -> (9/2 - (2/7 / 4/7)) * 6
[857] ['2/7', '4/7', '5/8', '1'] -> (1 + 2/7) / (5/8 - 4/7)
[858] ['2/7', '4/7', '5/8', '3'] -> 3 / (5/8 - (2/7 / 4/7))
[859] ['2/7', '4/7', '2/3', '2'] -> (2 + 2/7) / (2/3 - 4/7)
[860] ['2/7', '4/7', '2/3', '6'] -> ((4/7 / 2/3) + 6) / 2/7
[861] ['2/7', '4/7', '2/3', '9'] -> ((4/7 / 2/7) + 2/3) * 9
[862] ['2/7', '4/7', '3/4', '4'] -> (2/7 + 4) / (3/4 - 4/7)
[863] ['2/7', '4/7', '3/4', '6'] -> 6 / (3/4 - (2/7 / 4/7))
[864] ['2/7', '4/7', '5/6', '3'] -> 4/7 / ((2/7 * 3) - 5/6)
[865] ['2/7', '4/7', '5/6', '6'] -> (2/7 + 6) / (5/6 - 4/7)
[866] ['2/7', '4/7', '6/7', '6'] -> (6 + 6/7) / (4/7 - 2/7)
[867] ['2/7', '4/7', '7/8', '8'] -> ((8 / 2/7) - 4/7) * 7/8
[868] ['2/7', '4/7', '7/8', '9'] -> 9 / (7/8 - (2/7 / 4/7))
[869] ['2/7', '4/7', '8/9', '6'] -> 6 / (4/7 - (2/7 / 8/9))
[870] ['2/7', '4/7', '9/8', '6'] -> 6 / (4/7 - (2/7 * 9/8))
[871] ['2/7', '4/7', '7/6', '2'] -> 2/7 / ((7/6 / 2) - 4/7)
[872] ['2/7', '5/9', '9/7', '8'] -> 8 / (5/9 - (2/7 / 9/7))
[873] ['2/7', '5/9', '4/3', '2'] -> 4/3 / (2 - (5/9 / 2/7))
[874] ['2/7', '5/9', '5/3', '6'] -> (5/3 / 5/9) + (6 / 2/7)
[875] ['2/7', '5/9', '8/3', '4'] -> ((8/3 / 2/7) + 4) / 5/9
[876] ['2/7', '3/5', '5/6', '7'] -> (7 / 2/7) - (3/5 * 5/6)
[877] ['2/7', '3/5', '6/5', '5'] -> ((6/5 / 2/7) + 3/5) * 5
[878] ['2/7', '3/5', '6/5', '7'] -> (7 / 2/7) - (3/5 / 6/5)
[879] ['2/7', '3/5', '9/7', '9'] -> (9 - (9/7 / 3/5)) / 2/7
[880] ['2/7', '3/5', '9/5', '6'] -> (6 / 2/7) + (9/5 / 3/5)
[881] ['2/7', '3/5', '7/3', '6'] -> ((6 / 3/5) + 2/7) * 7/3
[882] ['2/7', '3/5', '9/2', '9'] -> (9 / 2/7) - (9/2 / 3/5)
[883] ['1/9', '4/7', '7/9', '8'] -> 8 / ((4/7 * 7/9) - 1/9)
[884] ['2/7', '5/8', '5/7', '8'] -> (8 - (5/7 / 5/8)) / 2/7
[885] ['2/7', '5/8', '4/5', '7'] -> (7 / 2/7) - (4/5 * 5/8)
[886] ['2/7', '5/8', '6/7', '6'] -> 6 / ((5/8 * 6/7) - 2/7)
[887] ['2/7', '5/8', '6/7', '7'] -> 7 / (5/8 - (2/7 / 6/7))
[888] ['2/7', '5/8', '7/8', '9'] -> 9 / (5/8 - (2/7 * 7/8))
[889] ['2/7', '5/8', '1', '7/3'] -> 1 / ((2/7 * 7/3) - 5/8)
[890] ['1/9', '4/7', '5/6', '2'] -> ((2 / 4/7) - 5/6) / 1/9
[891] ['2/7', '2/3', '7/2', '8'] -> 8 / ((2/7 * 7/2) - 2/3)
[892] ['2/7', '2/3', '9/2', '6'] -> (2/3 * 9/2) + (6 / 2/7)
[893] ['2/7', '2/3', '9/2', '9'] -> ((9 / 2/7) + 9/2) * 2/3
[894] ['2/7', '5/7', '3/4', '8'] -> 8 / (5/7 - (2/7 / 3/4))
[895] ['2/7', '5/7', '5/6', '6'] -> ((5/7 / 5/6) + 6) / 2/7
[896] ['2/7', '5/7', '8/7', '3'] -> 8/7 / (2/7 - (5/7 / 3))
[897] ['2/7', '5/7', '8/7', '8'] -> ((5/7 * 8) + 8/7) / 2/7
[898] ['2/7', '5/7', '6/5', '6'] -> ((5/7 * 6/5) + 6) / 2/7
[899] ['2/7', '5/7', '9/7', '9'] -> (9 + 9/7) / (5/7 - 2/7)
[900] ['2/7', '5/7', '4/3', '6'] -> 6 / ((5/7 / 4/3) - 2/7)
[901] ['2/7', '5/8', '8/7', '5'] -> ((5 / 5/8) - 8/7) / 2/7
[902] ['2/7', '5/8', '8/7', '7'] -> (7 + 8/7) / (5/8 - 2/7)
[903] ['2/7', '5/8', '8/7', '9'] -> 9 / (5/8 - (2/7 / 8/7))
[904] ['2/7', '5/8', '7/6', '6'] -> 6 / ((5/8 / 7/6) - 2/7)
[905] ['2/7', '5/8', '7/6', '7'] -> 7 / (5/8 - (2/7 * 7/6))
[906] ['2/7', '5/8', '5/4', '7'] -> (7 / 2/7) - (5/8 / 5/4)
[907] ['2/7', '5/8', '9/7', '2'] -> 9/7 / (5/8 - (2 * 2/7))
[908] ['2/7', '5/8', '7/4', '3'] -> 3 / (5/8 - (2/7 * 7/4))
[909] ['2/7', '5/8', '2', '9/2'] -> 9/2 / ((5/8 / 2/7) - 2)
[910] ['1/9', '4/7', '6/7', '6'] -> ((6/7 / 1/9) + 6) / 4/7
[911] ['2/7', '5/8', '5/2', '5'] -> ((5 / 2/7) - 5/2) / 5/8
[912] ['2/7', '5/8', '5/2', '8'] -> (8 / 2/7) - (5/2 / 5/8)
[913] ['2/7', '5/8', '3', '9/2'] -> ((3 / 2/7) + 9/2) / 5/8
[914] ['2/7', '5/8', '7/2', '9'] -> 9 / ((2/7 * 7/2) - 5/8)
[915] ['2/7', '2/3', '2/3', '6'] -> ((2/3 + 6) / 2/7) + 2/3
[916] ['2/7', '2/3', '2/3', '8'] -> ((2/3 / 2/7) + 2/3) * 8
[917] ['1/9', '4/7', '8/7', '9'] -> 8/7 / (1/9 - (4/7 / 9))
[918] ['2/7', '2/3', '6/7', '4'] -> ((4 / 2/3) + 6/7) / 2/7
[919] ['2/7', '2/3', '6/7', '8'] -> 8 / (2/3 - (2/7 / 6/7))
[920] ['2/7', '2/3', '6/7', '9'] -> ((2/3 * 9) + 6/7) / 2/7
[921] ['2/7', '2/3', '8/7', '2'] -> 8/7 / ((2/3 / 2) - 2/7)
[922] ['2/7', '2/3', '7/6', '8'] -> 8 / (2/3 - (2/7 * 7/6))
[923] ['2/7', '2/3', '4/3', '6'] -> ((4/3 / 2/7) - 2/3) * 6
[924] ['1/9', '4/7', '7/6', '2'] -> ((4/7 * 7/6) + 2) / 1/9
[925] ['2/7', '2/3', '4/3', '7'] -> (7 / 2/7) - (2/3 / 4/3)
[926] ['2/7', '2/3', '3/2', '5'] -> ((5 / 2/7) - 3/2) / 2/3
[927] ['2/7', '2/3', '5/3', '5'] -> ((5 + 5/3) / 2/7) + 2/3
[928] ['2/7', '2/3', '5/3', '6'] -> ((2/3 / 2/7) + 5/3) * 6
[929] ['2/7', '2/3', '5/3', '8'] -> ((8 - 2/3) / 2/7) - 5/3
[930] ['2/7', '2/3', '7/4', '4'] -> 4 / (2/3 - (2/7 * 7/4))
[931] ['2/7', '2/3', '9/5', '4'] -> ((4 / 2/7) - 2/3) * 9/5
[932] ['2/7', '2/3', '2', '9/4'] -> 2 / ((2/3 / 2/7) - 9/4)
[933] ['2/7', '2/3', '5/2', '4'] -> 4 / (5/2 - (2/3 / 2/7))
[934] ['2/7', '2/3', '8/3', '4'] -> ((4 + 8/3) / 2/7) + 2/3
[935] ['2/7', '2/3', '3', '9/2'] -> ((2/3 / 2/7) + 3) * 9/2
[936] ['2/7', '5/7', '3/2', '6'] -> ((5/7 / 2/7) + 3/2) * 6
[937] ['2/7', '5/7', '3/2', '8'] -> ((8 - 5/7) / 2/7) - 3/2
[938] ['2/7', '5/7', '9/4', '6'] -> 6 / ((5/7 / 2/7) - 9/4)
[939] ['1/9', '4/7', '9/7', '8'] -> 8 / ((4/7 / 9/7) - 1/9)
[940] ['2/7', '5/7', '9/4', '8'] -> ((5/7 + 9/4) * 8) + 2/7
[941] ['2/7', '5/7', '7/3', '4'] -> 4 / ((5/7 / 2/7) - 7/3)
[942] ['2/7', '5/7', '5/2', '9'] -> ((5/7 + 9) * 5/2) - 2/7
[943] ['2/7', '5/7', '8/3', '4'] -> 4 / (8/3 - (5/7 / 2/7))
[944] ['2/7', '5/7', '7/2', '4'] -> ((5/7 / 2/7) + 7/2) * 4
[945] ['2/7', '3/4', '6/7', '3'] -> 6/7 / (2/7 - (3/4 / 3))
[946] ['2/7', '3/4', '7/8', '6'] -> ((3/4 / 7/8) + 6) / 2/7
[947] ['2/7', '3/4', '1', '8/3'] -> 1 / (8/3 - (3/4 / 2/7))
[948] ['1/9', '4/7', '4/3', '5'] -> (5 - (4/3 / 4/7)) / 1/9
[949] ['2/7', '3/4', '7/5', '6'] -> 6 / ((3/4 / 7/5) - 2/7)
[950] ['2/7', '3/4', '3/2', '4'] -> ((3/2 / 2/7) + 3/4) * 4
[951] ['2/7', '3/4', '3/2', '7'] -> (7 / 2/7) - (3/4 / 3/2)
[952] ['2/7', '3/4', '7/4', '6'] -> 6 / (3/4 - (2/7 * 7/4))
[953] ['2/7', '3/4', '2', '7/3'] -> 2 / (3/4 - (2/7 * 7/3))
[954] ['2/7', '3/4', '9/4', '9'] -> 9 / ((3/4 / 2/7) - 9/4)
[955] ['2/7', '3/4', '7/3', '7'] -> 7 / ((3/4 / 2/7) - 7/3)
[956] ['1/9', '4/7', '4/3', '7'] -> ((4/7 * 7) - 4/3) / 1/9
[957] ['2/7', '3/4', '7/2', '6'] -> 6 / ((2/7 * 7/2) - 3/4)
[958] ['2/7', '7/9', '6/7', '6'] -> ((6 / 7/9) - 6/7) / 2/7
[959] ['2/7', '7/9', '8/9', '8'] -> (8 - (8/9 / 7/9)) / 2/7
[960] ['2/7', '7/9', '7/6', '5'] -> ((5 / 2/7) + 7/6) / 7/9
[961] ['2/7', '7/9', '5/3', '9'] -> (9 - (5/3 / 7/9)) / 2/7
[962] ['2/7', '7/9', '7/3', '8'] -> (7/3 + 7/9) * (8 - 2/7)
[963] ['2/7', '4/5', '5/6', '8'] -> ((8 / 2/7) + 4/5) * 5/6
[964] ['2/7', '6/7', '6/7', '7'] -> ((6/7 * 7) + 6/7) / 2/7
[965] ['1/9', '4/7', '3/2', '6'] -> (3/2 / 1/9) + (6 / 4/7)
[966] ['2/7', '6/7', '6/7', '9'] -> ((6/7 * 9) - 6/7) / 2/7
[967] ['2/7', '6/7', '7/6', '7'] -> ((7 / 7/6) + 6/7) / 2/7
[968] ['2/7', '6/7', '7/6', '9'] -> ((9 / 7/6) - 6/7) / 2/7
[969] ['2/7', '6/7', '6/5', '5'] -> ((5 * 6/5) + 6/7) / 2/7
[970] ['2/7', '6/7', '5/4', '5'] -> 6/7 / (2/7 - (5/4 / 5))
[971] ['2/7', '6/7', '9/7', '4'] -> 6/7 / ((9/7 / 4) - 2/7)
[972] ['2/7', '6/7', '9/7', '6'] -> ((6 * 9/7) - 6/7) / 2/7
[973] ['2/7', '6/7', '3/2', '4'] -> ((3/2 * 4) + 6/7) / 2/7
[974] ['2/7', '6/7', '3/2', '6'] -> 6/7 / (2/7 - (3/2 / 6))
[975] ['2/7', '6/7', '3/2', '9'] -> ((9 / 3/2) + 6/7) / 2/7
[976] ['2/7', '6/7', '8/5', '6'] -> 6 / ((6/7 / 8/5) - 2/7)
[977] ['2/7', '6/7', '7/4', '6'] -> 6/7 / (7/4 - (2/7 * 6))
[978] ['2/7', '6/7', '7/4', '7'] -> 6/7 / (2/7 - (7/4 / 7))
[979] ['2/7', '6/7', '9/5', '5'] -> ((6/7 / 2/7) + 9/5) * 5
[980] ['2/7', '6/7', '9/4', '7'] -> 6/7 / ((9/4 / 7) - 2/7)
[981] ['2/7', '6/7', '9/4', '8'] -> 6/7 / ((2/7 * 8) - 9/4)
[982] ['2/7', '6/7', '9/4', '9'] -> 6/7 / (2/7 - (9/4 / 9))
[983] ['2/7', '6/7', '5/2', '9'] -> (9 - (5/2 * 6/7)) / 2/7
[984] ['2/7', '6/7', '8/3', '6'] -> ((6/7 / 2/7) + 6) * 8/3
[985] ['1/9', '5/8', '9/4', '4'] -> 4 / ((5/8 / 9/4) - 1/9)
[986] ['2/7', '6/7', '3', '9/2'] -> ((6/7 * 9/2) + 3) / 2/7
[987] ['2/7', '6/7', '7/2', '5'] -> ((5 + 6/7) / 2/7) + 7/2
[988] ['2/7', '6/7', '7/2', '9'] -> ((9 / 2/7) - 7/2) * 6/7
[989] ['2/7', '6/7', '9/2', '5'] -> ((2/7 / 6/7) + 5) * 9/2
[990] ['2/7', '6/7', '9/2', '6'] -> (6 * 9/2) - (6/7 / 2/7)
[991] ['2/7', '6/7', '9/2', '9'] -> ((9 - 6/7) / 2/7) - 9/2
[992] ['1/9', '5/8', '9/4', '6'] -> (5/8 * 6) + (9/4 / 1/9)
[993] ['2/7', '7/8', '8/7', '5'] -> ((5 / 7/8) + 8/7) / 2/7
[994] ['2/7', '7/8', '8/7', '7'] -> ((7 / 7/8) - 8/7) / 2/7
[995] ['2/7', '7/8', '3/2', '3'] -> 3/2 / ((7/8 / 2/7) - 3)
[996] ['2/7', '7/8', '7/4', '7'] -> (7 / 2/7) - (7/8 / 7/4)
[997] ['2/7', '7/8', '7/4', '9'] -> 9 / (7/8 - (2/7 * 7/4))
[998] ['2/7', '7/8', '7/3', '5'] -> 5 / (7/8 - (2/7 * 7/3))
[999] ['2/7', '7/8', '5/2', '4'] -> ((5/2 / 7/8) + 4) / 2/7
[1000] ['1/9', '5/8', '9/4', '9'] -> 9 / (5/8 - (1/9 * 9/4))
[1001] ['2/7', '7/8', '3', '7/2'] -> 3 / ((2/7 * 7/2) - 7/8)
[1002] ['2/7', '7/8', '7/2', '5'] -> ((5 / 2/7) + 7/2) / 7/8
[1003] ['2/7', '7/8', '7/2', '7'] -> ((7 / 2/7) - 7/2) / 7/8
[1004] ['2/7', '7/8', '7/2', '8'] -> (8 / 2/7) - (7/2 / 7/8)
[1005] ['2/7', '8/9', '8/9', '6'] -> ((8/9 / 2/7) + 8/9) * 6
[1006] ['2/7', '8/9', '8/7', '9'] -> ((8/9 * 9) - 8/7) / 2/7
[1007] ['2/7', '8/9', '9/7', '8'] -> (8 - (8/9 * 9/7)) / 2/7
[1008] ['1/9', '5/8', '7/3', '3'] -> 7/3 / ((5/8 / 3) - 1/9)
[1009] ['2/7', '8/9', '5/2', '7'] -> ((7 / 2/7) + 5/2) * 8/9
[1010] ['2/7', '8/9', '8/3', '3'] -> 8/3 / ((8/9 / 2/7) - 3)
[1011] ['2/7', '8/9', '8/3', '6'] -> (6 / 2/7) + (8/3 / 8/9)
[1012] ['2/7', '8/9', '9/2', '8'] -> (8 / 2/7) - (8/9 * 9/2)
[1013] ['2/7', '8/9', '9/2', '9'] -> ((9 / 2/7) - 9/2) * 8/9
[1014] ['2/7', '9/8', '3/2', '4'] -> 3/2 / (4 - (9/8 / 2/7))
[1015] ['1/9', '5/8', '7/3', '6'] -> ((7/3 / 1/9) - 6) / 5/8
[1016] ['2/7', '9/8', '9/4', '7'] -> (7 / 2/7) - (9/8 / 9/4)
[1017] ['2/7', '9/8', '5/2', '7'] -> ((7 / 2/7) + 5/2) / 9/8
[1018] ['2/7', '9/8', '8/3', '6'] -> (6 / 2/7) + (8/3 * 9/8)
[1019] ['2/7', '9/8', '3', '7/2'] -> 3 / (9/8 - (2/7 * 7/2))
[1020] ['2/7', '9/8', '9/2', '8'] -> (8 / 2/7) - (9/2 / 9/8)
[1021] ['2/7', '9/8', '9/2', '9'] -> ((9 / 2/7) - 9/2) / 9/8
[1022] ['2/7', '8/7', '8/7', '5'] -> ((5 * 8/7) + 8/7) / 2/7
[1023] ['1/9', '5/8', '7/3', '8'] -> ((5/8 * 8) - 7/3) / 1/9
[1024] ['2/7', '8/7', '8/7', '7'] -> ((7 * 8/7) - 8/7) / 2/7
[1025] ['2/7', '8/7', '4/3', '9'] -> ((8/7 / 2/7) - 4/3) * 9
[1026] ['2/7', '8/7', '7/5', '8'] -> ((8 / 7/5) + 8/7) / 2/7
[1027] ['2/7', '8/7', '8/5', '5'] -> ((5 * 8/5) - 8/7) / 2/7
[1028] ['2/7', '8/7', '5/3', '5'] -> 8/7 / ((5/3 / 5) - 2/7)
[1029] ['2/7', '8/7', '5/3', '6'] -> 8/7 / ((2/7 * 6) - 5/3)
[1030] ['2/7', '8/7', '5/3', '7'] -> 8/7 / (2/7 - (5/3 / 7))
[1031] ['2/7', '8/7', '7/3', '7'] -> 8/7 / ((7/3 / 7) - 2/7)
[1032] ['2/7', '8/7', '7/3', '8'] -> 8/7 / (7/3 - (2/7 * 8))
[1033] ['1/9', '5/8', '3', '9/2'] -> 3 / (5/8 - (1/9 * 9/2))
[1034] ['2/7', '8/7', '5/2', '4'] -> ((5/2 * 8/7) + 4) / 2/7
[1035] ['2/7', '8/7', '5/2', '5'] -> ((5 + 8/7) / 2/7) + 5/2
[1036] ['2/7', '8/7', '5/2', '8'] -> (5/2 * 8) + (8/7 / 2/7)
[1037] ['2/7', '8/7', '8/3', '5'] -> ((8/7 / 2/7) + 5) * 8/3
[1038] ['2/7', '8/7', '8/3', '8'] -> 8/7 / ((8/3 / 8) - 2/7)
[1039] ['2/7', '8/7', '7/2', '5'] -> ((5 / 2/7) + 7/2) * 8/7
[1040] ['2/7', '8/7', '7/2', '9'] -> ((9 - 8/7) / 2/7) - 7/2
[1041] ['2/7', '8/7', '9/2', '7'] -> ((7 + 8/7) / 2/7) - 9/2
[1042] ['2/7', '7/6', '9/7', '5'] -> ((5 / 2/7) + 7/6) * 9/7
[1043] ['2/7', '7/6', '4/3', '8'] -> (8 - (4/3 / 7/6)) / 2/7
[1044] ['2/7', '7/6', '7/3', '7'] -> (7 / 2/7) - (7/6 / 7/3)
[1045] ['2/7', '7/6', '7/3', '9'] -> ((2/7 * 7/6) + 7/3) * 9
[1046] ['2/7', '7/6', '5/2', '9'] -> (9 - (5/2 / 7/6)) / 2/7
[1047] ['2/7', '7/6', '3', '9/2'] -> ((9/2 / 7/6) + 3) / 2/7
[1048] ['2/7', '7/6', '7/2', '4'] -> 4 / (7/6 - (2/7 * 7/2))
[1049] ['2/7', '7/6', '7/2', '6'] -> (6 / 2/7) + (7/2 / 7/6)
[1050] ['2/7', '7/6', '7/2', '7'] -> ((7 / 2/7) + 7/2) / 7/6
[1051] ['2/7', '7/6', '7/2', '9'] -> ((9 / 2/7) - 7/2) / 7/6
[1052] ['2/7', '7/6', '9/2', '5'] -> ((2/7 * 7/6) + 5) * 9/2
[1053] ['2/7', '6/5', '6/5', '8'] -> ((6/5 / 2/7) - 6/5) * 8
[1054] ['2/7', '6/5', '7/5', '6'] -> ((6/5 / 7/5) + 6) / 2/7
[1055] ['2/7', '5/6', '6/7', '5'] -> ((5 / 5/6) + 6/7) / 2/7
[1056] ['1/9', '5/8', '9/2', '6'] -> 6 / ((5/8 / 9/2) + 1/9)
[1057] ['2/7', '5/6', '5/3', '7'] -> (7 / 2/7) - (5/6 / 5/3)
[1058] ['2/7', '5/6', '7/4', '8'] -> 8 / (5/6 - (2/7 * 7/4))
[1059] ['2/7', '5/6', '7/3', '4'] -> 4 / (5/6 - (2/7 * 7/3))
[1060] ['2/7', '5/6', '5/2', '5'] -> ((5 / 2/7) + 5/2) / 5/6
[1061] ['2/7', '5/6', '5/2', '6'] -> (5/2 / 5/6) + (6 / 2/7)
[1062] ['2/7', '5/6', '8/3', '6'] -> 6 / ((5/6 / 2/7) - 8/3)
[1063] ['2/7', '5/6', '7/2', '4'] -> 4 / ((2/7 * 7/2) - 5/6)
[1064] ['2/7', '5/6', '9/2', '7'] -> ((7 / 2/7) - 9/2) / 5/6
[1065] ['2/7', '9/8', '8/7', '9'] -> ((9 / 9/8) - 8/7) / 2/7
[1066] ['2/7', '9/8', '9/7', '8'] -> (8 - (9/7 / 9/8)) / 2/7
[1067] ['2/7', '4/5', '8/7', '5'] -> ((8/7 / 2/7) + 4/5) * 5
[1068] ['2/7', '4/5', '6/5', '6'] -> ((4/5 / 2/7) + 6/5) * 6
[1069] ['2/7', '4/5', '3/2', '9'] -> ((9 / 2/7) - 3/2) * 4/5
[1070] ['2/7', '4/5', '8/5', '5'] -> ((8/5 / 2/7) - 4/5) * 5
[1071] ['2/7', '4/5', '8/5', '7'] -> (7 / 2/7) - (4/5 / 8/5)
[1072] ['2/7', '4/5', '9/5', '6'] -> ((6 / 2/7) - 9/5) / 4/5
[1073] ['2/7', '4/5', '7/3', '8'] -> ((8 / 4/5) + 2/7) * 7/3
[1074] ['1/3', '1/3', '1/3', '7'] -> ((1/3 / 1/3) + 7) / 1/3
[1075] ['1/9', '2/3', '2/3', '3'] -> ((2/3 * 3) + 2/3) / 1/9
[1076] ['1/3', '1/3', '1/3', '9'] -> (9 - (1/3 / 1/3)) / 1/3
[1077] ['1/3', '1/3', '3/8', '5'] -> 5 / (1/3 - (1/3 * 3/8))
[1078] ['1/3', '1/3', '3/8', '8'] -> ((1/3 / 1/3) + 8) / 3/8
[1079] ['1/3', '1/3', '5/9', '5'] -> (1/3 + 5) / (5/9 - 1/3)
[1080] ['1/3', '1/3', '4/7', '6'] -> 6 / ((1/3 / 4/7) - 1/3)
[1081] ['1/3', '1/3', '3/5', '5'] -> ((5 / 3/5) - 1/3) / 1/3
[1082] ['1/3', '1/3', '5/8', '3'] -> 3 / (1/3 - (1/3 * 5/8))
[1083] ['1/3', '1/3', '5/8', '9'] -> 9 / ((1/3 / 1/3) - 5/8)
[1084] ['1/3', '1/3', '2/3', '6'] -> ((2/3 / 1/3) + 6) / 1/3
[1085] ['1/9', '2/3', '2/3', '5'] -> ((2/3 * 5) - 2/3) / 1/9
[1086] ['1/3', '1/3', '3/4', '6'] -> 6 / ((1/3 / 1/3) - 3/4)
[1087] ['1/3', '1/3', '7/9', '9'] -> ((7/9 / 1/3) + 1/3) * 9
[1088] ['1/3', '1/3', '4/5', '2'] -> 2 / ((1/3 / 4/5) - 1/3)
[1089] ['1/3', '1/3', '7/8', '1'] -> 1 / (1/3 - (1/3 * 7/8))
[1090] ['1/3', '1/3', '7/8', '3'] -> 3 / ((1/3 / 1/3) - 7/8)
[1091] ['1/3', '1/3', '8/9', '1'] -> 1 / ((1/3 / 8/9) - 1/3)
[1092] ['1/3', '1/3', '8/9', '8'] -> ((8/9 / 1/3) + 1/3) * 8
[1093] ['1/3', '1/3', '8/9', '9'] -> ((9 - 8/9) / 1/3) - 1/3
[1094] ['1/3', '1/3', '1', '9/8'] -> 1 / ((1/3 * 9/8) - 1/3)
[1095] ['1/3', '1/3', '1', '8/7'] -> 1 / (1/3 - (1/3 / 8/7))
[1096] ['1/3', '1/3', '1', '7/3'] -> ((7/3 / 1/3) + 1) / 1/3
[1097] ['1/3', '1/3', '9/8', '7'] -> ((7 / 1/3) + 1/3) * 9/8
[1098] ['1/3', '1/3', '7/6', '4'] -> 4 / (7/6 - (1/3 / 1/3))
[1099] ['1/9', '2/3', '3/4', '7'] -> 2/3 / ((1/9 * 7) - 3/4)
[1100] ['1/3', '1/3', '5/4', '2'] -> 2 / ((1/3 * 5/4) - 1/3)
[1101] ['1/3', '1/3', '5/4', '6'] -> 6 / (5/4 - (1/3 / 1/3))
[1102] ['1/3', '1/3', '8/5', '3'] -> 3 / (1/3 - (1/3 / 8/5))
[1103] ['1/9', '2/3', '3/4', '9'] -> 2/3 / (1/9 - (3/4 / 9))
