[71609] ['5/9', '5/8', '8/5', '9', '9'] -> (8/5 + ((9 + (5/9 * 9)) / 5/8))
[72395] ['1/4', '2/7', '1', '6/5', '6'] -> (6/5 * (6 + (1 / (1/4 * 2/7))))
[72396] ['5/9', '9/8', '7/4', '9', '9'] -> (9 / ((9/8 - 5/9) - (7/4 / 9)))
[72397] ['5/7', '1', '7/6', '7/4', '9'] -> ((1 + 9) / (5/7 * (7/4 - 7/6)))
[72398] ['8/9', '9/5', '5/2', '4', '6'] -> ((5/2 * (9/5 + 6)) + (4 / 8/9))
[72399] ['3/4', '1', '7/5', '9/2', '7'] -> (((7 / 7/5) - 1) / (3/4 / 9/2))
[72400] ['1/7', '4/5', '7/6', '4', '4'] -> ((7/6 * 4) * (1/7 + (4 / 4/5)))
[72401] ['3/7', '1/2', '5/9', '2', '2'] -> ((2 + (2 / 3/7)) / (1/2 * 5/9))
[72402] ['1/5', '5/8', '7/5', '7', '7'] -> ((1/5 + 7/5) + ((7 + 7) / 5/8))
[72403] ['5/7', '1', '7/6', '9/5', '9'] -> ((1 + (5/7 * 9/5)) * (7/6 * 9))
[72404] ['3/4', '1', '3/2', '8/5', '7'] -> (8/5 * (1 + (7 / (3/4 / 3/2))))
[72405] ['4/5', '4/5', '8/9', '5', '6'] -> (6 * ((4/5 / (8/9 - 4/5)) - 5))
[72406] ['5/9', '9/8', '9/5', '9', '9'] -> (((9/5 + 9) + (9 / 5/9)) / 9/8)
[72407] ['1/5', '5/8', '3/2', '7', '7'] -> ((1/5 + 7) + (7 / (5/8 / 3/2)))
[72408] ['5/9', '2/3', '4/5', '1', '2'] -> ((2/3 + 2) / (5/9 * (1 - 4/5)))
[72409] ['3/7', '1/2', '5/8', '2', '2'] -> (2 / ((5/8 * 2) - (1/2 / 3/7)))
[72410] ['3/4', '1', '3/2', '9/5', '7'] -> (7 / (3/2 * (3/4 - (1 / 9/5))))
[72411] ['5/7', '1', '7/6', '8/3', '9'] -> ((5/7 + (8/3 / 7/6)) * (9 - 1))
[72412] ['5/9', '9/8', '9/4', '9', '9'] -> (9 / ((5/9 * 9/8) - (9/4 / 9)))
[72413] ['4/9', '5/7', '3/2', '2', '5'] -> (5 * ((2 / (4/9 * 5/7)) - 3/2))
[72414] ['1/7', '4/5', '3/2', '4', '4'] -> ((4 - 3/2) * (4 + (4/5 / 1/7)))
[72415] ['3/7', '1/2', '2/3', '2', '2'] -> (2 / (2/3 - (1/2 / (3/7 * 2))))
[72416] ['8/9', '7/3', '5/2', '4', '6'] -> (((7/3 + 4) + (5/2 * 6)) / 8/9)
[72417] ['4/9', '8/7', '5/3', '5', '8'] -> (8/7 * ((5 / 5/3) + (8 / 4/9)))
[72418] ['5/7', '1', '7/6', '9/2', '9'] -> (9 * (9/2 - (1 + (5/7 * 7/6))))
[72419] ['2/7', '7/9', '1', '8/5', '5'] -> (8/5 / (7/9 * (2/7 - (1 / 5))))
[72420] ['1/5', '5/8', '5/3', '7', '7'] -> ((5/8 * (1/5 + 7)) * (7 - 5/3))
[72421] ['4/9', '5/7', '8/5', '2', '5'] -> ((2 + (8/5 / 4/9)) * (5 - 5/7))
[72422] ['3/7', '1/2', '3/4', '2', '2'] -> (2 / (2 - (3/4 + (1/2 / 3/7))))
[72423] ['1/9', '6/7', '1', '8/5', '7'] -> (8/5 * ((6/7 * 7) + (1 / 1/9)))
[72424] ['1/7', '4/5', '5/3', '4', '4'] -> ((4 + (4 / 1/7)) / (4/5 * 5/3))
[72425] ['4/5', '4/5', '4/3', '5', '6'] -> (5 * (6 - ((4/5 + 4/5) / 4/3)))
[72426] ['2/7', '7/9', '1', '5/3', '5'] -> (((5 + (5/3 / 7/9)) / 2/7) - 1)
[72427] ['8/9', '7/3', '4', '9/2', '6'] -> (((4 * (7/3 + 9/2)) - 6) / 8/9)
[72428] ['1/5', '5/8', '7/4', '7', '7'] -> ((7 - (7 / 7/4)) / (1/5 * 5/8))
[72429] ['3/5', '5/7', '7/4', '6', '6'] -> ((6 / (7/4 * (5/7 - 3/5))) - 6)
[72430] ['1/7', '4/5', '7/4', '4', '4'] -> (4 + (4 / (7/4 * (1/7 * 4/5))))
[72431] ['5/7', '1', '6/5', '5/4', '9'] -> ((9 / (5/4 * (1 - 5/7))) - 6/5)
[72432] ['3/4', '1', '8/5', '7/2', '7'] -> (8/5 * (1 + ((7/2 + 7) / 3/4)))
[72433] ['3/7', '1/2', '6/7', '2', '2'] -> (6/7 / ((1/2 / 2) - (3/7 / 2)))
[72434] ['3/5', '5/7', '9/5', '6', '6'] -> (5/7 * ((6 * 6) - (3/5 + 9/5)))
[72435] ['5/9', '8/7', '8/7', '9', '9'] -> ((8/7 * 9) / (5/9 - (8/7 / 9)))
[72436] ['3/7', '1/2', '7/8', '2', '2'] -> ((1/2 * 2) / ((7/8 / 3/7) - 2))
[72437] ['1/5', '5/8', '7/3', '7', '7'] -> (7 / ((7/3 / (1/5 / 5/8)) - 7))
[72438] ['3/5', '5/7', '9/4', '6', '6'] -> ((3/5 + (6 / 5/7)) / (9/4 / 6))
[72439] ['8/9', '5/2', '4', '9/2', '6'] -> ((4 / 8/9) + (9/2 + (5/2 * 6)))
[72440] ['1/5', '5/8', '5/2', '7', '7'] -> ((7 / 1/5) - (7 + (5/2 / 5/8)))
[72441] ['5/7', '1', '1', '7/3', '5/2'] -> ((5/7 + 1) / ((5/2 / 7/3) - 1))
[72442] ['5/7', '1', '6/5', '7/5', '9'] -> ((9 * (7/5 + (1 / 5/7))) - 6/5)
[72443] ['3/7', '1/2', '9/8', '2', '2'] -> ((2 / 2) / ((1/2 / 3/7) - 9/8))
[72444] ['5/9', '2/3', '1', '8/5', '2'] -> ((2/3 + 2) / (1 - (5/9 * 8/5)))
[72445] ['5/9', '8/7', '6/5', '9', '9'] -> ((8/7 / 6/5) * (9 + (9 / 5/9)))
[72446] ['3/4', '1', '5/3', '5/2', '7'] -> ((7 / (3/4 / 5/2)) - (1 - 5/3))
[72447] ['3/5', '5/7', '5/2', '6', '6'] -> ((3/5 + (5/2 * 6)) + (6 / 5/7))
[72448] ['4/5', '5/6', '9/8', '5', '6'] -> ((5 + 6) / (9/8 - (4/5 * 5/6)))
[72449] ['1/5', '5/8', '7/2', '7', '7'] -> ((1/5 + 7) + ((7/2 + 7) / 5/8))
[72450] ['2/7', '7/9', '1', '5/2', '5'] -> ((5 / (2/7 * 7/9)) - (1 - 5/2))
[72451] ['3/5', '5/7', '8/3', '6', '6'] -> ((5/7 * 8/3) * (6 + (3/5 + 6)))
[72452] ['1/4', '1/3', '1', '8/5', '6'] -> ((6 + (8/5 * (1/4 + 1))) / 1/3)
[72453] ['5/9', '8/7', '9/7', '9', '9'] -> ((9/7 + 9) / (5/9 - (8/7 / 9)))
[72454] ['1/9', '7/8', '1', '9/8', '7'] -> (((7/8 + 9/8) / 1/9) - (1 - 7))
[72455] ['4/9', '5/7', '2', '8/3', '5'] -> ((4/9 + 8/3) * (5 + (5/7 + 2)))
[72456] ['5/9', '2/3', '1', '2', '7/2'] -> (2/3 / (1 - (7/2 * (5/9 / 2))))
[72457] ['1/5', '2/3', '5/7', '7', '7'] -> ((2/3 * 5/7) * (7 * (1/5 + 7)))
[72458] ['5/9', '2/3', '1', '2', '9/2'] -> ((2 + (5/9 + 1)) / (2/3 / 9/2))
[72459] ['1/9', '7/8', '1', '7/6', '7'] -> (1 / (7/6 - (7/8 / (1/9 * 7))))
[72460] ['5/7', '1', '6/5', '7/3', '9'] -> (1 + (7/3 * (9 + (5/7 * 6/5))))
[72461] ['3/4', '1', '9/5', '9/4', '7'] -> (9/5 * (1 + ((9/4 + 7) / 3/4)))
[72462] ['3/7', '1/2', '8/5', '2', '2'] -> (2 / ((2 / 8/5) - (1/2 / 3/7)))
[72463] ['4/9', '3/4', '7/9', '2', '5'] -> ((2 * 5) / ((4/9 + 3/4) - 7/9))
[72464] ['4/9', '7/6', '7/5', '5', '8'] -> ((5 / (7/6 / 7/5)) + (8 / 4/9))
[72465] ['1/7', '5/6', '9/8', '4', '4'] -> ((4 / (1/7 * 4)) / (9/8 - 5/6))
[72466] ['5/7', '1', '6/5', '5/2', '9'] -> (9 * ((5/2 / 5/7) - (1 / 6/5)))
[72467] ['5/9', '8/7', '3/2', '9', '9'] -> ((8/7 * 3/2) * (9 + (5/9 * 9)))
[72468] ['4/5', '6/7', '8/9', '5', '6'] -> ((4/5 / (8/9 - 6/7)) - (6 / 5))
[72469] ['3/4', '1', '9/5', '5/2', '7'] -> ((7 / 3/4) / ((5/2 / 9/5) - 1))
[72470] ['5/7', '1', '6/5', '8/3', '9'] -> ((6/5 * (5/7 + 1)) * (8/3 + 9))
[72471] ['3/5', '3/4', '8/7', '6', '6'] -> (6 * ((6 / 8/7) - (3/4 / 3/5)))
[72472] ['4/9', '3/4', '6/7', '2', '5'] -> ((5 + (2 / 6/7)) / (3/4 - 4/9))
[72473] ['1/5', '2/3', '6/7', '7', '7'] -> ((2/3 * 6/7) * (7 + (7 / 1/5)))
[72474] ['3/7', '1/2', '9/5', '2', '2'] -> ((2 + (2 / 3/7)) / (1/2 / 9/5))
[72475] ['5/7', '1', '6/5', '7/2', '9'] -> ((7/2 * (5/7 * 6/5)) * (9 - 1))
[72476] ['5/9', '8/7', '5/3', '9', '9'] -> (8/7 * ((5/3 / 5/9) + (9 + 9)))
[72477] ['3/4', '1', '9/5', '8/3', '7'] -> (9/5 * (8/3 + ((1 + 7) / 3/4)))
[72478] ['2/7', '4/5', '1', '9/8', '5'] -> ((1 + 9/8) + (5 / (2/7 * 4/5)))
[72479] ['1/4', '3/8', '1', '8/7', '6'] -> (6 / ((1 / 8/7) - (1/4 + 3/8)))
[72480] ['1/9', '7/8', '1', '7/5', '7'] -> ((7 / (1/9 * 7/5)) / (7/8 + 1))
[72481] ['5/7', '1', '1', '8/3', '9/2'] -> (1 / (8/3 - (9/2 / (5/7 + 1))))
[72482] ['4/9', '7/6', '9/4', '5', '8'] -> (((4/9 + 7/6) * (9/4 * 8)) - 5)
[72483] ['1/7', '5/6', '7/5', '4', '4'] -> (4 / ((5/6 / (1/7 * 7/5)) - 4))
[72484] ['4/5', '6/7', '3/2', '5', '6'] -> ((3/2 - 4/5) * (5 * (6/7 + 6)))
[72485] ['3/7', '1/2', '2', '2', '5/2'] -> (2 / ((5/2 / 2) - (1/2 / 3/7)))
[72486] ['5/7', '1', '5/4', '5/4', '9'] -> ((5/4 + (5/4 / 5/7)) * (9 - 1))
[72487] ['3/5', '3/4', '5/3', '6', '6'] -> (((6 / 5/3) - 3/5) / (3/4 / 6))
[72488] ['5/9', '8/7', '9/5', '9', '9'] -> ((9/5 - 5/9) * (9 + (8/7 * 9)))
[72489] ['3/7', '1/2', '2', '2', '7/2'] -> (7/2 * (2 + ((3/7 + 2) / 1/2)))
[72490] ['1/5', '2/3', '8/7', '7', '7'] -> ((8/7 - 2/3) * (7 * (1/5 + 7)))
[72491] ['1/7', '5/6', '5/3', '4', '4'] -> (4 / ((5/6 / 1/7) - (5/3 + 4)))
[72492] ['1/5', '2/3', '7/6', '7', '7'] -> ((2/3 / 7/6) * (7 + (7 / 1/5)))
[72493] ['4/5', '6/7', '9/5', '5', '6'] -> (9/5 * ((5 / 6/7) + (6 / 4/5)))
[72494] ['4/9', '6/5', '5/4', '5', '8'] -> (((5 / 5/4) + (8 / 6/5)) / 4/9)
[72495] ['4/9', '3/4', '7/4', '2', '5'] -> (2 / (7/4 - (5 * (4/9 * 3/4))))
[72496] ['5/7', '1', '5/4', '5/3', '9'] -> ((1 + (5/3 / 5/7)) / (5/4 / 9))
[72497] ['4/5', '6/7', '9/4', '5', '6'] -> (9/4 * (6 + (5 * (4/5 / 6/7))))
[72498] ['1/4', '2/5', '5/9', '1', '6'] -> (6 + (1 / (5/9 * (1/4 * 2/5))))
[72499] ['4/9', '3/4', '9/5', '2', '5'] -> (((2 + (9/5 * 5)) / 4/9) - 3/4)
[72500] ['4/5', '6/7', '8/3', '5', '6'] -> (6 + (5 * (8/3 + (4/5 / 6/7))))
[72501] ['1/9', '8/9', '1', '9/8', '7'] -> (7 + ((1 + 9/8) / (1/9 / 8/9)))
[72502] ['3/5', '7/9', '8/9', '6', '6'] -> (((8/9 * 6) / (7/9 - 3/5)) - 6)
[72503] ['4/9', '6/5', '5/3', '5', '8'] -> ((8 / (4/9 / 5/3)) - (6/5 * 5))
[72504] ['4/5', '6/7', '9/2', '5', '6'] -> (6 / ((9/2 / (6/7 * 5)) - 4/5))
[72505] ['1/7', '5/6', '4', '4', '9/2'] -> ((4 / 1/7) / (9/2 - (5/6 * 4)))
[72506] ['2/7', '4/5', '1', '7/4', '5'] -> ((4/5 + (1 / 7/4)) / (2/7 / 5))
[72507] ['5/9', '7/6', '7/6', '9', '9'] -> (9 * ((5/9 * 9) - (7/6 + 7/6)))
[72508] ['3/4', '3/4', '8/9', '1', '1'] -> ((1 + 1) / (3/4 - (3/4 * 8/9)))
[72509] ['3/5', '7/9', '9/8', '6', '6'] -> ((6 / (9/8 * (7/9 - 3/5))) - 6)
[72510] ['4/9', '7/9', '4/5', '2', '5'] -> ((4/5 * 2) * (5 / (7/9 - 4/9)))
[72511] ['5/9', '7/6', '6/5', '9', '9'] -> ((7/6 * 9) + (9 / (5/9 * 6/5)))
[72512] ['5/9', '5/7', '1', '5/4', '2'] -> ((2 / 5/9) / ((1 / 5/7) - 5/4))
[72513] ['1/7', '6/7', '8/9', '4', '4'] -> ((6/7 / 1/7) + (4 / (8/9 / 4)))
[72514] ['2/7', '4/5', '1', '9/4', '5'] -> (((1 + 5) / (2/7 * 4/5)) - 9/4)
[72515] ['3/5', '7/9', '8/7', '6', '6'] -> (8/7 + ((6 + (6 / 7/9)) / 3/5))
[72516] ['4/9', '7/9', '6/7', '2', '5'] -> (((7/9 * 6/7) + (2 * 5)) / 4/9)
[72517] ['4/5', '7/8', '7/6', '5', '6'] -> (6 / (5 * (4/5 - (7/8 / 7/6))))
[72518] ['5/7', '1', '9/7', '9/7', '9'] -> ((9/7 + 9) / ((5/7 + 1) - 9/7))
[72519] ['1/7', '6/7', '9/8', '4', '4'] -> ((6/7 / 1/7) + (4 * (9/8 * 4)))
[72520] ['7/9', '7/9', '1', '8/7', '7'] -> (7 * (8/7 + ((7/9 + 1) / 7/9)))
[72521] ['4/9', '6/5', '7/2', '5', '8'] -> (((8 / 4/9) - 6/5) / (7/2 / 5))
[72522] ['4/9', '7/9', '8/9', '2', '5'] -> (((2 * (7/9 + 5)) - 8/9) / 4/9)
[72523] ['5/7', '1', '9/7', '8/5', '9'] -> ((9/7 + 9) / (5/7 * (8/5 - 1)))
[72524] ['1/9', '8/9', '1', '7/4', '7'] -> (((7 / 7/4) - 1) / (1/9 / 8/9))
[72525] ['2/7', '4/5', '1', '8/3', '5'] -> ((8/3 * 5) * ((4/5 / 2/7) - 1))
[72526] ['5/7', '1', '9/7', '7/4', '9'] -> ((9 * (5/7 + 9/7)) / (7/4 - 1))
[72527] ['1/5', '2/3', '9/2', '7', '7'] -> ((9/2 / 1/5) + (7 / (2/3 * 7)))
[72528] ['4/5', '7/8', '4/3', '5', '6'] -> (4/5 / ((6 / 5) - (7/8 * 4/3)))
[72529] ['1/7', '6/7', '9/5', '4', '4'] -> ((4 + 4) / ((6/7 / 9/5) - 1/7))
[72530] ['1/9', '8/9', '1', '9/5', '7'] -> (9/5 * (1/9 + (7 * (8/9 + 1))))
[72531] ['3/7', '5/9', '5/6', '2', '2'] -> ((2 + (2 / 3/7)) / (5/6 - 5/9))
[72532] ['4/5', '7/8', '7/5', '5', '6'] -> ((5 * 6) * ((7/5 / 7/8) - 4/5))
[72533] ['9/8', '6/5', '5/3', '4', '6'] -> (6/5 / ((6 * (9/8 / 5/3)) - 4))
[72534] ['1/5', '5/7', '7/9', '7', '7'] -> ((5/7 + 7) * (7 - (7/9 / 1/5)))
[72535] ['2/7', '5/6', '5/6', '1', '5'] -> (((5 / (2/7 * 5/6)) - 1) / 5/6)
[72536] ['7/9', '7/9', '1', '7/5', '7'] -> ((1 + 7/5) / (7/9 / (7/9 + 7)))
[72537] ['1/9', '8/9', '1', '5/2', '7'] -> (((1/9 + 7) * (1 + 5/2)) - 8/9)
[72538] ['3/7', '5/9', '6/7', '2', '2'] -> ((6/7 + 2) * (2 / (3/7 * 5/9)))
[72539] ['3/5', '7/9', '7/5', '6', '6'] -> (6 + ((7/5 * 6) / (3/5 * 7/9)))
[72540] ['9/8', '6/5', '9/4', '4', '6'] -> ((9/4 / (9/8 / 6/5)) * (4 + 6))
[72541] ['7/9', '7/9', '1', '3/2', '7'] -> ((7 * (7/9 + 1)) / (7/9 / 3/2))
[72542] ['1/5', '5/7', '5/6', '7', '7'] -> ((5/7 / 5/6) * ((7 / 1/5) - 7))
[72543] ['5/9', '7/6', '5/3', '9', '9'] -> ((5/3 / 5/9) + (7/6 * (9 + 9)))
[72544] ['4/9', '7/9', '4/3', '2', '5'] -> ((2 * 5) / ((7/9 / 4/9) - 4/3))
[72545] ['5/7', '1', '4/3', '4/3', '9'] -> (4/3 + ((5/7 + 9) * (1 + 4/3)))
[72546] ['7/9', '7/9', '1', '5/3', '7'] -> (7 * ((1 / 7/9) + (5/3 / 7/9)))
[72547] ['3/5', '7/9', '8/5', '6', '6'] -> ((6 + ((8/5 + 6) / 3/5)) / 7/9)
[72548] ['5/7', '1', '4/3', '3/2', '9'] -> ((4/3 * (5/7 + 1)) * (3/2 + 9))
[72549] ['7/9', '7/9', '1', '7/4', '7'] -> ((1 + 7) / (7/9 - (7/9 / 7/4)))
[72550] ['2/7', '5/6', '1', '5/4', '5'] -> (1 / ((5/4 / (2/7 * 5)) - 5/6))
[72551] ['1/7', '7/8', '5/4', '4', '4'] -> (4 * ((5/4 / (1/7 * 7/8)) - 4))
[72552] ['7/9', '7/9', '1', '9/5', '7'] -> ((7/9 + 7) * (9/5 + (1 / 7/9)))
[72553] ['5/7', '1', '4/3', '8/5', '9'] -> ((1 + 4/3) * (9 * (5/7 * 8/5)))
[72554] ['1/4', '3/7', '5/8', '1', '6'] -> (1 / ((1/4 * 6) - (5/8 / 3/7)))
[72555] ['2/7', '5/6', '1', '4/3', '5'] -> ((5/6 + 1) + ((4/3 + 5) / 2/7))
[72556] ['1/9', '1', '9/8', '5/4', '7'] -> ((1/9 + 7) * (5/4 + (1 + 9/8)))
[72557] ['1/7', '7/8', '4/3', '4', '4'] -> ((4 / 7/8) / ((4/3 / 4) - 1/7))
[72558] ['2/7', '5/6', '1', '7/5', '5'] -> ((5 + (1 / 7/5)) / (2/7 * 5/6))
[72559] ['4/9', '7/9', '2', '9/4', '5'] -> ((2 * 9/4) * (5 - (4/9 - 7/9)))
[72560] ['7/9', '7/9', '1', '5/2', '7'] -> (((7/9 + 7) / (7/9 / 5/2)) - 1)
[72561] ['5/7', '1', '4/3', '9/4', '9'] -> (9/4 * (9 + (5/7 * (1 + 4/3))))
[72562] ['9/8', '5/4', '9/5', '4', '6'] -> (9/5 / ((6 / (5/4 * 4)) - 9/8))
[72563] ['7/9', '7/9', '1', '7/2', '7'] -> ((7/2 + 7) / (7/9 / (7/9 + 1)))
[72564] ['1/7', '7/8', '8/5', '4', '4'] -> (4 + (4 / (8/5 * (1/7 * 7/8))))
[72565] ['5/9', '6/5', '6/5', '9', '9'] -> ((5/9 * (6/5 + 6/5)) * (9 + 9))
[72566] ['1/9', '1', '9/8', '8/5', '7'] -> (8/5 * (7 + (1 / (1/9 * 9/8))))
[72567] ['3/7', '5/9', '5/4', '2', '2'] -> ((2 / 3/7) / (2 - (5/9 + 5/4)))
[72568] ['7/9', '7/9', '1', '9/2', '7'] -> ((7/9 + 1) * (9/2 + (7 / 7/9)))
[72569] ['5/9', '5/7', '1', '2', '8/3'] -> ((2 * 8/3) / (1 - (5/9 / 5/7)))
[72570] ['4/5', '8/9', '6/5', '5', '6'] -> ((6 * (5 - 8/9)) - (4/5 / 6/5))
[72571] ['3/5', '7/9', '8/3', '6', '6'] -> (((8/3 + 6) + (6 / 3/5)) / 7/9)
[72572] ['5/7', '1', '4/3', '8/3', '9'] -> ((1 + 9) * ((8/3 / 5/7) - 4/3))
[72573] ['3/4', '3/4', '1', '1', '7/2'] -> ((1 + 7/2) / (3/4 * (1 - 3/4)))
[72574] ['1/5', '5/7', '3/2', '7', '7'] -> ((5/7 / 3/2) * (7 * (1/5 + 7)))
[72575] ['1/9', '1', '9/8', '5/3', '7'] -> ((9/8 * (1 + 7)) + (5/3 / 1/9))
[72576] ['2/7', '5/6', '1', '7/4', '5'] -> ((5 / 7/4) / ((2/7 + 5/6) - 1))
[72577] ['4/9', '9/7', '7/4', '5', '8'] -> (5 + ((4/9 + 8) * (9/7 * 7/4)))
[72578] ['3/5', '7/9', '7/2', '6', '6'] -> (7/2 * ((6 / (3/5 * 7/9)) - 6))
[72579] ['9/8', '9/7', '8/5', '4', '6'] -> (9/7 / (9/8 - (6 / (8/5 + 4))))
[72580] ['1/9', '1', '9/8', '7/4', '7'] -> (((7 / 7/4) - 1) / (1/9 * 9/8))
[72581] ['4/9', '4/5', '5/6', '2', '5'] -> (((4/5 * 5/6) + (2 * 5)) / 4/9)
[72582] ['4/9', '9/7', '9/5', '5', '8'] -> ((9/7 * 8) * ((5 / 9/5) - 4/9))
[72583] ['3/5', '7/9', '9/2', '6', '6'] -> (9/2 * ((6 / 3/5) - (7/9 * 6)))
[72584] ['5/9', '6/5', '8/5', '9', '9'] -> (8/5 * (9 + (9 * (5/9 * 6/5))))
[72585] ['4/5', '8/9', '5/3', '5', '6'] -> ((4/5 * 5/3) / (8/9 - (5 / 6)))
[72586] ['1/5', '5/7', '9/5', '7', '7'] -> ((1/5 + 9/5) * (7 + (5/7 * 7)))
[72587] ['5/9', '3/4', '3/4', '1', '2'] -> (1 / ((5/9 * 3/4) - (3/4 / 2)))
[72588] ['5/7', '1', '7/5', '7/4', '9'] -> ((9 / (7/4 - 7/5)) - (5/7 + 1))
[72589] ['4/9', '9/7', '9/4', '5', '8'] -> ((4/9 * 8) * (5 + (9/4 / 9/7)))
[72590] ['3/4', '7/9', '7/8', '1', '1'] -> ((1 + (1 / 3/4)) / (7/8 - 7/9))
[72591] ['1/7', '7/8', '7/3', '4', '4'] -> ((4 / 1/7) / ((7/8 * 4) - 7/3))
[72592] ['4/5', '8/9', '7/4', '5', '6'] -> ((8/9 * 6) * ((5 / 4/5) - 7/4))
[72593] ['1/4', '3/7', '1', '8/5', '6'] -> (6 * ((1 / (3/7 - 1/4)) - 8/5))
[72594] ['5/9', '6/5', '7/4', '9', '9'] -> (6/5 / ((9 / (5/9 * 9)) - 7/4))
[72595] ['2/7', '5/6', '1', '8/3', '5'] -> ((1 + 5) / ((5/6 / 2/7) - 8/3))
[72596] ['1/9', '1', '9/8', '5/2', '7'] -> (7 / (1/9 * (5/2 - (1 - 9/8))))
[72597] ['3/7', '5/9', '3/2', '2', '2'] -> ((2 / 3/7) / ((3/2 / 2) - 5/9))
[72598] ['3/5', '4/5', '7/8', '6', '6'] -> (((4/5 * 6) * (6 - 7/8)) - 3/5)
[72599] ['3/4', '7/9', '1', '1', '9/8'] -> ((1 / 9/8) / ((7/9 / 3/4) - 1))
[72600] ['7/9', '4/5', '8/9', '1', '7'] -> ((1 + 7) / ((8/9 / 4/5) - 7/9))
[72601] ['4/9', '9/7', '5/2', '5', '8'] -> ((8 * (5 - (5/2 / 9/7))) - 4/9)
[72602] ['1/5', '5/7', '5/2', '7', '7'] -> ((7 + (5/7 * 7)) / (1/5 * 5/2))
[72603] ['5/9', '3/4', '4/5', '1', '2'] -> ((2 / (5/9 * 3/4)) / (1 - 4/5))
[72604] ['3/4', '7/9', '1', '1', '8/7'] -> (8/7 / ((1 / 3/4) - (1 / 7/9)))
[72605] ['4/9', '4/5', '9/8', '2', '5'] -> (5 * (4/5 + (2 / (4/9 * 9/8))))
[72606] ['2/7', '6/7', '6/7', '1', '5'] -> ((5 - 1) / (2/7 / (6/7 + 6/7)))
[72607] ['1/9', '1', '8/7', '7/6', '7'] -> (8/7 / ((1 / 7) - (1/9 / 7/6)))
[72608] ['9/8', '9/7', '5/2', '4', '6'] -> (6 / ((9/8 / 9/7) - (5/2 / 4)))
[72609] ['5/9', '6/5', '9/2', '9', '9'] -> (9 * ((5/9 * 6/5) + (9 / 9/2)))
[72610] ['3/4', '7/9', '1', '1', '6/5'] -> ((1 / 3/4) / ((1 / 6/5) - 7/9))
[72611] ['5/9', '5/4', '5/4', '9', '9'] -> ((9 * (5/9 + 5/4)) - (5/4 - 9))
[72612] ['2/7', '6/7', '1', '8/7', '5'] -> (1 + ((6/7 + (8/7 * 5)) / 2/7))
[72613] ['7/9', '4/5', '1', '6/5', '7'] -> (((4/5 * 7) / (1 - 7/9)) - 6/5)
[72614] ['5/9', '3/4', '1', '7/6', '2'] -> ((1 / 3/4) / (7/6 - (5/9 * 2)))
[72615] ['5/7', '1', '3/2', '5/3', '9'] -> (((5/7 + 5/3) * (3/2 + 9)) - 1)
[72616] ['3/5', '5/6', '9/8', '6', '6'] -> ((6 - 3/5) * (6 * (5/6 / 9/8)))
[72617] ['1/9', '1', '8/7', '7/5', '7'] -> (7/5 * ((1 / 1/9) + (8/7 + 7)))
[72618] ['5/9', '3/4', '1', '5/4', '2'] -> (2 / (5/4 - (3/4 * (5/9 + 1))))
[72619] ['1/5', '3/4', '5/6', '7', '7'] -> ((7 + 7) / (3/4 - (1/5 * 5/6)))
[72620] ['3/4', '7/9', '1', '1', '8/5'] -> (1 / ((1 / 8/5) - (3/4 * 7/9)))
[72621] ['7/9', '4/5', '1', '9/7', '7'] -> ((7/9 + 7) * (9/7 + (4/5 + 1)))
[72622] ['1/9', '1', '8/7', '3/2', '7'] -> ((8/7 / 3/2) / ((1 / 7) - 1/9))
[72623] ['1/4', '4/9', '6/7', '1', '6'] -> ((6 + (1 / (1/4 * 6/7))) / 4/9)
[72624] ['3/7', '5/9', '2', '2', '8/3'] -> ((2 / 3/7) / ((2 / 8/3) - 5/9))
[72625] ['2/7', '6/7', '1', '5/3', '5'] -> (((5/3 * 5) / (2/7 / 6/7)) - 1)
[72626] ['7/9', '4/5', '1', '7/5', '7'] -> (7 * ((4/5 / 7/9) + (1 + 7/5)))
[72627] ['1/5', '3/4', '7/8', '7', '7'] -> ((3/4 / 7/8) * ((7 / 1/5) - 7))
[72628] ['4/9', '4/5', '5/3', '2', '5'] -> ((5/3 + 5) * (2 / (4/9 / 4/5)))
[72629] ['9/8', '7/5', '7/4', '4', '6'] -> ((7/5 + 4) * (6 - (7/4 / 9/8)))
[72630] ['2/7', '6/7', '1', '7/4', '5'] -> (6/7 / (7/4 - (2/7 * (1 + 5))))
[72631] ['7/9', '4/5', '1', '3/2', '7'] -> (4/5 * ((7 / (1 - 7/9)) - 3/2))
[72632] ['5/9', '5/4', '7/4', '9', '9'] -> (9 + ((5/9 * 9) * (5/4 + 7/4)))
[72633] ['5/7', '1', '8/5', '8/5', '9'] -> (8/5 + ((1 + 9) / (5/7 / 8/5)))
[72634] ['4/9', '7/5', '7/3', '5', '8'] -> (((5 * (7/5 + 7/3)) - 8) / 4/9)
[72635] ['1/7', '8/9', '5/3', '4', '4'] -> (((4 / 1/7) - (5/3 * 4)) / 8/9)
[72636] ['1/4', '4/9', '1', '8/7', '6'] -> (6 * ((1 / (4/9 - 1/4)) - 8/7))
[72637] ['7/9', '4/5', '1', '8/5', '7'] -> ((4/5 + 8/5) * (1 + (7 / 7/9)))
[72638] ['5/7', '1', '8/5', '5/3', '9'] -> (8/5 + ((1 + (5/3 * 9)) / 5/7))
[72639] ['4/5', '9/8', '7/4', '5', '6'] -> (((5 / 4/5) - 7/4) / (9/8 / 6))
