[35805] ['7/6', '7/6', '9/5', '2', '8'] -> (8 / ((9/5 * (2 - 7/6)) - 7/6))
[36455] ['1/8', '3/8', '1', '8/5', '9'] -> (9 / ((1/8 - 3/8) + (1 / 8/5)))
[36456] ['2/7', '4/5', '7/5', '5', '5'] -> ((5 + (5 / 7/5)) / (2/7 / 4/5))
[36457] ['5/4', '7/3', '7/3', '6', '7'] -> (6 / ((7 / (7/3 + 7/3)) - 5/4))
[36458] ['4/7', '5/8', '2', '9/4', '9'] -> ((9/4 / (5/8 - 4/7)) - (2 * 9))
[36459] ['2/7', '3/5', '7/6', '7', '8'] -> ((2/7 * 8) * ((7 / 3/5) - 7/6))
[36460] ['1/3', '4/9', '5/7', '2', '7'] -> ((1/3 + (5/7 * 7)) / (4/9 / 2))
[36461] ['3/7', '5/6', '4/3', '7', '7'] -> ((7 * (3/7 + 7)) / (5/6 + 4/3))
[36462] ['1', '6/5', '3/2', '7/4', '3'] -> (1 / (3 - (3/2 + (7/4 / 6/5))))
[36463] ['4/7', '3/5', '3/2', '7', '9'] -> ((3/5 + 9) * ((4/7 * 7) - 3/2))
[36464] ['2/7', '4/5', '8/5', '5', '5'] -> ((5 / (2/7 / 8/5)) - (4/5 * 5))
[36465] ['4/7', '3/4', '7/9', '5', '7'] -> ((7 + (5 / (4/7 * 3/4))) / 7/9)
[36466] ['4/7', '5/8', '2', '8/3', '9'] -> (((9 / 4/7) - (2 / 8/3)) / 5/8)
[36467] ['1/3', '4/9', '4/5', '2', '7'] -> ((2 / (4/9 / 4/5)) * (7 - 1/3))
[36468] ['4/7', '4/3', '7/5', '2', '6'] -> ((4/7 + (4/3 * 6)) * (7/5 * 2))
[36469] ['4/7', '3/5', '8/5', '7', '9'] -> ((3/5 + 9) * (7 * (4/7 / 8/5)))
[36470] ['4/7', '3/4', '4/5', '5', '7'] -> ((3/4 * 7) * (4/7 + (4/5 * 5)))
[36471] ['8/7', '5/4', '9/4', '8', '9'] -> (9/4 / ((5/4 / 8/7) + (8 - 9)))
[36472] ['1/8', '2/5', '4/9', '1', '9'] -> ((4/9 * 9) + (1 / (1/8 * 2/5)))
[36473] ['4/7', '5/8', '2', '9/2', '9'] -> (9 / (9/2 - (5/8 + (2 / 4/7))))
[36474] ['1', '6/5', '3/2', '5/2', '3'] -> (((5/2 * 3) / (3/2 - 6/5)) - 1)
[36475] ['2/7', '4/5', '7/4', '5', '5'] -> (((4/5 * 5) + (5 / 7/4)) / 2/7)
[36476] ['4/7', '3/5', '7/4', '7', '9'] -> ((3/5 * 7) * (4/7 + (9 / 7/4)))
[36477] ['3/5', '5/7', '7/8', '2', '3'] -> (3 / ((5/7 * (2 - 3/5)) - 7/8))
[36478] ['1', '6/5', '3/2', '3', '7/2'] -> ((6/5 * (1 + 3)) * (3/2 + 7/2))
[36479] ['3/7', '5/6', '5/3', '7', '7'] -> (7 + (7 * (3/7 + (5/3 / 5/6))))
[36480] ['3/5', '5/7', '8/9', '2', '3'] -> ((3 / (5/7 - 3/5)) - (2 / 8/9))
[36481] ['4/7', '3/4', '8/9', '5', '7'] -> ((5 + (7 / (4/7 * 3/4))) / 8/9)
[36482] ['4/7', '3/5', '5/2', '7', '9'] -> ((9 * (4/7 / 3/5)) / (5/2 / 7))
[36483] ['1/3', '4/9', '7/5', '2', '7'] -> ((1/3 + (7 / 7/5)) / (4/9 / 2))
[36484] ['8/7', '9/7', '9/7', '8', '9'] -> ((8 - 8/7) * (9 / (9/7 + 9/7)))
[36485] ['1/8', '2/5', '2/3', '1', '9'] -> ((9 - (1 / 2/3)) / (1/8 / 2/5))
[36486] ['3/7', '5/6', '7/4', '7', '7'] -> ((7 + (7/4 * (3/7 + 7))) / 5/6)
[36487] ['4/7', '2/3', '8/9', '2', '9'] -> ((2 + (9 / (4/7 / 8/9))) / 2/3)
[36488] ['4/7', '3/4', '6/5', '5', '7'] -> (6/5 / ((7 * (4/7 / 5)) - 3/4))
[36489] ['7/5', '7/5', '2', '9/2', '8'] -> ((2 * (9/2 + 8)) - (7/5 / 7/5))
[36490] ['3/7', '5/6', '9/5', '7', '7'] -> ((7 / 5/6) + (7 * (3/7 + 9/5)))
[36491] ['2/7', '4/5', '8/3', '5', '5'] -> (8/3 * ((5 / (2/7 / 4/5)) - 5))
[36492] ['8/7', '9/7', '8/5', '8', '9'] -> ((8/5 * (9 - (9/7 - 8))) - 8/7)
[36493] ['9/7', '4/3', '8/5', '6', '7'] -> ((9/7 * 8/5) * (7 - (4/3 - 6)))
[36494] ['4/7', '2/3', '9/8', '2', '9'] -> ((2 + (9 / (4/7 * 9/8))) / 2/3)
[36495] ['7/5', '3/2', '3/2', '2', '8'] -> ((7/5 + (3/2 / 3/2)) * (2 + 8))
[36496] ['2/3', '9/7', '7/5', '4', '5'] -> ((7/5 * 4) * (5 * (2/3 * 9/7)))
[36497] ['3/5', '5/7', '5/4', '2', '3'] -> (2 / (3 - (5/4 / (3/5 * 5/7))))
[36498] ['2/7', '3/5', '5/2', '7', '8'] -> ((5/2 * 7) * (8 * (2/7 * 3/5)))
[36499] ['8/7', '9/7', '9/5', '8', '9'] -> (((9 / 9/5) - 8/7) / (9/7 / 8))
[36500] ['1/3', '4/9', '9/5', '2', '7'] -> ((7 - 2) / (4/9 / (1/3 + 9/5)))
[36501] ['4/7', '5/8', '5/8', '7', '9'] -> ((7 + (5/8 + 5/8)) + (9 / 4/7))
[36502] ['1', '6/5', '8/5', '5/2', '3'] -> (3 * (1 + (5/2 * (6/5 + 8/5))))
[36503] ['3/7', '5/6', '7/3', '7', '7'] -> ((3/7 / 5/6) * ((7 * 7) - 7/3))
[36504] ['4/7', '2/3', '6/5', '2', '9'] -> ((2 - 4/7) * (9 * (2/3 + 6/5)))
[36505] ['2/7', '3/5', '8/3', '7', '8'] -> (((2/7 / 3/5) * (7 * 8)) - 8/3)
[36506] ['1/8', '2/5', '8/9', '1', '9'] -> ((((9 / 8/9) - 1/8) / 2/5) - 1)
[36507] ['4/7', '7/5', '2', '7/3', '6'] -> ((2 / (7/5 - (4/7 * 7/3))) - 6)
[36508] ['2/3', '9/7', '5/3', '4', '5'] -> ((2/3 + 5/3) * (5 + (9/7 + 4)))
[36509] ['8/7', '9/7', '5/2', '8', '9'] -> (8 * ((8/7 * 5/2) + (9/7 / 9)))
[36510] ['3/7', '5/6', '8/3', '7', '7'] -> (7 / ((7 * (3/7 / 8/3)) - 5/6))
[36511] ['4/7', '3/4', '9/5', '5', '7'] -> (5 * (9/5 + (7 * (4/7 * 3/4))))
[36512] ['9/7', '7/5', '7/5', '6', '7'] -> (7 * (9/7 + (6 / (7/5 + 7/5))))
[36513] ['2/3', '9/7', '7/4', '4', '5'] -> ((5 / ((9/7 / 2/3) - 7/4)) - 4)
[36514] ['4/7', '5/8', '7/9', '7', '9'] -> (9 / (7/9 * (4/7 - (5/8 / 7))))
[36515] ['2/7', '5/8', '2/3', '7', '8'] -> ((8 + (2/7 * 7)) / (5/8 * 2/3))
[36516] ['7/5', '3/2', '2', '9/2', '8'] -> ((2 + 8) * (9/2 - (7/5 * 3/2)))
[36517] ['2/7', '5/6', '8/9', '5', '5'] -> ((5 + (5 / 2/7)) / (5/6 / 8/9))
[36518] ['1/3', '1/2', '5/7', '2', '7'] -> (((7 / (1/2 / 5/7)) - 2) / 1/3)
[36519] ['1', '6/5', '5/3', '9/4', '3'] -> (3 / ((9/4 / (6/5 * 5/3)) - 1))
[36520] ['9/7', '7/5', '8/5', '6', '7'] -> ((7 * (8/5 + (9/7 + 7/5))) - 6)
[36521] ['4/7', '5/8', '4/5', '7', '9'] -> ((7 * (4/7 + 4/5)) + (9 / 5/8))
[36522] ['8/7', '4/3', '8/5', '8', '9'] -> (8/7 * ((8 / (8/5 - 4/3)) - 9))
[36523] ['4/7', '3/2', '5/3', '2', '6'] -> (6 * (5/3 + (2 / (4/7 * 3/2))))
[36524] ['2/7', '5/6', '9/8', '5', '5'] -> ((5 + (5 / 2/7)) / (5/6 * 9/8))
[36525] ['4/7', '5/8', '6/7', '7', '9'] -> (9 / ((5/8 / 7) - (4/7 - 6/7)))
[36526] ['4/7', '3/2', '9/5', '2', '6'] -> (3/2 + (9/5 * (2 + (6 / 4/7))))
[36527] ['2/3', '9/7', '7/3', '4', '5'] -> (4 * ((9/7 + 5) - (2/3 / 7/3)))
[36528] ['1/8', '1/3', '6/5', '3', '3'] -> ((3 + 3) / (6/5 * (1/3 - 1/8)))
[36529] ['3/5', '5/7', '9/5', '2', '3'] -> ((3/5 + (3 / 5/7)) / (2 - 9/5))
[36530] ['3/7', '6/7', '6/5', '7', '7'] -> ((6/7 * 6/5) * (7 + (7 / 3/7)))
[36531] ['7/5', '5/3', '2', '7/2', '8'] -> ((2 * 7/2) * (8 / (7/5 * 5/3)))
[36532] ['8/7', '4/3', '9/4', '8', '9'] -> ((4/3 * 9/4) / (8 - (9 / 8/7)))
[36533] ['4/7', '7/9', '4/5', '5', '7'] -> ((7/9 * 5) * (4/7 + (4/5 * 7)))
[36534] ['1', '6/5', '5/3', '3', '7/2'] -> (3 * (1 + (7/2 * (6/5 * 5/3))))
[36535] ['9/7', '7/5', '7/3', '6', '7'] -> (9/7 * (7 + (7/5 * (7/3 + 6))))
[36536] ['2/7', '5/8', '5/6', '7', '8'] -> ((7 + (8 / 2/7)) / (5/8 + 5/6))
[36537] ['7/5', '5/3', '2', '9/2', '8'] -> (8 * ((2 / (5/3 - 7/5)) - 9/2))
[36538] ['4/7', '7/9', '5/6', '5', '7'] -> ((5 + 7) / ((5/6 / 7/9) - 4/7))
[36539] ['3/7', '6/7', '5/4', '7', '7'] -> ((6/7 * 7) / (3/7 - (5/4 / 7)))
[36540] ['4/7', '8/5', '5/3', '2', '6'] -> (6 * ((8/5 / 4/7) + (2 / 5/3)))
[36541] ['9/7', '7/5', '7/2', '6', '7'] -> ((9/7 * 7) + (6 / (7/5 / 7/2)))
[36542] ['2/7', '5/6', '9/7', '5', '5'] -> ((5 + (2/7 - 9/7)) / (5/6 / 5))
[36543] ['3/7', '6/7', '7/5', '7', '7'] -> ((7 + (7 / 7/5)) / (3/7 / 6/7))
[36544] ['4/7', '5/7', '7/9', '2', '9'] -> ((2 * (5/7 + (9 / 7/9))) - 4/7)
[36545] ['2/7', '5/8', '8/9', '7', '8'] -> (8 / (8/9 * (2/7 + (5/8 / 7))))
[36546] ['2/3', '7/5', '7/5', '4', '5'] -> ((5 - (7/5 / 7/5)) / (2/3 / 4))
[36547] ['7/5', '7/4', '2', '7/3', '8'] -> ((7/5 * (2 + 8)) / (7/3 - 7/4))
[36548] ['1', '6/5', '7/4', '7/3', '3'] -> (3 / ((1 - 7/3) + (7/4 / 6/5)))
[36549] ['3/5', '5/7', '2', '5/2', '3'] -> ((2 * 5/2) * (3/5 + (3 / 5/7)))
[36550] ['4/7', '5/8', '7/6', '7', '9'] -> ((9 + (4/7 * 7)) / (7/6 - 5/8))
[36551] ['8/7', '7/5', '5/3', '8', '9'] -> (8/7 * ((8 / (5/3 - 7/5)) - 9))
[36552] ['3/7', '6/7', '8/5', '7', '7'] -> ((8/5 * 7) * ((3/7 * 7) - 6/7))
[36553] ['9/7', '3/2', '9/5', '6', '7'] -> (((9/7 * 7) / (9/5 - 3/2)) - 6)
[36554] ['3/7', '6/7', '7/4', '7', '7'] -> ((7/4 * (7 + 7)) - (3/7 / 6/7))
[36555] ['8/7', '7/5', '7/4', '8', '9'] -> (8/7 + ((8 * 9) / (7/5 + 7/4)))
[36556] ['4/7', '7/9', '9/8', '5', '7'] -> ((5 + 7) / (9/8 * (4/7 * 7/9)))
[36557] ['4/7', '5/7', '8/9', '2', '9'] -> ((4/7 + (8/9 * 9)) / (5/7 / 2))
[36558] ['1', '6/5', '7/4', '8/3', '3'] -> (6/5 / ((3 / (8/3 - 1)) - 7/4))
[36559] ['7/5', '7/4', '2', '9/2', '8'] -> ((8 * (9/2 - (7/4 / 7/5))) - 2)
[36560] ['4/7', '5/8', '5/4', '7', '9'] -> (9 / (7 * (5/4 - (4/7 + 5/8))))
[36561] ['2/7', '5/8', '6/5', '7', '8'] -> ((7 + (6/5 / 2/7)) + (8 / 5/8))
[36562] ['4/7', '7/9', '8/7', '5', '7'] -> ((4/7 + 8/7) * (5 + (7 / 7/9)))
[36563] ['4/7', '8/5', '2', '7/2', '6'] -> (8/5 * (6 + (7/2 * (4/7 + 2))))
[36564] ['9/7', '8/5', '8/5', '6', '7'] -> ((8/5 * 6) + (7 * (9/7 * 8/5)))
[36565] ['1/3', '5/9', '6/7', '2', '7'] -> (7 * (2 + (6/7 / (1/3 / 5/9))))
[36566] ['8/7', '7/5', '9/4', '8', '9'] -> (8/7 + ((8 * 9) / (7/5 * 9/4)))
[36567] ['2/3', '8/5', '7/4', '4', '5'] -> ((8/5 + 4) * (5 / (2/3 * 7/4)))
[36568] ['4/7', '5/8', '9/7', '7', '9'] -> ((9/7 * 9) / (4/7 - (5/8 / 7)))
[36569] ['2/7', '5/8', '5/4', '7', '8'] -> (8 + (7 * (2/7 + (5/4 / 5/8))))
[36570] ['3/7', '6/7', '9/4', '7', '7'] -> (6/7 / ((7 / 7) - (3/7 * 9/4)))
[36571] ['7/5', '2', '9/4', '9/4', '8'] -> ((2 + 8) * (7/5 + (9/4 / 9/4)))
[36572] ['4/7', '8/5', '2', '9/2', '6'] -> ((8/5 * (2 - 4/7)) * (9/2 + 6))
[36573] ['8/7', '7/5', '7/3', '8', '9'] -> (9 * ((8 / (8/7 * 7/5)) - 7/3))
[36574] ['4/7', '5/7', '8/5', '2', '9'] -> (8/5 * (((5/7 + 9) / 4/7) - 2))
[36575] ['7/5', '2', '9/4', '7/3', '8'] -> (7/5 * ((9/4 * 8) - (2 / 7/3)))
[36576] ['4/7', '5/3', '7/4', '2', '6'] -> ((2 / 4/7) + (6 * (5/3 + 7/4)))
[36577] ['1', '6/5', '9/5', '5/2', '3'] -> (5/2 * (6/5 + (3 * (1 + 9/5))))
[36578] ['4/7', '7/9', '5/4', '5', '7'] -> ((7/9 * 5) * (4/7 + (7 / 5/4)))
[36579] ['1/3', '5/9', '5/4', '2', '7'] -> (2 / ((1/3 * 7) - (5/4 / 5/9)))
[36580] ['9/7', '8/5', '7/3', '6', '7'] -> (8/5 * ((7 * (9/7 * 7/3)) - 6))
[36581] ['3/7', '7/8', '8/9', '7', '7'] -> (3/7 * (7/8 + (7 / (8/9 / 7))))
[36582] ['7/5', '2', '9/4', '8/3', '8'] -> (9/4 * ((8 / (2 - 7/5)) - 8/3))
[36583] ['1', '6/5', '9/4', '9/4', '3'] -> (((9/4 + 3) / (6/5 - 1)) - 9/4)
[36584] ['4/7', '5/3', '9/5', '2', '6'] -> ((5/3 * 9/5) + (6 / (4/7 / 2)))
[36585] ['2/7', '5/8', '7/5', '7', '8'] -> (((8 / 2/7) - 7) / (5/8 * 7/5))
[36586] ['2/7', '5/6', '8/3', '5', '5'] -> ((5 * 5) - (2/7 * (5/6 + 8/3)))
[36587] ['8/7', '7/5', '7/2', '8', '9'] -> (9 * ((8 / (7/2 - 7/5)) - 8/7))
[36588] ['1/8', '3/7', '8/9', '1', '9'] -> (((8/9 * 9) - 1) / (1/8 / 3/7))
[36589] ['9/7', '8/5', '5/2', '6', '7'] -> ((6 - (9/7 / 5/2)) / (8/5 / 7))
[36590] ['4/7', '7/9', '7/5', '5', '7'] -> ((7/9 * 5) * (7 + (4/7 - 7/5)))
[36591] ['8/7', '7/5', '9/2', '8', '9'] -> (7/5 * (8/7 + (9 / (9/2 / 8))))
[36592] ['1', '6/5', '9/4', '8/3', '3'] -> (8/3 / ((3 / (6/5 * 9/4)) - 1))
[36593] ['4/7', '7/9', '3/2', '5', '7'] -> (3/2 * (4/7 + ((5 + 7) / 7/9)))
[36594] ['1/3', '5/9', '8/5', '2', '7'] -> ((8/5 / (1/3 / 5/9)) * (2 + 7))
[36595] ['3/5', '3/4', '4/3', '2', '3'] -> (4/3 * ((3 / (3/4 - 3/5)) - 2))
[36596] ['8/7', '3/2', '8/5', '8', '9'] -> ((8/7 * 3/2) * (9 + (8 / 8/5)))
[36597] ['9/7', '8/5', '7/2', '6', '7'] -> ((8/5 * 6) * (7 - (9/7 * 7/2)))
[36598] ['2/7', '6/7', '6/7', '5', '5'] -> (6/7 * ((6/7 / 2/7) + (5 * 5)))
[36599] ['4/7', '5/8', '7/4', '7', '9'] -> (((7 + 9) - (4/7 * 7/4)) / 5/8)
[36600] ['3/7', '7/8', '5/4', '7', '7'] -> ((7 * 7) / ((5/4 / 3/7) - 7/8))
[36601] ['7/5', '2', '7/3', '7/2', '8'] -> ((8 / 2) / ((7/2 / 7/5) - 7/3))
[36602] ['1', '6/5', '9/4', '3', '9/2'] -> ((1 + 3) * (9/4 + (9/2 / 6/5)))
[36603] ['3/7', '7/8', '9/7', '7', '7'] -> ((9/7 / 3/7) / ((7 / 7) - 7/8))
[36604] ['4/7', '9/5', '9/5', '2', '6'] -> (6 / (2 - (9/5 / (4/7 * 9/5))))
[36605] ['5/7', '5/7', '7/9', '4', '5'] -> ((7/9 * 4) * (5/7 + (5 / 5/7)))
[36606] ['4/7', '5/8', '9/4', '7', '9'] -> (9 / ((9/4 / 7) - (4/7 - 5/8)))
[36607] ['4/7', '7/9', '7/4', '5', '7'] -> ((4/7 * (7/4 + 5)) * (7 - 7/9))
[36608] ['5/7', '5/7', '6/7', '4', '5'] -> (6/7 / ((5/7 / 4) - (5/7 / 5)))
[36609] ['2/7', '6/7', '7/6', '5', '5'] -> (((6/7 / 2/7) + (5 * 5)) / 7/6)
[36610] ['3/7', '7/8', '3/2', '7', '7'] -> (((7 / 3/7) + (7 / 3/2)) / 7/8)
[36611] ['4/7', '5/8', '7/3', '7', '9'] -> (((4/7 * 7) - 7/3) / (5/8 / 9))
[36612] ['8/7', '8/5', '5/3', '8', '9'] -> (5/3 * ((8 / 8/7) - (8/5 - 9)))
[36613] ['4/7', '7/9', '9/4', '5', '7'] -> (7 * (4/7 + (5 / (7/9 * 9/4))))
[36614] ['5/7', '5/7', '9/8', '4', '5'] -> (((4 * 5) - 5/7) / (5/7 * 9/8))
[36615] ['1/3', '4/7', '5/8', '2', '7'] -> ((7 - 4/7) / (5/8 / (1/3 + 2)))
[36616] ['4/7', '5/8', '8/3', '7', '9'] -> (7 * ((9 / 8/3) - (4/7 - 5/8)))
[36617] ['4/7', '3/4', '7/6', '2', '9'] -> (((2 / 7/6) + (9 / 3/4)) / 4/7)
[36618] ['1/8', '3/7', '1', '5/2', '9'] -> ((3/7 + (9 / (1 + 5/2))) / 1/8)
[36619] ['8/7', '8/5', '7/4', '8', '9'] -> (8/5 * ((8 + 9) - (8/7 * 7/4)))
[36620] ['7/5', '2', '7/2', '9/2', '8'] -> ((2 + 8) * (9/2 + (7/5 - 7/2)))
[36621] ['3/5', '7/9', '4/5', '2', '3'] -> ((2 / 3) / (7/9 - (3/5 / 4/5)))
[36622] ['9/7', '9/5', '9/4', '6', '7'] -> ((6 / 7) / (9/7 - (9/4 / 9/5)))
[36623] ['5/7', '5/7', '3/2', '4', '5'] -> ((3/2 * 4) * (5 - (5/7 / 5/7)))
[36624] ['8/7', '8/5', '9/4', '8', '9'] -> (((8 * 9) / (8/7 + 8/5)) - 9/4)
[36625] ['4/7', '3/4', '4/3', '2', '9'] -> (2 + (4/3 * (3/4 + (9 / 4/7))))
[36626] ['4/7', '2', '9/4', '9/4', '6'] -> (6 / (2 - (9/4 / (4/7 * 9/4))))
[36627] ['2/7', '2/3', '5/4', '7', '8'] -> (2/7 / (5/4 - ((2/3 + 8) / 7)))
[36628] ['4/7', '2/3', '3/4', '7', '9'] -> (((4/7 * 7) + (9 / 3/4)) / 2/3)
[36629] ['9/7', '9/5', '7/2', '6', '7'] -> (9/7 * (7 + (6 / (9/5 / 7/2))))
[36630] ['4/7', '7/9', '9/2', '5', '7'] -> ((9/2 * (4/7 * 7/9)) * (5 + 7))
[36631] ['1/3', '4/7', '9/8', '2', '7'] -> (7 / (2 - (9/8 + (1/3 / 4/7))))
[36632] ['3/7', '7/8', '9/2', '7', '7'] -> ((7 / 3/7) / ((7 / 9/2) - 7/8))
[36633] ['2/7', '6/7', '5/2', '5', '5'] -> (6/7 / (2/7 - (5/2 / (5 + 5))))
[36634] ['5/7', '5/7', '9/4', '4', '5'] -> (5/7 + (4 * (9/4 + (5/7 * 5))))
[36635] ['4/7', '2/3', '7/9', '7', '9'] -> ((7 + 9) / (7/9 * (4/7 / 2/3)))
[36636] ['3/7', '8/9', '8/9', '7', '7'] -> ((3/7 * 7) * (7 + (8/9 / 8/9)))
[36637] ['1/3', '4/7', '6/5', '2', '7'] -> (7 * (2 + (4/7 / (1/3 * 6/5))))
[36638] ['4/7', '3/4', '5/3', '2', '9'] -> (((2 + 9) / (4/7 * 3/4)) - 5/3)
[36639] ['1', '5/4', '5/4', '4/3', '3'] -> (((1 + 5/4) / (4/3 - 5/4)) - 3)
[36640] ['5/7', '5/7', '7/3', '4', '5'] -> (7/3 * ((5 / 5/7) - (5/7 - 4)))
[36641] ['4/7', '4/5', '7/8', '5', '7'] -> (7/8 * ((7 * (4/5 * 5)) - 4/7))
[36642] ['2/7', '6/7', '7/2', '5', '5'] -> (((5 - 2/7) / (6/7 / 5)) - 7/2)
[36643] ['4/7', '2/3', '4/5', '7', '9'] -> ((4/5 * 9) * ((4/7 * 7) - 2/3))
[36644] ['2/7', '2/3', '8/5', '7', '8'] -> ((8 + (2/7 * 7)) / (2/3 / 8/5))
[36645] ['3/7', '8/9', '9/8', '7', '7'] -> ((3/7 * 7) * (7 + (8/9 * 9/8)))
[36646] ['1', '5/4', '5/4', '7/5', '3'] -> (((5/4 * 3) / (7/5 - 5/4)) - 1)
[36647] ['4/7', '3/4', '9/5', '2', '9'] -> ((9/5 * ((9 / 4/7) - 2)) - 3/4)
[36648] ['3/5', '7/9', '9/8', '2', '3'] -> ((2 + 3) / (3/5 * (9/8 - 7/9)))
[36649] ['1/3', '4/7', '8/5', '2', '7'] -> ((8/5 * (1/3 + 2)) * (7 - 4/7))
[36650] ['4/7', '3/4', '2', '7/3', '9'] -> (2 + (7/3 * (9 + (4/7 * 3/4))))
[36651] ['9/7', '8/3', '8/3', '6', '7'] -> (8/3 * ((6 / 9/7) - (8/3 - 7)))
[36652] ['2/7', '7/8', '8/9', '5', '5'] -> ((7/8 + (5 / 2/7)) + (5 / 8/9))
[36653] ['1', '5/4', '5/4', '8/5', '3'] -> ((5/4 * 8/5) * (3 / (5/4 - 1)))
[36654] ['4/7', '4/5', '7/6', '5', '7'] -> ((7 - (4/5 / 4/7)) / (7/6 / 5))
[36655] ['3/5', '3/5', '5/7', '2', '6'] -> (6 * ((3/5 + 3/5) + (2 / 5/7)))
[36656] ['1/8', '4/9', '1', '7/6', '9'] -> ((1/8 + 1) + ((7/6 + 9) / 4/9))
[36657] ['2/7', '5/7', '7/9', '7', '8'] -> (7 / (7/9 * (2/7 + (5/7 / 8))))
[36658] ['3/5', '3/5', '7/9', '2', '6'] -> ((2 + (6 / (3/5 * 3/5))) / 7/9)
[36659] ['4/7', '3/4', '2', '7/2', '9'] -> ((9 + (7/2 * (4/7 + 2))) / 3/4)
[36660] ['3/5', '7/9', '6/5', '2', '3'] -> ((3/5 / (2 - (7/9 + 6/5))) - 3)
[36661] ['1/8', '4/9', '1', '6/5', '9'] -> (9 + ((1 / 6/5) / (1/8 * 4/9)))
[36662] ['4/7', '4/5', '4/3', '5', '7'] -> ((4/7 + (4/5 * 5)) / (4/3 / 7))
[36663] ['4/3', '4/3', '4/3', '6', '7'] -> (4/3 / (((4/3 + 7) / 6) - 4/3))
[36664] ['1', '5/4', '5/4', '9/4', '3'] -> ((9/4 + (5/4 * 3)) / (5/4 - 1))
[36665] ['3/5', '3/5', '6/7', '2', '6'] -> (6 / (3/5 - ((3/5 / 6/7) / 2)))
[36666] ['2/7', '7/8', '6/5', '5', '5'] -> (5 * ((2/7 - 6/5) + (5 / 7/8)))
[36667] ['8/5', '2', '9/4', '7/3', '8'] -> (8 / ((7/3 / 8/5) - (9/4 / 2)))
[36668] ['4/3', '4/3', '7/5', '6', '7'] -> (6 * ((7 / 7/5) - (4/3 / 4/3)))
[36669] ['3/7', '8/9', '9/7', '7', '7'] -> ((9/7 * 7) * (7 * (3/7 * 8/9)))
[36670] ['1/8', '4/9', '1', '9/7', '9'] -> (((1 / 9/7) - 4/9) / (1/8 / 9))
[36671] ['1', '5/4', '5/4', '7/3', '3'] -> ((1 + 3) / ((5/4 + 5/4) - 7/3))
[36672] ['2/7', '5/7', '8/9', '7', '8'] -> (8/9 * (7 + (8 / (2/7 / 5/7))))
[36673] ['3/5', '3/5', '8/7', '2', '6'] -> ((3/5 + (2 * 6)) / (3/5 / 8/7))
[36674] ['4/3', '4/3', '8/5', '6', '7'] -> ((4/3 * 8/5) * (6 + (7 / 4/3)))
[36675] ['3/5', '7/9', '4/3', '2', '3'] -> (4/3 / ((2 / (3 - 3/5)) - 7/9))
[36676] ['3/7', '8/9', '7/5', '7', '7'] -> (((7 / 3/7) + (7 / 7/5)) / 8/9)
[36677] ['8/7', '7/4', '9/2', '8', '9'] -> ((8 - 8/7) * (9 * (7/4 / 9/2)))
[36678] ['4/7', '7/9', '5/6', '2', '9'] -> ((9 + (5/6 * 2)) / (4/7 * 7/9))
[36679] ['3/5', '3/5', '9/7', '2', '6'] -> (9/7 * (2 + (6 / (3/5 * 3/5))))
[36680] ['1', '5/4', '5/4', '8/3', '3'] -> ((1 + 3) / (8/3 - (5/4 + 5/4)))
[36681] ['3/7', '8/9', '3/2', '7', '7'] -> ((8/9 * (3/7 + 3/2)) * (7 + 7))
[36682] ['8/5', '2', '7/3', '7/2', '8'] -> ((2 + 8) * (7/2 * (8/5 / 7/3)))
[36683] ['1/3', '3/5', '6/7', '2', '7'] -> (((7 / (3/5 / 6/7)) - 2) / 1/3)
[36684] ['1', '5/4', '5/4', '3', '7/2'] -> ((1 + 3) * (7/2 + (5/4 + 5/4)))
[36685] ['3/5', '5/8', '5/8', '2', '6'] -> (6 / ((5/8 * (2 - 3/5)) - 5/8))
[36686] ['4/7', '7/9', '8/9', '2', '9'] -> ((8/9 + (4/7 * 7/9)) * (2 * 9))
[36687] ['2/7', '7/8', '3/2', '5', '5'] -> (((5 / 2/7) - (3/2 - 5)) / 7/8)
[36688] ['4/7', '5/7', '4/5', '7', '9'] -> (4/5 + ((9 + (4/7 + 7)) / 5/7))
[36689] ['1/3', '3/5', '9/8', '2', '7'] -> ((7 / (3/5 - 1/3)) - (9/8 * 2))
[36690] ['1/8', '1/2', '4/7', '1', '9'] -> (9 + ((1 + (1/2 / 4/7)) / 1/8))
[36691] ['2/7', '7/8', '8/5', '5', '5'] -> (8/5 * ((5 / (2/7 * 7/8)) - 5))
[36692] ['5/3', '7/4', '9/5', '2', '8'] -> ((8 * (7/4 * 9/5)) - (2 / 5/3))
[36693] ['4/7', '5/7', '7/8', '7', '9'] -> ((9 / 7) / ((5/7 * 7/8) - 4/7))
[36694] ['2/7', '5/7', '9/4', '7', '8'] -> ((9/4 * 8) + (7 - (2/7 + 5/7)))
[36695] ['1/3', '3/5', '8/7', '2', '7'] -> ((8/7 * 7) * ((2 / 3/5) - 1/3))
[36696] ['4/7', '7/9', '7/6', '2', '9'] -> (((4/7 * 7/6) + (2 * 9)) / 7/9)
[36697] ['4/3', '7/5', '7/4', '6', '7'] -> (6 * ((7 / 4/3) - (7/4 / 7/5)))
[36698] ['1/3', '3/5', '7/6', '2', '7'] -> (((7 / (3/5 * 7/6)) - 2) / 1/3)
[36699] ['5/7', '3/4', '4', '9/2', '5'] -> (9/2 * ((5 / (5/7 * 3/4)) - 4))
