[26854] ['1/7', '3/7', '1', '5/2', '5'] -> (((3/7 + 1) + (5 / 5/2)) / 1/7)
[27791] ['2/5', '8/7', '2', '8/3', '3'] -> (3 / ((2 / (8/7 + 8/3)) - 2/5))
[27792] ['3/5', '6/7', '4/3', '6', '7'] -> ((6 - (6/7 / 3/5)) / (4/3 / 7))
[27793] ['1/5', '3/7', '5/9', '5', '5'] -> (((5 / 1/5) - (5 / 3/7)) / 5/9)
[27794] ['1/7', '4/5', '8/9', '1', '5'] -> (8/9 * ((5 / (1/7 / 4/5)) - 1))
[27795] ['2/5', '4/5', '6/7', '4', '5'] -> ((6/7 * 4) * (5 + (4/5 / 2/5)))
[27796] ['1/3', '3/8', '3/7', '2', '6'] -> ((((6 - 2) / 3/7) - 1/3) / 3/8)
[27797] ['7/9', '4/5', '4/5', '1', '8'] -> (8 / (7/9 - (4/5 / (4/5 + 1))))
[27798] ['1/6', '2/5', '7/9', '2', '7'] -> (((7 / 7/9) - (2 / 2/5)) / 1/6)
[27799] ['3/5', '6/7', '8/5', '6', '7'] -> ((6 - (3/5 * 6/7)) / (8/5 / 7))
[27800] ['3/5', '3/5', '7/6', '8', '9'] -> ((3/5 / 3/5) / (7/6 - (9 / 8)))
[27801] ['1/7', '4/5', '1', '9/8', '5'] -> (((5 / (1/7 / 4/5)) - 1) / 9/8)
[27802] ['7/9', '4/5', '5/6', '1', '8'] -> ((8 * (4/5 * 5/6)) / (1 - 7/9))
[27803] ['1/6', '9/8', '8/7', '3', '4'] -> (((1/6 * 3) / (8/7 - 9/8)) - 4)
[27804] ['1/6', '2/5', '7/8', '2', '7'] -> ((2 + (7 / 7/8)) / (1/6 / 2/5))
[27805] ['3/5', '3/5', '9/7', '8', '9'] -> (((9 / 9/7) - (3/5 - 8)) / 3/5)
[27806] ['3/8', '7/9', '5/2', '5', '7'] -> (((5/2 / 3/8) + (5 + 7)) / 7/9)
[27807] ['1/5', '3/7', '5/7', '5', '5'] -> ((3/7 - 5) + ((5/7 + 5) / 1/5))
[27808] ['3/8', '1/2', '5/7', '7', '9'] -> (5/7 / ((1/2 / 7) - (3/8 / 9)))
[27809] ['1/3', '3/8', '4/5', '2', '6'] -> ((4/5 * 6) * ((2 / 3/8) - 1/3))
[27810] ['3/5', '3/5', '7/5', '8', '9'] -> ((7/5 * 9) / (3/5 - (3/5 / 8)))
[27811] ['2/7', '8/9', '9/4', '7', '7'] -> ((7 + 7) * ((8/9 * 9/4) - 2/7))
[27812] ['3/8', '7/9', '9/2', '5', '7'] -> ((5 / 7/9) / ((9/2 / 7) - 3/8))
[27813] ['3/5', '6/7', '8/3', '6', '7'] -> (((6 / 3/5) - 6/7) / (8/3 / 7))
[27814] ['7/9', '4/5', '1', '9/8', '8'] -> (8 / ((1 / (4/5 * 9/8)) - 7/9))
[27815] ['1/6', '2/9', '9/4', '7', '8'] -> (8 * ((7 * (1/6 / 2/9)) - 9/4))
[27816] ['5/9', '6/7', '3/2', '2', '8'] -> (8 / (6/7 * (3/2 - (5/9 * 2))))
[27817] ['1/3', '3/8', '8/7', '2', '6'] -> (8/7 * (((2 + 6) / 3/8) - 1/3))
[27818] ['3/8', '4/5', '4/5', '5', '7'] -> ((5 + 7) / (4/5 - (3/8 * 4/5)))
[27819] ['2/7', '6/5', '7/4', '2', '9'] -> (6/5 * (2 + (9 / (2/7 * 7/4))))
[27820] ['2/5', '4/5', '7/3', '4', '5'] -> (4 / ((5 * (2/5 / 4/5)) - 7/3))
[27821] ['7/9', '4/5', '1', '8/7', '8'] -> ((8 / 7/9) / ((8/7 / 4/5) - 1))
[27822] ['2/5', '7/6', '7/4', '2', '3'] -> (2 / (7/4 - (2/5 * (7/6 + 3))))
[27823] ['1/6', '9/8', '8/5', '3', '4'] -> ((8/5 * 4) * ((9/8 / 1/6) - 3))
[27824] ['3/8', '4/5', '5/6', '5', '7'] -> ((7 + (4/5 * 5)) / (5/6 - 3/8))
[27825] ['1/6', '2/5', '9/7', '2', '7'] -> (((9/7 * 7) - (2 / 2/5)) / 1/6)
[27826] ['3/5', '7/8', '7/8', '6', '7'] -> (7/8 + ((7 + (7/8 + 6)) / 3/5))
[27827] ['2/5', '5/6', '6/7', '4', '5'] -> ((4 - 2/5) * (5/6 + (5 / 6/7)))
[27828] ['2/5', '7/6', '2', '9/4', '3'] -> (9/4 * ((7/6 + 2) + (3 / 2/5)))
[27829] ['5/9', '6/7', '5/3', '2', '8'] -> ((5/3 + ((2 + 8) / 6/7)) / 5/9)
[27830] ['1/6', '1/4', '2/5', '7', '8'] -> ((7 / 2/5) + (8 - (1/4 / 1/6)))
[27831] ['1/6', '9/8', '9/5', '3', '4'] -> (9/5 * ((4 * (9/8 * 3)) - 1/6))
[27832] ['1/7', '4/5', '1', '9/4', '5'] -> (((5 - (1 / 4/5)) / 1/7) - 9/4)
[27833] ['7/9', '4/5', '1', '6/5', '8'] -> ((8 * (4/5 / 6/5)) / (1 - 7/9))
[27834] ['2/7', '6/5', '2', '7/3', '9'] -> (((2/7 + 9) * (6/5 * 7/3)) - 2)
[27835] ['3/5', '7/8', '8/9', '6', '7'] -> (7/8 + ((6 + (7 / 8/9)) / 3/5))
[27836] ['2/5', '5/6', '7/8', '4', '5'] -> ((4 - 2/5) / (7/8 / (5/6 + 5)))
[27837] ['1/6', '9/8', '7/3', '3', '4'] -> (4 / ((3 / 9/8) - (1/6 + 7/3)))
[27838] ['1/3', '2/5', '3/7', '2', '6'] -> ((2 - 1/3) * (2/5 + (6 / 3/7)))
[27839] ['2/7', '8/9', '9/2', '7', '7'] -> (8/9 * ((7 / 2/7) - (9/2 - 7)))
[27840] ['1/7', '4/5', '1', '7/3', '5'] -> ((5 / ((4/5 / 7/3) - 1/7)) - 1)
[27841] ['2/7', '9/8', '9/8', '7', '7'] -> ((7 - ((9/8 / 9/8) / 7)) / 2/7)
[27842] ['1/6', '8/7', '6/5', '3', '4'] -> ((3 / ((8/7 / 4) - 1/6)) - 6/5)
[27843] ['3/8', '4/5', '9/8', '5', '7'] -> (5 * ((4/5 + 7) - (9/8 / 3/8)))
[27844] ['3/5', '7/8', '8/7', '6', '7'] -> ((3/5 * 7) * ((6 / 7/8) - 8/7))
[27845] ['1/6', '1/4', '3/5', '7', '8'] -> (3/5 * ((7 / 1/6) - (1/4 * 8)))
[27846] ['3/8', '1/2', '5/3', '7', '9'] -> ((1/2 * (5/3 + 9)) + (7 / 3/8))
[27847] ['3/5', '5/8', '6/7', '8', '9'] -> ((8 / 5/8) + ((3/5 + 9) / 6/7))
[27848] ['1/6', '8/7', '5/4', '3', '4'] -> ((8/7 * (5/4 + 4)) + (3 / 1/6))
[27849] ['7/9', '4/5', '1', '7/5', '8'] -> (8 / (7/9 * (1 - (4/5 / 7/5))))
[27850] ['3/5', '7/8', '7/6', '6', '7'] -> ((6 * (3/5 / 7/8)) * (7 - 7/6))
[27851] ['1/7', '4/5', '1', '7/2', '5'] -> (5 * (4/5 + (7/2 * (1/7 + 1))))
[27852] ['2/5', '5/6', '7/4', '4', '5'] -> ((5 * (2/5 + 4)) / (7/4 - 5/6))
[27853] ['5/9', '6/7', '2', '7/3', '8'] -> (8 * ((5/9 / 2) + (7/3 / 6/7)))
[27854] ['1/6', '1/4', '7/9', '7', '8'] -> (((7 / 7/9) - 8) / (1/6 * 1/4))
[27855] ['1/6', '3/7', '4/9', '2', '7'] -> ((2 / (1/6 * 4/9)) - (3/7 * 7))
[27856] ['3/8', '4/5', '7/6', '5', '7'] -> (7 / (7/6 - (4/5 + (3/8 / 5))))
[27857] ['1/7', '4/5', '1', '9/2', '5'] -> ((9/2 / 1/7) - ((1 + 5) / 4/5))
[27858] ['2/5', '6/5', '5/3', '2', '3'] -> ((6/5 * 3) * (5/3 + (2 / 2/5)))
[27859] ['3/5', '7/8', '5/4', '6', '7'] -> (((5/4 + 7) / (7/8 - 3/5)) - 6)
[27860] ['2/7', '9/8', '5/4', '7', '7'] -> (((7 + (5/4 / 7)) / 2/7) - 9/8)
[27861] ['1/7', '5/6', '5/6', '1', '5'] -> ((5 * ((5/6 / 1/7) - 5/6)) - 1)
[27862] ['3/8', '5/9', '5/8', '7', '9'] -> ((3/8 + (5/8 / 5/9)) * (7 + 9))
[27863] ['2/5', '6/7', '6/7', '4', '5'] -> ((6/7 + (2/5 * 6/7)) * (4 * 5))
[27864] ['1/6', '3/7', '5/9', '2', '7'] -> (7 * (2 + (5/9 / (1/6 / 3/7))))
[27865] ['5/9', '6/7', '2', '8/3', '8'] -> (((8 / 6/7) - 8/3) / (5/9 / 2))
[27866] ['3/5', '7/8', '9/7', '6', '7'] -> ((6 + (7 / (3/5 / 9/7))) / 7/8)
[27867] ['3/5', '5/8', '7/6', '8', '9'] -> ((7/6 * (3/5 + 9)) + (8 / 5/8))
[27868] ['5/9', '6/7', '2', '7/2', '8'] -> (8 / (2 - (7/2 * (5/9 * 6/7))))
[27869] ['7/9', '4/5', '1', '9/4', '8'] -> (8 * ((7/9 * 9/4) + (1 / 4/5)))
[27870] ['2/5', '6/7', '8/9', '4', '5'] -> (((4 / 6/7) - 2/5) / (8/9 / 5))
[27871] ['5/9', '6/7', '2', '9/2', '8'] -> (9/2 * ((6/7 * (5/9 + 8)) - 2))
[27872] ['1/5', '3/7', '7/4', '5', '5'] -> ((5 * (5 - (1/5 / 7/4))) - 3/7)
[27873] ['3/5', '7/8', '5/3', '6', '7'] -> (((6 / 5/3) - 3/5) / (7/8 / 7))
[27874] ['2/7', '9/8', '3/2', '7', '7'] -> ((7 + (2/7 * 7)) / (3/2 - 9/8))
[27875] ['1/6', '8/7', '8/3', '3', '4'] -> ((8/3 / 1/6) + (8/7 * (3 + 4)))
[27876] ['2/5', '6/7', '9/8', '4', '5'] -> ((9/8 * 5) * ((4 / 6/7) - 2/5))
[27877] ['1/5', '3/7', '9/5', '5', '5'] -> (9/5 * ((5 / 1/5) - (5 / 3/7)))
[27878] ['3/8', '4/5', '9/4', '5', '7'] -> ((9/4 - 3/8) * (7 + (4/5 + 5)))
[27879] ['2/7', '9/8', '8/5', '7', '7'] -> (7 * (((2/7 + 7) / 8/5) - 9/8))
[27880] ['3/8', '5/9', '5/6', '7', '9'] -> ((7 / (3/8 / 5/6)) - (5/9 - 9))
[27881] ['2/5', '6/7', '7/6', '4', '5'] -> ((6/7 + (2/5 / 7/6)) * (4 * 5))
[27882] ['1/6', '3/7', '4/5', '2', '7'] -> ((2 + (3/7 * 7)) / (1/6 / 4/5))
[27883] ['1/7', '5/6', '1', '5/4', '5'] -> ((5/6 / 5/4) * (1 + (5 / 1/7)))
[27884] ['3/5', '7/8', '9/4', '6', '7'] -> (((9/4 * 7) / (3/5 * 7/8)) - 6)
[27885] ['1/5', '3/7', '9/4', '5', '5'] -> (9/4 * ((5 / 3/7) - (1/5 * 5)))
[27886] ['3/5', '5/8', '7/2', '8', '9'] -> (8 / ((7/2 / (3/5 * 5/8)) - 9))
[27887] ['2/7', '9/8', '5/3', '7', '7'] -> (7 / (9/8 - (5/3 / (2/7 * 7))))
[27888] ['7/9', '4/5', '1', '7/2', '8'] -> ((7/9 + 1) * (7/2 + (8 / 4/5)))
[27889] ['2/5', '9/7', '9/7', '2', '3'] -> (2 * (9/7 + ((9/7 + 3) / 2/5)))
[27890] ['1/7', '5/6', '1', '4/3', '5'] -> ((5 + (1 / 1/7)) / (4/3 - 5/6))
[27891] ['3/5', '7/8', '7/3', '6', '7'] -> (7 / (3/5 * (7/8 - (7/3 / 6))))
[27892] ['5/9', '7/8', '6/5', '2', '8'] -> (((2 * 8) / (5/9 / 7/8)) - 6/5)
[27893] ['2/7', '9/7', '2', '9/4', '9'] -> ((9 - 9/7) / (9/4 * (2/7 / 2)))
[27894] ['1/6', '7/6', '7/5', '3', '4'] -> (4 * (1/6 + (7/5 * (7/6 + 3))))
[27895] ['3/5', '7/8', '5/2', '6', '7'] -> ((3/5 + (6 / 5/2)) / (7/8 / 7))
[27896] ['1/7', '5/6', '1', '3/2', '5'] -> ((3/2 - 5/6) * (1 + (5 / 1/7)))
[27897] ['2/7', '4/3', '4/3', '2', '9'] -> ((4/3 + (4/3 / 2/7)) + (2 * 9))
[27898] ['1/5', '3/7', '7/2', '5', '5'] -> ((3/7 + (5 / 1/5)) - (5 / 7/2))
[27899] ['1/3', '3/7', '7/8', '2', '6'] -> ((6 / (1/3 * 3/7)) / (7/8 * 2))
[27900] ['2/5', '9/7', '3/2', '2', '3'] -> (2 / (3 - (3/2 / (2/5 * 9/7))))
[27901] ['3/8', '5/9', '9/8', '7', '9'] -> ((3/8 + 9) + ((9/8 + 7) / 5/9))
[27902] ['1/6', '3/7', '6/5', '2', '7'] -> (6/5 * (2 + (7 / (1/6 / 3/7))))
[27903] ['3/5', '7/8', '8/3', '6', '7'] -> ((7/8 * 8/3) + ((6 + 7) / 3/5))
[27904] ['2/7', '9/8', '9/4', '7', '7'] -> ((7 + 7) * ((9/4 / 9/8) - 2/7))
[27905] ['2/5', '6/7', '9/5', '4', '5'] -> ((9/5 - 2/5) * (5 * (6/7 * 4)))
[27906] ['1/7', '5/6', '1', '8/5', '5'] -> (5 / (1/7 * (5/6 + (1 / 8/5))))
[27907] ['2/5', '6/7', '9/4', '4', '5'] -> (((4 + 5) / (2/5 * 6/7)) - 9/4)
[27908] ['1/7', '5/6', '1', '9/5', '5'] -> ((1 + (5 / 1/7)) / (5/6 * 9/5))
[27909] ['2/5', '6/7', '5/2', '4', '5'] -> (4 / (5/2 - (5 * (2/5 / 6/7))))
[27910] ['2/5', '9/7', '7/4', '2', '3'] -> (7/4 * ((3 / (2/5 / 2)) - 9/7))
[27911] ['1/6', '3/7', '8/5', '2', '7'] -> (8/5 * ((3/7 * 7) + (2 / 1/6)))
[27912] ['3/8', '5/9', '6/5', '7', '9'] -> ((7 / (3/8 * 6/5)) - (5/9 - 9))
[27913] ['1/6', '2/7', '4/5', '7', '8'] -> (8 / ((2/7 / 4/5) - (1/6 / 7)))
[27914] ['3/5', '2/3', '9/8', '8', '9'] -> (((8 / 2/3) + (9 / 3/5)) / 9/8)
[27915] ['1/3', '3/7', '2', '5/2', '6'] -> (1/3 + (2 * (6 + (5/2 / 3/7))))
[27916] ['7/9', '5/6', '1', '5/4', '8'] -> ((8 * (5/6 / 5/4)) / (1 - 7/9))
[27917] ['1/7', '5/6', '1', '7/3', '5'] -> ((1 + (5 / 1/7)) / (7/3 - 5/6))
[27918] ['5/9', '7/8', '8/5', '2', '8'] -> (8 / (5/9 * (2 - (7/8 * 8/5))))
[27919] ['1/6', '3/7', '9/5', '2', '7'] -> (7 * (2 + (3/7 / (1/6 * 9/5))))
[27920] ['2/7', '9/8', '9/2', '7', '7'] -> (((7 / 2/7) - (9/2 - 7)) / 9/8)
[27921] ['3/5', '8/9', '8/7', '6', '7'] -> (7 * ((8/9 * 6) - (8/7 / 3/5)))
[27922] ['1/6', '5/4', '5/3', '3', '4'] -> (4 * (1/6 + (5/4 * (5/3 + 3))))
[27923] ['7/9', '5/6', '1', '7/4', '8'] -> (8 / ((5/6 / (7/4 - 1)) - 7/9))
[27924] ['1/6', '2/7', '6/5', '7', '8'] -> (6/5 * (8 + (7 / (1/6 / 2/7))))
[27925] ['1/7', '6/7', '7/8', '1', '5'] -> (1 / (7/8 - (5 * (1/7 / 6/7))))
[27926] ['1/6', '4/9', '4/7', '2', '7'] -> (((1/6 + 7) + (2 / 4/7)) / 4/9)
[27927] ['2/7', '8/7', '9/7', '7', '7'] -> (((7 + (9/7 / 7)) / 2/7) - 8/7)
[27928] ['2/7', '7/5', '2', '5/2', '9'] -> (((9 - (2 / 7/5)) / 2/7) - 5/2)
[27929] ['2/5', '7/8', '8/7', '4', '5'] -> (((2/5 + 4) / (7/8 / 5)) - 8/7)
[27930] ['3/5', '8/9', '9/7', '6', '7'] -> ((8/9 * 7) * (6 - (9/7 / 3/5)))
[27931] ['1/6', '2/7', '7/5', '7', '8'] -> ((((7 / 1/6) - 8) / 7/5) - 2/7)
[27932] ['1/6', '4/9', '3/5', '2', '7'] -> ((7 / (4/9 - 1/6)) - (3/5 * 2))
[27933] ['3/5', '2/3', '7/4', '8', '9'] -> ((7/4 * 8) + (9 / (3/5 / 2/3)))
[27934] ['5/9', '7/8', '2', '9/2', '8'] -> ((8 + (5/9 * 9/2)) / (7/8 / 2))
[27935] ['2/7', '8/7', '7/5', '7', '7'] -> ((2/7 + 8/7) * (7 + (7/5 * 7)))
[27936] ['3/8', '5/6', '9/4', '5', '7'] -> ((9/4 * (5 + (5/6 * 7))) - 3/8)
[27937] ['1/7', '6/7', '1', '9/8', '5'] -> (5 / (((1/7 + 1) / 6/7) - 9/8))
[27938] ['2/5', '4/3', '4/3', '2', '3'] -> (3 * (4/3 + (2 / (2/5 / 4/3))))
[27939] ['2/5', '7/8', '6/5', '4', '5'] -> ((6/5 / 2/5) / (5 - (7/8 + 4)))
[27940] ['3/5', '8/9', '7/5', '6', '7'] -> ((6 - 3/5) * (7 * (8/9 / 7/5)))
[27941] ['1/6', '4/9', '5/7', '2', '7'] -> ((2 - 5/7) * (7 / (1/6 / 4/9)))
[27942] ['1/5', '4/9', '4/5', '5', '5'] -> ((5 + (4/5 + 5)) / (1/5 / 4/9))
[27943] ['2/7', '8/7', '8/5', '7', '7'] -> (8/7 + (8/5 * (7 + (2/7 + 7))))
[27944] ['2/7', '3/2', '8/5', '2', '9'] -> ((8/5 / 2) * ((9 / 2/7) - 3/2))
[27945] ['1/6', '9/7', '8/5', '3', '4'] -> ((9/7 + 3) * ((8/5 / 1/6) - 4))
[27946] ['3/5', '8/9', '3/2', '6', '7'] -> ((8/9 * 6) * (7 - (3/2 / 3/5)))
[27947] ['1/3', '4/9', '7/5', '2', '6'] -> ((2 / (7/5 - (4/9 / 1/3))) - 6)
[27948] ['1/7', '6/7', '1', '9/7', '5'] -> ((6/7 / 9/7) * (1 + (5 / 1/7)))
[27949] ['1/6', '4/9', '6/7', '2', '7'] -> ((1/6 + ((2 + 7) / 6/7)) / 4/9)
[27950] ['2/5', '4/3', '9/5', '2', '3'] -> (3 * (2 + (9/5 / (2/5 / 4/3))))
[27951] ['5/9', '9/8', '9/8', '2', '8'] -> (8 / ((2 / (9/8 + 9/8)) - 5/9))
[27952] ['3/8', '6/7', '8/9', '5', '7'] -> (((5 + 7) / (6/7 - 3/8)) - 8/9)
[27953] ['1/7', '6/7', '1', '8/5', '5'] -> ((6/7 * 8/5) / ((1 / 5) - 1/7))
[27954] ['5/9', '9/8', '6/5', '2', '8'] -> ((9/8 * 8) * (2 + (5/9 * 6/5)))
[27955] ['3/5', '5/7', '5/6', '8', '9'] -> (((9 / 5/7) - (3/5 - 8)) / 5/6)
[27956] ['2/7', '8/7', '8/3', '7', '7'] -> (7 + ((2/7 + 7) / (8/7 / 8/3)))
[27957] ['7/9', '6/7', '1', '8/7', '8'] -> ((1 + (8/7 / 6/7)) / (7/9 / 8))
[27958] ['2/7', '8/5', '8/5', '2', '9'] -> ((8/5 * (9 + (2 / 2/7))) - 8/5)
[27959] ['3/5', '8/9', '7/3', '6', '7'] -> (6 * ((8/9 + 7) - (7/3 / 3/5)))
[27960] ['1/6', '9/7', '3', '7/2', '4'] -> (4 * ((1/6 + 7/2) + (3 / 9/7)))
[27961] ['1/6', '4/9', '8/7', '2', '7'] -> (((8/7 / 4/9) - 2) / (1/6 / 7))
[27962] ['5/9', '9/8', '5/4', '2', '8'] -> (8 / (2 - (5/9 + (5/4 / 9/8))))
[27963] ['2/7', '8/5', '5/3', '2', '9'] -> (5/3 * ((2 / 2/7) - (8/5 - 9)))
[27964] ['1/7', '6/7', '1', '9/5', '5'] -> ((9/5 - 1) * (5 / (1/7 / 6/7)))
[27965] ['1/6', '4/9', '7/6', '2', '7'] -> ((1/6 + (7/6 * (2 + 7))) / 4/9)
[27966] ['5/9', '9/8', '9/7', '2', '8'] -> ((9/7 * 8) * (5/9 + (2 / 9/8)))
[27967] ['1/3', '1/2', '9/7', '2', '6'] -> (((6 / (1/3 * 9/7)) - 2) / 1/2)
[27968] ['7/9', '6/7', '1', '5/4', '8'] -> (6/7 + ((1 + 5/4) / (7/9 / 8)))
[27969] ['2/7', '8/5', '7/4', '2', '9'] -> (((2/7 + 9) * (8/5 * 7/4)) - 2)
[27970] ['2/5', '7/8', '5/2', '4', '5'] -> (((2/5 * 5/2) + (4 * 5)) / 7/8)
[27971] ['3/8', '6/7', '5/4', '5', '7'] -> (7 * (5 - (5/4 + (3/8 * 6/7))))
[27972] ['2/7', '7/6', '9/7', '7', '7'] -> (9/7 * ((7/6 - 7) + (7 / 2/7)))
[27973] ['7/9', '6/7', '1', '7/5', '8'] -> ((6/7 + (1 / 7/9)) * (7/5 * 8))
[27974] ['1/7', '6/7', '1', '5/2', '5'] -> ((5 / ((6/7 / 5/2) - 1/7)) - 1)
[27975] ['1/6', '4/3', '9/5', '3', '4'] -> (4 / ((3 / 9/5) - (1/6 + 4/3)))
[27976] ['3/5', '5/7', '8/7', '8', '9'] -> ((3/5 * 5/7) / (8/7 - (9 / 8)))
[27977] ['3/5', '9/8', '8/7', '6', '7'] -> (7 * ((6 / 9/8) - (8/7 / 3/5)))
[27978] ['3/8', '4/7', '8/9', '7', '9'] -> ((3/8 + (7 / 8/9)) + (9 / 4/7))
[27979] ['1/7', '6/7', '1', '8/3', '5'] -> (5 / ((1 / 8/3) - (1/7 / 6/7)))
[27980] ['1/6', '1/3', '9/5', '7', '8'] -> (((9/5 * (7 - 1/3)) - 8) / 1/6)
[27981] ['5/9', '9/8', '5/3', '2', '8'] -> (2 * ((9/8 * 8) + (5/3 / 5/9)))
[27982] ['1/5', '4/9', '9/7', '5', '5'] -> ((5 / (1/5 * 9/7)) - (4/9 - 5))
[27983] ['1/7', '7/8', '7/8', '1', '5'] -> ((1 + 5) / (1/7 * (7/8 + 7/8)))
[27984] ['7/9', '6/7', '1', '7/4', '8'] -> ((8 / (6/7 * 7/4)) / (1 - 7/9))
[27985] ['3/8', '4/7', '5/4', '7', '9'] -> (9 / ((5/4 / 7) - (3/8 - 4/7)))
[27986] ['2/5', '8/9', '9/7', '4', '5'] -> ((8/9 + (2/5 / 9/7)) * (4 * 5))
[27987] ['1/3', '5/9', '5/7', '2', '6'] -> (((6 / 5/9) - (2 / 5/7)) / 1/3)
[27988] ['5/9', '9/8', '2', '7/2', '8'] -> ((8 + (2 * 7/2)) / (5/9 * 9/8))
[27989] ['2/7', '8/5', '2', '8/3', '9'] -> (2 + ((2/7 + 8/5) * (8/3 + 9)))
[27990] ['1/7', '7/8', '8/9', '1', '5'] -> ((5 - (1 / 7/8)) / (1/7 / 8/9))
[27991] ['3/8', '6/7', '5/3', '5', '7'] -> (((6/7 * 7) + (5 / 5/3)) / 3/8)
[27992] ['7/9', '6/7', '1', '9/5', '8'] -> ((1 + (7/9 * 6/7)) * (9/5 * 8))
[27993] ['3/5', '9/8', '9/7', '6', '7'] -> ((6 - (9/7 / 3/5)) / (9/8 / 7))
[27994] ['1/6', '7/5', '7/3', '3', '4'] -> (((3 + (7/3 / 7/5)) / 1/6) - 4)
[27995] ['2/5', '5/3', '5/3', '2', '3'] -> ((5/3 + 5/3) * (3 * (2/5 + 2)))
[27996] ['1/3', '5/9', '9/8', '2', '6'] -> ((6 + (5/9 * 2)) / (1/3 / 9/8))
[27997] ['1/7', '7/8', '1', '6/5', '5'] -> ((6/5 / 7/8) / ((1 / 5) - 1/7))
[27998] ['2/7', '7/6', '8/3', '7', '7'] -> (7 * (((7 - 8/3) / 7/6) - 2/7))
[27999] ['3/5', '9/8', '3/2', '6', '7'] -> ((7 - (3/2 / 3/5)) / (9/8 / 6))
[28000] ['3/5', '5/7', '3/2', '8', '9'] -> ((9 / 5/7) - (3/5 - (3/2 * 8)))
[28001] ['2/7', '5/3', '5/3', '2', '9'] -> (9 + (2 * (5/3 + (5/3 / 2/7))))
[28002] ['1/3', '5/9', '8/7', '2', '6'] -> (((2 * 6) - 1/3) / (5/9 / 8/7))
[28003] ['3/8', '4/7', '8/5', '7', '9'] -> ((4/7 * 7) * (3/8 + (9 / 8/5)))
[28004] ['7/9', '7/8', '7/8', '1', '8'] -> (8 * ((7/8 / 7/9) + (7/8 + 1)))
[28005] ['5/9', '8/7', '6/5', '2', '8'] -> (((2 * 8) / (5/9 * 8/7)) - 6/5)
[28006] ['1/5', '4/9', '8/5', '5', '5'] -> (5 + (5 * (1/5 + (8/5 / 4/9))))
[28007] ['3/8', '6/7', '5/2', '5', '7'] -> ((5/2 + (5 / 3/8)) + (7 / 6/7))
[28008] ['3/5', '5/7', '8/5', '8', '9'] -> (3/5 / (8/5 - (9 / (5/7 * 8))))
[28009] ['3/5', '9/8', '5/3', '6', '7'] -> ((3/5 * 5/3) / ((7 / 6) - 9/8))
[28010] ['2/5', '5/3', '2', '5/2', '3'] -> (5/2 * ((3 * (5/3 * 2)) - 2/5))
[28011] ['2/7', '5/3', '9/5', '2', '9'] -> (((9 - 9/5) / 2/7) - (2 / 5/3))
[28012] ['2/7', '6/5', '6/5', '7', '7'] -> ((7 - ((6/5 / 6/5) / 7)) / 2/7)
[28013] ['7/9', '7/8', '1', '9/8', '8'] -> (8 / ((7/9 * (7/8 + 1)) - 9/8))
[28014] ['1/3', '5/9', '9/7', '2', '6'] -> ((6 - (2 / 9/7)) / (1/3 * 5/9))
[28015] ['3/8', '4/7', '9/4', '7', '9'] -> ((4/7 * (3/8 + 9/4)) * (7 + 9))
[28016] ['2/5', '5/3', '2', '3', '7/2'] -> (((5/3 + 2) / (2/5 / 3)) - 7/2)
[28017] ['2/7', '6/5', '5/4', '7', '7'] -> (((7 + (7 / 2/7)) / 5/4) - 6/5)
[28018] ['1/6', '7/5', '3', '4', '9/2'] -> ((7/5 + 4) * (9/2 - (1/6 / 3)))
[28019] ['1/6', '1/2', '7/5', '2', '7'] -> (((7 / 7/5) - (1/2 * 2)) / 1/6)
[28020] ['2/5', '8/9', '5/2', '4', '5'] -> ((8/9 * (5/2 + 5)) * (4 - 2/5))
[28021] ['2/7', '6/5', '9/7', '7', '7'] -> (9/7 * ((7 / 2/7) - (7 / 6/5)))
[28022] ['1/6', '3/8', '9/7', '7', '8'] -> ((8 / 1/6) - (7 / (3/8 / 9/7)))
[28023] ['1/7', '7/8', '1', '9/5', '5'] -> (9/5 / ((1 / 5) - (1/7 * 7/8)))
[28024] ['2/7', '6/5', '4/3', '7', '7'] -> ((6/5 * (4/3 + (7 / 2/7))) - 7)
[28025] ['1/6', '3/8', '7/5', '7', '8'] -> ((8 + (7 / 7/5)) / (1/6 + 3/8))
[28026] ['1/6', '5/9', '4/7', '2', '7'] -> ((2 - (1/6 * 4/7)) / (5/9 / 7))
[28027] ['1/6', '8/5', '9/4', '3', '4'] -> (((3 + 4) / (1/6 * 8/5)) - 9/4)
[28028] ['3/5', '5/7', '5/2', '8', '9'] -> ((5/7 * 8) * (3/5 + (9 / 5/2)))
[28029] ['3/5', '8/7', '8/7', '6', '7'] -> ((3/5 * 7) * ((8/7 * 6) - 8/7))
[28030] ['2/5', '7/4', '2', '8/3', '3'] -> (3 / ((2 / (2/5 * 8/3)) - 7/4))
[28031] ['5/9', '8/7', '8/5', '2', '8'] -> (8 / (5/9 * (2 - (8/5 / 8/7))))
[28032] ['3/8', '8/9', '8/9', '5', '7'] -> ((8/9 + (8/9 * 5)) + (7 / 3/8))
[28033] ['1/3', '4/7', '8/9', '2', '6'] -> ((1/3 + (6 / (4/7 / 2))) / 8/9)
[28034] ['1/7', '8/9', '8/9', '1', '5'] -> (((5 - 1) / (1/7 / 8/9)) - 8/9)
[28035] ['1/5', '4/9', '9/2', '5', '5'] -> ((5 * (1/5 + 5)) - (4/9 * 9/2))
