[98462] ['7/9', '8/7', '4', '4', '9/2'] -> ((7/9 * 9/2) * (4 - (8/7 - 4)))
[100625] ['7/8', '3/2', '8/5', '4', '4'] -> (((4 * 4) / (3/2 - 7/8)) - 8/5)
[100626] ['8/7', '7/5', '7/5', '2', '4'] -> ((7/5 + (8/7 * 7/5)) * (2 * 4))
[100627] ['1/9', '1/5', '3/4', '6', '6'] -> ((6 / 1/9) / (6 - (3/4 / 1/5)))
[100628] ['5/9', '6/7', '7/8', '3', '9'] -> ((6/7 * 7/8) * (9 * (5/9 + 3)))
[100629] ['1/5', '1/5', '9/8', '8', '9'] -> ((8 - 1/5) / (1/5 + (9/8 / 9)))
[100630] ['1/5', '7/6', '4/3', '5', '9'] -> (9 / (1/5 + ((7/6 / 4/3) / 5)))
[100631] ['2/9', '1/2', '7/8', '1', '1'] -> ((1 + 1) / (2/9 * (7/8 - 1/2)))
[100632] ['8/7', '7/5', '8/5', '2', '4'] -> (4 * (8/5 + (7/5 * (8/7 + 2))))
[100633] ['5/9', '6/7', '8/9', '3', '9'] -> ((6/7 * 3) * (9 - (5/9 - 8/9)))
[100634] ['2/5', '4/7', '7/8', '6', '7'] -> ((6 + (4/7 * 7/8)) + (7 / 2/5))
[100635] ['1/5', '1/5', '7/6', '8', '9'] -> ((1/5 / 1/5) / (7/6 - (9 / 8)))
[100636] ['5/9', '6/7', '9/8', '3', '9'] -> ((6/7 * (5/9 + 3)) * (9 - 9/8))
[100637] ['2/7', '3/2', '9/5', '8', '8'] -> (((8 / 2/7) - 8) / (3/2 / 9/5))
[100638] ['1/3', '2/5', '5/7', '5', '6'] -> (((6 / 2/5) - (5 / 5/7)) / 1/3)
[100639] ['1/5', '7/6', '9/4', '5', '9'] -> (9 / (9/4 * (7/6 - (1/5 * 5))))
[100640] ['7/8', '8/5', '7/4', '4', '4'] -> ((8/5 * 7/4) * (4 + (4 / 7/8)))
[100641] ['2/7', '3/2', '5/2', '8', '8'] -> ((8 / 2/7) - (8 - (3/2 + 5/2)))
[100642] ['1/3', '2/5', '7/9', '5', '6'] -> (5 * ((1/3 * 2/5) + (7/9 * 6)))
[100643] ['8/7', '7/5', '2', '7/3', '4'] -> ((8/7 + (2 / 7/5)) * (7/3 * 4))
[100644] ['7/8', '8/5', '9/4', '4', '4'] -> (4 + ((7/8 + 9/4) * (8/5 * 4)))
[100645] ['5/9', '6/7', '6/5', '3', '9'] -> (((3 + 9) / (5/9 * 6/7)) - 6/5)
[100646] ['1/3', '2/5', '6/7', '5', '6'] -> ((1/3 + (2/5 / 6/7)) * (5 * 6))
[100647] ['1/5', '1/5', '9/5', '8', '9'] -> ((1/5 - (9/5 * 9)) + (8 / 1/5))
[100648] ['5/9', '6/7', '5/4', '3', '9'] -> (9 / (3 - (5/4 / (5/9 * 6/7))))
[100649] ['2/7', '8/5', '5/3', '8', '8'] -> (5/3 * (((8 - 8/5) / 2/7) - 8))
[100650] ['4/7', '5/8', '1', '3/2', '3'] -> ((3/2 / (5/8 - 4/7)) - (1 + 3))
[100651] ['8/7', '3/2', '5/3', '2', '4'] -> ((8/7 + 4) * (5/3 + (3/2 * 2)))
[100652] ['2/5', '4/7', '6/5', '6', '7'] -> (6 * ((7 * (6/5 - 4/7)) - 2/5))
[100653] ['2/7', '8/5', '7/4', '8', '8'] -> ((8/5 * 8) * (8 - (7/4 / 2/7)))
[100654] ['6/7', '7/6', '8/5', '3', '8'] -> ((7/6 * (8/5 + 8)) * (3 - 6/7))
[100655] ['7/8', '5/3', '7/4', '4', '4'] -> ((4 + 4) / ((7/4 / 7/8) - 5/3))
[100656] ['1/5', '1/5', '9/2', '8', '9'] -> (8 * ((1/5 / 1/5) + (9 / 9/2)))
[100657] ['2/5', '4/7', '9/7', '6', '7'] -> ((6 * (2/5 / 4/7)) * (7 - 9/7))
[100658] ['7/8', '5/3', '9/5', '4', '4'] -> ((5/3 * 9/5) / ((4 / 4) - 7/8))
[100659] ['1/3', '2/5', '9/7', '5', '6'] -> (5 * ((1/3 * 2/5) + (6 / 9/7)))
[100660] ['1/5', '5/4', '9/7', '5', '9'] -> (((9 / (1/5 * 9/7)) - 5) / 5/4)
[100661] ['6/7', '7/6', '9/5', '3', '8'] -> (9/5 * (3 + (7/6 * (6/7 + 8))))
[100662] ['5/9', '6/7', '8/5', '3', '9'] -> (8/5 + ((3 + (9 / 5/9)) / 6/7))
[100663] ['2/7', '8/5', '7/3', '8', '8'] -> (7/3 * (2/7 + ((8 + 8) / 8/5)))
[100664] ['4/7', '5/8', '1', '9/4', '3'] -> (3 / ((5/8 - 9/4) + (1 / 4/7)))
[100665] ['7/8', '5/3', '7/2', '4', '4'] -> (4 / ((5/3 / 4) - (7/8 / 7/2)))
[100666] ['8/7', '8/5', '8/5', '2', '4'] -> ((8/5 + (8/5 / 8/7)) * (2 * 4))
[100667] ['1/9', '1/5', '5/3', '6', '6'] -> (6 + ((5/3 * 6) / (1/9 / 1/5)))
[100668] ['1/3', '2/5', '7/4', '5', '6'] -> (6 / (1/3 * (2/5 + (7/4 / 5))))
[100669] ['2/5', '4/7', '7/2', '6', '7'] -> ((6 / 2/5) + (7 + (4/7 * 7/2)))
[100670] ['5/9', '6/7', '7/4', '3', '9'] -> (9 / ((7/4 / 6/7) - (5/9 * 3)))
[100671] ['1/3', '2/5', '7/2', '5', '6'] -> ((5 / (1/3 * 7/2)) * (6 - 2/5))
[100672] ['8/7', '8/5', '7/4', '2', '4'] -> ((8/7 * (8/5 + 4)) * (7/4 + 2))
[100673] ['2/5', '4/7', '9/2', '6', '7'] -> ((2/5 * 7) * (6 + (4/7 * 9/2)))
[100674] ['7/8', '9/5', '9/5', '4', '4'] -> (9/5 / ((7/8 - 9/5) + (4 / 4)))
[100675] ['1/9', '1/5', '5/2', '6', '6'] -> ((1/5 * 5/2) * ((6 / 1/9) - 6))
[100676] ['8/7', '8/5', '9/5', '2', '4'] -> ((8/5 / ((8/7 * 9/5) - 2)) - 4)
[100677] ['7/8', '9/5', '9/4', '4', '4'] -> ((4 + (9/4 / 9/5)) / (7/8 / 4))
[100678] ['2/7', '5/3', '7/4', '8', '8'] -> ((8 + 8) / ((5/3 / 7/4) - 2/7))
[100679] ['1/9', '1/5', '7/2', '6', '6'] -> (((6 / 1/9) + (6 / 1/5)) / 7/2)
[100680] ['7/8', '9/5', '7/3', '4', '4'] -> (9/5 * ((4 * 4) - (7/3 / 7/8)))
[100681] ['5/9', '7/8', '7/8', '3', '9'] -> (9 * ((5/9 * 3) + (7/8 / 7/8)))
[100682] ['8/7', '8/5', '2', '5/2', '4'] -> ((8/7 * 5/2) * (2 + (8/5 * 4)))
[100683] ['7/8', '9/5', '5/2', '4', '4'] -> ((9/5 * 5/2) + (4 * (7/8 + 4)))
[100684] ['8/7', '8/5', '2', '8/3', '4'] -> ((4 / ((2 / 8/7) - 8/5)) - 8/3)
[100685] ['1/9', '2/9', '3/7', '6', '6'] -> (((6 / 3/7) - 6) / (1/9 + 2/9))
[100686] ['6/7', '6/5', '9/5', '3', '8'] -> (((6/7 * 3) * (9/5 + 8)) - 6/5)
[100687] ['5/9', '7/8', '5/4', '3', '9'] -> (9 / ((7/8 * 3) - (5/4 / 5/9)))
[100688] ['1/5', '9/7', '9/5', '5', '9'] -> ((1/5 + 9/5) * (5 + (9 / 9/7)))
[100689] ['8/7', '8/5', '2', '4', '9/2'] -> (9/2 / ((4 / (8/7 * 8/5)) - 2))
[100690] ['7/8', '9/5', '4', '4', '9/2'] -> (4 * ((7/8 * 4) + (9/2 / 9/5)))
[100691] ['2/5', '5/8', '7/9', '6', '7'] -> ((5/8 * 7) * (6 - (2/5 / 7/9)))
[100692] ['1/9', '2/9', '3/5', '6', '6'] -> ((6 / (3/5 * (1/9 + 2/9))) - 6)
[100693] ['2/9', '5/9', '5/8', '1', '1'] -> (1 / ((2/9 - 5/9) - (5/8 - 1)))
[100694] ['5/9', '7/8', '7/5', '3', '9'] -> ((7/5 * 3) * (9 * (5/9 / 7/8)))
[100695] ['7/8', '9/4', '9/4', '4', '4'] -> ((9/4 + 9/4) + (4 * (7/8 + 4)))
[100696] ['1/5', '2/9', '5/6', '8', '9'] -> ((8 / (1/5 * 2/9)) / (5/6 * 9))
[100697] ['1/9', '2/9', '5/8', '6', '6'] -> (6 * (1/9 + (5/8 * (2/9 + 6))))
[100698] ['1/5', '9/7', '5/2', '5', '9'] -> ((5 + (9 / 9/7)) / (1/5 * 5/2))
[100699] ['5/9', '7/8', '3/2', '3', '9'] -> ((9 * (5/9 * 3)) / (3/2 - 7/8))
[100700] ['1/3', '3/7', '8/5', '5', '6'] -> ((3/7 + 6) * (5 + (1/3 - 8/5)))
[100701] ['1/9', '2/9', '5/7', '6', '6'] -> ((6 / ((2/9 / 5/7) - 1/9)) - 6)
[100702] ['2/7', '7/4', '7/3', '8', '8'] -> ((7/3 * ((7/4 * 8) - 2/7)) - 8)
[100703] ['1/5', '2/9', '7/8', '8', '9'] -> (((9 / (7/8 - 1/5)) - 8) / 2/9)
[100704] ['1/9', '2/9', '4/5', '6', '6'] -> ((6 + (1/9 * 6)) / (2/9 / 4/5))
[100705] ['1/3', '3/7', '9/5', '5', '6'] -> ((3/7 * 6) * (1/3 + (9/5 * 5)))
[100706] ['2/5', '5/8', '9/8', '6', '7'] -> ((6 - (5/8 - 9/8)) + (7 / 2/5))
[100707] ['7/8', '7/3', '7/2', '4', '4'] -> (4 + ((7/2 + 4) / (7/8 / 7/3)))
[100708] ['2/9', '5/9', '4/5', '1', '1'] -> ((5/9 / ((2/9 + 4/5) - 1)) - 1)
[100709] ['6/7', '5/4', '9/5', '3', '8'] -> (3 + ((9/5 * 8) / (6/7 / 5/4)))
[100710] ['1/3', '3/7', '5/2', '5', '6'] -> ((5/2 * (1/3 + (5 / 3/7))) - 6)
[100711] ['1/5', '4/3', '7/2', '5', '9'] -> ((4/3 * 9) / ((7/2 / 5) - 1/5))
[100712] ['4/7', '2/3', '1', '7/3', '3'] -> ((1 + (3 / 7/3)) / (2/3 - 4/7))
[100713] ['1/9', '2/9', '9/8', '6', '6'] -> (((6 / 1/9) - (6 / 2/9)) / 9/8)
[100714] ['5/9', '8/9', '8/7', '3', '9'] -> ((9 + (8/9 * 3)) / (5/9 / 8/7))
[100715] ['1/5', '7/5', '7/5', '5', '9'] -> (9 + (5 * (7/5 + (1/5 + 7/5))))
[100716] ['2/5', '5/8', '9/7', '6', '7'] -> ((5/8 * 7) * (6 - (2/5 * 9/7)))
[100717] ['1/5', '2/9', '5/4', '8', '9'] -> ((8 - (2/9 * 9)) / (1/5 * 5/4))
[100718] ['5/9', '8/9', '6/5', '3', '9'] -> ((9 - (8/9 - 3)) / (5/9 / 6/5))
[100719] ['8/9', '8/9', '9/8', '4', '4'] -> (4 * (4 + (9/8 * (8/9 + 8/9))))
[100720] ['4/7', '5/7', '7/9', '1', '3'] -> (3 * ((4/7 / (7/9 - 5/7)) - 1))
[100721] ['1/5', '7/5', '9/4', '5', '9'] -> ((9 * (7/5 - 1/5)) / (9/4 / 5))
[100722] ['1/5', '2/9', '9/7', '8', '9'] -> ((9/7 + (1/5 * 9)) * (8 - 2/9))
[100723] ['1/3', '4/9', '6/7', '5', '6'] -> ((1/3 + 4/9) * (6/7 + (5 * 6)))
[100724] ['8/9', '8/9', '8/7', '4', '4'] -> ((4 / (8/7 - (8/9 / 8/9))) - 4)
[100725] ['8/7', '9/5', '2', '8/3', '4'] -> ((9/5 * (2 + 8/3)) * (4 - 8/7))
[100726] ['1/9', '2/9', '9/7', '6', '6'] -> (((1/9 * 6) + (6 / 9/7)) / 2/9)
[100727] ['2/9', '5/9', '1', '1', '6/5'] -> ((5/9 / ((2/9 + 1) - 6/5)) - 1)
[100728] ['1/3', '4/9', '8/7', '5', '6'] -> ((6 + ((1/3 + 5) / 8/7)) / 4/9)
[100729] ['6/7', '4/3', '3/2', '3', '8'] -> ((4/3 + 8) / (3/2 / (6/7 + 3)))
[100730] ['2/7', '9/5', '9/2', '8', '8'] -> ((2/7 * 8) * (8 + (9/2 / 9/5)))
[100731] ['8/9', '8/9', '7/6', '4', '4'] -> (8/9 / ((8/9 * 7/6) - (4 / 4)))
[100732] ['1/9', '2/9', '7/5', '6', '6'] -> ((6 / ((2/9 * 7/5) - 1/9)) - 6)
[100733] ['8/9', '8/9', '9/7', '4', '4'] -> (9/7 * ((4 * (8/9 + 4)) - 8/9))
[100734] ['4/7', '5/7', '8/9', '1', '3'] -> (3 / ((5/7 / 4/7) - (1 / 8/9)))
[100735] ['1/3', '4/9', '5/4', '5', '6'] -> ((((5 / 4/9) - 5/4) / 1/3) - 6)
[100736] ['1/9', '2/9', '8/5', '6', '6'] -> (6 * (1/9 + ((2/9 + 6) / 8/5)))
[100737] ['5/9', '9/8', '7/6', '3', '9'] -> ((9 - 9/8) / (7/6 / (5/9 + 3)))
[100738] ['8/9', '8/9', '7/5', '4', '4'] -> ((8/9 + (8/9 * 4)) * (7/5 + 4))
[100739] ['2/9', '5/9', '1', '1', '4/3'] -> (4/3 / ((5/9 / (1 + 1)) - 2/9))
[100740] ['4/7', '5/7', '1', '6/5', '3'] -> (6/5 * ((3 / (5/7 - 4/7)) - 1))
[100741] ['1/5', '2/9', '5/2', '8', '9'] -> ((9 / (2/9 * 5/2)) - (1/5 - 8))
[100742] ['5/9', '9/8', '6/5', '3', '9'] -> (9 / (5/9 * (3 - (9/8 + 6/5))))
[100743] ['6/7', '4/3', '9/5', '3', '8'] -> (9/5 * ((4/3 * 3) + (8 / 6/7)))
[100744] ['8/7', '2', '9/4', '7/2', '4'] -> (8/7 * ((4 * (9/4 + 7/2)) - 2))
[100745] ['1/3', '4/9', '9/5', '5', '6'] -> (5 * ((1/3 + 9/5) + (4/9 * 6)))
[100746] ['2/7', '9/4', '9/2', '8', '8'] -> ((8 / 2/7) - (8 * (9/4 / 9/2)))
[100747] ['4/7', '5/7', '1', '9/7', '3'] -> (3 * ((9/7 / (5/7 - 4/7)) - 1))
[100748] ['1/5', '2/9', '9/2', '8', '9'] -> ((2/9 * 8) * ((9/2 / 1/5) - 9))
[100749] ['8/9', '9/8', '9/8', '4', '4'] -> (4 * (4 + (8/9 * (9/8 + 9/8))))
[100750] ['2/5', '2/3', '7/9', '6', '7'] -> ((2/3 + 6) * (7 * (2/5 / 7/9)))
[100751] ['1/9', '1/4', '2/5', '6', '6'] -> ((2/5 + 6) * (6 - (1/4 / 1/9)))
[100752] ['8/9', '9/8', '8/7', '4', '4'] -> ((4 / (8/7 - (8/9 * 9/8))) - 4)
[100753] ['2/5', '2/3', '8/9', '6', '7'] -> (((6 / 2/5) - (2/3 - 7)) / 8/9)
[100754] ['8/9', '9/8', '7/6', '4', '4'] -> (8/9 / ((7/6 / 9/8) - (4 / 4)))
[100755] ['2/7', '5/2', '8/3', '8', '8'] -> (8 / ((2/7 * (5/2 + 8)) - 8/3))
[100756] ['1/9', '1/4', '4/7', '6', '6'] -> ((6 / 4/7) + (6 / (1/9 / 1/4)))
[100757] ['8/9', '9/8', '9/7', '4', '4'] -> ((4 / (8/9 * (9/7 - 9/8))) - 4)
[100758] ['2/5', '2/3', '9/7', '6', '7'] -> ((2/3 + 6) * (7 * (2/5 * 9/7)))
[100759] ['4/7', '5/7', '1', '7/3', '3'] -> ((3 + (1 / 7/3)) / (5/7 - 4/7))
[100760] ['1/5', '1/4', '4/9', '8', '9'] -> ((8 / 1/5) - (9 / (1/4 / 4/9)))
[100761] ['7/6', '7/6', '7/6', '2', '4'] -> (4 / ((7/6 / 7/6) + (7/6 - 2)))
[100762] ['8/9', '9/8', '7/5', '4', '4'] -> ((7/5 + 4) * (8/9 + (4 / 9/8)))
[100763] ['5/9', '8/7', '5/4', '3', '9'] -> (9 / ((3 / 8/7) - (5/4 / 5/9)))
[100764] ['4/7', '5/7', '1', '5/2', '3'] -> ((5/7 + 1) / ((4/7 + 5/2) - 3))
[100765] ['8/9', '9/8', '8/5', '4', '4'] -> (8/5 * ((4 * 4) - (8/9 * 9/8)))
[100766] ['1/3', '5/9', '6/7', '5', '6'] -> ((5 / (5/9 - (1/3 / 6/7))) - 6)
[100767] ['5/9', '8/7', '4/3', '3', '9'] -> ((4/3 - 5/9) * (9 * (8/7 * 3)))
[100768] ['1/9', '1/4', '5/6', '6', '6'] -> (6 * ((1/9 * 6) + (5/6 / 1/4)))
[100769] ['7/6', '7/6', '7/5', '2', '4'] -> ((2 * 4) / (7/6 - (7/6 / 7/5)))
[100770] ['1/5', '1/4', '4/7', '8', '9'] -> ((8 / 1/5) - (1/4 + (9 / 4/7)))
[100771] ['4/7', '3/4', '3/4', '1', '3'] -> ((3/4 + (3 / 4/7)) / (1 - 3/4))
[100772] ['1/3', '1/3', '4/7', '8', '8'] -> ((8 / ((1/3 / 4/7) - 1/3)) - 8)
[100773] ['7/6', '7/6', '3/2', '2', '4'] -> (4 / (((7/6 + 3/2) / 2) - 7/6))
[100774] ['8/9', '9/8', '9/5', '4', '4'] -> (9/5 * ((4 / (9/8 / 4)) - 8/9))
[100775] ['4/7', '3/4', '7/9', '1', '3'] -> ((3 + (1 / 7/9)) / (3/4 - 4/7))
[100776] ['7/6', '7/6', '8/5', '2', '4'] -> (4 / ((8/5 * (2 - 7/6)) - 7/6))
[100777] ['5/9', '8/7', '8/5', '3', '9'] -> (8/7 * ((8/5 * 3) + (9 / 5/9)))
[100778] ['8/9', '9/8', '7/2', '4', '4'] -> (((4 + 4) / (9/8 / 7/2)) - 8/9)
[100779] ['6/7', '8/5', '5/3', '3', '8'] -> (8 / ((5/3 / (3 - 8/5)) - 6/7))
[100780] ['1/3', '1/3', '4/5', '8', '8'] -> (8 * ((8 * (1/3 / 4/5)) - 1/3))
[100781] ['2/5', '5/7', '5/6', '6', '7'] -> (((5/7 * 7) + (6 / 2/5)) / 5/6)
[100782] ['1/3', '4/7', '3/5', '5', '6'] -> ((3/5 + 5) * (6 - (4/7 / 1/3)))
[100783] ['5/9', '8/7', '9/5', '3', '9'] -> (8/7 * ((9/5 + 3) + (9 / 5/9)))
[100784] ['1/5', '1/4', '6/7', '8', '9'] -> (6/7 * (8 + (9 / (1/5 + 1/4))))
[100785] ['1/3', '1/3', '6/7', '8', '8'] -> ((1/3 * 8) * ((8 / 6/7) - 1/3))
[100786] ['1/5', '7/3', '5/2', '5', '9'] -> (((7/3 / 1/5) - 5) / (5/2 / 9))
[100787] ['1/5', '1/4', '7/8', '8', '9'] -> ((8 * ((7/8 / 1/5) - 1/4)) - 9)
[100788] ['8/9', '8/7', '5/4', '4', '4'] -> ((8/9 * (8/7 + 4)) * (5/4 + 4))
[100789] ['1/3', '1/3', '6/5', '8', '8'] -> (6/5 * (8 + (8 / (1/3 + 1/3))))
[100790] ['7/6', '6/5', '7/4', '2', '4'] -> (4 / ((2 / 6/5) - (7/4 / 7/6)))
[100791] ['1/3', '4/7', '4/5', '5', '6'] -> ((4/7 * 5) * (6 + (4/5 / 1/3)))
[100792] ['1/9', '1/4', '9/7', '6', '6'] -> ((6 + (6 / 9/7)) / (1/9 / 1/4))
[100793] ['1/5', '7/3', '7/2', '5', '9'] -> (((5 / 1/5) - 9) / (7/3 / 7/2))
[100794] ['8/9', '8/7', '9/7', '4', '4'] -> (((8/9 + 4) * (9/7 * 4)) - 8/7)
[100795] ['1/3', '1/3', '9/7', '8', '8'] -> ((9/7 * 8) * ((1/3 * 8) - 1/3))
[100796] ['1/3', '4/7', '5/6', '5', '6'] -> ((((6 / 4/7) - 5/6) / 1/3) - 5)
[100797] ['7/6', '6/5', '2', '9/4', '4'] -> (2 / ((7/6 + 9/4) - (4 / 6/5)))
[100798] ['1/5', '7/3', '9/2', '5', '9'] -> (9 + (9/2 * (7/3 + (1/5 * 5))))
[100799] ['6/7', '8/5', '8/3', '3', '8'] -> (8/5 * ((8/3 + 3) + (8 / 6/7)))
[100800] ['1/9', '1/4', '8/5', '6', '6'] -> ((1/4 * 8/5) * (6 + (6 / 1/9)))
[100801] ['1/5', '1/4', '8/7', '8', '9'] -> ((8/7 + (1/5 * 8)) * (9 - 1/4))
[100802] ['5/9', '8/7', '3', '7/2', '9'] -> (7/2 * ((5/9 * 9) - (8/7 - 3)))
[100803] ['7/6', '5/4', '9/7', '2', '4'] -> ((2 + 4) / ((7/6 * 9/7) - 5/4))
[100804] ['1/3', '1/3', '7/4', '8', '8'] -> ((8 / ((1/3 * 7/4) - 1/3)) - 8)
[100805] ['5/9', '8/7', '3', '9/2', '9'] -> (3 / (9/2 - (9 * (5/9 / 8/7))))
[100806] ['7/6', '5/4', '7/5', '2', '4'] -> ((4 + (2 / 5/4)) / (7/5 - 7/6))
[100807] ['1/3', '1/3', '9/5', '8', '8'] -> (9/5 * (8 + (8 * (1/3 + 1/3))))
[100808] ['6/7', '5/3', '9/4', '3', '8'] -> (9/4 * ((8 / 6/7) - (5/3 - 3)))
[100809] ['1/3', '4/7', '7/5', '5', '6'] -> (4/7 + (6 * (1/3 + (5 / 7/5))))
[100810] ['2/9', '2/9', '2/7', '5', '9'] -> (((2/9 + 9) / 2/9) - (5 / 2/7))
[100811] ['1/9', '2/7', '1/3', '6', '6'] -> ((6 / 2/7) + (6 - (1/3 / 1/9)))
[100812] ['6/7', '5/3', '5/2', '3', '8'] -> ((6/7 * (5/3 + 3)) + (5/2 * 8))
[100813] ['1/5', '1/4', '5/3', '8', '9'] -> (9 / (5/3 * (1/4 - (1/5 / 8))))
[100814] ['2/5', '5/7', '5/3', '6', '7'] -> ((6 - (2/5 * 5/7)) / (5/3 / 7))
[100815] ['2/9', '2/9', '3/7', '5', '9'] -> (9 * (5 - ((2/9 / 2/9) / 3/7)))
[100816] ['1/3', '3/8', '5/9', '8', '8'] -> (8 + ((8 + (1/3 / 3/8)) / 5/9))
[100817] ['2/5', '5/7', '9/4', '6', '7'] -> (6 / (9/4 - (7 * (2/5 * 5/7))))
[100818] ['1/5', '1/4', '9/4', '8', '9'] -> ((8 / 1/5) - (9 / (1/4 * 9/4)))
[100819] ['2/9', '2/9', '3/5', '5', '9'] -> ((3/5 * 5) * (9 - (2/9 / 2/9)))
[100820] ['5/9', '7/6', '7/4', '3', '9'] -> (9 / ((7/6 * 7/4) - (5/9 * 3)))
[100821] ['1/3', '4/7', '9/4', '5', '6'] -> (5 / ((1/3 / 4/7) - (9/4 / 6)))
[100822] ['2/9', '2/9', '5/8', '5', '9'] -> (((2/9 / 2/9) + (5 + 9)) / 5/8)
[100823] ['6/7', '7/4', '9/5', '3', '8'] -> (9/5 * ((8 / (6/7 / 7/4)) - 3))
[100824] ['2/5', '5/7', '8/3', '6', '7'] -> ((5/7 * 8/3) * (7 - (2/5 - 6)))
[100825] ['5/9', '7/6', '9/4', '3', '9'] -> (9 / (9/4 * (5/9 - (7/6 / 3))))
[100826] ['7/6', '7/5', '3/2', '2', '4'] -> (4 / ((2 * (7/6 / 7/5)) - 3/2))
[100827] ['4/7', '3/4', '1', '3', '7/2'] -> ((7/2 * (4/7 * 3)) / (1 - 3/4))
[100828] ['1/9', '2/7', '5/9', '6', '6'] -> ((6 + (5/9 * 6)) / (1/9 / 2/7))
[100829] ['2/5', '5/7', '9/2', '6', '7'] -> (5/7 * ((9/2 * 6) - (2/5 - 7)))
[100830] ['2/9', '4/7', '1', '1', '9/7'] -> ((1 + 9/7) / (2/9 * (1 - 4/7)))
[100831] ['1/9', '2/7', '3/5', '6', '6'] -> (2/7 * ((6 / (1/9 * 3/5)) - 6))
[100832] ['2/9', '2/9', '7/8', '5', '9'] -> ((5 * 9) / (7/8 + (2/9 / 2/9)))
[100833] ['4/7', '7/9', '4/5', '1', '3'] -> (4/7 * ((1 / (4/5 - 7/9)) - 3))
[100834] ['8/9', '7/6', '6/5', '4', '4'] -> ((4 + 4) / (6/5 * (7/6 - 8/9)))
[100835] ['7/6', '7/5', '2', '9/4', '4'] -> (2 / (((4 - 9/4) / 7/5) - 7/6))
[100836] ['2/5', '3/4', '7/9', '6', '7'] -> ((7 / (7/9 * (2/5 * 3/4))) - 6)
[100837] ['6/7', '9/5', '5/2', '3', '8'] -> (3 + ((6/7 * 5/2) * (9/5 + 8)))
[100838] ['4/7', '7/9', '5/6', '1', '3'] -> ((4/7 * 3) / ((5/6 / 7/9) - 1))
[100839] ['8/9', '7/6', '5/4', '4', '4'] -> ((4 + (7/6 * 4)) / (5/4 - 8/9))
[100840] ['1/5', '2/7', '3/7', '8', '9'] -> (1/5 + ((8 + 9) / (2/7 + 3/7)))
[100841] ['1/9', '2/7', '5/7', '6', '6'] -> ((2/7 / 5/7) * (6 + (6 / 1/9)))
[100842] ['2/5', '3/4', '5/6', '6', '7'] -> (7 + (6 * (3/4 + (5/6 / 2/5))))
[100843] ['1/3', '3/8', '7/4', '8', '8'] -> (8 * (8 - (1/3 + (7/4 / 3/8))))
[100844] ['2/9', '2/9', '6/5', '5', '9'] -> ((6/5 * 5) * (9 * (2/9 + 2/9)))
[100845] ['4/7', '7/9', '7/8', '1', '3'] -> (3 / ((7/9 * (4/7 + 7/8)) - 1))
[100846] ['1/3', '3/8', '9/5', '8', '8'] -> (8 + (9/5 * (8 + (1/3 / 3/8))))
[100847] ['1/5', '2/7', '1/2', '8', '9'] -> (((8 + 9) / (1/5 + 1/2)) - 2/7)
[100848] ['2/5', '3/4', '7/8', '6', '7'] -> (6 / (2/5 * (3/4 - (7/8 / 7))))
[100849] ['2/9', '2/9', '9/7', '5', '9'] -> (((2/9 + 9) - (5 / 9/7)) / 2/9)
[100850] ['6/7', '9/4', '5/2', '3', '8'] -> ((5/2 + (9/4 * 8)) + (3 / 6/7))
[100851] ['5/9', '5/4', '7/3', '3', '9'] -> (7/3 + ((5/9 + 5/4) * (3 + 9)))
[100852] ['2/9', '2/9', '7/5', '5', '9'] -> ((2/9 + (2/9 * 7/5)) * (5 * 9))
[100853] ['4/7', '7/9', '1', '9/8', '3'] -> (3 / ((4/7 + 1) - (9/8 / 7/9)))
[100854] ['7/6', '7/4', '9/5', '2', '4'] -> (2 / (((4 - 7/4) / 9/5) - 7/6))
[100855] ['8/9', '7/6', '9/4', '4', '4'] -> ((4 - 8/9) * (4 / (7/6 / 9/4)))
[100856] ['2/9', '2/9', '8/5', '5', '9'] -> (8/5 * ((2/9 / 2/9) + (5 + 9)))
[100857] ['1/3', '5/8', '7/2', '5', '6'] -> (5 / ((1/3 * (6 - 7/2)) - 5/8))
[100858] ['8/9', '7/6', '7/2', '4', '4'] -> (4 / ((7/6 + 7/2) - (4 / 8/9)))
[100859] ['1/9', '2/7', '6/5', '6', '6'] -> ((6 / (1/9 * 6/5)) - (6 / 2/7))
[100860] ['2/9', '2/9', '9/2', '5', '9'] -> ((9/2 / 9) + ((2/9 + 5) / 2/9))
[100861] ['7/6', '9/5', '2', '7/3', '4'] -> ((9/5 * 7/3) * (4 + (2 / 7/6)))
[100862] ['1/3', '2/5', '1/2', '8', '8'] -> (1/3 * ((8 / (1/2 - 2/5)) - 8))
[100863] ['8/9', '6/5', '6/5', '4', '4'] -> (6/5 + (4 * (6/5 + (4 / 8/9))))
[100864] ['1/5', '2/7', '3/4', '8', '9'] -> ((9 / 1/5) - (8 / (2/7 / 3/4)))
[100865] ['1/3', '2/5', '4/7', '8', '8'] -> ((1/3 * (2/5 + 8)) * (4/7 + 8))
[100866] ['2/5', '3/4', '7/4', '6', '7'] -> ((6 / (2/5 * 3/4)) + (7 / 7/4))
[100867] ['5/9', '9/7', '9/5', '3', '9'] -> (3 * ((5/9 * 9/5) + (9 / 9/7)))
[100868] ['7/6', '2', '9/4', '9/4', '4'] -> (4 / ((7/6 - 2) + (9/4 / 9/4)))
[100869] ['2/9', '1/4', '2/7', '5', '9'] -> ((1/4 + 5) * (9 * (2/9 + 2/7)))
