[53707] ['1/3', '9/7', '3/2', '3', '3'] -> ((3 + (3 / 9/7)) / (1/3 / 3/2))
[54794] ['5/8', '4/3', '7/2', '5', '5'] -> ((5 / 5/8) / (5 - (4/3 * 7/2)))
[54795] ['2/5', '2/3', '7/8', '4', '8'] -> ((8 / (2/5 * 4)) / (7/8 - 2/3))
[54796] ['5/6', '8/9', '9/8', '7', '7'] -> (8/9 / (7 - ((5/6 + 7) / 9/8)))
[54797] ['1/8', '8/9', '9/8', '8', '8'] -> ((9/8 / (1/8 / 8/9)) + (8 + 8))
[54798] ['2/9', '4/7', '9/7', '9', '9'] -> (4/7 + (9/7 * (9 + (2/9 + 9))))
[54799] ['5/8', '5/8', '4', '9/2', '7'] -> ((4 * 9/2) + (7 - (5/8 / 5/8)))
[54800] ['2/5', '2/3', '8/7', '4', '8'] -> ((2/3 + 4) * (8 - (8/7 / 2/5)))
[54801] ['1/6', '5/7', '5/4', '2', '2'] -> (2 / (2 - (1/6 + (5/4 / 5/7))))
[54802] ['1/3', '2/5', '1', '7/4', '7'] -> (7 / (7/4 * (1 - (1/3 / 2/5))))
[54803] ['1/8', '8/9', '7/6', '8', '8'] -> (8 / ((7/6 / 1/8) - (8 / 8/9)))
[54804] ['1/6', '4/9', '7/4', '4', '9'] -> ((1/6 * 9) / (4 - (7/4 / 4/9)))
[54805] ['1/6', '5/7', '9/7', '2', '2'] -> (((5/7 * 2) + (9/7 * 2)) / 1/6)
[54806] ['1/6', '1/6', '7/9', '2', '4'] -> (2 / (7/9 - (1/6 * (1/6 + 4))))
[54807] ['1/3', '3/4', '6/7', '1', '4'] -> ((1 / (1/3 * (6/7 - 3/4))) - 4)
[54808] ['1/5', '7/8', '8/3', '6', '6'] -> ((6 / (1/5 / 7/8)) - (6 / 8/3))
[54809] ['1/3', '2/5', '1', '7/3', '7'] -> (((7/3 + 7) / 2/5) - (1/3 - 1))
[54810] ['5/8', '7/5', '7/4', '5', '5'] -> ((5 + (5 / 7/5)) / (5/8 / 7/4))
[54811] ['3/8', '7/9', '5/2', '3', '3'] -> (3 / ((7/9 * (3/8 + 3)) - 5/2))
[54812] ['2/5', '2/3', '7/4', '4', '8'] -> (8 / (4 * (7/4 - (2/3 / 2/5))))
[54813] ['7/8', '4/3', '9/5', '6', '9'] -> ((6 + (9 / 9/5)) / (4/3 - 7/8))
[54814] ['1/8', '8/9', '5/4', '8', '8'] -> (8 + (8/9 * (8 + (5/4 / 1/8))))
[54815] ['1/7', '5/7', '6/7', '2', '5'] -> (6/7 * (((5 - 5/7) / 1/7) - 2))
[54816] ['1/3', '3/4', '1', '6/5', '4'] -> ((1 + 4) * (6/5 / (1/3 * 3/4)))
[54817] ['2/5', '2/3', '7/2', '4', '8'] -> (8 / (2/5 * (7/2 - (2/3 * 4))))
[54818] ['3/8', '7/9', '3', '3', '9/2'] -> (3 / ((7/9 * 9/2) - (3/8 + 3)))
[54819] ['1/3', '3/7', '5/9', '1', '7'] -> (((7 / 3/7) - (1 / 1/3)) / 5/9)
[54820] ['1/7', '5/7', '8/9', '2', '5'] -> (8/9 * (2 + (5 / (1/7 / 5/7))))
[54821] ['2/5', '2/3', '4', '9/2', '8'] -> ((2/5 / 2/3) * (4 + (9/2 * 8)))
[54822] ['5/8', '7/5', '5/2', '5', '5'] -> ((5/2 * (7/5 + 5)) + (5 / 5/8))
[54823] ['3/8', '4/5', '5/6', '3', '3'] -> ((3 + 3) / (5/6 * (3/8 * 4/5)))
[54824] ['1/6', '5/7', '9/5', '2', '2'] -> ((2 + (9/5 * 2)) / (1/6 / 5/7))
[54825] ['1/7', '1/2', '8/3', '5', '8'] -> ((1/7 + 1/2) * ((5 * 8) - 8/3))
[54826] ['2/5', '5/7', '7/9', '4', '8'] -> ((7/9 * 4) * (8 - (2/5 * 5/7)))
[54827] ['1/7', '5/7', '7/6', '2', '5'] -> ((((5 - 5/7) / 1/7) - 2) / 7/6)
[54828] ['7/8', '7/5', '5/3', '6', '9'] -> ((9 + (6 / 5/3)) / (7/5 - 7/8))
[54829] ['1/8', '8/9', '7/4', '8', '8'] -> ((8 / 8/9) + (8 * (1/8 + 7/4)))
[54830] ['5/6', '8/9', '8/5', '7', '7'] -> (8/5 / ((8/9 / 5/6) - (7 / 7)))
[54831] ['5/8', '7/5', '9/2', '5', '5'] -> ((5 * ((9/2 / 5/8) - 7/5)) - 5)
[54832] ['1/7', '5/9', '5/9', '5', '8'] -> (8 + ((5 + (5/9 / 1/7)) / 5/9))
[54833] ['1/3', '7/9', '7/9', '1', '4'] -> ((1 + (7/9 / 7/9)) / (1/3 / 4))
[54834] ['1/3', '3/7', '4/5', '1', '7'] -> ((3/7 + 1) * (7 / (1/3 / 4/5)))
[54835] ['7/8', '7/5', '9/5', '6', '9'] -> (9/5 + (7/5 * (9 + (6 / 7/8))))
[54836] ['1/3', '7/9', '4/5', '1', '4'] -> ((1/3 + (4 / 4/5)) / (1 - 7/9))
[54837] ['5/8', '3/2', '8/5', '5', '5'] -> (3/2 * ((8/5 * 5) + (5 / 5/8)))
[54838] ['2/5', '5/7', '7/8', '4', '8'] -> (8 + (4 / (7/8 * (2/5 * 5/7))))
[54839] ['1/8', '9/8', '9/8', '8', '8'] -> ((9/8 / (1/8 * 9/8)) + (8 + 8))
[54840] ['1/3', '7/9', '6/7', '1', '4'] -> (4 / ((1/3 / 6/7) + (7/9 - 1)))
[54841] ['5/8', '3/2', '7/4', '5', '5'] -> (((5 / (7/4 - 3/2)) - 5) / 5/8)
[54842] ['1/8', '9/8', '8/7', '8', '8'] -> ((8 / 8/7) + (8 + (9/8 / 1/8)))
[54843] ['1/6', '5/9', '6/7', '4', '9'] -> (4 * (1/6 + (9 * (5/9 / 6/7))))
[54844] ['1/7', '5/9', '5/8', '5', '8'] -> ((5/9 / 5/8) * ((5 / 1/7) - 8))
[54845] ['1/6', '1/6', '2', '9/4', '4'] -> (((1/6 + (2 * 9/4)) / 1/6) - 4)
[54846] ['1/3', '3/7', '1', '9/8', '7'] -> (1 / ((9/8 / (3/7 * 7)) - 1/3))
[54847] ['7/8', '7/5', '7/2', '6', '9'] -> (7/8 * ((7/2 * 6) + (9 / 7/5)))
[54848] ['1/7', '5/7', '2', '9/4', '5'] -> ((5 + (5/7 + 2)) / (1/7 * 9/4))
[54849] ['5/8', '5/7', '5/6', '4', '7'] -> ((4 - (5/7 / 5/8)) / (5/6 / 7))
[54850] ['2/5', '5/7', '7/6', '4', '8'] -> ((4 - 2/5) * (8 * (5/7 * 7/6)))
[54851] ['1/6', '3/4', '4/5', '2', '2'] -> (((3/4 * 2) + (2 / 4/5)) / 1/6)
[54852] ['1/5', '8/9', '7/5', '6', '6'] -> (6 / ((7/5 / 1/5) - (6 / 8/9)))
[54853] ['1/3', '7/9', '1', '9/8', '4'] -> ((7/9 + 1) * (4 / (1/3 / 9/8)))
[54854] ['1/6', '5/9', '7/8', '4', '9'] -> ((5/9 * 9) / (7/8 - (1/6 * 4)))
[54855] ['1/8', '9/8', '6/5', '8', '8'] -> ((6/5 * (1/8 + 9/8)) * (8 + 8))
[54856] ['1/3', '7/9', '1', '8/7', '4'] -> (8/7 / ((1/3 * 4) - (1 / 7/9)))
[54857] ['1/6', '1/5', '4/9', '2', '4'] -> (((1/6 * 4) + (2 / 1/5)) / 4/9)
[54858] ['1/6', '3/4', '6/7', '2', '2'] -> ((2 + (2 / 3/4)) / (1/6 / 6/7))
[54859] ['1/7', '5/9', '5/7', '5', '8'] -> (((1/7 + 8) + (5 / 5/9)) / 5/7)
[54860] ['3/8', '4/5', '4/3', '3', '3'] -> ((3 + (3 / 4/5)) / (3/8 / 4/3))
[54861] ['1/3', '3/7', '1', '5/4', '7'] -> ((3/7 + 1) * (7 / (1/3 * 5/4)))
[54862] ['2/9', '3/5', '5/7', '9', '9'] -> ((2/9 * 9) * ((9 / 5/7) - 3/5))
[54863] ['1/3', '7/9', '1', '6/5', '4'] -> ((1/3 * 4) / ((1 / 6/5) - 7/9))
[54864] ['5/8', '5/7', '9/8', '4', '7'] -> ((7 / (9/8 - (5/8 / 5/7))) - 4)
[54865] ['2/9', '3/5', '3/4', '9', '9'] -> ((3/5 + 3/4) * (9 - (2/9 - 9)))
[54866] ['5/8', '8/5', '9/4', '5', '5'] -> (5 + (8/5 * (5/8 + (9/4 * 5))))
[54867] ['1/8', '9/8', '7/5', '8', '8'] -> ((1/8 + 9/8) * (8 + (7/5 * 8)))
[54868] ['1/3', '7/9', '1', '5/4', '4'] -> ((1/3 + (5/4 * 4)) / (1 - 7/9))
[54869] ['5/6', '8/9', '9/2', '7', '7'] -> ((8/9 * 9/2) / ((7 / 7) - 5/6))
[54870] ['3/8', '4/5', '7/4', '3', '3'] -> (((7/4 * 3) + (3 / 4/5)) / 3/8)
[54871] ['1/3', '3/7', '1', '8/5', '7'] -> (8/5 * ((7 / 3/7) - (1/3 + 1)))
[54872] ['1/6', '3/4', '8/7', '2', '2'] -> ((2 + (3/4 * 2)) / (1/6 / 8/7))
[54873] ['2/9', '3/5', '5/6', '9', '9'] -> (5/6 * (((9 - 3/5) / 2/9) - 9))
[54874] ['1/3', '7/9', '1', '9/7', '4'] -> ((1 + (7/9 * 9/7)) / (1/3 / 4))
[54875] ['5/8', '8/5', '7/2', '5', '5'] -> ((8/5 * (5/8 + (7/2 * 5))) - 5)
[54876] ['7/8', '8/5', '5/3', '6', '9'] -> (6 * ((9 / 5/3) - (7/8 * 8/5)))
[54877] ['2/5', '5/7', '9/4', '4', '8'] -> ((2/5 + (9/4 * 8)) + (4 / 5/7))
[54878] ['1/7', '5/9', '5/6', '5', '8'] -> (8 / (5 - (5/9 / (1/7 * 5/6))))
[54879] ['1/6', '3/4', '6/5', '2', '2'] -> ((2 - 3/4) / (1/6 / (6/5 + 2)))
[54880] ['1/3', '3/7', '1', '9/5', '7'] -> (9/5 * ((7 / 3/7) - (1 / 1/3)))
[54881] ['2/9', '3/5', '6/7', '9', '9'] -> ((6/7 + (2/9 * 9)) * (9 - 3/5))
[54882] ['5/8', '8/5', '9/2', '5', '5'] -> ((8/5 + 5) / ((9/2 / 5) - 5/8))
[54883] ['2/5', '5/7', '8/3', '4', '8'] -> (8 + (8/3 * (2/5 + (4 / 5/7))))
[54884] ['1/6', '3/4', '9/7', '2', '2'] -> ((2 + (2 / 1/6)) / (3/4 / 9/7))
[54885] ['1/3', '3/7', '1', '9/4', '7'] -> (7 * (3/7 + (9/4 * (1/3 + 1))))
[54886] ['3/8', '4/5', '5/2', '3', '3'] -> ((3 + (3 * (4/5 * 5/2))) / 3/8)
[54887] ['1/7', '3/4', '8/9', '2', '5'] -> ((5 / (1/7 / 3/4)) - (2 / 8/9))
[54888] ['1/3', '7/9', '1', '7/4', '4'] -> (((4 / (7/9 / 7/4)) - 1) / 1/3)
[54889] ['3/8', '4/5', '8/3', '3', '3'] -> ((3 / 3/8) / ((8/3 / 4/5) - 3))
[54890] ['5/6', '9/8', '6/5', '7', '7'] -> (6/5 / (((7 - 9/8) / 5/6) - 7))
[54891] ['2/9', '3/5', '8/9', '9', '9'] -> (((9 / 3/5) - 9) / (2/9 / 8/9))
[54892] ['1/7', '5/9', '9/8', '5', '8'] -> (((5 - 5/9) / 1/7) - (8 / 9/8))
[54893] ['1/8', '8/7', '4/3', '8', '8'] -> (8 / (8/7 * (1/8 + (4/3 / 8))))
[54894] ['2/9', '3/5', '9/8', '9', '9'] -> (((9 / 3/5) - 9) / (2/9 * 9/8))
[54895] ['5/8', '7/4', '9/5', '5', '5'] -> ((9/5 - (7/4 / 5/8)) + (5 * 5))
[54896] ['7/8', '5/3', '9/4', '6', '9'] -> ((7/8 * 6) + (5/3 * (9/4 + 9)))
[54897] ['1/8', '8/7', '3/2', '8', '8'] -> (8/7 * (8 + (8 * (1/8 + 3/2))))
[54898] ['5/8', '3/4', '3/4', '4', '7'] -> ((4 * (7 - 5/8)) - (3/4 + 3/4))
[54899] ['5/8', '7/4', '7/3', '5', '5'] -> ((5 / 5) / ((5/8 + 7/4) - 7/3))
[54900] ['1/7', '5/9', '6/5', '5', '8'] -> (8 / (5 - (6/5 / (1/7 / 5/9))))
[54901] ['1/6', '7/9', '5/6', '2', '2'] -> ((2 / (5/6 - 7/9)) - (2 / 1/6))
[54902] ['3/8', '5/6', '7/8', '3', '3'] -> (((3/8 * 3) / (7/8 - 5/6)) - 3)
[54903] ['5/6', '9/8', '7/5', '7', '7'] -> ((7 / 7) / ((5/6 * 7/5) - 9/8))
[54904] ['7/8', '5/3', '7/2', '6', '9'] -> ((7/2 / 7/8) / (5/3 - (9 / 6)))
[54905] ['1/3', '4/9', '4/5', '1', '7'] -> ((7 / (1/3 * 4/5)) - (1 / 4/9))
[54906] ['1/8', '8/7', '8/5', '8', '8'] -> (8/7 * (8 + (8/5 * (1/8 + 8))))
[54907] ['1/6', '4/7', '3/4', '4', '9'] -> ((3/4 - 1/6) * (9 * (4/7 + 4)))
[54908] ['1/5', '9/8', '6/5', '6', '6'] -> (6 / ((6 * (6/5 - 9/8)) - 1/5))
[54909] ['5/6', '9/8', '8/5', '7', '7'] -> ((7 + (8/5 * (9/8 + 7))) / 5/6)
[54910] ['1/7', '5/9', '9/7', '5', '8'] -> ((5 / 1/7) - (9/7 * (5/9 + 8)))
[54911] ['1/3', '4/5', '1', '8/7', '4'] -> ((1 + 8/7) * ((4 / 1/3) - 4/5))
[54912] ['1/8', '8/7', '9/5', '8', '8'] -> (8/7 + (8 / (1/8 + (9/5 / 8))))
[54913] ['1/6', '1/5', '9/7', '2', '4'] -> ((1/5 + 4) * ((9/7 / 1/6) - 2))
[54914] ['5/8', '3/4', '7/6', '4', '7'] -> ((7 / ((3/4 * 7/6) - 5/8)) - 4)
[54915] ['1/6', '7/9', '7/6', '2', '2'] -> ((2 / 1/6) / (2 - (7/6 / 7/9)))
[54916] ['5/8', '9/5', '9/5', '5', '5'] -> (9/5 / (5 - (9/5 + (5/8 * 5))))
[54917] ['2/5', '7/9', '5/6', '4', '8'] -> ((4 * 8) / (2/5 + (7/9 / 5/6)))
[54918] ['1/7', '5/9', '4/3', '5', '8'] -> (8 / ((4/3 / 1/7) - (5 / 5/9)))
[54919] ['2/9', '3/5', '4/3', '9', '9'] -> (((9 + 9) / 3/5) - (4/3 / 2/9))
[54920] ['7/8', '9/5', '5/2', '6', '9'] -> (((5/2 * (9/5 + 9)) - 6) / 7/8)
[54921] ['5/6', '9/8', '9/5', '7', '7'] -> (9/5 / ((7 / (5/6 * 7)) - 9/8))
[54922] ['3/8', '5/6', '9/7', '3', '3'] -> (3 / (9/7 * (3/8 - (5/6 / 3))))
[54923] ['1/7', '5/9', '7/5', '5', '8'] -> (7/5 * ((1/7 + 8) + (5 / 5/9)))
[54924] ['2/9', '3/5', '7/5', '9', '9'] -> ((2/9 * 9) * ((7/5 * 9) - 3/5))
[54925] ['1/6', '4/7', '8/9', '4', '9'] -> ((4/7 * 9) * (1/6 + (4 / 8/9)))
[54926] ['1/5', '9/8', '7/5', '6', '6'] -> (6 / ((7/5 / 1/5) - (9/8 * 6)))
[54927] ['1/3', '4/9', '1', '9/7', '7'] -> (9/7 * (((7 - 4/9) / 1/3) - 1))
[54928] ['1/6', '1/5', '2', '9/4', '4'] -> (9/4 * ((1/6 * 4) + (2 / 1/5)))
[54929] ['2/9', '3/5', '3/2', '9', '9'] -> ((9 / 2/9) - (3/2 + (9 / 3/5)))
[54930] ['1/5', '9/8', '3/2', '6', '6'] -> ((3/2 * 6) / (6 - (9/8 / 1/5)))
[54931] ['5/8', '3/4', '9/5', '4', '7'] -> ((3/4 / 5/8) / (9/5 - (7 / 4)))
[54932] ['5/6', '9/8', '5/2', '7', '7'] -> ((5/2 / 5/6) / (9/8 - (7 / 7)))
[54933] ['1/6', '7/9', '7/5', '2', '2'] -> (((2 / 7/9) + (2 / 7/5)) / 1/6)
[54934] ['1/6', '4/7', '7/6', '4', '9'] -> (((9 + (7/6 / 1/6)) / 4/7) - 4)
[54935] ['1/7', '5/9', '8/5', '5', '8'] -> ((5/9 * 8/5) * ((5 / 1/7) - 8))
[54936] ['1/6', '2/9', '2/7', '2', '4'] -> ((2 / (1/6 * 2/7)) - (4 / 2/9))
[54937] ['5/6', '9/8', '8/3', '7', '7'] -> (7 / (5/6 - ((9/8 + 8/3) / 7)))
[54938] ['2/9', '3/5', '5/3', '9', '9'] -> (((9 / 5/3) - (3/5 / 9)) / 2/9)
[54939] ['5/8', '7/9', '7/9', '4', '7'] -> (7 / ((5/8 * 7/9) - (7/9 / 4)))
[54940] ['1/6', '7/9', '8/5', '2', '2'] -> ((8/5 + 2) * (2 + (7/9 / 1/6)))
[54941] ['1/7', '5/9', '7/4', '5', '8'] -> (8 + (7/4 * (1/7 + (5 / 5/9))))
[54942] ['7/8', '7/3', '7/2', '6', '9'] -> ((6 + 9) / ((7/2 / 7/3) - 7/8))
[54943] ['1/7', '7/9', '6/7', '2', '5'] -> ((5 - (2 / 6/7)) / (1/7 * 7/9))
[54944] ['2/5', '7/9', '7/6', '4', '8'] -> (((8 / 2/5) - 4) / (7/9 / 7/6))
[54945] ['1/8', '7/6', '7/4', '8', '8'] -> (8 / ((1/8 * 8) - (7/6 / 7/4)))
[54946] ['1/7', '5/9', '9/5', '5', '8'] -> (8 + (9/5 * (5 + (5/9 / 1/7))))
[54947] ['1/3', '5/6', '1', '9/7', '4'] -> ((1/3 * 4) / (5/6 - (1 / 9/7)))
[54948] ['1/6', '7/9', '7/4', '2', '2'] -> (2 / ((7/4 / 7/9) - (1/6 + 2)))
[54949] ['1/7', '7/9', '7/8', '2', '5'] -> ((5 / (1/7 + 2)) / (7/8 - 7/9))
[54950] ['5/8', '7/3', '7/3', '5', '5'] -> ((5 / 5/8) / (5 - (7/3 + 7/3)))
[54951] ['7/8', '8/3', '7/2', '6', '9'] -> (9 / ((7/2 - 7/8) - (6 / 8/3)))
[54952] ['5/6', '8/7', '5/4', '7', '7'] -> ((5/4 / (5/6 / 8/7)) * (7 + 7))
[54953] ['3/8', '6/7', '6/5', '3', '3'] -> ((3 - 6/7) / (3/8 / (6/5 + 3)))
[54954] ['1/5', '9/8', '7/2', '6', '6'] -> (6 / ((9/8 / (6 - 7/2)) - 1/5))
[54955] ['1/3', '5/6', '1', '7/4', '4'] -> (((4 / (1/3 / 7/4)) - 1) / 5/6)
[54956] ['1/7', '7/9', '9/8', '2', '5'] -> ((5 - 2) / (9/8 * (1/7 * 7/9)))
[54957] ['8/9', '8/9', '8/9', '6', '9'] -> (6 + ((8/9 + 8/9) / (8/9 / 9)))
[54958] ['1/3', '5/9', '4/7', '1', '7'] -> ((1 + (1/3 + 4/7)) / (5/9 / 7))
[54959] ['1/6', '2/9', '8/7', '2', '4'] -> (((4 / 8/7) - (1/6 - 2)) / 2/9)
[54960] ['1/3', '5/6', '1', '9/4', '4'] -> (4 / ((1 / 9/4) - (1/3 * 5/6)))
[54961] ['1/7', '5/9', '7/2', '5', '8'] -> ((7/2 * (1/7 + (5 / 5/9))) - 8)
[54962] ['5/8', '7/9', '9/7', '4', '7'] -> (7 / ((5/8 / 9/7) - (7/9 / 4)))
[54963] ['1/5', '8/7', '6/5', '6', '6'] -> (6 * (((6 - 6/5) / 8/7) - 1/5))
[54964] ['1/7', '7/9', '5/4', '2', '5'] -> ((2 / 7/9) / ((5/4 / 5) - 1/7))
[54965] ['8/9', '8/9', '7/6', '6', '9'] -> ((9 + (6 * (8/9 + 7/6))) / 8/9)
[54966] ['5/8', '9/2', '9/2', '5', '5'] -> ((9/2 + 9/2) / ((5 / 5) - 5/8))
[54967] ['1/5', '8/7', '5/4', '6', '6'] -> (6 * ((6 / (8/7 * 5/4)) - 1/5))
[54968] ['8/9', '8/9', '6/5', '6', '9'] -> ((8/9 + 8/9) * (6 + (9 / 6/5)))
[54969] ['1/7', '4/7', '3/5', '5', '8'] -> (8 / (1/7 + ((4/7 / 3/5) / 5)))
[54970] ['5/6', '8/7', '5/3', '7', '7'] -> (8/7 * (7 + (7 / (5/6 / 5/3))))
[54971] ['1/3', '5/9', '6/7', '1', '7'] -> ((1/3 + (7 * (6/7 + 1))) / 5/9)
[54972] ['2/3', '2/3', '3/4', '5', '5'] -> ((5 * 5) - (3/4 * (2/3 + 2/3)))
[54973] ['1/6', '4/5', '8/9', '2', '2'] -> ((2 + (2 / 4/5)) / (1/6 / 8/9))
[54974] ['2/5', '7/9', '9/4', '4', '8'] -> ((4 / 2/5) + (8 * (7/9 * 9/4)))
[54975] ['1/6', '3/5', '6/7', '4', '9'] -> (((4 + (9 / 6/7)) / 3/5) - 1/6)
[54976] ['1/6', '1/4', '3/7', '2', '4'] -> (2 / ((1/6 * 4) - (1/4 / 3/7)))
[54977] ['5/6', '8/7', '7/4', '7', '7'] -> (((7 / 7/4) - 8/7) / (5/6 / 7))
[54978] ['2/9', '5/8', '3/4', '9', '9'] -> (9 / (2/9 + ((5/8 + 3/4) / 9)))
[54979] ['1/6', '4/5', '9/8', '2', '2'] -> ((2 + (2 / 4/5)) / (1/6 * 9/8))
[54980] ['1/8', '6/5', '7/3', '8', '8'] -> ((6/5 * (8 + (7/3 / 1/8))) - 8)
[54981] ['2/5', '7/9', '7/3', '4', '8'] -> ((8 / (2/5 * 7/9)) - (4 / 7/3))
[54982] ['2/9', '5/8', '7/9', '9', '9'] -> ((7/9 * 9) / (2/9 + (5/8 / 9)))
[54983] ['8/9', '8/9', '7/4', '6', '9'] -> ((6 / 9) / ((8/9 + 8/9) - 7/4))
[54984] ['1/5', '8/7', '7/5', '6', '6'] -> ((6 + (6 / (1/5 * 7/5))) / 8/7)
[54985] ['2/3', '2/3', '7/8', '5', '5'] -> (((5 * (5 - 2/3)) - 2/3) / 7/8)
[54986] ['3/8', '6/7', '3', '3', '7/2'] -> (((6/7 * 7/2) + (3 + 3)) / 3/8)
[54987] ['1/6', '4/5', '7/6', '2', '2'] -> (2 + ((7/6 + (2 / 4/5)) / 1/6))
[54988] ['5/6', '8/7', '7/3', '7', '7'] -> ((8/7 * (7/3 - 5/6)) * (7 + 7))
[54989] ['1/6', '1/4', '7/9', '2', '4'] -> ((2 + ((1/6 + 4) / 1/4)) / 7/9)
[54990] ['1/5', '8/7', '8/5', '6', '6'] -> ((6 / 8/7) + (6 / (1/5 * 8/5)))
[54991] ['1/3', '6/7', '1', '8/5', '4'] -> (8/5 * (1 + (4 / (1/3 * 6/7))))
[54992] ['8/9', '9/8', '7/6', '6', '9'] -> (9/8 * (9 + (6 * (8/9 + 7/6))))
[54993] ['1/5', '8/7', '5/3', '6', '6'] -> ((1/5 + 5/3) * (6 + (8/7 * 6)))
[54994] ['2/9', '5/8', '7/8', '9', '9'] -> (9 / ((9 * (2/9 * 5/8)) - 7/8))
[54995] ['5/6', '8/7', '8/3', '7', '7'] -> ((8/3 - (5/6 * 8/7)) * (7 + 7))
[54996] ['2/3', '2/3', '8/7', '5', '5'] -> (8/7 * ((5 * (5 - 2/3)) - 2/3))
[54997] ['1/8', '5/4', '9/5', '8', '8'] -> (((8 / (1/8 * 5/4)) - 8) / 9/5)
[54998] ['1/6', '1/4', '9/7', '2', '4'] -> (9/7 * (2 + ((1/6 + 4) / 1/4)))
[54999] ['1/5', '8/7', '9/5', '6', '6'] -> (8/7 * ((9/5 / 1/5) + (6 + 6)))
[55000] ['1/3', '6/7', '1', '9/5', '4'] -> (4 / ((1 / 9/5) - (1/3 / 6/7)))
[55001] ['5/6', '8/7', '9/2', '7', '7'] -> ((7 - 9/2) * (7 / (5/6 / 8/7)))
[55002] ['3/8', '7/8', '8/5', '3', '3'] -> ((3 + (7/8 * 3)) / (3/8 / 8/5))
[55003] ['1/3', '5/9', '1', '5/2', '7'] -> (5/2 * ((7 / 5/9) - (1 / 1/3)))
[55004] ['1/3', '6/7', '1', '9/4', '4'] -> (6/7 * (1 + (4 / (1/3 / 9/4))))
[55005] ['1/6', '4/5', '2', '2', '9/4'] -> (2 / ((2 / 4/5) - (1/6 + 9/4)))
[55006] ['1/6', '1/4', '9/5', '2', '4'] -> (9/5 * (((4 - 1/6) / 1/4) - 2))
[55007] ['5/8', '7/9', '7/2', '4', '7'] -> (4 + ((7/2 + (7 / 7/9)) / 5/8))
[55008] ['8/9', '9/8', '7/4', '6', '9'] -> ((6 * (8/9 / 7/4)) * (9 - 9/8))
[55009] ['1/8', '9/7', '9/7', '8', '8'] -> ((9/7 / (1/8 * 9/7)) + (8 + 8))
[55010] ['1/6', '4/5', '2', '2', '5/2'] -> ((2 - (4/5 / 2)) / (1/6 / 5/2))
[55011] ['2/9', '5/8', '7/6', '9', '9'] -> (9 / ((5/8 * 9) - (7/6 / 2/9)))
[55012] ['1/3', '6/7', '1', '8/3', '4'] -> ((6/7 * 4) * ((8/3 / 1/3) - 1))
[55013] ['2/5', '5/6', '8/9', '4', '8'] -> ((5/6 * 8/9) * (2/5 + (4 * 8)))
[55014] ['1/6', '5/8', '5/7', '4', '9'] -> ((5/7 * 9) * (4 - (1/6 / 5/8)))
[55015] ['2/3', '2/3', '7/4', '5', '5'] -> ((5 + 5) / (7/4 - (2/3 + 2/3)))
[55016] ['2/9', '5/8', '6/5', '9', '9'] -> ((9 * (2/9 / 5/8)) / (6/5 / 9))
[55017] ['1/5', '8/7', '8/3', '6', '6'] -> ((6 / (1/5 * 8/7)) - (6 / 8/3))
[55018] ['8/9', '8/7', '7/6', '6', '9'] -> ((6 * 9) * ((8/7 * 7/6) - 8/9))
[55019] ['5/8', '4/5', '6/7', '4', '7'] -> (7 * ((4/5 + 4) - (6/7 / 5/8)))
[55020] ['1/8', '9/7', '7/5', '8', '8'] -> ((8 / 7/5) + (8 + (9/7 / 1/8)))
[55021] ['1/3', '4/7', '2/3', '1', '7'] -> (((7 / (1 - 4/7)) - 1/3) / 2/3)
[55022] ['1/6', '5/6', '6/7', '2', '2'] -> (((5/6 * 2) + (2 / 6/7)) / 1/6)
[55023] ['2/5', '5/6', '9/8', '4', '8'] -> ((5/6 / 9/8) * (2/5 + (4 * 8)))
[55024] ['2/3', '2/3', '9/4', '5', '5'] -> ((5 * 5) - (9/4 * (2/3 * 2/3)))
[55025] ['1/5', '8/7', '7/2', '6', '6'] -> (6 * ((8/7 / 1/5) - (6 / 7/2)))
[55026] ['1/7', '4/5', '5/6', '2', '5'] -> ((5 / (1/7 / 4/5)) / (2 - 5/6))
[55027] ['1/6', '5/6', '8/9', '2', '2'] -> ((2 / (8/9 - 5/6)) - (2 / 1/6))
[55028] ['1/7', '3/5', '7/9', '5', '8'] -> ((8 / (1/7 * 3/5)) / (7/9 * 5))
[55029] ['2/9', '5/8', '9/7', '9', '9'] -> (9 / (9/7 * (2/9 + (5/8 / 9))))
[55030] ['1/6', '2/7', '5/8', '2', '4'] -> ((4 + (2 / 2/7)) / (5/8 - 1/6))
[55031] ['1/7', '3/5', '4/5', '5', '8'] -> ((3/5 / 1/7) / (4/5 - (5 / 8)))
[55032] ['1/3', '7/8', '1', '7/5', '4'] -> ((1 + 4) * (7/5 / (1/3 * 7/8)))
[55033] ['5/6', '7/6', '9/4', '7', '7'] -> ((7 + (5/6 / 7/6)) / (9/4 / 7))
[55034] ['2/9', '5/8', '4/3', '9', '9'] -> (9 / ((4/3 / 2/9) - (5/8 * 9)))
[55035] ['2/3', '5/7', '7/9', '5', '5'] -> ((5 + (5 / 7/9)) / (2/3 * 5/7))
[55036] ['5/8', '4/5', '9/7', '4', '7'] -> (4 + (7 * (4/5 + (9/7 / 5/8))))
[55037] ['8/9', '8/7', '9/7', '6', '9'] -> (8/7 / ((9 * (8/9 / 6)) - 9/7))
[55038] ['1/8', '9/7', '7/4', '8', '8'] -> ((7/4 * (8 + (9/7 / 1/8))) - 8)
