[913612] ['1/7', '1/8', '2/9', '7/6', '9/2'] -> ((2/9 / ((1/7 * 7/6) - 1/8)) * 9/2)
[934029] ['1/7', '2/3', '2/9', '5/8', '9/4'] -> ((5/8 / (2/3 - (1/7 / 2/9))) - 9/4)
[934036] ['1/7', '2/3', '2/9', '5/9', '7/2'] -> (((2/3 + (5/9 / 1/7)) / 2/9) + 7/2)
[934046] ['1/7', '2/3', '2/9', '5/9', '8/9'] -> ((((2/3 / 2/9) + 5/9) / 1/7) - 8/9)
[934048] ['1/7', '2/3', '2/9', '5/9', '9/4'] -> ((((5/9 / 1/7) / 2/3) / 2/9) - 9/4)
[934061] ['1/7', '2/3', '2/9', '6/5', '8/3'] -> (8/3 / (1/7 * (2/9 + (2/3 / 6/5))))
[934063] ['1/7', '2/3', '2/9', '6/5', '8/7'] -> (8/7 / (1/7 * ((2/3 / 6/5) - 2/9)))
[934065] ['1/7', '2/3', '2/9', '6/5', '9/2'] -> ((((2/3 / 1/7) - 2/9) * 6/5) * 9/2)
[934070] ['1/7', '2/3', '2/9', '6/7', '6/7'] -> ((((2/3 / 1/7) + 6/7) / 2/9) - 6/7)
[934072] ['1/7', '2/3', '2/9', '6/7', '7/3'] -> ((((6/7 / 1/7) / 2/9) - 2/3) - 7/3)
[934074] ['1/7', '2/3', '2/9', '6/7', '7/5'] -> ((7/5 * ((2/3 / 1/7) - 6/7)) / 2/9)
[934079] ['1/7', '2/3', '2/9', '6/7', '8/5'] -> ((((2/3 / 2/9) - 6/7) / 1/7) * 8/5)
[934086] ['1/7', '2/3', '2/9', '6/7', '9/8'] -> ((((2/3 / 2/9) + 6/7) / 1/7) / 9/8)
[934096] ['1/7', '2/3', '2/9', '7/2', '8/7'] -> (8/7 / (1/7 - ((2/9 / 2/3) / 7/2)))
[934097] ['1/7', '2/3', '2/9', '7/2', '8/9'] -> (8/9 / (2/9 * (2/3 - (1/7 * 7/2))))
[934103] ['1/7', '2/3', '2/9', '7/3', '7/3'] -> (((7/3 / 2/9) - (1/7 / 2/3)) * 7/3)
[934113] ['1/7', '2/3', '2/9', '7/3', '9/2'] -> (((2/3 + (2/9 / 7/3)) / 1/7) * 9/2)
[934114] ['1/7', '2/3', '2/9', '7/3', '9/4'] -> ((((2/3 * 7/3) / 1/7) - 2/9) * 9/4)
[934115] ['1/7', '2/3', '2/9', '7/3', '9/5'] -> (((7/3 / 1/7) - (2/3 / 2/9)) * 9/5)
[934116] ['1/7', '2/3', '2/9', '7/3', '9/7'] -> ((9/7 * ((2/9 / 2/3) + 7/3)) / 1/7)
[934118] ['1/7', '2/3', '2/9', '7/4', '7/4'] -> ((2/3 / (1/7 - (2/9 / 7/4))) / 7/4)
[934125] ['1/7', '2/3', '2/9', '7/4', '8/7'] -> (8/7 / (((2/9 / 2/3) / 7/4) - 1/7))
[934126] ['1/7', '2/3', '2/9', '7/4', '8/9'] -> (8/9 / (((1/7 * 2/3) * 2/9) * 7/4))
[934136] ['1/7', '2/3', '2/9', '7/5', '8/3'] -> (8/3 / (((2/3 / 7/5) - 1/7) - 2/9))
[934137] ['1/7', '2/3', '2/9', '7/5', '8/5'] -> ((((2/3 / 1/7) / 2/9) / 7/5) * 8/5)
[934139] ['1/7', '2/3', '2/9', '7/5', '8/9'] -> (8/9 / (1/7 - ((2/3 * 2/9) / 7/5)))
[934151] ['1/7', '2/3', '2/9', '7/6', '8/9'] -> (8/9 / (2/3 * (2/9 - (1/7 * 7/6))))
[934152] ['1/7', '2/3', '2/9', '7/6', '9/2'] -> ((((2/3 + 2/9) / 1/7) / 7/6) * 9/2)
[934153] ['1/7', '2/3', '2/9', '7/6', '9/4'] -> ((((2/3 / 1/7) + 7/6) / 2/9) - 9/4)
[934169] ['1/7', '2/3', '2/9', '7/9', '8/3'] -> (8/3 / (((2/9 / 1/7) - 2/3) - 7/9))
[934177] ['1/7', '2/3', '2/9', '7/9', '9/8'] -> ((((2/3 / 1/7) / 2/9) / 7/9) / 9/8)
[934178] ['1/7', '2/3', '2/9', '8/3', '8/3'] -> ((((2/3 / 1/7) - 8/3) / 2/9) * 8/3)
[934187] ['1/7', '2/3', '2/9', '8/5', '8/5'] -> ((2/3 / (8/5 - (2/9 / 1/7))) * 8/5)
[934204] ['1/7', '2/3', '2/9', '8/9', '9/4'] -> ((((2/3 + 8/9) / 1/7) - 2/9) * 9/4)
[934206] ['1/7', '2/3', '2/9', '8/9', '9/7'] -> ((((2/3 * 8/9) / 1/7) / 2/9) * 9/7)
[934215] ['1/7', '2/3', '2/9', '9/4', '9/7'] -> (9/7 / ((2/3 - (1/7 / 2/9)) * 9/4))
[934221] ['1/7', '2/3', '2/9', '9/7', '9/8'] -> ((((2/3 * 9/7) / 1/7) / 2/9) / 9/8)
[934224] ['1/7', '2/3', '3/2', '3/2', '3/4'] -> ((((3/2 / 1/7) + 3/2) / 2/3) / 3/4)
[934233] ['1/7', '2/3', '3/2', '3/2', '5/3'] -> ((((2/3 + 3/2) + 3/2) / 1/7) - 5/3)
[934234] ['1/7', '2/3', '3/2', '3/2', '5/4'] -> ((((2/3 + 3/2) * 3/2) / 1/7) + 5/4)
[934236] ['1/7', '2/3', '3/2', '3/2', '5/7'] -> ((1/7 + (3/2 / 3/2)) / (5/7 - 2/3))
[934240] ['1/7', '2/3', '3/2', '3/2', '6/7'] -> (((3/2 * 3/2) / 1/7) * (2/3 + 6/7))
[934241] ['1/7', '2/3', '3/2', '3/2', '7/2'] -> (((2/3 * 3/2) - 3/2) + (7/2 / 1/7))
[934245] ['1/7', '2/3', '3/2', '3/2', '7/6'] -> (((3/2 / 1/7) + 3/2) / (7/6 - 2/3))
[934248] ['1/7', '2/3', '3/2', '3/2', '8/3'] -> (((3/2 / 1/7) + 3/2) * (8/3 - 2/3))
[934250] ['1/7', '2/3', '3/2', '3/2', '8/7'] -> ((8/7 / 1/7) / ((3/2 / 3/2) - 2/3))
[934260] ['1/7', '2/3', '3/2', '3/4', '3/8'] -> ((((3/2 + 3/4) / 1/7) / 2/3) + 3/8)
[934270] ['1/7', '2/3', '3/2', '3/4', '5/8'] -> ((((3/2 / 1/7) / 2/3) - 3/4) / 5/8)
[934271] ['1/7', '2/3', '3/2', '3/4', '5/9'] -> ((((3/2 / 1/7) / 3/4) - 2/3) / 5/9)
[934272] ['1/7', '2/3', '3/2', '3/4', '6/5'] -> ((3/2 / ((1/7 + 2/3) - 3/4)) - 6/5)
[934280] ['1/7', '2/3', '3/2', '3/4', '7/9'] -> (((2/3 + (3/2 / 3/4)) / 1/7) / 7/9)
[934282] ['1/7', '2/3', '3/2', '3/4', '8/5'] -> ((((3/2 / 1/7) / 2/3) - 3/4) * 8/5)
[934287] ['1/7', '2/3', '3/2', '3/4', '9/5'] -> ((((3/2 / 1/7) / 3/4) - 2/3) * 9/5)
[934293] ['1/7', '2/3', '3/2', '3/5', '4/3'] -> (4/3 / (1/7 * (3/2 - (2/3 / 3/5))))
[934297] ['1/7', '2/3', '3/2', '3/5', '5/2'] -> (((3/2 / 1/7) - (3/5 / 2/3)) * 5/2)
[934318] ['1/7', '2/3', '3/2', '3/5', '9/4'] -> ((((3/2 / 1/7) / 2/3) / 3/5) - 9/4)
[934322] ['1/7', '2/3', '3/2', '3/7', '3/7'] -> ((1/7 + 3/7) / (2/3 - (3/2 * 3/7)))
[934326] ['1/7', '2/3', '3/2', '3/7', '4/7'] -> (4/7 / ((2/3 - (1/7 * 3/2)) - 3/7))
[934333] ['1/7', '2/3', '3/2', '3/7', '5/8'] -> (((3/2 + (3/7 / 2/3)) / 1/7) / 5/8)
[934341] ['1/7', '2/3', '3/2', '3/7', '7/6'] -> ((2/3 + ((3/2 / 1/7) / 3/7)) - 7/6)
[934345] ['1/7', '2/3', '3/2', '3/7', '8/5'] -> (((3/2 + (3/7 / 2/3)) / 1/7) * 8/5)
[934346] ['1/7', '2/3', '3/2', '3/7', '8/7'] -> (8/7 / (((2/3 * 3/7) / 3/2) - 1/7))
[934369] ['1/7', '2/3', '3/2', '3/8', '7/4'] -> ((((3/2 / 1/7) / 2/3) / 3/8) / 7/4)
[934392] ['1/7', '2/3', '3/2', '4/3', '5/8'] -> ((3/2 * (2/3 + (4/3 / 1/7))) / 5/8)
[934393] ['1/7', '2/3', '3/2', '4/3', '5/9'] -> ((((3/2 * 4/3) / 1/7) - 2/3) / 5/9)
[934402] ['1/7', '2/3', '3/2', '4/3', '7/9'] -> (((2/3 + (3/2 * 4/3)) / 1/7) / 7/9)
[934403] ['1/7', '2/3', '3/2', '4/3', '8/3'] -> ((3/2 * ((2/3 / 1/7) + 4/3)) * 8/3)
[934404] ['1/7', '2/3', '3/2', '4/3', '8/5'] -> ((3/2 * (2/3 + (4/3 / 1/7))) * 8/5)
[934409] ['1/7', '2/3', '3/2', '4/3', '9/5'] -> ((((3/2 * 4/3) / 1/7) - 2/3) * 9/5)
[934410] ['1/7', '2/3', '3/2', '4/3', '9/7'] -> (((2/3 + (3/2 * 4/3)) / 1/7) * 9/7)
[934432] ['1/7', '2/3', '3/2', '4/5', '8/5'] -> (8/5 / ((1/7 * 2/3) * (3/2 - 4/5)))
[934441] ['1/7', '2/3', '3/2', '4/7', '4/9'] -> (((2/3 + (3/2 * 4/7)) / 1/7) / 4/9)
[934457] ['1/7', '2/3', '3/2', '4/7', '7/9'] -> (((3/2 + (2/3 / 4/7)) / 1/7) / 7/9)
[934462] ['1/7', '2/3', '3/2', '4/7', '9/2'] -> ((((3/2 * 4/7) / 1/7) - 2/3) * 9/2)
[934465] ['1/7', '2/3', '3/2', '4/7', '9/7'] -> (((3/2 + (2/3 / 4/7)) / 1/7) * 9/7)
[934482] ['1/7', '2/3', '3/2', '4/9', '7/8'] -> (((3/2 + (2/3 / 4/9)) / 1/7) / 7/8)
[934492] ['1/7', '2/3', '3/2', '4/9', '9/8'] -> (((2/3 + (3/2 / 1/7)) / 4/9) - 9/8)
[934495] ['1/7', '2/3', '3/2', '5/2', '5/4'] -> ((3/2 * ((5/2 / 1/7) - 2/3)) - 5/4)
[934504] ['1/7', '2/3', '3/2', '5/2', '7/4'] -> ((((3/2 + 5/2) / 1/7) / 2/3) / 7/4)
[934507] ['1/7', '2/3', '3/2', '5/2', '7/8'] -> (((5/2 / (3/2 - 2/3)) / 1/7) / 7/8)
[934508] ['1/7', '2/3', '3/2', '5/2', '7/9'] -> (((2/3 * (3/2 + 5/2)) / 1/7) / 7/9)
[934514] ['1/7', '2/3', '3/2', '5/2', '9/4'] -> ((2/3 * ((5/2 / 1/7) - 3/2)) * 9/4)
[934516] ['1/7', '2/3', '3/2', '5/2', '9/7'] -> (((2/3 * (3/2 + 5/2)) / 1/7) * 9/7)
[934535] ['1/7', '2/3', '3/2', '5/3', '8/7'] -> (8/7 / (((1/7 / 2/3) + 3/2) - 5/3))
[934537] ['1/7', '2/3', '3/2', '5/3', '9/2'] -> ((((2/3 * 3/2) / 1/7) - 5/3) * 9/2)
[934540] ['1/7', '2/3', '3/2', '5/3', '9/7'] -> ((((2/3 * 3/2) + 5/3) / 1/7) * 9/7)
[934576] ['1/7', '2/3', '3/2', '5/6', '7/8'] -> ((((2/3 + 3/2) + 5/6) / 1/7) / 7/8)
[934583] ['1/7', '2/3', '3/2', '5/6', '9/4'] -> ((((3/2 / 1/7) + 5/6) - 2/3) * 9/4)
[934611] ['1/7', '2/3', '3/2', '5/8', '6/7'] -> (6/7 / (1/7 * (2/3 - (5/8 / 3/2))))
[934623] ['1/7', '2/3', '3/2', '5/8', '9/2'] -> (((2/3 / (3/2 - 5/8)) / 1/7) * 9/2)
[934677] ['1/7', '2/3', '3/2', '6/7', '9/2'] -> (((3/2 + (6/7 / 2/3)) / 1/7) + 9/2)
[934678] ['1/7', '2/3', '3/2', '6/7', '9/4'] -> ((((3/2 / 2/3) + 6/7) / 1/7) + 9/4)
[934684] ['1/7', '2/3', '3/2', '7/2', '7/4'] -> (((7/2 / 1/7) - (3/2 / 2/3)) + 7/4)
[934694] ['1/7', '2/3', '3/2', '7/2', '9/4'] -> ((((7/2 / 2/3) - 3/2) / 1/7) - 9/4)
[934701] ['1/7', '2/3', '3/2', '7/3', '7/6'] -> ((2/3 + ((3/2 * 7/3) / 1/7)) - 7/6)
[934704] ['1/7', '2/3', '3/2', '7/3', '8/3'] -> (8/3 / ((2/3 / 3/2) - (1/7 * 7/3)))
[934706] ['1/7', '2/3', '3/2', '7/3', '8/7'] -> (8/7 / (((2/3 / 3/2) / 7/3) - 1/7))
[934708] ['1/7', '2/3', '3/2', '7/3', '9/2'] -> ((((2/3 + 7/3) / 1/7) - 3/2) + 9/2)
[934715] ['1/7', '2/3', '3/2', '7/4', '7/6'] -> ((((3/2 / 2/3) + 7/4) / 1/7) / 7/6)
[934722] ['1/7', '2/3', '3/2', '7/4', '9/2'] -> ((((3/2 / 1/7) / 7/4) - 2/3) * 9/2)
[934723] ['1/7', '2/3', '3/2', '7/4', '9/4'] -> (((2/3 + (3/2 / 7/4)) / 1/7) * 9/4)
[934740] ['1/7', '2/3', '3/2', '7/6', '7/6'] -> ((((3/2 + 7/6) / 1/7) / 2/3) / 7/6)
[934741] ['1/7', '2/3', '3/2', '7/6', '7/8'] -> (((3/2 / (7/6 - 2/3)) / 1/7) / 7/8)
[934743] ['1/7', '2/3', '3/2', '7/6', '8/3'] -> (((3/2 + (7/6 / 1/7)) - 2/3) * 8/3)
[934763] ['1/7', '2/3', '3/2', '7/9', '7/9'] -> (((3/2 + (7/9 / 2/3)) / 1/7) / 7/9)
[934768] ['1/7', '2/3', '3/2', '7/9', '9/2'] -> ((((2/3 + 3/2) / 1/7) / 7/9) + 9/2)
[934771] ['1/7', '2/3', '3/2', '7/9', '9/7'] -> ((9/7 * (3/2 + (7/9 / 2/3))) / 1/7)
[934773] ['1/7', '2/3', '3/2', '8/3', '8/3'] -> (8/3 / ((1/7 * 2/3) * (8/3 - 3/2)))
[934775] ['1/7', '2/3', '3/2', '8/3', '8/7'] -> (((3/2 * (8/3 - 2/3)) / 1/7) * 8/7)
[934776] ['1/7', '2/3', '3/2', '8/3', '8/9'] -> ((3/2 * ((8/3 / 1/7) - 2/3)) * 8/9)
[934777] ['1/7', '2/3', '3/2', '8/3', '9/2'] -> (((3/2 + (8/3 / 1/7)) - 2/3) + 9/2)
[934781] ['1/7', '2/3', '3/2', '8/3', '9/8'] -> ((3/2 * ((8/3 / 1/7) - 2/3)) / 9/8)
[934824] ['1/7', '2/3', '3/4', '3/4', '4/7'] -> (4/7 / ((1/7 * 3/4) + (2/3 - 3/4)))
[934825] ['1/7', '2/3', '3/4', '3/4', '4/9'] -> ((((2/3 + 3/4) / 1/7) + 3/4) / 4/9)
[934834] ['1/7', '2/3', '3/4', '3/4', '6/7'] -> ((6/7 / 1/7) / (3/4 - (2/3 * 3/4)))
[934842] ['1/7', '2/3', '3/4', '3/4', '8/3'] -> ((((3/4 / 1/7) + 3/4) / 2/3) * 8/3)
[934844] ['1/7', '2/3', '3/4', '3/4', '8/7'] -> ((8/7 / 1/7) / ((3/4 / 3/4) - 2/3))
[934846] ['1/7', '2/3', '3/4', '3/4', '9/2'] -> ((((3/4 / 1/7) + 3/4) - 2/3) * 9/2)
[934847] ['1/7', '2/3', '3/4', '3/4', '9/4'] -> ((((2/3 + 3/4) / 1/7) + 3/4) * 9/4)
[934865] ['1/7', '2/3', '3/4', '3/5', '6/5'] -> (6/5 / (1/7 * (3/4 - (2/3 * 3/5))))
[934866] ['1/7', '2/3', '3/4', '3/5', '6/7'] -> (6/7 / (((1/7 + 2/3) - 3/4) * 3/5))
[934880] ['1/7', '2/3', '3/4', '3/5', '9/5'] -> (9/5 / (1/7 * ((3/4 / 2/3) - 3/5)))
[934893] ['1/7', '2/3', '3/4', '3/7', '5/7'] -> ((1/7 + 5/7) / ((3/4 - 2/3) * 3/7))
[934898] ['1/7', '2/3', '3/4', '3/7', '7/2'] -> (((1/7 + 3/7) / (3/4 - 2/3)) * 7/2)
[934915] ['1/7', '2/3', '3/4', '3/8', '4/3'] -> (((3/4 / (2/3 - 3/8)) / 1/7) * 4/3)
[934925] ['1/7', '2/3', '3/4', '3/8', '5/9'] -> ((((3/4 / 1/7) / 3/8) - 2/3) / 5/9)
[934927] ['1/7', '2/3', '3/4', '3/8', '6/7'] -> (6/7 / ((1/7 * 2/3) * (3/4 - 3/8)))
[934933] ['1/7', '2/3', '3/4', '3/8', '7/8'] -> ((((3/4 / 1/7) / 2/3) / 3/8) / 7/8)
[934937] ['1/7', '2/3', '3/4', '3/8', '8/7'] -> ((((3/4 / 1/7) / 2/3) / 3/8) * 8/7)
[934939] ['1/7', '2/3', '3/4', '3/8', '9/2'] -> (9/2 / (1/7 * (3/4 + (3/8 / 2/3))))
[934941] ['1/7', '2/3', '3/4', '3/8', '9/5'] -> ((((3/4 / 1/7) / 3/8) - 2/3) * 9/5)
[934942] ['1/7', '2/3', '3/4', '3/8', '9/7'] -> ((9/7 * (2/3 + (3/4 / 3/8))) / 1/7)
[934944] ['1/7', '2/3', '3/4', '4/3', '4/3'] -> ((4/3 / 1/7) / (2/3 * (4/3 - 3/4)))
[934946] ['1/7', '2/3', '3/4', '4/3', '4/7'] -> (4/7 / ((1/7 / 4/3) - (3/4 - 2/3)))
[934952] ['1/7', '2/3', '3/4', '4/3', '5/7'] -> (5/7 / (1/7 * (4/3 - (3/4 / 2/3))))
[934954] ['1/7', '2/3', '3/4', '4/3', '5/9'] -> (((2/3 + (4/3 / 1/7)) / 3/4) / 5/9)
[934956] ['1/7', '2/3', '3/4', '4/3', '6/7'] -> (6/7 / (1/7 * (3/4 - (2/3 / 4/3))))
[934966] ['1/7', '2/3', '3/4', '4/3', '8/7'] -> (8/7 / (1/7 * ((3/4 * 4/3) - 2/3)))
[934970] ['1/7', '2/3', '3/4', '4/3', '9/5'] -> (((2/3 + (4/3 / 1/7)) / 3/4) * 9/5)
[935003] ['1/7', '2/3', '3/4', '4/7', '5/2'] -> ((4/7 / ((1/7 + 2/3) - 3/4)) * 5/2)
[935018] ['1/7', '2/3', '3/4', '4/7', '7/9'] -> ((2/3 / ((3/4 - 1/7) - 4/7)) / 7/9)
[935021] ['1/7', '2/3', '3/4', '4/7', '8/7'] -> (8/7 / ((1/7 + 2/3) - (4/7 / 3/4)))
[935026] ['1/7', '2/3', '3/4', '4/7', '9/7'] -> ((2/3 / ((3/4 - 1/7) - 4/7)) * 9/7)
[935038] ['1/7', '2/3', '3/4', '4/9', '7/2'] -> (7/2 / (1/7 * ((3/4 / 4/9) - 2/3)))
[935039] ['1/7', '2/3', '3/4', '4/9', '7/3'] -> (7/3 / (1/7 * ((3/4 / 2/3) - 4/9)))
[935047] ['1/7', '2/3', '3/4', '4/9', '8/7'] -> (8/7 / (1/7 * (2/3 - (3/4 * 4/9))))
[935058] ['1/7', '2/3', '3/4', '5/2', '5/7'] -> (5/7 / ((1/7 * (3/4 - 2/3)) * 5/2))
[935062] ['1/7', '2/3', '3/4', '5/2', '6/7'] -> (((2/3 + (5/2 / 3/4)) / 1/7) * 6/7)
[935065] ['1/7', '2/3', '3/4', '5/2', '7/4'] -> ((5/2 / ((1/7 + 2/3) - 3/4)) / 7/4)
[935067] ['1/7', '2/3', '3/4', '5/2', '7/6'] -> (((2/3 + (5/2 / 3/4)) / 1/7) / 7/6)
[935070] ['1/7', '2/3', '3/4', '5/2', '8/3'] -> (((3/4 / 1/7) + (5/2 / 2/3)) * 8/3)
[935073] ['1/7', '2/3', '3/4', '5/2', '8/9'] -> ((3/4 + ((5/2 / 1/7) / 2/3)) * 8/9)
[935077] ['1/7', '2/3', '3/4', '5/2', '9/7'] -> ((9/7 * ((5/2 / 3/4) - 2/3)) / 1/7)
[935080] ['1/7', '2/3', '3/4', '5/3', '5/4'] -> (((3/4 + (5/3 / 2/3)) / 1/7) + 5/4)
[935085] ['1/7', '2/3', '3/4', '5/3', '6/5'] -> (6/5 / (1/7 * (3/4 - (2/3 / 5/3))))
[935091] ['1/7', '2/3', '3/4', '5/3', '7/6'] -> ((5/3 / ((1/7 + 2/3) - 3/4)) / 7/6)
[935094] ['1/7', '2/3', '3/4', '5/3', '8/3'] -> (8/3 / (1/7 * (5/3 - (2/3 / 3/4))))
[935096] ['1/7', '2/3', '3/4', '5/3', '8/7'] -> (8/7 / ((1/7 / (3/4 - 2/3)) - 5/3))
[935107] ['1/7', '2/3', '3/4', '5/4', '5/9'] -> ((((3/4 + 5/4) / 1/7) - 2/3) / 5/9)
[935117] ['1/7', '2/3', '3/4', '5/4', '8/3'] -> (((3/4 / (5/4 - 2/3)) / 1/7) * 8/3)
[935121] ['1/7', '2/3', '3/4', '5/4', '9/2'] -> ((2/3 * ((5/4 / 1/7) - 3/4)) * 9/2)
[935123] ['1/7', '2/3', '3/4', '5/4', '9/5'] -> ((((3/4 + 5/4) / 1/7) - 2/3) * 9/5)
[935124] ['1/7', '2/3', '3/4', '5/4', '9/7'] -> ((9/7 * ((2/3 + 3/4) + 5/4)) / 1/7)
[935131] ['1/7', '2/3', '3/4', '5/6', '6/7'] -> (6/7 / ((1/7 * 5/6) - (3/4 - 2/3)))
[935141] ['1/7', '2/3', '3/4', '5/6', '8/7'] -> (8/7 / (1/7 * (5/6 - (2/3 * 3/4))))
[935143] ['1/7', '2/3', '3/4', '5/6', '9/2'] -> (((5/6 / 1/7) - (2/3 * 3/4)) * 9/2)
[935154] ['1/7', '2/3', '3/4', '5/7', '7/3'] -> (((1/7 + 5/7) / (3/4 - 2/3)) * 7/3)
[935182] ['1/7', '2/3', '3/4', '5/8', '8/7'] -> (8/7 / (1/7 * (3/4 - (2/3 * 5/8))))
[935191] ['1/7', '2/3', '3/4', '5/9', '6/7'] -> (6/7 / (1/7 * (2/3 - (3/4 * 5/9))))
[935201] ['1/7', '2/3', '3/4', '5/9', '8/7'] -> (8/7 / (1/7 * ((2/3 / 3/4) - 5/9)))
[935209] ['1/7', '2/3', '3/4', '6/5', '6/7'] -> (6/7 / ((1/7 / 6/5) - (3/4 - 2/3)))
[935233] ['1/7', '2/3', '3/4', '6/7', '7/9'] -> ((2/3 / ((1/7 + 3/4) - 6/7)) / 7/9)
[935238] ['1/7', '2/3', '3/4', '6/7', '9/2'] -> ((((2/3 * 6/7) / 1/7) / 3/4) * 9/2)
[935243] ['1/7', '2/3', '3/4', '7/2', '7/2'] -> ((((7/2 / 2/3) / 3/4) - 1/7) * 7/2)
[935245] ['1/7', '2/3', '3/4', '7/2', '7/4'] -> (((3/4 + (7/2 / 2/3)) / 1/7) / 7/4)
[935248] ['1/7', '2/3', '3/4', '7/2', '7/8'] -> (((7/2 - (2/3 * 3/4)) / 1/7) / 7/8)
[935250] ['1/7', '2/3', '3/4', '7/2', '8/3'] -> (8/3 / (((2/3 / 3/4) / 7/2) - 1/7))
[935260] ['1/7', '2/3', '3/4', '7/3', '7/4'] -> ((2/3 + ((3/4 + 7/3) / 1/7)) + 7/4)
[935262] ['1/7', '2/3', '3/4', '7/3', '7/6'] -> ((((2/3 + 7/3) / 1/7) / 3/4) / 7/6)
[935277] ['1/7', '2/3', '3/4', '7/4', '7/8'] -> (((2/3 + (7/4 / 3/4)) / 1/7) / 7/8)
[935283] ['1/7', '2/3', '3/4', '7/4', '9/2'] -> (((3/4 + (7/4 / 1/7)) / 2/3) + 9/2)
[935284] ['1/7', '2/3', '3/4', '7/4', '9/4'] -> ((((3/4 + 7/4) / 1/7) / 2/3) - 9/4)
[935308] ['1/7', '2/3', '3/4', '7/6', '9/2'] -> ((((2/3 / 1/7) / 3/4) / 7/6) * 9/2)
[935311] ['1/7', '2/3', '3/4', '7/6', '9/7'] -> (9/7 / ((1/7 * 3/4) * (7/6 - 2/3)))
[935315] ['1/7', '2/3', '3/4', '7/8', '8/3'] -> ((((3/4 / 1/7) / 2/3) / 7/8) * 8/3)
[935319] ['1/7', '2/3', '3/4', '7/8', '9/2'] -> ((((3/4 / 1/7) / 7/8) - 2/3) * 9/2)
[935320] ['1/7', '2/3', '3/4', '7/8', '9/4'] -> (((2/3 + (3/4 / 7/8)) / 1/7) * 9/4)
[935322] ['1/7', '2/3', '3/4', '7/8', '9/7'] -> (9/7 / (1/7 * (7/8 - (2/3 * 3/4))))
[935336] ['1/7', '2/3', '3/4', '8/3', '8/7'] -> ((((3/4 * 8/3) / 1/7) / 2/3) * 8/7)
[935337] ['1/7', '2/3', '3/4', '8/3', '8/9'] -> ((((2/3 / 3/4) + 8/3) / 1/7) - 8/9)
[935340] ['1/7', '2/3', '3/4', '8/3', '9/5'] -> ((((3/4 * 8/3) / 1/7) - 2/3) * 9/5)
[935343] ['1/7', '2/3', '3/4', '8/5', '8/5'] -> ((((8/5 / 1/7) / 2/3) / 3/4) + 8/5)
[935344] ['1/7', '2/3', '3/4', '8/5', '8/7'] -> (8/7 / (1/7 * (3/4 - (2/3 / 8/5))))
[935353] ['1/7', '2/3', '3/4', '8/7', '9/2'] -> ((((3/4 * 8/7) / 1/7) - 2/3) * 9/2)
[935354] ['1/7', '2/3', '3/4', '8/7', '9/4'] -> (((2/3 + (3/4 * 8/7)) / 1/7) * 9/4)
[935367] ['1/7', '2/3', '3/4', '9/2', '9/7'] -> (9/7 / ((1/7 * (3/4 - 2/3)) * 9/2))
[935372] ['1/7', '2/3', '3/4', '9/4', '9/8'] -> ((((9/4 / 1/7) / 2/3) - 3/4) + 9/8)
[935376] ['1/7', '2/3', '3/4', '9/7', '9/7'] -> (9/7 / (((1/7 + 3/4) / 2/3) - 9/7))
[935381] ['1/7', '2/3', '3/5', '3/5', '3/8'] -> (((3/5 / 1/7) / 3/5) / (2/3 - 3/8))
[935390] ['1/7', '2/3', '3/5', '3/5', '5/7'] -> ((1/7 + (3/5 / 3/5)) / (5/7 - 2/3))
[935404] ['1/7', '2/3', '3/5', '3/5', '8/7'] -> ((8/7 / 1/7) / ((3/5 / 3/5) - 2/3))
[935433] ['1/7', '2/3', '3/5', '3/7', '8/3'] -> (8/3 / (2/3 - ((1/7 / 3/5) / 3/7)))
[935435] ['1/7', '2/3', '3/5', '3/7', '8/7'] -> (8/7 / ((2/3 * 3/7) - (1/7 / 3/5)))
[935448] ['1/7', '2/3', '3/5', '3/8', '5/3'] -> (((3/5 / (2/3 - 3/8)) / 1/7) * 5/3)
[935454] ['1/7', '2/3', '3/5', '3/8', '6/5'] -> (6/5 / (1/7 * (3/5 - (2/3 * 3/8))))
[935469] ['1/7', '2/3', '3/5', '3/8', '9/5'] -> (9/5 / (1/7 * ((3/5 / 2/3) - 3/8)))
[935470] ['1/7', '2/3', '3/5', '3/8', '9/7'] -> (9/7 / ((2/3 - (1/7 / 3/5)) - 3/8))
[935494] ['1/7', '2/3', '3/5', '4/3', '8/7'] -> (8/7 / ((3/5 * (4/3 - 1/7)) - 2/3))
[935501] ['1/7', '2/3', '3/5', '4/5', '4/5'] -> (4/5 / (1/7 * ((2/3 / 4/5) - 3/5)))
[935513] ['1/7', '2/3', '3/5', '4/5', '7/2'] -> (((4/5 / (2/3 - 3/5)) / 1/7) / 7/2)
[935520] ['1/7', '2/3', '3/5', '4/5', '8/3'] -> ((3/5 + ((4/5 / 1/7) / 2/3)) * 8/3)
[935521] ['1/7', '2/3', '3/5', '4/5', '8/5'] -> (8/5 / (1/7 * ((2/3 + 3/5) - 4/5)))
[935559] ['1/7', '2/3', '3/5', '4/9', '5/4'] -> (((2/3 / (3/5 - 4/9)) / 1/7) / 5/4)
[935575] ['1/7', '2/3', '3/5', '4/9', '8/7'] -> (8/7 / (3/5 * ((2/3 - 1/7) - 4/9)))
[935600] ['1/7', '2/3', '3/5', '5/2', '8/7'] -> (8/7 / (1/7 * (3/5 - (2/3 / 5/2))))
