[1425746] ['2/5', '4/3', '4/7', '5/4', '7/5'] -> 7/5 / (2/5 * (4/3 - 5/4) / 4/7)
[1440122] ['2/5', '4/9', '8/3', '8/5', '8/5'] -> (8/3 + 8/5 / 2/5) / 4/9 * 8/5
[1440126] ['2/5', '4/9', '8/3', '8/5', '9/4'] -> 8/3 * (2/5 + 8/5 / 4/9) * 9/4
[1440140] ['2/5', '4/9', '8/3', '8/9', '9/5'] -> 8/3 * 8/9 / 2/5 / 4/9 * 9/5
[1440143] ['2/5', '4/9', '8/3', '9/2', '9/2'] -> 8/3 / 2/5 / 4/9 + 9/2 + 9/2
[1440144] ['2/5', '4/9', '8/3', '9/2', '9/4'] -> (8/3 / 4/9 + 9/2) / 2/5 - 9/4
[1440147] ['2/5', '4/9', '8/3', '9/2', '9/8'] -> (8/3 / 2/5 + 9/2) / 4/9 - 9/8
[1440164] ['2/5', '4/9', '8/5', '8/5', '9/7'] -> (8/5 + 8/5) / (4/9 - 2/5 / 9/7)
[1440299] ['2/5', '5/2', '5/2', '5/2', '9/4'] -> 5/2 * (5/2 / (5/2 - 9/4) - 2/5)
[1440318] ['2/5', '5/2', '5/2', '5/3', '8/3'] -> (2/5 + 5/2 + 5/2) * 5/3 * 8/3
[1440353] ['2/5', '5/2', '5/2', '5/6', '5/9'] -> ((5/2 + 5/2) / 2/5 + 5/6) / 5/9
[1440361] ['2/5', '5/2', '5/2', '5/6', '7/8'] -> 5/2 / 5/6 / (2/5 * 5/2 - 7/8)
[1440367] ['2/5', '5/2', '5/2', '5/6', '9/2'] -> (5/2 + 5/2 + 2/5 * 5/6) * 9/2
[1440369] ['2/5', '5/2', '5/2', '5/6', '9/5'] -> ((5/2 + 5/2) / 2/5 + 5/6) * 9/5
[1440371] ['2/5', '5/2', '5/2', '5/6', '9/8'] -> 5/2 / 5/6 / (9/8 - 2/5 * 5/2)
[1440373] ['2/5', '5/2', '5/2', '5/7', '5/8'] -> (5/2 + 5/2 / 5/7) / 2/5 / 5/8
[1440385] ['2/5', '5/2', '5/2', '5/7', '8/5'] -> (5/2 + 5/2 / 5/7) / 2/5 * 8/5
[1440393] ['2/5', '5/2', '5/2', '5/8', '5/8'] -> (5/2 * 5/2 / 2/5 - 5/8) / 5/8
[1440395] ['2/5', '5/2', '5/2', '5/8', '6/5'] -> (5/2 + 5/2) / 2/5 / 5/8 * 6/5
[1440401] ['2/5', '5/2', '5/2', '5/8', '7/6'] -> 5/2 / 5/8 / (7/6 - 2/5 * 5/2)
[1440404] ['2/5', '5/2', '5/2', '5/8', '8/3'] -> (5/2 / 5/8 - 2/5) * 5/2 * 8/3
[1440405] ['2/5', '5/2', '5/2', '5/8', '8/5'] -> (5/2 * 5/2 / 2/5 - 5/8) * 8/5
[1440423] ['2/5', '5/2', '5/2', '5/9', '8/3'] -> 8/3 / (5/2 - 5/2 * (2/5 + 5/9))
[1440434] ['2/5', '5/2', '5/2', '6/5', '7/2'] -> (2/5 + 6/5) * 5/2 * (5/2 + 7/2)
[1440435] ['2/5', '5/2', '5/2', '6/5', '7/3'] -> 5/2 * (2/5 + 6/5) / (5/2 - 7/3)
[1440441] ['2/5', '5/2', '5/2', '6/5', '8/3'] -> 5/2 * (2/5 + 6/5) / (8/3 - 5/2)
[1440442] ['2/5', '5/2', '5/2', '6/5', '8/5'] -> (5/2 + 5/2) * 6/5 / 2/5 * 8/5
[1440445] ['2/5', '5/2', '5/2', '6/5', '9/2'] -> (5/2 + 5/2 + 2/5 / 6/5) * 9/2
[1440474] ['2/5', '5/2', '5/2', '7/2', '8/3'] -> ((5/2 + 5/2) / 2/5 - 7/2) * 8/3
[1440479] ['2/5', '5/2', '5/2', '7/2', '9/4'] -> (5/2 + 7/2) * (5/2 / 2/5 - 9/4)
[1440482] ['2/5', '5/2', '5/2', '7/2', '9/8'] -> 5/2 * (2/5 + 5/2 * 7/2) + 9/8
[1440503] ['2/5', '5/2', '5/2', '7/4', '8/3'] -> ((2/5 + 5/2) * 5/2 + 7/4) * 8/3
[1440521] ['2/5', '5/2', '5/2', '7/5', '9/4'] -> (5/2 + 7/5 / 2/5) / (5/2 - 9/4)
[1440562] ['2/5', '5/2', '5/2', '8/3', '9/2'] -> 2/5 * (5/2 + 5/2) * 8/3 * 9/2
[1440575] ['2/5', '5/2', '5/2', '8/7', '8/7'] -> 8/7 / (5/2 / (5/2 - 2/5) - 8/7)
[1440618] ['2/5', '5/2', '5/3', '5/3', '8/3'] -> 8/3 / 2/5 / (5/3 * 5/3 - 5/2)
[1440619] ['2/5', '5/2', '5/3', '5/3', '8/5'] -> 8/5 / 2/5 / (5/3 - 5/2 / 5/3)
[1440630] ['2/5', '5/2', '5/3', '5/4', '5/8'] -> 5/2 / (5/3 - 5/4) / 2/5 / 5/8
[1440645] ['2/5', '5/2', '5/3', '5/4', '9/2'] -> (5/2 + 5/3 / 2/5) / 5/4 * 9/2
[1440652] ['2/5', '5/2', '5/3', '5/6', '5/8'] -> 5/2 / (5/6 - 2/5 * 5/3) / 5/8
[1440663] ['2/5', '5/2', '5/3', '5/6', '8/3'] -> 8/3 / (5/3 * (2/5 - 5/6 / 5/2))
[1440682] ['2/5', '5/2', '5/3', '5/7', '7/8'] -> 5/2 / (5/7 / 2/5 - 5/3) / 7/8
[1440685] ['2/5', '5/2', '5/3', '5/7', '8/5'] -> 8/5 / (2/5 * (5/2 - 5/3 / 5/7))
[1440697] ['2/5', '5/2', '5/3', '5/8', '7/2'] -> 7/2 / ((2/5 + 5/2) * 5/8 - 5/3)
[1440709] ['2/5', '5/2', '5/3', '5/8', '9/4'] -> (5/2 + 5/3 / 2/5) / 5/8 * 9/4
[1440762] ['2/5', '5/2', '5/3', '6/7', '9/2'] -> 5/2 * (5/3 + 2/5 / 6/7) * 9/2
[1440776] ['2/5', '5/2', '5/3', '7/2', '8/7'] -> 8/7 / (5/2 / 7/2 - 2/5 * 5/3)
[1440778] ['2/5', '5/2', '5/3', '7/2', '9/2'] -> (5/2 + 7/2 - 2/5 * 5/3) * 9/2
[1440779] ['2/5', '5/2', '5/3', '7/2', '9/4'] -> 5/3 * (2/5 + 5/2 + 7/2) * 9/4
[1440780] ['2/5', '5/2', '5/3', '7/2', '9/5'] -> ((5/2 + 7/2) / 2/5 - 5/3) * 9/5
[1440805] ['2/5', '5/2', '5/3', '7/4', '8/7'] -> 8/7 / (2/5 * 5/2 - 5/3 / 7/4)
[1440807] ['2/5', '5/2', '5/3', '7/4', '9/2'] -> 5/3 * (5/2 + 2/5 * 7/4) * 9/2
[1440809] ['2/5', '5/2', '5/3', '7/4', '9/5'] -> 5/3 * (5/2 / 2/5 + 7/4) * 9/5
[1440817] ['2/5', '5/2', '5/3', '7/5', '8/5'] -> 8/5 / 2/5 / (5/2 - 5/3 * 7/5)
[1440818] ['2/5', '5/2', '5/3', '7/5', '8/7'] -> 8/7 / (2/5 * (5/2 / 7/5 - 5/3))
[1440843] ['2/5', '5/2', '5/3', '7/8', '9/2'] -> 5/3 / (5/2 - 7/8 / 2/5) * 9/2
[1440845] ['2/5', '5/2', '5/3', '7/8', '9/5'] -> 5/3 / (2/5 * 5/2 - 7/8) * 9/5
[1440858] ['2/5', '5/2', '5/3', '8/3', '8/3'] -> 8/3 / 2/5 / (5/3 * (8/3 - 5/2))
[1440859] ['2/5', '5/2', '5/3', '8/3', '8/5'] -> (5/2 * 8/3 / 2/5 - 5/3) * 8/5
[1440862] ['2/5', '5/2', '5/3', '8/3', '9/2'] -> (2/5 * 5/2 + 5/3 + 8/3) * 9/2
[1440864] ['2/5', '5/2', '5/3', '8/3', '9/5'] -> (5/2 + (5/3 + 8/3) / 2/5) * 9/5
[1440890] ['2/5', '5/2', '5/3', '9/2', '9/5'] -> (5/2 + 9/2 - 5/3) / 2/5 * 9/5
[1440918] ['2/5', '5/2', '5/4', '5/4', '8/5'] -> 8/5 / (2/5 - 5/4 / (5/2 + 5/4))
[1440925] ['2/5', '5/2', '5/4', '5/4', '9/8'] -> (5/2 + 2/5 * 5/4) / (5/4 - 9/8)
[1440928] ['2/5', '5/2', '5/4', '5/6', '5/8'] -> 5/2 / (5/4 - 5/6) / 2/5 / 5/8
[1440930] ['2/5', '5/2', '5/4', '5/6', '6/5'] -> 6/5 / (5/4 - 2/5 * 5/2 / 5/6)
[1440939] ['2/5', '5/2', '5/4', '5/6', '8/3'] -> (5/2 / 2/5 + 5/4) / 5/6 * 8/3
[1440952] ['2/5', '5/2', '5/4', '5/7', '6/7'] -> 6/7 / (2/5 * (5/2 + 5/7) - 5/4)
[1440969] ['2/5', '5/2', '5/4', '5/8', '5/8'] -> (5/2 + 5/4) / 2/5 / 5/8 / 5/8
[1440980] ['2/5', '5/2', '5/4', '5/8', '8/3'] -> (5/2 + 5/4 / 2/5) / 5/8 * 8/3
[1440981] ['2/5', '5/2', '5/4', '5/8', '8/5'] -> (5/2 + 5/4) / 2/5 / 5/8 * 8/5
[1440984] ['2/5', '5/2', '5/4', '5/8', '9/2'] -> 9/2 / (5/4 * (2/5 - 5/8 / 5/2))
[1441017] ['2/5', '5/2', '5/4', '6/5', '8/3'] -> (5/2 / 2/5 + 5/4) * 6/5 * 8/3
[1441048] ['2/5', '5/2', '5/4', '7/2', '7/8'] -> 5/4 + 5/2 * 7/2 / 2/5 + 7/8
[1441055] ['2/5', '5/2', '5/4', '7/2', '9/4'] -> (5/2 / 2/5 + 5/4) * 7/2 - 9/4
[1441066] ['2/5', '5/2', '5/4', '7/3', '8/5'] -> 8/5 / (2/5 + 5/2 / 5/4 - 7/3)
[1441080] ['2/5', '5/2', '5/4', '7/4', '8/5'] -> 8/5 / (7/4 / (5/2 + 5/4) - 2/5)
[1441083] ['2/5', '5/2', '5/4', '7/4', '9/2'] -> 9/2 / (5/4 * (2/5 + 7/4) - 5/2)
[1441105] ['2/5', '5/2', '5/4', '7/6', '8/5'] -> 8/5 / (2/5 * 5/2 - 7/6 / 5/4)
[1441119] ['2/5', '5/2', '5/4', '7/8', '9/2'] -> 9/2 / (7/8 / 2/5 - 5/2 / 5/4)
[1441120] ['2/5', '5/2', '5/4', '7/8', '9/4'] -> 9/4 / (5/4 * 7/8 - 2/5 * 5/2)
[1441121] ['2/5', '5/2', '5/4', '7/8', '9/5'] -> 9/5 / (7/8 - 2/5 * 5/2 / 5/4)
[1441134] ['2/5', '5/2', '5/4', '8/3', '8/3'] -> 8/3 / (5/4 / 5/2 - 2/5) - 8/3
[1441135] ['2/5', '5/2', '5/4', '8/3', '8/5'] -> (5/2 + 5/4 / 2/5) * 8/3 * 8/5
[1441139] ['2/5', '5/2', '5/4', '8/3', '9/4'] -> 8/3 / (5/4 - 2/5 * 5/2) * 9/4
[1441143] ['2/5', '5/2', '5/4', '8/5', '8/5'] -> (5/2 + 5/4) * 8/5 / 2/5 * 8/5
[1441154] ['2/5', '5/2', '5/4', '8/7', '9/4'] -> 9/4 / (5/4 / 8/7 - 2/5 * 5/2)
[1441192] ['2/5', '5/2', '5/6', '5/6', '8/3'] -> 5/2 / 2/5 / 5/6 / 5/6 * 8/3
[1441242] ['2/5', '5/2', '5/6', '5/9', '5/9'] -> (5/6 + 5/2 / 5/9) / 2/5 / 5/9
[1441255] ['2/5', '5/2', '5/6', '5/9', '8/9'] -> 8/9 / ((2/5 - 5/6 / 5/2) * 5/9)
[1441258] ['2/5', '5/2', '5/6', '5/9', '9/5'] -> (5/6 + 5/2 / 5/9) / 2/5 * 9/5
[1441270] ['2/5', '5/2', '5/6', '6/5', '8/3'] -> 5/2 * 6/5 / 2/5 / 5/6 * 8/3
[1441282] ['2/5', '5/2', '5/6', '6/7', '7/4'] -> 2/5 * 5/2 / (6/7 - 5/6) / 7/4
[1441289] ['2/5', '5/2', '5/6', '6/7', '8/7'] -> 8/7 / (5/6 * (2/5 - 6/7 / 5/2))
[1441301] ['2/5', '5/2', '5/6', '7/2', '7/8'] -> 7/2 / (2/5 * 5/2 - 5/6) / 7/8
[1441304] ['2/5', '5/2', '5/6', '7/2', '8/5'] -> 8/5 / (2/5 * (7/2 - 5/2 - 5/6))
[1441308] ['2/5', '5/2', '5/6', '7/2', '9/4'] -> 5/2 * 7/2 / 2/5 / 5/6 - 9/4
[1441309] ['2/5', '5/2', '5/6', '7/2', '9/5'] -> (5/2 + (5/6 + 7/2) / 2/5) * 9/5
[1441319] ['2/5', '5/2', '5/6', '7/3', '8/5'] -> 8/5 / ((5/2 - 2/5) / 7/3 - 5/6)
[1441323] ['2/5', '5/2', '5/6', '7/3', '9/4'] -> ((5/2 + 5/6) / 2/5 + 7/3) * 9/4
[1441324] ['2/5', '5/2', '5/6', '7/3', '9/5'] -> (5/2 / 5/6 + 7/3) / 2/5 * 9/5
[1441333] ['2/5', '5/2', '5/6', '7/4', '8/5'] -> 8/5 / (2/5 + 7/4 - 5/2 * 5/6)
[1441336] ['2/5', '5/2', '5/6', '7/4', '9/2'] -> (5/2 / 2/5 + 5/6 - 7/4) * 9/2
[1441337] ['2/5', '5/2', '5/6', '7/4', '9/4'] -> 7/4 / (2/5 - 5/6 / 5/2) - 9/4
[1441343] ['2/5', '5/2', '5/6', '7/5', '7/8'] -> 7/5 / (2/5 - 5/6 / 5/2) / 7/8
[1441345] ['2/5', '5/2', '5/6', '7/5', '8/3'] -> (5/2 + 7/5) / (5/6 - 2/5) * 8/3
[1441349] ['2/5', '5/2', '5/6', '7/5', '9/2'] -> (5/6 + 5/2 * (2/5 + 7/5)) * 9/2
[1441370] ['2/5', '5/2', '5/6', '7/8', '8/7'] -> 8/7 / (2/5 * 5/2 - 5/6 / 7/8)
[1441382] ['2/5', '5/2', '5/6', '7/9', '9/2'] -> (5/2 + 7/9 / 2/5) / 5/6 * 9/2
[1441399] ['2/5', '5/2', '5/6', '8/5', '9/2'] -> (2/5 + 5/2 + 5/6 + 8/5) * 9/2
[1441401] ['2/5', '5/2', '5/6', '8/5', '9/5'] -> (5/2 + 5/6) * 8/5 / 2/5 * 9/5
[1441411] ['2/5', '5/2', '5/6', '8/9', '8/9'] -> 8/9 / (5/6 * (2/5 - 8/9 / 5/2))
[1441412] ['2/5', '5/2', '5/6', '8/9', '9/2'] -> 8/9 / (2/5 * 5/2 - 5/6) * 9/2
[1441414] ['2/5', '5/2', '5/6', '8/9', '9/5'] -> 8/9 / (2/5 - 5/6 / 5/2) * 9/5
[1441421] ['2/5', '5/2', '5/6', '9/2', '9/8'] -> 9/2 / (2/5 * 5/2 - 5/6) / 9/8
[1441428] ['2/5', '5/2', '5/6', '9/5', '9/8'] -> 9/5 / (2/5 - 5/6 / 5/2) / 9/8
[1441457] ['2/5', '5/2', '5/7', '5/8', '7/2'] -> (5/2 + 5/7 / 2/5) / 5/8 * 7/2
[1441503] ['2/5', '5/2', '5/7', '6/5', '8/7'] -> 8/7 / (2/5 / 6/5 - 5/7 / 5/2)
[1441519] ['2/5', '5/2', '5/7', '6/7', '8/5'] -> 8/5 / (2/5 - 5/7 / 5/2 / 6/7)
[1441532] ['2/5', '5/2', '5/7', '7/2', '7/8'] -> (5/2 + 7/2) / 2/5 / 5/7 / 7/8
[1441535] ['2/5', '5/2', '5/7', '7/2', '8/5'] -> (5/2 + 5/7 / 2/5) * 7/2 * 8/5
[1441536] ['2/5', '5/2', '5/7', '7/2', '8/7'] -> (5/2 + 7/2) / 2/5 / 5/7 * 8/7
[1441551] ['2/5', '5/2', '5/7', '7/3', '8/7'] -> 8/7 / (2/5 * 5/7 * (5/2 - 7/3))
[1441554] ['2/5', '5/2', '5/7', '7/3', '9/4'] -> (5/2 + 7/3 / 2/5 / 5/7) * 9/4
[1441560] ['2/5', '5/2', '5/7', '7/4', '7/6'] -> 2/5 / (5/7 - 7/4 / 5/2) / 7/6
[1441589] ['2/5', '5/2', '5/7', '7/6', '8/5'] -> 8/5 / (2/5 - 5/7 * 7/6 / 5/2)
[1441590] ['2/5', '5/2', '5/7', '7/6', '8/7'] -> 8/7 / (5/7 * (7/6 / 5/2 - 2/5))
[1441591] ['2/5', '5/2', '5/7', '7/6', '8/9'] -> 8/9 / (2/5 - 7/6 / (5/2 + 5/7))
[1441628] ['2/5', '5/2', '5/7', '8/5', '8/7'] -> 8/7 / (8/5 / (5/2 - 2/5) - 5/7)
[1441672] ['2/5', '5/2', '5/8', '5/8', '7/8'] -> (5/2 + 7/8) / ((5/8 - 2/5) * 5/8)
[1441674] ['2/5', '5/2', '5/8', '5/8', '8/3'] -> (5/2 / 2/5 - 5/8) / 5/8 * 8/3
[1441679] ['2/5', '5/2', '5/8', '5/8', '9/4'] -> 9/4 / 5/8 / (2/5 - 5/8 / 5/2)
[1441717] ['2/5', '5/2', '5/8', '6/5', '9/5'] -> 5/2 * 6/5 / (5/8 - 2/5) * 9/5
[1441720] ['2/5', '5/2', '5/8', '6/7', '6/7'] -> 6/7 / (5/8 * (2/5 - 6/7 / 5/2))
[1441745] ['2/5', '5/2', '5/8', '7/2', '8/5'] -> 5/2 * (2/5 + 7/2 / 5/8) * 8/5
[1441755] ['2/5', '5/2', '5/8', '7/3', '7/5'] -> 7/5 / (5/8 + 7/3 - 2/5 - 5/2)
[1441765] ['2/5', '5/2', '5/8', '7/3', '9/5'] -> (5/2 + 7/3 / 2/5) / 5/8 * 9/5
[1441778] ['2/5', '5/2', '5/8', '7/4', '9/4'] -> 9/4 / (5/8 * 7/4 - 2/5 * 5/2)
[1441780] ['2/5', '5/2', '5/8', '7/4', '9/7'] -> 9/7 / (5/8 - 2/5 * 5/2 / 7/4)
[1441792] ['2/5', '5/2', '5/8', '7/5', '9/5'] -> 9/5 / (5/2 - 2/5 - 5/8 - 7/5)
[1441802] ['2/5', '5/2', '5/8', '7/6', '9/2'] -> (5/2 - 7/6) / 2/5 / 5/8 * 9/2
[1441828] ['2/5', '5/2', '5/8', '8/3', '8/3'] -> 5/2 * 8/3 / 2/5 / 5/8 - 8/3
[1441829] ['2/5', '5/2', '5/8', '8/3', '8/5'] -> (5/2 / 2/5 - 5/8) * 8/3 * 8/5
[1441833] ['2/5', '5/2', '5/8', '8/3', '9/4'] -> (5/2 / 5/8 + 8/3 / 2/5) * 9/4
[1441858] ['2/5', '5/2', '5/8', '9/2', '9/2'] -> 9/2 / ((5/2 - 5/8) / 2/5 - 9/2)
[1441860] ['2/5', '5/2', '5/8', '9/2', '9/5'] -> 9/5 / (5/2 - 2/5 * 9/2 - 5/8)
[1441863] ['2/5', '5/2', '5/8', '9/4', '9/4'] -> 9/4 / (5/8 * (2/5 + 9/4 - 5/2))
[1441883] ['2/5', '5/2', '5/9', '5/9', '8/3'] -> 8/3 / (5/9 + 5/9 - 2/5 * 5/2)
[1441884] ['2/5', '5/2', '5/9', '5/9', '8/5'] -> 8/5 / (2/5 + 5/9 / 5/2 - 5/9)
[1441934] ['2/5', '5/2', '5/9', '7/2', '8/3'] -> 7/2 / (5/9 - 2/5) / 5/2 * 8/3
[1441937] ['2/5', '5/2', '5/9', '7/2', '8/9'] -> (5/2 + 7/2) / 2/5 / 5/9 * 8/9
[1441942] ['2/5', '5/2', '5/9', '7/2', '9/8'] -> (5/2 + 7/2) / 2/5 / 5/9 / 9/8
[1441950] ['2/5', '5/2', '5/9', '7/3', '8/5'] -> (5/2 + 7/3 / 2/5) / 5/9 * 8/5
[1441952] ['2/5', '5/2', '5/9', '7/3', '8/9'] -> 8/9 / (2/5 * 5/9 * (5/2 - 7/3))
[1441976] ['2/5', '5/2', '5/9', '7/5', '8/3'] -> 8/3 / (7/5 / (5/2 - 2/5) - 5/9)
[1441991] ['2/5', '5/2', '5/9', '7/6', '8/9'] -> 8/9 / (5/9 * (7/6 / 5/2 - 2/5))
[1442018] ['2/5', '5/2', '5/9', '8/3', '8/3'] -> 8/3 / (8/3 / 5/2 - 2/5 - 5/9)
[1442019] ['2/5', '5/2', '5/9', '8/3', '8/5'] -> 8/3 / (2/5 - 5/9 / 5/2) * 8/5
[1442021] ['2/5', '5/2', '5/9', '8/3', '8/9'] -> 8/9 / (2/5 * 5/9 * (8/3 - 5/2))
[1442072] ['2/5', '5/2', '6/5', '6/5', '8/3'] -> 5/2 * 6/5 * 6/5 / 2/5 * 8/3
[1442077] ['2/5', '5/2', '6/5', '6/5', '9/4'] -> (6/5 + 6/5) / 2/5 / (5/2 - 9/4)
[1442087] ['2/5', '5/2', '6/5', '6/7', '7/8'] -> 6/5 / (2/5 - 6/7 / 5/2) / 7/8
[1442091] ['2/5', '5/2', '6/5', '6/7', '8/7'] -> 6/5 / (2/5 - 6/7 / 5/2) * 8/7
[1442105] ['2/5', '5/2', '6/5', '7/2', '8/3'] -> (5/2 + 6/5 / 2/5 + 7/2) * 8/3
[1442109] ['2/5', '5/2', '6/5', '7/2', '9/2'] -> (2/5 + 5/2 + 7/2) / 6/5 * 9/2
[1442110] ['2/5', '5/2', '6/5', '7/2', '9/4'] -> 5/2 * 6/5 * 7/2 / 2/5 - 9/4
[1442135] ['2/5', '5/2', '6/5', '7/4', '8/5'] -> 8/5 / (2/5 + 7/4 - 5/2 / 6/5)
[1442138] ['2/5', '5/2', '6/5', '7/4', '9/2'] -> 9/2 / (7/4 - 5/2 / (2/5 + 6/5))
[1442147] ['2/5', '5/2', '6/5', '7/5', '8/3'] -> (5/2 + (6/5 + 7/5) / 2/5) * 8/3
[1442148] ['2/5', '5/2', '6/5', '7/5', '8/5'] -> 8/5 / (7/5 / 5/2 / 6/5 - 2/5)
[1442174] ['2/5', '5/2', '6/5', '7/8', '9/2'] -> 9/2 / (5/2 * (2/5 + 7/8 - 6/5))
[1442180] ['2/5', '5/2', '6/5', '7/9', '8/3'] -> 8/3 / (2/5 * (5/2 + 7/9) - 6/5)
[1442181] ['2/5', '5/2', '6/5', '7/9', '8/5'] -> 8/5 / (2/5 * 5/2 - 6/5 * 7/9)
[1442184] ['2/5', '5/2', '6/5', '7/9', '9/2'] -> 6/5 * (5/2 + 7/9 / 2/5) * 9/2
[1442190] ['2/5', '5/2', '6/5', '8/3', '8/5'] -> 8/5 / (2/5 + 8/3 - 5/2 * 6/5)
[1442195] ['2/5', '5/2', '6/5', '8/3', '9/5'] -> 8/3 / (6/5 - 2/5 * 5/2) * 9/5
[1442213] ['2/5', '5/2', '6/5', '8/9', '8/9'] -> 6/5 / (2/5 - 8/9 / 5/2) * 8/9
[1442214] ['2/5', '5/2', '6/5', '8/9', '9/2'] -> 9/2 / (6/5 / 2/5 - 5/2 / 8/9)
[1442216] ['2/5', '5/2', '6/5', '8/9', '9/5'] -> 9/5 / (6/5 - 2/5 * 5/2 / 8/9)
[1442218] ['2/5', '5/2', '6/5', '8/9', '9/8'] -> 6/5 / (2/5 - 8/9 / 5/2) / 9/8
[1442219] ['2/5', '5/2', '6/5', '9/2', '9/2'] -> (2/5 * 5/2 / 6/5 + 9/2) * 9/2
[1442221] ['2/5', '5/2', '6/5', '9/2', '9/5'] -> (5/2 / 6/5 + 9/2 / 2/5) * 9/5
[1442243] ['2/5', '5/2', '6/7', '6/7', '8/5'] -> 6/7 * 8/5 / (2/5 - 6/7 / 5/2)
[1442254] ['2/5', '5/2', '6/7', '7/2', '7/5'] -> (5/2 + 6/7 + 7/2) / 2/5 * 7/5
[1442256] ['2/5', '5/2', '6/7', '7/2', '7/8'] -> (5/2 / 2/5 + 6/7) * 7/2 - 7/8
[1442283] ['2/5', '5/2', '6/7', '7/4', '7/5'] -> 7/5 / (5/2 - 7/4 / 6/7 - 2/5)
[1442313] ['2/5', '5/2', '6/7', '7/6', '8/5'] -> 8/5 / ((2/5 - 6/7 / 5/2) * 7/6)
[1442333] ['2/5', '5/2', '6/7', '7/9', '8/3'] -> 8/3 / ((2/5 * 5/2 - 6/7) * 7/9)
[1442336] ['2/5', '5/2', '6/7', '7/9', '8/9'] -> 8/9 / (2/5 - 7/9 / 5/2 / 6/7)
[1442349] ['2/5', '5/2', '6/7', '8/3', '9/7'] -> 9/7 / ((2/5 * 5/2 - 6/7) / 8/3)
[1442366] ['2/5', '5/2', '6/7', '8/9', '8/9'] -> 8/9 / (8/9 / 6/7 - 2/5 * 5/2)
[1442409] ['2/5', '5/2', '7/2', '7/3', '8/3'] -> (5/2 + 7/2 * 7/3) / 2/5 - 8/3
[1442414] ['2/5', '5/2', '7/2', '7/3', '9/4'] -> (5/2 + 7/2 / 2/5) * 7/3 - 9/4
[1442420] ['2/5', '5/2', '7/2', '7/4', '7/6'] -> 7/2 * (5/2 / 2/5 + 7/4) / 7/6
[1442446] ['2/5', '5/2', '7/2', '7/6', '7/8'] -> 7/2 / (7/6 - 2/5 * 5/2) / 7/8
[1442450] ['2/5', '5/2', '7/2', '7/6', '8/7'] -> 7/2 / (7/6 - 2/5 * 5/2) * 8/7
[1442453] ['2/5', '5/2', '7/2', '7/6', '9/4'] -> 5/2 * (7/2 + 7/6 - 2/5) * 9/4
[1442457] ['2/5', '5/2', '7/2', '7/8', '7/8'] -> (5/2 * 7/2 / 2/5 - 7/8) / 7/8
[1442459] ['2/5', '5/2', '7/2', '7/8', '8/3'] -> 5/2 * (7/2 / 7/8 - 2/5) * 8/3
[1442461] ['2/5', '5/2', '7/2', '7/8', '8/7'] -> (5/2 * 7/2 / 2/5 - 7/8) * 8/7
[1442505] ['2/5', '5/2', '7/2', '8/9', '9/5'] -> (5/2 + 7/2) * 8/9 / 2/5 * 9/5
[1442508] ['2/5', '5/2', '7/2', '9/2', '9/2'] -> (5/2 + 7/2) / 2/5 + 9/2 + 9/2
[1442509] ['2/5', '5/2', '7/2', '9/2', '9/4'] -> (5/2 + 7/2 + 9/2) / 2/5 - 9/4
[1442519] ['2/5', '5/2', '7/2', '9/5', '9/8'] -> (5/2 + 7/2) * 9/5 / 2/5 / 9/8
[1442530] ['2/5', '5/2', '7/3', '7/3', '8/5'] -> 8/5 / (2/5 / (5/2 - 7/3) - 7/3)
[1442542] ['2/5', '5/2', '7/3', '7/4', '7/9'] -> 7/3 * (5/2 / 2/5 + 7/4) / 7/9
[1442548] ['2/5', '5/2', '7/3', '7/4', '9/4'] -> 7/4 / (5/2 - 7/3) / 2/5 - 9/4
[1442550] ['2/5', '5/2', '7/3', '7/4', '9/7'] -> 7/3 * (5/2 / 2/5 + 7/4) * 9/7
[1442554] ['2/5', '5/2', '7/3', '7/5', '7/8'] -> 7/5 / (5/2 - 7/3) / 2/5 / 7/8
[1442558] ['2/5', '5/2', '7/3', '7/5', '8/7'] -> 7/5 / (5/2 - 7/3) / 2/5 * 8/7
[1442561] ['2/5', '5/2', '7/3', '7/5', '9/4'] -> (5/2 + 7/3 * 7/5 / 2/5) * 9/4
[1442586] ['2/5', '5/2', '7/3', '7/8', '9/7'] -> 9/7 / ((2/5 * 5/2 - 7/8) / 7/3)
[1442594] ['2/5', '5/2', '7/3', '7/9', '9/4'] -> 7/3 / (2/5 - 7/9 / 5/2) - 9/4
[1442602] ['2/5', '5/2', '7/3', '8/3', '9/2'] -> (5/2 * (2/5 + 8/3) - 7/3) * 9/2
[1442612] ['2/5', '5/2', '7/3', '8/5', '9/5'] -> (5/2 + 7/3 / 2/5) * 8/5 * 9/5
[1442625] ['2/5', '5/2', '7/3', '8/9', '9/5'] -> 8/9 / (5/2 - 7/3) / 2/5 * 9/5
[1442639] ['2/5', '5/2', '7/3', '9/5', '9/8'] -> 9/5 / (5/2 - 7/3) / 2/5 / 9/8
[1442649] ['2/5', '5/2', '7/4', '7/4', '8/5'] -> (5/2 + 7/4 + 7/4) / 2/5 * 8/5
[1442674] ['2/5', '5/2', '7/4', '7/6', '8/5'] -> 8/5 / (7/6 - 7/4 / 5/2 - 2/5)
[1442678] ['2/5', '5/2', '7/4', '7/6', '9/4'] -> 7/4 / (7/6 / 5/2 - 2/5) - 9/4
