[1019617] ['1/7', '5/4', '7/4', '8/5', '9/5'] -> (7/4 + 8/5) / 1/7 - 5/4 + 9/5
[1029069] ['1/7', '7/2', '7/3', '7/8', '8/3'] -> 7/3 * (7/2 / 7/8 - 1/7) * 8/3
[1029073] ['1/7', '7/2', '7/3', '7/8', '9/2'] -> 7/3 / (1/7 * /2 * /8) * 9/2
[1029081] ['1/7', '7/2', '7/3', '7/9', '8/7'] -> 8/7 / (1/7 - 7/9 / (7/2 * /3)
)[1029088] ['1/7', '7/2', '7/3', '8/3', '8/3'] -> (7/2 * 8/3 - 1/7 * 7/3) * 8/3
[1029091] ['1/7', '7/2', '7/3', '8/3', '8/9'] -> (1/7 + 7/3) * 7/2 * 8/3 + 8/9
[1029092] ['1/7', '7/2', '7/3', '8/3', '9/2'] -> 7/2 / 1/7 - 7/3 - 8/3 + 9/2
[1029097] ['1/7', '7/2', '7/3', '8/5', '8/5'] -> 8/5 / ((7/3 - 8/5) / 7/2 - 1/7)
[1029105] ['1/7', '7/2', '7/3', '8/7', '8/7'] -> 8/7 / (7/3 - 8/7 / (1/7 * /2)
)[1029107] ['1/7', '7/2', '7/3', '8/7', '9/2'] -> 7/3 * 8/7 / 1/7 / 7/2 * 9/2
[1029113] ['1/7', '7/2', '7/3', '8/9', '9/2'] -> 8/9 / ((7/2 - 7/3) * /7) * 9/2
[1029118] ['1/7', '7/2', '7/3', '9/2', '9/2'] -> (1/7 * (7/2 + 7/3) + 9/2) * 9/2
[1029122] ['1/7', '7/2', '7/3', '9/2', '9/8'] -> 9/2 / (((7/2 - 7/3) * /7) * /8
)[1029123] ['1/7', '7/2', '7/3', '9/4', '9/4'] -> (7/2 / 7/3 + 9/4) / 1/7 - 9/4
[1029134] ['1/7', '7/2', '7/4', '7/4', '7/5'] -> 7/2 / 1/7 - 7/4 + 7/4 / 7/5
[1029137] ['1/7', '7/2', '7/4', '7/4', '7/9'] -> 7/2 / 1/7 + 7/4 - 7/4 / 7/9
[1029138] ['1/7', '7/2', '7/4', '7/4', '8/3'] -> (7/2 + 7/4 / 1/7) / 7/4 * 8/3
[1029139] ['1/7', '7/2', '7/4', '7/4', '8/5'] -> (7/2 / 1/7 + 7/4) / 7/4 * 8/5
[1029142] ['1/7', '7/2', '7/4', '7/4', '9/2'] -> 9/2 / (7/2 - (1/7 + 7/4) * 7/4)
[1029143] ['1/7', '7/2', '7/4', '7/4', '9/4'] -> (7/2 / 7/4 + 7/4) / 1/7 - 9/4
[1029145] ['1/7', '7/2', '7/4', '7/4', '9/7'] -> 7/2 / 1/7 + 7/4 - 7/4 * 9/7
[1029156] ['1/7', '7/2', '7/4', '7/5', '9/4'] -> (7/2 + 7/4) / 1/7 / 7/5 - 9/4
[1029160] ['1/7', '7/2', '7/4', '7/6', '7/6'] -> 7/2 / 1/7 + 7/6 / 7/4 - 7/6
[1029165] ['1/7', '7/2', '7/4', '7/6', '8/7'] -> 8/7 / (7/6 / (7/2 * /4) - 1/7)
[1029169] ['1/7', '7/2', '7/4', '7/6', '9/5'] -> (7/2 / 1/7 - 7/6) / 7/4 * 9/5
[1029170] ['1/7', '7/2', '7/4', '7/6', '9/7'] -> 9/7 * (7/2 + 7/6) / (1/7 * 7/4)
[1029172] ['1/7', '7/2', '7/4', '7/8', '7/8'] -> (7/2 - 7/8 / 7/4) / 1/7 / 7/8
[1029176] ['1/7', '7/2', '7/4', '7/8', '8/7'] -> (7/2 - 7/8 / 7/4) / 1/7 * 8/7
[1029179] ['1/7', '7/2', '7/4', '7/8', '9/4'] -> 7/2 / (1/7 * /8) - 7/4 - 9/4
[1029181] ['1/7', '7/2', '7/4', '7/8', '9/7'] -> 9/7 / (1/7 * (7/8 - 7/4 / 7/2))
[1029194] ['1/7', '7/2', '7/4', '8/3', '8/5'] -> 7/2 * (7/4 - 1/7) * 8/3 * 8/5
[1029198] ['1/7', '7/2', '7/4', '8/3', '9/4'] -> 8/3 / ((7/2 - 7/4) * /7) * 9/4
[1029202] ['1/7', '7/2', '7/4', '8/5', '8/5'] -> 7/2 * 8/5 / 1/7 / 7/4 + 8/5
[1029207] ['1/7', '7/2', '7/4', '8/5', '9/5'] -> 9/5 / (1/7 * 7/2 * (7/4 - 8/5))
[1029212] ['1/7', '7/2', '7/4', '8/7', '9/2'] -> 9/2 / (1/7 * (7/2 / 8/7 - 7/4))
[1029213] ['1/7', '7/2', '7/4', '8/7', '9/4'] -> 7/2 * 8/7 / 1/7 - 7/4 - 9/4
[1029237] ['1/7', '7/2', '7/4', '9/8', '9/8'] -> 7/2 / 1/7 + 7/4 - 9/8 - 9/8
[1029238] ['1/7', '7/2', '7/5', '7/5', '7/5'] -> 7/2 / 1/7 - 7/5 / (7/5 + 7/5)
[1029258] ['1/7', '7/2', '7/5', '7/6', '9/2'] -> (7/2 + 7/5 * (1/7 + 7/6)) * 9/2
[1029259] ['1/7', '7/2', '7/5', '7/6', '9/4'] -> (7/2 / 7/5 + 7/6 / 1/7) * 9/4
[1029260] ['1/7', '7/2', '7/5', '7/6', '9/5'] -> (7/2 / 1/7 + 7/5) / 7/6 + 9/5
[1029261] ['1/7', '7/2', '7/5', '7/6', '9/7'] -> 9/7 * (7/2 - 7/6 / 7/5) / 1/7
[1029273] ['1/7', '7/2', '7/5', '7/8', '9/8'] -> 7/2 / 1/7 + 7/8 / 7/5 - 9/8
[1029275] ['1/7', '7/2', '7/5', '7/9', '8/3'] -> 8/3 / (7/5 * (7/9 / 7/2 - 1/7))
[1029285] ['1/7', '7/2', '7/5', '8/3', '8/5'] -> 8/5 / (7/5 - 1/7 * 7/2 * 8/3)
[1029296] ['1/7', '7/2', '7/5', '8/5', '9/2'] -> 8/5 / ((7/2 - 7/5) * /7) * 9/2
[1029336] ['1/7', '7/2', '7/6', '7/6', '9/2'] -> (7/2 + 9/2) / 1/7 / (7/6 + 7/6)
[1029343] ['1/7', '7/2', '7/6', '7/8', '8/3'] -> (7/2 / 1/7 - 7/6) / 7/8 - 8/3
[1029347] ['1/7', '7/2', '7/6', '7/8', '9/2'] -> (7/6 / 1/7 - 7/2) / 7/8 * 9/2
[1029349] ['1/7', '7/2', '7/6', '7/8', '9/5'] -> (7/2 + 7/6 / 1/7) / 7/8 * 9/5
[1029350] ['1/7', '7/2', '7/6', '7/8', '9/7'] -> 9/7 * (7/2 - 7/6) / (1/7 * 7/8)
[1029354] ['1/7', '7/2', '7/6', '7/9', '8/5'] -> (7/2 + 7/6 / 1/7) / 7/9 * 8/5
[1029361] ['1/7', '7/2', '7/6', '7/9', '9/8'] -> 7/2 / (((1/7 * /6) * /9) * /8
)[1029362] ['1/7', '7/2', '7/6', '8/3', '8/3'] -> (7/2 + 7/6 / 1/7 - 8/3) * 8/3
[1029366] ['1/7', '7/2', '7/6', '8/3', '9/2'] -> 7/2 + 8/3 / (1/7 * /6) + 9/2
[1029371] ['1/7', '7/2', '7/6', '8/5', '8/5'] -> 8/5 / (1/7 * 7/2 + 7/6 - 8/5)
[1029374] ['1/7', '7/2', '7/6', '8/5', '9/2'] -> (7/2 - 1/7 * 7/6) * 8/5 * 9/2
[1029381] ['1/7', '7/2', '7/6', '8/7', '9/2'] -> (7/6 / 1/7 - 7/2) * 8/7 * 9/2
[1029383] ['1/7', '7/2', '7/6', '8/7', '9/5'] -> (7/2 + 7/6 / 1/7) * 8/7 * 9/5
[1029384] ['1/7', '7/2', '7/6', '8/7', '9/7'] -> 9/7 * 8/7 * (7/2 - 7/6) / 1/7
[1029388] ['1/7', '7/2', '7/6', '8/9', '9/4'] -> (7/2 / 1/7 - 7/6) / 8/9 - 9/4
[1029390] ['1/7', '7/2', '7/6', '8/9', '9/7'] -> 9/7 * 8/9 * 7/2 / (1/7 * 7/6)
[1029397] ['1/7', '7/2', '7/6', '9/4', '9/4'] -> (7/2 + 7/6 / 1/7) * 9/4 - 9/4
[1029405] ['1/7', '7/2', '7/6', '9/7', '9/8'] -> 7/2 * 9/7 / 1/7 / 7/6 / 9/8
[1029411] ['1/7', '7/2', '7/8', '7/8', '8/7'] -> (7/2 - 7/8) / 1/7 / 7/8 * 8/7
[1029412] ['1/7', '7/2', '7/8', '7/8', '8/9'] -> (7/2 / 1/7 - 7/8) / 7/8 * 8/9
[1029417] ['1/7', '7/2', '7/8', '7/8', '9/8'] -> (7/2 / 1/7 - 7/8) / 7/8 / 9/8
[1029419] ['1/7', '7/2', '7/8', '7/9', '8/3'] -> 8/3 / (7/9 / (7/2 * /8) - 1/7)
[1029428] ['1/7', '7/2', '7/8', '8/3', '8/3'] -> (7/2 - 1/7 * 7/8) * 8/3 * 8/3
[1029431] ['1/7', '7/2', '7/8', '8/3', '8/9'] -> 8/3 / (7/8 / 7/2 - 1/7) - 8/9
[1029440] ['1/7', '7/2', '7/8', '8/5', '9/2'] -> 9/2 / (1/7 * (7/2 / 8/5 - 7/8))
[1029442] ['1/7', '7/2', '7/8', '8/5', '9/5'] -> 9/5 / (7/8 - 1/7 * 7/2 * 8/5)
[1029444] ['1/7', '7/2', '7/8', '8/5', '9/8'] -> 9/8 / (7/8 / 8/5 - 1/7 * 7/2)
[1029445] ['1/7', '7/2', '7/8', '8/7', '8/7'] -> (7/2 - 7/8) * 8/7 / 1/7 * 8/7
[1029446] ['1/7', '7/2', '7/8', '8/7', '8/9'] -> (7/2 / 1/7 - 7/8) * 8/7 * 8/9
[1029448] ['1/7', '7/2', '7/8', '8/7', '9/4'] -> 8/7 / (7/8 / 7/2 - 1/7) * 9/4
[1029451] ['1/7', '7/2', '7/8', '8/7', '9/8'] -> (7/2 / 1/7 - 7/8) * 8/7 / 9/8
[1029452] ['1/7', '7/2', '7/8', '8/9', '8/9'] -> 7/2 * 8/9 / 1/7 / 7/8 - 8/9
[1029473] ['1/7', '7/2', '7/9', '7/9', '7/9'] -> 7/2 / 1/7 - 7/9 / (7/9 + 7/9)
[1029474] ['1/7', '7/2', '7/9', '7/9', '8/3'] -> 8/3 / (7/9 / 7/2 - 1/7 * 7/9)
[1029483] ['1/7', '7/2', '7/9', '8/3', '8/3'] -> 1/7 / (7/9 - 8/3 / 7/2) * 8/3
[1029508] ['1/7', '7/2', '7/9', '8/9', '9/2'] -> 7/2 * (7/9 + 8/9 - 1/7) * 9/2
[1029518] ['1/7', '7/2', '7/9', '9/4', '9/4'] -> 7/2 / 1/7 + 7/9 * 9/4 - 9/4
[1029528] ['1/7', '7/2', '8/3', '8/3', '8/3'] -> 7/2 / 1/7 - 8/3 / (8/3 + 8/3)
[1029532] ['1/7', '7/2', '8/3', '8/3', '9/2'] -> 7/2 + 8/3 / 1/7 - 8/3 + 9/2
[1029534] ['1/7', '7/2', '8/3', '8/3', '9/5'] -> (8/3 - 8/3 / 7/2) / 1/7 * 9/5
[1029540] ['1/7', '7/2', '8/3', '8/5', '9/2'] -> 7/2 * (8/3 / 8/5 - 1/7) * 9/2
[1029547] ['1/7', '7/2', '8/3', '8/7', '9/2'] -> 7/2 * (1/7 * 8/3 + 8/7) * 9/2
[1029549] ['1/7', '7/2', '8/3', '8/7', '9/5'] -> (8/3 / 7/2 + 8/7) / 1/7 * 9/5
[1029558] ['1/7', '7/2', '8/3', '9/2', '9/2'] -> (7/2 * (1/7 + 8/3) - 9/2) * 9/2
[1029573] ['1/7', '7/2', '8/5', '8/5', '8/5'] -> 7/2 / 1/7 - 8/5 / (8/5 + 8/5)
[1029585] ['1/7', '7/2', '8/5', '8/7', '9/5'] -> 7/2 * (8/5 / 1/7 + 8/7) / 9/5
[1029611] ['1/7', '7/2', '8/7', '8/7', '9/2'] -> (8/7 + 8/7) / 1/7 + 7/2 + 9/2
[1029641] ['1/7', '7/2', '8/9', '8/9', '9/7'] -> (8/9 / 1/7 - 8/9) * 7/2 * 9/7
[1029658] ['1/7', '7/2', '9/2', '9/2', '9/2'] -> 7/2 / 1/7 - 9/2 / (9/2 + 9/2)
[1029665] ['1/7', '7/2', '9/2', '9/4', '9/7'] -> (9/2 / 1/7 - 9/4 / 7/2) / 9/7
[1029666] ['1/7', '7/2', '9/2', '9/4', '9/8'] -> (9/2 - 9/4 / 7/2) / 1/7 / 9/8
[1029669] ['1/7', '7/2', '9/2', '9/5', '9/8'] -> (7/2 / 1/7 + 9/2 / 9/5) / 9/8
[1029673] ['1/7', '7/2', '9/4', '9/4', '9/4'] -> 7/2 / 1/7 - 9/4 / (9/4 + 9/4)
[1029683] ['1/7', '7/2', '9/5', '9/5', '9/5'] -> 7/2 / 1/7 - 9/5 / (9/5 + 9/5)
[1029688] ['1/7', '7/2', '9/5', '9/8', '9/8'] -> 7/2 / 1/7 + 9/8 / 9/5 - 9/8
[1029689] ['1/7', '7/2', '9/7', '9/7', '9/7'] -> 7/2 / 1/7 - 9/7 / (9/7 + 9/7)
[1029690] ['1/7', '7/2', '9/7', '9/7', '9/8'] -> (9/7 / 1/7 - 9/7) * 7/2 / 9/8
[1029692] ['1/7', '7/2', '9/8', '9/8', '9/8'] -> 7/2 / 1/7 - 9/8 / (9/8 + 9/8)
[1029699] ['1/7', '7/3', '7/3', '7/3', '8/3'] -> (7/3 + 7/3) * (1/7 + 7/3 + 8/3)
[1029701] ['1/7', '7/3', '7/3', '7/3', '8/7'] -> (7/3 / 1/7 + 7/3 + 7/3) * 8/7
[1029703] ['1/7', '7/3', '7/3', '7/3', '9/2'] -> 7/3 + (7/3 + 7/3) * (1/7 + 9/2)
[1029710] ['1/7', '7/3', '7/3', '7/4', '7/6'] -> 7/3 / (((7/3 - 7/4) * /7) * /6
)[1029712] ['1/7', '7/3', '7/3', '7/4', '7/9'] -> (7/3 + 7/3) / 1/7 / 7/4 / 7/9
[1029714] ['1/7', '7/3', '7/3', '7/4', '8/5'] -> (7/3 / 1/7 - 7/3 / 7/4) * 8/5
[1029723] ['1/7', '7/3', '7/3', '7/5', '7/6'] -> (7/3 + 7/3 / 7/5) / 1/7 / 7/6
[1029732] ['1/7', '7/3', '7/3', '7/5', '9/5'] -> (7/3 / 1/7 + 7/3) / 7/5 * 9/5
[1029740] ['1/7', '7/3', '7/3', '7/6', '8/7'] -> (8/7 / (1/7 * 7/3) - (7/3 / 7/6)))
[1029747] ['1/7', '7/3', '7/3', '7/8', '7/8'] -> (7/3 + 7/3 / (1/7 * /8)) / 7/8
[1029752] ['1/7', '7/3', '7/3', '7/8', '8/9'] -> (7/3 / 1/7 + 7/3) / 7/8 / 8/9
[1029757] ['1/7', '7/3', '7/3', '7/8', '9/8'] -> (7/3 / 1/7 + 7/3) / 7/8 * 9/8
[1029763] ['1/7', '7/3', '7/3', '7/9', '9/2'] -> (7/3 * 7/3 - 1/7 * 7/9) * 9/2
[1029765] ['1/7', '7/3', '7/3', '7/9', '9/5'] -> (7/3 / 1/7 - 7/3 / 7/9) * 9/5
[1029769] ['1/7', '7/3', '7/3', '8/3', '8/5'] -> (7/3 + 8/3) / 1/7 / 7/3 * 8/5
[1029770] ['1/7', '7/3', '7/3', '8/3', '8/7'] -> (7/3 + 8/7) / 1/7 - (8/3 - 7/3)
[1029771] ['1/7', '7/3', '7/3', '8/3', '8/9'] -> (7/3 / 1/7 + 7/3 + 8/3) / 8/9
[1029776] ['1/7', '7/3', '7/3', '8/3', '9/8'] -> (7/3 / 1/7 + 7/3 + 8/3) * 9/8
[1029786] ['1/7', '7/3', '7/3', '8/7', '8/9'] -> (7/3 / 1/7 + 7/3) * 8/7 / 8/9
[1029787] ['1/7', '7/3', '7/3', '8/7', '9/2'] -> (7/3 + 7/3 * (1/7 + 8/7)) * 9/2
[1029791] ['1/7', '7/3', '7/3', '8/7', '9/8'] -> (7/3 / 1/7 + 7/3) * 8/7 * 9/8
[1029801] ['1/7', '7/3', '7/3', '9/2', '9/7'] -> (7/3 + 7/3) * 9/2 * (9/7 - 1/7)
[1029813] ['1/7', '7/3', '7/4', '7/4', '7/4'] -> (7/4 / 1/7 + 7/4) / (7/3 - 7/4)
[1029815] ['1/7', '7/3', '7/4', '7/4', '7/6'] -> (7/4 + 7/4) / 1/7 - 7/6 / 7/3
[1029816] ['1/7', '7/3', '7/4', '7/4', '7/8'] -> 7/4 / (((7/3 - 7/4) * /7) * /8
)[1029820] ['1/7', '7/3', '7/4', '7/4', '8/7'] -> 7/4 / ((7/3 - 7/4) * /7) * 8/7
[1029822] ['1/7', '7/3', '7/4', '7/4', '9/2'] -> 7/3 / (1/7 * /4 * /4) * 9/2
[1029823] ['1/7', '7/3', '7/4', '7/4', '9/4'] -> (1/7 * 7/4 + 7/4) / (7/3 - 9/4)
[1029840] ['1/7', '7/3', '7/4', '7/6', '7/6'] -> 7/3 / (((7/4 - 7/6) * /7) * /6
)[1029841] ['1/7', '7/3', '7/4', '7/6', '7/8'] -> (7/3 + 7/6 / 7/4) / 1/7 / 7/8
[1029845] ['1/7', '7/3', '7/4', '7/6', '8/7'] -> (7/3 + 7/6 / 7/4) / 1/7 * 8/7
[1029856] ['1/7', '7/3', '7/4', '7/8', '8/7'] -> 8/7 / (1/7 * (7/3 - 7/4 / 7/8))
[1029859] ['1/7', '7/3', '7/4', '7/8', '9/4'] -> 7/3 / (1/7 * /4 * /8) * 9/4
[1029861] ['1/7', '7/3', '7/4', '7/8', '9/7'] -> 9/7 * 7/3 / (1/7 * (7/4 - 7/8))
[1029864] ['1/7', '7/3', '7/4', '7/9', '8/3'] -> 8/3 / (7/9 / 7/4 - 1/7 * 7/3)
[1029873] ['1/7', '7/3', '7/4', '8/3', '8/3'] -> 7/4 * (1/7 + 7/3 + 8/3) * 8/3
[1029881] ['1/7', '7/3', '7/4', '8/3', '9/8'] -> (7/3 + 8/3 / 7/4) / 1/7 / 9/8
[1029882] ['1/7', '7/3', '7/4', '8/5', '8/5'] -> 8/5 / (1/7 * (7/4 * 8/5 - 7/3))
[1029893] ['1/7', '7/3', '7/4', '8/7', '9/4'] -> 7/3 * 8/7 / 1/7 / 7/4 * 9/4
[1029899] ['1/7', '7/3', '7/4', '8/9', '9/4'] -> 8/9 / ((7/3 - 7/4) * /7) * 9/4
[1029903] ['1/7', '7/3', '7/4', '9/2', '9/2'] -> (1/7 + 7/3) * 7/4 * 9/2 + 9/2
[1029904] ['1/7', '7/3', '7/4', '9/2', '9/4'] -> (9/2 - 7/4 / 7/3) / 1/7 - 9/4
[1029911] ['1/7', '7/3', '7/4', '9/4', '9/8'] -> 9/4 / (((7/3 - 7/4) * /7) * /8
)[1029921] ['1/7', '7/3', '7/5', '7/5', '7/9'] -> (7/3 + 7/5) / 1/7 / 7/5 / 7/9
[1029923] ['1/7', '7/3', '7/5', '7/5', '8/5'] -> (8/5 / (1/7 * (7/5 + 7/5)) - 7/3))
[1029926] ['1/7', '7/3', '7/5', '7/5', '9/2'] -> (7/5 / 1/7 - 7/3) / 7/5 * 9/2
[1029927] ['1/7', '7/3', '7/5', '7/5', '9/4'] -> (7/3 / 1/7 - 7/5) / 7/5 * 9/4
[1029929] ['1/7', '7/3', '7/5', '7/5', '9/7'] -> (7/3 + 7/5) / 1/7 / 7/5 * 9/7
[1029935] ['1/7', '7/3', '7/5', '7/6', '8/5'] -> (7/3 + 7/5) / 1/7 / 7/6 + 8/5
[1029951] ['1/7', '7/3', '7/5', '7/8', '9/5'] -> 7/3 / (1/7 * /5 * /8) * 9/5
[1029960] ['1/7', '7/3', '7/5', '7/9', '9/4'] -> 7/3 / ((7/5 - 7/9) * /7) - 9/4
[1029964] ['1/7', '7/3', '7/5', '8/3', '8/3'] -> (7/3 / (1/7 * /5) - 8/3) * 8/3
[1029970] ['1/7', '7/3', '7/5', '8/3', '9/5'] -> 9/5 / (1/7 * (7/5 - 7/3 / 8/3))
[1029973] ['1/7', '7/3', '7/5', '8/5', '8/5'] -> 8/5 / (1/7 * 7/3 * (8/5 - 7/5))
[1029978] ['1/7', '7/3', '7/5', '8/5', '9/5'] -> (7/3 / 1/7 - 7/5 - 8/5) * 9/5
[1029979] ['1/7', '7/3', '7/5', '8/5', '9/7'] -> 9/7 * 8/5 * 7/3 / (1/7 * 7/5)
[1029985] ['1/7', '7/3', '7/5', '8/7', '9/5'] -> 7/3 * 8/7 / 1/7 / 7/5 * 9/5
[1029999] ['1/7', '7/3', '7/5', '9/4', '9/4'] -> 7/3 * 9/4 / 1/7 / 7/5 - 9/4
[1030010] ['1/7', '7/3', '7/6', '7/6', '7/8'] -> (7/3 + 7/6) / 1/7 / 7/6 / 7/8
[1030012] ['1/7', '7/3', '7/6', '7/6', '8/3'] -> (7/3 + 7/6 / 1/7) / 7/6 * 8/3
[1030013] ['1/7', '7/3', '7/6', '7/6', '8/5'] -> (7/3 / 1/7 + 7/6) / 7/6 * 8/5
[1030014] ['1/7', '7/3', '7/6', '7/6', '8/7'] -> (7/3 + 7/6) / 1/7 / 7/6 * 8/7
[1030024] ['1/7', '7/3', '7/6', '7/8', '8/5'] -> (7/3 / 1/7 - 7/6 / 7/8) * 8/5
[1030027] ['1/7', '7/3', '7/6', '7/8', '9/2'] -> 9/2 / (1/7 * (7/3 - 7/6 * 7/8))
[1030030] ['1/7', '7/3', '7/6', '7/8', '9/7'] -> 9/7 / (1/7 * (7/8 - 7/6 / 7/3))
[1030032] ['1/7', '7/3', '7/6', '7/9', '7/9'] -> (7/3 + 7/9) / 1/7 / 7/6 / 7/9
[1030035] ['1/7', '7/3', '7/6', '7/9', '8/7'] -> (7/3 + 7/9 / 7/6) / 1/7 * 8/7
[1030039] ['1/7', '7/3', '7/6', '7/9', '9/5'] -> (7/3 / 1/7 - 7/9) / 7/6 * 9/5
[1030040] ['1/7', '7/3', '7/6', '7/9', '9/7'] -> (7/3 + 7/9) / 1/7 / 7/6 * 9/7
[1030046] ['1/7', '7/3', '7/6', '8/3', '9/2'] -> 8/3 / ((7/3 + 7/6) * /7) * 9/2
[1030061] ['1/7', '7/3', '7/6', '8/7', '9/2'] -> 9/2 / (1/7 * (7/3 - 7/6 / 8/7))
[1030067] ['1/7', '7/3', '7/6', '8/9', '9/2'] -> 8/9 / ((7/3 - 7/6) * /7) * 9/2
[1030076] ['1/7', '7/3', '7/6', '9/2', '9/8'] -> 9/2 / (((7/3 - 7/6) * /7) * /8
)[1030077] ['1/7', '7/3', '7/6', '9/4', '9/4'] -> 7/3 + (7/6 + 9/4) / 1/7 - 9/4
[1030089] ['1/7', '7/3', '7/8', '7/8', '8/3'] -> 7/3 / (1/7 * /8 * /8) + 8/3
[1030092] ['1/7', '7/3', '7/8', '7/8', '8/9'] -> 7/3 / (((1/7 * /8) * /8) * /9
)[1030097] ['1/7', '7/3', '7/8', '7/8', '9/8'] -> 7/3 / (1/7 * /8 * /8) * 9/8
[1030098] ['1/7', '7/3', '7/8', '7/9', '7/9'] -> 7/9 / (1/7 * 7/3 * (7/8 - 7/9))
[1030102] ['1/7', '7/3', '7/8', '7/9', '8/9'] -> (7/3 + 7/9) / 1/7 / 7/8 - 8/9
[1030116] ['1/7', '7/3', '7/8', '8/3', '9/8'] -> (7/3 + 7/8) / 1/7 + 8/3 - 9/8
[1030127] ['1/7', '7/3', '7/8', '8/7', '9/2'] -> (8/7 / 1/7 - 7/3 / 7/8) * 9/2
[1030130] ['1/7', '7/3', '7/8', '8/7', '9/7'] -> 9/7 * 7/3 / (8/7 - 1/7 - 7/8)
[1030131] ['1/7', '7/3', '7/8', '8/7', '9/8'] -> 9/8 * 8/7 * 7/3 / (1/7 * 7/8)
[1030132] ['1/7', '7/3', '7/8', '8/9', '8/9'] -> (7/3 / 7/8 + 8/9) / 1/7 - 8/9
[1030154] ['1/7', '7/3', '7/9', '7/9', '8/3'] -> (8/3 / (1/7 * (7/3 - 7/9)) - 7/9))
[1030156] ['1/7', '7/3', '7/9', '7/9', '8/7'] -> ((7/3 + 7/9) / 1/7 - 7/9) * 8/7
[1030157] ['1/7', '7/3', '7/9', '7/9', '8/9'] -> 7/3 / (1/7 * /9 * /9) * 8/9
[1030162] ['1/7', '7/3', '7/9', '7/9', '9/8'] -> 7/3 / (((1/7 * /9) * /9) * /8
)[1030163] ['1/7', '7/3', '7/9', '8/3', '8/3'] -> 8/3 / (1/7 * 7/3 * 8/3 - 7/9)
[1030171] ['1/7', '7/3', '7/9', '8/3', '9/8'] -> (7/3 + 8/3 / 1/7) / 7/9 / 9/8
[1030174] ['1/7', '7/3', '7/9', '8/5', '8/9'] -> (7/3 / 1/7 - 7/9) * 8/5 - 8/9
[1030181] ['1/7', '7/3', '7/9', '8/7', '8/9'] -> (7/3 + 7/9) * 8/7 / 1/7 - 8/9
[1030187] ['1/7', '7/3', '7/9', '8/9', '8/9'] -> 8/9 / (1/7 * 7/3 * (8/9 - 7/9))
[1030191] ['1/7', '7/3', '7/9', '8/9', '9/7'] -> 9/7 * 8/9 * 7/3 / (1/7 * 7/9)
[1030206] ['1/7', '7/3', '7/9', '9/7', '9/8'] -> 7/3 * 9/7 / 1/7 / 7/9 / 9/8
[1030216] ['1/7', '7/3', '8/3', '8/3', '9/8'] -> 8/3 * 8/3 / 1/7 / 7/3 * 9/8
[1030217] ['1/7', '7/3', '8/3', '8/5', '8/5'] -> 8/3 / 1/7 + 7/3 * 8/5 + 8/5
[1030227] ['1/7', '7/3', '8/3', '8/7', '9/2'] -> (7/3 + 8/7 / (1/7 * /3)) * 9/2
[1030229] ['1/7', '7/3', '8/3', '8/7', '9/5'] -> (7/3 - 8/7 / 8/3) / 1/7 * 9/5
[1030234] ['1/7', '7/3', '8/3', '8/9', '9/4'] -> (8/3 + 8/9) / 1/7 / 7/3 * 9/4
[1030235] ['1/7', '7/3', '8/3', '8/9', '9/5'] -> (7/3 / 1/7 - 8/3 / 8/9) * 9/5
[1030237] ['1/7', '7/3', '8/3', '8/9', '9/8'] -> 9/8 * (8/3 + 8/9 / 7/3) / 1/7
[1030258] ['1/7', '7/3', '8/5', '8/5', '9/5'] -> (8/5 / 1/7 + 8/5) / (7/3 - 9/5)
[1030263] ['1/7', '7/3', '8/5', '8/7', '9/2'] -> 8/5 * (7/3 + 8/7 - 1/7) * 9/2
[1030265] ['1/7', '7/3', '8/5', '8/7', '9/5'] -> (7/3 - 8/7) * 8/5 / 1/7 * 9/5
[1030267] ['1/7', '7/3', '8/5', '8/7', '9/8'] -> 9/8 * (7/3 + 8/7 / 8/5) / 1/7
[1030283] ['1/7', '7/3', '8/5', '9/5', '9/5'] -> (7/3 + 9/5 / 1/7 - 8/5) * 9/5
[1030291] ['1/7', '7/3', '8/7', '8/7', '9/2'] -> (8/7 / 1/7 - 7/3 * 8/7) * 9/2
[1030296] ['1/7', '7/3', '8/7', '8/9', '8/9'] -> (7/3 * 8/7 + 8/9) / 1/7 - 8/9
[1030297] ['1/7', '7/3', '8/7', '8/9', '9/2'] -> (8/7 - 8/9 / 7/3) / 1/7 * 9/2
[1030298] ['1/7', '7/3', '8/7', '8/9', '9/4'] -> (8/7 + 8/9 / 7/3) / 1/7 * 9/4
[1030318] ['1/7', '7/3', '8/9', '8/9', '9/2'] -> (8/9 + 8/9) / 1/7 / 7/3 * 9/2
[1030330] ['1/7', '7/3', '8/9', '9/4', '9/7'] -> 9/7 / (1/7 * (7/3 / 8/9 - 9/4))
[1030335] ['1/7', '7/3', '8/9', '9/7', '9/7'] -> 9/7 * 9/7 * 8/9 * 7/3 / 1/7
[1030345] ['1/7', '7/3', '9/2', '9/4', '9/7'] -> 9/7 / (1/7 * 9/2 * (7/3 - 9/4))
[1030346] ['1/7', '7/3', '9/2', '9/4', '9/8'] -> 7/3 * 9/2 * (1/7 + 9/4) - 9/8
[1030352] ['1/7', '7/3', '9/2', '9/8', '9/8'] -> 9/2 + 7/3 * 9/8 / 1/7 + 9/8
[1030367] ['1/7', '7/3', '9/5', '9/7', '9/8'] -> 9/8 * (7/3 + 9/7 / 9/5) / 1/7
