[1399766] ['2/5', '3/2', '5/4', '7/8', '9/5'] -> (9/5 / ((2/5 + 7/8) - (3/2 / 5/4)))
[1421062] ['2/5', '3/8', '4/5', '7/6', '7/8'] -> ((7/8 * 4/5) / ((2/5 - 3/8) * 7/6))
[1421067] ['2/5', '3/8', '4/5', '7/6', '8/9'] -> ((4/5 / (3/8 - (2/5 / 7/6))) - 8/9)
[1421071] ['2/5', '3/8', '4/5', '7/6', '9/7'] -> (9/7 / (((2/5 / 4/5) / 7/6) - 3/8))
[1421072] ['2/5', '3/8', '4/5', '7/6', '9/8'] -> ((9/8 * 4/5) / ((3/8 * 7/6) - 2/5))
[1421080] ['2/5', '3/8', '4/5', '7/8', '9/4'] -> (9/4 / (((2/5 + 3/8) / 4/5) - 7/8))
[1421088] ['2/5', '3/8', '4/5', '7/9', '8/9'] -> (((4/5 * 7/9) / (2/5 - 3/8)) - 8/9)
[1421094] ['2/5', '3/8', '4/5', '8/3', '8/3'] -> ((8/3 / (2/5 - (3/8 * 4/5))) - 8/3)
[1421095] ['2/5', '3/8', '4/5', '8/3', '8/5'] -> (8/5 / (((4/5 - 2/5) - 3/8) * 8/3))
[1421097] ['2/5', '3/8', '4/5', '8/3', '8/9'] -> ((((4/5 + 8/3) / 2/5) / 3/8) + 8/9)
[1421100] ['2/5', '3/8', '4/5', '8/3', '9/5'] -> (9/5 / (((2/5 + 4/5) / 8/3) - 3/8))
[1421102] ['2/5', '3/8', '4/5', '8/3', '9/8'] -> ((9/8 * 8/3) / ((2/5 / 4/5) - 3/8))
[1421107] ['2/5', '3/8', '4/5', '8/5', '9/4'] -> (((8/5 / (4/5 - 2/5)) / 3/8) * 9/4)
[1421108] ['2/5', '3/8', '4/5', '8/5', '9/5'] -> ((((8/5 / 2/5) / 3/8) / 4/5) * 9/5)
[1421116] ['2/5', '3/8', '4/5', '8/7', '9/7'] -> (((4/5 / (2/5 - 3/8)) - 8/7) / 9/7)
[1421120] ['2/5', '3/8', '4/5', '8/9', '9/4'] -> ((4/5 / ((2/5 / 8/9) - 3/8)) * 9/4)
[1421121] ['2/5', '3/8', '4/5', '8/9', '9/5'] -> (9/5 / (((4/5 - 2/5) / 8/9) - 3/8))
[1421126] ['2/5', '3/8', '4/5', '9/2', '9/5'] -> ((((2/5 / 4/5) + 9/2) / 3/8) * 9/5)
[1421129] ['2/5', '3/8', '4/5', '9/4', '9/4'] -> (9/4 / (3/8 * (9/4 - (4/5 / 2/5))))
[1421133] ['2/5', '3/8', '4/5', '9/5', '9/5'] -> (9/5 / (3/8 * ((4/5 / 2/5) - 9/5)))
[1421138] ['2/5', '3/8', '4/5', '9/8', '9/8'] -> (9/8 / (((3/8 / 2/5) / 4/5) - 9/8))
[1421142] ['2/5', '3/8', '4/7', '4/7', '5/3'] -> (((4/7 / (2/5 - 3/8)) / 4/7) / 5/3)
[1421144] ['2/5', '3/8', '4/7', '4/7', '5/6'] -> ((4/7 / 4/7) / (3/8 - (2/5 * 5/6)))
[1421146] ['2/5', '3/8', '4/7', '4/7', '5/8'] -> ((5/8 / (2/5 - 3/8)) - (4/7 / 4/7))
[1421148] ['2/5', '3/8', '4/7', '4/7', '6/5'] -> ((4/7 / 4/7) / (3/8 - (2/5 / 6/5)))
[1421149] ['2/5', '3/8', '4/7', '4/7', '6/7'] -> (6/7 / (4/7 - ((3/8 * 4/7) / 2/5)))
[1421158] ['2/5', '3/8', '4/7', '4/7', '8/5'] -> (8/5 / ((2/5 / 3/8) - (4/7 / 4/7)))
[1421161] ['2/5', '3/8', '4/7', '4/7', '9/2'] -> ((((4/7 / 2/5) + 4/7) / 3/8) * 9/2)
[1421175] ['2/5', '3/8', '4/7', '4/9', '6/7'] -> (((4/7 / (4/9 - 3/8)) / 2/5) / 6/7)
[1421180] ['2/5', '3/8', '4/7', '4/9', '7/6'] -> (((4/7 / (4/9 - 3/8)) / 2/5) * 7/6)
[1421200] ['2/5', '3/8', '4/7', '5/2', '6/7'] -> (6/7 / (((2/5 - 3/8) * 4/7) * 5/2))
[1421221] ['2/5', '3/8', '4/7', '5/3', '5/8'] -> (5/8 / (5/3 - ((3/8 / 2/5) / 4/7)))
[1421224] ['2/5', '3/8', '4/7', '5/3', '6/7'] -> (6/7 / (3/8 * ((2/5 * 5/3) - 4/7)))
[1421227] ['2/5', '3/8', '4/7', '5/3', '7/4'] -> (((4/7 / (2/5 - 3/8)) / 5/3) * 7/4)
[1421238] ['2/5', '3/8', '4/7', '5/3', '9/5'] -> (9/5 / ((2/5 / 4/7) - (3/8 * 5/3)))
[1421239] ['2/5', '3/8', '4/7', '5/3', '9/7'] -> (9/7 / ((2/5 + (3/8 / 5/3)) - 4/7))
[1421272] ['2/5', '3/8', '4/7', '5/6', '7/4'] -> ((4/7 / (3/8 - (2/5 * 5/6))) * 7/4)
[1421275] ['2/5', '3/8', '4/7', '5/6', '7/8'] -> ((7/8 * 4/7) / ((2/5 - 3/8) * 5/6))
[1421284] ['2/5', '3/8', '4/7', '5/6', '9/7'] -> (9/7 / ((3/8 * (4/7 - 2/5)) * 5/6))
[1421290] ['2/5', '3/8', '4/7', '5/7', '6/7'] -> (((5/7 / (2/5 - 3/8)) - 4/7) * 6/7)
[1421295] ['2/5', '3/8', '4/7', '5/7', '7/6'] -> (((5/7 / (2/5 - 3/8)) - 4/7) / 7/6)
[1421303] ['2/5', '3/8', '4/7', '5/7', '9/4'] -> ((3/8 / (5/7 - (2/5 / 4/7))) - 9/4)
[1421310] ['2/5', '3/8', '4/7', '5/8', '6/7'] -> (6/7 / ((2/5 * 5/8) - (3/8 * 4/7)))
[1421329] ['2/5', '3/8', '4/7', '5/9', '6/7'] -> (6/7 / ((3/8 * (4/7 - 2/5)) * 5/9))
[1421330] ['2/5', '3/8', '4/7', '5/9', '7/2'] -> ((7/2 * 4/7) / ((2/5 * 3/8) * 5/9))
[1421339] ['2/5', '3/8', '4/7', '5/9', '8/7'] -> (8/7 / (((2/5 * 3/8) * 4/7) * 5/9))
[1421346] ['2/5', '3/8', '4/7', '6/5', '6/5'] -> (6/5 / (4/7 * (2/5 - (3/8 / 6/5))))
[1421348] ['2/5', '3/8', '4/7', '6/5', '7/2'] -> (((6/5 / (2/5 - 3/8)) / 4/7) / 7/2)
[1421350] ['2/5', '3/8', '4/7', '6/5', '7/4'] -> ((4/7 / (3/8 - (2/5 / 6/5))) * 7/4)
[1421353] ['2/5', '3/8', '4/7', '6/5', '7/8'] -> (((7/8 * 6/5) * 4/7) / (2/5 - 3/8))
[1421359] ['2/5', '3/8', '4/7', '6/5', '9/2'] -> (9/2 / (3/8 * (6/5 - (2/5 / 4/7))))
[1421362] ['2/5', '3/8', '4/7', '6/5', '9/7'] -> ((9/7 * 6/5) / (3/8 * (4/7 - 2/5)))
[1421372] ['2/5', '3/8', '4/7', '6/7', '8/3'] -> (((4/7 / (2/5 - 3/8)) / 6/7) - 8/3)
[1421378] ['2/5', '3/8', '4/7', '6/7', '9/5'] -> (((6/7 / (4/7 - 2/5)) / 3/8) * 9/5)
[1421379] ['2/5', '3/8', '4/7', '6/7', '9/7'] -> (9/7 / (2/5 * (4/7 - (3/8 / 6/7))))
[1421394] ['2/5', '3/8', '4/7', '7/2', '9/5'] -> ((((4/7 * 7/2) / 2/5) / 3/8) * 9/5)
[1421399] ['2/5', '3/8', '4/7', '7/3', '7/5'] -> (7/5 / (((4/7 - 3/8) * 7/3) - 2/5))
[1421409] ['2/5', '3/8', '4/7', '7/3', '9/5'] -> (9/5 / (3/8 - ((2/5 / 4/7) / 7/3)))
[1421418] ['2/5', '3/8', '4/7', '7/4', '8/5'] -> (8/5 / ((2/5 / 3/8) - (4/7 * 7/4)))
[1421424] ['2/5', '3/8', '4/7', '7/4', '9/7'] -> (9/7 / ((3/8 + (4/7 / 2/5)) - 7/4))
[1421434] ['2/5', '3/8', '4/7', '7/5', '9/2'] -> ((((4/7 * 7/5) / 2/5) / 3/8) * 9/2)
[1421437] ['2/5', '3/8', '4/7', '7/5', '9/7'] -> (9/7 / (((7/5 - 2/5) - 3/8) - 4/7))
[1421442] ['2/5', '3/8', '4/7', '7/6', '8/3'] -> (((4/7 * 7/6) / (2/5 - 3/8)) - 8/3)
[1421448] ['2/5', '3/8', '4/7', '7/6', '9/5'] -> (9/5 / ((3/8 * (4/7 - 2/5)) * 7/6))
[1421449] ['2/5', '3/8', '4/7', '7/6', '9/7'] -> (9/7 / (2/5 * (4/7 - (3/8 * 7/6))))
[1421459] ['2/5', '3/8', '4/7', '7/8', '9/5'] -> (9/5 / (((2/5 * 3/8) * 4/7) * 7/8))
[1421464] ['2/5', '3/8', '4/7', '7/9', '8/5'] -> (8/5 / (((2/5 * 3/8) * 4/7) * 7/9))
[1421483] ['2/5', '3/8', '4/7', '8/5', '8/9'] -> (((8/5 / (4/7 - 2/5)) / 3/8) - 8/9)
[1421493] ['2/5', '3/8', '4/7', '8/7', '9/5'] -> ((((8/7 / 2/5) / 3/8) / 4/7) * 9/5)
[1421507] ['2/5', '3/8', '4/7', '9/4', '9/4'] -> ((((9/4 / 2/5) / 3/8) / 4/7) - 9/4)
[1421514] ['2/5', '3/8', '4/7', '9/7', '9/7'] -> (9/7 / (3/8 * ((4/7 / 2/5) - 9/7)))
[1421519] ['2/5', '3/8', '4/9', '4/9', '5/3'] -> (((4/9 / (2/5 - 3/8)) / 4/9) / 5/3)
[1421523] ['2/5', '3/8', '4/9', '4/9', '5/8'] -> ((5/8 / (2/5 - 3/8)) - (4/9 / 4/9))
[1421525] ['2/5', '3/8', '4/9', '4/9', '6/5'] -> ((4/9 / 4/9) / (3/8 - (2/5 / 6/5)))
[1421531] ['2/5', '3/8', '4/9', '4/9', '7/6'] -> (7/6 / (((3/8 / 2/5) - 4/9) - 4/9))
[1421540] ['2/5', '3/8', '4/9', '4/9', '9/5'] -> (9/5 / ((2/5 / (4/9 + 4/9)) - 3/8))
[1421548] ['2/5', '3/8', '4/9', '5/2', '5/8'] -> (((3/8 + (5/2 / 4/9)) / 2/5) / 5/8)
[1421559] ['2/5', '3/8', '4/9', '5/2', '8/3'] -> (8/3 / (4/9 * (2/5 - (3/8 / 5/2))))
[1421560] ['2/5', '3/8', '4/9', '5/2', '8/5'] -> (((3/8 + (5/2 / 4/9)) / 2/5) * 8/5)
[1421574] ['2/5', '3/8', '4/9', '5/3', '6/5'] -> (6/5 / (3/8 * (2/5 - (4/9 / 5/3))))
[1421579] ['2/5', '3/8', '4/9', '5/3', '7/5'] -> (7/5 / ((3/8 * (5/3 - 4/9)) - 2/5))
[1421592] ['2/5', '3/8', '4/9', '5/4', '5/4'] -> (5/4 / (3/8 * (5/4 - (4/9 / 2/5))))
[1421593] ['2/5', '3/8', '4/9', '5/4', '5/6'] -> (5/6 / ((2/5 * (4/9 - 3/8)) * 5/4))
[1421598] ['2/5', '3/8', '4/9', '5/4', '6/7'] -> ((2/5 / (3/8 - (4/9 / 5/4))) / 6/7)
[1421602] ['2/5', '3/8', '4/9', '5/4', '7/5'] -> (7/5 / (3/8 * ((4/9 * 5/4) - 2/5)))
[1421603] ['2/5', '3/8', '4/9', '5/4', '7/6'] -> ((2/5 / (3/8 - (4/9 / 5/4))) * 7/6)
[1421615] ['2/5', '3/8', '4/9', '5/6', '5/6'] -> ((2/5 / ((5/6 - 3/8) - 4/9)) * 5/6)
[1421617] ['2/5', '3/8', '4/9', '5/6', '5/8'] -> ((5/8 * 2/5) / ((3/8 / 4/9) - 5/6))
[1421618] ['2/5', '3/8', '4/9', '5/6', '5/9'] -> (5/9 / ((2/5 * (4/9 - 3/8)) * 5/6))
[1421622] ['2/5', '3/8', '4/9', '5/6', '7/3'] -> (7/3 / ((3/8 + 5/6) - (4/9 / 2/5)))
[1421624] ['2/5', '3/8', '4/9', '5/6', '7/5'] -> (7/5 / ((2/5 * 3/8) * (5/6 - 4/9)))
[1421633] ['2/5', '3/8', '4/9', '5/6', '9/4'] -> ((4/9 / (3/8 - (2/5 * 5/6))) * 9/4)
[1421636] ['2/5', '3/8', '4/9', '5/6', '9/8'] -> ((9/8 * 4/9) / ((2/5 - 3/8) * 5/6))
[1421651] ['2/5', '3/8', '4/9', '5/7', '8/7'] -> (8/7 / (((2/5 * 3/8) * 4/9) * 5/7))
[1421652] ['2/5', '3/8', '4/9', '5/7', '8/9'] -> (((4/9 / (2/5 - 3/8)) / 5/7) - 8/9)
[1421659] ['2/5', '3/8', '4/9', '5/8', '5/9'] -> (((5/8 / (2/5 - 3/8)) - 4/9) - 5/9)
[1421662] ['2/5', '3/8', '4/9', '5/8', '7/2'] -> (7/2 / ((2/5 - (3/8 * 4/9)) * 5/8))
[1421664] ['2/5', '3/8', '4/9', '5/8', '7/4'] -> (7/4 / (3/8 * (4/9 - (2/5 * 5/8))))
[1421665] ['2/5', '3/8', '4/9', '5/8', '7/5'] -> (7/5 / ((5/8 - (3/8 * 4/9)) - 2/5))
[1421669] ['2/5', '3/8', '4/9', '5/8', '8/3'] -> (8/3 / (((4/9 / 2/5) - 3/8) - 5/8))
[1421670] ['2/5', '3/8', '4/9', '5/8', '8/5'] -> (8/5 / (4/9 * ((2/5 + 3/8) - 5/8)))
[1421673] ['2/5', '3/8', '4/9', '5/8', '9/2'] -> (9/2 / (((2/5 * 5/8) / 4/9) - 3/8))
[1421679] ['2/5', '3/8', '4/9', '5/9', '6/5'] -> (((5/9 / (4/9 - 3/8)) / 2/5) * 6/5)
[1421689] ['2/5', '3/8', '4/9', '5/9', '8/5'] -> (8/5 / (((2/5 / 3/8) - 4/9) - 5/9))
[1421691] ['2/5', '3/8', '4/9', '5/9', '8/9'] -> (8/9 / (((2/5 * 3/8) * 4/9) * 5/9))
[1421692] ['2/5', '3/8', '4/9', '5/9', '9/2'] -> ((((4/9 / 2/5) / 3/8) / 5/9) * 9/2)
[1421697] ['2/5', '3/8', '4/9', '6/5', '6/5'] -> (6/5 / (3/8 * ((4/9 * 6/5) - 2/5)))
[1421700] ['2/5', '3/8', '4/9', '6/5', '7/3'] -> (7/3 / (3/8 - (4/9 / (2/5 + 6/5))))
[1421706] ['2/5', '3/8', '4/9', '6/5', '8/3'] -> (8/3 / ((4/9 - 3/8) * (2/5 + 6/5)))
[1421709] ['2/5', '3/8', '4/9', '6/5', '8/9'] -> ((2/5 / (6/5 - (4/9 / 3/8))) * 8/9)
[1421710] ['2/5', '3/8', '4/9', '6/5', '9/2'] -> (((6/5 / (2/5 - 3/8)) / 4/9) / 9/2)
[1421711] ['2/5', '3/8', '4/9', '6/5', '9/4'] -> ((4/9 / (3/8 - (2/5 / 6/5))) * 9/4)
[1421715] ['2/5', '3/8', '4/9', '6/7', '6/7'] -> (6/7 / (4/9 * ((3/8 / 2/5) - 6/7)))
[1421722] ['2/5', '3/8', '4/9', '6/7', '7/9'] -> (((6/7 / (4/9 - 3/8)) / 2/5) * 7/9)
[1421730] ['2/5', '3/8', '4/9', '6/7', '9/7'] -> (((6/7 / (4/9 - 3/8)) / 2/5) / 9/7)
[1421733] ['2/5', '3/8', '4/9', '7/2', '7/3'] -> (7/3 / ((2/5 * (4/9 - 3/8)) * 7/2))
[1421735] ['2/5', '3/8', '4/9', '7/2', '7/5'] -> (7/5 / ((3/8 * (4/9 - 2/5)) * 7/2))
[1421740] ['2/5', '3/8', '4/9', '7/2', '8/5'] -> ((7/2 / (2/5 - (3/8 * 4/9))) * 8/5)
[1421755] ['2/5', '3/8', '4/9', '7/3', '8/5'] -> (8/5 / (((2/5 / 3/8) / 4/9) - 7/3))
[1421765] ['2/5', '3/8', '4/9', '7/4', '7/6'] -> (7/6 / ((2/5 * (4/9 - 3/8)) * 7/4))
[1421768] ['2/5', '3/8', '4/9', '7/4', '8/3'] -> ((((7/4 / 2/5) - 3/8) / 4/9) * 8/3)
[1421779] ['2/5', '3/8', '4/9', '7/5', '7/8'] -> ((((7/5 / 2/5) / 3/8) / 4/9) / 7/8)
[1421781] ['2/5', '3/8', '4/9', '7/5', '8/3'] -> (8/3 / (((2/5 / 3/8) + 4/9) - 7/5))
[1421783] ['2/5', '3/8', '4/9', '7/5', '8/7'] -> ((((7/5 / 2/5) / 3/8) / 4/9) * 8/7)
[1421784] ['2/5', '3/8', '4/9', '7/5', '8/9'] -> (((4/9 * 7/5) / (2/5 - 3/8)) - 8/9)
[1421785] ['2/5', '3/8', '4/9', '7/5', '9/2'] -> (9/2 / (3/8 * (7/5 - (2/5 / 4/9))))
[1421792] ['2/5', '3/8', '4/9', '7/6', '7/9'] -> (7/9 / ((2/5 * (4/9 - 3/8)) * 7/6))
[1421805] ['2/5', '3/8', '4/9', '7/8', '8/5'] -> ((3/8 / ((2/5 / 4/9) - 7/8)) * 8/5)
[1421823] ['2/5', '3/8', '4/9', '8/3', '8/3'] -> (8/3 / ((4/9 / 2/5) - (3/8 * 8/3)))
[1421835] ['2/5', '3/8', '4/9', '8/5', '9/2'] -> (9/2 / (((2/5 / 4/9) / 8/5) - 3/8))
[1421836] ['2/5', '3/8', '4/9', '8/5', '9/4'] -> (((2/5 + (8/5 / 4/9)) / 3/8) * 9/4)
[1421848] ['2/5', '3/8', '4/9', '8/9', '9/2'] -> ((((4/9 / 2/5) + 8/9) / 3/8) * 9/2)
[1421854] ['2/5', '3/8', '4/9', '9/2', '9/4'] -> (((3/8 + (9/2 / 4/9)) / 2/5) - 9/4)
[1421864] ['2/5', '3/8', '4/9', '9/5', '9/8'] -> ((((9/5 / 2/5) / 3/8) / 4/9) / 9/8)
[1421867] ['2/5', '3/8', '4/9', '9/8', '9/8'] -> ((3/8 / (9/8 - (4/9 / 2/5))) / 9/8)
[1421871] ['2/5', '3/8', '5/2', '5/2', '5/6'] -> ((5/2 / 5/2) / (3/8 - (2/5 * 5/6)))
[1421873] ['2/5', '3/8', '5/2', '5/2', '5/8'] -> ((5/8 / (2/5 - 3/8)) - (5/2 / 5/2))
[1421875] ['2/5', '3/8', '5/2', '5/2', '6/5'] -> ((5/2 / 5/2) / (3/8 - (2/5 / 6/5)))
[1421877] ['2/5', '3/8', '5/2', '5/2', '7/2'] -> ((5/2 + 7/2) / (2/5 - (3/8 / 5/2)))
[1421880] ['2/5', '3/8', '5/2', '5/2', '7/5'] -> (((5/2 + 5/2) / 3/8) * (2/5 + 7/5))
[1421885] ['2/5', '3/8', '5/2', '5/2', '8/5'] -> (8/5 / ((2/5 / 3/8) - (5/2 / 5/2)))
[1421888] ['2/5', '3/8', '5/2', '5/2', '9/2'] -> (((2/5 * (5/2 + 5/2)) / 3/8) * 9/2)
[1421897] ['2/5', '3/8', '5/2', '5/3', '5/8'] -> ((((5/2 / 2/5) / 3/8) - 5/3) / 5/8)
[1421899] ['2/5', '3/8', '5/2', '5/3', '6/5'] -> (6/5 / ((3/8 / (5/2 - 5/3)) - 2/5))
[1421904] ['2/5', '3/8', '5/2', '5/3', '7/5'] -> (7/5 / (((5/2 - 2/5) - 3/8) - 5/3))
[1421908] ['2/5', '3/8', '5/2', '5/3', '8/3'] -> (((5/3 / (2/5 - 3/8)) / 5/2) - 8/3)
[1421909] ['2/5', '3/8', '5/2', '5/3', '8/5'] -> ((((5/2 / 2/5) / 3/8) - 5/3) * 8/5)
[1421920] ['2/5', '3/8', '5/2', '5/4', '5/8'] -> (((5/2 + (5/4 / 2/5)) / 3/8) / 5/8)
[1421931] ['2/5', '3/8', '5/2', '5/4', '8/3'] -> ((((5/2 + 5/4) / 2/5) - 3/8) * 8/3)
[1421932] ['2/5', '3/8', '5/2', '5/4', '8/5'] -> (((5/2 + (5/4 / 2/5)) / 3/8) * 8/5)
[1421940] ['2/5', '3/8', '5/2', '5/6', '5/6'] -> ((((5/2 / 2/5) / 3/8) / 5/6) / 5/6)
[1421943] ['2/5', '3/8', '5/2', '5/6', '5/9'] -> (((5/6 / (2/5 - 3/8)) / 5/2) / 5/9)
[1421944] ['2/5', '3/8', '5/2', '5/6', '6/5'] -> ((((5/2 / 2/5) / 3/8) / 5/6) * 6/5)
[1421946] ['2/5', '3/8', '5/2', '5/6', '7/2'] -> (7/2 / (5/2 * ((5/6 - 2/5) - 3/8)))
[1421953] ['2/5', '3/8', '5/2', '5/6', '8/3'] -> (8/3 / (2/5 * (5/2 - (5/6 / 3/8))))
[1421959] ['2/5', '3/8', '5/2', '5/6', '9/5'] -> (((5/6 / (2/5 - 3/8)) / 5/2) * 9/5)
[1421965] ['2/5', '3/8', '5/2', '5/7', '6/5'] -> ((5/2 / ((3/8 / 5/7) - 2/5)) * 6/5)
[1421971] ['2/5', '3/8', '5/2', '5/7', '7/6'] -> ((5/2 / (3/8 - (2/5 * 5/7))) / 7/6)
[1421983] ['2/5', '3/8', '5/2', '5/8', '5/8'] -> ((((5/2 / 2/5) - 5/8) / 3/8) / 5/8)
[1421994] ['2/5', '3/8', '5/2', '5/8', '8/3'] -> ((((5/2 / 2/5) / 3/8) / 5/8) - 8/3)
[1421995] ['2/5', '3/8', '5/2', '5/8', '8/5'] -> ((((5/2 / 2/5) - 5/8) / 3/8) * 8/5)
[1421998] ['2/5', '3/8', '5/2', '5/8', '9/2'] -> (9/2 / ((5/2 * (5/8 - 2/5)) - 3/8))
[1422000] ['2/5', '3/8', '5/2', '5/8', '9/5'] -> (9/5 / ((5/8 - (3/8 / 5/2)) - 2/5))
[1422006] ['2/5', '3/8', '5/2', '5/9', '7/2'] -> (7/2 / ((3/8 * 5/2) * (5/9 - 2/5)))
[1422014] ['2/5', '3/8', '5/2', '5/9', '8/5'] -> (8/5 / (3/8 * (2/5 - (5/9 / 5/2))))
[1422031] ['2/5', '3/8', '5/2', '6/5', '8/3'] -> ((5/2 * (2/5 + (6/5 / 3/8))) * 8/3)
[1422036] ['2/5', '3/8', '5/2', '6/5', '9/4'] -> ((((2/5 + 6/5) * 5/2) / 3/8) * 9/4)
[1422043] ['2/5', '3/8', '5/2', '6/7', '7/4'] -> (((6/7 / (2/5 - 3/8)) / 5/2) * 7/4)
[1422053] ['2/5', '3/8', '5/2', '6/7', '9/4'] -> (9/4 / (5/2 * ((3/8 / 6/7) - 2/5)))
[1422059] ['2/5', '3/8', '5/2', '7/2', '7/4'] -> ((3/8 + ((5/2 * 7/2) / 2/5)) + 7/4)
[1422065] ['2/5', '3/8', '5/2', '7/2', '8/5'] -> (8/5 / (((2/5 / 3/8) + 5/2) - 7/2))
[1422086] ['2/5', '3/8', '5/2', '7/3', '9/7'] -> (9/7 / (((2/5 * 5/2) / 7/3) - 3/8))
[1422090] ['2/5', '3/8', '5/2', '7/4', '7/6'] -> (((7/4 / (2/5 - 3/8)) / 5/2) / 7/6)
[1422093] ['2/5', '3/8', '5/2', '7/4', '8/3'] -> (((5/2 * (7/4 - 2/5)) / 3/8) * 8/3)
[1422098] ['2/5', '3/8', '5/2', '7/4', '9/4'] -> ((5/2 * ((7/4 / 3/8) - 2/5)) * 9/4)
[1422101] ['2/5', '3/8', '5/2', '7/4', '9/8'] -> ((9/8 * ((5/2 / 2/5) + 7/4)) / 3/8)
[1422103] ['2/5', '3/8', '5/2', '7/5', '7/6'] -> ((5/2 / (3/8 - (2/5 / 7/5))) / 7/6)
[1422123] ['2/5', '3/8', '5/2', '7/6', '9/4'] -> (9/4 / (5/2 * ((3/8 * 7/6) - 2/5)))
[1422125] ['2/5', '3/8', '5/2', '7/6', '9/7'] -> ((9/7 * 7/6) / ((2/5 - 3/8) * 5/2))
[1422130] ['2/5', '3/8', '5/2', '7/8', '8/5'] -> (8/5 / (2/5 * (5/2 - (7/8 / 3/8))))
[1422137] ['2/5', '3/8', '5/2', '7/8', '9/8'] -> (9/8 / (3/8 * ((2/5 * 5/2) - 7/8)))
[1422152] ['2/5', '3/8', '5/2', '8/3', '9/2'] -> ((((2/5 * 5/2) / 3/8) + 8/3) * 9/2)
[1422153] ['2/5', '3/8', '5/2', '8/3', '9/4'] -> ((8/3 / (2/5 - (3/8 / 5/2))) * 9/4)
[1422154] ['2/5', '3/8', '5/2', '8/3', '9/5'] -> (((5/2 / 3/8) + (8/3 / 2/5)) * 9/5)
[1422160] ['2/5', '3/8', '5/2', '8/5', '9/2'] -> (9/2 / (3/8 * ((5/2 - 2/5) - 8/5)))
[1422161] ['2/5', '3/8', '5/2', '8/5', '9/4'] -> (((5/2 / 3/8) + (8/5 / 2/5)) * 9/4)
[1422162] ['2/5', '3/8', '5/2', '8/5', '9/5'] -> ((((2/5 + 8/5) * 5/2) / 3/8) * 9/5)
[1422170] ['2/5', '3/8', '5/2', '8/7', '9/7'] -> (9/7 / (3/8 * (8/7 - (2/5 * 5/2))))
[1422173] ['2/5', '3/8', '5/2', '8/9', '9/2'] -> (9/2 / (5/2 * ((2/5 / 8/9) - 3/8)))
[1422180] ['2/5', '3/8', '5/2', '9/2', '9/5'] -> ((((9/2 - 5/2) / 2/5) / 3/8) * 9/5)
[1422187] ['2/5', '3/8', '5/2', '9/5', '9/5'] -> (9/5 / (((2/5 + 3/8) + 9/5) - 5/2))
[1422188] ['2/5', '3/8', '5/2', '9/5', '9/7'] -> ((9/7 * (5/2 + (9/5 / 2/5))) / 3/8)
[1422192] ['2/5', '3/8', '5/2', '9/8', '9/8'] -> (9/8 / (3/8 * (9/8 - (2/5 * 5/2))))
[1422193] ['2/5', '3/8', '5/3', '5/3', '5/3'] -> (((5/3 / (2/5 - 3/8)) / 5/3) / 5/3)
[1422195] ['2/5', '3/8', '5/3', '5/3', '5/6'] -> ((5/3 / 5/3) / (3/8 - (2/5 * 5/6)))
[1422197] ['2/5', '3/8', '5/3', '5/3', '5/8'] -> ((5/8 / (2/5 - 3/8)) - (5/3 / 5/3))
[1422199] ['2/5', '3/8', '5/3', '5/3', '6/5'] -> ((5/3 / 5/3) / (3/8 - (2/5 / 6/5)))
[1422209] ['2/5', '3/8', '5/3', '5/3', '8/5'] -> (8/5 / ((2/5 / 3/8) - (5/3 / 5/3)))
[1422217] ['2/5', '3/8', '5/3', '5/4', '5/4'] -> (((5/4 / (2/5 - 3/8)) / 5/3) / 5/4)
[1422221] ['2/5', '3/8', '5/3', '5/4', '5/9'] -> ((5/3 / ((2/5 * 5/4) - 3/8)) / 5/9)
[1422226] ['2/5', '3/8', '5/3', '5/4', '7/4'] -> (7/4 / ((2/5 - 3/8) * (5/3 + 5/4)))
[1422240] ['2/5', '3/8', '5/3', '5/6', '5/6'] -> (((5/6 / (2/5 - 3/8)) / 5/3) / 5/6)
[1422247] ['2/5', '3/8', '5/3', '5/6', '7/3'] -> (7/3 / (5/3 * ((5/6 - 2/5) - 3/8)))
[1422262] ['2/5', '3/8', '5/3', '5/7', '5/7'] -> (5/7 / (((2/5 - 3/8) * 5/3) * 5/7))
[1422264] ['2/5', '3/8', '5/3', '5/7', '5/9'] -> ((5/3 / ((3/8 / 5/7) - 2/5)) / 5/9)
[1422266] ['2/5', '3/8', '5/3', '5/7', '6/7'] -> (6/7 / (2/5 * (5/7 - (3/8 * 5/3))))
[1422270] ['2/5', '3/8', '5/3', '5/7', '7/5'] -> ((7/5 * 5/7) / ((2/5 - 3/8) * 5/3))
[1422280] ['2/5', '3/8', '5/3', '5/7', '9/5'] -> ((5/3 / ((3/8 / 5/7) - 2/5)) * 9/5)
[1422281] ['2/5', '3/8', '5/3', '5/7', '9/7'] -> ((9/7 * 5/3) / (3/8 - (2/5 * 5/7)))
[1422284] ['2/5', '3/8', '5/3', '5/8', '5/9'] -> ((5/3 / (3/8 - (2/5 * 5/8))) / 5/9)
[1422298] ['2/5', '3/8', '5/3', '5/8', '9/2'] -> ((5/3 / ((3/8 / 2/5) - 5/8)) * 9/2)
[1422300] ['2/5', '3/8', '5/3', '5/8', '9/5'] -> ((5/3 / (3/8 - (2/5 * 5/8))) * 9/5)
