[1502197] ['2/7', '3/8', '3/8', '4/7', '9/8'] -> 9/8 / 3/8 / (2/7 / 4/7 - 3/8)
[1510745] ['2/7', '4/3', '7/2', '7/3', '8/3'] -> 8/3 / (2/7 * (7/2 - 4/3 * 7/3))
[1510750] ['2/7', '4/3', '7/2', '7/3', '9/4'] -> 4/3 + (7/2 + 7/3) / 2/7 + 9/4
[1510752] ['2/7', '4/3', '7/2', '7/3', '9/7'] -> (4/3 * 7/2 / 2/7 + 7/3) * 9/7
[1510774] ['2/7', '4/3', '7/2', '7/5', '8/7'] -> 8/7 / (2/7 * 7/2 - 4/3 / 7/5)
[1510781] ['2/7', '4/3', '7/2', '7/6', '7/6'] -> 4/3 / (7/6 / 7/2 - 2/7) / 7/6
[1510782] ['2/7', '4/3', '7/2', '7/6', '7/8'] -> (4/3 + 7/2 + 7/6) / 2/7 / 7/8
[1510784] ['2/7', '4/3', '7/2', '7/6', '8/3'] -> 8/3 / ((4/3 / 7/2 - 2/7) * 7/6)
[1510785] ['2/7', '4/3', '7/2', '7/6', '8/5'] -> ((7/2 + 7/6) / 2/7 - 4/3) * 8/5
[1510800] ['2/7', '4/3', '7/2', '7/8', '9/4'] -> 4/3 / (2/7 * 7/2 - 7/8) * 9/4
[1510808] ['2/7', '4/3', '7/2', '7/9', '8/9'] -> 8/9 / (4/3 * 7/9 - 2/7 * 7/2)
[1510810] ['2/7', '4/3', '7/2', '7/9', '9/4'] -> (4/3 + 7/2) / 2/7 / 7/9 + 9/4
[1510814] ['2/7', '4/3', '7/2', '8/3', '8/3'] -> (7/2 * (2/7 + 8/3) - 4/3) * 8/3
[1510815] ['2/7', '4/3', '7/2', '8/3', '8/5'] -> 7/2 * (2/7 + 4/3 + 8/3) * 8/5
[1510823] ['2/7', '4/3', '7/2', '8/5', '8/5'] -> 8/5 / (7/2 * (2/7 + 4/3 - 8/5))
[1510824] ['2/7', '4/3', '7/2', '8/5', '8/7'] -> 8/7 / (2/7 - 4/3 / 7/2 / 8/5)
[1510831] ['2/7', '4/3', '7/2', '8/7', '8/7'] -> 8/7 / (4/3 / 7/2 / 8/7 - 2/7)
[1510847] ['2/7', '4/3', '7/2', '9/2', '9/7'] -> (2/7 + 7/2) * 4/3 * 9/2 + 9/7
[1510850] ['2/7', '4/3', '7/2', '9/4', '9/5'] -> 4/3 * (7/2 / 2/7 - 9/4) * 9/5
[1510863] ['2/7', '4/3', '7/3', '7/3', '7/8'] -> (4/3 + 7/3 + 7/3) / 2/7 / 7/8
[1510865] ['2/7', '4/3', '7/3', '7/3', '8/3'] -> 8/3 / ((4/3 - 2/7) * 7/3 - 7/3)
[1510866] ['2/7', '4/3', '7/3', '7/3', '8/5'] -> ((7/3 + 7/3) / 2/7 - 4/3) * 8/5
[1510893] ['2/7', '4/3', '7/3', '7/5', '8/5'] -> 8/5 / (7/3 - (2/7 + 4/3) * 7/5)
[1510894] ['2/7', '4/3', '7/3', '7/5', '8/7'] -> 8/7 / (7/3 / 7/5 - 2/7 - 4/3)
[1510904] ['2/7', '4/3', '7/3', '7/6', '8/3'] -> 8/3 / (2/7 * 7/3 * (4/3 - 7/6))
[1510906] ['2/7', '4/3', '7/3', '7/6', '8/7'] -> 8/7 / (2/7 * (4/3 + 7/6 - 7/3))
[1510909] ['2/7', '4/3', '7/3', '7/6', '9/4'] -> (4/3 + 7/3 / 2/7 + 7/6) * 9/4
[1510913] ['2/7', '4/3', '7/3', '7/8', '7/8'] -> 7/8 / (7/3 - 7/8 / 2/7 / 4/3)
[1510920] ['2/7', '4/3', '7/3', '7/8', '9/4'] -> (4/3 + 7/3 / 2/7 / 7/8) * 9/4
[1510953] ['2/7', '4/3', '7/3', '8/7', '9/2'] -> (7/3 + 8/7 / 2/7 / 4/3) * 9/2
[1510954] ['2/7', '4/3', '7/3', '8/7', '9/4'] -> (4/3 + 7/3 * 8/7 / 2/7) * 9/4
[1510964] ['2/7', '4/3', '7/3', '9/2', '9/2'] -> (4/3 * 9/2 - 2/7 * 7/3) * 9/2
[1510966] ['2/7', '4/3', '7/3', '9/2', '9/5'] -> 7/3 * (4/3 * 9/2 - 2/7) * 9/5
[1510971] ['2/7', '4/3', '7/3', '9/4', '9/7'] -> 9/7 / (2/7 / (7/3 + 4/3 * 9/4))
[1510979] ['2/7', '4/3', '7/4', '7/4', '7/4'] -> 2/7 / ((4/3 + 7/4) / 7/4 - 7/4)
[1510993] ['2/7', '4/3', '7/4', '7/5', '7/5'] -> 7/5 / ((7/4 - 4/3) / 2/7 - 7/5)
[1511003] ['2/7', '4/3', '7/4', '7/5', '9/5'] -> 4/3 / (7/4 - 7/5) / 2/7 * 9/5
[1511011] ['2/7', '4/3', '7/4', '7/6', '8/7'] -> 8/7 / (2/7 * (7/4 / 7/6 - 4/3))
[1511013] ['2/7', '4/3', '7/4', '7/6', '9/2'] -> (4/3 / 2/7 + 7/6 / 7/4) * 9/2
[1511024] ['2/7', '4/3', '7/4', '7/8', '9/2'] -> 4/3 / (7/4 - 7/8) / 2/7 * 9/2
[1511030] ['2/7', '4/3', '7/4', '7/9', '8/3'] -> 8/3 / (7/9 - 2/7 * 4/3 * 7/4)
[1511032] ['2/7', '4/3', '7/4', '7/9', '8/7'] -> 8/7 / (7/9 / 4/3 / 7/4 - 2/7)
[1511056] ['2/7', '4/3', '7/4', '8/7', '8/7'] -> 8/7 / (7/4 * (4/3 - 8/7) - 2/7)
[1511070] ['2/7', '4/3', '7/4', '9/2', '9/4'] -> 9/4 / (7/4 / 2/7 / 4/3 - 9/2)
[1511089] ['2/7', '4/3', '7/5', '7/5', '8/5'] -> 8/5 / ((4/3 - 2/7) * 7/5 - 7/5)
[1511090] ['2/7', '4/3', '7/5', '7/5', '8/7'] -> 8/7 / (4/3 - 7/5 / 7/5 - 2/7)
[1511095] ['2/7', '4/3', '7/5', '7/5', '9/7'] -> (2/7 + 7/5) / (7/5 - 4/3) - 9/7
[1511101] ['2/7', '4/3', '7/5', '7/6', '8/5'] -> 8/5 / (2/7 * 7/5 * (4/3 - 7/6))
[1511112] ['2/7', '4/3', '7/5', '7/8', '8/5'] -> 8/5 / (2/7 * (7/5 - 4/3 * 7/8))
[1511134] ['2/7', '4/3', '7/5', '8/3', '9/2'] -> (8/3 / 2/7 / 7/5 - 4/3) * 9/2
[1511175] ['2/7', '4/3', '7/6', '7/6', '7/6'] -> 4/3 / (7/6 * 7/6 - 7/6) / 2/7
[1511178] ['2/7', '4/3', '7/6', '7/6', '8/3'] -> 8/3 / 2/7 / (4/3 * 7/6 - 7/6)
[1511180] ['2/7', '4/3', '7/6', '7/6', '8/7'] -> 8/7 / (4/3 - 7/6 / 7/6 - 2/7)
[1511189] ['2/7', '4/3', '7/6', '7/8', '8/3'] -> 8/3 / (2/7 * 4/3 * (7/6 - 7/8))
[1511201] ['2/7', '4/3', '7/6', '7/9', '8/7'] -> 8/7 / (2/7 * (7/6 / 7/9 - 4/3))
[1511203] ['2/7', '4/3', '7/6', '7/9', '9/2'] -> (4/3 / 2/7 + 7/9 / 7/6) * 9/2
[1511208] ['2/7', '4/3', '7/6', '8/3', '8/3'] -> 4/3 * (7/6 / 2/7 + 8/3) * 8/3
[1511210] ['2/7', '4/3', '7/6', '8/3', '8/7'] -> 8/7 / (2/7 * (8/3 - 4/3 - 7/6))
[1511212] ['2/7', '4/3', '7/6', '8/3', '9/2'] -> (8/3 - 4/3 / 7/6) / 2/7 * 9/2
[1511213] ['2/7', '4/3', '7/6', '8/3', '9/4'] -> 4/3 * 8/3 / 2/7 / 7/6 * 9/4
[1511214] ['2/7', '4/3', '7/6', '8/3', '9/5'] -> (4/3 / 7/6 + 8/3) / 2/7 * 9/5
[1511217] ['2/7', '4/3', '7/6', '8/5', '8/5'] -> 8/5 / (2/7 * 7/6 + 4/3 - 8/5)
[1511218] ['2/7', '4/3', '7/6', '8/5', '8/7'] -> 8/7 / (7/6 - 4/3 / 8/5 - 2/7)
[1511228] ['2/7', '4/3', '7/6', '8/7', '9/4'] -> (2/7 / (7/6 - 8/7) - 4/3) * 9/4
[1511230] ['2/7', '4/3', '7/6', '8/7', '9/7'] -> 9/7 / (8/7 - (2/7 + 7/6) / 4/3)
[1511232] ['2/7', '4/3', '7/6', '8/9', '8/9'] -> 8/9 / (7/6 * (2/7 + 8/9) - 4/3)
[1511236] ['2/7', '4/3', '7/6', '8/9', '9/7'] -> 9/7 / (2/7 * (4/3 - 7/6) / 8/9)
[1511239] ['2/7', '4/3', '7/6', '9/2', '9/4'] -> (4/3 / 2/7 + 7/6) * 9/2 - 9/4
[1511251] ['2/7', '4/3', '7/6', '9/7', '9/8'] -> 9/7 / (4/3 - 7/6) / 2/7 / 9/8
[1511257] ['2/7', '4/3', '7/8', '7/8', '8/7'] -> 8/7 / (4/3 - 7/8 / 7/8 - 2/7)
[1511265] ['2/7', '4/3', '7/8', '7/9', '8/3'] -> 8/3 / (2/7 * (4/3 * 7/8 - 7/9))
[1511268] ['2/7', '4/3', '7/8', '7/9', '8/9'] -> 8/9 / (2/7 * 4/3 * (7/8 - 7/9))
[1511283] ['2/7', '4/3', '7/8', '8/5', '8/5'] -> 8/5 / (2/7 * 7/8 * (8/5 - 4/3))
[1511296] ['2/7', '4/3', '7/8', '8/7', '9/7'] -> 9/7 / (8/7 - 2/7 / 4/3 - 7/8)
[1511306] ['2/7', '4/3', '7/8', '9/2', '9/5'] -> (9/2 / 7/8 - 4/3) / 2/7 * 9/5
[1511312] ['2/7', '4/3', '7/8', '9/4', '9/8'] -> 9/8 / (7/8 / 2/7 / 4/3 - 9/4)
[1511322] ['2/7', '4/3', '7/9', '7/9', '8/7'] -> 8/7 / (4/3 - 7/9 / 7/9 - 2/7)
[1511323] ['2/7', '4/3', '7/9', '7/9', '8/9'] -> 8/9 / ((4/3 - 2/7) * 7/9 - 7/9)
[1511329] ['2/7', '4/3', '7/9', '8/3', '8/3'] -> 8/3 / 2/7 / 4/3 / 7/9 * 8/3
[1511333] ['2/7', '4/3', '7/9', '8/3', '9/2'] -> (2/7 + 4/3 / 7/9) * 8/3 * 9/2
[1511334] ['2/7', '4/3', '7/9', '8/3', '9/4'] -> (8/3 / 2/7 / 7/9 - 4/3) * 9/4
[1511335] ['2/7', '4/3', '7/9', '8/3', '9/5'] -> (4/3 + 8/3 / 2/7 / 7/9) * 9/5
[1511363] ['2/7', '4/3', '7/9', '9/2', '9/8'] -> 4/3 * 9/2 / 2/7 / 7/9 / 9/8
[1511376] ['2/7', '4/3', '8/3', '8/3', '8/7'] -> 8/7 / (4/3 - 8/3 / 8/3 - 2/7)
[1511379] ['2/7', '4/3', '8/3', '8/3', '9/4'] -> (8/3 / 2/7 + 8/3 - 4/3) * 9/4
[1511380] ['2/7', '4/3', '8/3', '8/3', '9/5'] -> (4/3 + 8/3 / 2/7 + 8/3) * 9/5
[1511381] ['2/7', '4/3', '8/3', '8/3', '9/7'] -> 8/3 * 8/3 / 2/7 / 4/3 * 9/7
[1511382] ['2/7', '4/3', '8/3', '8/3', '9/8'] -> (8/3 / 2/7 - 4/3) * 8/3 * 9/8
[1511383] ['2/7', '4/3', '8/3', '8/5', '8/5'] -> (4/3 + 8/3) * 8/5 / 2/7 + 8/5
[1511384] ['2/7', '4/3', '8/3', '8/5', '8/7'] -> 8/7 / (8/3 / 8/5 - 2/7 - 4/3)
[1511391] ['2/7', '4/3', '8/3', '8/7', '8/7'] -> 8/7 / (8/7 / 8/3 - 2/7 * 4/3)
[1511392] ['2/7', '4/3', '8/3', '8/7', '8/9'] -> (4/3 + 8/7) / (2/7 / 8/3) + 8/9
[1511401] ['2/7', '4/3', '8/3', '8/9', '9/5'] -> (4/3 * 8/3 / 2/7 + 8/9) * 9/5
[1511409] ['2/7', '4/3', '8/3', '9/4', '9/4'] -> (4/3 / 2/7 + 8/3 * 9/4) * 9/4
[1511424] ['2/7', '4/3', '8/5', '8/5', '9/5'] -> (8/5 + 8/5) / 2/7 / (9/5 - 4/3)
[1511443] ['2/7', '4/3', '8/5', '9/2', '9/7'] -> 9/7 / (2/7 / (4/3 / 8/5 + 9/2))
[1511458] ['2/7', '4/3', '8/7', '8/7', '9/4'] -> 4/3 * (8/7 + 8/7) / 2/7 * 9/4
[1511463] ['2/7', '4/3', '8/7', '8/9', '9/2'] -> (8/7 + 8/9) / 2/7 / 4/3 * 9/2
[1511468] ['2/7', '4/3', '8/7', '9/2', '9/2'] -> 8/7 / (4/3 / 9/2 - 2/7) / 9/2
[1511470] ['2/7', '4/3', '8/7', '9/2', '9/5'] -> (8/7 * 9/2 - 4/3) / 2/7 * 9/5
[1511472] ['2/7', '4/3', '8/7', '9/2', '9/8'] -> (2/7 + 9/2) / (4/3 - 8/7) - 9/8
[1511482] ['2/7', '4/3', '8/7', '9/8', '9/8'] -> 9/8 / ((8/7 - 9/8) / 2/7 / 4/3)
[1511487] ['2/7', '4/3', '8/9', '8/9', '9/7'] -> (2/7 * 8/9 + 8/9) / (4/3 - 9/7)
[1511489] ['2/7', '4/3', '8/9', '9/2', '9/2'] -> 8/9 / (4/3 / 2/7 - 9/2) * 9/2
[1511505] ['2/7', '4/3', '9/2', '9/2', '9/4'] -> 4/3 * 9/2 + 9/2 / 2/7 + 9/4
[1511507] ['2/7', '4/3', '9/2', '9/2', '9/7'] -> 4/3 * (9/2 - 2/7) * 9/2 - 9/7
[1511509] ['2/7', '4/3', '9/2', '9/4', '9/4'] -> (9/2 + 4/3 * 9/4) / 2/7 - 9/4
[1511516] ['2/7', '4/3', '9/2', '9/7', '9/7'] -> 4/3 * (9/2 / 2/7 + 9/7) + 9/7
[1511519] ['2/7', '4/3', '9/4', '9/4', '9/4'] -> 4/3 * ((9/4 + 9/4) / 2/7 + 9/4)
[1511552] ['2/7', '4/5', '4/5', '4/5', '7/3'] -> 4/5 / (2/7 * 7/3 / 4/5 - 4/5)
[1511560] ['2/7', '4/5', '4/5', '4/5', '8/7'] -> 4/5 / (2/7 / (8/7 - 4/5) - 4/5)
[1511578] ['2/7', '4/5', '4/5', '4/7', '7/2'] -> (4/5 + 4/7) / (2/7 - 4/5 / 7/2)
[1511579] ['2/7', '4/5', '4/5', '4/7', '7/3'] -> (4/5 + 4/7) / (4/5 / 7/3 - 2/7)
[1511587] ['2/7', '4/5', '4/5', '4/7', '8/7'] -> (4/5 + 4/7) / (8/7 - 2/7 - 4/5)
[1511636] ['2/7', '4/5', '4/5', '5/2', '8/3'] -> (4/5 / 2/7 + 4/5) * 5/2 * 8/3
[1511675] ['2/7', '4/5', '4/5', '5/4', '6/7'] -> 6/7 / (2/7 + 4/5 / 4/5 - 5/4)
[1511707] ['2/7', '4/5', '4/5', '5/6', '8/7'] -> 8/7 / 2/7 / (4/5 / 4/5 - 5/6)
[1511724] ['2/7', '4/5', '4/5', '5/7', '7/8'] -> (2/7 + 4/5 + 5/7) / (7/8 - 4/5)
[1511753] ['2/7', '4/5', '4/5', '5/8', '9/7'] -> 9/7 / (2/7 * 4/5 + 5/8 - 4/5)
[1511789] ['2/7', '4/5', '4/5', '6/5', '9/5'] -> 9/5 / (4/5 / (6/5 - 2/7) - 4/5)
[1511795] ['2/7', '4/5', '4/5', '6/7', '7/4'] -> (4/5 / (6/7 - 4/5) - 2/7) * 7/4
[1511802] ['2/7', '4/5', '4/5', '6/7', '8/7'] -> (2/7 * 4/5 + 8/7) / (6/7 - 4/5)
[1511816] ['2/7', '4/5', '4/5', '7/2', '8/3'] -> (4/5 * 7/2 / 2/7 - 4/5) * 8/3
[1511904] ['2/7', '4/5', '4/5', '8/3', '9/2'] -> (4/5 / 2/7 - 4/5) * 8/3 * 9/2
[1511905] ['2/7', '4/5', '4/5', '8/3', '9/4'] -> (8/3 / 2/7 - 4/5) / 4/5 * 9/4
[1511910] ['2/7', '4/5', '4/5', '8/5', '8/7'] -> 8/7 / (4/5 / (4/5 + 8/5) - 2/7)
[1511947] ['2/7', '4/5', '4/7', '4/7', '5/2'] -> (4/5 + 4/7) / (2/7 - 4/7 / 5/2)
[1511970] ['2/7', '4/5', '4/7', '4/7', '9/7'] -> 9/7 / (2/7 / 4/5 / 4/7 - 4/7)
[1511974] ['2/7', '4/5', '4/7', '4/9', '5/3'] -> 4/5 / (2/7 / 4/7 - 4/9) * 5/3
[1512014] ['2/7', '4/5', '4/7', '5/2', '8/3'] -> (4/7 + 4/5 * 5/2) / 2/7 * 8/3
[1512039] ['2/7', '4/5', '4/7', '5/3', '8/5'] -> 8/5 / (5/3 - 4/5 * 4/7 / 2/7)
[1512071] ['2/7', '4/5', '4/7', '5/6', '5/7'] -> 4/5 / (2/7 + 4/7 - 5/6) * 5/7
[1512072] ['2/7', '4/5', '4/7', '5/6', '5/8'] -> 2/7 / (5/6 - 4/5) / 4/7 / 5/8
[1512079] ['2/7', '4/5', '4/7', '5/6', '7/5'] -> 4/5 / (2/7 + 4/7 - 5/6) / 7/5
[1512085] ['2/7', '4/5', '4/7', '5/6', '8/7'] -> 8/7 / ((2/7 + 4/7 - 4/5) * 5/6)
[1512116] ['2/7', '4/5', '4/7', '5/8', '6/7'] -> 6/7 / ((2/7 + 4/7 - 4/5) * 5/8)
[1512128] ['2/7', '4/5', '4/7', '5/8', '9/2'] -> 9/2 / ((4/5 - 2/7 / 4/7) * 5/8)
[1512143] ['2/7', '4/5', '4/7', '5/9', '8/3'] -> 8/3 / (4/7 * 5/9 / 4/5 - 2/7)
[1512152] ['2/7', '4/5', '4/7', '6/5', '6/5'] -> 6/5 / (2/7 / (4/5 - 4/7) - 6/5)
[1512159] ['2/7', '4/5', '4/7', '6/5', '7/8'] -> 6/5 / (2/7 + 4/7 - 4/5) / 7/8
[1512161] ['2/7', '4/5', '4/7', '6/5', '8/3'] -> (4/5 + 4/7 + 6/5) / 2/7 * 8/3
[1512163] ['2/7', '4/5', '4/7', '6/5', '8/7'] -> 6/5 / (2/7 + 4/7 - 4/5) * 8/7
[1512211] ['2/7', '4/5', '4/7', '7/3', '8/7'] -> 8/7 / (4/7 / 4/5 - 2/7 * 7/3)
[1512214] ['2/7', '4/5', '4/7', '7/3', '9/4'] -> (4/7 / 4/5 + 7/3) / 2/7 * 9/4
[1512227] ['2/7', '4/5', '4/7', '7/4', '9/2'] -> 9/2 / (7/4 / 4/5 - 4/7 / 2/7)
[1512229] ['2/7', '4/5', '4/7', '7/4', '9/5'] -> 9/5 / (2/7 * 7/4 / 4/7 - 4/5)
[1512230] ['2/7', '4/5', '4/7', '7/4', '9/7'] -> 9/7 / (2/7 * 7/4 / 4/5 - 4/7)
[1512259] ['2/7', '4/5', '4/7', '7/8', '8/3'] -> 4/7 / (7/8 - 4/5) / 2/7 - 8/3
[1512263] ['2/7', '4/5', '4/7', '7/8', '9/2'] -> 9/2 / ((4/7 - 2/7 / 4/5) * 7/8)
[1512264] ['2/7', '4/5', '4/7', '7/8', '9/4'] -> 9/4 / ((7/8 - 4/7) / 4/5 - 2/7)
[1512266] ['2/7', '4/5', '4/7', '7/8', '9/7'] -> 9/7 / (2/7 / 4/5 + 4/7 - 7/8)
[1512279] ['2/7', '4/5', '4/7', '8/3', '8/5'] -> 4/7 / (4/5 - 2/7 * 8/3) * 8/5
[1512280] ['2/7', '4/5', '4/7', '8/3', '8/7'] -> 8/7 / (2/7 * 8/3 - 4/7 / 4/5)
[1512288] ['2/7', '4/5', '4/7', '8/5', '8/7'] -> 8/7 / (2/7 - 4/7 / (4/5 + 8/5))
[1512290] ['2/7', '4/5', '4/7', '8/5', '9/2'] -> 8/5 / (4/5 - 2/7 / 4/7) * 9/2
[1512297] ['2/7', '4/5', '4/7', '8/7', '9/2'] -> 8/7 / (4/7 - 2/7 / 4/5) * 9/2
[1512309] ['2/7', '4/5', '4/7', '9/2', '9/4'] -> 9/2 / (4/5 * 4/7 - 2/7) - 9/4
[1512384] ['2/7', '4/5', '4/9', '5/3', '7/4'] -> 4/5 / (2/7 - 4/9 / 5/3) / 7/4
[1512391] ['2/7', '4/5', '4/9', '5/3', '8/7'] -> 8/7 / (4/9 / 4/5 / 5/3 - 2/7)
[1512455] ['2/7', '4/5', '4/9', '5/7', '8/3'] -> 8/3 / (4/9 * 5/7 / 4/5 - 2/7)
[1512485] ['2/7', '4/5', '4/9', '5/9', '6/5'] -> 4/5 / (5/9 - 4/9) / 2/7 - 6/5
[1512486] ['2/7', '4/5', '4/9', '5/9', '6/7'] -> 6/7 / (2/7 + 4/9 - 5/9 / 4/5)
[1512512] ['2/7', '4/5', '4/9', '6/5', '8/3'] -> (4/5 / 2/7 + 6/5) / 4/9 * 8/3
[1512560] ['2/7', '4/5', '4/9', '7/3', '8/3'] -> 8/3 / (2/7 * 7/3 - 4/9 / 4/5)
[1512562] ['2/7', '4/5', '4/9', '7/3', '8/7'] -> 8/7 / (2/7 - 4/9 / 4/5 / 7/3)
[1512587] ['2/7', '4/5', '4/9', '7/5', '8/3'] -> 8/3 / (4/9 / 4/5 / 7/5 - 2/7)
[1512610] ['2/7', '4/5', '4/9', '7/8', '8/3'] -> 8/3 / (4/5 * (4/9 - 2/7) * 7/8)
[1512690] ['2/7', '4/5', '5/2', '5/2', '8/3'] -> (5/2 / 2/7 + 5/2) * 4/5 * 8/3
[1512691] ['2/7', '4/5', '5/2', '5/2', '8/5'] -> (5/2 + 5/2) * (8/5 / 2/7 - 4/5)
[1512692] ['2/7', '4/5', '5/2', '5/2', '8/7'] -> (5/2 + 5/2) * (4/5 + 8/7 / 2/7)
[1512694] ['2/7', '4/5', '5/2', '5/2', '9/2'] -> (4/5 + 5/2) * 5/2 + 9/2 / 2/7
[1512716] ['2/7', '4/5', '5/2', '5/3', '8/7'] -> 8/7 / (4/5 * 5/2 - 2/7 - 5/3)
[1512718] ['2/7', '4/5', '5/2', '5/3', '9/2'] -> (4/5 * 5/2 / 2/7 - 5/3) * 9/2
[1512729] ['2/7', '4/5', '5/2', '5/4', '6/7'] -> 6/7 / ((4/5 - 2/7) * 5/2 - 5/4)
[1512761] ['2/7', '4/5', '5/2', '5/6', '8/7'] -> 8/7 / (2/7 * 5/2 - 4/5 * 5/6)
[1512780] ['2/7', '4/5', '5/2', '5/7', '8/3'] -> 4/5 * (5/2 + 5/7) / 2/7 * 8/3
[1512806] ['2/7', '4/5', '5/2', '5/8', '9/5'] -> 9/5 / (5/8 / 2/7 / 5/2 - 4/5)
[1512821] ['2/7', '4/5', '5/2', '5/9', '8/7'] -> 8/7 / ((4/5 - 2/7 * 5/2) * 5/9)
[1512839] ['2/7', '4/5', '5/2', '6/5', '8/7'] -> 8/7 / (2/7 * 5/2 - 4/5 / 6/5)
[1512846] ['2/7', '4/5', '5/2', '6/7', '6/7'] -> 6/7 / (2/7 * 5/2 / 4/5 - 6/7)
[1512875] ['2/7', '4/5', '5/2', '7/2', '9/4'] -> (5/2 + 7/2) / 2/7 / 4/5 - 9/4
[1512887] ['2/7', '4/5', '5/2', '7/3', '8/7'] -> 8/7 / (7/3 - 4/5 * 5/2 - 2/7)
[1512889] ['2/7', '4/5', '5/2', '7/3', '9/2'] -> (2/7 + 4/5 * 5/2) * 7/3 * 9/2
[1512891] ['2/7', '4/5', '5/2', '7/3', '9/5'] -> (5/2 + 7/3 / 2/7) / 4/5 * 9/5
[1512926] ['2/7', '4/5', '5/2', '7/6', '8/7'] -> 8/7 / (4/5 - 7/6 / 5/2 - 2/7)
[1512941] ['2/7', '4/5', '5/2', '7/8', '9/5'] -> 9/5 / ((4/5 - 2/7 * 5/2) * 7/8)
[1512942] ['2/7', '4/5', '5/2', '7/8', '9/7'] -> 9/7 / (2/7 * 5/2 * (7/8 - 4/5))
[1512945] ['2/7', '4/5', '5/2', '7/9', '8/3'] -> 4/5 * 5/2 / 2/7 / 7/9 * 8/3
[1512946] ['2/7', '4/5', '5/2', '7/9', '8/5'] -> 8/5 / ((4/5 - 2/7 * 5/2) * 7/9)
[1512956] ['2/7', '4/5', '5/2', '8/3', '8/7'] -> 8/7 / ((2/7 + 4/5) * 5/2 - 8/3)
[1512961] ['2/7', '4/5', '5/2', '8/3', '9/7'] -> 9/7 / (2/7 / 4/5 / 5/2 / 8/3)
[1512964] ['2/7', '4/5', '5/2', '8/5', '8/7'] -> (4/5 + 8/5) / (2/7 / 5/2) * 8/7
[1512966] ['2/7', '4/5', '5/2', '8/5', '9/2'] -> 8/5 / (4/5 / 2/7 - 5/2) * 9/2
[1512969] ['2/7', '4/5', '5/2', '8/5', '9/7'] -> 9/7 / ((4/5 - 2/7 * 5/2) / 8/5)
[1512975] ['2/7', '4/5', '5/2', '8/7', '9/5'] -> 8/7 / (4/5 - 2/7 * 5/2) * 9/5
[1512989] ['2/7', '4/5', '5/2', '9/4', '9/4'] -> 9/4 / (4/5 - 2/7 * 5/2) - 9/4
[1512990] ['2/7', '4/5', '5/2', '9/4', '9/5'] -> 9/5 / ((5/2 - 9/4) / 2/7 - 4/5)
[1513016] ['2/7', '4/5', '5/3', '5/3', '8/7'] -> 8/7 / (5/3 - 4/5 * 5/3 - 2/7)
[1513025] ['2/7', '4/5', '5/3', '5/4', '5/7'] -> 5/7 / (2/7 * (5/3 - 5/4 / 4/5))
[1513039] ['2/7', '4/5', '5/3', '5/4', '8/7'] -> 8/7 / (4/5 * (5/3 - 5/4) - 2/7)
[1513063] ['2/7', '4/5', '5/3', '5/6', '9/2'] -> 4/5 * (5/3 / 2/7 + 5/6) * 9/2
[1513104] ['2/7', '4/5', '5/3', '5/8', '9/2'] -> (5/3 / 2/7 - 4/5 * 5/8) * 9/2
[1513119] ['2/7', '4/5', '5/3', '5/9', '8/3'] -> 8/3 / (5/3 - 4/5 * 5/9 / 2/7)
[1513138] ['2/7', '4/5', '5/3', '6/5', '8/5'] -> 8/5 / (5/3 + 6/5 - 4/5 / 2/7)
[1513141] ['2/7', '4/5', '5/3', '6/5', '9/2'] -> ((4/5 + 6/5) / 2/7 - 5/3) * 9/2
[1513175] ['2/7', '4/5', '5/3', '7/2', '9/4'] -> 5/3 * (4/5 + 7/2 / 2/7) + 9/4
[1513195] ['2/7', '4/5', '5/3', '7/4', '7/5'] -> 4/5 / (7/4 - 5/3) / 2/7 / 7/5
[1513200] ['2/7', '4/5', '5/3', '7/4', '8/5'] -> 8/5 / (5/3 - 4/5 / 2/7 / 7/4)
[1513201] ['2/7', '4/5', '5/3', '7/4', '8/7'] -> 8/7 / (5/3 / 4/5 - 2/7 - 7/4)
[1513214] ['2/7', '4/5', '5/3', '7/5', '8/7'] -> 8/7 / ((5/3 - 7/5) / 4/5 - 2/7)
[1513226] ['2/7', '4/5', '5/3', '7/6', '8/7'] -> 8/7 / (2/7 * (4/5 * 5/3 - 7/6))
[1513239] ['2/7', '4/5', '5/3', '7/8', '9/2'] -> 4/5 * 5/3 / 2/7 / 7/8 * 9/2
[1513247] ['2/7', '4/5', '5/3', '7/9', '8/7'] -> 8/7 / (4/5 - 7/9 / 5/3 - 2/7)
[1513259] ['2/7', '4/5', '5/3', '8/3', '9/4'] -> (4/5 * 5/3 + 8/3 / 2/7) * 9/4
[1513260] ['2/7', '4/5', '5/3', '8/3', '9/5'] -> (5/3 + 8/3 / 2/7 / 4/5) * 9/5
[1513264] ['2/7', '4/5', '5/3', '8/5', '8/7'] -> 8/7 / (8/5 / 4/5 - 2/7 - 5/3)
[1513267] ['2/7', '4/5', '5/3', '8/5', '9/4'] -> 5/3 * (4/5 + 8/5 / 2/7) * 9/4
[1513271] ['2/7', '4/5', '5/3', '8/7', '8/7'] -> 8/7 / (2/7 + 8/7 / 4/5 - 5/3)
[1513305] ['2/7', '4/5', '5/4', '5/4', '6/7'] -> 6/7 / (2/7 + 4/5 * 5/4 - 5/4)
