[1683872] ['3/4', '3/4', '3/5', '7/5', '9/5'] -> (3/5 + 9/5) / (3/4 + 3/4 - 7/5)
[1691761] ['3/4', '3/5', '4/7', '4/7', '9/2'] -> 4/7 / (3/4 - 4/7) / 3/5 * 9/2
[1691775] ['3/4', '3/5', '4/7', '4/9', '6/7'] -> 6/7 / (4/7 / 4/9 - 3/4 / 3/5)
[1691784] ['3/4', '3/5', '4/7', '4/9', '8/5'] -> 8/5 / (3/4 * 4/7 * (3/5 - 4/9))
[1691785] ['3/4', '3/5', '4/7', '4/9', '8/7'] -> 8/7 / ((3/4 - 4/7) * 3/5 * 4/9)
[1691812] ['3/4', '3/5', '4/7', '5/2', '9/2'] -> 9/2 / (3/5 * 5/2 - 3/4 / 4/7)
[1691814] ['3/4', '3/5', '4/7', '5/2', '9/5'] -> 9/5 / (3/5 - 3/4 / 4/7 / 5/2)
[1691815] ['3/4', '3/5', '4/7', '5/2', '9/7'] -> 9/7 / (3/4 * (3/5 - 4/7) * 5/2)
[1691836] ['3/4', '3/5', '4/7', '5/3', '9/2'] -> 9/2 / (3/4 / 4/7 / 5/3 - 3/5)
[1691848] ['3/4', '3/5', '4/7', '5/4', '7/2'] -> 5/4 - 3/4 / (4/7 - 3/5) - 7/2
[1691873] ['3/4', '3/5', '4/7', '5/6', '7/5'] -> 7/5 / ((5/6 - 3/5 / 3/4) / 4/7)
[1691884] ['3/4', '3/5', '4/7', '5/6', '9/7'] -> 9/7 / (3/4 * (4/7 - 3/5 * 5/6))
[1691890] ['3/4', '3/5', '4/7', '5/7', '6/7'] -> 6/7 / (4/7 + 5/7 - 3/4 / 3/5)
[1691898] ['3/4', '3/5', '4/7', '5/7', '8/3'] -> 4/7 / (3/4 - 5/7) / 3/5 - 8/3
[1691909] ['3/4', '3/5', '4/7', '5/8', '6/5'] -> 6/5 / (3/4 - 4/7 * (3/5 + 5/8))
[1691913] ['3/4', '3/5', '4/7', '5/8', '7/4'] -> 3/4 / (3/5 - 4/7) / 5/8 / 7/4
[1691914] ['3/4', '3/5', '4/7', '5/8', '7/5'] -> 7/5 / ((5/8 - 3/5) / 3/4 / 4/7)
[1691922] ['3/4', '3/5', '4/7', '5/8', '9/2'] -> 9/2 / ((3/5 / 4/7 - 3/4) * 5/8)
[1691923] ['3/4', '3/5', '4/7', '5/8', '9/4'] -> 9/4 / (3/4 - 3/5 * 5/8 / 4/7)
[1691924] ['3/4', '3/5', '4/7', '5/8', '9/5'] -> 9/5 / (4/7 * (3/5 - 3/4 * 5/8))
[1691930] ['3/4', '3/5', '4/7', '5/9', '7/2'] -> 7/2 / ((3/4 - 3/5) * 5/9 / 4/7)
[1691933] ['3/4', '3/5', '4/7', '5/9', '7/5'] -> 7/5 / (3/4 * (3/5 - 5/9) / 4/7)
[1691938] ['3/4', '3/5', '4/7', '5/9', '8/5'] -> 8/5 / (3/5 * 4/7 * (3/4 - 5/9))
[1691939] ['3/4', '3/5', '4/7', '5/9', '8/7'] -> 8/7 / ((3/4 - 3/5) * 4/7 * 5/9)
[1691960] ['3/4', '3/5', '4/7', '6/5', '9/4'] -> 3/4 / (6/5 - 3/5 - 4/7) - 9/4
[1691962] ['3/4', '3/5', '4/7', '6/5', '9/7'] -> 9/7 / (3/4 * (4/7 - 3/5 / 6/5))
[1692007] ['3/4', '3/5', '4/7', '7/3', '9/2'] -> (3/4 / 3/5 + 7/3 / 4/7) * 9/2
[1692018] ['3/4', '3/5', '4/7', '7/4', '8/5'] -> 3/4 / (3/5 - 4/7) / 7/4 * 8/5
[1692019] ['3/4', '3/5', '4/7', '7/4', '8/7'] -> 8/7 / (7/4 - 4/7 / 3/5 - 3/4)
[1692021] ['3/4', '3/5', '4/7', '7/4', '9/2'] -> 9/2 / ((3/4 - 4/7) * 3/5 * 7/4)
[1692044] ['3/4', '3/5', '4/7', '7/6', '8/7'] -> 8/7 / (4/7 * (3/4 / 3/5 - 7/6))
[1692048] ['3/4', '3/5', '4/7', '7/6', '9/5'] -> 4/7 / (3/4 / 7/6 - 3/5) * 9/5
[1692054] ['3/4', '3/5', '4/7', '7/8', '8/5'] -> 8/5 / (4/7 * 7/8 / 3/4 - 3/5)
[1692058] ['3/4', '3/5', '4/7', '7/8', '9/4'] -> 9/4 / ((3/4 - 4/7) * 3/5 * 7/8)
[1692075] ['3/4', '3/5', '4/7', '8/3', '8/9'] -> 8/3 / (3/4 - 4/7) / 3/5 - 8/9
[1692084] ['3/4', '3/5', '4/7', '8/5', '9/2'] -> 8/5 / (3/5 / 4/7 - 3/4) * 9/2
[1692085] ['3/4', '3/5', '4/7', '8/5', '9/4'] -> 9/4 / (3/4 - 3/5 / 4/7 / 8/5)
[1692086] ['3/4', '3/5', '4/7', '8/5', '9/5'] -> 9/5 / (4/7 * (3/5 - 3/4 / 8/5))
[1692091] ['3/4', '3/5', '4/7', '8/7', '9/2'] -> 4/7 / (3/4 / 3/5 - 8/7) * 9/2
[1692107] ['3/4', '3/5', '4/7', '9/4', '9/4'] -> 9/4 / (3/4 - 3/5) / 4/7 - 9/4
[1692112] ['3/4', '3/5', '4/7', '9/5', '9/7'] -> 9/7 / (3/4 / (9/5 - 3/5) - 4/7)
[1692116] ['3/4', '3/5', '4/7', '9/8', '9/8'] -> 3/4 / (3/5 - 4/7) - 9/8 - 9/8
[1692118] ['3/4', '3/5', '4/9', '4/9', '5/2'] -> 4/9 / (3/5 - 4/9 / 3/4) / 5/2
[1692134] ['3/4', '3/5', '4/9', '4/9', '8/3'] -> 8/3 / (3/4 * 4/9 / 3/5 - 4/9)
[1692140] ['3/4', '3/5', '4/9', '4/9', '9/5'] -> 9/5 / (3/4 - 3/5 / (4/9 + 4/9))
[1692149] ['3/4', '3/5', '4/9', '5/2', '5/9'] -> 5/9 / ((3/4 - 4/9 / 3/5) * 5/2)
[1692163] ['3/4', '3/5', '4/9', '5/2', '9/2'] -> 9/2 / (3/4 / 4/9 - 3/5 * 5/2)
[1692165] ['3/4', '3/5', '4/9', '5/2', '9/5'] -> 9/5 / (3/4 / 4/9 / 5/2 - 3/5)
[1692170] ['3/4', '3/5', '4/9', '5/3', '5/6'] -> 3/5 / (3/4 / 4/9 - 5/3) * 5/6
[1692174] ['3/4', '3/5', '4/9', '5/3', '6/5'] -> 3/5 / (3/4 / 4/9 - 5/3) / 6/5
[1692184] ['3/4', '3/5', '4/9', '5/3', '8/5'] -> 8/5 / (4/9 * (3/5 - 3/4 / 5/3))
[1692187] ['3/4', '3/5', '4/9', '5/3', '9/2'] -> 3/5 / (3/4 / 5/3 - 4/9) / 9/2
[1692188] ['3/4', '3/5', '4/9', '5/3', '9/4'] -> (5/3 / (3/4 - 3/5) - 4/9) * 9/4
[1692199] ['3/4', '3/5', '4/9', '5/4', '7/2'] -> 7/2 / (3/4 * (3/5 - 4/9) * 5/4)
[1692212] ['3/4', '3/5', '4/9', '5/4', '9/5'] -> 9/5 / (3/4 * (3/5 / 4/9 - 5/4))
[1692218] ['3/4', '3/5', '4/9', '5/6', '5/9'] -> 4/9 / (5/6 - 3/5 / 3/4) / 5/9
[1692222] ['3/4', '3/5', '4/9', '5/6', '7/3'] -> 7/3 / (3/4 * (3/5 - 4/9) * 5/6)
[1692229] ['3/4', '3/5', '4/9', '5/6', '8/5'] -> 8/5 / (5/6 / 3/4 - 3/5 - 4/9)
[1692234] ['3/4', '3/5', '4/9', '5/6', '9/5'] -> 4/9 / (5/6 - 3/5 / 3/4) * 9/5
[1692251] ['3/4', '3/5', '4/9', '5/7', '8/7'] -> 8/7 / ((3/4 - 3/5) * 4/9 * 5/7)
[1692259] ['3/4', '3/5', '4/9', '5/8', '5/9'] -> 3/4 * 4/9 / (5/8 - 3/5) / 5/9
[1692263] ['3/4', '3/5', '4/9', '5/8', '7/3'] -> 7/3 / (3/4 - (3/5 + 4/9) * 5/8)
[1692264] ['3/4', '3/5', '4/9', '5/8', '7/4'] -> 7/4 / (3/4 * (3/5 - 4/9) * 5/8)
[1692265] ['3/4', '3/5', '4/9', '5/8', '7/5'] -> 7/5 / (4/9 * (3/5 - 3/4 * 5/8))
[1692270] ['3/4', '3/5', '4/9', '5/8', '8/5'] -> 8/5 / (3/5 - 3/4 * 4/9 / 5/8)
[1692274] ['3/4', '3/5', '4/9', '5/8', '9/4'] -> 9/4 / (3/5 * 5/8 / 4/9 - 3/4)
[1692275] ['3/4', '3/5', '4/9', '5/8', '9/5'] -> 3/4 * 4/9 / (5/8 - 3/5) * 9/5
[1692278] ['3/4', '3/5', '4/9', '5/9', '5/9'] -> 4/9 / (3/5 - 5/9) / 3/4 / 5/9
[1692288] ['3/4', '3/5', '4/9', '5/9', '8/3'] -> 8/3 / (3/4 * 3/5 * 4/9 * 5/9)
[1692291] ['3/4', '3/5', '4/9', '5/9', '8/9'] -> 8/9 / ((3/4 - 3/5) * 4/9 * 5/9)
[1692292] ['3/4', '3/5', '4/9', '5/9', '9/2'] -> 4/9 / (3/4 - 3/5) / 5/9 * 9/2
[1692294] ['3/4', '3/5', '4/9', '5/9', '9/5'] -> 4/9 / (3/5 - 5/9) / 3/4 * 9/5
[1692300] ['3/4', '3/5', '4/9', '6/5', '7/3'] -> 6/5 / (3/5 - 4/9) / 3/4 * 7/3
[1692307] ['3/4', '3/5', '4/9', '6/5', '8/5'] -> 8/5 / (4/9 * (3/4 + 3/5 - 6/5))
[1692338] ['3/4', '3/5', '4/9', '7/2', '7/9'] -> 7/9 / ((3/4 - 4/9 / 3/5) * 7/2)
[1692369] ['3/4', '3/5', '4/9', '7/4', '8/5'] -> 7/4 / (3/5 - 4/9) / 3/4 * 8/5
[1692373] ['3/4', '3/5', '4/9', '7/4', '9/4'] -> 7/4 / (3/4 - 3/5) / 4/9 - 9/4
[1692379] ['3/4', '3/5', '4/9', '7/5', '7/8'] -> 7/5 / (3/4 - 3/5) / 4/9 / 7/8
[1692383] ['3/4', '3/5', '4/9', '7/5', '8/7'] -> 7/5 / (3/4 - 3/5) / 4/9 * 8/7
[1692393] ['3/4', '3/5', '4/9', '7/6', '8/3'] -> 8/3 / (3/5 * 4/9 * (7/6 - 3/4))
[1692396] ['3/4', '3/5', '4/9', '7/6', '8/9'] -> 8/9 / (4/9 * (3/4 / 3/5 - 7/6))
[1692397] ['3/4', '3/5', '4/9', '7/6', '9/2'] -> 4/9 / (3/4 / 3/5 - 7/6) * 9/2
[1692419] ['3/4', '3/5', '4/9', '7/9', '9/4'] -> 3/4 / (3/5 - 4/9 / 7/9) - 9/4
[1692427] ['3/4', '3/5', '4/9', '8/3', '9/2'] -> (8/3 / 3/5 - 4/9) / 3/4 * 9/2
[1692429] ['3/4', '3/5', '4/9', '8/3', '9/5'] -> 8/3 / 3/4 / 3/5 / 4/9 * 9/5
[1692432] ['3/4', '3/5', '4/9', '8/5', '8/5'] -> 8/5 / (3/5 - 3/4 * 4/9 * 8/5)
[1692435] ['3/4', '3/5', '4/9', '8/5', '9/2'] -> 9/2 / (3/4 * (8/5 - 3/5 / 4/9))
[1692436] ['3/4', '3/5', '4/9', '8/5', '9/4'] -> 9/4 / (3/5 / 4/9 / 8/5 - 3/4)
[1692440] ['3/4', '3/5', '4/9', '8/7', '8/7'] -> 8/7 / (4/9 * (3/4 / 3/5 - 8/7))
[1692447] ['3/4', '3/5', '4/9', '8/9', '8/9'] -> 8/9 / (3/5 * 4/9 * (8/9 - 3/4))
[1692448] ['3/4', '3/5', '4/9', '8/9', '9/2'] -> 4/9 / (8/9 - 3/4) / 3/5 * 9/2
[1692455] ['3/4', '3/5', '4/9', '9/2', '9/5'] -> 4/9 * 9/2 / (3/4 - 3/5) * 9/5
[1692464] ['3/4', '3/5', '4/9', '9/5', '9/8'] -> 9/5 / (3/4 - 3/5) / 4/9 / 9/8
[1692473] ['3/4', '3/5', '5/2', '5/2', '5/8'] -> 3/5 * (5/2 + 5/2) / (3/4 - 5/8)
[1692482] ['3/4', '3/5', '5/2', '5/2', '7/8'] -> 3/5 * (5/2 + 5/2) / (7/8 - 3/4)
[1692488] ['3/4', '3/5', '5/2', '5/2', '9/2'] -> (3/5 * 5/2 + 5/2) / 3/4 * 9/2
[1692497] ['3/4', '3/5', '5/2', '5/3', '5/8'] -> (5/2 / (3/4 - 3/5) - 5/3) / 5/8
[1692509] ['3/4', '3/5', '5/2', '5/3', '8/5'] -> (5/2 / (3/4 - 3/5) - 5/3) * 8/5
[1692521] ['3/4', '3/5', '5/2', '5/4', '5/9'] -> 5/2 / (3/4 - 3/5) / 5/4 / 5/9
[1692522] ['3/4', '3/5', '5/2', '5/4', '6/5'] -> 6/5 / (5/4 / 5/2 - 3/4 * 3/5)
[1692532] ['3/4', '3/5', '5/2', '5/4', '8/5'] -> 8/5 / (5/4 / 3/4 / 5/2 - 3/5)
[1692554] ['3/4', '3/5', '5/2', '5/6', '8/5'] -> 8/5 / (3/4 / 5/2 + 3/5 - 5/6)
[1692559] ['3/4', '3/5', '5/2', '5/6', '9/5'] -> 9/5 / (5/2 * (3/4 - 3/5 / 5/6))
[1692566] ['3/4', '3/5', '5/2', '5/7', '6/7'] -> 6/7 / (3/5 * 5/2 - 3/4 - 5/7)
[1692569] ['3/4', '3/5', '5/2', '5/7', '7/4'] -> 3/5 * 5/2 / (3/4 - 5/7) / 7/4
[1692581] ['3/4', '3/5', '5/2', '5/7', '9/7'] -> 9/7 / (3/5 * 5/2 * (3/4 - 5/7))
[1692585] ['3/4', '3/5', '5/2', '5/8', '6/5'] -> 6/5 / (3/5 - (3/4 + 5/8) / 5/2)
[1692594] ['3/4', '3/5', '5/2', '5/8', '8/3'] -> 5/2 / (3/4 - 3/5) / 5/8 - 8/3
[1692600] ['3/4', '3/5', '5/2', '5/8', '9/5'] -> 9/5 / (3/5 * 5/8 - 3/4 / 5/2)
[1692602] ['3/4', '3/5', '5/2', '5/8', '9/8'] -> 9/8 / (3/4 * 5/2 * (5/8 - 3/5))
[1692668] ['3/4', '3/5', '5/2', '7/2', '9/2'] -> (7/2 - 3/4 / 5/2) / 3/5 * 9/2
[1692685] ['3/4', '3/5', '5/2', '7/3', '9/5'] -> 9/5 / (3/4 * 3/5 * (5/2 - 7/3))
[1692710] ['3/4', '3/5', '5/2', '7/5', '9/2'] -> (3/5 + 5/2 / 3/4 + 7/5) * 9/2
[1692712] ['3/4', '3/5', '5/2', '7/5', '9/5'] -> 9/5 / (3/4 * (3/5 * 5/2 - 7/5))
[1692719] ['3/4', '3/5', '5/2', '7/6', '8/5'] -> 8/5 / (7/6 / (5/2 - 3/4) - 3/5)
[1692746] ['3/4', '3/5', '5/2', '7/9', '9/7'] -> 9/7 / (5/2 * (3/5 / 7/9 - 3/4))
[1692748] ['3/4', '3/5', '5/2', '8/3', '8/3'] -> (3/4 + 3/5) * 5/2 * 8/3 * 8/3
[1692749] ['3/4', '3/5', '5/2', '8/3', '8/5'] -> 8/5 / (5/2 / 3/4 - 3/5 - 8/3)
[1692773] ['3/4', '3/5', '5/2', '8/9', '9/2'] -> 9/2 / (5/2 * (3/4 - 3/5 / 8/9))
[1692778] ['3/4', '3/5', '5/2', '9/2', '9/2'] -> 3/4 + 5/2 * 9/2 / 3/5 + 9/2
[1692790] ['3/4', '3/5', '5/2', '9/7', '9/7'] -> 9/7 / (5/2 * (3/5 * 9/7 - 3/4))
[1692795] ['3/4', '3/5', '5/3', '5/3', '5/6'] -> 3/5 * (5/3 + 5/3) / (5/6 - 3/4)
[1692843] ['3/4', '3/5', '5/3', '5/6', '5/9'] -> 5/3 / (3/4 - 3/5) / 5/6 / 5/9
[1692853] ['3/4', '3/5', '5/3', '5/6', '8/3'] -> 8/3 / (5/6 / 3/4 - 3/5 * 5/3)
[1692854] ['3/4', '3/5', '5/3', '5/6', '8/5'] -> 8/5 / (5/6 / 3/4 / 5/3 - 3/5)
[1692865] ['3/4', '3/5', '5/3', '5/7', '6/5'] -> 6/5 / (3/4 / 5/7 - 3/5 * 5/3)
[1692871] ['3/4', '3/5', '5/3', '5/7', '7/6'] -> 3/5 * 5/3 / (3/4 - 5/7) / 7/6
[1692876] ['3/4', '3/5', '5/3', '5/7', '8/7'] -> 8/7 / (3/5 * 5/3 - 5/7 / 3/4)
[1692878] ['3/4', '3/5', '5/3', '5/7', '9/2'] -> 9/2 / (3/4 / (5/3 - 5/7) - 3/5)
[1692899] ['3/4', '3/5', '5/3', '5/8', '9/4'] -> 9/4 / ((3/5 - 3/4 / 5/3) * 5/8)
[1692904] ['3/4', '3/5', '5/3', '5/9', '6/5'] -> 5/3 / (3/4 - 3/5) / 5/9 * 6/5
[1692919] ['3/4', '3/5', '5/3', '5/9', '9/5'] -> 9/5 / (3/4 / (5/3 - 5/9) - 3/5)
[1692931] ['3/4', '3/5', '5/3', '6/5', '8/3'] -> 3/5 / (5/3 - 6/5 / 3/4) * 8/3
[1692937] ['3/4', '3/5', '5/3', '6/5', '9/5'] -> 5/3 * 6/5 / (3/4 - 3/5) * 9/5
[1692940] ['3/4', '3/5', '5/3', '6/7', '6/7'] -> 6/7 / (3/5 * (5/3 - 3/4 - 6/7))
[1692954] ['3/4', '3/5', '5/3', '6/7', '9/5'] -> 9/5 / (3/5 - 3/4 / 5/3 / 6/7)
[1692955] ['3/4', '3/5', '5/3', '6/7', '9/7'] -> 9/7 / (6/7 / (5/3 - 3/5) - 3/4)
[1692979] ['3/4', '3/5', '5/3', '7/3', '8/3'] -> (5/3 + 7/3) / (3/4 - 3/5) - 8/3
[1692980] ['3/4', '3/5', '5/3', '7/3', '8/5'] -> 8/5 / (3/5 * (7/3 - 5/3 / 3/4))
[1693006] ['3/4', '3/5', '5/3', '7/5', '8/3'] -> 8/3 / (7/5 / 3/5 - 5/3 / 3/4)
[1693007] ['3/4', '3/5', '5/3', '7/5', '8/5'] -> 8/5 / (7/5 - 3/5 * 5/3 / 3/4)
[1693010] ['3/4', '3/5', '5/3', '7/5', '9/2'] -> (5/3 + 7/5 / 3/5) / 3/4 * 9/2
[1693040] ['3/4', '3/5', '5/3', '7/9', '8/5'] -> 8/5 / (3/4 * (5/3 - 7/9) - 3/5)
[1693054] ['3/4', '3/5', '5/3', '8/3', '9/5'] -> 9/5 / (3/5 * (3/4 - 5/3 / 8/3))
[1693061] ['3/4', '3/5', '5/3', '8/5', '9/4'] -> 8/5 / (3/5 - 3/4 / 5/3) * 9/4
[1693062] ['3/4', '3/5', '5/3', '8/5', '9/5'] -> 9/5 / (3/4 / 5/3 - 3/5 / 8/5)
[1693068] ['3/4', '3/5', '5/3', '8/7', '9/4'] -> 9/4 / (5/3 * (3/4 / 8/7 - 3/5))
[1693069] ['3/4', '3/5', '5/3', '8/7', '9/5'] -> 9/5 / (3/5 / 8/7 - 3/4 / 5/3)
[1693074] ['3/4', '3/5', '5/3', '8/9', '9/4'] -> 9/4 / (3/5 - 3/4 / 5/3 / 8/9)
[1693084] ['3/4', '3/5', '5/3', '9/4', '9/5'] -> (9/4 / (3/4 - 3/5) - 5/3) * 9/5
[1693087] ['3/4', '3/5', '5/3', '9/5', '9/5'] -> (3/5 + 9/5) / (3/4 * (9/5 - 5/3))
[1693094] ['3/4', '3/5', '5/4', '5/4', '5/6'] -> (3/5 * 5/4 + 5/4) / (5/6 - 3/4)
[1693108] ['3/4', '3/5', '5/4', '5/4', '8/5'] -> 3/5 * 5/4 / (5/4 / 8/5 - 3/4)
[1693110] ['3/4', '3/5', '5/4', '5/4', '8/9'] -> (5/4 / 3/5 + 5/4) / (8/9 - 3/4)
[1693133] ['3/4', '3/5', '5/4', '5/6', '9/2'] -> 9/2 / (3/4 * 3/5 * (5/4 - 5/6))
[1693155] ['3/4', '3/5', '5/4', '5/7', '9/4'] -> 3/4 / (3/5 - 5/7 / 5/4) - 9/4
[1693160] ['3/4', '3/5', '5/4', '5/8', '5/9'] -> 5/4 / (3/4 - 3/5) / 5/8 / 5/9
[1693171] ['3/4', '3/5', '5/4', '5/8', '8/5'] -> 8/5 / (5/8 / 3/4 / 5/4 - 3/5)
[1693190] ['3/4', '3/5', '5/4', '5/9', '8/5'] -> 5/4 / (3/4 - 3/5) / 5/9 * 8/5
[1693193] ['3/4', '3/5', '5/4', '5/9', '9/2'] -> 9/2 / ((3/4 * 5/4 - 3/5) * 5/9)
[1693198] ['3/4', '3/5', '5/4', '6/5', '6/5'] -> (6/5 + 6/5) / (3/4 + 3/5 - 5/4)
[1693207] ['3/4', '3/5', '5/4', '6/5', '8/3'] -> 3/4 * 3/5 / (5/4 - 6/5) * 8/3
[1693210] ['3/4', '3/5', '5/4', '6/5', '8/9'] -> (3/4 + 3/5) / (5/4 - 6/5) * 8/9
[1693215] ['3/4', '3/5', '5/4', '6/5', '9/8'] -> (3/4 + 3/5) / (5/4 - 6/5) / 9/8
[1693231] ['3/4', '3/5', '5/4', '6/7', '9/7'] -> 9/7 / (5/4 * (3/4 * 6/7 - 3/5))
[1693244] ['3/4', '3/5', '5/4', '7/2', '9/2'] -> (3/4 + 7/2 / 3/5 - 5/4) * 9/2
[1693247] ['3/4', '3/5', '5/4', '7/2', '9/7'] -> 9/7 / ((3/4 - 3/5) * 5/4 / 7/2)
[1693256] ['3/4', '3/5', '5/4', '7/3', '8/5'] -> 8/5 / (7/3 - 5/4 / 3/4 - 3/5)
[1693259] ['3/4', '3/5', '5/4', '7/3', '9/2'] -> 9/2 / (3/4 * (7/3 - 5/4 / 3/5))
[1693270] ['3/4', '3/5', '5/4', '7/4', '8/5'] -> 8/5 / ((7/4 - 5/4) / 3/4 - 3/5)
[1693273] ['3/4', '3/5', '5/4', '7/4', '9/2'] -> 9/2 / (7/4 - 3/4 * 5/4 / 3/5)
[1693282] ['3/4', '3/5', '5/4', '7/5', '8/3'] -> (3/4 + 3/5) / (7/5 - 5/4) * 8/3
[1693283] ['3/4', '3/5', '5/4', '7/5', '8/5'] -> 8/5 / (3/4 + 7/5 - 5/4 / 3/5)
[1693300] ['3/4', '3/5', '5/4', '7/6', '9/5'] -> 9/5 / (3/4 * (3/5 + 7/6) - 5/4)
[1693301] ['3/4', '3/5', '5/4', '7/6', '9/7'] -> 9/7 / (5/4 * (3/4 / 7/6 - 3/5))
[1693316] ['3/4', '3/5', '5/4', '7/9', '8/5'] -> 8/5 / (5/4 - 3/4 * 7/9 - 3/5)
[1693338] ['3/4', '3/5', '5/4', '8/5', '9/5'] -> 5/4 * 8/5 / (3/4 - 3/5) * 9/5
[1693348] ['3/4', '3/5', '5/4', '8/9', '8/9'] -> 8/9 / (5/4 / (3/4 + 3/5) - 8/9)
[1693356] ['3/4', '3/5', '5/4', '9/2', '9/5'] -> 9/2 / (3/4 * 5/4 - 3/5) * 9/5
[1693359] ['3/4', '3/5', '5/4', '9/4', '9/4'] -> (9/4 + 9/4) / ((3/4 - 3/5) * 5/4)
[1693360] ['3/4', '3/5', '5/4', '9/4', '9/5'] -> 9/5 / 3/4 / (3/5 * 9/4 - 5/4)
[1693363] ['3/4', '3/5', '5/4', '9/5', '9/5'] -> (3/5 + 9/5) / (3/4 * 9/5 - 5/4)
[1693375] ['3/4', '3/5', '5/6', '5/6', '7/2'] -> 7/2 / 3/4 / ((5/6 - 3/5) * 5/6)
[1693382] ['3/4', '3/5', '5/6', '5/6', '8/3'] -> 3/5 * 8/3 / (3/4 / 5/6 - 5/6)
[1693388] ['3/4', '3/5', '5/6', '5/6', '9/5'] -> (3/5 + 9/5) / ((5/6 - 3/4) / 5/6)
[1693394] ['3/4', '3/5', '5/6', '5/7', '6/5'] -> 6/5 / (3/4 - 3/5 * 5/6 / 5/7)
[1693405] ['3/4', '3/5', '5/6', '5/7', '8/7'] -> 8/7 / (5/7 - 3/5 * 5/6 / 3/4)
[1693409] ['3/4', '3/5', '5/6', '5/7', '9/5'] -> 9/5 / (5/6 * (3/5 / 5/7 - 3/4))
[1693419] ['3/4', '3/5', '5/6', '5/8', '7/5'] -> 7/5 / (3/5 + 5/6 - 3/4 - 5/8)
[1693427] ['3/4', '3/5', '5/6', '5/8', '9/2'] -> 9/2 / ((3/4 / 5/6 - 3/5) * 5/8)
[1693442] ['3/4', '3/5', '5/6', '5/9', '8/3'] -> 8/3 / (3/5 * 5/6 / 3/4 - 5/9)
[1693453] ['3/4', '3/5', '5/6', '6/5', '7/2'] -> 6/5 / (5/6 - 3/5) / 3/4 * 7/2
[1693466] ['3/4', '3/5', '5/6', '6/5', '9/5'] -> 9/5 / (6/5 - (3/4 + 3/5) * 5/6)
[1693469] ['3/4', '3/5', '5/6', '6/7', '6/7'] -> 6/7 / (5/6 * (3/4 * 6/7 - 3/5))
[1693470] ['3/4', '3/5', '5/6', '6/7', '7/2'] -> 7/2 / ((3/4 - 3/5) * 5/6 / 6/7)
[1693479] ['3/4', '3/5', '5/6', '6/7', '8/7'] -> 8/7 / (5/6 * (6/7 - 3/5 / 3/4))
[1693483] ['3/4', '3/5', '5/6', '6/7', '9/5'] -> 9/5 / (3/5 / 6/7 - 3/4 * 5/6)
[1693484] ['3/4', '3/5', '5/6', '6/7', '9/7'] -> 9/7 / (3/5 * 5/6 * (6/7 - 3/4))
[1693490] ['3/4', '3/5', '5/6', '7/2', '7/6'] -> 7/2 / (3/4 - 3/5) / 5/6 / 7/6
[1693494] ['3/4', '3/5', '5/6', '7/2', '8/5'] -> 8/5 / ((5/6 - 3/5) * 7/2 - 3/4)
[1693497] ['3/4', '3/5', '5/6', '7/2', '9/2'] -> (3/5 * 5/6 + 7/2) / 3/4 * 9/2
[1693504] ['3/4', '3/5', '5/6', '7/3', '7/5'] -> 7/5 / ((3/4 * 5/6 - 3/5) * 7/3)
[1693514] ['3/4', '3/5', '5/6', '7/3', '9/5'] -> 7/3 / (5/6 - 3/5) / 3/4 * 9/5
[1693515] ['3/4', '3/5', '5/6', '7/3', '9/7'] -> 9/7 / ((3/4 - 3/5) * 5/6 / 7/3)
[1693518] ['3/4', '3/5', '5/6', '7/4', '7/5'] -> 7/5 / ((5/6 - 3/5 / 3/4) * 7/4)
[1693532] ['3/4', '3/5', '5/6', '7/5', '7/6'] -> 7/5 / (5/6 - 3/4) / 3/5 / 7/6
[1693541] ['3/4', '3/5', '5/6', '7/5', '9/5'] -> 9/5 / (5/6 * (3/5 * 7/5 - 3/4))
[1693542] ['3/4', '3/5', '5/6', '7/5', '9/7'] -> 9/7 / (5/6 * (3/5 - 3/4 / 7/5))
[1693563] ['3/4', '3/5', '5/6', '7/8', '9/4'] -> 7/8 / (5/6 - 3/5 / 3/4) - 9/4
[1693564] ['3/4', '3/5', '5/6', '7/8', '9/5'] -> 9/5 / (3/5 * (3/4 + 5/6) - 7/8)
[1693565] ['3/4', '3/5', '5/6', '7/8', '9/7'] -> 9/7 / (5/6 * (3/4 - 3/5 / 7/8))
[1693566] ['3/4', '3/5', '5/6', '7/8', '9/8'] -> 9/8 / (5/6 * (3/4 * 7/8 - 3/5))
[1693574] ['3/4', '3/5', '5/6', '7/9', '9/5'] -> 9/5 / ((3/4 + 3/5) * (5/6 - 7/9))
[1693578] ['3/4', '3/5', '5/6', '8/3', '8/5'] -> 8/5 / ((3/4 * 5/6 - 3/5) * 8/3)
[1693582] ['3/4', '3/5', '5/6', '8/3', '9/4'] -> 8/3 / (3/4 - 3/5 * 5/6) * 9/4
[1693585] ['3/4', '3/5', '5/6', '8/3', '9/8'] -> 9/8 / ((3/4 - 3/5) * 5/6 / 8/3)
[1693589] ['3/4', '3/5', '5/6', '8/5', '9/2'] -> 8/5 / (3/4 / 5/6 - 3/5) * 9/2
[1693599] ['3/4', '3/5', '5/6', '8/7', '9/7'] -> 9/7 / (5/6 * (3/4 - 3/5 * 8/7))
[1693600] ['3/4', '3/5', '5/6', '8/7', '9/8'] -> 9/8 / (5/6 * (3/4 / 8/7 - 3/5))
