[2000011] ['5/2', '5/2', '5/2', '5/2', '5/8'] -> ((((5/2 + 5/2) * 5/2) + 5/2) / 5/8)
[2005612] ['5/2', '5/4', '5/4', '5/8', '9/2'] -> ((5/2 * 9/2) / (5/4 - (5/4 * 5/8)))
[2005613] ['5/2', '5/4', '5/4', '5/8', '9/4'] -> ((5/2 + 5/4) / ((5/8 * 9/4) - 5/4))
[2005616] ['5/2', '5/4', '5/4', '5/8', '9/8'] -> ((5/2 + (5/8 / 5/4)) / (5/4 - 9/8))
[2005622] ['5/2', '5/4', '5/4', '5/9', '7/4'] -> ((5/2 / (7/4 - (5/4 * 5/4))) / 5/9)
[2005653] ['5/2', '5/4', '5/4', '6/5', '9/8'] -> ((5/2 * 6/5) / (9/8 - (5/4 / 5/4)))
[2005682] ['5/2', '5/4', '5/4', '7/2', '9/2'] -> ((9/2 / 5/4) / ((7/2 / 5/2) - 5/4))
[2005697] ['5/2', '5/4', '5/4', '7/3', '9/2'] -> ((((5/2 + 5/4) / 5/4) + 7/3) * 9/2)
[2005700] ['5/2', '5/4', '5/4', '7/3', '9/7'] -> (((5/2 / 5/4) / 7/3) / (9/7 - 5/4))
[2005713] ['5/2', '5/4', '5/4', '7/4', '9/5'] -> ((5/2 * 9/5) / (7/4 - (5/4 * 5/4)))
[2005716] ['5/2', '5/4', '5/4', '7/5', '7/5'] -> ((5/2 + 7/5) / ((5/4 * 5/4) - 7/5))
[2005721] ['5/2', '5/4', '5/4', '7/5', '8/5'] -> (((5/2 / 5/4) + 8/5) / (7/5 - 5/4))
[2005726] ['5/2', '5/4', '5/4', '7/5', '9/5'] -> (((5/2 * 9/5) / 5/4) / (7/5 - 5/4))
[2005747] ['5/2', '5/4', '5/4', '7/8', '9/2'] -> (((5/2 * 9/2) / 5/4) / (5/4 - 7/8))
[2005753] ['5/2', '5/4', '5/4', '7/9', '8/3'] -> ((5/2 * 8/3) / (5/4 - (5/4 * 7/9)))
[2005755] ['5/2', '5/4', '5/4', '7/9', '8/7'] -> (((5/2 / 5/4) / 7/9) / (5/4 - 8/7))
[2005766] ['5/2', '5/4', '5/4', '8/3', '9/2'] -> (((5/2 / 5/4) + (5/4 * 8/3)) * 9/2)
[2005774] ['5/2', '5/4', '5/4', '8/5', '9/2'] -> ((5/2 * 9/2) / (5/4 - (5/4 / 8/5)))
[2005775] ['5/2', '5/4', '5/4', '8/5', '9/4'] -> ((9/4 / 5/2) / (8/5 - (5/4 * 5/4)))
[2005776] ['5/2', '5/4', '5/4', '8/5', '9/5'] -> ((9/5 / 5/2) / ((8/5 / 5/4) - 5/4))
[2005796] ['5/2', '5/4', '5/4', '9/2', '9/8'] -> (9/2 / (((5/4 * 5/4) + 9/8) - 5/2))
[2005801] ['5/2', '5/4', '5/4', '9/5', '9/5'] -> (9/5 / (((5/2 * 5/4) - 5/4) - 9/5))
[2005813] ['5/2', '5/4', '5/6', '5/6', '7/2'] -> ((5/2 + 7/2) / (5/4 - (5/6 / 5/6)))
[2005816] ['5/2', '5/4', '5/6', '5/6', '7/5'] -> (((5/2 / 5/6) / 5/6) / (7/5 - 5/4))
[2005821] ['5/2', '5/4', '5/6', '5/6', '8/5'] -> ((5/2 * 8/5) / (5/6 - (5/6 / 5/4)))
[2005826] ['5/2', '5/4', '5/6', '5/6', '9/5'] -> ((5/2 + 5/6) / (5/6 - (5/4 / 9/5)))
[2005833] ['5/2', '5/4', '5/6', '5/7', '6/7'] -> (6/7 / ((5/4 / (5/2 - 5/6)) - 5/7))
[2005846] ['5/2', '5/4', '5/6', '5/7', '9/4'] -> (((5/2 * 5/4) / (5/6 - 5/7)) - 9/4)
[2005851] ['5/2', '5/4', '5/6', '5/8', '5/9'] -> ((5/6 / 5/8) / (5/9 - (5/4 / 5/2)))
[2005862] ['5/2', '5/4', '5/6', '5/8', '8/5'] -> (((5/2 * 5/4) * 8/5) / (5/6 - 5/8))
[2005873] ['5/2', '5/4', '5/6', '5/9', '7/2'] -> ((5/2 + 7/2) / ((5/6 / 5/9) - 5/4))
[2005883] ['5/2', '5/4', '5/6', '5/9', '8/9'] -> (8/9 / ((5/4 / 5/2) - (5/6 * 5/9)))
[2005902] ['5/2', '5/4', '5/6', '6/5', '9/2'] -> ((5/6 + ((5/2 + 5/4) * 6/5)) * 9/2)
[2005913] ['5/2', '5/4', '5/6', '6/7', '7/8'] -> (((5/4 / (6/7 - 5/6)) / 5/2) / 7/8)
[2005915] ['5/2', '5/4', '5/6', '6/7', '8/3'] -> ((5/2 / (5/4 - (5/6 / 6/7))) * 8/3)
[2005917] ['5/2', '5/4', '5/6', '6/7', '8/7'] -> (((5/4 / (6/7 - 5/6)) / 5/2) * 8/7)
[2005929] ['5/2', '5/4', '5/6', '7/2', '7/8'] -> (((5/2 * 7/2) / (5/4 - 5/6)) / 7/8)
[2005932] ['5/2', '5/4', '5/6', '7/2', '8/5'] -> (8/5 / (((7/2 - 5/4) / 5/2) - 5/6))
[2005946] ['5/2', '5/4', '5/6', '7/3', '8/3'] -> (((5/4 / (5/2 - 7/3)) / 5/6) * 8/3)
[2005947] ['5/2', '5/4', '5/6', '7/3', '8/5'] -> (8/5 / (((5/2 / 5/4) / 5/6) - 7/3))
[2005950] ['5/2', '5/4', '5/6', '7/3', '9/2'] -> (((5/6 + (5/2 * 7/3)) / 5/4) * 9/2)
[2005958] ['5/2', '5/4', '5/6', '7/4', '7/8'] -> ((5/2 / (5/6 - (5/4 / 7/4))) / 7/8)
[2005960] ['5/2', '5/4', '5/6', '7/4', '8/3'] -> (((5/2 * (5/4 + 7/4)) / 5/6) * 8/3)
[2005961] ['5/2', '5/4', '5/6', '7/4', '8/5'] -> ((5/4 / ((5/6 + 7/4) - 5/2)) * 8/5)
[2005962] ['5/2', '5/4', '5/6', '7/4', '8/7'] -> ((5/2 / (5/6 - (5/4 / 7/4))) * 8/7)
[2005969] ['5/2', '5/4', '5/6', '7/5', '7/5'] -> (7/5 / ((5/2 - (5/4 * 5/6)) - 7/5))
[2005985] ['5/2', '5/4', '5/6', '7/6', '8/3'] -> ((5/2 * 8/3) / (5/4 - (5/6 * 7/6)))
[2005989] ['5/2', '5/4', '5/6', '7/6', '9/2'] -> (((5/4 * (5/2 + 5/6)) + 7/6) * 9/2)
[2006007] ['5/2', '5/4', '5/6', '7/9', '8/5'] -> (8/5 / (5/2 - ((5/4 + 7/9) / 5/6)))
[2006015] ['5/2', '5/4', '5/6', '8/3', '8/3'] -> (((5/4 / (8/3 - 5/2)) / 5/6) * 8/3)
[2006020] ['5/2', '5/4', '5/6', '8/3', '9/4'] -> (((5/2 + (5/4 / 5/6)) * 8/3) * 9/4)
[2006021] ['5/2', '5/4', '5/6', '8/3', '9/5'] -> (9/5 / ((8/3 / 5/6) - (5/2 * 5/4)))
[2006024] ['5/2', '5/4', '5/6', '8/5', '8/5'] -> (8/5 / (((5/2 * 5/6) / 5/4) - 8/5))
[2006040] ['5/2', '5/4', '5/6', '8/9', '9/2'] -> (((5/2 * 8/9) / (5/4 - 5/6)) * 9/2)
[2006046] ['5/2', '5/4', '5/6', '9/2', '9/4'] -> (((5/2 * (5/6 + 9/2)) / 5/4) * 9/4)
[2006047] ['5/2', '5/4', '5/6', '9/2', '9/5'] -> (((5/4 + 5/6) + (5/2 * 9/2)) * 9/5)
[2006049] ['5/2', '5/4', '5/6', '9/2', '9/8'] -> (((5/2 * 9/2) / (5/4 - 5/6)) / 9/8)
[2006063] ['5/2', '5/4', '5/7', '5/7', '6/5'] -> (6/5 / (5/2 - ((5/4 / 5/7) / 5/7)))
[2006065] ['5/2', '5/4', '5/7', '5/7', '7/2'] -> ((5/2 + 7/2) / (5/4 - (5/7 / 5/7)))
[2006087] ['5/2', '5/4', '5/7', '5/8', '7/4'] -> (((5/2 + 5/4) / (5/7 - 5/8)) / 7/4)
[2006089] ['5/2', '5/4', '5/7', '5/8', '7/6'] -> ((5/2 / ((5/7 + 5/8) - 5/4)) / 7/6)
[2006096] ['5/2', '5/4', '5/7', '5/8', '9/2'] -> (9/2 / ((5/4 / 5/7) - (5/2 * 5/8)))
[2006103] ['5/2', '5/4', '5/7', '5/9', '6/7'] -> (6/7 / ((5/4 + (5/7 / 5/9)) - 5/2))
[2006138] ['5/2', '5/4', '5/7', '6/7', '6/7'] -> (6/7 / (((5/2 - 5/4) * 5/7) - 6/7))
[2006150] ['5/2', '5/4', '5/7', '6/7', '9/2'] -> ((5/4 + ((5/2 / 5/7) / 6/7)) * 9/2)
[2006151] ['5/2', '5/4', '5/7', '6/7', '9/4'] -> (((5/2 + 5/4) / (6/7 - 5/7)) - 9/4)
[2006162] ['5/2', '5/4', '5/7', '7/2', '8/3'] -> ((((5/2 + 5/7) * 7/2) / 5/4) * 8/3)
[2006218] ['5/2', '5/4', '5/7', '7/6', '8/7'] -> (8/7 / (((5/4 / 5/2) + 5/7) - 7/6))
[2006220] ['5/2', '5/4', '5/7', '7/6', '9/2'] -> ((5/4 + ((5/2 * 7/6) / 5/7)) * 9/2)
[2006248] ['5/2', '5/4', '5/7', '8/3', '8/7'] -> (8/7 / (((5/2 / 5/4) + 5/7) - 8/3))
[2006258] ['5/2', '5/4', '5/7', '8/5', '9/2'] -> (9/2 / ((5/4 / 5/7) - (5/2 / 8/5)))
[2006261] ['5/2', '5/4', '5/7', '8/5', '9/7'] -> (9/7 / ((5/4 / 5/2) - (5/7 / 8/5)))
[2006288] ['5/2', '5/4', '5/7', '9/7', '9/7'] -> (9/7 / ((5/2 * (5/4 - 5/7)) - 9/7))
[2006293] ['5/2', '5/4', '5/8', '5/8', '6/5'] -> ((5/2 * 6/5) / (5/8 - (5/8 / 5/4)))
[2006295] ['5/2', '5/4', '5/8', '5/8', '7/2'] -> ((5/2 + 7/2) / (5/4 - (5/8 / 5/8)))
[2006299] ['5/2', '5/4', '5/8', '5/8', '7/6'] -> ((5/2 / (5/4 - 7/6)) / (5/8 + 5/8))
[2006300] ['5/2', '5/4', '5/8', '5/8', '7/8'] -> (((5/2 + 5/4) / (7/8 - 5/8)) / 5/8)
[2006315] ['5/2', '5/4', '5/8', '5/9', '7/3'] -> (7/3 / (((5/4 + 5/9) / 5/2) - 5/8))
[2006326] ['5/2', '5/4', '5/8', '5/9', '9/4'] -> (((5/2 + 5/4) / (5/8 - 5/9)) / 9/4)
[2006330] ['5/2', '5/4', '5/8', '6/5', '6/5'] -> (6/5 / (((5/2 * 5/8) / 5/4) - 6/5))
[2006345] ['5/2', '5/4', '5/8', '6/5', '9/5'] -> (9/5 / ((6/5 - (5/4 / 5/2)) - 5/8))
[2006348] ['5/2', '5/4', '5/8', '6/7', '6/7'] -> (6/7 / ((5/8 * 6/7) - (5/4 / 5/2)))
[2006365] ['5/2', '5/4', '5/8', '7/2', '7/2'] -> (((5/8 / 5/4) + 7/2) * (5/2 + 7/2))
[2006369] ['5/2', '5/4', '5/8', '7/2', '7/6'] -> ((7/2 / (5/8 - (5/4 / 5/2))) / 7/6)
[2006370] ['5/2', '5/4', '5/8', '7/2', '7/8'] -> ((((5/2 + 5/4) * 7/2) / 5/8) / 7/8)
[2006372] ['5/2', '5/4', '5/8', '7/2', '8/3'] -> (((5/2 * (7/2 - 5/4)) / 5/8) * 8/3)
[2006374] ['5/2', '5/4', '5/8', '7/2', '8/7'] -> ((((5/2 + 5/4) * 7/2) / 5/8) * 8/7)
[2006377] ['5/2', '5/4', '5/8', '7/2', '9/4'] -> (9/4 / (5/8 * ((7/2 / 5/2) - 5/4)))
[2006379] ['5/2', '5/4', '5/8', '7/2', '9/7'] -> (9/7 / (5/8 - ((5/2 / 5/4) / 7/2)))
[2006384] ['5/2', '5/4', '5/8', '7/3', '7/6'] -> ((5/2 / (5/8 - (5/4 / 7/3))) / 7/6)
[2006388] ['5/2', '5/4', '5/8', '7/3', '8/5'] -> (8/5 / (5/4 - ((5/8 + 7/3) / 5/2)))
[2006394] ['5/2', '5/4', '5/8', '7/3', '9/7'] -> ((9/7 * 7/3) / (5/8 - (5/4 / 5/2)))
[2006396] ['5/2', '5/4', '5/8', '7/4', '7/4'] -> ((5/4 + 7/4) / ((5/2 - 5/8) - 7/4))
[2006398] ['5/2', '5/4', '5/8', '7/4', '7/6'] -> ((5/2 / ((5/4 / 7/4) - 5/8)) / 7/6)
[2006401] ['5/2', '5/4', '5/8', '7/4', '8/3'] -> (((5/4 + (5/2 * 7/4)) / 5/8) * 8/3)
[2006406] ['5/2', '5/4', '5/8', '7/4', '9/4'] -> (9/4 / (5/4 * ((7/4 / 5/2) - 5/8)))
[2006407] ['5/2', '5/4', '5/8', '7/4', '9/5'] -> (9/5 / ((5/8 + (7/4 / 5/2)) - 5/4))
[2006414] ['5/2', '5/4', '5/8', '7/5', '8/3'] -> (((5/2 / (7/5 - 5/4)) / 5/8) - 8/3)
[2006415] ['5/2', '5/4', '5/8', '7/5', '8/5'] -> (8/5 / (7/5 - (5/2 / (5/4 + 5/8))))
[2006418] ['5/2', '5/4', '5/8', '7/5', '9/2'] -> (9/2 / ((5/4 * 7/5) - (5/2 * 5/8)))
[2006419] ['5/2', '5/4', '5/8', '7/5', '9/4'] -> (9/4 / (5/8 * ((5/4 + 7/5) - 5/2)))
[2006420] ['5/2', '5/4', '5/8', '7/5', '9/5'] -> (9/5 / (((5/4 * 7/5) / 5/2) - 5/8))
[2006421] ['5/2', '5/4', '5/8', '7/5', '9/7'] -> (9/7 / ((5/4 / 5/2) - (5/8 / 7/5)))
[2006437] ['5/2', '5/4', '5/8', '7/8', '8/3'] -> ((5/2 / (7/8 - (5/4 * 5/8))) - 8/3)
[2006438] ['5/2', '5/4', '5/8', '7/8', '8/5'] -> (((5/2 + 5/4) / (7/8 - 5/8)) * 8/5)
[2006444] ['5/2', '5/4', '5/8', '7/8', '9/7'] -> (9/7 / (5/8 - ((5/4 / 5/2) / 7/8)))
[2006445] ['5/2', '5/4', '5/8', '7/8', '9/8'] -> (9/8 / ((5/8 * 7/8) - (5/4 / 5/2)))
[2006457] ['5/2', '5/4', '5/8', '8/3', '8/5'] -> (8/5 / (((5/8 + 8/3) / 5/2) - 5/4))
[2006461] ['5/2', '5/4', '5/8', '8/3', '9/4'] -> (((5/2 * 8/3) / (5/4 - 5/8)) * 9/4)
[2006462] ['5/2', '5/4', '5/8', '8/3', '9/5'] -> ((((5/2 * 5/4) * 8/3) / 5/8) * 9/5)
[2006464] ['5/2', '5/4', '5/8', '8/3', '9/8'] -> ((8/3 / (5/8 - (5/4 / 5/2))) * 9/8)
[2006470] ['5/2', '5/4', '5/8', '8/5', '9/5'] -> (9/5 / (5/4 * ((8/5 / 5/8) - 5/2)))
[2006472] ['5/2', '5/4', '5/8', '8/5', '9/8'] -> (9/8 / (5/4 * (8/5 - (5/2 * 5/8))))
[2006478] ['5/2', '5/4', '5/8', '8/7', '9/7'] -> (9/7 / (5/8 - ((5/4 * 8/7) / 5/2)))
[2006479] ['5/2', '5/4', '5/8', '8/7', '9/8'] -> (9/8 / ((5/8 / 8/7) - (5/4 / 5/2)))
[2006481] ['5/2', '5/4', '5/8', '8/9', '9/2'] -> ((((5/2 + 5/4) * 8/9) / 5/8) * 9/2)
[2006486] ['5/2', '5/4', '5/8', '9/2', '9/2'] -> (9/2 / ((5/2 * (5/4 + 5/8)) - 9/2))
[2006488] ['5/2', '5/4', '5/8', '9/2', '9/5'] -> (9/5 / ((5/4 + 5/8) - (9/2 / 5/2)))
[2006490] ['5/2', '5/4', '5/8', '9/2', '9/8'] -> ((((5/2 + 5/4) * 9/2) / 5/8) / 9/8)
[2006492] ['5/2', '5/4', '5/8', '9/4', '9/5'] -> (9/5 / ((5/2 - (9/4 / 5/4)) - 5/8))
[2006495] ['5/2', '5/4', '5/8', '9/5', '9/5'] -> (9/5 / (((5/2 + 5/8) - 5/4) - 9/5))
[2006504] ['5/2', '5/4', '5/9', '5/9', '7/2'] -> ((5/2 + 7/2) / (5/4 - (5/9 / 5/9)))
[2006510] ['5/2', '5/4', '5/9', '5/9', '7/9'] -> ((5/9 + 7/9) / (5/9 - (5/4 / 5/2)))
[2006529] ['5/2', '5/4', '5/9', '6/5', '8/3'] -> (8/3 / ((5/4 * 6/5) - (5/2 * 5/9)))
[2006530] ['5/2', '5/4', '5/9', '6/5', '8/5'] -> (8/5 / ((5/9 - (5/4 / 5/2)) * 6/5))
[2006532] ['5/2', '5/4', '5/9', '6/5', '8/9'] -> (8/9 / ((5/4 / 5/2) - (5/9 / 6/5)))
[2006548] ['5/2', '5/4', '5/9', '6/7', '8/7'] -> (8/7 / ((5/9 - (5/4 / 5/2)) * 6/7))
[2006571] ['5/2', '5/4', '5/9', '7/3', '7/3'] -> (7/3 / ((5/4 * (5/2 - 5/9)) - 7/3))
[2006572] ['5/2', '5/4', '5/9', '7/3', '7/4'] -> ((7/3 / (5/9 - (5/4 / 5/2))) / 7/4)
[2006577] ['5/2', '5/4', '5/9', '7/3', '8/3'] -> (8/3 / (((5/2 + 5/9) / 5/4) - 7/3))
[2006578] ['5/2', '5/4', '5/9', '7/3', '8/5'] -> (8/5 / ((7/3 / (5/2 + 5/4)) - 5/9))
[2006614] ['5/2', '5/4', '5/9', '7/6', '7/8'] -> ((7/6 / (5/9 - (5/4 / 5/2))) / 7/8)
[2006618] ['5/2', '5/4', '5/9', '7/6', '8/7'] -> ((7/6 / (5/9 - (5/4 / 5/2))) * 8/7)
[2006621] ['5/2', '5/4', '5/9', '7/6', '9/4'] -> (((5/2 / (5/4 - 7/6)) / 5/9) / 9/4)
[2006637] ['5/2', '5/4', '5/9', '7/9', '8/3'] -> (((5/2 / (7/9 - 5/9)) / 5/4) * 8/3)
[2006638] ['5/2', '5/4', '5/9', '7/9', '8/5'] -> (8/5 / ((7/9 / (5/2 - 5/4)) - 5/9))
[2006646] ['5/2', '5/4', '5/9', '8/3', '8/3'] -> (8/3 / ((8/3 - (5/2 / 5/4)) - 5/9))
[2006647] ['5/2', '5/4', '5/9', '8/3', '8/5'] -> ((((5/2 * 5/4) * 8/3) / 5/9) * 8/5)
[2006651] ['5/2', '5/4', '5/9', '8/3', '9/4'] -> ((8/3 / (5/2 - (5/4 / 5/9))) * 9/4)
[2006696] ['5/2', '5/4', '6/5', '6/5', '7/5'] -> (((5/2 * 6/5) * 6/5) / (7/5 - 5/4))
[2006700] ['5/2', '5/4', '6/5', '6/5', '8/3'] -> (((5/2 + 5/4) * (6/5 + 6/5)) * 8/3)
[2006704] ['5/2', '5/4', '6/5', '6/5', '9/2'] -> ((6/5 + 6/5) * ((5/2 * 9/2) - 5/4))
[2006706] ['5/2', '5/4', '6/5', '6/5', '9/5'] -> ((6/5 + 9/5) / (5/2 * (5/4 - 6/5)))
[2006710] ['5/2', '5/4', '6/5', '6/7', '7/2'] -> (((6/7 / (5/4 - 6/5)) / 5/2) * 7/2)
[2006713] ['5/2', '5/4', '6/5', '6/7', '7/5'] -> ((7/5 * 6/7) / ((5/2 - 5/4) - 6/5))
[2006730] ['5/2', '5/4', '6/5', '7/2', '7/6'] -> (((7/2 / (5/4 - 6/5)) / 5/2) / 7/6)
[2006748] ['5/2', '5/4', '6/5', '7/3', '8/3'] -> (((5/4 * 6/5) / (5/2 - 7/3)) * 8/3)
[2006749] ['5/2', '5/4', '6/5', '7/3', '8/5'] -> (8/5 / (((5/2 * 6/5) / 5/4) - 7/3))
[2006755] ['5/2', '5/4', '6/5', '7/3', '9/7'] -> ((9/7 * 7/3) / (5/2 * (5/4 - 6/5)))
[2006762] ['5/2', '5/4', '6/5', '7/4', '8/3'] -> (((5/2 * 6/5) * (5/4 + 7/4)) * 8/3)
[2006771] ['5/2', '5/4', '6/5', '7/5', '7/5'] -> (7/5 / ((5/2 - (5/4 / 6/5)) - 7/5))
[2006772] ['5/2', '5/4', '6/5', '7/5', '7/6'] -> ((7/5 / ((5/2 - 5/4) - 6/5)) / 7/6)
[2006791] ['5/2', '5/4', '6/5', '7/6', '9/2'] -> ((5/2 * (6/5 + (7/6 / 5/4))) * 9/2)
[2006803] ['5/2', '5/4', '6/5', '7/8', '9/4'] -> (9/4 / ((5/4 * (6/5 + 7/8)) - 5/2))
[2006804] ['5/2', '5/4', '6/5', '7/8', '9/5'] -> (9/5 / ((6/5 + 7/8) - (5/2 / 5/4)))
[2006809] ['5/2', '5/4', '6/5', '7/9', '8/5'] -> (8/5 / (5/2 - (6/5 * (5/4 + 7/9))))
[2006817] ['5/2', '5/4', '6/5', '8/3', '8/3'] -> (((5/4 * 6/5) / (8/3 - 5/2)) * 8/3)
[2006822] ['5/2', '5/4', '6/5', '8/3', '9/4'] -> (((5/2 + (5/4 * 6/5)) * 8/3) * 9/4)
[2006823] ['5/2', '5/4', '6/5', '8/3', '9/5'] -> (9/5 / ((6/5 * 8/3) - (5/2 * 5/4)))
[2006825] ['5/2', '5/4', '6/5', '8/3', '9/8'] -> ((9/8 * 8/3) / (5/2 * (5/4 - 6/5)))
[2006826] ['5/2', '5/4', '6/5', '8/5', '8/5'] -> (8/5 / (((5/2 / 5/4) / 6/5) - 8/5))
[2006829] ['5/2', '5/4', '6/5', '8/5', '9/2'] -> (((5/4 + (5/2 / 6/5)) * 8/5) * 9/2)
[2006847] ['5/2', '5/4', '6/5', '9/2', '9/2'] -> ((((5/2 / 6/5) + 9/2) - 5/4) * 9/2)
[2006853] ['5/2', '5/4', '6/5', '9/4', '9/5'] -> (9/5 / (6/5 - ((5/4 * 9/4) / 5/2)))
[2006862] ['5/2', '5/4', '6/7', '6/7', '6/7'] -> (6/7 / (((5/2 * 6/7) - 5/4) - 6/7))
[2006863] ['5/2', '5/4', '6/7', '6/7', '7/2'] -> ((5/2 + 7/2) / (5/4 - (6/7 / 6/7)))
[2006878] ['5/2', '5/4', '6/7', '6/7', '9/8'] -> (((5/2 * 6/7) + 6/7) / (5/4 - 9/8))
[2006879] ['5/2', '5/4', '6/7', '7/2', '7/2'] -> (7/2 / (((5/2 * 5/4) / 6/7) - 7/2))
[2006882] ['5/2', '5/4', '6/7', '7/2', '7/5'] -> (7/5 / ((5/4 / 6/7) - (7/2 / 5/2)))
[2006890] ['5/2', '5/4', '6/7', '7/2', '9/2'] -> (((5/2 + (7/2 / 6/7)) - 5/4) * 9/2)
[2006892] ['5/2', '5/4', '6/7', '7/2', '9/5'] -> ((5/2 * (5/4 + (7/2 / 6/7))) * 9/5)
[2006924] ['5/2', '5/4', '6/7', '7/5', '7/5'] -> (7/5 / (((5/2 - 5/4) / 6/7) - 7/5))
[2006932] ['5/2', '5/4', '6/7', '7/5', '9/2'] -> ((5/4 + ((5/2 * 7/5) / 6/7)) * 9/2)
[2006940] ['5/2', '5/4', '6/7', '7/6', '8/3'] -> (8/3 / ((5/4 + (7/6 / 6/7)) - 5/2))
[2006944] ['5/2', '5/4', '6/7', '7/6', '9/2'] -> (((5/2 / 6/7) + (5/4 + 7/6)) * 9/2)
[2006945] ['5/2', '5/4', '6/7', '7/6', '9/4'] -> ((5/2 / (7/6 - (5/4 * 6/7))) - 9/4)
[2006955] ['5/2', '5/4', '6/7', '7/8', '9/2'] -> (9/2 / (((5/2 - 6/7) * 7/8) - 5/4))
[2006979] ['5/2', '5/4', '6/7', '8/5', '8/5'] -> (8/5 / (((5/2 / 6/7) - 5/4) - 8/5))
[2006985] ['5/2', '5/4', '6/7', '8/5', '9/7'] -> (9/7 / (5/4 * ((5/2 - 6/7) - 8/5)))
[2006989] ['5/2', '5/4', '6/7', '8/7', '9/2'] -> (9/2 / (((5/2 - 6/7) / 8/7) - 5/4))
[2007007] ['5/2', '5/4', '6/7', '9/4', '9/7'] -> (9/7 / (5/4 * ((9/4 / 5/2) - 6/7)))
[2007016] ['5/2', '5/4', '7/2', '7/2', '7/3'] -> ((7/2 - 5/4) * (5/2 + (7/2 * 7/3)))
[2007022] ['5/2', '5/4', '7/2', '7/2', '8/3'] -> ((((5/2 / 5/4) + 7/2) + 7/2) * 8/3)
[2007031] ['5/2', '5/4', '7/2', '7/3', '7/3'] -> ((5/4 + ((5/2 * 7/2) * 7/3)) + 7/3)
[2007042] ['5/2', '5/4', '7/2', '7/3', '9/4'] -> (((5/4 * 7/2) / (5/2 - 7/3)) - 9/4)
[2007046] ['5/2', '5/4', '7/2', '7/4', '7/4'] -> ((5/2 + 7/2) / (5/4 - (7/4 / 7/4)))
[2007051] ['5/2', '5/4', '7/2', '7/4', '8/3'] -> ((((5/2 + 5/4) + 7/2) + 7/4) * 8/3)
[2007056] ['5/2', '5/4', '7/2', '7/4', '9/4'] -> (((5/2 * 7/2) * (5/4 + 7/4)) - 9/4)
[2007077] ['5/2', '5/4', '7/2', '7/6', '8/5'] -> (8/5 / ((7/2 - (7/6 / 5/4)) - 5/2))
[2007080] ['5/2', '5/4', '7/2', '7/6', '9/2'] -> (((5/2 + (7/2 * 7/6)) - 5/4) * 9/2)
[2007082] ['5/2', '5/4', '7/2', '7/6', '9/5'] -> ((5/2 * (5/4 + (7/2 * 7/6))) * 9/5)
[2007088] ['5/2', '5/4', '7/2', '7/8', '8/5'] -> ((((5/2 + 5/4) * 7/2) / 7/8) * 8/5)
[2007092] ['5/2', '5/4', '7/2', '7/8', '9/4'] -> (9/4 / ((5/2 + (5/4 * 7/8)) - 7/2))
[2007097] ['5/2', '5/4', '7/2', '7/9', '8/3'] -> ((((5/2 * 7/2) / 5/4) / 7/9) * 8/3)
[2007106] ['5/2', '5/4', '7/2', '8/3', '8/3'] -> (((5/4 + (5/2 * 7/2)) * 8/3) - 8/3)
[2007113] ['5/2', '5/4', '7/2', '8/3', '9/7'] -> ((((9/7 * 8/3) * 7/2) * 5/2) / 5/4)
[2007116] ['5/2', '5/4', '7/2', '8/5', '8/7'] -> ((((5/2 + 5/4) * 7/2) * 8/5) * 8/7)
[2007119] ['5/2', '5/4', '7/2', '8/5', '9/4'] -> ((8/5 / ((7/2 / 5/2) - 5/4)) * 9/4)
[2007126] ['5/2', '5/4', '7/2', '8/7', '9/4'] -> (9/4 / ((5/2 + (5/4 / 8/7)) - 7/2))
[2007131] ['5/2', '5/4', '7/2', '8/9', '9/2'] -> (9/2 / (((7/2 / 8/9) - 5/2) - 5/4))
[2007145] ['5/2', '5/4', '7/2', '9/5', '9/5'] -> (9/5 / (((5/4 * 7/2) - 5/2) - 9/5))
[2007157] ['5/2', '5/4', '7/3', '7/3', '8/3'] -> ((7/3 + 8/3) / (5/4 * (5/2 - 7/3)))
[2007167] ['5/2', '5/4', '7/3', '7/4', '7/5'] -> ((5/2 / (7/3 - (5/4 * 7/4))) * 7/5)
[2007193] ['5/2', '5/4', '7/3', '7/6', '7/6'] -> ((7/3 / ((5/2 - 5/4) - 7/6)) / 7/6)
[2007208] ['5/2', '5/4', '7/3', '7/8', '8/5'] -> (8/5 / (((7/3 + 7/8) / 5/4) - 5/2))
[2007209] ['5/2', '5/4', '7/3', '7/8', '8/7'] -> (8/7 / (7/3 - ((5/2 / 5/4) / 7/8)))
[2007211] ['5/2', '5/4', '7/3', '7/8', '9/2'] -> ((((5/2 * 7/3) / 5/4) / 7/8) * 9/2)
[2007231] ['5/2', '5/4', '7/3', '8/3', '9/4'] -> ((7/3 + ((5/2 * 5/4) * 8/3)) * 9/4)
[2007245] ['5/2', '5/4', '7/3', '8/7', '9/2'] -> ((((5/2 * 7/3) * 8/7) / 5/4) * 9/2)
[2007261] ['5/2', '5/4', '7/3', '9/4', '9/4'] -> ((5/2 + (7/3 * (5/4 + 9/4))) * 9/4)
[2007268] ['5/2', '5/4', '7/3', '9/7', '9/7'] -> (9/7 / (((5/2 * 5/4) / 7/3) - 9/7))
[2007274] ['5/2', '5/4', '7/4', '7/4', '7/8'] -> ((5/4 + 7/4) / ((7/4 + 7/8) - 5/2))
