[1755806] ['3/5', '3/8', '5/3', '7/8', '8/5'] -> 8/5 / (7/8 / 3/8 - 3/5 - 5/3)
[1785113] ['3/5', '5/7', '8/3', '8/3', '9/2'] -> (3/5 * 8/3 + 8/3 / 5/7) * 9/2
[1785114] ['3/5', '5/7', '8/3', '8/3', '9/4'] -> (8/3 / 5/7 + 8/3) / 3/5 * 9/4
[1785126] ['3/5', '5/7', '8/3', '8/7', '8/7'] -> 8/7 / (8/3 - 8/7 / 3/5 - 5/7)
[1785128] ['3/5', '5/7', '8/3', '8/7', '9/2'] -> (8/3 + 8/7 / (3/5 * /7)) * 9/2
[1785134] ['3/5', '5/7', '8/3', '8/9', '9/2'] -> (8/3 / (3/5 * /7) - 8/9) * 9/2
[1785135] ['3/5', '5/7', '8/3', '8/9', '9/4'] -> 8/3 / ((5/7 - 3/5) * /9) - 9/4
[1785139] ['3/5', '5/7', '8/3', '9/2', '9/2'] -> (3/5 + 8/3 / 5/7) * 9/2 + 9/2
[1785149] ['3/5', '5/7', '8/3', '9/5', '9/7'] -> 9/7 / (5/7 * (9/5 / 8/3 - 3/5))
[1785151] ['3/5', '5/7', '8/3', '9/7', '9/7'] -> 9/7 / (9/7 / 8/3 - 3/5 * 5/7)
[1785157] ['3/5', '5/7', '8/5', '8/5', '9/2'] -> (8/5 / (3/5 * /7) + 8/5) * 9/2
[1785162] ['3/5', '5/7', '8/5', '8/7', '8/7'] -> 8/7 / ((8/5 - 8/7) / 3/5 - 5/7)
[1785167] ['3/5', '5/7', '8/5', '8/7', '9/7'] -> 9/7 / (8/7 - 3/5 / 8/5 - 5/7)
[1785187] ['3/5', '5/7', '8/5', '9/7', '9/7'] -> 9/7 / (3/5 * (9/7 / 8/5 - 5/7))
[1785190] ['3/5', '5/7', '8/7', '8/7', '8/7'] -> 8/7 / (8/7 / 3/5 - 5/7 - 8/7)
[1785192] ['3/5', '5/7', '8/7', '8/7', '9/2'] -> (8/7 + 8/7) / 3/5 / 5/7 * 9/2
[1785195] ['3/5', '5/7', '8/7', '8/7', '9/7'] -> (8/7 + 8/7) / (9/7 - 5/7 / 3/5)
[1785201] ['3/5', '5/7', '8/7', '8/9', '9/7'] -> 9/7 * 8/9 / (5/7 / 3/5 - 8/7)
[1785204] ['3/5', '5/7', '8/7', '9/2', '9/4'] -> 9/2 / (3/5 + 5/7 - 8/7) - 9/4
[1785216] ['3/5', '5/7', '8/7', '9/7', '9/8'] -> 9/7 / (((5/7 / 3/5) - 8/7) * /8
)[1785236] ['3/5', '5/7', '8/9', '9/7', '9/7'] -> 9/7 / (5/7 / (3/5 * /9) - 9/7)
[1785240] ['3/5', '5/7', '9/2', '9/2', '9/4'] -> 3/5 + 9/2 * 9/2 + 9/4 / 5/7
[1785242] ['3/5', '5/7', '9/2', '9/2', '9/7'] -> (9/2 / 3/5 + 9/2) * (5/7 + 9/7)
[1785243] ['3/5', '5/7', '9/2', '9/2', '9/8'] -> (9/2 + 9/2) / 5/7 / (9/8 - 3/5)
[1785268] ['3/5', '5/7', '9/5', '9/7', '9/8'] -> (9/5 + 9/7) / (5/7 - 3/5) / 9/8
[1785294] ['3/5', '5/8', '5/8', '5/9', '5/9'] -> 5/8 / (5/8 - 3/5) - 5/9 / 5/9
[1785295] ['3/5', '5/8', '5/8', '5/9', '6/5'] -> 6/5 / (3/5 * 5/8 / 5/9 - 5/8)
[1785298] ['3/5', '5/8', '5/8', '5/9', '7/3'] -> 7/3 / (5/8 * (3/5 + 5/9) - 5/8)
[1785305] ['3/5', '5/8', '5/8', '5/9', '8/5'] -> 5/8 * 8/5 / 3/5 / (5/8 - 5/9)
[1785313] ['3/5', '5/8', '5/8', '6/5', '6/5'] -> 5/8 / (5/8 - 3/5) - 6/5 / 6/5
[1785315] ['3/5', '5/8', '5/8', '6/5', '7/2'] -> 7/2 / (5/8 / 6/5 - 3/5 * 5/8)
[1785327] ['3/5', '5/8', '5/8', '6/5', '9/4'] -> (9/4 / (5/8 * (5/8 * 6/5)) - 3/5))
[1785331] ['3/5', '5/8', '5/8', '6/7', '6/7'] -> 5/8 / (5/8 - 3/5) - 6/7 / 6/7
[1785343] ['3/5', '5/8', '5/8', '6/7', '9/2'] -> 9/2 / (5/8 - 3/5 * 5/8 / 6/7)
[1785346] ['3/5', '5/8', '5/8', '6/7', '9/7'] -> (9/7 / (3/5 * 5/8) - (5/8 * 6/7)))
[1785347] ['3/5', '5/8', '5/8', '6/7', '9/8'] -> (9/8 / (5/8 * (3/5 / 6/7)) - 5/8))
[1785348] ['3/5', '5/8', '5/8', '7/2', '7/2'] -> 5/8 / (5/8 - 3/5) - 7/2 / 7/2
[1785353] ['3/5', '5/8', '5/8', '7/2', '7/8'] -> (5/8 + 7/2) / 5/8 / (7/8 - 3/5)
[1785364] ['3/5', '5/8', '5/8', '7/3', '7/3'] -> 5/8 / (5/8 - 3/5) - 7/3 / 7/3
[1785368] ['3/5', '5/8', '5/8', '7/3', '7/8'] -> (7/8 / (5/8 * (5/8 - 3/5)) * 7/3))
[1785374] ['3/5', '5/8', '5/8', '7/3', '9/2'] -> (3/5 + (5/8 + 7/3) / 5/8) * 9/2
[1785379] ['3/5', '5/8', '5/8', '7/4', '7/4'] -> 5/8 / (5/8 - 3/5) - 7/4 / 7/4
[1785389] ['3/5', '5/8', '5/8', '7/4', '9/4'] -> 9/4 / (5/8 * (7/4 - 3/5) - 5/8)
[1785390] ['3/5', '5/8', '5/8', '7/4', '9/5'] -> 9/5 / ((3/5 + 5/8) / 7/4 - 5/8)
[1785393] ['3/5', '5/8', '5/8', '7/5', '7/5'] -> 5/8 / (5/8 - 3/5) - 7/5 / 7/5
[1785406] ['3/5', '5/8', '5/8', '7/6', '7/6'] -> 5/8 / (5/8 - 3/5) - 7/6 / 7/6
[1785407] ['3/5', '5/8', '5/8', '7/6', '7/8'] -> (7/8 / (5/8 * (3/5 + 5/8)) - 7/6))
[1785413] ['3/5', '5/8', '5/8', '7/6', '9/2'] -> 9/2 / (5/8 - 3/5 * 5/8 * 7/6)
[1785416] ['3/5', '5/8', '5/8', '7/6', '9/7'] -> (9/7 / (3/5 * 5/8) - (5/8 / 7/6)))
[1785417] ['3/5', '5/8', '5/8', '7/6', '9/8'] -> (9/8 / (5/8 * (3/5 * 7/6)) - 5/8))
[1785418] ['3/5', '5/8', '5/8', '7/8', '7/8'] -> 5/8 / (5/8 - 3/5) - 7/8 / 7/8
[1785425] ['3/5', '5/8', '5/8', '7/8', '9/4'] -> (9/4 / ((3/5 * /8) * 7/8) - 5/8))
[1785426] ['3/5', '5/8', '5/8', '7/8', '9/5'] -> (9/5 / (3/5 * (5/8 / 5/8)) - 7/8))
[1785427] ['3/5', '5/8', '5/8', '7/8', '9/7'] -> (9/7 / (3/5 * (5/8 / 7/8)) - 5/8))
[1785428] ['3/5', '5/8', '5/8', '7/8', '9/8'] -> (9/8 / (3/5 * 5/8) - (5/8 * 7/8)))
[1785429] ['3/5', '5/8', '5/8', '7/9', '7/9'] -> 5/8 / (5/8 - 3/5) - 7/9 / 7/9
[1785430] ['3/5', '5/8', '5/8', '7/9', '8/3'] -> 8/3 / (5/8 * 7/9 - 3/5 * 5/8)
[1785439] ['3/5', '5/8', '5/8', '8/3', '8/3'] -> 5/8 / (5/8 - 3/5) - 8/3 / 8/3
[1785444] ['3/5', '5/8', '5/8', '8/3', '9/4'] -> 8/3 / (5/8 - 3/5 * 5/8) * 9/4
[1785456] ['3/5', '5/8', '5/8', '8/7', '8/7'] -> 5/8 / (5/8 - 3/5) - 8/7 / 8/7
[1785461] ['3/5', '5/8', '5/8', '8/7', '9/7'] -> (9/7 / (3/5 * (5/8 * 8/7)) - 5/8))
[1785462] ['3/5', '5/8', '5/8', '8/7', '9/8'] -> (9/8 / (3/5 * 5/8) - (5/8 / 8/7)))
[1785463] ['3/5', '5/8', '5/8', '8/9', '8/9'] -> 5/8 / (5/8 - 3/5) - 8/9 / 8/9
[1785468] ['3/5', '5/8', '5/8', '8/9', '9/8'] -> (9/8 / (3/5 * (5/8 / 8/9)) - 5/8))
[1785469] ['3/5', '5/8', '5/8', '9/2', '9/2'] -> 5/8 / (5/8 - 3/5) - 9/2 / 9/2
[1785473] ['3/5', '5/8', '5/8', '9/2', '9/8'] -> (9/2 / ((3/5 * /8) * 9/8) - 5/8))
[1785474] ['3/5', '5/8', '5/8', '9/4', '9/4'] -> 5/8 / (5/8 - 3/5) - 9/4 / 9/4
[1785478] ['3/5', '5/8', '5/8', '9/5', '9/5'] -> 5/8 / (5/8 - 3/5) - 9/5 / 9/5
[1785481] ['3/5', '5/8', '5/8', '9/7', '9/7'] -> 5/8 / (5/8 - 3/5) - 9/7 / 9/7
[1785485] ['3/5', '5/8', '5/9', '5/9', '6/5'] -> 5/9 / ((3/5 - 5/9) * /8) * 6/5
[1785497] ['3/5', '5/8', '5/9', '5/9', '8/9'] -> 8/9 / (5/9 / 3/5 - 5/9 / 5/8)
[1785500] ['3/5', '5/8', '5/9', '5/9', '9/5'] -> 5/9 / ((5/8 - 5/9) * /5) * 9/5
[1785503] ['3/5', '5/8', '5/9', '6/5', '6/5'] -> 6/5 / (((5/8 - 5/9) * /5) * /5
)[1785506] ['3/5', '5/8', '5/9', '6/5', '7/3'] -> 7/3 / (3/5 * (5/8 - 5/9 / 6/5))
[1785511] ['3/5', '5/8', '5/9', '6/5', '7/9'] -> 3/5 / (6/5 - 5/8 - 5/9) * 7/9
[1785512] ['3/5', '5/8', '5/9', '6/5', '8/3'] -> 5/9 * 6/5 / (5/8 - 3/5) - 8/3
[1785516] ['3/5', '5/8', '5/9', '6/5', '9/2'] -> 9/2 / (5/8 / 6/5 - 3/5 * 5/9)
[1785519] ['3/5', '5/8', '5/9', '6/5', '9/7'] -> 3/5 / (((6/5 - 5/8) - 5/9) * /7
)[1785526] ['3/5', '5/8', '5/9', '6/7', '7/6'] -> 6/7 / ((5/8 - 5/9) * /5) * 7/6
[1785528] ['3/5', '5/8', '5/9', '6/7', '7/9'] -> 6/7 / ((3/5 - 5/9) * /8) * 7/9
[1785536] ['3/5', '5/8', '5/9', '6/7', '9/7'] -> 6/7 / (((3/5 - 5/9) * /8) * /7
)[1785538] ['3/5', '5/8', '5/9', '7/2', '7/2'] -> 7/2 / (((5/8 - 5/9) * /5) * /2
)[1785539] ['3/5', '5/8', '5/9', '7/2', '7/3'] -> 7/3 / ((3/5 - 5/9) * 5/8 * 7/2)
[1785542] ['3/5', '5/8', '5/9', '7/2', '7/6'] -> 7/6 / ((5/8 - 3/5) * 5/9 * 7/2)
[1785545] ['3/5', '5/8', '5/9', '7/2', '8/3'] -> (7/2 / 5/8 - 3/5) / 5/9 * 8/3
[1785554] ['3/5', '5/8', '5/9', '7/3', '7/3'] -> 7/3 / (3/5 * (5/8 - 5/9) * 7/3)
[1785559] ['3/5', '5/8', '5/9', '7/3', '7/9'] -> 7/9 / ((5/8 - 3/5) * 5/9 * 7/3)
[1785564] ['3/5', '5/8', '5/9', '7/3', '9/2'] -> (7/3 / 3/5 - 5/9) / 5/8 * 9/2
[1785569] ['3/5', '5/8', '5/9', '7/4', '7/4'] -> 7/4 / (((5/8 - 5/9) * /5) * /4
)[1785571] ['3/5', '5/8', '5/9', '7/4', '7/6'] -> 7/6 / ((3/5 - 5/9) * 5/8 * 7/4)
[1785580] ['3/5', '5/8', '5/9', '7/4', '9/5'] -> 9/5 / (5/8 / 5/9 - 3/5 * 7/4)
[1785583] ['3/5', '5/8', '5/9', '7/5', '7/5'] -> 7/5 / (((5/8 - 5/9) * /5) * /5
)[1785587] ['3/5', '5/8', '5/9', '7/5', '8/3'] -> 8/3 / (5/8 * (5/9 * 7/5 - 3/5))
[1785596] ['3/5', '5/8', '5/9', '7/6', '7/6'] -> 7/6 / (((5/8 - 5/9) * /5) * /6
)[1785605] ['3/5', '5/8', '5/9', '7/6', '9/5'] -> 3/5 / (((5/8 + 5/9) - 7/6) * /5
)[1785608] ['3/5', '5/8', '5/9', '7/8', '7/8'] -> 7/8 / (((5/8 - 5/9) * /5) * /8
)[1785610] ['3/5', '5/8', '5/9', '7/8', '8/3'] -> 8/3 / (5/9 * 7/8 - 3/5 * 5/8)
[1785611] ['3/5', '5/8', '5/9', '7/8', '8/5'] -> 8/5 / ((3/5 - 5/9) * (5/8 + 7/8))
[1785612] ['3/5', '5/8', '5/9', '7/8', '8/7'] -> 7/8 / ((5/8 - 5/9) * /5) * 8/7
[1785616] ['3/5', '5/8', '5/9', '7/8', '9/5'] -> 3/5 / (((5/9 / 5/8) - 7/8) * /5
)[1785619] ['3/5', '5/8', '5/9', '7/9', '7/9'] -> 7/9 / (3/5 * (5/8 - 5/9) * 7/9)
[1785621] ['3/5', '5/8', '5/9', '7/9', '8/5'] -> 8/5 / (3/5 * (5/9 / 5/8 - 7/9))
[1785629] ['3/5', '5/8', '5/9', '8/3', '8/3'] -> 8/3 / (3/5 * (5/8 - 5/9) * 8/3)
[1785633] ['3/5', '5/8', '5/9', '8/3', '9/2'] -> (5/9 / 5/8 + 8/3 / 3/5) * 9/2
[1785638] ['3/5', '5/8', '5/9', '8/5', '8/5'] -> 8/5 / (3/5 * (5/8 - 5/9) * 8/5)
[1785646] ['3/5', '5/8', '5/9', '8/7', '8/7'] -> 8/7 / (3/5 * (5/8 - 5/9) * 8/7)
[1785658] ['3/5', '5/8', '5/9', '8/9', '9/8'] -> 9/8 * 8/9 / (3/5 * (5/8 - 5/9))
[1785659] ['3/5', '5/8', '5/9', '9/2', '9/2'] -> 9/2 / (((5/8 - 5/9) * /5) * /2
)[1785664] ['3/5', '5/8', '5/9', '9/4', '9/4'] -> 9/4 / (3/5 * (5/8 - 5/9) * 9/4)
[1785673] ['3/5', '5/8', '5/9', '9/8', '9/8'] -> 9/8 / (((5/8 - 5/9) * /5) * /8
)[1785674] ['3/5', '5/8', '6/5', '6/5', '6/5'] -> 6/5 / (5/8 * 6/5 / 3/5 - 6/5)
[1785681] ['3/5', '5/8', '6/5', '6/5', '7/8'] -> (6/5 + 6/5) / (5/8 - 3/5 * 7/8)
[1785685] ['3/5', '5/8', '6/5', '6/5', '8/7'] -> (6/5 + 6/5) / (5/8 - 3/5 / 8/7)
[1785691] ['3/5', '5/8', '6/5', '6/5', '9/8'] -> (6/5 + 6/5) / (3/5 + 5/8 - 9/8)
[1785692] ['3/5', '5/8', '6/5', '6/7', '6/7'] -> 6/7 / (5/8 * 6/7 - 3/5 / 6/5)
[1785693] ['3/5', '5/8', '6/5', '6/7', '7/2'] -> 7/2 * 6/7 / (5/8 - 3/5 / 6/5)
[1785706] ['3/5', '5/8', '6/5', '6/7', '9/5'] -> 9/5 / ((6/5 - 3/5) / 6/7 - 5/8)
[1785711] ['3/5', '5/8', '6/5', '7/2', '7/4'] -> 6/5 / ((5/8 - 3/5) * /2) * 7/4
[1785713] ['3/5', '5/8', '6/5', '7/2', '7/6'] -> 7/2 / ((5/8 - (3/5 / 6/5)) * /6
)[1785720] ['3/5', '5/8', '6/5', '7/2', '9/2'] -> 9/2 / (5/8 * 7/2 - 6/5 / 3/5)
[1785723] ['3/5', '5/8', '6/5', '7/2', '9/7'] -> 9/7 / (5/8 - 6/5 / (3/5 * /2)
)[1785727] ['3/5', '5/8', '6/5', '7/3', '7/5'] -> 7/5 / ((3/5 + 5/8 - 6/5) * 7/3)
[1785728] ['3/5', '5/8', '6/5', '7/3', '7/6'] -> 6/5 / ((5/8 - 3/5) * /3) * 7/6
[1785743] ['3/5', '5/8', '6/5', '7/4', '7/8'] -> 7/8 * 6/5 / ((5/8 - 3/5) * 7/4)
[1785750] ['3/5', '5/8', '6/5', '7/4', '9/4'] -> 9/4 / (5/8 * (6/5 - 3/5 * 7/4))
[1785752] ['3/5', '5/8', '6/5', '7/4', '9/7'] -> 9/7 / (5/8 * (6/5 / 7/4 - 3/5))
[1785754] ['3/5', '5/8', '6/5', '7/5', '7/5'] -> 7/5 / (3/5 + 5/8 - 7/5 / 6/5)
[1785765] ['3/5', '5/8', '6/5', '7/5', '9/7'] -> 9/7 / (3/5 / 6/5 - 5/8 / 7/5)
[1785767] ['3/5', '5/8', '6/5', '7/6', '7/6'] -> 6/5 / (3/5 + 5/8 - 7/6) * 7/6
[1785771] ['3/5', '5/8', '6/5', '7/6', '8/5'] -> 8/5 / (7/6 / 5/8 - 3/5 - 6/5)
[1785776] ['3/5', '5/8', '6/5', '7/6', '9/5'] -> 9/5 / ((6/5 - 3/5) * 7/6 - 5/8)
[1785777] ['3/5', '5/8', '6/5', '7/6', '9/7'] -> 9/7 * 6/5 / (3/5 - 5/8 / 7/6)
[1785785] ['3/5', '5/8', '6/5', '7/8', '9/2'] -> 9/2 / (5/8 - 3/5 * 7/8 / 6/5)
[1785788] ['3/5', '5/8', '6/5', '7/8', '9/7'] -> 9/7 / (5/8 - 3/5 / (6/5 * /8)
)[1785789] ['3/5', '5/8', '6/5', '7/8', '9/8'] -> 9/8 / (5/8 * 7/8 - 3/5 / 6/5)
[1785791] ['3/5', '5/8', '6/5', '7/9', '8/3'] -> 8/3 / (5/8 * (3/5 + 7/9 - 6/5))
[1785801] ['3/5', '5/8', '6/5', '8/3', '8/5'] -> 8/5 / ((3/5 + 5/8 - 6/5) * 8/3)
[1785805] ['3/5', '5/8', '6/5', '8/3', '9/4'] -> 9/4 / (5/8 * (3/5 - 6/5 / 8/3))
[1785806] ['3/5', '5/8', '6/5', '8/3', '9/5'] -> 9/5 / (6/5 / 8/3 - 3/5 * 5/8)
[1785808] ['3/5', '5/8', '6/5', '8/3', '9/8'] -> 9/8 * 8/3 / (5/8 - 3/5 / 6/5)
[1785814] ['3/5', '5/8', '6/5', '8/5', '9/5'] -> 9/5 / (3/5 * (6/5 / 8/5 - 5/8))
[1785819] ['3/5', '5/8', '6/5', '8/7', '9/2'] -> 9/2 / (5/8 - 3/5 / (6/5 * /7)
)[1785822] ['3/5', '5/8', '6/5', '8/7', '9/7'] -> 9/7 / (5/8 - 3/5 * 8/7 / 6/5)
[1785823] ['3/5', '5/8', '6/5', '8/7', '9/8'] -> 9/8 / (5/8 / 8/7 - 3/5 / 6/5)
[1785824] ['3/5', '5/8', '6/5', '8/9', '8/9'] -> 6/5 / (3/5 - 5/8 * 8/9) * 8/9
[1785827] ['3/5', '5/8', '6/5', '8/9', '9/5'] -> 9/5 / (5/8 * 6/5 - 3/5 / 8/9)
[1785831] ['3/5', '5/8', '6/5', '9/2', '9/4'] -> 6/5 / ((5/8 - 3/5) * /2) * 9/4
[1785835] ['3/5', '5/8', '6/5', '9/4', '9/4'] -> 9/4 / (5/8 * (3/5 * 9/4 - 6/5))
[1785838] ['3/5', '5/8', '6/5', '9/4', '9/8'] -> 9/8 * 6/5 / ((5/8 - 3/5) * 9/4)
[1785845] ['3/5', '5/8', '6/7', '6/7', '6/7'] -> 6/7 / (5/8 * 6/7 / 3/5 - 6/7)
[1785857] ['3/5', '5/8', '6/7', '6/7', '9/2'] -> 6/7 / ((6/7 - 3/5) * /8) * 9/2
[1785859] ['3/5', '5/8', '6/7', '6/7', '9/5'] -> 6/7 / (3/5 - 5/8 * 6/7) * 9/5
[1785875] ['3/5', '5/8', '6/7', '7/2', '9/5'] -> 9/5 / ((5/8 - 3/5) * 6/7 * 7/2)
[1785878] ['3/5', '5/8', '6/7', '7/3', '7/3'] -> 7/3 / (5/8 / (6/7 - 3/5) - 7/3)
[1785886] ['3/5', '5/8', '6/7', '7/3', '8/7'] -> 8/7 / (7/3 - 6/7 / (3/5 * /8)
)[1785888] ['3/5', '5/8', '6/7', '7/3', '9/2'] -> 6/7 * 7/3 / 3/5 / 5/8 * 9/2
[1785907] ['3/5', '5/8', '6/7', '7/5', '7/5'] -> 3/5 / (((5/8 * 7/5) - 6/7) * /5
)[1785909] ['3/5', '5/8', '6/7', '7/5', '7/8'] -> 3/5 / ((7/5 - (6/7 / 5/8)) * /8
)[1785913] ['3/5', '5/8', '6/7', '7/5', '8/7'] -> 3/5 / (7/5 - 6/7 / 5/8) * 8/7
[1785917] ['3/5', '5/8', '6/7', '7/5', '9/5'] -> 9/5 / (7/5 - 3/5 / 6/7 - 5/8)
[1785918] ['3/5', '5/8', '6/7', '7/5', '9/7'] -> 9/7 * 7/5 / (3/5 / 6/7 - 5/8)
[1785920] ['3/5', '5/8', '6/7', '7/6', '7/6'] -> 7/6 / (5/8 / (3/5 * /7) - 7/6)
[1785927] ['3/5', '5/8', '6/7', '7/6', '9/2'] -> 9/2 / (5/8 * (6/7 - 3/5) * 7/6)
[1785932] ['3/5', '5/8', '6/7', '7/8', '7/8'] -> 3/5 * 5/8 / (7/8 - 6/7) / 7/8
[1785936] ['3/5', '5/8', '6/7', '7/8', '8/7'] -> 3/5 * 5/8 / (7/8 - 6/7) * 8/7
[1785939] ['3/5', '5/8', '6/7', '7/8', '9/4'] -> 9/4 / (5/8 * (6/7 * 7/8 - 3/5))
[1785940] ['3/5', '5/8', '6/7', '7/8', '9/5'] -> 9/5 / (3/5 * (6/7 * 7/8 - 5/8))
[1785944] ['3/5', '5/8', '6/7', '7/9', '8/3'] -> 6/7 * 7/9 / (5/8 - 3/5) - 8/3
[1785951] ['3/5', '5/8', '6/7', '7/9', '9/7'] -> 9/7 / (5/8 * (6/7 - 3/5 / 7/9))
[1785960] ['3/5', '5/8', '6/7', '8/3', '9/7'] -> 9/7 / (3/5 * 5/8 - 6/7 / 8/3)
[1785964] ['3/5', '5/8', '6/7', '8/5', '8/9'] -> 8/5 / (3/5 - 5/8 * 6/7) - 8/9
[1785965] ['3/5', '5/8', '6/7', '8/5', '9/2'] -> 9/2 / (5/8 - 3/5 / (6/7 * /5)
)[1785968] ['3/5', '5/8', '6/7', '8/5', '9/7'] -> 9/7 / (3/5 * (5/8 - 6/7 / 8/5))
[1785969] ['3/5', '5/8', '6/7', '8/5', '9/8'] -> 9/8 * 8/5 / (3/5 / 6/7 - 5/8)
[1785972] ['3/5', '5/8', '6/7', '8/7', '9/2'] -> (6/7 + 8/7) / 3/5 / 5/8 * 9/2
[1785973] ['3/5', '5/8', '6/7', '8/7', '9/4'] -> 9/4 / (5/8 * (6/7 / 8/7 - 3/5))
[1785974] ['3/5', '5/8', '6/7', '8/7', '9/5'] -> 9/5 / (3/5 * (6/7 / 8/7 - 5/8))
[1785998] ['3/5', '5/8', '7/2', '7/2', '7/2'] -> 7/2 / (5/8 * 7/2 / 3/5 - 7/2)
[1786004] ['3/5', '5/8', '7/2', '7/2', '7/9'] -> (7/2 + 7/2) / 3/5 / 5/8 / 7/9
[1786011] ['3/5', '5/8', '7/2', '7/2', '9/5'] -> (7/2 + 7/2) / (5/8 - 3/5 / 9/5)
[1786012] ['3/5', '5/8', '7/2', '7/2', '9/7'] -> (7/2 + 7/2) / 3/5 / 5/8 * 9/7
[1786016] ['3/5', '5/8', '7/2', '7/3', '7/5'] -> 7/5 / (3/5 + 5/8 + 7/3 - 7/2)
[1786020] ['3/5', '5/8', '7/2', '7/3', '8/3'] -> 7/3 / ((5/8 - 3/5) * /2) - 8/3
[1786024] ['3/5', '5/8', '7/2', '7/3', '9/2'] -> (7/2 + 5/8 * (3/5 + 7/3)) * 9/2
[1786026] ['3/5', '5/8', '7/2', '7/3', '9/5'] -> 9/5 / (3/5 * (7/2 - 7/3) - 5/8)
[1786034] ['3/5', '5/8', '7/2', '7/4', '8/3'] -> (3/5 + (7/2 + 7/4) / 5/8) * 8/3
[1786038] ['3/5', '5/8', '7/2', '7/4', '9/2'] -> 7/2 / (3/5 * /8 * /4) * 9/2
[1786040] ['3/5', '5/8', '7/2', '7/4', '9/5'] -> 9/5 / (3/5 * (5/8 - 7/4 / 7/2))
[1786051] ['3/5', '5/8', '7/2', '7/5', '9/2'] -> 9/2 / (5/8 * 7/2 - 3/5 - 7/5)
[1786053] ['3/5', '5/8', '7/2', '7/5', '9/5'] -> 9/5 / (3/5 * 7/2 - 5/8 - 7/5)
[1786054] ['3/5', '5/8', '7/2', '7/5', '9/7'] -> 9/7 / (5/8 - (3/5 + 7/5) / 7/2)
[1786056] ['3/5', '5/8', '7/2', '7/6', '7/6'] -> 7/2 / ((7/6 - (5/8 / 3/5)) * /6
)[1786060] ['3/5', '5/8', '7/2', '7/6', '8/5'] -> 8/5 / (3/5 - 7/6 / (5/8 * /2)
)[1786065] ['3/5', '5/8', '7/2', '7/6', '9/5'] -> 7/6 / ((5/8 - 3/5) * /2) * 9/5
[1786068] ['3/5', '5/8', '7/2', '7/8', '7/8'] -> 7/2 / (((5/8 / 3/5) - 7/8) * /8
)[1786071] ['3/5', '5/8', '7/2', '7/8', '8/5'] -> (5/8 + 7/2) / (7/8 - 3/5) * 8/5
[1786072] ['3/5', '5/8', '7/2', '7/8', '8/7'] -> 7/2 / (5/8 / 3/5 - 7/8) * 8/7
[1786075] ['3/5', '5/8', '7/2', '7/8', '9/4'] -> 7/2 / (3/5 * /8 * /8) * 9/4
[1786092] ['3/5', '5/8', '7/2', '8/3', '8/9'] -> 7/2 * 8/3 / 3/5 / 5/8 - 8/9
[1786095] ['3/5', '5/8', '7/2', '8/3', '9/5'] -> (7/2 / 5/8 - 3/5) * 8/3 * 9/5
[1786109] ['3/5', '5/8', '7/2', '8/7', '9/4'] -> 7/2 * 8/7 / 3/5 / 5/8 * 9/4
[1786123] ['3/5', '5/8', '7/2', '9/2', '9/8'] -> 9/8 * (7/2 + 9/2) / (3/5 * 5/8)
[1786124] ['3/5', '5/8', '7/2', '9/4', '9/4'] -> 9/4 / (5/8 * (9/4 - 3/5 * 7/2))
[1786129] ['3/5', '5/8', '7/2', '9/5', '9/7'] -> 9/7 / (5/8 * (3/5 - 9/5 / 7/2))
[1786134] ['3/5', '5/8', '7/3', '7/3', '7/3'] -> 7/3 / (5/8 * 7/3 / 3/5 - 7/3)
[1786136] ['3/5', '5/8', '7/3', '7/3', '7/5'] -> 7/5 / (5/8 * 7/3 - 3/5 * 7/3)
[1786159] ['3/5', '5/8', '7/3', '7/4', '9/4'] -> 9/4 / (5/8 * (7/4 / 7/3 - 3/5))
[1786173] ['3/5', '5/8', '7/3', '7/5', '9/5'] -> 7/3 / (7/5 - 3/5 - 5/8) * 9/5
[1786183] ['3/5', '5/8', '7/3', '7/6', '9/2'] -> 7/3 / (3/5 * /8 * /6) * 9/2
[1786186] ['3/5', '5/8', '7/3', '7/6', '9/7'] -> 9/7 * 7/3 / (7/6 - 5/8 / 3/5)
[1786201] ['3/5', '5/8', '7/3', '7/9', '8/5'] -> 8/5 / (3/5 - 7/9 / (5/8 * /3)
)[1786202] ['3/5', '5/8', '7/3', '7/9', '8/7'] -> 7/3 / ((7/9 - 3/5) * /8) * 8/7
[1786206] ['3/5', '5/8', '7/3', '7/9', '9/5'] -> 7/9 / ((5/8 - 3/5) * /3) * 9/5
[1786209] ['3/5', '5/8', '7/3', '8/3', '8/3'] -> (5/8 / 3/5 + 7/3) * 8/3 * 8/3
[1786213] ['3/5', '5/8', '7/3', '8/3', '9/2'] -> (7/3 / 5/8 + 3/5 * 8/3) * 9/2
[1786214] ['3/5', '5/8', '7/3', '8/3', '9/4'] -> (7/3 / 5/8 + 8/3) / 3/5 * 9/4
[1786224] ['3/5', '5/8', '7/3', '8/5', '9/7'] -> 9/7 / (5/8 * (8/5 / 7/3 - 3/5))
[1786233] ['3/5', '5/8', '7/3', '8/9', '8/9'] -> 8/9 / (8/9 / (3/5 * /8) - 7/3)
[1786234] ['3/5', '5/8', '7/3', '8/9', '9/2'] -> (7/3 / (3/5 * /8) - 8/9) * 9/2
[1786239] ['3/5', '5/8', '7/3', '9/2', '9/2'] -> (3/5 + 7/3 / 5/8) * 9/2 + 9/2
