[1570497] ['2/9', '3/7', '3/7', '3/8', '8/7'] -> (3/7 + 8/7) / (3/7 * (3/8 - 2/9))
[1578401] ['2/9', '3/8', '5/3', '6/5', '9/2'] -> 9/2 / (6/5 - 3/8 / 2/9 / 5/3)
[1578410] ['2/9', '3/8', '5/3', '6/7', '7/5'] -> 7/5 / (2/9 * 3/8 / 5/3 / 6/7)
[1578423] ['2/9', '3/8', '5/3', '7/2', '7/2'] -> 7/2 / (7/2 - 3/8 / 2/9 - 5/3)
[1578425] ['2/9', '3/8', '5/3', '7/2', '7/4'] -> 7/4 / ((3/8 / 2/9 - 5/3) * 7/2)
[1578429] ['2/9', '3/8', '5/3', '7/2', '7/9'] -> 7/9 / (2/9 * (7/2 - 5/3) - 3/8)
[1578435] ['2/9', '3/8', '5/3', '7/2', '9/4'] -> (5/3 / 2/9 - 7/2) / 3/8 * 9/4
[1578439] ['2/9', '3/8', '5/3', '7/3', '7/3'] -> 7/3 / 2/9 / 3/8 - 5/3 - 7/3
[1578442] ['2/9', '3/8', '5/3', '7/3', '7/6'] -> 7/6 / ((3/8 / 2/9 - 5/3) * 7/3)
[1578457] ['2/9', '3/8', '5/3', '7/4', '7/8'] -> 7/8 / ((3/8 / 2/9 - 5/3) * 7/4)
[1578459] ['2/9', '3/8', '5/3', '7/4', '8/3'] -> 5/3 / (7/4 - 3/8 / 2/9) - 8/3
[1578460] ['2/9', '3/8', '5/3', '7/4', '8/5'] -> ((5/3 + 7/4) / 2/9 - 3/8) * 8/5
[1578464] ['2/9', '3/8', '5/3', '7/4', '9/4'] -> 5/3 / 2/9 / 3/8 + 7/4 + 9/4
[1578469] ['2/9', '3/8', '5/3', '7/5', '7/6'] -> 5/3 * 7/5 / 2/9 / 3/8 / 7/6
[1578487] ['2/9', '3/8', '5/3', '7/6', '8/9'] -> (5/3 / 2/9 + 7/6) / 3/8 + 8/9
[1578495] ['2/9', '3/8', '5/3', '7/8', '8/3'] -> (3/8 + 5/3 / 2/9) / 7/8 * 8/3
[1578496] ['2/9', '3/8', '5/3', '7/8', '8/5'] -> 5/3 / (7/8 - 3/8) / 2/9 * 8/5
[1578497] ['2/9', '3/8', '5/3', '7/8', '8/7'] -> 5/3 / 2/9 / 3/8 / 7/8 + 8/7
[1578499] ['2/9', '3/8', '5/3', '7/8', '9/2'] -> (2/9 + 5/3 / 3/8) / 7/8 * 9/2
[1578504] ['2/9', '3/8', '5/3', '7/9', '7/9'] -> 7/9 / (7/9 - 2/9 * 5/3 - 3/8)
[1578510] ['2/9', '3/8', '5/3', '7/9', '9/4'] -> (5/3 - 7/9) / 2/9 / 3/8 * 9/4
[1578512] ['2/9', '3/8', '5/3', '7/9', '9/7'] -> 9/7 / ((3/8 - 2/9 / 7/9) / 5/3)
[1578514] ['2/9', '3/8', '5/3', '8/3', '8/3'] -> (2/9 + 5/3 + 8/3 / 3/8) * 8/3
[1578516] ['2/9', '3/8', '5/3', '8/3', '8/7'] -> (3/8 + 5/3 / 2/9) * 8/3 * 8/7
[1578533] ['2/9', '3/8', '5/3', '8/7', '9/2'] -> (2/9 + 5/3 / 3/8) * 8/7 * 9/2
[1578538] ['2/9', '3/8', '5/3', '8/9', '8/9'] -> 8/9 / (2/9 * 5/3 - 3/8 * 8/9)
[1578539] ['2/9', '3/8', '5/3', '8/9', '9/2'] -> 9/2 / (5/3 / 8/9 - 3/8 / 2/9)
[1578541] ['2/9', '3/8', '5/3', '8/9', '9/5'] -> 5/3 / (3/8 - 2/9 / 8/9) * 9/5
[1578544] ['2/9', '3/8', '5/3', '9/2', '9/2'] -> 5/3 / 2/9 + 9/2 / 3/8 + 9/2
[1578549] ['2/9', '3/8', '5/3', '9/4', '9/4'] -> (2/9 + (5/3 + 9/4) / 3/8) * 9/4
[1578552] ['2/9', '3/8', '5/3', '9/4', '9/8'] -> 9/8 / ((3/8 / 2/9 - 5/3) * 9/4)
[1578553] ['2/9', '3/8', '5/3', '9/5', '9/5'] -> 9/5 / (3/8 / 9/5 - 2/9 / 5/3)
[1578556] ['2/9', '3/8', '5/3', '9/7', '9/7'] -> 9/7 / ((3/8 - 2/9 * 9/7) / 5/3)
[1578559] ['2/9', '3/8', '5/4', '5/4', '5/4'] -> (5/4 + 5/4) / 2/9 / 3/8 / 5/4
[1578563] ['2/9', '3/8', '5/4', '5/4', '5/9'] -> 5/4 / 5/4 / (2/9 + 3/8 - 5/9)
[1578567] ['2/9', '3/8', '5/4', '5/4', '7/3'] -> 7/3 / ((3/8 / 5/4 - 2/9) * 5/4)
[1578585] ['2/9', '3/8', '5/4', '5/6', '5/9'] -> (5/4 + 5/6 / 2/9) / 3/8 / 5/9
[1578590] ['2/9', '3/8', '5/4', '5/6', '7/4'] -> 7/4 / (3/8 * (5/4 - 2/9 - 5/6))
[1578595] ['2/9', '3/8', '5/4', '5/6', '8/3'] -> ((5/4 + 5/6) / 2/9 - 3/8) * 8/3
[1578601] ['2/9', '3/8', '5/4', '5/6', '9/5'] -> (5/4 + 5/6 / 2/9) / 3/8 * 9/5
[1578608] ['2/9', '3/8', '5/4', '5/7', '6/7'] -> 6/7 / (2/9 * (5/4 - 3/8 - 5/7))
[1578609] ['2/9', '3/8', '5/4', '5/7', '7/2'] -> 7/2 / (2/9 * 3/8 * 5/4 / 5/7)
[1578614] ['2/9', '3/8', '5/4', '5/7', '7/8'] -> 5/4 / 2/9 / 3/8 / 5/7 / 7/8
[1578618] ['2/9', '3/8', '5/4', '5/7', '8/7'] -> 5/4 / 2/9 / 3/8 / 5/7 * 8/7
[1578626] ['2/9', '3/8', '5/4', '5/8', '5/9'] -> (5/4 / 2/9 - 5/8) / 3/8 / 5/9
[1578630] ['2/9', '3/8', '5/4', '5/8', '7/3'] -> 7/3 / (2/9 + 3/8 - 5/8 / 5/4)
[1578631] ['2/9', '3/8', '5/4', '5/8', '7/4'] -> 7/4 / (5/8 - 3/8 * (2/9 + 5/4))
[1578633] ['2/9', '3/8', '5/4', '5/8', '7/6'] -> 7/6 / ((3/8 / 5/4 - 2/9) * 5/8)
[1578635] ['2/9', '3/8', '5/4', '5/8', '7/9'] -> 7/9 / (5/4 - 2/9 / 3/8 - 5/8)
[1578640] ['2/9', '3/8', '5/4', '5/8', '9/2'] -> 9/2 / (5/4 + 5/8 - 3/8 / 2/9)
[1578642] ['2/9', '3/8', '5/4', '5/8', '9/5'] -> (5/4 / 2/9 - 5/8) / 3/8 * 9/5
[1578658] ['2/9', '3/8', '5/4', '5/9', '8/9'] -> 5/4 / 2/9 / 3/8 / 5/9 * 8/9
[1578659] ['2/9', '3/8', '5/4', '5/9', '9/2'] -> 5/9 / 2/9 / 3/8 / 5/4 * 9/2
[1578663] ['2/9', '3/8', '5/4', '5/9', '9/8'] -> 5/4 / 2/9 / 3/8 / 5/9 / 9/8
[1578677] ['2/9', '3/8', '5/4', '6/5', '9/2'] -> 9/2 / (3/8 / 2/9 - 5/4 * 6/5)
[1578691] ['2/9', '3/8', '5/4', '6/7', '8/5'] -> 8/5 / ((3/8 / 5/4 - 2/9) * 6/7)
[1578699] ['2/9', '3/8', '5/4', '7/2', '7/2'] -> 7/2 / (3/8 * (2/9 + 7/2) - 5/4)
[1578700] ['2/9', '3/8', '5/4', '7/2', '7/3'] -> 7/3 / (5/4 - 2/9 * 7/2 - 3/8)
[1578702] ['2/9', '3/8', '5/4', '7/2', '7/5'] -> 7/2 / 2/9 / 3/8 / 5/4 / 7/5
[1578710] ['2/9', '3/8', '5/4', '7/2', '9/2'] -> 9/2 / (2/9 * 3/8 * (7/2 - 5/4))
[1578711] ['2/9', '3/8', '5/4', '7/2', '9/4'] -> 3/8 + (5/4 + 7/2) / 2/9 + 9/4
[1578714] ['2/9', '3/8', '5/4', '7/2', '9/8'] -> (7/2 - 5/4) / 2/9 / 3/8 / 9/8
[1578725] ['2/9', '3/8', '5/4', '7/3', '9/2'] -> 7/3 / (3/8 / 2/9 - 5/4) * 9/2
[1578730] ['2/9', '3/8', '5/4', '7/4', '7/4'] -> 5/4 + 7/4 / 2/9 / 3/8 + 7/4
[1578740] ['2/9', '3/8', '5/4', '7/4', '9/4'] -> 5/4 * 7/4 / 2/9 / 3/8 - 9/4
[1578746] ['2/9', '3/8', '5/4', '7/5', '7/8'] -> 5/4 * 7/5 / 2/9 / 3/8 / 7/8
[1578749] ['2/9', '3/8', '5/4', '7/5', '8/5'] -> 8/5 / (7/5 - 2/9 * 3/8 - 5/4)
[1578750] ['2/9', '3/8', '5/4', '7/5', '8/7'] -> 5/4 * 7/5 / 2/9 / 3/8 * 8/7
[1578761] ['2/9', '3/8', '5/4', '7/6', '8/5'] -> 7/6 / (3/8 / 5/4 - 2/9) * 8/5
[1578765] ['2/9', '3/8', '5/4', '7/6', '9/4'] -> (7/6 / 2/9 - 5/4) / 3/8 * 9/4
[1578771] ['2/9', '3/8', '5/4', '7/8', '8/3'] -> 7/8 / (3/8 - 2/9 * 5/4) * 8/3
[1578784] ['2/9', '3/8', '5/4', '7/9', '8/9'] -> 8/9 / (7/9 - 2/9 * 5/4 / 3/8)
[1578786] ['2/9', '3/8', '5/4', '7/9', '9/4'] -> 9/4 / (3/8 * (5/4 - 2/9 - 7/9))
[1578793] ['2/9', '3/8', '5/4', '8/3', '8/9'] -> (5/4 / 3/8 + 8/3) / 2/9 * 8/9
[1578795] ['2/9', '3/8', '5/4', '8/3', '9/4'] -> (2/9 + (5/4 + 8/3) / 3/8) * 9/4
[1578798] ['2/9', '3/8', '5/4', '8/3', '9/8'] -> (5/4 / 3/8 + 8/3) / 2/9 / 9/8
[1578815] ['2/9', '3/8', '5/4', '8/9', '9/2'] -> (3/8 + 5/4 / 2/9) * 8/9 * 9/2
[1578817] ['2/9', '3/8', '5/4', '8/9', '9/5'] -> 5/4 * 8/9 / 2/9 / 3/8 * 9/5
[1578822] ['2/9', '3/8', '5/4', '9/2', '9/5'] -> 9/2 / 2/9 / 3/8 / 5/4 / 9/5
[1578825] ['2/9', '3/8', '5/4', '9/4', '9/4'] -> 9/4 / ((2/9 + 3/8) * 9/4 - 5/4)
[1578828] ['2/9', '3/8', '5/4', '9/4', '9/8'] -> (5/4 / 3/8 + 9/4) / 2/9 - 9/8
[1578831] ['2/9', '3/8', '5/4', '9/5', '9/8'] -> 5/4 * 9/5 / 2/9 / 3/8 / 9/8
[1578835] ['2/9', '3/8', '5/6', '5/6', '5/6'] -> (5/6 + 5/6) / 2/9 / 3/8 / 5/6
[1578838] ['2/9', '3/8', '5/6', '5/6', '5/9'] -> 5/6 / 5/6 / (2/9 + 3/8 - 5/9)
[1578839] ['2/9', '3/8', '5/6', '5/6', '6/5'] -> (5/6 + 5/6) / 2/9 / 3/8 * 6/5
[1578842] ['2/9', '3/8', '5/6', '5/6', '7/3'] -> 7/3 / (5/6 * 5/6 - 2/9 - 3/8)
[1578847] ['2/9', '3/8', '5/6', '5/6', '7/9'] -> (5/6 + 5/6) / (3/8 * 7/9 - 2/9)
[1578855] ['2/9', '3/8', '5/6', '5/6', '9/7'] -> (5/6 + 5/6) / (3/8 / 9/7 - 2/9)
[1578861] ['2/9', '3/8', '5/6', '5/7', '6/7'] -> 6/7 / (5/6 - 2/9 * 3/8 - 5/7)
[1578863] ['2/9', '3/8', '5/6', '5/7', '7/3'] -> 5/7 / 2/9 / 3/8 / 5/6 * 7/3
[1578878] ['2/9', '3/8', '5/6', '5/8', '5/8'] -> 5/6 / (5/8 - 3/8) / 2/9 / 5/8
[1578879] ['2/9', '3/8', '5/6', '5/8', '5/9'] -> 5/9 / (5/6 * (5/8 - 2/9 - 3/8))
[1578888] ['2/9', '3/8', '5/6', '5/8', '7/9'] -> 7/9 / (2/9 * (5/6 * 5/8 - 3/8))
[1578889] ['2/9', '3/8', '5/6', '5/8', '8/3'] -> 5/8 / 2/9 / 3/8 / 5/6 * 8/3
[1578890] ['2/9', '3/8', '5/6', '5/8', '8/5'] -> 5/6 / (5/8 - 3/8) / 2/9 * 8/5
[1578893] ['2/9', '3/8', '5/6', '5/8', '9/2'] -> (5/6 + (3/8 + 5/8) / 2/9) * 9/2
[1578897] ['2/9', '3/8', '5/6', '5/8', '9/8'] -> 3/8 / (2/9 + 5/8 - 5/6) / 9/8
[1578905] ['2/9', '3/8', '5/6', '5/9', '7/6'] -> 7/6 / (2/9 - 3/8 * 5/6 * 5/9)
[1578907] ['2/9', '3/8', '5/6', '5/9', '7/9'] -> 7/9 / ((5/6 - 3/8) * 5/9 - 2/9)
[1578920] ['2/9', '3/8', '5/6', '6/5', '7/3'] -> 7/3 / (5/6 / 6/5 - 2/9 - 3/8)
[1578926] ['2/9', '3/8', '5/6', '6/5', '8/3'] -> 2/9 / (3/8 + 5/6 - 6/5) - 8/3
[1578946] ['2/9', '3/8', '5/6', '6/7', '8/9'] -> 2/9 / (6/7 - 5/6) / 3/8 - 8/9
[1578954] ['2/9', '3/8', '5/6', '7/2', '7/4'] -> (5/6 / 3/8 + 7/2) / 2/9 - 7/4
[1578964] ['2/9', '3/8', '5/6', '7/2', '9/4'] -> 9/4 / (3/8 * (5/6 / 2/9 - 7/2))
[1578970] ['2/9', '3/8', '5/6', '7/3', '7/5'] -> 7/3 / 2/9 / 3/8 / 5/6 / 7/5
[1578974] ['2/9', '3/8', '5/6', '7/3', '8/3'] -> 8/3 / (2/9 + 5/6 / 3/8 - 7/3)
[1578987] ['2/9', '3/8', '5/6', '7/4', '7/9'] -> (5/6 + 7/4 / 2/9) / 3/8 + 7/9
[1578988] ['2/9', '3/8', '5/6', '7/4', '8/3'] -> (7/4 / 2/9 - 3/8) / 5/6 * 8/3
[1578993] ['2/9', '3/8', '5/6', '7/4', '9/4'] -> 9/4 / (5/6 - 3/8 * (2/9 + 7/4))
[1578994] ['2/9', '3/8', '5/6', '7/4', '9/5'] -> 5/6 / (7/4 - 3/8 / 2/9) * 9/5
[1579017] ['2/9', '3/8', '5/6', '7/6', '9/2'] -> 2/9 / (3/8 + 5/6 - 7/6) * 9/2
[1579035] ['2/9', '3/8', '5/6', '7/9', '8/5'] -> 8/5 / (7/9 - 2/9 / 3/8 / 5/6)
[1579039] ['2/9', '3/8', '5/6', '7/9', '9/4'] -> 2/9 / (5/6 - 7/9) / 3/8 * 9/4
[1579046] ['2/9', '3/8', '5/6', '8/3', '8/9'] -> 8/9 / (2/9 * (3/8 * 8/3 - 5/6))
[1579069] ['2/9', '3/8', '5/6', '8/9', '9/4'] -> 2/9 / (8/9 - 5/6) / 3/8 * 9/4
[1579070] ['2/9', '3/8', '5/6', '8/9', '9/5'] -> 9/5 / (3/8 - 2/9 / 5/6 / 8/9)
[1579078] ['2/9', '3/8', '5/6', '9/4', '9/4'] -> 9/4 / (3/8 * (2/9 + 9/4) - 5/6)
[1579081] ['2/9', '3/8', '5/6', '9/4', '9/8'] -> 9/8 / ((3/8 * 9/4 - 5/6) / 2/9)
[1579082] ['2/9', '3/8', '5/6', '9/5', '9/5'] -> 9/5 / (5/6 - 3/8 * (2/9 + 9/5))
[1579088] ['2/9', '3/8', '5/7', '5/7', '5/7'] -> (5/7 + 5/7) / 2/9 / 3/8 / 5/7
[1579096] ['2/9', '3/8', '5/7', '5/7', '7/5'] -> (5/7 + 5/7) / 2/9 / 3/8 * 7/5
[1579110] ['2/9', '3/8', '5/7', '5/8', '5/9'] -> 5/9 / (5/7 * (5/8 - 2/9 / 3/8))
[1579115] ['2/9', '3/8', '5/7', '5/8', '7/4'] -> 5/7 / 2/9 / 3/8 / 5/8 * 7/4
[1579120] ['2/9', '3/8', '5/7', '5/8', '8/3'] -> 8/3 / (2/9 * (5/8 / 5/7 - 3/8))
[1579135] ['2/9', '3/8', '5/7', '5/9', '7/5'] -> 7/5 / ((2/9 + 3/8 - 5/9) / 5/7)
[1579151] ['2/9', '3/8', '5/7', '6/5', '7/3'] -> 5/7 * 6/5 / 2/9 / 3/8 * 7/3
[1579168] ['2/9', '3/8', '5/7', '6/7', '7/3'] -> (5/7 + 6/7) / (3/8 - 2/9) * 7/3
[1579219] ['2/9', '3/8', '5/7', '7/4', '8/3'] -> 8/3 / (2/9 * (5/7 - 3/8 / 7/4))
[1579220] ['2/9', '3/8', '5/7', '7/4', '8/5'] -> 5/7 * 7/4 / 2/9 / 3/8 * 8/5
[1579254] ['2/9', '3/8', '5/7', '7/8', '7/9'] -> 7/9 / (5/7 * 7/8 - 2/9 / 3/8)
[1579257] ['2/9', '3/8', '5/7', '7/8', '8/7'] -> 8/7 / (2/9 * (3/8 + 5/7 - 7/8))
[1579258] ['2/9', '3/8', '5/7', '7/8', '8/9'] -> 8/9 / (5/7 - 2/9 / 3/8 / 7/8)
[1579267] ['2/9', '3/8', '5/7', '7/9', '8/7'] -> 8/7 / (2/9 / 3/8 / 7/9 - 5/7)
[1579268] ['2/9', '3/8', '5/7', '7/9', '8/9'] -> 8/9 / (2/9 / 3/8 - 5/7 * 7/9)
[1579276] ['2/9', '3/8', '5/7', '8/3', '8/7'] -> 5/7 * 8/3 / 2/9 / 3/8 + 8/7
[1579292] ['2/9', '3/8', '5/7', '8/7', '8/9'] -> 8/9 / (5/7 - 2/9 * 8/7 / 3/8)
[1579319] ['2/9', '3/8', '5/8', '5/8', '5/8'] -> (5/8 + 5/8) / 2/9 / 3/8 / 5/8
[1579320] ['2/9', '3/8', '5/8', '5/8', '5/9'] -> 5/8 / 5/8 / (2/9 + 3/8 - 5/9)
[1579324] ['2/9', '3/8', '5/8', '5/8', '7/3'] -> 7/3 / (3/8 - 2/9 * (5/8 + 5/8))
[1579330] ['2/9', '3/8', '5/8', '5/8', '8/3'] -> 8/3 / (5/8 - 2/9 * 5/8 - 3/8)
[1579331] ['2/9', '3/8', '5/8', '5/8', '8/5'] -> (5/8 + 5/8) / 2/9 / 3/8 * 8/5
[1579339] ['2/9', '3/8', '5/8', '5/9', '5/9'] -> 5/9 / (5/8 * (2/9 / 3/8 - 5/9))
[1579340] ['2/9', '3/8', '5/8', '5/9', '6/5'] -> 5/9 / (5/8 - 2/9 - 3/8) * 6/5
[1579345] ['2/9', '3/8', '5/8', '5/9', '7/5'] -> 7/5 / ((5/8 - 2/9 / 3/8) / 5/9)
[1579353] ['2/9', '3/8', '5/8', '5/9', '9/2'] -> 9/2 / ((5/9 - 3/8) / 2/9 - 5/8)
[1579354] ['2/9', '3/8', '5/8', '5/9', '9/4'] -> 5/9 / 2/9 / 3/8 / 5/8 * 9/4
[1579355] ['2/9', '3/8', '5/8', '5/9', '9/5'] -> 9/5 / (3/8 * (5/9 - 2/9 / 5/8))
[1579357] ['2/9', '3/8', '5/8', '5/9', '9/8'] -> 9/8 / (3/8 * (5/8 * 5/9 - 2/9))
[1579366] ['2/9', '3/8', '5/8', '6/5', '7/9'] -> 7/9 / (2/9 * (5/8 / 6/5 - 3/8))
[1579367] ['2/9', '3/8', '5/8', '6/5', '8/3'] -> 5/8 * 6/5 / 2/9 / 3/8 * 8/3
[1579368] ['2/9', '3/8', '5/8', '6/5', '8/5'] -> 8/5 / (2/9 * (5/8 - 3/8) * 6/5)
[1579376] ['2/9', '3/8', '5/8', '6/7', '6/7'] -> 6/7 / (2/9 * (5/8 * 6/7 - 3/8))
[1579383] ['2/9', '3/8', '5/8', '6/7', '7/9'] -> 6/7 / (5/8 - 2/9 - 3/8) * 7/9
[1579386] ['2/9', '3/8', '5/8', '6/7', '8/7'] -> 8/7 / (2/9 * (5/8 - 3/8) * 6/7)
[1579391] ['2/9', '3/8', '5/8', '6/7', '9/7'] -> 6/7 / (5/8 - 2/9 - 3/8) / 9/7
[1579394] ['2/9', '3/8', '5/8', '7/2', '7/3'] -> 7/3 / ((5/8 - 2/9 - 3/8) * 7/2)
[1579400] ['2/9', '3/8', '5/8', '7/2', '8/3'] -> 8/3 / (2/9 * 5/8 * 7/2 - 3/8)
[1579403] ['2/9', '3/8', '5/8', '7/2', '8/9'] -> (5/8 + 7/2) / (3/8 - 2/9) * 8/9
[1579404] ['2/9', '3/8', '5/8', '7/2', '9/2'] -> 7/2 / (5/8 - 2/9 / 3/8) / 9/2
[1579405] ['2/9', '3/8', '5/8', '7/2', '9/4'] -> 5/8 * 7/2 / 2/9 / 3/8 - 9/4
[1579408] ['2/9', '3/8', '5/8', '7/2', '9/8'] -> (5/8 + 7/2) / (3/8 - 2/9) / 9/8
[1579409] ['2/9', '3/8', '5/8', '7/3', '7/3'] -> (7/3 / 2/9 - 5/8) / 3/8 - 7/3
[1579410] ['2/9', '3/8', '5/8', '7/3', '7/4'] -> 7/3 / (5/8 - 3/8) / 2/9 / 7/4
[1579416] ['2/9', '3/8', '5/8', '7/3', '8/5'] -> (3/8 + 5/8 + 7/3) / 2/9 * 8/5
[1579419] ['2/9', '3/8', '5/8', '7/3', '9/2'] -> (3/8 + 7/3) / 2/9 / 5/8 + 9/2
[1579425] ['2/9', '3/8', '5/8', '7/4', '7/5'] -> 7/4 / 2/9 / 3/8 / 5/8 / 7/5
[1579426] ['2/9', '3/8', '5/8', '7/4', '7/6'] -> 7/6 / ((5/8 - 2/9 - 3/8) * 7/4)
[1579434] ['2/9', '3/8', '5/8', '7/4', '9/4'] -> 9/4 / (2/9 * 3/8 * (7/4 - 5/8))
[1579445] ['2/9', '3/8', '5/8', '7/5', '8/9'] -> 8/9 / (2/9 - 3/8 / (5/8 + 7/5))
[1579452] ['2/9', '3/8', '5/8', '7/6', '7/8'] -> 7/6 / (5/8 - 3/8) / 2/9 / 7/8
[1579453] ['2/9', '3/8', '5/8', '7/6', '7/9'] -> 7/9 / ((5/8 - 2/9 - 3/8) * 7/6)
[1579456] ['2/9', '3/8', '5/8', '7/6', '8/7'] -> 7/6 / (5/8 - 3/8) / 2/9 * 8/7
[1579457] ['2/9', '3/8', '5/8', '7/6', '8/9'] -> 8/9 / (2/9 * (7/6 - 3/8 - 5/8))
[1579458] ['2/9', '3/8', '5/8', '7/6', '9/2'] -> (2/9 + 7/6 / 3/8) / 5/8 * 9/2
[1579460] ['2/9', '3/8', '5/8', '7/6', '9/5'] -> 9/5 / (5/8 / (2/9 + 7/6) - 3/8)
[1579465] ['2/9', '3/8', '5/8', '7/8', '8/3'] -> (3/8 + 7/8) / 2/9 / 5/8 * 8/3
[1579468] ['2/9', '3/8', '5/8', '7/8', '8/9'] -> 7/8 / (5/8 - 2/9 / 3/8) * 8/9
[1579469] ['2/9', '3/8', '5/8', '7/8', '9/2'] -> 9/2 / (3/8 / 2/9 - 5/8 - 7/8)
[1579473] ['2/9', '3/8', '5/8', '7/8', '9/8'] -> 7/8 / (5/8 - 2/9 / 3/8) / 9/8
[1579484] ['2/9', '3/8', '5/8', '8/3', '8/3'] -> (2/9 + (5/8 + 8/3) / 3/8) * 8/3
[1579488] ['2/9', '3/8', '5/8', '8/3', '9/2'] -> (5/8 / 3/8 + 8/3) / 2/9 + 9/2
[1579491] ['2/9', '3/8', '5/8', '8/3', '9/7'] -> 3/8 / (5/8 / 8/3 - 2/9) / 9/7
[1579502] ['2/9', '3/8', '5/8', '8/7', '8/9'] -> 8/9 / ((5/8 - 2/9 / 3/8) * 8/7)
[1579508] ['2/9', '3/8', '5/8', '8/9', '8/9'] -> 8/9 / (2/9 / 3/8 - 5/8 * 8/9)
[1579509] ['2/9', '3/8', '5/8', '8/9', '9/2'] -> 9/2 / (5/8 / (2/9 + 8/9) - 3/8)
[1579513] ['2/9', '3/8', '5/8', '8/9', '9/8'] -> 9/8 / ((2/9 + 3/8) / 8/9 - 5/8)
[1579514] ['2/9', '3/8', '5/8', '9/2', '9/2'] -> (5/8 / 2/9 + 9/2) / 3/8 + 9/2
[1579520] ['2/9', '3/8', '5/8', '9/4', '9/5'] -> 9/4 / 2/9 / 3/8 / 5/8 / 9/5
[1579522] ['2/9', '3/8', '5/8', '9/4', '9/8'] -> 9/8 / (3/8 * (5/8 - 2/9 * 9/4))
[1579525] ['2/9', '3/8', '5/8', '9/5', '9/8'] -> 9/8 / (3/8 * (5/8 / 9/5 - 2/9))
[1579528] ['2/9', '3/8', '5/8', '9/8', '9/8'] -> 9/8 / ((2/9 + 3/8) * 9/8 - 5/8)
[1579535] ['2/9', '3/8', '5/9', '5/9', '7/5'] -> 7/5 / 3/8 / (5/9 - 2/9 / 5/9)
[1579538] ['2/9', '3/8', '5/9', '5/9', '7/9'] -> 7/9 / 3/8 / (5/9 * 5/9 - 2/9)
[1579540] ['2/9', '3/8', '5/9', '5/9', '8/5'] -> 5/9 / (2/9 / 3/8 - 5/9) * 8/5
[1579553] ['2/9', '3/8', '5/9', '6/5', '7/5'] -> 7/5 / (2/9 * 6/5 - 3/8 * 5/9)
[1579554] ['2/9', '3/8', '5/9', '6/5', '7/6'] -> 7/6 / (2/9 - 3/8 * 5/9 / 6/5)
[1579567] ['2/9', '3/8', '5/9', '6/7', '7/2'] -> 7/2 / (3/8 * (5/9 - 2/9) / 6/7)
[1579571] ['2/9', '3/8', '5/9', '6/7', '7/6'] -> 6/7 / (2/9 + 3/8 - 5/9) * 7/6
[1579574] ['2/9', '3/8', '5/9', '6/7', '8/3'] -> 8/3 / (3/8 * (5/9 - 2/9 / 6/7))
[1579576] ['2/9', '3/8', '5/9', '6/7', '8/7'] -> 8/7 / (5/9 - 2/9 * 6/7 / 3/8)
[1579583] ['2/9', '3/8', '5/9', '7/2', '7/2'] -> 7/2 / (2/9 + 3/8 - 5/9) / 7/2
[1579590] ['2/9', '3/8', '5/9', '7/2', '8/3'] -> (2/9 + 7/2 / 3/8 - 5/9) * 8/3
[1579601] ['2/9', '3/8', '5/9', '7/3', '7/5'] -> 7/5 / ((2/9 / 5/9 - 3/8) * 7/3)
[1579604] ['2/9', '3/8', '5/9', '7/3', '7/9'] -> 7/9 / ((2/9 - 3/8 * 5/9) * 7/3)
[1579605] ['2/9', '3/8', '5/9', '7/3', '8/3'] -> (5/9 / 2/9 / 3/8 + 7/3) * 8/3
[1579609] ['2/9', '3/8', '5/9', '7/3', '9/2'] -> (2/9 + 7/3 - 5/9) / 3/8 * 9/2
[1579612] ['2/9', '3/8', '5/9', '7/3', '9/7'] -> 9/7 / (3/8 * (5/9 - 2/9) / 7/3)
[1579613] ['2/9', '3/8', '5/9', '7/3', '9/8'] -> 9/8 / (2/9 * 3/8 / (7/3 - 5/9))
[1579614] ['2/9', '3/8', '5/9', '7/4', '7/4'] -> 7/4 / (2/9 + 3/8 - 5/9) / 7/4
[1579624] ['2/9', '3/8', '5/9', '7/4', '9/4'] -> 9/4 / ((5/9 - 3/8) * 7/4 - 2/9)
[1579626] ['2/9', '3/8', '5/9', '7/4', '9/7'] -> 9/7 / (5/9 - 2/9 / 7/4 - 3/8)
[1579628] ['2/9', '3/8', '5/9', '7/5', '7/5'] -> 7/5 / (2/9 + 3/8 - 5/9) / 7/5
[1579641] ['2/9', '3/8', '5/9', '7/6', '7/6'] -> 7/6 / (2/9 + 3/8 - 5/9) / 7/6
[1579644] ['2/9', '3/8', '5/9', '7/6', '8/3'] -> 8/3 / (3/8 * (5/9 - 2/9 * 7/6))
[1579646] ['2/9', '3/8', '5/9', '7/6', '8/7'] -> 8/7 / (5/9 - 2/9 / 3/8 / 7/6)
[1579654] ['2/9', '3/8', '5/9', '7/8', '7/9'] -> 7/9 / ((2/9 / 3/8 - 5/9) * 7/8)
[1579657] ['2/9', '3/8', '5/9', '7/8', '8/7'] -> 7/8 / (2/9 + 3/8 - 5/9) * 8/7
[1579658] ['2/9', '3/8', '5/9', '7/8', '8/9'] -> 8/9 / (5/9 - 2/9 * 7/8 / 3/8)
[1579664] ['2/9', '3/8', '5/9', '7/9', '7/9'] -> 7/9 / ((2/9 + 3/8 - 5/9) * 7/9)
[1579667] ['2/9', '3/8', '5/9', '7/9', '8/7'] -> 7/9 / (2/9 / 3/8 - 5/9) * 8/7
