[1250896] ['1/9', '5/3', '5/4', '5/7', '7/5'] -> 7/5 / (1/9 * 5/4 / (5/3 + 5/7))
[1260560] ['1/9', '5/8', '7/9', '7/9', '8/5'] -> (7/9 + 7/9) / 1/9 / 5/8 + 8/5
[1260566] ['1/9', '5/8', '7/9', '7/9', '9/7'] -> 7/9 * 9/7 / (7/9 - 1/9 - 5/8)
[1260571] ['1/9', '5/8', '7/9', '8/3', '8/9'] -> 8/9 / (1/9 * (5/8 - 7/9 / 8/3))
[1260577] ['1/9', '5/8', '7/9', '8/5', '8/5'] -> 8/5 / ((7/9 - 1/9 - 5/8) * 8/5)
[1260592] ['1/9', '5/8', '7/9', '8/9', '8/9'] -> 8/9 / ((7/9 - 1/9 - 5/8) * 8/9)
[1260597] ['1/9', '5/8', '7/9', '8/9', '9/8'] -> 9/8 / ((7/9 - 1/9 - 5/8) / 8/9)
[1260598] ['1/9', '5/8', '7/9', '9/2', '9/2'] -> 9/2 / (7/9 - 1/9 - 5/8) / 9/2
[1260603] ['1/9', '5/8', '7/9', '9/4', '9/4'] -> 9/4 / ((7/9 - 1/9 - 5/8) * 9/4)
[1260607] ['1/9', '5/8', '7/9', '9/5', '9/5'] -> 9/5 / (7/9 - 1/9 - 5/8) / 9/5
[1260612] ['1/9', '5/8', '7/9', '9/8', '9/8'] -> 9/8 / (7/9 - 1/9 - 5/8) / 9/8
[1260617] ['1/9', '5/8', '8/3', '8/3', '9/2'] -> ((8/3 - 5/8) * 8/3 - 1/9) * 9/2
[1260618] ['1/9', '5/8', '8/3', '8/3', '9/4'] -> 8/3 * 8/3 * (5/8 / 1/9 - 9/4)
[1260619] ['1/9', '5/8', '8/3', '8/3', '9/5'] -> (8/3 / 1/9 - 8/3) * 5/8 * 9/5
[1260626] ['1/9', '5/8', '8/3', '8/5', '9/4'] -> 5/8 * (8/3 + 8/5 / 1/9) * 9/4
[1260630] ['1/9', '5/8', '8/3', '8/7', '8/7'] -> (8/3 - 5/8) * 8/7 / 1/9 * 8/7
[1260635] ['1/9', '5/8', '8/3', '8/7', '9/7'] -> (5/8 * 8/3 + 8/7) / 1/9 - 9/7
[1260643] ['1/9', '5/8', '8/3', '9/2', '9/2'] -> 5/8 * 8/3 / 1/9 + 9/2 + 9/2
[1260644] ['1/9', '5/8', '8/3', '9/2', '9/4'] -> 8/3 / (1/9 + 5/8 / 9/2) * 9/4
[1260657] ['1/9', '5/8', '8/3', '9/8', '9/8'] -> (5/8 * 8/3 + 9/8) / 1/9 - 9/8
[1260671] ['1/9', '5/8', '8/5', '8/7', '9/7'] -> (8/5 + 8/7 / 5/8) / 1/9 / 9/7
[1260694] ['1/9', '5/8', '8/7', '8/7', '8/7'] -> 8/7 / 1/9 / (8/7 - 5/8 * 8/7)
[1260707] ['1/9', '5/8', '8/7', '9/2', '9/2'] -> 9/2 / (5/8 - 1/9 * 9/2 / 8/7)
[1260710] ['1/9', '5/8', '8/7', '9/2', '9/7'] -> 9/7 / (5/8 - 1/9 * 8/7 * 9/2)
[1260711] ['1/9', '5/8', '8/7', '9/2', '9/8'] -> 9/8 / (5/8 / 8/7 - 1/9 * 9/2)
[1260714] ['1/9', '5/8', '8/7', '9/4', '9/7'] -> 9/7 / (1/9 * (9/4 - 5/8 - 8/7))
[1260719] ['1/9', '5/8', '8/7', '9/7', '9/7'] -> 9/7 / (1/9 * (5/8 + 8/7 - 9/7))
[1260722] ['1/9', '5/8', '8/9', '8/9', '8/9'] -> 8/9 / (8/9 - 5/8 * 8/9) / 1/9
[1260742] ['1/9', '5/8', '8/9', '9/8', '9/8'] -> 9/8 / (1/9 * (9/8 - 5/8 / 8/9))
[1260743] ['1/9', '5/8', '9/2', '9/2', '9/2'] -> 9/2 / (9/2 - 5/8 * 9/2) / 1/9
[1260744] ['1/9', '5/8', '9/2', '9/2', '9/4'] -> (9/2 + 9/2) / (5/8 - 1/9 * 9/4)
[1260746] ['1/9', '5/8', '9/2', '9/2', '9/7'] -> (9/2 + 9/2) / (5/8 / 9/7 - 1/9)
[1260751] ['1/9', '5/8', '9/2', '9/4', '9/8'] -> 9/2 / (5/8 / 9/4 - 1/9) / 9/8
[1260752] ['1/9', '5/8', '9/2', '9/5', '9/5'] -> 9/5 / (1/9 * (9/2 + 9/5) - 5/8)
[1260758] ['1/9', '5/8', '9/4', '9/4', '9/4'] -> 9/4 / (9/4 - 5/8 * 9/4) / 1/9
[1260767] ['1/9', '5/8', '9/4', '9/8', '9/8'] -> ((5/8 + 9/4) / 1/9 + 9/8) / 9/8
[1260768] ['1/9', '5/8', '9/5', '9/5', '9/5'] -> 9/5 / 1/9 / (9/5 - 5/8 * 9/5)
[1260773] ['1/9', '5/8', '9/5', '9/8', '9/8'] -> 9/8 / (1/9 * 5/8 * (9/5 - 9/8))
[1260774] ['1/9', '5/8', '9/7', '9/7', '9/7'] -> 9/7 / 1/9 / (9/7 - 5/8 * 9/7)
[1260777] ['1/9', '5/8', '9/8', '9/8', '9/8'] -> 9/8 / (9/8 - 5/8 * 9/8) / 1/9
[1260810] ['1/9', '5/9', '5/9', '6/5', '9/2'] -> (5/9 / 1/9 - 5/9) * 6/5 * 9/2
[1260843] ['1/9', '5/9', '5/9', '7/2', '9/2'] -> (7/2 - 5/9) / 1/9 - 5/9 * 9/2
[1260863] ['1/9', '5/9', '5/9', '7/4', '7/4'] -> (5/9 + 5/9 + 7/4) / 1/9 - 7/4
[1260877] ['1/9', '5/9', '5/9', '7/5', '7/5'] -> (5/9 + 5/9 + 7/5) / 1/9 + 7/5
[1260882] ['1/9', '5/9', '5/9', '7/5', '8/5'] -> 8/5 / ((5/9 - 1/9) * 7/5 - 5/9)
[1260883] ['1/9', '5/9', '5/9', '7/5', '8/7'] -> 8/7 / (5/9 - 5/9 / 7/5 - 1/9)
[1260897] ['1/9', '5/9', '5/9', '7/6', '9/2'] -> (5/9 / 5/9 + 7/6) / 1/9 + 9/2
[1260916] ['1/9', '5/9', '5/9', '7/9', '8/7'] -> 8/7 / (5/9 / 7/9 - 1/9 - 5/9)
[1260924] ['1/9', '5/9', '5/9', '8/3', '8/5'] -> (8/3 - 5/9 / 5/9) / 1/9 * 8/5
[1260932] ['1/9', '5/9', '5/9', '8/5', '8/5'] -> 8/5 / 1/9 / (8/5 - 5/9 / 5/9)
[1260947] ['1/9', '5/9', '5/9', '8/9', '8/9'] -> 8/9 / ((1/9 + 5/9) * 8/9 - 5/9)
[1260948] ['1/9', '5/9', '5/9', '8/9', '9/2'] -> (5/9 / 1/9 + 8/9 - 5/9) * 9/2
[1260953] ['1/9', '5/9', '5/9', '9/2', '9/2'] -> (5/9 / (1/9 + 5/9) + 9/2) * 9/2
[1260958] ['1/9', '5/9', '5/9', '9/4', '9/4'] -> (5/9 + 9/4) / 1/9 - 5/9 * 9/4
[1260981] ['1/9', '5/9', '6/5', '6/5', '9/2'] -> (6/5 / 1/9 - 6/5) * 5/9 * 9/2
[1260988] ['1/9', '5/9', '6/5', '6/7', '7/3'] -> 5/9 * (6/5 + 6/7) / 1/9 * 7/3
[1260989] ['1/9', '5/9', '6/5', '6/7', '7/4'] -> (5/9 * 6/5 + 6/7) / 1/9 * 7/4
[1260996] ['1/9', '5/9', '6/5', '6/7', '8/7'] -> 8/7 / (6/7 / 6/5 - 1/9 - 5/9)
[1261008] ['1/9', '5/9', '6/5', '7/2', '7/8'] -> 5/9 * 6/5 * 7/2 / 1/9 / 7/8
[1261012] ['1/9', '5/9', '6/5', '7/2', '8/7'] -> 5/9 * 6/5 * 7/2 / 1/9 * 8/7
[1261022] ['1/9', '5/9', '6/5', '7/3', '7/6'] -> (5/9 / 6/5 + 7/3) / 1/9 - 7/6
[1261031] ['1/9', '5/9', '6/5', '7/3', '9/5'] -> (7/3 - 5/9) / 1/9 / 6/5 * 9/5
[1261040] ['1/9', '5/9', '6/5', '7/4', '8/5'] -> 8/5 / ((6/5 - 1/9) / 7/4 - 5/9)
[1261044] ['1/9', '5/9', '6/5', '7/4', '9/4'] -> (5/9 * 6/5 + 7/4) / 1/9 + 9/4
[1261056] ['1/9', '5/9', '6/5', '7/5', '9/2'] -> (5/9 / 1/9 + 7/5) / 6/5 * 9/2
[1261068] ['1/9', '5/9', '6/5', '7/6', '9/2'] -> (5/9 / 1/9 / 6/5 + 7/6) * 9/2
[1261081] ['1/9', '5/9', '6/5', '7/8', '9/5'] -> 9/5 / (7/8 - (1/9 + 5/9) * 6/5)
[1261095] ['1/9', '5/9', '6/5', '8/3', '8/5'] -> (8/3 / 6/5 - 5/9) / 1/9 * 8/5
[1261100] ['1/9', '5/9', '6/5', '8/3', '9/5'] -> 9/5 / (5/9 / 8/3 - 1/9 * 6/5)
[1261119] ['1/9', '5/9', '6/5', '8/9', '9/2'] -> 5/9 * 6/5 * 8/9 / 1/9 * 9/2
[1261128] ['1/9', '5/9', '6/5', '9/2', '9/8'] -> 5/9 * 6/5 * 9/2 / 1/9 / 9/8
[1261129] ['1/9', '5/9', '6/5', '9/4', '9/4'] -> (5/9 * 6/5 + 9/4) / 1/9 - 9/4
[1261133] ['1/9', '5/9', '6/5', '9/5', '9/5'] -> (5/9 * 6/5 + 9/5) / 1/9 + 9/5
[1261135] ['1/9', '5/9', '6/5', '9/5', '9/8'] -> (9/5 / 1/9 - 6/5) / 5/9 / 9/8
[1261156] ['1/9', '5/9', '6/7', '7/2', '7/2'] -> (5/9 / 1/9 + 6/7) * 7/2 + 7/2
[1261164] ['1/9', '5/9', '6/7', '7/2', '8/5'] -> 5/9 * 6/7 * 7/2 / 1/9 * 8/5
[1261167] ['1/9', '5/9', '6/7', '7/2', '9/2'] -> (1/9 + 5/9 + 6/7) * 7/2 * 9/2
[1261173] ['1/9', '5/9', '6/7', '7/3', '7/4'] -> 6/7 * (7/3 - 5/9) / 1/9 * 7/4
[1261180] ['1/9', '5/9', '6/7', '7/3', '8/7'] -> (5/9 + 7/3) / 1/9 - 6/7 - 8/7
[1261187] ['1/9', '5/9', '6/7', '7/4', '7/4'] -> (5/9 + 6/7) * 7/4 / 1/9 + 7/4
[1261228] ['1/9', '5/9', '6/7', '7/8', '8/3'] -> 8/3 / (6/7 - 5/9 / 7/8 - 1/9)
[1261249] ['1/9', '5/9', '6/7', '8/3', '8/7'] -> 8/7 / ((6/7 - 5/9) / 1/9 - 8/3)
[1261264] ['1/9', '5/9', '6/7', '8/7', '8/7'] -> 8/7 / (5/9 * (8/7 - 6/7) - 1/9)
[1261278] ['1/9', '5/9', '6/7', '9/2', '9/4'] -> 5/9 * 9/2 / 1/9 / 6/7 - 9/4
[1261294] ['1/9', '5/9', '7/2', '7/2', '7/4'] -> (1/9 + 7/2 * 7/2) / 5/9 + 7/4
[1261303] ['1/9', '5/9', '7/2', '7/2', '9/2'] -> (5/9 * 7/2 + 7/2 - 1/9) * 9/2
[1261333] ['1/9', '5/9', '7/2', '7/4', '9/4'] -> 5/9 * (7/2 + 7/4) / 1/9 - 9/4
[1261341] ['1/9', '5/9', '7/2', '7/5', '8/3'] -> 8/3 / (5/9 * 7/5 / 7/2 - 1/9)
[1261350] ['1/9', '5/9', '7/2', '7/6', '7/6'] -> (5/9 * 7/2 + 7/6) / 1/9 / 7/6
[1261354] ['1/9', '5/9', '7/2', '7/6', '8/5'] -> 5/9 * 7/2 / 1/9 / 7/6 * 8/5
[1261356] ['1/9', '5/9', '7/2', '7/6', '8/9'] -> 8/9 / (5/9 - 1/9 * (7/2 + 7/6))
[1261385] ['1/9', '5/9', '7/2', '8/3', '8/7'] -> 7/2 * 8/3 / (5/9 - 1/9) * 8/7
[1261408] ['1/9', '5/9', '7/2', '8/9', '9/2'] -> 8/9 / (5/9 - 1/9 * 7/2) * 9/2
[1261411] ['1/9', '5/9', '7/2', '8/9', '9/7'] -> 9/7 / ((5/9 / 7/2 - 1/9) / 8/9)
[1261413] ['1/9', '5/9', '7/2', '9/2', '9/2'] -> (1/9 + 5/9) * (7/2 + 9/2) * 9/2
[1261417] ['1/9', '5/9', '7/2', '9/2', '9/8'] -> 9/2 / (5/9 - 1/9 * 7/2) / 9/8
[1261418] ['1/9', '5/9', '7/2', '9/4', '9/4'] -> (5/9 + 9/4) / 1/9 - 7/2 + 9/4
[1261426] ['1/9', '5/9', '7/2', '9/7', '9/8'] -> 9/7 / (5/9 / 7/2 - 1/9) / 9/8
[1261429] ['1/9', '5/9', '7/3', '7/3', '7/4'] -> (7/3 / 1/9 + 7/3) / 5/9 / 7/4
[1261430] ['1/9', '5/9', '7/3', '7/3', '7/5'] -> (7/3 / 1/9 - 7/3) / 5/9 / 7/5
[1261431] ['1/9', '5/9', '7/3', '7/3', '7/6'] -> (5/9 + 7/3) / 1/9 - 7/3 / 7/6
[1261437] ['1/9', '5/9', '7/3', '7/3', '8/9'] -> 8/9 / (5/9 - 1/9 * (7/3 + 7/3))
[1261438] ['1/9', '5/9', '7/3', '7/3', '9/2'] -> (1/9 + 5/9 + 7/3 + 7/3) * 9/2
[1261439] ['1/9', '5/9', '7/3', '7/3', '9/4'] -> (5/9 + 7/3 * 7/3) / 1/9 / 9/4
[1261445] ['1/9', '5/9', '7/3', '7/4', '7/6'] -> (7/3 - 5/9) * 7/4 / 1/9 / 7/6
[1261458] ['1/9', '5/9', '7/3', '7/5', '7/6'] -> (7/3 + 5/9 * 7/5) / 1/9 / 7/6
[1261464] ['1/9', '5/9', '7/3', '7/5', '8/9'] -> 7/3 / 1/9 / 5/9 / 7/5 * 8/9
[1261468] ['1/9', '5/9', '7/3', '7/5', '9/7'] -> 9/7 / (1/9 / (7/3 + 7/5) / 5/9)
[1261469] ['1/9', '5/9', '7/3', '7/5', '9/8'] -> 7/3 / 1/9 / 5/9 / 7/5 / 9/8
[1261475] ['1/9', '5/9', '7/3', '7/6', '8/7'] -> 8/7 / (5/9 / (7/3 + 7/6) - 1/9)
[1261492] ['1/9', '5/9', '7/3', '7/8', '9/8'] -> (5/9 + 7/3) / 1/9 - 7/8 - 9/8
[1261493] ['1/9', '5/9', '7/3', '7/9', '7/9'] -> (5/9 * 7/3 + 7/9) / 1/9 / 7/9
[1261496] ['1/9', '5/9', '7/3', '7/9', '8/7'] -> 7/3 / (7/9 - 1/9 - 5/9) * 8/7
[1261498] ['1/9', '5/9', '7/3', '7/9', '9/2'] -> (5/9 / 1/9 + 7/9 / 7/3) * 9/2
[1261501] ['1/9', '5/9', '7/3', '7/9', '9/7'] -> 9/7 / (1/9 / (5/9 * 7/3 + 7/9))
[1261502] ['1/9', '5/9', '7/3', '7/9', '9/8'] -> 9/8 / (1/9 / (5/9 + 7/3 * 7/9))
[1261504] ['1/9', '5/9', '7/3', '8/3', '8/5'] -> 5/9 / (8/3 - 7/3) / 1/9 * 8/5
[1261505] ['1/9', '5/9', '7/3', '8/3', '8/7'] -> 8/3 / (5/9 / 7/3 - 1/9) * 8/7
[1261506] ['1/9', '5/9', '7/3', '8/3', '8/9'] -> 7/3 / 1/9 + 8/3 - 5/9 + 8/9
[1261507] ['1/9', '5/9', '7/3', '8/3', '9/2'] -> (5/9 / 1/9 + 8/3 - 7/3) * 9/2
[1261508] ['1/9', '5/9', '7/3', '8/3', '9/4'] -> (7/3 - 1/9) * 8/3 / 5/9 * 9/4
[1261518] ['1/9', '5/9', '7/3', '8/5', '9/7'] -> 9/7 / (1/9 / 5/9 / 7/3 / 8/5)
[1261525] ['1/9', '5/9', '7/3', '8/7', '9/7'] -> (7/3 + 8/7 / 1/9) / 5/9 + 9/7
[1261527] ['1/9', '5/9', '7/3', '8/9', '8/9'] -> (5/9 + 7/3) * 8/9 / 1/9 + 8/9
[1261529] ['1/9', '5/9', '7/3', '8/9', '9/4'] -> ((5/9 + 8/9) / 1/9 - 7/3) * 9/4
[1261538] ['1/9', '5/9', '7/3', '9/4', '9/4'] -> 5/9 * 7/3 * 9/4 / 1/9 - 9/4
[1261546] ['1/9', '5/9', '7/3', '9/7', '9/8'] -> 9/8 / (1/9 / (5/9 + 7/3 / 9/7))
[1261555] ['1/9', '5/9', '7/4', '7/4', '8/7'] -> 8/7 / (5/9 / (7/4 + 7/4) - 1/9)
[1261580] ['1/9', '5/9', '7/4', '7/6', '8/7'] -> 8/7 / ((7/6 - 1/9) / 7/4 - 5/9)
[1261583] ['1/9', '5/9', '7/4', '7/6', '9/4'] -> (7/4 / 1/9 - 7/6) / 5/9 - 9/4
[1261611] ['1/9', '5/9', '7/4', '8/3', '8/9'] -> 8/9 / (5/9 - 1/9 * 7/4 * 8/3)
[1261612] ['1/9', '5/9', '7/4', '8/3', '9/2'] -> (1/9 + 5/9 + 7/4 * 8/3) * 9/2
[1261647] ['1/9', '5/9', '7/4', '9/5', '9/5'] -> (1/9 + 5/9) / (9/5 - 7/4) * 9/5
[1261663] ['1/9', '5/9', '7/5', '7/5', '9/5'] -> 7/5 + 7/5 + (5/9 + 9/5) / 1/9
[1261679] ['1/9', '5/9', '7/5', '7/8', '7/9'] -> 7/9 / (1/9 * 5/9 * (7/5 - 7/8))
[1261691] ['1/9', '5/9', '7/5', '7/9', '8/5'] -> 8/5 / (7/9 - 1/9 * 7/5 - 5/9)
[1261692] ['1/9', '5/9', '7/5', '7/9', '8/7'] -> 8/7 / ((7/9 - 5/9) / 7/5 - 1/9)
[1261708] ['1/9', '5/9', '7/5', '8/5', '8/5'] -> 5/9 * (7/5 + 8/5) / 1/9 * 8/5
[1261723] ['1/9', '5/9', '7/5', '8/9', '8/9'] -> (7/5 + 8/9 / 5/9) / 1/9 * 8/9
[1261728] ['1/9', '5/9', '7/5', '8/9', '9/8'] -> (7/5 + 8/9 / 5/9) / 1/9 / 9/8
[1261745] ['1/9', '5/9', '7/6', '7/6', '7/8'] -> (7/6 / 1/9 + 7/6) / 5/9 / 7/8
[1261749] ['1/9', '5/9', '7/6', '7/6', '8/7'] -> (7/6 / 1/9 + 7/6) / 5/9 * 8/7
[1261781] ['1/9', '5/9', '7/6', '8/3', '9/2'] -> 8/3 / (7/6 - 1/9 - 5/9) * 9/2
[1261811] ['1/9', '5/9', '7/6', '9/2', '9/8'] -> (7/6 / 1/9 + 9/2) / 5/9 / 9/8
[1261812] ['1/9', '5/9', '7/6', '9/4', '9/4'] -> (7/6 + 5/9 * 9/4) / 1/9 + 9/4
[1261833] ['1/9', '5/9', '7/8', '7/9', '7/9'] -> 7/9 / (1/9 * (7/9 - 5/9 * 7/8))
[1261837] ['1/9', '5/9', '7/8', '7/9', '8/9'] -> 8/9 / (1/9 * (7/9 / 7/8 - 5/9))
[1261865] ['1/9', '5/9', '7/8', '8/7', '9/7'] -> 9/7 / (1/9 * (8/7 - 7/8) / 5/9)
[1261879] ['1/9', '5/9', '7/8', '9/4', '9/5'] -> 9/5 / (1/9 * (9/4 - 7/8 / 5/9))
[1261891] ['1/9', '5/9', '7/9', '7/9', '8/7'] -> 8/7 / (1/9 + 5/9 / 7/9 - 7/9)
[1261909] ['1/9', '5/9', '7/9', '8/5', '8/9'] -> (7/9 / 5/9 + 8/5) / 1/9 * 8/9
[1261914] ['1/9', '5/9', '7/9', '8/5', '9/8'] -> (7/9 / 5/9 + 8/5) / 1/9 / 9/8
[1261915] ['1/9', '5/9', '7/9', '8/7', '8/7'] -> 8/7 / (1/9 * (8/7 - 5/9 / 7/9))
[1261916] ['1/9', '5/9', '7/9', '8/7', '8/9'] -> 8/9 / (1/9 * (7/9 * 8/7 - 5/9))
[1261924] ['1/9', '5/9', '7/9', '8/9', '9/4'] -> (5/9 + 7/9) * 8/9 / 1/9 * 9/4
[1261927] ['1/9', '5/9', '7/9', '8/9', '9/8'] -> (7/9 + 8/9) / 1/9 / 5/9 / 9/8
[1261936] ['1/9', '5/9', '7/9', '9/4', '9/8'] -> (5/9 + 7/9) * 9/4 / 1/9 / 9/8
[1261945] ['1/9', '5/9', '8/3', '8/3', '8/7'] -> 8/3 / (5/9 / 8/3 - 1/9) / 8/7
[1261949] ['1/9', '5/9', '8/3', '8/3', '9/5'] -> (1/9 + 8/3) * 8/3 / 5/9 * 9/5
[1261952] ['1/9', '5/9', '8/3', '8/5', '8/5'] -> 8/5 / (1/9 + 5/9 - 8/5 / 8/3)
[1261956] ['1/9', '5/9', '8/3', '8/5', '9/4'] -> (8/3 + 5/9 * 8/5 / 1/9) * 9/4
[1261977] ['1/9', '5/9', '8/3', '9/2', '9/8'] -> 8/3 * 9/2 / (5/9 - 1/9) / 9/8
[1261982] ['1/9', '5/9', '8/3', '9/5', '9/5'] -> 9/5 / (5/9 / 1/9 / 8/3 - 9/5)
[1261984] ['1/9', '5/9', '8/3', '9/5', '9/8'] -> (8/3 / 5/9 - 9/5) / 1/9 / 9/8
[1261989] ['1/9', '5/9', '8/5', '8/5', '8/7'] -> ((5/9 + 8/5) / 1/9 + 8/5) * 8/7
[1261996] ['1/9', '5/9', '8/5', '8/7', '8/7'] -> 8/7 / (8/7 / 8/5 - 1/9 - 5/9)
[1262004] ['1/9', '5/9', '8/5', '8/9', '9/2'] -> 5/9 * (8/5 + 8/9 / 1/9) * 9/2
[1262006] ['1/9', '5/9', '8/5', '8/9', '9/5'] -> 8/5 / (8/9 - 5/9) / 1/9 / 9/5
[1262035] ['1/9', '5/9', '8/7', '8/9', '9/7'] -> 8/7 / (8/9 - 5/9) / 1/9 / 9/7
[1262053] ['1/9', '5/9', '8/9', '8/9', '9/2'] -> (5/9 * 8/9 / 1/9 + 8/9) * 9/2
[1262077] ['1/9', '5/9', '9/2', '9/2', '9/8'] -> (5/9 * 9/2 / 1/9 + 9/2) / 9/8
[1262089] ['1/9', '5/9', '9/4', '9/4', '9/5'] -> (5/9 + 9/4) / 1/9 - 9/4 / 9/5
[1262108] ['1/9', '6/5', '6/5', '6/5', '6/5'] -> (6/5 + 6/5) / 1/9 + 6/5 + 6/5
[1262109] ['1/9', '6/5', '6/5', '6/5', '6/7'] -> (6/5 + 6/5) / 1/9 / 6/7 - 6/5
[1262111] ['1/9', '6/5', '6/5', '6/5', '7/3'] -> 6/5 * (7/3 / 1/9 - 6/5 / 6/5)
[1262114] ['1/9', '6/5', '6/5', '6/5', '7/6'] -> (6/5 + 6/5) * 7/6 / 1/9 - 6/5
[1262120] ['1/9', '6/5', '6/5', '6/5', '8/9'] -> 6/5 * (6/5 + (6/5 + 8/9) / 1/9)
[1262123] ['1/9', '6/5', '6/5', '6/5', '9/5'] -> (6/5 / 6/5 + 9/5) / 1/9 - 6/5
[1262128] ['1/9', '6/5', '6/5', '6/7', '7/3'] -> (6/5 / 1/9 + 6/5) * 6/7 * 7/3
[1262144] ['1/9', '6/5', '6/5', '7/2', '7/3'] -> 6/5 * 7/2 - 6/5 + 7/3 / 1/9
[1262145] ['1/9', '6/5', '6/5', '7/2', '7/4'] -> (6/5 / 1/9 + 6/5) * 7/2 / 7/4
[1262146] ['1/9', '6/5', '6/5', '7/2', '7/5'] -> (6/5 / 1/9 - 6/5) * 7/2 / 7/5
[1262151] ['1/9', '6/5', '6/5', '7/2', '8/5'] -> (6/5 / 1/9 + 6/5 * 7/2) * 8/5
[1262153] ['1/9', '6/5', '6/5', '7/2', '8/9'] -> (6/5 * 7/2 - 6/5) / 1/9 * 8/9
[1262158] ['1/9', '6/5', '6/5', '7/2', '9/8'] -> (6/5 * 7/2 - 6/5) / 1/9 / 9/8
[1262159] ['1/9', '6/5', '6/5', '7/3', '7/3'] -> (6/5 / 1/9 - 6/5 / 7/3) * 7/3
[1262162] ['1/9', '6/5', '6/5', '7/3', '7/6'] -> (6/5 / 1/9 + 6/5) * 7/3 / 7/6
[1262169] ['1/9', '6/5', '6/5', '7/3', '9/2'] -> (6/5 + 6/5) * (7/3 - 1/9) * 9/2
[1262170] ['1/9', '6/5', '6/5', '7/3', '9/4'] -> 6/5 * 7/3 / 1/9 / (9/4 - 6/5)
[1262177] ['1/9', '6/5', '6/5', '7/4', '7/8'] -> (6/5 / 1/9 + 6/5) * 7/4 / 7/8
[1262181] ['1/9', '6/5', '6/5', '7/4', '8/7'] -> (6/5 / 1/9 + 6/5) * 7/4 * 8/7
[1262196] ['1/9', '6/5', '6/5', '7/5', '9/2'] -> (6/5 + 7/5) / 1/9 / 6/5 + 9/2
[1262197] ['1/9', '6/5', '6/5', '7/5', '9/4'] -> 6/5 / (7/5 - 6/5) / 1/9 / 9/4
[1262198] ['1/9', '6/5', '6/5', '7/5', '9/5'] -> (6/5 + 7/5) / 1/9 - 6/5 + 9/5
[1262205] ['1/9', '6/5', '6/5', '7/6', '8/5'] -> 8/5 / (6/5 * (7/6 - 1/9) - 6/5)
[1262208] ['1/9', '6/5', '6/5', '7/6', '9/2'] -> (6/5 / 6/5 + 7/6) / 1/9 + 9/2
[1262209] ['1/9', '6/5', '6/5', '7/6', '9/4'] -> (6/5 + 7/6) / 1/9 + 6/5 * 9/4
[1262214] ['1/9', '6/5', '6/5', '7/8', '7/9'] -> 7/9 / ((6/5 - 1/9) / 6/5 - 7/8)
[1262236] ['1/9', '6/5', '6/5', '8/3', '8/7'] -> (6/5 + 8/3 / 1/9) / 6/5 * 8/7
[1262239] ['1/9', '6/5', '6/5', '8/3', '9/4'] -> (6/5 + 8/3 / 1/9) / (9/4 - 6/5)
[1262243] ['1/9', '6/5', '6/5', '8/5', '8/5'] -> 8/5 / 1/9 / (8/5 - 6/5 / 6/5)
[1262244] ['1/9', '6/5', '6/5', '8/5', '8/7'] -> (6/5 + 8/5) / 1/9 / 6/5 * 8/7
[1262245] ['1/9', '6/5', '6/5', '8/5', '8/9'] -> 6/5 / (8/5 - 6/5) / 1/9 * 8/9
[1262247] ['1/9', '6/5', '6/5', '8/5', '9/4'] -> (6/5 + 8/5) / 1/9 / (9/4 - 6/5)
[1262250] ['1/9', '6/5', '6/5', '8/5', '9/8'] -> 6/5 / (8/5 - 6/5) / 1/9 / 9/8
[1262260] ['1/9', '6/5', '6/5', '8/9', '9/4'] -> (6/5 / 1/9 + 6/5) * 8/9 * 9/4
[1262264] ['1/9', '6/5', '6/5', '9/2', '9/2'] -> (9/2 - 6/5) / 1/9 - 6/5 - 9/2
[1262265] ['1/9', '6/5', '6/5', '9/2', '9/4'] -> (6/5 / 1/9 + 6/5) * 9/2 / 9/4
[1262266] ['1/9', '6/5', '6/5', '9/2', '9/5'] -> (6/5 / 1/9 - 6/5) * 9/2 / 9/5
[1262270] ['1/9', '6/5', '6/5', '9/4', '9/5'] -> 9/5 / 1/9 / (9/4 / 6/5 - 6/5)
[1262272] ['1/9', '6/5', '6/5', '9/4', '9/8'] -> (6/5 / 1/9 + 6/5) * 9/4 / 9/8
[1262281] ['1/9', '6/5', '6/7', '6/7', '7/3'] -> (6/7 / 1/9 + 6/7) * 6/5 * 7/3
[1262288] ['1/9', '6/5', '6/7', '6/7', '8/5'] -> (6/7 / 1/9 + 6/7) * (6/5 + 8/5)
[1262314] ['1/9', '6/5', '6/7', '7/3', '7/5'] -> (6/5 / 6/7 + 7/3) / 1/9 / 7/5
[1262316] ['1/9', '6/5', '6/7', '7/3', '7/8'] -> 7/8 / (1/9 / (6/7 / 6/5 + 7/3))
[1262319] ['1/9', '6/5', '6/7', '7/3', '8/5'] -> 6/7 * 7/3 / 1/9 / 6/5 * 8/5
[1262324] ['1/9', '6/5', '6/7', '7/3', '9/5'] -> (6/5 + 6/7) * 7/3 / 1/9 / 9/5
[1262333] ['1/9', '6/5', '6/7', '7/4', '8/5'] -> 8/5 / (1/9 * (6/5 - 6/7) * 7/4)
[1262358] ['1/9', '6/5', '6/7', '7/6', '8/5'] -> 8/5 / (6/7 * (1/9 + 7/6 - 6/5))
[1262380] ['1/9', '6/5', '6/7', '7/9', '8/7'] -> 8/7 / (1/9 + 6/7 / 6/5 - 7/9)
