[1360820] ['2/3', '5/8', '5/9', '7/5', '7/9'] -> 7/9 / ((2/3 - 5/8) * 5/9 * 7/5)
[1379263] ['2/5', '2/7', '2/9', '3/4', '8/7'] -> 8/7 / (2/5 * (2/7 - 2/9 * 3/4))
[1379294] ['2/5', '2/7', '2/9', '3/5', '8/5'] -> 8/5 / (2/9 * 3/5 / 2/7 - 2/5)
[1379295] ['2/5', '2/7', '2/9', '3/5', '8/7'] -> 8/7 / (2/9 * 3/5 / 2/5 - 2/7)
[1379297] ['2/5', '2/7', '2/9', '3/5', '9/2'] -> 9/2 / (2/5 / (2/7 + 2/9) - 3/5)
[1379324] ['2/5', '2/7', '2/9', '3/7', '8/3'] -> 8/3 / (2/7 / 3/7 - 2/9 / 2/5)
[1379325] ['2/5', '2/7', '2/9', '3/7', '8/5'] -> 8/5 / (2/5 - 2/9 * 3/7 / 2/7)
[1379326] ['2/5', '2/7', '2/9', '3/7', '8/7'] -> 8/7 / (2/7 - 2/9 * 3/7 / 2/5)
[1379334] ['2/5', '2/7', '2/9', '3/8', '4/3'] -> 4/3 / ((2/5 + 2/9) * (3/8 - 2/7))
[1379355] ['2/5', '2/7', '2/9', '3/8', '8/5'] -> 8/5 / ((2/5 + 2/9) * 2/7 * 3/8)
[1379364] ['2/5', '2/7', '2/9', '4/3', '4/5'] -> (4/3 / 2/7 - 2/5) / 2/9 / 4/5
[1379365] ['2/5', '2/7', '2/9', '4/3', '4/7'] -> (4/3 / 2/5 - 2/7) / 2/9 / 4/7
[1379369] ['2/5', '2/7', '2/9', '4/3', '5/4'] -> (4/3 / 2/7 - 2/5) / 2/9 * 5/4
[1379374] ['2/5', '2/7', '2/9', '4/3', '6/5'] -> (2/5 + 4/3 / 2/7) / 2/9 + 6/5
[1379378] ['2/5', '2/7', '2/9', '4/3', '7/4'] -> (4/3 / 2/5 - 2/7) / 2/9 * 7/4
[1379388] ['2/5', '2/7', '2/9', '4/3', '9/4'] -> 4/3 / (2/5 - 2/9) / 2/7 - 9/4
[1379396] ['2/5', '2/7', '2/9', '4/5', '5/3'] -> (2/5 + 4/5 / 2/7) / 2/9 * 5/3
[1379405] ['2/5', '2/7', '2/9', '4/5', '7/3'] -> (2/7 + 4/5 / 2/5) / 2/9 * 7/3
[1379413] ['2/5', '2/7', '2/9', '4/5', '8/7'] -> 8/7 / (2/9 * (2/5 / 4/5 - 2/7))
[1379438] ['2/5', '2/7', '2/9', '4/7', '8/3'] -> 8/3 / (2/5 * (2/7 / 4/7 - 2/9))
[1379466] ['2/5', '2/7', '2/9', '4/9', '8/7'] -> 8/7 / (2/7 / 2/5 - 2/9 - 4/9)
[1379513] ['2/5', '2/7', '2/9', '5/3', '8/3'] -> 8/3 / (2/9 / 2/7 - 2/5 * 5/3)
[1379514] ['2/5', '2/7', '2/9', '5/3', '8/5'] -> 8/5 / (2/9 / 2/7 / 5/3 - 2/5)
[1379515] ['2/5', '2/7', '2/9', '5/3', '8/7'] -> 8/7 / (2/9 / 2/5 / 5/3 - 2/7)
[1379538] ['2/5', '2/7', '2/9', '5/4', '8/7'] -> 8/7 / (2/9 * (2/5 * 5/4 - 2/7))
[1379556] ['2/5', '2/7', '2/9', '5/6', '7/8'] -> 2/5 / (2/7 - 2/9 / 5/6) / 7/8
[1379560] ['2/5', '2/7', '2/9', '5/6', '8/7'] -> 2/5 / (2/7 - 2/9 / 5/6) * 8/7
[1379579] ['2/5', '2/7', '2/9', '5/7', '8/3'] -> 8/3 / (2/9 * 5/7 / 2/5 - 2/7)
[1379593] ['2/5', '2/7', '2/9', '5/8', '7/3'] -> 2/7 / (2/5 * 5/8 - 2/9) * 7/3
[1379599] ['2/5', '2/7', '2/9', '5/8', '8/3'] -> 8/3 / ((2/5 + 2/9) * 2/7 * 5/8)
[1379619] ['2/5', '2/7', '2/9', '5/9', '8/5'] -> 8/5 / ((2/5 - 2/9) / 2/7 - 5/9)
[1379630] ['2/5', '2/7', '2/9', '6/5', '7/3'] -> (6/5 - 2/7) / 2/5 / 2/9 * 7/3
[1379634] ['2/5', '2/7', '2/9', '6/5', '7/8'] -> 2/5 / (2/7 - 2/9 * 6/5) / 7/8
[1379638] ['2/5', '2/7', '2/9', '6/5', '8/7'] -> 2/5 / (2/7 - 2/9 * 6/5) * 8/7
[1379679] ['2/5', '2/7', '2/9', '7/3', '7/4'] -> (2/7 / 2/5 + 7/3) / 2/9 * 7/4
[1379684] ['2/5', '2/7', '2/9', '7/3', '8/3'] -> 8/3 / (2/7 * 7/3 - 2/9 / 2/5)
[1379685] ['2/5', '2/7', '2/9', '7/3', '8/5'] -> 8/5 / (2/5 - 2/9 / 2/7 / 7/3)
[1379686] ['2/5', '2/7', '2/9', '7/3', '8/7'] -> 8/7 / (2/7 - 2/9 / 2/5 / 7/3)
[1379698] ['2/5', '2/7', '2/9', '7/4', '8/3'] -> 8/3 / (2/5 * (2/7 * 7/4 - 2/9))
[1379711] ['2/5', '2/7', '2/9', '7/5', '8/3'] -> 8/3 / (2/9 / 2/5 / 7/5 - 2/7)
[1379725] ['2/5', '2/7', '2/9', '7/6', '8/7'] -> 8/7 / (2/5 * (2/7 / 2/9 - 7/6))
[1379754] ['2/5', '2/7', '2/9', '8/3', '8/5'] -> 8/3 / (2/5 + 2/9) / 2/7 * 8/5
[1379764] ['2/5', '2/7', '2/9', '8/5', '8/9'] -> (2/5 + 8/5 / 2/7) / 2/9 * 8/9
[1379769] ['2/5', '2/7', '2/9', '8/5', '9/8'] -> (2/5 + 8/5 / 2/7) / 2/9 / 9/8
[1379771] ['2/5', '2/7', '2/9', '8/7', '8/9'] -> 8/9 / (2/9 - 2/7 / (2/5 + 8/7))
[1379802] ['2/5', '2/7', '3/2', '3/2', '3/8'] -> (3/2 / 2/5 + 3/2 / 2/7) / 3/8
[1379812] ['2/5', '2/7', '3/2', '3/2', '5/8'] -> 3/2 / (3/2 - 2/5 / 2/7) / 5/8
[1379823] ['2/5', '2/7', '3/2', '3/2', '8/3'] -> (3/2 / 2/5 + 3/2 / 2/7) * 8/3
[1379824] ['2/5', '2/7', '3/2', '3/2', '8/5'] -> 3/2 * 8/5 / (3/2 - 2/5 / 2/7)
[1379838] ['2/5', '2/7', '3/2', '3/4', '4/7'] -> 3/2 / (3/4 - 2/7 / 2/5) * 4/7
[1379851] ['2/5', '2/7', '3/2', '3/4', '7/4'] -> 3/2 / (3/4 - 2/7 / 2/5) / 7/4
[1379861] ['2/5', '2/7', '3/2', '3/4', '9/4'] -> 3/4 / (2/7 * 3/2 - 2/5) - 9/4
[1379862] ['2/5', '2/7', '3/2', '3/4', '9/5'] -> 9/5 / ((3/2 - 2/5 / 2/7) * 3/4)
[1379863] ['2/5', '2/7', '3/2', '3/4', '9/7'] -> 9/7 / (3/2 * (3/4 - 2/7 / 2/5))
[1379866] ['2/5', '2/7', '3/2', '3/5', '3/7'] -> (2/7 + 3/5 / 3/2) / (3/7 - 2/5)
[1379867] ['2/5', '2/7', '3/2', '3/5', '3/8'] -> (3/2 + 3/5 / 2/7) / 2/5 / 3/8
[1379886] ['2/5', '2/7', '3/2', '3/5', '7/8'] -> 3/5 / (2/7 * 3/2 - 2/5) / 7/8
[1379888] ['2/5', '2/7', '3/2', '3/5', '8/3'] -> (3/2 + 3/5 / 2/7) / 2/5 * 8/3
[1379893] ['2/5', '2/7', '3/2', '3/5', '9/4'] -> 3/2 / (3/5 - 2/5) / 2/7 - 9/4
[1379898] ['2/5', '2/7', '3/2', '3/7', '3/8'] -> (3/2 + 3/7 / 2/5) / 2/7 / 3/8
[1379919] ['2/5', '2/7', '3/2', '3/7', '8/3'] -> (3/2 + 3/7 / 2/5) / 2/7 * 8/3
[1379921] ['2/5', '2/7', '3/2', '3/7', '8/7'] -> 8/7 / (2/7 / 2/5 / 3/2 - 3/7)
[1379924] ['2/5', '2/7', '3/2', '3/7', '9/4'] -> 3/2 / (3/7 - 2/7) / 2/5 - 9/4
[1379931] ['2/5', '2/7', '3/2', '3/8', '4/7'] -> 3/2 / (3/8 - 2/7) / 2/5 * 4/7
[1379934] ['2/5', '2/7', '3/2', '3/8', '5/3'] -> (2/5 + 3/2 / 2/7 / 3/8) * 5/3
[1379943] ['2/5', '2/7', '3/2', '3/8', '7/3'] -> (2/7 + 3/2 / 2/5 / 3/8) * 7/3
[1379944] ['2/5', '2/7', '3/2', '3/8', '7/4'] -> 3/2 / (3/8 - 2/7) / 2/5 / 7/4
[1379945] ['2/5', '2/7', '3/2', '3/8', '7/5'] -> 7/5 / ((2/5 - 3/8) / 2/7 / 3/2)
[1379955] ['2/5', '2/7', '3/2', '3/8', '9/5'] -> 9/5 / (2/5 * (3/2 - 3/8 / 2/7))
[1379956] ['2/5', '2/7', '3/2', '3/8', '9/7'] -> 9/7 / (2/5 * 3/2 * (3/8 - 2/7))
[1379968] ['2/5', '2/7', '3/2', '4/3', '5/9'] -> 4/3 / (3/2 - 2/5 / 2/7) / 5/9
[1379979] ['2/5', '2/7', '3/2', '4/3', '8/5'] -> 8/5 / (2/7 * (2/5 + 4/3 - 3/2))
[1379980] ['2/5', '2/7', '3/2', '4/3', '8/7'] -> 8/7 / (2/5 * (2/7 + 4/3 - 3/2))
[1379984] ['2/5', '2/7', '3/2', '4/3', '9/5'] -> 4/3 / (3/2 - 2/5 / 2/7) * 9/5
[1379988] ['2/5', '2/7', '3/2', '4/5', '4/7'] -> 4/5 / (2/7 - 2/5 / 3/2) * 4/7
[1379998] ['2/5', '2/7', '3/2', '4/5', '6/7'] -> 4/5 / (2/7 * 3/2 - 2/5) * 6/7
[1380001] ['2/5', '2/7', '3/2', '4/5', '7/4'] -> 4/5 / (2/7 - 2/5 / 3/2) / 7/4
[1380003] ['2/5', '2/7', '3/2', '4/5', '7/6'] -> 4/5 / (2/7 * 3/2 - 2/5) / 7/6
[1380008] ['2/5', '2/7', '3/2', '4/5', '8/7'] -> 8/7 / (2/5 / 3/2 / 4/5 - 2/7)
[1380019] ['2/5', '2/7', '3/2', '4/7', '5/4'] -> 4/7 / (2/7 - 2/5 / 3/2) / 5/4
[1380020] ['2/5', '2/7', '3/2', '4/7', '5/6'] -> 4/7 / (2/7 * 3/2 - 2/5) / 5/6
[1380024] ['2/5', '2/7', '3/2', '4/7', '6/5'] -> 4/7 / (2/7 * 3/2 - 2/5) * 6/5
[1380038] ['2/5', '2/7', '3/2', '4/7', '9/4'] -> 3/2 / (2/7 - 2/5 * 4/7) - 9/4
[1380059] ['2/5', '2/7', '3/2', '4/9', '8/3'] -> 8/3 / (2/7 * (3/2 - 4/9 / 2/5))
[1380061] ['2/5', '2/7', '3/2', '4/9', '8/7'] -> 8/7 / (2/7 / 2/5 - 3/2 * 4/9)
[1380069] ['2/5', '2/7', '3/2', '5/2', '5/3'] -> (2/5 + (3/2 + 5/2) / 2/7) * 5/3
[1380078] ['2/5', '2/7', '3/2', '5/2', '7/3'] -> (2/7 + (3/2 + 5/2) / 2/5) * 7/3
[1380086] ['2/5', '2/7', '3/2', '5/2', '8/7'] -> 8/7 / ((2/7 - 2/5 / 3/2) * 5/2)
[1380109] ['2/5', '2/7', '3/2', '5/3', '8/5'] -> 8/5 / (2/7 * (2/5 + 3/2 - 5/3))
[1380123] ['2/5', '2/7', '3/2', '5/4', '6/7'] -> 6/7 / ((2/7 * 3/2 - 2/5) * 5/4)
[1380133] ['2/5', '2/7', '3/2', '5/4', '8/7'] -> 8/7 / (2/5 * 5/4 / 3/2 - 2/7)
[1380155] ['2/5', '2/7', '3/2', '5/6', '8/7'] -> 8/7 / (2/7 / 2/5 + 5/6 - 3/2)
[1380158] ['2/5', '2/7', '3/2', '5/6', '9/4'] -> 3/2 / (2/5 - 2/7 / 5/6) - 9/4
[1380185] ['2/5', '2/7', '3/2', '5/8', '6/5'] -> 6/5 / (2/5 - 5/8 / (2/7 + 3/2))
[1380189] ['2/5', '2/7', '3/2', '5/8', '7/4'] -> 3/2 / (2/7 - 2/5 * 5/8) / 7/4
[1380190] ['2/5', '2/7', '3/2', '5/8', '7/5'] -> 7/5 / ((5/8 / 3/2 - 2/5) / 2/7)
[1380199] ['2/5', '2/7', '3/2', '5/8', '9/4'] -> 3/2 / (2/7 / 5/8 - 2/5) - 9/4
[1380201] ['2/5', '2/7', '3/2', '5/8', '9/7'] -> 9/7 / (3/2 * (2/7 - 2/5 * 5/8))
[1380214] ['2/5', '2/7', '3/2', '5/9', '8/5'] -> 8/5 / (2/7 * 3/2 * (5/9 - 2/5))
[1380215] ['2/5', '2/7', '3/2', '5/9', '8/7'] -> 8/7 / (2/5 * 3/2 * 5/9 - 2/7)
[1380223] ['2/5', '2/7', '3/2', '6/5', '6/7'] -> 2/5 / (3/2 - 2/7 - 6/5) * 6/7
[1380226] ['2/5', '2/7', '3/2', '6/5', '7/4'] -> 6/5 / (2/7 * 3/2 - 2/5) / 7/4
[1380228] ['2/5', '2/7', '3/2', '6/5', '7/6'] -> 2/5 / (3/2 - 2/7 - 6/5) / 7/6
[1380236] ['2/5', '2/7', '3/2', '6/5', '9/4'] -> 3/2 / (2/5 - 2/7 * 6/5) - 9/4
[1380249] ['2/5', '2/7', '3/2', '6/7', '8/5'] -> 8/5 / (2/7 / 6/7 - 2/5 / 3/2)
[1380253] ['2/5', '2/7', '3/2', '6/7', '9/4'] -> 3/2 / (2/5 * 6/7 - 2/7) - 9/4
[1380281] ['2/5', '2/7', '3/2', '7/3', '8/7'] -> 8/7 / (2/5 * (7/3 - 3/2) - 2/7)
[1380298] ['2/5', '2/7', '3/2', '7/4', '9/4'] -> 3/2 / (2/7 - 2/5 / 7/4) - 9/4
[1380319] ['2/5', '2/7', '3/2', '7/6', '8/5'] -> 8/5 / (2/7 * 7/6 - 2/5 / 3/2)
[1380323] ['2/5', '2/7', '3/2', '7/6', '9/4'] -> 3/2 / (2/5 / 7/6 - 2/7) - 9/4
[1380340] ['2/5', '2/7', '3/2', '7/9', '8/5'] -> 8/5 / (2/5 - 2/7 * 3/2 * 7/9)
[1380348] ['2/5', '2/7', '3/2', '8/3', '8/3'] -> 8/3 / (3/2 - 2/5 / 2/7) - 8/3
[1380360] ['2/5', '2/7', '3/2', '8/5', '9/2'] -> (8/5 / 2/7 - 2/5 / 3/2) * 9/2
[1380361] ['2/5', '2/7', '3/2', '8/5', '9/4'] -> 3/2 / (2/7 * 8/5 - 2/5) - 9/4
[1380363] ['2/5', '2/7', '3/2', '8/5', '9/7'] -> 9/7 / (3/2 * (2/7 - 2/5 / 8/5))
[1380365] ['2/5', '2/7', '3/2', '8/7', '8/7'] -> 8/7 / (8/7 / 3/2 - 2/7 / 2/5)
[1380375] ['2/5', '2/7', '3/2', '8/9', '9/5'] -> 9/5 / (2/5 / 2/7 / 8/9 - 3/2)
[1380378] ['2/5', '2/7', '3/2', '9/2', '9/2'] -> 3/2 / 2/5 + 9/2 / 2/7 + 9/2
[1380415] ['2/5', '2/7', '3/4', '3/4', '7/8'] -> 3/4 / (3/4 - 2/7 / 2/5) / 7/8
[1380419] ['2/5', '2/7', '3/4', '3/4', '8/7'] -> 3/4 * 8/7 / (3/4 - 2/7 / 2/5)
[1380423] ['2/5', '2/7', '3/4', '3/4', '9/5'] -> 9/5 / 2/7 / ((3/4 - 2/5) * 3/4)
[1380444] ['2/5', '2/7', '3/4', '3/5', '7/4'] -> 3/5 / (2/5 * 3/4 - 2/7) / 7/4
[1380466] ['2/5', '2/7', '3/4', '3/7', '5/4'] -> 3/7 / (2/5 * 3/4 - 2/7) / 5/4
[1380470] ['2/5', '2/7', '3/4', '3/7', '5/9'] -> 2/7 / (3/7 - 2/5) / 3/4 / 5/9
[1380472] ['2/5', '2/7', '3/4', '3/7', '6/7'] -> 6/7 / (3/7 / 2/5 - 2/7 - 3/4)
[1380486] ['2/5', '2/7', '3/4', '3/7', '9/5'] -> 2/7 / (3/7 - 2/5) / 3/4 * 9/5
[1380498] ['2/5', '2/7', '3/4', '3/8', '5/7'] -> 2/5 / (2/7 / 3/8 - 3/4) * 5/7
[1380502] ['2/5', '2/7', '3/4', '3/8', '6/7'] -> 6/7 / (2/5 * (3/4 - 2/7 - 3/8))
[1380506] ['2/5', '2/7', '3/4', '3/8', '7/5'] -> 2/5 / (2/7 / 3/8 - 3/4) / 7/5
[1380508] ['2/5', '2/7', '3/4', '3/8', '7/8'] -> 3/4 / (3/8 - 2/7) / 2/5 / 7/8
[1380512] ['2/5', '2/7', '3/4', '3/8', '8/7'] -> 3/4 / (3/8 - 2/7) / 2/5 * 8/7
[1380515] ['2/5', '2/7', '3/4', '3/8', '9/4'] -> 3/8 / (2/5 * 3/4 - 2/7) - 9/4
[1380517] ['2/5', '2/7', '3/4', '3/8', '9/7'] -> 9/7 / (2/7 * (3/8 / 2/5 - 3/4))
[1380529] ['2/5', '2/7', '3/4', '4/3', '5/9'] -> 4/3 / (3/4 - 2/5) / 2/7 / 5/9
[1380530] ['2/5', '2/7', '3/4', '4/3', '6/5'] -> 6/5 / (3/4 * (2/5 / 2/7 - 4/3))
[1380541] ['2/5', '2/7', '3/4', '4/3', '8/7'] -> 8/7 / ((3/4 - 2/7 / 2/5) * 4/3)
[1380545] ['2/5', '2/7', '3/4', '4/3', '9/5'] -> 4/3 / (3/4 - 2/5) / 2/7 * 9/5
[1380561] ['2/5', '2/7', '3/4', '4/5', '7/3'] -> 4/5 / (2/5 * 3/4 - 2/7) / 7/3
[1380564] ['2/5', '2/7', '3/4', '4/5', '7/6'] -> 2/5 / (4/5 - 3/4) / 2/7 / 7/6
[1380579] ['2/5', '2/7', '3/4', '4/7', '5/3'] -> 4/7 / (2/5 * 3/4 - 2/7) / 5/3
[1380580] ['2/5', '2/7', '3/4', '4/7', '5/4'] -> 4/7 / (2/5 - 2/7 / 3/4) / 5/4
[1380585] ['2/5', '2/7', '3/4', '4/7', '6/5'] -> 6/5 / (2/5 * 4/7 / 2/7 - 3/4)
[1380596] ['2/5', '2/7', '3/4', '4/7', '8/7'] -> 8/7 / (4/7 / 3/4 - 2/7 / 2/5)
[1380600] ['2/5', '2/7', '3/4', '4/7', '9/5'] -> 9/5 / (3/4 * (2/7 / 4/7 - 2/5))
[1380622] ['2/5', '2/7', '3/4', '4/9', '8/7'] -> 8/7 / (2/5 * 3/4 * (4/9 - 2/7))
[1380632] ['2/5', '2/7', '3/4', '5/2', '5/6'] -> (5/2 / 2/7 - 3/4) / 2/5 / 5/6
[1380638] ['2/5', '2/7', '3/4', '5/2', '7/2'] -> (5/2 / (3/4 - 2/5) - 2/7) * 7/2
[1380642] ['2/5', '2/7', '3/4', '5/2', '7/6'] -> 2/5 / (3/4 / 5/2 - 2/7) / 7/6
[1380647] ['2/5', '2/7', '3/4', '5/2', '8/7'] -> 8/7 / ((2/5 - 2/7 / 3/4) * 5/2)
[1380684] ['2/5', '2/7', '3/4', '5/4', '6/7'] -> 6/7 / (2/5 * 5/4 - (3/4 - 2/7))
[1380702] ['2/5', '2/7', '3/4', '5/6', '5/7'] -> 5/7 / ((3/4 - 2/7 / 2/5) * 5/6)
[1380716] ['2/5', '2/7', '3/4', '5/6', '8/7'] -> 8/7 / (2/7 / 3/4 - 2/5 * 5/6)
[1380721] ['2/5', '2/7', '3/4', '5/6', '9/7'] -> 9/7 / ((3/4 - 2/5 - 2/7) * 5/6)
[1380736] ['2/5', '2/7', '3/4', '5/7', '8/5'] -> 8/5 / (2/5 + 2/7 / 3/4 - 5/7)
[1380740] ['2/5', '2/7', '3/4', '5/7', '9/4'] -> 3/4 / (5/7 - 2/5 - 2/7) - 9/4
[1380747] ['2/5', '2/7', '3/4', '5/8', '6/7'] -> 6/7 / (2/5 * 5/8 - 2/7 * 3/4)
[1380753] ['2/5', '2/7', '3/4', '5/8', '7/8'] -> 3/4 / (2/7 - 2/5 * 5/8) / 7/8
[1380765] ['2/5', '2/7', '3/4', '5/9', '6/5'] -> 6/5 / (2/5 / 2/7 - 3/4 / 5/9)
[1380766] ['2/5', '2/7', '3/4', '5/9', '6/7'] -> 6/7 / ((3/4 - 2/5 - 2/7) * 5/9)
[1380770] ['2/5', '2/7', '3/4', '5/9', '7/5'] -> 7/5 / ((3/4 * 5/9 - 2/5) / 2/7)
[1380785] ['2/5', '2/7', '3/4', '6/5', '7/2'] -> 6/5 / (2/5 * 3/4 - 2/7) / 7/2
[1380788] ['2/5', '2/7', '3/4', '6/5', '7/5'] -> 6/5 / (3/4 - 2/7 / 2/5) / 7/5
[1380794] ['2/5', '2/7', '3/4', '6/5', '8/7'] -> 8/7 / (2/7 / 3/4 - 2/5 / 6/5)
[1380799] ['2/5', '2/7', '3/4', '6/5', '9/7'] -> 9/7 / ((3/4 - 2/5 - 2/7) / 6/5)
[1380815] ['2/5', '2/7', '3/4', '6/7', '9/5'] -> 6/7 / (3/4 - 2/5 - 2/7) * 9/5
[1380822] ['2/5', '2/7', '3/4', '7/2', '7/6'] -> (7/2 / 2/5 - 3/4) / 2/7 / 7/6
[1380826] ['2/5', '2/7', '3/4', '7/2', '8/5'] -> 8/5 / ((2/5 - 2/7 / 3/4) * 7/2)
[1380860] ['2/5', '2/7', '3/4', '7/4', '9/5'] -> 9/5 / (3/4 * (2/7 * 7/4 - 2/5))
[1380885] ['2/5', '2/7', '3/4', '7/6', '9/5'] -> 9/5 / ((3/4 - 2/5 - 2/7) * 7/6)
[1380891] ['2/5', '2/7', '3/4', '7/8', '8/5'] -> 8/5 / (2/5 - 2/7 * 7/8 / 3/4)
[1380902] ['2/5', '2/7', '3/4', '7/9', '8/7'] -> 8/7 / (3/4 * (7/9 - 2/7 / 2/5))
[1380909] ['2/5', '2/7', '3/4', '8/3', '8/3'] -> 8/3 / (3/4 - 2/5) / 2/7 - 8/3
[1380920] ['2/5', '2/7', '3/4', '8/5', '8/9'] -> 8/5 / (3/4 - 2/5 - 2/7) - 8/9
[1380933] ['2/5', '2/7', '3/4', '8/9', '8/9'] -> 8/9 / (3/4 - 2/7 / 2/5) - 8/9
[1380937] ['2/5', '2/7', '3/4', '8/9', '9/7'] -> 9/7 / (2/7 / 2/5 / 8/9 - 3/4)
[1380968] ['2/5', '2/7', '3/5', '3/5', '6/5'] -> (3/5 + 6/5 / 2/7) / (3/5 - 2/5)
[1380999] ['2/5', '2/7', '3/5', '3/7', '6/5'] -> (2/5 + 6/5) / (2/7 / 3/7 - 3/5)
[1381030] ['2/5', '2/7', '3/5', '3/8', '6/7'] -> 6/7 / (2/7 - 2/5 * 3/8 / 3/5)
[1381044] ['2/5', '2/7', '3/5', '3/8', '9/5'] -> 9/5 / (3/5 - 2/5 * 3/8 / 2/7)
[1381045] ['2/5', '2/7', '3/5', '3/8', '9/7'] -> 9/7 / (2/7 * 3/5 / 2/5 - 3/8)
[1381049] ['2/5', '2/7', '3/5', '4/3', '4/7'] -> 3/5 / (2/5 / 4/3 - 2/7) * 4/7
[1381062] ['2/5', '2/7', '3/5', '4/3', '7/4'] -> 3/5 / (2/5 / 4/3 - 2/7) / 7/4
[1381067] ['2/5', '2/7', '3/5', '4/3', '8/3'] -> 3/5 / (2/5 / 2/7 - 4/3) * 8/3
[1381071] ['2/5', '2/7', '3/5', '4/3', '9/2'] -> (2/5 / 3/5 + 4/3 / 2/7) * 9/2
[1381077] ['2/5', '2/7', '3/5', '4/5', '4/7'] -> 4/7 / (2/5 / 4/5 - 2/7 / 3/5)
[1381096] ['2/5', '2/7', '3/5', '4/5', '8/5'] -> 8/5 / (2/5 / 2/7 - 4/5 / 3/5)
[1381099] ['2/5', '2/7', '3/5', '4/5', '9/2'] -> (2/5 + 4/5 / 2/7) / 3/5 * 9/2
[1381101] ['2/5', '2/7', '3/5', '4/5', '9/5'] -> 9/5 / (3/5 / (2/5 + 2/7) - 4/5)
[1381104] ['2/5', '2/7', '3/5', '4/7', '4/7'] -> (2/5 / (3/5 - 4/7) - 2/7) / 4/7
[1381106] ['2/5', '2/7', '3/5', '4/7', '5/2'] -> (2/7 / (3/5 - 4/7) - 2/5) * 5/2
[1381117] ['2/5', '2/7', '3/5', '4/7', '7/4'] -> (2/5 / (3/5 - 4/7) - 2/7) * 7/4
[1381139] ['2/5', '2/7', '3/5', '4/9', '6/5'] -> 6/5 / (2/5 / 2/7 - 3/5 / 4/9)
[1381146] ['2/5', '2/7', '3/5', '4/9', '7/8'] -> 2/5 / (2/7 - 3/5 * 4/9) / 7/8
[1381148] ['2/5', '2/7', '3/5', '4/9', '8/3'] -> 2/5 / (3/5 - 4/9) / 2/7 * 8/3
[1381150] ['2/5', '2/7', '3/5', '4/9', '8/7'] -> 2/5 / (2/7 - 3/5 * 4/9) * 8/7
[1381162] ['2/5', '2/7', '3/5', '5/2', '5/8'] -> (3/5 + 5/2 / 2/7) / 2/5 + 5/8
[1381175] ['2/5', '2/7', '3/5', '5/2', '8/7'] -> 8/7 / (2/7 * 5/2 - 2/5 / 3/5)
[1381255] ['2/5', '2/7', '3/5', '5/7', '6/7'] -> (2/7 + 6/7) / (5/7 - 2/5 / 3/5)
[1381261] ['2/5', '2/7', '3/5', '5/7', '7/8'] -> 3/5 / (5/7 - 2/5 - 2/7) / 7/8
[1381265] ['2/5', '2/7', '3/5', '5/7', '8/7'] -> 3/5 / (5/7 - 2/5 - 2/7) * 8/7
[1381274] ['2/5', '2/7', '3/5', '5/8', '6/5'] -> 6/5 / (2/5 - 2/7 * (3/5 + 5/8))
[1381276] ['2/5', '2/7', '3/5', '5/8', '7/2'] -> 2/7 / (2/5 / 3/5 - 5/8) * 7/2
[1381281] ['2/5', '2/7', '3/5', '5/8', '7/8'] -> 7/8 / ((5/8 - 3/5) / (2/5 + 2/7))
[1381285] ['2/5', '2/7', '3/5', '5/8', '8/7'] -> 8/7 / ((2/7 / 3/5 - 2/5) * 5/8)
[1381287] ['2/5', '2/7', '3/5', '5/8', '9/2'] -> 9/2 / ((5/8 - 2/5) / 2/7 - 3/5)
[1381289] ['2/5', '2/7', '3/5', '5/8', '9/5'] -> 9/5 / ((3/5 - 2/5) / 2/7 - 5/8)
[1381304] ['2/5', '2/7', '3/5', '5/9', '8/7'] -> 8/7 / ((2/5 + 2/7 - 3/5) * 5/9)
[1381318] ['2/5', '2/7', '3/5', '6/5', '7/8'] -> 6/5 / (3/5 - 2/5) / 2/7 / 7/8
[1381320] ['2/5', '2/7', '3/5', '6/5', '8/3'] -> (6/5 / 2/7 - 3/5) / 2/5 * 8/3
[1381322] ['2/5', '2/7', '3/5', '6/5', '8/7'] -> 6/5 / (3/5 - 2/5) / 2/7 * 8/7
[1381325] ['2/5', '2/7', '3/5', '6/5', '9/4'] -> 6/5 / (2/7 - 2/5 * 3/5) - 9/4
[1381338] ['2/5', '2/7', '3/5', '6/7', '8/5'] -> 6/7 / (3/5 - 2/5) / 2/7 * 8/5
[1381341] ['2/5', '2/7', '3/5', '6/7', '9/2'] -> (2/5 / 3/5 + 6/7) / 2/7 * 9/2
[1381373] ['2/5', '2/7', '3/5', '7/3', '9/4'] -> (2/5 + (3/5 + 7/3) / 2/7) * 9/4
[1381397] ['2/5', '2/7', '3/5', '7/5', '8/7'] -> 8/7 / (3/5 / (2/5 + 7/5) - 2/7)
[1381407] ['2/5', '2/7', '3/5', '7/6', '8/3'] -> 3/5 / (2/5 - 2/7 * 7/6) * 8/3
[1381408] ['2/5', '2/7', '3/5', '7/6', '8/5'] -> 8/5 / (2/7 * (3/5 - 2/5) * 7/6)
[1381419] ['2/5', '2/7', '3/5', '7/8', '8/5'] -> 8/5 / ((2/7 / 3/5 - 2/5) * 7/8)
[1381439] ['2/5', '2/7', '3/5', '8/3', '8/7'] -> 8/7 / (2/7 * (8/3 - 2/5) - 3/5)
[1381441] ['2/5', '2/7', '3/5', '8/3', '9/2'] -> (2/5 / 2/7 + 3/5) * 8/3 * 9/2
