[826615] ['1/6', '2/9', '4/3', '5/3', '8/9'] -> (8/9 / (2/9 * ((5/3 - 1/6) - 4/3)))
[852476] ['1/6', '3/7', '4/7', '4/9', '9/2'] -> ((((4/7 / 3/7) - 4/9) / 1/6) * 9/2)
[852484] ['1/6', '3/7', '4/7', '5/2', '5/6'] -> ((((4/7 * 5/2) / 1/6) / 3/7) / 5/6)
[852488] ['1/6', '3/7', '4/7', '5/2', '6/5'] -> ((((4/7 * 5/2) / 1/6) / 3/7) * 6/5)
[852495] ['1/6', '3/7', '4/7', '5/2', '7/8'] -> ((((3/7 + 4/7) + 5/2) / 1/6) / 7/8)
[852499] ['1/6', '3/7', '4/7', '5/2', '8/7'] -> ((((3/7 + 4/7) + 5/2) / 1/6) * 8/7)
[852501] ['1/6', '3/7', '4/7', '5/2', '9/2'] -> ((((3/7 / 4/7) + 5/2) / 1/6) + 9/2)
[852504] ['1/6', '3/7', '4/7', '5/2', '9/7'] -> ((9/7 * (1/6 + 5/2)) / (4/7 - 3/7))
[852511] ['1/6', '3/7', '4/7', '5/3', '5/9'] -> ((((4/7 * 5/3) / 1/6) / 3/7) / 5/9)
[852514] ['1/6', '3/7', '4/7', '5/3', '7/2'] -> ((((5/3 - 3/7) / 1/6) - 4/7) * 7/2)
[852527] ['1/6', '3/7', '4/7', '5/3', '9/5'] -> ((((4/7 * 5/3) / 1/6) / 3/7) * 9/5)
[852536] ['1/6', '3/7', '4/7', '5/4', '6/7'] -> (6/7 / ((3/7 * (1/6 + 5/4)) - 4/7))
[852537] ['1/6', '3/7', '4/7', '5/4', '7/2'] -> (((3/7 + (4/7 * 5/4)) / 1/6) * 7/2)
[852546] ['1/6', '3/7', '4/7', '5/4', '8/7'] -> (8/7 / (1/6 * ((4/7 * 5/4) - 3/7)))
[852558] ['1/6', '3/7', '4/7', '5/6', '6/7'] -> (6/7 / (1/6 * (4/7 - (3/7 * 5/6))))
[852566] ['1/6', '3/7', '4/7', '5/6', '8/3'] -> (8/3 / (((4/7 - 1/6) / 3/7) - 5/6))
[852570] ['1/6', '3/7', '4/7', '5/6', '9/2'] -> ((((3/7 / 1/6) / 4/7) + 5/6) * 9/2)
[852581] ['1/6', '3/7', '4/7', '5/7', '7/3'] -> ((((3/7 + 4/7) + 5/7) / 1/6) * 7/3)
[852589] ['1/6', '3/7', '4/7', '5/7', '8/7'] -> (8/7 / (1/6 * ((3/7 + 4/7) - 5/7)))
[852625] ['1/6', '3/7', '4/7', '5/9', '7/9'] -> (7/9 / (1/6 * ((3/7 / 4/7) - 5/9)))
[852629] ['1/6', '3/7', '4/7', '5/9', '8/9'] -> (((4/7 / (5/9 - 3/7)) / 1/6) * 8/9)
[852630] ['1/6', '3/7', '4/7', '5/9', '9/2'] -> ((((3/7 + 5/9) / 1/6) - 4/7) * 9/2)
[852633] ['1/6', '3/7', '4/7', '5/9', '9/7'] -> (9/7 / ((1/6 / 4/7) - (3/7 * 5/9)))
[852634] ['1/6', '3/7', '4/7', '5/9', '9/8'] -> (((4/7 / (5/9 - 3/7)) / 1/6) / 9/8)
[852636] ['1/6', '3/7', '4/7', '6/5', '6/7'] -> (6/7 / (1/6 * (4/7 - (3/7 / 6/5))))
[852650] ['1/6', '3/7', '4/7', '6/5', '9/5'] -> (9/5 / (1/6 * (6/5 - (3/7 / 4/7))))
[852659] ['1/6', '3/7', '4/7', '6/7', '7/8'] -> ((((6/7 / 1/6) / 3/7) / 4/7) / 7/8)
[852663] ['1/6', '3/7', '4/7', '6/7', '8/7'] -> ((((6/7 / 1/6) / 3/7) / 4/7) * 8/7)
[852666] ['1/6', '3/7', '4/7', '6/7', '9/4'] -> ((((6/7 / 1/6) - 4/7) / 3/7) * 9/4)
[852667] ['1/6', '3/7', '4/7', '6/7', '9/5'] -> (((4/7 + (6/7 / 1/6)) / 3/7) * 9/5)
[852674] ['1/6', '3/7', '4/7', '7/2', '7/6'] -> ((((4/7 * 7/2) / 1/6) / 3/7) / 7/6)
[852678] ['1/6', '3/7', '4/7', '7/2', '8/5'] -> ((((7/2 - 3/7) - 4/7) / 1/6) * 8/5)
[852680] ['1/6', '3/7', '4/7', '7/2', '8/9'] -> ((((3/7 + 4/7) + 7/2) / 1/6) * 8/9)
[852682] ['1/6', '3/7', '4/7', '7/2', '9/4'] -> (((3/7 / 4/7) + (7/2 / 1/6)) + 9/4)
[852685] ['1/6', '3/7', '4/7', '7/2', '9/8'] -> ((((3/7 + 4/7) + 7/2) / 1/6) / 9/8)
[852691] ['1/6', '3/7', '4/7', '7/3', '7/9'] -> ((((4/7 * 7/3) / 1/6) / 3/7) / 7/9)
[852693] ['1/6', '3/7', '4/7', '7/3', '8/5'] -> (((3/7 + 4/7) + (7/3 / 1/6)) * 8/5)
[852696] ['1/6', '3/7', '4/7', '7/3', '9/2'] -> ((((4/7 / 1/6) + 7/3) - 3/7) * 9/2)
[852699] ['1/6', '3/7', '4/7', '7/3', '9/7'] -> ((((4/7 * 7/3) / 1/6) / 3/7) * 9/7)
[852707] ['1/6', '3/7', '4/7', '7/4', '8/5'] -> ((((3/7 / 4/7) + 7/4) / 1/6) * 8/5)
[852708] ['1/6', '3/7', '4/7', '7/4', '8/7'] -> (8/7 / ((4/7 - (1/6 / 7/4)) - 3/7))
[852714] ['1/6', '3/7', '4/7', '7/4', '9/8'] -> ((((3/7 + 7/4) / 1/6) / 4/7) + 9/8)
[852720] ['1/6', '3/7', '4/7', '7/5', '8/5'] -> (8/5 / (1/6 * ((7/5 - 3/7) - 4/7)))
[852731] ['1/6', '3/7', '4/7', '7/6', '8/3'] -> ((((3/7 + 7/6) / 1/6) - 4/7) * 8/3)
[852733] ['1/6', '3/7', '4/7', '7/6', '8/7'] -> (8/7 / (((1/6 * 3/7) * 4/7) * 7/6))
[852742] ['1/6', '3/7', '4/7', '7/8', '8/3'] -> (8/3 / ((4/7 * 7/8) - (1/6 / 3/7)))
[852746] ['1/6', '3/7', '4/7', '7/8', '9/2'] -> (9/2 / (3/7 - (1/6 * (4/7 + 7/8))))
[852752] ['1/6', '3/7', '4/7', '7/9', '8/3'] -> (8/3 / ((4/7 * (1/6 + 7/9)) - 3/7))
[852755] ['1/6', '3/7', '4/7', '7/9', '8/9'] -> (8/9 / (1/6 * ((3/7 + 4/7) - 7/9)))
[852757] ['1/6', '3/7', '4/7', '7/9', '9/4'] -> ((((3/7 + 4/7) + 7/9) / 1/6) * 9/4)
[852759] ['1/6', '3/7', '4/7', '7/9', '9/7'] -> (9/7 / (3/7 - ((1/6 / 4/7) / 7/9)))
[852762] ['1/6', '3/7', '4/7', '8/3', '8/5'] -> ((((8/3 / 1/6) - 3/7) - 4/7) * 8/5)
[852763] ['1/6', '3/7', '4/7', '8/3', '8/7'] -> (8/7 / ((3/7 - (4/7 / 8/3)) - 1/6))
[852766] ['1/6', '3/7', '4/7', '8/3', '9/4'] -> ((((4/7 / 1/6) / 3/7) + 8/3) * 9/4)
[852769] ['1/6', '3/7', '4/7', '8/3', '9/8'] -> (((9/8 * 8/3) * 4/7) / (1/6 * 3/7))
[852770] ['1/6', '3/7', '4/7', '8/5', '8/5'] -> (8/5 / (3/7 - (1/6 * (4/7 + 8/5))))
[852780] ['1/6', '3/7', '4/7', '8/7', '9/2'] -> ((((4/7 / 1/6) - 8/7) / 3/7) * 9/2)
[852781] ['1/6', '3/7', '4/7', '8/7', '9/4'] -> ((((4/7 / 1/6) + 8/7) / 3/7) * 9/4)
[852788] ['1/6', '3/7', '4/7', '8/9', '9/5'] -> ((((4/7 / 3/7) + 8/9) / 1/6) * 9/5)
[852791] ['1/6', '3/7', '4/7', '9/2', '9/2'] -> ((((3/7 + 4/7) + 9/2) - 1/6) * 9/2)
[852792] ['1/6', '3/7', '4/7', '9/2', '9/4'] -> (((9/2 / 1/6) - (3/7 / 4/7)) - 9/4)
[852796] ['1/6', '3/7', '4/7', '9/4', '9/4'] -> ((4/7 / (3/7 - (1/6 * 9/4))) * 9/4)
[852801] ['1/6', '3/7', '4/7', '9/5', '9/7'] -> (9/7 / ((1/6 / 4/7) - (3/7 / 9/5)))
[852803] ['1/6', '3/7', '4/7', '9/7', '9/7'] -> (9/7 / (3/7 - ((1/6 * 9/7) / 4/7)))
[852811] ['1/6', '3/7', '4/9', '4/9', '5/7'] -> ((5/7 / 3/7) / (4/9 - (1/6 / 4/9)))
[852822] ['1/6', '3/7', '4/9', '4/9', '7/9'] -> ((4/9 / ((3/7 * 4/9) - 1/6)) / 7/9)
[852826] ['1/6', '3/7', '4/9', '4/9', '8/9'] -> ((4/9 + 8/9) / (4/9 - (1/6 / 3/7)))
[852830] ['1/6', '3/7', '4/9', '4/9', '9/7'] -> ((4/9 / ((3/7 * 4/9) - 1/6)) * 9/7)
[852846] ['1/6', '3/7', '4/9', '5/2', '7/8'] -> (((5/2 / (4/9 - 1/6)) / 3/7) / 7/8)
[852850] ['1/6', '3/7', '4/9', '5/2', '8/7'] -> (((5/2 / (4/9 - 1/6)) / 3/7) * 8/7)
[852853] ['1/6', '3/7', '4/9', '5/2', '9/4'] -> (((1/6 * 5/2) / (4/9 - 3/7)) - 9/4)
[852858] ['1/6', '3/7', '4/9', '5/3', '5/4'] -> ((5/3 / (4/9 - (1/6 / 3/7))) / 5/4)
[852883] ['1/6', '3/7', '4/9', '5/4', '5/7'] -> (5/7 / (((3/7 * 4/9) - 1/6) * 5/4))
[852897] ['1/6', '3/7', '4/9', '5/4', '8/7'] -> (8/7 / (1/6 * (5/4 - (3/7 / 4/9))))
[852905] ['1/6', '3/7', '4/9', '5/6', '5/7'] -> (5/7 / ((5/6 - (1/6 / 4/9)) - 3/7))
[852906] ['1/6', '3/7', '4/9', '5/6', '5/8'] -> ((5/6 / (4/9 - (1/6 / 3/7))) / 5/8)
[852909] ['1/6', '3/7', '4/9', '5/6', '6/7'] -> (6/7 / ((1/6 + 5/6) - (3/7 / 4/9)))
[852911] ['1/6', '3/7', '4/9', '5/6', '7/3'] -> ((((5/6 / 1/6) - 3/7) / 4/9) * 7/3)
[852917] ['1/6', '3/7', '4/9', '5/6', '8/3'] -> ((((5/6 / 3/7) - 4/9) / 1/6) * 8/3)
[852918] ['1/6', '3/7', '4/9', '5/6', '8/5'] -> ((5/6 / (4/9 - (1/6 / 3/7))) * 8/5)
[852920] ['1/6', '3/7', '4/9', '5/6', '8/9'] -> (8/9 / (((4/9 / 3/7) - 1/6) - 5/6))
[852922] ['1/6', '3/7', '4/9', '5/6', '9/4'] -> ((((5/6 / 1/6) / 3/7) / 4/9) - 9/4)
[852928] ['1/6', '3/7', '4/9', '5/7', '5/9'] -> ((5/7 / (3/7 - (1/6 / 4/9))) / 5/9)
[852941] ['1/6', '3/7', '4/9', '5/7', '8/9'] -> (8/9 / (3/7 - (4/9 * (1/6 + 5/7))))
[852944] ['1/6', '3/7', '4/9', '5/7', '9/5'] -> ((5/7 / (3/7 - (1/6 / 4/9))) * 9/5)
[852948] ['1/6', '3/7', '4/9', '5/8', '5/9'] -> (5/9 / (((4/9 - 1/6) / 3/7) - 5/8))
[852951] ['1/6', '3/7', '4/9', '5/8', '7/2'] -> (7/2 / (3/7 * (4/9 - (1/6 * 5/8))))
[852957] ['1/6', '3/7', '4/9', '5/8', '7/9'] -> ((3/7 / ((5/8 - 1/6) - 4/9)) * 7/9)
[852958] ['1/6', '3/7', '4/9', '5/8', '8/3'] -> (8/3 / ((1/6 / 3/7) - (4/9 * 5/8)))
[852963] ['1/6', '3/7', '4/9', '5/8', '9/4'] -> ((5/8 / ((3/7 * 4/9) - 1/6)) - 9/4)
[852965] ['1/6', '3/7', '4/9', '5/8', '9/7'] -> ((3/7 / ((5/8 - 1/6) - 4/9)) / 9/7)
[852975] ['1/6', '3/7', '4/9', '5/9', '7/8'] -> (((4/9 / (5/9 - 3/7)) / 1/6) / 7/8)
[852979] ['1/6', '3/7', '4/9', '5/9', '8/7'] -> (((4/9 / (5/9 - 3/7)) / 1/6) * 8/7)
[852996] ['1/6', '3/7', '4/9', '6/5', '8/5'] -> (8/5 / ((4/9 - (1/6 / 3/7)) * 6/5))
[853015] ['1/6', '3/7', '4/9', '6/7', '8/9'] -> ((((6/7 / 1/6) / 3/7) / 4/9) * 8/9)
[853019] ['1/6', '3/7', '4/9', '6/7', '9/7'] -> (9/7 / ((6/7 - (1/6 / 4/9)) - 3/7))
[853020] ['1/6', '3/7', '4/9', '6/7', '9/8'] -> ((((6/7 / 1/6) / 3/7) / 4/9) / 9/8)
[853032] ['1/6', '3/7', '4/9', '7/2', '9/2'] -> (9/2 / ((3/7 - (1/6 / 4/9)) * 7/2))
[853038] ['1/6', '3/7', '4/9', '7/3', '7/4'] -> ((7/3 / (4/9 - (1/6 / 3/7))) / 7/4)
[853044] ['1/6', '3/7', '4/9', '7/3', '8/5'] -> (8/5 / ((4/9 / (7/3 - 3/7)) - 1/6))
[853057] ['1/6', '3/7', '4/9', '7/4', '8/3'] -> (8/3 / ((1/6 / 7/4) - (3/7 - 4/9)))
[853062] ['1/6', '3/7', '4/9', '7/4', '9/4'] -> (9/4 / ((3/7 - (1/6 / 4/9)) * 7/4))
[853076] ['1/6', '3/7', '4/9', '7/5', '9/5'] -> (9/5 / ((3/7 - (1/6 / 4/9)) * 7/5))
[853080] ['1/6', '3/7', '4/9', '7/6', '7/8'] -> ((7/6 / (4/9 - (1/6 / 3/7))) / 7/8)
[853086] ['1/6', '3/7', '4/9', '7/6', '9/2'] -> ((((4/9 / 1/6) / 3/7) / 7/6) * 9/2)
[853089] ['1/6', '3/7', '4/9', '7/6', '9/7'] -> (9/7 / ((7/6 / 4/9) - (3/7 / 1/6)))
[853101] ['1/6', '3/7', '4/9', '7/8', '9/8'] -> (9/8 / ((3/7 - (1/6 / 4/9)) * 7/8))
[853110] ['1/6', '3/7', '4/9', '7/9', '9/7'] -> (9/7 / (((1/6 / 4/9) / 7/9) - 3/7))
[853131] ['1/6', '3/7', '4/9', '8/7', '9/2'] -> (((4/9 / 1/6) + (8/7 / 3/7)) * 9/2)
[853133] ['1/6', '3/7', '4/9', '8/7', '9/5'] -> ((((8/7 / 3/7) - 4/9) / 1/6) * 9/5)
[853134] ['1/6', '3/7', '4/9', '8/7', '9/7'] -> ((9/7 * (4/9 + (8/7 / 3/7))) / 1/6)
[853135] ['1/6', '3/7', '4/9', '8/7', '9/8'] -> ((9/8 * 8/7) / (3/7 - (1/6 / 4/9)))
[853137] ['1/6', '3/7', '4/9', '8/9', '9/2'] -> ((((4/9 / 1/6) / 3/7) - 8/9) * 9/2)
[853142] ['1/6', '3/7', '4/9', '9/2', '9/2'] -> ((((1/6 / 3/7) + 4/9) + 9/2) * 9/2)
[853160] ['1/6', '3/7', '5/2', '5/2', '5/6'] -> ((((5/2 / 3/7) - 5/2) / 1/6) / 5/6)
[853161] ['1/6', '3/7', '5/2', '5/2', '5/7'] -> (5/7 / ((3/7 - (1/6 * 5/2)) * 5/2))
[853162] ['1/6', '3/7', '5/2', '5/2', '5/8'] -> (((1/6 + (5/2 / 3/7)) * 5/2) / 5/8)
[853164] ['1/6', '3/7', '5/2', '5/2', '6/5'] -> ((((5/2 / 3/7) - 5/2) / 1/6) * 6/5)
[853174] ['1/6', '3/7', '5/2', '5/2', '8/5'] -> (((1/6 + (5/2 / 3/7)) * 5/2) * 8/5)
[853179] ['1/6', '3/7', '5/2', '5/2', '9/5'] -> (((5/2 / 1/6) + 5/2) * (9/5 - 3/7))
[853195] ['1/6', '3/7', '5/2', '5/3', '7/8'] -> ((((5/2 / 1/6) / 3/7) / 5/3) / 7/8)
[853199] ['1/6', '3/7', '5/2', '5/3', '8/7'] -> ((((5/2 / 1/6) / 3/7) / 5/3) * 8/7)
[853207] ['1/6', '3/7', '5/2', '5/4', '5/6'] -> ((5/2 + ((5/4 / 1/6) / 3/7)) / 5/6)
[853208] ['1/6', '3/7', '5/2', '5/4', '5/7'] -> (5/7 / (1/6 * (5/4 - (3/7 * 5/2))))
[853209] ['1/6', '3/7', '5/2', '5/4', '5/8'] -> ((((5/4 / 1/6) / 3/7) - 5/2) / 5/8)
[853210] ['1/6', '3/7', '5/2', '5/4', '5/9'] -> (((5/2 / 3/7) + (5/4 / 1/6)) / 5/9)
[853211] ['1/6', '3/7', '5/2', '5/4', '6/5'] -> ((5/2 + ((5/4 / 1/6) / 3/7)) * 6/5)
[853212] ['1/6', '3/7', '5/2', '5/4', '6/7'] -> ((((5/2 / 1/6) / 3/7) / 5/4) * 6/7)
[853217] ['1/6', '3/7', '5/2', '5/4', '7/6'] -> ((((5/2 / 1/6) / 3/7) / 5/4) / 7/6)
[853220] ['1/6', '3/7', '5/2', '5/4', '8/3'] -> (8/3 / ((5/4 / 5/2) - (1/6 / 3/7)))
[853221] ['1/6', '3/7', '5/2', '5/4', '8/5'] -> ((((5/4 / 1/6) / 3/7) - 5/2) * 8/5)
[853222] ['1/6', '3/7', '5/2', '5/4', '8/7'] -> (8/7 / (((3/7 * 5/4) / 5/2) - 1/6))
[853226] ['1/6', '3/7', '5/2', '5/4', '9/5'] -> (((5/2 / 3/7) + (5/4 / 1/6)) * 9/5)
[853230] ['1/6', '3/7', '5/2', '5/6', '5/7'] -> (((5/2 + (3/7 * 5/6)) / 1/6) / 5/7)
[853234] ['1/6', '3/7', '5/2', '5/6', '6/7'] -> (((3/7 + (5/2 / 5/6)) / 1/6) / 6/7)
[853237] ['1/6', '3/7', '5/2', '5/6', '7/4'] -> ((((5/2 / 1/6) / 3/7) / 5/6) / 7/4)
[853238] ['1/6', '3/7', '5/2', '5/6', '7/5'] -> ((7/5 * (5/2 + (3/7 * 5/6))) / 1/6)
[853239] ['1/6', '3/7', '5/2', '5/6', '7/6'] -> (((3/7 + (5/2 / 5/6)) / 1/6) * 7/6)
[853242] ['1/6', '3/7', '5/2', '5/6', '8/3'] -> (((5/2 + (5/6 / 3/7)) / 1/6) - 8/3)
[853251] ['1/6', '3/7', '5/2', '5/7', '5/7'] -> ((((3/7 + 5/7) * 5/2) / 1/6) / 5/7)
[853253] ['1/6', '3/7', '5/2', '5/7', '5/9'] -> (((5/2 / 1/6) - (5/7 / 3/7)) / 5/9)
[853255] ['1/6', '3/7', '5/2', '5/7', '6/7'] -> ((((5/2 / 1/6) / 5/7) - 3/7) / 6/7)
[853259] ['1/6', '3/7', '5/2', '5/7', '7/5'] -> ((((3/7 + 5/7) * 5/2) / 1/6) * 7/5)
[853260] ['1/6', '3/7', '5/2', '5/7', '7/6'] -> ((((5/2 / 1/6) / 5/7) - 3/7) * 7/6)
[853261] ['1/6', '3/7', '5/2', '5/7', '7/8'] -> ((5/2 / ((5/7 - 1/6) - 3/7)) / 7/8)
[853263] ['1/6', '3/7', '5/2', '5/7', '8/3'] -> ((((3/7 * 5/2) / 1/6) / 5/7) * 8/3)
[853265] ['1/6', '3/7', '5/2', '5/7', '8/7'] -> ((5/2 / ((5/7 - 1/6) - 3/7)) * 8/7)
[853269] ['1/6', '3/7', '5/2', '5/7', '9/5'] -> (((5/2 / 1/6) - (5/7 / 3/7)) * 9/5)
[853275] ['1/6', '3/7', '5/2', '5/8', '6/7'] -> (6/7 / (3/7 * ((5/8 / 5/2) - 1/6)))
[853276] ['1/6', '3/7', '5/2', '5/8', '7/2'] -> ((5/2 / ((5/8 - 1/6) - 3/7)) / 7/2)
[853277] ['1/6', '3/7', '5/2', '5/8', '7/3'] -> ((((3/7 * 5/2) / 1/6) / 5/8) * 7/3)
[853288] ['1/6', '3/7', '5/2', '5/8', '9/4'] -> ((((5/2 - 5/8) / 1/6) / 3/7) - 9/4)
[853300] ['1/6', '3/7', '5/2', '5/9', '7/8'] -> (((1/6 + 5/2) / (5/9 - 3/7)) / 7/8)
[853304] ['1/6', '3/7', '5/2', '5/9', '8/7'] -> (((1/6 + 5/2) / (5/9 - 3/7)) * 8/7)
[853307] ['1/6', '3/7', '5/2', '5/9', '9/4'] -> ((1/6 + ((5/2 / 3/7) / 5/9)) * 9/4)
[853311] ['1/6', '3/7', '5/2', '6/5', '6/5'] -> (6/5 / (1/6 * ((6/5 / 3/7) - 5/2)))
[853312] ['1/6', '3/7', '5/2', '6/5', '6/7'] -> (((3/7 + (5/2 * 6/5)) / 1/6) / 6/7)
[853315] ['1/6', '3/7', '5/2', '6/5', '7/4'] -> ((((5/2 * 6/5) / 1/6) / 3/7) / 7/4)
[853316] ['1/6', '3/7', '5/2', '6/5', '7/5'] -> ((7/5 * (5/2 + (3/7 / 6/5))) / 1/6)
[853317] ['1/6', '3/7', '5/2', '6/5', '7/6'] -> (((3/7 + (5/2 * 6/5)) / 1/6) * 7/6)
[853332] ['1/6', '3/7', '5/2', '6/7', '7/4'] -> ((((5/2 / 1/6) - 3/7) - 6/7) * 7/4)
[853334] ['1/6', '3/7', '5/2', '6/7', '7/6'] -> ((3/7 + ((5/2 + 6/7) / 1/6)) * 7/6)
[853337] ['1/6', '3/7', '5/2', '6/7', '8/3'] -> (8/3 / (5/2 - ((1/6 + 6/7) / 3/7)))
[853339] ['1/6', '3/7', '5/2', '6/7', '8/7'] -> (8/7 / (((3/7 * 5/2) - 1/6) - 6/7))
[853340] ['1/6', '3/7', '5/2', '6/7', '8/9'] -> (((5/2 + (6/7 / 3/7)) / 1/6) * 8/9)
[853341] ['1/6', '3/7', '5/2', '6/7', '9/2'] -> ((((1/6 + 5/2) * 6/7) / 3/7) * 9/2)
[853344] ['1/6', '3/7', '5/2', '6/7', '9/7'] -> ((((3/7 + 5/2) + 6/7) / 1/6) + 9/7)
[853345] ['1/6', '3/7', '5/2', '6/7', '9/8'] -> (((5/2 + (6/7 / 3/7)) / 1/6) / 9/8)
[853353] ['1/6', '3/7', '5/2', '7/2', '8/3'] -> ((((1/6 * 3/7) + 5/2) * 7/2) * 8/3)
[853382] ['1/6', '3/7', '5/2', '7/4', '8/3'] -> ((3/7 + ((5/2 / 1/6) / 7/4)) * 8/3)
[853386] ['1/6', '3/7', '5/2', '7/4', '9/2'] -> (((5/2 + (3/7 * 7/4)) / 1/6) + 9/2)
[853391] ['1/6', '3/7', '5/2', '7/5', '7/5'] -> ((((5/2 / 1/6) / 3/7) - 7/5) / 7/5)
[853392] ['1/6', '3/7', '5/2', '7/5', '7/6'] -> ((((5/2 * 7/5) / 1/6) - 3/7) * 7/6)
[853393] ['1/6', '3/7', '5/2', '7/5', '7/8'] -> (((7/8 * 5/2) * (3/7 + 7/5)) / 1/6)
[853395] ['1/6', '3/7', '5/2', '7/5', '8/3'] -> ((((3/7 * 5/2) * 7/5) / 1/6) * 8/3)
[853404] ['1/6', '3/7', '5/2', '7/6', '7/6'] -> ((((5/2 / 3/7) - 7/6) / 1/6) / 7/6)
[853410] ['1/6', '3/7', '5/2', '7/6', '8/9'] -> (8/9 / (1/6 * ((7/6 / 3/7) - 5/2)))
[853411] ['1/6', '3/7', '5/2', '7/6', '9/2'] -> ((((1/6 + 5/2) / 3/7) / 7/6) * 9/2)
[853414] ['1/6', '3/7', '5/2', '7/6', '9/7'] -> ((9/7 * (5/2 - 7/6)) / (1/6 * 3/7))
[853420] ['1/6', '3/7', '5/2', '7/8', '8/7'] -> (8/7 / (((1/6 * 5/2) / 7/8) - 3/7))
[853429] ['1/6', '3/7', '5/2', '7/9', '8/5'] -> ((5/2 / ((3/7 * 7/9) - 1/6)) * 8/5)
[853432] ['1/6', '3/7', '5/2', '7/9', '9/2'] -> (((5/2 - (1/6 / 7/9)) / 3/7) * 9/2)
[853442] ['1/6', '3/7', '5/2', '8/3', '9/4'] -> ((5/2 / (8/3 - (3/7 / 1/6))) - 9/4)
[853456] ['1/6', '3/7', '5/2', '8/7', '9/2'] -> (((1/6 + 5/2) + (8/7 / 3/7)) * 9/2)
[853461] ['1/6', '3/7', '5/2', '8/9', '8/9'] -> (8/9 / (5/2 - ((1/6 + 8/9) / 3/7)))
[853470] ['1/6', '3/7', '5/2', '9/2', '9/7'] -> (9/7 / ((3/7 - (1/6 * 5/2)) * 9/2))
[853471] ['1/6', '3/7', '5/2', '9/2', '9/8'] -> (((1/6 + (5/2 / 3/7)) * 9/2) / 9/8)
[853482] ['1/6', '3/7', '5/3', '5/3', '5/3'] -> ((((5/3 / 3/7) / 5/3) + 5/3) / 1/6)
[853487] ['1/6', '3/7', '5/3', '5/3', '5/9'] -> ((((5/3 / 3/7) - 5/3) / 1/6) / 5/9)
[853491] ['1/6', '3/7', '5/3', '5/3', '7/3'] -> ((((5/3 / 1/6) / 3/7) - 5/3) + 7/3)
[853503] ['1/6', '3/7', '5/3', '5/3', '9/5'] -> ((((5/3 / 3/7) - 5/3) / 1/6) * 9/5)
[853508] ['1/6', '3/7', '5/3', '5/4', '5/7'] -> (5/7 / ((1/6 * 3/7) * (5/3 - 5/4)))
[853525] ['1/6', '3/7', '5/3', '5/4', '9/4'] -> ((((5/3 / 1/6) + 5/4) / 3/7) - 9/4)
[853532] ['1/6', '3/7', '5/3', '5/6', '5/9'] -> ((5/3 + ((5/6 / 1/6) / 3/7)) / 5/9)
[853534] ['1/6', '3/7', '5/3', '5/6', '6/7'] -> ((((5/3 / 1/6) / 3/7) / 5/6) * 6/7)
[853539] ['1/6', '3/7', '5/3', '5/6', '7/6'] -> ((((5/3 / 1/6) / 3/7) / 5/6) / 7/6)
[853548] ['1/6', '3/7', '5/3', '5/6', '9/5'] -> ((5/3 + ((5/6 / 1/6) / 3/7)) * 9/5)
[853553] ['1/6', '3/7', '5/3', '5/7', '5/9'] -> ((((5/3 - 5/7) / 1/6) / 3/7) / 5/9)
[853554] ['1/6', '3/7', '5/3', '5/7', '6/5'] -> (((5/3 + (5/7 / 3/7)) / 1/6) * 6/5)
[853557] ['1/6', '3/7', '5/3', '5/7', '7/3'] -> ((((5/3 / 1/6) + 5/7) - 3/7) * 7/3)
[853569] ['1/6', '3/7', '5/3', '5/7', '9/5'] -> ((((5/3 - 5/7) / 1/6) / 3/7) * 9/5)
[853573] ['1/6', '3/7', '5/3', '5/8', '5/9'] -> (5/9 / (((1/6 * 5/3) / 3/7) - 5/8))
[853576] ['1/6', '3/7', '5/3', '5/8', '7/2'] -> (((7/2 * 5/3) * 3/7) / (1/6 * 5/8))
[853593] ['1/6', '3/7', '5/3', '5/9', '6/5'] -> ((((5/3 / 3/7) - 5/9) / 1/6) * 6/5)
[853594] ['1/6', '3/7', '5/3', '5/9', '6/7'] -> (((3/7 + (5/3 / 5/9)) / 1/6) / 6/7)
[853599] ['1/6', '3/7', '5/3', '5/9', '7/6'] -> (((3/7 + (5/3 / 5/9)) / 1/6) * 7/6)
[853602] ['1/6', '3/7', '5/3', '5/9', '8/3'] -> ((((5/3 / 3/7) + 5/9) / 1/6) - 8/3)
[853612] ['1/6', '3/7', '5/3', '6/5', '6/7'] -> ((((5/3 * 6/5) / 1/6) / 3/7) * 6/7)
[853617] ['1/6', '3/7', '5/3', '6/5', '7/6'] -> ((((5/3 * 6/5) / 1/6) / 3/7) / 7/6)
[853622] ['1/6', '3/7', '5/3', '6/5', '8/7'] -> (8/7 / (((3/7 / 5/3) / 6/5) - 1/6))
[853637] ['1/6', '3/7', '5/3', '6/7', '8/3'] -> ((3/7 + ((5/3 * 6/7) / 1/6)) * 8/3)
[853639] ['1/6', '3/7', '5/3', '6/7', '8/7'] -> (8/7 / (((3/7 / 1/6) - 5/3) - 6/7))
[853645] ['1/6', '3/7', '5/3', '6/7', '9/8'] -> ((9/8 * ((5/3 / 1/6) - 6/7)) / 3/7)
[853654] ['1/6', '3/7', '5/3', '7/2', '8/5'] -> ((((3/7 * 5/3) * 7/2) / 1/6) * 8/5)
[853656] ['1/6', '3/7', '5/3', '7/2', '8/9'] -> (((5/3 / 3/7) + (7/2 / 1/6)) - 8/9)
