[1916600] ['4/3', '7/8', '8/7', '9/2', '9/4'] -> 9/4 / (7/8 / (4/3 - 8/7) - 9/2)
[1926846] ['4/5', '4/9', '5/8', '5/8', '8/3'] -> 5/8 / (5/8 - 4/9 / 4/5) * 8/3
[1926883] ['4/5', '4/9', '5/8', '6/5', '8/3'] -> 8/3 / (4/9 * 5/8 * (6/5 - 4/5))
[1926884] ['4/5', '4/9', '5/8', '6/5', '8/5'] -> 8/5 / ((4/5 * 5/8 - 4/9) * 6/5)
[1926889] ['4/5', '4/9', '5/8', '6/5', '9/5'] -> 9/5 / (6/5 - 4/5 * 5/8 / 4/9)
[1926901] ['4/5', '4/9', '5/8', '6/7', '8/5'] -> 8/5 / ((4/5 - 5/8) * 4/9 * 6/7)
[1926902] ['4/5', '4/9', '5/8', '6/7', '8/7'] -> 8/7 / ((4/5 * 5/8 - 4/9) * 6/7)
[1926916] ['4/5', '4/9', '5/8', '7/2', '8/3'] -> (4/5 * 5/8 + 7/2) / 4/9 * 8/3
[1926926] ['4/5', '4/9', '5/8', '7/3', '7/4'] -> 7/3 / (4/5 * 5/8 - 4/9) / 7/4
[1926927] ['4/5', '4/9', '5/8', '7/3', '7/5'] -> 7/3 / (5/8 - 4/9 / 4/5) / 7/5
[1926936] ['4/5', '4/9', '5/8', '7/3', '9/4'] -> 7/3 / (4/5 - 4/9 / 5/8) - 9/4
[1926967] ['4/5', '4/9', '5/8', '7/6', '7/6'] -> 7/6 / (5/8 * (4/5 + 4/9 - 7/6))
[1926968] ['4/5', '4/9', '5/8', '7/6', '7/8'] -> 7/6 / (4/5 * 5/8 - 4/9) / 7/8
[1926972] ['4/5', '4/9', '5/8', '7/6', '8/7'] -> 7/6 / (4/5 * 5/8 - 4/9) * 8/7
[1927025] ['4/5', '4/9', '5/8', '8/9', '9/2'] -> 9/2 / (5/8 * (4/5 - 4/9 / 8/9))
[1927053] ['4/5', '4/9', '5/9', '5/9', '7/8'] -> (4/9 + 5/9) / 5/9 / (7/8 - 4/5)
[1927054] ['4/5', '4/9', '5/9', '5/9', '7/9'] -> 5/9 / (4/5 - 7/9) - (4/9 + 5/9)
[1927064] ['4/5', '4/9', '5/9', '6/5', '6/5'] -> 6/5 / ((4/9 + 5/9) / 4/5 - 6/5)
[1927079] ['4/5', '4/9', '5/9', '6/5', '9/5'] -> 4/5 / (5/9 / 6/5 - 4/9) / 9/5
[1927091] ['4/5', '4/9', '5/9', '6/7', '8/5'] -> 8/5 / (4/9 + 5/9 - 4/5 / 6/7)
[1927126] ['4/5', '4/9', '5/9', '7/3', '9/4'] -> 7/3 / (5/9 - 4/9) / 4/5 - 9/4
[1927137] ['4/5', '4/9', '5/9', '7/4', '8/7'] -> 8/7 / (4/9 - 5/9 / 4/5 / 7/4)
[1927145] ['4/5', '4/9', '5/9', '7/5', '7/6'] -> 4/9 / (4/5 / 7/5 - 5/9) / 7/6
[1927152] ['4/5', '4/9', '5/9', '7/5', '9/2'] -> 4/5 / (7/5 - 5/9 / 4/9) * 9/2
[1927181] ['4/5', '4/9', '5/9', '7/9', '8/3'] -> 8/3 / (4/5 * 5/9 + 4/9 - 7/9)
[1927184] ['4/5', '4/9', '5/9', '7/9', '8/9'] -> 8/9 / (4/9 * (7/9 - 5/9 / 4/5))
[1927185] ['4/5', '4/9', '5/9', '7/9', '9/2'] -> 4/9 / (7/9 - 5/9 / 4/5) * 9/2
[1927190] ['4/5', '4/9', '5/9', '8/3', '8/3'] -> (8/3 / 5/9 - 4/5) / 4/9 * 8/3
[1927195] ['4/5', '4/9', '5/9', '8/3', '9/4'] -> 8/3 / (5/9 / 4/5 - 4/9) * 9/4
[1927211] ['4/5', '4/9', '5/9', '8/7', '9/5'] -> 9/5 / ((4/9 + 5/9) / 8/7 - 4/5)
[1927247] ['4/5', '4/9', '6/5', '6/5', '8/9'] -> 6/5 * 8/9 / (4/5 + 4/9 - 6/5)
[1927252] ['4/5', '4/9', '6/5', '6/5', '9/8'] -> 6/5 / (4/5 + 4/9 - 6/5) / 9/8
[1927277] ['4/5', '4/9', '6/5', '7/2', '8/3'] -> (6/5 + 4/5 * 7/2) / 4/9 * 8/3
[1927292] ['4/5', '4/9', '6/5', '7/3', '8/3'] -> 8/3 / (4/5 + 4/9 + 6/5 - 7/3)
[1927296] ['4/5', '4/9', '6/5', '7/3', '9/2'] -> (4/5 / 4/9 + 6/5 + 7/3) * 9/2
[1927307] ['4/5', '4/9', '6/5', '7/4', '8/5'] -> 8/5 / (6/5 - 4/9 * (4/5 + 7/4))
[1927319] ['4/5', '4/9', '6/5', '7/5', '8/3'] -> 4/5 / (7/5 - 6/5) / 4/9 * 8/3
[1927320] ['4/5', '4/9', '6/5', '7/5', '8/5'] -> 8/5 / (7/5 - 4/9 * 6/5 - 4/5)
[1927325] ['4/5', '4/9', '6/5', '7/5', '9/5'] -> 9/5 / (6/5 - 7/5 / (4/5 + 4/9))
[1927331] ['4/5', '4/9', '6/5', '7/6', '8/3'] -> 8/3 / (4/9 + 7/6 - 6/5 / 4/5)
[1927332] ['4/5', '4/9', '6/5', '7/6', '8/5'] -> 8/5 / (6/5 * (7/6 - 4/9) - 4/5)
[1927365] ['4/5', '4/9', '6/5', '8/3', '9/2'] -> (8/3 / 4/9 - 4/5 / 6/5) * 9/2
[1927366] ['4/5', '4/9', '6/5', '8/3', '9/4'] -> 4/5 / (6/5 - 4/9 * 8/3) / 9/4
[1927370] ['4/5', '4/9', '6/5', '8/5', '8/5'] -> 8/5 / (6/5 * (4/5 / 8/5 - 4/9))
[1927375] ['4/5', '4/9', '6/5', '8/5', '9/5'] -> 9/5 / (6/5 - 4/5 / 4/9 / 8/5)
[1927397] ['4/5', '4/9', '6/5', '9/4', '9/5'] -> 9/5 / (9/4 / 6/5 - 4/5 / 4/9)
[1927424] ['4/5', '4/9', '6/7', '7/2', '7/3'] -> (6/7 / 4/5 + 7/2) / 4/9 * 7/3
[1927455] ['4/5', '4/9', '6/7', '7/4', '7/5'] -> 7/5 / ((4/5 / 4/9 - 7/4) / 6/7)
[1927485] ['4/5', '4/9', '6/7', '7/6', '8/5'] -> 8/5 / (6/7 * (4/5 + 4/9 - 7/6))
[1927505] ['4/5', '4/9', '6/7', '7/9', '8/3'] -> 8/3 / (6/7 * 7/9 - 4/9 / 4/5)
[1927523] ['4/5', '4/9', '6/7', '8/5', '8/5'] -> 8/5 / (8/5 / 6/7 - 4/5 / 4/9)
[1927524] ['4/5', '4/9', '6/7', '8/5', '8/7'] -> 8/7 / (6/7 * (4/5 / 8/5 - 4/9))
[1927558] ['4/5', '4/9', '6/7', '9/8', '9/8'] -> 9/8 / (9/8 / (4/5 + 4/9) - 6/7)
[1927626] ['4/5', '4/9', '7/2', '7/6', '9/5'] -> 9/5 / (7/2 - 7/6 / 4/9 - 4/5)
[1927656] ['4/5', '4/9', '7/2', '8/3', '9/5'] -> 4/9 / (7/2 - 4/5 - 8/3) * 9/5
[1927701] ['4/5', '4/9', '7/3', '7/3', '8/3'] -> 8/3 / (7/3 - 4/5 * (4/9 + 7/3))
[1927715] ['4/5', '4/9', '7/3', '7/4', '8/3'] -> 8/3 / (4/5 * (7/3 - 4/9 - 7/4))
[1927728] ['4/5', '4/9', '7/3', '7/5', '8/3'] -> 8/3 / (4/5 * (7/3 - 4/9) - 7/5)
[1927729] ['4/5', '4/9', '7/3', '7/5', '8/5'] -> 7/3 / (7/5 - 4/5 - 4/9) * 8/5
[1927762] ['4/5', '4/9', '7/3', '7/9', '8/5'] -> 8/5 / (4/5 / (7/9 - 4/9) - 7/3)
[1927774] ['4/5', '4/9', '7/3', '8/3', '9/2'] -> 4/5 * (4/9 + 7/3 * 8/3) * 9/2
[1927775] ['4/5', '4/9', '7/3', '8/3', '9/4'] -> 8/3 / (4/9 - 4/5 / 7/3) - 9/4
[1927783] ['4/5', '4/9', '7/3', '8/5', '9/4'] -> 7/3 / (4/5 - 4/9 * 8/5) - 9/4
[1927805] ['4/5', '4/9', '7/3', '9/4', '9/4'] -> 7/3 / (4/9 - 4/5 / 9/4) - 9/4
[1927809] ['4/5', '4/9', '7/3', '9/5', '9/5'] -> 9/5 / (7/3 / (4/5 + 4/9) - 9/5)
[1927830] ['4/5', '4/9', '7/4', '7/5', '7/6'] -> 7/5 / (4/5 / 4/9 - 7/4) / 7/6
[1927851] ['4/5', '4/9', '7/4', '7/6', '9/5'] -> 9/5 / (7/6 / 4/9 - 4/5 - 7/4)
[1927867] ['4/5', '4/9', '7/4', '7/9', '8/5'] -> 8/5 / (7/9 - (4/5 + 4/9) / 7/4)
[1927900] ['4/5', '4/9', '7/4', '8/9', '9/2'] -> 9/2 / (7/4 / 4/5 - 8/9 / 4/9)
[1927902] ['4/5', '4/9', '7/4', '8/9', '9/5'] -> 9/5 / (4/9 * 7/4 / 8/9 - 4/5)
[1927905] ['4/5', '4/9', '7/4', '9/2', '9/2'] -> 9/2 / (7/4 / 4/5 - 4/9 * 9/2)
[1927907] ['4/5', '4/9', '7/4', '9/2', '9/5'] -> 9/5 / (7/4 / 4/9 / 9/2 - 4/5)
[1927924] ['4/5', '4/9', '7/5', '7/5', '8/3'] -> 7/5 / (7/5 - 4/5 - 4/9) * 8/3
[1927936] ['4/5', '4/9', '7/5', '7/6', '8/3'] -> 8/3 / (7/5 - 4/5 * (4/9 + 7/6))
[1927940] ['4/5', '4/9', '7/5', '7/6', '9/2'] -> (4/5 + 4/9) / (7/5 - 7/6) * 9/2
[1927942] ['4/5', '4/9', '7/5', '7/6', '9/5'] -> 4/9 / (7/6 / 7/5 - 4/5) * 9/5
[1927947] ['4/5', '4/9', '7/5', '7/8', '8/3'] -> 8/3 / ((4/5 / 7/5 - 4/9) * 7/8)
[1927957] ['4/5', '4/9', '7/5', '7/9', '8/3'] -> 8/3 / ((4/5 + 4/9) / 7/5 - 7/9)
[1927958] ['4/5', '4/9', '7/5', '7/9', '8/5'] -> 8/5 / (7/5 - 4/9 / 4/5 - 7/9)
[1927967] ['4/5', '4/9', '7/5', '8/3', '8/5'] -> 8/3 / (4/5 - 4/9 * 7/5) * 8/5
[1927968] ['4/5', '4/9', '7/5', '8/3', '8/7'] -> 8/3 / (4/5 / 7/5 - 4/9) * 8/7
[1927975] ['4/5', '4/9', '7/5', '8/5', '8/5'] -> 8/5 / (4/9 * (7/5 / 4/5 - 8/5))
[1928015] ['4/5', '4/9', '7/6', '7/6', '8/5'] -> 7/6 * 8/5 / (4/5 + 4/9 - 7/6)
[1928024] ['4/5', '4/9', '7/6', '7/8', '7/9'] -> 7/9 / (4/9 * (7/6 - 7/8 / 4/5))
[1928025] ['4/5', '4/9', '7/6', '7/8', '8/3'] -> 8/3 / (7/6 - 4/5 * (4/9 + 7/8))
[1928035] ['4/5', '4/9', '7/6', '7/9', '8/3'] -> 8/3 / (7/9 / 7/6 - 4/9 / 4/5)
[1928041] ['4/5', '4/9', '7/6', '7/9', '9/5'] -> 9/5 / ((7/6 - 7/9) / 4/9 - 4/5)
[1928050] ['4/5', '4/9', '7/6', '8/3', '9/5'] -> 4/5 / (4/9 * 8/3 - 7/6) / 9/5
[1928053] ['4/5', '4/9', '7/6', '8/5', '8/5'] -> 8/5 / (7/6 * 8/5 - 4/5 / 4/9)
[1928054] ['4/5', '4/9', '7/6', '8/5', '8/7'] -> 7/6 / (4/5 / 8/5 - 4/9) * 8/7
[1928071] ['4/5', '4/9', '7/6', '8/9', '9/5'] -> 9/5 / (7/6 / (4/9 + 8/9) - 4/5)
[1928076] ['4/5', '4/9', '7/6', '9/2', '9/5'] -> 9/5 / (9/2 - (4/5 + 7/6) / 4/9)
[1928096] ['4/5', '4/9', '7/8', '7/8', '9/4'] -> 7/8 / (7/8 - 4/5) / 4/9 - 9/4
[1928107] ['4/5', '4/9', '7/8', '7/9', '9/5'] -> 9/5 / (7/9 / 4/9 - 4/5 - 7/8)
[1928145] ['4/5', '4/9', '7/8', '9/4', '9/4'] -> 9/4 / (7/8 / 4/5 - 4/9 * 9/4)
[1928166] ['4/5', '4/9', '7/9', '8/3', '8/5'] -> 8/3 / (4/5 * 7/9 - 4/9) * 8/5
[1928177] ['4/5', '4/9', '7/9', '8/5', '9/2'] -> 4/5 / (7/9 / 4/9 - 8/5) * 9/2
[1928189] ['4/5', '4/9', '7/9', '8/9', '8/9'] -> 8/9 / (4/9 * (7/9 / 4/5 - 8/9))
[1928190] ['4/5', '4/9', '7/9', '8/9', '9/2'] -> 4/9 / (7/9 / 4/5 - 8/9) * 9/2
[1928210] ['4/5', '4/9', '8/3', '8/3', '8/3'] -> 8/3 / ((8/3 - 4/9) / 4/5 - 8/3)
[1928214] ['4/5', '4/9', '8/3', '8/3', '9/2'] -> (8/3 * 8/3 - 4/9) * 4/5 * 9/2
[1928222] ['4/5', '4/9', '8/3', '8/5', '9/2'] -> (8/3 - 4/9) * (4/5 + 8/5) * 9/2
[1928224] ['4/5', '4/9', '8/3', '8/5', '9/5'] -> 8/3 / (4/5 / 4/9 - 8/5) * 9/5
[1928230] ['4/5', '4/9', '8/3', '8/7', '9/4'] -> 8/3 / (4/5 + 4/9 - 8/7) - 9/4
[1928235] ['4/5', '4/9', '8/3', '8/9', '9/2'] -> (8/3 / 4/5 + 8/9 / 4/9) * 9/2
[1928237] ['4/5', '4/9', '8/3', '8/9', '9/5'] -> 4/9 * 8/3 / (8/9 - 4/5) * 9/5
[1928240] ['4/5', '4/9', '8/3', '9/2', '9/2'] -> (8/3 / 4/5 + 4/9 * 9/2) * 9/2
[1928246] ['4/5', '4/9', '8/3', '9/4', '9/5'] -> 8/3 / (4/9 * 9/4 - 4/5) * 9/5
[1928270] ['4/5', '4/9', '8/5', '8/9', '8/9'] -> (4/9 + 8/9) / ((8/9 - 4/5) / 8/5)
[1928271] ['4/5', '4/9', '8/5', '8/9', '9/2'] -> 8/5 / (4/5 - 4/9 / 8/9) * 9/2
[1928310] ['4/5', '4/9', '8/7', '9/4', '9/5'] -> 9/5 / (4/9 * 9/4 / 8/7 - 4/5)
[1928378] ['4/5', '5/2', '5/2', '5/2', '5/6'] -> 5/2 / (5/2 * 5/6 / 4/5 - 5/2)
[1928380] ['4/5', '5/2', '5/2', '5/2', '5/8'] -> (5/2 + 5/2) * (4/5 + 5/2 / 5/8)
[1928382] ['4/5', '5/2', '5/2', '5/2', '6/5'] -> 5/2 / (5/2 / 4/5 / 6/5 - 5/2)
[1928385] ['4/5', '5/2', '5/2', '5/2', '7/3'] -> 4/5 * (5/2 + 5/2) / (5/2 - 7/3)
[1928391] ['4/5', '5/2', '5/2', '5/2', '8/3'] -> 4/5 * (5/2 + 5/2) / (8/3 - 5/2)
[1928392] ['4/5', '5/2', '5/2', '5/2', '8/5'] -> (5/2 + 5/2) * (4/5 + 5/2 * 8/5)
[1928395] ['4/5', '5/2', '5/2', '5/2', '9/2'] -> (5/2 + 5/2) * (4/5 + 9/2) - 5/2
[1928425] ['4/5', '5/2', '5/2', '5/4', '5/6'] -> 5/2 / (5/6 - 4/5) / 5/2 / 5/4
[1928449] ['4/5', '5/2', '5/2', '5/6', '5/8'] -> 5/2 / (5/2 + 5/8) / (5/6 - 4/5)
[1928451] ['4/5', '5/2', '5/2', '5/6', '6/5'] -> 6/5 / (4/5 - 5/2 / (5/2 + 5/6))
[1928501] ['4/5', '5/2', '5/2', '5/8', '8/3'] -> (5/2 / 4/5 + 5/2) / 5/8 * 8/3
[1928502] ['4/5', '5/2', '5/2', '5/8', '8/5'] -> 5/2 * 5/2 / 5/8 * (4/5 + 8/5)
[1928518] ['4/5', '5/2', '5/2', '5/9', '7/8'] -> 5/2 / 5/2 / 5/9 / (7/8 - 4/5)
[1928529] ['4/5', '5/2', '5/2', '6/5', '6/5'] -> 6/5 / (5/2 / 4/5 / 5/2 - 6/5)
[1928531] ['4/5', '5/2', '5/2', '6/5', '7/2'] -> (5/2 + 6/5 / 4/5) * (5/2 + 7/2)
[1928532] ['4/5', '5/2', '5/2', '6/5', '7/3'] -> (5/2 + 6/5 / 4/5) / (5/2 - 7/3)
[1928538] ['4/5', '5/2', '5/2', '6/5', '8/3'] -> (5/2 + 6/5 / 4/5) / (8/3 - 5/2)
[1928556] ['4/5', '5/2', '5/2', '6/7', '8/5'] -> 8/5 / (5/2 / 5/2 - 4/5 / 6/7)
[1928566] ['4/5', '5/2', '5/2', '7/2', '7/4'] -> (5/2 + 7/2) / (4/5 * 5/2 - 7/4)
[1928569] ['4/5', '5/2', '5/2', '7/2', '7/8'] -> (5/2 + 7/2) * (5/2 / 4/5 + 7/8)
[1928571] ['4/5', '5/2', '5/2', '7/2', '8/3'] -> 4/5 * (5/2 + 5/2 * 7/2) * 8/3
[1928576] ['4/5', '5/2', '5/2', '7/2', '9/4'] -> (5/2 + 7/2) / (9/4 - 4/5 * 5/2)
[1928577] ['4/5', '5/2', '5/2', '7/2', '9/5'] -> (5/2 + 7/2) / (5/2 - 9/5 / 4/5)
[1928590] ['4/5', '5/2', '5/2', '7/3', '9/2'] -> (5/2 * (4/5 + 7/3) - 5/2) * 9/2
[1928626] ['4/5', '5/2', '5/2', '7/6', '8/5'] -> 8/5 / (5/2 / 5/2 - 4/5 * 7/6)
[1928629] ['4/5', '5/2', '5/2', '7/6', '9/2'] -> (4/5 + 5/2 - 7/6) * 5/2 * 9/2
[1928636] ['4/5', '5/2', '5/2', '7/8', '8/3'] -> (5/2 / 4/5 + 7/8) / (8/3 - 5/2)
[1928640] ['4/5', '5/2', '5/2', '7/8', '9/2'] -> 9/2 / (5/2 * 7/8 - 4/5 * 5/2)
[1928641] ['4/5', '5/2', '5/2', '7/8', '9/4'] -> 9/4 / (7/8 / 4/5 - 5/2 / 5/2)
[1928647] ['4/5', '5/2', '5/2', '7/9', '8/5'] -> 8/5 / ((4/5 + 5/2) * 7/9 - 5/2)
[1928659] ['4/5', '5/2', '5/2', '8/3', '9/2'] -> 8/3 / (5/2 - 4/5 * 5/2) * 9/2
[1928660] ['4/5', '5/2', '5/2', '8/3', '9/4'] -> 4/5 * (5/2 + 5/2) * 8/3 * 9/4
[1928662] ['4/5', '5/2', '5/2', '8/3', '9/7'] -> (4/5 + 5/2 * 8/3) * 5/2 * 9/7
[1928664] ['4/5', '5/2', '5/2', '8/5', '8/5'] -> 5/2 * 5/2 * (4/5 + 8/5) * 8/5
[1928668] ['4/5', '5/2', '5/2', '8/5', '9/4'] -> (4/5 + 8/5) * 5/2 / (5/2 - 9/4)
[1928674] ['4/5', '5/2', '5/2', '8/7', '9/2'] -> 9/2 / (5/2 / 8/7 - 4/5 * 5/2)
[1928676] ['4/5', '5/2', '5/2', '8/7', '9/5'] -> 9/5 / (5/2 / 5/2 / 8/7 - 4/5)
[1928685] ['4/5', '5/2', '5/2', '9/2', '9/2'] -> 5/2 * (4/5 + 5/2 + 9/2) + 9/2
[1928706] ['4/5', '5/2', '5/3', '5/3', '6/5'] -> 6/5 / (4/5 - 5/2 / (5/3 + 5/3))
[1928719] ['4/5', '5/2', '5/3', '5/3', '9/2'] -> (4/5 * 5/2 + 5/3 + 5/3) * 9/2
[1928724] ['4/5', '5/2', '5/3', '5/4', '5/4'] -> 5/2 / (4/5 * 5/3 - 5/4) / 5/4
[1928739] ['4/5', '5/2', '5/3', '5/4', '8/5'] -> 8/5 / (5/3 - 4/5 * 5/2 / 5/4)
[1928742] ['4/5', '5/2', '5/3', '5/4', '9/2'] -> 5/2 * (4/5 + 5/3 / 5/4) * 9/2
[1928747] ['4/5', '5/2', '5/3', '5/6', '5/6'] -> 5/3 / (5/6 - 4/5) / 5/2 / 5/6
[1928751] ['4/5', '5/2', '5/3', '5/6', '6/5'] -> 5/3 / (5/6 - 4/5) / 5/2 * 6/5
[1928758] ['4/5', '5/2', '5/3', '5/6', '7/8'] -> 5/2 / 5/3 / 5/6 / (7/8 - 4/5)
[1928760] ['4/5', '5/2', '5/3', '5/6', '8/3'] -> 8/3 / ((4/5 - 5/3 / 5/2) * 5/6)
[1928764] ['4/5', '5/2', '5/3', '5/6', '9/2'] -> (5/2 * (4/5 + 5/3) - 5/6) * 9/2
[1928774] ['4/5', '5/2', '5/3', '5/7', '7/2'] -> 5/2 / (4/5 - 5/7) - 5/3 - 7/2
[1928807] ['4/5', '5/2', '5/3', '5/8', '9/5'] -> 9/5 / (5/2 / 5/3 - 4/5 - 5/8)
[1928838] ['4/5', '5/2', '5/3', '6/5', '8/3'] -> 6/5 / (4/5 - 5/3 / 5/2) * 8/3
[1928839] ['4/5', '5/2', '5/3', '6/5', '8/5'] -> 5/2 / (5/3 - 6/5 / 4/5) * 8/5
[1928842] ['4/5', '5/2', '5/3', '6/5', '9/2'] -> 5/3 * (4/5 * 5/2 + 6/5) * 9/2
[1928851] ['4/5', '5/2', '5/3', '6/7', '7/5'] -> 4/5 / (5/3 + 6/7 - 5/2) / 7/5
[1928855] ['4/5', '5/2', '5/3', '6/7', '8/3'] -> 5/3 / (6/7 - 4/5) - 5/2 - 8/3
[1928860] ['4/5', '5/2', '5/3', '6/7', '9/4'] -> 5/2 / (6/7 - 4/5) / 5/3 - 9/4
[1928871] ['4/5', '5/2', '5/3', '7/2', '8/3'] -> ((4/5 + 5/2) * 5/3 + 7/2) * 8/3
[1928875] ['4/5', '5/2', '5/3', '7/2', '9/2'] -> (4/5 * 5/2 * 7/2 - 5/3) * 9/2
[1928876] ['4/5', '5/2', '5/3', '7/2', '9/4'] -> 7/2 / (4/5 - 5/3 / 5/2) - 9/4
[1928887] ['4/5', '5/2', '5/3', '7/3', '8/5'] -> 8/5 / (4/5 + 7/3 / 5/2 - 5/3)
[1928896] ['4/5', '5/2', '5/3', '7/4', '7/5'] -> 7/5 / ((5/2 - 4/5 - 5/3) * 7/4)
[1928904] ['4/5', '5/2', '5/3', '7/4', '9/2'] -> 5/3 / (5/2 - 7/4 / 4/5) * 9/2
[1928909] ['4/5', '5/2', '5/3', '7/5', '7/5'] -> 7/5 / (5/2 / 4/5 - 5/3 - 7/5)
[1928914] ['4/5', '5/2', '5/3', '7/5', '8/5'] -> 8/5 / (4/5 + 5/3 / 5/2 - 7/5)
[1928926] ['4/5', '5/2', '5/3', '7/6', '8/5'] -> 5/2 / (4/5 * 5/3 - 7/6) * 8/5
[1928927] ['4/5', '5/2', '5/3', '7/6', '8/7'] -> 8/7 / (4/5 * 5/2 / 7/6 - 5/3)
[1928940] ['4/5', '5/2', '5/3', '7/8', '9/2'] -> 5/3 * (5/2 + 4/5 * 7/8) * 9/2
[1928941] ['4/5', '5/2', '5/3', '7/8', '9/4'] -> 7/8 / (5/2 - 4/5 - 5/3) - 9/4
[1928956] ['4/5', '5/2', '5/3', '8/3', '8/5'] -> (4/5 + 8/5) / ((8/3 - 5/2) / 5/3)
[1928959] ['4/5', '5/2', '5/3', '8/3', '9/2'] -> (5/2 * 8/3 - 4/5 * 5/3) * 9/2
[1928964] ['4/5', '5/2', '5/3', '8/5', '8/5'] -> (4/5 + 8/5) / (8/5 - 5/2 / 5/3)
[1928974] ['4/5', '5/2', '5/3', '8/7', '9/2'] -> 5/3 * (5/2 + 4/5 / 8/7) * 9/2
[1928985] ['4/5', '5/2', '5/3', '9/2', '9/2'] -> (5/3 / 4/5 / 5/2 + 9/2) * 9/2
[1928987] ['4/5', '5/2', '5/3', '9/2', '9/5'] -> (5/3 / 4/5 + 5/2 * 9/2) * 9/5
[1928991] ['4/5', '5/2', '5/3', '9/4', '9/5'] -> 9/5 / ((5/2 - 4/5 - 5/3) * 9/4)
[1928994] ['4/5', '5/2', '5/3', '9/5', '9/5'] -> 9/5 / (5/2 / 4/5 / 5/3 - 9/5)
[1929007] ['4/5', '5/2', '5/4', '5/4', '7/2'] -> (5/2 + 7/2) / (5/4 - 4/5 * 5/4)
[1929012] ['4/5', '5/2', '5/4', '5/4', '7/8'] -> (5/2 + 5/4) / (5/4 - 7/8 / 4/5)
[1929040] ['4/5', '5/2', '5/4', '5/6', '9/2'] -> (5/4 + 5/2 * (4/5 + 5/6)) * 9/2
[1929048] ['4/5', '5/2', '5/4', '5/7', '6/5'] -> 6/5 / (4/5 + 5/4 / 5/7 - 5/2)
[1929068] ['4/5', '5/2', '5/4', '5/8', '6/5'] -> 6/5 / (4/5 - (5/4 + 5/8) / 5/2)
[1929083] ['4/5', '5/2', '5/4', '5/8', '9/5'] -> 9/5 / (5/2 * (4/5 / 5/8 - 5/4))
[1929085] ['4/5', '5/2', '5/4', '5/8', '9/8'] -> 9/8 / (5/2 * (4/5 - 5/4 * 5/8))
[1929096] ['4/5', '5/2', '5/4', '5/9', '8/3'] -> 8/3 / (4/5 * (5/2 * 5/9 - 5/4))
[1929147] ['4/5', '5/2', '5/4', '7/2', '8/3'] -> 5/2 * (4/5 + 7/2 / 5/4) * 8/3
[1929151] ['4/5', '5/2', '5/4', '7/2', '9/2'] -> 4/5 / (7/2 / 5/2 - 5/4) * 9/2
[1929153] ['4/5', '5/2', '5/4', '7/2', '9/5'] -> (5/2 + 7/2) / (5/4 - 4/5) * 9/5
[1929163] ['4/5', '5/2', '5/4', '7/3', '8/5'] -> 8/5 / (4/5 * 5/4 - 7/3 / 5/2)
[1929166] ['4/5', '5/2', '5/4', '7/3', '9/2'] -> (4/5 * (5/2 + 5/4) + 7/3) * 9/2
[1929193] ['4/5', '5/2', '5/4', '7/5', '9/2'] -> 4/5 / (5/4 + 7/5 - 5/2) * 9/2
[1929195] ['4/5', '5/2', '5/4', '7/5', '9/5'] -> 4/5 * 5/2 / (7/5 - 5/4) * 9/5
[1929212] ['4/5', '5/2', '5/4', '7/8', '8/3'] -> 5/2 / (7/8 - 4/5) / 5/4 - 8/3
[1929216] ['4/5', '5/2', '5/4', '7/8', '9/2'] -> 4/5 * 5/2 / (5/4 - 7/8) * 9/2
[1929222] ['4/5', '5/2', '5/4', '7/9', '8/3'] -> 5/2 / (5/4 - 7/9 / 4/5) * 8/3
[1929232] ['4/5', '5/2', '5/4', '8/3', '8/5'] -> 8/5 / (8/3 / 5/2 - 4/5 * 5/4)
[1929244] ['4/5', '5/2', '5/4', '8/5', '9/4'] -> 9/4 / (5/2 * (8/5 - 5/4 / 4/5))
[1929247] ['4/5', '5/2', '5/4', '8/5', '9/8'] -> 9/8 / (5/2 * (4/5 - 5/4 / 8/5))
[1929253] ['4/5', '5/2', '5/4', '8/7', '9/7'] -> 9/7 / ((5/4 - 8/7) / 4/5 / 5/2)
[1929261] ['4/5', '5/2', '5/4', '9/2', '9/2'] -> 9/2 / ((5/2 + 5/4) / 4/5 - 9/2)
[1929267] ['4/5', '5/2', '5/4', '9/4', '9/5'] -> 9/5 / (5/2 * 5/4 - 4/5 - 9/4)
[1929278] ['4/5', '5/2', '5/6', '5/6', '5/8'] -> 5/2 / (5/6 - 4/5 * 5/6) / 5/8
[1929279] ['4/5', '5/2', '5/6', '5/6', '5/9'] -> (5/2 + 5/6) / (5/6 - 5/9 / 4/5)
[1929286] ['4/5', '5/2', '5/6', '5/6', '7/6'] -> (5/6 + 7/6) / (5/2 * (5/6 - 4/5))
[1929289] ['4/5', '5/2', '5/6', '5/6', '8/3'] -> 8/3 / ((5/2 + 5/6) * (5/6 - 4/5))
[1929290] ['4/5', '5/2', '5/6', '5/6', '8/5'] -> 5/2 * 8/5 / (5/6 - 4/5 * 5/6)
[1929305] ['4/5', '5/2', '5/6', '5/7', '7/4'] -> 5/2 / (5/7 / 4/5 - 5/6) / 7/4
[1929315] ['4/5', '5/2', '5/6', '5/7', '9/4'] -> 5/2 / (5/6 - 5/7) / 4/5 - 9/4
[1929319] ['4/5', '5/2', '5/6', '5/8', '5/8'] -> 5/2 / (5/6 - 5/8) / 4/5 / 5/8
