[241979] ['1/3', '1/4', '5/9', '6/7', '6/7'] -> 6/7 / (1/4 * (5/9 * 6/7 - 1/3))
[256027] ['1/3', '1/5', '5/8', '7/4', '7/4'] -> 7/4 / 1/3 / 1/5 / 5/8 / 7/4
[256028] ['1/3', '1/5', '5/8', '7/4', '7/5'] -> 7/5 / (1/3 + 1/5 * 7/4 - 5/8)
[256030] ['1/3', '1/5', '5/8', '7/4', '7/8'] -> 7/4 / (1/3 - 1/5) / 5/8 / 7/8
[256032] ['1/3', '1/5', '5/8', '7/4', '8/3'] -> (1/5 + 7/4 / 5/8) / 1/3 * 8/3
[256034] ['1/3', '1/5', '5/8', '7/4', '8/7'] -> 7/4 / (1/3 - 1/5) / 5/8 * 8/7
[256049] ['1/3', '1/5', '5/8', '7/5', '9/2'] -> 9/2 / (5/8 / (7/5 - 1/5) - 1/3)
[256050] ['1/3', '1/5', '5/8', '7/5', '9/4'] -> (7/5 / 1/5 - 1/3) / 5/8 * 9/4
[256054] ['1/3', '1/5', '5/8', '7/6', '7/6'] -> 7/6 / 1/3 / 1/5 / 5/8 / 7/6
[256057] ['1/3', '1/5', '5/8', '7/6', '8/3'] -> (7/6 / 1/5 / 5/8 - 1/3) * 8/3
[256063] ['1/3', '1/5', '5/8', '7/6', '9/5'] -> 9/5 / (1/5 * 7/6 / 1/3 - 5/8)
[256064] ['1/3', '1/5', '5/8', '7/6', '9/7'] -> 9/7 / (5/8 * (1/3 / 7/6 - 1/5))
[256066] ['1/3', '1/5', '5/8', '7/8', '7/8'] -> 7/8 / 1/3 / 1/5 / 5/8 / 7/8
[256070] ['1/3', '1/5', '5/8', '7/8', '8/7'] -> 7/8 / 1/3 / 1/5 / 5/8 * 8/7
[256077] ['1/3', '1/5', '5/8', '7/9', '7/9'] -> 7/9 / (1/3 * 1/5 * 5/8 * 7/9)
[256080] ['1/3', '1/5', '5/8', '7/9', '8/7'] -> 8/7 / (5/8 * (1/3 - 1/5 / 7/9))
[256081] ['1/3', '1/5', '5/8', '7/9', '8/9'] -> 8/9 / (5/8 * (1/3 * 7/9 - 1/5))
[256084] ['1/3', '1/5', '5/8', '7/9', '9/5'] -> 7/9 / (5/8 - 1/3) / 1/5 * 9/5
[256085] ['1/3', '1/5', '5/8', '7/9', '9/7'] -> 9/7 / (1/3 * 1/5 * 5/8 / 7/9)
[256087] ['1/3', '1/5', '5/8', '8/3', '8/3'] -> 8/3 / (1/3 * 1/5 * 5/8 * 8/3)
[256088] ['1/3', '1/5', '5/8', '8/3', '8/5'] -> 8/5 / ((5/8 - 1/5 / 1/3) * 8/3)
[256089] ['1/3', '1/5', '5/8', '8/3', '8/7'] -> (8/3 / 1/5 / 5/8 - 1/3) * 8/7
[256091] ['1/3', '1/5', '5/8', '8/3', '9/2'] -> (1/3 / 1/5 / 5/8 + 8/3) * 9/2
[256092] ['1/3', '1/5', '5/8', '8/3', '9/4'] -> (8/3 - 1/3 / 5/8) / 1/5 * 9/4
[256093] ['1/3', '1/5', '5/8', '8/3', '9/5'] -> 9/5 / (1/5 * (8/3 - 5/8) - 1/3)
[256094] ['1/3', '1/5', '5/8', '8/3', '9/7'] -> 9/7 / (1/5 * 5/8 / (8/3 - 1/3))
[256095] ['1/3', '1/5', '5/8', '8/3', '9/8'] -> 9/8 / (5/8 * (1/5 - 1/3 / 8/3))
[256100] ['1/3', '1/5', '5/8', '8/5', '9/4'] -> (1/3 / 5/8 + 8/5) / 1/5 * 9/4
[256104] ['1/3', '1/5', '5/8', '8/7', '8/7'] -> 8/7 / (1/3 * 1/5 * 5/8 * 8/7)
[256111] ['1/3', '1/5', '5/8', '8/9', '8/9'] -> 8/9 / (1/3 * 1/5 * 5/8 * 8/9)
[256113] ['1/3', '1/5', '5/8', '8/9', '9/4'] -> 8/9 / (1/3 - 1/5) / 5/8 * 9/4
[256116] ['1/3', '1/5', '5/8', '8/9', '9/8'] -> 9/8 / (1/3 * 1/5 * 5/8 / 8/9)
[256119] ['1/3', '1/5', '5/8', '9/2', '9/5'] -> (1/5 + 9/2 / 5/8) / 1/3 + 9/5
[256122] ['1/3', '1/5', '5/8', '9/4', '9/4'] -> 9/4 / (1/3 * 1/5 * 5/8 * 9/4)
[256125] ['1/3', '1/5', '5/8', '9/4', '9/8'] -> 9/4 / (1/3 - 1/5) / 5/8 / 9/8
[256126] ['1/3', '1/5', '5/8', '9/5', '9/5'] -> 9/5 / 1/3 / 1/5 / 5/8 / 9/5
[256127] ['1/3', '1/5', '5/8', '9/5', '9/7'] -> 9/5 / (5/8 - 1/3) / 1/5 / 9/7
[256128] ['1/3', '1/5', '5/8', '9/5', '9/8'] -> (9/5 / 1/5 - 5/8) / 1/3 - 9/8
[256129] ['1/3', '1/5', '5/8', '9/7', '9/7'] -> 9/7 / 1/3 / 1/5 / 5/8 / 9/7
[256146] ['1/3', '1/5', '5/9', '5/9', '9/2'] -> (1/3 + 5/9 / 1/5 / 5/9) * 9/2
[256154] ['1/3', '1/5', '5/9', '6/5', '7/3'] -> (5/9 + 6/5) / 1/3 / 1/5 - 7/3
[256164] ['1/3', '1/5', '5/9', '6/5', '9/2'] -> (1/3 + 5/9) * 6/5 / 1/5 * 9/2
[256165] ['1/3', '1/5', '5/9', '6/5', '9/4'] -> 6/5 / (5/9 - 1/3 - 1/5) / 9/4
[256169] ['1/3', '1/5', '5/9', '6/7', '6/7'] -> 6/7 / 1/3 / 1/5 / 5/9 + 6/7
[256178] ['1/3', '1/5', '5/9', '6/7', '8/5'] -> 8/5 / ((1/3 + 1/5) / 6/7 - 5/9)
[256179] ['1/3', '1/5', '5/9', '6/7', '8/7'] -> 8/7 / (5/9 * (1/3 * 6/7 - 1/5))
[256186] ['1/3', '1/5', '5/9', '7/2', '7/2'] -> (1/3 / 5/9 + 7/2) / 1/5 + 7/2
[256197] ['1/3', '1/5', '5/9', '7/2', '9/2'] -> (1/5 + 7/2 / 5/9) / 1/3 + 9/2
[256209] ['1/3', '1/5', '5/9', '7/3', '8/5'] -> 8/5 / (7/3 - (1/5 + 5/9) / 1/3)
[256212] ['1/3', '1/5', '5/9', '7/3', '9/2'] -> (1/3 / 1/5 / 5/9 + 7/3) * 9/2
[256213] ['1/3', '1/5', '5/9', '7/3', '9/4'] -> (5/9 / 1/3 / 1/5 + 7/3) * 9/4
[256223] ['1/3', '1/5', '5/9', '7/4', '8/5'] -> 8/5 / (5/9 / (1/3 + 7/4) - 1/5)
[256236] ['1/3', '1/5', '5/9', '7/5', '8/5'] -> 8/5 / (5/9 / 1/3 - 1/5 - 7/5)
[256239] ['1/3', '1/5', '5/9', '7/5', '9/2'] -> (7/5 / 1/5 - 5/9 / 1/3) * 9/2
[256248] ['1/3', '1/5', '5/9', '7/6', '8/5'] -> 8/5 / ((1/3 + 1/5) * 7/6 - 5/9)
[256249] ['1/3', '1/5', '5/9', '7/6', '8/7'] -> 8/7 / (5/9 * (1/3 / 7/6 - 1/5))
[256257] ['1/3', '1/5', '5/9', '7/8', '7/9'] -> 7/9 / (1/3 * 1/5 * 5/9 * 7/8)
[256264] ['1/3', '1/5', '5/9', '7/8', '9/5'] -> 9/5 / (7/8 - 1/3 / 5/9 - 1/5)
[256268] ['1/3', '1/5', '5/9', '7/9', '8/3'] -> 8/3 / (1/5 * (1/3 + 7/9 - 5/9))
[256270] ['1/3', '1/5', '5/9', '7/9', '8/7'] -> 7/9 / 1/3 / 1/5 / 5/9 * 8/7
[256272] ['1/3', '1/5', '5/9', '7/9', '9/2'] -> (7/9 / 5/9 - 1/3) / 1/5 * 9/2
[256273] ['1/3', '1/5', '5/9', '7/9', '9/4'] -> (5/9 / 1/5 + 7/9) / 1/3 * 9/4
[256274] ['1/3', '1/5', '5/9', '7/9', '9/5'] -> (5/9 + 7/9 / 1/5) / 1/3 * 9/5
[256279] ['1/3', '1/5', '5/9', '8/3', '8/7'] -> (8/3 - 1/3) / 1/5 / 5/9 * 8/7
[256281] ['1/3', '1/5', '5/9', '8/3', '9/2'] -> (1/3 + 1/5 + 8/3 / 5/9) * 9/2
[256283] ['1/3', '1/5', '5/9', '8/3', '9/5'] -> 9/5 / (1/5 + 5/9 / 8/3 - 1/3)
[256285] ['1/3', '1/5', '5/9', '8/3', '9/8'] -> (1/3 + 8/3) / 1/5 / 5/9 / 9/8
[256286] ['1/3', '1/5', '5/9', '8/5', '8/5'] -> (1/3 + 8/5 / 1/5) / 5/9 * 8/5
[256288] ['1/3', '1/5', '5/9', '8/5', '8/9'] -> 8/9 / (5/9 * (1/3 / 1/5 - 8/5))
[256289] ['1/3', '1/5', '5/9', '8/5', '9/2'] -> 8/5 / (1/5 - 1/3 * 5/9) / 9/2
[256299] ['1/3', '1/5', '5/9', '8/7', '9/7'] -> 8/7 / 1/3 / 1/5 / 5/9 / 9/7
[256301] ['1/3', '1/5', '5/9', '8/9', '8/9'] -> 8/9 / (1/3 * 5/9 / 1/5 - 8/9)
[256317] ['1/3', '1/5', '5/9', '9/5', '9/7'] -> 9/7 / (1/3 * 1/5 / (9/5 - 5/9))
[256323] ['1/3', '1/5', '6/5', '6/5', '6/7'] -> (6/5 + 6/5) / (1/3 - 1/5 / 6/7)
[256325] ['1/3', '1/5', '6/5', '6/5', '7/3'] -> (6/5 + 6/5) / 1/5 * (7/3 - 1/3)
[256328] ['1/3', '1/5', '6/5', '6/5', '7/6'] -> (6/5 + 6/5) / (1/3 - 1/5 * 7/6)
[256331] ['1/3', '1/5', '6/5', '6/5', '8/3'] -> 8/3 / (1/3 / 6/5 - 1/5 / 6/5)
[256335] ['1/3', '1/5', '6/5', '6/5', '9/2'] -> (1/3 + 6/5 / 1/5 / 6/5) * 9/2
[256339] ['1/3', '1/5', '6/5', '6/5', '9/8'] -> (1/5 / 1/3 + 6/5) / (6/5 - 9/8)
[256340] ['1/3', '1/5', '6/5', '6/7', '6/7'] -> (6/5 / 1/5 + 6/7) / 1/3 / 6/7
[256341] ['1/3', '1/5', '6/5', '6/7', '7/2'] -> (6/7 / 1/3 - 6/5) / 1/5 * 7/2
[256343] ['1/3', '1/5', '6/5', '6/7', '7/4'] -> (6/5 / 1/3 - 6/7) / 1/5 * 7/4
[256345] ['1/3', '1/5', '6/5', '6/7', '7/6'] -> (6/5 / 1/5 + 6/7) / 1/3 * 7/6
[256347] ['1/3', '1/5', '6/5', '6/7', '7/9'] -> (6/5 + 6/7) / 1/3 / 1/5 * 7/9
[256349] ['1/3', '1/5', '6/5', '6/7', '8/5'] -> 8/5 / ((1/3 / 6/5 - 1/5) * 6/7)
[256352] ['1/3', '1/5', '6/5', '6/7', '9/2'] -> (6/5 / 6/7 - 1/3) / 1/5 * 9/2
[256355] ['1/3', '1/5', '6/5', '6/7', '9/7'] -> (6/5 + 6/7) / 1/3 / 1/5 / 9/7
[256361] ['1/3', '1/5', '6/5', '7/2', '7/6'] -> (1/3 + 6/5 + 7/2) / 1/5 - 7/6
[256365] ['1/3', '1/5', '6/5', '7/2', '8/5'] -> 8/5 / ((1/5 + 6/5) / 7/2 - 1/3)
[256368] ['1/3', '1/5', '6/5', '7/2', '9/2'] -> (1/3 * 6/5 + 7/2) / 1/5 + 9/2
[256369] ['1/3', '1/5', '6/5', '7/2', '9/4'] -> (1/5 / 6/5 + 7/2 / 1/3) * 9/4
[256374] ['1/3', '1/5', '6/5', '7/3', '7/4'] -> 6/5 * 7/3 / 1/3 / 1/5 / 7/4
[256380] ['1/3', '1/5', '6/5', '7/3', '8/5'] -> 8/5 / (1/5 * 7/3 - 1/3 * 6/5)
[256402] ['1/3', '1/5', '6/5', '7/5', '7/5'] -> (1/5 + 7/5) / (1/3 * (7/5 - 6/5))
[256406] ['1/3', '1/5', '6/5', '7/5', '8/3'] -> (1/3 * 6/5 + 7/5) / 1/5 * 8/3
[256409] ['1/3', '1/5', '6/5', '7/5', '8/9'] -> (6/5 + 7/5 / 1/3) / 1/5 * 8/9
[256414] ['1/3', '1/5', '6/5', '7/5', '9/8'] -> (6/5 + 7/5 / 1/3) / 1/5 / 9/8
[256416] ['1/3', '1/5', '6/5', '7/6', '7/8'] -> 6/5 * 7/6 / 1/3 / 1/5 / 7/8
[256418] ['1/3', '1/5', '6/5', '7/6', '8/3'] -> (1/3 + 7/6) / (1/5 / 6/5) * 8/3
[256419] ['1/3', '1/5', '6/5', '7/6', '8/5'] -> 7/6 / (1/3 / 6/5 - 1/5) * 8/5
[256420] ['1/3', '1/5', '6/5', '7/6', '8/7'] -> 6/5 * 7/6 / 1/3 / 1/5 * 8/7
[256422] ['1/3', '1/5', '6/5', '7/6', '9/2'] -> (6/5 * 7/6 - 1/3) / 1/5 * 9/2
[256443] ['1/3', '1/5', '6/5', '7/9', '9/2'] -> (6/5 + 7/9 - 1/5) / 1/3 * 9/2
[256450] ['1/3', '1/5', '6/5', '8/3', '8/7'] -> (1/3 + 6/5 + 8/3) / 1/5 * 8/7
[256454] ['1/3', '1/5', '6/5', '8/3', '9/5'] -> 8/3 / (1/3 * 6/5 - 1/5) * 9/5
[256458] ['1/3', '1/5', '6/5', '8/5', '8/7'] -> (6/5 + 8/5) / (1/3 - 1/5) * 8/7
[256467] ['1/3', '1/5', '6/5', '8/7', '9/2'] -> 9/2 / (1/3 - 1/5 / 6/5 / 8/7)
[256472] ['1/3', '1/5', '6/5', '8/9', '8/9'] -> 8/9 / (1/3 * (6/5 - 1/5 - 8/9))
[256473] ['1/3', '1/5', '6/5', '8/9', '9/2'] -> 8/9 / (1/3 - 1/5 / 6/5) * 9/2
[256480] ['1/3', '1/5', '6/5', '9/2', '9/5'] -> (9/2 / 1/3 - 1/5 / 6/5) * 9/5
[256482] ['1/3', '1/5', '6/5', '9/2', '9/8'] -> 9/2 / (1/3 - 1/5 / 6/5) / 9/8
[256489] ['1/3', '1/5', '6/5', '9/5', '9/8'] -> (6/5 / 1/3 + 9/5) / 1/5 / 9/8
[256490] ['1/3', '1/5', '6/5', '9/7', '9/7'] -> (6/5 + 9/7 / 1/3) / 1/5 - 9/7
[256492] ['1/3', '1/5', '6/5', '9/8', '9/8'] -> (6/5 + 9/8 / 1/3) / 1/5 + 9/8
[256494] ['1/3', '1/5', '6/7', '6/7', '7/2'] -> (6/7 / 1/3 + 6/7 / 1/5) * 7/2
[256495] ['1/3', '1/5', '6/7', '6/7', '7/3'] -> (6/7 / 1/5 - 6/7) / 1/3 * 7/3
[256496] ['1/3', '1/5', '6/7', '6/7', '7/4'] -> (6/7 / 1/3 / 1/5 + 6/7) * 7/4
[256497] ['1/3', '1/5', '6/7', '6/7', '7/5'] -> (6/7 / 1/3 + 6/7) / 1/5 * 7/5
[256503] ['1/3', '1/5', '6/7', '6/7', '8/7'] -> 8/7 / (6/7 + 6/7 - 1/3 / 1/5)
[256505] ['1/3', '1/5', '6/7', '6/7', '9/2'] -> (1/3 + 6/7 / 1/5 / 6/7) * 9/2
[256523] ['1/3', '1/5', '6/7', '7/2', '9/5'] -> (6/7 * 7/2 - 1/3) / 1/5 * 9/5
[256526] ['1/3', '1/5', '6/7', '7/3', '7/3'] -> 6/7 * (1/3 + 7/3 / 1/5) * 7/3
[256534] ['1/3', '1/5', '6/7', '7/3', '8/7'] -> 8/7 / (1/5 * (6/7 / 1/3 - 7/3))
[256552] ['1/3', '1/5', '6/7', '7/4', '9/5'] -> 9/5 / (1/5 * 7/4 / 6/7 - 1/3)
[256559] ['1/3', '1/5', '6/7', '7/5', '8/3'] -> 6/7 * 7/5 / (1/3 - 1/5) * 8/3
[256560] ['1/3', '1/5', '6/7', '7/5', '8/5'] -> 8/5 / (1/3 / 7/5 - 1/5 * 6/7)
[256566] ['1/3', '1/5', '6/7', '7/5', '9/7'] -> (6/7 + 7/5 / 1/3) / 1/5 - 9/7
[256575] ['1/3', '1/5', '6/7', '7/6', '9/2'] -> (1/3 + 6/7 * 7/6 / 1/5) * 9/2
[256583] ['1/3', '1/5', '6/7', '7/8', '8/5'] -> 8/5 / (1/3 - 1/5 / 6/7 / 7/8)
[256588] ['1/3', '1/5', '6/7', '7/8', '9/5'] -> 9/5 / ((1/3 * 6/7 - 1/5) * 7/8)
[256594] ['1/3', '1/5', '6/7', '7/9', '8/7'] -> 1/3 / (6/7 - 7/9) / 1/5 * 8/7
[256601] ['1/3', '1/5', '6/7', '8/3', '8/3'] -> 8/3 / (1/3 - 1/5 / 6/7) - 8/3
[256611] ['1/3', '1/5', '6/7', '8/5', '8/7'] -> 8/7 / (1/3 * (8/5 - 6/7) - 1/5)
[256613] ['1/3', '1/5', '6/7', '8/5', '9/2'] -> 9/2 / (1/3 - 1/5 / 6/7 / 8/5)
[256616] ['1/3', '1/5', '6/7', '8/5', '9/7'] -> 9/7 / ((1/3 * 6/7 - 1/5) / 8/5)
[256622] ['1/3', '1/5', '6/7', '8/7', '9/5'] -> 8/7 / (1/3 * 6/7 - 1/5) * 9/5
[256636] ['1/3', '1/5', '6/7', '9/4', '9/4'] -> 9/4 / (1/3 * 6/7 - 1/5) - 9/4
[256648] ['1/3', '1/5', '7/2', '7/2', '7/4'] -> (7/2 / 1/5 - 7/2) / 1/3 / 7/4
[256650] ['1/3', '1/5', '7/2', '7/2', '7/6'] -> (7/2 / 1/3 + 7/2 / 1/5) / 7/6
[256652] ['1/3', '1/5', '7/2', '7/2', '7/9'] -> (1/3 * 7/2 + 7/2 / 1/5) / 7/9
[256653] ['1/3', '1/5', '7/2', '7/2', '8/3'] -> 1/3 + 7/2 / 1/5 + 7/2 + 8/3
[256656] ['1/3', '1/5', '7/2', '7/2', '8/9'] -> (1/3 + 7/2 / 1/5 + 7/2) / 8/9
[256660] ['1/3', '1/5', '7/2', '7/2', '9/7'] -> (1/3 * 7/2 + 7/2 / 1/5) * 9/7
[256663] ['1/3', '1/5', '7/2', '7/3', '7/4'] -> 7/2 * (1/3 + 7/3 / 1/5) / 7/4
[256672] ['1/3', '1/5', '7/2', '7/3', '9/2'] -> 7/2 / 1/5 + 7/3 - 1/3 + 9/2
[256673] ['1/3', '1/5', '7/2', '7/3', '9/4'] -> 7/2 / (1/5 * 7/3 - 1/3) - 9/4
[256677] ['1/3', '1/5', '7/2', '7/4', '7/4'] -> 7/2 / (7/4 - 1/3 / 1/5) / 7/4
[256678] ['1/3', '1/5', '7/2', '7/4', '7/5'] -> 7/5 / (7/2 * (1/5 * 7/4 - 1/3))
[256687] ['1/3', '1/5', '7/2', '7/4', '9/4'] -> (7/2 - 7/4) / 1/3 / 1/5 - 9/4
[256697] ['1/3', '1/5', '7/2', '7/5', '8/7'] -> 8/7 / (1/5 / 7/5 - 1/3 / 7/2)
[256702] ['1/3', '1/5', '7/2', '7/5', '9/7'] -> 9/7 / (1/5 / (7/5 - 1/3) / 7/2)
[256704] ['1/3', '1/5', '7/2', '7/6', '7/6'] -> (7/2 + 7/6 / 1/5) / 1/3 / 7/6
[256707] ['1/3', '1/5', '7/2', '7/6', '8/3'] -> (7/2 + 7/6 / 1/5 - 1/3) * 8/3
[256712] ['1/3', '1/5', '7/2', '7/6', '9/4'] -> (1/3 + 7/6) / (1/5 / 7/2) - 9/4
[256728] ['1/3', '1/5', '7/2', '7/9', '8/3'] -> 8/3 / (1/5 * (1/3 + 7/9 / 7/2))
[256729] ['1/3', '1/5', '7/2', '7/9', '8/5'] -> 1/3 / (7/9 / 7/2 - 1/5) * 8/5
[256746] ['1/3', '1/5', '7/2', '8/5', '8/5'] -> 8/5 / ((8/5 - 1/5) / 7/2 - 1/3)
[256747] ['1/3', '1/5', '7/2', '8/5', '8/7'] -> 8/7 / (1/5 - 1/3 * 8/5 / 7/2)
[256772] ['1/3', '1/5', '7/2', '9/4', '9/4'] -> 7/2 / 1/3 + 9/4 / 1/5 + 9/4
[256781] ['1/3', '1/5', '7/2', '9/8', '9/8'] -> 7/2 / (1/3 - 1/5) - 9/8 - 9/8
[256783] ['1/3', '1/5', '7/3', '7/3', '7/4'] -> (7/3 / 1/5 + 7/3) / 1/3 / 7/4
[256784] ['1/3', '1/5', '7/3', '7/3', '7/5'] -> (7/3 + 7/5) / 1/3 / (1/5 * 7/3)
[256787] ['1/3', '1/5', '7/3', '7/3', '7/9'] -> (7/3 / 1/3 + 7/3 / 1/5) / 7/9
[256788] ['1/3', '1/5', '7/3', '7/3', '8/3'] -> (7/3 / 1/5 - 1/3 - 7/3) * 8/3
[256792] ['1/3', '1/5', '7/3', '7/3', '9/2'] -> (1/3 + 7/3 / 1/5 / 7/3) * 9/2
[256795] ['1/3', '1/5', '7/3', '7/3', '9/7'] -> (7/3 / 1/3 + 7/3 / 1/5) * 9/7
[256799] ['1/3', '1/5', '7/3', '7/4', '7/6'] -> 7/3 / (7/4 - 1/3 / 1/5) / 7/6
[256800] ['1/3', '1/5', '7/3', '7/4', '7/8'] -> (1/3 + 7/3 / 1/5) * 7/4 / 7/8
[256803] ['1/3', '1/5', '7/3', '7/4', '8/5'] -> 8/5 / (1/3 - 1/5 * 7/3 / 7/4)
[256804] ['1/3', '1/5', '7/3', '7/4', '8/7'] -> (1/3 + 7/3 / 1/5) * 7/4 * 8/7
[256807] ['1/3', '1/5', '7/3', '7/4', '9/4'] -> (7/3 / 1/3 - 7/4) / 1/5 - 9/4
[256811] ['1/3', '1/5', '7/3', '7/5', '7/5'] -> (7/3 / 1/3 / 1/5 - 7/5) / 7/5
[256816] ['1/3', '1/5', '7/3', '7/5', '8/5'] -> 8/5 / (7/5 / 7/3 - 1/3 - 1/5)
[256832] ['1/3', '1/5', '7/3', '7/6', '9/4'] -> (7/3 + 7/6) / (1/3 - 1/5) - 9/4
[256839] ['1/3', '1/5', '7/3', '7/8', '8/5'] -> (1/3 + 7/3 / 7/8) / 1/5 * 8/5
[256847] ['1/3', '1/5', '7/3', '7/9', '7/9'] -> (7/3 + 7/9 / 1/5) / 1/3 / 7/9
[256853] ['1/3', '1/5', '7/3', '7/9', '9/4'] -> 7/3 / (7/9 - 1/3) / 1/5 - 9/4
[256854] ['1/3', '1/5', '7/3', '7/9', '9/5'] -> (7/3 / 7/9 - 1/3) / 1/5 * 9/5
[256855] ['1/3', '1/5', '7/3', '7/9', '9/7'] -> (7/3 + 7/9 / 1/5) / 1/3 * 9/7
[256860] ['1/3', '1/5', '7/3', '8/3', '8/9'] -> (7/3 / 1/5 - 8/3) / 1/3 * 8/9
[256865] ['1/3', '1/5', '7/3', '8/3', '9/8'] -> (7/3 / 1/5 - 8/3) / 1/3 / 9/8
[256868] ['1/3', '1/5', '7/3', '8/5', '8/9'] -> (7/3 / 1/3 - 8/5) / 1/5 * 8/9
[256870] ['1/3', '1/5', '7/3', '8/5', '9/4'] -> (1/3 + 7/3 + 8/5 / 1/5) * 9/4
[256883] ['1/3', '1/5', '7/3', '8/9', '9/4'] -> (1/3 + 7/3 / 1/5) * 8/9 * 9/4
[256884] ['1/3', '1/5', '7/3', '8/9', '9/5'] -> 7/3 / (1/3 / 8/9 - 1/5) * 9/5
[256895] ['1/3', '1/5', '7/3', '9/4', '9/8'] -> (1/3 + 7/3 / 1/5) * 9/4 / 9/8
[256904] ['1/3', '1/5', '7/4', '7/4', '7/6'] -> (7/4 / 1/3 / 1/5 + 7/4) / 7/6
[256912] ['1/3', '1/5', '7/4', '7/4', '9/4'] -> (7/4 + 7/4) / (1/3 - 1/5) - 9/4
[256922] ['1/3', '1/5', '7/4', '7/5', '8/7'] -> 8/7 / (1/3 / 7/4 - 1/5 / 7/5)
[256925] ['1/3', '1/5', '7/4', '7/5', '9/4'] -> (7/4 + 7/5 / 1/5) / 1/3 - 9/4
[256937] ['1/3', '1/5', '7/4', '7/6', '9/4'] -> (7/4 + 7/6 / 1/3) / 1/5 - 9/4
[256938] ['1/3', '1/5', '7/4', '7/6', '9/5'] -> 9/5 / (1/5 * 7/4 * 7/6 - 1/3)
[256954] ['1/3', '1/5', '7/4', '7/9', '8/5'] -> 8/5 / (1/5 / 7/9 - 1/3 / 7/4)
[256964] ['1/3', '1/5', '7/4', '8/3', '8/7'] -> 8/3 / 1/3 / 1/5 / 7/4 + 8/7
[256972] ['1/3', '1/5', '7/4', '8/5', '8/7'] -> 7/4 * 8/5 / (1/3 - 1/5) * 8/7
[256975] ['1/3', '1/5', '7/4', '8/5', '9/4'] -> 7/4 / (1/3 / 1/5 - 8/5) - 9/4
[256978] ['1/3', '1/5', '7/4', '8/5', '9/8'] -> (7/4 + 8/5) / (1/3 - 1/5) - 9/8
[256988] ['1/3', '1/5', '7/4', '8/9', '9/4'] -> 8/9 / (7/4 - 1/3 / 1/5) * 9/4
[256993] ['1/3', '1/5', '7/4', '9/2', '9/4'] -> 7/4 / 1/3 / 1/5 - 9/2 + 9/4
[256994] ['1/3', '1/5', '7/4', '9/2', '9/5'] -> 9/5 / ((1/5 * 7/4 - 1/3) * 9/2)
[256998] ['1/3', '1/5', '7/4', '9/4', '9/5'] -> (1/3 + 7/4 + 9/4 / 1/5) * 9/5
[257000] ['1/3', '1/5', '7/4', '9/4', '9/8'] -> 9/4 / (7/4 - 1/3 / 1/5) / 9/8
[257002] ['1/3', '1/5', '7/4', '9/5', '9/7'] -> 9/7 / (1/5 / (1/3 + 9/5) / 7/4)
[257006] ['1/3', '1/5', '7/4', '9/8', '9/8'] -> 7/4 / 1/3 / 1/5 - 9/8 - 9/8
[257007] ['1/3', '1/5', '7/5', '7/5', '7/5'] -> (7/5 / 1/5 + 7/5 / 7/5) / 1/3
[257008] ['1/3', '1/5', '7/5', '7/5', '7/6'] -> (7/5 / 1/3 + 7/5) / 1/5 / 7/6
[257009] ['1/3', '1/5', '7/5', '7/5', '7/8'] -> (7/5 + 7/5) / (1/3 - 1/5) / 7/8
[257011] ['1/3', '1/5', '7/5', '7/5', '8/3'] -> (1/5 + 7/5 + 7/5) / 1/3 * 8/3
[257013] ['1/3', '1/5', '7/5', '7/5', '8/7'] -> (7/5 + 7/5) / (1/3 - 1/5) * 8/7
[257015] ['1/3', '1/5', '7/5', '7/5', '9/2'] -> (1/3 + 7/5 / 1/5 / 7/5) * 9/2
[257023] ['1/3', '1/5', '7/5', '7/6', '8/3'] -> 7/5 / (1/3 - 1/5) / 7/6 * 8/3
[257024] ['1/3', '1/5', '7/5', '7/6', '8/5'] -> 8/5 / (1/3 / 7/5 - 1/5 / 7/6)
[257035] ['1/3', '1/5', '7/5', '7/8', '8/5'] -> 8/5 / (1/3 / 1/5 - 7/5 / 7/8)
[257036] ['1/3', '1/5', '7/5', '7/8', '8/7'] -> 8/7 / (1/5 / (7/5 - 7/8) - 1/3)
[257040] ['1/3', '1/5', '7/5', '7/8', '9/5'] -> 9/5 / (1/5 / 1/3 + 7/8 - 7/5)
[257044] ['1/3', '1/5', '7/5', '7/9', '8/3'] -> 8/3 / (7/9 - 1/3 * 7/5 - 1/5)
[257049] ['1/3', '1/5', '7/5', '7/9', '9/4'] -> (1/3 + 7/5 / 7/9) / 1/5 * 9/4
[257052] ['1/3', '1/5', '7/5', '7/9', '9/8'] -> 7/5 / 1/3 / 1/5 / 7/9 / 9/8
[257056] ['1/3', '1/5', '7/5', '8/3', '8/9'] -> (1/3 + 7/5) * 8/3 / 1/5 + 8/9
[257057] ['1/3', '1/5', '7/5', '8/3', '9/2'] -> (1/5 / 1/3 + 7/5) * 8/3 * 9/2
[257058] ['1/3', '1/5', '7/5', '8/3', '9/4'] -> (7/5 / 1/3 - 1/5) * 8/3 * 9/4
[257059] ['1/3', '1/5', '7/5', '8/3', '9/5'] -> 9/5 / (1/5 / 1/3 - 7/5 / 8/3)
[257062] ['1/3', '1/5', '7/5', '8/5', '8/5'] -> 8/5 / (1/5 + 8/5 - 1/3 - 7/5)
[257063] ['1/3', '1/5', '7/5', '8/5', '8/7'] -> 7/5 / (1/3 / 1/5 - 8/5) * 8/7
