[1873325] ['3/8', '5/8', '7/2', '7/4', '7/4'] -> 7/2 / ((7/4 - (5/8 / 3/8)) * /4
[1889867] ['4/3', '4/5', '8/5', '8/5', '9/8'] -> (4/5 + 8/5) / (8/5 - 4/3 * 9/8)
[1889868] ['4/3', '4/5', '8/5', '8/7', '8/7'] -> 8/5 / (8/7 - 4/3 * 4/5) * 8/7
[1889876] ['4/3', '4/5', '8/5', '8/9', '9/2'] -> (4/5 + 8/5) * (4/3 + 8/9) * 9/2
[1889878] ['4/3', '4/5', '8/5', '8/9', '9/5'] -> 8/9 / (4/3 / 4/5 - 8/5) * 9/5
[1889887] ['4/3', '4/5', '8/5', '9/4', '9/5'] -> 9/5 / ((4/3 / 8/5 - 4/5) * 9/4)
[1889896] ['4/3', '4/5', '8/7', '8/7', '8/7'] -> (8/7 + 8/7) / (8/7 / 4/5 - 4/3)
[1889909] ['4/3', '4/5', '8/7', '9/2', '9/2'] -> 4/5 * 8/7 * (4/3 + 9/2) * 9/2
[1889927] ['4/3', '4/5', '8/9', '8/9', '9/5'] -> 4/3 * 8/9 / (8/9 - 4/5) * 9/5
[1889939] ['4/3', '4/5', '8/9', '9/5', '9/5'] -> 9/5 / (4/3 / (4/5 * /9) - 9/5)
[1889941] ['4/3', '4/5', '8/9', '9/5', '9/8'] -> 4/3 * 9/5 / (8/9 - 4/5) / 9/8
[1889959] ['4/3', '4/5', '9/2', '9/8', '9/8'] -> 9/2 / (((4/3 - 9/8) * /5) * /8
)[1889982] ['4/3', '4/7', '4/7', '4/7', '5/2'] -> 4/7 / (5/2 - 4/3 - 4/7 - 4/7)
[1889984] ['4/3', '4/7', '4/7', '4/7', '5/4'] -> (4/7 + 4/7) / (4/3 - 5/4) / 4/7
[1889985] ['4/3', '4/7', '4/7', '4/7', '5/6'] -> 4/7 / ((4/7 + 4/7) / 4/3 - 5/6)
[1889988] ['4/3', '4/7', '4/7', '4/7', '5/9'] -> 4/3 / (5/9 - 4/7 / (4/7 + 4/7))
[1889996] ['4/3', '4/7', '4/7', '4/7', '7/8'] -> 4/7 / (4/3 * 7/8 - 4/7 - 4/7)
[1890003] ['4/3', '4/7', '4/7', '4/7', '9/4'] -> (4/7 + 4/7) / (4/3 - 4/7 * 9/4)
[1890006] ['4/3', '4/7', '4/7', '4/7', '9/8'] -> 4/7 / (((4/7 + 4/7) - 9/8) * /3
)[1890007] ['4/3', '4/7', '4/7', '4/9', '4/9'] -> 4/3 / (4/9 - 4/9 / (4/7 + 4/7))
[1890011] ['4/3', '4/7', '4/7', '4/9', '5/6'] -> (4/7 / (4/9 * (5/6 / 4/3)) - 4/7))
[1890012] ['4/3', '4/7', '4/7', '4/9', '5/7'] -> (4/3 / 4/7 + 5/7) / (4/7 - 4/9)
[1890013] ['4/3', '4/7', '4/7', '4/9', '5/8'] -> (4/3 + 4/7) / (4/7 - 4/9) / 5/8
[1890024] ['4/3', '4/7', '4/7', '4/9', '8/3'] -> 8/3 / (4/7 / 4/7 + 4/9 - 4/3)
[1890025] ['4/3', '4/7', '4/7', '4/9', '8/5'] -> (4/3 + 4/7) * 8/5 / (4/7 - 4/9)
[1890026] ['4/3', '4/7', '4/7', '4/9', '8/7'] -> (4/3 + 4/7 + 8/7) / (4/7 - 4/9)
[1890027] ['4/3', '4/7', '4/7', '4/9', '8/9'] -> 4/7 * 8/9 / (4/3 * 4/9 - 4/7)
[1890032] ['4/3', '4/7', '4/7', '4/9', '9/8'] -> 4/7 / (((4/3 * 4/9) - 4/7) * /8
)[1890035] ['4/3', '4/7', '4/7', '5/2', '5/4'] -> (4/7 + 4/7 * 5/2) / (4/3 - 5/4)
[1890038] ['4/3', '4/7', '4/7', '5/2', '5/8'] -> 4/7 / ((4/7 - (4/3 / 5/2)) * /8
)[1890050] ['4/3', '4/7', '4/7', '5/2', '8/5'] -> 4/7 * 8/5 / (4/7 - 4/3 / 5/2)
[1890053] ['4/3', '4/7', '4/7', '5/2', '9/2'] -> (4/7 + (4/3 + 4/7) * 5/2) * 9/2
[1890091] ['4/3', '4/7', '4/7', '5/4', '7/4'] -> (4/7 + 4/7) * 7/4 / (4/3 - 5/4)
[1890097] ['4/3', '4/7', '4/7', '5/4', '8/5'] -> 8/5 / (4/3 / 5/4 - 4/7 / 4/7)
[1890105] ['4/3', '4/7', '4/7', '5/6', '5/6'] -> 4/7 / (4/3 - 4/7 * 5/6 - 5/6)
[1890106] ['4/3', '4/7', '4/7', '5/6', '5/7'] -> (4/7 + 5/7) / (5/6 / 4/3 - 4/7)
[1890123] ['4/3', '4/7', '4/7', '5/6', '9/4'] -> 4/7 * 9/4 / (5/6 / 4/3 - 4/7)
[1890132] ['4/3', '4/7', '4/7', '5/7', '7/2'] -> 4/7 * 7/2 / (4/3 - 5/7 / 4/7)
[1890135] ['4/3', '4/7', '4/7', '5/7', '7/5'] -> (4/7 + 4/7) / 5/7 / (7/5 - 4/3)
[1890140] ['4/3', '4/7', '4/7', '5/7', '8/5'] -> 8/5 / (4/7 / (4/7 * /7) - 4/3)
[1890145] ['4/3', '4/7', '4/7', '5/7', '9/5'] -> (4/3 + 4/7) * 9/5 / (5/7 - 4/7)
[1890151] ['4/3', '4/7', '4/7', '5/8', '6/7'] -> (4/7 / 4/3 + 6/7) / (5/8 - 4/7)
[1890155] ['4/3', '4/7', '4/7', '5/8', '7/5'] -> (4/7 / ((4/7 * /8) * 7/5) - 4/3))
[1890161] ['4/3', '4/7', '4/7', '5/8', '8/7'] -> (4/7 + 8/7) / 4/3 / (5/8 - 4/7)
[1890163] ['4/3', '4/7', '4/7', '5/8', '9/2'] -> (4/3 + 4/7) / 4/7 / 5/8 * 9/2
[1890178] ['4/3', '4/7', '4/7', '5/9', '8/3'] -> 8/3 / (4/7 / 4/3 - 4/7 * 5/9)
[1890181] ['4/3', '4/7', '4/7', '5/9', '8/9'] -> 4/7 * 8/9 / 4/3 / (4/7 - 5/9)
[1890186] ['4/3', '4/7', '4/7', '5/9', '9/8'] -> 4/7 / (((4/7 - 5/9) * /3) * /8
)[1890196] ['4/3', '4/7', '4/7', '6/5', '8/3'] -> 8/3 / (4/3 / 6/5 - 4/7 / 4/7)
[1890198] ['4/3', '4/7', '4/7', '6/5', '8/7'] -> 8/7 / (4/7 / 6/5 - 4/7 / 4/3)
[1890226] ['4/3', '4/7', '4/7', '7/2', '7/6'] -> (4/7 + 4/7) * 7/2 / (4/3 - 7/6)
[1890236] ['4/3', '4/7', '4/7', '7/2', '9/7'] -> 4/7 * 4/7 * 7/2 / (4/3 - 9/7)
[1890241] ['4/3', '4/7', '4/7', '7/3', '7/6'] -> (4/3 / (7/3 * (7/6 - 4/7)) - 4/7))
[1890267] ['4/3', '4/7', '4/7', '7/5', '7/5'] -> (4/7 + 4/7) * 7/5 / (7/5 - 4/3)
[1890273] ['4/3', '4/7', '4/7', '7/5', '8/7'] -> 8/7 / (4/7 / 4/7 - 4/3 / 7/5)
[1890282] ['4/3', '4/7', '4/7', '7/6', '7/9'] -> 4/7 * 7/6 / (7/9 / 4/7 - 4/3)
[1890283] ['4/3', '4/7', '4/7', '7/6', '8/3'] -> (4/3 + 8/3) / (7/6 - 4/7 / 4/7)
[1890293] ['4/3', '4/7', '4/7', '7/8', '7/9'] -> 4/3 / ((4/7 - (4/7 * 7/8)) * /9
)[1890299] ['4/3', '4/7', '4/7', '7/8', '9/4'] -> 4/3 * 9/4 / (4/7 / 4/7 - 7/8)
[1890304] ['4/3', '4/7', '4/7', '7/9', '8/3'] -> 8/3 / ((4/7 - 4/7 / 4/3) * 7/9)
[1890307] ['4/3', '4/7', '4/7', '7/9', '8/9'] -> 8/9 / (4/3 * 7/9 - 4/7 / 4/7)
[1890315] ['4/3', '4/7', '4/7', '8/3', '8/7'] -> (4/7 + 8/7) / (4/7 - 4/3 / 8/3)
[1890316] ['4/3', '4/7', '4/7', '8/3', '8/9'] -> 8/3 / (4/7 / 4/3 + 4/7 - 8/9)
[1890320] ['4/3', '4/7', '4/7', '8/3', '9/7'] -> 8/3 / (4/7 - 4/7 / 4/3) * 9/7
[1890325] ['4/3', '4/7', '4/7', '8/5', '9/2'] -> (4/3 + 4/7) * 8/5 / 4/7 * 9/2
[1890332] ['4/3', '4/7', '4/7', '8/7', '9/2'] -> (4/3 + 4/7 + 8/7) / 4/7 * 9/2
[1890337] ['4/3', '4/7', '4/7', '8/9', '8/9'] -> 4/7 / (8/9 / 4/3 - 4/7 / 8/9)
[1890341] ['4/3', '4/7', '4/7', '8/9', '9/7'] -> 4/3 * 9/7 / (4/7 / 8/9 - 4/7)
[1890351] ['4/3', '4/7', '4/7', '9/4', '9/8'] -> 4/7 / (((4/3 / 9/4) - 4/7) * /8
)[1890364] ['4/3', '4/7', '4/9', '4/9', '5/8'] -> 4/3 / (5/8 - 4/7) - (4/9 + 4/9)
[1890367] ['4/3', '4/7', '4/9', '4/9', '6/7'] -> 4/9 * 6/7 / (4/9 - 4/7 / 4/3)
[1890372] ['4/3', '4/7', '4/9', '4/9', '7/6'] -> 4/9 / ((4/9 - (4/7 / 4/3)) * /6
)[1890373] ['4/3', '4/7', '4/9', '4/9', '7/8'] -> 4/9 / (((4/3 * 4/9) - 4/7) * /8
)[1890375] ['4/3', '4/7', '4/9', '4/9', '8/3'] -> 8/3 / (4/3 - 4/9 / 4/7 - 4/9)
[1890377] ['4/3', '4/7', '4/9', '4/9', '8/7'] -> 4/9 * 8/7 / (4/3 * 4/9 - 4/7)
[1890405] ['4/3', '4/7', '4/9', '5/2', '9/4'] -> 4/3 * 5/2 / (4/7 - 4/9) - 9/4
[1890416] ['4/3', '4/7', '4/9', '5/3', '6/7'] -> 6/7 / (4/7 / 4/9 - 5/3 / 4/3)
[1890427] ['4/3', '4/7', '4/9', '5/3', '8/9'] -> 8/9 / (4/3 - 4/9 * 5/3 / 4/7)
[1890440] ['4/3', '4/7', '4/9', '5/4', '7/2'] -> 4/3 / ((4/7 - (4/9 * 5/4)) * /2
)[1890449] ['4/3', '4/7', '4/9', '5/4', '8/7'] -> 8/7 / (4/3 * (4/7 / 4/9 - 5/4))
[1890452] ['4/3', '4/7', '4/9', '5/4', '9/4'] -> 5/4 / (4/3 - 4/7 / 4/9) - 9/4
[1890457] ['4/3', '4/7', '4/9', '5/6', '5/7'] -> 5/7 / (4/3 + 4/7 - 5/6 / 4/9)
[1890463] ['4/3', '4/7', '4/9', '5/6', '7/3'] -> 4/7 / (4/3 - 4/9 - 5/6) * 7/3
[1890464] ['4/3', '4/7', '4/9', '5/6', '7/4'] -> 4/3 / (((4/7 * 5/6) - 4/9) * /4
)[1890479] ['4/3', '4/7', '4/9', '5/7', '5/8'] -> 5/7 / ((4/3 - (4/7 / 4/9)) * /8
)[1890483] ['4/3', '4/7', '4/9', '5/7', '7/2'] -> (4/3 / 4/7 + 5/7) / 4/9 * 7/2
[1890490] ['4/3', '4/7', '4/9', '5/7', '8/3'] -> 8/3 / (4/7 / 4/3 - 4/9 * 5/7)
[1890491] ['4/3', '4/7', '4/9', '5/7', '8/5'] -> 5/7 / (4/3 - 4/7 / 4/9) * 8/5
[1890493] ['4/3', '4/7', '4/9', '5/7', '8/9'] -> 8/9 / (4/9 * (4/3 - 5/7 / 4/7))
[1890494] ['4/3', '4/7', '4/9', '5/7', '9/2'] -> 4/9 / (4/3 - 5/7 / 4/7) * 9/2
[1890495] ['4/3', '4/7', '4/9', '5/7', '9/4'] -> 4/3 / (4/9 / 5/7 - 4/7) - 9/4
[1890503] ['4/3', '4/7', '4/9', '5/8', '7/2'] -> 7/2 * (4/3 + 4/7) / (4/9 * 5/8)
[1890521] ['4/3', '4/7', '4/9', '5/9', '6/7'] -> 4/7 / ((4/9 - (5/9 / 4/3)) * /7
)[1890525] ['4/3', '4/7', '4/9', '5/9', '7/5'] -> 7/5 * (4/3 + 4/7) / (5/9 - 4/9)
[1890526] ['4/3', '4/7', '4/9', '5/9', '7/6'] -> 4/7 / (4/9 - 5/9 / 4/3) * 7/6
[1890529] ['4/3', '4/7', '4/9', '5/9', '8/3'] -> 4/9 / (4/7 - 5/9) - 4/3 - 8/3
[1890530] ['4/3', '4/7', '4/9', '5/9', '8/5'] -> 8/5 / (4/9 / (4/7 * /9) - 4/3)
[1890532] ['4/3', '4/7', '4/9', '5/9', '8/9'] -> 8/9 / (4/9 / 4/7 - 4/3 * 5/9)
[1890534] ['4/3', '4/7', '4/9', '5/9', '9/4'] -> 5/9 / (4/3 * 4/9 - 4/7) - 9/4
[1890536] ['4/3', '4/7', '4/9', '5/9', '9/7'] -> 9/7 / (5/9 / (4/3 - 4/9) - 4/7)
[1890542] ['4/3', '4/7', '4/9', '6/5', '7/4'] -> 4/3 / (((4/7 / 6/5) - 4/9) * /4
)[1890564] ['4/3', '4/7', '4/9', '6/7', '8/3'] -> 4/3 * 6/7 / (4/7 - 4/9) * 8/3
[1890569] ['4/3', '4/7', '4/9', '6/7', '9/4'] -> 6/7 / ((4/9 - (4/7 / 4/3)) * /4
)[1890580] ['4/3', '4/7', '4/9', '7/2', '8/3'] -> 4/7 / (4/9 - 4/3 / 7/2) * 8/3
[1890581] ['4/3', '4/7', '4/9', '7/2', '8/5'] -> (4/3 + 4/7) * 7/2 / 4/9 * 8/5
[1890595] ['4/3', '4/7', '4/9', '7/3', '8/3'] -> 8/3 / ((4/3 - 4/7 / 4/9) * 7/3)
[1890598] ['4/3', '4/7', '4/9', '7/3', '8/9'] -> 8/9 / ((4/9 - 4/7 / 4/3) * 7/3)
[1890606] ['4/3', '4/7', '4/9', '7/4', '7/6'] -> 4/7 / (4/3 + 4/9 - 7/4) * 7/6
[1890609] ['4/3', '4/7', '4/9', '7/4', '8/3'] -> 8/3 / (4/7 * 7/4 - (4/3 - 4/9))
[1890612] ['4/3', '4/7', '4/9', '7/4', '8/9'] -> 8/9 / ((4/3 * 4/9 - 4/7) * 7/4)
[1890622] ['4/3', '4/7', '4/9', '7/5', '8/3'] -> 8/3 / (4/7 / 4/3 - 4/9 / 7/5)
[1890623] ['4/3', '4/7', '4/9', '7/5', '8/5'] -> 8/5 / ((4/3 - 4/7 / 4/9) * 7/5)
[1890627] ['4/3', '4/7', '4/9', '7/5', '9/4'] -> 4/3 / (4/9 * 7/5 - 4/7) - 9/4
[1890634] ['4/3', '4/7', '4/9', '7/6', '8/3'] -> 4/3 / ((4/7 - 4/9) * /6) * 8/3
[1890636] ['4/3', '4/7', '4/9', '7/6', '8/7'] -> 8/7 / (4/7 / 4/3 - 4/9 / 7/6)
[1890643] ['4/3', '4/7', '4/9', '7/8', '7/8'] -> 4/3 / ((4/7 - (4/9 / 7/8)) * /8
)[1890647] ['4/3', '4/7', '4/9', '7/8', '8/7'] -> 4/3 / (4/7 - 4/9 / 7/8) * 8/7
[1890658] ['4/3', '4/7', '4/9', '7/9', '8/9'] -> 8/9 / ((4/3 - 4/7 / 4/9) * 7/9)
[1890664] ['4/3', '4/7', '4/9', '8/3', '8/3'] -> 8/3 / (4/3 / 4/7 + 4/9 - 8/3)
[1890666] ['4/3', '4/7', '4/9', '8/3', '8/7'] -> 8/7 / (8/3 - 4/7 / 4/9 - 4/3)
[1890684] ['4/3', '4/7', '4/9', '8/7', '9/4'] -> 8/7 / (((4/3 * 4/9) - 4/7) * /4
)[1890714] ['4/3', '4/7', '5/2', '5/2', '5/8'] -> 5/2 / ((5/2 - (4/3 / 4/7)) * /8
)[1890726] ['4/3', '4/7', '5/2', '5/2', '8/5'] -> 5/2 * 8/5 / (5/2 - 4/3 / 4/7)
[1890730] ['4/3', '4/7', '5/2', '5/2', '9/4'] -> 5/2 / (4/7 * 5/2 - 4/3) - 9/4
[1890732] ['4/3', '4/7', '5/2', '5/2', '9/7'] -> 9/7 / (5/2 - 5/2 / 4/3 - 4/7)
[1890756] ['4/3', '4/7', '5/2', '5/3', '9/7'] -> 9/7 / ((5/2 - 5/3) / 4/3 - 4/7)
[1890760] ['4/3', '4/7', '5/2', '5/4', '5/7'] -> 4/7 * 5/2 / (4/3 - 5/4) / 5/7
[1890765] ['4/3', '4/7', '5/2', '5/4', '7/2'] -> 4/7 / (4/3 + 5/4 - 5/2) * 7/2
[1890768] ['4/3', '4/7', '5/2', '5/4', '7/5'] -> 4/7 * 5/2 / (4/3 - 5/4) * 7/5
[1890781] ['4/3', '4/7', '5/2', '5/6', '5/6'] -> 5/2 / (((5/6 / 4/7) - 4/3) * /6
)[1890785] ['4/3', '4/7', '5/2', '5/6', '6/5'] -> 5/2 / (5/6 / 4/7 - 4/3) * 6/5
[1890798] ['4/3', '4/7', '5/2', '5/6', '9/2'] -> (4/3 / 4/7 + 5/2 / 5/6) * 9/2
[1890819] ['4/3', '4/7', '5/2', '5/7', '9/2'] -> 5/2 * (4/3 + 4/7 / 5/7) * 9/2
[1890830] ['4/3', '4/7', '5/2', '5/8', '7/4'] -> 7/4 / (5/2 - 5/8 / 4/7 - 4/3)
[1890848] ['4/3', '4/7', '5/2', '5/9', '7/3'] -> 4/7 / (5/2 * 5/9 - 4/3) * 7/3
[1890850] ['4/3', '4/7', '5/2', '5/9', '7/5'] -> 4/3 / (((4/7 - 5/9) * /2) * /5
)[1890854] ['4/3', '4/7', '5/2', '5/9', '8/3'] -> 8/3 / (4/7 * (5/2 - 4/3) - 5/9)
[1890868] ['4/3', '4/7', '5/2', '6/5', '7/5'] -> 7/5 * 4/7 / (4/3 + 6/5 - 5/2)
[1890876] ['4/3', '4/7', '5/2', '6/5', '9/2'] -> (4/3 / 4/7 + 5/2 * 6/5) * 9/2
[1890889] ['4/3', '4/7', '5/2', '6/7', '8/3'] -> 6/7 / (4/7 * 5/2 - 4/3) * 8/3
[1890890] ['4/3', '4/7', '5/2', '6/7', '8/5'] -> 5/2 / (6/7 / 4/7 - 4/3) * 8/5
[1890903] ['4/3', '4/7', '5/2', '7/2', '7/8'] -> 7/2 / ((5/2 - (4/3 / 4/7)) * /8
)[1890905] ['4/3', '4/7', '5/2', '7/2', '8/3'] -> 4/3 * (5/2 - 4/7) * 7/2 * 8/3
[1890909] ['4/3', '4/7', '5/2', '7/2', '9/2'] -> (4/3 * 5/2 + 4/7 * 7/2) * 9/2
[1890910] ['4/3', '4/7', '5/2', '7/2', '9/4'] -> (5/2 + 4/3 * 7/2 / 4/7) * 9/4
[1890935] ['4/3', '4/7', '5/2', '7/4', '8/5'] -> 8/5 / ((4/7 - 4/3 / 5/2) * 7/4)
[1890947] ['4/3', '4/7', '5/2', '7/5', '8/3'] -> 4/3 / (5/2 - 7/5 / 4/7) - 8/3
[1890948] ['4/3', '4/7', '5/2', '7/5', '8/5'] -> 8/5 / (4/3 * (5/2 - 7/5 / 4/7))
[1890951] ['4/3', '4/7', '5/2', '7/5', '9/2'] -> 5/2 * (4/3 + 4/7 * 7/5) * 9/2
[1890959] ['4/3', '4/7', '5/2', '7/6', '8/3'] -> 8/3 / ((4/7 * 5/2 - 4/3) * 7/6)
[1890964] ['4/3', '4/7', '5/2', '7/6', '9/4'] -> 5/2 / ((4/3 - 7/6) * /7) - 9/4
[1890989] ['4/3', '4/7', '5/2', '8/3', '8/3'] -> (4/3 / 4/7 + 5/2 * 8/3) * 8/3
[1890990] ['4/3', '4/7', '5/2', '8/3', '8/5'] -> 5/2 * (4/3 + 8/3 / 4/7) * 8/5
[1890996] ['4/3', '4/7', '5/2', '8/3', '9/7'] -> 9/7 / (5/2 / (4/3 + 8/3) - 4/7)
[1891008] ['4/3', '4/7', '5/2', '8/7', '9/2'] -> (4/3 * 5/2 + 8/7 / 4/7) * 9/2
[1891014] ['4/3', '4/7', '5/2', '8/9', '9/2'] -> 8/9 / (5/2 - 4/3 / 4/7) * 9/2
[1891015] ['4/3', '4/7', '5/2', '8/9', '9/4'] -> 5/2 / (8/9 / 4/3 - 4/7) - 9/4
[1891021] ['4/3', '4/7', '5/2', '9/2', '9/5'] -> (4/3 + 4/7) * (5/2 + 9/2) * 9/5
[1891022] ['4/3', '4/7', '5/2', '9/2', '9/7'] -> 4/3 / (4/7 * 9/2 - 5/2) * 9/7
[1891023] ['4/3', '4/7', '5/2', '9/2', '9/8'] -> 9/2 / ((5/2 - (4/3 / 4/7)) * /8
)[1891026] ['4/3', '4/7', '5/2', '9/4', '9/7'] -> 9/7 / ((4/7 + 5/2) / 4/3 - 9/4)
[1891059] ['4/3', '4/7', '5/3', '5/4', '5/6'] -> 5/6 / (4/3 * 5/3 - 5/4 / 4/7)
[1891082] ['4/3', '4/7', '5/3', '5/6', '5/7'] -> 4/7 / ((5/6 - (4/3 / 5/3)) * /7
)[1891084] ['4/3', '4/7', '5/3', '5/6', '5/9'] -> 5/3 / (((5/6 / 4/7) - 4/3) * /9
)[1891088] ['4/3', '4/7', '5/3', '5/6', '7/3'] -> 4/7 / (5/3 * 5/6 - 4/3) * 7/3
[1891090] ['4/3', '4/7', '5/3', '5/6', '7/5'] -> 4/7 / (5/6 - 4/3 / 5/3) * 7/5
[1891093] ['4/3', '4/7', '5/3', '5/6', '7/9'] -> 4/3 / ((4/7 - (5/6 / 5/3)) * /9
)[1891100] ['4/3', '4/7', '5/3', '5/6', '9/5'] -> 5/3 / (5/6 / 4/7 - 4/3) * 9/5
[1891106] ['4/3', '4/7', '5/3', '5/7', '6/5'] -> 5/3 / (4/3 - 5/7 / 4/7) * 6/5
[1891107] ['4/3', '4/7', '5/3', '5/7', '6/7'] -> 6/7 / (4/7 + 5/7 - 5/3 / 4/3)
[1891113] ['4/3', '4/7', '5/3', '5/7', '7/8'] -> (4/3 + 5/3) / (5/7 - 4/7) / 7/8
[1891118] ['4/3', '4/7', '5/3', '5/7', '8/9'] -> 8/9 / (4/3 - 5/3 / (4/7 + 5/7))
[1891129] ['4/3', '4/7', '5/3', '5/8', '7/3'] -> (4/3 + 5/3) / (5/8 - 4/7) / 7/3
[1891154] ['4/3', '4/7', '5/3', '5/9', '8/3'] -> 8/3 / (4/3 / 4/7 - 5/3 - 5/9)
[1891158] ['4/3', '4/7', '5/3', '5/9', '9/2'] -> (4/3 / 4/7 + 5/3 / 5/9) * 9/2
[1891166] ['4/3', '4/7', '5/3', '6/5', '7/3'] -> 4/7 / (5/3 / 6/5 - 4/3) * 7/3
[1891207] ['4/3', '4/7', '5/3', '7/2', '8/7'] -> 8/7 / (5/3 / 7/2 - 4/7 / 4/3)
[1891231] ['4/3', '4/7', '5/3', '7/4', '7/6'] -> 4/3 / (((7/4 - 5/3) * /7) * /6
)[1891249] ['4/3', '4/7', '5/3', '7/5', '8/7'] -> 8/7 / (5/3 * (7/5 - 4/7) - 4/3)
[1891258] ['4/3', '4/7', '5/3', '7/6', '7/9'] -> 4/3 / (((4/7 + 7/6) - 5/3) * /9
)[1891266] ['4/3', '4/7', '5/3', '7/6', '9/7'] -> 4/3 / (4/7 + 7/6 - 5/3) * 9/7
[1891292] ['4/3', '4/7', '5/3', '8/3', '8/9'] -> 4/3 / (5/3 / 8/3 - 4/7) - 8/9
[1891294] ['4/3', '4/7', '5/3', '8/3', '9/4'] -> (4/3 / 4/7 + 5/3) * 8/3 * 9/4
[1891308] ['4/3', '4/7', '5/3', '8/7', '9/2'] -> 4/7 / (5/3 / 4/3 - 8/7) * 9/2
[1891353] ['4/3', '4/7', '5/4', '5/4', '9/4'] -> 5/4 / ((4/3 - 5/4) * /7) - 9/4
[1891393] ['4/3', '4/7', '5/4', '5/7', '8/7'] -> 8/7 / (4/3 * (4/7 + 5/7 - 5/4))
[1891414] ['4/3', '4/7', '5/4', '5/8', '8/9'] -> 4/3 / (5/4 - 4/7 - 5/8) - 8/9
[1891418] ['4/3', '4/7', '5/4', '5/8', '9/7'] -> 9/7 * 4/3 / (4/7 - 5/8 / 5/4)
[1891430] ['4/3', '4/7', '5/4', '5/9', '8/3'] -> 8/3 / ((4/3 - 5/9) / 4/7 - 5/4)
[1891432] ['4/3', '4/7', '5/4', '5/9', '8/7'] -> 8/7 / (4/3 - 4/7 * 5/4 / 5/9)
[1891449] ['4/3', '4/7', '5/4', '6/5', '8/5'] -> 8/5 / (4/7 * (5/4 + 6/5) - 4/3)
[1891461] ['4/3', '4/7', '5/4', '6/7', '7/5'] -> 7/5 * (4/7 + 6/7) / (4/3 - 5/4)
[1891485] ['4/3', '4/7', '5/4', '7/2', '9/2'] -> (4/3 + 4/7) * 7/2 / 5/4 * 9/2
[1891494] ['4/3', '4/7', '5/4', '7/3', '7/8'] -> (7/3 / (4/3 - 5/4) - 4/7) * 7/8
[1891511] ['4/3', '4/7', '5/4', '7/4', '8/5'] -> 8/5 / (4/3 / 5/4 - 4/7 * 7/4)
[1891517] ['4/3', '4/7', '5/4', '7/4', '9/7'] -> 4/3 / (4/7 + 5/4 - 7/4) * 9/7
[1891524] ['4/3', '4/7', '5/4', '7/5', '8/5'] -> 8/5 / ((4/3 - 5/4) * 4/7 * 7/5)
[1891525] ['4/3', '4/7', '5/4', '7/5', '8/7'] -> 8/7 / (4/7 * 5/4 * (7/5 - 4/3))
[1891532] ['4/3', '4/7', '5/4', '7/6', '7/6'] -> 4/3 / (((5/4 - 7/6) * /7) * /6
)[1891539] ['4/3', '4/7', '5/4', '7/6', '9/2'] -> 4/7 / (5/4 - 4/3 / 7/6) * 9/2
[1891542] ['4/3', '4/7', '5/4', '7/6', '9/7'] -> 9/7 / ((4/7 + 7/6) / 4/3 - 5/4)
[1891548] ['4/3', '4/7', '5/4', '7/8', '8/7'] -> 8/7 / (4/7 * (5/4 - 4/3 * 7/8))
[1891553] ['4/3', '4/7', '5/4', '7/8', '9/7'] -> 9/7 / (4/7 / 4/3 + 7/8 - 5/4)
[1891558] ['4/3', '4/7', '5/4', '7/9', '8/7'] -> 4/3 / (7/9 - 4/7 * 5/4) * 8/7
[1891559] ['4/3', '4/7', '5/4', '7/9', '8/9'] -> 8/9 / ((4/3 - 5/4) * 4/7 * 7/9)
[1891560] ['4/3', '4/7', '5/4', '7/9', '9/2'] -> 4/7 * 7/9 / (4/3 - 5/4) * 9/2
[1891561] ['4/3', '4/7', '5/4', '7/9', '9/4'] -> 4/3 / (7/9 / 5/4 - 4/7) - 9/4
[1891569] ['4/3', '4/7', '5/4', '8/3', '9/2'] -> 9/2 / (5/4 / 4/7 - 8/3 / 4/3)
[1891572] ['4/3', '4/7', '5/4', '8/3', '9/7'] -> 9/7 / (4/3 * 5/4 / 8/3 - 4/7)
[1891589] ['4/3', '4/7', '5/4', '8/9', '8/9'] -> 8/9 / (4/7 * (5/4 - 4/3 * 8/9))
[1891593] ['4/3', '4/7', '5/4', '8/9', '9/7'] -> 9/7 / ((4/3 - 5/4) * 4/7 / 8/9)
[1891598] ['4/3', '4/7', '5/4', '9/2', '9/7'] -> 4/7 * 9/2 / (4/3 - 5/4) / 9/7
[1891600] ['4/3', '4/7', '5/4', '9/4', '9/4'] -> 5/4 / (4/3 - 4/7 * 9/4) - 9/4
[1891603] ['4/3', '4/7', '5/4', '9/4', '9/8'] -> 9/8 * 4/3 / (9/4 - 5/4 / 4/7)
[1891632] ['4/3', '4/7', '5/6', '5/7', '5/7'] -> 5/7 / (5/6 * (4/7 - 5/7 / 4/3))
[1891634] ['4/3', '4/7', '5/6', '5/7', '5/9'] -> 5/7 / (((5/6 / 4/3) - 4/7) * /9
)[1891638] ['4/3', '4/7', '5/6', '5/7', '7/3'] -> 4/3 / (((5/6 * 5/7) - 4/7) * /3
)[1891645] ['4/3', '4/7', '5/6', '5/7', '8/5'] -> 8/5 / (4/7 / 5/6 + 5/7 - 4/3)
[1891650] ['4/3', '4/7', '5/6', '5/7', '9/5'] -> 5/7 / (5/6 / 4/3 - 4/7) * 9/5
[1891668] ['4/3', '4/7', '5/6', '5/8', '9/2'] -> 9/2 / (5/8 - 5/6 / (4/3 + 4/7))
