[1538167] ['2/7', '6/7', '6/7', '6/7', '8/3'] -> (6/7 + 6/7 + 6/7) * 8/3 / 2/7
)[1567500] ['2/9', '3/5', '4/9', '8/9', '9/5'] -> 8/9 / (2/9 + 4/9 - 3/5) * 9/5
[1567503] ['2/9', '3/5', '4/9', '9/2', '9/2'] -> (2/9 / (3/5 * /9) + 9/2) * 9/2
[1567514] ['2/9', '3/5', '4/9', '9/5', '9/8'] -> 9/5 / (((2/9 + 4/9) - 3/5) * /8
)[1567518] ['2/9', '3/5', '5/2', '5/2', '5/2'] -> (5/2 + 5/2) / 2/9 + 3/5 * 5/2
[1567519] ['2/9', '3/5', '5/2', '5/2', '5/3'] -> (5/2 + 5/2) / 2/9 * (5/3 - 3/5)
[1567520] ['2/9', '3/5', '5/2', '5/2', '5/4'] -> (5/2 / 3/5 + 5/2) / 2/9 / 5/4
[1567534] ['2/9', '3/5', '5/2', '5/2', '8/3'] -> 8/3 / ((3/5 - 2/9 * 5/2) * 5/2)
[1567538] ['2/9', '3/5', '5/2', '5/2', '9/2'] -> 3/5 * 5/2 * 5/2 + 9/2 / 2/9
[1567547] ['2/9', '3/5', '5/2', '5/3', '5/8'] -> (5/2 + 5/3 / (2/9 * /5)) / 5/8
[1567559] ['2/9', '3/5', '5/2', '5/3', '8/5'] -> (5/2 + 5/3 / (2/9 * /5)) * 8/5
[1567561] ['2/9', '3/5', '5/2', '5/3', '8/9'] -> 8/9 / (2/9 * (5/3 - 3/5 * 5/2))
[1567563] ['2/9', '3/5', '5/2', '5/3', '9/4'] -> (5/2 / 3/5 + 5/3) / 2/9 - 9/4
[1567568] ['2/9', '3/5', '5/2', '5/4', '5/6'] -> (5/2 / (2/9 * /5) + 5/4) / 5/6
[1567570] ['2/9', '3/5', '5/2', '5/4', '5/8'] -> 5/2 / (((2/9 * /5) * /4) * /8
)[1567571] ['2/9', '3/5', '5/2', '5/4', '5/9'] -> (5/2 / 2/9 + 5/4 / 3/5) / 5/9
[1567572] ['2/9', '3/5', '5/2', '5/4', '6/5'] -> (5/2 / (2/9 * /5) + 5/4) * 6/5
[1567582] ['2/9', '3/5', '5/2', '5/4', '8/5'] -> 5/2 / (2/9 * /5 * /4) * 8/5
[1567587] ['2/9', '3/5', '5/2', '5/4', '9/5'] -> (5/2 / 2/9 + 5/4 / 3/5) * 9/5
[1567592] ['2/9', '3/5', '5/2', '5/6', '5/8'] -> (5/2 / 3/5 - 5/6) / 2/9 / 5/8
[1567607] ['2/9', '3/5', '5/2', '5/6', '9/2'] -> ((5/2 + 5/6) / 3/5 - 2/9) * 9/2
[1567629] ['2/9', '3/5', '5/2', '5/7', '9/4'] -> 5/2 / (2/9 * /5 * /7) - 9/4
[1567648] ['2/9', '3/5', '5/2', '5/8', '9/2'] -> 9/2 / (3/5 * (5/8 / 2/9 - 5/2))
[1567684] ['2/9', '3/5', '5/2', '6/5', '8/9'] -> 6/5 / (3/5 - 2/9 * 5/2) * 8/9
[1567689] ['2/9', '3/5', '5/2', '6/5', '9/8'] -> 6/5 / ((3/5 - (2/9 * 5/2)) * /8
)[1567709] ['2/9', '3/5', '5/2', '7/2', '7/4'] -> 5/2 / (2/9 * /5) + 7/2 + 7/4
[1567715] ['2/9', '3/5', '5/2', '7/2', '8/5'] -> (7/2 / 3/5 - 5/2) / 2/9 * 8/5
[1567730] ['2/9', '3/5', '5/2', '7/3', '8/5'] -> (7/3 / (2/9 * /5) - 5/2) * 8/5
[1567735] ['2/9', '3/5', '5/2', '7/3', '9/5'] -> (7/3 / 2/9 - 5/2) / 3/5 * 9/5
[1567759] ['2/9', '3/5', '5/2', '7/5', '8/9'] -> 8/9 / (2/9 * (5/2 - 7/5 / 3/5))
[1567768] ['2/9', '3/5', '5/2', '7/6', '8/3'] -> 8/3 / (3/5 * 5/2 - 2/9 - 7/6)
[1567773] ['2/9', '3/5', '5/2', '7/6', '9/4'] -> 7/6 / (3/5 - 2/9 * 5/2) - 9/4
[1567789] ['2/9', '3/5', '5/2', '7/9', '8/3'] -> 8/3 / (5/2 * (2/9 + 3/5 - 7/9))
[1567790] ['2/9', '3/5', '5/2', '7/9', '8/5'] -> 8/5 / (3/5 - 7/9 / 5/2 - 2/9)
[1567807] ['2/9', '3/5', '5/2', '8/5', '8/5'] -> 8/5 / (2/9 * (5/2 - 3/5 - 8/5))
[1567809] ['2/9', '3/5', '5/2', '8/5', '8/9'] -> 8/9 / (2/9 * (8/5 / 3/5 - 5/2))
[1567810] ['2/9', '3/5', '5/2', '8/5', '9/2'] -> 5/2 * (3/5 + 8/5 / 2/9) + 9/2
[1567822] ['2/9', '3/5', '5/2', '8/9', '8/9'] -> 8/9 / (2/9 * 5/2 / 3/5 - 8/9)
[1567828] ['2/9', '3/5', '5/2', '9/2', '9/2'] -> (5/2 + 3/5 * (2/9 + 9/2)) * 9/2
[1567832] ['2/9', '3/5', '5/2', '9/2', '9/8'] -> (3/5 * 5/2 + 9/2) / 2/9 / 9/8
[1567839] ['2/9', '3/5', '5/2', '9/5', '9/8'] -> (3/5 + 9/5) * 5/2 / 2/9 / 9/8
[1567843] ['2/9', '3/5', '5/3', '5/3', '5/3'] -> ((5/3 + 5/3) / 2/9 - 3/5) * 5/3
[1567845] ['2/9', '3/5', '5/3', '5/3', '5/6'] -> (5/3 / 3/5 + 5/3) / 2/9 / 5/6
[1567849] ['2/9', '3/5', '5/3', '5/3', '6/5'] -> (5/3 / 3/5 + 5/3) / 2/9 * 6/5
[1567858] ['2/9', '3/5', '5/3', '5/3', '8/3'] -> 3/5 * (5/3 + 5/3) / 2/9 * 8/3
[1567892] ['2/9', '3/5', '5/3', '5/6', '5/8'] -> 5/3 / (((2/9 * /5) * /6) * /8
)[1567893] ['2/9', '3/5', '5/3', '5/6', '5/9'] -> (5/3 / (2/9 * /5) + 5/6) / 5/9
[1567903] ['2/9', '3/5', '5/3', '5/6', '8/3'] -> 8/3 / (2/9 * 3/5 * (5/3 - 5/6))
[1567904] ['2/9', '3/5', '5/3', '5/6', '8/5'] -> 5/3 / (2/9 * /5 * /6) * 8/5
[1567906] ['2/9', '3/5', '5/3', '5/6', '8/9'] -> 8/9 / (2/9 * (3/5 * 5/3 - 5/6))
[1567907] ['2/9', '3/5', '5/3', '5/6', '9/2'] -> (3/5 * 5/3 / 2/9 + 5/6) * 9/2
[1567909] ['2/9', '3/5', '5/3', '5/6', '9/5'] -> (5/3 / (2/9 * /5) + 5/6) * 9/5
[1567948] ['2/9', '3/5', '5/3', '5/8', '9/2'] -> 2/9 / ((5/8 - 3/5) * /3) * 9/2
[1567986] ['2/9', '3/5', '5/3', '6/5', '9/4'] -> (5/3 + 6/5 / (2/9 * /5)) * 9/4
[1568000] ['2/9', '3/5', '5/3', '6/7', '8/7'] -> 8/7 / ((2/9 + 6/7) / 5/3 - 3/5)
[1568014] ['2/9', '3/5', '5/3', '7/2', '8/3'] -> (5/3 / (2/9 * /5) - 7/2) * 8/3
[1568020] ['2/9', '3/5', '5/3', '7/2', '9/5'] -> (5/3 / 2/9 + 7/2 / 3/5) * 9/5
[1568029] ['2/9', '3/5', '5/3', '7/3', '8/3'] -> (3/5 + 7/3 / 5/3) / 2/9 * 8/3
[1568030] ['2/9', '3/5', '5/3', '7/3', '8/5'] -> (3/5 * 5/3 + 7/3) / 2/9 * 8/5
[1568056] ['2/9', '3/5', '5/3', '7/5', '8/3'] -> 8/3 / (3/5 + 7/5 - 2/9 - 5/3)
[1568057] ['2/9', '3/5', '5/3', '7/5', '8/5'] -> (3/5 + 7/5) * 5/3 / 2/9 * 8/5
[1568060] ['2/9', '3/5', '5/3', '7/5', '9/2'] -> (2/9 + (5/3 + 7/5) / 3/5) * 9/2
[1568061] ['2/9', '3/5', '5/3', '7/5', '9/4'] -> (5/3 + (3/5 + 7/5) / 2/9) * 9/4
[1568069] ['2/9', '3/5', '5/3', '7/6', '8/5'] -> 8/5 / (2/9 * 3/5 * (5/3 - 7/6))
[1568071] ['2/9', '3/5', '5/3', '7/6', '8/9'] -> 8/9 / (2/9 * (7/6 - 3/5 * 5/3))
[1568089] ['2/9', '3/5', '5/3', '7/9', '8/3'] -> (5/3 / 3/5 - 7/9) / 2/9 * 8/3
[1568090] ['2/9', '3/5', '5/3', '7/9', '8/5'] -> 8/5 / (5/3 - 2/9 - 3/5 - 7/9)
[1568095] ['2/9', '3/5', '5/3', '7/9', '9/5'] -> (5/3 + 7/9 / 3/5) / 2/9 * 9/5
[1568098] ['2/9', '3/5', '5/3', '8/3', '8/3'] -> 8/3 / (2/9 + 8/3 - 5/3 / 3/5)
[1568099] ['2/9', '3/5', '5/3', '8/3', '8/5'] -> 8/5 / (3/5 * (2/9 + 8/3) - 5/3)
[1568100] ['2/9', '3/5', '5/3', '8/3', '8/7'] -> 5/3 * (3/5 + 8/3 / 2/9) * 8/7
[1568104] ['2/9', '3/5', '5/3', '8/3', '9/5'] -> (3/5 + 5/3 + 8/3) / 2/9 + 9/5
[1568107] ['2/9', '3/5', '5/3', '8/5', '8/5'] -> 8/5 / (2/9 * 3/5 + 8/5 - 5/3)
[1568110] ['2/9', '3/5', '5/3', '8/5', '9/2'] -> (5/3 + 8/5 / 3/5) / 2/9 + 9/2
[1568122] ['2/9', '3/5', '5/3', '8/9', '8/9'] -> 8/9 / (2/9 + 8/9 / 3/5 - 5/3)
[1568129] ['2/9', '3/5', '5/3', '9/2', '9/4'] -> (9/2 / 3/5 - 5/3) / 2/9 - 9/4
[1568134] ['2/9', '3/5', '5/3', '9/4', '9/5'] -> 2/9 / (3/5 + 5/3 - 9/4) * 9/5
[1568146] ['2/9', '3/5', '5/4', '5/4', '5/8'] -> (5/4 / 3/5 + 5/4) / 2/9 / 5/8
[1568158] ['2/9', '3/5', '5/4', '5/4', '8/5'] -> (5/4 / 3/5 + 5/4) / 2/9 * 8/5
[1568170] ['2/9', '3/5', '5/4', '5/6', '6/5'] -> 6/5 / (3/5 * (2/9 + 5/4) - 5/6)
[1568209] ['2/9', '3/5', '5/4', '5/8', '5/8'] -> 5/4 / (((2/9 * /5) * /8) * /8
)[1568221] ['2/9', '3/5', '5/4', '5/8', '8/5'] -> 5/4 / (2/9 * /5 * /8) * 8/5
[1568240] ['2/9', '3/5', '5/4', '5/9', '8/5'] -> 8/5 / (2/9 + 5/9 / 5/4 - 3/5)
[1568288] ['2/9', '3/5', '5/4', '7/2', '7/8'] -> 7/2 / (((2/9 * /5) * /4) * /8
)[1568291] ['2/9', '3/5', '5/4', '7/2', '8/5'] -> (7/2 / 2/9 - 3/5 * 5/4) * 8/5
[1568292] ['2/9', '3/5', '5/4', '7/2', '8/7'] -> 7/2 / (2/9 * /5 * /4) * 8/7
[1568298] ['2/9', '3/5', '5/4', '7/2', '9/8'] -> (5/4 / 3/5 + 7/2) / 2/9 - 9/8
[1568305] ['2/9', '3/5', '5/4', '7/3', '8/3'] -> (3/5 + 7/3 / (2/9 * /4)) * 8/3
[1568338] ['2/9', '3/5', '5/4', '7/5', '9/5'] -> 9/5 / ((7/5 - 5/4) / 2/9 - 3/5)
[1568344] ['2/9', '3/5', '5/4', '7/6', '8/3'] -> 8/3 / (7/6 / 5/4 - 2/9 - 3/5)
[1568378] ['2/9', '3/5', '5/4', '8/3', '9/2'] -> (5/4 * 8/3 / 3/5 - 2/9) * 9/2
[1568383] ['2/9', '3/5', '5/4', '8/5', '8/5'] -> 5/4 * 8/5 / 2/9 / 3/5 * 8/5
[1568399] ['2/9', '3/5', '5/4', '8/9', '9/2'] -> 8/9 / (2/9 * /5 * /4) * 9/2
[1568404] ['2/9', '3/5', '5/4', '9/2', '9/2'] -> 9/2 / 2/9 - 3/5 * 5/4 + 9/2
[1568408] ['2/9', '3/5', '5/4', '9/2', '9/8'] -> 9/2 / (((2/9 * /5) * /4) * /8
)[1568409] ['2/9', '3/5', '5/4', '9/4', '9/4'] -> (5/4 + 9/4) / 2/9 / 3/5 - 9/4
[1568432] ['2/9', '3/5', '5/6', '5/6', '8/3'] -> 8/3 / (5/6 - 3/5 * 5/6 - 2/9)
[1568455] ['2/9', '3/5', '5/6', '5/7', '8/7'] -> 8/7 / (2/9 * (5/7 - 3/5 * 5/6))
[1568456] ['2/9', '3/5', '5/6', '5/7', '8/9'] -> 8/9 / (2/9 * (5/6 - 3/5) * 5/7)
[1568463] ['2/9', '3/5', '5/6', '5/8', '5/9'] -> 3/5 / (2/9 + 5/8 - 5/6) * 5/9
[1568472] ['2/9', '3/5', '5/6', '5/8', '7/9'] -> 7/9 / (2/9 * (5/6 - 3/5) * 5/8)
[1568478] ['2/9', '3/5', '5/6', '5/8', '9/4'] -> 2/9 / ((5/8 - 3/5) * /6) * 9/4
[1568493] ['2/9', '3/5', '5/6', '5/9', '8/5'] -> 8/5 / (3/5 * 5/9 - 2/9 / 5/6)
[1568495] ['2/9', '3/5', '5/6', '5/9', '8/9'] -> 8/9 / (2/9 * 3/5 * (5/6 - 5/9))
[1568514] ['2/9', '3/5', '5/6', '6/5', '9/2'] -> 6/5 / (((5/6 - 2/9) - 3/5) * /2
)[1568529] ['2/9', '3/5', '5/6', '6/7', '8/7'] -> 8/7 / (2/9 * 5/6 * (6/7 - 3/5))
[1568547] ['2/9', '3/5', '5/6', '7/2', '9/2'] -> 3/5 + 7/2 / (2/9 * /6) + 9/2
[1568549] ['2/9', '3/5', '5/6', '7/2', '9/5'] -> (3/5 + 5/6 + 7/2) / 2/9 + 9/5
[1568556] ['2/9', '3/5', '5/6', '7/3', '7/8'] -> 7/3 / (((2/9 * /5) * /6) * /8
)[1568560] ['2/9', '3/5', '5/6', '7/3', '8/7'] -> 7/3 / (2/9 * /5 * /6) * 8/7
[1568572] ['2/9', '3/5', '5/6', '7/4', '8/3'] -> 8/3 / (3/5 * 5/6 - 2/9 * 7/4)
[1568588] ['2/9', '3/5', '5/6', '7/5', '8/9'] -> 7/5 / ((5/6 - 3/5) * /9) * 8/9
[1568593] ['2/9', '3/5', '5/6', '7/5', '9/8'] -> 7/5 / (((5/6 - 3/5) * /9) * /8
)[1568597] ['2/9', '3/5', '5/6', '7/6', '8/3'] -> (3/5 + 7/6 / 5/6) / 2/9 * 8/3
[1568600] ['2/9', '3/5', '5/6', '7/6', '8/9'] -> 8/9 / (2/9 / 3/5 + 5/6 - 7/6)
[1568618] ['2/9', '3/5', '5/6', '7/9', '8/3'] -> 8/3 / (7/9 / 5/6 - 2/9 - 3/5)
[1568621] ['2/9', '3/5', '5/6', '7/9', '8/9'] -> 8/9 / (5/6 * (2/9 + 3/5 - 7/9))
[1568627] ['2/9', '3/5', '5/6', '8/3', '8/3'] -> 8/3 / (2/9 * 8/3 / 5/6 - 3/5)
[1568628] ['2/9', '3/5', '5/6', '8/3', '8/5'] -> (3/5 + 8/3 / (2/9 * /6)) * 8/5
[1568632] ['2/9', '3/5', '5/6', '8/3', '9/4'] -> (5/6 + 8/3) / 2/9 / 3/5 - 9/4
[1568638] ['2/9', '3/5', '5/6', '8/5', '8/9'] -> 8/9 / (2/9 * (8/5 - 3/5 - 5/6))
[1568642] ['2/9', '3/5', '5/6', '8/5', '9/7'] -> 8/5 / (((5/6 - 3/5) * /9) * /7
)[1568654] ['2/9', '3/5', '5/6', '8/9', '9/5'] -> 9/5 / (2/9 * (5/6 / 8/9 - 3/5))
[1568661] ['2/9', '3/5', '5/6', '9/2', '9/8'] -> (3/5 + 9/2 / 5/6) / 2/9 / 9/8
[1568725] ['2/9', '3/5', '5/7', '5/9', '8/7'] -> 8/7 / (5/7 - 2/9 / (3/5 * /9)
)[1568726] ['2/9', '3/5', '5/7', '5/9', '8/9'] -> 8/9 / (5/9 - 2/9 / (3/5 * /7)
)[1568743] ['2/9', '3/5', '5/7', '6/5', '8/7'] -> 8/7 / (2/9 * (5/7 - 3/5 / 6/5))
[1568759] ['2/9', '3/5', '5/7', '6/7', '8/5'] -> 8/5 / (5/7 - 3/5 * (2/9 + 6/7))
[1568760] ['2/9', '3/5', '5/7', '6/7', '8/7'] -> 8/7 / (3/5 * (2/9 + 5/7 - 6/7))
[1568791] ['2/9', '3/5', '5/7', '7/3', '8/7'] -> (5/7 + 7/3) / 2/9 / 3/5 + 8/7
[1568828] ['2/9', '3/5', '5/7', '7/6', '8/3'] -> 8/3 / (2/9 * 3/5 * 5/7 * 7/6)
[1568849] ['2/9', '3/5', '5/7', '7/9', '8/3'] -> 8/3 / (3/5 * 5/7 * 7/9 - 2/9)
[1568858] ['2/9', '3/5', '5/7', '8/3', '8/3'] -> 5/7 * (3/5 + 8/3 / 2/9) * 8/3
[1568862] ['2/9', '3/5', '5/7', '8/3', '9/2'] -> (3/5 + 8/3 / 5/7) / 2/9 + 9/2
[1568869] ['2/9', '3/5', '5/7', '8/5', '8/9'] -> 8/9 / (3/5 / (5/7 + 8/5) - 2/9)
[1568914] ['2/9', '3/5', '5/8', '5/8', '8/3'] -> 8/3 / (5/8 - (2/9 + 3/5) * 5/8)
[1568918] ['2/9', '3/5', '5/8', '5/8', '9/2'] -> 5/8 / (5/8 - 3/5) - 2/9 * 9/2
[1568933] ['2/9', '3/5', '5/8', '5/9', '8/3'] -> 8/3 / (5/8 * (2/9 + 5/9 - 3/5))
[1568936] ['2/9', '3/5', '5/8', '5/9', '8/9'] -> 8/9 / (2/9 / (3/5 * /8) - 5/9)
[1568937] ['2/9', '3/5', '5/8', '5/9', '9/2'] -> 2/9 / ((5/8 - 5/9) * /5) * 9/2
[1568945] ['2/9', '3/5', '5/8', '6/5', '7/3'] -> 7/3 / (2/9 + 3/5 / 6/5 - 5/8)
[1568956] ['2/9', '3/5', '5/8', '6/5', '9/4'] -> 2/9 * 6/5 / (5/8 - 3/5) * 9/4
[1568960] ['2/9', '3/5', '5/8', '6/7', '6/7'] -> 6/7 / (2/9 * 5/8 * (6/7 - 3/5))
[1568962] ['2/9', '3/5', '5/8', '6/7', '7/3'] -> 6/7 / (2/9 * /5 * /8) * 7/3
[1568979] ['2/9', '3/5', '5/8', '7/2', '7/4'] -> 7/2 / (((2/9 * /5) * /8) * /4
)[1568984] ['2/9', '3/5', '5/8', '7/2', '8/3'] -> 8/3 / (5/8 * (2/9 * 7/2 - 3/5))
[1568996] ['2/9', '3/5', '5/8', '7/3', '7/6'] -> 7/3 / (((2/9 * /5) * /8) * /6
)[1569003] ['2/9', '3/5', '5/8', '7/3', '9/2'] -> (3/5 + 7/3 / 5/8) / 2/9 + 9/2
[1569011] ['2/9', '3/5', '5/8', '7/4', '7/8'] -> 7/4 / (((2/9 * /5) * /8) * /8
)[1569015] ['2/9', '3/5', '5/8', '7/4', '8/7'] -> 7/4 / (2/9 * /5 * /8) * 8/7
[1569026] ['2/9', '3/5', '5/8', '7/5', '8/3'] -> 8/3 / (2/9 * 5/8 * (7/5 - 3/5))
[1569038] ['2/9', '3/5', '5/8', '7/6', '8/3'] -> (3/5 + 7/6 / (2/9 * /8)) * 8/3
[1569052] ['2/9', '3/5', '5/8', '7/8', '8/9'] -> 8/9 / (2/9 * (5/8 / 3/5 - 7/8))
[1569058] ['2/9', '3/5', '5/8', '7/9', '7/9'] -> 7/9 / ((7/9 - 5/8) / 3/5 - 2/9)
[1569094] ['2/9', '3/5', '5/8', '8/9', '9/4'] -> 8/9 / (2/9 * /5 * /8) * 9/4
[1569098] ['2/9', '3/5', '5/8', '9/2', '9/2'] -> 9/2 / (5/8 / (2/9 * /5) - 9/2)
[1569104] ['2/9', '3/5', '5/8', '9/4', '9/5'] -> 9/5 / (3/5 * (5/8 - 2/9 * 9/4))
[1569106] ['2/9', '3/5', '5/8', '9/4', '9/8'] -> 9/4 / (((2/9 * /5) * /8) * /8
)[1569107] ['2/9', '3/5', '5/8', '9/5', '9/5'] -> 9/5 / (3/5 * (5/8 / 9/5 - 2/9))
[1569117] ['2/9', '3/5', '5/9', '5/9', '7/3'] -> (7/3 - 5/9) / (2/9 * 3/5 * 5/9)
[1569124] ['2/9', '3/5', '5/9', '5/9', '8/5'] -> 8/5 / (2/9 / 5/9 - 3/5 * 5/9)
[1569126] ['2/9', '3/5', '5/9', '5/9', '8/9'] -> 8/9 / (2/9 - 3/5 * 5/9 * 5/9)
[1569142] ['2/9', '3/5', '5/9', '6/5', '8/5'] -> 8/5 / (3/5 * 5/9 - 2/9 * 6/5)
[1569159] ['2/9', '3/5', '5/9', '6/7', '8/5'] -> 8/5 / ((2/9 + 5/9) * 6/7 - 3/5)
[1569160] ['2/9', '3/5', '5/9', '6/7', '8/7'] -> 8/7 / (3/5 * (6/7 - 2/9 - 5/9))
[1569174] ['2/9', '3/5', '5/9', '7/2', '8/3'] -> (3/5 / 2/9 + 7/2 / 5/9) * 8/3
[1569187] ['2/9', '3/5', '5/9', '7/3', '7/8'] -> 7/3 / (((3/5 * 5/9) - 2/9) * /8
)[1569189] ['2/9', '3/5', '5/9', '7/3', '8/3'] -> (7/3 - 3/5 * 5/9) / 2/9 * 8/3
[1569190] ['2/9', '3/5', '5/9', '7/3', '8/5'] -> (7/3 / 3/5 - 5/9) / 2/9 * 8/5
[1569191] ['2/9', '3/5', '5/9', '7/3', '8/7'] -> 7/3 / (3/5 * 5/9 - 2/9) * 8/7
[1569193] ['2/9', '3/5', '5/9', '7/3', '9/2'] -> 3/5 + 7/3 / (2/9 * /9) + 9/2
[1569195] ['2/9', '3/5', '5/9', '7/3', '9/5'] -> (7/3 - 5/9) / 2/9 / 3/5 * 9/5
[1569216] ['2/9', '3/5', '5/9', '7/5', '8/3'] -> 8/3 / (5/9 - 2/9 * (3/5 + 7/5))
[1569219] ['2/9', '3/5', '5/9', '7/5', '8/9'] -> 8/9 / (5/9 - 2/9 * 7/5 / 3/5)
[1569229] ['2/9', '3/5', '5/9', '7/6', '8/5'] -> 8/5 / ((2/9 + 5/9) / 7/6 - 3/5)
[1569232] ['2/9', '3/5', '5/9', '7/6', '9/2'] -> (5/9 / (2/9 * /5) + 7/6) * 9/2
[1569250] ['2/9', '3/5', '5/9', '7/9', '8/5'] -> 8/5 / (3/5 * 7/9 - 2/9 / 5/9)
[1569251] ['2/9', '3/5', '5/9', '7/9', '8/7'] -> 8/7 / (3/5 * 5/9 - 2/9 / 7/9)
[1569252] ['2/9', '3/5', '5/9', '7/9', '8/9'] -> 8/9 / (3/5 * 5/9 * 7/9 - 2/9)
[1569259] ['2/9', '3/5', '5/9', '8/3', '8/5'] -> 8/3 / (2/9 + 5/9 - 3/5) * 8/5
[1569260] ['2/9', '3/5', '5/9', '8/3', '8/7'] -> (8/3 / (2/9 * /9) - 3/5) * 8/7
[1569269] ['2/9', '3/5', '5/9', '8/5', '8/9'] -> 8/9 / (2/9 * 8/5 / 3/5 - 5/9)
[1569272] ['2/9', '3/5', '5/9', '8/5', '9/5'] -> 9/5 / (3/5 * (5/9 / 8/5 - 2/9))
[1569289] ['2/9', '3/5', '5/9', '9/2', '9/4'] -> (3/5 * 5/9 + 9/2) / 2/9 + 9/4
[1569310] ['2/9', '3/5', '6/5', '6/5', '7/8'] -> (6/5 / 2/9 + 6/5) / (7/8 - 3/5)
[1569312] ['2/9', '3/5', '6/5', '6/5', '8/3'] -> 6/5 / ((6/5 - 3/5) * /9) * 8/3
[1569313] ['2/9', '3/5', '6/5', '6/5', '8/5'] -> 8/5 / (3/5 - 2/9 * (6/5 + 6/5))
[1569317] ['2/9', '3/5', '6/5', '6/5', '9/4'] -> (6/5 + 6/5) / (3/5 - 2/9 * 9/4)
[1569327] ['2/9', '3/5', '6/5', '6/7', '7/8'] -> 6/5 / (((6/7 - 3/5) * /9) * /8
)[1569331] ['2/9', '3/5', '6/5', '6/7', '8/7'] -> 6/5 / ((6/7 - 3/5) * /9) * 8/7
[1569343] ['2/9', '3/5', '6/5', '7/2', '7/8'] -> (3/5 + 6/5 / 2/9) * 7/2 / 7/8
[1569347] ['2/9', '3/5', '6/5', '7/2', '8/7'] -> (3/5 + 6/5 / 2/9) * 7/2 * 8/7
[1569349] ['2/9', '3/5', '6/5', '7/2', '9/2'] -> 3/5 + 6/5 * 7/2 / 2/9 + 9/2
[1569358] ['2/9', '3/5', '6/5', '7/3', '7/8'] -> 6/5 * 7/3 / 2/9 / 3/5 / 7/8
[1569361] ['2/9', '3/5', '6/5', '7/3', '8/5'] -> 8/5 / (3/5 * (7/3 - 2/9) - 6/5)
[1569362] ['2/9', '3/5', '6/5', '7/3', '8/7'] -> 6/5 * 7/3 / 2/9 / 3/5 * 8/7
[1569363] ['2/9', '3/5', '6/5', '7/3', '8/9'] -> 8/9 / ((2/9 + 6/5) / 3/5 - 7/3)
[1569374] ['2/9', '3/5', '6/5', '7/4', '8/3'] -> 8/3 / (3/5 / 6/5 - 2/9 * 7/4)
[1569388] ['2/9', '3/5', '6/5', '7/5', '8/5'] -> 8/5 / (7/5 - 2/9 * 3/5 - 6/5)
[1569390] ['2/9', '3/5', '6/5', '7/5', '8/9'] -> 3/5 / (2/9 + 6/5 - 7/5) * 8/9
[1569391] ['2/9', '3/5', '6/5', '7/5', '9/2'] -> (6/5 + 7/5) / 2/9 / 3/5 + 9/2
[1569395] ['2/9', '3/5', '6/5', '7/5', '9/8'] -> 3/5 / (((2/9 + 6/5) - 7/5) * /8
)[1569420] ['2/9', '3/5', '6/5', '7/9', '8/3'] -> 8/3 / (6/5 * 7/9 - 2/9 - 3/5)
[1569421] ['2/9', '3/5', '6/5', '7/9', '8/5'] -> 8/5 / (6/5 * (7/9 - 2/9) - 3/5)
[1569423] ['2/9', '3/5', '6/5', '7/9', '8/9'] -> 6/5 / (2/9 + 3/5 - 7/9) * 8/9
[1569428] ['2/9', '3/5', '6/5', '7/9', '9/8'] -> 6/5 / (((2/9 + 3/5) - 7/9) * /8
)[1569429] ['2/9', '3/5', '6/5', '8/3', '8/3'] -> 8/3 / (2/9 * 6/5 * 8/3 - 3/5)
[1569431] ['2/9', '3/5', '6/5', '8/3', '8/7'] -> (6/5 / 3/5 + 8/3) / 2/9 * 8/7
[1569433] ['2/9', '3/5', '6/5', '8/3', '9/2'] -> 9/2 / (6/5 - 3/5 / (2/9 * /3)
)[1569439] ['2/9', '3/5', '6/5', '8/5', '8/7'] -> (6/5 + 8/5) / 2/9 / 3/5 * 8/7
[1569454] ['2/9', '3/5', '6/5', '8/9', '9/2'] -> (3/5 + 6/5 / 2/9) * 8/9 * 9/2
[1569467] ['2/9', '3/5', '6/5', '9/4', '9/8'] -> 6/5 / (((3/5 / 9/4) - 2/9) * /8
)[1569476] ['2/9', '3/5', '6/7', '6/7', '7/3'] -> (6/7 / 3/5 + 6/7) / 2/9 * 7/3
[1569499] ['2/9', '3/5', '6/7', '7/2', '8/5'] -> 8/5 / (2/9 * 6/7 * 7/2 - 3/5)
[1569500] ['2/9', '3/5', '6/7', '7/2', '8/7'] -> 8/7 / (3/5 * (6/7 - 2/9 * 7/2))
[1569540] ['2/9', '3/5', '6/7', '7/5', '8/3'] -> 6/7 * 7/5 / 2/9 / 3/5 * 8/3
[1569618] ['2/9', '3/5', '6/7', '9/4', '9/5'] -> 9/5 / (3/5 / 2/9 - 9/4 / 6/7)
[1569629] ['2/9', '3/5', '7/2', '7/2', '7/4'] -> (7/2 / 3/5 + 7/2) / 2/9 / 7/4
[1569638] ['2/9', '3/5', '7/2', '7/2', '9/2'] -> (7/2 + 7/2) / 2/9 - 9/2 / 3/5
[1569647] ['2/9', '3/5', '7/2', '7/3', '7/8'] -> (7/2 + 7/3 / (2/9 * /5)) / 7/8
[1569651] ['2/9', '3/5', '7/2', '7/3', '8/7'] -> (7/2 + 7/3 / (2/9 * /5)) * 8/7
[1569660] ['2/9', '3/5', '7/2', '7/4', '7/6'] -> (7/2 / (2/9 * /5) + 7/4) / 7/6
