[272074] ['1/3', '1/7', '1/8', '5/2', '7/5'] -> ((7/5 * 1/7) / ((1/3 / 5/2) - 1/8))
[280377] ['1/3', '1/7', '5/2', '7/6', '9/4'] -> ((((1/3 + 7/6) * 5/2) / 1/7) - 9/4)
[280380] ['1/3', '1/7', '5/2', '7/6', '9/8'] -> ((5/2 + ((7/6 / 1/3) / 1/7)) / 9/8)
[280383] ['1/3', '1/7', '5/2', '7/8', '8/3'] -> (((1/7 + (5/2 / 7/8)) / 1/3) * 8/3)
[280384] ['1/3', '1/7', '5/2', '7/8', '8/5'] -> (((5/2 / (1/3 - 1/7)) / 7/8) * 8/5)
[280402] ['1/3', '1/7', '5/2', '8/3', '8/3'] -> (((1/3 / 1/7) + (5/2 * 8/3)) * 8/3)
[280406] ['1/3', '1/7', '5/2', '8/3', '9/2'] -> (((1/3 * 5/2) + (8/3 / 1/7)) + 9/2)
[280412] ['1/3', '1/7', '5/2', '8/5', '8/7'] -> (((5/2 * 8/5) / (1/3 - 1/7)) * 8/7)
[280419] ['1/3', '1/7', '5/2', '8/7', '8/7'] -> (8/7 / (((1/3 + 1/7) * 5/2) - 8/7))
[280427] ['1/3', '1/7', '5/2', '8/9', '9/2'] -> ((8/9 / (5/2 - (1/3 / 1/7))) * 9/2)
[280434] ['1/3', '1/7', '5/2', '9/2', '9/5'] -> (((1/3 + (5/2 / 1/7)) - 9/2) * 9/5)
[280436] ['1/3', '1/7', '5/2', '9/2', '9/8'] -> ((9/2 / (5/2 - (1/3 / 1/7))) / 9/8)
[280439] ['1/3', '1/7', '5/2', '9/4', '9/7'] -> (9/7 / (((1/7 * 5/2) - 1/3) * 9/4))
[280448] ['1/3', '1/7', '5/3', '5/3', '5/4'] -> ((((5/3 / 1/7) - 5/3) / 1/3) / 5/4)
[280449] ['1/3', '1/7', '5/3', '5/3', '5/6'] -> (((1/3 + (5/3 / 1/7)) * 5/3) / 5/6)
[280450] ['1/3', '1/7', '5/3', '5/3', '5/7'] -> (((5/3 / 1/3) + 5/7) / (1/7 * 5/3))
[280451] ['1/3', '1/7', '5/3', '5/3', '5/8'] -> (((5/3 / 1/7) / 5/3) / (5/8 - 1/3))
[280453] ['1/3', '1/7', '5/3', '5/3', '6/5'] -> (((1/3 + (5/3 / 1/7)) * 5/3) * 6/5)
[280459] ['1/3', '1/7', '5/3', '5/3', '7/6'] -> ((1/3 + (5/3 / 1/7)) / (5/3 - 7/6))
[280465] ['1/3', '1/7', '5/3', '5/3', '8/9'] -> (((5/3 / 1/7) + 5/3) / (8/9 - 1/3))
[280467] ['1/3', '1/7', '5/3', '5/3', '9/4'] -> (((1/3 + 5/3) / 1/7) / (9/4 - 5/3))
[280471] ['1/3', '1/7', '5/3', '5/4', '5/4'] -> ((((1/3 + 5/3) + 5/4) / 1/7) + 5/4)
[280474] ['1/3', '1/7', '5/3', '5/4', '5/8'] -> (((1/3 + (5/3 / 1/7)) * 5/4) / 5/8)
[280482] ['1/3', '1/7', '5/3', '5/4', '7/6'] -> ((((5/3 / 1/3) / 1/7) / 5/4) / 7/6)
[280485] ['1/3', '1/7', '5/3', '5/4', '8/3'] -> ((((5/3 / 1/7) / 5/4) - 1/3) * 8/3)
[280486] ['1/3', '1/7', '5/3', '5/4', '8/5'] -> (((1/3 + (5/3 / 1/7)) * 5/4) * 8/5)
[280490] ['1/3', '1/7', '5/3', '5/4', '9/4'] -> ((((5/3 / 1/3) - 5/4) / 1/7) - 9/4)
[280502] ['1/3', '1/7', '5/3', '5/6', '7/4'] -> ((((5/3 / 1/3) / 1/7) / 5/6) / 7/4)
[280521] ['1/3', '1/7', '5/3', '5/7', '7/2'] -> ((((5/3 / 1/3) / 5/7) - 1/7) * 7/2)
[280527] ['1/3', '1/7', '5/3', '5/7', '7/9'] -> (((1/3 + (5/3 / 5/7)) / 1/7) / 7/9)
[280532] ['1/3', '1/7', '5/3', '5/7', '9/2'] -> (((1/3 + (5/7 / 5/3)) / 1/7) * 9/2)
[280533] ['1/3', '1/7', '5/3', '5/7', '9/4'] -> (((1/3 + (5/3 * 5/7)) / 1/7) * 9/4)
[280535] ['1/3', '1/7', '5/3', '5/7', '9/7'] -> (((1/3 + (5/3 / 5/7)) / 1/7) * 9/7)
[280540] ['1/3', '1/7', '5/3', '5/8', '6/7'] -> (6/7 / (((1/3 / 5/3) - 1/7) * 5/8))
[280546] ['1/3', '1/7', '5/3', '5/8', '7/8'] -> (((1/3 + (5/3 / 5/8)) / 1/7) / 7/8)
[280549] ['1/3', '1/7', '5/3', '5/8', '8/5'] -> ((((1/3 + 5/3) / 1/7) / 5/8) + 8/5)
[280558] ['1/3', '1/7', '5/3', '5/9', '6/5'] -> ((((1/3 + 5/3) / 1/7) / 5/9) - 6/5)
[280565] ['1/3', '1/7', '5/3', '5/9', '7/8'] -> ((5/3 / ((5/9 - 1/3) - 1/7)) / 7/8)
[280566] ['1/3', '1/7', '5/3', '5/9', '7/9'] -> ((((5/3 / 5/9) - 1/3) / 1/7) / 7/9)
[280571] ['1/3', '1/7', '5/3', '5/9', '9/2'] -> (((1/3 / 1/7) + (5/3 / 5/9)) * 9/2)
[280574] ['1/3', '1/7', '5/3', '5/9', '9/7'] -> ((((5/3 / 5/9) - 1/3) / 1/7) * 9/7)
[280580] ['1/3', '1/7', '5/3', '6/5', '7/4'] -> ((((5/3 * 6/5) / 1/3) / 1/7) / 7/4)
[280583] ['1/3', '1/7', '5/3', '6/5', '7/8'] -> ((6/5 / ((1/3 / 5/3) - 1/7)) / 7/8)
[280586] ['1/3', '1/7', '5/3', '6/5', '8/5'] -> ((((1/3 + 5/3) + 6/5) / 1/7) + 8/5)
[280596] ['1/3', '1/7', '5/3', '6/7', '7/3'] -> (((1/3 + (5/3 / 1/7)) * 6/7) * 7/3)
[280602] ['1/3', '1/7', '5/3', '6/7', '8/3'] -> ((6/7 / (1/3 - (1/7 * 5/3))) * 8/3)
[280603] ['1/3', '1/7', '5/3', '6/7', '8/5'] -> ((6/7 / ((1/3 / 5/3) - 1/7)) * 8/5)
[280604] ['1/3', '1/7', '5/3', '6/7', '8/7'] -> (8/7 / ((1/3 * 6/7) - (1/7 * 5/3)))
[280613] ['1/3', '1/7', '5/3', '7/2', '7/4'] -> (((1/3 + (5/3 / 1/7)) * 7/2) / 7/4)
[280615] ['1/3', '1/7', '5/3', '7/2', '7/6'] -> ((((1/3 + 7/2) / 1/7) - 5/3) - 7/6)
[280618] ['1/3', '1/7', '5/3', '7/2', '8/3'] -> (8/3 / (1/3 * ((5/3 / 7/2) - 1/7)))
[280620] ['1/3', '1/7', '5/3', '7/2', '8/7'] -> (8/7 / ((5/3 / 7/2) - (1/7 / 1/3)))
[280622] ['1/3', '1/7', '5/3', '7/2', '9/2'] -> (((7/2 / 1/7) - (5/3 / 1/3)) + 9/2)
[280628] ['1/3', '1/7', '5/3', '7/3', '7/4'] -> ((((5/3 / 1/7) + 7/3) / 1/3) / 7/4)
[280631] ['1/3', '1/7', '5/3', '7/3', '7/8'] -> (((5/3 + 7/3) / (1/3 - 1/7)) / 7/8)
[280636] ['1/3', '1/7', '5/3', '7/3', '8/9'] -> ((((5/3 * 7/3) - 1/3) / 1/7) - 8/9)
[280644] ['1/3', '1/7', '5/3', '7/4', '7/6'] -> (((1/3 / (7/4 - 5/3)) / 1/7) / 7/6)
[280645] ['1/3', '1/7', '5/3', '7/4', '7/8'] -> (((1/3 + (5/3 / 1/7)) * 7/4) / 7/8)
[280651] ['1/3', '1/7', '5/3', '7/4', '9/2'] -> ((((5/3 - 1/3) / 1/7) / 7/4) * 9/2)
[280652] ['1/3', '1/7', '5/3', '7/4', '9/4'] -> ((((1/3 + 5/3) + 7/4) / 1/7) - 9/4)
[280656] ['1/3', '1/7', '5/3', '7/5', '7/5'] -> ((((5/3 / 1/3) / 1/7) - 7/5) / 7/5)
[280660] ['1/3', '1/7', '5/3', '7/5', '8/3'] -> (8/3 / (((1/3 * 1/7) * 5/3) * 7/5))
[280665] ['1/3', '1/7', '5/3', '7/5', '9/4'] -> (((1/3 + (5/3 / 7/5)) / 1/7) * 9/4)
[280666] ['1/3', '1/7', '5/3', '7/5', '9/5'] -> (((5/3 + (1/3 / 7/5)) / 1/7) * 9/5)
[280667] ['1/3', '1/7', '5/3', '7/5', '9/7'] -> ((9/7 * (1/3 + (5/3 * 7/5))) / 1/7)
[280669] ['1/3', '1/7', '5/3', '7/6', '7/6'] -> ((((7/6 / 1/3) / 1/7) - 5/3) + 7/6)
[280672] ['1/3', '1/7', '5/3', '7/6', '8/3'] -> (8/3 / ((1/3 - (1/7 * 5/3)) * 7/6))
[280673] ['1/3', '1/7', '5/3', '7/6', '8/5'] -> (8/5 / (((1/3 / 5/3) - 1/7) * 7/6))
[280683] ['1/3', '1/7', '5/3', '7/8', '8/3'] -> (((5/3 - (1/3 / 7/8)) / 1/7) * 8/3)
[280688] ['1/3', '1/7', '5/3', '7/8', '9/4'] -> ((((5/3 - 1/3) / 1/7) / 7/8) * 9/4)
[280689] ['1/3', '1/7', '5/3', '7/8', '9/5'] -> (9/5 / ((1/3 / 5/3) - (1/7 * 7/8)))
[280690] ['1/3', '1/7', '5/3', '7/8', '9/7'] -> (9/7 / ((1/3 * 7/8) - (1/7 * 5/3)))
[280693] ['1/3', '1/7', '5/3', '7/9', '8/3'] -> (8/3 / ((5/3 + 7/9) - (1/3 / 1/7)))
[280695] ['1/3', '1/7', '5/3', '7/9', '8/7'] -> (8/7 / (((7/9 - 1/7) / 5/3) - 1/3))
[280697] ['1/3', '1/7', '5/3', '7/9', '9/2'] -> (((5/3 + (1/7 * 7/9)) / 1/3) * 9/2)
[280698] ['1/3', '1/7', '5/3', '7/9', '9/4'] -> (((5/3 / (7/9 - 1/3)) / 1/7) - 9/4)
[280700] ['1/3', '1/7', '5/3', '7/9', '9/7'] -> ((9/7 * (5/3 - 7/9)) / (1/3 * 1/7))
[280701] ['1/3', '1/7', '5/3', '7/9', '9/8'] -> ((9/8 * (5/3 + (7/9 / 1/7))) / 1/3)
[280702] ['1/3', '1/7', '5/3', '8/3', '8/3'] -> (8/3 / (1/7 * (5/3 - (1/3 * 8/3))))
[280707] ['1/3', '1/7', '5/3', '8/3', '9/4'] -> ((((1/3 / 1/7) + 5/3) * 8/3) * 9/4)
[280710] ['1/3', '1/7', '5/3', '8/3', '9/8'] -> ((((5/3 / 1/7) - 8/3) / 1/3) / 9/8)
[280711] ['1/3', '1/7', '5/3', '8/5', '8/5'] -> ((((1/3 + 5/3) * 8/5) / 1/7) + 8/5)
[280719] ['1/3', '1/7', '5/3', '8/7', '8/7'] -> (8/7 / (((5/3 - 1/3) - 1/7) - 8/7))
[280720] ['1/3', '1/7', '5/3', '8/7', '8/9'] -> ((((5/3 / 1/3) - 8/7) / 1/7) * 8/9)
[280722] ['1/3', '1/7', '5/3', '8/7', '9/4'] -> ((((5/3 - 1/3) * 8/7) / 1/7) * 9/4)
[280723] ['1/3', '1/7', '5/3', '8/7', '9/5'] -> (9/5 / ((1/3 / 5/3) - (1/7 / 8/7)))
[280724] ['1/3', '1/7', '5/3', '8/7', '9/7'] -> (9/7 / ((1/3 / 8/7) - (1/7 * 5/3)))
[280725] ['1/3', '1/7', '5/3', '8/7', '9/8'] -> ((((5/3 / 1/3) - 8/7) / 1/7) / 9/8)
[280726] ['1/3', '1/7', '5/3', '8/9', '8/9'] -> (8/9 / ((1/3 * 1/7) * (5/3 - 8/9)))
[280728] ['1/3', '1/7', '5/3', '8/9', '9/4'] -> (((1/3 + (5/3 / 1/7)) * 8/9) * 9/4)
[280740] ['1/3', '1/7', '5/3', '9/4', '9/8'] -> (((1/3 + (5/3 / 1/7)) * 9/4) / 9/8)
[280742] ['1/3', '1/7', '5/3', '9/5', '9/7'] -> ((9/7 * ((5/3 * 9/5) - 1/3)) / 1/7)
[280747] ['1/3', '1/7', '5/4', '5/4', '5/4'] -> ((((5/4 / 1/7) + 5/4) / 1/3) / 5/4)
[280750] ['1/3', '1/7', '5/4', '5/4', '5/8'] -> (((5/4 / 1/7) / 5/4) / (5/8 - 1/3))
[280754] ['1/3', '1/7', '5/4', '5/4', '7/2'] -> ((((5/4 / 1/3) / 1/7) + 5/4) - 7/2)
[280759] ['1/3', '1/7', '5/4', '5/4', '7/8'] -> ((((5/4 / 1/3) / 1/7) / 5/4) / 7/8)
[280765] ['1/3', '1/7', '5/4', '5/4', '9/2'] -> ((9/2 / 1/7) - ((5/4 + 5/4) / 1/3))
[280775] ['1/3', '1/7', '5/4', '5/6', '6/7'] -> (6/7 / (1/3 - (1/7 * (5/4 + 5/6))))
[280785] ['1/3', '1/7', '5/4', '5/6', '8/7'] -> (8/7 / (1/7 * ((5/6 / 5/4) - 1/3)))
[280788] ['1/3', '1/7', '5/4', '5/6', '9/4'] -> (((5/4 + (5/6 / 1/3)) / 1/7) - 9/4)
[280796] ['1/3', '1/7', '5/4', '5/7', '6/7'] -> (6/7 / ((1/3 * (5/4 - 5/7)) - 1/7))
[280806] ['1/3', '1/7', '5/4', '5/7', '8/7'] -> (8/7 / (((1/3 * 5/7) / 5/4) - 1/7))
[280819] ['1/3', '1/7', '5/4', '5/8', '7/4'] -> ((((5/4 / 1/3) / 1/7) / 5/8) / 7/4)
[280826] ['1/3', '1/7', '5/4', '5/8', '8/7'] -> (8/7 / (1/3 - ((1/7 * 5/4) / 5/8)))
[280843] ['1/3', '1/7', '5/4', '5/9', '8/3'] -> (8/3 / (1/7 * (1/3 + (5/9 / 5/4))))
[280870] ['1/3', '1/7', '5/4', '6/7', '6/7'] -> (6/7 / (((1/7 / 1/3) + 6/7) - 5/4))
[280883] ['1/3', '1/7', '5/4', '6/7', '9/4'] -> (((5/4 + (6/7 / 1/7)) / 1/3) + 9/4)
[280899] ['1/3', '1/7', '5/4', '7/2', '9/4'] -> ((5/4 / (1/7 - (1/3 / 7/2))) - 9/4)
[280915] ['1/3', '1/7', '5/4', '7/3', '9/5'] -> (((1/3 + (7/3 / 1/7)) / 5/4) * 9/5)
[280921] ['1/3', '1/7', '5/4', '7/4', '7/8'] -> ((((5/4 / 1/7) - 7/4) / 1/3) / 7/8)
[280929] ['1/3', '1/7', '5/4', '7/4', '9/5'] -> ((((1/3 + 7/4) / 1/7) - 5/4) * 9/5)
[280930] ['1/3', '1/7', '5/4', '7/4', '9/7'] -> ((9/7 * ((5/4 + 7/4) - 1/3)) / 1/7)
[280937] ['1/3', '1/7', '5/4', '7/5', '8/5'] -> (8/5 / ((1/3 / 5/4) - (1/7 * 7/5)))
[280938] ['1/3', '1/7', '5/4', '7/5', '8/7'] -> (8/7 / (((1/3 / 5/4) / 7/5) - 1/7))
[280945] ['1/3', '1/7', '5/4', '7/6', '7/6'] -> (((1/3 / (5/4 - 7/6)) / 1/7) / 7/6)
[280961] ['1/3', '1/7', '5/4', '7/8', '8/7'] -> (8/7 / ((1/7 / (5/4 - 7/8)) - 1/3))
[280966] ['1/3', '1/7', '5/4', '7/8', '9/7'] -> (9/7 / (((1/7 / 1/3) + 7/8) - 5/4))
[280980] ['1/3', '1/7', '5/4', '8/3', '8/7'] -> ((((5/4 * 8/3) - 1/3) / 1/7) * 8/7)
[280985] ['1/3', '1/7', '5/4', '8/3', '9/7'] -> (9/7 / ((1/7 * 5/4) - (1/3 / 8/3)))
[280988] ['1/3', '1/7', '5/4', '8/5', '8/7'] -> (8/7 / (1/3 - ((1/7 * 5/4) * 8/5)))
[281009] ['1/3', '1/7', '5/4', '9/2', '9/4'] -> ((((5/4 / 1/3) / 1/7) - 9/2) + 9/4)
[281013] ['1/3', '1/7', '5/4', '9/4', '9/4'] -> ((((5/4 / 1/7) + 9/4) - 1/3) * 9/4)
[281014] ['1/3', '1/7', '5/4', '9/4', '9/5'] -> ((((1/3 + 5/4) / 1/7) + 9/4) * 9/5)
[281015] ['1/3', '1/7', '5/4', '9/4', '9/7'] -> ((9/7 * ((1/3 * 5/4) + 9/4)) / 1/7)
[281018] ['1/3', '1/7', '5/4', '9/5', '9/7'] -> (((9/7 * 5/4) * (1/3 + 9/5)) / 1/7)
[281022] ['1/3', '1/7', '5/4', '9/8', '9/8'] -> ((((5/4 / 1/3) / 1/7) - 9/8) - 9/8)
[281023] ['1/3', '1/7', '5/6', '5/6', '5/6'] -> ((((5/6 / 1/7) + 5/6) / 1/3) / 5/6)
[281027] ['1/3', '1/7', '5/6', '5/6', '6/5'] -> ((((5/6 / 1/7) + 5/6) / 1/3) * 6/5)
[281028] ['1/3', '1/7', '5/6', '5/6', '6/7'] -> (((1/3 + 1/7) / 5/6) / (6/7 - 5/6))
[281030] ['1/3', '1/7', '5/6', '5/6', '7/3'] -> ((1/3 + (7/3 / 1/7)) / (5/6 * 5/6))
[281034] ['1/3', '1/7', '5/6', '5/6', '7/8'] -> ((((5/6 / 1/3) / 1/7) / 5/6) / 7/8)
[281036] ['1/3', '1/7', '5/6', '5/6', '8/3'] -> ((((1/3 + 5/6) / 1/7) + 5/6) * 8/3)
[281037] ['1/3', '1/7', '5/6', '5/6', '8/5'] -> ((((5/6 / 1/7) - 5/6) / 1/3) * 8/5)
[281040] ['1/3', '1/7', '5/6', '5/6', '9/2'] -> (((1/3 + (5/6 / 1/7)) - 5/6) * 9/2)
[281057] ['1/3', '1/7', '5/6', '5/7', '8/3'] -> (8/3 / (5/6 * (1/3 - (1/7 / 5/7))))
[281058] ['1/3', '1/7', '5/6', '5/7', '8/5'] -> (8/5 / ((1/3 * 5/7) - (1/7 / 5/6)))
[281068] ['1/3', '1/7', '5/6', '5/8', '6/5'] -> (((5/6 / (5/8 - 1/3)) / 1/7) * 6/5)
[281069] ['1/3', '1/7', '5/6', '5/8', '6/7'] -> ((((5/6 / 1/3) / 1/7) / 5/8) * 6/7)
[281074] ['1/3', '1/7', '5/6', '5/8', '7/6'] -> ((((5/6 / 1/3) / 1/7) / 5/8) / 7/6)
[281077] ['1/3', '1/7', '5/6', '5/8', '8/3'] -> ((((5/6 / 1/7) / 5/8) - 1/3) * 8/3)
[281084] ['1/3', '1/7', '5/6', '5/8', '9/7'] -> (9/7 / (5/8 - ((1/3 + 1/7) / 5/6)))
[281098] ['1/3', '1/7', '5/6', '5/9', '8/7'] -> (8/7 / (1/7 * ((5/9 / 5/6) - 1/3)))
[281101] ['1/3', '1/7', '5/6', '5/9', '9/4'] -> (((5/6 / (5/9 - 1/3)) / 1/7) - 9/4)
[281112] ['1/3', '1/7', '5/6', '6/5', '7/8'] -> ((((5/6 * 6/5) / 1/3) / 1/7) / 7/8)
[281124] ['1/3', '1/7', '5/6', '6/7', '7/2'] -> (((5/6 + (6/7 / 1/7)) / 1/3) + 7/2)
[281131] ['1/3', '1/7', '5/6', '6/7', '8/3'] -> (8/3 / ((1/3 * 5/6) - (1/7 / 6/7)))
[281132] ['1/3', '1/7', '5/6', '6/7', '8/5'] -> ((((5/6 * 6/7) / 1/3) / 1/7) * 8/5)
[281140] ['1/3', '1/7', '5/6', '7/2', '7/2'] -> (((7/2 / (5/6 - 1/3)) - 1/7) * 7/2)
[281141] ['1/3', '1/7', '5/6', '7/2', '7/3'] -> ((((7/2 - 5/6) / 1/3) / 1/7) / 7/3)
[281142] ['1/3', '1/7', '5/6', '7/2', '7/4'] -> ((((5/6 / 1/3) + 7/2) / 1/7) / 7/4)
[281146] ['1/3', '1/7', '5/6', '7/2', '7/9'] -> (((1/3 * 5/6) + (7/2 / 1/7)) - 7/9)
[281150] ['1/3', '1/7', '5/6', '7/2', '8/9'] -> (((5/6 / 1/3) + (7/2 / 1/7)) * 8/9)
[281155] ['1/3', '1/7', '5/6', '7/2', '9/8'] -> (((5/6 / 1/3) + (7/2 / 1/7)) / 9/8)
[281166] ['1/3', '1/7', '5/6', '7/3', '9/2'] -> ((5/6 + ((1/3 + 7/3) / 1/7)) + 9/2)
[281168] ['1/3', '1/7', '5/6', '7/3', '9/5'] -> ((5/6 * ((7/3 / 1/7) - 1/3)) * 9/5)
[281176] ['1/3', '1/7', '5/6', '7/4', '8/3'] -> (8/3 / (1/3 * ((5/6 / 7/4) - 1/7)))
[281178] ['1/3', '1/7', '5/6', '7/4', '8/7'] -> (8/7 / ((5/6 / 7/4) - (1/7 / 1/3)))
[281189] ['1/3', '1/7', '5/6', '7/5', '8/3'] -> (8/3 / (5/6 * (1/3 - (1/7 * 7/5))))
[281190] ['1/3', '1/7', '5/6', '7/5', '8/5'] -> (8/5 / ((1/3 / 7/5) - (1/7 / 5/6)))
[281199] ['1/3', '1/7', '5/6', '7/6', '7/8'] -> ((((5/6 / 1/7) + 7/6) / 1/3) / 7/8)
[281201] ['1/3', '1/7', '5/6', '7/6', '8/3'] -> (8/3 / ((1/3 * 5/6) - (1/7 * 7/6)))
[281202] ['1/3', '1/7', '5/6', '7/6', '8/5'] -> ((((5/6 / 1/3) / 1/7) / 7/6) * 8/5)
[281204] ['1/3', '1/7', '5/6', '7/6', '8/9'] -> (((5/6 + (7/6 / 1/7)) / 1/3) * 8/9)
[281205] ['1/3', '1/7', '5/6', '7/6', '9/2'] -> ((1/3 + ((5/6 / 1/7) / 7/6)) * 9/2)
[281206] ['1/3', '1/7', '5/6', '7/6', '9/4'] -> (((5/6 / 1/3) + (7/6 / 1/7)) * 9/4)
[281209] ['1/3', '1/7', '5/6', '7/6', '9/8'] -> (((5/6 + (7/6 / 1/7)) / 1/3) / 9/8)
[281212] ['1/3', '1/7', '5/6', '7/8', '8/3'] -> (((1/3 + (5/6 / 7/8)) / 1/7) * 8/3)
[281216] ['1/3', '1/7', '5/6', '7/8', '9/2'] -> (9/2 / ((1/3 - (1/7 * 5/6)) * 7/8))
[281219] ['1/3', '1/7', '5/6', '7/8', '9/7'] -> (9/7 / (1/7 * ((1/3 + 7/8) - 5/6)))
[281231] ['1/3', '1/7', '5/6', '8/3', '8/3'] -> (8/3 / ((1/3 / 1/7) - (5/6 * 8/3)))
[281233] ['1/3', '1/7', '5/6', '8/3', '8/7'] -> (8/7 / (1/7 - (1/3 / (5/6 + 8/3))))
[281250] ['1/3', '1/7', '5/6', '8/7', '9/2'] -> ((8/7 / (1/3 - (1/7 * 5/6))) * 9/2)
[281262] ['1/3', '1/7', '5/6', '9/2', '9/4'] -> (((1/3 + (5/6 / 1/7)) + 9/2) * 9/4)
[281265] ['1/3', '1/7', '5/6', '9/2', '9/8'] -> (((9/2 / (1/3 + 5/6)) / 1/7) / 9/8)
[281276] ['1/3', '1/7', '5/7', '5/7', '5/7'] -> ((((5/7 / 1/7) + 5/7) / 1/3) / 5/7)
[281277] ['1/3', '1/7', '5/7', '5/7', '5/8'] -> (((5/7 / 1/7) / 5/7) / (5/8 - 1/3))
[281279] ['1/3', '1/7', '5/7', '5/7', '6/5'] -> ((((5/7 / 1/3) + 5/7) / 1/7) * 6/5)
[281284] ['1/3', '1/7', '5/7', '5/7', '7/5'] -> ((((5/7 / 1/7) + 5/7) / 1/3) * 7/5)
[281286] ['1/3', '1/7', '5/7', '5/7', '7/8'] -> ((((5/7 / 1/3) / 1/7) / 5/7) / 7/8)
[281304] ['1/3', '1/7', '5/7', '5/8', '7/5'] -> ((7/5 * 5/7) / (1/7 * (5/8 - 1/3)))
[281310] ['1/3', '1/7', '5/7', '5/8', '8/7'] -> (8/7 / (((1/3 + 1/7) / 5/8) - 5/7))
[281312] ['1/3', '1/7', '5/7', '5/8', '9/2'] -> (((1/3 + 1/7) / (5/7 - 5/8)) * 9/2)
[281317] ['1/3', '1/7', '5/7', '5/9', '5/9'] -> ((((5/7 / 1/7) - 5/9) / 1/3) / 5/9)
[281325] ['1/3', '1/7', '5/7', '5/9', '7/8'] -> ((1/3 / ((5/7 - 1/7) - 5/9)) / 7/8)
[281329] ['1/3', '1/7', '5/7', '5/9', '8/7'] -> ((1/3 / ((5/7 - 1/7) - 5/9)) * 8/7)
[281330] ['1/3', '1/7', '5/7', '5/9', '8/9'] -> ((((5/7 / 1/3) / 1/7) / 5/9) * 8/9)
[281333] ['1/3', '1/7', '5/7', '5/9', '9/5'] -> ((((5/7 / 1/7) - 5/9) / 1/3) * 9/5)
[281335] ['1/3', '1/7', '5/7', '5/9', '9/8'] -> ((((5/7 / 1/3) / 1/7) / 5/9) / 9/8)
[281345] ['1/3', '1/7', '5/7', '6/5', '8/3'] -> ((6/5 / (1/3 - (1/7 / 5/7))) * 8/3)
[281346] ['1/3', '1/7', '5/7', '6/5', '8/5'] -> (8/5 / ((1/3 * 5/7) - (1/7 * 6/5)))
[281360] ['1/3', '1/7', '5/7', '6/7', '7/8'] -> ((((5/7 / 1/3) + 6/7) / 1/7) / 7/8)
[281367] ['1/3', '1/7', '5/7', '6/7', '9/4'] -> ((((5/7 + 6/7) / 1/7) - 1/3) * 9/4)
[281368] ['1/3', '1/7', '5/7', '6/7', '9/5'] -> ((((1/3 + 5/7) + 6/7) / 1/7) * 9/5)
[281378] ['1/3', '1/7', '5/7', '7/2', '8/3'] -> ((((1/7 + 5/7) * 7/2) / 1/3) * 8/3)
[281379] ['1/3', '1/7', '5/7', '7/2', '8/5'] -> ((5/7 / (1/7 - (1/3 / 7/2))) * 8/5)
[281387] ['1/3', '1/7', '5/7', '7/3', '7/3'] -> ((1/3 + ((5/7 + 7/3) / 1/7)) + 7/3)
[281391] ['1/3', '1/7', '5/7', '7/3', '7/8'] -> ((((5/7 + 7/3) / 1/7) - 1/3) / 7/8)
[281397] ['1/3', '1/7', '5/7', '7/3', '9/2'] -> (((1/7 + (5/7 / 1/3)) * 7/3) * 9/2)
[281398] ['1/3', '1/7', '5/7', '7/3', '9/4'] -> (((5/7 + (7/3 / 1/3)) / 1/7) / 9/4)
[281399] ['1/3', '1/7', '5/7', '7/3', '9/5'] -> ((((1/3 + 7/3) * 5/7) / 1/7) * 9/5)
[281407] ['1/3', '1/7', '5/7', '7/4', '8/3'] -> (8/3 / ((5/7 / (7/4 - 1/7)) - 1/3))
[281408] ['1/3', '1/7', '5/7', '7/4', '8/5'] -> ((5/7 / ((1/3 / 7/4) - 1/7)) * 8/5)
[281411] ['1/3', '1/7', '5/7', '7/4', '9/2'] -> ((((1/3 / 1/7) + 5/7) * 7/4) * 9/2)
[281418] ['1/3', '1/7', '5/7', '7/5', '7/8'] -> ((((5/7 * 7/5) / 1/3) / 1/7) / 7/8)
[281424] ['1/3', '1/7', '5/7', '7/5', '9/2'] -> (((5/7 * (7/5 - 1/3)) / 1/7) * 9/2)
[281432] ['1/3', '1/7', '5/7', '7/6', '8/3'] -> (8/3 / (((1/3 * 5/7) - 1/7) * 7/6))
[281447] ['1/3', '1/7', '5/7', '7/8', '9/2'] -> ((((5/7 / 1/7) - 1/3) / 7/8) * 9/2)
[281450] ['1/3', '1/7', '5/7', '7/8', '9/7'] -> ((9/7 * 1/3) / ((7/8 - 1/7) - 5/7))
[281455] ['1/3', '1/7', '5/7', '7/9', '8/7'] -> (8/7 / (((7/9 - 5/7) / 1/3) - 1/7))
[281461] ['1/3', '1/7', '5/7', '7/9', '9/8'] -> ((9/8 * (5/7 + (7/9 / 1/3))) / 1/7)
[281462] ['1/3', '1/7', '5/7', '8/3', '8/3'] -> (8/3 / (1/3 * (5/7 - (1/7 * 8/3))))
[281469] ['1/3', '1/7', '5/7', '8/3', '9/7'] -> (9/7 / (1/7 - ((1/3 * 5/7) / 8/3)))
[281470] ['1/3', '1/7', '5/7', '8/3', '9/8'] -> ((9/8 * ((5/7 + 8/3) - 1/3)) / 1/7)
[281471] ['1/3', '1/7', '5/7', '8/5', '8/5'] -> (8/5 / (((1/3 * 5/7) / 1/7) - 8/5))
[281472] ['1/3', '1/7', '5/7', '8/5', '8/7'] -> (8/7 / (((1/3 + 1/7) * 8/5) - 5/7))
