[672783] ['1/5', '2/7', '5/8', '7/5', '9/8'] -> 5/8 + 7/5 / 1/5 / 2/7 - 9/8
[686023] ['1/5', '3/2', '4/9', '6/5', '9/8'] -> (3/2 / 4/9 + 6/5) / 1/5 + 9/8
[686028] ['1/5', '3/2', '4/9', '6/7', '7/5'] -> 7/5 / (1/5 / (3/2 + 6/7 / 4/9))
[686053] ['1/5', '3/2', '4/9', '7/2', '9/4'] -> 7/2 / 1/5 / 3/2 / 4/9 - 9/4
[686064] ['1/5', '3/2', '4/9', '7/3', '8/5'] -> (3/2 * 4/9 + 7/3) / 1/5 * 8/5
[686103] ['1/5', '3/2', '4/9', '7/6', '8/5'] -> 8/5 / (1/5 * (7/6 / 3/2 - 4/9))
[686106] ['1/5', '3/2', '4/9', '7/6', '9/2'] -> (3/2 / 1/5 + 7/6) / 4/9 + 9/2
[686118] ['1/5', '3/2', '4/9', '7/8', '9/4'] -> 9/4 / (1/5 * (7/8 / 4/9 - 3/2))
[686143] ['1/5', '3/2', '4/9', '8/5', '8/9'] -> 3/2 * 8/5 / 1/5 / 4/9 * 8/9
[686148] ['1/5', '3/2', '4/9', '8/5', '9/8'] -> 3/2 * 8/5 / 1/5 / 4/9 / 9/8
[686162] ['1/5', '3/2', '4/9', '9/2', '9/2'] -> 4/9 * (3/2 / 1/5 + 9/2) * 9/2
[686164] ['1/5', '3/2', '4/9', '9/2', '9/5'] -> (3/2 + 9/2) / (1/5 / 4/9) * 9/5
[686166] ['1/5', '3/2', '4/9', '9/2', '9/8'] -> (3/2 / 1/5 + 9/2) / 4/9 / 9/8
[686167] ['1/5', '3/2', '4/9', '9/4', '9/4'] -> 3/2 / (9/4 - 4/9 / 1/5) / 9/4
[686177] ['1/5', '3/2', '5/2', '5/2', '5/2'] -> (5/2 + 5/2) / 1/5 + 3/2 - 5/2
[686178] ['1/5', '3/2', '5/2', '5/2', '5/3'] -> (3/2 + 5/2) / 1/5 / (5/2 - 5/3)
[686191] ['1/5', '3/2', '5/2', '5/2', '7/8'] -> (5/2 / 1/5 + 5/2) / (3/2 - 7/8)
[686211] ['1/5', '3/2', '5/2', '5/3', '7/3'] -> (3/2 + 5/2) / 1/5 + 5/3 + 7/3
[686213] ['1/5', '3/2', '5/2', '5/3', '7/5'] -> (1/5 + 7/5) / ((5/3 - 3/2) / 5/2)
[686227] ['1/5', '3/2', '5/2', '5/4', '5/6'] -> (3/2 * 5/2 / 1/5 + 5/4) / 5/6
[686229] ['1/5', '3/2', '5/2', '5/4', '5/8'] -> 3/2 * 5/2 / 1/5 / 5/4 / 5/8
[686230] ['1/5', '3/2', '5/2', '5/4', '5/9'] -> (5/2 / 1/5 + 5/4 / 3/2) / 5/9
[686238] ['1/5', '3/2', '5/2', '5/4', '7/8'] -> (3/2 + 5/2 * 5/4) / 1/5 + 7/8
[686241] ['1/5', '3/2', '5/2', '5/4', '8/5'] -> 3/2 * 5/2 / 1/5 / 5/4 * 8/5
[686245] ['1/5', '3/2', '5/2', '5/4', '9/4'] -> (3/2 + 5/2 + 5/4) / 1/5 - 9/4
[686246] ['1/5', '3/2', '5/2', '5/4', '9/5'] -> (5/2 / 1/5 + 5/4 / 3/2) * 9/5
[686249] ['1/5', '3/2', '5/2', '5/6', '5/6'] -> (5/2 / 1/5 + 5/6) * 3/2 / 5/6
[686253] ['1/5', '3/2', '5/2', '5/6', '6/5'] -> 3/2 * (5/2 / 1/5 + 5/6) * 6/5
[686263] ['1/5', '3/2', '5/2', '5/6', '8/5'] -> 8/5 / ((3/2 - 5/6) / 5/2 - 1/5)
[686266] ['1/5', '3/2', '5/2', '5/6', '9/2'] -> 5/2 * (3/2 + 5/6 - 1/5) * 9/2
[686277] ['1/5', '3/2', '5/2', '5/7', '7/3'] -> (5/2 / 1/5 - 3/2 - 5/7) * 7/3
[686280] ['1/5', '3/2', '5/2', '5/7', '7/6'] -> (3/2 + 5/2) / 1/5 / 5/7 / 7/6
[686288] ['1/5', '3/2', '5/2', '5/7', '9/4'] -> 3/2 * 5/2 / 1/5 / 5/7 - 9/4
[686293] ['1/5', '3/2', '5/2', '5/8', '5/9'] -> 5/2 / 1/5 / 3/2 / 5/8 / 5/9
[686294] ['1/5', '3/2', '5/2', '5/8', '6/5'] -> 6/5 / (1/5 * 3/2 - 5/8 / 5/2)
[686296] ['1/5', '3/2', '5/2', '5/8', '7/2'] -> (3/2 + 5/2 / 5/8) / 1/5 - 7/2
[686301] ['1/5', '3/2', '5/2', '5/8', '7/8'] -> (3/2 + 5/2 + 5/8) / 1/5 + 7/8
[686304] ['1/5', '3/2', '5/2', '5/8', '8/5'] -> (3/2 + 5/2 / 1/5) / 5/8 + 8/5
[686312] ['1/5', '3/2', '5/2', '5/9', '5/9'] -> (5/2 / 1/5 + 3/2 * 5/9) / 5/9
[686313] ['1/5', '3/2', '5/2', '5/9', '6/5'] -> (3/2 + 5/2 / 1/5) / 5/9 - 6/5
[686320] ['1/5', '3/2', '5/2', '5/9', '7/8'] -> (5/2 / 1/5 / 5/9 - 3/2) / 7/8
[686324] ['1/5', '3/2', '5/2', '5/9', '8/7'] -> (5/2 / 1/5 / 5/9 - 3/2) * 8/7
[686325] ['1/5', '3/2', '5/2', '5/9', '8/9'] -> 3/2 / (5/9 - 1/5 * 5/2) * 8/9
[686328] ['1/5', '3/2', '5/2', '5/9', '9/5'] -> (5/2 / 1/5 + 3/2 * 5/9) * 9/5
[686330] ['1/5', '3/2', '5/2', '5/9', '9/8'] -> 3/2 / (5/9 - 1/5 * 5/2) / 9/8
[686344] ['1/5', '3/2', '5/2', '6/5', '9/2'] -> 5/2 * 6/5 - 3/2 + 9/2 / 1/5
[686345] ['1/5', '3/2', '5/2', '6/5', '9/4'] -> 5/2 * (3/2 / 1/5 + 6/5) + 9/4
[686353] ['1/5', '3/2', '5/2', '6/7', '7/5'] -> 7/5 / (1/5 / (3/2 + 5/2) / 6/7)
[686368] ['1/5', '3/2', '5/2', '7/2', '7/4'] -> 3/2 * 5/2 / 1/5 + 7/2 + 7/4
[686378] ['1/5', '3/2', '5/2', '7/2', '9/4'] -> (5/2 / 1/5 + 7/2) / 3/2 * 9/4
[686379] ['1/5', '3/2', '5/2', '7/2', '9/5'] -> (5/2 + 7/2 / 1/5) / 3/2 * 9/5
[686383] ['1/5', '3/2', '5/2', '7/3', '7/4'] -> 3/2 * (5/2 / 1/5 + 7/3) + 7/4
[686388] ['1/5', '3/2', '5/2', '7/3', '8/3'] -> (5/2 / 1/5 - 3/2 * 7/3) * 8/3
[686392] ['1/5', '3/2', '5/2', '7/3', '9/2'] -> (3/2 / 1/5 / 5/2 + 7/3) * 9/2
[686400] ['1/5', '3/2', '5/2', '7/4', '7/8'] -> 5/2 * (3/2 / 1/5 + 7/4) + 7/8
[686407] ['1/5', '3/2', '5/2', '7/4', '9/4'] -> (3/2 + 5/2) / 1/5 + 7/4 + 9/4
[686408] ['1/5', '3/2', '5/2', '7/4', '9/5'] -> 9/5 / (1/5 + 5/2 - 3/2 * 7/4)
[686412] ['1/5', '3/2', '5/2', '7/5', '7/6'] -> (3/2 + 5/2) * 7/5 / 1/5 / 7/6
[686413] ['1/5', '3/2', '5/2', '7/5', '7/8'] -> (3/2 + (5/2 + 7/5) / 1/5) / 7/8
[686416] ['1/5', '3/2', '5/2', '7/5', '8/5'] -> 8/5 / (5/2 / 3/2 - 1/5 - 7/5)
[686417] ['1/5', '3/2', '5/2', '7/5', '8/7'] -> (3/2 + (5/2 + 7/5) / 1/5) * 8/7
[686419] ['1/5', '3/2', '5/2', '7/5', '9/2'] -> (7/5 / 1/5 - 5/2 / 3/2) * 9/2
[686420] ['1/5', '3/2', '5/2', '7/5', '9/4'] -> 3/2 * 5/2 * 7/5 / 1/5 - 9/4
[686427] ['1/5', '3/2', '5/2', '7/6', '8/3'] -> 8/3 / (7/6 / 3/2 / 5/2 - 1/5)
[686431] ['1/5', '3/2', '5/2', '7/6', '9/2'] -> (3/2 + 7/6) / 1/5 / 5/2 * 9/2
[686436] ['1/5', '3/2', '5/2', '7/8', '7/8'] -> (3/2 * 5/2 + 7/8) / 1/5 + 7/8
[686440] ['1/5', '3/2', '5/2', '7/8', '8/7'] -> (3/2 + 5/2) / 1/5 / 7/8 + 8/7
[686442] ['1/5', '3/2', '5/2', '7/8', '9/2'] -> 9/2 / (5/2 * (7/8 - 1/5) - 3/2)
[686448] ['1/5', '3/2', '5/2', '7/9', '8/3'] -> 8/3 / (3/2 + 5/2 - 7/9 / 1/5)
[686457] ['1/5', '3/2', '5/2', '8/3', '8/3'] -> (3/2 / 1/5 + 5/2) * 8/3 - 8/3
[686461] ['1/5', '3/2', '5/2', '8/3', '9/2'] -> (3/2 + 1/5 * 5/2) * 8/3 * 9/2
[686468] ['1/5', '3/2', '5/2', '8/5', '8/9'] -> (1/5 + 5/2) / (8/5 - 3/2) * 8/9
[686469] ['1/5', '3/2', '5/2', '8/5', '9/2'] -> 9/2 / ((1/5 + 5/2) / 8/5 - 3/2)
[686471] ['1/5', '3/2', '5/2', '8/5', '9/5'] -> 5/2 * 8/5 / 1/5 / 3/2 * 9/5
[686473] ['1/5', '3/2', '5/2', '8/5', '9/8'] -> (1/5 + 5/2) / (8/5 - 3/2) / 9/8
[686474] ['1/5', '3/2', '5/2', '8/7', '8/7'] -> (3/2 + 5/2) * 8/7 / 1/5 + 8/7
[686481] ['1/5', '3/2', '5/2', '8/9', '8/9'] -> 8/9 / (8/9 / 3/2 / 5/2 - 1/5)
[686496] ['1/5', '3/2', '5/2', '9/5', '9/5'] -> (5/2 / 1/5 + 3/2 / 9/5) * 9/5
[686506] ['1/5', '3/2', '5/3', '5/3', '5/8'] -> (5/3 / 1/5 + 5/3) * 3/2 / 5/8
[686510] ['1/5', '3/2', '5/3', '5/3', '7/2'] -> (3/2 + 7/2) / 1/5 - 5/3 / 5/3
[686517] ['1/5', '3/2', '5/3', '5/3', '8/3'] -> 8/3 / 1/5 / (5/3 - 5/3 / 3/2)
[686518] ['1/5', '3/2', '5/3', '5/3', '8/5'] -> (5/3 / 1/5 + 5/3) * 3/2 * 8/5
[686549] ['1/5', '3/2', '5/3', '5/6', '5/6'] -> (3/2 + 5/3 + 5/6) / 1/5 / 5/6
[686550] ['1/5', '3/2', '5/3', '5/6', '5/7'] -> 5/7 / (5/6 - 3/2 / (1/5 + 5/3))
[686553] ['1/5', '3/2', '5/3', '5/6', '6/5'] -> (3/2 + 5/3 + 5/6) / 1/5 * 6/5
[686558] ['1/5', '3/2', '5/3', '5/6', '7/5'] -> (1/5 + 7/5) / (3/2 / 5/3 - 5/6)
[686566] ['1/5', '3/2', '5/3', '5/6', '9/2'] -> (3/2 / 1/5 / 5/3 + 5/6) * 9/2
[686572] ['1/5', '3/2', '5/3', '5/7', '5/8'] -> 5/8 / (5/3 - 3/2 / (1/5 + 5/7))
[686596] ['1/5', '3/2', '5/3', '5/8', '7/2'] -> 7/2 / (1/5 * (5/3 - 3/2 * 5/8))
[686597] ['1/5', '3/2', '5/3', '5/8', '7/3'] -> 7/3 / (1/5 * (5/3 / 3/2 - 5/8))
[686604] ['1/5', '3/2', '5/3', '5/8', '8/5'] -> 8/5 / ((5/3 - 3/2) / 5/8 - 1/5)
[686612] ['1/5', '3/2', '5/3', '5/9', '5/9'] -> 3/2 * (5/3 / 1/5 + 5/9) / 5/9
[686622] ['1/5', '3/2', '5/3', '5/9', '8/3'] -> 8/3 / (1/5 * (5/3 / 3/2 - 5/9))
[686625] ['1/5', '3/2', '5/3', '5/9', '8/9'] -> 8/9 / (5/9 / 3/2 - 1/5 * 5/3)
[686628] ['1/5', '3/2', '5/3', '5/9', '9/5'] -> 3/2 * (5/3 / 1/5 + 5/9) * 9/5
[686645] ['1/5', '3/2', '5/3', '6/5', '9/4'] -> (5/3 + 3/2 * 6/5 / 1/5) * 9/4
[686658] ['1/5', '3/2', '5/3', '6/7', '8/5'] -> 8/5 / (1/5 / 6/7 - (5/3 - 3/2))
[686664] ['1/5', '3/2', '5/3', '6/7', '9/7'] -> 9/7 / (6/7 - 3/2 / (1/5 + 5/3))
[686688] ['1/5', '3/2', '5/3', '7/3', '8/3'] -> 3/2 * (5/3 / 1/5 - 7/3) * 8/3
[686689] ['1/5', '3/2', '5/3', '7/3', '8/5'] -> 3/2 * (7/3 / 1/5 - 5/3) * 8/5
[686692] ['1/5', '3/2', '5/3', '7/3', '9/2'] -> 3/2 * 5/3 * (7/3 - 1/5) * 9/2
[686694] ['1/5', '3/2', '5/3', '7/3', '9/5'] -> (5/3 + 7/3) / 1/5 / 3/2 * 9/5
[686712] ['1/5', '3/2', '5/3', '7/5', '7/6'] -> (3/2 + 5/3 + 7/5) / 1/5 + 7/6
[686719] ['1/5', '3/2', '5/3', '7/5', '9/2'] -> (3/2 * 5/3 + 7/5) / 1/5 + 9/2
[686722] ['1/5', '3/2', '5/3', '7/5', '9/7'] -> 9/7 / ((3/2 - 7/5) / (1/5 + 5/3))
[686744] ['1/5', '3/2', '5/3', '7/8', '9/5'] -> 5/3 / (3/2 - 7/8) / 1/5 * 9/5
[686748] ['1/5', '3/2', '5/3', '7/9', '8/3'] -> 8/3 / (7/9 / 3/2 / 5/3 - 1/5)
[686749] ['1/5', '3/2', '5/3', '7/9', '8/5'] -> 8/5 / (1/5 * (5/3 / 3/2 - 7/9))
[686761] ['1/5', '3/2', '5/3', '8/3', '9/2'] -> 8/3 / 1/5 / 3/2 / 5/3 * 9/2
[686772] ['1/5', '3/2', '5/3', '8/5', '9/7'] -> 9/7 / ((8/5 - 3/2) / (1/5 + 5/3))
[686784] ['1/5', '3/2', '5/3', '8/9', '9/5'] -> 9/5 / (1/5 * (5/3 / 8/9 - 3/2))
[686788] ['1/5', '3/2', '5/3', '9/2', '9/4'] -> (3/2 / 1/5 - 5/3) * 9/2 - 9/4
[686791] ['1/5', '3/2', '5/3', '9/2', '9/8'] -> (3/2 / 5/3 + 9/2) / 1/5 / 9/8
[686792] ['1/5', '3/2', '5/3', '9/4', '9/4'] -> (3/2 + 5/3 * 9/4) / 1/5 - 9/4
[686803] ['1/5', '3/2', '5/4', '5/4', '5/6'] -> (3/2 + 5/4 + 5/4) / 1/5 / 5/6
[686805] ['1/5', '3/2', '5/4', '5/4', '5/8'] -> ((3/2 + 5/4) / 1/5 + 5/4) / 5/8
[686807] ['1/5', '3/2', '5/4', '5/4', '6/5'] -> (3/2 + 5/4 + 5/4) / 1/5 * 6/5
[686809] ['1/5', '3/2', '5/4', '5/4', '7/2'] -> (3/2 + 7/2) / 1/5 - 5/4 / 5/4
[686816] ['1/5', '3/2', '5/4', '5/4', '8/3'] -> (3/2 + 5/4 / 1/5 + 5/4) * 8/3
[686817] ['1/5', '3/2', '5/4', '5/4', '8/5'] -> ((3/2 + 5/4) / 1/5 + 5/4) * 8/5
[686827] ['1/5', '3/2', '5/4', '5/6', '5/8'] -> (3/2 + 5/4 / 5/6) / 1/5 / 5/8
[686839] ['1/5', '3/2', '5/4', '5/6', '8/5'] -> (3/2 + 5/4 / 5/6) / 1/5 * 8/5
[686842] ['1/5', '3/2', '5/4', '5/6', '9/2'] -> (3/2 / 1/5 - 5/6) / 5/4 * 9/2
[686868] ['1/5', '3/2', '5/4', '5/8', '5/8'] -> 3/2 * 5/4 / 1/5 / 5/8 / 5/8
[686880] ['1/5', '3/2', '5/4', '5/8', '8/5'] -> 3/2 * 5/4 / 1/5 / 5/8 * 8/5
[686917] ['1/5', '3/2', '5/4', '6/5', '8/5'] -> (3/2 + 5/4 * 6/5) / 1/5 * 8/5
[686922] ['1/5', '3/2', '5/4', '6/5', '9/5'] -> 9/5 / 1/5 / (5/4 * (3/2 - 6/5))
[686927] ['1/5', '3/2', '5/4', '6/7', '7/3'] -> (3/2 / 5/4 + 6/7) / 1/5 * 7/3
[686934] ['1/5', '3/2', '5/4', '6/7', '8/5'] -> (5/4 + 3/2 / 6/7) / 1/5 * 8/5
[686942] ['1/5', '3/2', '5/4', '7/2', '7/2'] -> 5/4 + 3/2 * 7/2 / 1/5 - 7/2
[686944] ['1/5', '3/2', '5/4', '7/2', '7/4'] -> (5/4 + 7/2) / 1/5 - 3/2 + 7/4
[686947] ['1/5', '3/2', '5/4', '7/2', '7/8'] -> 3/2 * 7/2 / 1/5 / 5/4 / 7/8
[686951] ['1/5', '3/2', '5/4', '7/2', '8/7'] -> 3/2 * 7/2 / 1/5 / 5/4 * 8/7
[686954] ['1/5', '3/2', '5/4', '7/2', '9/4'] -> 5/4 + (3/2 + 7/2) / 1/5 - 9/4
[686955] ['1/5', '3/2', '5/4', '7/2', '9/5'] -> (7/2 - 5/4 / 3/2) / 1/5 * 9/5
[686978] ['1/5', '3/2', '5/4', '7/4', '8/3'] -> (3/2 + 7/4 / 1/5 - 5/4) * 8/3
[686982] ['1/5', '3/2', '5/4', '7/4', '9/2'] -> (5/4 / 1/5 + 7/4) / 3/2 * 9/2
[686984] ['1/5', '3/2', '5/4', '7/4', '9/5'] -> 9/5 / (1/5 + 7/4 - 3/2 * 5/4)
[687007] ['1/5', '3/2', '5/4', '7/6', '9/2'] -> (5/4 / 1/5 / 3/2 + 7/6) * 9/2
[687008] ['1/5', '3/2', '5/4', '7/6', '9/4'] -> (3/2 + 7/6) / 1/5 / 5/4 * 9/4
[687038] ['1/5', '3/2', '5/4', '8/3', '9/4'] -> (5/4 + 3/2 * 8/3) / 1/5 - 9/4
[687042] ['1/5', '3/2', '5/4', '8/5', '8/5'] -> 3/2 * 5/4 * 8/5 / 1/5 * 8/5
[687045] ['1/5', '3/2', '5/4', '8/5', '9/2'] -> 9/2 / (5/4 - (1/5 + 3/2) / 8/5)
[687046] ['1/5', '3/2', '5/4', '8/5', '9/4'] -> (3/2 + 5/4 + 8/5) / 1/5 + 9/4
[687054] ['1/5', '3/2', '5/4', '8/7', '9/5'] -> 9/5 / (3/2 - 1/5 / 8/7 - 5/4)
[687058] ['1/5', '3/2', '5/4', '8/9', '9/2'] -> 3/2 * 8/9 / 1/5 / 5/4 * 9/2
[687064] ['1/5', '3/2', '5/4', '9/2', '9/4'] -> 5/4 * (9/2 / 1/5 - 3/2) - 9/4
[687067] ['1/5', '3/2', '5/4', '9/2', '9/8'] -> 3/2 * 9/2 / 1/5 / 5/4 / 9/8
[687068] ['1/5', '3/2', '5/4', '9/4', '9/4'] -> 3/2 * (5/4 + 9/4) / 1/5 - 9/4
[687072] ['1/5', '3/2', '5/4', '9/5', '9/5'] -> 9/5 / (1/5 * 5/4 * (9/5 - 3/2))
[687074] ['1/5', '3/2', '5/4', '9/5', '9/8'] -> 3/2 * (5/4 + 9/5) / 1/5 + 9/8
[687075] ['1/5', '3/2', '5/4', '9/7', '9/7'] -> 9/7 / (1/5 * 5/4 * (3/2 - 9/7))
[687091] ['1/5', '3/2', '5/6', '5/6', '8/3'] -> 8/3 / 1/5 / ((3/2 - 5/6) * 5/6)
[687102] ['1/5', '3/2', '5/6', '5/7', '5/9'] -> (3/2 + 5/6 / 5/7) / 1/5 / 5/9
[687104] ['1/5', '3/2', '5/6', '5/7', '6/7'] -> 6/7 / (1/5 * 3/2 * (5/6 - 5/7))
[687113] ['1/5', '3/2', '5/6', '5/7', '8/5'] -> 8/5 / (1/5 * (3/2 - 5/6 / 5/7))
[687114] ['1/5', '3/2', '5/6', '5/7', '8/7'] -> 8/7 / (1/5 * (3/2 * 5/7 - 5/6))
[687118] ['1/5', '3/2', '5/6', '5/7', '9/5'] -> (3/2 + 5/6 / 5/7) / 1/5 * 9/5
[687122] ['1/5', '3/2', '5/6', '5/8', '5/9'] -> (3/2 / 1/5 + 5/6) / 5/8 / 5/9
[687125] ['1/5', '3/2', '5/6', '5/8', '7/2'] -> 7/2 / (1/5 * 5/6 * (3/2 - 5/8))
[687136] ['1/5', '3/2', '5/6', '5/8', '9/2'] -> (3/2 - 5/6) / 1/5 / 5/8 * 9/2
[687137] ['1/5', '3/2', '5/6', '5/8', '9/4'] -> (3/2 / 1/5 - 5/6) / 5/8 * 9/4
[687139] ['1/5', '3/2', '5/6', '5/8', '9/7'] -> 9/7 / (1/5 * 5/8 / (3/2 + 5/6))
[687149] ['1/5', '3/2', '5/6', '5/9', '7/8'] -> (3/2 + 5/6) / 1/5 / 5/9 / 7/8
[687153] ['1/5', '3/2', '5/6', '5/9', '8/7'] -> (3/2 + 5/6) / 1/5 / 5/9 * 8/7
[687154] ['1/5', '3/2', '5/6', '5/9', '8/9'] -> 3/2 / (5/6 - 5/9) / 1/5 * 8/9
[687159] ['1/5', '3/2', '5/6', '5/9', '9/8'] -> 3/2 / (5/6 - 5/9) / 1/5 / 9/8
[687173] ['1/5', '3/2', '5/6', '6/5', '9/2'] -> (5/6 + 6/5 / 1/5 - 3/2) * 9/2
[687195] ['1/5', '3/2', '5/6', '7/2', '7/2'] -> 3/2 * (5/6 + 7/2 / 1/5) - 7/2
[687206] ['1/5', '3/2', '5/6', '7/2', '9/2'] -> 7/2 / 1/5 / 5/6 - 3/2 + 9/2
[687207] ['1/5', '3/2', '5/6', '7/2', '9/4'] -> 7/2 / (3/2 - 5/6) / 1/5 - 9/4
[687208] ['1/5', '3/2', '5/6', '7/2', '9/5'] -> 5/6 * (7/2 / 1/5 - 3/2) * 9/5
[687211] ['1/5', '3/2', '5/6', '7/3', '7/3'] -> (5/6 + 3/2 * 7/3) / 1/5 + 7/3
[687215] ['1/5', '3/2', '5/6', '7/3', '7/8'] -> 3/2 * 7/3 / 1/5 / 5/6 / 7/8
[687219] ['1/5', '3/2', '5/6', '7/3', '8/7'] -> 3/2 * 7/3 / 1/5 / 5/6 * 8/7
[687222] ['1/5', '3/2', '5/6', '7/3', '9/4'] -> (3/2 / 1/5 + 5/6 + 7/3) * 9/4
[687223] ['1/5', '3/2', '5/6', '7/3', '9/5'] -> (3/2 * 7/3 - 5/6) / 1/5 * 9/5
[687231] ['1/5', '3/2', '5/6', '7/4', '8/3'] -> (7/4 / 1/5 / 5/6 - 3/2) * 8/3
[687246] ['1/5', '3/2', '5/6', '7/5', '8/7'] -> 8/7 / (1/5 * (3/2 / 7/5 - 5/6))
[687250] ['1/5', '3/2', '5/6', '7/5', '9/5'] -> (3/2 + 5/6 * 7/5) / 1/5 * 9/5
[687251] ['1/5', '3/2', '5/6', '7/5', '9/7'] -> 9/7 / (1/5 / (3/2 + 5/6 + 7/5))
[687256] ['1/5', '3/2', '5/6', '7/6', '8/3'] -> 8/3 / (5/6 * (3/2 - 1/5 - 7/6))
[687257] ['1/5', '3/2', '5/6', '7/6', '8/5'] -> 3/2 * (5/6 + 7/6) / 1/5 * 8/5
[687281] ['1/5', '3/2', '5/6', '7/9', '9/2'] -> (5/6 / 1/5 + 3/2 * 7/9) * 9/2
[687287] ['1/5', '3/2', '5/6', '8/3', '8/5'] -> 8/5 / (1/5 * (8/3 - 3/2 - 5/6))
[687292] ['1/5', '3/2', '5/6', '8/3', '9/5'] -> 3/2 / (5/6 / 8/3 - 1/5) * 9/5
[687295] ['1/5', '3/2', '5/6', '8/5', '8/5'] -> 8/5 / (1/5 * 5/6 + 3/2 - 8/5)
[687300] ['1/5', '3/2', '5/6', '8/5', '9/5'] -> (3/2 / 1/5 + 5/6) * 8/5 * 9/5
[687301] ['1/5', '3/2', '5/6', '8/5', '9/7'] -> 9/7 / (1/5 / (3/2 + 5/6) / 8/5)
[687303] ['1/5', '3/2', '5/6', '8/7', '8/7'] -> 8/7 / ((8/7 - 5/6) / 1/5 - 3/2)
[687307] ['1/5', '3/2', '5/6', '8/7', '9/5'] -> (3/2 + 5/6) * 8/7 / 1/5 * 9/5
[687317] ['1/5', '3/2', '5/6', '9/2', '9/4'] -> (3/2 + 5/6 * 9/2) / 1/5 - 9/4
[687321] ['1/5', '3/2', '5/6', '9/4', '9/4'] -> (3/2 + 5/6) * 9/4 / 1/5 - 9/4
[687336] ['1/5', '3/2', '5/7', '5/7', '7/2'] -> (3/2 + 7/2) / 1/5 - 5/7 / 5/7
[687345] ['1/5', '3/2', '5/7', '5/7', '8/7'] -> 8/7 / 1/5 / (5/7 - 5/7 / 3/2)
[687356] ['1/5', '3/2', '5/7', '5/8', '7/2'] -> 3/2 / (5/7 - 5/8) / 1/5 / 7/2
[687384] ['1/5', '3/2', '5/7', '5/9', '8/7'] -> 8/7 / (1/5 * 3/2 * (5/7 - 5/9))
[687404] ['1/5', '3/2', '5/7', '6/5', '9/2'] -> 9/2 / (3/2 - 6/5 / (1/5 + 5/7))
[687417] ['1/5', '3/2', '5/7', '6/7', '8/3'] -> 3/2 * 6/7 / 1/5 / 5/7 * 8/3
[687422] ['1/5', '3/2', '5/7', '6/7', '9/4'] -> 3/2 / (1/5 + 5/7 - 6/7) - 9/4
[687427] ['1/5', '3/2', '5/7', '7/2', '7/3'] -> (3/2 / 1/5 + 7/2 - 5/7) * 7/3
[687430] ['1/5', '3/2', '5/7', '7/2', '7/6'] -> (3/2 / 5/7 + 7/2) / 1/5 / 7/6
[687431] ['1/5', '3/2', '5/7', '7/2', '7/8'] -> 3/2 / (5/7 / 1/5 - 7/2) / 7/8
[687487] ['1/5', '3/2', '5/7', '7/6', '8/3'] -> 3/2 / 1/5 / 5/7 / 7/6 * 8/3
[687488] ['1/5', '3/2', '5/7', '7/6', '8/5'] -> 8/5 / (1/5 + 3/2 - 7/6 / 5/7)
[687494] ['1/5', '3/2', '5/7', '7/6', '9/7'] -> 9/7 / (1/5 * 5/7 / (3/2 + 7/6))
[687502] ['1/5', '3/2', '5/7', '7/8', '9/2'] -> 9/2 / (1/5 * 3/2 * 5/7 * 7/8)
[687504] ['1/5', '3/2', '5/7', '7/8', '9/5'] -> 9/5 / (3/2 - 7/8 / 5/7 - 1/5)
[687505] ['1/5', '3/2', '5/7', '7/8', '9/7'] -> 9/7 / ((3/2 - 1/5) * 5/7 - 7/8)
[687536] ['1/5', '3/2', '5/7', '8/7', '9/2'] -> 8/7 / 1/5 / 3/2 / 5/7 * 9/2
[687566] ['1/5', '3/2', '5/8', '5/8', '7/2'] -> (3/2 + 7/2) / 1/5 - 5/8 / 5/8
[687579] ['1/5', '3/2', '5/8', '5/8', '9/5'] -> 9/5 / (5/8 - (1/5 + 5/8) / 3/2)
[687596] ['1/5', '3/2', '5/8', '5/9', '9/2'] -> 3/2 / (5/8 - 5/9) / 1/5 / 9/2
[687598] ['1/5', '3/2', '5/8', '5/9', '9/5'] -> 9/5 / (1/5 * (3/2 - 5/8 / 5/9))
[687603] ['1/5', '3/2', '5/8', '6/5', '7/2'] -> 6/5 / (3/2 - 5/8) / 1/5 * 7/2
[687621] ['1/5', '3/2', '5/8', '6/7', '7/3'] -> 3/2 * 6/7 / 1/5 / 5/8 * 7/3
[687638] ['1/5', '3/2', '5/8', '7/2', '7/4'] -> 3/2 * 7/2 / 1/5 / 5/8 / 7/4
[687649] ['1/5', '3/2', '5/8', '7/2', '9/5'] -> 9/5 / (1/5 - 5/8 / (3/2 + 7/2))
[687650] ['1/5', '3/2', '5/8', '7/2', '9/7'] -> 9/7 / (1/5 * 3/2 * 5/8 / 7/2)
[687655] ['1/5', '3/2', '5/8', '7/3', '7/6'] -> 3/2 * 7/3 / 1/5 / 5/8 / 7/6
[687670] ['1/5', '3/2', '5/8', '7/4', '7/8'] -> 3/2 * 7/4 / 1/5 / 5/8 / 7/8
[687673] ['1/5', '3/2', '5/8', '7/4', '8/5'] -> 8/5 / (5/8 / 3/2 - 1/5 * 7/4)
[687674] ['1/5', '3/2', '5/8', '7/4', '8/7'] -> 3/2 * 7/4 / 1/5 / 5/8 * 8/7
[687678] ['1/5', '3/2', '5/8', '7/4', '9/5'] -> 9/5 / (1/5 * (3/2 + 5/8 - 7/4))
