[26596] ['7/6', '6/5', '8/3', '8/3', '4'] -> ((8/3 + 8/3) * (7/6 + (4 / 6/5)))
[28008] ['3/8', '3/8', '4/7', '3/4', '4'] -> (((3/4 / 3/8) + (4 / 4/7)) / 3/8)
[28009] ['3/8', '4/9', '2/3', '5/6', '3'] -> ((2/3 * 5/6) * (3 / (4/9 - 3/8)))
[28010] ['1/6', '1/2', '7/9', '7/5', '5'] -> (5 * ((1/2 / 1/6) + (7/5 / 7/9)))
[28011] ['4/9', '5/9', '7/8', '9/8', '4'] -> (4 / (4/9 - (5/9 / (7/8 + 9/8))))
[28012] ['7/6', '9/4', '9/4', '7/2', '4'] -> (4 / ((7/6 - 9/4) - (9/4 - 7/2)))
[28013] ['1/7', '1/2', '5/9', '7/6', '9'] -> ((9 * ((5/9 / 1/7) - 7/6)) - 1/2)
[28014] ['1/6', '3/8', '5/8', '8/9', '6'] -> (((6 - 1/6) / (3/8 * 5/8)) - 8/9)
[28015] ['1/8', '4/9', '7/9', '7/9', '5'] -> ((5 - (7/9 + (4/9 + 7/9))) / 1/8)
[28016] ['1/2', '7/9', '1', '9/4', '7/3'] -> ((7/3 / 7/9) / ((1/2 * 9/4) - 1))
[28017] ['1/4', '5/8', '5/4', '2', '9/4'] -> ((9/4 + (2 * (5/8 + 5/4))) / 1/4)
[28018] ['7/8', '6/5', '8/5', '7/3', '6'] -> (6 * ((8/5 / 6/5) + (7/3 / 7/8)))
[28019] ['1/6', '1/2', '7/9', '9/5', '5'] -> (((5 / 9/5) - 7/9) / (1/6 * 1/2))
[28020] ['1/6', '3/8', '5/8', '8/7', '6'] -> (((5/8 / 1/6) + (6 / 8/7)) / 3/8)
[28021] ['3/8', '4/9', '2/3', '6/5', '3'] -> ((2/3 / 6/5) * (3 / (4/9 - 3/8)))
[28022] ['7/6', '9/4', '8/3', '7/2', '4'] -> (((7/6 + 7/2) * (9/4 * 8/3)) - 4)
[28023] ['1/7', '1/2', '5/9', '9/7', '9'] -> (1/7 + (9/7 * (5/9 + (9 / 1/2))))
[28024] ['1/4', '5/8', '9/7', '9/7', '2'] -> (9/7 / (5/8 - (9/7 / (1/4 + 2))))
[28025] ['3/8', '3/8', '4/7', '8/9', '4'] -> ((4 / (3/8 - (3/8 * 4/7))) - 8/9)
[28026] ['2/7', '2/3', '9/8', '8/5', '8'] -> (8 / ((2/3 / (2/7 * 8/5)) - 9/8))
[28027] ['7/8', '6/5', '8/5', '8/3', '6'] -> (6 / ((6/5 / (8/3 - 8/5)) - 7/8))
[28028] ['1/2', '7/9', '1', '9/4', '9/2'] -> ((9/4 + 9/2) / (1/2 / (7/9 + 1)))
[28029] ['7/6', '9/4', '7/2', '7/2', '4'] -> (((4 * (9/4 * 7/2)) - 7/2) / 7/6)
[28030] ['1/4', '5/8', '9/7', '4/3', '2'] -> (4/3 / (2 - (5/8 / (1/4 * 9/7))))
[28031] ['1/9', '1/7', '9/4', '7/3', '3'] -> (9/4 * ((3 / 1/9) - (7/3 / 1/7)))
[28032] ['7/4', '9/5', '5/2', '5/2', '3'] -> (3 / ((9/5 * 5/2) - (7/4 * 5/2)))
[28033] ['7/6', '7/3', '7/3', '5/2', '4'] -> (4 * ((7/3 + 5/2) - (7/6 - 7/3)))
[28034] ['2/7', '2/3', '9/8', '5/3', '8'] -> (((2/3 - 5/3) + (8 / 2/7)) / 9/8)
[28035] ['1/2', '7/9', '1', '7/3', '7/3'] -> (((7/3 * 7/3) / (1 - 7/9)) - 1/2)
[28036] ['1/4', '5/8', '9/7', '7/5', '2'] -> (9/7 / ((1/4 * 2) - (5/8 / 7/5)))
[28037] ['7/4', '9/5', '5/2', '8/3', '3'] -> (3 + ((7/4 * 9/5) * (5/2 * 8/3)))
[28038] ['1/8', '4/9', '7/9', '7/6', '5'] -> (((5 - (7/9 + 7/6)) / 1/8) - 4/9)
[28039] ['2/9', '2/3', '2/3', '7/5', '5'] -> ((2/3 + (5 * (2/3 * 7/5))) / 2/9)
[28040] ['7/8', '6/5', '5/3', '7/3', '6'] -> ((6 / 6/5) / ((7/8 + 5/3) - 7/3))
[28041] ['7/6', '5/2', '5/2', '5/2', '4'] -> ((5/2 * 4) / ((7/6 * 5/2) - 5/2))
[28042] ['1/7', '1/2', '5/9', '5/3', '9'] -> (((5/3 / (1/7 * 5/9)) - 9) / 1/2)
[28043] ['1/8', '4/9', '7/9', '6/5', '5'] -> (((5 * (6/5 - 4/9)) - 7/9) / 1/8)
[28044] ['3/8', '4/9', '5/7', '5/7', '3'] -> ((3 + (5/7 / 5/7)) / (3/8 * 4/9))
[28045] ['2/9', '2/3', '2/3', '7/4', '5'] -> (2/3 / ((2/9 * 5) + (2/3 - 7/4)))
[28046] ['1/9', '1/7', '7/3', '5/2', '3'] -> ((3 - 1/7) / (5/2 * (1/9 / 7/3)))
[28047] ['7/8', '6/5', '5/3', '5/2', '6'] -> (6 / (6/5 * (7/8 - (5/3 / 5/2))))
[28048] ['1/4', '5/8', '9/7', '5/3', '2'] -> ((2 + (5/3 / 5/8)) / (1/4 / 9/7))
[28049] ['7/6', '5/2', '8/3', '8/3', '4'] -> (8/3 * ((4 * (7/6 * 5/2)) - 8/3))
[28050] ['1/6', '3/8', '2/3', '6/7', '6'] -> (3/8 + (6 / (1/6 * (2/3 + 6/7))))
[28051] ['2/9', '2/3', '2/3', '9/5', '5'] -> (((5 * (2/3 * 9/5)) - 2/3) / 2/9)
[28052] ['1/2', '7/9', '1', '5/2', '9/2'] -> ((7/9 + 1) * (9/2 * (1/2 + 5/2)))
[28053] ['7/8', '6/5', '5/3', '8/3', '6'] -> (6/5 * (5/3 + (8/3 * (7/8 + 6))))
[28054] ['4/9', '5/9', '7/8', '8/3', '4'] -> ((8/3 + (4 / 4/9)) / (5/9 * 7/8))
[28055] ['1/8', '4/9', '7/9', '5/4', '5'] -> (((5 + (7/9 / 1/8)) / 4/9) - 5/4)
[28056] ['1/9', '1/7', '7/3', '3', '9/2'] -> (9/2 * ((7/3 / (1/7 * 3)) - 1/9))
[28057] ['1/7', '1/2', '5/9', '9/5', '9'] -> ((9 + (9/5 / 1/7)) / (1/2 / 5/9))
[28058] ['7/6', '8/3', '8/3', '8/3', '4'] -> ((8/3 * 4) / ((7/6 * 8/3) - 8/3))
[28059] ['1/4', '5/8', '9/7', '7/4', '2'] -> ((9/7 * 2) / ((5/8 / 7/4) - 1/4))
[28060] ['2/7', '2/3', '9/8', '5/2', '8'] -> (((8 + (5/2 / 2/7)) / 2/3) - 9/8)
[28061] ['3/8', '4/9', '5/7', '7/9', '3'] -> ((5/7 * 7/9) * (3 / (4/9 - 3/8)))
[28062] ['7/4', '9/5', '3', '9/2', '9/2'] -> (3 / (9/2 - (9/2 * (7/4 / 9/5))))
[28063] ['1/8', '4/9', '7/9', '9/7', '5'] -> (9/7 / ((1/8 * 5) - (4/9 / 7/9)))
[28064] ['2/9', '2/3', '2/3', '5/2', '5'] -> ((5/2 - (2/3 / 2/3)) + (5 / 2/9))
[28065] ['3/8', '3/8', '4/7', '3/2', '4'] -> (((3/2 / 4/7) - 3/8) / (3/8 / 4))
[28066] ['2/7', '2/3', '9/8', '7/2', '8'] -> ((2/7 + 8) / (2/3 - (9/8 / 7/2)))
[28067] ['1/9', '1/7', '5/2', '5/2', '3'] -> (((5/2 + 5/2) / 1/9) - (3 / 1/7))
[28068] ['6/5', '6/5', '6/5', '6/5', '4'] -> ((6/5 * 4) / (6/5 - (6/5 / 6/5)))
[28069] ['1/2', '7/9', '1', '7/2', '9/2'] -> ((7/2 - 1/2) * (9/2 * (7/9 + 1)))
[28070] ['6/5', '6/5', '6/5', '9/7', '4'] -> (((6/5 + 6/5) / (9/7 - 6/5)) - 4)
[28071] ['1/9', '1/7', '5/2', '8/3', '3'] -> (3 * ((8/3 / (1/9 + 1/7)) - 5/2))
[28072] ['1/4', '5/8', '9/7', '2', '7/3'] -> ((9/7 * 7/3) / (5/8 - (1/4 * 2)))
[28073] ['1/6', '9/7', '7/5', '7/2', '4'] -> ((7/2 - 1/6) * (4 * (9/7 * 7/5)))
[28074] ['1/8', '4/9', '7/9', '3/2', '5'] -> (((4/9 - 7/9) + (5 / 3/2)) / 1/8)
[28075] ['2/7', '2/3', '8/7', '8/5', '8'] -> (8 / ((2/7 - 2/3) + (8/7 / 8/5)))
[28076] ['1/2', '7/9', '1', '9/2', '9/2'] -> ((7/9 + 1) * (9/2 + (9/2 / 1/2)))
[28077] ['6/5', '6/5', '6/5', '4/3', '4'] -> (((4 / (4/3 - 6/5)) - 6/5) / 6/5)
[28078] ['4/9', '5/9', '8/9', '9/7', '4'] -> (4 / (5/9 - ((4/9 / 8/9) / 9/7)))
[28079] ['6/5', '6/5', '6/5', '7/5', '4'] -> (4 / ((7/5 / 6/5) - (6/5 / 6/5)))
[28080] ['7/4', '9/4', '5/2', '5/2', '3'] -> (((7/4 * 3) * (5/2 + 5/2)) - 9/4)
[28081] ['1/2', '4/5', '4/5', '5/6', '1'] -> (1 / ((4/5 * 5/6) - (1/2 / 4/5)))
[28082] ['6/5', '6/5', '6/5', '8/5', '4'] -> ((4 * (6/5 + 6/5)) / (8/5 - 6/5))
[28083] ['1/9', '1/6', '1/6', '1/6', '3'] -> (((1/6 / 1/9) - 1/6) / (1/6 / 3))
[28084] ['2/7', '2/3', '7/6', '6/5', '8'] -> (8 / ((2/3 / 7/6) - (2/7 / 6/5)))
[28085] ['1/2', '4/5', '4/5', '6/7', '1'] -> ((4/5 / 1/2) / (1 - (4/5 / 6/7)))
[28086] ['7/4', '7/3', '7/3', '7/3', '3'] -> ((7/3 + 7/3) * (3 / (7/3 - 7/4)))
[28087] ['6/5', '6/5', '6/5', '5/3', '4'] -> ((6/5 + (6/5 + 6/5)) * (5/3 * 4))
[28088] ['7/4', '7/3', '7/3', '5/2', '3'] -> ((3 / (7/4 / 7/3)) / (5/2 - 7/3))
[28089] ['2/9', '2/3', '5/7', '7/8', '5'] -> ((5 / (2/9 / 2/3)) / (5/7 * 7/8))
[28090] ['1/9', '1/6', '1/6', '3/7', '3'] -> (3 + ((1/6 / 3/7) / (1/9 * 1/6)))
[28091] ['2/7', '2/3', '7/6', '7/5', '8'] -> (2/3 + (8 / (7/5 * (2/7 / 7/6))))
[28092] ['1/6', '9/7', '3/2', '9/4', '4'] -> (3/2 + (9/7 * (4 + (9/4 / 1/6))))
[28093] ['1/7', '1/2', '4/7', '6/5', '9'] -> ((9 / (1/2 * (1/7 + 4/7))) - 6/5)
[28094] ['3/8', '4/9', '5/7', '7/6', '3'] -> (3 / (3/8 * (5/7 - (4/9 / 7/6))))
[28095] ['4/9', '5/9', '8/9', '9/5', '4'] -> ((9/5 * (4/9 + 4)) / (8/9 - 5/9))
[28096] ['7/4', '7/3', '7/3', '3', '9/2'] -> ((7/3 + (7/3 * 3)) / (7/4 / 9/2))
[28097] ['3/8', '3/8', '3/5', '3/5', '4'] -> (3/5 / ((3/5 / (3/8 * 4)) - 3/8))
[28098] ['1/4', '5/8', '4/3', '2', '7/3'] -> ((2 + (7/3 / 4/3)) / (1/4 * 5/8))
[28099] ['1/6', '3/8', '5/7', '7/8', '6'] -> ((6 + (5/7 / 1/6)) / (3/8 / 7/8))
[28100] ['3/8', '4/9', '5/7', '6/5', '3'] -> ((3 / (5/7 * (3/8 * 4/9))) - 6/5)
[28101] ['1/8', '4/9', '4/5', '5/6', '5'] -> (((4/5 * 5) + (5/6 / 1/8)) / 4/9)
[28102] ['1/2', '4/5', '4/5', '1', '5/4'] -> (4/5 / ((5/4 / (1/2 + 1)) - 4/5))
[28103] ['6/5', '6/5', '6/5', '5/2', '4'] -> (6/5 / (((4 - 5/2) / 6/5) - 6/5))
[28104] ['7/4', '7/3', '8/3', '8/3', '3'] -> (3 / (((7/3 + 8/3) / 8/3) - 7/4))
[28105] ['1/9', '1/6', '1/6', '5/8', '3'] -> (3 / ((1/6 + 5/8) - (1/9 / 1/6)))
[28106] ['1/4', '5/8', '7/5', '3/2', '2'] -> ((2 + (1/4 / 5/8)) / (3/2 - 7/5))
[28107] ['1/6', '1/2', '6/7', '5/4', '5'] -> ((((5 - 1/2) / 6/7) - 5/4) / 1/6)
[28108] ['1/7', '1/2', '4/7', '9/5', '9'] -> (4/7 / ((1/7 / 9/5) - (1/2 / 9)))
[28109] ['2/9', '2/3', '5/7', '6/5', '5'] -> ((5/7 + 5) * (6/5 + (2/3 / 2/9)))
[28110] ['7/4', '5/2', '5/2', '5/2', '3'] -> ((5/2 * 3) * (5/2 + (7/4 / 5/2)))
[28111] ['1/6', '3/8', '5/7', '8/7', '6'] -> ((6 + (5/7 / 1/6)) / (3/8 * 8/7))
[28112] ['3/8', '4/9', '5/7', '7/5', '3'] -> ((3 + (5/7 * 7/5)) / (3/8 * 4/9))
[28113] ['6/5', '6/5', '5/4', '9/7', '4'] -> (((6/5 / 6/5) / (9/7 - 5/4)) - 4)
[28114] ['1/8', '4/9', '4/5', '9/8', '5'] -> (5 * (4/5 + (9/8 / (1/8 / 4/9))))
[28115] ['7/8', '6/5', '7/3', '7/3', '6'] -> ((7/3 + (7/3 / 7/8)) * (6 - 6/5))
[28116] ['4/9', '5/9', '9/8', '6/5', '4'] -> (4 / ((5/9 * 6/5) - (4/9 * 9/8)))
[28117] ['1/9', '1/6', '1/6', '6/7', '3'] -> (6/7 * ((1/6 / 1/6) + (3 / 1/9)))
[28118] ['1/7', '1/2', '4/7', '7/3', '9'] -> (7/3 * ((1/7 + 9) + (4/7 / 1/2)))
[28119] ['1/6', '1/2', '6/7', '7/5', '5'] -> (((1/2 * 6/7) + (5 / 7/5)) / 1/6)
[28120] ['1/2', '4/5', '4/5', '1', '7/4'] -> ((4/5 + 1) / ((1/2 * 7/4) - 4/5))
[28121] ['6/5', '6/5', '5/4', '4/3', '4'] -> (4 / (6/5 * (5/4 - (4/3 / 6/5))))
[28122] ['1/4', '5/8', '7/5', '9/5', '2'] -> (9/5 / ((2 * (1/4 * 7/5)) - 5/8))
[28123] ['2/7', '2/3', '6/5', '7/5', '8'] -> (8 / (2/3 - (7/5 * (2/7 / 6/5))))
[28124] ['1/9', '1/6', '1/6', '7/8', '3'] -> (3 / ((1/9 * 7/8) + (1/6 * 1/6)))
[28125] ['7/8', '6/5', '7/3', '5/2', '6'] -> ((6 + (6/5 * 5/2)) / (7/8 / 7/3))
[28126] ['4/9', '5/9', '9/8', '9/7', '4'] -> (4 / (5/9 - ((4/9 * 9/8) / 9/7)))
[28127] ['1/2', '4/5', '4/5', '1', '9/5'] -> (4/5 / (((1/2 + 1) / 9/5) - 4/5))
[28128] ['3/8', '3/8', '3/5', '5/6', '4'] -> (4 / ((3/8 / 3/5) + (3/8 - 5/6)))
[28129] ['1/4', '5/8', '7/5', '2', '9/4'] -> ((9/4 / (1/4 * 5/8)) / (2 - 7/5))
[28130] ['1/7', '1/2', '3/5', '3/5', '9'] -> ((9 / (1/2 - 1/7)) - (3/5 + 3/5))
[28131] ['1/9', '1/6', '1/6', '8/7', '3'] -> (3 / ((1/9 / 8/7) + (1/6 * 1/6)))
[28132] ['6/5', '6/5', '5/4', '7/4', '4'] -> ((6/5 * 4) / ((7/4 / 5/4) - 6/5))
[28133] ['7/4', '8/3', '8/3', '3', '9/2'] -> (8/3 * ((7/4 * 9/2) + (3 / 8/3)))
[28134] ['2/9', '2/3', '5/7', '3/2', '5'] -> ((2/3 + (5 / (5/7 * 3/2))) / 2/9)
[28135] ['1/8', '4/9', '4/5', '6/5', '5'] -> (((4/5 / 4/9) - 6/5) / (1/8 / 5))
[28136] ['7/8', '6/5', '7/3', '9/2', '6'] -> (7/3 * (6 + (9/2 / (7/8 * 6/5))))
[28137] ['3/8', '4/9', '5/7', '7/4', '3'] -> ((7/4 / (3/8 * 4/9)) * (3 - 5/7))
[28138] ['6/5', '6/5', '5/4', '9/5', '4'] -> ((9/5 * 4) / ((6/5 * 5/4) - 6/5))
[28139] ['1/9', '1/6', '1/6', '6/5', '3'] -> (((1/6 / 1/9) + (3 / 6/5)) / 1/6)
[28140] ['1/6', '9/7', '8/5', '7/2', '4'] -> ((9/7 * (8/5 + 4)) * (7/2 - 1/6))
[28141] ['1/7', '1/2', '3/5', '2/3', '9'] -> (2/3 + (9 / (3/5 * (1/7 + 1/2))))
[28142] ['3/8', '3/8', '3/5', '7/8', '4'] -> (((7/8 / 3/8) + (4 / 3/5)) / 3/8)
[28143] ['7/8', '6/5', '5/2', '5/2', '6'] -> ((5/2 + (5/2 * 6)) / (7/8 / 6/5))
[28144] ['1/2', '4/5', '4/5', '1', '5/2'] -> (4/5 / ((4/5 / (5/2 - 1)) - 1/2))
[28145] ['1/8', '4/9', '4/5', '5/4', '5'] -> ((4/9 * 5) * (4/5 + (5/4 / 1/8)))
[28146] ['1/6', '9/7', '8/5', '4', '9/2'] -> ((8/5 + 4) * (9/2 - (1/6 * 9/7)))
[28147] ['4/9', '5/9', '9/8', '9/5', '4'] -> ((4 / (4/9 * 5/9)) / (9/5 - 9/8))
[28148] ['6/5', '6/5', '9/7', '9/7', '4'] -> ((6/5 * 4) / (6/5 - (9/7 / 9/7)))
[28149] ['1/4', '5/8', '7/5', '2', '7/2'] -> ((2 + (7/2 / (5/8 * 7/5))) / 1/4)
[28150] ['1/6', '1/2', '6/7', '9/2', '5'] -> ((9/2 - 1/2) * (1/6 + (5 / 6/7)))
[28151] ['2/9', '2/3', '5/7', '9/5', '5'] -> ((5 + (2/3 + 9/5)) / (2/9 / 5/7))
[28152] ['4/9', '5/9', '9/8', '9/4', '4'] -> (4 / (4/9 - ((5/9 * 9/8) / 9/4)))
[28153] ['1/8', '4/9', '4/5', '4/3', '5'] -> (4/3 / ((5 * (1/8 * 4/5)) - 4/9))
[28154] ['1/6', '3/8', '5/7', '7/4', '6'] -> ((5/7 + 6) / (3/8 - (1/6 / 7/4)))
[28155] ['1/4', '5/8', '7/5', '2', '9/2'] -> (9/2 / (((5/8 * 7/5) / 2) - 1/4))
[28156] ['1/9', '1/6', '1/6', '9/5', '3'] -> (((1/6 / 1/6) + (3 / 9/5)) / 1/9)
[28157] ['1/7', '1/2', '3/5', '4/5', '9'] -> (4/5 / (1/2 - (3/5 / (1/7 * 9))))
[28158] ['6/5', '6/5', '9/7', '8/5', '4'] -> ((8/5 * 4) / (6/5 - (6/5 / 9/7)))
[28159] ['1/8', '4/9', '4/5', '7/5', '5'] -> ((5 + (7/5 / 4/5)) / (1/8 / 4/9))
[28160] ['4/9', '5/9', '9/8', '7/3', '4'] -> (7/3 / ((4/9 * 4) - (5/9 + 9/8)))
[28161] ['2/9', '2/3', '5/7', '7/3', '5'] -> (((2/3 - 7/3) + (5 / 5/7)) / 2/9)
[28162] ['1/2', '4/5', '5/6', '7/8', '1'] -> ((1/2 + 1) / (5/6 * (7/8 - 4/5)))
[28163] ['3/8', '3/8', '3/5', '7/6', '4'] -> (4 / (7/6 - (3/8 + (3/8 / 3/5))))
[28164] ['1/6', '9/7', '5/3', '7/3', '4'] -> (((5/3 + (9/7 * 7/3)) / 1/6) - 4)
[28165] ['1/4', '5/8', '3/2', '9/5', '2'] -> (((3/2 / 5/8) + (9/5 * 2)) / 1/4)
[28166] ['7/8', '5/4', '5/4', '5/4', '6'] -> (6 * (7/8 + (5/4 * (5/4 + 5/4))))
[28167] ['2/9', '2/3', '5/7', '5/2', '5'] -> (((5 / 5/7) - (2/3 * 5/2)) / 2/9)
[28168] ['1/7', '1/2', '3/5', '7/8', '9'] -> (9 / (3/5 * (1/2 + (1/7 * 7/8))))
[28169] ['1/9', '1/6', '1/5', '1/4', '3'] -> ((3 / (1/9 + 1/6)) / (1/5 + 1/4))
[28170] ['3/8', '3/8', '3/5', '6/5', '4'] -> (4 / (3/8 - (3/8 / (3/5 + 6/5))))
[28171] ['2/7', '2/3', '5/4', '3/2', '8'] -> (2/3 + (8 / (3/2 * (2/7 / 5/4))))
[28172] ['4/9', '5/9', '8/7', '8/7', '4'] -> ((8/7 * 4) / ((5/9 * 8/7) - 4/9))
[28173] ['1/8', '4/9', '4/5', '8/5', '5'] -> (((5 - (4/5 / 4/9)) / 1/8) - 8/5)
[28174] ['6/5', '6/5', '9/7', '9/5', '4'] -> ((6/5 * 4) / ((9/5 / 9/7) - 6/5))
[28175] ['7/8', '5/4', '5/4', '9/7', '6'] -> (6 / (7/8 * (9/7 - (5/4 / 5/4))))
[28176] ['3/8', '4/9', '3/4', '4/5', '3'] -> (3 / (4/9 * (3/4 - (3/8 / 4/5))))
[28177] ['9/5', '9/5', '9/4', '9/4', '3'] -> ((9/4 * (9/5 + 3)) / (9/4 - 9/5))
[28178] ['2/7', '2/3', '5/4', '9/5', '8'] -> (5/4 * ((8 / (2/3 - 2/7)) - 9/5))
[28179] ['1/4', '5/8', '8/5', '8/5', '2'] -> ((8/5 / ((5/8 / 2) - 1/4)) - 8/5)
[28180] ['1/7', '1/2', '3/5', '8/7', '9'] -> (9 / (3/5 * (1/2 + (1/7 / 8/7))))
[28181] ['6/5', '6/5', '9/7', '7/3', '4'] -> ((4 * (6/5 / 7/3)) / (9/7 - 6/5))
[28182] ['7/8', '5/4', '5/4', '5/3', '6'] -> (5/4 + (6 * (5/3 + (7/8 + 5/4))))
[28183] ['2/9', '2/3', '3/4', '7/9', '5'] -> (2/3 + ((7/9 * 5) / (2/9 * 3/4)))
[28184] ['9/5', '9/5', '9/4', '3', '7/2'] -> ((7/2 / (9/5 - (3 / 9/5))) - 9/4)
[28185] ['1/6', '3/8', '3/4', '6/7', '6'] -> ((6 + (3/4 / 1/6)) / (3/8 / 6/7))
[28186] ['3/8', '3/8', '3/5', '7/5', '4'] -> (((7/5 / 3/8) + (4 / 3/8)) / 3/5)
[28187] ['7/8', '5/4', '5/4', '9/5', '6'] -> ((5/4 + (5/4 * 9/5)) / (7/8 / 6))
[28188] ['6/5', '6/5', '9/7', '8/3', '4'] -> ((6/5 / (4 - (9/7 + 8/3))) - 6/5)
[28189] ['1/7', '1/2', '3/5', '6/5', '9'] -> (((3/5 / 1/7) - (6/5 - 9)) / 1/2)
[28190] ['3/8', '4/9', '3/4', '8/7', '3'] -> ((3 / 4/9) / ((3/4 / 8/7) - 3/8))
[28191] ['9/5', '9/5', '9/4', '3', '9/2'] -> ((9/5 + 3) / ((9/2 / 9/4) - 9/5))
[28192] ['1/9', '1/6', '1/5', '4/7', '3'] -> ((1/9 + (3 / (1/5 + 4/7))) / 1/6)
[28193] ['1/8', '4/9', '4/5', '5/2', '5'] -> ((5 * ((5/2 / 4/9) - 4/5)) - 1/8)
[28194] ['1/4', '5/8', '8/5', '2', '7/3'] -> (8/5 / ((1/4 / 5/8) + (2 - 7/3)))
[28195] ['9/5', '9/5', '7/3', '7/3', '3'] -> (3 * ((7/3 * (9/5 * 7/3)) - 9/5))
[28196] ['7/8', '5/4', '5/4', '7/3', '6'] -> (5/4 + (6 * (7/8 + (5/4 * 7/3))))
[28197] ['1/2', '4/5', '5/6', '1', '9/4'] -> (4/5 / ((1 / (5/6 * 9/4)) - 1/2))
[28198] ['2/7', '2/3', '5/4', '9/2', '8'] -> (9/2 + (2/3 * (5/4 + (8 / 2/7))))
[28199] ['6/5', '6/5', '9/7', '7/2', '4'] -> (6/5 + (4 * (6/5 + (9/7 * 7/2))))
[28200] ['3/8', '4/9', '3/4', '6/5', '3'] -> ((3/4 + (3 / 4/9)) / (3/8 / 6/5))
[28201] ['1/6', '9/7', '7/4', '4', '9/2'] -> (((4 - 9/7) / (1/6 / 7/4)) - 9/2)
[28202] ['2/7', '2/3', '9/7', '9/7', '8'] -> (8 * ((2/7 / 2/3) + (9/7 + 9/7)))
[28203] ['1/6', '3/8', '3/4', '9/7', '6'] -> (((6 / (3/4 - 1/6)) - 9/7) / 3/8)
[28204] ['1/2', '4/5', '5/6', '1', '7/3'] -> (4/5 / ((1 / 5/6) - (1/2 * 7/3)))
[28205] ['7/8', '5/4', '5/4', '9/2', '6'] -> ((9/2 - (5/4 / 5/4)) / (7/8 / 6))
[28206] ['3/8', '3/8', '3/5', '7/4', '4'] -> (3/5 / ((7/4 / (3/8 + 4)) - 3/8))
[28207] ['4/9', '5/9', '8/7', '7/4', '4'] -> (4 / (4/9 - ((5/9 / 8/7) / 7/4)))
[28208] ['2/9', '2/3', '3/4', '6/5', '5'] -> ((5 / (2/9 / 2/3)) / (3/4 / 6/5))
[28209] ['1/6', '1/2', '8/9', '7/5', '5'] -> ((7/5 - 1/2) * (5 / (1/6 / 8/9)))
[28210] ['9/5', '9/5', '8/3', '3', '7/2'] -> (9/5 + (9/5 * (3 + (8/3 * 7/2))))
[28211] ['3/8', '3/8', '3/5', '9/5', '4'] -> (4 / (((3/8 + 3/5) / 9/5) - 3/8))
[28212] ['1/8', '4/9', '5/6', '6/7', '5'] -> (5 / ((6/7 * (5/6 - 4/9)) - 1/8))
[28213] ['1/4', '5/8', '5/3', '9/5', '2'] -> ((5/3 * 9/5) / (5/8 - (1/4 * 2)))
[28214] ['1/2', '4/5', '5/6', '1', '7/2'] -> ((1/2 + 7/2) / (5/6 * (1 - 4/5)))
[28215] ['6/5', '6/5', '4/3', '7/4', '4'] -> (6/5 / ((4 / 4/3) - (6/5 + 7/4)))
[28216] ['2/7', '2/3', '9/7', '8/5', '8'] -> (((9/7 * 8) - 2/7) / (2/3 / 8/5))
[28217] ['2/9', '2/3', '3/4', '9/7', '5'] -> (2/3 + (5 / (9/7 * (2/9 * 3/4))))
[28218] ['1/6', '1/2', '8/9', '8/5', '5'] -> (5 * ((1/2 / 1/6) + (8/5 / 8/9)))
[28219] ['6/5', '6/5', '4/3', '5/2', '4'] -> (4 / (5/2 - (4/3 + (6/5 / 6/5))))
[28220] ['2/7', '2/3', '9/7', '5/3', '8'] -> ((8 * (9/7 + 5/3)) - (2/7 - 2/3))
[28221] ['1/2', '4/5', '6/7', '6/7', '1'] -> ((6/7 / 1/2) / ((6/7 / 4/5) - 1))
[28222] ['1/7', '1/2', '3/5', '7/4', '9'] -> ((9 / (1/2 - 1/7)) / (3/5 * 7/4))
[28223] ['2/9', '2/3', '3/4', '7/5', '5'] -> ((3/4 + (2/3 / 2/9)) * (7/5 + 5))
[28224] ['1/4', '5/8', '5/3', '2', '7/2'] -> (((7/2 / 5/8) - 2) / (1/4 / 5/3))
[28225] ['1/6', '9/7', '9/5', '5/2', '4'] -> ((9/7 * 4) * (1/6 + (9/5 * 5/2)))
[28226] ['1/9', '1/6', '1/5', '6/7', '3'] -> (((3 / 6/7) - (1/6 / 1/5)) / 1/9)
[28227] ['6/5', '6/5', '7/5', '7/5', '4'] -> ((6/5 * 4) / (6/5 - (7/5 / 7/5)))
[28228] ['4/9', '5/9', '8/7', '5/2', '4'] -> (4 / ((4/9 / 8/7) - (5/9 / 5/2)))
[28229] ['1/8', '4/9', '5/6', '6/5', '5'] -> (6/5 * (5 + (5/6 / (1/8 * 4/9))))
[28230] ['3/8', '3/8', '3/5', '4', '9/2'] -> (((3/8 * 4) + (9/2 / 3/5)) / 3/8)
[28231] ['1/9', '1/6', '1/5', '7/8', '3'] -> ((3 / 1/5) / ((1/6 / 1/9) - 7/8))
[28232] ['6/5', '6/5', '7/5', '5/3', '4'] -> ((4 + (6/5 + 6/5)) / (5/3 - 7/5))
[28233] ['2/7', '2/3', '4/3', '9/5', '8'] -> (9/5 * ((2/3 + 8) + (4/3 / 2/7)))
[28234] ['4/9', '5/9', '8/7', '8/3', '4'] -> ((8/3 + (4 / 4/9)) / (5/9 / 8/7))
[28235] ['1/9', '1/6', '1/5', '8/9', '3'] -> ((3 + (1/9 / 1/5)) / (1/6 * 8/9))
[28236] ['1/8', '4/9', '5/6', '5/4', '5'] -> (((5/6 / 1/8) + (5 / 5/4)) / 4/9)
