[230491] ['7/8', '8/5', '5/3', '7/2', '8'] -> (5/3 * (8 + (7/2 / (7/8 / 8/5))))
[231938] ['5/6', '5/6', '8/9', '5/3', '2'] -> (2 / (5/3 - (8/9 + (5/6 * 5/6))))
[231939] ['1/5', '2/5', '2/5', '5/4', '2'] -> ((2/5 + 2) / (5/4 * (1/5 * 2/5)))
[231940] ['1/8', '2/5', '3/4', '7/3', '9'] -> ((3/4 / 2/5) + (9 * (1/8 + 7/3)))
[231941] ['9/8', '9/5', '9/4', '5/2', '5'] -> (5 * ((9/8 / 9/4) + (9/5 + 5/2)))
[231942] ['1/7', '5/7', '8/9', '1', '8/7'] -> (8/7 / ((8/9 * (1 - 1/7)) - 5/7))
[231943] ['1/4', '5/8', '5/6', '9/7', '3'] -> (3 / ((9/7 * (5/6 - 1/4)) - 5/8))
[231944] ['2/5', '5/9', '2/3', '5/3', '6'] -> ((2/3 + 6) / (5/3 - (5/9 / 2/5)))
[231945] ['9/8', '9/7', '7/5', '8/5', '9'] -> (9 / (8/5 - (7/5 * (9/8 / 9/7))))
[231946] ['1/6', '2/5', '5/9', '9/5', '7'] -> ((5/9 + 7) * (9/5 / (1/6 + 2/5)))
[231947] ['1/7', '5/7', '8/9', '1', '7/6'] -> ((1/7 + 1) / ((8/9 / 7/6) - 5/7))
[231948] ['1/9', '1/8', '2/7', '5/3', '2'] -> (5/3 / (((1/9 / 2/7) / 2) - 1/8))
[231949] ['3/8', '9/8', '8/5', '7/3', '8'] -> (8/5 * (8 + (7/3 / (3/8 / 9/8))))
[231950] ['1/6', '2/5', '5/9', '9/4', '7'] -> ((7 / (2/5 - 1/6)) / (5/9 * 9/4))
[231951] ['5/7', '7/3', '7/3', '7/3', '6'] -> ((5/7 + (7/3 / 7/3)) * (7/3 * 6))
[231952] ['1/4', '5/8', '5/6', '8/5', '3'] -> ((3 + (5/8 / 5/6)) / (1/4 / 8/5))
[231953] ['8/9', '9/8', '9/2', '9/2', '8'] -> (8 + ((8/9 / 9/8) * (9/2 * 9/2)))
[231954] ['9/8', '9/5', '7/3', '5/2', '5'] -> (5 / ((5/2 * (7/3 - 9/5)) - 9/8))
[231955] ['1/2', '5/9', '7/8', '7/3', '6'] -> (1/2 / (5/9 - ((7/8 + 7/3) / 6)))
[231956] ['1/9', '1/8', '2/7', '7/4', '2'] -> ((2 / 1/9) - (1/8 - (7/4 / 2/7)))
[231957] ['1/8', '2/5', '7/9', '4/5', '9'] -> ((4/5 + 9) / (7/9 * (1/8 + 2/5)))
[231958] ['3/7', '4/5', '9/4', '7/3', '7'] -> ((7/3 - 3/7) * (7 * (4/5 * 9/4)))
[231959] ['9/8', '9/7', '7/5', '9/4', '9'] -> ((9/7 * 9) / ((9/4 / 7/5) - 9/8))
[231960] ['1/6', '2/5', '5/9', '7/3', '7'] -> ((7/3 + 7) / (1/6 + (2/5 * 5/9)))
[231961] ['3/8', '9/8', '8/5', '7/2', '8'] -> ((8 + (9/8 - 7/2)) / (3/8 / 8/5))
[231962] ['5/6', '5/6', '9/8', '6/5', '2'] -> ((5/6 * 6/5) / (2 - (5/6 + 9/8)))
[231963] ['1/7', '5/7', '8/9', '1', '9/7'] -> (9/7 / (1 - (1/7 + (5/7 / 8/9))))
[231964] ['1/8', '2/5', '7/9', '5/6', '9'] -> (((9 / 2/5) - 5/6) / (1/8 + 7/9))
[231965] ['2/5', '5/9', '2/3', '7/2', '6'] -> ((2/3 / (2/5 * 5/9)) + (7/2 * 6))
[231966] ['1/2', '5/9', '7/8', '8/3', '6'] -> (((6 / (7/8 - 1/2)) - 8/3) / 5/9)
[231967] ['8/9', '8/7', '8/7', '6/5', '8'] -> (8 / ((8/7 / 8/9) - (8/7 / 6/5)))
[231968] ['1/5', '2/5', '2/5', '2', '8/3'] -> (8/3 * ((2 / 1/5) - (2/5 / 2/5)))
[231969] ['9/8', '9/5', '5/2', '5/2', '5'] -> ((5/2 + (5/2 * 5)) / (9/8 / 9/5))
[231970] ['1/9', '1/8', '2/7', '2', '5/2'] -> ((2 / (1/9 * 2/7)) / (1/8 + 5/2))
[231971] ['8/9', '8/7', '8/7', '5/4', '8'] -> ((8/7 / ((8/7 / 8/9) - 5/4)) - 8)
[231972] ['1/5', '2/5', '2/5', '2', '7/2'] -> ((2 + (7/2 * (2/5 + 2/5))) / 1/5)
[231973] ['3/8', '9/8', '7/4', '7/3', '8'] -> ((9/8 * 8) / ((7/4 / 7/3) - 3/8))
[231974] ['9/8', '9/7', '7/5', '7/2', '9'] -> ((9/7 + (9 / 7/5)) / (9/8 / 7/2))
[231975] ['5/7', '7/3', '8/3', '9/2', '6'] -> (7/3 * ((6 * (9/2 - 8/3)) - 5/7))
[231976] ['3/8', '9/8', '7/4', '5/2', '8'] -> ((9/8 * 8) / (5/2 - (3/8 + 7/4)))
[231977] ['1/4', '5/8', '6/7', '9/8', '3'] -> (3 / ((6/7 * (9/8 - 1/4)) - 5/8))
[231978] ['3/7', '4/5', '7/3', '7/3', '7'] -> (7/3 + ((3/7 + 7) / (4/5 / 7/3)))
[231979] ['5/6', '5/6', '9/8', '8/5', '2'] -> (2 / (9/8 - ((5/6 + 5/6) / 8/5)))
[231980] ['9/8', '9/5', '8/3', '7/2', '5'] -> (5 / (7/2 - (8/3 + (9/8 / 9/5))))
[231981] ['1/5', '2/5', '3/7', '1/2', '2'] -> ((2/5 * 2) / (1/2 - (1/5 / 3/7)))
[231982] ['1/8', '2/5', '7/9', '8/9', '9'] -> (9 / (1/8 * (7/9 + (8/9 / 2/5))))
[231983] ['1/9', '1/8', '2/7', '2', '7/2'] -> ((1/9 + (2 / 2/7)) * (7/2 - 1/8))
[231984] ['9/8', '9/7', '3/2', '3/2', '9'] -> (9 / (9/8 * (3/2 - (3/2 / 9/7))))
[231985] ['2/9', '2/9', '8/9', '1', '7/4'] -> ((8/9 / (2/9 * 2/9)) / (7/4 - 1))
[231986] ['1/7', '5/7', '8/9', '1', '9/4'] -> ((5/7 + 1) * (9/4 / (1/7 / 8/9)))
[231987] ['3/7', '4/5', '7/3', '8/3', '7'] -> ((7 * (3/7 + (8/3 / 4/5))) - 7/3)
[231988] ['5/6', '5/6', '9/8', '2', '9/4'] -> (2 / ((5/6 + 9/8) - (5/6 * 9/4)))
[231989] ['1/5', '2/5', '3/7', '3/5', '2'] -> ((2/5 / 3/5) + (2 / (1/5 * 3/7)))
[231990] ['9/8', '9/7', '3/2', '9/5', '9'] -> (9 / (9/7 * (9/8 - (3/2 / 9/5))))
[231991] ['1/6', '2/5', '4/7', '3/4', '7'] -> ((4/7 / 2/5) / (1/6 - (3/4 / 7)))
[231992] ['3/8', '9/8', '9/5', '9/2', '8'] -> ((3/8 + 9/8) + (9/5 * (9/2 + 8)))
[231993] ['8/9', '8/7', '8/7', '9/5', '8'] -> (8 / (8/9 - ((8/7 / 8/7) / 9/5)))
[231994] ['9/8', '9/5', '9/2', '9/2', '5'] -> (((5 * (9/5 + 9/2)) - 9/2) / 9/8)
[231995] ['1/8', '2/5', '7/9', '7/6', '9'] -> ((9 - (7/6 / 7/9)) / (1/8 / 2/5))
[231996] ['5/6', '5/6', '9/8', '2', '7/2'] -> (7/2 / (((5/6 + 9/8) / 2) - 5/6))
[231997] ['1/9', '1/8', '1/3', '3/7', '2'] -> ((2 / 1/8) / ((1/3 / 3/7) - 1/9))
[231998] ['8/9', '8/7', '8/7', '7/3', '8'] -> ((8 / 7/3) / ((8/7 / 8/9) - 8/7))
[231999] ['1/5', '2/5', '3/7', '5/7', '2'] -> (((2/5 * 5/7) + (2 / 1/5)) / 3/7)
[232000] ['5/7', '5/2', '8/3', '7/2', '6'] -> (((5/7 + 5/2) * (8/3 * 7/2)) - 6)
[232001] ['1/7', '5/7', '8/9', '1', '7/2'] -> ((8/9 * 7/2) * (5/7 + (1 / 1/7)))
[232002] ['3/8', '8/7', '8/7', '7/6', '8'] -> ((7/6 * (8/7 + 8/7)) + (8 / 3/8))
[232003] ['1/6', '2/5', '4/7', '5/6', '7'] -> ((4/7 * 7) / ((2/5 * 5/6) - 1/6))
[232004] ['1/4', '5/8', '6/7', '7/5', '3'] -> (((6/7 * 7/5) + (3 / 5/8)) / 1/4)
[232005] ['5/6', '5/6', '8/7', '7/6', '2'] -> (8/7 / ((2 / 7/6) - (5/6 + 5/6)))
[232006] ['5/7', '5/2', '8/3', '9/2', '6'] -> ((8/3 * 6) + (9/2 + (5/2 / 5/7)))
[232007] ['1/4', '5/8', '6/7', '3/2', '3'] -> (3 / ((5/8 / 3/2) - (1/4 / 6/7)))
[232008] ['3/7', '4/5', '5/2', '9/2', '7'] -> (7 * ((4/5 * 9/2) - (3/7 / 5/2)))
[232009] ['1/2', '5/9', '9/8', '6/5', '6'] -> (6 / ((6/5 * (5/9 * 9/8)) - 1/2))
[232010] ['1/5', '2/5', '3/7', '7/9', '2'] -> ((2 - 2/5) / (7/9 * (1/5 * 3/7)))
[232011] ['8/9', '8/7', '8/7', '7/2', '8'] -> (8/9 * ((7/2 * 8) - (8/7 / 8/7)))
[232012] ['1/4', '5/8', '6/7', '8/5', '3'] -> (8/5 + (3 / (6/7 * (1/4 * 5/8))))
[232013] ['9/8', '9/7', '8/5', '8/5', '9'] -> (9 * ((8/5 / 9/8) + (8/5 / 9/7)))
[232014] ['5/6', '5/6', '8/7', '5/4', '2'] -> ((5/4 * 2) / (5/6 - (5/6 / 8/7)))
[232015] ['8/9', '8/7', '7/6', '6/5', '8'] -> ((8 / (8/7 * (7/6 - 8/9))) - 6/5)
[232016] ['3/8', '8/7', '8/7', '7/5', '8'] -> (7/5 * (((8 - 8/7) / 3/8) - 8/7))
[232017] ['1/9', '1/8', '1/3', '6/7', '2'] -> (2 / (6/7 * (1/3 - (1/9 + 1/8))))
[232018] ['2/9', '2/9', '1', '9/8', '6/5'] -> ((1 / 9/8) / (2/9 - (2/9 / 6/5)))
[232019] ['3/7', '4/5', '8/3', '9/2', '7'] -> (7 * ((3/7 / 9/2) + (8/3 / 4/5)))
[232020] ['1/5', '2/5', '3/7', '8/9', '2'] -> (((2 / 3/7) - 2/5) / (1/5 * 8/9))
[232021] ['1/9', '1/8', '1/3', '8/7', '2'] -> ((1/3 * 2) / (1/8 - (1/9 / 8/7)))
[232022] ['9/8', '9/7', '8/5', '9/5', '9'] -> ((8/5 + (9/5 / 9/7)) / (9/8 / 9))
[232023] ['1/2', '5/9', '9/8', '5/3', '6'] -> ((5/3 + (6 / 1/2)) / (9/8 - 5/9))
[232024] ['8/9', '8/7', '7/6', '9/7', '8'] -> ((7/6 * 8) * (9/7 + (8/7 / 8/9)))
[232025] ['1/5', '2/5', '3/7', '9/8', '2'] -> (((2 / 3/7) - 2/5) / (1/5 / 9/8))
[232026] ['9/8', '9/4', '5/2', '7/2', '5'] -> ((9/8 - 5/2) + (7/2 * (9/4 + 5)))
[232027] ['1/4', '5/8', '6/7', '5/2', '3'] -> ((3 + (5/2 / 5/8)) / (1/4 / 6/7))
[232028] ['5/7', '8/3', '8/3', '7/2', '6'] -> (6 * ((7/2 * (5/7 * 8/3)) - 8/3))
[232029] ['3/8', '8/7', '8/7', '7/4', '8'] -> (((8/7 * 7/4) + (8 / 8/7)) / 3/8)
[232030] ['1/2', '5/9', '9/8', '7/4', '6'] -> (6 / ((1/2 * 7/4) - (5/9 * 9/8)))
[232031] ['1/8', '2/5', '7/9', '5/3', '9'] -> ((5/3 * (2/5 + 9)) / (7/9 - 1/8))
[232032] ['1/4', '5/8', '6/7', '8/3', '3'] -> ((8/3 * 3) / (5/8 - (1/4 / 6/7)))
[232033] ['9/8', '9/7', '8/5', '7/3', '9'] -> (9/8 + (7/3 * (9 + (9/7 / 8/5))))
[232034] ['3/7', '5/6', '5/6', '7/8', '7'] -> ((3/7 * 7) / ((5/6 / 5/6) - 7/8))
[232035] ['8/9', '8/7', '7/6', '3/2', '8'] -> (8 * (3/2 + (7/6 / (8/9 / 8/7))))
[232036] ['9/8', '7/3', '7/3', '7/3', '5'] -> (5 / ((7/3 - 9/8) - (7/3 / 7/3)))
[232037] ['1/5', '2/5', '3/7', '9/7', '2'] -> ((9/7 / (1/5 * 3/7)) * (2 - 2/5))
[232038] ['1/6', '2/5', '4/7', '9/7', '7'] -> ((7 - 9/7) / (4/7 * (1/6 / 2/5)))
[232039] ['3/8', '8/7', '8/7', '5/2', '8'] -> ((8/7 / 8/7) + (8 * (3/8 + 5/2)))
[232040] ['1/7', '5/7', '1', '9/8', '9/4'] -> ((5/7 + 1) * (9/4 / (1/7 * 9/8)))
[232041] ['2/5', '5/9', '5/7', '7/4', '6'] -> (7/4 * ((6 / 2/5) - (5/7 / 5/9)))
[232042] ['1/8', '2/5', '7/9', '9/5', '9'] -> ((7/9 * 9/5) * (9 / (1/8 + 2/5)))
[232043] ['1/2', '5/9', '9/8', '7/2', '6'] -> ((9/8 * 6) * (7/2 - (1/2 - 5/9)))
[232044] ['3/7', '5/6', '5/6', '9/8', '7'] -> ((3/7 * 7) / (9/8 - (5/6 / 5/6)))
[232045] ['1/9', '1/8', '1/3', '2', '7/2'] -> ((1/3 * 7/2) / (1/9 - (1/8 / 2)))
[232046] ['1/5', '2/5', '3/7', '4/3', '2'] -> (((2/5 + (2 / 3/7)) / 1/5) - 4/3)
[232047] ['9/8', '7/3', '7/3', '8/3', '5'] -> (7/3 / ((7/3 * 8/3) - (9/8 + 5)))
[232048] ['8/9', '8/7', '7/6', '5/3', '8'] -> ((8/9 / (7/6 - 8/7)) - (5/3 * 8))
[232049] ['5/7', '7/2', '7/2', '9/2', '6'] -> ((6 * (5/7 + 7/2)) - (9/2 / 7/2))
[232050] ['1/4', '5/8', '7/8', '7/5', '3'] -> (3 / (7/5 - (7/8 + (1/4 / 5/8))))
[232051] ['2/5', '5/9', '5/7', '9/4', '6'] -> ((6 / (5/9 - 2/5)) / (5/7 * 9/4))
[232052] ['9/8', '9/7', '8/5', '9/2', '9'] -> (9/2 * (8/5 + (9 / (9/8 + 9/7))))
[232053] ['1/5', '2/5', '3/7', '7/5', '2'] -> (((2/5 / 7/5) + (2 / 1/5)) / 3/7)
[232054] ['1/7', '5/7', '1', '9/8', '8/3'] -> (8/3 / (((1 - 5/7) / 9/8) - 1/7))
[232055] ['5/6', '5/6', '8/7', '2', '7/3'] -> ((5/6 / 5/6) / ((7/3 / 8/7) - 2))
[232056] ['3/8', '8/7', '7/6', '6/5', '8'] -> (6/5 * ((8 / 3/8) - (8/7 * 7/6)))
[232057] ['9/8', '7/3', '5/2', '5/2', '5'] -> (5 / ((7/3 - 9/8) - (5/2 / 5/2)))
[232058] ['1/2', '5/9', '8/7', '7/6', '6'] -> (((8/7 * 7/6) + (6 / 1/2)) / 5/9)
[232059] ['2/9', '2/9', '1', '9/8', '7/3'] -> ((7/3 - 1) / (9/8 * (2/9 * 2/9)))
[232060] ['1/6', '2/5', '4/7', '9/4', '7'] -> (((7 / 4/7) - 9/4) / (1/6 / 2/5))
[232061] ['3/8', '8/7', '7/6', '7/5', '8'] -> (7/5 * ((8 / (3/8 * 7/6)) - 8/7))
[232062] ['8/9', '8/7', '7/6', '5/2', '8'] -> (((8/7 * 7/6) + (5/2 * 8)) / 8/9)
[232063] ['3/7', '5/6', '5/6', '9/7', '7'] -> ((7 + (5/6 / 5/6)) / (3/7 / 9/7))
[232064] ['1/7', '5/7', '1', '8/7', '6/5'] -> ((8/7 + (5/7 + 1)) / (1/7 / 6/5))
[232065] ['3/4', '3/4', '3/4', '7/8', '6'] -> (6 / ((3/4 * (3/4 + 3/4)) - 7/8))
[232066] ['9/8', '7/3', '9/2', '9/2', '5'] -> (5 / ((7/3 - 9/8) - (9/2 / 9/2)))
[232067] ['3/4', '3/4', '3/4', '8/9', '6'] -> (6 / (3/4 - (8/9 * (3/4 * 3/4))))
[232068] ['9/8', '5/2', '5/2', '5/2', '5'] -> ((5/2 + 5) / ((9/8 * 5/2) - 5/2))
[232069] ['9/8', '9/7', '5/3', '7/3', '9'] -> (9 / ((7/3 * (9/8 / 9/7)) - 5/3))
[232070] ['2/5', '5/9', '3/4', '3/4', '6'] -> (6 / (5/9 * (3/4 - (2/5 * 3/4))))
[232071] ['2/9', '2/9', '1', '8/7', '7/6'] -> ((1 / 7/6) + (8/7 / (2/9 * 2/9)))
[232072] ['8/9', '8/7', '6/5', '5/4', '8'] -> ((8 / (5/4 * (8/7 - 8/9))) - 6/5)
[232073] ['1/8', '2/5', '4/5', '8/7', '9'] -> (9 * (8/7 + (4/5 / (1/8 + 2/5))))
[232074] ['3/4', '3/4', '3/4', '7/6', '6'] -> ((6 / 3/4) / ((3/4 + 3/4) - 7/6))
[232075] ['9/8', '9/7', '5/3', '5/2', '9'] -> ((9 / 9/7) / ((9/8 + 5/3) - 5/2))
[232076] ['1/9', '1/8', '3/8', '4/5', '2'] -> (3/8 + ((1/8 + (2 / 4/5)) / 1/9))
[232077] ['2/5', '5/9', '3/4', '4/5', '6'] -> (6 / (5/9 * (4/5 + (2/5 - 3/4))))
[232078] ['1/7', '5/7', '1', '8/7', '4/3'] -> ((8/7 + (4/3 * (5/7 + 1))) / 1/7)
[232079] ['1/5', '2/5', '3/7', '2', '7/3'] -> ((2 / (1/5 * 2/5)) - (3/7 * 7/3))
[232080] ['1/8', '2/5', '4/5', '9/7', '9'] -> ((4/5 + 9) * (9/7 / (1/8 + 2/5)))
[232081] ['9/8', '5/2', '5/2', '9/2', '5'] -> ((5 + (5/2 / 5/2)) / (9/8 / 9/2))
[232082] ['1/2', '5/9', '8/7', '3/2', '6'] -> (8/7 * ((3/2 / (5/9 - 1/2)) - 6))
[232083] ['8/9', '8/7', '6/5', '7/5', '8'] -> (8 * (6/5 + (7/5 / (8/9 / 8/7))))
[232084] ['3/4', '3/4', '3/4', '5/4', '6'] -> ((3/4 * 6) / ((3/4 * 5/4) - 3/4))
[232085] ['2/5', '5/9', '3/4', '6/7', '6'] -> ((6 / (5/9 - 2/5)) / (3/4 + 6/7))
[232086] ['3/7', '5/6', '5/6', '5/3', '7'] -> (7 * (3/7 + ((5/6 + 5/3) / 5/6)))
[232087] ['3/8', '8/7', '7/6', '9/4', '8'] -> (8/7 * (3/8 + (9/4 * (7/6 + 8))))
[232088] ['1/7', '5/7', '1', '8/7', '8/5'] -> ((8/5 + (1 / 5/7)) / (1/7 / 8/7))
[232089] ['9/8', '9/7', '5/3', '9/2', '9'] -> ((9/7 + 9) * ((9/2 / 9/8) - 5/3))
[232090] ['5/6', '5/6', '7/6', '5/3', '2'] -> ((5/3 * 2) / ((5/6 * 7/6) - 5/6))
[232091] ['1/7', '5/7', '1', '8/7', '7/4'] -> ((5/7 + 1) * (7/4 / (1/7 / 8/7)))
[232092] ['9/8', '8/3', '8/3', '8/3', '5'] -> (8/3 + (8/3 * (5 + (9/8 * 8/3))))
[232093] ['5/6', '5/6', '7/6', '9/5', '2'] -> (2 / ((9/5 * (5/6 * 5/6)) - 7/6))
[232094] ['1/5', '2/5', '3/7', '2', '9/2'] -> ((2 - (2/5 / 3/7)) / (1/5 / 9/2))
[232095] ['3/7', '5/6', '5/6', '9/5', '7'] -> (7 * (3/7 + (9/5 * (5/6 + 5/6))))
[232096] ['1/2', '5/9', '8/7', '5/3', '6'] -> ((8/7 * 6) * (1/2 + (5/3 / 5/9)))
[232097] ['9/8', '9/7', '7/4', '7/4', '9'] -> ((9 - 9/7) / (9/8 / (7/4 + 7/4)))
[232098] ['3/4', '3/4', '3/4', '8/5', '6'] -> ((3/4 + 6) / (3/4 - (3/4 / 8/5)))
[232099] ['1/9', '1/8', '3/8', '9/7', '2'] -> (2 / (((3/8 - 1/8) / 9/7) - 1/9))
[232100] ['2/9', '2/9', '1', '8/7', '3/2'] -> ((1 / 3/2) / (2/9 - (2/9 / 8/7)))
[232101] ['1/5', '2/5', '4/9', '4/9', '2'] -> ((2 / (1/5 * 2/5)) - (4/9 / 4/9))
[232102] ['1/7', '5/7', '1', '8/7', '9/5'] -> (((5/7 * 9/5) + (1 + 8/7)) / 1/7)
[232103] ['9/8', '8/3', '8/3', '7/2', '5'] -> ((5 / ((7/2 / 8/3) - 9/8)) - 8/3)
[232104] ['1/8', '2/5', '5/6', '6/7', '9'] -> ((9 / (1/8 + 2/5)) / (5/6 * 6/7))
[232105] ['3/4', '3/4', '3/4', '9/5', '6'] -> (6 / (3/4 * (3/4 - (3/4 / 9/5))))
[232106] ['1/4', '5/8', '8/9', '8/5', '3'] -> ((3 / 8/9) / ((5/8 / 8/5) - 1/4))
[232107] ['5/6', '5/6', '7/6', '2', '7/3'] -> (2 / ((5/6 * (7/3 - 5/6)) - 7/6))
[232108] ['8/9', '8/7', '6/5', '9/5', '8'] -> ((8 / 8/9) / ((9/5 / 8/7) - 6/5))
[232109] ['3/4', '3/4', '3/4', '7/3', '6'] -> (6 / ((3/4 * 7/3) - (3/4 + 3/4)))
[232110] ['3/8', '8/7', '6/5', '9/7', '8'] -> (8/7 + ((9/7 * 8) / (3/8 * 6/5)))
[232111] ['9/8', '8/3', '7/2', '7/2', '5'] -> ((7/2 * 5) + (7/2 + (9/8 * 8/3)))
[232112] ['1/5', '2/5', '4/9', '1/2', '2'] -> (((2/5 + (2 / 4/9)) / 1/5) - 1/2)
[232113] ['1/9', '1/8', '3/8', '7/4', '2'] -> ((1/8 + (7/4 / 2)) / (1/9 * 3/8))
[232114] ['3/4', '3/4', '3/4', '5/2', '6'] -> (6 / (5/2 - (3/4 + (3/4 + 3/4))))
[232115] ['3/7', '5/6', '5/6', '5/2', '7'] -> ((5/2 + (3/7 * 5/6)) / (5/6 / 7))
[232116] ['1/7', '5/7', '1', '8/7', '9/4'] -> (1 + ((5/7 + (8/7 * 9/4)) / 1/7))
[232117] ['8/9', '8/7', '6/5', '9/4', '8'] -> ((8 / (6/5 * (8/7 - 8/9))) - 9/4)
[232118] ['1/4', '5/8', '8/9', '7/4', '3'] -> (7/4 / ((1/4 / 8/9) - (5/8 / 3)))
[232119] ['2/5', '5/9', '3/4', '9/7', '6'] -> ((6 / (5/9 * 9/7)) / (3/4 - 2/5))
[232120] ['3/8', '8/7', '6/5', '4/3', '8'] -> (6/5 * (4/3 + (8 / (3/8 * 8/7))))
[232121] ['1/8', '2/5', '5/6', '8/7', '9'] -> ((1/8 + (9 / 8/7)) / (2/5 * 5/6))
[232122] ['1/9', '1/8', '3/8', '9/5', '2'] -> ((1/9 + (2 / (1/8 * 9/5))) / 3/8)
[232123] ['5/6', '5/6', '6/5', '6/5', '2'] -> (6/5 / ((5/6 - 6/5) + (5/6 / 2)))
[232124] ['9/8', '9/2', '9/2', '9/2', '5'] -> ((5 + (9/2 / 9/2)) / (9/8 / 9/2))
[232125] ['1/7', '5/7', '1', '8/7', '7/3'] -> (8/7 / ((1/7 * 7/3) + (5/7 - 1)))
[232126] ['3/8', '8/7', '6/5', '7/5', '8'] -> ((8 / (3/8 / 6/5)) - (8/7 * 7/5))
[232127] ['1/2', '5/9', '8/7', '5/2', '6'] -> ((6 + (5/2 / 5/9)) / (1/2 / 8/7))
[232128] ['1/8', '2/5', '5/6', '7/6', '9'] -> ((9 / (1/8 + 2/5)) / (5/6 / 7/6))
[232129] ['1/6', '2/5', '5/8', '5/7', '7'] -> ((5/7 * 7) / (5/8 - (1/6 / 2/5)))
[232130] ['9/8', '9/7', '9/5', '9/4', '9'] -> (9 / ((9/4 / 9/5) - (9/8 / 9/7)))
[232131] ['3/7', '5/6', '5/6', '9/2', '7'] -> (((7 / 3/7) - (5/6 - 9/2)) / 5/6)
[232132] ['1/4', '5/8', '8/9', '9/4', '3'] -> (3 / (5/8 - (9/4 * (1/4 * 8/9))))
[232133] ['5/6', '5/6', '6/5', '9/7', '2'] -> ((2 / 5/6) / ((6/5 / 9/7) - 5/6))
[232134] ['1/9', '1/8', '3/8', '2', '7/2'] -> (7/2 / (1/8 + ((1/9 * 3/8) / 2)))
[232135] ['1/7', '5/7', '1', '8/7', '5/2'] -> (((5/7 + (8/7 * 5/2)) / 1/7) - 1)
[232136] ['2/5', '5/9', '3/4', '9/5', '6'] -> (6 / (3/4 * (5/9 - (2/5 / 9/5))))
[232137] ['8/9', '8/7', '6/5', '8/3', '8'] -> (8 * ((8/9 / 8/7) + (8/3 / 6/5)))
[232138] ['3/4', '3/4', '7/9', '7/8', '6'] -> (((3/4 / (7/9 - 3/4)) - 6) / 7/8)
[232139] ['9/8', '9/7', '9/5', '7/3', '9'] -> ((7/3 + (9/7 / 9/5)) * (9 - 9/8))
[232140] ['8/7', '8/7', '8/7', '6/5', '5'] -> ((8/7 + (8/7 / 5)) / (6/5 - 8/7))
[232141] ['1/7', '5/7', '1', '8/7', '8/3'] -> (((8/3 * (5/7 + 1)) - 8/7) / 1/7)
[232142] ['3/4', '3/4', '7/9', '9/8', '6'] -> ((6 / 9/8) / ((3/4 / 3/4) - 7/9))
[232143] ['2/5', '5/9', '3/4', '5/2', '6'] -> ((2/5 + 6) * ((5/2 / 5/9) - 3/4))
[232144] ['1/9', '1/8', '2/5', '2/5', '2'] -> ((2/5 / 1/9) / (2/5 - (1/8 * 2)))
[232145] ['1/6', '2/5', '5/8', '6/7', '7'] -> ((2/5 + (6/7 * 7)) / (1/6 / 5/8))
[232146] ['1/8', '2/5', '5/6', '7/4', '9'] -> (((5/6 / 2/5) - 7/4) / (1/8 / 9))
[232147] ['1/7', '5/7', '1', '8/7', '9/2'] -> (((8/7 * 9/2) - (5/7 + 1)) / 1/7)
[232148] ['9/8', '9/7', '9/5', '8/3', '9'] -> ((9/5 / (9/8 / 9/7)) * (8/3 + 9))
[232149] ['3/4', '3/4', '7/9', '8/7', '6'] -> (8/7 * ((3/4 / (7/9 - 3/4)) - 6))
[232150] ['5/6', '5/6', '6/5', '5/3', '2'] -> ((5/3 * 2) / (5/6 - (5/6 / 6/5)))
[232151] ['5/6', '5/6', '6/5', '9/5', '2'] -> ((6/5 + 2) / (9/5 - (5/6 + 5/6)))
[232152] ['8/7', '8/7', '8/7', '7/5', '5'] -> ((8/7 + (8/7 + 8/7)) * (7/5 * 5))
[232153] ['1/2', '5/9', '7/6', '9/7', '6'] -> ((6 / 7/6) / ((5/9 * 9/7) - 1/2))
[232154] ['1/5', '2/5', '4/9', '9/8', '2'] -> ((2/5 + 2) / (9/8 * (1/5 * 4/9)))
[232155] ['2/5', '5/9', '7/9', '7/8', '6'] -> ((7/9 / 7/8) * (6 / (2/5 * 5/9)))
[232156] ['3/8', '8/7', '6/5', '8/3', '8'] -> (((8/3 / 8/7) + (8 / 6/5)) / 3/8)
[232157] ['3/7', '5/6', '6/7', '9/7', '7'] -> (((5/6 + 9/7) + (7 / 6/7)) / 3/7)
[232158] ['8/7', '8/7', '8/7', '8/5', '5'] -> (5 * (8/7 + (8/5 * (8/7 + 8/7))))
[232159] ['9/8', '9/7', '9/4', '9/4', '9'] -> (9 / (((9/8 + 9/4) / 9/7) - 9/4))
[232160] ['3/7', '5/6', '6/7', '7/5', '7'] -> ((3/7 + 7) / ((5/6 * 7/5) - 6/7))
[232161] ['3/4', '3/4', '7/9', '4/3', '6'] -> (6 / ((4/3 / 3/4) - (3/4 + 7/9)))
[232162] ['1/8', '2/5', '6/7', '7/8', '9'] -> (9 + ((6/7 * 7/8) / (1/8 * 2/5)))
[232163] ['2/5', '5/9', '7/9', '9/8', '6'] -> ((6 / (2/5 / 5/9)) / (9/8 - 7/9))
[232164] ['8/9', '8/7', '5/4', '7/5', '8'] -> ((8 / (5/4 * (7/5 - 8/7))) - 8/9)
[232165] ['5/6', '5/6', '6/5', '2', '5/2'] -> (2 / ((5/2 * (6/5 - 5/6)) - 5/6))
[232166] ['3/8', '8/7', '6/5', '9/2', '8'] -> (8/7 + ((9/2 * 8) / (3/8 + 6/5)))
