[186166] ['1/8', '8/9', '1', '7/4', '9/4'] -> ((8/9 * 9/4) + ((1 + 7/4) / 1/8))
[187222] ['1/3', '5/9', '6/7', '7/5', '6'] -> (6/7 + (6 / (7/5 * (1/3 * 5/9))))
[187223] ['3/7', '7/9', '9/8', '2', '9/4'] -> (3/7 / ((2 / (7/9 * 9/4)) - 9/8))
[187224] ['3/5', '5/7', '7/9', '8/7', '6'] -> ((8/7 / (3/5 * (7/9 - 5/7))) - 6)
[187225] ['4/7', '6/5', '4/3', '3', '7/2'] -> ((6/5 * 3) * (7/2 * (4/7 + 4/3)))
[187226] ['4/7', '5/4', '9/7', '9/2', '8'] -> ((9/2 * (4/7 + 8)) / (5/4 * 9/7))
[187227] ['2/5', '4/9', '4/5', '9/7', '7'] -> ((4/5 + (4/9 * 9/7)) / (2/5 / 7))
[187228] ['3/4', '5/6', '6/7', '5/3', '9'] -> (9 / ((3/4 / 6/7) - (5/6 / 5/3)))
[187229] ['1/3', '5/9', '6/7', '3/2', '6'] -> (6 / (3/2 * (5/9 - (1/3 / 6/7))))
[187230] ['3/7', '1/2', '1/2', '8/3', '6'] -> ((8/3 * 6) / ((1/2 / 3/7) - 1/2))
[187231] ['1/7', '2/5', '3/5', '7/5', '7'] -> (7 + ((2/5 + (7/5 / 1/7)) / 3/5))
[187232] ['5/7', '5/6', '9/8', '9/5', '8'] -> ((5/7 / (9/8 - 5/6)) * (9/5 + 8))
[187233] ['4/7', '5/4', '4/3', '7/5', '8'] -> (8 / (4/3 - (7/5 * (4/7 * 5/4))))
[187234] ['3/4', '5/6', '6/7', '7/4', '9'] -> (9 * ((3/4 * 5/6) + (7/4 / 6/7)))
[187235] ['3/7', '7/9', '9/8', '2', '5/2'] -> ((5/2 / 7/9) / ((9/8 / 2) - 3/7))
[187236] ['1/8', '1', '8/7', '7/4', '7/3'] -> ((1 / 1/8) / (7/3 - (8/7 * 7/4)))
[187237] ['3/7', '5/8', '4/5', '1', '9/4'] -> (9/4 / (3/7 * (1 - (5/8 / 4/5))))
[187238] ['5/7', '5/7', '7/8', '3/2', '2'] -> ((3/2 * 2) / ((5/7 / 5/7) - 7/8))
[187239] ['7/9', '8/7', '3/2', '8/5', '5'] -> ((3/2 * 5) * (8/7 + (8/5 / 7/9)))
[187240] ['3/7', '1/2', '5/9', '3/5', '6'] -> ((6 / (3/7 * 5/9)) - (3/5 / 1/2))
[187241] ['2/5', '4/9', '4/5', '8/5', '7'] -> ((7 / (4/9 / 8/5)) - (2/5 + 4/5))
[187242] ['1/3', '5/9', '6/7', '7/4', '6'] -> ((6 / 7/4) / ((5/9 * 6/7) - 1/3))
[187243] ['1/9', '3/7', '4/5', '9/7', '9'] -> (9 + ((3/7 + (9/7 / 1/9)) / 4/5))
[187244] ['3/4', '5/6', '6/7', '5/2', '9'] -> (5/2 * ((9 / 6/7) - (3/4 / 5/6)))
[187245] ['7/9', '8/7', '3/2', '5/3', '5'] -> ((5/3 + 5) / (7/9 * (3/2 - 8/7)))
[187246] ['1/7', '2/5', '3/5', '7/4', '7'] -> ((7 - (2/5 + 3/5)) / (1/7 * 7/4))
[187247] ['4/7', '5/4', '4/3', '9/5', '8'] -> ((8 / (4/7 * 5/4)) / (9/5 - 4/3))
[187248] ['1/3', '5/9', '6/7', '9/5', '6'] -> (((5/9 * 9/5) + (6 / 6/7)) / 1/3)
[187249] ['3/7', '7/9', '9/8', '2', '7/2'] -> (2 / (7/9 * (3/7 - (9/8 / 7/2))))
[187250] ['5/7', '5/6', '9/8', '5/2', '8'] -> ((9/8 * 8) * ((5/2 / 5/7) - 5/6))
[187251] ['3/5', '5/7', '7/9', '7/5', '6'] -> (6 / ((3/5 / (7/5 - 7/9)) - 5/7))
[187252] ['1/7', '2/5', '3/5', '9/5', '7'] -> ((9/5 - (1/7 - 2/5)) / (3/5 / 7))
[187253] ['3/4', '5/6', '6/7', '9/2', '9'] -> ((9/2 + (9 / 6/7)) / (3/4 * 5/6))
[187254] ['3/7', '7/9', '8/7', '8/7', '2'] -> (8/7 / ((3/7 * (7/9 + 2)) - 8/7))
[187255] ['4/7', '6/5', '7/5', '7/4', '3'] -> ((6/5 / 7/5) / (7/4 - (4/7 * 3)))
[187256] ['1/5', '2/9', '1', '8/7', '8/7'] -> ((8/7 / (2/9 - 1/5)) / (1 + 8/7))
[187257] ['1/3', '5/9', '6/7', '7/3', '6'] -> ((6 - (1/3 * 6/7)) / (5/9 / 7/3))
[187258] ['1/8', '1', '8/7', '9/5', '7/3'] -> (((8/7 * 7/3) - 1) / (1/8 / 9/5))
[187259] ['4/7', '5/4', '7/5', '7/5', '8'] -> (8 * (5/4 + (7/5 / (4/7 * 7/5))))
[187260] ['1/5', '2/9', '1', '8/7', '7/6'] -> (8/7 / (1 - (2/9 / (1/5 * 7/6))))
[187261] ['3/4', '5/6', '7/8', '9/7', '9'] -> (9 * ((5/6 / 7/8) + (9/7 / 3/4)))
[187262] ['3/7', '7/9', '8/7', '6/5', '2'] -> ((8/7 / 6/5) / (3/7 - (7/9 / 2)))
[187263] ['5/7', '5/7', '7/8', '2', '7/2'] -> ((7/2 + (5/7 / 2)) / (7/8 - 5/7))
[187264] ['3/7', '5/8', '5/6', '6/7', '1'] -> ((3/7 / 5/8) / ((6/7 / 5/6) - 1))
[187265] ['1/3', '5/9', '6/7', '8/3', '6'] -> (6 * ((1/3 + 5/9) + (8/3 / 6/7)))
[187266] ['3/7', '1/2', '5/9', '5/6', '6'] -> (6 * (1/2 + (5/6 / (3/7 * 5/9))))
[187267] ['4/7', '5/4', '7/5', '5/3', '8'] -> ((8 / (4/7 * 7/5)) / (5/3 - 5/4))
[187268] ['1/9', '3/7', '4/5', '5/3', '9'] -> (((9 + (4/5 * 5/3)) / 3/7) - 1/9)
[187269] ['5/7', '5/6', '8/7', '7/5', '8'] -> ((8 / 7/5) / ((5/6 * 8/7) - 5/7))
[187270] ['4/7', '6/5', '7/5', '5/2', '3'] -> (4/7 / ((6/5 / 7/5) - (5/2 / 3)))
[187271] ['7/9', '8/7', '3/2', '8/3', '5'] -> (3/2 * ((5 / (7/9 / 8/3)) - 8/7))
[187272] ['1/3', '5/9', '6/7', '7/2', '6'] -> ((6 / (5/9 - 1/3)) - (6/7 * 7/2))
[187273] ['1/7', '2/5', '5/8', '5/7', '7'] -> ((7 * (1/7 + 5/7)) / (2/5 * 5/8))
[187274] ['3/4', '5/6', '7/8', '7/4', '9'] -> (9 * (((7/8 + 7/4) / 3/4) - 5/6))
[187275] ['7/9', '8/7', '3/2', '7/2', '5'] -> (8/7 * ((5 / (7/9 / 7/2)) - 3/2))
[187276] ['1/8', '1', '8/7', '9/5', '9/2'] -> (8/7 * (1 + (9/2 / (1/8 * 9/5))))
[187277] ['4/7', '6/5', '7/5', '3', '7/2'] -> ((4/7 * 7/5) / (6/5 - (7/2 / 3)))
[187278] ['5/7', '5/6', '8/7', '7/2', '8'] -> ((8/7 + 7/2) * (8 / (5/7 + 5/6)))
[187279] ['7/9', '8/7', '8/5', '8/5', '5'] -> (5 * ((8/7 + 8/5) + (8/5 / 7/9)))
[187280] ['1/3', '5/9', '7/8', '8/9', '6'] -> ((5/9 + (7/8 * 8/9)) / (1/3 / 6))
[187281] ['3/4', '5/6', '8/9', '8/9', '9'] -> (9 / ((8/9 / 8/9) - (3/4 * 5/6)))
[187282] ['4/7', '6/5', '7/5', '3', '9/2'] -> (3 * ((6/5 / 4/7) + (7/5 + 9/2)))
[187283] ['5/7', '5/7', '8/9', '7/6', '2'] -> (5/7 / (2 - (7/6 + (5/7 / 8/9))))
[187284] ['1/9', '3/7', '4/5', '7/3', '9'] -> ((4/5 * 7/3) * (9 + (3/7 / 1/9)))
[187285] ['3/5', '5/7', '7/9', '8/3', '6'] -> ((8/3 / (7/9 * (5/7 - 3/5))) - 6)
[187286] ['1/5', '2/9', '1', '8/7', '3/2'] -> (8/7 * ((1 / (1/5 * 2/9)) - 3/2))
[187287] ['7/9', '8/7', '8/5', '5/3', '5'] -> ((8/5 + 5/3) * (5 / (7/9 / 8/7)))
[187288] ['1/3', '5/9', '7/8', '9/8', '6'] -> ((5/9 + (7/8 / 9/8)) / (1/3 / 6))
[187289] ['4/7', '5/4', '3/2', '5/3', '8'] -> ((8 / 4/7) / ((5/4 * 5/3) - 3/2))
[187290] ['5/7', '5/7', '8/9', '6/5', '2'] -> ((2 / (5/7 - (5/7 * 8/9))) - 6/5)
[187291] ['5/7', '5/6', '7/6', '6/5', '8'] -> ((8 / 7/6) / ((5/6 * 6/5) - 5/7))
[187292] ['3/7', '5/8', '5/6', '1', '5/4'] -> (1 / ((5/4 / 5/6) - (5/8 / 3/7)))
[187293] ['3/7', '7/9', '8/7', '7/4', '2'] -> (3/7 / (8/7 - (7/4 / (7/9 * 2))))
[187294] ['1/7', '2/5', '5/8', '7/8', '7'] -> ((7/8 / (2/5 * 5/8)) * (7 - 1/7))
[187295] ['1/5', '2/9', '1', '8/7', '5/3'] -> (1 / ((1/5 / 8/7) - (2/9 / 5/3)))
[187296] ['7/9', '8/7', '8/5', '9/5', '5'] -> (5 / ((8/5 / 9/5) - (7/9 / 8/7)))
[187297] ['1/9', '3/7', '4/5', '8/3', '9'] -> ((8/3 - 4/5) * (9 + (3/7 / 1/9)))
[187298] ['5/7', '5/6', '7/6', '5/4', '8'] -> ((5/7 * 8) / ((5/4 / 7/6) - 5/6))
[187299] ['1/3', '5/9', '7/8', '7/6', '6'] -> ((1/3 + 6) / ((5/9 + 7/8) - 7/6))
[187300] ['4/7', '5/4', '3/2', '8/3', '8'] -> ((4/7 * 8) * (5/4 + (3/2 * 8/3)))
[187301] ['3/5', '5/7', '4/5', '4/5', '6'] -> (6 / (((3/5 / 5/7) / 4/5) - 4/5))
[187302] ['1/8', '1', '8/7', '7/3', '5/2'] -> (1 / ((8/7 * 7/3) - (1/8 + 5/2)))
[187303] ['7/9', '8/7', '8/5', '9/4', '5'] -> ((8/7 + 8/5) * (5 * (7/9 * 9/4)))
[187304] ['5/7', '5/7', '8/9', '4/3', '2'] -> ((4/3 * 2) / ((5/7 / 5/7) - 8/9))
[187305] ['1/3', '5/9', '7/8', '6/5', '6'] -> (6 / ((6/5 * (5/9 * 7/8)) - 1/3))
[187306] ['4/7', '6/5', '3/2', '9/5', '3'] -> ((9/5 / (4/7 - (3/2 / 3))) - 6/5)
[187307] ['4/7', '5/4', '3/2', '9/2', '8'] -> (8 * ((5/4 * 9/2) - (3/2 / 4/7)))
[187308] ['3/7', '7/9', '8/7', '2', '9/4'] -> ((8/7 / 3/7) / ((2 / 9/4) - 7/9))
[187309] ['3/7', '1/2', '5/9', '4/3', '6'] -> (((6 / 3/7) - (1/2 * 4/3)) / 5/9)
[187310] ['1/8', '1', '8/7', '7/3', '9/2'] -> (9/2 * ((1 / 1/8) - (8/7 * 7/3)))
[187311] ['7/9', '8/7', '8/5', '7/3', '5'] -> ((7/3 + (8/5 / 8/7)) / (7/9 / 5))
[187312] ['3/7', '5/8', '5/6', '1', '7/5'] -> (1 / ((3/7 - 5/6) + (5/8 / 7/5)))
[187313] ['5/7', '5/6', '7/6', '8/5', '8'] -> (8/5 + ((5/6 + 7/6) / (5/7 / 8)))
[187314] ['4/7', '5/4', '8/5', '8/5', '8'] -> (8 * (5/4 + (8/5 / (4/7 * 8/5))))
[187315] ['3/4', '5/6', '8/9', '9/5', '9'] -> (((9 / 3/4) - 8/9) / (5/6 / 9/5))
[187316] ['1/5', '2/9', '1', '8/7', '7/3'] -> ((8/7 * 7/3) / ((2/9 / 1/5) - 1))
[187317] ['7/9', '8/7', '8/5', '5/2', '5'] -> ((8/7 + (8/5 / 7/9)) * (5/2 + 5))
[187318] ['1/8', '1', '8/7', '5/2', '8/3'] -> (1 / ((5/2 - 1/8) - (8/3 / 8/7)))
[187319] ['4/7', '5/4', '8/5', '7/4', '8'] -> (8 * ((4/7 * 7/4) + (5/4 * 8/5)))
[187320] ['5/7', '5/6', '7/6', '9/5', '8'] -> ((5/6 + (5/7 * 7/6)) * (9/5 * 8))
[187321] ['3/7', '7/9', '8/7', '2', '7/2'] -> ((8/7 * 2) * (7/2 / (3/7 * 7/9)))
[187322] ['1/7', '2/5', '5/8', '6/5', '7'] -> (((6/5 / 1/7) - (2/5 - 7)) / 5/8)
[187323] ['5/7', '5/7', '8/9', '5/3', '2'] -> (5/7 / ((5/3 / 2) - (5/7 / 8/9)))
[187324] ['1/3', '5/9', '7/8', '3/2', '6'] -> (6 / (((1/3 + 7/8) / 3/2) - 5/9))
[187325] ['3/7', '5/8', '5/6', '1', '5/3'] -> (1 / ((5/8 / (3/7 * 5/3)) - 5/6))
[187326] ['3/5', '5/7', '4/5', '8/7', '6'] -> ((4/5 + (8/7 / 5/7)) / (3/5 / 6))
[187327] ['7/9', '8/7', '8/5', '9/2', '5'] -> ((7/9 * 9/2) * ((8/5 * 5) - 8/7))
[187328] ['4/7', '5/4', '8/5', '9/4', '8'] -> (8/5 * ((8 / 4/7) - (5/4 - 9/4)))
[187329] ['5/7', '5/6', '7/6', '5/2', '8'] -> (8 * ((5/7 / 5/6) + (5/2 / 7/6)))
[187330] ['2/5', '4/9', '5/6', '5/3', '7'] -> (5/3 + ((4/9 + 7) / (2/5 * 5/6)))
[187331] ['1/8', '1', '8/7', '8/3', '7/2'] -> (8/7 / ((1/8 * 8/3) - (1 / 7/2)))
[187332] ['3/7', '7/9', '7/6', '7/6', '2'] -> (2 / ((7/6 * (7/6 - 3/7)) - 7/9))
[187333] ['1/7', '2/5', '5/8', '9/7', '7'] -> (9/7 / (5/8 * (1/7 - (2/5 / 7))))
[187334] ['7/9', '8/7', '5/3', '5/3', '5'] -> (5 / ((5/3 / (7/9 * 8/7)) - 5/3))
[187335] ['3/4', '5/6', '9/8', '8/5', '9'] -> ((8/5 * 9) / ((9/8 / 5/6) - 3/4))
[187336] ['1/9', '3/7', '5/6', '6/5', '9'] -> (9 * ((6/5 / 3/7) - (1/9 / 5/6)))
[187337] ['1/3', '5/9', '7/8', '7/4', '6'] -> (((5/9 + 7/8) / (1/3 / 6)) - 7/4)
[187338] ['3/7', '5/8', '5/6', '1', '9/5'] -> (1 / ((5/6 * 9/5) - (5/8 / 3/7)))
[187339] ['5/7', '5/6', '7/6', '9/2', '8'] -> (8 * ((9/2 / 7/6) - (5/7 / 5/6)))
[187340] ['1/8', '1', '8/7', '8/3', '9/2'] -> ((8/3 / 8/7) / ((1 / 9/2) - 1/8))
[187341] ['2/5', '4/9', '5/6', '9/5', '7'] -> (((9/5 / 2/5) - (5/6 - 7)) / 4/9)
[187342] ['3/5', '5/7', '4/5', '4/3', '6'] -> (6 / (5/7 * (4/5 - (3/5 / 4/3))))
[187343] ['3/7', '7/9', '7/6', '6/5', '2'] -> ((2 / 3/7) / ((7/6 / 6/5) - 7/9))
[187344] ['1/3', '5/9', '7/8', '9/5', '6'] -> ((6 + (5/9 * 9/5)) / (1/3 * 7/8))
[187345] ['3/7', '5/8', '5/6', '1', '9/4'] -> (1 / ((5/8 / 3/7) + (5/6 - 9/4)))
[187346] ['4/7', '6/5', '8/5', '7/4', '3'] -> ((8/5 * 3) / (6/5 - (4/7 * 7/4)))
[187347] ['3/5', '5/7', '4/5', '7/5', '6'] -> (6 / ((5/7 * 7/5) - (3/5 / 4/5)))
[187348] ['2/5', '4/9', '5/6', '9/4', '7'] -> ((7 + (4/9 * 9/4)) / (2/5 * 5/6))
[187349] ['1/9', '3/7', '5/6', '5/4', '9'] -> (5/6 / ((5/4 / (9 - 3/7)) - 1/9))
[187350] ['4/7', '5/4', '8/5', '9/2', '8'] -> (9/2 + (5/4 * (8/5 + (8 / 4/7))))
[187351] ['1/7', '2/5', '5/8', '7/5', '7'] -> (((7 / 1/7) - 2/5) / (5/8 + 7/5))
[187352] ['1/5', '2/9', '1', '7/6', '9/7'] -> ((1 / (1/5 * 2/9)) + (7/6 * 9/7))
[187353] ['3/7', '7/9', '7/6', '5/4', '2'] -> (2 / (3/7 * (7/6 - (7/9 * 5/4))))
[187354] ['3/7', '1/2', '5/9', '5/2', '6'] -> (((6 + (5/2 / 5/9)) / 3/7) - 1/2)
[187355] ['5/7', '5/7', '8/9', '2', '8/3'] -> (8/3 / (2 - (8/9 + (5/7 / 5/7))))
[187356] ['4/7', '5/4', '5/3', '5/3', '8'] -> (8 * (5/4 + (5/3 / (4/7 * 5/3))))
[187357] ['5/7', '5/6', '6/5', '4/3', '8'] -> ((6/5 * 8) * (4/3 + (5/6 / 5/7)))
[187358] ['1/9', '3/7', '5/6', '9/7', '9'] -> (9 / ((5/6 / (3/7 + 9/7)) - 1/9))
[187359] ['5/7', '5/6', '6/5', '7/5', '8'] -> (8 / (7/5 * (5/6 - (5/7 / 6/5))))
[187360] ['1/7', '2/5', '5/8', '5/3', '7'] -> ((1/7 * 7) / ((2/5 * 5/3) - 5/8))
[187361] ['3/4', '5/6', '8/7', '4/3', '9'] -> ((5/6 + (4/3 / 8/7)) / (3/4 / 9))
[187362] ['4/7', '5/4', '5/3', '9/4', '8'] -> (8 / ((4/7 * (5/4 + 9/4)) - 5/3))
[187363] ['4/7', '6/5', '8/5', '7/3', '3'] -> (8/5 / ((4/7 * (6/5 + 3)) - 7/3))
[187364] ['1/9', '3/7', '5/6', '4/3', '9'] -> (((1/9 + (9 / 3/7)) / 5/6) - 4/3)
[187365] ['1/7', '2/5', '5/8', '7/4', '7'] -> (7 * (2/5 + ((1/7 + 7/4) / 5/8)))
[187366] ['1/3', '5/9', '8/9', '8/7', '6'] -> ((5/9 + (8/9 / 8/7)) / (1/3 / 6))
[187367] ['7/9', '8/7', '5/3', '8/3', '5'] -> (8/7 + ((5/3 + 5) / (7/9 / 8/3)))
[187368] ['3/7', '1/2', '4/7', '4/5', '6'] -> (6 / ((3/7 / 4/5) - (1/2 * 4/7)))
[187369] ['1/5', '2/9', '1', '7/6', '7/4'] -> ((1 / (1/5 * 2/9)) + (7/4 / 7/6))
[187370] ['2/5', '4/9', '5/6', '9/2', '7'] -> ((9/2 + (5/6 * (2/5 + 7))) / 4/9)
[187371] ['4/7', '6/5', '8/5', '8/3', '3'] -> ((6/5 + 8/5) * (4/7 + (8/3 * 3)))
[187372] ['3/7', '1/2', '4/7', '9/8', '6'] -> ((1/2 * 6) / (9/8 - (3/7 + 4/7)))
[187373] ['5/7', '5/7', '9/8', '5/4', '2'] -> ((2 + (5/7 / 5/7)) / (5/4 - 9/8))
[187374] ['5/7', '5/6', '6/5', '7/4', '8'] -> ((5/7 + (5/6 * 6/5)) * (7/4 * 8))
[187375] ['4/7', '5/4', '7/4', '9/5', '8'] -> (5/4 + ((4/7 + 7/4) * (9/5 + 8)))
[187376] ['2/5', '4/9', '6/7', '6/7', '7'] -> ((7 + (6/7 / 2/5)) / (4/9 * 6/7))
[187377] ['1/7', '2/5', '5/8', '7/3', '7'] -> ((7 / 5/8) / ((2/5 / 1/7) - 7/3))
[187378] ['1/9', '3/7', '5/6', '8/5', '9'] -> (((9 + (5/6 * 8/5)) / 3/7) - 1/9)
[187379] ['4/7', '6/5', '8/5', '3', '9/2'] -> (9/2 * (3 + (8/5 / (4/7 * 6/5))))
[187380] ['3/5', '5/7', '4/5', '7/3', '6'] -> (4/5 + (6 * (3/5 + (7/3 / 5/7))))
[187381] ['5/7', '5/7', '9/8', '9/7', '2'] -> (9/7 / (9/8 - (5/7 + (5/7 / 2))))
[187382] ['1/5', '2/9', '1', '7/6', '8/3'] -> ((1 / (1/5 * 2/9)) - (7/6 - 8/3))
[187383] ['5/7', '5/6', '6/5', '9/5', '8'] -> (8 / ((9/5 / 6/5) - (5/6 / 5/7)))
[187384] ['1/9', '3/7', '5/6', '5/3', '9'] -> ((5/3 + (9 / 3/7)) / (1/9 + 5/6))
[187385] ['4/7', '6/5', '5/3', '5/3', '3'] -> ((6/5 * 5/3) / (3 - (5/3 / 4/7)))
[187386] ['3/7', '5/8', '6/7', '1', '6/5'] -> ((3/7 / 5/8) / ((6/7 * 6/5) - 1))
[187387] ['4/7', '5/4', '7/4', '9/2', '8'] -> ((5/4 + 7/4) / (8 - (9/2 / 4/7)))
[187388] ['1/5', '2/9', '1', '6/5', '6/5'] -> ((6/5 + 6/5) / (1 - (1/5 / 2/9)))
[187389] ['1/9', '3/7', '5/6', '7/4', '9'] -> ((5/6 / 1/9) + (7/4 * (3/7 + 9)))
[187390] ['3/7', '5/8', '6/7', '1', '5/4'] -> (3/7 / ((5/8 - 6/7) - (1 - 5/4)))
[187391] ['4/7', '5/4', '9/5', '9/5', '8'] -> (8 * (5/4 + (9/5 / (4/7 * 9/5))))
[187392] ['5/7', '5/7', '9/8', '5/3', '2'] -> (5/7 / ((5/3 / 2) - (5/7 * 9/8)))
[187393] ['1/9', '3/7', '5/6', '9/5', '9'] -> (5/6 * ((9/5 / (1/9 * 3/7)) - 9))
[187394] ['3/4', '5/6', '8/7', '9/4', '9'] -> ((8/7 * 9) * (9/4 - (3/4 - 5/6)))
[187395] ['1/3', '5/9', '8/9', '5/2', '6'] -> (1/3 + (6 * (5/2 + (5/9 + 8/9))))
[187396] ['1/8', '1', '7/6', '6/5', '7/4'] -> ((1 + (7/4 / 7/6)) / (1/8 / 6/5))
[187397] ['3/7', '7/9', '7/6', '2', '8/3'] -> (8/3 / ((3/7 * 7/6) - (7/9 / 2)))
[187398] ['5/7', '5/6', '6/5', '9/2', '8'] -> ((5/7 * 8) * ((9/2 / 5/6) - 6/5))
[187399] ['3/4', '5/6', '8/7', '7/3', '9'] -> (9 * ((3/4 * 5/6) + (7/3 / 8/7)))
[187400] ['1/9', '3/7', '5/6', '9/4', '9'] -> (9 / ((5/6 / (3/7 - 1/9)) - 9/4))
[187401] ['1/5', '2/9', '1', '6/5', '7/5'] -> ((7/5 + (1 / 1/5)) / (2/9 * 6/5))
[187402] ['2/5', '4/9', '6/7', '7/6', '7'] -> ((7 + (6/7 / 2/5)) / (4/9 / 7/6))
[187403] ['4/7', '5/4', '9/5', '5/2', '8'] -> (5/2 * (((8 - 9/5) / 4/7) - 5/4))
[187404] ['3/4', '5/6', '8/7', '5/2', '9'] -> (8/7 * ((5/2 / (5/6 - 3/4)) - 9))
[187405] ['3/7', '7/9', '7/6', '2', '7/2'] -> ((7/6 + (7/2 / 3/7)) / (7/9 / 2))
[187406] ['5/7', '5/6', '5/4', '5/4', '8'] -> (8 / ((5/6 + 5/4) - (5/4 / 5/7)))
[187407] ['7/9', '8/7', '7/4', '9/2', '5'] -> ((9/2 * (7/9 + 5)) - (8/7 * 7/4))
[187408] ['1/3', '5/9', '9/8', '7/6', '6'] -> ((7/6 * 6) / ((5/9 * 9/8) - 1/3))
[187409] ['5/7', '5/7', '9/8', '2', '7/3'] -> ((5/7 / 5/7) / ((7/3 / 2) - 9/8))
[187410] ['1/7', '2/5', '2/3', '7/9', '7'] -> ((7 + (2/3 / (1/7 * 2/5))) / 7/9)
[187411] ['4/7', '5/4', '9/5', '8/3', '8'] -> ((8/3 + (8 / 4/7)) / (5/4 / 9/5))
[187412] ['1/3', '5/9', '9/8', '6/5', '6'] -> ((6 / (1/3 * 5/9)) / (9/8 * 6/5))
[187413] ['3/7', '1/2', '3/5', '4/5', '6'] -> (((1/2 * 4/5) + (6 / 3/7)) / 3/5)
[187414] ['5/7', '5/6', '5/4', '7/5', '8'] -> (8 / ((5/7 * 7/5) - (5/6 / 5/4)))
[187415] ['1/5', '2/9', '1', '6/5', '5/2'] -> (6/5 * ((1 / (1/5 * 2/9)) - 5/2))
[187416] ['3/7', '5/8', '6/7', '1', '5/2'] -> (3/7 / (5/2 - (1 + (5/8 + 6/7))))
[187417] ['3/4', '5/6', '8/7', '9/2', '9'] -> ((9/2 / 9) / (3/4 - (5/6 / 8/7)))
[187418] ['4/7', '6/5', '5/3', '3', '9/2'] -> (3 * (9/2 + (5/3 / (4/7 / 6/5))))
[187419] ['3/7', '7/9', '6/5', '9/7', '2'] -> ((2 / (9/7 - (3/7 + 7/9))) - 6/5)
[187420] ['1/7', '2/5', '2/3', '5/6', '7'] -> ((2/3 + (5/6 / 1/7)) + (7 / 2/5))
[187421] ['2/5', '4/9', '6/7', '4/3', '7'] -> ((4/3 / (4/9 - 2/5)) - (6/7 * 7))
[187422] ['1/8', '1', '7/6', '6/5', '9/2'] -> (((6/5 * (9/2 - 7/6)) - 1) / 1/8)
[187423] ['3/5', '5/7', '5/6', '7/6', '6'] -> (6 / (7/6 * (5/7 - (3/5 * 5/6))))
[187424] ['4/7', '5/4', '9/4', '9/4', '8'] -> (8 * (5/4 + (9/4 / (4/7 * 9/4))))
[187425] ['1/9', '3/7', '6/7', '6/5', '9'] -> (9 + ((6/7 / 6/5) / (1/9 * 3/7)))
[187426] ['3/7', '5/8', '6/7', '1', '8/3'] -> (1 / (8/3 - (5/8 + (6/7 / 3/7))))
[187427] ['1/8', '1', '7/6', '5/4', '9/7'] -> (9/7 / ((1/8 + 1) - (5/4 / 7/6)))
[187428] ['1/3', '5/9', '9/8', '7/5', '6'] -> ((6 + (1/3 / 5/9)) / (7/5 - 9/8))
[187429] ['7/9', '8/7', '9/5', '8/3', '5'] -> (5 * (9/5 + (8/3 / (7/9 * 8/7))))
[187430] ['3/4', '5/6', '7/6', '6/5', '9'] -> ((9 + (5/6 * 6/5)) / (7/6 - 3/4))
[187431] ['4/7', '6/5', '7/4', '9/4', '3'] -> ((3 / ((6/5 / 7/4) - 4/7)) - 9/4)
[187432] ['1/8', '1', '7/6', '5/4', '7/5'] -> (7/5 / ((1/8 - 1) + (7/6 / 5/4)))
[187433] ['4/7', '5/4', '9/4', '8/3', '8'] -> (9/4 * ((8 / 4/7) - (5/4 * 8/3)))
[187434] ['5/7', '5/6', '5/4', '7/3', '8'] -> ((8 + (5/7 / 5/4)) / (5/6 / 7/3))
[187435] ['1/9', '3/7', '6/7', '7/5', '9'] -> (7/5 * ((3/7 + 9) + (6/7 / 1/9)))
[187436] ['4/7', '6/5', '7/4', '7/3', '3'] -> (3 / ((7/4 / 6/5) - (4/7 * 7/3)))
[187437] ['1/8', '1', '7/6', '5/4', '8/5'] -> (8/5 / (7/6 - (1 + (1/8 / 5/4))))
[187438] ['1/3', '5/9', '9/8', '7/4', '6'] -> ((6 - (7/4 / 9/8)) / (1/3 * 5/9))
[187439] ['3/7', '5/8', '7/8', '8/9', '1'] -> ((5/8 + (7/8 / 3/7)) / (1 - 8/9))
[187440] ['5/7', '5/6', '5/4', '5/2', '8'] -> (8 / ((5/6 * 5/2) - (5/4 / 5/7)))
[187441] ['3/7', '1/2', '3/5', '5/4', '6'] -> (((1/2 / 5/4) + (6 / 3/7)) / 3/5)
[187442] ['5/7', '5/7', '8/7', '9/7', '2'] -> ((2 + (5/7 + 5/7)) / (9/7 - 8/7))
[187443] ['1/8', '1', '7/6', '5/4', '9/5'] -> ((1 + 9/5) * (5/4 / (1/8 * 7/6)))
[187444] ['1/9', '3/7', '6/7', '8/5', '9'] -> ((9 + (3/7 / 1/9)) / (6/7 / 8/5))
[187445] ['5/7', '5/6', '5/4', '8/3', '8'] -> ((8/3 / (5/4 - (5/6 / 5/7))) - 8)
[187446] ['1/7', '2/5', '2/3', '8/7', '7'] -> ((((7 - 1/7) / 2/5) - 8/7) / 2/3)
[187447] ['3/7', '1/2', '3/5', '4/3', '6'] -> ((1/2 * 4/3) + (6 / (3/7 * 3/5)))
[187448] ['1/3', '5/9', '9/8', '5/2', '6'] -> ((1/3 + 6) / ((5/9 * 5/2) - 9/8))
[187449] ['2/5', '4/9', '6/7', '9/5', '7'] -> ((2/5 + ((9/5 + 7) / 6/7)) / 4/9)
[187450] ['1/8', '1', '7/6', '5/4', '8/3'] -> ((8/3 / (5/4 - 7/6)) - (1 / 1/8))
