[124111] ['1/8', '1/3', '4/5', '3/2', '7'] -> (((3/2 / (1/8 * 4/5)) - 7) / 1/3)
[125018] ['1/7', '3/7', '7/6', '8/5', '3'] -> (((3 / 7/6) - 3/7) / (1/7 / 8/5))
[125019] ['2/9', '5/6', '8/7', '7/5', '8'] -> ((8 - (8/7 * 7/5)) / (2/9 / 5/6))
[125020] ['2/9', '3/8', '4/7', '3/4', '7'] -> (4/7 / ((3/4 / 7) - (2/9 * 3/8)))
[125021] ['1/8', '3/8', '4/9', '5/4', '7'] -> ((7 + ((1/8 + 5/4) / 3/8)) / 4/9)
[125022] ['3/5', '8/7', '5/4', '9/2', '5'] -> ((8/7 * 5) * (3/5 + (9/2 / 5/4)))
[125023] ['5/8', '7/8', '9/8', '7/3', '4'] -> (4 / ((5/8 / (9/8 - 7/8)) - 7/3))
[125024] ['3/8', '5/7', '8/7', '3/2', '2'] -> (3/2 / (3/8 - ((5/7 / 8/7) / 2)))
[125025] ['2/9', '2/7', '4/9', '5/4', '9'] -> (9 / (5/4 - (4/9 / (2/9 + 2/7))))
[125026] ['2/9', '5/6', '8/7', '3/2', '8'] -> ((8 - (8/7 * (5/6 + 3/2))) / 2/9)
[125027] ['1/8', '3/8', '4/9', '9/7', '7'] -> (((4/9 / 1/8) + (7 / 9/7)) / 3/8)
[125028] ['1/7', '3/7', '7/6', '7/4', '3'] -> ((3 / (1/7 * 3/7)) / (7/6 * 7/4))
[125029] ['1/8', '8/7', '7/5', '9/5', '6'] -> ((9/5 / 1/8) + (6 * (8/7 * 7/5)))
[125030] ['2/9', '3/8', '4/7', '6/7', '7'] -> ((6/7 - 4/7) * (7 / (2/9 * 3/8)))
[125031] ['3/8', '3/5', '5/7', '1', '7/2'] -> (3/5 / ((1 / (5/7 * 7/2)) - 3/8))
[125032] ['2/7', '8/7', '6/5', '5/4', '7'] -> (6/5 + ((8/7 + 7) / (2/7 * 5/4)))
[125033] ['1/7', '3/7', '7/6', '9/4', '3'] -> (3 / (7/6 * (3/7 - (1/7 * 9/4))))
[125034] ['1/8', '3/8', '4/9', '8/5', '7'] -> ((7 - (1/8 / 3/8)) / (4/9 / 8/5))
[125035] ['1/8', '8/7', '7/5', '7/3', '6'] -> ((7/3 - (8/7 / 6)) / (1/8 / 7/5))
[125036] ['2/9', '3/8', '4/7', '7/8', '7'] -> ((7 + (7/8 / 3/8)) / (2/9 / 4/7))
[125037] ['2/9', '5/6', '8/7', '7/4', '8'] -> ((8/7 - (5/6 / 7/4)) / (2/9 / 8))
[125038] ['5/8', '7/8', '8/7', '5/4', '4'] -> ((8/7 / (7/8 - 5/8)) * (5/4 + 4))
[125039] ['5/8', '7/8', '8/7', '9/7', '4'] -> ((8/7 + 4) / ((5/8 + 7/8) - 9/7))
[125040] ['2/7', '8/7', '6/5', '4/3', '7'] -> (8/7 / ((2/7 / 6/5) - (4/3 / 7)))
[125041] ['1/7', '3/7', '7/6', '8/3', '3'] -> ((3 / (3/7 - 1/7)) / (7/6 / 8/3))
[125042] ['3/8', '3/5', '3/4', '7/9', '1'] -> (1 / ((3/8 / 3/5) - (3/4 * 7/9)))
[125043] ['3/8', '5/7', '8/7', '2', '7/3'] -> ((2 + (5/7 + 8/7)) / (3/8 / 7/3))
[125044] ['1/4', '4/7', '4/3', '7/4', '4'] -> ((4/7 + 4) * (7/4 / (1/4 * 4/3)))
[125045] ['5/7', '4/5', '9/4', '3', '9/2'] -> ((4/5 * 9/2) / ((9/4 / 5/7) - 3))
[125046] ['2/9', '3/8', '4/7', '9/8', '7'] -> ((7 / (2/9 / 4/7)) / (9/8 - 3/8))
[125047] ['5/8', '7/8', '8/7', '4/3', '4'] -> (4 / ((7/8 * 8/7) - (5/8 * 4/3)))
[125048] ['3/8', '3/5', '3/4', '5/6', '1'] -> (1 / ((3/4 / 3/5) - (3/8 + 5/6)))
[125049] ['3/5', '8/7', '9/7', '9/4', '5'] -> (8/7 / ((5 * (3/5 / 9/4)) - 9/7))
[125050] ['2/9', '2/7', '4/9', '5/2', '9'] -> ((5/2 * (9 + (2/9 / 2/7))) - 4/9)
[125051] ['1/4', '4/7', '4/3', '9/5', '4'] -> (9/5 * (4 + (4/3 / (1/4 * 4/7))))
[125052] ['3/8', '5/7', '8/7', '2', '5/2'] -> ((2 + (8/7 / 5/7)) / (3/8 / 5/2))
[125053] ['1/8', '3/8', '4/9', '7/2', '7'] -> ((7/2 / (1/8 * 3/8)) / (4/9 * 7))
[125054] ['4/9', '9/8', '7/6', '3', '7/2'] -> (3 / (9/8 * (4/9 - (7/6 / 7/2))))
[125055] ['2/9', '5/6', '8/7', '8/3', '8'] -> ((8 / 2/9) / ((8/3 / 8/7) - 5/6))
[125056] ['1/4', '4/7', '4/3', '9/4', '4'] -> (4 / ((1/4 + 9/4) - (4/3 / 4/7)))
[125057] ['1/8', '3/8', '4/9', '9/2', '7'] -> (((9/2 / (1/8 / 4/9)) - 7) / 3/8)
[125058] ['2/7', '8/7', '6/5', '9/5', '7'] -> (6/5 / (9/5 - (7 * (2/7 / 8/7))))
[125059] ['5/7', '4/5', '7/3', '8/3', '3'] -> (8/3 * ((3 / (5/7 / 7/3)) - 4/5))
[125060] ['3/8', '3/5', '3/4', '8/9', '1'] -> (1 / ((3/4 * 8/9) - (3/8 / 3/5)))
[125061] ['4/9', '9/8', '6/5', '6/5', '3'] -> ((6/5 / 9/8) / (4/9 - (6/5 / 3)))
[125062] ['1/7', '3/7', '6/5', '3/2', '3'] -> ((3/2 - (3/7 / 6/5)) / (1/7 / 3))
[125063] ['2/7', '8/7', '6/5', '9/4', '7'] -> ((2/7 + (8/7 * 9/4)) * (6/5 * 7))
[125064] ['3/8', '3/5', '3/4', '1', '9/8'] -> (1 / ((3/4 / 9/8) - (3/8 / 3/5)))
[125065] ['5/8', '7/8', '8/7', '7/4', '4'] -> ((4 + (8/7 * 7/4)) / (7/8 - 5/8))
[125066] ['4/7', '2/3', '4/5', '6/5', '9'] -> (9 * ((2/3 / 4/7) + (6/5 / 4/5)))
[125067] ['1/7', '3/8', '5/9', '7/6', '4'] -> ((5/9 * 4) + (7/6 / (1/7 * 3/8)))
[125068] ['1/8', '3/8', '1/2', '8/7', '7'] -> ((7 / (8/7 * (3/8 - 1/8))) - 1/2)
[125069] ['3/8', '3/5', '3/4', '1', '8/7'] -> (3/5 / (3/8 - (3/4 / (1 + 8/7))))
[125070] ['5/7', '4/5', '7/3', '3', '9/2'] -> (4/5 / (((9/2 - 7/3) / 5/7) - 3))
[125071] ['1/4', '4/7', '7/5', '7/4', '4'] -> ((4/7 + (4 / 7/5)) / (1/4 / 7/4))
[125072] ['5/8', '7/8', '8/7', '9/4', '4'] -> ((9/4 * 4) / ((7/8 * 8/7) - 5/8))
[125073] ['1/8', '8/7', '3/2', '5/2', '6'] -> ((8/7 * 3/2) * ((5/2 / 1/8) - 6))
[125074] ['4/7', '2/3', '4/5', '9/7', '9'] -> (9 * ((4/7 / 4/5) + (2/3 + 9/7)))
[125075] ['2/9', '5/6', '7/6', '5/4', '8'] -> ((8 - (7/6 + (5/4 / 5/6))) / 2/9)
[125076] ['3/5', '8/7', '4/3', '8/5', '5'] -> ((8/7 * (3/5 + 5)) / (8/5 - 4/3))
[125077] ['2/9', '3/8', '4/7', '5/3', '7'] -> ((4/7 * 7) + (5/3 / (2/9 * 3/8)))
[125078] ['1/8', '8/7', '3/2', '8/3', '6'] -> (1/8 + (6 * (8/3 + (3/2 / 8/7))))
[125079] ['2/9', '2/7', '1/2', '3/4', '9'] -> (9 / ((3/4 / 2/7) - (1/2 / 2/9)))
[125080] ['3/8', '5/7', '7/6', '7/5', '2'] -> (7/5 / ((7/6 / 2) - (3/8 / 5/7)))
[125081] ['3/5', '8/7', '4/3', '5/3', '5'] -> ((3/5 * 5) / ((5/3 / 8/7) - 4/3))
[125082] ['3/8', '3/5', '3/4', '1', '9/7'] -> (1 / ((3/8 / 3/5) - (3/4 / 9/7)))
[125083] ['2/9', '2/7', '1/2', '7/9', '9'] -> (2/7 + ((2/9 + 9) / (1/2 * 7/9)))
[125084] ['2/9', '3/8', '4/7', '7/4', '7'] -> ((7 / 3/8) / ((4/7 * 7/4) - 2/9))
[125085] ['3/8', '3/5', '3/4', '1', '4/3'] -> (1 / ((3/8 / 3/5) + (3/4 - 4/3)))
[125086] ['1/4', '4/7', '7/5', '5/2', '4'] -> ((4 + (5/2 * (4/7 * 7/5))) / 1/4)
[125087] ['5/7', '4/5', '8/3', '8/3', '3'] -> ((8/3 + (8/3 / 5/7)) / (4/5 / 3))
[125088] ['1/7', '3/7', '5/4', '4/3', '3'] -> (((5/4 * 3) - (3/7 / 4/3)) / 1/7)
[125089] ['1/8', '8/7', '8/5', '8/5', '6'] -> ((6 - (8/5 + (8/5 / 8/7))) / 1/8)
[125090] ['2/7', '8/7', '5/4', '7/5', '7'] -> (8/7 * (7/5 + (7 / (2/7 * 5/4))))
[125091] ['4/7', '2/3', '4/5', '5/3', '9'] -> (2/3 + ((5/3 + 9) / (4/7 * 4/5)))
[125092] ['1/8', '3/8', '5/9', '5/8', '7'] -> (7 / (5/8 - (1/8 + (3/8 * 5/9))))
[125093] ['3/8', '3/5', '3/4', '1', '3/2'] -> (((3/2 / (3/4 - 3/5)) - 1) / 3/8)
[125094] ['3/8', '5/7', '7/6', '8/5', '2'] -> ((2 / 7/6) / ((5/7 / 8/5) - 3/8))
[125095] ['5/8', '7/8', '7/6', '5/4', '4'] -> (4 / ((7/6 - 5/4) - (5/8 - 7/8)))
[125096] ['4/9', '9/8', '6/5', '7/4', '3'] -> ((7/4 / (4/9 - (9/8 / 3))) - 6/5)
[125097] ['1/7', '3/7', '5/4', '7/5', '3'] -> ((3/7 + (3 / 1/7)) / (5/4 / 7/5))
[125098] ['1/4', '4/7', '7/5', '4', '9/2'] -> ((4 * 9/2) / (4/7 + (1/4 / 7/5)))
[125099] ['2/7', '8/7', '5/4', '5/3', '7'] -> ((7 * (2/7 + 8/7)) / (5/3 - 5/4))
[125100] ['3/5', '8/7', '4/3', '7/3', '5'] -> (8/7 / (4/3 - (5 * (3/5 / 7/3))))
[125101] ['1/7', '3/8', '5/9', '5/3', '4'] -> (5/3 / ((1/7 * (3/8 + 4)) - 5/9))
[125102] ['1/7', '3/7', '5/4', '8/5', '3'] -> ((8/5 * 3) / ((3/7 / 5/4) - 1/7))
[125103] ['2/9', '2/7', '1/2', '9/8', '9'] -> (9 / ((9/8 * (2/9 / 2/7)) - 1/2))
[125104] ['1/8', '8/7', '8/5', '9/5', '6'] -> ((6 - 9/5) / (8/5 * (1/8 / 8/7)))
[125105] ['5/7', '4/5', '3', '7/2', '9/2'] -> ((9/2 + (7/2 / (5/7 / 3))) / 4/5)
[125106] ['1/8', '3/8', '5/9', '7/9', '7'] -> ((5/9 + (7/9 * 7)) / (3/8 - 1/8))
[125107] ['4/7', '2/3', '4/5', '9/4', '9'] -> (((2/3 * 9) / (4/5 - 4/7)) - 9/4)
[125108] ['5/8', '7/8', '7/6', '7/4', '4'] -> ((4 / (7/8 - 5/8)) / (7/6 / 7/4))
[125109] ['1/8', '8/7', '8/5', '9/4', '6'] -> ((6 / (8/5 * (1/8 * 8/7))) - 9/4)
[125110] ['1/7', '3/7', '5/4', '9/5', '3'] -> ((9/5 + 3) / ((3/7 / 5/4) - 1/7))
[125111] ['2/9', '5/6', '6/5', '7/4', '8'] -> (((8 / (2/9 * 5/6)) - 6/5) / 7/4)
[125112] ['2/7', '8/7', '5/4', '7/3', '7'] -> (7/3 * (2/7 + (7 * (8/7 * 5/4))))
[125113] ['5/8', '7/8', '7/6', '9/5', '4'] -> (4 / (9/5 - (7/6 / (5/8 / 7/8))))
[125114] ['1/8', '3/8', '5/9', '4/5', '7'] -> (7 / (1/8 + (4/5 * (3/8 * 5/9))))
[125115] ['3/5', '8/7', '4/3', '7/2', '5'] -> (5 * ((3/5 * 4/3) + (8/7 * 7/2)))
[125116] ['2/9', '3/8', '4/7', '9/2', '7'] -> ((3/8 - (9/2 / 4/7)) + (7 / 2/9))
[125117] ['2/9', '2/7', '1/2', '6/5', '9'] -> ((9 / (2/7 * 6/5)) - (1/2 / 2/9))
[125118] ['2/7', '8/7', '5/4', '8/3', '7'] -> (8/3 * ((2/7 / 8/7) + (5/4 * 7)))
[125119] ['5/8', '7/8', '7/6', '9/4', '4'] -> ((7/6 + (5/8 + 7/8)) * (9/4 * 4))
[125120] ['2/9', '2/7', '1/2', '5/4', '9'] -> (5/4 + ((2/9 + 1/2) / (2/7 / 9)))
[125121] ['4/7', '2/3', '4/5', '8/3', '9'] -> ((8/3 + 9) / (2/3 / (4/7 + 4/5)))
[125122] ['5/7', '5/6', '5/6', '7/8', '3'] -> ((5/6 / 7/8) * (3 / (5/6 - 5/7)))
[125123] ['1/4', '4/7', '8/5', '8/5', '4'] -> (((4 / 4/7) - (8/5 / 8/5)) / 1/4)
[125124] ['2/9', '2/7', '1/2', '9/7', '9'] -> (2/7 + ((2/9 + 9) / (1/2 / 9/7)))
[125125] ['3/8', '5/7', '7/6', '2', '8/3'] -> (8/3 / (7/6 * (2 - (5/7 / 3/8))))
[125126] ['1/7', '3/7', '9/7', '7/5', '3'] -> ((3 - (3/7 * 9/7)) / (1/7 / 7/5))
[125127] ['2/7', '8/7', '9/7', '7/5', '7'] -> (((7/5 * (7 - 9/7)) - 8/7) / 2/7)
[125128] ['4/7', '2/3', '4/5', '9/2', '9'] -> ((4/5 * 9) * (9/2 - (2/3 / 4/7)))
[125129] ['2/9', '5/6', '6/5', '9/2', '8'] -> (9/2 * ((8 * (5/6 / 6/5)) - 2/9))
[125130] ['3/8', '3/5', '7/9', '6/7', '1'] -> (1 / ((7/9 * 6/7) - (3/8 / 3/5)))
[125131] ['3/8', '5/7', '7/6', '2', '7/2'] -> ((5/7 + (2 * 7/2)) / (3/8 / 7/6))
[125132] ['2/9', '3/8', '3/5', '3/4', '7'] -> ((3/8 + (3/4 / 2/9)) * (7 - 3/5))
[125133] ['1/4', '4/7', '8/5', '7/4', '4'] -> (8/5 * ((4 / 1/4) - (4/7 * 7/4)))
[125134] ['1/8', '8/7', '8/5', '9/2', '6'] -> ((8/5 - 8/7) * (9/2 + (6 / 1/8)))
[125135] ['5/7', '5/6', '5/6', '8/7', '3'] -> ((5/6 * 8/7) * (3 / (5/6 - 5/7)))
[125136] ['3/5', '8/7', '7/5', '5/3', '5'] -> ((8/7 * (3/5 + 5)) / (5/3 - 7/5))
[125137] ['2/9', '3/8', '3/5', '7/9', '7'] -> ((7/9 / 7) / (3/8 - (2/9 / 3/5)))
[125138] ['2/7', '8/7', '9/7', '7/4', '7'] -> (((8/7 * 7) * (9/7 + 7/4)) - 2/7)
[125139] ['5/8', '7/8', '6/5', '5/3', '4'] -> ((4 + (6/5 * 5/3)) / (7/8 - 5/8))
[125140] ['1/8', '8/7', '5/3', '5/3', '6'] -> (8/7 * ((5/3 / 1/8) + (5/3 + 6)))
[125141] ['4/9', '9/8', '5/4', '4/3', '3'] -> ((5/4 * 4/3) / (4/9 - (9/8 / 3)))
[125142] ['1/8', '3/8', '5/9', '7/4', '7'] -> (3/8 + ((1/8 + 7/4) / (5/9 / 7)))
[125143] ['2/9', '2/7', '1/2', '5/3', '9'] -> ((2/9 * 9) / ((1/2 / 2/7) - 5/3))
[125144] ['3/5', '8/7', '7/5', '9/5', '5'] -> ((7/5 * 9/5) * (5 / (3/5 / 8/7)))
[125145] ['4/7', '2/3', '5/6', '7/8', '9'] -> (((5/6 + (9 / 4/7)) / 2/3) - 7/8)
[125146] ['4/9', '9/8', '5/4', '7/5', '3'] -> (7/5 / (9/8 - (3 * (4/9 / 5/4))))
[125147] ['1/8', '3/8', '5/9', '9/4', '7'] -> ((7 + ((1/8 + 9/4) / 3/8)) / 5/9)
[125148] ['3/5', '8/7', '7/5', '9/4', '5'] -> (5 / (9/4 - (7/5 / (3/5 * 8/7))))
[125149] ['5/7', '5/6', '5/6', '5/4', '3'] -> (3 / ((5/6 / 5/7) - (5/6 * 5/4)))
[125150] ['5/8', '7/8', '6/5', '9/4', '4'] -> ((7/8 + 9/4) * (4 / (5/8 / 6/5)))
[125151] ['2/9', '5/6', '5/4', '7/3', '8'] -> (((8 - 7/3) / 2/9) - (5/4 / 5/6))
[125152] ['3/8', '5/7', '6/5', '9/7', '2'] -> (9/7 / (((5/7 * 6/5) / 2) - 3/8))
[125153] ['3/8', '3/5', '7/9', '1', '7/6'] -> (1 / ((7/9 / 7/6) - (3/8 / 3/5)))
[125154] ['4/7', '2/3', '5/6', '9/8', '9'] -> ((9 / 9/8) / ((2/3 / 4/7) - 5/6))
[125155] ['3/8', '5/7', '6/5', '4/3', '2'] -> ((6/5 / 3/8) / (2 - (4/3 / 5/7)))
[125156] ['2/9', '2/7', '1/2', '9/4', '9'] -> ((1/2 / 2/7) + (9 * (2/9 + 9/4)))
[125157] ['1/8', '3/8', '4/7', '3/5', '7'] -> ((4/7 * 7) / (3/8 - (1/8 / 3/5)))
[125158] ['4/7', '2/3', '5/6', '7/6', '9'] -> (9 / ((2/3 + 7/6) - (5/6 / 4/7)))
[125159] ['4/9', '9/8', '5/4', '7/4', '3'] -> (7/4 / ((9/8 * 5/4) - (4/9 * 3)))
[125160] ['2/9', '5/6', '9/7', '9/7', '8'] -> ((8 - 2/9) / (5/6 / (9/7 + 9/7)))
[125161] ['1/4', '4/7', '5/3', '5/3', '4'] -> (((4 / 4/7) - (5/3 / 5/3)) / 1/4)
[125162] ['3/8', '5/7', '6/5', '7/5', '2'] -> ((6/5 / 7/5) / ((3/8 * 2) - 5/7))
[125163] ['1/7', '3/7', '4/3', '9/4', '3'] -> ((4/3 - (3/7 / 9/4)) / (1/7 / 3))
[125164] ['4/9', '9/8', '5/4', '9/5', '3'] -> (3 / (9/8 - (9/5 * (4/9 * 5/4))))
[125165] ['1/8', '8/7', '5/3', '8/3', '6'] -> (6 * ((5/3 / 8/7) - (1/8 - 8/3)))
[125166] ['1/4', '4/7', '5/3', '7/4', '4'] -> (4 / (1/4 * (5/3 - (4/7 * 7/4))))
[125167] ['2/9', '5/6', '9/7', '7/5', '8'] -> ((8 / (2/9 * 5/6)) / (9/7 * 7/5))
[125168] ['4/7', '2/3', '5/6', '5/4', '9'] -> (9 * ((2/3 / 4/7) + (5/4 / 5/6)))
[125169] ['1/7', '3/8', '4/7', '6/5', '4'] -> (4 / (3/8 - ((1/7 / 4/7) / 6/5)))
[125170] ['1/8', '8/7', '5/3', '7/2', '6'] -> (8/7 + (6 / (7/2 * (1/8 / 5/3))))
[125171] ['5/8', '7/8', '5/4', '8/5', '4'] -> ((4 + (5/4 * 8/5)) / (7/8 - 5/8))
[125172] ['1/4', '4/7', '5/3', '9/5', '4'] -> ((9/5 + (4 / (4/7 * 5/3))) / 1/4)
[125173] ['3/8', '3/5', '7/9', '1', '5/3'] -> ((5/3 / (3/8 * (7/9 - 3/5))) - 1)
[125174] ['4/9', '9/8', '5/4', '5/2', '3'] -> (3 * ((9/8 + 5/4) + (5/2 / 4/9)))
[125175] ['1/8', '8/7', '5/3', '9/2', '6'] -> (9/2 * ((8/7 * (1/8 + 6)) - 5/3))
[125176] ['5/8', '7/8', '5/4', '9/5', '4'] -> (4 / (((5/8 + 5/4) / 9/5) - 7/8))
[125177] ['2/9', '5/6', '9/7', '3/2', '8'] -> ((9/7 + (3/2 / 5/6)) * (8 - 2/9))
[125178] ['4/7', '2/3', '5/6', '7/5', '9'] -> (9 / ((5/6 / (4/7 * 7/5)) - 2/3))
[125179] ['1/7', '3/7', '7/5', '3/2', '3'] -> ((3/2 - 3/7) * (7/5 + (3 / 1/7)))
[125180] ['2/7', '8/7', '7/5', '5/3', '7'] -> (8/7 / (((7/5 * 5/3) / 7) - 2/7))
[125181] ['1/4', '4/7', '5/3', '5/2', '4'] -> (4 / ((5/3 / 4/7) - (1/4 + 5/2)))
[125182] ['3/8', '3/5', '7/9', '1', '7/4'] -> ((1 / 3/5) / ((7/9 / 7/4) - 3/8))
[125183] ['1/8', '3/8', '4/7', '9/8', '7'] -> ((9/8 - 3/8) * (7 / (1/8 / 4/7)))
[125184] ['5/8', '7/8', '5/4', '7/3', '4'] -> (4 / ((7/8 * 7/3) - (5/8 + 5/4)))
[125185] ['3/8', '5/7', '6/5', '9/5', '2'] -> (9/5 / ((6/5 / 2) - (3/8 / 5/7)))
[125186] ['3/5', '8/7', '3/2', '9/4', '5'] -> ((8/7 * (3/5 + 5)) * (3/2 + 9/4))
[125187] ['1/7', '3/7', '7/5', '5/3', '3'] -> ((7/5 - (3/7 / 5/3)) / (1/7 / 3))
[125188] ['2/9', '3/8', '3/5', '3/2', '7'] -> (7 / ((3/8 / 3/5) - (2/9 * 3/2)))
[125189] ['3/5', '8/7', '3/2', '7/3', '5'] -> (8/7 / ((5 / (3/5 + 3/2)) - 7/3))
[125190] ['2/7', '8/7', '7/5', '9/4', '7'] -> ((2/7 + (8/7 * 9/4)) * (7/5 + 7))
[125191] ['3/8', '5/7', '6/5', '2', '9/4'] -> ((6/5 + (2 / 5/7)) / (3/8 / 9/4))
[125192] ['5/8', '7/8', '9/7', '9/7', '4'] -> ((9/7 * 4) / ((5/8 + 7/8) - 9/7))
[125193] ['1/4', '4/7', '5/3', '4', '9/2'] -> ((4 - 5/3) * (9/2 / (1/4 / 4/7)))
[125194] ['2/9', '2/7', '5/9', '2/3', '9'] -> (9 * ((2/3 / 2/7) - (2/9 - 5/9)))
[125195] ['3/5', '8/7', '3/2', '5/2', '5'] -> ((8/7 * 3/2) * (5/2 * (3/5 + 5)))
[125196] ['2/9', '3/8', '3/5', '5/3', '7'] -> ((7 / 3/8) / ((3/5 * 5/3) - 2/9))
[125197] ['5/8', '7/8', '9/7', '4/3', '4'] -> (4 / (4/3 - ((5/8 + 7/8) / 9/7)))
[125198] ['2/7', '8/7', '7/5', '7/3', '7'] -> (8/7 / (2/7 - (7/3 / (7/5 * 7))))
[125199] ['5/7', '5/6', '5/6', '8/3', '3'] -> ((8/3 * 3) / ((5/6 / 5/7) - 5/6))
[125200] ['1/7', '3/8', '3/5', '3/5', '4'] -> (3/5 / ((1/7 * (3/8 + 4)) - 3/5))
[125201] ['4/7', '2/3', '5/6', '7/4', '9'] -> (9 / ((2/3 - 7/4) + (5/6 / 4/7)))
[125202] ['2/9', '3/8', '3/5', '7/4', '7'] -> (3/8 + ((7/4 + 7) / (2/9 / 3/5)))
[125203] ['4/9', '9/8', '9/7', '5/3', '3'] -> (3 / (9/7 * (5/3 - (4/9 + 9/8))))
[125204] ['1/8', '8/7', '9/5', '7/3', '6'] -> ((6 / (1/8 * 9/5)) - (8/7 * 7/3))
[125205] ['4/7', '2/3', '5/6', '9/5', '9'] -> (9 * ((2/3 / 4/7) + (5/6 * 9/5)))
[125206] ['1/4', '4/7', '9/5', '9/5', '4'] -> (((4 / 4/7) - (9/5 / 9/5)) / 1/4)
[125207] ['2/9', '5/6', '9/7', '5/2', '8'] -> (8 * ((2/9 + 5/6) + (5/2 / 9/7)))
[125208] ['3/8', '5/7', '6/5', '2', '8/3'] -> ((6/5 / 3/8) / ((2 / 5/7) - 8/3))
[125209] ['5/7', '5/6', '5/6', '3', '9/2'] -> (9/2 * (3 + ((5/6 + 5/6) / 5/7)))
[125210] ['2/7', '8/7', '3/2', '8/5', '7'] -> ((3/2 * 8/5) * (7 * (2/7 + 8/7)))
[125211] ['4/7', '2/3', '5/6', '9/4', '9'] -> (9 / (((2/3 + 5/6) / 4/7) - 9/4))
[125212] ['2/9', '5/6', '9/7', '8/3', '8'] -> (9/7 * ((5/6 * 8) + (8/3 / 2/9)))
[125213] ['4/9', '9/8', '9/7', '9/4', '3'] -> (3 / ((4/9 * 9/4) - (9/8 / 9/7)))
[125214] ['3/8', '3/5', '4/5', '4/5', '1'] -> ((4/5 + 1) / (3/8 * (4/5 - 3/5)))
[125215] ['1/7', '3/7', '7/5', '3', '9/2'] -> ((1/7 + (3 / 7/5)) / (3/7 / 9/2))
[125216] ['1/8', '3/8', '4/7', '7/3', '7'] -> (4/7 / (3/8 - ((1/8 + 7/3) / 7)))
[125217] ['4/7', '2/3', '5/6', '5/2', '9'] -> (9 / (5/2 - (2/3 + (5/6 / 4/7))))
[125218] ['1/4', '4/7', '9/5', '8/3', '4'] -> ((4/7 + 4) * (9/5 * (1/4 + 8/3)))
[125219] ['1/7', '3/8', '3/5', '5/6', '4'] -> (((3/5 / 1/7) + (4 / 5/6)) / 3/8)
[125220] ['2/9', '2/7', '5/9', '8/9', '9'] -> ((9 - (5/9 + (8/9 / 2/7))) / 2/9)
[125221] ['1/7', '3/7', '3/2', '5/3', '3'] -> ((3 - (3/7 * 5/3)) / (1/7 / 3/2))
[125222] ['5/7', '5/6', '6/7', '6/5', '3'] -> ((3 / (5/6 * (6/7 - 5/7))) - 6/5)
[125223] ['1/8', '8/7', '9/4', '5/2', '6'] -> ((9/4 + (6 / 8/7)) / (1/8 * 5/2))
[125224] ['2/7', '8/7', '8/5', '5/3', '7'] -> ((8/7 * 5/3) * (7 + (8/5 / 2/7)))
[125225] ['3/5', '8/7', '8/5', '8/3', '5'] -> (5 / (((8/3 - 3/5) / 8/7) - 8/5))
[125226] ['1/8', '3/8', '3/5', '5/7', '7'] -> (7 * ((3/8 / 1/8) + (3/5 * 5/7)))
[125227] ['4/7', '2/3', '5/6', '7/2', '9'] -> (2/3 + ((9 + (5/6 + 7/2)) / 4/7))
[125228] ['1/7', '3/8', '3/5', '7/8', '4'] -> (4 / (3/8 - (7/8 * (1/7 / 3/5))))
[125229] ['2/7', '8/7', '8/5', '7/4', '7'] -> ((8/7 * 8/5) * (7 + (7/4 / 2/7)))
[125230] ['1/4', '4/7', '9/4', '9/4', '4'] -> (((4 / 4/7) - (9/4 / 9/4)) / 1/4)
[125231] ['2/9', '2/7', '5/9', '8/7', '9'] -> (9 * (((8/7 - 2/9) / 2/7) - 5/9))
[125232] ['2/9', '5/6', '7/5', '3/2', '8'] -> ((8 - (3/2 + (5/6 * 7/5))) / 2/9)
[125233] ['5/7', '5/6', '6/7', '7/5', '3'] -> ((3 / (5/6 - 5/7)) - (6/7 * 7/5))
[125234] ['1/8', '3/8', '3/5', '6/7', '7'] -> (6/7 / (1/8 - ((3/8 / 3/5) / 7)))
[125235] ['4/7', '2/3', '6/7', '7/8', '9'] -> ((9 * (2/3 / 7/8)) / (6/7 - 4/7))
[125236] ['3/8', '3/5', '4/5', '1', '3/2'] -> (3/5 / ((4/5 * (3/2 - 1)) - 3/8))
[125237] ['2/9', '5/6', '7/5', '8/5', '8'] -> ((7/5 + (8 / 8/5)) / (2/9 / 5/6))
[125238] ['1/8', '8/7', '7/3', '5/2', '6'] -> (8/7 / (7/3 - (6 / (1/8 + 5/2))))
[125239] ['3/5', '8/7', '5/3', '7/4', '5'] -> (8/7 / ((5 * (3/5 / 7/4)) - 5/3))
[125240] ['1/7', '3/7', '8/5', '9/4', '3'] -> ((9/4 / (3/7 / 8/5)) * (3 - 1/7))
[125241] ['5/7', '5/6', '6/7', '3/2', '3'] -> ((6/7 + (3 / 3/2)) / (5/6 - 5/7))
[125242] ['1/8', '3/8', '3/5', '7/8', '7'] -> (7 / (7/8 - (3/8 + (1/8 / 3/5))))
[125243] ['5/8', '7/8', '4/3', '7/5', '4'] -> ((4 / 5/8) / ((7/5 / 7/8) - 4/3))
[125244] ['2/9', '5/6', '7/5', '7/4', '8'] -> ((7/5 / 7/4) * (8 / (2/9 / 5/6)))
[125245] ['1/8', '8/7', '7/3', '7/2', '6'] -> ((7/3 + ((8/7 * 7/2) / 6)) / 1/8)
[125246] ['3/5', '8/7', '5/3', '9/4', '5'] -> ((8/7 * 5/3) * (9/4 * (3/5 + 5)))
