[44326] ['1/3', '3/7', '3/2', '7/4', '8'] -> (8 * (3/7 + (3/2 / (1/3 * 7/4))))
[44943] ['5/4', '9/7', '4/3', '7/4', '6'] -> (6 / ((9/7 / 4/3) - (5/4 / 7/4)))
[44944] ['1/7', '8/9', '5/4', '9/5', '9'] -> ((8/9 * 5/4) * (9 + (9/5 / 1/7)))
[44945] ['1/8', '9/8', '6/5', '9/7', '5'] -> (6/5 / (((9/8 / 9/7) / 5) - 1/8))
[44946] ['1/5', '3/7', '7/8', '7/8', '4'] -> (((7/8 + 4) / 1/5) - (3/7 * 7/8))
[44947] ['1/3', '4/9', '3/4', '8/7', '8'] -> ((1/3 + (8 / 8/7)) / (3/4 - 4/9))
[44948] ['1/9', '1/4', '5/8', '7/3', '4'] -> ((7/3 + 4) / (5/8 - (1/9 + 1/4)))
[44949] ['1/9', '3/7', '3/7', '3/4', '3'] -> ((3 - (3/7 / 3/7)) / (1/9 * 3/4))
[44950] ['3/8', '8/9', '7/3', '3', '7/2'] -> (7/3 / ((3/8 + 8/9) - (7/2 / 3)))
[44951] ['4/9', '7/6', '7/2', '7/2', '4'] -> (((4 / (4/9 / 7/2)) - 7/2) / 7/6)
[44952] ['1/7', '8/9', '5/4', '9/4', '9'] -> (8/9 * ((5/4 * 9) + (9/4 / 1/7)))
[44953] ['3/8', '5/7', '5/3', '5/3', '4'] -> (((5/3 / 5/7) + (5/3 * 4)) / 3/8)
[44954] ['1/4', '2/7', '5/8', '5/8', '5'] -> (((5 / 2/7) - (5/8 / 1/4)) / 5/8)
[44955] ['3/8', '8/9', '5/2', '5/2', '3'] -> ((3 + (5/2 + 5/2)) / (3/8 * 8/9))
[44956] ['1/9', '1/4', '5/8', '7/2', '4'] -> (4 / (1/9 * (5/8 + (1/4 * 7/2))))
[44957] ['5/4', '9/7', '4/3', '9/4', '6'] -> ((4/3 * 6) * (5/4 + (9/4 / 9/7)))
[44958] ['1/8', '9/8', '6/5', '9/4', '5'] -> ((6/5 / 9/4) * (5 / (1/8 / 9/8)))
[44959] ['1/6', '6/7', '8/9', '5/4', '6'] -> (6 * ((1/6 / (8/9 - 6/7)) - 5/4))
[44960] ['1/9', '3/7', '3/7', '5/6', '3'] -> (((3 / (3/7 + 3/7)) - 5/6) / 1/9)
[44961] ['4/9', '6/5', '6/5', '5/4', '4'] -> (6/5 / (4 - (5/4 + (6/5 / 4/9))))
[44962] ['5/4', '9/7', '4/3', '7/3', '6'] -> ((6 / (9/7 * 7/3)) / (4/3 - 5/4))
[44963] ['1/4', '2/7', '5/8', '2/3', '5'] -> ((((5 - 1/4) / 2/7) - 5/8) / 2/3)
[44964] ['1/9', '1/4', '2/3', '5/7', '4'] -> ((2/3 + 4) * (5/7 / (1/4 - 1/9)))
[44965] ['1/7', '8/9', '5/4', '8/3', '9'] -> ((9 + (8/3 / (1/7 * 8/9))) / 5/4)
[44966] ['3/8', '9/8', '9/8', '6/5', '3'] -> (3 / (((3/8 + 9/8) / 6/5) - 9/8))
[44967] ['1/9', '3/7', '3/7', '7/8', '3'] -> (3/7 / ((7/8 + 3) - (3/7 / 1/9)))
[44968] ['5/9', '5/7', '5/7', '1', '8/3'] -> (8/3 / ((5/9 * 5/7) + (5/7 - 1)))
[44969] ['1/8', '9/8', '6/5', '8/3', '5'] -> (((6/5 * 5) - (9/8 * 8/3)) / 1/8)
[44970] ['5/4', '9/7', '4/3', '5/2', '6'] -> (6 / ((9/7 * (5/2 - 4/3)) - 5/4))
[44971] ['1/6', '6/7', '8/9', '3/2', '6'] -> ((6 - (8/9 * 3/2)) / (1/6 / 6/7))
[44972] ['1/9', '3/7', '3/7', '8/7', '3'] -> (8/7 / (3/7 - (1/9 * (3/7 + 3))))
[44973] ['2/7', '3/8', '2/5', '6/7', '2'] -> (6/7 / ((3/8 * 2) - (2/7 / 2/5)))
[44974] ['1/8', '9/8', '5/4', '5/4', '5'] -> (((5/4 + (9/8 + 5/4)) / 1/8) - 5)
[44975] ['1/9', '1/4', '2/3', '7/8', '4'] -> (((7/8 * (4 - 2/3)) - 1/4) / 1/9)
[44976] ['4/9', '6/5', '6/5', '3/2', '4'] -> (6/5 / ((3/2 / (4/9 / 6/5)) - 4))
[44977] ['1/3', '4/9', '7/9', '6/7', '8'] -> (8 / (((4/9 / 7/9) / 6/7) - 1/3))
[44978] ['3/8', '5/7', '5/3', '5/2', '4'] -> ((5/2 / (5/7 - (3/8 * 5/3))) - 4)
[44979] ['1/7', '8/9', '9/7', '9/7', '9'] -> (8/9 * (9 + ((9/7 + 9/7) / 1/7)))
[44980] ['1/5', '3/7', '7/8', '7/5', '4'] -> (7/8 * (3/7 + ((7/5 + 4) / 1/5)))
[44981] ['1/4', '2/7', '5/8', '6/7', '5'] -> (6/7 / (2/7 * (1/4 - (5/8 / 5))))
[44982] ['1/5', '1/5', '1/4', '5/3', '5'] -> ((1/5 + 5) / ((1/4 * 5/3) - 1/5))
[44983] ['1/9', '1/4', '2/3', '8/7', '4'] -> ((((4 - 2/3) / 8/7) - 1/4) / 1/9)
[44984] ['5/4', '9/7', '7/5', '7/5', '6'] -> ((5/4 * 6) * (7/5 + (9/7 * 7/5)))
[44985] ['3/8', '9/8', '9/8', '9/5', '3'] -> (3 / ((9/8 - 3/8) - (9/8 / 9/5)))
[44986] ['1/5', '1/5', '1/4', '7/4', '5'] -> (((1/5 + 5) / 1/5) - (1/4 + 7/4))
[44987] ['1/4', '2/7', '5/8', '7/8', '5'] -> (((2/7 + 5) + (5/8 / 7/8)) / 1/4)
[44988] ['3/8', '9/8', '9/8', '5/2', '3'] -> (3 / ((3/8 + 9/8) + (9/8 - 5/2)))
[44989] ['1/8', '9/8', '5/4', '5/3', '5'] -> ((5 - 5/3) / (5/4 * (1/8 / 9/8)))
[44990] ['5/4', '9/7', '7/5', '3/2', '6'] -> ((3/2 / (7/5 * (9/7 - 5/4))) - 6)
[44991] ['1/6', '6/7', '8/9', '9/4', '6'] -> ((8/9 + (6 / (6/7 * 9/4))) / 1/6)
[44992] ['3/8', '5/7', '5/3', '4', '9/2'] -> (((5/3 * 9/2) / (3/8 * 5/7)) - 4)
[44993] ['1/9', '1/7', '5/8', '5/7', '5'] -> (5/7 / (1/9 * (1/7 + (5/8 / 5))))
[44994] ['1/5', '1/5', '1/4', '9/5', '5'] -> ((5 / 1/5) - (9/5 - (1/5 / 1/4)))
[44995] ['5/9', '5/7', '3/4', '5/6', '1'] -> (1 / (3/4 * (5/6 - (5/9 / 5/7))))
[44996] ['1/9', '1/4', '2/3', '7/5', '4'] -> ((2/3 + 4) / (7/5 * (1/4 - 1/9)))
[44997] ['1/7', '8/9', '9/7', '7/4', '9'] -> (((9 / 7/4) - 9/7) / (1/7 / 8/9))
[44998] ['5/4', '9/7', '7/5', '8/5', '6'] -> ((6 / 5/4) / ((9/7 * 7/5) - 8/5))
[44999] ['1/5', '1/5', '1/4', '7/3', '5'] -> ((1/5 + 5) / ((1/5 * 7/3) - 1/4))
[45000] ['5/9', '5/7', '3/4', '6/7', '1'] -> (6/7 / (1 - (3/4 / (5/9 / 5/7))))
[45001] ['3/8', '5/7', '7/4', '9/5', '4'] -> ((7/4 * 9/5) * (4 / (3/8 / 5/7)))
[45002] ['1/8', '9/8', '5/4', '7/3', '5'] -> (7/3 / ((5/4 / (9/8 * 5)) - 1/8))
[45003] ['1/5', '3/7', '7/8', '9/5', '4'] -> ((9/5 - 3/7) * (4 / (1/5 / 7/8)))
[45004] ['1/5', '1/5', '1/4', '7/2', '5'] -> ((7/2 + (1/4 * (1/5 + 5))) / 1/5)
[45005] ['4/9', '6/5', '5/4', '4/3', '4'] -> (4/3 / ((4/9 / 5/4) - (6/5 / 4)))
[45006] ['1/6', '6/7', '8/9', '9/2', '6'] -> ((6/7 * 8/9) * ((6 / 1/6) - 9/2))
[45007] ['1/9', '1/4', '5/7', '5/7', '4'] -> ((4 * ((5/7 / 1/9) - 1/4)) - 5/7)
[45008] ['5/9', '5/7', '3/4', '8/9', '1'] -> (8/9 / (((5/9 / 5/7) / 3/4) - 1))
[45009] ['1/9', '3/7', '3/7', '9/5', '3'] -> (((3/7 / 3/7) + (3 / 9/5)) / 1/9)
[45010] ['2/7', '3/8', '2/5', '7/5', '2'] -> (((7/5 / 2/7) - 2/5) / (3/8 / 2))
[45011] ['1/7', '8/9', '9/7', '5/2', '9'] -> ((8/9 * 9/7) + (5/2 * (1/7 + 9)))
[45012] ['3/8', '5/7', '7/4', '7/3', '4'] -> (7/4 * ((5/7 + 7/3) + (4 / 3/8)))
[45013] ['1/9', '3/7', '3/7', '9/4', '3'] -> ((3 - 3/7) / (9/4 * (1/9 * 3/7)))
[45014] ['3/8', '9/8', '8/7', '4/3', '3'] -> (4/3 * ((3/8 / (8/7 - 9/8)) - 3))
[45015] ['1/9', '1/7', '5/8', '5/6', '5'] -> (5 / ((5/6 / 1/7) - (5/8 / 1/9)))
[45016] ['4/9', '6/5', '5/4', '7/5', '4'] -> (6/5 / ((4 / 5/4) - (7/5 / 4/9)))
[45017] ['5/9', '5/7', '3/4', '1', '9/8'] -> ((1 / 5/9) / (9/8 - (3/4 / 5/7)))
[45018] ['1/8', '9/8', '9/7', '4/3', '5'] -> ((9/7 * 4/3) * (5 + (9/8 / 1/8)))
[45019] ['4/9', '6/5', '5/4', '3/2', '4'] -> ((4 / (4/9 * 5/4)) / (3/2 - 6/5))
[45020] ['3/8', '5/7', '7/4', '5/2', '4'] -> (4 * (3/8 + (7/4 * (5/7 + 5/2))))
[45021] ['3/8', '5/7', '7/4', '8/3', '4'] -> (4 * (8/3 + (7/4 / (3/8 / 5/7))))
[45022] ['1/9', '1/4', '5/7', '5/6', '4'] -> (5/6 / (5/7 * (1/9 - (1/4 / 4))))
[45023] ['1/7', '8/9', '4/3', '4/3', '9'] -> (((4/3 / 1/7) + (4/3 * 9)) / 8/9)
[45024] ['1/4', '2/7', '5/8', '8/5', '5'] -> (8/5 * ((5 / 2/7) - (5/8 / 1/4)))
[45025] ['4/9', '6/5', '5/4', '8/5', '4'] -> ((5/4 * 4) * (6/5 + (8/5 / 4/9)))
[45026] ['1/8', '9/8', '9/7', '3/2', '5'] -> (5 + ((3/2 + (9/8 / 9/7)) / 1/8))
[45027] ['2/7', '3/8', '2/5', '5/3', '2'] -> ((2 / 2/7) / ((2/5 * 5/3) - 3/8))
[45028] ['1/9', '3/7', '4/9', '1/2', '3'] -> ((3/7 * (1/9 + 3)) / (1/2 - 4/9))
[45029] ['5/9', '5/7', '3/4', '1', '6/5'] -> (6/5 / ((1 / 5/7) - (3/4 / 5/9)))
[45030] ['3/8', '5/7', '9/5', '9/5', '4'] -> (9/5 / ((3/8 / 5/7) - (9/5 / 4)))
[45031] ['1/5', '3/7', '8/9', '8/7', '4'] -> (4 * ((8/7 / (1/5 * 8/9)) - 3/7))
[45032] ['1/7', '8/9', '4/3', '7/5', '9'] -> (8/9 / (1/7 - ((4/3 / 7/5) / 9)))
[45033] ['3/8', '9/8', '8/7', '5/3', '3'] -> ((3 / 3/8) / ((5/3 / 8/7) - 9/8))
[45034] ['1/9', '3/7', '4/9', '5/9', '3'] -> (3 + ((4/9 + 5/9) / (1/9 * 3/7)))
[45035] ['5/4', '9/7', '3/2', '5/3', '6'] -> (3/2 + ((5/4 + 5/3) * (9/7 * 6)))
[45036] ['1/6', '6/7', '9/8', '3/2', '6'] -> ((6 - (3/2 / 9/8)) / (1/6 / 6/7))
[45037] ['4/9', '6/5', '5/4', '7/4', '4'] -> ((6/5 * 5/4) / (4 - (7/4 / 4/9)))
[45038] ['2/7', '3/8', '2/5', '7/4', '2'] -> (3/8 + ((7/4 + (2 / 2/5)) / 2/7))
[45039] ['3/8', '9/8', '8/7', '7/4', '3'] -> (3 / (8/7 - (3/8 + (9/8 / 7/4))))
[45040] ['5/4', '9/7', '3/2', '9/5', '6'] -> (6 / ((9/5 * (5/4 / 9/7)) - 3/2))
[45041] ['1/4', '2/7', '5/8', '9/5', '5'] -> (5 * (((9/5 - 1/4) / 2/7) - 5/8))
[45042] ['3/8', '5/7', '9/5', '7/3', '4'] -> ((5/7 + 7/3) * (9/5 * (3/8 + 4)))
[45043] ['1/9', '3/7', '4/9', '5/8', '3'] -> (3 / (3/7 * (5/8 + (1/9 - 4/9))))
[45044] ['1/5', '1/5', '2/7', '2/3', '5'] -> ((2/7 + 2/3) * (1/5 + (5 / 1/5)))
[45045] ['1/7', '8/9', '4/3', '5/3', '9'] -> (8/9 / (4/3 - (5/3 / (1/7 * 9))))
[45046] ['3/8', '5/7', '9/5', '5/2', '4'] -> (9/5 * (4 + (5/2 / (3/8 * 5/7))))
[45047] ['5/4', '9/7', '3/2', '5/2', '6'] -> ((5/2 / (5/4 - (3/2 / 9/7))) - 6)
[45048] ['5/9', '5/7', '3/4', '1', '3/2'] -> ((1 / 3/2) / ((5/9 / 5/7) - 3/4))
[45049] ['1/9', '1/4', '5/7', '8/7', '4'] -> (8/7 / (1/9 * (1/4 + (5/7 / 4))))
[45050] ['1/4', '2/7', '5/8', '5/2', '5'] -> (((5/2 / 2/7) - 5) / (1/4 * 5/8))
[45051] ['1/9', '3/7', '4/9', '2/3', '3'] -> ((1/9 + (3 / 3/7)) / (4/9 * 2/3))
[45052] ['1/5', '1/5', '2/7', '3/4', '5'] -> ((((1/5 + 5) / 2/7) - 1/5) / 3/4)
[45053] ['2/7', '3/8', '2/5', '2', '7/3'] -> ((2 / (3/8 - 2/7)) / (2/5 * 7/3))
[45054] ['1/8', '9/8', '9/7', '7/3', '5'] -> ((9/8 / 1/8) + (5 * (9/7 * 7/3)))
[45055] ['4/9', '6/5', '5/4', '7/2', '4'] -> (((7/2 * 4) / (4/9 * 5/4)) - 6/5)
[45056] ['1/4', '2/7', '5/8', '8/3', '5'] -> (5 / ((2/7 * (1/4 + 8/3)) - 5/8))
[45057] ['1/9', '1/4', '5/7', '7/6', '4'] -> ((5/7 * 7/6) * (4 / (1/4 - 1/9)))
[45058] ['3/8', '9/8', '8/7', '3', '9/2'] -> ((9/2 + (9/8 * 3)) / (3/8 / 8/7))
[45059] ['1/9', '1/7', '5/8', '9/7', '5'] -> (9/7 / (5/8 - (1/9 * (1/7 + 5))))
[45060] ['1/6', '6/7', '9/8', '9/4', '6'] -> ((6 / 1/6) / ((9/4 / 6/7) - 9/8))
[45061] ['1/9', '3/7', '4/9', '7/9', '3'] -> ((3 - (7/9 / 3/7)) / (1/9 * 4/9))
[45062] ['4/9', '6/5', '5/4', '4', '9/2'] -> ((4 - 4/9) * (9/2 * (6/5 * 5/4)))
[45063] ['3/8', '5/7', '9/5', '4', '9/2'] -> ((9/5 * 4) + (9/2 / (3/8 * 5/7)))
[45064] ['1/3', '4/9', '5/6', '9/5', '8'] -> (8 / ((9/5 * (4/9 * 5/6)) - 1/3))
[45065] ['1/8', '9/8', '9/7', '8/3', '5'] -> ((9/7 + (9/8 / 1/8)) * (5 - 8/3))
[45066] ['1/5', '1/5', '2/7', '6/7', '5'] -> (((1/5 / 1/5) + (6/7 + 5)) / 2/7)
[45067] ['1/6', '6/7', '9/8', '5/2', '6'] -> (((6 / 6/7) - 5/2) / (1/6 * 9/8))
[45068] ['1/9', '1/4', '5/7', '5/4', '4'] -> ((4 / 1/9) / ((5/4 / 5/7) - 1/4))
[45069] ['5/4', '9/7', '8/5', '7/4', '6'] -> (6 / ((9/7 * 7/4) - (5/4 * 8/5)))
[45070] ['1/9', '3/7', '4/9', '5/6', '3'] -> (4/9 / ((5/6 / 3) - (1/9 / 3/7)))
[45071] ['1/4', '2/7', '2/3', '7/9', '5'] -> (((5 / 7/9) - (2/7 / 2/3)) / 1/4)
[45072] ['4/9', '6/5', '9/7', '7/5', '4'] -> (6/5 / ((7/5 / (4/9 / 9/7)) - 4))
[45073] ['5/9', '5/7', '3/4', '1', '7/3'] -> ((1 + 7/3) / (5/7 * (3/4 - 5/9)))
[45074] ['1/6', '6/7', '9/8', '7/2', '6'] -> ((6/7 * 7/2) / (9/8 - (1/6 * 6)))
[45075] ['1/8', '9/8', '4/3', '7/5', '5'] -> (7/5 / ((9/8 / 5) - (1/8 * 4/3)))
[45076] ['1/4', '2/7', '2/3', '4/5', '5'] -> (4/5 / (2/7 * (1/4 - (2/3 / 5))))
[45077] ['4/9', '6/5', '9/7', '3/2', '4'] -> ((4 / (4/9 + 3/2)) / (9/7 - 6/5))
[45078] ['5/4', '9/7', '8/5', '9/4', '6'] -> (6 / ((5/4 * 8/5) - (9/4 / 9/7)))
[45079] ['1/3', '4/9', '6/7', '7/8', '8'] -> (((1/3 / (7/8 - 6/7)) - 8) / 4/9)
[45080] ['1/4', '2/7', '2/3', '7/8', '5'] -> ((5 / (1/4 * 7/8)) / (2/7 + 2/3))
[45081] ['1/3', '4/9', '6/7', '9/8', '8'] -> (9/8 * (1/3 + (8 / (4/9 * 6/7))))
[45082] ['3/8', '5/7', '7/3', '7/3', '4'] -> ((7/3 + (4 * (5/7 * 7/3))) / 3/8)
[45083] ['1/5', '1/5', '2/7', '4/3', '5'] -> (4/3 * (((1/5 + 5) / 2/7) - 1/5))
[45084] ['5/4', '9/7', '8/5', '7/2', '6'] -> (7/2 * ((9/7 * 8/5) + (6 / 5/4)))
[45085] ['2/7', '3/8', '3/7', '5/6', '2'] -> (2 / (3/7 - (2/7 * (3/8 + 5/6))))
[45086] ['1/6', '6/7', '8/7', '7/5', '6'] -> (((6/7 - 8/7) + (6 / 7/5)) / 1/6)
[45087] ['3/8', '5/7', '7/3', '5/2', '4'] -> (4 + ((5/7 + 5/2) / (3/8 / 7/3)))
[45088] ['1/8', '9/8', '7/5', '3/2', '5'] -> (3/2 * ((9/8 / 1/8) + (7/5 * 5)))
[45089] ['1/4', '2/7', '2/3', '9/8', '5'] -> ((9/8 / (2/7 - 1/4)) - (5 / 2/3))
[45090] ['5/4', '9/7', '8/5', '9/2', '6'] -> (9/2 * (8/5 + (6 / (5/4 * 9/7))))
[45091] ['1/9', '3/7', '4/9', '4/3', '3'] -> (3 * ((4/9 / (1/9 * 3/7)) - 4/3))
[45092] ['1/7', '8/9', '7/5', '9/5', '9'] -> ((9 * (8/9 + 9/5)) - (1/7 * 7/5))
[45093] ['1/5', '3/7', '8/9', '5/2', '4'] -> (4 / (3/7 * (8/9 - (1/5 * 5/2))))
[45094] ['1/9', '1/4', '5/7', '7/4', '4'] -> (4 / (1/9 * (1/4 + (5/7 * 7/4))))
[45095] ['3/8', '9/8', '7/6', '8/3', '3'] -> ((8/3 * 3) / ((3/8 + 9/8) - 7/6))
[45096] ['1/9', '1/7', '5/8', '5/2', '5'] -> ((5 / 1/9) / ((5/8 / 1/7) - 5/2))
[45097] ['1/6', '6/7', '8/7', '8/5', '6'] -> ((6 + (8/7 / 1/6)) / (6/7 / 8/5))
[45098] ['3/8', '5/7', '7/3', '7/2', '4'] -> ((5/7 + 7/3) * (4 + (3/8 + 7/2)))
[45099] ['1/5', '3/7', '8/9', '7/2', '4'] -> ((3/7 * 7/2) + (4 / (1/5 * 8/9)))
[45100] ['5/4', '9/7', '5/3', '7/4', '6'] -> (6 * (5/3 + ((5/4 + 7/4) / 9/7)))
[45101] ['1/8', '9/8', '7/5', '7/4', '5'] -> (5 + ((9/8 + (7/4 / 7/5)) / 1/8))
[45102] ['3/8', '9/8', '7/6', '3', '7/2'] -> ((9/8 / (3/8 - (7/6 / 7/2))) - 3)
[45103] ['5/9', '5/7', '7/9', '6/7', '1'] -> (6/7 / ((1 / (5/9 + 7/9)) - 5/7))
[45104] ['3/8', '5/7', '5/2', '5/2', '4'] -> ((5/2 / (3/8 - (5/7 / 5/2))) - 4)
[45105] ['1/9', '3/7', '4/9', '3/2', '3'] -> ((1/9 + (3 / 3/7)) / (4/9 / 3/2))
[45106] ['1/9', '1/4', '5/7', '9/4', '4'] -> ((((9/4 / 1/9) - 1/4) / 5/7) - 4)
[45107] ['5/4', '9/7', '5/3', '9/5', '6'] -> ((6 / 5/3) / ((9/5 / 9/7) - 5/4))
[45108] ['1/6', '6/7', '7/6', '6/5', '6'] -> (((6 / 6/5) - (6/7 * 7/6)) / 1/6)
[45109] ['2/7', '3/8', '3/7', '8/5', '2'] -> (3/7 / (3/8 - (2 * (2/7 / 8/5))))
[45110] ['1/8', '9/8', '7/5', '8/3', '5'] -> ((9/8 - (7/5 / 8/3)) / (1/8 / 5))
[45111] ['1/9', '1/7', '2/3', '2/3', '5'] -> (((2/3 / (1/7 - 1/9)) - 5) / 2/3)
[45112] ['4/9', '6/5', '9/7', '7/2', '4'] -> ((6/5 * 9/7) * (7/2 * (4/9 + 4)))
[45113] ['1/6', '6/7', '7/6', '7/5', '6'] -> (((6 / 7/5) - 6/7) / (1/6 / 7/6))
[45114] ['5/4', '9/7', '5/3', '7/3', '6'] -> ((5/3 * 7/3) * (6 / (5/4 / 9/7)))
[45115] ['1/5', '3/7', '9/8', '6/5', '4'] -> ((3/7 * (1/5 + 4)) / (6/5 - 9/8))
[45116] ['2/7', '3/8', '3/7', '7/4', '2'] -> ((2/7 + ((7/4 + 2) / 3/8)) / 3/7)
[45117] ['5/9', '5/7', '7/9', '1', '8/7'] -> (8/7 / (1 - (5/7 * (5/9 + 7/9))))
[45118] ['1/3', '4/9', '6/7', '7/4', '8'] -> (8 / ((7/4 * (4/9 * 6/7)) - 1/3))
[45119] ['4/9', '6/5', '9/7', '4', '9/2'] -> ((4 / (4/9 - (9/7 / 9/2))) - 6/5)
[45120] ['3/8', '5/7', '7/2', '7/2', '4'] -> ((4 + (5/7 * (7/2 + 7/2))) / 3/8)
[45121] ['3/8', '9/8', '6/5', '7/4', '3'] -> ((3 / 3/8) / ((7/4 / 6/5) - 9/8))
[45122] ['5/4', '9/7', '5/3', '7/2', '6'] -> (6 / ((9/7 * (5/4 + 5/3)) - 7/2))
[45123] ['3/8', '5/7', '7/2', '4', '9/2'] -> (9/2 / (4 - (7/2 * (3/8 + 5/7))))
[45124] ['1/4', '2/7', '2/3', '8/3', '5'] -> (((8/3 / 2/7) - (2/3 * 5)) / 1/4)
[45125] ['1/8', '9/8', '8/5', '9/4', '5'] -> ((8/5 * 5) + (9/4 / (1/8 * 9/8)))
[45126] ['3/8', '9/8', '6/5', '9/4', '3'] -> ((9/8 + (9/4 / 6/5)) / (3/8 / 3))
[45127] ['1/5', '1/5', '1/3', '5/7', '5'] -> (((1/5 / 1/5) + (5 / 5/7)) / 1/3)
[45128] ['1/9', '1/7', '2/3', '7/8', '5'] -> ((2/3 + 5) / (1/9 + (1/7 * 7/8)))
[45129] ['1/6', '6/7', '7/6', '9/4', '6'] -> ((6 / 7/6) / ((6/7 / 9/4) - 1/6))
[45130] ['2/7', '3/8', '4/9', '4/9', '2'] -> ((4/9 + ((4/9 + 2) / 2/7)) / 3/8)
[45131] ['1/9', '1/4', '3/4', '6/7', '4'] -> ((1/4 + (3/4 / 1/9)) * (6/7 * 4))
[45132] ['1/8', '9/8', '8/5', '8/3', '5'] -> (8/3 * ((8/5 * 5) - (1/8 - 9/8)))
[45133] ['3/8', '3/4', '3/4', '3/4', '4'] -> ((3/4 + (3/4 + 3/4)) / (3/8 / 4))
[45134] ['1/5', '1/5', '1/3', '7/9', '5'] -> ((1/3 + 5) / ((1/5 / 1/5) - 7/9))
[45135] ['1/5', '3/7', '9/8', '7/5', '4'] -> (3/7 / ((9/8 / (1/5 * 7/5)) - 4))
[45136] ['1/4', '2/7', '5/7', '7/9', '5'] -> (((2/7 - 5/7) + (5 / 7/9)) / 1/4)
[45137] ['1/9', '1/7', '2/3', '9/8', '5'] -> (5 / ((9/8 * (1/9 / 1/7)) - 2/3))
[45138] ['2/7', '3/8', '4/9', '1/2', '2'] -> (2 / ((4/9 / (2/7 / 3/8)) - 1/2))
[45139] ['1/8', '9/8', '8/5', '9/2', '5'] -> ((9/2 / (1/8 * 9/8)) - (8/5 * 5))
[45140] ['5/4', '9/7', '7/4', '5/2', '6'] -> (6 / ((9/7 * 7/4) - (5/2 / 5/4)))
[45141] ['1/5', '1/5', '1/3', '6/7', '5'] -> ((5 + (1/5 / 1/3)) / (1/5 / 6/7))
[45142] ['1/3', '4/9', '7/8', '9/7', '8'] -> (((1/3 / 7/8) + (9/7 * 8)) / 4/9)
[45143] ['1/9', '1/7', '2/3', '6/5', '5'] -> (5 * ((1/9 * 6/5) + (2/3 / 1/7)))
[45144] ['1/9', '1/4', '3/4', '6/5', '4'] -> (4 / (((1/4 / 3/4) / 6/5) - 1/9))
[45145] ['1/5', '1/5', '1/3', '8/9', '5'] -> ((1/5 + 1/3) / (1/5 - (8/9 / 5)))
[45146] ['3/8', '3/4', '3/4', '6/7', '4'] -> (4 / (3/4 - ((3/8 / 3/4) / 6/7)))
[45147] ['1/3', '4/9', '7/8', '7/5', '8'] -> ((8 - (1/3 / 7/8)) / (4/9 / 7/5))
[45148] ['1/7', '8/9', '3/2', '7/3', '9'] -> ((7/3 / 1/7) + (9 - (8/9 * 3/2)))
[45149] ['1/8', '9/8', '5/3', '7/4', '5'] -> (((7/4 + (9/8 * 5/3)) / 1/8) - 5)
[45150] ['1/4', '2/7', '5/7', '9/8', '5'] -> (5 / ((5/7 / (1/4 + 2/7)) - 9/8))
[45151] ['4/9', '6/5', '7/5', '7/5', '4'] -> (((7/5 + 7/5) / (4/9 / 4)) - 6/5)
[45152] ['5/9', '5/7', '7/9', '1', '8/5'] -> (8/5 / ((1 / 5/7) - (5/9 + 7/9)))
[45153] ['1/9', '3/7', '1/2', '7/9', '3'] -> ((7/9 / ((3/7 / 3) - 1/9)) - 1/2)
[45154] ['5/4', '9/7', '9/5', '9/5', '6'] -> ((5/4 * 6) * (9/5 + (9/5 / 9/7)))
[45155] ['3/8', '9/8', '5/4', '8/5', '3'] -> (3 / (5/4 * (8/5 - (3/8 + 9/8))))
[45156] ['1/5', '1/5', '1/3', '7/6', '5'] -> ((5 + (1/5 / 1/3)) / (1/5 * 7/6))
[45157] ['1/8', '9/8', '5/3', '5/2', '5'] -> ((5/3 + 5) / (5/2 * (1/8 / 9/8)))
[45158] ['4/9', '6/5', '7/5', '3/2', '4'] -> ((3/2 + (7/5 / 6/5)) / (4/9 / 4))
[45159] ['1/7', '8/9', '3/2', '5/2', '9'] -> ((5/2 / 1/7) - (3/2 - (8/9 * 9)))
[45160] ['1/3', '4/9', '7/8', '8/5', '8'] -> (((7/8 * 8) - 1/3) / (4/9 / 8/5))
[45161] ['1/9', '1/7', '2/3', '4/3', '5'] -> ((1/7 + 5) * ((2/3 / 1/9) - 4/3))
[45162] ['2/7', '3/8', '4/9', '5/7', '2'] -> ((2 / (3/8 / 5/7)) / (4/9 - 2/7))
[45163] ['3/8', '3/4', '3/4', '7/6', '4'] -> (4 / (3/4 - (7/6 * (3/8 / 3/4))))
[45164] ['1/5', '1/5', '1/3', '5/4', '5'] -> ((1/5 + 5) / ((1/3 * 5/4) - 1/5))
[45165] ['1/3', '4/9', '7/8', '7/4', '8'] -> ((7/4 / (1/3 * 7/8)) + (8 / 4/9))
[45166] ['4/9', '6/5', '7/5', '8/5', '4'] -> ((6/5 * 4) * (7/5 + (8/5 / 4/9)))
[45167] ['1/7', '8/9', '3/2', '8/3', '9'] -> ((8/3 / 1/7) + (9 * (8/9 / 3/2)))
[45168] ['3/8', '9/8', '5/4', '7/3', '3'] -> (3 / ((9/8 + 7/3) - (5/4 / 3/8)))
[45169] ['1/5', '1/5', '1/3', '9/7', '5'] -> ((9/7 - 1/3) * (1/5 + (5 / 1/5)))
[45170] ['1/7', '8/9', '3/2', '9/2', '9'] -> ((8/9 / 3/2) * (9 + (9/2 / 1/7)))
[45171] ['1/9', '1/4', '7/9', '7/9', '4'] -> ((4 - (1/9 - 7/9)) / (1/4 * 7/9))
