[35461] ['3/8', '4/9', '7/4', '7/3', '4'] -> ((4 / 4/9) / ((7/4 / 7/3) - 3/8))
[36408] ['3/8', '5/8', '5/3', '9/5', '3'] -> ((3 + (5/3 * 9/5)) / (5/8 - 3/8))
[36409] ['1/4', '8/9', '5/4', '5/4', '2'] -> (2 / ((8/9 * (1/4 + 5/4)) - 5/4))
[36410] ['2/9', '7/8', '7/6', '5/3', '5'] -> (((5/3 + 5) - (7/6 / 7/8)) / 2/9)
[36411] ['3/8', '1/2', '6/5', '7/3', '4'] -> ((7/3 + (4 / (1/2 * 6/5))) / 3/8)
[36412] ['4/9', '5/7', '7/5', '7/3', '4'] -> ((7/5 + 7/3) * (4 / (4/9 / 5/7)))
[36413] ['1/7', '2/3', '2/3', '9/2', '9'] -> ((2/3 + (2/3 / 1/7)) * (9 - 9/2))
[36414] ['1/9', '1/4', '7/6', '9/7', '3'] -> (3 / (7/6 * (1/4 - (1/9 * 9/7))))
[36415] ['2/7', '7/6', '6/5', '7/4', '8'] -> ((7/6 / 7/4) + (8 / (2/7 * 6/5)))
[36416] ['1/2', '1', '7/3', '7/3', '8/3'] -> (8/3 * (7/3 + ((1 + 7/3) / 1/2)))
[36417] ['9/8', '7/6', '5/3', '5/3', '6'] -> ((5/3 + (7/6 + 5/3)) / (9/8 / 6))
[36418] ['3/8', '1/2', '6/5', '5/2', '4'] -> ((4 + (5/2 / (3/8 / 6/5))) / 1/2)
[36419] ['5/2', '4', '9/2', '9/2', '9/2'] -> (4 * ((5/2 + 9/2) - (9/2 / 9/2)))
[36420] ['2/7', '7/6', '6/5', '9/5', '8'] -> (8 / ((6/5 / 9/5) - (2/7 * 7/6)))
[36421] ['1/2', '1', '7/3', '7/3', '7/2'] -> (((1 + 7/2) * (7/3 * 7/3)) - 1/2)
[36422] ['1/8', '5/8', '9/7', '9/4', '5'] -> (5 + ((5/8 + (9/4 / 9/7)) / 1/8))
[36423] ['1/6', '4/7', '4/7', '9/5', '6'] -> (4/7 + ((4/7 + (6 / 9/5)) / 1/6))
[36424] ['1/5', '2/7', '2/5', '7/8', '4'] -> ((4 + (2/5 / 1/5)) / (2/7 * 7/8))
[36425] ['1/9', '1/7', '2/3', '7/5', '4'] -> (2/3 + (4 / (1/9 * (1/7 + 7/5))))
[36426] ['1/4', '8/9', '5/4', '3/2', '2'] -> ((1/4 + 2) / (3/2 - (5/4 / 8/9)))
[36427] ['1/9', '1/4', '7/6', '8/5', '3'] -> (((7/6 / 1/4) - 3) / (1/9 / 8/5))
[36428] ['9/8', '7/6', '5/3', '7/3', '6'] -> (6 / ((9/8 / 7/6) - (5/3 / 7/3)))
[36429] ['3/8', '1/2', '5/4', '7/5', '4'] -> ((1/2 + (5/4 * 7/5)) / (3/8 / 4))
[36430] ['7/2', '4', '9/2', '9/2', '9/2'] -> ((7/2 + 9/2) * (4 - (9/2 / 9/2)))
[36431] ['1/2', '1', '7/3', '8/3', '8/3'] -> (8/3 * (((7/3 + 8/3) / 1/2) - 1))
[36432] ['3/8', '5/8', '7/4', '9/5', '3'] -> ((9/5 / 3/8) / (3 - (7/4 / 5/8)))
[36433] ['1/5', '2/7', '2/5', '8/9', '4'] -> ((4 + (2/5 / 2/7)) / (1/5 / 8/9))
[36434] ['2/9', '7/8', '7/6', '7/3', '5'] -> ((5 / 2/9) - (7/6 - (7/3 / 7/8)))
[36435] ['1/6', '5/7', '5/2', '9/2', '5'] -> (((5/2 / 5/7) - (9/2 - 5)) / 1/6)
[36436] ['1/6', '4/7', '3/5', '3/5', '6'] -> ((6 + (3/5 / 3/5)) / (1/6 / 4/7))
[36437] ['1/2', '1', '5/2', '5/2', '5/2'] -> (((5/2 + 5/2) / (1/2 / 5/2)) - 1)
[36438] ['1/5', '2/7', '2/5', '9/8', '4'] -> ((4 + (2/5 / 2/7)) / (1/5 * 9/8))
[36439] ['9/8', '7/6', '5/3', '7/2', '6'] -> ((6 * (7/6 + (7/2 / 9/8))) - 5/3)
[36440] ['1/7', '2/3', '5/7', '7/5', '9'] -> ((9 + (7/5 / (1/7 / 5/7))) / 2/3)
[36441] ['2/9', '7/8', '7/6', '5/2', '5'] -> (5/2 / ((7/8 / 2/9) + (7/6 - 5)))
[36442] ['1/6', '5/7', '8/3', '8/3', '5'] -> (8/3 * ((8/3 / 1/6) - (5 / 5/7)))
[36443] ['2/7', '7/6', '6/5', '8/3', '8'] -> ((8 - (8/3 / 7/6)) / (2/7 / 6/5))
[36444] ['1/4', '8/9', '5/4', '7/4', '2'] -> (2 / ((8/9 * (7/4 - 1/4)) - 5/4))
[36445] ['1/9', '1/4', '7/6', '8/3', '3'] -> (((7/6 * 8/3) - (1/9 - 3)) / 1/4)
[36446] ['9/8', '7/6', '7/4', '7/4', '6'] -> ((7/4 * 6) / (7/4 - (9/8 * 7/6)))
[36447] ['1/9', '1/9', '1/9', '1/4', '5'] -> ((1/9 + (1/9 * 5)) / (1/9 * 1/4))
[36448] ['1/6', '5/7', '8/3', '7/2', '5'] -> ((7/2 * (5 + (5/7 * 8/3))) - 1/6)
[36449] ['2/7', '7/6', '6/5', '7/2', '8'] -> (8 / (7/6 - (7/2 * (2/7 / 6/5))))
[36450] ['1/9', '1/7', '2/3', '9/4', '4'] -> ((2/3 / (1/9 * 1/7)) / (4 - 9/4))
[36451] ['2/9', '7/8', '6/5', '6/5', '5'] -> (((6/5 / 2/9) - 6/5) / (7/8 / 5))
[36452] ['1/9', '1/4', '6/5', '9/7', '3'] -> ((3 / 9/7) / ((1/4 / 6/5) - 1/9))
[36453] ['1/4', '8/9', '5/4', '2', '7/3'] -> (5/4 / (7/3 - (2 + (1/4 / 8/9))))
[36454] ['9/8', '7/6', '7/4', '8/3', '6'] -> (6 * (8/3 + (7/4 / (9/8 * 7/6))))
[36455] ['3/8', '5/8', '9/4', '5/2', '3'] -> (3 / (((9/4 - 3/8) / 5/2) - 5/8))
[36456] ['5/9', '5/9', '5/9', '3/5', '1'] -> (((5/9 + 5/9) / (3/5 - 5/9)) - 1)
[36457] ['2/9', '7/8', '6/5', '5/4', '5'] -> (((5 / 2/9) - (6/5 * 5/4)) / 7/8)
[36458] ['1/9', '1/9', '1/9', '2/5', '5'] -> ((1/9 + (5 * (1/9 + 2/5))) / 1/9)
[36459] ['1/6', '3/4', '3/4', '7/9', '5'] -> ((1/6 + 5) / (7/9 - (3/4 * 3/4)))
[36460] ['9/8', '7/6', '7/4', '7/2', '6'] -> ((7/4 + 7/2) * (6 / (9/8 * 7/6)))
[36461] ['1/7', '2/3', '3/4', '7/9', '9'] -> (2/3 / ((1/7 * 7/9) - (3/4 / 9)))
[36462] ['1/4', '8/9', '5/4', '2', '5/2'] -> (((5/4 + 5/2) + (2 / 8/9)) / 1/4)
[36463] ['1/9', '1/9', '1/9', '3/7', '5'] -> ((5 - ((1/9 / 1/9) / 3/7)) / 1/9)
[36464] ['2/9', '7/8', '6/5', '9/7', '5'] -> ((6/5 / 9/7) * (5 / (2/9 * 7/8)))
[36465] ['1/8', '5/8', '7/5', '9/5', '5'] -> ((5 - (5/8 * (7/5 + 9/5))) / 1/8)
[36466] ['1/5', '2/7', '2/5', '7/3', '4'] -> (4 / ((2/7 * 7/3) - (1/5 / 2/5)))
[36467] ['1/6', '4/7', '3/5', '5/6', '6'] -> (6 / (3/5 - ((1/6 / 4/7) / 5/6)))
[36468] ['1/6', '3/4', '3/4', '6/7', '5'] -> (((5 - (3/4 / 6/7)) / 1/6) - 3/4)
[36469] ['1/4', '8/9', '5/4', '2', '7/2'] -> ((7/2 + (5/4 + 2)) / (1/4 / 8/9))
[36470] ['4/9', '5/7', '3/2', '7/3', '4'] -> ((5/7 * 7/3) / (4/9 - (3/2 / 4)))
[36471] ['1/9', '1/9', '1/9', '1/2', '5'] -> ((1/9 + (1/2 * (1/9 + 5))) / 1/9)
[36472] ['2/7', '7/6', '5/4', '3/2', '8'] -> (5/4 + ((7/6 + (8 / 3/2)) / 2/7))
[36473] ['2/9', '7/8', '6/5', '7/5', '5'] -> (((7/5 + 5) / (2/9 / 7/8)) - 6/5)
[36474] ['1/9', '1/9', '1/9', '5/9', '5'] -> ((5 / (1/9 / 5/9)) - (1/9 / 1/9))
[36475] ['1/7', '2/3', '3/4', '5/6', '9'] -> (9 * ((3/4 / (1/7 / 2/3)) - 5/6))
[36476] ['9/8', '7/6', '9/5', '9/4', '6'] -> ((9/4 / (9/5 * (7/6 - 9/8))) - 6)
[36477] ['3/8', '1/2', '9/7', '5/2', '4'] -> ((4 + (1/2 + 5/2)) / (3/8 / 9/7))
[36478] ['1/6', '3/4', '3/4', '8/7', '5'] -> ((5 - (3/4 + 3/4)) / (1/6 / 8/7))
[36479] ['1/7', '2/3', '3/4', '7/8', '9'] -> (9 / ((2/3 * 3/4) - (1/7 * 7/8)))
[36480] ['2/7', '7/6', '5/4', '9/5', '8'] -> (9/5 * ((7/6 / 2/7) + (5/4 + 8)))
[36481] ['3/8', '1/2', '9/7', '8/3', '4'] -> (9/7 * ((4 / (3/8 * 1/2)) - 8/3))
[36482] ['1/9', '1/4', '6/5', '5/2', '3'] -> (3 + ((1/4 + (5/2 / 6/5)) / 1/9))
[36483] ['1/8', '5/8', '7/5', '8/3', '5'] -> ((7/5 * 5) / (5/8 - (1/8 * 8/3)))
[36484] ['2/9', '7/8', '6/5', '8/5', '5'] -> ((5 + (7/8 * 8/5)) / (2/9 * 6/5))
[36485] ['9/8', '7/6', '9/5', '5/2', '6'] -> ((6 / 9/8) / ((5/2 / 9/5) - 7/6))
[36486] ['1/5', '2/7', '2/5', '7/2', '4'] -> ((7/2 * 4) * ((2/5 / 1/5) - 2/7))
[36487] ['1/9', '1/9', '1/9', '5/8', '5'] -> (5 / (5/8 * (1/9 + (1/9 + 1/9))))
[36488] ['1/7', '2/3', '3/4', '9/8', '9'] -> ((9/8 / (1/7 * 3/4)) + (9 / 2/3))
[36489] ['1/5', '2/7', '2/5', '4', '9/2'] -> (4 / ((2/5 / (2/7 - 1/5)) - 9/2))
[36490] ['2/9', '7/8', '6/5', '5/3', '5'] -> (5 / (2/9 * (5/3 - (7/8 / 6/5))))
[36491] ['1/4', '8/9', '9/7', '3/2', '2'] -> (2 / (((3/2 - 1/4) / 9/7) - 8/9))
[36492] ['1/9', '1/4', '6/5', '3', '9/2'] -> ((9/2 / (6/5 * (1/4 - 1/9))) - 3)
[36493] ['1/8', '5/8', '3/2', '8/3', '5'] -> ((8/3 / (1/8 / 3/2)) - (5 / 5/8))
[36494] ['1/7', '2/3', '3/4', '6/5', '9'] -> ((9 / ((2/3 * 3/4) - 1/7)) - 6/5)
[36495] ['1/9', '1/4', '5/4', '5/4', '3'] -> (((5/4 / (1/9 * 5/4)) - 3) / 1/4)
[36496] ['1/5', '2/7', '3/7', '4/9', '4'] -> (((4 / 4/9) - (3/7 / 1/5)) / 2/7)
[36497] ['1/6', '4/7', '3/5', '7/6', '6'] -> ((6 + (4/7 * 7/6)) / (1/6 / 3/5))
[36498] ['2/7', '7/6', '9/7', '8/5', '8'] -> (9/7 * (7/6 + (8 / (2/7 * 8/5))))
[36499] ['1/6', '3/4', '3/4', '9/5', '5'] -> ((9/5 - (3/4 / 3/4)) / (1/6 / 5))
[36500] ['1/7', '2/3', '3/4', '4/3', '9'] -> ((9 + (4/3 / (1/7 / 3/4))) / 2/3)
[36501] ['2/9', '7/8', '6/5', '9/4', '5'] -> ((9/4 + (5 / (2/9 * 6/5))) / 7/8)
[36502] ['1/8', '5/8', '8/5', '9/2', '5'] -> ((5 - (1/8 - 9/2)) / (5/8 / 8/5))
[36503] ['1/5', '2/7', '3/7', '5/9', '4'] -> ((4 / (1/5 / 2/7)) / (3/7 * 5/9))
[36504] ['3/8', '2/3', '2/3', '6/5', '3'] -> (3 / (6/5 * (2/3 - (3/8 / 2/3))))
[36505] ['1/9', '1/9', '1/9', '5/6', '5'] -> ((5 - 1/9) / (1/9 + (1/9 * 5/6)))
[36506] ['9/8', '7/6', '7/3', '7/3', '6'] -> ((7/6 * 6) / ((9/8 * 7/3) - 7/3))
[36507] ['1/9', '1/4', '5/4', '9/5', '3'] -> (((3 / 9/5) - (1/4 - 5/4)) / 1/9)
[36508] ['1/8', '5/8', '5/3', '7/4', '5'] -> (((7/4 / 1/8) - 5) / (5/8 / 5/3))
[36509] ['1/6', '4/7', '3/5', '4/3', '6'] -> ((4/3 / (1/6 * 4/7)) + (6 / 3/5))
[36510] ['1/6', '3/4', '7/9', '4/5', '5'] -> ((5 * (1/6 * 4/5)) / (7/9 - 3/4))
[36511] ['2/9', '7/8', '6/5', '7/2', '5'] -> ((6/5 * 5) + (7/2 / (2/9 * 7/8)))
[36512] ['1/9', '1/9', '1/9', '7/8', '5'] -> (5 / (1/9 * (7/8 + (1/9 / 1/9))))
[36513] ['1/9', '1/7', '5/7', '7/4', '4'] -> ((4 / (1/9 * 7/4)) / (1/7 + 5/7))
[36514] ['9/8', '7/6', '7/3', '7/2', '6'] -> ((7/2 * 6) / ((7/3 / 7/6) - 9/8))
[36515] ['1/5', '2/7', '3/7', '3/4', '4'] -> ((4 + (3/7 / (1/5 * 3/4))) / 2/7)
[36516] ['1/6', '4/7', '3/5', '7/5', '6'] -> ((7/5 + 6) / (3/5 - (1/6 / 4/7)))
[36517] ['1/4', '8/9', '9/7', '2', '7/3'] -> (7/3 * (9/7 + (2 / (1/4 * 8/9))))
[36518] ['3/8', '2/3', '2/3', '8/5', '3'] -> (3 / ((3/8 - 2/3) + (2/3 / 8/5)))
[36519] ['2/7', '7/6', '4/3', '7/5', '8'] -> (((4/3 / 7/6) + (8 / 7/5)) / 2/7)
[36520] ['1/6', '3/4', '7/9', '6/7', '5'] -> ((5 / (1/6 * 7/9)) / (3/4 + 6/7))
[36521] ['1/9', '1/4', '9/7', '4/3', '3'] -> (((1/4 * 4/3) + (3 / 9/7)) / 1/9)
[36522] ['1/8', '5/8', '7/4', '7/4', '5'] -> ((5 / (1/8 / 5/8)) - (7/4 / 7/4))
[36523] ['1/9', '1/7', '5/7', '9/4', '4'] -> (4 + ((5/7 / 9/4) / (1/9 * 1/7)))
[36524] ['4/9', '5/7', '5/3', '5/3', '4'] -> ((5/3 / (5/3 - (5/7 / 4/9))) - 4)
[36525] ['1/6', '4/7', '3/5', '5/3', '6'] -> ((6 + (3/5 * 5/3)) / (1/6 / 4/7))
[36526] ['2/7', '7/6', '4/3', '8/5', '8'] -> ((8 / 2/7) - (8/5 * (7/6 + 4/3)))
[36527] ['1/8', '5/8', '7/4', '9/5', '5'] -> (5 * (9/5 + ((1/8 + 7/4) / 5/8)))
[36528] ['3/8', '2/3', '2/3', '9/5', '3'] -> ((3 / 9/5) / ((2/3 * 2/3) - 3/8))
[36529] ['1/9', '1/4', '9/7', '7/5', '3'] -> ((3 / (7/5 - 9/7)) - (1/4 / 1/9))
[36530] ['1/5', '2/7', '3/7', '8/9', '4'] -> ((3/7 / 2/7) + (4 / (1/5 * 8/9)))
[36531] ['2/7', '7/6', '4/3', '5/3', '8'] -> ((2/7 * 8) / ((5/3 / 7/6) - 4/3))
[36532] ['3/8', '1/2', '8/5', '9/4', '4'] -> ((9/4 - 3/8) * (4 / (1/2 / 8/5)))
[36533] ['2/9', '7/8', '5/4', '9/7', '5'] -> (7/8 + ((5/4 + (5 / 9/7)) / 2/9))
[36534] ['4/9', '5/7', '5/3', '9/5', '4'] -> (5/3 * (9/5 + (4 / (4/9 * 5/7))))
[36535] ['1/9', '1/9', '1/9', '6/5', '5'] -> ((5 - 1/9) / (1/9 + (1/9 / 6/5)))
[36536] ['1/9', '1/4', '9/7', '8/5', '3'] -> (3 / ((1/4 / 9/7) - (1/9 / 8/5)))
[36537] ['1/7', '2/3', '3/4', '9/2', '9'] -> (((9/2 / 1/7) - (9 / 2/3)) / 3/4)
[36538] ['2/7', '7/6', '4/3', '9/5', '8'] -> ((4/3 + (2/7 * 7/6)) * (9/5 * 8))
[36539] ['3/8', '2/3', '5/7', '5/7', '3'] -> ((3 / 3/8) / ((5/7 / 5/7) - 2/3))
[36540] ['1/8', '5/8', '9/4', '9/4', '5'] -> ((5 / (1/8 / 5/8)) - (9/4 / 9/4))
[36541] ['4/9', '5/7', '5/3', '7/3', '4'] -> (4 * (4/9 + (7/3 * (5/7 + 5/3))))
[36542] ['3/8', '1/2', '8/5', '8/3', '4'] -> (4 / (8/3 * (3/8 - (1/2 / 8/5))))
[36543] ['9/8', '6/5', '6/5', '5/3', '6'] -> ((6 / 5/3) / ((9/8 * 6/5) - 6/5))
[36544] ['1/9', '1/9', '1/9', '4/3', '5'] -> ((5 - (4/3 + (1/9 / 1/9))) / 1/9)
[36545] ['1/8', '5/8', '9/4', '5/2', '5'] -> (((5/8 / 5/2) - (9/4 - 5)) / 1/8)
[36546] ['1/7', '2/3', '7/9', '6/7', '9'] -> ((6/7 + (1/7 + 7/9)) / (2/3 / 9))
[36547] ['1/5', '2/7', '3/7', '7/4', '4'] -> (2/7 / (3/7 - (7/4 / (1/5 + 4))))
[36548] ['2/7', '7/6', '7/5', '3/2', '8'] -> ((2/7 * 8) / (7/6 - (3/2 / 7/5)))
[36549] ['1/9', '1/7', '3/4', '7/8', '4'] -> ((4 / (1/9 + 1/7)) / (3/4 * 7/8))
[36550] ['1/6', '3/4', '7/9', '8/5', '5'] -> (8/5 / ((1/6 / 3/4) - (7/9 / 5)))
[36551] ['9/8', '6/5', '6/5', '9/5', '6'] -> (6 * ((6/5 + 6/5) + (9/5 / 9/8)))
[36552] ['4/9', '5/7', '5/3', '8/3', '4'] -> ((4/9 + 4) * (5/3 + (8/3 / 5/7)))
[36553] ['1/9', '1/9', '1/9', '3/2', '5'] -> ((5 - (1/9 / 1/9)) / (1/9 * 3/2))
[36554] ['3/8', '2/3', '5/7', '5/6', '3'] -> (3 / ((5/6 / 5/7) - (3/8 + 2/3)))
[36555] ['2/9', '7/8', '5/4', '7/4', '5'] -> (5 / (7/8 - (2/9 * (5/4 + 7/4))))
[36556] ['1/5', '2/7', '3/7', '9/4', '4'] -> (((9/4 * 4) - (3/7 / 1/5)) / 2/7)
[36557] ['4/9', '5/7', '5/3', '7/2', '4'] -> ((4 + (5/7 - 5/3)) / (4/9 / 7/2))
[36558] ['1/6', '3/4', '7/9', '7/4', '5'] -> ((5 / 3/4) / ((7/9 / 7/4) - 1/6))
[36559] ['3/8', '2/3', '5/7', '6/7', '3'] -> (6/7 / ((3 * (3/8 * 2/3)) - 5/7))
[36560] ['1/9', '1/4', '9/7', '3', '7/2'] -> ((3 / (1/9 * 1/4)) / (9/7 * 7/2))
[36561] ['1/8', '5/8', '7/3', '5/2', '5'] -> ((5 / 1/8) / ((5/2 / 5/8) - 7/3))
[36562] ['2/9', '7/8', '5/4', '9/5', '5'] -> (5 / ((7/8 / 9/5) - (2/9 * 5/4)))
[36563] ['4/9', '5/7', '5/3', '4', '9/2'] -> (9/2 * ((4 / 5/7) - (4/9 / 5/3)))
[36564] ['2/7', '7/6', '7/5', '7/4', '8'] -> (8 / ((7/6 / 7/5) - (2/7 * 7/4)))
[36565] ['1/6', '4/7', '5/8', '5/8', '6'] -> ((6 + (5/8 / 5/8)) / (1/6 / 4/7))
[36566] ['1/5', '2/7', '3/7', '7/3', '4'] -> (4 / (1/5 * (7/3 - (3/7 / 2/7))))
[36567] ['1/7', '2/3', '7/9', '7/6', '9'] -> ((7/6 / (1/7 * 7/9)) + (9 / 2/3))
[36568] ['1/9', '1/7', '3/4', '6/5', '4'] -> (6/5 / ((3/4 / (4 - 1/9)) - 1/7))
[36569] ['2/9', '7/8', '5/4', '9/4', '5'] -> ((5 / 5/4) / ((7/8 / 9/4) - 2/9))
[36570] ['1/9', '1/9', '1/9', '9/5', '5'] -> ((5 / (1/9 * 9/5)) - (1/9 / 1/9))
[36571] ['1/4', '8/9', '7/5', '9/5', '2'] -> ((7/5 + (8/9 * 9/5)) / (1/4 / 2))
[36572] ['1/9', '1/9', '1/9', '9/4', '5'] -> ((5 + (1/9 / 1/9)) / (1/9 * 9/4))
[36573] ['2/7', '7/6', '7/5', '5/2', '8'] -> (8 / ((5/2 / 7/5) - (2/7 + 7/6)))
[36574] ['5/9', '5/9', '4/7', '5/7', '1'] -> (((5/9 * 5/7) / (4/7 - 5/9)) - 1)
[36575] ['1/9', '1/7', '3/4', '8/5', '4'] -> (8/5 * ((4 / (1/9 + 1/7)) - 3/4))
[36576] ['1/7', '2/3', '7/9', '4/3', '9'] -> ((4/3 / 1/7) + ((7/9 + 9) / 2/3))
[36577] ['1/8', '2/3', '2/3', '5/6', '5'] -> ((2/3 / 2/3) / ((5/6 / 5) - 1/8))
[36578] ['1/6', '3/4', '4/5', '7/8', '5'] -> ((4/5 * 5) * (3/4 + (7/8 / 1/6)))
[36579] ['1/9', '1/7', '3/4', '7/4', '4'] -> (4 / ((1/7 * 7/4) - (1/9 * 3/4)))
[36580] ['1/7', '2/3', '7/9', '7/5', '9'] -> (((9 / 7/9) - 1/7) / (2/3 / 7/5))
[36581] ['4/9', '5/7', '7/4', '8/3', '4'] -> ((4/9 + 8/3) * (5/7 + (7/4 * 4)))
[36582] ['3/8', '2/3', '5/7', '4/3', '3'] -> (3 / (((3/8 + 2/3) / 5/7) - 4/3))
[36583] ['2/7', '7/6', '7/5', '9/2', '8'] -> ((2/7 + (9/2 / 7/5)) / (7/6 / 8))
[36584] ['1/9', '1/4', '7/5', '9/5', '3'] -> ((9/5 + (7/5 / (1/9 * 3))) / 1/4)
[36585] ['3/8', '5/9', '5/9', '3/5', '4'] -> ((4 + (5/9 * 3/5)) / (5/9 - 3/8))
[36586] ['1/9', '1/7', '3/4', '9/4', '4'] -> ((9/4 + (4 / (1/9 + 1/7))) / 3/4)
[36587] ['1/7', '2/3', '7/9', '8/5', '9'] -> (8/5 * (9 + (2/3 / (1/7 * 7/9))))
[36588] ['5/9', '5/9', '4/7', '5/6', '1'] -> ((5/9 / 5/6) / (1 - (5/9 / 4/7)))
[36589] ['3/8', '2/3', '5/7', '7/5', '3'] -> ((3 / 3/8) / ((5/7 * 7/5) - 2/3))
[36590] ['1/9', '1/4', '7/5', '9/4', '3'] -> ((1/4 + 9/4) * ((7/5 / 1/9) - 3))
[36591] ['4/9', '5/7', '7/4', '4', '9/2'] -> (4 / (4/9 - ((5/7 * 7/4) / 9/2)))
[36592] ['1/5', '2/7', '4/9', '2/3', '4'] -> (((4 / 2/7) - (2/3 / 1/5)) / 4/9)
[36593] ['1/6', '4/7', '5/8', '6/5', '6'] -> ((6/5 / 1/6) + (6 / (4/7 * 5/8)))
[36594] ['1/8', '2/3', '2/3', '7/5', '5'] -> (((5 * (7/5 - 2/3)) - 2/3) / 1/8)
[36595] ['1/4', '8/9', '3/2', '8/5', '2'] -> ((3/2 + (2 / 8/9)) / (1/4 / 8/5))
[36596] ['1/7', '2/3', '7/9', '9/5', '9'] -> ((9 - (1/7 * 7/9)) / (2/3 / 9/5))
[36597] ['1/6', '3/4', '4/5', '9/4', '5'] -> ((4/5 * 5) / ((3/4 / 9/4) - 1/6))
[36598] ['1/4', '8/9', '3/2', '7/4', '2'] -> ((7/4 + (2 / 8/9)) / (1/4 / 3/2))
[36599] ['1/9', '1/7', '3/4', '4', '9/2'] -> ((4 / (1/7 - 1/9)) / (3/4 + 9/2))
[36600] ['1/9', '1/9', '1/8', '4/5', '5'] -> (((4/5 * 5) - (1/9 / 1/9)) / 1/8)
[36601] ['1/8', '2/3', '2/3', '9/5', '5'] -> (9/5 / (((2/3 / 2/3) / 5) - 1/8))
[36602] ['9/8', '6/5', '9/7', '7/4', '6'] -> (((9/7 * 7/4) / (6/5 - 9/8)) - 6)
[36603] ['3/8', '2/3', '5/7', '7/4', '3'] -> (3 / (3/8 * (5/7 - (2/3 / 7/4))))
[36604] ['1/9', '1/9', '1/8', '5/6', '5'] -> ((1/9 / 1/9) / ((5/6 / 5) - 1/8))
[36605] ['1/6', '3/4', '4/5', '8/3', '5'] -> (5 * ((3/4 / 1/6) + (4/5 / 8/3)))
[36606] ['1/4', '8/9', '3/2', '2', '7/2'] -> ((2 / 3/2) / ((8/9 / 1/4) - 7/2))
[36607] ['3/8', '5/9', '5/9', '4/5', '4'] -> ((4/5 + ((5/9 + 4) / 5/9)) / 3/8)
[36608] ['1/7', '2/3', '4/5', '4/5', '9'] -> ((9 + (4/5 / (1/7 * 4/5))) / 2/3)
[36609] ['3/8', '2/3', '5/7', '9/5', '3'] -> ((9/5 + (3 / 5/7)) / (3/8 * 2/3))
[36610] ['1/6', '4/7', '5/8', '3/2', '6'] -> (((5/8 + 6) - (3/2 / 4/7)) / 1/6)
[36611] ['1/5', '2/7', '4/9', '5/6', '4'] -> (4 / ((1/5 / 2/7) - (4/9 / 5/6)))
[36612] ['1/6', '3/4', '5/6', '6/7', '5'] -> (5 / ((1/6 - 5/6) + (3/4 / 6/7)))
[36613] ['2/9', '7/8', '9/7', '7/3', '5'] -> (5 / (7/8 - (7/3 * (2/9 * 9/7))))
[36614] ['5/9', '5/9', '4/7', '1', '6/5'] -> ((5/9 * 6/5) / (1 - (5/9 / 4/7)))
[36615] ['3/8', '2/3', '5/7', '9/4', '3'] -> ((3 / (3/8 + 9/4)) / (5/7 - 2/3))
[36616] ['1/6', '4/7', '5/8', '8/5', '6'] -> ((6 + (5/8 * 8/5)) / (1/6 / 4/7))
[36617] ['1/5', '2/7', '4/9', '6/7', '4'] -> ((6/7 / (1/5 * 2/7)) + (4 / 4/9))
[36618] ['1/9', '1/7', '7/9', '6/5', '4'] -> ((4 / (1/7 * 6/5)) - (1/9 - 7/9))
[36619] ['1/8', '2/3', '5/7', '3/4', '5'] -> (5 / (((3/4 - 1/8) / 5/7) - 2/3))
[36620] ['4/9', '5/7', '9/5', '7/2', '4'] -> (4 / (7/2 * (4/9 - (5/7 / 9/5))))
[36621] ['1/9', '1/4', '3/2', '9/5', '3'] -> ((3/2 - 1/4) * (3 + (9/5 / 1/9)))
[36622] ['2/7', '7/6', '8/5', '8/3', '8'] -> ((8/5 * (7/6 + 8)) + (8/3 / 2/7))
[36623] ['1/9', '1/7', '7/9', '5/4', '4'] -> ((4 - (7/9 / (1/9 + 5/4))) / 1/7)
[36624] ['2/9', '7/8', '9/7', '7/2', '5'] -> ((7/2 + (5 / (2/9 * 9/7))) / 7/8)
[36625] ['2/7', '7/6', '8/5', '9/2', '8'] -> (9/2 * ((2/7 * 7/6) + (8 / 8/5)))
[36626] ['4/9', '5/7', '9/4', '9/4', '4'] -> ((4/9 + 4) * (9/4 + (9/4 / 5/7)))
[36627] ['5/9', '5/9', '4/7', '1', '7/5'] -> (((5/9 / 7/5) / (4/7 - 5/9)) - 1)
[36628] ['1/6', '3/4', '5/6', '3/2', '5'] -> (((5 / 5/6) - (3/2 / 3/4)) / 1/6)
[36629] ['1/5', '2/7', '4/9', '8/7', '4'] -> ((8/7 / 4/9) + ((2/7 + 4) / 1/5))
[36630] ['1/9', '1/9', '1/8', '5/4', '5'] -> (((5 / 5/4) - (1/9 / 1/9)) / 1/8)
[36631] ['2/9', '7/8', '9/7', '9/2', '5'] -> ((9/2 + (5 / 2/9)) / (7/8 * 9/7))
[36632] ['3/8', '2/3', '3/4', '7/9', '3'] -> ((3 / (3/8 + 3/4)) / (7/9 - 2/3))
[36633] ['1/8', '2/3', '5/7', '9/8', '5'] -> (((9/8 / 1/8) + (5 / 5/7)) / 2/3)
[36634] ['9/8', '6/5', '4/3', '4/3', '6'] -> (6 / (9/8 * (4/3 - (4/3 / 6/5))))
[36635] ['1/9', '1/4', '8/5', '9/4', '3'] -> (8/5 * (((9/4 - 1/4) / 1/9) - 3))
[36636] ['1/4', '8/9', '8/5', '2', '8/3'] -> (8/3 / ((2 / 8/5) - (1/4 + 8/9)))
