[70921] ['1/5', '4/7', '9/7', '9/7', '6'] -> (((9/7 / 1/5) + (9/7 + 6)) / 4/7)
[71556] ['1/5', '3/5', '5/7', '9/2', '6'] -> ((9/2 + 6) * ((3/5 / 1/5) - 5/7))
[71557] ['1/9', '5/9', '8/9', '7/5', '5'] -> (((5/9 * (7/5 + 5)) - 8/9) / 1/9)
[71558] ['1/5', '5/8', '5/8', '5/8', '5'] -> (((5 / (1/5 / 5/8)) - 5/8) / 5/8)
[71559] ['1/9', '2/7', '5/6', '7/8', '7'] -> (((7 / 2/7) - 5/6) / (1/9 + 7/8))
[71560] ['2/9', '2/7', '7/9', '6/7', '4'] -> (6/7 / (2/7 - ((2/9 + 7/9) / 4)))
[71561] ['1/7', '2/5', '7/6', '5/2', '5'] -> ((5 - (2/5 * 5/2)) / (1/7 * 7/6))
[71562] ['4/7', '6/7', '8/9', '1', '9/7'] -> (4/7 / ((1 / 6/7) - (8/9 * 9/7)))
[71563] ['1/5', '3/5', '3/4', '7/9', '6'] -> (6 / ((3/4 * 7/9) - (1/5 / 3/5)))
[71564] ['1/5', '5/8', '5/8', '2/3', '5'] -> (5 / (1/5 * (5/8 + (5/8 * 2/3))))
[71565] ['1/5', '1/3', '7/8', '4/3', '8'] -> ((8 * ((7/8 / 1/5) - 4/3)) - 1/3)
[71566] ['2/7', '2/7', '2/5', '3/7', '5'] -> ((5 * (2/7 + 2/5)) / (3/7 - 2/7))
[71567] ['2/5', '7/9', '9/7', '7/5', '4'] -> ((7/5 + (7/9 * 9/7)) / (2/5 / 4))
[71568] ['5/9', '3/4', '6/7', '4/3', '4'] -> (4 * ((4/3 / (3/4 - 5/9)) - 6/7))
[71569] ['1/9', '7/8', '8/7', '9/7', '4'] -> (((4 / 7/8) - 8/7) / (1/9 * 9/7))
[71570] ['1/6', '5/8', '5/7', '5/2', '9'] -> ((5/2 - 1/6) * (9 / (5/8 / 5/7)))
[71571] ['2/5', '7/8', '7/6', '8/5', '3'] -> ((3 + (8/5 / 2/5)) / (7/6 - 7/8))
[71572] ['1/8', '1/6', '2/5', '3/2', '3'] -> (3/2 / (1/6 - ((1/8 / 2/5) / 3)))
[71573] ['1/7', '2/5', '6/5', '6/5', '5'] -> ((6/5 * 5) * (6/5 + (2/5 / 1/7)))
[71574] ['1/5', '3/5', '3/4', '9/7', '6'] -> (6 / ((3/4 / 9/7) - (1/5 / 3/5)))
[71575] ['2/9', '2/7', '7/9', '6/5', '4'] -> ((4 / (2/7 * (7/9 - 2/9))) - 6/5)
[71576] ['5/9', '3/4', '6/7', '3/2', '4'] -> (4 / (6/7 * (3/2 - (5/9 + 3/4))))
[71577] ['2/7', '2/7', '2/5', '4/7', '5'] -> (((5 / (2/5 / 4/7)) - 2/7) / 2/7)
[71578] ['2/9', '2/7', '7/9', '5/4', '4'] -> ((4 / (2/9 * 7/9)) / (5/4 - 2/7))
[71579] ['1/8', '1/6', '2/5', '5/3', '3'] -> (3 / (((1/6 / 2/5) / 5/3) - 1/8))
[71580] ['1/5', '5/8', '5/8', '7/8', '5'] -> ((5 + (7/8 / 1/5)) / (5/8 * 5/8))
[71581] ['1/6', '5/8', '5/7', '9/2', '9'] -> ((5/8 * 9) * (9/2 - (1/6 / 5/7)))
[71582] ['1/7', '2/5', '6/5', '5/4', '5'] -> ((((5 / 5/4) - 2/5) / 1/7) - 6/5)
[71583] ['1/9', '5/9', '9/8', '9/8', '5'] -> ((5 / (1/9 / 5/9)) - (9/8 / 9/8))
[71584] ['2/7', '2/7', '2/5', '3/5', '5'] -> ((5 / (3/5 - 2/5)) - (2/7 / 2/7))
[71585] ['1/5', '3/5', '7/9', '7/9', '6'] -> (6 * ((3/5 / 1/5) + (7/9 / 7/9)))
[71586] ['1/5', '1/3', '7/8', '8/3', '8'] -> (((8/3 / 1/5) - (1/3 - 8)) / 7/8)
[71587] ['2/5', '7/8', '7/6', '9/5', '3'] -> (3 / ((9/5 * (7/6 - 7/8)) - 2/5))
[71588] ['1/9', '7/8', '8/7', '7/4', '4'] -> ((8/7 + (4 / (7/8 + 7/4))) / 1/9)
[71589] ['1/9', '2/7', '5/6', '7/5', '7'] -> (2/7 / (1/9 - (5/6 / (7/5 + 7))))
[71590] ['5/9', '3/4', '6/7', '5/3', '4'] -> ((5/3 / (5/9 * (6/7 - 3/4))) - 4)
[71591] ['1/6', '5/8', '3/4', '5/6', '9'] -> (9 / ((3/4 - 5/6) - (1/6 - 5/8)))
[71592] ['1/7', '2/5', '6/5', '4/3', '5'] -> (((5 / 1/7) - (6/5 / 2/5)) / 4/3)
[71593] ['2/5', '7/9', '9/7', '9/5', '4'] -> ((9/7 + 9/5) * (4 / (2/5 / 7/9)))
[71594] ['1/5', '5/8', '5/8', '9/8', '5'] -> (9/8 / (5/8 * (1/5 - (5/8 / 5))))
[71595] ['1/8', '1/6', '2/5', '3', '7/2'] -> (3 * ((7/2 / 2/5) - (1/8 / 1/6)))
[71596] ['2/5', '7/8', '7/6', '9/4', '3'] -> ((7/8 / ((2/5 * 3) - 7/6)) - 9/4)
[71597] ['1/5', '3/5', '7/9', '5/6', '6'] -> (((3/5 / (5/6 - 7/9)) - 6) / 1/5)
[71598] ['1/9', '7/8', '8/7', '9/5', '4'] -> (8/7 + (4 / (9/5 * (1/9 * 7/8))))
[71599] ['1/9', '2/7', '5/6', '8/5', '7'] -> ((5/6 * 8/5) * (7 / (1/9 / 2/7)))
[71600] ['1/5', '1/3', '7/8', '9/2', '8'] -> (9/2 * ((7/8 * 8) - (1/3 / 1/5)))
[71601] ['1/8', '1/6', '2/5', '3', '9/2'] -> (9/2 / ((1/6 * 3) - (1/8 / 2/5)))
[71602] ['1/6', '5/8', '3/4', '6/7', '9'] -> (((3/4 / 1/6) + (9 / 6/7)) / 5/8)
[71603] ['2/7', '7/8', '8/9', '2', '9/2'] -> ((2 + (8/9 * 9/2)) / (2/7 * 7/8))
[71604] ['1/5', '3/5', '7/9', '6/7', '6'] -> (6/7 + (6 / (7/9 * (1/5 / 3/5))))
[71605] ['1/9', '5/9', '9/8', '5/4', '5'] -> (5 / (1/9 * (5/4 + (5/9 * 9/8))))
[71606] ['2/5', '7/9', '9/7', '7/3', '4'] -> (4 / ((9/7 / (2/5 / 7/9)) - 7/3))
[71607] ['5/9', '3/4', '6/7', '9/4', '4'] -> (4 / (5/9 - ((3/4 / 6/7) / 9/4)))
[71608] ['1/9', '5/9', '9/8', '9/7', '5'] -> (5 / ((9/8 / 9/7) - (1/9 + 5/9)))
[71609] ['2/5', '7/9', '9/7', '5/2', '4'] -> ((4 / (2/5 / 5/2)) - (7/9 * 9/7))
[71610] ['2/5', '7/8', '7/6', '8/3', '3'] -> (3 * ((7/6 / 7/8) + (8/3 / 2/5)))
[71611] ['1/7', '2/5', '6/5', '7/4', '5'] -> (6/5 + ((2/5 + (5 / 7/4)) / 1/7))
[71612] ['5/9', '3/4', '6/7', '5/2', '4'] -> (4 * (3/4 + (5/2 / (5/9 * 6/7))))
[71613] ['1/9', '7/8', '8/7', '5/2', '4'] -> (4 / (1/9 * (5/2 - (7/8 * 8/7))))
[71614] ['2/9', '2/7', '7/9', '5/2', '4'] -> (4 * (5/2 + ((2/9 + 7/9) / 2/7)))
[71615] ['2/7', '2/7', '2/5', '5/6', '5'] -> ((5 + (2/7 / 2/5)) / (2/7 * 5/6))
[71616] ['4/7', '6/7', '1', '9/8', '6/5'] -> ((6/7 / 4/7) / (1 - (9/8 / 6/5)))
[71617] ['1/6', '5/8', '3/4', '9/7', '9'] -> (9 / (9/7 * (3/4 + (1/6 - 5/8))))
[71618] ['2/5', '7/8', '7/6', '3', '7/2'] -> (3 * ((7/2 / 2/5) - (7/8 / 7/6)))
[71619] ['2/5', '7/9', '9/7', '7/2', '4'] -> (4 * (7/2 + (9/7 / (2/5 / 7/9))))
[71620] ['1/9', '2/7', '5/6', '9/4', '7'] -> ((9/4 + (5/6 / (2/7 * 7))) / 1/9)
[71621] ['1/5', '3/5', '7/9', '8/7', '6'] -> ((8/7 / (1/5 / 7/9)) * (6 - 3/5))
[71622] ['2/7', '2/7', '2/5', '6/7', '5'] -> (((6/7 / 2/5) - (2/7 - 5)) / 2/7)
[71623] ['4/7', '6/7', '1', '9/8', '5/4'] -> (6/7 / (5/4 - (4/7 * (1 + 9/8))))
[71624] ['2/7', '7/8', '9/8', '9/7', '2'] -> (9/7 / ((2 * (7/8 - 2/7)) - 9/8))
[71625] ['2/5', '7/9', '9/7', '4', '9/2'] -> ((7/9 * 4) * (9/2 + (9/7 / 2/5)))
[71626] ['1/5', '5/8', '5/8', '5/3', '5'] -> ((5 / 1/5) - (5/8 + (5/8 / 5/3)))
[71627] ['1/8', '1/6', '3/7', '3/4', '3'] -> (3 / ((3/7 * (3/4 - 1/6)) - 1/8))
[71628] ['1/9', '2/7', '5/6', '5/2', '7'] -> (((2/7 + 5/2) - (5/6 / 7)) / 1/9)
[71629] ['1/7', '2/5', '6/5', '9/2', '5'] -> (((1/7 + 5) * (2/5 + 9/2)) - 6/5)
[71630] ['1/9', '5/9', '9/8', '8/5', '5'] -> (5/9 * ((5 / 1/9) - (9/8 * 8/5)))
[71631] ['2/5', '7/8', '6/5', '4/3', '3'] -> (3 / (4/3 - (7/8 + (2/5 / 6/5))))
[71632] ['1/7', '2/5', '5/4', '5/4', '5'] -> (5/4 + ((5/4 + (2/5 * 5)) / 1/7))
[71633] ['2/7', '2/7', '2/5', '8/7', '5'] -> (((2/7 / 2/5) + (8/7 + 5)) / 2/7)
[71634] ['2/7', '7/8', '9/8', '3/2', '2'] -> (3/2 / ((9/8 + 2) - (7/8 / 2/7)))
[71635] ['1/9', '2/7', '5/6', '7/2', '7'] -> ((7/2 + (5/6 * 7)) / (1/9 / 2/7))
[71636] ['1/6', '5/8', '7/9', '7/9', '9'] -> ((9 + (7/9 / (1/6 * 7/9))) / 5/8)
[71637] ['1/5', '3/5', '7/9', '9/7', '6'] -> (6 * ((3/5 / 1/5) + (7/9 * 9/7)))
[71638] ['2/5', '7/8', '6/5', '7/5', '3'] -> ((6/5 + 7/5) / (2/5 - (7/8 / 3)))
[71639] ['4/7', '6/7', '1', '9/8', '5/3'] -> (1 / ((5/3 / (4/7 + 6/7)) - 9/8))
[71640] ['1/9', '5/9', '9/8', '7/4', '5'] -> (5 + ((5/9 + (7/4 / 9/8)) / 1/9))
[71641] ['2/5', '7/9', '4/3', '9/5', '4'] -> ((2/5 * 4) / ((7/9 * 9/5) - 4/3))
[71642] ['1/6', '5/8', '7/9', '4/5', '9'] -> (((7/9 / 5/8) - 4/5) / (1/6 / 9))
[71643] ['4/7', '6/7', '1', '9/8', '9/5'] -> (1 / ((4/7 / 6/7) - (9/8 / 9/5)))
[71644] ['1/5', '3/5', '7/9', '7/5', '6'] -> (((3/5 + 6) - (7/5 / 7/9)) / 1/5)
[71645] ['2/5', '7/8', '6/5', '5/3', '3'] -> ((3 / 5/3) / ((2/5 + 7/8) - 6/5))
[71646] ['2/7', '2/7', '2/5', '5/4', '5'] -> (2/5 * ((5 / (2/7 * 2/7)) - 5/4))
[71647] ['2/5', '7/9', '4/3', '9/4', '4'] -> ((4 / 2/5) / ((7/9 * 9/4) - 4/3))
[71648] ['1/9', '5/9', '9/8', '9/4', '5'] -> ((5 / (1/9 * 5/9)) / (9/8 + 9/4))
[71649] ['2/7', '7/8', '9/8', '5/3', '2'] -> (2 / ((7/8 * (5/3 - 2/7)) - 9/8))
[71650] ['2/7', '2/7', '2/5', '9/7', '5'] -> ((2/7 + 2/5) / (2/7 - (9/7 / 5)))
[71651] ['5/9', '3/4', '7/8', '9/7', '4'] -> ((3/4 * 4) / ((7/8 / 9/7) - 5/9))
[71652] ['2/9', '2/7', '4/5', '8/7', '4'] -> (8/7 + ((2/7 + (4 / 2/9)) / 4/5))
[71653] ['4/7', '6/7', '1', '9/8', '7/3'] -> ((7/3 + (4/7 / 6/7)) / (9/8 - 1))
[71654] ['1/9', '2/7', '6/7', '9/8', '7'] -> ((9/8 * (1/9 + 7)) / (2/7 / 6/7))
[71655] ['1/7', '2/5', '5/4', '3/2', '5'] -> (((5 - 3/2) / 1/7) - (2/5 * 5/4))
[71656] ['2/5', '7/8', '6/5', '7/3', '3'] -> ((6/5 * 7/3) * (3 / (2/5 * 7/8)))
[71657] ['1/5', '5/8', '2/3', '5/7', '5'] -> ((5 / (5/8 * 5/7)) / (2/3 - 1/5))
[71658] ['2/5', '7/9', '4/3', '8/3', '4'] -> (8/3 / ((7/9 - 4) + (4/3 / 2/5)))
[71659] ['1/9', '5/9', '9/8', '5/2', '5'] -> (5 / (1/9 * (5/2 - (5/9 * 9/8))))
[71660] ['2/7', '2/7', '2/5', '7/5', '5'] -> ((2/7 + 2/5) / ((2/7 * 5) - 7/5))
[71661] ['1/9', '7/8', '7/6', '5/3', '4'] -> (4 + ((7/6 * 5/3) / (1/9 * 7/8)))
[71662] ['5/9', '3/4', '7/8', '7/5', '4'] -> ((5/9 / (7/8 - 3/4)) * (7/5 + 4))
[71663] ['1/9', '2/7', '6/7', '7/6', '7'] -> ((7/6 + (7 / 6/7)) / (1/9 / 2/7))
[71664] ['2/5', '7/8', '6/5', '8/3', '3'] -> ((2/5 / 6/5) / ((8/3 / 3) - 7/8))
[71665] ['1/7', '2/5', '5/4', '5/3', '5'] -> ((5 / 1/7) / ((5/4 / 2/5) - 5/3))
[71666] ['1/5', '5/8', '2/3', '7/9', '5'] -> ((2/3 / 5/8) / (1/5 - (7/9 / 5)))
[71667] ['4/7', '6/7', '1', '9/8', '8/3'] -> (1 / (8/3 - (9/8 + (6/7 / 4/7))))
[71668] ['1/5', '3/5', '7/9', '9/4', '6'] -> (6 / (3/5 - (9/4 * (1/5 * 7/9))))
[71669] ['1/8', '1/6', '3/7', '7/5', '3'] -> ((3/7 / 3) / (1/8 - (1/6 / 7/5)))
[71670] ['2/5', '7/9', '4/3', '4', '9/2'] -> (4 / ((7/9 * 9/2) - (4/3 / 2/5)))
[71671] ['2/7', '7/8', '9/8', '2', '7/3'] -> ((2 / 7/3) / ((2/7 + 7/8) - 9/8))
[71672] ['2/5', '7/8', '6/5', '3', '9/2'] -> ((3 + (6/5 * 9/2)) / (2/5 * 7/8))
[71673] ['1/9', '7/8', '7/6', '9/4', '4'] -> (4 / (1/9 * (9/4 - (7/8 / 7/6))))
[71674] ['4/7', '6/7', '1', '9/8', '7/2'] -> (6/7 / (((1 + 9/8) / 7/2) - 4/7))
[71675] ['1/9', '5/9', '9/8', '9/2', '5'] -> ((5 / (1/9 * 5/9)) / (9/2 - 9/8))
[71676] ['1/6', '5/8', '7/9', '5/4', '9'] -> (9 * ((7/9 / 1/6) - (5/4 / 5/8)))
[71677] ['1/7', '2/5', '5/4', '7/3', '5'] -> ((7/3 * (1/7 + 5)) / (2/5 * 5/4))
[71678] ['2/7', '2/7', '2/5', '7/4', '5'] -> (((5 / (2/5 * 7/4)) - 2/7) / 2/7)
[71679] ['5/9', '3/4', '7/8', '7/4', '4'] -> ((7/4 + 4) / (3/4 * (7/8 - 5/9)))
[71680] ['1/9', '5/9', '8/7', '8/7', '5'] -> ((5 / (1/9 / 5/9)) - (8/7 / 8/7))
[71681] ['1/9', '7/8', '6/5', '6/5', '4'] -> ((4 - 6/5) / (6/5 * (1/9 * 7/8)))
[71682] ['1/9', '2/7', '6/7', '7/5', '7'] -> (7/5 * ((7 / (1/9 / 2/7)) - 6/7))
[71683] ['1/8', '1/6', '3/7', '7/4', '3'] -> ((7/4 / (1/8 / 3/7)) + (3 / 1/6))
[71684] ['2/7', '7/8', '9/8', '2', '9/2'] -> ((2 + (9/2 / 9/8)) / (2/7 * 7/8))
[71685] ['1/6', '5/8', '7/9', '9/7', '9'] -> ((9 + (9/7 / (1/6 / 7/9))) / 5/8)
[71686] ['1/5', '3/5', '4/5', '6/7', '6'] -> ((6 - (6/7 * (3/5 + 4/5))) / 1/5)
[71687] ['2/5', '7/8', '5/4', '4/3', '3'] -> (3 / (((7/8 / 5/4) / 4/3) - 2/5))
[71688] ['5/9', '3/4', '7/8', '9/4', '4'] -> (4 / (((3/4 + 7/8) / 9/4) - 5/9))
[71689] ['1/5', '5/8', '2/3', '9/8', '5'] -> ((5 - (9/8 / 5/8)) / (1/5 * 2/3))
[71690] ['1/9', '7/8', '6/5', '5/4', '4'] -> ((4 / (5/4 * (1/9 / 7/8))) - 6/5)
[71691] ['2/9', '2/7', '4/5', '7/5', '4'] -> ((7/5 * ((4 / 2/9) - 2/7)) - 4/5)
[71692] ['1/5', '1/3', '9/8', '9/2', '8'] -> ((9/8 + 9/2) * (8 * (1/5 + 1/3)))
[71693] ['1/9', '5/9', '8/7', '7/6', '5'] -> ((((5 - 5/9) / 7/6) - 8/7) / 1/9)
[71694] ['4/7', '6/7', '1', '8/7', '7/5'] -> (8/7 / ((1 / 7/5) - (4/7 / 6/7)))
[71695] ['1/9', '2/7', '6/7', '8/5', '7'] -> (8/5 * ((2/7 + 7) + (6/7 / 1/9)))
[71696] ['2/7', '7/8', '8/7', '7/6', '2'] -> (2 / ((7/8 * (2/7 + 8/7)) - 7/6))
[71697] ['1/7', '2/5', '5/4', '7/2', '5'] -> (2/5 + ((5 + (7/2 / 1/7)) / 5/4))
[71698] ['5/9', '3/4', '7/8', '7/2', '4'] -> (4 / ((5/9 * 3/4) - (7/8 / 7/2)))
[71699] ['2/5', '7/8', '5/4', '9/5', '3'] -> ((9/5 / 3) / ((2/5 + 7/8) - 5/4))
[71700] ['1/5', '3/5', '4/5', '7/6', '6'] -> ((6 - ((3/5 + 4/5) / 7/6)) / 1/5)
[71701] ['5/9', '3/4', '8/9', '8/9', '4'] -> ((8/9 * 4) / (8/9 - (5/9 / 3/4)))
[71702] ['4/7', '6/7', '1', '8/7', '9/5'] -> (8/7 / ((4/7 - 1) + (6/7 / 9/5)))
[71703] ['1/7', '2/5', '5/4', '9/2', '5'] -> ((((5 / 1/7) - 9/2) / 5/4) - 2/5)
[71704] ['1/9', '7/8', '6/5', '7/5', '4'] -> ((4 - (7/5 / (7/8 * 6/5))) / 1/9)
[71705] ['2/7', '7/8', '8/7', '5/4', '2'] -> ((2/7 + (2 / 7/8)) / (5/4 - 8/7))
[71706] ['2/5', '7/9', '7/5', '5/2', '4'] -> ((7/5 + 4) * (5/2 + (7/9 / 2/5)))
[71707] ['5/9', '3/4', '8/9', '9/8', '4'] -> (4 / (9/8 * (8/9 - (5/9 / 3/4))))
[71708] ['2/5', '7/8', '5/4', '7/3', '3'] -> (3 / ((2/5 * 5/4) - (7/8 / 7/3)))
[71709] ['4/7', '6/7', '1', '8/7', '9/4'] -> (8/7 / (1 - (4/7 + (6/7 / 9/4))))
[71710] ['1/9', '7/8', '6/5', '3/2', '4'] -> ((4 + (3/2 / 1/9)) / (7/8 / 6/5))
[71711] ['1/6', '5/8', '7/9', '9/4', '9'] -> (((7/9 * 9) / (1/6 / 5/8)) - 9/4)
[71712] ['1/9', '5/9', '8/7', '4/3', '5'] -> (8/7 * ((4/3 / 1/9) + (5 / 5/9)))
[71713] ['1/7', '2/5', '9/7', '4/3', '5'] -> ((9/7 * 4/3) * (5 / (1/7 / 2/5)))
[71714] ['1/9', '2/7', '6/7', '7/2', '7'] -> ((2/7 + (7 / 7/2)) / (1/9 * 6/7))
[71715] ['2/7', '2/7', '3/7', '3/7', '5'] -> ((3/7 / (2/7 * 2/7)) * (5 - 3/7))
[71716] ['2/5', '7/8', '5/4', '5/2', '3'] -> ((5/2 + (7/8 / 5/4)) / (2/5 / 3))
[71717] ['4/7', '6/7', '1', '8/7', '7/3'] -> (4/7 / (7/3 - (8/7 + (1 / 6/7))))
[71718] ['2/9', '2/7', '4/5', '9/5', '4'] -> ((9/5 * ((4 / 2/7) - 2/9)) - 4/5)
[71719] ['2/5', '7/9', '7/5', '7/2', '4'] -> (2/5 + (4 * (7/5 + (7/2 / 7/9))))
[71720] ['1/5', '5/8', '2/3', '9/4', '5'] -> (5 / ((5/8 / 1/5) - (2/3 + 9/4)))
[71721] ['2/7', '2/7', '3/7', '4/9', '5'] -> (((5 / 3/7) - (2/7 / 2/7)) / 4/9)
[71722] ['1/7', '2/5', '9/7', '3/2', '5'] -> ((9/7 - (2/5 * 3/2)) / (1/7 / 5))
[71723] ['2/5', '7/8', '5/4', '8/3', '3'] -> (7/8 + ((5/4 + (8/3 * 3)) / 2/5))
[71724] ['4/7', '6/7', '1', '8/7', '5/2'] -> ((4/7 + (8/7 * 5/2)) / (1 - 6/7))
[71725] ['2/9', '2/7', '4/5', '7/3', '4'] -> (4 / (2/7 - ((2/9 / 4/5) / 7/3)))
[71726] ['2/5', '7/9', '3/2', '8/5', '4'] -> (4 / ((3/2 * (2/5 + 7/9)) - 8/5))
[71727] ['1/9', '5/9', '8/7', '3/2', '5'] -> (8/7 / ((5/9 / (5 - 3/2)) - 1/9))
[71728] ['1/5', '3/5', '5/6', '8/9', '6'] -> (((3/5 / (8/9 - 5/6)) - 6) / 1/5)
[71729] ['2/7', '2/7', '3/7', '4/7', '5'] -> ((2/7 + (5 / (2/7 / 4/7))) / 3/7)
[71730] ['1/8', '1/6', '4/9', '4/5', '3'] -> (((3 / (4/5 - 1/8)) - 4/9) / 1/6)
[71731] ['1/9', '2/7', '7/8', '9/8', '7'] -> ((7 - (9/8 * (1/9 / 7/8))) / 2/7)
[71732] ['2/5', '7/9', '3/2', '5/3', '4'] -> (4 / (3/2 * (7/9 - (2/5 * 5/3))))
[71733] ['2/7', '2/7', '3/7', '5/8', '5'] -> ((5 - (2/7 + 3/7)) / (2/7 * 5/8))
[71734] ['4/7', '6/7', '1', '8/7', '9/2'] -> ((6/7 + (4/7 * 9/2)) / (8/7 - 1))
[71735] ['1/5', '3/5', '5/6', '9/8', '6'] -> (3/5 / ((9/8 / (5/6 * 6)) - 1/5))
[71736] ['1/7', '2/5', '9/7', '9/5', '5'] -> (5 + ((2/5 + (9/7 * 9/5)) / 1/7))
[71737] ['1/9', '5/9', '8/7', '9/5', '5'] -> ((9/5 * 5) / ((5/9 / 8/7) - 1/9))
[71738] ['2/7', '2/7', '3/7', '2/3', '5'] -> (((5 / 2/7) - (3/7 / 2/7)) / 2/3)
[71739] ['1/5', '5/8', '5/7', '7/9', '5'] -> ((5 / (1/5 * 7/9)) / (5/8 + 5/7))
[71740] ['1/5', '1/3', '8/7', '8/3', '8'] -> (8/7 * ((8/3 / 1/5) - (1/3 - 8)))
[71741] ['4/7', '6/7', '1', '7/6', '6/5'] -> ((4/7 / 6/7) / (1 - (7/6 / 6/5)))
[71742] ['2/7', '2/7', '3/7', '5/7', '5'] -> (((2/7 - 3/7) + (5 / 5/7)) / 2/7)
[71743] ['2/5', '7/9', '3/2', '7/3', '4'] -> (4 * ((7/3 / (2/5 * 7/9)) - 3/2))
[71744] ['1/5', '5/8', '5/7', '4/5', '5'] -> ((5/7 / (1/5 * 5/8)) * (5 - 4/5))
[71745] ['1/9', '7/8', '6/5', '7/2', '4'] -> ((4 / 6/5) / ((7/8 / 7/2) - 1/9))
[71746] ['4/7', '6/7', '1', '7/6', '9/7'] -> (4/7 / ((7/6 - 9/7) - (6/7 - 1)))
[71747] ['1/5', '1/3', '8/7', '9/2', '8'] -> (9/2 * ((8 / 8/7) - (1/3 / 1/5)))
[71748] ['2/7', '2/7', '3/7', '7/9', '5'] -> ((3/7 / 2/7) + (5 / (2/7 * 7/9)))
[71749] ['2/5', '7/9', '3/2', '5/2', '4'] -> (4 / ((7/9 * 3/2) - (2/5 * 5/2)))
[71750] ['1/9', '5/9', '8/7', '5/2', '5'] -> (5 / ((5/9 / 8/7) - (1/9 * 5/2)))
[71751] ['1/7', '2/5', '9/7', '5/2', '5'] -> ((5/2 + (9/7 / 1/7)) + (5 / 2/5))
[71752] ['1/9', '7/8', '6/5', '4', '9/2'] -> ((4 - 1/9) * (9/2 / (7/8 / 6/5)))
[71753] ['1/5', '5/8', '5/7', '6/7', '5'] -> (6/7 / (5/8 * (1/5 - (5/7 / 5))))
[71754] ['2/9', '2/7', '5/6', '8/9', '4'] -> (4 / (2/7 * (5/6 - (2/9 / 8/9))))
[71755] ['5/9', '3/4', '9/8', '7/6', '4'] -> (4 / ((3/4 * (5/9 + 7/6)) - 9/8))
[71756] ['1/5', '3/5', '5/6', '9/4', '6'] -> (6 / ((5/6 / (1/5 / 3/5)) - 9/4))
[71757] ['1/9', '2/7', '7/8', '3/2', '7'] -> (7 / (7/8 - (3/2 * (1/9 / 2/7))))
[71758] ['2/7', '2/7', '3/7', '5/6', '5'] -> ((5 + (2/7 + 3/7)) / (2/7 * 5/6))
[71759] ['1/7', '2/5', '9/7', '7/2', '5'] -> ((9/7 / (1/7 * 2/5)) - (7/2 - 5))
[71760] ['1/6', '5/8', '4/5', '5/3', '9'] -> (9 / ((5/8 * (5/3 - 4/5)) - 1/6))
[71761] ['2/7', '7/8', '7/6', '4/3', '2'] -> (2 / ((2/7 * 7/8) + (7/6 - 4/3)))
[71762] ['5/9', '3/4', '9/8', '6/5', '4'] -> ((4 / 5/9) / ((9/8 / 3/4) - 6/5))
[71763] ['2/9', '2/7', '5/6', '9/8', '4'] -> (4 / (2/7 * (5/6 - (2/9 * 9/8))))
[71764] ['1/7', '2/5', '9/7', '9/2', '5'] -> ((2/5 + (9/7 / 9/2)) / (1/7 / 5))
[71765] ['1/9', '5/9', '7/6', '7/6', '5'] -> ((5 / (1/9 / 5/9)) - (7/6 / 7/6))
[71766] ['2/5', '7/8', '9/7', '5/2', '3'] -> (3 / ((7/8 * 9/7) - (2/5 * 5/2)))
[71767] ['1/5', '1/3', '7/6', '7/4', '8'] -> (8 * ((7/6 / (1/5 * 7/4)) - 1/3))
[71768] ['1/5', '5/8', '5/7', '9/8', '5'] -> ((((5 - 9/8) / 5/7) - 5/8) / 1/5)
[71769] ['1/6', '5/8', '4/5', '8/3', '9'] -> (8/3 / (1/6 - ((5/8 * 4/5) / 9)))
[71770] ['1/7', '2/5', '4/3', '7/5', '5'] -> ((7/5 * (1/7 + 5)) / (2/5 / 4/3))
[71771] ['2/7', '2/7', '3/7', '8/7', '5'] -> (((2/7 + 3/7) + (8/7 + 5)) / 2/7)
[71772] ['1/5', '3/5', '6/7', '9/8', '6'] -> (6 / ((6/7 * (9/8 - 3/5)) - 1/5))
[71773] ['1/5', '1/3', '7/6', '9/5', '8'] -> ((1/3 + 7/6) * (8 * (1/5 + 9/5)))
[71774] ['5/9', '3/4', '9/8', '7/5', '4'] -> ((7/5 + 4) / ((3/4 / 5/9) - 9/8))
[71775] ['1/7', '2/5', '4/3', '3/2', '5'] -> (5 * ((2/5 / 1/7) + (4/3 * 3/2)))
[71776] ['2/7', '7/8', '7/6', '5/3', '2'] -> ((2 / 2/7) / ((7/8 * 5/3) - 7/6))
[71777] ['1/6', '5/8', '5/6', '5/6', '9'] -> ((9 + (5/6 / (1/6 * 5/6))) / 5/8)
[71778] ['2/5', '7/8', '9/7', '3', '7/2'] -> (7/2 / ((3 / 9/7) - (7/8 / 2/5)))
[71779] ['2/7', '2/7', '3/7', '6/5', '5'] -> ((5 + (2/7 + 3/7)) / (2/7 / 6/5))
[71780] ['4/7', '6/7', '1', '7/6', '8/3'] -> ((8/3 / (4/7 / 6/7)) / (7/6 - 1))
[71781] ['1/5', '3/5', '6/7', '5/4', '6'] -> (3/5 / ((1/5 / 6/7) - (5/4 / 6)))
[71782] ['1/9', '7/8', '5/4', '7/4', '4'] -> (((5/4 + 4) + (7/4 / 1/9)) / 7/8)
[71783] ['1/9', '5/9', '7/6', '9/7', '5'] -> (7/6 * ((9/7 / 1/9) + (5 / 5/9)))
