[115246] ['1/4', '3/8', '4/7', '3/4', '4'] -> (((4 / 4/7) - 1/4) / (3/8 * 3/4))
[116618] ['1/7', '2/9', '2/5', '7/9', '4'] -> (4 * ((2/9 / 2/5) + (7/9 / 1/7)))
[116619] ['1/8', '2/9', '2/9', '8/5', '7'] -> (8/5 * (7 + (2/9 / (1/8 * 2/9))))
[116620] ['2/7', '5/7', '5/6', '7/3', '7'] -> ((7 / 2/7) - (5/6 / (5/7 * 7/3)))
[116621] ['2/3', '9/8', '9/7', '4/3', '3'] -> (4/3 * ((3 / (9/7 - 9/8)) - 2/3))
[116622] ['1/8', '2/9', '2/9', '5/3', '7'] -> (((2/9 * 7) - (2/9 - 5/3)) / 1/8)
[116623] ['1/4', '2/5', '5/9', '9/4', '4'] -> (1/4 + (9/4 * (5/9 + (4 / 2/5))))
[116624] ['3/5', '5/7', '7/5', '7/3', '5'] -> ((7/5 + 5) / (7/3 * (5/7 - 3/5)))
[116625] ['2/9', '4/7', '3/2', '7/3', '8'] -> (3/2 * (4/7 + (8 / (2/9 * 7/3))))
[116626] ['2/9', '2/9', '8/7', '8/5', '7'] -> ((8/7 + (2/9 / 2/9)) * (8/5 * 7))
[116627] ['2/3', '9/8', '9/7', '3/2', '3'] -> (3 / ((2/3 * 3/2) - (9/8 / 9/7)))
[116628] ['1/7', '2/9', '2/5', '6/7', '4'] -> (4 / ((1/7 / 2/5) - (2/9 * 6/7)))
[116629] ['5/8', '5/8', '3/4', '7/4', '4'] -> (3/4 / (5/8 - ((5/8 + 7/4) / 4)))
[116630] ['1/8', '5/8', '8/7', '3/2', '6'] -> ((8/7 * 6) * ((5/8 / 1/8) - 3/2))
[116631] ['3/5', '5/7', '7/5', '8/3', '5'] -> (8/3 * ((3/5 + 7/5) + (5 / 5/7)))
[116632] ['2/7', '5/7', '6/7', '6/7', '7'] -> (6/7 + ((5/7 + 7) / (2/7 / 6/7)))
[116633] ['1/7', '2/7', '7/9', '9/7', '3'] -> ((7/9 * 9/7) + ((2/7 + 3) / 1/7))
[116634] ['1/8', '2/9', '2/9', '5/2', '7'] -> (7 / (2/9 + (5/2 * (1/8 * 2/9))))
[116635] ['2/9', '4/7', '3/2', '7/2', '8'] -> (8 * ((4/7 / 2/9) + (3/2 / 7/2)))
[116636] ['5/9', '8/7', '9/7', '9/7', '9'] -> ((9/7 + 9) / (8/7 - (5/9 * 9/7)))
[116637] ['2/9', '2/9', '8/7', '5/3', '7'] -> (8/7 / (((2/9 + 5/3) / 7) - 2/9))
[116638] ['3/8', '5/9', '5/6', '2', '7/3'] -> (7/3 / ((3/8 + 5/6) - (5/9 * 2)))
[116639] ['1/7', '2/9', '2/5', '8/9', '4'] -> ((8/9 / (2/5 * (2/9 - 1/7))) - 4)
[116640] ['5/9', '8/7', '9/7', '4/3', '9'] -> ((5/9 * 9) / (4/3 - (9/7 / 8/7)))
[116641] ['1/4', '2/5', '4/7', '4/7', '4'] -> (((4/7 / 2/5) + (4/7 + 4)) / 1/4)
[116642] ['2/9', '4/7', '3/2', '9/2', '8'] -> (4/7 * ((3/2 + 9/2) + (8 / 2/9)))
[116643] ['1/5', '9/8', '7/6', '7/2', '9'] -> ((9 / 1/5) / ((7/2 / 7/6) - 9/8))
[116644] ['3/8', '5/9', '5/6', '2', '8/3'] -> ((8/3 + (5/6 * 2)) / (5/9 - 3/8))
[116645] ['3/5', '5/7', '7/5', '9/2', '5'] -> ((7/5 * 9/2) * (5 - (5/7 / 3/5)))
[116646] ['1/8', '5/8', '8/7', '9/5', '6'] -> ((8/7 / (1/8 / 5/8)) * (6 - 9/5))
[116647] ['1/8', '2/9', '1/4', '1/4', '7'] -> (((1/8 + 7) - (1/4 / 2/9)) / 1/4)
[116648] ['4/9', '5/7', '7/8', '8/3', '3'] -> ((8/3 + 3) / (7/8 * (5/7 - 4/9)))
[116649] ['2/9', '4/7', '8/5', '8/5', '8'] -> ((8/5 / 2/9) + ((8/5 + 8) / 4/7))
[116650] ['3/8', '5/9', '5/6', '2', '7/2'] -> ((2 * 7/2) / ((5/9 / 5/6) - 3/8))
[116651] ['3/5', '5/7', '3/2', '3/2', '5'] -> (5 * (3/5 + ((3/2 + 3/2) / 5/7)))
[116652] ['1/8', '5/8', '8/7', '9/4', '6'] -> ((6 / (8/7 * (1/8 / 5/8))) - 9/4)
[116653] ['2/3', '9/8', '9/7', '7/3', '3'] -> (3 / ((2/3 / 7/3) + (9/8 - 9/7)))
[116654] ['1/8', '2/9', '1/4', '2/7', '7'] -> ((7 / (1/8 + 1/4)) / (2/9 / 2/7))
[116655] ['1/7', '2/9', '2/5', '7/6', '4'] -> (4 / ((1/7 / 2/5) - (2/9 / 7/6)))
[116656] ['5/8', '5/8', '3/4', '7/2', '4'] -> ((7/2 + (5/8 / 5/8)) / (3/4 / 4))
[116657] ['3/8', '3/7', '1', '6/5', '5/2'] -> ((6/5 * 5/2) / (1 - (3/8 / 3/7)))
[116658] ['1/8', '5/8', '8/7', '7/3', '6'] -> (6 * ((7/3 * (5/8 + 8/7)) - 1/8))
[116659] ['3/5', '5/7', '3/2', '5/3', '5'] -> ((5/7 * (3/5 + 5)) / (5/3 - 3/2))
[116660] ['2/7', '5/7', '6/7', '8/5', '7'] -> ((6/7 * 8/5) * (7 / (2/7 / 5/7)))
[116661] ['1/7', '2/9', '2/5', '6/5', '4'] -> (((4 / 2/9) - (6/5 / 1/7)) / 2/5)
[116662] ['2/9', '2/9', '8/7', '5/2', '7'] -> ((8/7 * 7) / ((2/9 * 5/2) - 2/9))
[116663] ['2/3', '9/8', '9/7', '8/3', '3'] -> (((3 / (9/7 - 9/8)) - 8/3) / 2/3)
[116664] ['3/8', '5/9', '6/7', '7/8', '2'] -> (2 / (3/8 * (6/7 - (5/9 / 7/8))))
[116665] ['1/7', '2/7', '7/9', '9/4', '3'] -> ((2/7 / 1/7) / ((7/9 * 3) - 9/4))
[116666] ['2/9', '4/7', '8/5', '9/5', '8'] -> ((9/5 * (2/9 + (8 / 4/7))) - 8/5)
[116667] ['1/8', '5/8', '8/7', '8/3', '6'] -> (8/7 * ((5/8 / 1/8) + (8/3 * 6)))
[116668] ['5/8', '5/8', '7/9', '5/6', '4'] -> ((5/6 * 4) / (5/8 - (5/8 * 7/9)))
[116669] ['3/8', '3/7', '1', '6/5', '7/2'] -> (((1 / 6/5) + (7/2 / 3/7)) / 3/8)
[116670] ['5/9', '8/7', '9/7', '9/5', '9'] -> (9 / (5/9 * (9/5 - (9/7 / 8/7))))
[116671] ['1/5', '9/8', '5/4', '5/4', '9'] -> (9 / ((1/5 * 5/4) - (9/8 - 5/4)))
[116672] ['2/9', '2/9', '7/6', '7/6', '7'] -> ((2/9 + (7 / 7/6)) / (2/9 * 7/6))
[116673] ['1/8', '5/8', '8/7', '9/2', '6'] -> ((8/7 / (5/8 - 1/8)) * (9/2 + 6))
[116674] ['4/9', '5/7', '8/9', '7/6', '3'] -> ((4/9 * 3) / (8/9 - (5/7 * 7/6)))
[116675] ['1/8', '2/9', '1/4', '5/8', '7'] -> ((7 - (5/8 / (1/8 + 1/4))) / 2/9)
[116676] ['1/4', '2/5', '4/7', '7/8', '4'] -> (((4/7 / 2/5) + (4 / 7/8)) / 1/4)
[116677] ['2/9', '2/9', '7/6', '6/5', '7'] -> ((7 - (6/5 * (2/9 + 7/6))) / 2/9)
[116678] ['3/5', '5/7', '3/2', '9/4', '5'] -> ((3/2 + 9/4) * ((5 / 5/7) - 3/5))
[116679] ['1/7', '2/9', '2/5', '4/3', '4'] -> ((4 + (4/3 / 1/7)) / (2/9 / 2/5))
[116680] ['1/5', '9/8', '5/4', '4/3', '9'] -> ((9 / (1/5 * 9/8)) / (5/4 * 4/3))
[116681] ['3/5', '5/7', '3/2', '7/3', '5'] -> ((3/5 + 5) / (7/3 - (3/2 / 5/7)))
[116682] ['2/9', '4/7', '8/5', '8/3', '8'] -> ((8 - (8/3 / 4/7)) / (2/9 / 8/5))
[116683] ['5/9', '8/7', '9/7', '8/3', '9'] -> (((8/7 * 8/3) + (9/7 + 9)) / 5/9)
[116684] ['2/3', '9/8', '4/3', '9/5', '3'] -> (3 / ((9/8 / 9/5) - (2/3 / 4/3)))
[116685] ['1/5', '9/8', '5/4', '8/5', '9'] -> (((9 / (9/8 * 5/4)) - 8/5) / 1/5)
[116686] ['4/9', '5/7', '8/9', '9/7', '3'] -> ((8/9 * 3) / ((5/7 / 9/7) - 4/9))
[116687] ['3/8', '3/7', '1', '5/4', '7/5'] -> (3/7 / ((3/8 / 7/5) + (1 - 5/4)))
[116688] ['1/4', '2/5', '4/7', '7/6', '4'] -> ((4 / 2/5) / ((4/7 * 7/6) - 1/4))
[116689] ['3/5', '5/7', '3/2', '5/2', '5'] -> ((3/2 * 5/2) * ((5 / 5/7) - 3/5))
[116690] ['1/7', '2/7', '4/5', '6/7', '3'] -> ((6/7 * 3) / (2/7 - (1/7 / 4/5)))
[116691] ['5/9', '8/7', '9/7', '7/2', '9'] -> (7/2 * (8/7 + (5/9 * (9/7 + 9))))
[116692] ['2/3', '9/8', '4/3', '9/4', '3'] -> ((4/3 * 3) / (2/3 - (9/8 / 9/4)))
[116693] ['1/8', '5/8', '7/6', '7/5', '6'] -> ((6 - (7/5 / 7/6)) / (1/8 / 5/8))
[116694] ['2/9', '4/7', '8/5', '9/2', '8'] -> (8/5 * ((2/9 * 9/2) + (8 / 4/7)))
[116695] ['3/5', '5/7', '3/2', '8/3', '5'] -> ((8/3 * (3/5 + 3/2)) * (5 - 5/7))
[116696] ['3/8', '5/9', '6/7', '9/7', '2'] -> (6/7 / ((3/8 * 2) - (5/9 * 9/7)))
[116697] ['2/7', '5/7', '7/8', '3/2', '7'] -> ((((7 / 7/8) - 5/7) / 2/7) - 3/2)
[116698] ['1/5', '9/8', '5/4', '7/3', '9'] -> ((7/3 * 9) / (9/8 - (1/5 * 5/4)))
[116699] ['5/8', '5/8', '7/9', '7/6', '4'] -> ((7/6 + (5/8 * 4)) / (7/9 - 5/8))
[116700] ['1/4', '2/5', '4/7', '5/4', '4'] -> ((2/5 + (4 / (4/7 * 5/4))) / 1/4)
[116701] ['2/3', '9/8', '4/3', '3', '7/2'] -> (3 / ((9/8 + 4/3) - (2/3 * 7/2)))
[116702] ['1/8', '5/8', '7/6', '8/5', '6'] -> ((8/5 / 1/8) + (6 / (5/8 / 7/6)))
[116703] ['3/8', '3/7', '1', '5/4', '9/5'] -> (9/5 / ((3/8 / 3/7) - (1 / 5/4)))
[116704] ['1/7', '2/7', '4/5', '8/9', '3'] -> (((3 / 4/5) - (2/7 / 8/9)) / 1/7)
[116705] ['5/8', '5/8', '7/9', '6/5', '4'] -> (4 / (6/5 * (5/8 - (5/8 * 7/9))))
[116706] ['1/5', '9/8', '5/4', '8/3', '9'] -> ((9 - (9/8 * 8/3)) / (1/5 * 5/4))
[116707] ['3/8', '3/7', '1', '5/4', '9/4'] -> (9/4 / ((5/4 * (3/8 / 3/7)) - 1))
[116708] ['1/8', '5/8', '7/6', '7/4', '6'] -> (6 / ((5/8 / 7/4) - (1/8 / 7/6)))
[116709] ['2/9', '4/7', '5/3', '9/5', '8'] -> (5/3 * ((2/9 * 9/5) + (8 / 4/7)))
[116710] ['1/7', '2/7', '4/5', '9/8', '3'] -> (((3 / 4/5) - (2/7 * 9/8)) / 1/7)
[116711] ['1/8', '2/9', '1/4', '5/4', '7'] -> (((7 / (5/4 - 1/8)) - 2/9) / 1/4)
[116712] ['2/9', '2/9', '7/6', '7/3', '7'] -> (7 / ((7/6 / (2/9 + 2/9)) - 7/3))
[116713] ['1/5', '9/8', '5/4', '7/2', '9'] -> ((1/5 + (7/2 / 5/4)) / (9/8 / 9))
[116714] ['5/9', '8/7', '4/3', '3/2', '9'] -> ((4/3 + (8/7 * (3/2 + 9))) / 5/9)
[116715] ['2/3', '9/8', '7/5', '5/3', '3'] -> (3 / ((2/3 / 5/3) + (9/8 - 7/5)))
[116716] ['1/4', '2/5', '4/7', '3/2', '4'] -> ((3/2 / ((1/4 / 2/5) - 4/7)) - 4)
[116717] ['1/7', '2/7', '4/5', '7/6', '3'] -> (3 / (7/6 * (2/7 - (1/7 / 4/5))))
[116718] ['1/5', '9/8', '9/7', '9/7', '9'] -> ((9 / (1/5 / 9/7)) / (9/8 + 9/7))
[116719] ['1/8', '5/8', '7/6', '5/2', '6'] -> (((7/6 * 6) - (5/2 / 5/8)) / 1/8)
[116720] ['2/9', '2/9', '7/6', '9/2', '7'] -> ((((2/9 + 7) / 2/9) - 9/2) / 7/6)
[116721] ['2/7', '5/7', '7/8', '5/2', '7'] -> (((7 / 2/7) - (5/2 / 5/7)) / 7/8)
[116722] ['1/7', '2/9', '2/5', '8/3', '4'] -> (8/3 / (4 - (2/9 / (1/7 * 2/5))))
[116723] ['5/8', '5/8', '7/9', '3/2', '4'] -> (4 / ((7/9 * 3/2) - (5/8 / 5/8)))
[116724] ['3/8', '5/9', '6/7', '7/4', '2'] -> ((6/7 + 2) * (7/4 / (3/8 * 5/9)))
[116725] ['1/8', '2/9', '1/4', '5/2', '7'] -> ((2/9 / 1/4) * (7 + (5/2 / 1/8)))
[116726] ['1/7', '2/7', '4/5', '9/7', '3'] -> ((4/5 / (2/7 - 1/7)) * (9/7 + 3))
[116727] ['3/8', '3/7', '1', '9/7', '7/5'] -> (3/7 / (9/7 - (1 + (3/8 / 7/5))))
[116728] ['2/3', '9/8', '7/5', '7/3', '3'] -> (3 / ((2/3 + 9/8) - (7/3 / 7/5)))
[116729] ['1/5', '9/8', '9/7', '7/5', '9'] -> ((9/7 * 7/5) / (1/5 - (9/8 / 9)))
[116730] ['5/9', '8/7', '4/3', '7/4', '9'] -> ((9 + (7/4 * (8/7 + 4/3))) / 5/9)
[116731] ['2/3', '9/8', '7/5', '5/2', '3'] -> ((7/5 + 3) * (5/2 / (9/8 - 2/3)))
[116732] ['2/7', '5/7', '8/9', '8/9', '7'] -> (((5/7 * 8/9) + (8/9 * 7)) / 2/7)
[116733] ['1/4', '2/5', '4/7', '7/3', '4'] -> ((4 - (4/7 / 2/5)) / (1/4 / 7/3))
[116734] ['5/9', '8/7', '4/3', '9/5', '9'] -> ((8/7 * 9) * (4/3 + (5/9 * 9/5)))
[116735] ['3/8', '5/9', '6/7', '2', '7/3'] -> (2 / ((3/8 * 6/7) - (5/9 / 7/3)))
[116736] ['2/9', '4/7', '7/4', '9/5', '8'] -> (8 / (((4/7 * 7/4) / 9/5) - 2/9))
[116737] ['1/5', '9/8', '9/7', '8/5', '9'] -> (((9 / 9/7) - 8/5) / (1/5 * 9/8))
[116738] ['5/9', '8/7', '4/3', '9/4', '9'] -> (((5/9 * 9) / (4/3 - 8/7)) - 9/4)
[116739] ['2/9', '4/7', '7/4', '9/4', '8'] -> ((8 / (4/7 / 7/4)) - (2/9 * 9/4))
[116740] ['2/7', '5/7', '8/9', '8/7', '7'] -> ((5/7 + 7) * ((8/7 / 2/7) - 8/9))
[116741] ['2/9', '2/9', '6/5', '3/2', '7'] -> (((7 / 3/2) - 2/9) / (2/9 / 6/5))
[116742] ['3/8', '3/7', '1', '9/7', '9/4'] -> ((1 + (9/7 / 3/7)) / (3/8 / 9/4))
[116743] ['1/4', '2/5', '4/7', '7/2', '4'] -> (4 + ((4/7 * 7/2) / (1/4 * 2/5)))
[116744] ['1/8', '5/8', '6/5', '7/3', '6'] -> (6/5 / (1/8 - (5/8 / (7/3 + 6))))
[116745] ['1/7', '2/7', '4/5', '7/3', '3'] -> ((2/7 / 1/7) / (3 - (7/3 / 4/5)))
[116746] ['1/7', '2/9', '3/7', '4/5', '4'] -> (((1/7 / 3/7) + (4 / 4/5)) / 2/9)
[116747] ['5/9', '8/7', '4/3', '7/3', '9'] -> ((7/3 * (9 + (8/7 * 4/3))) - 5/9)
[116748] ['2/9', '4/7', '7/4', '5/2', '8'] -> (8 / (2/9 * (5/2 - (4/7 * 7/4))))
[116749] ['3/8', '5/9', '6/7', '2', '7/2'] -> ((2 + (6/7 * 7/2)) / (3/8 * 5/9))
[116750] ['1/8', '2/9', '2/7', '4/9', '7'] -> ((7 / (1/8 / 2/7)) / (2/9 + 4/9))
[116751] ['1/5', '9/8', '9/7', '9/5', '9'] -> ((9/5 * 9) / ((9/8 / 9/7) - 1/5))
[116752] ['1/7', '2/9', '3/7', '8/9', '4'] -> ((4 + (8/9 / 2/9)) / (1/7 / 3/7))
[116753] ['1/8', '5/8', '5/4', '9/7', '6'] -> (6 / (((5/4 - 1/8) / 9/7) - 5/8))
[116754] ['4/9', '5/7', '9/8', '8/7', '3'] -> (3 / ((5/7 / 8/7) - (4/9 * 9/8)))
[116755] ['2/3', '9/8', '3/2', '8/5', '3'] -> (3 / (2/3 * (9/8 - (3/2 / 8/5))))
[116756] ['3/8', '3/7', '1', '9/7', '7/2'] -> (9/7 / (3/8 * (3/7 - (1 / 7/2))))
[116757] ['3/8', '5/9', '7/8', '7/8', '2'] -> ((7/8 + 2) / (3/8 * (7/8 - 5/9)))
[116758] ['1/7', '2/7', '4/5', '8/3', '3'] -> (((2/7 / 3) + (8/3 / 4/5)) / 1/7)
[116759] ['1/4', '2/5', '3/5', '7/9', '4'] -> ((4 + (2/5 / 3/5)) / (1/4 * 7/9))
[116760] ['3/5', '5/7', '5/3', '8/3', '5'] -> (5 * ((8/3 / 5/7) - (3/5 - 5/3)))
[116761] ['1/8', '2/9', '2/7', '5/9', '7'] -> (((7 * (2/9 + 2/7)) - 5/9) / 1/8)
[116762] ['1/8', '5/8', '5/4', '7/5', '6'] -> (6 / (5/4 - (1/8 + (5/8 * 7/5))))
[116763] ['2/3', '9/8', '3/2', '9/5', '3'] -> (3 / ((3/2 / (2/3 * 9/5)) - 9/8))
[116764] ['2/9', '2/9', '6/5', '9/5', '7'] -> ((6/5 + 9/5) * (7 + (2/9 / 2/9)))
[116765] ['1/5', '9/8', '9/7', '7/3', '9'] -> ((9 / 1/5) / ((9/7 * 7/3) - 9/8))
[116766] ['1/7', '2/7', '4/5', '3', '7/2'] -> (((7/2 + (2/7 / 4/5)) / 1/7) - 3)
[116767] ['1/7', '2/9', '3/7', '6/5', '4'] -> (((2/9 * 3/7) + (4 / 6/5)) / 1/7)
[116768] ['3/8', '5/9', '7/8', '9/8', '2'] -> ((2 / 3/8) / ((7/8 / 9/8) - 5/9))
[116769] ['3/8', '3/7', '1', '4/3', '7/5'] -> ((3/7 / 3/8) / (1 - (4/3 / 7/5)))
[116770] ['1/8', '5/8', '5/4', '7/3', '6'] -> (6 * (7/3 + (5/4 / (1/8 + 5/8))))
[116771] ['2/9', '2/9', '6/5', '7/3', '7'] -> ((7 - (2/9 + 7/3)) / (2/9 / 6/5))
[116772] ['3/5', '5/7', '5/3', '7/2', '5'] -> (5/3 * ((7/2 * (5 - 5/7)) - 3/5))
[116773] ['5/8', '5/8', '4/5', '4/5', '4'] -> ((4/5 + 4) / ((5/8 / 5/8) - 4/5))
[116774] ['2/3', '9/8', '3/2', '8/3', '3'] -> (3 / (3/2 - (9/8 + (2/3 / 8/3))))
[116775] ['1/5', '9/8', '9/7', '5/2', '9'] -> (9 / ((9/8 / 9/7) - (1/5 * 5/2)))
[116776] ['2/9', '4/7', '9/5', '9/4', '8'] -> ((9/5 + (4/7 * 9/4)) * (8 - 2/9))
[116777] ['1/7', '2/9', '3/7', '5/4', '4'] -> (((1/7 / 3/7) + (5/4 * 4)) / 2/9)
[116778] ['2/9', '2/9', '6/5', '5/2', '7'] -> ((6/5 * 5/2) * (7 + (2/9 / 2/9)))
[116779] ['1/7', '2/7', '5/6', '8/9', '3'] -> (3 / (((2/7 * 5/6) / 8/9) - 1/7))
[116780] ['3/8', '5/9', '7/8', '7/6', '2'] -> (2 / (7/6 - (7/8 + (3/8 * 5/9))))
[116781] ['3/8', '3/7', '1', '4/3', '8/5'] -> (1 / ((3/8 / 3/7) - (4/3 / 8/5)))
[116782] ['1/4', '2/5', '3/5', '9/7', '4'] -> ((4 + (2/5 / 3/5)) / (1/4 / 9/7))
[116783] ['3/8', '3/7', '1', '4/3', '5/3'] -> ((4/3 + 5/3) / (1 - (3/8 / 3/7)))
[116784] ['1/8', '2/9', '2/7', '2/3', '7'] -> (2/3 / ((7 * (1/8 * 2/7)) - 2/9))
[116785] ['2/3', '9/8', '8/5', '9/5', '3'] -> (9/5 / ((2/3 - 9/8) + (8/5 / 3)))
[116786] ['3/8', '5/9', '7/8', '6/5', '2'] -> (6/5 / (2 - (3/8 + (7/8 / 5/9))))
[116787] ['3/8', '3/7', '1', '4/3', '7/4'] -> (1 / ((3/8 + 3/7) - (4/3 / 7/4)))
[116788] ['5/9', '8/7', '7/5', '5/3', '9'] -> ((9 - (8/7 - 5/3)) / (5/9 / 7/5))
[116789] ['3/5', '5/7', '7/4', '5/2', '5'] -> (5 * (5/2 + (7/4 * (3/5 + 5/7))))
[116790] ['1/7', '2/9', '3/7', '8/5', '4'] -> (8/5 * ((4 / 2/9) - (3/7 / 1/7)))
[116791] ['1/5', '9/8', '4/3', '4/3', '9'] -> (9 + ((4/3 + 4/3) / (1/5 / 9/8)))
[116792] ['3/8', '5/9', '7/8', '5/4', '2'] -> (2 / ((7/8 / 3/8) - (5/4 / 5/9)))
[116793] ['1/7', '2/7', '5/6', '9/7', '3'] -> (((2/7 - 9/7) + (3 / 1/7)) / 5/6)
[116794] ['2/9', '4/7', '9/5', '7/2', '8'] -> ((8 / 7/2) / ((4/7 / 9/5) - 2/9))
[116795] ['1/5', '9/8', '4/3', '3/2', '9'] -> (9 + ((3/2 + (9/8 * 4/3)) / 1/5))
[116796] ['2/9', '4/7', '9/5', '9/2', '8'] -> ((4/7 + 8) * (9/5 + (2/9 * 9/2)))
[116797] ['2/3', '9/8', '8/5', '5/2', '3'] -> (3 / ((9/8 / 2/3) - (5/2 / 8/5)))
[116798] ['1/7', '2/7', '5/6', '7/5', '3'] -> ((3 - (2/7 - 7/5)) / (1/7 / 5/6))
[116799] ['5/8', '5/8', '4/5', '7/6', '4'] -> (4 / (7/6 - (4/5 * (5/8 + 5/8))))
[116800] ['1/4', '2/5', '5/8', '3/4', '4'] -> ((((4 / 1/4) - 3/4) / 5/8) - 2/5)
[116801] ['1/5', '9/8', '4/3', '5/3', '9'] -> (9 / (1/5 * (5/3 - (9/8 - 4/3))))
[116802] ['1/8', '5/8', '9/7', '9/5', '6'] -> (6 / ((5/8 / 9/5) - (1/8 / 9/7)))
[116803] ['3/8', '5/9', '7/8', '3/2', '2'] -> ((2 / 3/2) / ((3/8 + 5/9) - 7/8))
[116804] ['1/7', '2/9', '3/7', '7/2', '4'] -> (4 / (7/2 * (1/7 - (2/9 * 3/7))))
[116805] ['1/7', '2/7', '5/6', '8/5', '3'] -> ((8/5 * 3) / ((2/7 / 5/6) - 1/7))
[116806] ['2/9', '4/7', '9/4', '7/3', '8'] -> ((9/4 * 8) + (7/3 / (2/9 / 4/7)))
[116807] ['2/9', '2/9', '5/4', '8/5', '7'] -> (2/9 / ((5/4 / (7 - 8/5)) - 2/9))
[116808] ['1/8', '2/9', '2/7', '7/8', '7'] -> (7 / (2/9 * (7/8 + (1/8 / 2/7))))
[116809] ['2/7', '5/7', '9/8', '9/8', '7'] -> (((5/7 / 9/8) + (7 / 9/8)) / 2/7)
[116810] ['3/8', '3/7', '1', '4/3', '9/2'] -> ((((9/2 / 3/7) - 1) / 3/8) - 4/3)
[116811] ['3/5', '5/7', '9/5', '5/2', '5'] -> ((5/2 * 5) * ((9/5 / 5/7) - 3/5))
[116812] ['1/7', '2/7', '5/6', '5/3', '3'] -> (((3 / 5/6) - (2/7 / 5/3)) / 1/7)
[116813] ['2/9', '2/9', '5/4', '7/4', '7'] -> ((5/4 + 7/4) * (7 + (2/9 / 2/9)))
[116814] ['1/8', '2/9', '2/7', '9/8', '7'] -> ((7 / 2/7) - ((1/8 / 2/9) / 9/8))
[116815] ['1/7', '2/9', '4/9', '3/5', '4'] -> ((4/9 / ((1/7 / 3/5) - 2/9)) - 4)
[116816] ['3/5', '5/7', '9/5', '8/3', '5'] -> ((5/7 + 5) * ((9/5 * 8/3) - 3/5))
[116817] ['5/8', '5/8', '4/5', '3/2', '4'] -> (4 / (4/5 * (5/8 - (5/8 / 3/2))))
[116818] ['2/9', '4/7', '9/4', '8/3', '8'] -> (4/7 * ((9/4 * 8/3) + (8 / 2/9)))
[116819] ['1/5', '9/8', '4/3', '7/2', '9'] -> ((7/2 * 9) - (4/3 / (1/5 / 9/8)))
[116820] ['2/3', '9/8', '5/3', '9/4', '3'] -> (3 / ((2/3 - 9/8) - (5/3 - 9/4)))
[116821] ['1/8', '5/8', '9/7', '9/2', '6'] -> (6 * ((9/2 / 9/7) - (1/8 - 5/8)))
[116822] ['2/7', '5/7', '9/8', '6/5', '7'] -> (7 / (9/8 - ((2/7 + 5/7) / 6/5)))
[116823] ['3/8', '3/7', '1', '7/5', '8/5'] -> ((7/5 + 8/5) / (1 - (3/8 / 3/7)))
[116824] ['5/8', '5/8', '4/5', '8/5', '4'] -> ((4 / ((5/8 / 4/5) - 5/8)) - 8/5)
[116825] ['2/9', '4/7', '9/4', '7/2', '8'] -> (7/2 * (8 - (4/7 / (2/9 * 9/4))))
[116826] ['2/9', '2/9', '5/4', '9/4', '7'] -> (5/4 + (7 * (9/4 + (2/9 / 2/9))))
[116827] ['1/8', '5/8', '4/3', '7/5', '6'] -> ((7/5 / 1/8) + (6 / (5/8 / 4/3)))
[116828] ['5/9', '8/7', '3/2', '3/2', '9'] -> ((8/7 * 9) * (3/2 + (5/9 * 3/2)))
[116829] ['2/3', '9/8', '5/3', '3', '9/2'] -> (9/2 / (3 - (5/3 / (2/3 / 9/8))))
[116830] ['1/4', '2/5', '5/8', '8/7', '4'] -> ((2/5 + (4 / (5/8 * 8/7))) / 1/4)
[116831] ['3/5', '5/7', '9/4', '7/3', '5'] -> ((9/4 * 7/3) * (5 - (3/5 * 5/7)))
[116832] ['4/9', '5/7', '8/7', '8/7', '3'] -> ((8/7 / 3) / ((4/9 + 5/7) - 8/7))
[116833] ['1/5', '9/8', '7/5', '9/4', '9'] -> ((7/5 + (9 / 9/4)) / (1/5 * 9/8))
[116834] ['1/8', '5/8', '4/3', '8/5', '6'] -> ((6 - (8/5 / 4/3)) / (1/8 / 5/8))
[116835] ['1/8', '2/9', '2/7', '5/4', '7'] -> ((2/7 / 2/9) / ((5/4 / 7) - 1/8))
[116836] ['2/9', '2/9', '5/4', '5/2', '7'] -> ((((2/9 + 7) / 2/9) - 5/2) / 5/4)
[116837] ['2/9', '4/7', '7/3', '5/2', '8'] -> (8 / (4/7 - (5/2 * (2/9 / 7/3))))
[116838] ['2/7', '5/7', '9/8', '3/2', '7'] -> (5/7 / ((2/7 / 3/2) - (9/8 / 7)))
[116839] ['3/5', '5/7', '9/4', '8/3', '5'] -> ((5/7 * 9/4) * (8/3 * (3/5 + 5)))
[116840] ['1/5', '9/8', '7/5', '8/3', '9'] -> ((9 - (8/3 * (9/8 * 7/5))) / 1/5)
[116841] ['2/9', '4/7', '7/3', '8/3', '8'] -> (8 + ((7/3 * 8/3) / (2/9 / 4/7)))
[116842] ['1/4', '2/5', '5/8', '4/3', '4'] -> ((4 / 5/8) / ((2/5 / 1/4) - 4/3))
[116843] ['2/9', '2/9', '5/4', '9/2', '7'] -> (7 + ((2/9 + 9/2) / (2/9 * 5/4)))
[116844] ['1/8', '5/8', '7/5', '3/2', '6'] -> (6 * (7/5 + ((1/8 + 3/2) / 5/8)))
[116845] ['2/7', '5/7', '9/8', '5/3', '7'] -> (7 / ((9/8 + 5/3) - (5/7 / 2/7)))
[116846] ['3/8', '3/7', '1', '7/5', '5/2'] -> ((3/7 * 7/5) / ((1 / 5/2) - 3/8))
