[336871] ['1/8', '3/5', '5/7', '1', '7/5'] -> ((3/5 + (7/5 * (5/7 + 1))) / 1/8)
[339451] ['3/8', '2/5', '6/5', '7/2', '5'] -> (7/2 + ((5 + (6/5 / 3/8)) / 2/5))
[339452] ['1/7', '1/7', '1/4', '8/3', '8'] -> (8 / ((1/7 / 1/7) - (1/4 * 8/3)))
[339453] ['7/5', '7/5', '7/2', '9/2', '7'] -> (((9/2 * 7) - (7/5 - 7/2)) / 7/5)
[339454] ['1/2', '1/2', '3/5', '7/4', '5'] -> (1/2 + ((3/5 + 7/4) / (1/2 / 5)))
[339455] ['2/9', '1/3', '2/3', '5/7', '3'] -> ((2/3 + ((1/3 + 3) / 5/7)) / 2/9)
[339456] ['3/5', '5/7', '9/8', '2', '9/4'] -> (3/5 / ((9/4 / 5/7) - (9/8 + 2)))
[339457] ['1/7', '1/7', '1/4', '9/2', '8'] -> ((1/4 + 8) + (9/2 / (1/7 + 1/7)))
[339458] ['1/6', '4/9', '5/4', '2', '5/2'] -> (((2 / 4/9) - (5/4 / 5/2)) / 1/6)
[339459] ['1/2', '1/2', '3/5', '7/3', '5'] -> (((5 / 3/5) - 7/3) / (1/2 * 1/2))
[339460] ['6/7', '1', '9/8', '4/3', '9/2'] -> (9/2 / (9/8 * (4/3 - (1 / 6/7))))
[339461] ['7/5', '3/2', '3/2', '5/3', '7'] -> ((7 / (5/3 - 7/5)) - (3/2 * 3/2))
[339462] ['3/5', '7/8', '4/3', '8/5', '7'] -> ((7 / 7/8) / ((3/5 + 4/3) - 8/5))
[339463] ['1/6', '4/9', '5/4', '2', '7/2'] -> (((5/4 + 7/2) / 1/6) - (2 / 4/9))
[339464] ['2/9', '1/3', '2/3', '6/7', '3'] -> ((3 + (2/3 / (1/3 * 6/7))) / 2/9)
[339465] ['6/7', '1', '9/8', '7/5', '8/5'] -> (8/5 / ((7/5 * (6/7 / 9/8)) - 1))
[339466] ['3/5', '7/8', '4/3', '5/3', '7'] -> (7 / (7/8 * (4/3 - (3/5 * 5/3))))
[339467] ['3/5', '5/7', '9/8', '2', '8/3'] -> (9/8 * ((8/3 / (5/7 - 3/5)) - 2))
[339468] ['1/2', '1/2', '5/8', '5/7', '5'] -> ((1/2 + (5 / 5/7)) / (1/2 * 5/8))
[339469] ['1/6', '4/9', '9/7', '9/7', '2'] -> ((2 - 4/9) / (1/6 / (9/7 + 9/7)))
[339470] ['1/7', '1/7', '2/7', '5/8', '8'] -> (((2/7 * 8) - 1/7) / (1/7 * 5/8))
[339471] ['3/8', '2/5', '5/4', '7/3', '5'] -> (7/3 + ((5 + (5/4 / 2/5)) / 3/8))
[339472] ['1/6', '4/5', '4/3', '7/2', '8'] -> (((8 / (4/5 * 4/3)) - 7/2) / 1/6)
[339473] ['7/5', '3/2', '3/2', '7/3', '7'] -> ((3/2 + (3/2 / 7/5)) * (7/3 + 7))
[339474] ['1/2', '1/2', '5/8', '6/7', '5'] -> ((1/2 + 5) / ((5/8 / 6/7) - 1/2))
[339475] ['7/5', '3/2', '3/2', '5/2', '7'] -> ((3/2 + 3/2) + (5/2 * (7/5 + 7)))
[339476] ['6/7', '1', '9/8', '7/5', '9/4'] -> (7/5 * ((9/4 / (9/8 - 1)) - 6/7))
[339477] ['2/9', '1/3', '2/3', '7/5', '3'] -> ((2/3 + (7/5 * (1/3 + 3))) / 2/9)
[339478] ['1/6', '4/9', '9/7', '3/2', '2'] -> ((9/7 * 3/2) * (4/9 + (2 / 1/6)))
[339479] ['3/5', '5/7', '8/7', '7/6', '2'] -> ((8/7 / 2) / ((5/7 / 3/5) - 7/6))
[339480] ['7/5', '3/2', '3/2', '8/3', '7'] -> (8/3 * (3/2 + (7 / (7/5 / 3/2))))
[339481] ['1/6', '4/5', '7/5', '7/4', '8'] -> (((8 / 7/4) - (4/5 / 7/5)) / 1/6)
[339482] ['7/5', '3/2', '3/2', '7/2', '7'] -> (3/2 * ((7 / (7/5 / 7/2)) - 3/2))
[339483] ['2/9', '1/3', '2/3', '9/5', '3'] -> (((9/5 * (1/3 + 3)) - 2/3) / 2/9)
[339484] ['3/5', '5/7', '8/7', '9/7', '2'] -> ((8/7 * 2) / (9/7 - (5/7 / 3/5)))
[339485] ['6/7', '1', '9/8', '7/5', '5/2'] -> ((5/2 * (6/7 * 7/5)) / (9/8 - 1))
[339486] ['1/7', '1/7', '2/7', '7/5', '8'] -> ((1/7 + (2/7 / 1/7)) * (7/5 * 8))
[339487] ['3/5', '7/8', '7/5', '7/5', '7'] -> ((3/5 * 7) / (7/5 - (7/8 * 7/5)))
[339488] ['1/2', '1/2', '5/8', '7/5', '5'] -> ((1/2 + (7/5 * 5)) / (1/2 * 5/8))
[339489] ['3/8', '2/5', '9/7', '8/5', '5'] -> ((5 + (2/5 + 8/5)) / (3/8 / 9/7))
[339490] ['1/6', '4/5', '3/2', '9/4', '8'] -> ((4/5 * 9/4) * (8 * (1/6 + 3/2)))
[339491] ['1/7', '1/7', '2/7', '7/4', '8'] -> ((8 - (2/7 / 1/7)) / (1/7 * 7/4))
[339492] ['7/5', '3/2', '5/3', '5/3', '7'] -> (5/3 * (7/5 + (3/2 * (5/3 + 7))))
[339493] ['2/9', '1/3', '5/7', '7/9', '3'] -> ((7/9 / (2/9 * 1/3)) * (3 - 5/7))
[339494] ['1/2', '1/2', '5/8', '9/4', '5'] -> ((1/2 + ((9/4 + 5) / 1/2)) / 5/8)
[339495] ['1/6', '4/9', '9/7', '2', '5/2'] -> ((2 + (4/9 * 5/2)) / (1/6 / 9/7))
[339496] ['3/5', '5/7', '8/7', '9/5', '2'] -> (8/7 / (5/7 - (2 * (3/5 / 9/5))))
[339497] ['2/9', '1/3', '5/7', '4/5', '3'] -> (((1/3 + 4/5) + (3 / 5/7)) / 2/9)
[339498] ['3/5', '5/7', '8/7', '2', '7/3'] -> (8/7 / ((2 / (3/5 / 5/7)) - 7/3))
[339499] ['1/2', '1/2', '2/3', '6/7', '5'] -> (2/3 + (5 / (6/7 * (1/2 * 1/2))))
[339500] ['3/8', '2/5', '9/7', '7/3', '5'] -> ((9/7 * 7/3) / (5 * (2/5 - 3/8)))
[339501] ['1/7', '1/7', '2/7', '7/2', '8'] -> ((1/7 + (2/7 * (7/2 + 8))) / 1/7)
[339502] ['7/5', '3/2', '5/3', '7/2', '7'] -> ((7/2 * 7) - (7/5 - (3/2 / 5/3)))
[339503] ['1/6', '4/5', '7/4', '7/3', '8'] -> (8 / (4/5 * (7/3 - (1/6 + 7/4))))
[339504] ['1/2', '1/2', '2/3', '6/5', '5'] -> ((6/5 * 5) / ((1/2 / 2/3) - 1/2))
[339505] ['3/5', '7/8', '3/2', '7/4', '7'] -> (7 / ((7/8 / 3/5) - (7/4 / 3/2)))
[339506] ['7/5', '3/2', '7/4', '7/4', '7'] -> ((7/4 / 7/5) + (7 * (3/2 + 7/4)))
[339507] ['6/7', '1', '9/8', '3/2', '9/4'] -> (3/2 / ((1 - 9/4) + (9/8 / 6/7)))
[339508] ['3/5', '5/7', '8/7', '2', '9/2'] -> ((8/7 * 2) * (9/2 / (3/5 * 5/7)))
[339509] ['1/2', '1/2', '2/3', '9/7', '5'] -> (((5 / 1/2) - 2/3) / (1/2 / 9/7))
[339510] ['3/5', '7/8', '3/2', '9/4', '7'] -> (7/8 + ((9/4 + 7) / (3/5 / 3/2)))
[339511] ['3/8', '2/5', '9/7', '8/3', '5'] -> ((9/7 * 5) * (8/3 + (2/5 / 3/8)))
[339512] ['7/5', '3/2', '7/4', '9/5', '7'] -> ((7 / (3/2 / 9/5)) / (7/4 - 7/5))
[339513] ['6/7', '1', '9/8', '3/2', '7/3'] -> ((7/3 * (6/7 * 3/2)) / (9/8 - 1))
[339514] ['1/6', '4/5', '7/4', '8/3', '8'] -> (4/5 * ((7/4 * 8) + (8/3 / 1/6)))
[339515] ['3/8', '2/5', '9/7', '7/2', '5'] -> ((9/7 * 7/2) * (5 / (3/8 / 2/5)))
[339516] ['1/7', '1/7', '3/8', '4/9', '8'] -> ((8 + ((1/7 / 1/7) / 3/8)) / 4/9)
[339517] ['3/5', '7/8', '3/2', '7/3', '7'] -> ((7/3 + (7 / 3/5)) / (7/8 / 3/2))
[339518] ['3/5', '5/7', '7/6', '6/5', '2'] -> ((6/5 + 2) / (7/6 * (5/7 - 3/5)))
[339519] ['1/6', '4/5', '7/4', '7/2', '8'] -> ((7/2 + (7/4 / 1/6)) + (8 / 4/5))
[339520] ['2/9', '1/3', '5/7', '4/3', '3'] -> ((3 + ((1/3 + 4/3) / 5/7)) / 2/9)
[339521] ['3/5', '7/8', '3/2', '5/2', '7'] -> ((3/2 + (3/5 * 5/2)) / (7/8 / 7))
[339522] ['1/6', '4/9', '7/5', '5/3', '2'] -> (((7/5 / 1/6) - 2) / (4/9 / 5/3))
[339523] ['3/8', '2/5', '9/7', '9/2', '5'] -> (((5 / 2/5) - (9/2 / 9/7)) / 3/8)
[339524] ['3/5', '5/7', '7/6', '5/4', '2'] -> (2 / ((5/7 * 7/6) - (3/5 * 5/4)))
[339525] ['3/8', '2/5', '4/3', '4/3', '5'] -> (((5 / (3/8 * 2/5)) - 4/3) / 4/3)
[339526] ['3/5', '7/8', '8/5', '8/5', '7'] -> ((8/5 + (7 / (7/8 / 8/5))) / 3/5)
[339527] ['1/7', '1/7', '3/8', '5/6', '8'] -> (((3/8 * 8) - 1/7) / (1/7 * 5/6))
[339528] ['7/5', '3/2', '9/5', '8/3', '7'] -> (3/2 * ((9/5 * (8/3 + 7)) - 7/5))
[339529] ['1/6', '4/5', '9/4', '5/2', '8'] -> (8 / (4/5 * (5/2 + (1/6 - 9/4))))
[339530] ['1/7', '1/7', '3/8', '7/6', '8'] -> ((8 - (1/7 + 1/7)) / (3/8 / 7/6))
[339531] ['3/5', '5/7', '7/6', '8/5', '2'] -> ((2 / (5/7 - 3/5)) / (7/6 / 8/5))
[339532] ['3/8', '2/5', '4/3', '7/3', '5'] -> ((7/3 - (2/5 * 4/3)) / (3/8 / 5))
[339533] ['7/5', '3/2', '9/4', '7/3', '7'] -> ((3/2 + 9/4) * (7 - (7/5 / 7/3)))
[339534] ['3/5', '7/8', '8/5', '5/2', '7'] -> ((3/5 / 8/5) + (7 * (7/8 + 5/2)))
[339535] ['1/7', '1/7', '3/8', '6/5', '8'] -> (((3/8 * 8) - 1/7) / (1/7 / 6/5))
[339536] ['3/8', '2/5', '4/3', '5/2', '5'] -> (5/2 * ((5 / (3/8 * 4/3)) - 2/5))
[339537] ['2/9', '1/3', '5/7', '7/3', '3'] -> ((1/3 + (3 * (5/7 * 7/3))) / 2/9)
[339538] ['3/5', '5/7', '7/6', '7/4', '2'] -> (2 / (5/7 * (7/6 - (3/5 * 7/4))))
[339539] ['7/5', '3/2', '9/4', '5/2', '7'] -> ((7 / ((5/2 / 3/2) - 7/5)) - 9/4)
[339540] ['1/6', '4/9', '7/5', '2', '8/3'] -> (((8/3 / (2 - 7/5)) - 4/9) / 1/6)
[339541] ['3/8', '2/5', '4/3', '8/3', '5'] -> (8/3 * ((5 / (2/5 * 4/3)) - 3/8))
[339542] ['1/2', '1/2', '5/7', '9/7', '5'] -> (((5/7 + 9/7) + (5 / 1/2)) / 1/2)
[339543] ['2/9', '1/3', '5/7', '5/2', '3'] -> ((5/2 / (1/3 * 5/7)) + (3 / 2/9))
[339544] ['1/6', '4/5', '7/3', '9/2', '8'] -> ((7/3 / 1/6) + (4/5 * (9/2 + 8)))
[339545] ['7/5', '3/2', '9/4', '8/3', '7'] -> ((7 / (8/3 * (3/2 - 7/5))) - 9/4)
[339546] ['1/7', '1/7', '3/8', '5/3', '8'] -> ((5/3 + (1/7 / 1/7)) + (8 / 3/8))
[339547] ['7/5', '3/2', '9/4', '7/2', '7'] -> (((7/2 * 7) / (7/5 / 3/2)) - 9/4)
[339548] ['1/2', '1/2', '5/7', '5/3', '5'] -> (((1/2 + 5) / (5/7 - 1/2)) - 5/3)
[339549] ['1/6', '4/5', '5/2', '7/2', '8'] -> (((8 / 4/5) - (5/2 + 7/2)) / 1/6)
[339550] ['1/2', '1/2', '5/7', '7/4', '5'] -> (((7/4 * 5) / (1/2 * 5/7)) - 1/2)
[339551] ['3/5', '7/8', '5/3', '7/3', '7'] -> ((7 / 7/3) / ((3/5 * 5/3) - 7/8))
[339552] ['1/6', '4/5', '8/3', '8/3', '8'] -> ((((8 - 8/3) / 4/5) - 8/3) / 1/6)
[339553] ['3/8', '2/5', '7/5', '7/4', '5'] -> (3/8 + ((7/4 + 5) / (2/5 / 7/5)))
[339554] ['3/5', '7/8', '5/3', '5/2', '7'] -> ((5/2 * (3/5 + 7)) / (5/3 - 7/8))
[339555] ['1/7', '1/7', '3/8', '9/4', '8'] -> (9/4 * (8 + ((1/7 / 1/7) / 3/8)))
[339556] ['7/5', '3/2', '7/3', '7/2', '7'] -> ((7/5 + 7) * (7/2 - (3/2 / 7/3)))
[339557] ['1/2', '1/2', '5/7', '7/3', '5'] -> (7/3 * (((1/2 + 5) / 1/2) - 5/7))
[339558] ['2/9', '1/3', '3/4', '6/7', '3'] -> ((3 / 3/4) / ((1/3 / 6/7) - 2/9))
[339559] ['3/5', '7/8', '5/3', '8/3', '7'] -> (8/3 * ((3/5 * 5/3) + (7 / 7/8)))
[339560] ['1/7', '1/7', '3/8', '7/3', '8'] -> (8 / (((1/7 / 1/7) / 3/8) - 7/3))
[339561] ['3/5', '5/7', '7/6', '2', '7/2'] -> ((2 / 7/2) / ((5/7 / 3/5) - 7/6))
[339562] ['1/6', '5/6', '5/6', '6/7', '8'] -> (8 / (((1/6 + 5/6) / 6/7) - 5/6))
[339563] ['1/7', '1/7', '3/8', '9/2', '8'] -> (9/2 * (8 - ((1/7 / 1/7) / 3/8)))
[339564] ['2/9', '1/3', '3/4', '9/8', '3'] -> (3 / (3/4 - (9/8 * (2/9 + 1/3))))
[339565] ['3/8', '2/5', '7/5', '9/2', '5'] -> (9/2 * ((7/5 + 5) - (2/5 / 3/8)))
[339566] ['7/5', '3/2', '5/2', '7/2', '7'] -> (3/2 * (7/2 + (7 / (7/5 / 5/2))))
[339567] ['2/9', '1/3', '3/4', '8/7', '3'] -> (3 / ((1/3 / 8/7) - (2/9 * 3/4)))
[339568] ['1/2', '1/2', '3/4', '7/9', '5'] -> (5 / (1/2 - (7/9 * (1/2 * 3/4))))
[339569] ['6/7', '1', '9/8', '5/3', '9/2'] -> ((5/3 * 9/2) / ((9/8 / 6/7) - 1))
[339570] ['7/5', '3/2', '8/3', '7/2', '7'] -> (8/3 * (3/2 + ((7/2 + 7) / 7/5)))
[339571] ['3/5', '7/8', '7/4', '7/3', '7'] -> (7 / ((7/8 + 7/3) - (7/4 / 3/5)))
[339572] ['1/2', '1/2', '3/4', '4/5', '5'] -> ((4/5 * 5) / ((1/2 / 3/4) - 1/2))
[339573] ['3/8', '2/5', '3/2', '7/4', '5'] -> ((2/5 * 3/2) / (3/8 - (7/4 / 5)))
[339574] ['1/7', '1/7', '2/5', '1/2', '8'] -> (8 * (1/2 + ((1/7 / 1/7) / 2/5)))
[339575] ['2/9', '1/3', '3/4', '9/7', '3'] -> (2/9 / ((1/3 / 9/7) - (3/4 / 3)))
[339576] ['1/6', '5/6', '6/7', '6/7', '8'] -> (8 / ((1/6 - 5/6) + (6/7 / 6/7)))
[339577] ['1/7', '1/7', '2/5', '5/9', '8'] -> ((8 / 5/9) / ((1/7 / 1/7) - 2/5))
[339578] ['6/7', '1', '9/8', '7/4', '9/4'] -> (1 / ((7/4 / 6/7) - (9/4 / 9/8)))
[339579] ['1/2', '1/2', '3/4', '9/7', '5'] -> (5 / (1/2 - ((1/2 * 3/4) / 9/7)))
[339580] ['3/5', '7/8', '7/4', '9/2', '7'] -> (7 / (3/5 * (7/8 - (7/4 / 9/2))))
[339581] ['7/5', '3/2', '9/2', '9/2', '7'] -> (9/2 * ((3/2 / 9/2) + (7 / 7/5)))
[339582] ['1/7', '1/7', '2/5', '2/3', '8'] -> (8 / (2/3 * (1/7 + (1/7 / 2/5))))
[339583] ['3/5', '7/8', '9/5', '9/5', '7'] -> ((9/5 - (3/5 - 9/5)) / (7/8 / 7))
[339584] ['1/2', '1/2', '3/4', '7/5', '5'] -> (5 * (1/2 + ((3/4 + 7/5) / 1/2)))
[339585] ['6/7', '1', '9/8', '7/4', '5/2'] -> (1 / ((5/2 / 6/7) - (9/8 + 7/4)))
[339586] ['7/5', '8/5', '8/5', '7/4', '7'] -> ((8/5 + (8/5 / 7/5)) * (7/4 + 7))
[339587] ['1/6', '5/6', '6/7', '9/8', '8'] -> ((6/7 * (1/6 + 8)) / (9/8 - 5/6))
[339588] ['1/7', '1/7', '2/5', '3/4', '8'] -> (8 / (((1/7 / 2/5) / 3/4) - 1/7))
[339589] ['1/2', '1/2', '3/4', '9/5', '5'] -> (5 * (9/5 + (3/4 / (1/2 * 1/2))))
[339590] ['3/5', '7/8', '9/5', '9/4', '7'] -> (9/5 + (7 * (3/5 + (9/4 / 7/8))))
[339591] ['6/7', '1', '9/8', '7/4', '8/3'] -> (1 / (8/3 - (9/8 + (6/7 * 7/4))))
[339592] ['3/5', '5/7', '6/5', '2', '9/4'] -> (6/5 / ((3/5 + 9/4) - (2 / 5/7)))
[339593] ['7/5', '8/5', '8/5', '8/3', '7'] -> (8/5 * (7 + (8/3 * (7/5 + 8/5))))
[339594] ['1/7', '1/7', '2/5', '6/7', '8'] -> (8 + ((1/7 + (6/7 / 2/5)) / 1/7))
[339595] ['3/8', '2/5', '5/3', '5/3', '5'] -> (((2/5 * 5/3) + (5/3 * 5)) / 3/8)
[339596] ['7/5', '8/5', '8/5', '9/2', '7'] -> ((7/5 + 8/5) / (9/2 - (7 / 8/5)))
[339597] ['1/2', '1/2', '7/9', '7/9', '5'] -> ((5 + (7/9 / 7/9)) / (1/2 * 1/2))
[339598] ['1/7', '1/7', '2/5', '7/8', '8'] -> (((1/7 / 1/7) + (8 / 2/5)) / 7/8)
[339599] ['3/8', '2/5', '5/3', '9/5', '5'] -> ((5/3 * 9/5) / (5 * (2/5 - 3/8)))
[339600] ['3/5', '7/8', '9/4', '7/3', '7'] -> (((7 / 3/5) - 7/3) / (7/8 / 9/4))
[339601] ['1/2', '1/2', '7/9', '6/7', '5'] -> (((5 / (1/2 * 7/9)) - 6/7) / 1/2)
[339602] ['3/8', '2/5', '5/3', '9/4', '5'] -> ((9/4 * ((5 / 2/5) - 5/3)) - 3/8)
[339603] ['7/5', '8/5', '5/3', '9/2', '7'] -> ((8/5 * 9/2) * ((7 / 7/5) - 5/3))
[339604] ['1/2', '1/2', '7/9', '8/9', '5'] -> (8/9 + ((7/9 + 5) / (1/2 * 1/2)))
[339605] ['3/5', '7/8', '9/4', '8/3', '7'] -> (9/4 * ((7 / (3/5 * 7/8)) - 8/3))
[339606] ['2/9', '1/3', '7/9', '8/5', '3'] -> ((1/3 + 7/9) * (3 / (2/9 / 8/5)))
[339607] ['3/8', '2/5', '5/3', '7/2', '5'] -> ((7/2 * 5) / (5/3 - (3/8 / 2/5)))
[339608] ['3/5', '5/7', '5/4', '7/5', '2'] -> (2 / (7/5 * (5/4 - (5/7 / 3/5))))
[339609] ['1/6', '5/6', '6/7', '8/3', '8'] -> (8 / (6/7 * (5/6 - (1/6 * 8/3))))
[339610] ['3/8', '2/5', '5/3', '9/2', '5'] -> (5/3 / ((5 * (2/5 / 9/2)) - 3/8))
[339611] ['1/2', '1/2', '7/9', '7/6', '5'] -> ((5 + (1/2 + 7/6)) / (7/9 - 1/2))
[339612] ['3/5', '7/8', '9/4', '9/2', '7'] -> (3/5 / ((9/4 / (7 - 9/2)) - 7/8))
[339613] ['7/5', '8/5', '9/5', '9/5', '7'] -> ((7/5 + 8/5) * (7 + (9/5 / 9/5)))
[339614] ['1/6', '5/6', '7/8', '7/8', '8'] -> (8 / ((1/6 - 5/6) + (7/8 / 7/8)))
[339615] ['7/5', '8/5', '9/5', '9/4', '7'] -> ((7/5 + 7) / (8/5 - (9/4 / 9/5)))
[339616] ['1/2', '1/2', '7/9', '9/7', '5'] -> ((5 + (7/9 * 9/7)) / (1/2 * 1/2))
[339617] ['1/7', '1/7', '2/5', '5/2', '8'] -> (8 * ((1/7 / 2/5) + (1/7 + 5/2)))
[339618] ['2/9', '1/3', '4/5', '7/8', '3'] -> (1/3 / ((7/8 / 3) - (2/9 / 4/5)))
[339619] ['7/5', '8/5', '9/4', '9/4', '7'] -> ((7/5 + 8/5) * (7 + (9/4 / 9/4)))
[339620] ['3/5', '5/7', '5/4', '7/4', '2'] -> (3/5 / (5/4 - (7/4 / (5/7 * 2))))
[339621] ['2/9', '1/3', '4/5', '8/9', '3'] -> ((3 + (8/9 / (2/9 * 4/5))) / 1/3)
[339622] ['3/5', '7/8', '7/3', '9/2', '7'] -> (7/3 / ((7 / 9/2) - (7/8 / 3/5)))
[339623] ['3/5', '5/7', '5/4', '9/5', '2'] -> ((3/5 * 2) / (9/5 - (5/4 / 5/7)))
[339624] ['7/5', '8/5', '9/4', '9/2', '7'] -> (9/2 * (8/5 + ((7/5 + 7) / 9/4)))
[339625] ['3/8', '2/5', '9/5', '7/3', '5'] -> ((2/5 + 9/5) / ((7/3 / 5) - 3/8))
[339626] ['2/9', '1/3', '4/5', '5/4', '3'] -> (((1/3 + 5/4) + (3 / 4/5)) / 2/9)
[339627] ['3/5', '5/7', '5/4', '2', '7/3'] -> ((2 / 7/3) / ((3/5 * 5/4) - 5/7))
[339628] ['1/7', '1/7', '3/7', '4/5', '8'] -> (((1/7 + 1/7) + (8 / 4/5)) / 3/7)
[339629] ['3/8', '2/5', '9/5', '7/2', '5'] -> (9/5 / ((3/8 + 2/5) - (7/2 / 5)))
[339630] ['3/5', '7/8', '8/3', '8/3', '7'] -> ((3/5 * 7) * (8/3 + (8/3 / 7/8)))
[339631] ['1/7', '1/7', '3/7', '8/9', '8'] -> ((1/7 + 8) / ((3/7 / 8/9) - 1/7))
[339632] ['1/6', '5/6', '8/9', '8/9', '8'] -> (8 / ((1/6 - 5/6) + (8/9 / 8/9)))
[339633] ['1/2', '1/2', '7/9', '8/3', '5'] -> ((5 * (1/2 * 8/3)) / (7/9 - 1/2))
[339634] ['7/5', '5/3', '5/3', '9/5', '7'] -> ((7/5 - 5/3) + (7 * (5/3 + 9/5)))
[339635] ['6/7', '1', '9/8', '5/2', '9/2'] -> (9/2 / (5/2 - (1 + (9/8 / 6/7))))
[339636] ['3/5', '7/8', '8/3', '7/2', '7'] -> (((8/3 * 7/2) + (7 / 3/5)) / 7/8)
[339637] ['1/6', '5/6', '8/9', '9/8', '8'] -> (8 / ((1/6 - 5/6) + (8/9 * 9/8)))
[339638] ['3/8', '2/5', '9/4', '7/3', '5'] -> ((9/4 * (5 + (7/3 / 2/5))) - 3/8)
[339639] ['1/7', '1/7', '3/7', '6/5', '8'] -> (8 / (((1/7 + 3/7) / 6/5) - 1/7))
[339640] ['2/9', '1/3', '4/5', '7/4', '3'] -> (3 / ((1/3 / (2/9 * 4/5)) - 7/4))
[339641] ['7/5', '5/3', '5/3', '9/4', '7'] -> ((5/3 * (7/5 + 7)) / (9/4 - 5/3))
[339642] ['1/2', '1/2', '7/9', '9/2', '5'] -> ((5 + (9/2 / (1/2 / 7/9))) / 1/2)
[339643] ['6/7', '1', '9/8', '8/3', '7/2'] -> ((8/3 / 7/2) / ((1 / 9/8) - 6/7))
[339644] ['1/7', '1/7', '3/7', '5/4', '8'] -> (((1/7 + 1/7) + (5/4 * 8)) / 3/7)
[339645] ['6/7', '1', '9/8', '8/3', '9/2'] -> (9/2 / (8/3 - ((1 + 9/8) / 6/7)))
[339646] ['3/5', '7/8', '7/2', '9/2', '7'] -> ((3/5 / 7/8) * (7/2 + (9/2 * 7)))
[339647] ['1/6', '5/6', '8/9', '9/7', '8'] -> (8 * ((5/6 / (1/6 * 9/7)) - 8/9))
[339648] ['2/9', '1/3', '4/5', '3', '7/2'] -> (((3 / 2/9) - 7/2) / (1/3 / 4/5))
[339649] ['3/8', '2/5', '9/4', '7/2', '5'] -> (((5 + (9/4 / 3/8)) / 2/5) - 7/2)
[339650] ['3/5', '7/8', '9/2', '9/2', '7'] -> (((9/2 / 3/5) - 9/2) / (7/8 / 7))
[339651] ['1/7', '1/7', '3/7', '8/5', '8'] -> ((1/7 + 8) / (3/7 - (1/7 / 8/5)))
[339652] ['6/7', '1', '8/7', '8/7', '8/7'] -> ((8/7 + (8/7 + 8/7)) / (1 - 6/7))
[339653] ['2/9', '1/3', '5/6', '5/6', '3'] -> ((1/3 + (3 * (5/6 + 5/6))) / 2/9)
[339654] ['3/8', '2/5', '7/3', '8/3', '5'] -> (((5 * (8/3 - 2/5)) - 7/3) / 3/8)
[339655] ['1/6', '5/6', '9/8', '9/8', '8'] -> (8 / ((1/6 - 5/6) + (9/8 / 9/8)))
[339656] ['6/7', '1', '8/7', '8/7', '5/4'] -> (6/7 / ((8/7 - 5/4) - (1 - 8/7)))
[339657] ['3/5', '5/7', '9/7', '7/4', '2'] -> ((3/5 * 2) / ((9/7 / 5/7) - 7/4))
[339658] ['2/9', '1/3', '5/6', '7/8', '3'] -> ((1/3 + (2/9 * 3)) / (7/8 - 5/6))
[339659] ['1/7', '1/7', '4/9', '4/9', '8'] -> (((8 - 1/7) / (1/7 / 4/9)) - 4/9)
[339660] ['6/7', '1', '8/7', '8/7', '4/3'] -> (8/7 / ((6/7 - 1) - (8/7 - 4/3)))
[339661] ['1/2', '1/2', '4/5', '7/4', '5'] -> (5 * ((1/2 + 4/5) + (7/4 / 1/2)))
[339662] ['1/7', '1/7', '4/9', '1/2', '8'] -> ((8 - (1/7 / 1/2)) / (1/7 / 4/9))
[339663] ['6/7', '1', '8/7', '8/7', '7/5'] -> (8/7 / (1 - (8/7 / (6/7 * 7/5))))
[339664] ['1/2', '1/2', '4/5', '9/5', '5'] -> ((5 - (4/5 - 9/5)) / (1/2 * 1/2))
[339665] ['3/8', '2/5', '7/3', '7/2', '5'] -> ((((5 / 3/8) - 7/3) / 2/5) - 7/2)
[339666] ['1/7', '1/7', '4/9', '5/9', '8'] -> (1/7 / ((5/9 / 8) - (1/7 * 4/9)))
[339667] ['7/5', '5/3', '7/4', '8/3', '7'] -> ((5/3 * 8/3) * (7/5 + (7 / 7/4)))
[339668] ['6/7', '1', '8/7', '8/7', '3/2'] -> ((8/7 + 8/7) * (3/2 / (1 - 6/7)))
[339669] ['1/2', '1/2', '4/5', '9/4', '5'] -> (5 * ((9/4 / 1/2) - (1/2 - 4/5)))
[339670] ['7/5', '5/3', '7/4', '7/2', '7'] -> ((7/5 + 7) / ((7/2 / 5/3) - 7/4))
[339671] ['1/7', '1/7', '4/9', '3/5', '8'] -> ((8 / 3/5) / ((1/7 / 1/7) - 4/9))
[339672] ['6/7', '1', '8/7', '8/7', '5/3'] -> (8/7 / ((8/7 * 5/3) - (6/7 + 1)))
[339673] ['3/8', '2/5', '5/2', '5/2', '5'] -> (((5/2 * (5 - 2/5)) - 5/2) / 3/8)
[339674] ['1/2', '1/2', '4/5', '7/2', '5'] -> ((7/2 - 1/2) * (5 / (1/2 / 4/5)))
[339675] ['1/6', '5/6', '9/8', '8/5', '8'] -> (8 / ((5/6 / 8/5) - (1/6 * 9/8)))
[339676] ['1/7', '1/7', '4/9', '2/3', '8'] -> (8 / ((1/7 / 1/7) - (4/9 / 2/3)))
[339677] ['7/5', '5/3', '9/5', '7/2', '7'] -> ((7/2 / (7/5 / 9/5)) * (7 - 5/3))
[339678] ['1/2', '1/2', '4/5', '9/2', '5'] -> ((5 * (9/2 + (1/2 * 4/5))) - 1/2)
[339679] ['2/9', '1/3', '5/6', '7/4', '3'] -> ((((3 - 5/6) / 2/9) - 7/4) / 1/3)
