[274816] ['1/4', '1/4', '1/3', '4/5', '6'] -> (((1/4 + 1/4) + (6 / 4/5)) / 1/3)
[277172] ['1/8', '7/6', '5/3', '2', '7/3'] -> (((7/6 * 2) - (5/3 - 7/3)) / 1/8)
[277173] ['2/5', '3/4', '6/7', '7/4', '9'] -> (9 / ((3/4 / 2/5) - (6/7 * 7/4)))
[277174] ['1/9', '1/4', '4/7', '5/8', '1'] -> ((1/4 / 1/9) / ((5/8 / 4/7) - 1))
[277175] ['2/7', '2/5', '7/4', '5/2', '9'] -> ((2/7 * 7/4) + (5/2 * (2/5 + 9)))
[277176] ['3/7', '6/5', '8/5', '9/2', '8'] -> ((3/7 * 8) * (8/5 + (6/5 * 9/2)))
[277177] ['4/9', '7/6', '4/3', '2', '9/4'] -> (4/9 / (((4/3 * 2) / 9/4) - 7/6))
[277178] ['1/6', '1/3', '9/8', '6/5', '3'] -> ((3 / 9/8) / ((1/3 / 6/5) - 1/6))
[277179] ['2/9', '4/9', '5/6', '7/6', '2'] -> (2 / ((5/6 / (2/9 + 4/9)) - 7/6))
[277180] ['1/2', '7/8', '9/7', '9/7', '7'] -> (7 / ((7/8 / 9/7) - (1/2 / 9/7)))
[277181] ['2/5', '3/4', '6/7', '9/4', '9'] -> ((9 / (3/4 * (6/7 - 2/5))) - 9/4)
[277182] ['1/9', '1/4', '4/7', '5/7', '1'] -> (((4/7 - 1) + (5/7 / 1/9)) / 1/4)
[277183] ['1/6', '1/3', '9/8', '9/7', '3'] -> (3 / (((1/3 * 9/8) / 9/7) - 1/6))
[277184] ['1/9', '7/4', '7/4', '9/5', '2'] -> (((7/4 + (2 / 9/5)) / 1/9) - 7/4)
[277185] ['1/9', '5/9', '6/7', '4/3', '6'] -> ((6 / 6/7) + ((5/9 + 4/3) / 1/9))
[277186] ['2/7', '7/6', '3/2', '3/2', '3'] -> ((7/6 + 3/2) * ((3 / 2/7) - 3/2))
[277187] ['2/7', '1/3', '4/5', '1', '3/2'] -> (1 / (3/2 - (1/3 / (2/7 * 4/5))))
[277188] ['1/9', '1/4', '4/7', '7/9', '1'] -> (((1 / 1/4) - 4/7) / (1/9 / 7/9))
[277189] ['3/7', '6/5', '5/3', '9/5', '8'] -> (((8 + (6/5 + 9/5)) / 3/7) - 5/3)
[277190] ['2/5', '3/4', '6/7', '7/3', '9'] -> ((7/3 * (3/4 * 6/7)) + (9 / 2/5))
[277191] ['2/7', '7/6', '3/2', '8/5', '3'] -> ((3 + (3/2 / 7/6)) / (2/7 / 8/5))
[277192] ['3/7', '6/5', '5/3', '9/4', '8'] -> (((9/4 * 8) / (3/7 * 5/3)) - 6/5)
[277193] ['1/2', '7/8', '9/7', '7/4', '7'] -> ((9/7 * 7) / (7/4 - (1/2 + 7/8)))
[277194] ['1/8', '7/6', '9/5', '2', '9/4'] -> ((9/4 - (7/6 / 2)) / (1/8 / 9/5))
[277195] ['2/7', '7/6', '3/2', '5/3', '3'] -> ((3/2 + (3 / 2/7)) / (5/3 - 7/6))
[277196] ['2/7', '1/3', '4/5', '1', '7/4'] -> ((1 / 7/4) / ((2/7 / 4/5) - 1/3))
[277197] ['1/4', '2/7', '5/6', '7/3', '6'] -> (6 * ((2/7 * 7/3) + (5/6 / 1/4)))
[277198] ['2/7', '2/5', '9/5', '9/4', '9'] -> (9 / ((9/5 / (2/7 + 2/5)) - 9/4))
[277199] ['3/7', '6/5', '5/3', '5/2', '8'] -> (((8 + (6/5 * 5/2)) / 3/7) - 5/3)
[277200] ['1/9', '5/9', '6/7', '7/4', '6'] -> ((6 - 5/9) / (7/4 * (1/9 / 6/7)))
[277201] ['2/7', '1/3', '4/5', '1', '9/5'] -> (((1 / (1/3 - 2/7)) - 9/5) / 4/5)
[277202] ['1/9', '7/4', '7/4', '2', '9/2'] -> ((7/4 + 2) + (9/2 + (7/4 / 1/9)))
[277203] ['2/7', '2/5', '9/5', '7/3', '9'] -> (7/3 * (9 + (9/5 * (2/7 / 2/5))))
[277204] ['1/8', '7/6', '9/5', '2', '5/2'] -> ((5/2 + (7/6 - 2)) / (1/8 / 9/5))
[277205] ['3/7', '6/5', '5/3', '7/2', '8'] -> ((5/3 * 7/2) * (8 * (3/7 * 6/5)))
[277206] ['1/2', '7/8', '9/7', '7/3', '7'] -> ((7/3 + (7 / 1/2)) / (7/8 / 9/7))
[277207] ['1/9', '2/7', '9/4', '7/3', '8'] -> ((9/4 * 8) + (7/3 / (1/9 / 2/7)))
[277208] ['2/7', '1/3', '4/5', '1', '9/4'] -> ((1 / (4/5 * (1/3 - 2/7))) - 9/4)
[277209] ['1/9', '1/4', '4/7', '8/9', '1'] -> (1/4 + ((8/9 + (1 / 4/7)) / 1/9))
[277210] ['2/7', '7/6', '3/2', '9/4', '3'] -> (3 + ((7/6 + 3/2) / (2/7 / 9/4)))
[277211] ['1/8', '7/6', '9/5', '2', '8/3'] -> ((9/5 * 2) * ((7/6 / 1/8) - 8/3))
[277212] ['1/2', '7/8', '9/7', '5/2', '7'] -> ((9/7 * 7) / ((1/2 * 5/2) - 7/8))
[277213] ['2/7', '1/3', '4/5', '1', '7/3'] -> (2/7 / ((1 / 7/3) - (1/3 / 4/5)))
[277214] ['1/8', '7/6', '9/5', '2', '7/2'] -> ((2 - (7/6 / 7/2)) / (1/8 / 9/5))
[277215] ['1/9', '2/7', '9/4', '5/2', '8'] -> (((8 - (5/2 / 9/4)) / 2/7) - 1/9)
[277216] ['3/7', '6/5', '7/4', '7/4', '8'] -> ((6/5 * 8) * (7/4 + (3/7 * 7/4)))
[277217] ['5/8', '1', '9/8', '4/3', '4/3'] -> (4/3 / ((1 / 9/8) - (5/8 * 4/3)))
[277218] ['1/9', '1/4', '4/7', '1', '8/7'] -> ((8/7 / (1/9 * 4/7)) / (1 - 1/4))
[277219] ['2/7', '1/3', '4/5', '1', '5/2'] -> ((1 + (5/2 / (2/7 / 4/5))) / 1/3)
[277220] ['5/8', '1', '9/8', '4/3', '7/5'] -> (1 / ((7/5 * (5/8 * 4/3)) - 9/8))
[277221] ['2/7', '7/6', '8/5', '8/5', '3'] -> ((8/5 / 2/7) / (3 - (7/6 + 8/5)))
[277222] ['1/9', '5/9', '6/7', '9/2', '6'] -> (6 / ((9/2 / 6/7) - (5/9 / 1/9)))
[277223] ['1/8', '7/6', '2', '9/4', '7/3'] -> (2 + ((9/4 + (7/6 / 7/3)) / 1/8))
[277224] ['1/9', '7/4', '9/5', '2', '8/3'] -> (9/5 * ((2 / 1/9) - (7/4 * 8/3)))
[277225] ['2/5', '3/4', '7/8', '7/6', '9'] -> ((3/4 + (7/8 / 7/6)) + (9 / 2/5))
[277226] ['1/4', '2/7', '6/7', '5/3', '6'] -> (2/7 / (1/4 - ((6/7 * 5/3) / 6)))
[277227] ['2/7', '7/6', '8/5', '5/3', '3'] -> ((8/5 * 5/3) * (3 / (2/7 * 7/6)))
[277228] ['1/2', '7/8', '4/3', '8/5', '7'] -> ((7 / 7/8) / ((4/3 / 8/5) - 1/2))
[277229] ['1/9', '7/4', '9/5', '2', '7/2'] -> (2 / ((7/2 / 9/5) - (1/9 + 7/4)))
[277230] ['1/9', '1/4', '4/7', '1', '5/4'] -> (((5/4 / (1 - 4/7)) - 1/4) / 1/9)
[277231] ['3/7', '6/5', '7/4', '7/3', '8'] -> (6/5 * ((7/3 / 7/4) + (8 / 3/7)))
[277232] ['1/9', '2/7', '7/3', '9/2', '8'] -> ((8 / (1/9 * 2/7)) / (7/3 * 9/2))
[277233] ['5/8', '1', '9/8', '4/3', '7/4'] -> ((1 / 4/3) / (9/8 - (5/8 * 7/4)))
[277234] ['1/2', '7/8', '4/3', '5/3', '7'] -> (((7 / (7/8 / 5/3)) - 4/3) / 1/2)
[277235] ['3/7', '6/5', '7/4', '5/2', '8'] -> (5/2 * (8 + (6/5 / (3/7 * 7/4))))
[277236] ['1/9', '7/4', '9/5', '2', '9/2'] -> ((2 / 1/9) / ((9/2 / 9/5) - 7/4))
[277237] ['1/9', '5/9', '7/8', '6/5', '6'] -> (6 / (6/5 * (7/8 - (1/9 + 5/9))))
[277238] ['1/6', '1/3', '7/6', '8/5', '3'] -> ((7/6 - 1/3) * (3 / (1/6 / 8/5)))
[277239] ['2/7', '7/6', '8/5', '9/5', '3'] -> (8/5 + (3 * (7/6 + (9/5 / 2/7))))
[277240] ['5/8', '1', '9/8', '4/3', '7/3'] -> (1 / ((9/8 * 4/3) - (5/8 * 7/3)))
[277241] ['2/5', '3/4', '7/8', '7/4', '9'] -> ((7/4 * (3/4 / 7/8)) + (9 / 2/5))
[277242] ['1/9', '5/9', '7/8', '5/4', '6'] -> ((6 / (1/9 + 5/9)) / (5/4 - 7/8))
[277243] ['4/9', '7/6', '3/2', '8/5', '2'] -> (7/6 / ((3/2 / 8/5) - (4/9 * 2)))
[277244] ['3/7', '6/5', '7/4', '7/2', '8'] -> (8 * (7/4 + (7/2 * (3/7 / 6/5))))
[277245] ['2/9', '4/9', '6/7', '9/7', '2'] -> (6/7 + ((9/7 + (2 / 2/9)) / 4/9))
[277246] ['1/2', '7/8', '7/5', '3/2', '7'] -> (7 / ((7/8 / 7/5) - (1/2 / 3/2)))
[277247] ['1/6', '1/3', '7/6', '9/5', '3'] -> ((9/5 + 3) / (1/6 / (7/6 - 1/3)))
[277248] ['1/8', '7/6', '2', '9/2', '9/2'] -> (((7/6 * 9/2) - (9/2 / 2)) / 1/8)
[277249] ['5/8', '1', '9/8', '4/3', '9/2'] -> (9/2 / (9/8 * (1 - (5/8 * 4/3))))
[277250] ['1/9', '7/4', '2', '7/3', '7/3'] -> ((2 / 1/9) / (7/4 - (7/3 / 7/3)))
[277251] ['2/9', '4/9', '6/7', '4/3', '2'] -> (((4/3 / 4/9) + (2 / 6/7)) / 2/9)
[277252] ['3/7', '6/5', '9/5', '9/5', '8'] -> ((6/5 + (9/5 / 3/7)) / (9/5 / 8))
[277253] ['2/5', '3/4', '7/8', '7/3', '9'] -> (((3/4 + 9) / 2/5) - (7/8 / 7/3))
[277254] ['1/9', '5/9', '7/8', '7/5', '6'] -> ((6 / 7/8) / ((5/9 / 7/5) - 1/9))
[277255] ['2/7', '1/3', '5/6', '1', '8/7'] -> ((8/7 / 2/7) / ((1/3 + 5/6) - 1))
[277256] ['1/4', '2/7', '7/8', '7/4', '6'] -> (6 * ((2/7 * 7/4) + (7/8 / 1/4)))
[277257] ['1/9', '1/4', '4/7', '1', '5/2'] -> ((5/2 / 1/9) - (1/4 - (1 / 4/7)))
[277258] ['2/5', '3/4', '7/8', '7/2', '9'] -> (7/2 * (9 - (3/4 / (2/5 * 7/8))))
[277259] ['2/7', '1/3', '5/6', '1', '7/6'] -> ((1 + ((5/6 + 7/6) / 2/7)) / 1/3)
[277260] ['5/8', '1', '9/8', '7/5', '8/5'] -> ((5/8 / (8/5 - (9/8 * 7/5))) - 1)
[277261] ['1/9', '2/7', '9/2', '9/2', '8'] -> ((8 / 2/7) - (9/2 - (1/9 * 9/2)))
[277262] ['2/9', '4/9', '6/7', '8/5', '2'] -> (8/5 / (2/9 - (4/9 / (6/7 + 2))))
[277263] ['2/7', '7/6', '8/5', '3', '9/2'] -> ((8/5 * 9/2) * (3 + (2/7 * 7/6)))
[277264] ['1/6', '1/3', '6/5', '7/4', '3'] -> (((7/4 / 1/6) - (3 / 6/5)) / 1/3)
[277265] ['1/4', '2/7', '7/8', '9/4', '6'] -> (6 * ((1/4 / 2/7) + (7/8 + 9/4)))
[277266] ['1/9', '1/4', '4/7', '1', '7/2'] -> ((7/2 / (1/9 / 4/7)) / (1 - 1/4))
[277267] ['2/7', '1/3', '5/6', '1', '4/3'] -> (1 / ((1/3 / (2/7 * 4/3)) - 5/6))
[277268] ['2/5', '3/4', '8/9', '9/8', '9'] -> ((8/9 * 9) * (9/8 + (3/4 / 2/5)))
[277269] ['3/7', '6/5', '9/5', '9/2', '8'] -> (9/5 + (6/5 * (8 + (9/2 / 3/7))))
[277270] ['1/9', '5/9', '7/8', '9/5', '6'] -> ((6 - 9/5) / (7/8 * (1/9 / 5/9)))
[277271] ['1/2', '7/8', '3/2', '9/5', '7'] -> ((7 / 7/8) / ((3/2 / 9/5) - 1/2))
[277272] ['1/6', '1/3', '6/5', '9/4', '3'] -> (3 / ((1/3 / 1/6) - (9/4 / 6/5)))
[277273] ['2/7', '2/5', '7/2', '7/2', '9'] -> ((2/7 + 2/5) * (7/2 + (7/2 * 9)))
[277274] ['4/9', '7/6', '8/5', '2', '9/4'] -> ((7/6 / ((4/9 + 8/5) - 2)) - 9/4)
[277275] ['1/9', '5/9', '7/8', '9/4', '6'] -> (((7/8 * 6) / (1/9 / 5/9)) - 9/4)
[277276] ['1/4', '2/7', '7/8', '5/2', '6'] -> (6 * ((2/7 / 1/4) + (5/2 / 7/8)))
[277277] ['1/9', '9/5', '9/5', '2', '9/4'] -> ((9/5 / 1/9) / (9/5 - (9/4 / 2)))
[277278] ['1/9', '1/4', '3/5', '5/8', '1'] -> ((3/5 + (1 / 1/9)) / (1/4 / 5/8))
[277279] ['1/9', '1/3', '1/3', '4/5', '8'] -> ((1/3 + (1/3 / 1/9)) * (8 - 4/5))
[277280] ['2/5', '3/4', '8/9', '5/4', '9'] -> (9 / (5/4 * (3/4 - (2/5 / 8/9))))
[277281] ['1/2', '7/8', '8/5', '9/4', '7'] -> ((7 + (8/5 * (7/8 + 9/4))) / 1/2)
[277282] ['2/7', '7/6', '5/3', '7/3', '3'] -> ((7/6 - 5/3) + (3 / (2/7 / 7/3)))
[277283] ['1/4', '2/7', '7/8', '8/3', '6'] -> ((8/3 * (1/4 + 7/8)) + (6 / 2/7))
[277284] ['1/9', '9/5', '9/5', '2', '5/2'] -> (((5/2 / (1/9 / 2)) - 9/5) / 9/5)
[277285] ['5/8', '1', '9/8', '7/5', '5/2'] -> ((5/8 / ((9/8 + 7/5) - 5/2)) - 1)
[277286] ['2/7', '1/3', '5/6', '1', '5/3'] -> ((1 + (5/3 / (2/7 * 5/6))) / 1/3)
[277287] ['2/7', '3/7', '3/7', '4/9', '9'] -> ((9 + ((2/7 + 3/7) / 3/7)) / 4/9)
[277288] ['1/9', '1/4', '3/5', '2/3', '1'] -> (2/3 / ((1/9 / (1 - 3/5)) - 1/4))
[277289] ['2/7', '1/3', '5/6', '1', '7/4'] -> ((1 / 7/4) / ((2/7 / 1/3) - 5/6))
[277290] ['2/7', '3/7', '3/7', '5/9', '9'] -> ((9 + ((2/7 + 3/7) / 5/9)) / 3/7)
[277291] ['1/2', '7/8', '8/5', '9/2', '7'] -> (9/2 / ((1/2 / 8/5) - (7/8 / 7)))
[277292] ['4/9', '7/6', '8/5', '2', '7/2'] -> ((7/2 + (7/6 + 2)) / (4/9 / 8/5))
[277293] ['3/7', '6/5', '9/4', '7/2', '8'] -> (7/2 * ((3/7 / 9/4) + (8 / 6/5)))
[277294] ['1/9', '1/4', '3/5', '5/7', '1'] -> (((1 / 1/9) - 3/5) / (1/4 / 5/7))
[277295] ['5/8', '1', '9/8', '7/5', '7/2'] -> ((1 + (7/2 / 5/8)) / (7/5 - 9/8))
[277296] ['1/2', '7/8', '5/3', '5/3', '7'] -> (7 / ((1/2 - 5/3) + (7/8 * 5/3)))
[277297] ['1/9', '5/9', '8/9', '6/5', '6'] -> (((6 + (8/9 / 1/9)) / 5/9) - 6/5)
[277298] ['1/8', '6/5', '9/7', '8/5', '2'] -> (2 / (1/8 * (8/5 - (6/5 / 9/7))))
[277299] ['4/9', '7/6', '5/3', '5/3', '2'] -> ((5/3 + 5/3) / ((7/6 / 2) - 4/9))
[277300] ['2/5', '3/4', '8/9', '7/4', '9'] -> ((9 / (2/5 * 8/9)) - (3/4 * 7/4))
[277301] ['1/2', '7/8', '5/3', '7/4', '7'] -> (7 / ((5/3 - 7/4) - (1/2 - 7/8)))
[277302] ['2/7', '3/7', '3/7', '4/5', '9'] -> ((2/7 * 9) / ((3/7 / 4/5) - 3/7))
[277303] ['1/9', '5/9', '8/9', '9/7', '6'] -> (8/9 / (5/9 - (6 * (1/9 / 9/7))))
[277304] ['2/7', '1/3', '5/6', '1', '7/3'] -> (((5/6 - 1) + (7/3 / 2/7)) / 1/3)
[277305] ['1/8', '6/5', '9/7', '5/3', '2'] -> (((2 / (5/3 - 6/5)) - 9/7) / 1/8)
[277306] ['2/7', '3/7', '3/7', '7/8', '9'] -> ((3/7 * 9) / (7/8 - (2/7 + 3/7)))
[277307] ['1/9', '1/4', '3/5', '4/5', '1'] -> (((1 / 1/4) - (4/5 / 3/5)) / 1/9)
[277308] ['4/9', '7/6', '5/3', '9/5', '2'] -> ((4/9 * 9/5) / ((2 / 5/3) - 7/6))
[277309] ['2/9', '4/9', '7/8', '9/8', '2'] -> (2 / (2/9 * (7/8 - (4/9 * 9/8))))
[277310] ['3/7', '6/5', '7/3', '9/2', '8'] -> (9/2 + (7/3 * (8 + (3/7 / 6/5))))
[277311] ['2/5', '3/4', '8/9', '7/3', '9'] -> (7/3 + ((3/4 + 9) / (2/5 / 8/9)))
[277312] ['1/8', '6/5', '9/7', '7/4', '2'] -> (6/5 * (2 + (7/4 / (1/8 / 9/7))))
[277313] ['5/8', '1', '9/8', '3/2', '5/3'] -> (1 / ((5/3 / 5/8) - (9/8 + 3/2)))
[277314] ['1/6', '1/3', '9/7', '5/3', '3'] -> ((5/3 + (3 / 9/7)) / (1/3 - 1/6))
[277315] ['1/9', '9/5', '2', '9/4', '7/2'] -> (((2 / 9/5) + (7/2 / 9/4)) / 1/9)
[277316] ['2/5', '3/4', '8/9', '8/3', '9'] -> (((8/9 * 9) / (2/5 * 3/4)) - 8/3)
[277317] ['1/9', '5/9', '8/9', '3/2', '6'] -> (8/9 / (1/9 - (5/9 / (3/2 + 6))))
[277318] ['5/8', '1', '9/8', '3/2', '7/4'] -> (1 / ((7/4 / (9/8 + 3/2)) - 5/8))
[277319] ['2/7', '3/7', '3/7', '5/4', '9'] -> ((2/7 * 9) / ((3/7 * 5/4) - 3/7))
[277320] ['1/4', '2/7', '8/9', '5/3', '6'] -> (6 * (8/9 + (5/3 / (1/4 + 2/7))))
[277321] ['1/9', '1/4', '3/5', '7/8', '1'] -> ((1 / (1/9 * 3/5)) / (7/8 - 1/4))
[277322] ['2/7', '1/3', '6/7', '6/7', '1'] -> ((2/7 + 6/7) / (1/3 * (1 - 6/7)))
[277323] ['2/7', '7/6', '9/5', '9/4', '3'] -> (((7/6 + 3) / (2/7 / 9/5)) - 9/4)
[277324] ['1/6', '1/3', '9/7', '9/4', '3'] -> ((1/3 / 1/6) / ((3 / 9/7) - 9/4))
[277325] ['1/8', '6/5', '9/7', '2', '9/4'] -> ((9/4 / (1/8 * (2 - 9/7))) - 6/5)
[277326] ['1/9', '5/9', '8/9', '7/4', '6'] -> (6 / ((8/9 / (5/9 - 1/9)) - 7/4))
[277327] ['1/9', '1/4', '3/5', '8/9', '1'] -> (1 / (1/4 - ((1/9 / 3/5) / 8/9)))
[277328] ['4/9', '7/6', '5/3', '2', '9/2'] -> (((7/6 + 2) + (5/3 * 9/2)) / 4/9)
[277329] ['2/5', '3/4', '9/8', '7/6', '9'] -> ((3/4 + (9 / (2/5 / 7/6))) / 9/8)
[277330] ['3/7', '6/5', '8/3', '8/3', '8'] -> ((8/3 / 3/7) + (8 / (6/5 / 8/3)))
[277331] ['1/9', '1/4', '3/5', '1', '9/8'] -> (1 / (1/4 - (9/8 * (1/9 / 3/5))))
[277332] ['1/9', '5/9', '8/9', '9/5', '6'] -> (8/9 * ((9/5 / 1/9) + (6 / 5/9)))
[277333] ['2/7', '7/6', '9/5', '5/2', '3'] -> ((3 + (5/2 / (7/6 / 9/5))) / 2/7)
[277334] ['2/7', '3/7', '3/7', '9/5', '9'] -> ((9 + (9/5 * (2/7 + 3/7))) / 3/7)
[277335] ['2/9', '4/9', '7/8', '7/5', '2'] -> ((2 / 7/8) / ((4/9 / 7/5) - 2/9))
[277336] ['1/8', '6/5', '9/7', '2', '5/2'] -> (9/7 * (2 + (5/2 / (1/8 * 6/5))))
[277337] ['1/4', '2/7', '8/9', '9/4', '6'] -> (((8/9 + 6) / 2/7) - (1/4 / 9/4))
[277338] ['3/7', '6/5', '8/3', '7/2', '8'] -> ((8 / ((3/7 * 7/2) - 6/5)) - 8/3)
[277339] ['2/9', '4/9', '7/8', '8/5', '2'] -> (2 / ((4/9 / 8/5) - (2/9 * 7/8)))
[277340] ['3/7', '6/5', '8/3', '9/2', '8'] -> (6/5 * ((9/2 / (3/7 / 8/3)) - 8))
[277341] ['4/9', '7/6', '7/4', '2', '9/4'] -> ((4/9 * 9/4) / ((7/6 * 7/4) - 2))
[277342] ['2/5', '3/4', '9/8', '8/3', '9'] -> ((9 / (9/8 * (2/5 * 3/4))) - 8/3)
[277343] ['1/2', '7/8', '9/5', '9/2', '7'] -> ((1/2 + (9/2 / 9/5)) / (7/8 / 7))
[277344] ['1/9', '1/4', '3/5', '1', '7/6'] -> (((7/6 / (1 - 3/5)) - 1/4) / 1/9)
[277345] ['2/7', '7/6', '9/5', '3', '7/2'] -> (9/5 * (((7/6 + 7/2) / 2/7) - 3))
[277346] ['2/7', '3/7', '4/9', '5/8', '9'] -> (9 / ((2/7 / 4/9) - (3/7 * 5/8)))
[277347] ['1/4', '2/7', '8/9', '8/3', '6'] -> ((6 + (8/3 / 2/7)) / (8/9 - 1/4))
[277348] ['1/9', '1/3', '3/8', '5/7', '8'] -> ((1/3 + 8) / (5/7 * (1/9 + 3/8)))
[277349] ['1/9', '1/4', '3/5', '1', '6/5'] -> ((6/5 / (1/9 * 3/5)) / (1 - 1/4))
[277350] ['5/8', '1', '9/8', '8/5', '9/4'] -> (9/4 / (((5/8 + 9/8) / 8/5) - 1))
[277351] ['2/5', '3/4', '9/8', '7/2', '9'] -> ((9 / 2/5) - (9/8 - (3/4 * 7/2)))
[277352] ['1/8', '6/5', '4/3', '3/2', '2'] -> (((3/2 + (2 / 6/5)) / 1/8) - 4/3)
[277353] ['2/5', '3/4', '8/7', '8/7', '9'] -> (9 * ((8/7 / (2/5 * 3/4)) - 8/7))
[277354] ['1/9', '1/3', '3/8', '4/5', '8'] -> ((1/3 + (3/8 * 8)) / (1/9 / 4/5))
[277355] ['1/2', '7/8', '9/4', '9/2', '7'] -> ((7 + (9/2 / 9/4)) / (7/8 - 1/2))
[277356] ['1/4', '2/7', '8/9', '9/2', '6'] -> (6 + ((1/4 + (9/2 / 2/7)) / 8/9))
[277357] ['4/9', '7/6', '7/4', '2', '7/2'] -> ((7/6 + 7/2) / ((4/9 + 7/4) - 2))
[277358] ['2/7', '3/7', '4/9', '3/4', '9'] -> ((3/7 + (4/9 * 3/4)) / (2/7 / 9))
[277359] ['2/7', '7/6', '9/4', '7/3', '3'] -> (3 + (9/4 * (7/6 + (7/3 / 2/7))))
[277360] ['1/9', '5/9', '9/8', '5/4', '6'] -> (6 + (5/4 / (9/8 * (1/9 * 5/9))))
[277361] ['1/8', '6/5', '4/3', '7/4', '2'] -> ((7/4 + (2 / (6/5 * 4/3))) / 1/8)
[277362] ['1/9', '1/3', '3/8', '6/7', '8'] -> (((8 / 6/7) - (1/9 / 1/3)) / 3/8)
[277363] ['2/9', '4/9', '7/8', '2', '7/3'] -> ((7/3 / (4/9 - 2/9)) / (7/8 / 2))
[277364] ['2/7', '1/3', '7/8', '7/8', '1'] -> (1 / ((1/3 * 7/8) - (2/7 * 7/8)))
[277365] ['2/7', '3/7', '4/9', '7/9', '9'] -> ((7/9 + (3/7 - 4/9)) / (2/7 / 9))
[277366] ['1/2', '7/8', '8/3', '9/2', '7'] -> ((1/2 * 9/2) * (8/3 + (7 / 7/8)))
[277367] ['5/8', '1', '9/8', '8/5', '9/2'] -> ((9/8 + 9/2) * (8/5 / (1 - 5/8)))
[277368] ['2/9', '4/9', '7/8', '2', '7/2'] -> (2 / (7/8 * (2/9 - (4/9 / 7/2))))
[277369] ['2/7', '7/6', '9/4', '8/3', '3'] -> ((2/7 * 3) / ((8/3 / 7/6) - 9/4))
[277370] ['4/9', '7/6', '9/5', '9/5', '2'] -> (9/5 / (((2 - 7/6) / 4/9) - 9/5))
[277371] ['2/5', '3/4', '8/7', '5/4', '9'] -> ((9 - (3/4 / 5/4)) / (2/5 / 8/7))
[277372] ['3/7', '5/4', '5/4', '7/5', '8'] -> (5/4 + ((8 + (5/4 * 7/5)) / 3/7))
[277373] ['1/2', '7/8', '9/2', '9/2', '7'] -> ((9/2 + 9/2) / (1/2 - (7/8 / 7)))
[277374] ['1/9', '1/3', '3/8', '9/7', '8'] -> ((1/3 + (8 * (3/8 / 9/7))) / 1/9)
[277375] ['1/9', '5/9', '9/8', '4/3', '6'] -> ((5/9 + 6) / (1/9 * (9/8 + 4/3)))
[277376] ['1/9', '2', '9/4', '9/4', '7/2'] -> ((9/4 / 1/9) + (7/2 - (2 - 9/4)))
[277377] ['2/7', '3/7', '4/9', '7/8', '9'] -> (9 / ((2/7 - 7/8) + (3/7 / 4/9)))
[277378] ['1/9', '1/4', '3/5', '1', '7/3'] -> ((7/3 - (1 / 3/5)) / (1/9 * 1/4))
[277379] ['1/2', '8/9', '8/9', '8/9', '7'] -> (((8/9 + 8/9) / (1/2 / 7)) - 8/9)
[277380] ['2/5', '3/4', '8/7', '4/3', '9'] -> (9 * ((4/3 / (3/4 - 2/5)) - 8/7))
[277381] ['1/9', '1/3', '3/8', '7/5', '8'] -> ((1/3 + 8) * (7/5 / (1/9 + 3/8)))
[277382] ['2/7', '7/6', '9/4', '3', '9/2'] -> (3 + (7/6 * (9/4 + (9/2 / 2/7))))
[277383] ['1/9', '1/4', '3/5', '1', '5/2'] -> ((1 / (1/9 * 1/4)) / (3/5 * 5/2))
[277384] ['5/8', '1', '9/8', '5/3', '7/3'] -> (1 / ((5/3 / 5/8) - (9/8 * 7/3)))
[277385] ['1/9', '5/9', '9/8', '3/2', '6'] -> ((6 / (1/9 + 5/9)) / (3/2 - 9/8))
[277386] ['2/5', '3/4', '8/7', '7/5', '9'] -> ((2/5 + (8/7 * 7/5)) / (3/4 / 9))
[277387] ['2/7', '7/6', '7/3', '7/3', '3'] -> ((3 / (2/7 / 7/3)) - (7/6 / 7/3))
[277388] ['4/9', '7/6', '9/5', '2', '5/2'] -> ((7/6 + (5/2 * (9/5 + 2))) / 4/9)
[277389] ['2/7', '1/3', '7/8', '1', '4/3'] -> ((1 / 7/8) / ((2/7 * 4/3) - 1/3))
[277390] ['2/7', '3/7', '4/9', '5/4', '9'] -> (9 / ((5/4 * (2/7 / 4/9)) - 3/7))
[277391] ['3/7', '5/4', '5/4', '5/3', '8'] -> (8 * (5/4 + (5/4 / (3/7 * 5/3))))
[277392] ['1/2', '8/9', '8/9', '7/6', '7'] -> ((8/9 * (1/2 + 7)) / (7/6 - 8/9))
[277393] ['1/9', '1/4', '3/5', '1', '8/3'] -> ((((1 + 8/3) / 3/5) - 1/9) / 1/4)
[277394] ['1/9', '2', '9/4', '5/2', '5/2'] -> ((5/2 / 2) + (5/2 + (9/4 / 1/9)))
[277395] ['1/9', '5/9', '9/8', '8/5', '6'] -> ((8/5 / 1/9) + (6 / (5/9 * 9/8)))
[277396] ['2/9', '4/9', '8/9', '5/4', '2'] -> (2 / ((8/9 / (2/9 + 4/9)) - 5/4))
[277397] ['2/7', '7/6', '7/3', '5/2', '3'] -> (3 + ((5/2 + (7/6 + 7/3)) / 2/7))
[277398] ['4/9', '7/6', '9/5', '2', '8/3'] -> (4/9 / (8/3 - (2 + (7/6 / 9/5))))
[277399] ['1/6', '1/3', '7/4', '9/5', '3'] -> ((1/3 / 1/6) / (7/4 - (3 / 9/5)))
