[53191] ['1/4', '3/7', '8/3', '8/3', '5'] -> (3/7 * (8/3 + (5 / (1/4 / 8/3))))
[53878] ['2/5', '4/9', '2/3', '3/2', '3'] -> ((3/2 + ((2/3 + 3) / 2/5)) / 4/9)
[53879] ['1/7', '1/6', '6/5', '7/3', '5'] -> ((6/5 + (1/7 / 1/6)) * (7/3 * 5))
[53880] ['1/9', '1/8', '1/6', '3/4', '7'] -> (((7 - 1/8) / (1/9 + 1/6)) - 3/4)
[53881] ['1/9', '3/5', '7/8', '5/4', '3'] -> (((3 / (1/9 * 5/4)) - 3/5) / 7/8)
[53882] ['1/4', '4/9', '5/7', '7/2', '5'] -> (7/2 * ((1/4 + 5) + (5/7 / 4/9)))
[53883] ['1/9', '2/9', '3/2', '8/5', '5'] -> ((3/2 * 8/5) * (5 / (1/9 / 2/9)))
[53884] ['5/9', '1', '9/8', '9/8', '4/3'] -> (4/3 / ((5/9 * (1 + 9/8)) - 9/8))
[53885] ['1/7', '1/6', '6/5', '5/2', '5'] -> (6/5 * ((5 / 1/7) - (5/2 / 1/6)))
[53886] ['1/2', '5/7', '5/7', '8/5', '4'] -> ((4 + (5/7 * 8/5)) / (5/7 - 1/2))
[53887] ['1/6', '1/5', '8/5', '9/4', '9'] -> (((8/5 / 1/5) - (9 / 9/4)) / 1/6)
[53888] ['1/9', '2/9', '3/2', '7/4', '5'] -> ((5 - (2/9 * 3/2)) / (1/9 * 7/4))
[53889] ['2/5', '4/9', '2/3', '9/5', '3'] -> (((2/3 * 9/5) / (4/9 - 2/5)) - 3)
[53890] ['1/7', '1/6', '6/5', '8/3', '5'] -> ((5 / 6/5) + ((1/6 + 8/3) / 1/7))
[53891] ['2/7', '4/9', '7/4', '2', '7/3'] -> ((2 * 7/3) / (7/4 - (4/9 / 2/7)))
[53892] ['1/9', '2/9', '3/2', '9/5', '5'] -> (5 * (9/5 + (3/2 / (1/9 / 2/9))))
[53893] ['1/3', '6/7', '9/8', '6/5', '8'] -> ((6/7 + 6/5) * (8 * (1/3 + 9/8)))
[53894] ['1/4', '4/9', '3/4', '4/5', '5'] -> (5 * ((3/4 / 1/4) + (4/5 / 4/9)))
[53895] ['3/8', '4/3', '3/2', '9/5', '4'] -> (9/5 * (((3/2 + 4) / 3/8) - 4/3))
[53896] ['1/7', '1/6', '6/5', '7/2', '5'] -> (7/2 * ((1/7 / 1/6) + (6/5 * 5)))
[53897] ['1/2', '5/7', '5/7', '9/5', '4'] -> ((5/7 * 9/5) * (4 / (5/7 - 1/2)))
[53898] ['1/5', '2/7', '2/3', '5/7', '5'] -> ((5 * (1/5 + 5/7)) / (2/7 * 2/3))
[53899] ['1/6', '1/5', '5/3', '5/3', '9'] -> ((9 - (5/3 / (1/5 * 5/3))) / 1/6)
[53900] ['1/9', '3/5', '7/8', '5/3', '3'] -> (3 / (1/9 * (3/5 + (7/8 / 5/3))))
[53901] ['1/9', '1/8', '1/6', '6/5', '7'] -> (((7 / 6/5) - 1/6) / (1/9 + 1/8))
[53902] ['1/2', '5/7', '5/7', '7/3', '4'] -> (4 / ((1/2 * 7/3) - (5/7 / 5/7)))
[53903] ['1/9', '2/9', '8/5', '7/4', '5'] -> (5 * ((2/9 / 1/9) + (8/5 * 7/4)))
[53904] ['2/5', '4/9', '2/3', '5/2', '3'] -> (((2/3 + 5/2) + (3 / 2/5)) / 4/9)
[53905] ['1/4', '4/9', '3/4', '7/8', '5'] -> ((5 / (4/9 * 3/4)) / (7/8 - 1/4))
[53906] ['1/5', '1/4', '1/4', '8/7', '6'] -> (8/7 + (6 / (1/5 + (1/4 * 1/4))))
[53907] ['1/6', '1/5', '5/3', '7/4', '9'] -> (9 / (1/5 + (7/4 * (1/6 / 5/3))))
[53908] ['1/5', '5/8', '7/9', '5/6', '4'] -> (((4 / 1/5) - (5/6 / 5/8)) / 7/9)
[53909] ['1/9', '1/8', '1/6', '9/7', '7'] -> ((7 * (1/9 * 9/7)) / (1/6 - 1/8))
[53910] ['3/8', '4/3', '8/5', '7/4', '4'] -> ((4 / (3/8 * (7/4 - 4/3))) - 8/5)
[53911] ['1/6', '1/5', '5/3', '9/4', '9'] -> ((9 / 9/4) / ((1/5 * 5/3) - 1/6))
[53912] ['1/9', '3/5', '7/8', '9/5', '3'] -> (9/5 / (1/9 * (7/8 - (3/5 / 3))))
[53913] ['2/5', '4/9', '2/3', '3', '9/2'] -> ((2/3 + (4/9 / 2/5)) * (3 * 9/2))
[53914] ['1/7', '1/6', '5/4', '7/4', '5'] -> (((1/7 * 7/4) - (5/4 - 5)) / 1/6)
[53915] ['1/6', '1/5', '5/3', '7/3', '9'] -> ((9 + (1/5 * 5/3)) / (1/6 * 7/3))
[53916] ['1/3', '6/7', '9/8', '7/4', '8'] -> (8 * (7/4 + (6/7 * (1/3 + 9/8))))
[53917] ['1/4', '4/9', '3/4', '6/5', '5'] -> ((4/9 + (5 / (3/4 * 6/5))) / 1/4)
[53918] ['1/5', '1/4', '1/4', '4/3', '6'] -> (1/4 + ((1/4 + (6 / 4/3)) / 1/5))
[53919] ['1/9', '1/8', '1/6', '8/5', '7'] -> (7 / (((1/9 / 1/6) / 8/5) - 1/8))
[53920] ['1/2', '5/7', '3/4', '5/6', '4'] -> (4 / (3/4 - (5/6 * (1/2 / 5/7))))
[53921] ['3/8', '4/3', '8/5', '8/3', '4'] -> (4 / ((3/8 * 8/3) - (4/3 / 8/5)))
[53922] ['5/9', '1', '9/8', '9/8', '8/3'] -> (8/3 / (5/9 - (1 / (9/8 + 9/8))))
[53923] ['1/5', '5/8', '7/9', '8/7', '4'] -> (7/9 * ((4 / (1/5 * 5/8)) - 8/7))
[53924] ['1/9', '2/9', '5/3', '7/4', '5'] -> ((5/3 + 5) / ((2/9 * 7/4) - 1/9))
[53925] ['1/7', '1/6', '5/4', '9/4', '5'] -> ((9/4 + (5/4 / (1/7 * 5))) / 1/6)
[53926] ['1/9', '1/8', '1/6', '7/4', '7'] -> (((7 / 7/4) - (1/6 / 1/8)) / 1/9)
[53927] ['1/9', '3/5', '7/8', '5/2', '3'] -> ((3 + (3/5 / 1/9)) / (7/8 / 5/2))
[53928] ['1/2', '5/7', '3/4', '7/8', '4'] -> ((3/4 * 4) / ((5/7 * 7/8) - 1/2))
[53929] ['1/7', '1/6', '5/4', '7/3', '5'] -> ((5 / 5/4) / ((1/7 * 7/3) - 1/6))
[53930] ['1/9', '1/8', '1/6', '9/5', '7'] -> ((1/9 * 7) / (1/8 - (1/6 / 9/5)))
[53931] ['1/5', '2/7', '2/3', '5/4', '5'] -> (5 / ((5/4 * (1/5 / 2/7)) - 2/3))
[53932] ['1/2', '5/7', '3/4', '8/9', '4'] -> ((4 / (3/4 * (5/7 - 1/2))) - 8/9)
[53933] ['3/8', '4/3', '5/3', '9/5', '4'] -> ((5/3 * 9/5) * (4 / (3/8 * 4/3)))
[53934] ['1/7', '1/6', '5/4', '5/2', '5'] -> (5 / (5/2 * (5/4 - (1/6 / 1/7))))
[53935] ['1/5', '2/7', '2/3', '9/7', '5'] -> (5 * ((1/5 / 2/3) + (9/7 / 2/7)))
[53936] ['1/6', '1/5', '7/4', '9/2', '9'] -> ((9/2 / 1/5) - (9 - (7/4 / 1/6)))
[53937] ['1/4', '4/9', '3/4', '9/5', '5'] -> ((9/5 + (1/4 / 3/4)) / (4/9 / 5))
[53938] ['1/2', '5/7', '3/4', '6/5', '4'] -> (4 / (3/4 - ((1/2 / 5/7) / 6/5)))
[53939] ['2/5', '4/9', '5/7', '6/7', '3'] -> ((6/7 / (5/7 * (4/9 - 2/5))) - 3)
[53940] ['1/5', '5/8', '7/9', '9/7', '4'] -> ((4 - (7/9 * 9/7)) / (1/5 * 5/8))
[53941] ['3/8', '4/3', '7/4', '7/4', '4'] -> ((7/4 / 7/4) / (3/8 - (4/3 / 4)))
[53942] ['5/9', '1', '9/8', '8/7', '6/5'] -> ((1 / 5/9) / (9/8 - (6/5 / 8/7)))
[53943] ['1/9', '2/9', '7/4', '7/3', '5'] -> ((7/3 + (5 / 1/9)) / (2/9 + 7/4))
[53944] ['1/9', '3/5', '8/9', '9/8', '3'] -> (3 / ((8/9 / (1/9 + 3/5)) - 9/8))
[53945] ['1/3', '6/7', '8/7', '8/5', '8'] -> (8 * (6/7 + (8/7 / (1/3 * 8/5))))
[53946] ['1/7', '1/6', '5/4', '7/2', '5'] -> ((5 / 1/7) - (7/2 + (5/4 / 1/6)))
[53947] ['3/8', '4/3', '7/4', '9/5', '4'] -> ((9/5 * 4) * ((7/4 / 3/8) - 4/3))
[53948] ['1/6', '1/5', '9/4', '8/3', '9'] -> ((9 / 1/6) - (8/3 / (1/5 / 9/4)))
[53949] ['1/9', '3/5', '8/9', '8/7', '3'] -> ((8/9 + 3) * (8/7 / (1/9 / 3/5)))
[53950] ['1/9', '1/8', '1/5', '3/8', '7'] -> ((1/8 + 7) + (3/8 / (1/9 * 1/5)))
[53951] ['1/5', '1/4', '2/7', '1/2', '6'] -> ((1/4 / 1/5) + ((1/2 + 6) / 2/7))
[53952] ['1/9', '2/9', '7/4', '9/2', '5'] -> (((1/9 + 9/2) / 2/9) - (7/4 - 5))
[53953] ['1/6', '1/5', '9/4', '7/2', '9'] -> (((1/6 / 1/5) * (7/2 * 9)) - 9/4)
[53954] ['1/7', '1/6', '9/7', '9/7', '5'] -> (((1/7 / 9/7) + (5 / 9/7)) / 1/6)
[53955] ['5/9', '1', '9/8', '8/7', '9/7'] -> ((1 + 8/7) / (5/9 * (9/7 - 9/8)))
[53956] ['1/9', '1/8', '1/5', '2/5', '7'] -> ((7 / (1/9 / 1/5)) / (1/8 + 2/5))
[53957] ['2/7', '4/9', '2', '9/4', '9/2'] -> ((2 + (4/9 / 2/7)) * (9/4 + 9/2))
[53958] ['1/6', '1/5', '7/3', '7/3', '9'] -> ((9 - (7/3 / (1/5 * 7/3))) / 1/6)
[53959] ['1/9', '2/9', '9/5', '9/4', '5'] -> ((9/5 + (1/9 + 2/9)) * (9/4 * 5))
[53960] ['1/5', '1/4', '2/7', '4/7', '6'] -> (6 * ((2/7 / 1/4) + (4/7 / 1/5)))
[53961] ['1/9', '2/5', '3/2', '3/2', '4'] -> ((2/5 * 4) * (3/2 + (3/2 / 1/9)))
[53962] ['2/7', '4/9', '2', '7/3', '7/3'] -> ((7/3 + 7/3) / (4/9 / (2/7 + 2)))
[53963] ['1/9', '3/5', '8/9', '9/7', '3'] -> ((9/7 - 3/5) / (1/9 / (8/9 + 3)))
[53964] ['1/9', '1/8', '1/5', '3/7', '7'] -> (7 / (3/7 * (1/8 + (1/9 / 1/5))))
[53965] ['1/9', '2/9', '9/5', '7/2', '5'] -> (5 * ((9/5 + 7/2) - (1/9 / 2/9)))
[53966] ['3/8', '4/3', '9/5', '9/4', '4'] -> ((4/3 * 9/5) * (4 + (9/4 / 3/8)))
[53967] ['1/4', '4/9', '7/9', '3/2', '5'] -> (3/2 * (4/9 + (5 / (1/4 / 7/9))))
[53968] ['1/3', '6/7', '7/6', '9/7', '8'] -> (8 * ((1/3 + 7/6) + (9/7 / 6/7)))
[53969] ['1/5', '5/8', '7/9', '9/5', '4'] -> ((7/9 + (4 / 9/5)) / (1/5 * 5/8))
[53970] ['1/9', '3/5', '8/9', '4/3', '3'] -> ((3/5 + 3) * ((8/9 / 1/9) - 4/3))
[53971] ['1/5', '1/4', '2/7', '5/8', '6'] -> (6 * ((1/4 / 2/7) + (5/8 / 1/5)))
[53972] ['2/7', '4/9', '2', '7/3', '7/2'] -> (2 / (7/3 - (7/2 * (2/7 / 4/9))))
[53973] ['3/8', '4/3', '9/5', '5/2', '4'] -> (4/3 + ((4 + (9/5 * 5/2)) / 3/8))
[53974] ['1/9', '1/8', '1/5', '1/2', '7'] -> (7 / (1/9 * (1/8 + (1/2 / 1/5))))
[53975] ['1/6', '1/5', '8/3', '9/2', '9'] -> (9 * ((1/6 / 1/5) - (8/3 - 9/2)))
[53976] ['3/8', '4/3', '9/5', '8/3', '4'] -> ((9/5 / (3/8 * 4/3)) * (8/3 + 4))
[53977] ['1/5', '5/8', '7/9', '7/3', '4'] -> (7/3 / (4 - (7/9 + (5/8 / 1/5))))
[53978] ['1/6', '1/5', '7/2', '7/2', '9'] -> ((9 - (7/2 / (1/5 * 7/2))) / 1/6)
[53979] ['1/9', '1/8', '1/5', '5/9', '7'] -> (7 / (1/9 + (5/9 * (1/8 + 1/5))))
[53980] ['1/5', '2/7', '5/7', '3/4', '5'] -> ((5 + (1/5 * 5/7)) / (2/7 * 3/4))
[53981] ['1/7', '1/6', '4/3', '4/3', '5'] -> (5 / (1/7 * (4/3 + (1/6 / 4/3))))
[53982] ['5/9', '1', '9/8', '8/7', '7/4'] -> (8/7 / (5/9 - ((1 / 9/8) / 7/4)))
[53983] ['1/2', '5/7', '7/9', '4/5', '4'] -> ((4 / (5/7 * 7/9)) / (4/5 - 1/2))
[53984] ['3/8', '4/3', '9/5', '4', '9/2'] -> (((4/3 + 9/2) / (3/8 / 9/5)) - 4)
[53985] ['1/2', '5/7', '7/9', '5/6', '4'] -> (4 / (((5/7 * 7/9) / 5/6) - 1/2))
[53986] ['1/6', '2/9', '2/9', '2/7', '9'] -> (2/7 + ((2/9 + 9) / (1/6 + 2/9)))
[53987] ['1/9', '1/8', '1/5', '3/5', '7'] -> ((1/5 * 7) / (1/8 - (1/9 * 3/5)))
[53988] ['1/5', '1/4', '2/7', '4/5', '6'] -> ((6 / 2/7) - (1/5 - (4/5 / 1/4)))
[53989] ['1/7', '1/6', '4/3', '3/2', '5'] -> (((5 - 4/3) / 1/7) - (1/6 + 3/2))
[53990] ['1/5', '5/8', '7/9', '4', '9/2'] -> (((7/9 * 9/2) / (1/5 * 5/8)) - 4)
[53991] ['3/8', '4/3', '7/3', '7/3', '4'] -> ((7/3 / 7/3) / (3/8 - (4/3 / 4)))
[53992] ['1/4', '4/9', '4/5', '4/5', '5'] -> (((4/5 / 4/9) - (4/5 - 5)) / 1/4)
[53993] ['1/9', '2/5', '5/3', '5/3', '4'] -> ((4 - (2/5 * (5/3 + 5/3))) / 1/9)
[53994] ['1/4', '4/9', '4/5', '5/6', '5'] -> ((4/5 / (4/9 - 1/4)) * (5/6 + 5))
[53995] ['1/5', '5/8', '4/5', '6/7', '4'] -> (((4 / 5/8) - 4/5) / (1/5 / 6/7))
[53996] ['1/9', '2/5', '5/3', '7/4', '4'] -> ((4 + (2/5 * 5/3)) / (1/9 * 7/4))
[53997] ['1/5', '2/7', '5/7', '8/9', '5'] -> ((5 + (2/7 / 5/7)) / (1/5 / 8/9))
[53998] ['1/4', '4/9', '4/5', '6/7', '5'] -> ((4/5 / 6/7) * (5 / (4/9 - 1/4)))
[53999] ['1/5', '2/7', '5/7', '9/8', '5'] -> ((5 + (2/7 / 5/7)) / (1/5 * 9/8))
[54000] ['1/6', '2/9', '2/9', '3/5', '9'] -> ((3/5 * ((9 / 2/9) - 2/9)) - 1/6)
[54001] ['1/3', '6/7', '6/5', '3/2', '8'] -> ((6/7 + 6/5) * ((3/2 * 8) - 1/3))
[54002] ['1/5', '5/8', '4/5', '8/9', '4'] -> (8/9 / ((4/5 / (4 - 5/8)) - 1/5))
[54003] ['1/9', '2/5', '5/3', '7/3', '4'] -> ((7/3 + (1/9 / 5/3)) / (2/5 / 4))
[54004] ['1/4', '4/9', '4/5', '7/8', '5'] -> ((4/5 / 4/9) / (1/4 - (7/8 / 5)))
[54005] ['1/9', '1/8', '1/5', '3/4', '7'] -> (7 / ((3/4 * (1/9 / 1/5)) - 1/8))
[54006] ['1/2', '5/7', '7/9', '6/5', '4'] -> (4 / ((6/5 * (5/7 * 7/9)) - 1/2))
[54007] ['1/6', '2/9', '2/9', '3/4', '9'] -> (9 / (3/4 - (1/6 / (2/9 + 2/9))))
[54008] ['1/5', '5/8', '4/5', '8/7', '4'] -> (((4 / (5/8 * 8/7)) - 4/5) / 1/5)
[54009] ['3/8', '7/5', '7/5', '7/4', '4'] -> ((7/5 + 7/4) * (4 / (3/8 * 7/5)))
[54010] ['1/4', '4/9', '4/5', '9/8', '5'] -> ((4/9 + (5 / (4/5 * 9/8))) / 1/4)
[54011] ['1/9', '2/5', '7/4', '7/4', '4'] -> ((4 / 2/5) - (7/4 - (7/4 / 1/9)))
[54012] ['1/9', '1/8', '1/5', '5/6', '7'] -> ((5/6 / (1/9 + 1/8)) * (7 - 1/5))
[54013] ['2/5', '4/9', '5/7', '7/3', '3'] -> ((7/3 + 3) / ((4/9 / 5/7) - 2/5))
[54014] ['1/5', '2/7', '5/7', '4/3', '5'] -> ((5 + (1/5 * 5/7)) / (2/7 / 4/3))
[54015] ['2/7', '1/2', '1/2', '5/8', '2'] -> ((1/2 + (2 / 2/7)) / (1/2 * 5/8))
[54016] ['1/3', '6/7', '6/5', '9/5', '8'] -> (((9/5 + 8) / (1/3 / 6/7)) - 6/5)
[54017] ['3/8', '7/5', '7/5', '9/5', '4'] -> ((4 + (7/5 / 7/5)) / (3/8 / 9/5))
[54018] ['1/6', '2/9', '2/9', '6/7', '9'] -> ((1/6 + (9 / 6/7)) / (2/9 + 2/9))
[54019] ['1/5', '2/7', '5/7', '8/5', '5'] -> (5 * (8/5 + ((1/5 + 5/7) / 2/7)))
[54020] ['2/7', '1/2', '1/2', '2/3', '2'] -> (2 / (((2/3 - 1/2) / 2/7) - 1/2))
[54021] ['1/5', '1/4', '2/7', '3/2', '6'] -> (6 * ((3/2 / 2/7) - (1/4 / 1/5)))
[54022] ['1/4', '4/9', '4/5', '7/6', '5'] -> ((4/5 * 7/6) * (5 / (4/9 - 1/4)))
[54023] ['5/9', '1', '9/8', '7/6', '5/4'] -> (1 / ((9/8 + 7/6) - (5/4 / 5/9)))
[54024] ['1/7', '1/6', '7/5', '5/3', '5'] -> (((5 / 5/3) - 1/7) / (1/6 / 7/5))
[54025] ['1/3', '6/7', '6/5', '7/3', '8'] -> (8 * ((1/3 / 6/5) + (7/3 / 6/7)))
[54026] ['1/9', '2/5', '7/4', '7/3', '4'] -> (7/3 / (((7/4 - 1/9) / 2/5) - 4))
[54027] ['2/7', '1/2', '1/2', '5/7', '2'] -> ((2 + (5/7 / 1/2)) / (2/7 * 1/2))
[54028] ['1/2', '5/7', '7/9', '3/2', '4'] -> (4 / ((1/2 / 7/9) - (5/7 / 3/2)))
[54029] ['1/5', '1/4', '2/7', '8/5', '6'] -> (6 * ((1/5 / (2/7 - 1/4)) - 8/5))
[54030] ['1/9', '1/4', '1/4', '4/5', '5'] -> (4/5 / (1/9 * (1/4 + (1/4 / 5))))
[54031] ['1/9', '2/5', '7/4', '5/2', '4'] -> ((2/5 / 1/9) / (7/4 - (4 / 5/2)))
[54032] ['1/5', '5/8', '4/5', '7/5', '4'] -> ((4 + ((4/5 + 7/5) / 1/5)) / 5/8)
[54033] ['1/7', '1/6', '7/5', '7/4', '5'] -> ((5 / 7/5) / ((1/6 * 7/4) - 1/7))
[54034] ['2/7', '1/2', '1/2', '7/9', '2'] -> ((2 / (1/2 - 2/7)) / (1/2 * 7/9))
[54035] ['5/9', '1', '9/8', '7/6', '7/5'] -> ((1 / 5/9) / ((7/5 / 7/6) - 9/8))
[54036] ['1/5', '5/8', '4/5', '7/4', '4'] -> ((4/5 + 7/4) * (4 / (5/8 - 1/5)))
[54037] ['1/5', '1/4', '2/7', '7/4', '6'] -> ((7/4 + (1/4 / 1/5)) + (6 / 2/7))
[54038] ['1/9', '2/5', '7/4', '8/3', '4'] -> ((4 / (1/9 * (7/4 - 2/5))) - 8/3)
[54039] ['1/6', '2/9', '2/9', '6/5', '9'] -> ((2/9 * 9) / (2/9 - (1/6 / 6/5)))
[54040] ['2/5', '4/9', '3/4', '7/9', '3'] -> (3 / ((3/4 / 2/5) - (7/9 / 4/9)))
[54041] ['1/9', '1/4', '1/4', '7/8', '5'] -> (5 / (1/9 * (7/8 + (1/4 / 1/4))))
[54042] ['3/8', '7/5', '3/2', '7/4', '4'] -> (3/2 / (3/8 - (7/4 / (7/5 * 4))))
[54043] ['1/9', '1/8', '1/5', '6/5', '7'] -> ((7 - 1/5) / (6/5 * (1/9 + 1/8)))
[54044] ['2/7', '1/2', '1/2', '5/6', '2'] -> (2 / ((1/2 / 2/7) - (5/6 / 1/2)))
[54045] ['2/5', '4/9', '3/4', '4/5', '3'] -> (3 / (4/5 - (3/4 * (2/5 / 4/9))))
[54046] ['3/8', '7/5', '3/2', '9/5', '4'] -> ((7/5 + 9/5) * (4 * (3/8 + 3/2)))
[54047] ['1/9', '1/4', '1/4', '9/8', '5'] -> ((1/4 + (9/8 * (1/9 + 5))) / 1/4)
[54048] ['5/9', '1', '9/8', '7/6', '8/5'] -> ((5/9 * 8/5) / ((7/6 / 9/8) - 1))
[54049] ['1/4', '4/9', '4/5', '3/2', '5'] -> ((4/5 / 3/2) * (5 / (1/4 * 4/9)))
[54050] ['2/5', '4/9', '3/4', '5/6', '3'] -> ((3 / 5/6) / ((2/5 / 4/9) - 3/4))
[54051] ['3/8', '7/5', '3/2', '7/3', '4'] -> (7/3 / (3/8 - (3/2 / (7/5 + 4))))
[54052] ['1/2', '5/7', '7/9', '5/2', '4'] -> (4 / (7/9 * (1/2 - (5/7 / 5/2))))
[54053] ['1/7', '1/6', '7/5', '7/2', '5'] -> ((7/5 * (1/7 + 5)) * (7/2 - 1/6))
[54054] ['1/6', '2/9', '2/9', '8/5', '9'] -> (8/5 * (9 + (2/9 / (1/6 * 2/9))))
[54055] ['1/9', '1/4', '1/4', '6/5', '5'] -> (5 / (6/5 * (1/9 + (1/4 * 1/4))))
[54056] ['1/5', '5/8', '5/6', '8/9', '4'] -> (((5/6 / 5/8) + (4 / 1/5)) / 8/9)
[54057] ['5/9', '1', '9/8', '7/6', '5/2'] -> ((5/2 / (5/9 * 9/8)) / (7/6 - 1))
[54058] ['1/2', '5/7', '7/9', '7/2', '4'] -> ((7/9 * 4) * (5/7 + (7/2 / 1/2)))
[54059] ['1/9', '1/8', '1/5', '8/5', '7'] -> ((7 - 8/5) / (1/5 / (1/9 / 1/8)))
[54060] ['2/5', '4/9', '3/4', '9/8', '3'] -> ((9/8 + (3 / (2/5 * 4/9))) / 3/4)
[54061] ['1/6', '2/9', '2/9', '7/4', '9'] -> (2/9 / (2/9 - ((1/6 + 7/4) / 9)))
[54062] ['1/5', '1/4', '1/3', '4/9', '6'] -> (6 * (1/4 + (1/3 / (1/5 * 4/9))))
[54063] ['1/7', '1/6', '3/2', '3/2', '5'] -> (((3/2 / 1/7) - (3/2 + 5)) / 1/6)
[54064] ['2/7', '1/2', '1/2', '4/3', '2'] -> (2 / ((1/2 + 4/3) - (1/2 / 2/7)))
[54065] ['1/2', '5/7', '7/9', '4', '9/2'] -> (4 * ((9/2 / 7/9) - (1/2 - 5/7)))
[54066] ['1/4', '4/9', '4/5', '5/2', '5'] -> ((4/9 * 5) * (4/5 + (5/2 / 1/4)))
[54067] ['1/9', '1/8', '1/5', '5/3', '7'] -> ((1/5 * 7) / (1/8 - (1/9 / 5/3)))
[54068] ['1/5', '2/7', '3/4', '6/7', '5'] -> (6/7 / ((2/7 + 3/4) - (1/5 * 5)))
[54069] ['1/3', '6/7', '5/4', '5/2', '8'] -> (5/2 * ((1/3 / 5/4) + (8 / 6/7)))
[54070] ['1/6', '2/9', '2/9', '9/2', '9'] -> (((9/2 + (2/9 / 2/9)) / 1/6) - 9)
[54071] ['1/4', '4/9', '4/5', '7/2', '5'] -> ((7/2 - 4/5) * (5 / (1/4 / 4/9)))
[54072] ['2/7', '1/2', '1/2', '3/2', '2'] -> (((3/2 + 2) / (2/7 * 1/2)) - 1/2)
[54073] ['1/7', '1/6', '3/2', '5/3', '5'] -> (((5 + (1/6 - 3/2)) / 1/7) - 5/3)
[54074] ['1/9', '3/5', '8/7', '6/5', '3'] -> (8/7 * (3 + (6/5 / (1/9 * 3/5))))
[54075] ['1/3', '6/7', '5/4', '8/3', '8'] -> ((8/3 * 8) * ((5/4 / 6/7) - 1/3))
[54076] ['1/2', '5/7', '4/5', '7/8', '4'] -> ((1/2 / ((5/7 / 4/5) - 7/8)) - 4)
[54077] ['3/8', '7/5', '8/5', '7/3', '4'] -> ((7/5 / 7/3) / ((8/5 / 4) - 3/8))
[54078] ['1/5', '5/8', '5/6', '9/7', '4'] -> (9/7 * ((4 / 1/5) - (5/6 / 5/8)))
[54079] ['2/7', '1/2', '1/2', '8/5', '2'] -> ((1/2 + (2 / 2/7)) / (1/2 / 8/5))
[54080] ['1/9', '3/5', '8/7', '5/4', '3'] -> (8/7 * ((3 / (1/9 * 5/4)) - 3/5))
[54081] ['1/7', '1/6', '3/2', '9/5', '5'] -> ((3/2 + (1/6 / 1/7)) * (9/5 * 5))
[54082] ['1/9', '1/8', '1/5', '9/4', '7'] -> (9/4 / (1/9 - (1/8 / (1/5 + 7))))
[54083] ['1/9', '2/5', '9/4', '7/3', '4'] -> (((9/4 * 4) - 7/3) / (1/9 / 2/5))
[54084] ['1/6', '2/9', '1/4', '3/7', '9'] -> ((9 / 3/7) + ((1/6 / 2/9) / 1/4))
[54085] ['1/5', '5/8', '5/6', '7/5', '4'] -> (4 / ((5/8 * (1/5 + 7/5)) - 5/6))
[54086] ['1/9', '1/4', '1/4', '9/2', '5'] -> ((1/4 / 1/4) + (9/2 * (1/9 + 5)))
[54087] ['1/7', '1/6', '3/2', '9/4', '5'] -> ((5 / (1/7 * (3/2 - 1/6))) - 9/4)
[54088] ['1/4', '4/9', '5/6', '7/8', '5'] -> (((5/6 / 4/9) - (7/8 - 5)) / 1/4)
[54089] ['2/5', '4/9', '3/4', '3/2', '3'] -> (3/2 + (3 / (3/4 * (2/5 * 4/9))))
[54090] ['1/9', '2/5', '9/4', '7/2', '4'] -> ((7/2 / (1/9 * 9/4)) + (4 / 2/5))
[54091] ['1/9', '1/4', '2/7', '2/7', '5'] -> ((5 / (1/9 / 2/7)) / (1/4 + 2/7))
[54092] ['1/6', '2/9', '1/4', '4/7', '9'] -> (4/7 * ((1/4 / 1/6) + (9 / 2/9)))
[54093] ['3/8', '7/5', '5/3', '9/5', '4'] -> (((7/5 / 3/8) / (9/5 - 5/3)) - 4)
[54094] ['2/7', '1/2', '1/2', '2', '9/4'] -> (2 / ((1/2 / (1/2 - 2/7)) - 9/4))
[54095] ['1/2', '5/7', '4/5', '8/7', '4'] -> ((8/7 + 4) / (5/7 * (4/5 - 1/2)))
[54096] ['5/9', '1', '9/8', '6/5', '4/3'] -> (1 / (4/3 - (5/9 * (9/8 + 6/5))))
[54097] ['1/5', '1/4', '1/3', '7/8', '6'] -> ((6 * ((7/8 / 1/5) - 1/3)) - 1/4)
[54098] ['1/3', '6/7', '9/7', '7/4', '8'] -> ((8 * (9/7 + 7/4)) - (1/3 * 6/7))
[54099] ['1/4', '4/9', '5/6', '9/8', '5'] -> ((5 / 5/6) / ((4/9 * 9/8) - 1/4))
[54100] ['1/2', '5/7', '4/5', '7/6', '4'] -> (4 / ((7/6 * (5/7 * 4/5)) - 1/2))
[54101] ['1/3', '6/7', '9/7', '9/5', '8'] -> (8 * (6/7 + (9/7 / (1/3 * 9/5))))
[54102] ['1/6', '2/9', '1/4', '5/7', '9'] -> ((9 / (1/6 + 2/9)) / (1/4 + 5/7))
[54103] ['3/8', '7/5', '5/3', '7/3', '4'] -> (5/3 * ((7/5 + 7/3) + (4 / 3/8)))
[54104] ['1/9', '1/4', '2/7', '3/8', '5'] -> ((5 - ((1/4 / 2/7) / 3/8)) / 1/9)
[54105] ['1/5', '5/8', '6/7', '7/8', '4'] -> ((6/7 * 7/8) * (4 / (1/5 * 5/8)))
[54106] ['1/2', '5/7', '4/5', '6/5', '4'] -> ((6/5 / (1/2 * (4/5 - 5/7))) - 4)
