[248221] ['1/4', '2/5', '2/3', '1', '8/7'] -> (1 / ((1/4 / 2/5) - (2/3 / 8/7)))
[249555] ['5/9', '5/8', '5/8', '7/4', '6'] -> (6 * (7/4 + ((5/8 + 5/8) / 5/9)))
[249556] ['1/9', '1/9', '1/5', '2/9', '6'] -> ((6 - (1/9 + (1/9 / 1/5))) / 2/9)
[249557] ['8/5', '9/5', '7/3', '7/2', '8'] -> ((8/5 + (9/5 * 8)) / (7/3 / 7/2))
[249558] ['7/8', '9/8', '8/5', '2', '9/4'] -> (9/8 / (2 - ((7/8 + 9/4) / 8/5)))
[249559] ['5/9', '5/8', '5/8', '9/5', '6'] -> (6 / ((5/8 + 5/8) - (5/9 * 9/5)))
[249560] ['2/9', '1/3', '5/7', '7/2', '6'] -> (6 * ((1/3 / 2/9) + (5/7 * 7/2)))
[249561] ['2/9', '4/9', '2/3', '1', '9/7'] -> (2/3 / (2/9 - (4/9 / (1 + 9/7))))
[249562] ['1/9', '2/7', '3/2', '3/2', '2'] -> ((3/2 / 1/9) + (2 / (2/7 / 3/2)))
[249563] ['7/8', '9/8', '8/5', '2', '8/3'] -> (7/8 / ((9/8 / 8/5) + (2 - 8/3)))
[249564] ['2/7', '3/8', '3/5', '8/7', '3'] -> (((8/7 / 2/7) + (3 / 3/5)) / 3/8)
[249565] ['1/9', '1/9', '1/5', '3/8', '6'] -> (6 / (3/8 * (1/9 + (1/9 / 1/5))))
[249566] ['5/9', '5/8', '5/8', '8/3', '6'] -> ((6 - (5/8 / 5/8)) / (5/9 / 8/3))
[249567] ['4/9', '3/5', '8/9', '8/9', '7'] -> (((7 / 3/5) - (8/9 / 8/9)) / 4/9)
[249568] ['1/4', '3/7', '3/7', '1', '9/5'] -> ((3/7 + 1) * (9/5 / (1/4 * 3/7)))
[249569] ['1/8', '4/5', '7/4', '9/2', '9'] -> ((7/4 + (9 / 9/2)) / (1/8 / 4/5))
[249570] ['1/6', '1/5', '3/4', '1', '9/4'] -> ((((1 / 1/6) - 3/4) / 1/5) - 9/4)
[249571] ['5/9', '5/8', '5/8', '7/2', '6'] -> (6 * ((5/8 / 5/9) - (5/8 - 7/2)))
[249572] ['3/8', '5/9', '4/7', '5/2', '9'] -> (3/8 + ((9 + (5/2 / 5/9)) / 4/7))
[249573] ['2/5', '5/7', '4/3', '8/5', '8'] -> ((8/5 + (8 / 5/7)) / (2/5 * 4/3))
[249574] ['1/4', '3/7', '3/7', '1', '5/2'] -> ((3/7 / 1/4) / ((3/7 * 5/2) - 1))
[249575] ['2/7', '3/8', '3/5', '6/5', '3'] -> (6/5 / (2/7 * (3/8 - (3/5 / 3))))
[249576] ['1/8', '4/5', '9/4', '9/4', '9'] -> (9/4 / ((9/4 / 9) - (1/8 / 4/5)))
[249577] ['5/9', '5/8', '5/8', '9/2', '6'] -> (6 * ((5/8 + 9/2) - (5/8 / 5/9)))
[249578] ['1/5', '5/7', '4/5', '6/7', '2'] -> ((4/5 + ((6/7 + 2) / 5/7)) / 1/5)
[249579] ['2/9', '1/3', '3/4', '8/7', '6'] -> (6 / ((1/3 / 3/4) - (2/9 / 8/7)))
[249580] ['1/6', '4/5', '9/4', '7/2', '7'] -> (((7 - 7/2) / (1/6 * 4/5)) - 9/4)
[249581] ['1/9', '2/7', '3/2', '2', '9/4'] -> ((3/2 * 9/4) * (1/9 + (2 / 2/7)))
[249582] ['8/5', '9/4', '9/4', '9/2', '8'] -> ((8/5 / 9/4) * ((9/2 * 8) - 9/4))
[249583] ['1/4', '3/7', '3/7', '1', '8/3'] -> ((8/3 + ((3/7 + 1) / 3/7)) / 1/4)
[249584] ['1/8', '4/5', '9/4', '7/3', '9'] -> ((9 - (9/4 * 7/3)) / (1/8 / 4/5))
[249585] ['2/7', '3/8', '3/5', '5/4', '3'] -> ((3/5 + (3 / (2/7 * 5/4))) / 3/8)
[249586] ['2/9', '1/3', '3/4', '9/7', '6'] -> (6 / (9/7 * (3/4 - (2/9 + 1/3))))
[249587] ['2/5', '5/7', '4/3', '9/4', '8'] -> (9/4 * ((8 / 5/7) - (2/5 * 4/3)))
[249588] ['4/9', '3/5', '8/9', '6/5', '7'] -> (((7 / 4/9) - (6/5 / 8/9)) / 3/5)
[249589] ['2/7', '3/8', '3/5', '9/7', '3'] -> ((3/5 / (2/7 * 3/8)) * (9/7 + 3))
[249590] ['2/9', '4/9', '2/3', '1', '7/3'] -> ((2/9 + 2/3) / ((4/9 * 7/3) - 1))
[249591] ['1/8', '4/5', '9/4', '5/2', '9'] -> (9 / ((1/8 + 9/4) - (4/5 * 5/2)))
[249592] ['1/4', '3/7', '4/9', '4/9', '1'] -> ((4/9 / (4/9 - 3/7)) - (1 / 1/4))
[249593] ['1/6', '4/5', '7/3', '8/3', '7'] -> (8/3 * (7 + (4/5 * (1/6 + 7/3))))
[249594] ['2/5', '5/7', '4/3', '7/2', '8'] -> (8 / (4/3 - (7/2 * (2/5 * 5/7))))
[249595] ['1/8', '4/5', '9/4', '7/2', '9'] -> ((7/2 + (9/4 / 9)) / (1/8 / 4/5))
[249596] ['2/9', '4/9', '2/3', '1', '5/2'] -> (2/3 / (5/2 - (2/9 + (1 / 4/9))))
[249597] ['7/8', '9/8', '7/4', '2', '5/2'] -> ((5/2 + (7/4 * 2)) / (9/8 - 7/8))
[249598] ['1/6', '4/5', '7/3', '7/2', '7'] -> ((7/2 + (7 / (1/6 * 4/5))) / 7/3)
[249599] ['2/5', '5/7', '7/5', '7/5', '8'] -> (((5/7 + 8) * (7/5 + 7/5)) - 2/5)
[249600] ['1/4', '3/7', '4/9', '1/2', '1'] -> ((1 / (3/7 * 1/2)) / (4/9 - 1/4))
[249601] ['3/8', '5/9', '3/5', '4/5', '9'] -> (((4/5 / (3/5 - 5/9)) - 9) / 3/8)
[249602] ['1/8', '4/5', '7/3', '8/3', '9'] -> (9 / ((1/8 - 8/3) + (7/3 / 4/5)))
[249603] ['1/5', '5/7', '4/5', '4/3', '2'] -> ((4/5 + (2 / 5/7)) / (1/5 / 4/3))
[249604] ['2/5', '5/7', '7/5', '5/3', '8'] -> (8 / ((5/7 * 7/5) - (2/5 * 5/3)))
[249605] ['1/6', '1/5', '7/9', '1', '9/8'] -> (1 / ((7/9 * 9/8) - (1/6 / 1/5)))
[249606] ['1/6', '4/5', '5/2', '9/2', '7'] -> ((7 + (5/2 - 9/2)) / (1/6 / 4/5))
[249607] ['7/8', '9/8', '9/5', '9/5', '2'] -> (9/5 / (7/8 - (9/5 / (9/8 * 2))))
[249608] ['1/8', '4/5', '7/3', '9/2', '9'] -> ((9/2 / (1/8 * 4/5)) - (7/3 * 9))
[249609] ['5/9', '5/8', '2/3', '7/6', '6'] -> ((2/3 + 6) / (7/6 - (5/9 / 5/8)))
[249610] ['2/9', '1/3', '7/9', '6/5', '6'] -> ((6 - 6/5) / (2/9 / (1/3 + 7/9)))
[249611] ['8/5', '9/4', '7/2', '9/2', '8'] -> (8/5 * (8 + (9/2 / (9/4 / 7/2))))
[249612] ['4/9', '3/5', '8/9', '7/4', '7'] -> ((7/4 + (8/9 / 4/9)) * (7 - 3/5))
[249613] ['1/4', '3/7', '4/9', '4/7', '1'] -> ((4/7 + (1 / 1/4)) / (3/7 * 4/9))
[249614] ['2/5', '5/7', '7/5', '9/5', '8'] -> ((9/5 * 8) / ((5/7 * 7/5) - 2/5))
[249615] ['8/5', '9/4', '9/2', '9/2', '8'] -> ((8/5 + 8) * (9/2 - (9/2 / 9/4)))
[249616] ['1/6', '4/5', '8/3', '7/2', '7'] -> (4/5 * (((8/3 + 7/2) / 1/6) - 7))
[249617] ['4/9', '3/5', '8/9', '9/5', '7'] -> (((9/5 * 7) - 3/5) / (4/9 / 8/9))
[249618] ['3/8', '5/9', '3/5', '8/7', '9'] -> (3/8 + (9 / (8/7 * (5/9 * 3/5))))
[249619] ['2/9', '4/9', '5/7', '7/9', '1'] -> (2/9 / ((7/9 / (5/7 + 1)) - 4/9))
[249620] ['2/5', '5/7', '7/5', '9/4', '8'] -> ((2/5 / 7/5) + (8 * (5/7 + 9/4)))
[249621] ['1/5', '5/7', '4/5', '5/3', '2'] -> (((1/5 + 2) / (4/5 - 5/7)) - 5/3)
[249622] ['8/5', '7/3', '7/3', '7/3', '8'] -> (8/5 * ((7/3 + 7/3) + (7/3 + 8)))
[249623] ['7/8', '9/8', '9/5', '2', '5/2'] -> (9/5 / (7/8 - (5/2 / (9/8 + 2))))
[249624] ['5/9', '5/8', '2/3', '4/3', '6'] -> ((2/3 + 6) / ((5/8 * 4/3) - 5/9))
[249625] ['4/9', '3/5', '8/9', '9/4', '7'] -> ((7 / (3/5 * (8/9 - 4/9))) - 9/4)
[249626] ['1/4', '3/7', '4/9', '3/5', '1'] -> (((1 / (3/5 - 4/9)) - 3/7) / 1/4)
[249627] ['2/9', '1/3', '7/9', '9/5', '6'] -> (((7/9 * 6) - 2/9) / (1/3 / 9/5))
[249628] ['1/9', '1/9', '1/5', '9/7', '6'] -> (1/9 + ((1/9 + (6 / 9/7)) / 1/5))
[249629] ['2/7', '3/8', '3/5', '9/4', '3'] -> (3/8 + ((3 + (9/4 / 3/5)) / 2/7))
[249630] ['1/8', '4/5', '8/3', '8/3', '9'] -> ((9 - (8/3 + (8/3 / 4/5))) / 1/8)
[249631] ['2/5', '5/7', '7/5', '8/3', '8'] -> (8/3 * ((2/5 / 7/5) + (5/7 + 8)))
[249632] ['7/8', '9/8', '9/5', '2', '9/2'] -> (9/2 / ((9/8 / 9/5) - (7/8 / 2)))
[249633] ['2/7', '3/8', '3/5', '7/3', '3'] -> ((3 / (3/8 - 2/7)) / (3/5 * 7/3))
[249634] ['1/9', '1/9', '1/5', '5/3', '6'] -> ((1/9 + (1/5 * 5/3)) / (1/9 / 6))
[249635] ['4/9', '3/5', '8/9', '5/2', '7'] -> (5/2 * ((3/5 + 7) + (8/9 / 4/9)))
[249636] ['1/4', '3/7', '4/9', '2/3', '1'] -> (2/3 / ((1/4 / 3/7) + (4/9 - 1)))
[249637] ['1/5', '5/7', '4/5', '2', '9/4'] -> (2 / ((1/5 / (4/5 - 5/7)) - 9/4))
[249638] ['5/9', '5/8', '2/3', '7/4', '6'] -> (6 * ((2/3 / 5/9) + (7/4 / 5/8)))
[249639] ['2/9', '1/3', '4/5', '6/7', '6'] -> (((6 / 6/7) - 1/3) / (2/9 / 4/5))
[249640] ['1/6', '1/5', '7/9', '1', '8/5'] -> (8/5 / (1 - (7/9 / (1/6 / 1/5))))
[249641] ['1/6', '5/6', '5/6', '8/9', '7'] -> (7 / (((1/6 + 5/6) / 8/9) - 5/6))
[249642] ['2/9', '4/9', '5/7', '8/9', '1'] -> (8/9 / ((4/9 / (5/7 + 1)) - 2/9))
[249643] ['3/8', '5/9', '3/5', '8/5', '9'] -> (3/5 / ((9 * (5/9 - 3/8)) - 8/5))
[249644] ['1/4', '3/7', '4/9', '5/7', '1'] -> ((1 + (5/7 / 3/7)) / (1/4 * 4/9))
[249645] ['2/7', '3/8', '3/5', '5/2', '3'] -> (((3 / 2/7) - (3/5 * 5/2)) / 3/8)
[249646] ['1/9', '1/9', '1/5', '9/4', '6'] -> (6 / (1/5 * (9/4 - (1/9 / 1/9))))
[249647] ['5/9', '5/8', '2/3', '9/2', '6'] -> (6 / ((5/8 / 9/2) - (5/9 - 2/3)))
[249648] ['8/5', '7/3', '9/2', '9/2', '8'] -> ((9/2 + 9/2) * ((8 / 8/5) - 7/3))
[249649] ['1/8', '4/5', '7/2', '9/2', '9'] -> (4/5 * ((7/2 / 1/8) + (9 / 9/2)))
[249650] ['1/4', '3/7', '4/9', '3/4', '1'] -> ((3/4 + (1 / (3/7 * 4/9))) / 1/4)
[249651] ['2/5', '5/7', '3/2', '8/5', '8'] -> ((2/5 + (3/2 / 5/7)) * (8/5 + 8))
[249652] ['7/8', '9/8', '2', '9/4', '7/2'] -> (2 / (((7/2 - 7/8) / 9/8) - 9/4))
[249653] ['1/5', '5/7', '4/5', '2', '7/2'] -> ((2 + (1/5 / 7/2)) / (4/5 - 5/7))
[249654] ['1/6', '5/6', '5/6', '5/4', '7'] -> (((5/6 * 7) - 5/6) / (1/6 * 5/4))
[249655] ['2/5', '5/7', '3/2', '5/3', '8'] -> ((8 / 2/5) / ((5/3 / 5/7) - 3/2))
[249656] ['1/8', '5/6', '5/6', '5/6', '9'] -> (9 / ((5/6 / (5/6 + 5/6)) - 1/8))
[249657] ['3/8', '5/9', '3/5', '9/4', '9'] -> (9 / ((9/4 * (5/9 * 3/5)) - 3/8))
[249658] ['1/9', '2/7', '5/3', '2', '7/3'] -> (((5/3 * 2) - (2/7 * 7/3)) / 1/9)
[249659] ['7/8', '9/8', '2', '9/4', '9/2'] -> ((2 * 9/2) / (7/8 - (9/8 / 9/4)))
[249660] ['2/7', '3/8', '3/5', '3', '9/2'] -> ((9/2 + (3 / 2/7)) / (3/8 / 3/5))
[249661] ['1/9', '1/9', '1/5', '9/2', '6'] -> (9/2 * (6 - (1/9 + (1/9 / 1/5))))
[249662] ['2/9', '1/3', '4/5', '9/7', '6'] -> ((6 / 9/7) / ((1/3 / 4/5) - 2/9))
[249663] ['1/6', '5/6', '5/6', '7/5', '7'] -> (((7 / 7/5) - (5/6 / 5/6)) / 1/6)
[249664] ['4/9', '3/5', '9/8', '6/5', '7'] -> (((7 / 4/9) - (9/8 * 6/5)) / 3/5)
[249665] ['2/9', '4/9', '5/7', '1', '9/7'] -> ((1 + 9/7) / ((4/9 * 5/7) - 2/9))
[249666] ['1/5', '5/7', '5/6', '6/7', '2'] -> ((6/7 + 2) / (5/6 * (1/5 * 5/7)))
[249667] ['8/5', '7/2', '7/2', '7/2', '8'] -> ((8/5 + 8) * (7/2 - (7/2 / 7/2)))
[249668] ['1/9', '1/9', '2/9', '2/7', '6'] -> ((6 / 2/7) + ((1/9 + 2/9) / 1/9))
[249669] ['1/4', '3/7', '4/9', '7/8', '1'] -> ((1 / (1/4 * 3/7)) / (4/9 * 7/8))
[249670] ['1/6', '1/5', '7/9', '1', '7/2'] -> (((1/6 + 1) + (7/2 / 1/5)) / 7/9)
[249671] ['1/8', '5/6', '5/6', '8/9', '9'] -> (9 + ((5/6 + 5/6) / (1/8 * 8/9)))
[249672] ['2/5', '5/7', '3/2', '7/3', '8'] -> (8 * ((7/3 / 5/7) - (2/5 / 3/2)))
[249673] ['1/6', '5/6', '5/6', '3/2', '7'] -> ((7 - (5/6 / 5/6)) / (1/6 * 3/2))
[249674] ['4/9', '3/5', '9/8', '5/4', '7'] -> ((7 / (4/9 * 5/4)) / (9/8 - 3/5))
[249675] ['1/9', '2/7', '5/3', '2', '8/3'] -> (((2 / 2/7) - (5/3 + 8/3)) / 1/9)
[249676] ['8/5', '7/2', '7/2', '9/2', '8'] -> ((8/5 + 8) * ((7/2 + 7/2) - 9/2))
[249677] ['3/8', '5/9', '3/5', '8/3', '9'] -> ((9 - (3/8 * 8/3)) / (5/9 * 3/5))
[249678] ['1/9', '1/9', '2/9', '3/7', '6'] -> (3/7 * ((2/9 / 1/9) + (6 / 1/9)))
[249679] ['1/6', '1/5', '4/5', '6/7', '1'] -> (4/5 / ((1/5 / 1/6) - (1 / 6/7)))
[249680] ['1/9', '2/7', '5/3', '2', '7/2'] -> (((5/3 + 2) - (2/7 * 7/2)) / 1/9)
[249681] ['7/8', '9/8', '2', '7/2', '7/2'] -> (2 * ((7/8 - 9/8) + (7/2 * 7/2)))
[249682] ['5/9', '5/8', '5/7', '6/7', '6'] -> (6 / ((6/7 / (5/9 / 5/8)) - 5/7))
[249683] ['8/5', '7/2', '9/2', '9/2', '8'] -> ((8/5 + 8) * (7/2 - (9/2 / 9/2)))
[249684] ['1/9', '1/9', '2/9', '4/7', '6'] -> ((1/9 * 6) / (2/9 - (1/9 / 4/7)))
[249685] ['2/9', '1/3', '4/5', '9/4', '6'] -> (((2/9 * 9/4) + (6 / 4/5)) / 1/3)
[249686] ['2/9', '4/9', '5/7', '1', '8/5'] -> (8/5 / (1 - ((2/9 + 4/9) / 5/7)))
[249687] ['1/6', '5/6', '5/6', '9/5', '7'] -> ((7 - (9/5 * (5/6 + 5/6))) / 1/6)
[249688] ['7/8', '9/8', '2', '9/2', '9/2'] -> (9/2 / ((7/8 / 2) - (9/8 / 9/2)))
[249689] ['1/5', '5/7', '5/6', '8/7', '2'] -> ((8/7 / (1/5 * 2)) / (5/6 - 5/7))
[249690] ['1/4', '3/7', '4/9', '1', '9/8'] -> (1 / ((3/7 * (9/8 - 4/9)) - 1/4))
[249691] ['1/9', '1/9', '2/9', '5/8', '6'] -> ((1/9 * 6) / ((2/9 * 5/8) - 1/9))
[249692] ['1/9', '2/7', '7/4', '9/5', '2'] -> ((2 / 7/4) / ((2/7 / 9/5) - 1/9))
[249693] ['2/5', '5/7', '8/5', '9/4', '8'] -> ((2/5 - 8/5) + (8 / (5/7 / 9/4)))
[249694] ['5/3', '5/3', '5/3', '7/4', '8'] -> ((8 * (5/3 + 7/4)) - (5/3 + 5/3))
[249695] ['1/6', '5/6', '5/6', '7/3', '7'] -> (((5/6 / 5/6) + (7 / 7/3)) / 1/6)
[249696] ['4/9', '3/5', '9/8', '5/3', '7'] -> ((7 / (3/5 - 4/9)) / (9/8 * 5/3))
[249697] ['1/8', '5/6', '5/6', '7/5', '9'] -> (((5/6 * 7/5) - 5/6) / (1/8 / 9))
[249698] ['1/5', '5/7', '5/6', '6/5', '2'] -> ((6/5 + (2 / 5/7)) / (1/5 * 5/6))
[249699] ['5/3', '5/3', '5/3', '9/4', '8'] -> (9/4 * ((5/3 / 5/3) + (5/3 + 8)))
[249700] ['7/8', '8/7', '8/7', '7/6', '2'] -> ((8/7 / 8/7) / ((7/8 + 7/6) - 2))
[249701] ['2/5', '5/7', '8/5', '8/3', '8'] -> (8/5 / ((8/3 / (5/7 * 8)) - 2/5))
[249702] ['5/9', '5/8', '5/7', '7/6', '6'] -> (6 / ((5/8 / (5/9 * 7/6)) - 5/7))
[249703] ['3/8', '5/9', '5/8', '4/5', '9'] -> ((9 + (5/8 / 3/8)) / (5/9 * 4/5))
[249704] ['1/4', '3/7', '4/9', '1', '6/5'] -> (1 / (((1/4 / 3/7) / 6/5) - 4/9))
[249705] ['1/8', '5/6', '5/6', '8/5', '9'] -> (9 / ((5/6 * 8/5) - (1/8 + 5/6)))
[249706] ['5/3', '5/3', '5/3', '7/2', '8'] -> (8 * (7/2 - (5/3 / (5/3 + 5/3))))
[249707] ['1/9', '2/7', '7/4', '2', '5/2'] -> ((2 - (2/7 * 7/4)) + (5/2 / 1/9))
[249708] ['1/6', '5/6', '6/7', '6/7', '7'] -> (7 * ((6/7 / (1/6 / 5/6)) - 6/7))
[249709] ['1/9', '1/9', '2/9', '5/6', '6'] -> (2/9 / (((5/6 - 1/9) / 6) - 1/9))
[249710] ['4/9', '3/5', '9/8', '9/5', '7'] -> (((9/5 * 7) - 3/5) / (4/9 * 9/8))
[249711] ['5/3', '5/3', '7/4', '7/4', '8'] -> (8 * ((5/3 * 7/4) - (5/3 - 7/4)))
[249712] ['2/7', '3/8', '5/8', '9/8', '3'] -> (3 / ((2/7 * (5/8 + 9/8)) - 3/8))
[249713] ['1/4', '3/7', '4/9', '1', '5/4'] -> (((5/4 / (1/4 * 3/7)) - 1) / 4/9)
[249714] ['1/8', '5/6', '5/6', '9/5', '9'] -> ((9 / (1/8 * 9/5)) / (5/6 + 5/6))
[249715] ['2/5', '5/7', '5/3', '7/4', '8'] -> (8 / (5/7 - ((2/5 * 5/3) / 7/4)))
[249716] ['2/7', '3/8', '5/8', '7/6', '3'] -> (3 / ((2/7 + 3/8) - (5/8 / 7/6)))
[249717] ['7/8', '8/7', '8/7', '9/7', '2'] -> ((8/7 + (2 / 7/8)) / (9/7 - 8/7))
[249718] ['1/4', '3/7', '4/9', '1', '9/7'] -> ((9/7 + (1 / (1/4 * 4/9))) / 3/7)
[249719] ['5/3', '5/3', '7/4', '5/2', '8'] -> ((5/3 / 5/2) + (8 * (5/3 * 7/4)))
[249720] ['3/8', '5/9', '5/8', '7/6', '9'] -> (9 * ((3/8 + 7/6) + (5/8 / 5/9)))
[249721] ['1/8', '5/6', '5/6', '7/3', '9'] -> ((7/3 * 9) / ((5/6 / 5/6) - 1/8))
[249722] ['1/6', '5/6', '6/7', '6/5', '7'] -> (((6/7 * 7) - 6/5) / (1/6 / 5/6))
[249723] ['2/7', '3/8', '5/8', '6/5', '3'] -> (((6/5 / 2/7) + (3 / 5/8)) / 3/8)
[249724] ['4/9', '3/5', '9/8', '5/2', '7'] -> (((7 + (5/2 / 3/5)) / 4/9) - 9/8)
[249725] ['1/8', '5/6', '5/6', '7/2', '9'] -> ((7/2 * 9) - (5/6 + (5/6 / 1/8)))
[249726] ['1/9', '2/7', '9/5', '2', '7/3'] -> (7/3 * (2/7 + (2 / (1/9 * 9/5))))
[249727] ['1/9', '1/9', '2/9', '9/7', '6'] -> (((6 / 9/7) - (2/9 / 1/9)) / 1/9)
[249728] ['7/8', '8/7', '8/7', '3/2', '2'] -> ((3/2 * 2) / ((8/7 / 8/7) - 7/8))
[249729] ['1/5', '5/7', '5/6', '7/4', '2'] -> ((2 / 1/5) / ((5/7 * 7/4) - 5/6))
[249730] ['2/9', '4/9', '3/4', '4/5', '1'] -> (((2/9 + 1) / (4/5 - 3/4)) - 4/9)
[249731] ['5/3', '5/3', '9/5', '9/5', '8'] -> (9/5 / ((5/3 - 9/5) + (5/3 / 8)))
[249732] ['1/8', '5/6', '6/7', '6/7', '9'] -> ((5/6 * 6/7) / (1/8 - (6/7 / 9)))
[249733] ['1/9', '1/9', '2/9', '8/5', '6'] -> ((1/9 * 6) / ((2/9 / 8/5) - 1/9))
[249734] ['4/9', '3/5', '9/8', '9/2', '7'] -> (((9/2 + 7) / 4/9) - (9/8 / 3/5))
[249735] ['2/7', '3/8', '5/8', '7/5', '3'] -> (3 / (3/8 - (7/5 * (2/7 * 5/8))))
[249736] ['5/3', '5/3', '9/5', '7/3', '8'] -> ((7/3 * (8 + (5/3 * 9/5))) - 5/3)
[249737] ['2/9', '4/9', '3/4', '7/8', '1'] -> ((1 + (4/9 / 2/9)) / (7/8 - 3/4))
[249738] ['1/6', '5/6', '6/7', '8/5', '7'] -> ((8/5 - (6/7 / 5/6)) / (1/6 / 7))
[249739] ['2/5', '5/7', '5/3', '7/2', '8'] -> ((8 / 2/5) / ((5/7 * 7/2) - 5/3))
[249740] ['4/9', '3/5', '8/7', '8/7', '7'] -> (((7 / 3/5) - (8/7 / 8/7)) / 4/9)
[249741] ['1/9', '1/9', '2/9', '7/2', '6'] -> ((7/2 * 6) + ((1/9 + 2/9) / 1/9))
[249742] ['1/8', '5/6', '6/7', '7/6', '9'] -> ((5/6 / 7/6) / (1/8 - (6/7 / 9)))
[249743] ['1/6', '5/6', '6/7', '5/3', '7'] -> (((6/7 * 7) - (5/3 / 5/6)) / 1/6)
[249744] ['5/9', '5/8', '5/7', '9/4', '6'] -> ((9/4 / (5/8 - 5/9)) - (6 / 5/7))
[249745] ['2/9', '4/9', '3/4', '1', '7/6'] -> (1 / (7/6 - (3/4 / (2/9 + 4/9))))
[249746] ['2/9', '1/3', '6/7', '7/5', '6'] -> ((1/3 + (6 / (6/7 * 7/5))) / 2/9)
[249747] ['4/9', '3/5', '8/7', '5/4', '7'] -> ((8/7 / 5/4) * (7 / (4/9 * 3/5)))
[249748] ['1/9', '1/9', '2/7', '2/7', '6'] -> ((2/7 + (6 * (1/9 + 2/7))) / 1/9)
[249749] ['1/5', '5/7', '5/6', '2', '7/2'] -> ((2 / (1/5 * 7/2)) / (5/6 - 5/7))
[249750] ['5/3', '5/3', '9/4', '9/4', '8'] -> ((9/4 * ((5/3 * 8) - 5/3)) - 9/4)
[249751] ['2/9', '4/9', '3/4', '1', '5/4'] -> ((4/9 / 2/9) / ((1 / 3/4) - 5/4))
[249752] ['2/5', '5/7', '7/4', '7/4', '8'] -> (7/4 * ((7/4 * 8) - (2/5 * 5/7)))
[249753] ['1/6', '1/5', '5/6', '1', '7/5'] -> ((5/6 / ((1/6 * 7/5) - 1/5)) - 1)
[249754] ['2/9', '1/3', '6/7', '8/5', '6'] -> (6 / ((1/3 / 6/7) - (2/9 / 8/5)))
[249755] ['1/6', '5/6', '6/7', '9/5', '7'] -> ((6/7 / 9/5) * (7 / (1/6 * 5/6)))
[249756] ['5/3', '5/3', '9/4', '7/3', '8'] -> ((9/4 * 8) * (7/3 - (5/3 / 5/3)))
[249757] ['2/9', '4/9', '3/4', '1', '9/7'] -> ((2/9 + 4/9) / ((1 / 9/7) - 3/4))
[249758] ['1/9', '1/9', '2/7', '3/8', '6'] -> (6 / (1/9 + (2/7 * (1/9 + 3/8))))
[249759] ['5/9', '5/8', '5/7', '8/3', '6'] -> (((8/3 / 5/7) + (6 / 5/8)) / 5/9)
[249760] ['1/5', '5/7', '6/7', '6/7', '2'] -> ((6/7 + 6/7) * (2 / (1/5 * 5/7)))
[249761] ['2/5', '5/7', '7/4', '7/3', '8'] -> ((5/7 * 7/3) * (2/5 + (7/4 * 8)))
[249762] ['4/9', '3/5', '8/7', '4/3', '7'] -> (4/9 + (7 * (8/7 + (4/3 / 3/5))))
[249763] ['1/6', '5/6', '6/7', '9/2', '7'] -> (9/2 * ((1/6 - 5/6) + (6/7 * 7)))
[249764] ['2/7', '3/8', '5/8', '3', '7/2'] -> ((3 / 7/2) / ((2/7 + 3/8) - 5/8))
[249765] ['7/8', '8/7', '7/6', '7/6', '2'] -> (8/7 / ((7/6 + 7/6) - (2 / 7/8)))
[249766] ['1/6', '1/5', '5/6', '1', '9/5'] -> ((((9/5 - 5/6) / 1/6) - 1) / 1/5)
[249767] ['1/9', '1/9', '2/7', '5/9', '6'] -> ((5/9 / (1/9 * 1/9)) - (6 / 2/7))
[249768] ['1/9', '2/7', '2', '7/3', '8/3'] -> (((7/3 * (2/7 + 2)) - 8/3) / 1/9)
[249769] ['5/3', '5/3', '7/3', '9/2', '8'] -> (((5/3 + 7/3) + (9/2 * 8)) / 5/3)
[249770] ['1/8', '5/6', '6/7', '3/2', '9'] -> (((9 / (5/6 + 3/2)) - 6/7) / 1/8)
[249771] ['2/9', '1/3', '6/7', '7/2', '6'] -> (6/7 + (6 / (7/2 * (2/9 * 1/3))))
[249772] ['1/6', '5/6', '7/8', '5/4', '7'] -> (7 / ((7/8 - 5/4) - (1/6 - 5/6)))
[249773] ['1/4', '3/7', '4/9', '1', '9/2'] -> (9/2 / (3/7 * (1 - (1/4 / 4/9))))
[249774] ['5/9', '5/8', '3/4', '3/4', '6'] -> ((6 / 5/9) / ((3/4 / 5/8) - 3/4))
[249775] ['1/8', '5/6', '6/7', '8/5', '9'] -> (9 / ((5/6 / 8/5) - (1/8 / 6/7)))
[249776] ['2/9', '4/9', '3/4', '1', '9/4'] -> ((1 / 3/4) / ((2/9 * 9/4) - 4/9))
[249777] ['3/8', '5/9', '2/3', '9/7', '9'] -> ((5/9 + (2/3 / 3/8)) * (9/7 + 9))
[249778] ['5/3', '7/4', '7/4', '7/4', '8'] -> (8 / (((7/4 + 7/4) / 7/4) - 5/3))
[249779] ['1/6', '5/6', '7/8', '7/5', '7'] -> (7 / (7/5 * (7/8 + (1/6 - 5/6))))
[249780] ['1/9', '1/9', '2/7', '3/4', '6'] -> (6 / (3/4 - (1/9 + (1/9 / 2/7))))
[249781] ['1/5', '5/7', '6/7', '7/6', '2'] -> ((6/7 + (2 / 1/5)) / (7/6 - 5/7))
[249782] ['4/9', '3/5', '8/7', '9/5', '7'] -> (9/5 + (7 * (3/5 + (8/7 / 4/9))))
[249783] ['5/9', '5/8', '3/4', '6/7', '6'] -> (6 / ((5/8 / 5/9) - (3/4 / 6/7)))
