[79786] ['1/7', '5/9', '3/2', '3/2', '5'] -> ((3/2 / 1/7) + (5 / (5/9 / 3/2)))
[82292] ['3/5', '2/3', '5/7', '3/4', '1'] -> ((3/5 + (1 / 5/7)) / (3/4 - 2/3))
[82293] ['1/9', '7/9', '7/3', '5/2', '5'] -> ((1/9 + (7/9 * 5)) / (5/2 - 7/3))
[82294] ['1/8', '3/8', '6/7', '7/6', '3'] -> (6/7 + ((3/8 + 3) / (1/8 * 7/6)))
[82295] ['1/7', '3/5', '5/6', '3/2', '5'] -> (((5 - 3/2) / 1/7) - (3/5 * 5/6))
[82296] ['1/8', '2/7', '4/5', '5/4', '4'] -> (((4/5 * 5/4) / (1/8 * 2/7)) - 4)
[82297] ['3/7', '4/9', '3/4', '3/2', '4'] -> (3/2 / (4 - (3/4 / (3/7 * 4/9))))
[82298] ['3/7', '1/2', '6/5', '5/2', '3'] -> (((6/5 + 3) / (3/7 / 5/2)) - 1/2)
[82299] ['1/9', '6/7', '8/3', '9/2', '6'] -> ((1/9 - (8/3 / 6/7)) + (9/2 * 6))
[82300] ['1/5', '9/8', '3/2', '5/3', '5'] -> (5 / (((3/2 - 9/8) / 1/5) - 5/3))
[82301] ['1/8', '1/6', '3/5', '7/4', '4'] -> ((1/6 * 4) + (7/4 / (1/8 * 3/5)))
[82302] ['4/7', '4/7', '3/5', '8/9', '4'] -> ((4/7 + 4) / (3/5 * (8/9 - 4/7)))
[82303] ['1/9', '6/7', '7/2', '7/2', '6'] -> ((6/7 * (7/2 + (7/2 / 1/9))) - 6)
[82304] ['3/7', '1/2', '6/5', '8/3', '3'] -> ((6/5 * 8/3) * (1/2 + (3 / 3/7)))
[82305] ['1/5', '1/5', '2/9', '5/2', '9'] -> (((9 * (2/9 * 5/2)) - 1/5) / 1/5)
[82306] ['2/7', '3/7', '5/7', '7/4', '5'] -> ((2/7 + (7/4 * (5/7 + 5))) / 3/7)
[82307] ['1/5', '4/7', '3/5', '5/3', '8'] -> (5/3 * ((8 / 4/7) - (1/5 - 3/5)))
[82308] ['1/8', '1/6', '3/5', '8/3', '4'] -> ((4 / ((1/8 / 1/6) - 3/5)) - 8/3)
[82309] ['1/9', '7/9', '8/3', '7/2', '5'] -> ((7/2 * (5 - (7/9 - 8/3))) - 1/9)
[82310] ['3/5', '2/3', '5/7', '6/7', '1'] -> ((5/7 / (3/5 - (2/3 * 6/7))) - 1)
[82311] ['1/8', '2/7', '4/5', '3/2', '4'] -> ((3/2 - 4/5) / (1/8 / (2/7 + 4)))
[82312] ['1/3', '2/5', '6/7', '8/5', '2'] -> ((8/5 * 2) / ((2/5 / 6/7) - 1/3))
[82313] ['1/5', '9/8', '3/2', '5/2', '5'] -> ((3/2 / 5/2) / ((9/8 / 5) - 1/5))
[82314] ['3/7', '4/9', '3/4', '5/3', '4'] -> (((5/3 + (4 / 3/7)) / 4/9) - 3/4)
[82315] ['1/9', '7/8', '7/8', '7/8', '6'] -> (6 + ((7/8 + 7/8) / (1/9 * 7/8)))
[82316] ['2/7', '3/7', '5/7', '9/5', '5'] -> ((3/7 + (5 * (5/7 * 9/5))) / 2/7)
[82317] ['3/7', '1/2', '6/5', '3', '9/2'] -> (9/2 * ((3 / (3/7 * 6/5)) - 1/2))
[82318] ['1/5', '4/7', '3/5', '9/5', '8'] -> ((4/7 + 8) * ((9/5 / 3/5) - 1/5))
[82319] ['1/5', '1/5', '1/4', '1/4', '9'] -> (9 / ((1/4 / (1/5 + 1/5)) - 1/4))
[82320] ['1/9', '4/9', '7/6', '9/5', '7'] -> (4/9 / (1/9 - ((7/6 / 9/5) / 7)))
[82321] ['3/7', '4/9', '3/4', '7/4', '4'] -> (4 / (7/4 * (3/7 - (4/9 * 3/4))))
[82322] ['1/5', '9/8', '3/2', '7/2', '5'] -> (((5 / 1/5) - (3/2 - 7/2)) / 9/8)
[82323] ['1/9', '7/8', '7/8', '8/9', '6'] -> (6 / ((7/8 / (8/9 - 1/9)) - 7/8))
[82324] ['2/7', '3/7', '5/7', '5/2', '5'] -> (5/2 + ((5 + (3/7 + 5/7)) / 2/7))
[82325] ['3/7', '1/2', '5/4', '9/7', '3'] -> (3 / (9/7 - (5/4 * (3/7 + 1/2))))
[82326] ['1/8', '1/6', '5/8', '6/7', '4'] -> (4 * (1/6 + (5/8 / (1/8 * 6/7))))
[82327] ['3/5', '2/3', '5/7', '1', '9/8'] -> (1 / (((9/8 - 2/3) / 5/7) - 3/5))
[82328] ['1/5', '1/5', '1/4', '5/9', '9'] -> (((1/5 / 1/5) + (5/9 * 9)) / 1/4)
[82329] ['3/7', '1/2', '5/4', '4/3', '3'] -> (3 / ((5/4 / (3/7 / 1/2)) - 4/3))
[82330] ['1/9', '4/5', '4/5', '7/8', '5'] -> (5 / (1/9 * (7/8 + (4/5 / 4/5))))
[82331] ['1/9', '4/9', '7/6', '9/4', '7'] -> ((7 / 4/9) - (9/4 - (7/6 / 1/9)))
[82332] ['1/9', '7/8', '7/8', '8/7', '6'] -> (6 + ((7/8 + 7/8) / (1/9 / 8/7)))
[82333] ['1/8', '3/8', '6/7', '8/3', '3'] -> (((3 / 6/7) - 1/8) / (3/8 / 8/3))
[82334] ['2/7', '3/7', '3/4', '3/4', '5'] -> ((5 - 3/7) / (2/7 / (3/4 + 3/4)))
[82335] ['3/5', '2/3', '5/7', '1', '7/6'] -> ((5/7 / (3/5 - (2/3 / 7/6))) - 1)
[82336] ['1/5', '4/7', '3/5', '9/2', '8'] -> ((3/5 / 1/5) / (8 - (9/2 / 4/7)))
[82337] ['1/5', '1/5', '1/4', '4/7', '9'] -> (((4/7 * (9 - 1/4)) - 1/5) / 1/5)
[82338] ['1/9', '7/8', '7/8', '7/6', '6'] -> (7/6 / ((7/8 / 6) - (1/9 * 7/8)))
[82339] ['1/7', '3/5', '5/6', '9/2', '5'] -> ((5/6 + (9/2 / 1/7)) - (5 / 3/5))
[82340] ['3/7', '4/9', '3/4', '7/2', '4'] -> ((3/4 + (3/7 / 4/9)) * (7/2 * 4))
[82341] ['1/5', '9/8', '5/3', '5/3', '5'] -> (5 / (5/3 - (9/8 + (1/5 * 5/3))))
[82342] ['1/9', '4/9', '6/5', '5/4', '7'] -> ((5/4 * (1/9 + 7)) / (4/9 / 6/5))
[82343] ['4/7', '4/7', '3/5', '9/5', '4'] -> ((4/7 + 4) * (9/5 / (4/7 * 3/5)))
[82344] ['1/7', '3/5', '6/7', '6/7', '5'] -> ((6/7 + (5 * (3/5 * 6/7))) / 1/7)
[82345] ['2/7', '3/7', '3/4', '4/5', '5'] -> ((4/5 + (3/7 / 3/4)) / (2/7 / 5))
[82346] ['1/9', '7/8', '7/8', '6/5', '6'] -> ((7/8 / ((7/8 / 6) - 1/9)) - 6/5)
[82347] ['1/5', '1/5', '1/4', '7/9', '9'] -> (((7/9 * 9) - (1/5 / 1/5)) / 1/4)
[82348] ['1/8', '1/6', '2/3', '5/7', '4'] -> (((1/6 / 1/8) / (5/7 - 2/3)) - 4)
[82349] ['1/8', '2/7', '4/5', '7/2', '4'] -> (7/2 * (4 + (2/7 / (1/8 * 4/5))))
[82350] ['1/3', '2/5', '6/7', '2', '8/3'] -> ((6/7 + 2) * (2/5 + (8/3 / 1/3)))
[82351] ['1/9', '4/9', '6/5', '9/7', '7'] -> (((9/7 * 7) - 1/9) / (4/9 / 6/5))
[82352] ['4/7', '4/7', '3/5', '9/4', '4'] -> (((4 / 3/5) - 4/7) / (4/7 / 9/4))
[82353] ['1/5', '9/8', '5/3', '9/4', '5'] -> ((9/8 * ((5 / 1/5) - 5/3)) - 9/4)
[82354] ['1/9', '4/5', '4/5', '9/7', '5'] -> (5 * ((4/5 / (1/9 * 9/7)) - 4/5))
[82355] ['1/9', '7/8', '7/8', '5/4', '6'] -> (6 / (1/9 * (5/4 + (7/8 / 7/8))))
[82356] ['1/5', '1/5', '1/4', '5/6', '9'] -> ((1/5 + 9) / (5/6 - (1/5 + 1/4)))
[82357] ['3/5', '2/3', '5/4', '7/3', '3'] -> (2/3 / ((7/3 / 3) - (3/5 * 5/4)))
[82358] ['1/9', '4/9', '6/5', '4/3', '7'] -> (6/5 * ((4/3 / (1/9 * 4/9)) - 7))
[82359] ['1/7', '3/5', '6/7', '8/7', '5'] -> ((3/5 * 8/7) / ((6/7 / 5) - 1/7))
[82360] ['2/7', '3/7', '3/4', '7/8', '5'] -> (5 / (((3/4 - 2/7) / 3/7) - 7/8))
[82361] ['3/5', '2/3', '5/7', '1', '7/5'] -> ((3/5 + 1) / (7/5 * (5/7 - 2/3)))
[82362] ['1/8', '2/7', '5/6', '5/6', '4'] -> (((5/6 / 5/6) / (1/8 * 2/7)) - 4)
[82363] ['3/7', '1/2', '5/4', '8/3', '3'] -> ((3 / 1/2) / ((5/4 / 3/7) - 8/3))
[82364] ['1/9', '4/5', '4/5', '7/5', '5'] -> (((4/5 + 7/5) / 1/9) - (4/5 - 5))
[82365] ['1/9', '4/9', '6/5', '8/5', '7'] -> ((8/5 / (1/9 * 4/9)) - (6/5 * 7))
[82366] ['1/5', '4/7', '5/8', '5/6', '8'] -> (8 / (5/8 - (5/6 * (1/5 / 4/7))))
[82367] ['1/7', '3/5', '6/7', '7/6', '5'] -> ((6/7 + (5 * (3/5 / 7/6))) / 1/7)
[82368] ['1/8', '2/7', '5/6', '7/8', '4'] -> (4 / (2/7 - ((1/8 * 5/6) / 7/8)))
[82369] ['1/5', '9/8', '5/3', '7/2', '5'] -> (5 / ((5/3 * 7/2) - (9/8 / 1/5)))
[82370] ['3/7', '4/9', '7/9', '7/8', '4'] -> (4 / (3/7 * (7/9 - (4/9 * 7/8))))
[82371] ['1/8', '3/8', '8/9', '7/6', '3'] -> ((3 + (7/6 / 1/8)) / (8/9 - 3/8))
[82372] ['1/5', '1/5', '1/4', '8/9', '9'] -> (((9 * (8/9 - 1/5)) - 1/5) / 1/4)
[82373] ['1/9', '7/8', '7/8', '3/2', '6'] -> ((3/2 / 1/9) + (6 * (7/8 + 7/8)))
[82374] ['1/7', '3/5', '6/7', '5/4', '5'] -> (6/7 / ((3/5 * 5/4) - (1/7 * 5)))
[82375] ['1/5', '9/8', '5/3', '9/2', '5'] -> ((1/5 * 5/3) / (9/8 - (5 / 9/2)))
[82376] ['3/5', '2/3', '5/4', '3', '9/2'] -> ((5/4 * 9/2) * (3 + (3/5 + 2/3)))
[82377] ['3/7', '1/2', '9/7', '7/4', '3'] -> ((3/7 / 1/2) / ((9/7 + 7/4) - 3))
[82378] ['3/7', '4/9', '7/9', '8/7', '4'] -> (4 / (3/7 * (7/9 - (4/9 / 8/7))))
[82379] ['1/3', '2/5', '7/8', '9/8', '2'] -> (2 * ((7/8 / (2/5 - 1/3)) - 9/8))
[82380] ['1/9', '7/8', '7/8', '8/5', '6'] -> (8/5 * (6 + (7/8 / (1/9 * 7/8))))
[82381] ['4/7', '4/7', '3/5', '4', '9/2'] -> ((4 - (4/7 / 3/5)) / (4/7 / 9/2))
[82382] ['1/5', '1/5', '1/4', '8/7', '9'] -> ((1/5 * 9) / (1/4 - (1/5 / 8/7)))
[82383] ['1/7', '3/5', '6/7', '4/3', '5'] -> ((6/7 * 4/3) * (5 / (1/7 / 3/5)))
[82384] ['2/7', '3/7', '3/4', '7/5', '5'] -> ((3/7 + 7/5) * (5 / (2/7 / 3/4)))
[82385] ['1/5', '1/5', '1/4', '6/5', '9'] -> ((9 - (6/5 / (1/5 + 1/5))) / 1/4)
[82386] ['3/7', '4/9', '7/9', '6/5', '4'] -> (4 / (4/9 - ((3/7 * 7/9) / 6/5)))
[82387] ['1/8', '2/7', '5/6', '6/5', '4'] -> (((5/6 * 6/5) / (1/8 * 2/7)) - 4)
[82388] ['1/3', '2/5', '7/8', '7/6', '2'] -> (2 / ((1/3 / 2/5) - (7/8 / 7/6)))
[82389] ['1/7', '3/5', '6/7', '3/2', '5'] -> (((6/7 * 3/2) - 3/5) / (1/7 / 5))
[82390] ['1/5', '1/5', '1/4', '9/7', '9'] -> (((9 / 9/7) - (1/5 / 1/5)) / 1/4)
[82391] ['4/7', '4/7', '5/8', '2/3', '4'] -> (4 / ((4/7 * (5/8 + 2/3)) - 4/7))
[82392] ['3/5', '2/3', '5/7', '1', '7/3'] -> (((5/7 * 7/3) / (2/3 - 3/5)) - 1)
[82393] ['3/5', '2/3', '9/7', '7/5', '3'] -> (((9/7 * 7/5) / (2/3 - 3/5)) - 3)
[82394] ['1/3', '2/5', '7/8', '6/5', '2'] -> ((2/5 / 2) / ((1/3 + 7/8) - 6/5))
[82395] ['1/9', '4/9', '6/5', '8/3', '7'] -> ((7 / (1/9 + (4/9 / 8/3))) - 6/5)
[82396] ['3/7', '4/9', '7/9', '5/4', '4'] -> (5/4 + ((7/9 + (4 / 3/7)) / 4/9))
[82397] ['1/7', '3/5', '6/7', '7/4', '5'] -> ((6/7 / 1/7) / (3/5 - (7/4 / 5)))
[82398] ['1/9', '7/8', '7/8', '7/2', '6'] -> (6 + (7/2 / (1/9 * (7/8 + 7/8))))
[82399] ['1/5', '9/8', '7/4', '5/2', '5'] -> (9/8 + (5 * (1/5 + (7/4 * 5/2))))
[82400] ['3/5', '2/3', '9/7', '8/5', '3'] -> ((8/5 * 3) / (2/3 - (3/5 / 9/7)))
[82401] ['2/7', '3/7', '3/4', '9/5', '5'] -> ((5 * (3/7 + 9/5)) / (3/4 - 2/7))
[82402] ['4/7', '4/7', '5/8', '7/9', '4'] -> (4 / (7/9 * (4/7 - (4/7 * 5/8))))
[82403] ['3/7', '4/9', '7/9', '9/7', '4'] -> (((4 / (4/9 * 7/9)) - 9/7) / 3/7)
[82404] ['1/8', '2/7', '5/6', '4/3', '4'] -> (((4/3 + (5/6 / 1/8)) / 2/7) - 4)
[82405] ['1/5', '4/7', '5/8', '4/3', '8'] -> ((4/7 + 4/3) * ((8 / 5/8) - 1/5))
[82406] ['1/9', '7/8', '8/9', '8/9', '6'] -> (6 / (((1/9 + 8/9) / 8/9) - 7/8))
[82407] ['1/7', '3/5', '6/7', '9/4', '5'] -> (6/7 / ((5 * (3/5 - 1/7)) - 9/4))
[82408] ['1/5', '9/8', '7/4', '8/3', '5'] -> (8/3 / ((7/4 / (9/8 * 5)) - 1/5))
[82409] ['1/8', '2/7', '5/6', '7/5', '4'] -> ((4 - (2/7 * 7/5)) / (1/8 / 5/6))
[82410] ['3/7', '1/2', '4/3', '7/4', '3'] -> ((3 / 7/4) / ((3/7 * 4/3) - 1/2))
[82411] ['4/7', '4/7', '5/8', '6/7', '4'] -> ((6/7 / (4/7 * (5/8 - 4/7))) - 4)
[82412] ['1/9', '4/5', '5/6', '8/7', '5'] -> (((5 * (4/5 / 8/7)) - 5/6) / 1/9)
[82413] ['1/8', '2/7', '5/6', '3/2', '4'] -> ((3/2 / (1/8 / 5/6)) + (4 / 2/7))
[82414] ['3/5', '2/3', '3/4', '7/9', '1'] -> (2/3 / (1 - (7/9 / (3/5 / 3/4))))
[82415] ['1/7', '3/5', '6/7', '5/2', '5'] -> (((6/7 / 3/5) + (5 / 5/2)) / 1/7)
[82416] ['2/7', '3/7', '7/9', '7/9', '5'] -> ((5 + (3/7 * 7/9)) / (2/7 * 7/9))
[82417] ['1/9', '4/9', '5/4', '3/2', '7'] -> ((7 / (3/2 - 5/4)) - (4/9 / 1/9))
[82418] ['1/9', '7/8', '8/9', '9/7', '6'] -> (6 / (7/8 * (9/7 - (1/9 + 8/9))))
[82419] ['1/3', '2/5', '7/8', '2', '9/4'] -> (((7/8 * 2) / (2/5 - 1/3)) - 9/4)
[82420] ['3/7', '4/9', '7/9', '9/5', '4'] -> ((4/9 + 4) * (9/5 / (3/7 * 7/9)))
[82421] ['1/5', '4/7', '5/8', '7/4', '8'] -> ((8 / (1/5 / 5/8)) - (4/7 * 7/4))
[82422] ['1/5', '1/5', '2/7', '5/9', '9'] -> (1/5 + ((1/5 + 5/9) / (2/7 / 9)))
[82423] ['1/7', '3/5', '6/7', '9/2', '5'] -> ((9/2 / (1/7 / 6/7)) - (3/5 * 5))
[82424] ['3/5', '2/3', '3/4', '8/9', '1'] -> (2/3 / ((1 / 3/5) - (3/4 + 8/9)))
[82425] ['1/9', '7/8', '8/9', '4/3', '6'] -> ((1/9 + (4/3 / 6)) / (8/9 - 7/8))
[82426] ['1/5', '4/7', '5/8', '9/5', '8'] -> ((8 / (4/7 * 5/8)) - (1/5 - 9/5))
[82427] ['2/7', '3/7', '7/9', '5/6', '5'] -> (3/7 + ((5/6 + (5 / 2/7)) / 7/9))
[82428] ['1/5', '9/8', '9/5', '5/2', '5'] -> (9/5 / (((5/2 - 9/8) / 5) - 1/5))
[82429] ['3/7', '4/9', '7/9', '5/2', '4'] -> (4/9 / (((5/2 - 7/9) / 3/7) - 4))
[82430] ['1/5', '1/5', '2/7', '5/8', '9'] -> ((1/5 * 9) / ((1/5 / 2/7) - 5/8))
[82431] ['3/7', '1/2', '7/5', '7/4', '3'] -> (3 / (7/4 * (3/7 - (1/2 / 7/5))))
[82432] ['1/9', '7/8', '8/9', '3/2', '6'] -> ((6 + (8/9 / 1/9)) / (7/8 / 3/2))
[82433] ['2/7', '3/7', '7/9', '7/8', '5'] -> (((5 / 7/9) - 3/7) / (2/7 * 7/8))
[82434] ['1/9', '4/9', '5/4', '5/2', '7'] -> (5/2 * ((4/9 / 1/9) + (7 / 5/4)))
[82435] ['4/7', '4/7', '5/8', '9/7', '4'] -> ((9/7 * 4) / (4/7 - (4/7 * 5/8)))
[82436] ['1/9', '4/5', '5/6', '7/4', '5'] -> ((5/6 + 5) / (7/4 * (1/9 / 4/5)))
[82437] ['1/7', '3/5', '7/8', '8/7', '5'] -> ((3/5 * 5) / (8/7 - (1/7 + 7/8)))
[82438] ['1/5', '1/5', '2/7', '5/7', '9'] -> (((5/7 + 9) / (1/5 + 1/5)) - 2/7)
[82439] ['3/5', '2/3', '3/4', '1', '9/7'] -> (2/3 / (1 - (3/4 / (3/5 * 9/7))))
[82440] ['2/7', '3/7', '7/9', '8/9', '5'] -> (5 / ((7/9 / 8/9) - (2/7 / 3/7)))
[82441] ['3/7', '1/2', '7/5', '7/3', '3'] -> ((7/5 + 7/3) * (3/7 + (3 / 1/2)))
[82442] ['1/9', '4/5', '5/6', '9/4', '5'] -> ((5 - (4/5 * 9/4)) / (1/9 / 5/6))
[82443] ['1/3', '2/5', '8/9', '8/9', '2'] -> (8/9 / ((8/9 / (2/5 + 2)) - 1/3))
[82444] ['2/7', '3/7', '7/9', '8/7', '5'] -> (((5 / 7/9) - 3/7) / (2/7 / 8/7))
[82445] ['1/7', '3/5', '7/8', '5/4', '5'] -> (3/5 / (5/4 - (7/8 / (1/7 * 5))))
[82446] ['1/9', '4/9', '9/7', '3/2', '7'] -> ((9/7 / 3/2) * (7 / (1/9 / 4/9)))
[82447] ['1/5', '9/8', '9/4', '8/3', '5'] -> ((8/3 * 5) * ((9/4 / 9/8) - 1/5))
[82448] ['3/7', '1/2', '7/5', '8/3', '3'] -> ((7/5 * 8/3) * (3/7 + (3 / 1/2)))
[82449] ['1/3', '2/5', '8/9', '9/8', '2'] -> (1/3 / (9/8 - (8/9 / (2/5 * 2))))
[82450] ['3/5', '2/3', '3/4', '1', '5/3'] -> ((1 + (3/5 * 5/3)) / (3/4 - 2/3))
[82451] ['1/5', '1/5', '2/7', '4/5', '9'] -> (9 + ((1/5 + (4/5 / 2/7)) / 1/5))
[82452] ['2/7', '3/7', '7/9', '7/6', '5'] -> ((7/6 / (2/7 * 7/9)) * (5 - 3/7))
[82453] ['1/9', '4/9', '9/7', '8/5', '7'] -> ((9/7 * 7) / (4/9 - (1/9 / 8/5)))
[82454] ['1/5', '9/8', '9/4', '7/2', '5'] -> (((5 + (9/8 / 9/4)) / 1/5) - 7/2)
[82455] ['1/9', '7/8', '9/8', '9/8', '6'] -> ((6 / (1/9 * 9/8)) / (7/8 + 9/8))
[82456] ['1/5', '1/5', '2/7', '5/6', '9'] -> (9 * (((1/5 / 1/5) / 2/7) - 5/6))
[82457] ['1/9', '4/9', '9/7', '5/3', '7'] -> ((5/3 - (1/9 * 9/7)) / (4/9 / 7))
[82458] ['1/3', '2/5', '8/9', '7/6', '2'] -> (2 / ((7/6 * (1/3 / 2/5)) - 8/9))
[82459] ['1/9', '4/5', '6/7', '8/9', '5'] -> (((4/5 * 5) - 8/9) / (1/9 / 6/7))
[82460] ['4/7', '4/7', '5/8', '9/4', '4'] -> ((9/4 * 4) / ((4/7 / 4/7) - 5/8))
[82461] ['3/5', '2/3', '3/4', '1', '7/3'] -> ((3/5 / (3/4 - 2/3)) * (1 + 7/3))
[82462] ['1/3', '2/5', '8/9', '6/5', '2'] -> ((6/5 / 2) / (2/5 - (1/3 / 8/9)))
[82463] ['3/5', '2/3', '7/5', '7/4', '3'] -> ((3/5 + 7/5) / (2/3 - (7/4 / 3)))
[82464] ['1/9', '4/9', '9/7', '7/4', '7'] -> (((7 / (9/7 * 7/4)) - 4/9) / 1/9)
[82465] ['1/5', '9/8', '7/3', '5/2', '5'] -> (5 / ((7/3 * 5/2) - (9/8 / 1/5)))
[82466] ['3/5', '2/3', '7/5', '9/5', '3'] -> ((7/5 + 9/5) * (3 / (3/5 * 2/3)))
[82467] ['1/7', '3/5', '7/8', '8/5', '5'] -> ((((5 - 3/5) / 7/8) - 8/5) / 1/7)
[82468] ['1/8', '2/7', '6/7', '9/5', '4'] -> (9/5 / ((6/7 / (2/7 + 4)) - 1/8))
[82469] ['4/7', '4/7', '5/8', '7/2', '4'] -> (((4/7 / 4/7) + (7/2 * 4)) / 5/8)
[82470] ['1/5', '4/7', '2/3', '6/7', '8'] -> (((4/7 / 1/5) - 6/7) / (2/3 / 8))
[82471] ['1/5', '1/5', '2/7', '6/5', '9'] -> ((9 / 1/5) - (6/5 / (1/5 * 2/7)))
[82472] ['2/7', '3/7', '7/9', '7/5', '5'] -> (((7/5 / 7/9) - 3/7) / (2/7 / 5))
[82473] ['1/5', '9/8', '7/3', '9/2', '5'] -> (5 / (1/5 * (9/2 - (9/8 + 7/3))))
[82474] ['4/7', '4/7', '5/8', '4', '9/2'] -> (4/7 + ((4/7 + 4) * (5/8 + 9/2)))
[82475] ['1/9', '4/9', '9/7', '9/4', '7'] -> (7 * ((4/9 / 1/9) - (9/7 / 9/4)))
[82476] ['1/3', '2/5', '8/9', '4/3', '2'] -> (2 * ((8/9 / (2/5 - 1/3)) - 4/3))
[82477] ['3/5', '2/3', '7/5', '5/2', '3'] -> ((7/5 + (3 / 3/5)) / (2/3 / 5/2))
[82478] ['1/7', '3/5', '7/8', '7/4', '5'] -> ((5 / (1/7 / 3/5)) / (7/4 - 7/8))
[82479] ['3/7', '4/9', '4/5', '5/4', '4'] -> (((4 / 3/7) - 4/5) / (4/9 / 5/4))
[82480] ['4/7', '4/7', '2/3', '4/5', '4'] -> (4 / ((4/7 / 4/7) - (2/3 / 4/5)))
[82481] ['2/7', '3/7', '7/9', '3/2', '5'] -> (((3/2 + (5 / 2/7)) / 7/9) - 3/7)
[82482] ['1/9', '7/8', '9/8', '3/2', '6'] -> ((6 - (7/8 + 9/8)) / (1/9 * 3/2))
[82483] ['1/9', '4/9', '9/7', '5/2', '7'] -> (((1/9 + 9/7) * (5/2 * 7)) - 4/9)
[82484] ['1/3', '2/5', '8/9', '3/2', '2'] -> (2 / (3/2 * (8/9 - (1/3 / 2/5))))
[82485] ['3/7', '1/2', '8/5', '5/3', '3'] -> (3 / ((1/2 / 3/7) - (5/3 / 8/5)))
[82486] ['3/5', '2/3', '7/5', '3', '7/2'] -> ((3/5 + (7/2 * (7/5 + 3))) / 2/3)
[82487] ['4/7', '4/7', '2/3', '8/9', '4'] -> ((2/3 * 4) / ((4/7 / 4/7) - 8/9))
[82488] ['1/9', '4/5', '6/7', '9/7', '5'] -> ((6/7 / 9/7) * (5 / (1/9 / 4/5)))
[82489] ['1/9', '4/9', '9/7', '8/3', '7'] -> (9/7 * (8/3 + ((1/9 + 7) / 4/9)))
[82490] ['3/5', '2/3', '7/9', '7/8', '1'] -> ((2/3 + (1 / 3/5)) / (7/8 - 7/9))
[82491] ['1/5', '9/8', '5/2', '9/2', '5'] -> (((5 / 1/5) - (5/2 - 9/2)) / 9/8)
[82492] ['1/3', '2/5', '8/9', '7/4', '2'] -> ((7/4 / (2/5 - 1/3)) - (2 / 8/9))
[82493] ['1/5', '1/5', '2/7', '3/2', '9'] -> (((9 * (1/5 / 2/7)) - 3/2) / 1/5)
[82494] ['3/7', '1/2', '8/5', '9/5', '3'] -> (8/5 + ((9/5 + 3) / (3/7 * 1/2)))
[82495] ['1/8', '2/7', '7/8', '6/5', '4'] -> (4 / (2/7 - ((1/8 / 7/8) / 6/5)))
[82496] ['4/7', '4/7', '2/3', '7/6', '4'] -> ((2/3 / (7/6 - (4/7 + 4/7))) - 4)
[82497] ['3/7', '4/9', '4/5', '7/5', '4'] -> ((4 + (4/5 / 7/5)) / (3/7 * 4/9))
[82498] ['1/9', '7/8', '9/8', '7/2', '6'] -> (6 * (1/9 + ((7/8 + 7/2) / 9/8)))
[82499] ['1/5', '4/7', '2/3', '5/4', '8'] -> ((8 / (4/7 * 5/4)) / (2/3 - 1/5))
[82500] ['3/5', '2/3', '7/9', '8/9', '1'] -> (((7/9 + 8/9) / (2/3 - 3/5)) - 1)
[82501] ['1/3', '2/5', '8/9', '2', '9/4'] -> ((1/3 * 2) / (9/4 - (8/9 / 2/5)))
[82502] ['3/7', '1/2', '8/5', '9/4', '3'] -> ((3 / (8/5 * (1/2 - 3/7))) - 9/4)
[82503] ['1/9', '4/5', '6/7', '7/5', '5'] -> ((5 - (7/5 + (4/5 / 6/7))) / 1/9)
[82504] ['1/8', '3/8', '6/5', '7/4', '3'] -> (6/5 * (3 + ((3/8 + 7/4) / 1/8)))
[82505] ['1/9', '7/8', '8/7', '8/7', '6'] -> (6 + ((8/7 + 8/7) / (1/9 / 7/8)))
[82506] ['1/5', '1/5', '2/7', '5/3', '9'] -> ((1/5 + 5/3) * (9 / (1/5 / 2/7)))
[82507] ['1/3', '2/5', '8/9', '2', '7/3'] -> (7/3 + ((8/9 + 2) / (1/3 * 2/5)))
[82508] ['1/5', '9/8', '8/3', '9/2', '5'] -> (9/8 + (5 * (9/2 + (1/5 / 8/3))))
[82509] ['1/7', '3/5', '7/8', '7/2', '5'] -> ((3/5 / 1/7) / (7/8 - (7/2 / 5)))
[82510] ['1/8', '2/7', '7/8', '7/5', '4'] -> ((2/7 + 4) * ((7/8 / 1/8) - 7/5))
[82511] ['1/9', '7/8', '8/7', '7/6', '6'] -> (7/6 / ((7/8 / 6) - (1/9 / 8/7)))
[82512] ['4/7', '4/7', '2/3', '5/3', '4'] -> (4 / (5/3 - ((4/7 / 4/7) / 2/3)))
[82513] ['1/3', '2/5', '8/9', '2', '7/2'] -> ((7/2 / (1/3 * 2/5)) - (2 / 8/9))
[82514] ['1/8', '2/7', '7/8', '8/5', '4'] -> (8/5 * ((1/8 + 7/8) + (4 / 2/7)))
[82515] ['3/7', '4/9', '4/5', '5/3', '4'] -> (((4/5 * 5/3) + (4 / 3/7)) / 4/9)
[82516] ['3/5', '2/3', '3/2', '8/3', '3'] -> (8/3 * (3/2 + (3 / (3/5 * 2/3))))
[82517] ['1/5', '4/7', '2/3', '7/4', '8'] -> (8 / (1/5 * (2/3 + (4/7 * 7/4))))
[82518] ['3/7', '1/2', '8/5', '3', '7/2'] -> (3 / ((3/7 / 8/5) - (1/2 / 7/2)))
[82519] ['3/5', '2/3', '7/9', '1', '6/5'] -> (2/3 / (7/9 - (6/5 / (3/5 + 1))))
[82520] ['1/9', '4/5', '6/7', '7/4', '5'] -> ((5 / (1/9 / 4/5)) / (6/7 * 7/4))
