[292546] ['4/9', '5/6', '6/5', '5/2', '8'] -> ((8 / 6/5) / ((4/9 * 5/2) - 5/6))
[295206] ['1/9', '4/7', '5/8', '1', '3/2'] -> ((3/2 / (1/9 * 4/7)) - (5/8 - 1))
[295207] ['1/7', '2/5', '1/2', '2/3', '8'] -> (2/3 + (8 / (1/7 + (2/5 * 1/2))))
[295208] ['4/9', '8/7', '7/6', '9/7', '8'] -> (((9/7 * 8) - 8/7) / (4/9 / 7/6))
[295209] ['3/7', '1/2', '4/7', '3/5', '5'] -> ((4/7 * 3/5) * (5 / (1/2 - 3/7)))
[295210] ['5/7', '3/4', '1', '7/6', '8/3'] -> (8/3 / ((7/6 * (5/7 / 3/4)) - 1))
[295211] ['3/7', '1/2', '4/7', '4/5', '5'] -> ((5 * (3/7 * 4/5)) / (4/7 - 1/2))
[295212] ['2/7', '6/7', '7/6', '7/4', '9'] -> ((6/7 + (9 * (7/6 / 7/4))) / 2/7)
[295213] ['4/9', '8/7', '7/6', '5/3', '8'] -> (5/3 + (7/6 * (8/7 + (8 / 4/9))))
[295214] ['3/7', '1/2', '4/7', '8/9', '5'] -> ((4/7 * 5) / (1/2 - (3/7 * 8/9)))
[295215] ['2/7', '3/5', '1', '6/5', '6/5'] -> ((3/5 + (6/5 / 2/7)) / (6/5 - 1))
[295216] ['1/4', '8/7', '7/6', '9/2', '6'] -> (((8/7 + 7/6) * (9/2 + 6)) - 1/4)
[295217] ['1/6', '6/7', '9/8', '3', '9/2'] -> (3 / ((9/8 / (6/7 * 9/2)) - 1/6))
[295218] ['7/9', '5/4', '8/5', '9/5', '7'] -> ((7 + (7/9 * 9/5)) / (8/5 - 5/4))
[295219] ['5/9', '5/9', '9/5', '8/3', '7'] -> (8/3 * (7 + (9/5 * (5/9 + 5/9))))
[295220] ['1/9', '5/7', '7/5', '5/3', '8'] -> ((5/3 / 1/9) + (8 + (5/7 * 7/5)))
[295221] ['1/7', '1/3', '4/9', '2', '5/2'] -> ((2 / (1/7 * 4/9)) - (5/2 / 1/3))
[295222] ['3/7', '1/2', '4/7', '9/8', '5'] -> ((4/7 * 5) / (1/2 - (3/7 / 9/8)))
[295223] ['3/7', '5/8', '3/4', '9/2', '9'] -> (((9 / 3/7) - (9/2 / 3/4)) / 5/8)
[295224] ['5/7', '3/4', '1', '6/5', '4/3'] -> ((6/5 / 3/4) / ((1 / 5/7) - 4/3))
[295225] ['1/6', '6/7', '8/7', '7/6', '3'] -> ((8/7 * 3) / (7/6 - (1/6 + 6/7)))
[295226] ['3/7', '1/2', '4/7', '5/4', '5'] -> ((5 * (3/7 / 5/4)) / (4/7 - 1/2))
[295227] ['3/7', '5/8', '7/9', '7/9', '9'] -> ((7/9 * 9) / (5/8 - (3/7 * 7/9)))
[295228] ['2/7', '6/7', '6/5', '9/7', '9'] -> ((9/7 + 9) / ((6/7 / 6/5) - 2/7))
[295229] ['7/9', '5/4', '8/5', '7/3', '7'] -> ((8/5 / (7/9 / 5/4)) * (7/3 + 7))
[295230] ['1/7', '2/5', '1/2', '7/6', '8'] -> (1/2 + (7/6 * (1/7 + (8 / 2/5))))
[295231] ['1/8', '3/8', '6/7', '2', '5/2'] -> (2 / ((3/8 / 1/8) - (5/2 / 6/7)))
[295232] ['1/4', '8/7', '6/5', '3/2', '6'] -> ((3/2 / (1/4 - (8/7 / 6))) - 6/5)
[295233] ['1/7', '1/3', '1/2', '5/9', '2'] -> (((2 / 1/7) - (1/3 / 1/2)) / 5/9)
[295234] ['3/7', '1/2', '4/7', '7/5', '5'] -> ((7/5 + (3/7 + 4/7)) / (1/2 / 5))
[295235] ['1/9', '5/7', '7/5', '9/4', '8'] -> (8 / (((5/7 * 7/5) / 9/4) - 1/9))
[295236] ['1/7', '2/5', '1/2', '9/7', '8'] -> ((2/5 + 8) / (1/2 / (1/7 + 9/7)))
[295237] ['5/7', '3/4', '1', '6/5', '7/4'] -> (6/5 / ((1 / (5/7 * 7/4)) - 3/4))
[295238] ['1/7', '1/3', '1/2', '3/5', '2'] -> ((1/3 / 1/2) + (2 / (1/7 * 3/5)))
[295239] ['5/9', '5/9', '9/4', '8/3', '7'] -> (9/4 * ((5/9 / 5/9) + (8/3 + 7)))
[295240] ['4/9', '8/7', '6/5', '5/4', '8'] -> ((8/7 * 5/4) * ((8 / 4/9) - 6/5))
[295241] ['3/7', '5/8', '7/9', '8/9', '9'] -> (9 * (5/8 + (7/9 / (3/7 * 8/9))))
[295242] ['2/7', '3/5', '1', '6/5', '8/5'] -> ((8/5 / 2/7) / ((1 / 6/5) - 3/5))
[295243] ['1/8', '3/8', '7/8', '7/8', '2'] -> (((3/8 + 7/8) + (7/8 * 2)) / 1/8)
[295244] ['1/7', '1/3', '1/2', '5/8', '2'] -> ((2 / (1/7 / 1/2)) / (5/8 - 1/3))
[295245] ['5/7', '3/4', '1', '6/5', '9/5'] -> (6/5 / ((1 / 5/7) - (3/4 * 9/5)))
[295246] ['4/9', '8/7', '6/5', '9/7', '8'] -> ((8 + (8/7 / 9/7)) / (4/9 / 6/5))
[295247] ['1/7', '2/5', '1/2', '7/5', '8'] -> (7/5 + (2/5 * (1/2 + (8 / 1/7))))
[295248] ['1/9', '4/7', '2/3', '7/9', '1'] -> (2/3 / (1 - (7/9 + (1/9 / 4/7))))
[295249] ['1/8', '3/8', '7/8', '8/9', '2'] -> ((3/8 + (2 / 8/9)) / (1/8 * 7/8))
[295250] ['3/7', '5/8', '7/9', '8/7', '9'] -> ((9 + (8/7 / 3/7)) / (5/8 * 7/9))
[295251] ['3/7', '1/2', '3/5', '3/5', '5'] -> ((3/7 / (3/5 - 1/2)) * (3/5 + 5))
[295252] ['1/7', '2/5', '1/2', '3/2', '8'] -> ((2/5 + 8) * ((3/2 / 1/2) - 1/7))
[295253] ['2/7', '6/7', '5/4', '7/5', '9'] -> ((9 / (2/7 * 5/4)) - (6/7 * 7/5))
[295254] ['1/7', '1/3', '1/2', '7/9', '2'] -> ((2 + (1/3 / 1/2)) / (1/7 * 7/9))
[295255] ['1/9', '5/7', '7/5', '9/2', '8'] -> (8 / (1/9 + ((5/7 * 7/5) / 9/2)))
[295256] ['1/9', '4/7', '2/3', '5/6', '1'] -> (2/3 / ((1/9 / 4/7) + (5/6 - 1)))
[295257] ['1/8', '3/8', '7/8', '7/6', '2'] -> (2 / (1/8 * (7/6 + (3/8 - 7/8))))
[295258] ['1/6', '6/7', '7/6', '6/5', '3'] -> ((7/6 * 6/5) * ((3 / 1/6) - 6/7))
[295259] ['4/9', '8/7', '6/5', '3/2', '8'] -> ((8 / ((8/7 / 3/2) - 4/9)) - 6/5)
[295260] ['1/2', '9/8', '5/4', '9/5', '2'] -> (9/5 / (((2 - 1/2) / 5/4) - 9/8))
[295261] ['5/7', '3/4', '1', '6/5', '5/2'] -> (6/5 / (5/2 - ((3/4 + 1) / 5/7)))
[295262] ['3/7', '5/8', '7/9', '6/5', '9'] -> ((9 / (5/8 * 7/9)) / (6/5 - 3/7))
[295263] ['3/7', '1/2', '3/5', '5/7', '5'] -> ((5 * (3/7 + 3/5)) / (5/7 - 1/2))
[295264] ['5/9', '5/9', '7/3', '8/3', '7'] -> ((7 + (5/9 / 5/9)) / (8/3 - 7/3))
[295265] ['2/7', '6/7', '5/4', '5/3', '9'] -> ((2/7 * 9) / (6/7 - (5/4 / 5/3)))
[295266] ['1/9', '4/7', '2/3', '7/8', '1'] -> ((2/3 + (1 / (4/7 * 7/8))) / 1/9)
[295267] ['1/6', '6/7', '7/6', '5/4', '3'] -> (3 / ((5/4 / 6/7) - (1/6 + 7/6)))
[295268] ['7/9', '5/4', '5/3', '8/3', '7'] -> ((7 + (5/3 + 8/3)) / (5/4 - 7/9))
[295269] ['1/2', '9/8', '5/4', '2', '7/3'] -> ((1/2 * 2) / ((9/8 + 5/4) - 7/3))
[295270] ['1/7', '1/3', '1/2', '9/8', '2'] -> (2 / ((1/3 / 1/7) - (9/8 / 1/2)))
[295271] ['4/9', '8/7', '6/5', '7/4', '8'] -> (6/5 * ((8/7 * 7/4) + (8 / 4/9)))
[295272] ['7/9', '5/4', '5/3', '7/2', '7'] -> ((7/2 - 5/4) * (5/3 + (7 / 7/9)))
[295273] ['1/6', '6/7', '7/6', '8/5', '3'] -> ((8/5 / (1/6 / 7/6)) * (3 - 6/7))
[295274] ['1/7', '1/3', '1/2', '6/5', '2'] -> ((1/3 + (2 / (1/7 * 6/5))) / 1/2)
[295275] ['1/9', '4/7', '2/3', '1', '9/8'] -> (1 / ((1/9 / (2/3 - 4/7)) - 9/8))
[295276] ['1/2', '9/8', '9/7', '9/7', '2'] -> (9/7 / (2 - (1/2 + (9/8 * 9/7))))
[295277] ['5/7', '3/4', '1', '6/5', '9/2'] -> ((9/2 / (5/7 * (1 - 3/4))) - 6/5)
[295278] ['5/9', '5/9', '5/2', '8/3', '7'] -> ((8/3 * 7) / (5/9 + (5/9 / 5/2)))
[295279] ['3/7', '5/8', '7/9', '3/2', '9'] -> (9 / ((5/8 / (3/7 * 7/9)) - 3/2))
[295280] ['3/7', '1/2', '3/5', '6/7', '5'] -> ((6/7 + (3/5 / 1/2)) / (3/7 / 5))
[295281] ['1/7', '2/5', '1/2', '9/2', '8'] -> (2/5 * ((8 / 1/7) - (1/2 - 9/2)))
[295282] ['1/8', '3/8', '8/9', '8/7', '2'] -> ((3/8 + (2 / 8/9)) / (1/8 / 8/7))
[295283] ['3/7', '1/2', '3/5', '7/8', '5'] -> ((3/5 * 5) / (1/2 - (3/7 * 7/8)))
[295284] ['5/7', '3/4', '1', '5/4', '9/7'] -> ((5/7 + 9/7) / ((1 / 3/4) - 5/4))
[295285] ['1/4', '8/7', '5/4', '9/2', '6'] -> ((8/7 * 6) * (9/2 + (1/4 - 5/4)))
[295286] ['5/9', '5/9', '5/2', '9/2', '7'] -> ((9/2 * (7 - (5/9 + 5/9))) - 5/2)
[295287] ['1/6', '6/7', '7/6', '9/4', '3'] -> ((3 / 6/7) + ((7/6 + 9/4) / 1/6))
[295288] ['4/9', '8/7', '6/5', '5/2', '8'] -> (8/7 * ((6/5 * 5/2) + (8 / 4/9)))
[295289] ['1/7', '1/3', '1/2', '9/5', '2'] -> (9/5 * ((2 / 1/7) - (1/3 / 1/2)))
[295290] ['2/7', '6/7', '4/3', '7/5', '9'] -> ((4/3 - (2/7 - 6/7)) * (7/5 * 9))
[295291] ['3/7', '5/8', '7/9', '9/5', '9'] -> ((9 / (3/7 * 5/8)) / (7/9 * 9/5))
[295292] ['3/7', '1/2', '3/5', '9/8', '5'] -> (3/5 / ((9/8 / (3/7 * 5)) - 1/2))
[295293] ['5/7', '3/4', '1', '5/4', '7/5'] -> (((5/4 / 7/5) / (3/4 - 5/7)) - 1)
[295294] ['4/9', '8/7', '6/5', '8/3', '8'] -> ((8/3 + (8 / 6/5)) / (4/9 / 8/7))
[295295] ['1/6', '6/7', '7/6', '5/2', '3'] -> (3 + ((5/2 + (6/7 * 7/6)) / 1/6))
[295296] ['7/9', '5/4', '7/4', '5/2', '7'] -> ((7 * (5/4 + 5/2)) - (7/4 / 7/9))
[295297] ['1/8', '3/8', '8/9', '9/7', '2'] -> ((2 + (3/8 * 8/9)) / (1/8 / 9/7))
[295298] ['2/7', '6/7', '4/3', '9/5', '9'] -> (9/5 * ((6/7 / 2/7) + (4/3 + 9)))
[295299] ['3/7', '1/2', '3/5', '8/7', '5'] -> ((3/5 * 5) / (1/2 - (3/7 / 8/7)))
[295300] ['1/9', '5/7', '3/2', '7/2', '8'] -> ((3/2 / 1/9) + (8 + (5/7 * 7/2)))
[295301] ['7/9', '5/4', '7/4', '7/2', '7'] -> (7/2 * ((5/4 / 7/9) - (7/4 - 7)))
[295302] ['4/9', '8/7', '6/5', '7/2', '8'] -> (((8/7 * 7/2) + (8 / 6/5)) / 4/9)
[295303] ['3/7', '5/8', '7/9', '7/3', '9'] -> ((3/7 + ((7/3 + 9) / 7/9)) / 5/8)
[295304] ['1/9', '4/7', '2/3', '1', '7/4'] -> (((4/7 * 7/4) + (2/3 + 1)) / 1/9)
[295305] ['1/2', '9/8', '9/7', '2', '9/4'] -> (((9/4 / (9/7 - 9/8)) - 2) / 1/2)
[295306] ['1/6', '6/7', '6/5', '5/4', '3'] -> ((6/5 + (3 / (6/7 * 5/4))) / 1/6)
[295307] ['1/9', '5/7', '8/5', '8/5', '8'] -> ((8 / 5/7) - (8/5 - (8/5 / 1/9)))
[295308] ['1/4', '8/7', '9/7', '7/4', '6'] -> (6 * ((7/4 * (8/7 + 9/7)) - 1/4))
[295309] ['2/7', '6/7', '7/5', '3/2', '9'] -> (((6/7 + (9 / 7/5)) / 2/7) - 3/2)
[295310] ['5/7', '3/4', '1', '5/4', '9/4'] -> ((5/4 / (1 - (5/7 / 3/4))) - 9/4)
[295311] ['1/4', '8/7', '9/7', '9/5', '6'] -> (6 * (8/7 + (9/7 / (1/4 * 9/5))))
[295312] ['1/7', '1/3', '5/9', '3/5', '2'] -> ((((2 / 1/7) - 1/3) / 5/9) - 3/5)
[295313] ['1/8', '3/8', '8/9', '9/5', '2'] -> ((2 - (3/8 * 8/9)) / (1/8 / 9/5))
[295314] ['1/9', '5/7', '8/5', '5/3', '8'] -> (((8 / 8/5) - (5/3 / 5/7)) / 1/9)
[295315] ['1/7', '2/5', '5/9', '7/9', '8'] -> (8 / ((1/7 * 7/9) + (2/5 * 5/9)))
[295316] ['1/2', '9/8', '9/7', '2', '7/2'] -> (9/7 / ((9/8 - 1/2) - (2 / 7/2)))
[295317] ['2/7', '6/7', '7/5', '9/4', '9'] -> ((9 / (7/5 * (2/7 * 6/7))) - 9/4)
[295318] ['7/9', '5/4', '9/5', '7/2', '7'] -> (7 / (7/2 * (7/9 - (5/4 / 9/5))))
[295319] ['3/7', '5/8', '7/9', '9/2', '9'] -> (3/7 / ((9/2 / (7/9 * 9)) - 5/8))
[295320] ['4/9', '8/7', '5/4', '3/2', '8'] -> (8/7 * ((8 / (4/9 / 5/4)) - 3/2))
[295321] ['1/7', '1/3', '5/9', '3/4', '2'] -> ((2 / (1/7 / 1/3)) / (3/4 - 5/9))
[295322] ['1/9', '5/7', '8/5', '9/4', '8'] -> (5/7 * (8/5 + (8 / (1/9 * 9/4))))
[295323] ['3/7', '1/2', '3/5', '7/4', '5'] -> ((3/5 / 7/4) * (5 / (1/2 - 3/7)))
[295324] ['1/6', '6/7', '6/5', '8/5', '3'] -> (8/5 + ((6/5 + (3 / 1/6)) / 6/7))
[295325] ['3/7', '5/8', '4/5', '4/5', '9'] -> ((3/7 / (4/5 - 5/8)) * (4/5 + 9))
[295326] ['1/8', '3/8', '9/8', '6/5', '2'] -> (((3/8 / (6/5 - 9/8)) - 2) / 1/8)
[295327] ['2/7', '3/5', '1', '5/4', '8/3'] -> (1 / (8/3 - (5/4 / (2/7 / 3/5))))
[295328] ['1/7', '2/5', '5/9', '7/8', '8'] -> (8 / (5/9 * (1/7 + (2/5 / 7/8))))
[295329] ['7/9', '5/4', '9/4', '5/2', '7'] -> ((5/4 + 5/2) + (7 / (7/9 / 9/4)))
[295330] ['1/2', '9/8', '4/3', '9/5', '2'] -> (2 / (4/3 - (9/8 / (1/2 * 9/5))))
[295331] ['1/7', '2/5', '5/9', '8/9', '8'] -> ((8/9 / 5/9) + (8 / (1/7 / 2/5)))
[295332] ['3/7', '1/2', '3/5', '7/3', '5'] -> ((5 * (3/7 + 3/5)) / (1/2 / 7/3))
[295333] ['1/9', '5/7', '8/5', '5/2', '8'] -> (8/5 + (8 / (1/9 * (5/7 + 5/2))))
[295334] ['7/9', '5/4', '9/4', '7/2', '7'] -> ((5/4 - (7/9 * 9/4)) + (7/2 * 7))
[295335] ['1/6', '6/7', '6/5', '7/3', '3'] -> (6/5 * ((6/7 * 7/3) + (3 / 1/6)))
[295336] ['1/9', '4/7', '5/7', '6/7', '1'] -> ((1 + (4/7 + 5/7)) / (1/9 * 6/7))
[295337] ['1/7', '1/3', '5/9', '6/7', '2'] -> ((2 + (6/7 / (1/3 / 5/9))) / 1/7)
[295338] ['1/7', '2/5', '5/9', '7/6', '8'] -> (8 / (1/7 + ((2/5 * 5/9) / 7/6)))
[295339] ['5/7', '3/4', '1', '9/7', '8/5'] -> ((5/7 * 8/5) / ((1 / 3/4) - 9/7))
[295340] ['3/7', '1/2', '5/8', '5/8', '5'] -> (5 / ((5/8 / 3/7) - (5/8 / 1/2)))
[295341] ['7/9', '5/4', '7/3', '5/2', '7'] -> ((7/3 + 7) * (5/2 / (7/9 * 5/4)))
[295342] ['1/9', '5/7', '5/3', '5/3', '8'] -> ((5/3 / 5/7) / ((5/3 / 8) - 1/9))
[295343] ['1/7', '1/3', '5/9', '7/8', '2'] -> ((2 - 1/3) / (7/8 * (1/7 * 5/9)))
[295344] ['1/2', '9/8', '7/5', '5/3', '2'] -> (2 / ((7/5 * 5/3) - (9/8 / 1/2)))
[295345] ['3/7', '5/8', '4/5', '7/6', '9'] -> ((9 / (3/7 / 7/6)) - (5/8 * 4/5))
[295346] ['2/7', '6/7', '8/5', '7/4', '9'] -> (((9 / 7/4) - 6/7) / (2/7 / 8/5))
[295347] ['1/9', '4/7', '5/7', '1', '9/8'] -> ((5/7 + 1) / (9/8 * (1/9 * 4/7)))
[295348] ['7/9', '5/4', '7/3', '8/3', '7'] -> (7 / (7/9 * (5/4 - (7/3 / 8/3))))
[295349] ['1/9', '5/7', '5/3', '9/5', '8'] -> (5/3 / ((9/5 / 8) - (1/9 / 5/7)))
[295350] ['1/4', '8/7', '7/5', '9/5', '6'] -> (6 * ((9/5 / (1/4 * 7/5)) - 8/7))
[295351] ['3/7', '1/2', '5/8', '7/9', '5'] -> (5 / ((3/7 * 7/9) + (1/2 - 5/8)))
[295352] ['2/7', '6/7', '8/5', '9/4', '9'] -> (9 / (9/4 - (6/7 / (2/7 * 8/5))))
[295353] ['7/9', '5/4', '7/3', '7/2', '7'] -> (7/3 / ((7/2 * (7/9 + 5/4)) - 7))
[295354] ['1/7', '2/5', '5/9', '9/7', '8'] -> (8 / ((1/7 / 9/7) + (2/5 * 5/9)))
[295355] ['3/7', '5/8', '4/5', '6/5', '9'] -> ((9 / 3/7) / ((6/5 / 4/5) - 5/8))
[295356] ['1/9', '4/7', '5/7', '1', '7/6'] -> ((1 + (4/7 + 5/7)) / (1/9 / 7/6))
[295357] ['1/6', '6/7', '5/4', '4/3', '3'] -> ((3 + (5/4 * 4/3)) / (1/6 / 6/7))
[295358] ['1/7', '1/3', '5/9', '7/6', '2'] -> ((2 + (5/9 / (1/3 * 7/6))) / 1/7)
[295359] ['5/7', '3/4', '1', '9/7', '8/3'] -> ((1 + 9/7) / (8/3 * (3/4 - 5/7)))
[295360] ['3/7', '5/8', '4/5', '5/4', '9'] -> ((4/5 + (5/4 / 5/8)) * (9 - 3/7))
[295361] ['2/7', '3/5', '1', '9/7', '9/5'] -> ((1 + 9/7) * (9/5 / (2/7 * 3/5)))
[295362] ['1/7', '2/5', '5/9', '7/5', '8'] -> (8 / (5/9 * (2/5 + (1/7 * 7/5))))
[295363] ['4/9', '8/7', '9/7', '7/4', '8'] -> ((8/7 + (4/9 * 9/7)) * (7/4 * 8))
[295364] ['1/6', '6/7', '5/4', '7/5', '3'] -> (5/4 * ((6/7 * 7/5) + (3 / 1/6)))
[295365] ['1/7', '1/3', '5/9', '4/3', '2'] -> (4/3 / (1/7 * (5/9 - (1/3 / 2))))
[295366] ['1/2', '9/8', '7/5', '2', '8/3'] -> (7/5 / (9/8 - (8/3 / (1/2 + 2))))
[295367] ['2/7', '6/7', '8/5', '9/2', '9'] -> ((9/2 / (2/7 * 6/7)) + (9 / 8/5))
[295368] ['3/7', '1/2', '5/8', '9/8', '5'] -> ((((5/8 + 5) / 3/7) - 9/8) / 1/2)
[295369] ['7/9', '5/4', '8/3', '7/2', '7'] -> ((7 + (7/2 * (5/4 * 8/3))) / 7/9)
[295370] ['4/9', '8/7', '9/7', '9/2', '8'] -> (8/7 / ((8 / 9/2) - (4/9 + 9/7)))
[295371] ['1/9', '5/7', '7/4', '7/4', '8'] -> (8 / (1/9 * (7/4 + (5/7 * 7/4))))
[295372] ['1/6', '6/7', '5/4', '9/5', '3'] -> (5/4 * ((3 / (1/6 * 6/7)) - 9/5))
[295373] ['2/7', '6/7', '5/3', '9/4', '9'] -> (((5/3 * 9) / (6/7 - 2/7)) - 9/4)
[295374] ['1/9', '4/7', '5/7', '1', '8/5'] -> ((8/5 / (1/9 / 5/7)) / (1 - 4/7))
[295375] ['7/9', '5/4', '8/3', '9/2', '7'] -> ((9/2 * (5/4 * 8/3)) + (7 / 7/9))
[295376] ['2/7', '3/5', '1', '9/7', '8/3'] -> ((9/7 / 3/5) / ((1 / 8/3) - 2/7))
[295377] ['1/2', '9/8', '3/2', '8/5', '2'] -> ((3/2 / 1/2) / ((2 / 8/5) - 9/8))
[295378] ['1/9', '5/7', '7/4', '9/5', '8'] -> (8 / ((5/7 / 9/5) - (1/9 / 7/4)))
[295379] ['1/6', '6/7', '5/4', '9/4', '3'] -> (((5/4 * 3) / (1/6 * 6/7)) - 9/4)
[295380] ['5/7', '3/4', '1', '4/3', '8/5'] -> ((8/5 / 4/3) / ((3/4 / 5/7) - 1))
[295381] ['3/7', '5/8', '4/5', '7/4', '9'] -> ((9 / (3/7 * 5/8)) / (4/5 * 7/4))
[295382] ['2/7', '6/7', '5/3', '7/2', '9'] -> (7/2 + ((2/7 + 5/3) / (6/7 / 9)))
[295383] ['7/9', '5/4', '7/2', '9/2', '7'] -> ((7/2 * 7) - (7/9 - (5/4 / 9/2)))
[295384] ['1/8', '3/8', '8/7', '2', '5/2'] -> (8/7 * (((3/8 + 5/2) / 1/8) - 2))
[295385] ['4/9', '8/7', '4/3', '5/3', '8'] -> (8/7 * ((4/3 + 5/3) + (8 / 4/9)))
[295386] ['2/7', '6/7', '5/3', '9/2', '9'] -> ((2/7 * 9/2) + (9 * (6/7 + 5/3)))
[295387] ['7/9', '5/4', '9/2', '9/2', '7'] -> ((5/4 + 7) + (9/2 * (7/9 * 9/2)))
[295388] ['1/2', '9/8', '3/2', '2', '8/3'] -> ((1/2 * 2) / (8/3 - (9/8 + 3/2)))
[295389] ['5/9', '4/7', '4/7', '7/3', '7'] -> ((4/7 + (4/7 * 7/3)) / (5/9 / 7))
[295390] ['7/9', '9/7', '9/7', '9/7', '7'] -> ((9/7 + (9/7 + 9/7)) * (7 - 7/9))
[295391] ['1/8', '3/8', '8/7', '2', '9/2'] -> ((3/8 + (9/2 / 2)) / (1/8 / 8/7))
[295392] ['1/7', '1/3', '5/9', '2', '7/3'] -> ((7/3 / 1/7) + ((5/9 + 2) / 1/3))
[295393] ['1/6', '6/7', '5/4', '3', '9/2'] -> (((5/4 + (3 / 6/7)) / 1/6) - 9/2)
[295394] ['3/7', '5/8', '4/5', '5/2', '9'] -> ((5/2 + (5/8 * 4/5)) + (9 / 3/7))
[295395] ['1/2', '9/8', '8/5', '8/5', '2'] -> ((8/5 / ((9/8 / 2) - 1/2)) - 8/5)
[295396] ['2/7', '6/7', '7/4', '9/5', '9'] -> (6/7 / ((7/4 / 9) - (2/7 / 9/5)))
[295397] ['1/6', '6/7', '9/7', '7/5', '3'] -> ((9/7 + (3 / 7/5)) / (1/6 * 6/7))
[295398] ['7/9', '9/7', '9/7', '7/5', '7'] -> ((7/9 + 7) * (9/7 + (9/7 * 7/5)))
[295399] ['1/7', '1/3', '5/9', '2', '8/3'] -> ((8/3 / 1/7) / ((5/9 * 2) - 1/3))
[295400] ['1/8', '3/8', '7/6', '5/4', '2'] -> (5/4 / (1/8 * (7/6 - (3/8 * 2))))
[295401] ['1/7', '2/5', '4/7', '5/8', '8'] -> (8 + ((4/7 / 5/8) / (1/7 * 2/5)))
[295402] ['3/7', '1/2', '5/8', '5/3', '5'] -> (((5/3 / 1/2) + (5 / 3/7)) / 5/8)
[295403] ['1/2', '9/8', '8/5', '7/4', '2'] -> (9/8 / ((7/4 / (8/5 * 2)) - 1/2))
[295404] ['1/7', '1/3', '5/9', '2', '7/2'] -> ((2 - (1/3 / 7/2)) / (1/7 * 5/9))
[295405] ['3/7', '5/8', '4/5', '7/2', '9'] -> ((7/2 - (5/8 * 4/5)) + (9 / 3/7))
[295406] ['1/9', '4/7', '5/7', '1', '9/2'] -> ((5/7 + 1) / (4/7 - (1/9 * 9/2)))
[295407] ['1/6', '6/7', '9/7', '8/5', '3'] -> (3 / (1/6 * (9/7 - (6/7 / 8/5))))
[295408] ['1/4', '8/7', '8/5', '5/2', '6'] -> ((8/7 + 8/5) * (6 + (1/4 + 5/2)))
[295409] ['1/8', '3/8', '7/6', '9/7', '2'] -> ((7/6 * 9/7) / ((3/8 / 2) - 1/8))
[295410] ['4/9', '8/7', '7/5', '3/2', '8'] -> ((4/9 + 3/2) * (8/7 + (7/5 * 8)))
[295411] ['1/7', '2/5', '4/7', '7/8', '8'] -> (((8 / 7/8) - 4/7) / (1/7 / 2/5))
[295412] ['1/7', '1/3', '4/7', '3/5', '2'] -> (2 / (((1/7 / 4/7) / 3/5) - 1/3))
[295413] ['3/7', '1/2', '5/8', '9/4', '5'] -> (((5/8 + 5) / (3/7 * 1/2)) - 9/4)
[295414] ['1/6', '6/7', '9/7', '9/5', '3'] -> (((3 / 1/6) - 6/7) / (9/7 / 9/5))
[295415] ['1/2', '9/8', '8/5', '2', '5/2'] -> ((1/2 + 5/2) / ((2 / 8/5) - 9/8))
[295416] ['1/9', '5/7', '9/5', '7/3', '8'] -> ((8 / (1/9 * 5/7)) / (9/5 * 7/3))
[295417] ['4/9', '8/7', '7/5', '8/5', '8'] -> (8/7 * ((7/5 + 8/5) + (8 / 4/9)))
[295418] ['1/7', '1/3', '4/7', '5/8', '2'] -> (1/7 / (5/8 - (1/3 + (4/7 / 2))))
[295419] ['1/2', '9/8', '8/5', '2', '8/3'] -> ((2 / (1/2 - (9/8 / 8/3))) - 8/5)
[295420] ['5/9', '4/7', '3/5', '5/7', '7'] -> ((5/7 + ((4/7 + 7) / 3/5)) / 5/9)
[295421] ['2/7', '6/7', '8/3', '7/2', '9'] -> ((6/7 / 2/7) / (7/2 - (9 / 8/3)))
[295422] ['1/7', '1/3', '4/7', '5/7', '2'] -> (4/7 / (1/7 - ((1/3 * 5/7) / 2)))
[295423] ['1/9', '4/7', '3/4', '7/8', '1'] -> ((1 / (1/9 * 4/7)) / (3/4 * 7/8))
[295424] ['3/7', '1/2', '5/8', '8/3', '5'] -> ((8/3 / 1/2) + (5 / (3/7 * 5/8)))
[295425] ['1/6', '6/7', '4/3', '3/2', '3'] -> (((3/2 / 6/7) + (3 / 4/3)) / 1/6)
[295426] ['7/9', '9/7', '9/7', '7/2', '7'] -> ((9/7 + (7/9 * 9/7)) * (7/2 + 7))
[295427] ['1/4', '8/7', '5/3', '5/2', '6'] -> (1/4 + (6 * (5/2 + (5/3 / 8/7))))
[295428] ['2/7', '7/8', '7/8', '7/8', '9'] -> (9 / (7/8 - (2/7 * (7/8 + 7/8))))
[295429] ['5/7', '3/4', '1', '7/5', '9/4'] -> (9/4 / ((3/4 / (7/5 - 5/7)) - 1))
[295430] ['5/9', '4/7', '3/5', '3/4', '7'] -> (3/5 + ((3/4 + (7 / 4/7)) / 5/9))
[295431] ['1/7', '2/5', '4/7', '5/3', '8'] -> (8 / ((5/3 * (1/7 + 2/5)) - 4/7))
[295432] ['1/4', '8/7', '5/3', '8/3', '6'] -> (8/3 * (1/4 + (6 / (8/7 / 5/3))))
[295433] ['1/9', '4/7', '3/4', '1', '7/6'] -> ((7/6 / (1/9 / 4/7)) / (1 - 3/4))
[295434] ['1/7', '2/5', '4/7', '7/4', '8'] -> ((4/7 / (1/7 * 2/5)) + (7/4 * 8))
