[5] ['1/7', '5/9', '8/9', '7/4', '6'] -> ((8/9 - (5/9 / 7/4)) / (1/7 / 6))
[2318] ['1/8', '1/8', '1/8', '8/3', '5'] -> (5 / (1/8 * (8/3 - (1/8 / 1/8))))
[2319] ['7/9', '7/8', '3/2', '3/2', '6'] -> ((3/2 * 6) / (3/2 - (7/8 / 7/9)))
[2320] ['2/7', '5/4', '4/3', '3/2', '4'] -> (4/3 * (((3/2 + 4) / 2/7) - 5/4))
[2321] ['1/3', '4/9', '4/9', '8/5', '3'] -> ((4/9 * 3) / (1/3 - (4/9 / 8/5)))
[2322] ['8/7', '8/7', '6/5', '2', '8/3'] -> (8/7 / (8/3 - ((8/7 + 2) / 6/5)))
[2323] ['1/4', '7/9', '6/7', '9/8', '8'] -> ((6/7 * 9/8) * (8 / (1/4 / 7/9)))
[2324] ['1/7', '1/7', '3/5', '9/4', '9'] -> (9/4 * (9 + ((1/7 / 1/7) / 3/5)))
[2325] ['7/8', '4/3', '3', '9/2', '9/2'] -> (3 / (7/8 - (9/2 / (4/3 * 9/2))))
[2326] ['1/8', '1/8', '1/7', '1/5', '5'] -> ((5 / 1/5) - (1/8 + (1/8 / 1/7)))
[2327] ['3/7', '1/2', '7/5', '7/3', '4'] -> (4 / (7/3 * (3/7 - (1/2 / 7/5))))
[2328] ['1/6', '2/9', '3/8', '7/9', '4'] -> ((4 + (2/9 + 7/9)) / (3/8 - 1/6))
[2329] ['2/7', '5/4', '4/3', '9/5', '4'] -> ((4 / (2/7 * 5/4)) / (9/5 - 4/3))
[2330] ['1/7', '1/7', '3/5', '7/2', '9'] -> ((3/5 + 9) * (7/2 - (1/7 / 1/7)))
[2331] ['6/7', '7/8', '7/6', '9/7', '4'] -> (4 / ((9/7 / 6/7) - (7/6 / 7/8)))
[2332] ['1/8', '1/8', '1/7', '1/4', '5'] -> (((1/8 / 1/7) + (1/8 + 5)) / 1/4)
[2333] ['7/8', '7/5', '7/5', '9/4', '3'] -> ((7/5 / 7/8) / (7/5 - (3 / 9/4)))
[2334] ['2/9', '2/9', '8/7', '5/2', '5'] -> (8/7 * (((2/9 + 5) / 2/9) - 5/2))
[2335] ['8/7', '8/7', '5/4', '7/5', '2'] -> ((8/7 + (2 / 7/5)) / (5/4 - 8/7))
[2336] ['2/7', '5/4', '4/3', '7/3', '4'] -> ((2/7 + (4 / 7/3)) / (4/3 - 5/4))
[2337] ['1/6', '2/9', '3/8', '6/5', '4'] -> ((4 + (1/6 / 3/8)) / (2/9 / 6/5))
[2338] ['7/9', '7/8', '3/2', '8/3', '6'] -> (6 * (8/3 + (3/2 * (7/9 / 7/8))))
[2339] ['3/7', '1/2', '3/2', '8/5', '4'] -> ((4 + (3/2 / 3/7)) / (1/2 / 8/5))
[2340] ['1/3', '4/9', '4/9', '5/2', '3'] -> ((4/9 / 1/3) / (3 - (4/9 + 5/2)))
[2341] ['1/7', '3/5', '5/7', '5/2', '6'] -> ((6 - (5/7 / 5/2)) / (1/7 / 3/5))
[2342] ['7/8', '7/5', '7/5', '7/3', '3'] -> (7/5 / ((7/5 * (3 - 7/3)) - 7/8))
[2343] ['1/6', '2/9', '3/8', '9/7', '4'] -> (((4 / (1/6 + 2/9)) - 9/7) / 3/8)
[2344] ['1/3', '4/9', '4/9', '3', '7/2'] -> ((4/9 / 1/3) / (7/2 - (4/9 + 3)))
[2345] ['7/9', '7/8', '3/2', '9/2', '6'] -> (6 / (7/9 - ((7/8 + 3/2) / 9/2)))
[2346] ['1/7', '7/8', '5/4', '5/4', '5'] -> ((5 - 5/4) / (5/4 * (1/7 * 7/8)))
[2347] ['2/9', '7/8', '7/8', '4/3', '2'] -> ((4/3 / 2/9) / (2 - (7/8 + 7/8)))
[2348] ['1/7', '3/5', '5/7', '9/2', '6'] -> ((9/2 * 6) - (5/7 / (1/7 / 3/5)))
[2349] ['3/7', '1/2', '3/2', '9/5', '4'] -> (9/5 * (1/2 + ((3/2 + 4) / 3/7)))
[2350] ['1/7', '1/7', '5/8', '7/8', '9'] -> (9 / (5/8 - (7/8 * (1/7 + 1/7))))
[2351] ['2/7', '5/4', '4/3', '7/2', '4'] -> (5/4 + ((7/2 + (4 / 4/3)) / 2/7))
[2352] ['1/3', '4/9', '1/2', '4/7', '3'] -> (3 / ((1/2 / 4/7) - (1/3 / 4/9)))
[2353] ['7/8', '7/5', '3/2', '3/2', '3'] -> (3/2 / ((3/2 / (3 - 7/5)) - 7/8))
[2354] ['2/9', '2/9', '7/6', '9/7', '5'] -> ((5 + (9/7 * (2/9 * 7/6))) / 2/9)
[2355] ['8/7', '8/7', '5/4', '2', '9/4'] -> (9/4 / (((8/7 + 5/4) / 8/7) - 2))
[2356] ['2/7', '5/4', '7/5', '8/5', '4'] -> (8/5 + ((7/5 + (5/4 * 4)) / 2/7))
[2357] ['2/7', '5/4', '7/5', '5/3', '4'] -> ((4 / (2/7 * 7/5)) / (5/3 - 5/4))
[2358] ['8/7', '8/7', '5/4', '2', '9/2'] -> ((9/2 * (8/7 / 2)) / (5/4 - 8/7))
[2359] ['3/7', '1/2', '8/5', '5/3', '4'] -> (((8/5 * 5/3) + (4 / 3/7)) / 1/2)
[2360] ['2/9', '7/8', '7/8', '5/3', '2'] -> ((5/3 + (7/8 / 7/8)) / (2/9 / 2))
[2361] ['1/3', '4/9', '1/2', '4/5', '3'] -> (3 / ((1/3 / 4/9) - (1/2 / 4/5)))
[2362] ['1/4', '7/9', '7/8', '7/8', '8'] -> ((8 - (7/8 + (7/8 / 7/9))) / 1/4)
[2363] ['1/7', '1/7', '5/8', '6/5', '9'] -> ((1/7 / 5/8) / (1/7 - (6/5 / 9)))
[2364] ['2/9', '2/9', '7/6', '5/3', '5'] -> (((2/9 + 5) / 2/9) - (7/6 - 5/3))
[2365] ['1/7', '7/8', '5/4', '7/4', '5'] -> ((7/4 * (1/7 + 5)) / (5/4 - 7/8))
[2366] ['1/8', '1/8', '1/7', '7/9', '5'] -> ((5 - (1/7 / 1/8)) / (1/8 / 7/9))
[2367] ['7/8', '7/5', '3/2', '5/2', '3'] -> (3/2 / ((5/2 * (7/8 * 7/5)) - 3))
[2368] ['2/9', '7/8', '7/8', '7/4', '2'] -> (2 / (2/9 * (7/8 - (7/8 / 7/4))))
[2369] ['4/9', '5/7', '1', '5/4', '8/5'] -> ((8/5 / 4/9) / ((1 / 5/7) - 5/4))
[2370] ['3/7', '1/2', '8/5', '9/5', '4'] -> ((4 / 3/7) / ((8/5 / 9/5) - 1/2))
[2371] ['2/9', '2/9', '7/6', '7/4', '5'] -> ((5 + (7/4 * (2/9 / 7/6))) / 2/9)
[2372] ['1/3', '4/9', '1/2', '6/5', '3'] -> (3 / (((1/3 / 4/9) / 6/5) - 1/2))
[2373] ['1/7', '1/7', '5/8', '4/3', '9'] -> (9 / (5/8 - (1/7 + (1/7 / 4/3))))
[2374] ['7/8', '7/5', '3/2', '3', '9/2'] -> ((3/2 + (3 * 9/2)) / (7/8 / 7/5))
[2375] ['2/7', '5/4', '7/5', '7/3', '4'] -> (4 / (2/7 * (7/3 - (5/4 * 7/5))))
[2376] ['1/7', '7/8', '5/4', '9/4', '5'] -> ((9/4 / 7/8) / ((5/4 / 5) - 1/7))
[2377] ['2/9', '2/9', '7/6', '9/4', '5'] -> (((7/6 * 5) - (2/9 * 9/4)) / 2/9)
[2378] ['1/3', '4/9', '1/2', '9/7', '3'] -> ((4/9 * 3) / ((1/2 / 9/7) - 1/3))
[2379] ['1/7', '1/7', '5/8', '3/2', '9'] -> ((9 + (1/7 / 1/7)) / (5/8 / 3/2))
[2380] ['2/9', '2/9', '7/6', '7/3', '5'] -> ((7/6 / 7/3) + ((2/9 + 5) / 2/9))
[2381] ['7/8', '7/5', '8/5', '7/4', '3'] -> (7/5 / (((8/5 * 7/4) / 3) - 7/8))
[2382] ['1/7', '1/7', '5/8', '8/5', '9'] -> (9 / (5/8 * (8/5 - (1/7 / 1/7))))
[2383] ['3/7', '1/2', '8/5', '7/2', '4'] -> (8/5 * ((7/2 * (3/7 + 4)) - 1/2))
[2384] ['1/8', '1/8', '1/7', '6/5', '5'] -> (6/5 / (((1/8 / 1/7) / 5) - 1/8))
[2385] ['2/9', '7/8', '7/8', '2', '9/2'] -> ((2 + (7/8 + 7/8)) + (9/2 / 2/9))
[2386] ['1/3', '4/9', '1/2', '8/5', '3'] -> ((8/5 * (1/3 + 3)) / (4/9 * 1/2))
[2387] ['2/7', '5/4', '7/5', '4', '9/2'] -> (((4 + (9/2 / 7/5)) / 2/7) - 5/4)
[2388] ['1/8', '1/8', '1/7', '5/4', '5'] -> ((5 / 1/7) - ((1/8 + 5/4) / 1/8))
[2389] ['2/9', '2/9', '7/6', '7/2', '5'] -> ((7/6 / (2/9 * 7/2)) + (5 / 2/9))
[2390] ['3/7', '1/2', '5/3', '5/3', '4'] -> (4 / ((1/2 / 3/7) - (5/3 / 5/3)))
[2391] ['1/7', '3/5', '3/4', '9/7', '6'] -> ((1/7 * 6) / (9/7 - (3/4 / 3/5)))
[2392] ['1/4', '7/9', '7/8', '4/3', '8'] -> ((1/4 / (7/8 - 7/9)) * (4/3 + 8))
[2393] ['1/7', '7/8', '9/7', '9/7', '5'] -> ((9/7 * 5) / (9/7 - (1/7 + 7/8)))
[2394] ['8/7', '8/7', '9/7', '2', '8/3'] -> ((8/7 + 8/7) / (8/3 - (9/7 * 2)))
[2395] ['2/9', '7/8', '8/9', '9/8', '2'] -> ((2 + (8/9 / 2/9)) / (9/8 - 7/8))
[2396] ['1/8', '1/8', '1/7', '9/7', '5'] -> ((5 - (1/7 / 1/8)) / (1/8 * 9/7))
[2397] ['7/9', '7/8', '5/3', '7/4', '6'] -> (((5/3 * 7/4) / (7/8 - 7/9)) - 6)
[2398] ['7/8', '7/5', '5/3', '9/4', '3'] -> (3 / ((9/4 / 5/3) - (7/8 * 7/5)))
[2399] ['2/7', '5/4', '3/2', '7/4', '4'] -> ((5/4 + 7/4) + (4 / (2/7 / 3/2)))
[2400] ['3/7', '1/2', '5/3', '9/4', '4'] -> (((1/2 + 9/4) / (3/7 / 4)) - 5/3)
[2401] ['1/6', '2/9', '2/5', '5/4', '4'] -> (((5/4 * (2/5 + 4)) - 1/6) / 2/9)
[2402] ['1/7', '3/5', '3/4', '5/3', '6'] -> (6 / (1/7 * (3/4 + (3/5 * 5/3))))
[2403] ['1/7', '1/7', '5/8', '7/2', '9'] -> (9 / ((7/2 * (1/7 + 1/7)) - 5/8))
[2404] ['8/7', '8/7', '4/3', '7/5', '2'] -> ((8/7 + 8/7) / ((2 / 7/5) - 4/3))
[2405] ['1/7', '7/8', '9/7', '8/5', '5'] -> (9/7 / ((1/7 * 8/5) - (7/8 / 5)))
[2406] ['6/7', '7/8', '6/5', '4', '9/2'] -> ((9/2 / (7/8 - (6/7 / 6/5))) - 4)
[2407] ['1/7', '1/7', '5/8', '9/2', '9'] -> ((1/7 + (9 / 9/2)) / (1/7 * 5/8))
[2408] ['7/8', '7/5', '5/3', '3', '7/2'] -> (3 / ((7/8 / 5/3) - (7/5 / 7/2)))
[2409] ['1/3', '4/9', '5/9', '4/5', '3'] -> ((4/5 * (1/3 + 3)) / (5/9 - 4/9))
[2410] ['2/7', '5/4', '3/2', '4', '9/2'] -> (((5/4 + (3/2 * 9/2)) / 2/7) - 4)
[2411] ['4/9', '5/7', '1', '9/7', '4/3'] -> (4/3 / ((1 / (5/7 + 9/7)) - 4/9))
[2412] ['3/7', '1/2', '7/4', '7/4', '4'] -> (4 / ((1/2 / 3/7) - (7/4 / 7/4)))
[2413] ['1/7', '7/8', '9/7', '7/4', '5'] -> (((5 - 9/7) / 1/7) - (7/4 / 7/8))
[2414] ['1/4', '7/9', '7/8', '9/4', '8'] -> ((8 - (9/4 * (7/9 / 7/8))) / 1/4)
[2415] ['1/7', '3/5', '3/4', '7/3', '6'] -> (6 / (3/5 * (3/4 - (1/7 * 7/3))))
[2416] ['7/8', '7/5', '7/4', '7/4', '3'] -> (3 / (((7/8 + 7/4) / 7/5) - 7/4))
[2417] ['1/7', '1/7', '2/3', '7/9', '9'] -> ((7/9 + (1/7 / 1/7)) / (2/3 / 9))
[2418] ['2/7', '5/4', '8/5', '5/3', '4'] -> ((4 / (2/7 * 5/3)) / (8/5 - 5/4))
[2419] ['7/9', '7/8', '5/3', '8/3', '6'] -> (8/3 * ((5/3 / 7/9) + (6 / 7/8)))
[2420] ['2/9', '7/8', '8/9', '3/2', '2'] -> (2 / (8/9 - (2/9 + (7/8 / 3/2))))
[2421] ['2/9', '2/9', '6/5', '5/2', '5'] -> ((5 - (2/9 * 5/2)) / (2/9 / 6/5))
[2422] ['1/6', '2/9', '2/5', '5/2', '4'] -> ((5/2 / (1/6 / 2/5)) + (4 / 2/9))
[2423] ['6/7', '7/8', '5/4', '7/5', '4'] -> (4 / ((5/4 / (6/7 * 7/5)) - 7/8))
[2424] ['1/4', '7/9', '7/8', '5/2', '8'] -> (8 * (7/9 + (5/2 / (1/4 + 7/8))))
[2425] ['2/9', '2/9', '6/5', '8/3', '5'] -> (5 * ((8/3 / (2/9 + 2/9)) - 6/5))
[2426] ['8/7', '8/7', '4/3', '2', '5/2'] -> ((8/7 / 2) / (5/2 - (8/7 + 4/3)))
[2427] ['7/8', '7/5', '7/4', '7/3', '3'] -> (3 / ((7/4 / 7/3) - (7/8 / 7/5)))
[2428] ['2/7', '5/4', '8/5', '9/5', '4'] -> ((9/5 / (8/5 - (2/7 + 5/4))) - 4)
[2429] ['1/7', '1/7', '2/3', '7/8', '9'] -> ((2/3 / 7/8) * (9 / (1/7 + 1/7)))
[2430] ['1/6', '2/9', '2/5', '4', '9/2'] -> (((4 / 2/5) - (1/6 + 9/2)) / 2/9)
[2431] ['2/9', '2/9', '6/5', '7/2', '5'] -> (6/5 * (((2/9 + 5) / 2/9) - 7/2))
[2432] ['3/7', '1/2', '9/5', '9/5', '4'] -> (4 / ((1/2 / 3/7) - (9/5 / 9/5)))
[2433] ['1/7', '7/8', '9/7', '7/3', '5'] -> ((7/8 * 9/7) * (5 + (7/3 / 1/7)))
[2434] ['1/3', '4/9', '5/9', '7/6', '3'] -> (4/9 / ((1/3 * (5/9 + 3)) - 7/6))
[2435] ['1/8', '1/8', '1/7', '7/2', '5'] -> ((1/8 - (1/8 * 5)) + (7/2 / 1/7))
[2436] ['1/7', '1/7', '2/3', '7/6', '9'] -> (9 * (7/6 + ((1/7 / 1/7) / 2/3)))
[2437] ['8/7', '8/7', '4/3', '2', '7/2'] -> ((2 / 7/2) / ((4/3 / 8/7) - 8/7))
[2438] ['4/9', '5/7', '1', '9/7', '5/3'] -> ((1 + 5/3) / ((5/7 / 9/7) - 4/9))
[2439] ['1/7', '1/7', '2/3', '6/5', '9'] -> ((9 / (1/7 + (1/7 / 2/3))) - 6/5)
[2440] ['1/8', '1/8', '1/6', '2/7', '5'] -> (5 / (1/8 + (2/7 * (1/8 + 1/6))))
[2441] ['1/7', '3/5', '7/9', '4/5', '6'] -> (4/5 / (7/9 * (1/7 - (3/5 / 6))))
[2442] ['6/7', '7/8', '5/4', '9/4', '4'] -> ((9/4 / (7/8 - 6/7)) / (5/4 + 4))
[2443] ['1/3', '4/9', '5/9', '5/4', '3'] -> ((1/3 + 3) / (5/4 * (5/9 - 4/9)))
[2444] ['2/9', '7/8', '8/9', '2', '9/4'] -> (7/8 + ((9/4 + (8/9 + 2)) / 2/9))
[2445] ['2/9', '2/9', '5/4', '4/3', '5'] -> ((4/3 / 2/9) + (5 / (2/9 * 5/4)))
[2446] ['7/8', '7/5', '9/5', '7/3', '3'] -> ((9/5 * 7/3) * (3 / (7/5 - 7/8)))
[2447] ['1/7', '1/7', '2/3', '3/2', '9'] -> ((3/2 + (9 * (1/7 / 2/3))) / 1/7)
[2448] ['2/7', '5/4', '5/3', '5/3', '4'] -> ((5/3 + (5/3 / 2/7)) / (5/4 / 4))
[2449] ['1/8', '1/8', '1/6', '4/9', '5'] -> (5 / ((4/9 * (1/8 / 1/6)) - 1/8))
[2450] ['7/9', '7/8', '7/4', '5/2', '6'] -> ((5/2 * 6) / (7/4 - (7/8 / 7/9)))
[2451] ['2/9', '7/8', '8/9', '2', '7/3'] -> (7/3 / ((2/9 / 2) + (7/8 - 8/9)))
[2452] ['8/7', '8/7', '7/5', '5/3', '2'] -> (8/7 / ((7/5 * 5/3) - (8/7 * 2)))
[2453] ['3/7', '1/2', '9/5', '8/3', '4'] -> (((4 / 3/7) - 8/3) / (1/2 / 9/5))
[2454] ['1/7', '1/7', '2/3', '5/3', '9'] -> (((1/7 / 1/7) + (5/3 * 9)) / 2/3)
[2455] ['2/9', '2/9', '5/4', '3/2', '5'] -> ((5 + (2/9 / 2/9)) / (3/2 - 5/4))
[2456] ['2/9', '7/8', '8/9', '2', '5/2'] -> ((2 * 5/2) / ((2/9 + 7/8) - 8/9))
[2457] ['1/4', '7/9', '8/9', '9/5', '8'] -> ((8/9 + (8 / (1/4 * 9/5))) / 7/9)
[2458] ['7/8', '7/5', '9/5', '3', '7/2'] -> ((9/5 + (7/5 * 3)) / (7/8 / 7/2))
[2459] ['1/7', '7/8', '4/3', '5/3', '5'] -> (5 / (5/3 - (4/3 + (1/7 * 7/8))))
[2460] ['2/7', '5/4', '5/3', '9/5', '4'] -> ((4 / 2/7) / ((5/4 * 9/5) - 5/3))
[2461] ['1/7', '1/7', '2/3', '9/5', '9'] -> ((1/7 + (9 / 9/5)) / (1/7 / 2/3))
[2462] ['7/8', '7/5', '9/5', '3', '9/2'] -> (3 / ((7/5 - 7/8) - (9/5 / 9/2)))
[2463] ['2/9', '2/9', '5/4', '5/3', '5'] -> (((5/3 / 2/9) + (5 / 2/9)) / 5/4)
[2464] ['1/7', '1/7', '2/3', '9/4', '9'] -> (9/4 * ((1/7 / 1/7) + (2/3 + 9)))
[2465] ['6/7', '7/8', '9/7', '4/3', '4'] -> ((9/7 * 4/3) / (4 * (7/8 - 6/7)))
[2466] ['7/9', '7/8', '9/5', '5/2', '6'] -> ((9/5 * 5/2) * (6 * (7/9 / 7/8)))
[2467] ['7/8', '7/5', '9/4', '9/4', '3'] -> ((9/4 / 7/8) / (9/4 - (3 / 7/5)))
[2468] ['1/7', '3/5', '7/9', '8/7', '6'] -> ((8/7 / 3/5) / ((1/7 * 6) - 7/9))
[2469] ['3/7', '1/2', '5/2', '5/2', '4'] -> (4 / ((1/2 / 3/7) - (5/2 / 5/2)))
[2470] ['1/8', '1/8', '1/6', '8/9', '5'] -> ((1/8 * 5) / (1/6 - (1/8 / 8/9)))
[2471] ['2/9', '7/8', '9/8', '7/6', '2'] -> (2 / (2/9 * (9/8 - (7/8 / 7/6))))
[2472] ['1/3', '4/9', '5/9', '3', '7/2'] -> ((4/9 / 1/3) / ((5/9 + 3) - 7/2))
[2473] ['1/4', '7/9', '9/8', '9/8', '8'] -> ((8 - (9/8 + (7/9 * 9/8))) / 1/4)
[2474] ['2/9', '2/9', '5/4', '9/4', '5'] -> (((5/4 / 9/4) - (2/9 - 5)) / 2/9)
[2475] ['8/7', '8/7', '7/5', '2', '8/3'] -> ((8/7 + 8/7) / (2 - (8/3 / 7/5)))
[2476] ['2/7', '5/4', '5/3', '4', '9/2'] -> (4 / ((5/3 / (2/7 * 5/4)) - 9/2))
[2477] ['7/8', '7/5', '9/4', '7/3', '3'] -> ((3 / 7/5) / ((9/4 / 7/3) - 7/8))
[2478] ['1/7', '7/8', '4/3', '7/3', '5'] -> (((4/3 / 1/7) + (7/3 * 5)) / 7/8)
[2479] ['1/4', '7/9', '9/8', '8/7', '8'] -> ((9/8 / (1/4 / 7/9)) * (8 - 8/7))
[2480] ['1/3', '4/9', '5/9', '3', '9/2'] -> (((9/2 * (3 - 5/9)) - 1/3) / 4/9)
[2481] ['4/9', '5/7', '1', '4/3', '3/2'] -> (4/3 / ((4/9 / (1 - 5/7)) - 3/2))
[2482] ['2/9', '2/9', '5/4', '5/2', '5'] -> ((5/4 / 5/2) + ((2/9 + 5) / 2/9))
[2483] ['2/7', '5/4', '7/4', '9/4', '4'] -> (7/4 * ((4 * (5/4 + 9/4)) - 2/7))
[2484] ['2/9', '2/9', '5/4', '8/3', '5'] -> ((5 / (2/9 + 2/9)) / (5/4 / 8/3))
[2485] ['6/7', '7/8', '9/7', '7/4', '4'] -> (4 / ((6/7 / 9/7) - (7/8 / 7/4)))
[2486] ['7/9', '7/8', '9/4', '5/2', '6'] -> (9/4 + (6 * (5/2 + (7/8 / 7/9))))
[2487] ['8/7', '8/7', '3/2', '9/5', '2'] -> ((8/7 / 3/2) / (8/7 - (2 / 9/5)))
[2488] ['4/9', '5/7', '1', '4/3', '7/4'] -> (4/3 / ((7/4 * (1 - 5/7)) - 4/9))
[2489] ['7/8', '7/5', '7/3', '5/2', '3'] -> ((7/5 + (7/3 * 3)) / (7/8 / 5/2))
[2490] ['1/4', '7/9', '9/8', '7/5', '8'] -> (8 / ((7/9 / 7/5) - (1/4 / 9/8)))
[2491] ['1/7', '1/7', '5/7', '7/6', '9'] -> ((9 - (5/7 / 1/7)) / (1/7 * 7/6))
[2492] ['1/7', '3/5', '7/9', '8/5', '6'] -> (8/5 / ((6 * (1/7 * 7/9)) - 3/5))
[2493] ['1/8', '1/8', '1/5', '1/3', '5'] -> (((5 - 1/8) / 1/5) - (1/8 / 1/3))
[2494] ['1/3', '4/9', '4/7', '5/7', '3'] -> (((5/7 / 4/7) + (3 / 4/9)) / 1/3)
[2495] ['1/7', '7/8', '7/5', '5/3', '5'] -> ((5 / 1/7) / ((7/5 * 5/3) - 7/8))
[2496] ['1/7', '1/7', '5/7', '5/4', '9'] -> ((1/7 + 5/7) / ((1/7 * 9) - 5/4))
[2497] ['6/7', '7/8', '4/3', '4/3', '4'] -> (4 / (7/8 * (4/3 - (6/7 * 4/3))))
[2498] ['7/8', '7/5', '7/3', '3', '9/2'] -> ((3 + (7/3 / 7/5)) / (7/8 / 9/2))
[2499] ['1/7', '3/5', '7/9', '5/3', '6'] -> ((3/5 * (7/9 + (6 / 1/7))) - 5/3)
[2500] ['2/9', '7/8', '9/8', '2', '9/4'] -> (2 / (2/9 * (7/8 - (9/8 / 9/4))))
[2501] ['2/7', '5/4', '9/5', '8/3', '4'] -> ((8/3 + (4 / 2/7)) / (5/4 / 9/5))
[2502] ['8/7', '8/7', '3/2', '2', '9/2'] -> ((8/7 + 8/7) * (3/2 + (2 * 9/2)))
[2503] ['1/4', '7/9', '9/8', '7/4', '8'] -> ((8 - (7/4 / (7/9 * 9/8))) / 1/4)
[2504] ['7/8', '7/5', '5/2', '8/3', '3'] -> (5/2 * ((7/5 / 7/8) + (8/3 * 3)))
[2505] ['7/9', '7/8', '5/2', '9/2', '6'] -> (((9/2 * (6 - 7/9)) - 5/2) / 7/8)
[2506] ['2/7', '5/4', '9/5', '7/2', '4'] -> (((7/2 + 4) / 2/7) - (5/4 * 9/5))
[2507] ['1/3', '4/9', '4/7', '5/6', '3'] -> (3 / ((5/6 / 4/7) - (4/9 / 1/3)))
[2508] ['2/9', '2/9', '9/7', '5/3', '5'] -> (((5 / 9/7) - (2/9 - 5/3)) / 2/9)
[2509] ['7/9', '7/8', '7/2', '7/2', '6'] -> (6 + ((7/2 * 7/2) / (7/9 * 7/8)))
[2510] ['2/9', '7/8', '9/8', '2', '7/2'] -> ((2 + (7/2 / 7/8)) / (2/9 * 9/8))
[2511] ['3/7', '5/9', '5/9', '4/5', '4'] -> ((5/9 / (5/9 - (3/7 / 4/5))) - 4)
[2512] ['7/8', '7/5', '5/2', '3', '9/2'] -> (3 / (9/2 - (7/8 + (7/5 * 5/2))))
[2513] ['1/8', '1/8', '1/5', '2/3', '5'] -> ((1/5 * 5) / (1/8 - (1/8 * 2/3)))
[2514] ['2/7', '5/4', '9/5', '4', '9/2'] -> (5/4 + ((4 + (9/2 / 9/5)) / 2/7))
[2515] ['1/7', '1/7', '5/7', '9/5', '9'] -> (((9 * (5/7 / 9/5)) - 1/7) / 1/7)
[2516] ['2/9', '7/8', '9/8', '2', '9/2'] -> (9/2 / ((7/8 / 2) - (2/9 * 9/8)))
[2517] ['1/7', '3/5', '7/9', '7/3', '6'] -> (6 * ((1/7 * 7/9) + (7/3 / 3/5)))
[2518] ['1/8', '1/8', '1/5', '5/7', '5'] -> (((5 - (1/8 / 5/7)) / 1/5) - 1/8)
[2519] ['6/7', '7/8', '4/3', '5/3', '4'] -> ((6/7 * 4) / (5/3 - (4/3 / 7/8)))
[2520] ['7/8', '7/5', '8/3', '8/3', '3'] -> ((7/5 * 3) * (8/3 + (8/3 / 7/8)))
[2521] ['1/4', '7/9', '9/8', '7/2', '8'] -> (8 + (7/2 / (9/8 * (1/4 * 7/9))))
[2522] ['1/7', '1/7', '5/7', '7/2', '9'] -> (((1/7 + 5/7) + (9 / 7/2)) / 1/7)
[2523] ['8/7', '8/7', '8/5', '2', '9/4'] -> ((8/7 * 9/4) / ((2 / 8/5) - 8/7))
[2524] ['2/7', '5/4', '9/4', '9/4', '4'] -> (((4 + (5/4 + 9/4)) / 2/7) - 9/4)
[2525] ['7/9', '8/9', '8/9', '7/6', '6'] -> ((8/9 * 6) / (8/9 - (7/9 / 7/6)))
[2526] ['1/8', '1/8', '1/5', '5/6', '5'] -> ((5 - (1/8 / 1/8)) / (1/5 * 5/6))
[2527] ['6/7', '7/8', '4/3', '9/4', '4'] -> (4 / (9/4 - (4/3 + (6/7 * 7/8))))
[2528] ['2/7', '5/4', '9/4', '7/3', '4'] -> ((9/4 - (5/4 / 7/3)) / (2/7 / 4))
[2529] ['1/4', '7/9', '8/7', '7/6', '8'] -> (8 / (((7/9 / 8/7) / 7/6) - 1/4))
[2530] ['7/8', '7/5', '3', '7/2', '7/2'] -> (3 / ((7/2 - 7/8) - (7/2 / 7/5)))
[2531] ['1/7', '7/8', '3/2', '3/2', '5'] -> ((1/7 + 5) / ((3/2 / 7/8) - 3/2))
[2532] ['1/3', '4/9', '4/7', '9/7', '3'] -> ((9/7 + 3) / ((1/3 / 4/9) - 4/7))
[2533] ['7/9', '8/9', '8/9', '5/4', '6'] -> (6 / ((7/9 - 8/9) - (8/9 - 5/4)))
[2534] ['8/7', '8/7', '8/5', '2', '8/3'] -> (8/7 / ((8/7 / 8/5) + (2 - 8/3)))
[2535] ['1/8', '1/8', '1/5', '7/8', '5'] -> ((1/5 + (7/8 / 5)) / (1/8 * 1/8))
[2536] ['8/7', '8/7', '8/5', '2', '7/2'] -> ((8/5 * 7/2) * (2 + (8/7 + 8/7)))
[2537] ['6/7', '7/8', '4/3', '5/2', '4'] -> ((4 / (7/8 / 5/2)) / (4/3 - 6/7))
[2538] ['7/8', '3/2', '3/2', '5/3', '3'] -> (3 / ((3/2 * 5/3) - (7/8 + 3/2)))
[2539] ['2/7', '5/4', '9/4', '4', '9/2'] -> (((9/2 + (5/4 + 9/4)) / 2/7) - 4)
[2540] ['2/9', '7/8', '8/7', '4/3', '2'] -> ((8/7 + (4/3 / 7/8)) / (2/9 / 2))
[2541] ['1/7', '1/7', '3/4', '6/7', '9'] -> ((9 * (1/7 + 1/7)) / (6/7 - 3/4))
[2542] ['1/7', '7/8', '3/2', '7/4', '5'] -> (((5 - 3/2) / 1/7) - (7/8 / 7/4))
[2543] ['1/4', '7/9', '8/7', '4/3', '8'] -> (((8 - (4/3 / 7/9)) / 1/4) - 8/7)
[2544] ['6/7', '7/8', '4/3', '8/3', '4'] -> (((4/3 / 8/3) / (7/8 - 6/7)) - 4)
[2545] ['1/8', '1/8', '1/5', '9/8', '5'] -> ((9/8 / (1/8 * 5)) / (1/5 - 1/8))
[2546] ['2/7', '5/4', '7/3', '7/3', '4'] -> ((4 / 2/7) / ((5/4 * 7/3) - 7/3))
