[203896] ['3/7', '9/8', '7/6', '7/3', '6'] -> ((7/6 * 6) / ((9/8 / 3/7) - 7/3))
[204669] ['1/6', '5/8', '6/7', '5/4', '2'] -> (5/4 / ((5/8 / (6/7 + 2)) - 1/6))
[204670] ['5/8', '5/7', '5/6', '5/2', '8'] -> (((5/2 / (5/7 - 5/8)) - 8) / 5/6)
[204671] ['7/9', '7/8', '9/8', '5/4', '8'] -> (8 * ((7/9 * 9/8) + (7/8 + 5/4)))
[204672] ['4/5', '7/8', '5/3', '7/3', '9'] -> (9 / ((7/3 / 4/5) - (7/8 + 5/3)))
[204673] ['2/5', '6/7', '7/8', '5/2', '7'] -> (7 / ((5/2 * (2/5 / 6/7)) - 7/8))
[204674] ['3/4', '5/6', '7/5', '2', '8/3'] -> (8/3 / (5/6 * (2 - (7/5 / 3/4))))
[204675] ['3/7', '8/7', '4/3', '7/5', '6'] -> ((4/3 * 7/5) * ((6 / 3/7) - 8/7))
[204676] ['5/6', '8/7', '7/5', '5/3', '5'] -> (5 / ((5/3 / (8/7 * 7/5)) - 5/6))
[204677] ['2/9', '7/9', '5/3', '3', '7/2'] -> (((5/3 + 7/2) + (3 / 2/9)) / 7/9)
[204678] ['4/5', '7/8', '5/3', '5/2', '9'] -> ((5/3 + 9) * ((5/2 / 4/5) - 7/8))
[204679] ['2/5', '6/7', '7/8', '7/2', '7'] -> ((7/2 - 7/8) * (7 + (6/7 / 2/5)))
[204680] ['3/8', '3/7', '4/5', '8/7', '6'] -> ((3/7 + (6 / (4/5 / 8/7))) / 3/8)
[204681] ['5/8', '5/7', '6/7', '6/7', '8'] -> ((6/7 * 8) / ((5/7 / 5/8) - 6/7))
[204682] ['2/9', '7/9', '5/3', '3', '9/2'] -> (9/2 + ((5/3 + (3 / 2/9)) / 7/9))
[204683] ['3/7', '8/7', '4/3', '9/5', '6'] -> ((8/7 / (9/5 - (3/7 + 4/3))) - 6)
[204684] ['7/9', '7/8', '9/8', '9/5', '8'] -> (8 / (((7/8 + 9/8) / 9/5) - 7/9))
[204685] ['5/8', '5/6', '7/4', '7/3', '6'] -> (6 / (7/3 - (5/8 + (5/6 * 7/4))))
[204686] ['2/9', '7/9', '7/4', '7/4', '3'] -> ((7/9 + (7/4 / 7/4)) / (2/9 / 3))
[204687] ['3/7', '1', '5/2', '8/3', '8/3'] -> (8/3 * ((1 / 3/7) + (5/2 * 8/3)))
[204688] ['3/8', '3/7', '4/5', '7/6', '6'] -> (6 / ((7/6 * (3/7 / 4/5)) - 3/8))
[204689] ['1/7', '5/7', '8/5', '7/2', '7'] -> (((7 - 5/7) / (1/7 * 8/5)) - 7/2)
[204690] ['1/6', '5/8', '6/7', '8/5', '2'] -> (8/5 + (2 / (6/7 * (1/6 * 5/8))))
[204691] ['5/8', '5/7', '6/7', '8/9', '8'] -> (8 / ((8/9 * (5/8 + 5/7)) - 6/7))
[204692] ['1/5', '4/9', '6/7', '1', '9/2'] -> ((9/2 / (1/5 * 6/7)) - (1 / 4/9))
[204693] ['3/7', '8/7', '7/5', '7/5', '6'] -> (8/7 * (7/5 + (6 / (3/7 / 7/5))))
[204694] ['5/8', '5/6', '7/4', '8/3', '6'] -> (6 / ((8/3 * (5/8 / 5/6)) - 7/4))
[204695] ['3/7', '1', '5/2', '8/3', '7/2'] -> ((3/7 * 7/2) / (1 - (5/2 / 8/3)))
[204696] ['7/9', '7/8', '9/8', '5/2', '8'] -> ((8 * (7/8 + (5/2 / 9/8))) - 7/9)
[204697] ['3/4', '5/6', '3/2', '2', '7/3'] -> ((2 * 7/3) / (3/4 - (5/6 / 3/2)))
[204698] ['1/7', '1/4', '1', '7/6', '6/5'] -> (1 / ((1/4 / 6/5) - (1/7 * 7/6)))
[204699] ['5/6', '8/7', '7/5', '7/3', '5'] -> ((8/7 * 5) * (7/5 + (7/3 / 5/6)))
[204700] ['2/9', '7/9', '7/4', '9/4', '3'] -> (((3 * (7/9 + 7/4)) - 9/4) / 2/9)
[204701] ['5/8', '5/7', '6/7', '7/6', '8'] -> ((8 / 7/6) / ((5/7 / 5/8) - 6/7))
[204702] ['3/7', '1', '5/2', '8/3', '9/2'] -> (8/3 * ((1 - 5/2) + (9/2 / 3/7)))
[204703] ['5/6', '8/7', '7/5', '5/2', '5'] -> ((7/5 * 5/2) * (5 / (5/6 / 8/7)))
[204704] ['2/5', '6/7', '8/9', '8/7', '7'] -> (7 * ((6/7 / 2/5) + (8/7 / 8/9)))
[204705] ['1/7', '1/4', '1', '7/6', '9/7'] -> (1/7 / ((1/4 * 7/6) + (1 - 9/7)))
[204706] ['1/5', '4/9', '7/8', '8/9', '1'] -> (8/9 / ((4/9 / (7/8 + 1)) - 1/5))
[204707] ['2/9', '7/9', '7/4', '8/3', '3'] -> (((7/4 * 8/3) / (2/9 * 7/9)) - 3)
[204708] ['3/7', '8/7', '7/5', '9/5', '6'] -> (6 * (9/5 + (7/5 * (3/7 + 8/7))))
[204709] ['3/4', '5/6', '8/5', '7/4', '2'] -> (8/5 / ((2 / 5/6) - (7/4 / 3/4)))
[204710] ['4/5', '7/8', '7/4', '7/2', '9'] -> ((7/2 * 9) / ((7/4 / 4/5) - 7/8))
[204711] ['5/8', '5/6', '9/5', '8/3', '6'] -> ((6 / (5/6 - 5/8)) - (9/5 * 8/3))
[204712] ['3/7', '8/7', '7/5', '9/4', '6'] -> (6 / (7/5 * (8/7 - (3/7 * 9/4))))
[204713] ['1/9', '6/7', '9/8', '9/2', '9'] -> ((6/7 / 9/8) * ((9/2 / 1/9) - 9))
[204714] ['7/9', '7/8', '8/7', '5/4', '8'] -> ((8 / (7/9 * 8/7)) / (5/4 - 7/8))
[204715] ['3/4', '5/6', '8/5', '2', '9/4'] -> ((2 / 5/6) / ((3/4 + 8/5) - 9/4))
[204716] ['1/6', '5/8', '6/7', '2', '8/3'] -> (((5/8 * 8/3) + (2 / 6/7)) / 1/6)
[204717] ['2/9', '7/9', '9/5', '9/5', '3'] -> ((7/9 + (9/5 / 9/5)) / (2/9 / 3))
[204718] ['5/6', '8/7', '7/5', '9/2', '5'] -> ((8/7 * 7/5) / ((9/2 / 5) - 5/6))
[204719] ['3/8', '3/7', '4/5', '8/5', '6'] -> ((3/7 + 6) * (8/5 + (4/5 / 3/8)))
[204720] ['4/5', '7/8', '9/5', '9/5', '9'] -> (9 / ((9/5 / (4/5 * 9/5)) - 7/8))
[204721] ['1/7', '1/4', '1', '7/6', '7/5'] -> ((1 / 7/6) / ((1/4 / 7/5) - 1/7))
[204722] ['1/6', '5/8', '6/7', '2', '7/2'] -> (((6/7 * 7/2) + (2 / 1/6)) / 5/8)
[204723] ['4/5', '7/8', '9/5', '9/4', '9'] -> (9 / ((4/5 - 7/8) - (9/5 - 9/4)))
[204724] ['1/9', '6/7', '8/7', '7/6', '9'] -> (8/7 * ((7/6 / 1/9) + (9 / 6/7)))
[204725] ['5/6', '8/7', '3/2', '5/3', '5'] -> (5 / ((5/3 / 8/7) - (5/6 * 3/2)))
[204726] ['1/7', '1/4', '1', '7/6', '3/2'] -> ((1 / 7/6) / (1/4 - (1/7 * 3/2)))
[204727] ['1/7', '5/7', '7/4', '7/3', '7'] -> (7 / (7/3 - (7/4 / (1/7 + 5/7))))
[204728] ['3/8', '3/7', '4/5', '7/4', '6'] -> ((3/7 + 6) * (7/4 / (3/8 / 4/5)))
[204729] ['3/4', '5/6', '8/5', '2', '9/2'] -> ((8/5 + (2 / 5/6)) / (3/4 / 9/2))
[204730] ['1/6', '5/8', '6/7', '2', '9/2'] -> (((9/2 / 6/7) - (5/8 * 2)) / 1/6)
[204731] ['2/9', '7/9', '9/5', '5/2', '3'] -> (3 * ((7/9 / 2/9) + (9/5 * 5/2)))
[204732] ['3/7', '8/7', '7/5', '9/2', '6'] -> ((9/2 * (8/7 + (6 / 7/5))) - 3/7)
[204733] ['7/9', '7/8', '8/7', '8/5', '8'] -> ((8 / (7/9 * 8/5)) / (8/7 - 7/8))
[204734] ['5/6', '8/7', '3/2', '9/5', '5'] -> ((8/7 * 9/5) * (5 * (5/6 + 3/2)))
[204735] ['1/6', '5/8', '7/8', '7/8', '2'] -> ((2 + (5/8 + 7/8)) / (1/6 * 7/8))
[204736] ['4/5', '7/8', '9/5', '9/2', '9'] -> (9 / (7/8 - (9/5 / (4/5 * 9/2))))
[204737] ['2/9', '7/9', '9/5', '8/3', '3'] -> ((3 / 9/5) / ((7/9 / 8/3) - 2/9))
[204738] ['1/7', '5/7', '7/4', '7/2', '7'] -> ((7 + (5/7 / 1/7)) / (7/4 / 7/2))
[204739] ['1/7', '1/4', '1', '7/6', '5/3'] -> ((((7/6 / 1/4) - 1) / 1/7) - 5/3)
[204740] ['4/5', '7/8', '9/4', '9/4', '9'] -> (9 / ((9/4 / (4/5 * 9/4)) - 7/8))
[204741] ['5/6', '8/7', '3/2', '7/3', '5'] -> ((3/2 * 7/3) * (5 / (5/6 / 8/7)))
[204742] ['3/8', '3/7', '4/5', '5/2', '6'] -> (6 * ((3/8 / 3/7) + (5/2 / 4/5)))
[204743] ['3/7', '8/7', '3/2', '5/3', '6'] -> (8/7 / ((6 * (3/7 / 3/2)) - 5/3))
[204744] ['3/4', '5/6', '5/3', '2', '5/2'] -> (2 / ((3/4 + 5/6) - (5/2 / 5/3)))
[204745] ['1/7', '5/7', '7/4', '9/2', '7'] -> (7 * ((1/7 + 5/7) + (9/2 / 7/4)))
[204746] ['7/9', '7/8', '8/7', '7/4', '8'] -> ((7/8 + 7/4) * ((8 / 7/9) - 8/7))
[204747] ['1/6', '5/8', '7/8', '8/7', '2'] -> ((2 + (5/8 + 7/8)) / (1/6 / 8/7))
[204748] ['3/7', '8/7', '3/2', '9/5', '6'] -> (3/7 + ((8/7 + 6) * (3/2 + 9/5)))
[204749] ['5/6', '8/7', '3/2', '8/3', '5'] -> ((8/3 * (5/6 + 3/2)) * (5 - 8/7))
[204750] ['7/9', '7/8', '8/7', '9/5', '8'] -> (8 / (8/7 * (7/9 - (7/8 / 9/5))))
[204751] ['1/5', '4/9', '7/8', '1', '8/5'] -> (1 / ((7/8 / (1/5 + 8/5)) - 4/9))
[204752] ['1/7', '1/4', '1', '7/6', '9/4'] -> ((9/4 + (1/4 / 1/7)) / (7/6 - 1))
[204753] ['3/4', '5/6', '7/4', '9/5', '2'] -> ((9/5 / 3/4) / ((7/4 / 5/6) - 2))
[204754] ['5/8', '5/7', '7/8', '8/9', '8'] -> (8 * ((5/8 / (7/8 - 5/7)) - 8/9))
[204755] ['5/6', '8/7', '3/2', '7/2', '5'] -> (((7/2 * (8/7 + 5)) - 3/2) / 5/6)
[204756] ['1/6', '5/8', '7/8', '6/5', '2'] -> ((6/5 + (2 / (5/8 / 7/8))) / 1/6)
[204757] ['2/9', '7/9', '5/2', '5/2', '3'] -> ((7/9 + (5/2 / 5/2)) / (2/9 / 3))
[204758] ['4/5', '7/8', '7/3', '7/3', '9'] -> (9 / ((7/3 / (4/5 * 7/3)) - 7/8))
[204759] ['2/5', '6/7', '8/9', '9/5', '7'] -> ((8/9 * 9/5) * (7 / (2/5 / 6/7)))
[204760] ['3/8', '3/7', '5/6', '6/7', '6'] -> ((3/7 + 6) / (6/7 * (3/8 * 5/6)))
[204761] ['3/4', '5/6', '7/4', '2', '5/2'] -> ((5/2 / 5/6) / ((7/4 / 2) - 3/4))
[204762] ['1/7', '5/7', '9/5', '9/2', '7'] -> ((9/2 / (5/7 * 9/5)) * (7 - 1/7))
[204763] ['2/9', '7/9', '8/3', '3', '7/2'] -> (8/3 * ((3 / 2/9) - (7/2 / 7/9)))
[204764] ['5/8', '5/7', '7/8', '7/5', '8'] -> ((7/8 + (5/7 * 7/5)) / (5/8 / 8))
[204765] ['3/4', '5/6', '7/4', '2', '7/2'] -> (7/2 / ((3/4 * 7/4) + (5/6 - 2)))
[204766] ['3/8', '3/7', '5/6', '7/8', '6'] -> (5/6 / (3/8 - (7/8 / (3/7 * 6))))
[204767] ['1/5', '4/9', '7/8', '1', '7/3'] -> ((7/3 / (1/5 * 7/8)) / (1 - 4/9))
[204768] ['3/4', '5/6', '9/5', '2', '9/4'] -> (2 / (3/4 - ((5/6 * 9/5) / 9/4)))
[204769] ['2/5', '6/7', '8/9', '7/3', '7'] -> ((7 + (6/7 / 2/5)) / (8/9 / 7/3))
[204771] ['3/7', '8/7', '8/5', '9/2', '6'] -> ((8/5 * 9/2) * (6 - (8/7 / 3/7)))
[204770] ['5/6', '8/7', '8/5', '7/4', '5'] -> (5 / (7/4 * (5/6 - (8/7 / 8/5))))
[204772] ['1/6', '5/8', '7/8', '5/3', '2'] -> (2 / (1/6 * (7/8 - (5/8 / 5/3))))
[204773] ['1/7', '5/7', '7/3', '7/2', '7'] -> ((7/2 * (7 + (1/7 / 7/3))) - 5/7)
[204774] ['3/7', '8/7', '5/3', '9/5', '6'] -> ((6 + (5/3 * 9/5)) / (3/7 / 8/7))
[204775] ['2/9', '4/5', '4/5', '7/8', '3'] -> (4/5 / ((4/5 * 7/8) - (2/9 * 3)))
[204776] ['4/5', '7/8', '8/3', '8/3', '9'] -> (9 / ((8/3 / (4/5 * 8/3)) - 7/8))
[204777] ['3/8', '3/7', '5/6', '7/6', '6'] -> ((3/7 + 6) * (7/6 / (3/8 * 5/6)))
[204778] ['5/6', '8/7', '8/5', '7/3', '5'] -> (5 * (8/5 + (7/3 / (5/6 / 8/7))))
[204779] ['2/5', '6/7', '8/9', '8/3', '7'] -> ((8/9 / 2/5) + (7 / (6/7 / 8/3)))
[204780] ['5/8', '6/7', '6/7', '7/3', '6'] -> (((6/7 / 6/7) + (7/3 * 6)) / 5/8)
[204781] ['1/9', '6/7', '7/6', '5/4', '9'] -> (5/4 + ((9 + (7/6 / 1/9)) / 6/7))
[204782] ['1/7', '1/4', '1', '6/5', '3/2'] -> (1 / (3/2 - (1/4 / (1/7 * 6/5))))
[204783] ['4/9', '4/9', '4/9', '5/6', '1'] -> (4/9 / ((5/6 * (1 - 4/9)) - 4/9))
[204784] ['3/8', '3/7', '5/6', '5/4', '6'] -> ((5/4 / ((3/8 / 3/7) - 5/6)) - 6)
[204785] ['1/7', '1/4', '1', '6/5', '8/5'] -> ((6/5 / 1/7) / (8/5 - (1/4 + 1)))
[204786] ['5/6', '8/7', '8/5', '8/3', '5'] -> ((5/6 + 8/3) * ((8/5 * 5) - 8/7))
[204787] ['4/5', '7/8', '7/2', '9/2', '9'] -> (9 / (((9/2 - 7/2) / 4/5) - 7/8))
[204788] ['3/8', '3/7', '5/6', '4/3', '6'] -> (6 / ((3/8 / 3/7) - (5/6 / 4/3)))
[204789] ['5/8', '5/7', '7/8', '9/2', '8'] -> ((5/7 + ((9/2 + 8) / 7/8)) / 5/8)
[204790] ['2/9', '4/5', '4/5', '7/6', '3'] -> (4/5 / ((4/5 / (2/9 * 3)) - 7/6))
[204791] ['5/6', '8/7', '8/5', '7/2', '5'] -> ((5 + (8/7 / 8/5)) / (5/6 / 7/2))
[204792] ['7/9', '7/8', '6/5', '3/2', '8'] -> ((6/5 + 3/2) * (8 + (7/9 / 7/8)))
[204793] ['5/8', '6/7', '7/8', '8/9', '6'] -> (6 / ((6/7 / 8/9) - (5/8 / 7/8)))
[204794] ['4/5', '7/8', '9/2', '9/2', '9'] -> (9 / ((9/2 / (4/5 * 9/2)) - 7/8))
[204795] ['2/5', '6/7', '9/8', '9/8', '7'] -> (9/8 + (7 * (9/8 + (6/7 / 2/5))))
[204796] ['1/7', '1/4', '1', '6/5', '9/4'] -> (6/5 * ((9/4 / (1/4 - 1/7)) - 1))
[204797] ['1/7', '3/4', '3/4', '6/7', '7'] -> (7 / (((1/7 + 3/4) / 6/7) - 3/4))
[204798] ['3/4', '5/6', '2', '9/4', '9/2'] -> (9/2 / ((9/4 * (5/6 / 2)) - 3/4))
[204799] ['7/9', '7/8', '6/5', '8/5', '8'] -> (8 * (6/5 + (8/5 / (7/9 / 7/8))))
[204800] ['2/5', '6/7', '9/8', '8/7', '7'] -> (7 * ((6/7 / 2/5) + (9/8 * 8/7)))
[204801] ['1/7', '3/4', '3/4', '7/8', '7'] -> ((3/4 / 7/8) / (1/7 - (3/4 / 7)))
[204802] ['5/8', '6/7', '7/8', '5/4', '6'] -> (6 / ((6/7 * 7/8) - (5/8 / 5/4)))
[204803] ['4/9', '4/9', '4/9', '1', '6/5'] -> (4/9 / (((1 - 4/9) / 6/5) - 4/9))
[204804] ['1/5', '4/9', '8/9', '1', '4/3'] -> (((8/9 + 4/3) / (1/5 * 4/9)) - 1)
[204805] ['3/7', '8/7', '9/5', '7/3', '6'] -> ((8/7 * 9/5) * ((6 / 3/7) - 7/3))
[204806] ['1/6', '5/8', '8/9', '7/5', '2'] -> ((1/6 * 2) / (8/9 - (5/8 * 7/5)))
[204807] ['3/4', '6/7', '6/7', '7/8', '2'] -> ((2 + (6/7 / 6/7)) / (7/8 - 3/4))
[204808] ['2/9', '4/5', '4/5', '8/5', '3'] -> (((8/5 / 2/9) - 4/5) / (4/5 / 3))
[204809] ['1/5', '4/9', '8/9', '1', '7/5'] -> ((8/9 / (1/5 * 4/9)) * (1 + 7/5))
[204810] ['7/9', '7/8', '6/5', '9/5', '8'] -> (8 / (7/9 * (9/5 - (6/5 / 7/8))))
[204811] ['5/6', '8/7', '5/3', '7/3', '5'] -> (5 / (5/6 - (5/3 / (8/7 * 7/3))))
[204812] ['3/7', '8/7', '9/5', '5/2', '6'] -> ((3/7 + (6 * (9/5 * 5/2))) / 8/7)
[204813] ['2/9', '4/5', '4/5', '5/3', '3'] -> ((4/5 + (4/5 * 3)) / (2/9 / 5/3))
[204815] ['1/9', '6/7', '7/6', '9/2', '9'] -> (9/2 + (7/6 * (9 + (6/7 / 1/9))))
[204814] ['1/7', '3/4', '3/4', '8/7', '7'] -> ((3/4 * 8/7) / (1/7 - (3/4 / 7)))
[204816] ['3/4', '6/7', '6/7', '9/8', '2'] -> ((6/7 / 2) / ((6/7 / 3/4) - 9/8))
[204817] ['5/8', '6/7', '7/8', '8/5', '6'] -> (6 / ((5/8 * 8/5) - (6/7 * 7/8)))
[204818] ['7/9', '7/8', '6/5', '7/3', '8'] -> (8 * (7/9 + (7/3 / (7/8 * 6/5))))
[204819] ['1/7', '1/4', '1', '6/5', '9/2'] -> ((9/2 / (1/7 * (1/4 + 1))) - 6/5)
[204820] ['5/8', '5/7', '8/9', '5/4', '8'] -> (8 / (8/9 * (5/4 - (5/8 / 5/7))))
[204821] ['1/7', '3/4', '3/4', '7/6', '7'] -> (7 / ((7/6 * (1/7 + 3/4)) - 3/4))
[204822] ['1/5', '4/9', '8/9', '1', '5/3'] -> (1 / ((4/9 / 5/3) - (1/5 / 8/9)))
[204823] ['5/6', '8/7', '5/3', '8/3', '5'] -> ((5/3 + (8/3 / 8/7)) / (5/6 / 5))
[204824] ['1/6', '5/8', '8/9', '9/5', '2'] -> ((1/6 / 5/8) / ((9/5 / 2) - 8/9))
[204825] ['3/4', '6/7', '6/7', '6/5', '2'] -> (2 / (((6/7 / 6/7) / 6/5) - 3/4))
[204826] ['5/6', '8/7', '5/3', '9/2', '5'] -> ((9/2 * 5) / (5/3 - (5/6 / 8/7)))
[204827] ['1/7', '1/4', '1', '5/4', '9/7'] -> ((1 + 9/7) / (1/7 / (1/4 + 5/4)))
[204828] ['4/5', '8/9', '8/9', '7/5', '9'] -> ((8/9 + (8/9 * 7/5)) / (4/5 / 9))
[204829] ['3/8', '3/7', '5/6', '9/2', '6'] -> ((9/2 / (3/8 / 5/6)) + (6 / 3/7))
[204830] ['1/9', '6/7', '6/5', '5/4', '9'] -> ((5/4 / (1/9 / 6/5)) + (9 / 6/7))
[204831] ['1/6', '5/8', '8/9', '2', '9/4'] -> ((2 - 8/9) * (9/4 / (1/6 * 5/8)))
[204832] ['3/4', '6/7', '6/7', '9/7', '2'] -> (9/7 / (6/7 - ((3/4 + 6/7) / 2)))
[204833] ['2/9', '4/5', '4/5', '9/4', '3'] -> ((4/5 / 2/9) / ((4/5 * 3) - 9/4))
[204834] ['3/7', '8/7', '9/4', '9/4', '6'] -> ((3/7 + (6 * (9/4 + 9/4))) / 8/7)
[204835] ['7/9', '7/8', '6/5', '8/3', '8'] -> ((8 * (7/8 + (8/3 / 6/5))) - 7/9)
[204836] ['1/5', '4/9', '8/9', '1', '9/5'] -> (((8/9 / 4/9) + (1 + 9/5)) / 1/5)
[204837] ['4/5', '8/9', '8/9', '5/3', '9'] -> ((8/9 + (4/5 * 8/9)) * (5/3 * 9))
[204838] ['1/9', '6/7', '6/5', '9/7', '9'] -> ((6/5 + (9/7 / 6/7)) * (9 - 1/9))
[204839] ['2/5', '6/7', '9/8', '3/2', '7'] -> ((9/8 + 3/2) * (7 + (6/7 / 2/5)))
[204840] ['5/8', '5/7', '8/9', '7/5', '8'] -> ((8 / 8/9) / ((5/7 * 7/5) - 5/8))
[204841] ['1/7', '1/4', '1', '5/4', '8/5'] -> (8/5 + ((1 / 5/4) / (1/7 * 1/4)))
[204842] ['3/8', '3/7', '6/7', '6/5', '6'] -> ((3/7 + 6) * (6/5 / (3/8 * 6/7)))
[204843] ['5/6', '8/7', '7/4', '9/4', '5'] -> (5 / (5/6 * (9/4 - (8/7 * 7/4))))
[204844] ['4/5', '8/9', '8/9', '7/4', '9'] -> (9 * ((8/9 / 4/5) + (8/9 * 7/4)))
[204845] ['3/7', '8/7', '9/4', '5/2', '6'] -> (3/7 + ((8/7 * 5/2) * (9/4 + 6)))
[204846] ['1/6', '5/8', '8/9', '2', '7/2'] -> (2 + ((5/8 + 7/2) / (1/6 / 8/9)))
[204847] ['2/9', '4/5', '4/5', '3', '9/2'] -> ((3 + (9/2 / (2/9 / 4/5))) / 4/5)
[204848] ['1/5', '4/9', '8/9', '1', '5/2'] -> (((8/9 * 5/2) / (1/5 * 4/9)) - 1)
[204849] ['3/4', '6/7', '6/7', '7/5', '2'] -> (6/7 / (((2 - 3/4) / 7/5) - 6/7))
[204850] ['4/5', '8/9', '8/9', '9/5', '9'] -> ((9/5 + 9) / (4/5 / (8/9 + 8/9)))
[204851] ['4/9', '4/9', '4/9', '1', '7/3'] -> ((4/9 + 4/9) / ((4/9 * 7/3) - 1))
[204852] ['1/7', '1/4', '1', '5/4', '5/3'] -> ((1 + 5/3) * (1/4 + (5/4 / 1/7)))
[204853] ['3/8', '3/7', '6/7', '7/5', '6'] -> ((6 - (3/7 - 6/7)) / (3/8 / 7/5))
[204854] ['3/7', '8/7', '7/3', '9/2', '6'] -> ((8/7 * 6) * (9/2 - (3/7 * 7/3)))
[204855] ['1/6', '5/8', '9/8', '7/6', '2'] -> (2 + ((9/8 + 7/6) / (1/6 * 5/8)))
[204856] ['1/9', '6/7', '6/5', '7/5', '9'] -> (((9 + (7/5 / 1/9)) / 6/7) - 6/5)
[204857] ['4/5', '8/9', '8/9', '9/4', '9'] -> ((8/9 + 8/9) * (9/4 + (9 / 4/5)))
[204858] ['2/5', '6/7', '9/8', '7/4', '7'] -> ((7 / (2/5 / 6/7)) / (7/4 - 9/8))
[204859] ['1/7', '1/4', '1', '5/4', '9/5'] -> ((5/4 / (9/5 - (1/4 / 1/7))) - 1)
[204860] ['3/7', '8/7', '5/2', '5/2', '6'] -> ((5/2 - (3/7 - 5/2)) / (8/7 / 6))
[204861] ['2/5', '6/7', '9/8', '9/5', '7'] -> ((7 / (2/5 / 6/7)) / (9/8 / 9/5))
[204862] ['4/5', '8/9', '8/9', '7/3', '9'] -> ((4/5 * 9) * (7/3 + (8/9 / 8/9)))
[204863] ['1/6', '5/8', '9/8', '9/7', '2'] -> (2 / ((9/8 / 9/7) - (1/6 + 5/8)))
[204864] ['1/7', '3/4', '3/4', '5/2', '7'] -> ((5/2 + (3/4 / 3/4)) * (7 - 1/7))
[204865] ['1/9', '6/7', '6/5', '8/5', '9'] -> (9 * (6/5 + (6/7 * (1/9 + 8/5))))
[204866] ['7/9', '7/8', '5/4', '3/2', '8'] -> (8 * ((7/8 / 7/9) + (5/4 * 3/2)))
[204867] ['3/7', '8/7', '7/2', '7/2', '6'] -> (8/7 * ((7/2 + 7/2) + (6 / 3/7)))
[204868] ['5/6', '8/7', '9/5', '9/5', '5'] -> ((8/7 * (5/6 + 5)) * (9/5 + 9/5))
[204869] ['4/5', '8/9', '8/9', '7/2', '9'] -> ((8/9 + (8/9 * 9)) * (7/2 - 4/5))
[204870] ['3/4', '6/7', '6/7', '2', '5/2'] -> (6/7 / (5/2 - (3/4 + (6/7 * 2))))
[204871] ['2/5', '6/7', '9/8', '7/3', '7'] -> ((9/8 * 7/3) * (7 + (6/7 / 2/5)))
[204872] ['1/6', '5/8', '9/8', '7/4', '2'] -> (((7/4 * 2) - (5/8 - 9/8)) / 1/6)
[204873] ['3/4', '6/7', '6/7', '2', '8/3'] -> (((6/7 + 2) / (6/7 - 3/4)) - 8/3)
[204874] ['1/9', '6/7', '6/5', '7/4', '9'] -> ((6/5 + (6/7 * 7/4)) * (9 - 1/9))
[204875] ['2/9', '4/5', '5/6', '5/4', '3'] -> ((5/4 / (5/6 - 4/5)) - (3 / 2/9))
[204876] ['5/8', '5/7', '8/9', '8/3', '8'] -> ((8/3 / 8) / (8/9 - (5/8 / 5/7)))
[204877] ['5/6', '8/7', '9/5', '5/2', '5'] -> ((8/7 * 9/5) * ((5/2 * 5) - 5/6))
[204878] ['4/9', '4/9', '1/2', '5/8', '1'] -> (1 / ((4/9 * 1/2) + (4/9 - 5/8)))
[204879] ['1/7', '3/4', '7/9', '5/6', '7'] -> ((7 * (1/7 / 3/4)) / (5/6 - 7/9))
[204880] ['3/7', '7/6', '7/6', '5/4', '6'] -> (6 / (5/4 - (3/7 * (7/6 + 7/6))))
[204881] ['3/4', '6/7', '6/7', '2', '9/2'] -> (2 / ((3/4 - 6/7) + (6/7 / 9/2)))
[204882] ['4/5', '8/9', '9/8', '7/6', '9'] -> ((8/9 * 9) / ((7/6 / 4/5) - 9/8))
[204883] ['1/9', '6/7', '6/5', '7/3', '9'] -> (9 + (7/3 / (6/5 * (1/9 / 6/7))))
[204884] ['1/5', '4/9', '1', '9/8', '7/5'] -> ((1 + 7/5) / (9/8 * (1/5 * 4/9)))
[204885] ['7/9', '7/8', '5/4', '7/3', '8'] -> ((8 - 5/4) / (7/8 / (7/9 + 7/3)))
[204886] ['5/6', '8/7', '9/5', '7/2', '5'] -> (((8/7 + 5) / (5/6 / 7/2)) - 9/5)
[204887] ['4/9', '4/9', '1/2', '3/4', '1'] -> ((1 + (4/9 * 3/4)) / (1/2 - 4/9))
[204888] ['3/7', '7/6', '7/6', '7/5', '6'] -> ((3/7 + 6) * (7/5 + (7/6 + 7/6)))
[204889] ['1/9', '6/7', '6/5', '5/2', '9'] -> ((6/7 * 9) * (1/9 + (6/5 * 5/2)))
[204890] ['3/4', '6/7', '7/8', '7/6', '2'] -> ((2 + (6/7 * 7/6)) / (7/8 - 3/4))
[204891] ['1/7', '3/4', '7/9', '8/9', '7'] -> (8/9 / ((7/9 / 3/4) - (1/7 * 7)))
[204892] ['2/5', '6/7', '8/7', '8/7', '7'] -> ((6/7 * 7) * (8/7 + (8/7 / 2/5)))
[204893] ['5/6', '8/7', '9/5', '9/2', '5'] -> (8/7 * ((9/2 * 5) - (5/6 * 9/5)))
[204894] ['1/7', '1/4', '1', '4/3', '3/2'] -> ((4/3 + (1 / (1/7 * 3/2))) / 1/4)
[204895] ['5/8', '6/7', '8/9', '5/3', '6'] -> (6 * (8/9 + (5/3 / (5/8 * 6/7))))
[204896] ['1/6', '5/8', '8/7', '6/5', '2'] -> ((6/5 + (2 / (5/8 * 8/7))) / 1/6)
[204897] ['5/8', '5/7', '9/8', '7/6', '8'] -> (8 / ((5/8 - 9/8) + (5/7 * 7/6)))
