[1308107] ['2/3', '3/2', '5/3', '7/9', '8/9'] -> (8/9 / (7/9 - ((2/3 * 5/3) / 3/2)))
[1316542] ['2/3', '3/4', '7/4', '9/5', '9/5'] -> (9/5 / (((7/4 / 2/3) - 3/4) - 9/5))
[1316546] ['2/3', '3/4', '7/4', '9/7', '9/8'] -> (((7/4 * 9/7) / (3/4 - 2/3)) / 9/8)
[1316547] ['2/3', '3/4', '7/4', '9/8', '9/8'] -> (9/8 / (3/4 * (7/4 - (9/8 / 2/3))))
[1316548] ['2/3', '3/4', '7/5', '7/5', '7/5'] -> (((7/5 + 7/5) / (3/4 - 2/3)) / 7/5)
[1316549] ['2/3', '3/4', '7/5', '7/5', '7/6'] -> ((7/5 / 7/5) / (7/6 - (3/4 / 2/3)))
[1316552] ['2/3', '3/4', '7/5', '7/5', '8/3'] -> (8/3 / ((7/5 / 7/5) - (2/3 / 3/4)))
[1316570] ['2/3', '3/4', '7/5', '7/6', '9/5'] -> (9/5 / ((7/5 / 7/6) - (3/4 / 2/3)))
[1316577] ['2/3', '3/4', '7/5', '7/8', '8/7'] -> (8/7 / ((2/3 * 7/8) - (3/4 / 7/5)))
[1316603] ['2/3', '3/4', '7/5', '8/5', '8/5'] -> (8/5 / (((8/5 / 3/4) - 2/3) - 7/5))
[1316606] ['2/3', '3/4', '7/5', '8/5', '9/2'] -> ((2/3 / ((7/5 / 8/5) - 3/4)) * 9/2)
[1316611] ['2/3', '3/4', '7/5', '8/7', '8/7'] -> (8/7 / ((2/3 / 8/7) - (3/4 / 7/5)))
[1316621] ['2/3', '3/4', '7/5', '8/9', '9/5'] -> (9/5 / (((7/5 - 2/3) / 8/9) - 3/4))
[1316626] ['2/3', '3/4', '7/5', '9/2', '9/5'] -> (9/5 / (((2/3 + 3/4) - 7/5) * 9/2))
[1316630] ['2/3', '3/4', '7/5', '9/4', '9/5'] -> (9/5 / (3/4 * ((2/3 * 9/4) - 7/5)))
[1316633] ['2/3', '3/4', '7/5', '9/5', '9/5'] -> ((2/3 / (7/5 - (3/4 * 9/5))) * 9/5)
[1316640] ['2/3', '3/4', '7/6', '7/6', '7/8'] -> (((2/3 + 7/6) + 7/6) / (7/8 - 3/4))
[1316644] ['2/3', '3/4', '7/6', '7/6', '8/7'] -> (8/7 / (((2/3 + 3/4) / 7/6) - 7/6))
[1316651] ['2/3', '3/4', '7/6', '7/8', '7/8'] -> ((7/8 / (7/6 - (3/4 / 2/3))) / 7/8)
[1316655] ['2/3', '3/4', '7/6', '7/8', '8/7'] -> ((7/8 / (7/6 - (3/4 / 2/3))) * 8/7)
[1316670] ['2/3', '3/4', '7/6', '7/9', '9/7'] -> ((7/9 / (7/6 - (3/4 / 2/3))) * 9/7)
[1316674] ['2/3', '3/4', '7/6', '8/3', '8/7'] -> (((8/3 / (3/4 - 2/3)) / 7/6) / 8/7)
[1316686] ['2/3', '3/4', '7/6', '8/5', '9/5'] -> (9/5 / (3/4 * (7/6 - (2/3 * 8/5))))
[1316688] ['2/3', '3/4', '7/6', '8/5', '9/8'] -> (9/8 / (3/4 * ((7/6 / 8/5) - 2/3)))
[1316696] ['2/3', '3/4', '7/6', '8/9', '8/9'] -> ((8/9 / (7/6 - (3/4 / 2/3))) / 8/9)
[1316701] ['2/3', '3/4', '7/6', '8/9', '9/8'] -> ((8/9 / (7/6 - (3/4 / 2/3))) * 9/8)
[1316707] ['2/3', '3/4', '7/6', '9/4', '9/4'] -> ((9/4 / (7/6 - (3/4 / 2/3))) / 9/4)
[1316709] ['2/3', '3/4', '7/6', '9/4', '9/7'] -> (9/7 / ((2/3 - (3/4 / 7/6)) * 9/4))
[1316711] ['2/3', '3/4', '7/6', '9/5', '9/5'] -> ((9/5 / (7/6 - (3/4 / 2/3))) / 9/5)
[1316714] ['2/3', '3/4', '7/6', '9/7', '9/7'] -> ((9/7 / (7/6 - (3/4 / 2/3))) / 9/7)
[1316717] ['2/3', '3/4', '7/8', '7/8', '7/8'] -> (((7/8 + 7/8) / (3/4 - 2/3)) / 7/8)
[1316719] ['2/3', '3/4', '7/8', '7/8', '8/3'] -> (8/3 / ((7/8 / 7/8) - (2/3 / 3/4)))
[1316721] ['2/3', '3/4', '7/8', '7/8', '8/7'] -> (((7/8 + 7/8) / (3/4 - 2/3)) * 8/7)
[1316731] ['2/3', '3/4', '7/8', '7/9', '8/7'] -> (((2/3 * 7/8) / (7/9 - 3/4)) * 8/7)
[1316738] ['2/3', '3/4', '7/8', '8/3', '8/3'] -> (((2/3 + 8/3) / (7/8 - 3/4)) - 8/3)
[1316741] ['2/3', '3/4', '7/8', '8/3', '8/9'] -> (8/9 / (((2/3 / 3/4) - 7/8) * 8/3))
[1316743] ['2/3', '3/4', '7/8', '8/3', '9/4'] -> ((8/3 / ((3/4 / 2/3) - 7/8)) * 9/4)
[1316747] ['2/3', '3/4', '7/8', '8/5', '8/5'] -> (8/5 / ((7/8 * (8/5 - 2/3)) - 3/4))
[1316750] ['2/3', '3/4', '7/8', '8/5', '9/2'] -> (9/2 / ((7/8 / (8/5 - 2/3)) - 3/4))
[1316752] ['2/3', '3/4', '7/8', '8/5', '9/5'] -> (9/5 / (7/8 - ((2/3 * 3/4) * 8/5)))
[1316754] ['2/3', '3/4', '7/8', '8/5', '9/8'] -> (9/8 / ((7/8 / 8/5) - (2/3 * 3/4)))
[1316767] ['2/3', '3/4', '7/8', '8/9', '9/8'] -> (9/8 / ((7/8 - (3/4 / 8/9)) / 2/3))
[1316769] ['2/3', '3/4', '7/8', '9/2', '9/4'] -> (((9/2 / (7/8 - 3/4)) / 2/3) / 9/4)
[1316771] ['2/3', '3/4', '7/8', '9/2', '9/7'] -> (9/7 / (((2/3 / 7/8) - 3/4) * 9/2))
[1316776] ['2/3', '3/4', '7/8', '9/4', '9/8'] -> (((9/4 / (7/8 - 3/4)) / 2/3) / 9/8)
[1316782] ['2/3', '3/4', '7/8', '9/8', '9/8'] -> ((2/3 * 9/8) / (7/8 - (3/4 * 9/8)))
[1316798] ['2/3', '3/4', '7/9', '8/3', '9/4'] -> (9/4 / (2/3 - ((3/4 + 7/9) / 8/3)))
[1316818] ['2/3', '3/4', '7/9', '8/9', '9/2'] -> ((2/3 / ((7/9 / 8/9) - 3/4)) * 9/2)
[1316841] ['2/3', '3/4', '8/3', '8/3', '8/9'] -> (((3/4 * 8/3) * 8/3) / (8/9 - 2/3))
[1316855] ['2/3', '3/4', '8/3', '8/7', '8/7'] -> (8/7 / (8/3 * (8/7 - (3/4 / 2/3))))
[1316860] ['2/3', '3/4', '8/3', '8/7', '9/7'] -> (((8/3 / (3/4 - 2/3)) - 8/7) / 9/7)
[1316868] ['2/3', '3/4', '8/3', '9/2', '9/2'] -> ((8/3 / (2/3 - (3/4 / 9/2))) * 9/2)
[1316874] ['2/3', '3/4', '8/3', '9/4', '9/5'] -> (9/5 / (3/4 - (9/4 / (2/3 + 8/3))))
[1316883] ['2/3', '3/4', '8/5', '8/5', '8/5'] -> (((8/5 + 8/5) / (3/4 - 2/3)) / 8/5)
[1316896] ['2/3', '3/4', '8/5', '8/7', '9/7'] -> (9/7 / ((3/4 - (8/7 / 8/5)) / 2/3))
[1316899] ['2/3', '3/4', '8/5', '8/9', '9/2'] -> (9/2 / ((2/3 / (8/5 - 8/9)) - 3/4))
[1316904] ['2/3', '3/4', '8/5', '9/2', '9/2'] -> (((8/5 * (9/2 - 3/4)) - 2/3) * 9/2)
[1316905] ['2/3', '3/4', '8/5', '9/2', '9/4'] -> ((8/5 * (2/3 + (9/2 / 3/4))) * 9/4)
[1316919] ['2/3', '3/4', '8/7', '8/7', '8/7'] -> (((8/7 + 8/7) / (3/4 - 2/3)) / 8/7)
[1316927] ['2/3', '3/4', '8/7', '8/9', '9/2'] -> ((8/9 / (3/4 - (2/3 / 8/7))) * 9/2)
[1316932] ['2/3', '3/4', '8/7', '9/2', '9/2'] -> (((8/7 * (3/4 + 9/2)) - 2/3) * 9/2)
[1316935] ['2/3', '3/4', '8/7', '9/2', '9/7'] -> (9/7 / (((2/3 * 8/7) - 3/4) * 9/2))
[1316939] ['2/3', '3/4', '8/7', '9/4', '9/7'] -> (((8/7 * 9/4) / (3/4 - 2/3)) / 9/7)
[1316947] ['2/3', '3/4', '8/9', '8/9', '8/9'] -> (((8/9 + 8/9) / (3/4 - 2/3)) / 8/9)
[1316948] ['2/3', '3/4', '8/9', '8/9', '9/2'] -> (((8/9 / (8/9 - 2/3)) / 3/4) * 9/2)
[1316952] ['2/3', '3/4', '8/9', '8/9', '9/8'] -> (((8/9 + 8/9) / (3/4 - 2/3)) * 9/8)
[1316957] ['2/3', '3/4', '8/9', '9/2', '9/8'] -> (((9/2 / (8/9 - 2/3)) / 3/4) / 9/8)
[1316972] ['2/3', '3/4', '9/2', '9/2', '9/8'] -> ((((9/2 / 2/3) - 3/4) * 9/2) / 9/8)
[1316983] ['2/3', '3/4', '9/4', '9/4', '9/4'] -> (((9/4 + 9/4) / (3/4 - 2/3)) / 9/4)
[1316991] ['2/3', '3/4', '9/4', '9/7', '9/8'] -> ((9/4 / (2/3 - (3/4 / 9/7))) / 9/8)
[1316993] ['2/3', '3/4', '9/5', '9/5', '9/5'] -> (((9/5 + 9/5) / (3/4 - 2/3)) / 9/5)
[1316996] ['2/3', '3/4', '9/5', '9/7', '9/7'] -> (9/7 / ((3/4 - (9/7 / 9/5)) / 2/3))
[1317002] ['2/3', '3/4', '9/8', '9/8', '9/8'] -> (((9/8 + 9/8) / (3/4 - 2/3)) / 9/8)
[1317003] ['2/3', '3/5', '3/5', '3/5', '3/5'] -> (((3/5 / 3/5) + 3/5) / (2/3 - 3/5))
[1317006] ['2/3', '3/5', '3/5', '3/5', '4/3'] -> (((3/5 + 3/5) * 4/3) / (2/3 - 3/5))
[1317016] ['2/3', '3/5', '3/5', '3/5', '5/9'] -> (((2/3 / (3/5 - 5/9)) - 3/5) / 3/5)
[1317026] ['2/3', '3/5', '3/5', '3/5', '8/3'] -> (8/3 / ((2/3 / 3/5) - (3/5 / 3/5)))
[1317039] ['2/3', '3/5', '3/5', '3/7', '4/7'] -> ((2/3 * (3/5 + 3/7)) / (3/5 - 4/7))
[1317049] ['2/3', '3/5', '3/5', '3/7', '6/7'] -> ((3/5 + 3/7) / ((3/5 / 2/3) - 6/7))
[1317067] ['2/3', '3/5', '3/5', '3/8', '4/3'] -> ((3/5 / ((4/3 - 2/3) - 3/5)) / 3/8)
[1317070] ['2/3', '3/5', '3/5', '3/8', '4/9'] -> ((3/5 / 3/8) / ((4/9 / 2/3) - 3/5))
[1317072] ['2/3', '3/5', '3/5', '3/8', '5/3'] -> ((3/5 * 5/3) / (2/3 - (3/8 / 3/5)))
[1317073] ['2/3', '3/5', '3/5', '3/8', '5/4'] -> ((3/5 / 3/8) / (3/5 - (2/3 / 5/4)))
[1317074] ['2/3', '3/5', '3/5', '3/8', '5/6'] -> ((3/5 / ((3/5 / 2/3) - 5/6)) / 3/8)
[1317087] ['2/3', '3/5', '3/5', '3/8', '8/3'] -> ((2/3 / ((3/8 / 3/5) - 3/5)) - 8/3)
[1317097] ['2/3', '3/5', '3/5', '4/3', '4/5'] -> (((3/5 * 4/3) + 4/5) / (2/3 - 3/5))
[1317107] ['2/3', '3/5', '3/5', '4/3', '6/5'] -> (6/5 / ((3/5 / 4/3) - (2/3 * 3/5)))
[1317108] ['2/3', '3/5', '3/5', '4/3', '6/7'] -> ((3/5 * 4/3) / ((3/5 / 6/7) - 2/3))
[1317113] ['2/3', '3/5', '3/5', '4/3', '7/6'] -> ((3/5 * 4/3) / ((3/5 * 7/6) - 2/3))
[1317117] ['2/3', '3/5', '3/5', '4/3', '8/5'] -> (8/5 / (3/5 - ((2/3 * 3/5) * 4/3)))
[1317125] ['2/3', '3/5', '3/5', '4/5', '4/5'] -> ((3/5 + (4/5 / 4/5)) / (2/3 - 3/5))
[1317130] ['2/3', '3/5', '3/5', '4/5', '5/4'] -> ((4/5 / 2/3) / ((5/4 - 3/5) - 3/5))
[1317141] ['2/3', '3/5', '3/5', '4/5', '7/6'] -> ((4/5 / 3/5) / (7/6 - (2/3 / 3/5)))
[1317142] ['2/3', '3/5', '3/5', '4/5', '7/8'] -> (((3/5 + 4/5) / (2/3 - 3/5)) / 7/8)
[1317143] ['2/3', '3/5', '3/5', '4/5', '7/9'] -> (4/5 / ((3/5 + 3/5) - (7/9 / 2/3)))
[1317145] ['2/3', '3/5', '3/5', '4/5', '8/5'] -> (8/5 / (((4/5 / 3/5) - 2/3) - 3/5))
[1317146] ['2/3', '3/5', '3/5', '4/5', '8/7'] -> (((3/5 + 4/5) / (2/3 - 3/5)) * 8/7)
[1317150] ['2/3', '3/5', '3/5', '4/5', '9/5'] -> ((3/5 + 9/5) / ((3/5 / 2/3) - 4/5))
[1317153] ['2/3', '3/5', '3/5', '4/7', '4/7'] -> ((3/5 + (4/7 / 4/7)) / (2/3 - 3/5))
[1317163] ['2/3', '3/5', '3/5', '4/7', '6/7'] -> (((6/7 / 2/3) - 3/5) / (3/5 - 4/7))
[1317180] ['2/3', '3/5', '3/5', '4/9', '4/9'] -> ((3/5 + (4/9 / 4/9)) / (2/3 - 3/5))
[1317245] ['2/3', '3/5', '3/5', '5/3', '7/9'] -> (((3/5 / 3/5) + 5/3) / (7/9 - 2/3))
[1317259] ['2/3', '3/5', '3/5', '5/4', '5/9'] -> ((2/3 / ((5/4 - 3/5) - 3/5)) / 5/9)
[1317269] ['2/3', '3/5', '3/5', '5/4', '8/3'] -> ((3/5 * 8/3) / (3/5 - (2/3 / 5/4)))
[1317275] ['2/3', '3/5', '3/5', '5/4', '9/5'] -> ((2/3 * 9/5) / ((5/4 - 3/5) - 3/5))
[1317278] ['2/3', '3/5', '3/5', '5/6', '5/6'] -> ((3/5 + (5/6 / 5/6)) / (2/3 - 3/5))
[1317280] ['2/3', '3/5', '3/5', '5/6', '5/8'] -> (((3/5 + 3/5) * 5/6) / (2/3 - 5/8))
[1317282] ['2/3', '3/5', '3/5', '5/6', '6/5'] -> (6/5 / (((5/6 / 2/3) - 3/5) - 3/5))
[1317288] ['2/3', '3/5', '3/5', '5/6', '7/6'] -> ((2/3 / 5/6) / ((3/5 + 3/5) - 7/6))
[1317292] ['2/3', '3/5', '3/5', '5/6', '8/5'] -> ((8/5 / 2/3) / (3/5 - (3/5 * 5/6)))
[1317297] ['2/3', '3/5', '3/5', '5/6', '9/5'] -> (((3/5 + 9/5) / 3/5) / (5/6 - 2/3))
[1317303] ['2/3', '3/5', '3/5', '5/7', '6/5'] -> (((3/5 + 3/5) / (5/7 - 2/3)) - 6/5)
[1317310] ['2/3', '3/5', '3/5', '5/7', '7/8'] -> (((3/5 / (5/7 - 2/3)) / 3/5) / 7/8)
[1317313] ['2/3', '3/5', '3/5', '5/7', '8/5'] -> (8/5 / ((3/5 / 3/5) - (2/3 / 5/7)))
[1317322] ['2/3', '3/5', '3/5', '5/8', '5/9'] -> ((3/5 - (2/3 / 5/9)) / (3/5 - 5/8))
[1317325] ['2/3', '3/5', '3/5', '5/8', '7/2'] -> (7/2 / (2/3 - (5/8 / (3/5 + 3/5))))
[1317336] ['2/3', '3/5', '3/5', '5/8', '9/2'] -> (9/2 / (((3/5 / 2/3) - 3/5) * 5/8))
[1317338] ['2/3', '3/5', '3/5', '5/8', '9/5'] -> ((3/5 - (2/3 * 9/5)) / (3/5 - 5/8))
[1317341] ['2/3', '3/5', '3/5', '5/9', '5/9'] -> ((3/5 + (5/9 / 5/9)) / (2/3 - 3/5))
[1317352] ['2/3', '3/5', '3/5', '5/9', '8/5'] -> (8/5 / ((2/3 * 3/5) - (3/5 * 5/9)))
[1317355] ['2/3', '3/5', '3/5', '5/9', '9/2'] -> (((2/3 + 3/5) / (3/5 - 5/9)) - 9/2)
[1317359] ['2/3', '3/5', '3/5', '5/9', '9/8'] -> ((3/5 * 5/9) / (9/8 - (2/3 / 3/5)))
[1317360] ['2/3', '3/5', '3/5', '6/5', '6/5'] -> ((3/5 + (6/5 / 6/5)) / (2/3 - 3/5))
[1317366] ['2/3', '3/5', '3/5', '6/5', '7/6'] -> ((2/3 * 6/5) / ((3/5 + 3/5) - 7/6))
[1317370] ['2/3', '3/5', '3/5', '6/5', '8/5'] -> ((8/5 / 2/3) / (3/5 - (3/5 / 6/5)))
[1317371] ['2/3', '3/5', '3/5', '6/5', '8/7'] -> ((6/5 / 2/3) / (3/5 - (3/5 / 8/7)))
[1317378] ['2/3', '3/5', '3/5', '6/7', '6/7'] -> ((3/5 + (6/7 / 6/7)) / (2/3 - 3/5))
[1317384] ['2/3', '3/5', '3/5', '6/7', '7/8'] -> ((3/5 / (3/5 - (2/3 * 6/7))) / 7/8)
[1317387] ['2/3', '3/5', '3/5', '6/7', '8/5'] -> ((8/5 / 2/3) / ((3/5 / 6/7) - 3/5))
[1317395] ['2/3', '3/5', '3/5', '7/2', '7/2'] -> ((3/5 + (7/2 / 7/2)) / (2/3 - 3/5))
[1317411] ['2/3', '3/5', '3/5', '7/3', '7/3'] -> ((3/5 + (7/3 / 7/3)) / (2/3 - 3/5))
[1317415] ['2/3', '3/5', '3/5', '7/3', '7/8'] -> (((3/5 * 7/3) / (2/3 - 3/5)) / 7/8)
[1317416] ['2/3', '3/5', '3/5', '7/3', '7/9'] -> ((3/5 + 7/3) / ((3/5 / 2/3) - 7/9))
[1317419] ['2/3', '3/5', '3/5', '7/3', '8/7'] -> (((3/5 * 7/3) / (2/3 - 3/5)) * 8/7)
[1317426] ['2/3', '3/5', '3/5', '7/4', '7/4'] -> ((3/5 + (7/4 / 7/4)) / (2/3 - 3/5))
[1317440] ['2/3', '3/5', '3/5', '7/5', '7/5'] -> ((3/5 + (7/5 / 7/5)) / (2/3 - 3/5))
[1317446] ['2/3', '3/5', '3/5', '7/5', '8/7'] -> (8/7 / (((3/5 / 3/5) / 7/5) - 2/3))
[1317453] ['2/3', '3/5', '3/5', '7/6', '7/6'] -> ((3/5 + (7/6 / 7/6)) / (2/3 - 3/5))
[1317454] ['2/3', '3/5', '3/5', '7/6', '7/8'] -> ((3/5 / (3/5 - (2/3 / 7/6))) / 7/8)
[1317456] ['2/3', '3/5', '3/5', '7/6', '8/3'] -> ((8/3 / 2/3) / (7/6 - (3/5 / 3/5)))
[1317457] ['2/3', '3/5', '3/5', '7/6', '8/5'] -> ((8/5 / 2/3) / ((3/5 * 7/6) - 3/5))
[1317458] ['2/3', '3/5', '3/5', '7/6', '8/7'] -> ((3/5 * 8/7) / (3/5 - (2/3 / 7/6)))
[1317462] ['2/3', '3/5', '3/5', '7/6', '9/5'] -> ((3/5 + 9/5) / ((2/3 + 3/5) - 7/6))
[1317465] ['2/3', '3/5', '3/5', '7/8', '7/8'] -> ((3/5 + (7/8 / 7/8)) / (2/3 - 3/5))
[1317476] ['2/3', '3/5', '3/5', '7/9', '7/9'] -> ((3/5 + (7/9 / 7/9)) / (2/3 - 3/5))
[1317478] ['2/3', '3/5', '3/5', '7/9', '8/5'] -> (8/5 / ((3/5 * 7/9) - (2/3 * 3/5)))
[1317480] ['2/3', '3/5', '3/5', '7/9', '8/9'] -> ((7/9 - 3/5) / (3/5 - (2/3 * 8/9)))
[1317485] ['2/3', '3/5', '3/5', '7/9', '9/8'] -> ((7/9 - 3/5) / (3/5 - (2/3 / 9/8)))
[1317487] ['2/3', '3/5', '3/5', '8/3', '8/5'] -> (8/3 / (((2/3 / 3/5) + 3/5) - 8/5))
[1317490] ['2/3', '3/5', '3/5', '8/3', '9/2'] -> ((8/3 / 3/5) * ((3/5 / 2/3) + 9/2))
[1317498] ['2/3', '3/5', '3/5', '8/5', '9/2'] -> ((8/5 / ((3/5 / 2/3) - 3/5)) * 9/2)
[1317503] ['2/3', '3/5', '3/5', '8/7', '8/7'] -> ((3/5 + (8/7 / 8/7)) / (2/3 - 3/5))
[1317505] ['2/3', '3/5', '3/5', '8/7', '9/2'] -> (9/2 / (((3/5 / 2/3) / 8/7) - 3/5))
[1317510] ['2/3', '3/5', '3/5', '8/9', '8/9'] -> ((3/5 + (8/9 / 8/9)) / (2/3 - 3/5))
[1317512] ['2/3', '3/5', '3/5', '8/9', '9/4'] -> ((3/5 / ((3/5 / 2/3) - 8/9)) / 9/4)
[1317521] ['2/3', '3/5', '3/5', '9/4', '9/4'] -> ((3/5 + (9/4 / 9/4)) / (2/3 - 3/5))
[1317527] ['2/3', '3/5', '3/5', '9/5', '9/8'] -> ((3/5 / 9/5) / (9/8 - (2/3 / 3/5)))
[1317528] ['2/3', '3/5', '3/5', '9/7', '9/7'] -> ((3/5 + (9/7 / 9/7)) / (2/3 - 3/5))
[1317534] ['2/3', '3/5', '3/7', '3/7', '4/5'] -> (4/5 / ((3/5 / (3/7 + 3/7)) - 2/3))
[1317538] ['2/3', '3/5', '3/7', '3/7', '5/3'] -> ((5/3 / (2/3 - 3/5)) - (3/7 / 3/7))
[1317555] ['2/3', '3/5', '3/7', '3/7', '8/7'] -> (8/7 / (((2/3 * 3/7) / 3/5) - 3/7))
[1317577] ['2/3', '3/5', '3/7', '3/8', '7/3'] -> ((3/7 / (2/3 - (3/8 / 3/5))) * 7/3)
[1317589] ['2/3', '3/5', '3/7', '3/8', '9/5'] -> (9/5 / ((3/5 * 3/7) * (2/3 - 3/8)))
[1317604] ['2/3', '3/5', '3/7', '4/3', '6/7'] -> ((4/3 / ((3/7 / 3/5) - 2/3)) * 6/7)
[1317609] ['2/3', '3/5', '3/7', '4/3', '7/6'] -> ((4/3 / ((3/7 / 3/5) - 2/3)) / 7/6)
[1317614] ['2/3', '3/5', '3/7', '4/3', '8/7'] -> (8/7 / ((2/3 + (3/7 / 3/5)) - 4/3))
[1317640] ['2/3', '3/5', '3/7', '4/5', '8/3'] -> (8/3 / ((4/5 / (3/5 + 3/7)) - 2/3))
[1317647] ['2/3', '3/5', '3/7', '4/5', '9/7'] -> ((4/5 / ((3/7 / 2/3) - 3/5)) * 9/7)
[1317656] ['2/3', '3/5', '3/7', '4/7', '5/8'] -> (((3/7 + 4/7) / (2/3 - 3/5)) / 5/8)
[1317657] ['2/3', '3/5', '3/7', '4/7', '5/9'] -> ((4/7 / ((3/7 / 2/3) - 3/5)) / 5/9)
[1317673] ['2/3', '3/5', '3/7', '4/7', '9/5'] -> ((4/7 / ((3/7 / 2/3) - 3/5)) * 9/5)
[1317740] ['2/3', '3/5', '3/7', '5/3', '7/8'] -> ((3/5 / (3/7 - (2/3 / 5/3))) / 7/8)
[1317743] ['2/3', '3/5', '3/7', '5/3', '8/5'] -> (8/5 / (3/5 * (5/3 - (2/3 / 3/7))))
[1317770] ['2/3', '3/5', '3/7', '5/4', '9/4'] -> ((5/4 / ((3/7 / 3/5) - 2/3)) - 9/4)
[1317772] ['2/3', '3/5', '3/7', '5/4', '9/7'] -> (9/7 / (((3/7 / 2/3) - 3/5) * 5/4))
[1317779] ['2/3', '3/5', '3/7', '5/6', '6/7'] -> (6/7 / (((3/7 / 2/3) - 3/5) * 5/6))
[1317788] ['2/3', '3/5', '3/7', '5/6', '8/5'] -> (8/5 / ((2/3 * 3/7) * (5/6 - 3/5)))
[1317789] ['2/3', '3/5', '3/7', '5/6', '8/7'] -> (8/7 / (2/3 * ((3/5 * 5/6) - 3/7)))
[1317796] ['2/3', '3/5', '3/7', '5/7', '5/7'] -> (((3/7 + 5/7) / (2/3 - 3/5)) / 5/7)
[1317802] ['2/3', '3/5', '3/7', '5/7', '7/3'] -> (((5/7 / (2/3 - 3/5)) - 3/7) * 7/3)
[1317804] ['2/3', '3/5', '3/7', '5/7', '7/5'] -> (((3/7 + 5/7) / (2/3 - 3/5)) * 7/5)
[1317818] ['2/3', '3/5', '3/7', '5/8', '5/9'] -> (5/9 / ((2/3 / (3/5 + 3/7)) - 5/8))
[1317820] ['2/3', '3/5', '3/7', '5/8', '6/7'] -> (6/7 / (2/3 * (3/7 - (3/5 * 5/8))))
[1317822] ['2/3', '3/5', '3/7', '5/8', '7/3'] -> (((3/7 / (2/3 - 3/5)) / 5/8) * 7/3)
[1317835] ['2/3', '3/5', '3/7', '5/8', '9/7'] -> (9/7 / ((2/3 + 3/7) - (5/8 / 3/5)))
[1317848] ['2/3', '3/5', '3/7', '5/9', '8/5'] -> (8/5 / (3/7 * (5/9 - (2/3 * 3/5))))
[1317849] ['2/3', '3/5', '3/7', '5/9', '8/7'] -> (8/7 / ((3/5 * 5/9) - (2/3 * 3/7)))
[1317856] ['2/3', '3/5', '3/7', '6/5', '6/5'] -> ((6/5 / ((3/7 / 3/5) - 2/3)) - 6/5)
[1317857] ['2/3', '3/5', '3/7', '6/5', '6/7'] -> ((6/5 / ((3/7 / 2/3) - 3/5)) * 6/7)
[1317862] ['2/3', '3/5', '3/7', '6/5', '7/6'] -> ((6/5 / ((3/7 / 2/3) - 3/5)) / 7/6)
[1317865] ['2/3', '3/5', '3/7', '6/5', '8/3'] -> (8/3 / ((3/5 / (6/5 - 3/7)) - 2/3))
[1317869] ['2/3', '3/5', '3/7', '6/5', '9/2'] -> ((2/3 + ((6/5 / 3/5) / 3/7)) * 9/2)
[1317884] ['2/3', '3/5', '3/7', '6/7', '8/7'] -> (8/7 / (((6/7 - 3/7) / 3/5) - 2/3))
[1317898] ['2/3', '3/5', '3/7', '7/2', '8/3'] -> (8/3 / (3/7 - ((2/3 / 3/5) / 7/2)))
[1317915] ['2/3', '3/5', '3/7', '7/3', '8/7'] -> (8/7 / (((2/3 / 3/5) / 7/3) - 3/7))
[1317933] ['2/3', '3/5', '3/7', '7/4', '9/5'] -> (9/5 / (((3/7 / 2/3) - 3/5) * 7/4))
[1317937] ['2/3', '3/5', '3/7', '7/5', '7/6'] -> (((7/5 / (2/3 - 3/5)) - 3/7) * 7/6)
[1317938] ['2/3', '3/5', '3/7', '7/5', '7/8'] -> (7/8 / ((2/3 - 3/5) / (3/7 + 7/5)))
[1317941] ['2/3', '3/5', '3/7', '7/5', '8/5'] -> (8/5 / (((3/7 / 3/5) - 2/3) * 7/5))
[1317944] ['2/3', '3/5', '3/7', '7/5', '9/2'] -> ((2/3 + ((3/5 + 7/5) / 3/7)) * 9/2)
[1317965] ['2/3', '3/5', '3/7', '7/8', '8/7'] -> (8/7 / ((2/3 / 7/8) - (3/7 / 3/5)))
[1317970] ['2/3', '3/5', '3/7', '7/8', '9/7'] -> (9/7 / ((3/5 * 3/7) * (7/8 - 2/3)))
[1317974] ['2/3', '3/5', '3/7', '7/9', '8/5'] -> (8/5 / ((2/3 * 3/5) - (3/7 * 7/9)))
[1317976] ['2/3', '3/5', '3/7', '7/9', '8/9'] -> (8/9 / (((3/7 / 3/5) - 2/3) * 7/9))
[1317989] ['2/3', '3/5', '3/7', '8/3', '9/7'] -> (9/7 / ((2/3 - 3/7) * (3/5 / 8/3)))
[1318010] ['2/3', '3/5', '3/7', '8/9', '9/7'] -> (9/7 / (((3/7 / 3/5) - 2/3) / 8/9))
[1318013] ['2/3', '3/5', '3/7', '9/2', '9/4'] -> ((((9/2 / 2/3) / 3/5) / 3/7) - 9/4)
[1318025] ['2/3', '3/5', '3/7', '9/7', '9/8'] -> ((9/7 / ((3/7 / 3/5) - 2/3)) / 9/8)
[1318027] ['2/3', '3/5', '3/8', '3/8', '3/8'] -> ((3/8 / (2/3 - (3/8 / 3/5))) / 3/8)
[1318033] ['2/3', '3/5', '3/8', '3/8', '5/3'] -> ((5/3 / (2/3 - 3/5)) - (3/8 / 3/8))
[1318044] ['2/3', '3/5', '3/8', '3/8', '7/5'] -> ((3/5 + 7/5) / ((3/8 + 3/8) - 2/3))
[1318054] ['2/3', '3/5', '3/8', '3/8', '9/5'] -> ((9/5 / 3/5) / (3/8 - (2/3 * 3/8)))
